('https://image1.ljcdn.com/440600-inspection/test-4dad8e1a-6bfb-4c18-9472-ded3a55f49df.png.296x216.jpg', '依云天汇 3室2厅 265万', '依云天汇  | 3室2厅 | 102.12平米 | 南 | 其他', '低楼层(共45层)2011年建塔楼  -  千灯湖', '265万', '单价25950元/平米')
('https://image1.ljcdn.com/440600-inspection/e6b33d15-8a6d-48bf-800d-d064aa693f11.jpg.296x216.jpg', '碧翠豪城 3房2厅 123.5万元', '碧翠豪城  | 3室2厅 | 95平米 | 南 | 简装', '高楼层(共7层)2004年建塔楼  -  罗村', '120万', '单价12632元/平米')
('https://image1.ljcdn.com/440600-inspection/1659aefe-3e5c-4d23-8921-18b6ef65370b.jpg.296x216.jpg', '中海锦城国际花园 2室2厅 172万', '中海锦城国际花园  | 2室2厅 | 73平米 | 东南 | 其他', '高楼层(共11层)2015年建塔楼  -  千灯湖', '172万', '单价23562元/平米')
('https://image1.ljcdn.com/440600-inspection/c58c8ef3-da9e-4e01-9089-7ccf452fac84.jpg.296x216.jpg', '黄岐第一城 2室1厅 174万', '黄岐第一城  | 2室1厅 | 87平米 | 南 | 其他', '低楼层(共15层)1997年建塔楼  -  黄岐', '174万', '单价20000元/平米')
('https://image1.ljcdn.com/440600-inspection/3c3a6dcb-9d4b-4ba3-824e-249eaff012b2.jpg.296x216.jpg', '怡翠世嘉花园 3房户型 望花园 诚心出售', '怡翠世嘉花园  | 3室2厅 | 108.75平米 | 北 | 其他', '高楼层(共32层)2012年建塔楼  -  平洲', '250万', '单价22989元/平米')
('https://image1.ljcdn.com/440600-inspection/c3c1a2d9-6b0d-44c6-a3fd-1a66ba703623.JPG.296x216.jpg', '狮山锦绣华庭 小区环境优美', '锦绣华庭  | 4室2厅 | 156.17平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  狮山', '195万', '单价12487元/平米')
('https://image1.ljcdn.com/440600-inspection/5388f010-697d-416b-be8d-db40d5bea882.jpg.296x216.jpg', '万科金御华府 三房两厅', '万科金御华府  | 2室2厅 | 89平米 | 东 | 简装', '高楼层(共30层)2008年建塔楼  -  桂城东（城市广场）', '248万', '单价27866元/平米')
('https://image1.ljcdn.com/440600-inspection/84d9e948-4c67-40c4-a131-34ab71efa200.JPG.296x216.jpg', '禾粤尚德居 3室2厅 120万', '禾粤尚德居  | 3室2厅 | 93平米 | 东南 | 其他', '低楼层(共27层)塔楼  -  狮山', '120万', '单价12904元/平米')
('https://image1.ljcdn.com/440600-inspection/f3d9d300-1e39-4c05-9b33-24b9f8613004.jpg.296x216.jpg', '佛平二路3号 3室2厅 95万', '佛平二路3号  | 3室2厅 | 110平米 | 北 | 简装', '中楼层(共8层)1994年建板楼  -  桂城北（南海广场）', '95万', '单价8637元/平米')
('https://image1.ljcdn.com/440600-inspection/40ff5170-d293-4662-b317-996486316074.jpg.296x216.jpg', '中海锦城 居住环境好 往返广州方便', '中海锦城国际花园  | 2室2厅 | 72.07平米 | 东南 | 精装', '低楼层(共11层)2015年建塔楼  -  千灯湖', '160万', '单价22201元/平米')
('https://image1.ljcdn.com/440600-inspection/d82afda2-5ea0-4ea9-a7a5-e2d14ccfd7b1.jpg.296x216.jpg', '黄岐*城 方正三房', '黄岐第一城  | 3室2厅 | 88平米 | 北 | 简装', '中楼层(共8层)1997年建塔楼  -  黄岐', '155万', '单价17614元/平米')
('https://image1.ljcdn.com/440600-inspection/40c2527d-f855-45e8-84b4-9532f957f126.JPG.296x216.jpg', '急售物业 有钥匙随时看房 低楼层方正两房 南向', '中南花园华桂居  | 2室2厅 | 66.5平米 | 南 | 其他', '中楼层(共8层)2002年建塔楼  -  黄岐', '120万', '单价18046元/平米')
('https://image1.ljcdn.com/440600-inspection/44238dc8-8d48-458a-82bf-f711939e2a93.JPG.296x216.jpg', '碧翠豪城 3室2厅 200万', '碧翠豪城  | 3室2厅 | 151平米 | 南 | 其他', '高楼层(共7层)2004年建塔楼  -  罗村', '200万', '单价13246元/平米')
('https://image1.ljcdn.com/440600-inspection/262fe34b-39fe-4d1c-a5e5-2474e3f72e5f.jpg.296x216.jpg', '中海千灯湖花园 满5唯一 中层望千灯湖花园', '中海千灯湖花园  | 5室2厅 | 284平米 | 南 | 精装', '中楼层(共42层)2013年建塔楼  -  千灯湖', '1100万', '单价38733元/平米')
('https://image1.ljcdn.com/440600-inspection/f9591687-4b9b-48b0-b7bd-6420dfcb2d36.JPG.296x216.jpg', '奥园君湖天下花园 小区环境好 孝德湖畔', '奥园公园一号  | 3室2厅 | 127.16平米 | 南 | 毛坯', '低楼层(共16层)2016年建塔楼  -  罗村', '254.4万', '单价20000元/平米')
('https://image1.ljcdn.com/440600-inspection/1e786afc-111f-47e7-be95-62fb63079248.jpg.296x216.jpg', '鹿璟村 方正三房 东南向单位', '鹿璟村  | 3室2厅 | 145平米 | 西南 | 精装', '高楼层(共26层)2003年建塔楼  -  桂城东（城市广场）', '300万', '单价20690元/平米')
('https://image1.ljcdn.com/440600-inspection/3bb76fc2-b7ed-4654-853e-ebdcd04d75b4.JPG.296x216.jpg', '西堤国际花园 3室2厅 136万', '西堤国际花园  | 3室2厅 | 91平米 | 南 | 其他', '11层2011年建板塔结合  -  狮山', '136万', '单价14946元/平米')
('https://image1.ljcdn.com/440600-inspection/1e58de21-5657-4392-8668-c3992d92ff18.jpg.296x216.jpg', '惠苑大厦 3室2厅 110万', '惠苑大厦  | 3室2厅 | 120.26平米 | 南 北 | 其他', '中楼层(共7层)板楼  -  平洲', '110万', '单价9147元/平米')
('https://image1.ljcdn.com/440600-inspection/011c5bee-bf39-440a-b51a-ad687ac70302.jpg.296x216.jpg', '中海锦城国际花园', '中海锦城国际花园  | 3室2厅 | 104平米 | 南 | 其他', '中楼层(共33层)2015年建塔楼  -  千灯湖', '255万', '单价24520元/平米')
('https://image1.ljcdn.com/440600-inspection/921af372-1f03-4182-8aac-189760c1d582.jpg.296x216.jpg', '交通便利 南北对流', '合生君景湾  | 4室2厅 | 137.34平米 | 南 | 精装', '低楼层(共18层)2008年建塔楼  -  黄岐', '254.1万', '单价18501元/平米')
('https://image1.ljcdn.com/440600-inspection/8015b102-0fa2-48c2-8835-8d70dacead9c.jpg.296x216.jpg', '江南名居 4室2厅 332万', '江南名居  | 4室2厅 | 157.97平米 | 东南 | 其他', '中楼层(共25层)2006年建塔楼  -  桂城北（南海广场）', '332万', '单价21017元/平米')
('https://image1.ljcdn.com/440600-inspection/9aab464f-6d0f-4aa9-aaa3-8870919671e5.jpg.296x216.jpg', '北约第一住宅区 2室2厅 120万', '北约第一住宅区  | 2室2厅 | 73.82平米 | 北 | 简装', '低楼层(共9层)塔楼  -  佛平路', '120万', '单价16256元/平米')
('https://image1.ljcdn.com/440600-inspection/d2d20b79-c278-4365-82dd-8e8cde9caef7.jpg.296x216.jpg', '名雅花园爱琴海岸 南向望江 实用大三房', '黄岐名雅花园  | 3室2厅 | 126平米 | 南 | 简装', '中楼层(共13层)2000年建塔楼  -  黄岐', '220万', '单价17461元/平米')
('https://image1.ljcdn.com/440600-inspection/8f0c9869-dca8-406e-ba1e-36a11854d455.jpg.296x216.jpg', '中海万锦东苑 位置好 安静舒适 采光好', '中海万锦东苑  | 4室2厅 | 225.12平米 | 南 | 毛坯', '中楼层(共17层)2012年建塔楼  -  佛平路', '630万', '单价27986元/平米')
('https://image1.ljcdn.com/440600-inspection/4d229b57-c2af-46c7-883f-d877b971e18d.jpg.296x216.jpg', '御景城市花园 3房2厅 220万元', '御景城市花园  | 3室2厅 | 113.69平米 | 南 北 | 精装', '高楼层(共18层)2004年建塔楼  -  桂城东（城市广场）', '220万', '单价19351元/平米')
('https://image1.ljcdn.com/440600-inspection/2e03352a-491f-4988-b397-c6109ff299f7.JPG.296x216.jpg', '长信银湾 3室2厅 188万', '长信银湾  | 3室2厅 | 111平米 | 南 | 其他', '低楼层(共18层)2013年建塔楼  -  罗村', '188万', '单价16937元/平米')
('https://image1.ljcdn.com/440600-inspection/3e92a09d-dcee-4894-bdc5-e2bd0c371592.JPG.296x216.jpg', '罗村风度花园 3室2厅 180万', '罗村风度花园  | 3室2厅 | 109平米 | 南 | 其他', '低楼层(共13层)2014年建塔楼  -  罗村', '180万', '单价16514元/平米')
('https://image1.ljcdn.com/440600-inspection/59252561-9006-4fc6-b274-424953e36ca7.jpg.296x216.jpg', '碧琴湾 2房 方正实用', '碧琴湾  | 2室2厅 | 88平米 | 北 | 简装', '低楼层(共11层)2005年建塔楼  -  平洲', '175万', '单价19887元/平米')
('https://image1.ljcdn.com/440600-inspection/1df749af-dc12-403e-9c5b-1df0428465d1.jpg.296x216.jpg', '恒福花园 成熟小区 配套成熟', '黄岐恒福花园  | 3室2厅 | 111.3平米 | 南 | 其他', '低楼层(共16层)2002年建塔楼  -  黄岐', '195万', '单价17521元/平米')
('https://image1.ljcdn.com/440600-inspection/e6c79fe5-6bb6-49da-95f6-683246c2fcca.jpg.296x216.jpg', '富丰新城 3室2厅 223万', '富丰新城  | 3室2厅 | 89平米 | 南 | 其他', '中楼层(共32层)2012年建塔楼  -  平洲', '223万', '单价25057元/平米')
('https://image1.ljcdn.com/440600-inspection/67a1e92b-d2c3-462b-8118-78c98e8b3dca.jpg.296x216.jpg', '富丰新城 3室2厅 200万', '富丰新城  | 3室2厅 | 89平米 | 南 | 其他', '中楼层(共32层)2012年建塔楼  -  平洲', '200万', '单价22472元/平米')
('https://image1.ljcdn.com/440600-inspection/1894f893-420e-46d7-925d-e9b901662667.jpg.296x216.jpg', '碧翠豪城 舒适小区 复式单位', '碧翠豪城  | 5室2厅 | 249平米 | 南 北 | 其他', '高楼层(共7层)2004年建塔楼  -  罗村', '260万', '单价10442元/平米')
('https://image1.ljcdn.com/440600-inspection/97e12c10-e37c-494f-b3a2-2c5270c895d8.jpg.296x216.jpg', '白天鹅花园 电梯洋房', '白天鹅花园  | 4室2厅 | 170平米 | 南 北 | 其他', '中楼层(共25层)2006年建塔楼  -  黄岐', '370万', '单价21765元/平米')
('https://image1.ljcdn.com/440600-inspection/296ce457-52a4-4b6e-a302-40c6fbe9546f.jpg.296x216.jpg', '丽雅苑 两房出售 交通便利', '丽雅苑南区  | 2室2厅 | 91.17平米 | 东 | 精装', '中楼层(共17层)2007年建塔楼  -  桂城北（南海广场）', '210万', '单价23034元/平米')
('https://image1.ljcdn.com/440600-inspection/b6026034-6cd3-412a-b6bc-988094e6bf05.jpg.296x216.jpg', '万科金域蓝湾柏丽湾 2室2厅 184万', '万科金域蓝湾柏丽湾  | 2室2厅 | 80平米 | 东南 | 其他', '中楼层(共32层)2015年建塔楼  -  平洲', '184万', '单价23000元/平米')
('https://image1.ljcdn.com/440600-inspection/475a659a-fe09-43df-b294-ca83a6081112.jpg.296x216.jpg', '名汇嘉园 3室2厅 158万', '名汇嘉园  | 3室2厅 | 84.38平米 | 西南 | 精装', '低楼层(共18层)2013年建塔楼  -  桂城北（南海广场）', '158万', '单价18725元/平米')
('https://image1.ljcdn.com/440600-inspection/2ec9bfa2-b259-4cc4-a12d-ac4645d39a32.jpg.296x216.jpg', '江南名居 南北向单位', '江南名居  | 1室1厅 | 63.79平米 | 北 | 简装', '低楼层(共22层)2006年建塔楼  -  桂城北（南海广场）', '115万', '单价18028元/平米')
('https://image1.ljcdn.com/440600-inspection/8bf58fc1-0a8f-4896-9238-8a05d7f791d4.jpg.296x216.jpg', '兴业新村 4房2厅 380万元', '兴业新村  | 4室2厅 | 176平米 | 南 | 其他', '低楼层(共15层)2002年建塔楼  -  桂城北（南海广场）', '380万', '单价21591元/平米')
('https://image1.ljcdn.com/440600-inspection/ebdbf0ed-f781-45ed-9c75-aec62981e19c.jpg.296x216.jpg', '万科金域蓝湾绿茵苑 3室1厅 202万', '万科金域蓝湾绿茵苑  | 3室1厅 | 92平米 | 南 | 其他', '中楼层(共33层)2015年建塔楼  -  平洲', '202万', '单价21957元/平米')
('https://image1.ljcdn.com/440600-inspection/c3d4199a-a4cd-4913-a734-955f492380a7.jpg.296x216.jpg', '合生君景湾 2室1厅 135万', '合生君景湾  | 2室1厅 | 78平米 | 北 | 其他', '低楼层(共11层)2008年建塔楼  -  黄岐', '135万', '单价17308元/平米')
('https://image1.ljcdn.com/440600-inspection/16c39504-01cd-4bf0-ab6c-c4171205e118.jpg.296x216.jpg', '俊怡花园 小户型单位 4楼光线好不是顶楼', '俊怡花园  | 2室1厅 | 41平米 | 南 | 简装', '中楼层(共7层)2005年建塔楼  -  叠窖', '50万', '单价12196元/平米')
('https://image1.ljcdn.com/440600-inspection/b91befe0-a184-417b-aa1a-7810258a1f2d.JPG.296x216.jpg', '禾粤尚德居 2室1厅 90万', '禾粤尚德居  | 2室1厅 | 78平米 | 东南 | 其他', '中楼层(共35层)塔楼  -  狮山', '90万', '单价11539元/平米')
('https://image1.ljcdn.com/440600-inspection/f81f9e4c-9498-4ebf-b4d4-3c08d03370d1.jpg.296x216.jpg', '兴业新村 南向三房', '兴业新村  | 3室2厅 | 122平米 | 南 | 其他', '中楼层(共8层)2002年建塔楼  -  桂城北（南海广场）', '219万', '单价17951元/平米')
('https://image1.ljcdn.com/440600-inspection/e8d016bc-d691-46b7-aa68-84f5cdcf8d53.jpg.296x216.jpg', '中南海晖园 3室2厅 320万', '中南海晖园  | 3室2厅 | 128平米 | 南 | 其他', '中楼层(共11层)2005年建塔楼  -  黄岐', '320万', '单价25000元/平米')
('https://image1.ljcdn.com/440600-inspection/d431bd78-f9d2-48ac-b06f-fb44190eb256.JPG.296x216.jpg', '罗村风度花园 3室2厅 170万', '罗村风度花园  | 3室2厅 | 96平米 | 南 北 | 其他', '低楼层(共14层)2014年建塔楼  -  罗村', '170万', '单价17709元/平米')
('https://image1.ljcdn.com/440600-inspection/b6467349-b845-4f14-b4e0-f2019cf9047b.jpg.296x216.jpg', '中恒海晖城  交通方便', '中恒海晖城  | 3室2厅 | 98平米 | 北 | 简装', '高楼层(共17层)2012年建塔楼  -  狮山', '125万', '单价12756元/平米')
('https://image1.ljcdn.com/440600-inspection/384bd2e3-8260-44a8-8370-cc46cd190710.jpg.296x216.jpg', '灯湖领秀 环境优美 配套成熟 交通便利', '灯湖领秀  | 3室2厅 | 91平米 | 南 北 | 其他', '中楼层(共31层)2015年建塔楼  -  千灯湖', '273万', '单价30000元/平米')
('https://image1.ljcdn.com/440600-inspection/9f7b9d3d-cbdf-4e03-af21-673255ace7f3.JPG.296x216.jpg', '水晶湾花园 3室1厅 146万', '水晶湾花园  | 3室1厅 | 95平米 | 南 | 其他', '低楼层(共18层)塔楼  -  狮山', '146万', '单价15369元/平米')
('https://image1.ljcdn.com/440600-inspection/4d46e251-1965-4ea9-a5cc-c4d628d1e0fb.jpg.296x216.jpg', '合生君景湾 环境优美', '合生君景湾  | 5室2厅 | 178平米 | 南 | 其他', '低楼层(共32层)塔楼  -  黄岐', '338万', '单价18989元/平米')
('https://image1.ljcdn.com/440600-inspection/ac54537b-3409-44cc-bf3c-25ba0722b4d6.jpg.296x216.jpg', '荟珑湾 南向望江 环境优美 配套成熟', '荟珑湾  | 3室2厅 | 89.76平米 | 南 | 其他', '低楼层(共31层)塔楼  -  黄岐', '200万', '单价22282元/平米')
('https://image1.ljcdn.com/440600-inspection/a1959680-9383-4c5b-98fa-a55042a6ee6d.jpg.296x216.jpg', '佳兆业滨江一号 3室2厅 245万', '佳兆业滨江一号  | 3室2厅 | 89平米 | 北 | 其他', '高楼层(共30层)2016年建塔楼  -  千灯湖', '245万', '单价27529元/平米')
('https://image1.ljcdn.com/440600-inspection/c02cef06-23b0-4891-bda6-212394478be2.jpg.296x216.jpg', '花苑广场 成熟小区 格局方正', '花苑广场  | 2室2厅 | 90平米 | 北 | 简装', '中楼层(共7层)1998年建板楼  -  桂城东（城市广场）', '140万', '单价15556元/平米')
('https://image1.ljcdn.com/440600-inspection/88cf5a3a-0fe6-4503-ad0f-16c42a75f63e.JPG.296x216.jpg', '桂丹颐景园 3室2厅 108万', '桂丹颐景园  | 3室2厅 | 89平米 | 北 | 其他', '中楼层(共33层)2016年建塔楼  -  丹灶', '108万', '单价12135元/平米')
('https://image1.ljcdn.com/440600-inspection/ca2bf5f0-f246-46ac-83f0-3ccbe028de07.JPG.296x216.jpg', '恒大翡翠华庭 3室2厅 210万', '恒大翡翠华庭  | 3室2厅 | 114平米 | 南 | 其他', '高楼层(共31层)2017年建塔楼  -  狮山', '210万', '单价18422元/平米')
('https://image1.ljcdn.com/440600-inspection/45f5c4e8-9722-4838-88b2-1f62774b7f10.jpg.296x216.jpg', '南港名轩 电梯三房 南北对流 光线充足', '南港名轩  | 3室2厅 | 133平米 | 南 北 | 精装', '中楼层(共23层)2008年建塔楼  -  平洲', '315万', '单价23685元/平米')
('https://image1.ljcdn.com/440600-inspection/bc1d6cbe-8922-44fd-a963-ea043258d377.jpg.296x216.jpg', '宏鼎景裕豪园 3房2厅 249万元', '宏鼎景裕豪园  | 3室2厅 | 89平米 | 东 | 其他', '高楼层(共39层)2019年建塔楼  -  桂城北（南海广场）', '238万', '单价26742元/平米')
('https://image1.ljcdn.com/440600-inspection/843d39c6-5233-4729-8c7d-4e384eb43ea7.jpg.296x216.jpg', '万科金域中央 3室2厅 220万', '万科金域中央  | 3室2厅 | 90平米 | 北 | 其他', '高楼层(共52层)2016年建塔楼  -  平洲', '220万', '单价24445元/平米')
('https://image1.ljcdn.com/440600-inspection/75bb3001-7fb5-4895-9f07-45b925a290f9.jpg.296x216.jpg', '合生君景湾 环境优美', '合生君景湾  | 3室2厅 | 91平米 | 北 | 其他', '低楼层(共18层)2008年建塔楼  -  黄岐', '160万', '单价17583元/平米')
('https://image1.ljcdn.com/440600-inspection/0da58d29-ac4c-4028-adec-d7238f7b0029.jpg.296x216.jpg', '万科广场 南向3房2厅 交通便利', '南海万科广场  | 3室2厅 | 88平米 | 南 | 其他', '高楼层(共34层)2013年建塔楼  -  佛平路', '320万', '单价36364元/平米')
('https://image1.ljcdn.com/440600-inspection/80c21486-7746-4dc2-9399-f8f90884ca1d.JPG.296x216.jpg', '翠湖绿洲花园 4室2厅 172万', '翠湖绿洲花园  | 4室2厅 | 122平米 | 东南 | 其他', '高楼层(共14层)2017年建塔楼  -  罗村', '172万', '单价14099元/平米')
('https://image1.ljcdn.com/440600-inspection/ebd6d330-99da-47eb-82bf-9d2b8fd3b39c.jpg.296x216.jpg', '万科金御华府 三房出售', '万科金御华府  | 3室2厅 | 90平米 | 西南 | 简装', '低楼层(共26层)2008年建塔楼  -  桂城东（城市广场）', '220万', '单价24445元/平米')
('https://image1.ljcdn.com/440600-inspection/df681278-6432-4745-b8f0-f1b7fad112ef.jpg.296x216.jpg', '华福御水岸 3室2厅 220万', '华福御水岸  | 3室2厅 | 91平米 | 南 | 其他', '高楼层(共31层)塔楼  -  平洲', '220万', '单价24176元/平米')
('https://image1.ljcdn.com/440600-inspection/dfda0b1c-4b4f-4178-a026-17bd3cc4e087.JPG.296x216.jpg', '罗村花苑B区 3室2厅 95万', '罗村花苑B区  | 3室2厅 | 85.82平米 | 北 | 其他', '高楼层(共7层)2000年建塔楼  -  罗村', '95万', '单价11070元/平米')
('https://image1.ljcdn.com/440600-inspection/d1b1ecdd-ec53-4b78-9f45-ee4c59a4d4a1.jpg.296x216.jpg', '宏鼎景裕豪园 新装修三房', '宏鼎景裕豪园  | 3室2厅 | 92平米 | 南 | 精装', '中楼层(共17层)2011年建塔楼  -  桂城北（南海广场）', '225万', '单价24457元/平米')
('https://image1.ljcdn.com/440600-inspection/de089881-8974-4609-9801-b626b5945971.JPG.296x216.jpg', '沙面新城 4房2厅 230万元', '沙面新城  | 4室2厅 | 113平米 | 北 | 其他', '中楼层(共14层)2003年建塔楼  -  黄岐', '230万', '单价20354元/平米')
('https://image1.ljcdn.com/440600-inspection/a7567639-28b8-4ff5-a2ad-9097952d74a9.jpg.296x216.jpg', '万科金域中央 3室2厅 229万', '万科金域中央  | 3室2厅 | 90平米 | 南 | 其他', '中楼层(共52层)2016年建塔楼  -  平洲', '229万', '单价25445元/平米')
('https://image1.ljcdn.com/440600-inspection/07b0453e-fa7d-458d-9a46-b8ca88b6e0aa.jpg.296x216.jpg', '碧翠华庭 电梯洋房 配套成熟 间隔方正', '碧翠华庭  | 3室2厅 | 113平米 | 北 | 其他', '中楼层(共16层)2007年建塔楼  -  黄岐', '330万', '单价29204元/平米')
('https://image1.ljcdn.com/440600-inspection/22c79b5b-90b9-445d-a406-21d10209847e.JPG.296x216.jpg', '狮山湖景湾 视野开阔 采光好', '南海湖景湾花园  | 4室2厅 | 155平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  狮山', '210万', '单价13549元/平米')
('https://image1.ljcdn.com/440600-inspection/e203fcbd-b49e-4373-adb6-f0ff367c0a19.JPG.296x216.jpg', '水晶湾花园 3室2厅 155万', '水晶湾花园  | 3室2厅 | 95平米 | 南 北 | 其他', '高楼层(共18层)塔楼  -  狮山', '155万', '单价16316元/平米')
('https://image1.ljcdn.com/440600-inspection/739dddd5-3a1c-4227-a7c2-e24b6ffbef21.jpg.296x216.jpg', '祈福南湾半岛 园林景观 环境优美', '祈福南湾半岛  | 2室2厅 | 77平米 | 南 | 毛坯', '中楼层(共6层)2011年建板楼  -  丹灶', '85万', '单价11039元/平米')
('https://image1.ljcdn.com/440600-inspection/8feaa042-dd29-46d1-a5ef-6c08bceec609.JPG.296x216.jpg', '江滨大厦 2室1厅 70万', '江滨大厦  | 2室1厅 | 59.09平米 | 南 | 其他', '中楼层(共9层)2001年建塔楼  -  黄岐', '70万', '单价11847元/平米')
('https://image1.ljcdn.com/440600-inspection/706a4afa-b1a9-4469-bbd7-668f3bc11f0a.jpg.296x216.jpg', '江南名居 户型方正', '江南名居  | 3室2厅 | 123.5平米 | 南 | 精装', '低楼层(共16层)2006年建塔楼  -  桂城北（南海广场）', '283万', '单价22915元/平米')
('https://image1.ljcdn.com/440600-inspection/91b8144b-c18a-45d4-8bb6-ac165c4432b8.jpg.296x216.jpg', '交通便利 生活方便 配套成熟', '花苑广场  | 3室2厅 | 144平米 | 南 北 | 其他', '中楼层(共8层)2000年建塔楼  -  桂城东（城市广场）', '201.6万', '单价14000元/平米')
('https://image1.ljcdn.com/440600-inspection/224389ed-4645-4611-970b-2a1fc3330c63.jpg.296x216.jpg', '基业花园 3室1厅 170万', '基业花园  | 3室1厅 | 136.49平米 | 南 北 | 其他', '高楼层(共7层)2005年建板塔结合  -  平洲', '170万', '单价12456元/平米')
('https://image1.ljcdn.com/440600-inspection/b67de516-aeeb-4751-abd8-54d8b8910f6e.jpg.296x216.jpg', '万科金域中央 4室2厅 300万', '万科金域中央  | 4室2厅 | 117.8平米 | 南 | 其他', '中楼层(共41层)2016年建塔楼  -  平洲', '300万', '单价25467元/平米')
('https://image1.ljcdn.com/440600-inspection/38485cc3-6abb-486d-9565-534ee4ba6854.jpg.296x216.jpg', '盐步御景* 户型方正 通风透气 东南向', '雅居乐御景名门  | 4室1厅 | 170平米 | 南 北 | 精装', '低楼层(共31层)2012年建塔楼  -  黄岐', '374万', '单价22000元/平米')
('https://image1.ljcdn.com/440600-inspection/39bccc0e-0abd-4e64-91d0-c2fa9878abd1.jpg.296x216.jpg', '桂城十街区 生活便利', '第十街区  | 4室2厅 | 166.9平米 | 南 | 其他', '中楼层(共6层)1998年建板楼  -  天佑', '183.6万', '单价11000元/平米')
('https://image1.ljcdn.com/440600-inspection/61415180-15b5-49a1-8cf4-ffbe9b82dd7d.JPG.296x216.jpg', '上林苑 3室2厅 175万', '上林苑  | 3室2厅 | 116.32平米 | 南 | 其他', '高楼层(共32层)2013年建塔楼  -  狮山', '175万', '单价15045元/平米')
('https://image1.ljcdn.com/440600-inspection/45e54767-1c72-4eb1-94c1-1d2c653b786a.JPG.296x216.jpg', '上林苑 格局方正', '上林苑  | 2室2厅 | 74.13平米 | 南 | 毛坯', '高楼层(共13层)2013年建塔楼  -  狮山', '105万', '单价14165元/平米')
('https://image1.ljcdn.com/440600-inspection/da6d5a64-7fdb-4661-94a9-73e64f8d184b.JPG.296x216.jpg', '时尚名居 3室2厅 133万', '时尚名居  | 3室2厅 | 131平米 | 南 | 其他', '中楼层(共11层)暂无数据  -  丹灶', '133万', '单价10153元/平米')
('https://image1.ljcdn.com/440600-inspection/0fa92b29-7e3d-45c0-8c09-f23a3c912668.jpg.296x216.jpg', '江南名居 实用两房', '江南名居  | 2室2厅 | 85.71平米 | 北 | 简装', '低楼层(共18层)2006年建塔楼  -  桂城北（南海广场）', '175万', '单价20418元/平米')
('https://image1.ljcdn.com/440600-inspection/71ce74c1-1842-42c5-9678-b23bed796fc7.jpg.296x216.jpg', '中海千灯湖花园 实用四房 楼层靓 景靓', '中海千灯湖花园  | 4室2厅 | 169平米 | 东 | 毛坯', '低楼层(共44层)2013年建塔楼  -  千灯湖', '620万', '单价36687元/平米')
('https://image1.ljcdn.com/440600-inspection/4a90ed11-e2cc-4e82-b326-a2924e40d0f4.jpg.296x216.jpg', '保利西雅图 2室2厅 170万', '保利西雅图  | 2室2厅 | 71.56平米 | 北 | 其他', '中楼层(共33层)2016年建塔楼  -  平洲', '170万', '单价23757元/平米')
('https://image1.ljcdn.com/440600-inspection/4153c6ba-907d-460b-b198-7661050a6896.jpg.296x216.jpg', '美豪邨 2室2厅 136万', '美豪邨  | 2室2厅 | 98.77平米 | 东 | 其他', '高楼层(共28层)塔楼  -  天佑', '136万', '单价13770元/平米')
('https://image1.ljcdn.com/440600-inspection/8bcf8d99-a7a3-43b3-b737-7987af68c25c.jpg.296x216.jpg', '碧水湾 4房1厅 275.65万元', '碧水湾  | 4室1厅 | 149平米 | 东南 | 其他', '中楼层(共17层)2007年建塔楼  -  黄岐', '275.7万', '单价18500元/平米')
('https://image1.ljcdn.com/440600-inspection/ff575a0a-5c82-411d-96e9-5ec62136b2f8.jpg.296x216.jpg', '长信银湾 小区管理严', '长信银湾  | 3室2厅 | 112.85平米 | 东南 | 毛坯', '低楼层(共18层)2014年建塔楼  -  罗村', '180.6万', '单价16000元/平米')
('https://image1.ljcdn.com/440600-inspection/259e886d-f6a3-4431-8e91-c5f6b881ec93.JPG.296x216.jpg', '中恒海晖城 4室2厅 179万', '中恒海晖城  | 4室2厅 | 138平米 | 南 | 其他', '低楼层(共25层)2018年建塔楼  -  狮山', '179万', '单价12972元/平米')
('https://image1.ljcdn.com/440600-inspection/b6202864-445c-4d01-b15e-b2cb834e3cd8.jpg.296x216.jpg', '怡翠世嘉花园 3房2厅 200万元', '怡翠世嘉花园  | 3室2厅 | 87平米 | 东南 | 简装', '中楼层(共28层)2012年建塔楼  -  平洲', '200万', '单价22989元/平米')
('https://image1.ljcdn.com/440600-inspection/b48498a1-df90-423b-a287-be9fb53c8c0a.jpg.296x216.jpg', '万科金色城市 3室2厅 250万', '万科金色城市  | 3室2厅 | 89平米 | 南 | 其他', '高楼层(共35层)2018年建塔楼  -  桂城北（南海广场）', '250万', '单价28090元/平米')
('https://image1.ljcdn.com/440600-inspection/a45ff90f-3a5c-48b4-8f05-f1e7e6edcad2.JPG.296x216.jpg', '中海千灯湖花园 大面积单位', '中海千灯湖花园  | 5室2厅 | 190平米 | 南 北 | 毛坯', '中楼层(共44层)2013年建塔楼  -  千灯湖', '590万', '单价31053元/平米')
('https://image1.ljcdn.com/440600-inspection/eadaf6f4-98a2-47cb-bbcd-acb251888bb1.jpg.296x216.jpg', '中海千灯湖花园 169方四房 靓层 靓景', '中海千灯湖花园  | 4室2厅 | 169平米 | 东 | 毛坯', '低楼层(共44层)2013年建塔楼  -  千灯湖', '620万', '单价36687元/平米')
