('https://image1.ljcdn.com/340100-inspection/d29bc567-db84-4449-bd5e-c46d29c0b2d2.JPG.296x216.jpg', '熔安家园，刚需两房，朝南户型，大阳台，采光好，诚售', '熔安家园  | 2室2厅 | 85.76平米 | 南 | 其他', '低楼层(共18层)2015年建塔楼  -  临湖', '115万', '单价13410元/平米')
('https://image1.ljcdn.com/340100-inspection/71ceda19-166a-41d6-9398-bb6089a721a9.JPG.296x216.jpg', '福禄园商品房精装修南北通透视野采光好', '福禄园  | 2室2厅 | 85.32平米 | 南 北 | 其他', '中楼层(共5层)2001年建板楼  -  海恒', '113万', '单价13245元/平米')
('https://image1.ljcdn.com/340100-inspection/a4a6cc8b-a33b-434f-86e7-98e57c099106.jpg.296x216.jpg', '中环城国际公寓 2室2厅 130万', '中环城国际公寓  | 2室2厅 | 63平米 | 北 | 其他', '高楼层(共18层)2012年建塔楼  -  芙蓉', '130万', '单价20635元/平米')
('https://image1.ljcdn.com/340100-inspection/ad7e64e4-257c-4c91-bcfb-3f64a1a5a708.JPG.296x216.jpg', '毛坯房子 全明户型 顶楼复式，大露台 采光很不错', '一里洋房  | 4室2厅 | 155.26平米 | 南 北 | 其他', '高楼层(共6层)2008年建板楼  -  芙蓉', '180万', '单价11594元/平米')
('https://image1.ljcdn.com/340100-inspection/0d38dc28-dde9-43c1-99b3-fbad73987a53.JPG.296x216.jpg', '满二+大三房+南北通透+楼层好+视野好+交通好+配套好', '金水童话名苑  | 3室2厅 | 104.38平米 | 南 北 | 其他', '低楼层(共6层)2008年建板楼  -  莲花', '186万', '单价17820元/平米')
('https://image1.ljcdn.com/340100-inspection/9a881949-f6af-4388-9cb2-cdd06b80da69.JPG.296x216.jpg', '南艳湖南 滨湖西 外地户口可以购房 精装大两室', '观澜华庭  | 2室2厅 | 84.51平米 | 南 | 其他', '高楼层(共18层)2013年建塔楼  -  临湖', '146万', '单价17277元/平米')
('https://image1.ljcdn.com/340100-inspection/e3af781d-2a36-46b8-8822-8dca806a2508.JPG.296x216.jpg', '滨湖前城 多层三房 公摊小 户型好 业主诚心出售', '滨湖前城  | 3室2厅 | 93.91平米 | 南 北 | 其他', '中楼层(共6层)2007年建板楼  -  临湖', '152万', '单价16186元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploade16bee59-17c7-428c-bf3f-9dd6276be982.jpg.296x216.jpg', '东海星城 朝南东边套 精装修 视野良好 采光无遮挡', '东海星城  | 1室1厅 | 50.66平米 | 南 | 其他', '高楼层(共32层)2010年建板楼  -  莲花', '68万', '单价13423元/平米')
('https://image1.ljcdn.com/340100-inspection/fbd1b71e-9961-4f8d-bb38-e77a81ee1036.jpg.296x216.jpg', '前后大院子 户型方正 不靠近铁路 业主诚售', '一里洋房  | 3室2厅 | 127平米 | 南 北 | 其他', '低楼层(共6层)2008年建板楼  -  芙蓉', '210万', '单价16536元/平米')
('https://image1.ljcdn.com/340100-inspection/87e56336-8aaf-4a7f-8eaa-12b722a8cb45.JPG.296x216.jpg', '南北通透格局，视野宽阔，采光充足', '南郡明珠  | 4室2厅 | 136.69平米 | 南 北 | 其他', '高楼层(共11层)2011年建板楼  -  锦绣', '175万', '单价12803元/平米')
('https://image1.ljcdn.com/340100-inspection/3986229a-e54b-400d-9504-7cbcd5196236.JPG.296x216.jpg', '新小区 洋房  近翡翠湖  大学城旁边  一梯两户 品质高', '世茂翡翠首府  | 3室1厅 | 135平米 | 南 | 其他', '中楼层(共6层)板楼  -  芙蓉', '262万', '单价19408元/平米')
('https://image1.ljcdn.com/340100-inspection/035c1281-ada0-4d3f-bcc6-e96b8955ca9f.JPG.296x216.jpg', '名筑花园 2室2厅 120万', '名筑花园  | 2室2厅 | 83.34平米 | 南 北 | 其他', '低楼层(共6层)2006年建板楼  -  莲花', '120万', '单价14399元/平米')
('https://image1.ljcdn.com/340100-inspection/cbd44e28-28ee-469b-8969-e8a0cd4c3330.JPG.296x216.jpg', '汇林园 3室1厅 115万', '汇林园  | 3室1厅 | 82.5平米 | 南 | 其他', '中楼层(共6层)2002年建板楼  -  莲花', '115万', '单价13940元/平米')
('https://image1.ljcdn.com/340100-inspection/370a37ee-6be2-42c6-ac84-d5bcd9acb58c.JPG.296x216.jpg', '芙蓉路次新小区，高端电梯洋房，改善性质大户型。', '葛洲坝玖珑府  | 4室2厅 | 125.36平米 | 南 | 其他', '低楼层(共8层)塔楼  -  芙蓉', '290万', '单价23134元/平米')
('https://image1.ljcdn.com/340100-inspection/aab1587d-bd9e-4a7d-9bc8-024839d9c380.jpg.296x216.jpg', '中间楼层，采光好，大两房，单价便宜。', '翠微北园  | 2室2厅 | 82.09平米 | 南 | 其他', '高楼层(共6层)2006年建板楼  -  芙蓉', '125万', '单价15228元/平米')
('https://image1.ljcdn.com/340100-inspection/70c6f31f-7bff-4150-874c-fae4b5d40a57.JPG.296x216.jpg', '楼层好+采光好+视野开阔+两居室+拎包入住', '东海星城  | 2室1厅 | 61.89平米 | 东南 | 其他', '高楼层(共32层)2010年建板楼  -  莲花', '88万', '单价14219元/平米')
('https://image1.ljcdn.com/340100-inspection/d56f39b2-2285-4169-acaf-45097f298efb.JPG.296x216.jpg', '户型方正+精装修+楼层好+装修好+视野好+满二', '汇峰苹果小镇  | 3室2厅 | 111平米 | 南 | 其他', '高楼层(共32层)2015年建板楼  -  莲花', '170万', '单价15316元/平米')
('https://image1.ljcdn.com/340100-inspection/0b6f5885-7e7d-4334-abc9-8490a1d68700.JPG.296x216.jpg', '经开明珠广场临政务+精装一室一厅带阳台地暖+正规住宅', '东海星城  | 1室1厅 | 53.29平米 | 东南 | 其他', '中楼层(共28层)2010年建板楼  -  莲花', '88万', '单价16514元/平米')
('https://image1.ljcdn.com/340100-inspection/55cce436-516b-452f-857a-2b9cae8bce0a.JPG.296x216.jpg', '经开临滨湖+御景前城小三房+总价低+全明户型配套好', '御景前城  | 3室1厅 | 77.83平米 | 东 西 | 其他', '中楼层(共19层)2014年建塔楼  -  临湖', '102万', '单价13106元/平米')
('https://image1.ljcdn.com/340100-inspection/ae860156-0e18-49bc-98d1-1711e30b7291.jpg.296x216.jpg', '明珠湖畔 2室2厅 134万', '明珠湖畔  | 2室2厅 | 88.15平米 | 南 北 | 其他', '低楼层(共11层)2007年建板楼  -  芙蓉', '134万', '单价15202元/平米')
('https://image1.ljcdn.com/340100-inspection/8613ed87-c140-471c-921c-cc0acc46e72d.jpg.296x216.jpg', '南郡明珠  舒适三房  采光充足', '南郡明珠  | 3室2厅 | 112.63平米 | 南 北 | 其他', '中楼层(共11层)2011年建板楼  -  锦绣', '149万', '单价13230元/平米')
('https://image1.ljcdn.com/340100-inspection/test-6ef89678-fb54-4b6d-9888-97d43c059c91.png.296x216.jpg', '楼层好，朝南户型，采光无遮挡，看房方便，户型方正', '翰林雅居  | 3室2厅 | 132平米 | 南 | 其他', '低楼层(共18层)2004年建板楼  -  芙蓉', '215万', '单价16288元/平米')
('https://image1.ljcdn.com/340100-inspection/test-71dfcb32-99c5-4e8d-a87b-59ff41ce3967.png.296x216.jpg', '高速翡翠湖畔正规三房，客厅带阳台，随时看房', '高速翡翠湖畔  | 3室2厅 | 89平米 | 南 | 其他', '低楼层(共34层)2013年建塔楼  -  芙蓉', '155万', '单价17416元/平米')
('https://image1.ljcdn.com/340100-inspection/50c7a1f4-058c-4796-a228-231e37de6b6c.JPG.296x216.jpg', '满五，小区提供固定车位，自住，精装修', '米兰阳光花园  | 4室2厅 | 160平米 | 南 | 其他', '高楼层(共6层)2006年建板楼  -  锦绣', '180万', '单价11250元/平米')
('https://image1.ljcdn.com/340100-inspection/971fa6a2-8efe-48a4-834d-930221fa69ca.JPG.296x216.jpg', '汇林园 3室2厅 130万', '汇林园  | 3室2厅 | 105平米 | 南 北 | 其他', '高楼层(共6层)2002年建板楼  -  莲花', '130万', '单价12381元/平米')
('https://image1.ljcdn.com/340100-inspection/96b1e754-25a3-43be-b8b2-69e6ba8a1856.JPG.296x216.jpg', '此房满2年 户型方正 朝南两居 业主诚心售', '观澜华庭  | 2室2厅 | 91平米 | 南 | 其他', '低楼层(共18层)2013年建塔楼  -  临湖', '152万', '单价16704元/平米')
('', '世茂翡翠首府 3室2厅 460万', '世茂翡翠首府  | 3室2厅 | 235.1平米 | 南 北 | 其他', '低楼层(共6层)塔楼  -  芙蓉', '460万', '单价19567元/平米')
('https://image1.ljcdn.com/340100-inspection/fc4ac5c0-989c-48ce-8f57-81c1fa7155bc.JPG.296x216.jpg', '南艳湾 3室2厅 194万', '南雁瑞景  | 3室2厅 | 126.26平米 | 南 北 | 其他', '高楼层(共13层)2006年建塔楼  -  海恒', '194万', '单价15366元/平米')
('https://image1.ljcdn.com/340100-inspection/3e17903f-afcf-4c43-9890-aae2ebce22e1.JPG.296x216.jpg', '南湖春城 3室2厅 180万', '南湖春城  | 3室2厅 | 130.32平米 | 南 | 其他', '高楼层(共6层)2008年建板楼  -  海恒', '180万', '单价13813元/平米')
('https://image1.ljcdn.com/340100-inspection/0b612c3a-959e-44a9-aac7-793d94b45085.JPG.296x216.jpg', '中环云邸 3室2厅 246万', '中环云邸  | 3室2厅 | 106.1平米 | 南 | 其他', '高楼层(共33层)2012年建塔楼  -  芙蓉', '246万', '单价23186元/平米')
('https://image1.ljcdn.com/340100-inspection/8b1d6ac4-c035-4da0-9116-05d63a44b7a3.JPG.296x216.jpg', '为你而选 为你为家 精装自住交通便利配套设施全', '康利园  | 3室1厅 | 83.74平米 | 南 | 其他', '高楼层(共6层)2008年建板楼  -  海恒', '108万', '单价12898元/平米')
('https://image1.ljcdn.com/340100-inspection/3af401ce-3177-4306-aaab-583e4451a0a4.JPG.296x216.jpg', '精装一室 朝北带阳台，安医二附院旁交通便利 采光充足', '丹霞柠檬郡  | 1室1厅 | 48.55平米 | 北 | 其他', '中楼层(共16层)2010年建塔楼  -  芙蓉', '68万', '单价14007元/平米')
('https://image1.ljcdn.com/340100-inspection/43bec700-e7ec-4820-9da9-a4e22631ed0a.jpg.296x216.jpg', '为你而选为你为家满2年 精装自住 交通便利配套设施全', '南湖春城  | 3室1厅 | 123.77平米 | 南 北 | 其他', '高楼层(共6层)2008年建板楼  -  海恒', '182万', '单价14705元/平米')
('https://image1.ljcdn.com/340100-inspection/60958fe8-d2a9-49fc-9caf-5472242c4887.JPG.296x216.jpg', '名邦锦绣年华 3室2厅 135万', '名邦锦绣年华  | 3室2厅 | 93.99平米 | 南 | 其他', '中楼层(共6层)2003年建板楼  -  锦绣', '135万', '单价14364元/平米')
('https://image1.ljcdn.com/340100-inspection/82178c2d-bd73-4220-8d67-51a1858ae1c5.JPG.296x216.jpg', '丽景碧雅 3室2厅 210万', '丽景碧雅  | 3室2厅 | 150.3平米 | 南 北 | 其他', '低楼层(共11层)2006年建板楼  -  莲花', '210万', '单价13973元/平米')
('https://image1.ljcdn.com/340100-inspection/fc47c020-72d9-49ae-b85d-52dd7ad00243.JPG.296x216.jpg', '满两年，装修好，边户通透，临滨湖、南艳湖，', '观澜华庭  | 2室2厅 | 87.4平米 | 南 | 其他', '低楼层(共18层)2013年建塔楼  -  临湖', '125万', '单价14303元/平米')
('https://image1.ljcdn.com/340100-inspection/26819109-640b-4f90-94ff-37f44b904510.JPG.296x216.jpg', '翡翠湖畔 品质开发商 物业管理好 交通便利', '禹洲翡翠湖郡  | 3室2厅 | 95.53平米 | 南 | 其他', '高楼层(共33层)2016年建板楼  -  芙蓉', '175万', '单价18319元/平米')
('https://image1.ljcdn.com/340100-inspection/fbb35755-c232-4527-bc36-df1121137f72.JPG.296x216.jpg', '乡村花园 上下二层 带院子 户型方正 诚心出售', '乡村花园  | 5室2厅 | 233.42平米 | 南 北 | 其他', '低楼层(共2层)2006年建板楼  -  海恒', '500万', '单价21421元/平米')
('https://image1.ljcdn.com/340100-inspection/81e731fa-c4d3-45ae-a94c-bb358eb03e19.JPG.296x216.jpg', '居家装修大四房中上楼层采光充足户型通透 带产权车位', '紫御府  | 4室2厅 | 148平米 | 南 北 | 其他', '高楼层(共34层)2013年建板楼  -  莲花', '350万', '单价23649元/平米')
('https://image1.ljcdn.com/340100-inspection/21b63eb1-f5ff-4f34-b7ef-b4a811d9d297.JPG.296x216.jpg', '桃花社区 3室2厅 135万', '桃花社区  | 3室2厅 | 93平米 | 南 北 | 其他', '高楼层(共18层)塔楼  -  莲花', '135万', '单价14517元/平米')
('https://image1.ljcdn.com/340100-inspection/e284ff1b-d20e-4292-a631-ab391e8843fe.JPG.296x216.jpg', '南北通透户型，高楼层，视野开阔，采光好，小区位置好', '文一名门南郡  | 4室2厅 | 104.7平米 | 南 北 | 其他', '中楼层(共32层)塔楼  -  锦绣', '180万', '单价17192元/平米')
('', '金大地时代天街 1室0厅 60万', '金大地时代天街  | 1室0厅 | 40.98平米 | 东 | 其他', '高楼层(共32层)暂无数据  -  莲花', '60万', '单价14642元/平米')
('https://image1.ljcdn.com/340100-inspection/e0dec09a-296e-4d97-8b7e-85474e2fb2df.JPG.296x216.jpg', '东海花园 简装两房 户型规整 视野宽阔', '东海花园  | 2室2厅 | 103平米 | 南 | 其他', '低楼层(共16层)2003年建板楼  -  莲花', '150万', '单价14564元/平米')
('https://image1.ljcdn.com/340100-inspection/4b4d0bf3-d8e3-42b9-8866-f1f22a0c2514.JPG.296x216.jpg', '御湖观邸 3室2厅 210万', '御湖观邸  | 3室2厅 | 140.77平米 | 南 | 其他', '低楼层(共18层)2012年建塔楼  -  海恒', '210万', '单价14918元/平米')
('https://image1.ljcdn.com/340100-inspection/1b00dc06-086d-4e2f-8104-119efcc497b7.JPG.296x216.jpg', '位置好，采光充足，精装小三房，拎包入住', '东海星城  | 3室2厅 | 114.51平米 | 西 | 其他', '中楼层(共18层)2010年建板楼  -  莲花', '185万', '单价16156元/平米')
('https://image1.ljcdn.com/340100-inspection/7a06311d-2a61-4555-9b0c-b0004ca920a4.JPG.296x216.jpg', '大三居 户型方正 采光充足 业主诚意出售', '天门湖花园  | 3室2厅 | 105平米 | 南 北 | 其他', '高楼层(共6层)2005年建板楼  -  锦绣', '117万', '单价11143元/平米')
('https://image1.ljcdn.com/340100-inspection/test-d0a35e76-2d7c-4296-9605-c828c99e8540.png.296x216.jpg', '翰林雅居 大三房 能观翡翠湖 看房有钥匙', '翰林雅居  | 3室2厅 | 116平米 | 南 | 其他', '高楼层(共18层)2004年建板楼  -  芙蓉', '220万', '单价18966元/平米')
('https://image1.ljcdn.com/340100-inspection/ecccc839-c14b-4eae-bdc1-1af9d2d59eb5.jpg.296x216.jpg', '精装修  户型方正  交通便利  小区环境优美', '报业园  | 2室2厅 | 110.98平米 | 南 | 其他', '低楼层(共11层)2008年建板楼  -  芙蓉', '189.8万', '单价17103元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload60514a3d-d21b-42ac-9340-fcfb3027d611.jpg.296x216.jpg', '南北通透  采光好   视野好   楼层高观景好    精装修', '世茂翡翠首府  | 4室2厅 | 130.91平米 | 南 北 | 其他', '高楼层(共34层)2017年建塔楼  -  芙蓉', '235万', '单价17952元/平米')
('https://image1.ljcdn.com/340100-inspection/00156b91-2193-4c8a-826a-c42d7eb42c79.JPG.296x216.jpg', '多层毛坯高楼层 小区环境好位置佳 业主诚售', '九溪江南  | 3室2厅 | 143平米 | 南 | 其他', '高楼层(共6层)2007年建板楼  -  芙蓉', '225万', '单价15735元/平米')
('https://image1.ljcdn.com/340100-inspection/83d0a008-3488-4788-8da6-0d0d2cc8848a.png.296x216.jpg', '楼层好 位置优 采光充足 厨卫全明 视野好 交通便利', '芙蓉公寓  | 3室2厅 | 96.38平米 | 南 | 其他', '中楼层(共6层)2006年建板楼  -  芙蓉', '160万', '单价16601元/平米')
('https://image1.ljcdn.com/340100-inspection/f4e87456-1f24-426a-ad00-3f9e86af11cf.JPG.296x216.jpg', '乡村花园大三房 送院子 采光好 客厅朝南 南艳湖', '乡村花园  | 3室2厅 | 102.88平米 | 南 | 其他', '低楼层(共4层)2006年建板楼  -  海恒', '200万', '单价19441元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadbb3147d0-8f6e-4d37-95d8-b736a29dec49.jpg.296x216.jpg', '三开间朝南好户型，出门就是翡翠湖，全天采光。', '安大磬苑  | 3室2厅 | 111.24平米 | 南 北 | 其他', '低楼层(共6层)2009年建板楼  -  芙蓉', '216万', '单价19418元/平米')
('https://image1.ljcdn.com/340100-inspection/c9c81b39-b039-4057-afc0-5241f123e841.JPG.296x216.jpg', '南艳湖畔 南湖春城高层顶楼大复式  空中别墅 视野佳', '南湖春城  | 5室3厅 | 182.65平米 | 南 北 | 其他', '高楼层(共33层)塔楼  -  海恒', '256万', '单价14016元/平米')
('https://image1.ljcdn.com/340100-inspection/9a9f2bd7-829e-492f-bd13-6683dc9da5ce.jpg.296x216.jpg', '德信文锦新城 3室2厅 230万', '德信文锦新城  | 3室2厅 | 130平米 | 南 | 其他', '高楼层(共6层)2006年建板楼  -  芙蓉', '230万', '单价17693元/平米')
('https://image1.ljcdn.com/340100-inspection/07656025-29d2-4c3b-9ac0-20974aaa5b94.JPG.296x216.jpg', '东边户，高区景观房！精装空置，商超、交通一应俱全！', '经典华城  | 2室2厅 | 77.19平米 | 南 北 | 其他', '高楼层(共33层)2013年建板楼  -  莲花', '168万', '单价21765元/平米')
('https://image1.ljcdn.com/340100-inspection/2151ea36-d041-4bf2-8c1a-3ee6ede0a0e8.JPG.296x216.jpg', '户型正，简装三房，楼层好，视野开阔，采光足', '尚泽紫金公馆  | 3室2厅 | 104平米 | 南 | 其他', '高楼层(共33层)塔楼  -  锦绣', '153万', '单价14712元/平米')
('', '翠微苑 4室3厅 305万', '翠微苑  | 4室3厅 | 206平米 | 南 北 | 精装', '高楼层(共6层)2010年建板楼  -  芙蓉', '305万', '单价14806元/平米')
('https://image1.ljcdn.com/340100-inspection/609483e0-36c6-4b0a-88bf-88c10e852f11.JPG.296x216.jpg', '上海城市 1室1厅 90万', '上海城市  | 1室1厅 | 63.4平米 | 南 | 其他', '中楼层(共26层)2006年建板楼  -  莲花', '90万', '单价14196元/平米')
('https://image1.ljcdn.com/340100-inspection/ca3ddc2a-26d4-4bab-8c7a-f76c8cbe6f25.JPG.296x216.jpg', '南艳湾湖景房，紧靠南艳湖，风景优美，小公摊，采光好', '南雁瑞景  | 3室2厅 | 96平米 | 西 | 其他', '中楼层(共12层)2006年建塔楼  -  海恒', '155万', '单价16146元/平米')
('https://image1.ljcdn.com/340100-inspection/3bc852df-b510-461b-8257-73208312d296.jpg.296x216.jpg', '明珠湖畔三房诚售  有诚意联系我', '明珠湖畔  | 3室2厅 | 117.26平米 | 南 北 | 其他', '中楼层(共16层)2007年建塔楼  -  芙蓉', '195万', '单价16630元/平米')
('', '为你而选为你为家 熔安家园 南北通透大三房 业主诚售', '熔安家园  | 3室2厅 | 127平米 | 南 北 | 其他', '高楼层(共18层)2015年建塔楼  -  临湖', '165万', '单价12993元/平米')
('https://image1.ljcdn.com/340100-inspection/15292b8c-e171-4df4-baf9-3eaba2ad5552.JPG.296x216.jpg', '滨湖前城 大阳台 采光好  纯毛坯 看房方便 诚售', '滨湖前城  | 3室2厅 | 115.52平米 | 南 北 | 其他', '低楼层(共11层)2007年建板塔结合  -  临湖', '155万', '单价13418元/平米')
('https://image1.ljcdn.com/340100-inspection/test-33fcf6dd-f9c5-4204-bb82-d7c938f8bef7.png.296x216.jpg', '品质大四房，中间楼层，户型方正，南北通透。', '绿城翡翠湖玫瑰园  | 4室2厅 | 193平米 | 南 北 | 其他', '中楼层(共31层)2013年建塔楼  -  芙蓉', '530万', '单价27462元/平米')
('https://image1.ljcdn.com/340100-inspection/48fb22f1-cfd3-462b-a9f1-b272a4cceb16.JPG.296x216.jpg', '经开区中环城对面复式朝南三房凯旋公寓对外出售', '凯旋公寓  | 3室2厅 | 69.04平米 | 南 | 其他', '中楼层(共20层)2008年建板楼  -  莲花', '130万', '单价18830元/平米')
('https://image1.ljcdn.com/340100-inspection/334f90d8-6a3a-443a-94fd-0b276ede7518.JPG.296x216.jpg', '客厅带阳台，楼层好，采光充足，小区配套成熟', '东海星城  | 2室2厅 | 87.9平米 | 南 | 其他', '低楼层(共24层)2010年建板楼  -  莲花', '136万', '单价15473元/平米')
('https://image1.ljcdn.com/340100-inspection/c5bcf371-98bb-4375-a6a7-97e1ba2637a8.JPG.296x216.jpg', '徽园旁 明珠广场商业圈 总价低 单价便宜', '东海星城  | 1室1厅 | 48.4平米 | 东北 | 其他', '高楼层(共32层)2010年建板楼  -  莲花', '60万', '单价12397元/平米')
('https://image1.ljcdn.com/340100-inspection/7910b29c-f475-4745-9fb4-b90523eddfe3.jpg.296x216.jpg', '翡翠湖畔 次新小区 品质装修 三房诚售', '禹洲翡翠湖郡  | 3室2厅 | 121.87平米 | 南 北 | 其他', '低楼层(共24层)2016年建塔楼  -  芙蓉', '168万', '单价13786元/平米')
('https://image1.ljcdn.com/340100-inspection/0e54c2e0-effc-4402-bf38-e543efc51bbf.JPG.296x216.jpg', '繁华世家小高层9楼南北通透大三房带产权车位纯毛坯', '繁华世家  | 3室2厅 | 129.81平米 | 南 北 | 其他', '高楼层(共11层)2006年建板楼  -  莲花', '189万', '单价14560元/平米')
('https://image1.ljcdn.com/340100-inspection/f1a545dc-6391-4be2-ba64-3259526770c1.JPG.296x216.jpg', '紫御府 4室2厅 500万', '紫御府  | 4室2厅 | 198平米 | 南 北 | 其他', '中楼层(共32层)2013年建板楼  -  莲花', '500万', '单价25253元/平米')
('https://image1.ljcdn.com/340100-inspection/test-7658b597-3a1d-4cb3-ba0e-d177ddd94aa0.png.296x216.jpg', '精装修，多层大三房，业主诚心出售，中间楼层采光充足', '明珠湖畔  | 3室2厅 | 139.96平米 | 南 北 | 其他', '中楼层(共6层)2007年建板楼  -  芙蓉', '210万', '单价15005元/平米')
('https://image1.ljcdn.com/340100-inspection/6b70fb13-f496-46d3-8a15-b2e59661a874.JPG.296x216.jpg', '怡莲新城 3室2厅 180万', '怡莲新城  | 3室2厅 | 132.54平米 | 南 | 其他', '高楼层(共6层)2003年建板楼  -  莲花', '180万', '单价13581元/平米')
('https://image1.ljcdn.com/340100-inspection/2343408d-e445-4494-a049-9af4aa4520e9.JPG.296x216.jpg', '[为你而选为你为家]精装修 刚需两房 交通便利看房方便', '御景前城  | 2室1厅 | 88.12平米 | 南 北 | 其他', '低楼层(共18层)2014年建塔楼  -  临湖', '140万', '单价15888元/平米')
('https://image1.ljcdn.com/340100-inspection/fa868531-5f43-40a5-82df-6da2da4061f2.JPG.296x216.jpg', '南君明珠 精装两房 户型方正 采光很好', '南郡明珠  | 2室2厅 | 86平米 | 南 北 | 其他', '中楼层(共18层)2011年建板楼  -  锦绣', '123万', '单价14303元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload45410c13-d7ac-40c6-89b8-656e04fc172b.JPG.296x216.jpg', '金大地时代天街 1室0厅 67万', '金大地时代天街  | 1室0厅 | 43.88平米 | 西北 | 其他', '高楼层(共33层)暂无数据  -  莲花', '67万', '单价15269元/平米')
('https://image1.ljcdn.com/340100-inspection/1d177314-1756-429b-9acb-42c1e9a78d47.JPG.296x216.jpg', '中环湖滨公馆 6室2厅 175万', '中环湖滨公馆  | 6室2厅 | 88平米 | 南 北 | 其他', '高楼层(共33层)塔楼  -  临湖', '175万', '单价19887元/平米')
('https://image1.ljcdn.com/340100-inspection/88481a25-a839-4eb6-a6a1-1f576c3f9c83.JPG.296x216.jpg', '芙蓉名园 满两年 居家装修 繁华位置', '芙蓉名园  | 3室2厅 | 128.8平米 | 南 北 | 其他', '高楼层(共18层)2006年建板楼  -  莲花', '170万', '单价13199元/平米')
('https://image1.ljcdn.com/340100-inspection/f2739883-c732-4b59-a650-76ff3fc2a3fa.jpg.296x216.jpg', '港澳广场旁 精装大三房 多层三楼 采光好 随时可看', '翠微苑  | 3室2厅 | 127.83平米 | 南 北 | 其他', '中楼层(共6层)2010年建板楼  -  芙蓉', '195万', '单价15255元/平米')
('', '天门湖新界  满五年 毛坯  单价低 采光好', '天门湖新界  | 4室2厅 | 125平米 | 南 北 | 其他', '高楼层(共6层)2006年建塔楼  -  锦绣', '155万', '单价12400元/平米')
('https://image1.ljcdn.com/340100-inspection/6d9c67ea-a6a7-425b-b7e3-9b5fee30e68f.JPG.296x216.jpg', '绿地滨湖印象 南北双阳台 楼层位置好视野广采光好诚售', '绿地滨湖印象  | 4室2厅 | 116平米 | 南 北 | 其他', '高楼层(共41层)2016年建塔楼  -  临湖', '184万', '单价15863元/平米')
('https://image1.ljcdn.com/340100-inspection/a06d209c-f3b7-4c7b-bca3-aab3e0a94983.JPG.296x216.jpg', '时光原著 3室2厅 159万', '时光原著  | 3室2厅 | 88.85平米 | 南 | 其他', '低楼层(共32层)2013年建塔楼  -  海恒', '159万', '单价17896元/平米')
('https://image1.ljcdn.com/340100-inspection/6ad8cc7c-c213-4fc6-8e0d-ea13c8c843e3.jpg.296x216.jpg', '方正户型，日照时间长，业主自住', '翠微苑  | 2室2厅 | 97.37平米 | 南 北 | 其他', '高楼层(共6层)2010年建板楼  -  芙蓉', '148万', '单价15200元/平米')
('https://image1.ljcdn.com/340100-inspection/661b6f4e-8c93-41e8-b4bf-1946531a0220.JPG.296x216.jpg', '葛洲坝玖珑府  小三房 纯毛坯 环境优美 户型方正', '葛洲坝玖珑府  | 3室2厅 | 91.53平米 | 南 北 | 其他', '低楼层(共31层)塔楼  -  芙蓉', '168万', '单价18355元/平米')
('https://image1.ljcdn.com/340100-inspection/0a15d59a-577f-4a05-91a2-826bd7d004d5.JPG.296x216.jpg', '精装大二房采光好，交通便利 看房方便', '月半湾青年公寓  | 2室2厅 | 80.91平米 | 南 | 其他', '中楼层(共4层)2010年建板楼  -  芙蓉', '110万', '单价13596元/平米')
('https://image1.ljcdn.com/340100-inspection/7c7672c5-32dc-4ddf-9254-faded51732f5.JPG.296x216.jpg', '南北通透，双阳台，高楼层，采光刺眼，视野开阔', '南湖春城  | 3室2厅 | 122.65平米 | 南 北 | 其他', '中楼层(共32层)2008年建塔楼  -  海恒', '178万', '单价14513元/平米')
('https://image1.ljcdn.com/340100-inspection/7413bd84-592e-43ef-9521-445bdef98557.JPG.296x216.jpg', '绿城玫瑰园高品质 户型赞 诚心出售', '绿城翡翠湖玫瑰园  | 5室2厅 | 264.84平米 | 南 北 | 其他', '高楼层(共37层)2013年建塔楼  -  芙蓉', '620万', '单价23411元/平米')
('https://image1.ljcdn.com/340100-inspection/02f9c843-e0fd-481d-8de3-5a62e284f6ac.JPG.296x216.jpg', '福禄园 南北通透大三房 大阳台采光好楼层位置好 诚售', '福禄园  | 3室2厅 | 130.1平米 | 南 北 | 其他', '中楼层(共5层)2001年建板楼  -  海恒', '165万', '单价12683元/平米')
('https://image1.ljcdn.com/340100-inspection/d7546c39-fbfe-4a52-99a0-63b7cdfe676a.JPG.296x216.jpg', '福禄园 户型方正 南北通透 两房带飘窗', '福禄园  | 2室2厅 | 102.34平米 | 南 北 | 其他', '低楼层(共6层)2001年建板楼  -  海恒', '120万', '单价11726元/平米')
('https://image1.ljcdn.com/340100-inspection/6dd6d47c-1464-49c6-86e3-e25b27560b00.JPG.296x216.jpg', '文锦新城大两房纯毛坯两房朝南户型方正', '德信文锦新城  | 2室2厅 | 98.85平米 | 南 | 其他', '低楼层(共24层)2006年建塔楼  -  芙蓉', '145万', '单价14669元/平米')
