('https://image1.ljcdn.com/441900-inspection/2aec141c-53b4-4b14-b41e-7dbbb5d6b57b.jpg.296x216.jpg', '未来世界花园 复式两房 带装修 高楼层 朝南向 采光好', '未来世界花园  | 2室2厅 | 53.4平米 | 西南 | 其他', '高楼层(共17层)塔楼  -  东泰', '125万', '单价23409元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload4eb482ae-7d1d-474a-8d90-fe6545913b0e.jpg.296x216.jpg', '大三房地段好，出行方便，地铁口物业', '金丰花园天景居  | 3室2厅 | 119平米 | 西北 | 其他', '高楼层(共6层)暂无数据  -  宏远北', '190万', '单价15967元/平米')
('https://image1.ljcdn.com/441900-inspection/6efb4894-5f7a-482f-9c6e-c835b898888a.jpg.296x216.jpg', '凯旋国际：精装修两房出售 售价150万。', '中信凯旋国际  | 2室1厅 | 75平米 | 东南 | 其他', '低楼层(共11层)塔楼  -  南城车站', '158万', '单价21067元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadd70b1e86-872e-4e45-ad47-2c6dad419599.jpg.296x216.jpg', '三房两厅 满五唯一 带60平米大露台', '石竹新花园  | 3室2厅 | 123.73平米 | 西北 | 其他', '低楼层(共16层)塔楼  -  石竹', '240万', '单价19398元/平米')
('https://image1.ljcdn.com/441900-inspection/ffee80b3-7137-44f7-a1df-9725860ac007.jpg.296x216.jpg', '汇龙湾精修两房 户型方正实用 通风光采好。', '汇龙湾  | 2室2厅 | 76平米 | 西南 | 其他', '中楼层(共32层)塔楼  -  宏远北', '152万', '单价20000元/平米')
('https://image1.ljcdn.com/441900-inspection/36093fea-75e0-4a5a-8caf-33331b678df3.jpg.296x216.jpg', '高层业主自住装修两房 中间位置 保养好', '光大景湖时代城  | 2室1厅 | 85.9平米 | 北 | 其他', '高楼层(共32层)塔楼  -  东泰', '250万', '单价29104元/平米')
('https://image1.ljcdn.com/441900-inspection/876dc9d6-1a90-4b0d-b107-13f29cebf0bb.jpg.296x216.jpg', '幸福公馆：精装修高层两房出售 推荐房源、', '世纪城幸福公馆  | 2室1厅 | 81.16平米 | 东南 | 精装', '中楼层(共29层)塔楼  -  南城车站', '190万', '单价23411元/平米')
('https://image1.ljcdn.com/441900-inspection/3db0b7bd-8608-4718-8567-b7da8f73b3dd.jpg.296x216.jpg', '汇景上层 3室2厅 230万', '汇景上层  | 3室2厅 | 110.58平米 | 东南 | 其他', '低楼层(共11层)塔楼  -  石竹', '230万', '单价20800元/平米')
('https://image1.ljcdn.com/441900-inspection/add28e9c-d379-482b-8990-4abfd89b32cf.jpg.296x216.jpg', '光大景湖时代城 精装双阳台 通风性好 交通便利', '光大景湖时代城  | 2室2厅 | 88.19平米 | 北 | 其他', '中楼层(共16层)塔楼  -  东泰', '258万', '单价29256元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload123a9e7b-0fe3-4093-81d8-f3017320305c.jpg.296x216.jpg', '中熙弥珍道 精装修电梯居家两房', '中熙弥珍道  | 2室2厅 | 61.99平米 | 西南 | 精装', '高楼层(共25层)塔楼  -  东泰', '120万', '单价19358元/平米')
('https://image1.ljcdn.com/441900-inspection/b8dcb37b-27cb-4fb7-9396-d68a3c368abc.jpg.296x216.jpg', '四房两厅，中高楼层，南向，看花园', '万科金域华府二期  | 4室2厅 | 150平米 | 东南 | 其他', '低楼层(共32层)塔楼  -  石竹', '380万', '单价25334元/平米')
('https://image1.ljcdn.com/441900-inspection/a95467f9-fd89-4210-b256-260c9b61e2af.jpg.296x216.jpg', '新小区精美装修两房 高层南向 家私家电齐全', '中央财津  | 2室1厅 | 63.8平米 | 东北 | 其他', '中楼层(共26层)2010年建塔楼  -  三元里', '113万', '单价17712元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload8beee8b4-38f0-4421-a79a-a757f84476cd.jpg.296x216.jpg', '光大物业 景湖春晓精装4+1房出售 保养很好 满五年', '光大景湖春晓  | 4室2厅 | 162.23平米 | 东南 | 其他', '低楼层(共11层)2005年建塔楼  -  东泰', '370万', '单价22808元/平米')
('https://image1.ljcdn.com/441900-inspection/06c5c5fd-2e66-4260-a904-05e142cd072a.jpg.296x216.jpg', '四期大户型3+1毛坯业主诚意出售', '金域中央四期  | 4室2厅 | 165平米 | 东南 | 其他', '中楼层(共23层)塔楼  -  南城车站', '400万', '单价24243元/平米')
('https://image1.ljcdn.com/441900-inspection/88d8e8aa-4dc7-4083-a104-301ddaa51621.jpg.296x216.jpg', '地铁口物业 方正实用两房 随时看房', '新中银·金色华庭  | 2室1厅 | 79.1平米 | 东南 | 其他', '中楼层(共11层)塔楼  -  东泰', '175万', '单价22124元/平米')
('https://image1.ljcdn.com/441900-inspection/29fd17e7-4f02-415f-b429-93f4b3b034eb.jpg.296x216.jpg', '标准三房；业主承担全部的个税； 相当于满五唯一', '宏远活力康城  | 3室2厅 | 94.7平米 | 西北 | 其他', '高楼层(共12层)塔楼  -  宏远北', '180万', '单价19008元/平米')
('https://image1.ljcdn.com/441900-inspection/02449c8a-db4e-4202-8871-e87ca4805215.jpg.296x216.jpg', '东骏豪苑 精装修两房 朝东看山景 位置安静', '东骏豪苑  | 2室2厅 | 79.92平米 | 东 | 精装', '低楼层(共18层)塔楼  -  西平', '190万', '单价23774元/平米')
('https://image1.ljcdn.com/441900-inspection/59bcd4dc-1388-472a-b75e-3ff25d98941c.jpg.296x216.jpg', '精装两房 方正实用 明厨明卫 大阳台 东南向景观好', '金丰花园天景居  | 2室2厅 | 54.79平米 | 东南 | 其他', '高楼层(共7层)塔楼  -  宏远北', '77万', '单价14054元/平米')
('https://image1.ljcdn.com/441900-inspection/71f18ed8-7e6f-4842-8acc-c88d7a2e3607.jpg.296x216.jpg', '三房两厅两卫，业主诚心出售，房子大，通风好。', '恒大御景  | 3室2厅 | 117平米 | 东南 西北 | 其他', '低楼层(共19层)2016年建塔楼  -  白马', '265万', '单价22650元/平米')
('https://image1.ljcdn.com/441900-inspection/b83d6c5d-310c-44f1-8c68-24f3f3957d98.jpg.296x216.jpg', '光大景湖时代城 2室2厅 258万', '光大景湖时代城  | 2室2厅 | 84平米 | 南 | 其他', '中楼层(共32层)塔楼  -  东泰', '258万', '单价30715元/平米')
('https://image1.ljcdn.com/441900-inspection/9f9ba732-9a5f-4765-951d-e0c9c1bda629.jpg.296x216.jpg', '国际公馆二期 中高楼层 精装修 税费低', '世纪城国际公馆二期  | 3室1厅 | 118.77平米 | 西南 | 其他', '中楼层(共8层)塔楼  -  西平', '240万', '单价20208元/平米')
('https://image1.ljcdn.com/441900-inspection/9058b1ff-eeaa-416e-b5fe-936c54d6a156.jpg.296x216.jpg', '此套房户型方正，光线好无暗房，明厨明卫，看小区花园', '宏远江南世家  | 3室2厅 | 99.25平米 | 西南 | 其他', '低楼层(共12层)塔楼  -  宏远北', '195万', '单价19648元/平米')
('https://image1.ljcdn.com/441900-inspection/26cd0d05-b63b-4fd4-9909-bddb0a0ea9be.jpg.296x216.jpg', '石竹新花园  一楼送60平方花园  零个税', '石竹新花园  | 3室2厅 | 133平米 | 东南 西北 | 简装', '低楼层(共16层)塔楼  -  石竹', '260万', '单价19549元/平米')
('https://image1.ljcdn.com/441900-inspection/4871dad2-fd0c-44fe-b652-0e01634dad9b.jpg.296x216.jpg', '骏马山庄别墅  一手交楼没有装修 毛坯  满五唯一', '骏马山庄   | 独栋别墅 | 5室2厅 | 202.98平米 | 南 | 其他', '2层暂无数据  -  南城车站', '425万', '单价20939元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadd949d1b8-f54f-46f3-9900-ae7965bc47fd.jpg.296x216.jpg', '万科翡丽山  新精美装修三房 空气清新  70亩山', '万科翡丽山  | 3室2厅 | 94.72平米 | 南 | 其他', '低楼层(共24层)2012年建塔楼  -  水濂山', '190万', '单价20060元/平米')
('https://image1.ljcdn.com/441900-inspection/95a5c72b-cf85-4475-b732-80425811f747.jpg.296x216.jpg', '景湖花园 高楼层 采光好 出行交通便利 安静舒适', '光大景湖花园  | 3室2厅 | 238平米 | 东南 | 其他', '高楼层(共5层)2002年建暂无数据  -  东泰', '380万', '单价15967元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload3b7f5da9-365c-4976-b74d-22f8893a83ff.jpg.296x216.jpg', '国际公馆顶楼复式 大四房 带平台', '世纪城国际公馆二期  | 4室2厅 | 120平米 | 西南 | 其他', '高楼层(共8层)塔楼  -  西平', '360万', '单价30000元/平米')
('https://image1.ljcdn.com/441900-inspection/fa54e9de-ecad-49e1-a856-ff8b1a91fe97.jpg.296x216.jpg', '这种小两房户型方正，带平台，单价低，又在白马广场', '尚品居  | 2室1厅 | 74.57平米 | 南 北 | 其他', '中楼层(共26层)塔楼  -  白马', '140万', '单价18775元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadd9324058-50b4-4e97-af63-022e72ffcf7c.jpg.296x216.jpg', '精致两房，采光好，朝向佳，业主诚心出售', '金丰花园天景居  | 2室2厅 | 73平米 | 西北 | 其他', '高楼层(共8层)塔楼  -  宏远北', '110万', '单价15069元/平米')
('https://image1.ljcdn.com/441900-inspection/4a518178-564d-4e19-ae8e-91364503ba39.jpg.296x216.jpg', '高层方正四房  看花园景观 诚心出售', '佳兆业帝景中央  | 4室2厅 | 154.75平米 | 西南 | 其他', '高楼层(共32层)塔楼  -  西平', '320万', '单价20679元/平米')
('https://image1.ljcdn.com/441900-inspection/1961a7ed-c6b8-4b52-8e66-ea540e3074d1.jpg.296x216.jpg', '时代城两房，中高楼层，采光保养好，随时可拎包入住', '光大景湖时代城  | 2室2厅 | 77平米 | 西北 | 精装', '中楼层(共16层)塔楼  -  东泰', '200万', '单价25975元/平米')
('https://image1.ljcdn.com/441900-inspection/bc23d46c-e61f-4247-8751-6602d21c0687.jpg.296x216.jpg', '不在这边发展，房子在空置，多余物业', '御花苑  | 1室0厅 | 34.66平米 | 北 | 其他', '中楼层(共7层)塔楼  -  水濂山', '49万', '单价14138元/平米')
('https://image1.ljcdn.com/441900-inspection/1a4fec74-286c-4272-9df6-b1946c845f20.jpg.296x216.jpg', '中信新天地 3室2厅 220万', '中信新天地  | 3室2厅 | 98.55平米 | 东南 南 | 其他', '高楼层(共19层)2004年建塔楼  -  石竹', '220万', '单价22324元/平米')
('https://image1.ljcdn.com/441900-inspection/63012361-8bbb-4bbb-8d28-05ddf7321c04.jpg.296x216.jpg', '小区新，楼层好 采光棒 明厨明卫设计，万科物业带装修', '万科金悦香树  | 2室1厅 | 76.76平米 | 东南 | 其他', '高楼层(共30层)塔楼  -  南城车站', '170万', '单价22147元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload19ec92a3-2030-4453-9008-d10300a036d1.jpg.296x216.jpg', '可可园正规85平2房，高楼层视野好，南北通。', '新中银·金色华庭  | 2室2厅 | 85平米 | 南 | 其他', '高楼层(共18层)塔楼  -  东泰', '230万', '单价27059元/平米')
('https://image1.ljcdn.com/441900-inspection/3eaf1d04-0ac4-40a9-8a58-f3c509f472cf.jpg.296x216.jpg', '新天地大三房出售  保养通风好  楼层好  交通方便', '中信新天地  | 3室1厅 | 122.75平米 | 东北 | 其他', '高楼层(共19层)2004年建塔楼  -  石竹', '240万', '单价19552元/平米')
('', '电梯一房一厅 楼龄新 交通方便 买回来直接拎包入住', '中央财津  | 1室1厅 | 46.59平米 | 南 | 精装', '中楼层(共26层)2010年建塔楼  -  三元里', '90万', '单价19318元/平米')
('https://image1.ljcdn.com/441900-inspection/c3635efb-9a4b-43be-a939-b4e8f5160f6b.jpg.296x216.jpg', '中信新天地三房2卫，满五唯一税费低拎包入住', '中信新天地  | 3室2厅 | 118平米 | 东 | 其他', '低楼层(共19层)2004年建塔楼  -  石竹', '200万', '单价16950元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload013f4cf3-86b4-476d-b2e6-99763308ad59.jpg.296x216.jpg', '宏远江南世家 3室2厅 255万', '宏远江南世家  | 3室2厅 | 136平米 | 东南 | 其他', '中楼层(共17层)塔楼  -  宏远北', '255万', '单价18750元/平米')
('https://image1.ljcdn.com/441900-inspection/8af68f5a-d013-4624-becf-36688449438a.jpg.296x216.jpg', '层高3.2不压抑，单价仅仅15000，业主诚心出售', '江南雅筑  | 3室2厅 | 119.5平米 | 北 | 其他', '低楼层(共17层)2007年建塔楼  -  宏远北', '180万', '单价15063元/平米')
('https://image1.ljcdn.com/441900-inspection/f9036cf1-9395-4f60-a8c8-0c754afbe28e.jpg.296x216.jpg', '中信凯旋国际 中高层 大四房 装修保养好，双阳台', '中信凯旋国际  | 4室2厅 | 151.67平米 | 东南 | 其他', '低楼层(共32层)塔楼  -  南城车站', '350万', '单价23077元/平米')
('https://image1.ljcdn.com/441900-inspection/854ffed6-a48c-4ec2-b641-2cd52c15ce39.jpg.296x216.jpg', '中信新天地 标准大两房，带大平台，东南向景观好', '中信新天地  | 2室1厅 | 77.87平米 | 东南 | 其他', '低楼层(共19层)2004年建塔楼  -  石竹', '180万', '单价23116元/平米')
('https://image1.ljcdn.com/441900-inspection/8e8a2627-e3a0-4193-aff3-e5c0b41b2357.jpg.296x216.jpg', '春晓电梯大三房，中高楼层采光通风佳，视野开阔景观好', '光大景湖春晓  | 3室2厅 | 115.43平米 | 北 | 其他', '中楼层(共18层)2005年建塔楼  -  东泰', '280万', '单价24258元/平米')
('https://image1.ljcdn.com/441900-inspection/79f1121f-abbc-4839-8484-9c4d3ab87ad1.jpg.296x216.jpg', '未来世界花园高楼层采光好一房一厅诚意出售', '未来世界花园  | 1室1厅 | 48.9平米 | 东北 | 简装', '高楼层(共14层)塔楼  -  东泰', '100万', '单价20450元/平米')
('https://image1.ljcdn.com/441900-inspection/7029fae9-fbf5-49be-9d7b-394f2e72e3fd.jpg.296x216.jpg', '可可园，地铁口位，毛坯方正两房，中高楼层！', '新中银·金色华庭  | 2室2厅 | 85.71平米 | 西南 | 毛坯', '中楼层(共18层)塔楼  -  东泰', '190万', '单价22168元/平米')
('https://image1.ljcdn.com/441900-inspection/da70980b-f07b-48a6-9c20-b6f8e245206a.jpg.296x216.jpg', '精装四房 楼龄新 实用保养好 楼层好  拎包入住', '江南第一城  | 4室2厅 | 119.68平米 | 北 | 其他', '低楼层(共27层)塔楼  -  宏远北', '240万', '单价20054元/平米')
('https://image1.ljcdn.com/441900-inspection/0aa76cf9-8311-45dd-a19b-354959cef5f2.jpg.296x216.jpg', '东南方向  居家户型  证满5年', '中信新天地  | 3室2厅 | 117.47平米 | 东南 | 其他', '中楼层(共16层)2004年建塔楼  -  石竹', '210万', '单价17877元/平米')
('https://image1.ljcdn.com/441900-inspection/1c75dfc1-dc44-45c5-9856-5b2ddb6c784f.jpg.296x216.jpg', '西平 世纪城国际公馆 精装大三房 视野好 通透对流', '世纪城国际公馆一期  | 3室2厅 | 144平米 | 西南 | 其他', '中楼层(共8层)塔楼  -  西平', '310万', '单价21528元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadaa8b6df1-5b43-42d6-bfa9-ec9ba031acaa.jpg.296x216.jpg', '美墅大四房  朝南对流通透  精装带家私', '金域中央二期  | 4室2厅 | 161平米 | 南 | 简装', '低楼层(共6层)暂无数据  -  南城车站', '354万', '单价21988元/平米')
('https://image1.ljcdn.com/441900-inspection/e0083a6b-2abe-4a1d-ae4b-d229963928c9.jpg.296x216.jpg', '二期高层朝东南大四房，业主自住保养很好', '万科金域华府二期  | 4室1厅 | 158平米 | 东南 | 其他', '低楼层(共26层)塔楼  -  石竹', '400万', '单价25317元/平米')
('https://image1.ljcdn.com/441900-inspection/71c0fc6a-7655-4a73-b265-bf255d730c8b.jpg.296x216.jpg', '精装两房 采光通风好 温馨整洁 加赠送面75平', '万科金域华府一期  | 2室1厅 | 59.57平米 | 西南 | 其他', '高楼层(共27层)2010年建塔楼  -  石竹', '178万', '单价29881元/平米')
('https://image1.ljcdn.com/441900-inspection/8168e940-dda1-4072-b3a7-3b7896db9029.jpg.296x216.jpg', '电梯三房  满五年宏远花园  高楼层视野好', '宏远花园  | 3室2厅 | 86平米 | 西南 | 其他', '中楼层(共21层)塔楼  -  宏远南', '86万', '单价10000元/平米')
('https://image1.ljcdn.com/441900-inspection/e39f7a9c-b965-466a-876d-00de6ed9a797.jpg.296x216.jpg', '鸿福路口精致温馨装修两房，单价低,', '综艺曼哈顿时代  | 2室1厅 | 92平米 | 南 | 其他', '低楼层(共24层)塔楼  -  鸿福路口', '135万', '单价14674元/平米')
('https://image1.ljcdn.com/441900-inspection/4c7a72c7-f645-4a4e-823e-a5ee98951a57.jpg.296x216.jpg', '中信森林湖毛坯别墅  环境好 空气清新', '中信森林湖一期翡翠湾   | 独栋别墅 | 6室2厅 | 782平米 | 东 | 其他', '1层暂无数据  -  水濂山', '2600万', '单价33249元/平米')
('https://image1.ljcdn.com/441900-inspection/785340c6-85f1-4f81-8985-f07d4214be51.jpg.296x216.jpg', '东骏精装大三房朝花园户型方正实用改为四房采光视野好', '东骏豪苑  | 3室2厅 | 136.7平米 | 西北 | 其他', '中楼层(共16层)塔楼  -  西平', '335万', '单价24507元/平米')
('https://image1.ljcdn.com/441900-inspection/f1f3d782-8424-479a-8d41-37743acb323b.jpg.296x216.jpg', '房子是恒大开发商，装修质量可靠，油烟机都是用海尔的', '恒大御景  | 3室2厅 | 90.72平米 | 东南 | 其他', '低楼层(共25层)2016年建塔楼  -  白马', '210万', '单价23149元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload02cb4f95-141c-4faf-9e51-840e3fd20d27.jpg.296x216.jpg', '现代经典四房，业主诚心卖。满五不唯一。', '现代经典花园  | 4室2厅 | 156平米 | 西南 | 其他', '高楼层(共6层)暂无数据  -  西平', '280万', '单价17949元/平米')
('https://image1.ljcdn.com/441900-inspection/a76e1bc6-6fa1-4674-87a7-56ab559d9f39.jpg.296x216.jpg', '光大景湖春晓 1室1厅 105万', '光大景湖春晓  | 1室1厅 | 54.78平米 | 南 | 其他', '中楼层(共18层)2005年建塔楼  -  东泰', '105万', '单价19168元/平米')
('https://image1.ljcdn.com/441900-inspection/978d96a1-7947-4c75-9189-1d9ecae1efc8.jpg.296x216.jpg', '中信森林湖 少有户型，地铁口 带花园', '中信森林湖兰溪谷  | 4室2厅 | 145平米 | 南 | 其他', '低楼层(共30层)2012年建塔楼  -  水濂山', '500万', '单价34483元/平米')
('https://image1.ljcdn.com/441900-inspection/ed8a6d0f-e873-4c07-9105-f0b1b3560972.jpg.296x216.jpg', '景湖春晓这位出售，有产权，停车方便', '光大景湖春晓  | 车位 | 12.5平米 | 南', '暂无数据  -  东泰', '22万', '单价17600元/平米')
('https://image1.ljcdn.com/441900-inspection/7b8666e9-8dc1-4ad1-93c3-831d930a8cf6.jpg.296x216.jpg', '东骏朗晴居此房 满五唯一 住房精装二房自己居住', '东骏朗晴居  | 2室2厅 | 53.9平米 | 东南 | 其他', '高楼层(共7层)塔楼  -  东泰', '142万', '单价26346元/平米')
('https://image1.ljcdn.com/441900-inspection/1cdb153c-2522-4d6e-86fd-649f44f81c32.jpg.296x216.jpg', '精装2房 看花园 南向 满五唯一', '万科金域华府二期  | 2室1厅 | 77.4平米 | 东南 | 其他', '中楼层(共32层)塔楼  -  石竹', '222万', '单价28683元/平米')
('https://image1.ljcdn.com/441900-inspection/4278aefd-4278-440d-bb75-7571026dadb7.jpg.296x216.jpg', '百悦尚城一期 3室2厅 230万', '百悦尚城一期  | 3室2厅 | 120平米 | 南 | 其他', '中楼层(共11层)塔楼  -  南城车站', '230万', '单价19167元/平米')
('https://image1.ljcdn.com/441900-inspection/f4384290-0d51-4862-b6d3-d661922cd52c.jpg.296x216.jpg', '小区花园中间这位置安静 带花园户型.', '百悦尚城一期  | 4室2厅 | 152.77平米 | 南 | 其他', '低楼层(共11层)塔楼  -  南城车站', '366万', '单价23958元/平米')
('https://image1.ljcdn.com/441900-inspection/8e9e23c9-0141-4a87-8065-aa39fbd13e96.jpg.296x216.jpg', '一楼带花园  带双阳台 业主自己在住的  装修保养很好', '光大景湖春晓  | 1室1厅 | 49.8平米 | 东南 | 其他', '低楼层(共18层)2005年建塔楼  -  东泰', '110万', '单价22089元/平米')
('https://image1.ljcdn.com/441900-inspection/e933323e-e2f3-44fc-955b-caadd5cd202d.jpg.296x216.jpg', '城市风景 精装2+1 重新翻新 保养好  实用', '城市风景  | 2室2厅 | 80.83平米 | 西南 | 其他', '低楼层(共15层)板楼  -  石竹', '140万', '单价17321元/平米')
('https://image1.ljcdn.com/441900-inspection/3e7dc306-3734-402a-bf69-a67d86844696.jpg.296x216.jpg', '满五唯一，高楼层 经济实用小两房', '名门世家  | 2室2厅 | 63.97平米 | 东北 | 其他', '中楼层(共17层)2008年建塔楼  -  三元里', '118万', '单价18447元/平米')
('https://image1.ljcdn.com/441900-inspection/94bf78b4-4d65-4c89-9540-79295cae3e08.jpg.296x216.jpg', '精致装修两房，朝南，业主诚心卖', '御花苑  | 2室2厅 | 67.8平米 | 东南 | 其他', '中楼层(共7层)塔楼  -  水濂山', '135万', '单价19912元/平米')
('https://image1.ljcdn.com/440300-inspection/a5bc6307-c342-4eb2-aa06-516f045aff1a.jpg.296x216.jpg', '尚品居 精装两房 业主诚心卖  业主承担5万个税', '尚品居  | 2室2厅 | 70.9平米 | 西北 | 其他', '高楼层(共26层)塔楼  -  白马', '130万', '单价18336元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload48f3e865-26ca-421d-a7ee-e71a8f71b3fa.jpg.296x216.jpg', '东骏实用户型，看花园，装修保养几好，业主诚心出售。', '东骏豪苑  | 2室2厅 | 147.5平米 | 西北 | 其他', '中楼层(共17层)塔楼  -  西平', '320万', '单价21695元/平米')
('https://image1.ljcdn.com/441900-inspection/b468a0e0-a00a-4e9a-81bb-db9e2083d831.jpg.296x216.jpg', '恒大御景 精装小三房 高楼层 诚心出售', '恒大御景  | 3室2厅 | 88.93平米 | 西南 | 其他', '中楼层(共25层)塔楼  -  白马', '218万', '单价24514元/平米')
('https://image1.ljcdn.com/441900-inspection/24d59c59-594f-4f7f-879b-863245772ba4.jpg.296x216.jpg', '朝南户型，装修保养好，居住安静舒适，环境优美', '光大景湖时代城  | 3室2厅 | 100.47平米 | 南 | 其他', '高楼层(共32层)塔楼  -  东泰', '340万', '单价33841元/平米')
('https://image1.ljcdn.com/441900-inspection/db78205c-9468-457b-89a3-f25c32c840d8.jpg.296x216.jpg', '金地物业精装四房，南向中高楼层，保养好，看房方便', '金地格林小城  | 4室2厅 | 142平米 | 东南 | 其他', '高楼层(共11层)塔楼  -  东泰', '280万', '单价19719元/平米')
('https://image1.ljcdn.com/440300-inspection/06829c61-2972-4f09-9716-91a071506b4d.jpg.296x216.jpg', '新装复试四房 自住保养好 南向对流户型 带家私家电', '汇景上层  | 4室2厅 | 131平米 | 西南 | 其他', '高楼层(共11层)塔楼  -  石竹', '300万', '单价22901元/平米')
('https://image1.ljcdn.com/441900-inspection/401c483e-51d4-4e80-ac97-5a9f310624f8.jpg.296x216.jpg', '东南朝向三房，格局方正实用，可直接入住', '米兰雅居  | 3室2厅 | 98平米 | 东南 | 其他', '高楼层(共11层)塔楼  -  石竹', '175万', '单价17858元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadc905a830-cf9c-4fac-9405-d82b19dabda9.jpg.296x216.jpg', '国际公馆叠加别墅 精装三房 业主诚心放售', '世纪城国际公馆二期  | 3室2厅 | 185.64平米 | 西南 | 其他', '1层暂无数据  -  西平', '520万', '单价28012元/平米')
('https://image1.ljcdn.com/441900-inspection/39536d25-42d7-43ea-a5c4-89a4bfd73052.jpg.296x216.jpg', '精装修三房  带入户花园  中高层  通诱户型', '香树丽舍  | 3室2厅 | 92.68平米 | 南 | 其他', '中楼层(共28层)塔楼  -  南城车站', '190万', '单价20501元/平米')
('https://image1.ljcdn.com/441900-inspection/f99e5cf4-b91e-4ba7-9a40-d7f0998e8554.jpg.296x216.jpg', '恒大御景 精装大两房 高楼层 诚心出售', '恒大御景  | 2室2厅 | 91.04平米 | 南 | 其他', '高楼层(共24层)塔楼  -  白马', '186万', '单价20431元/平米')
('https://image1.ljcdn.com/441900-inspection/05d58a5a-8dfe-4e74-8cb0-a154db02af7d.jpg.296x216.jpg', '恒大御景 精装两房 户型方正 通风采光好', '恒大御景  | 2室2厅 | 81.98平米 | 西南 | 其他', '高楼层(共25层)塔楼  -  白马', '190万', '单价23177元/平米')
('https://image1.ljcdn.com/441900-inspection/06ca13c0-0000-453c-9e41-518d69e551dd.jpg.296x216.jpg', '户型方正实用，格局通透，楼层好，采光好', '汇龙湾  | 2室2厅 | 83.45平米 | 南 | 其他', '高楼层(共25层)塔楼  -  宏远北', '180万', '单价21570元/平米')
('https://image1.ljcdn.com/441900-inspection/6ec6160e-d3ac-4317-9ecc-b1fd0ae423ba.jpg.296x216.jpg', '地铁口站小区 带装修可入住 生活方便', '新中银·金色华庭  | 2室2厅 | 85.63平米 | 西南 | 其他', '低楼层(共18层)塔楼  -  东泰', '215万', '单价25109元/平米')
('https://image1.ljcdn.com/441900-inspection/98ef3392-2c1f-45a5-9895-e30ab6c0eabb.jpg.296x216.jpg', '此房满五唯一免双税，户型好，公摊面积少。', '金丰花园天景居  | 3室2厅 | 108.86平米 | 西北 | 其他', '中楼层(共6层)暂无数据  -  宏远北', '175万', '单价16076元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploade8c7409b-7f2e-4ba4-8ceb-44f9065901ba.jpg.296x216.jpg', '名门酒店 1室0厅 42万', '名门酒店  | 1室0厅 | 39平米 | 东南 | 其他', '中楼层(共18层)塔楼  -  三元里', '42万', '单价10770元/平米')
('https://image1.ljcdn.com/441900-inspection/8746150f-cf6e-42a2-8993-3d1f42cecebb.jpg.296x216.jpg', '下叠别墅 欧式风格 保养8成新 看房方便 自住', '世纪城国际公馆四期香榭里  | 5室2厅 | 176平米 | 南 北 | 其他', '5层暂无数据  -  西平', '580万', '单价32955元/平米')
('https://image1.ljcdn.com/441900-inspection/e18baaf4-9454-4379-b907-19a776fb9e44.jpg.296x216.jpg', '南北通透大三房，诚心卖，看房方便', '百悦尚城一期  | 3室2厅 | 121平米 | 南 | 其他', '低楼层(共11层)塔楼  -  南城车站', '230万', '单价19009元/平米')
('https://image1.ljcdn.com/441900-inspection/328e769a-9117-4f4a-b863-dcc1182ff96e.jpg.296x216.jpg', '南城西平家乐福 金地格林小城 精装修三房', '金地格林小城  | 3室2厅 | 120.83平米 | 西南 | 其他', '中楼层(共6层)暂无数据  -  东泰', '228万', '单价18870元/平米')
('https://image1.ljcdn.com/441900-inspection/fdb73227-b809-4c73-a16e-f56e3d4d10ec.jpg.296x216.jpg', '房子一楼带花园 业主自住 装修保养很好', '百悦尚城一期  | 4室2厅 | 136平米 | 东南 | 其他', '低楼层(共11层)塔楼  -  南城车站', '295万', '单价21692元/平米')
('https://image1.ljcdn.com/441900-inspection/7b53c70a-3aac-4536-b15b-9b65e06b15f4.jpg.296x216.jpg', '光大景湖时代城 4室2厅 600万', '光大景湖时代城  | 4室2厅 | 156.2平米 | 东南 | 其他', '高楼层(共9层)塔楼  -  东泰', '600万', '单价38413元/平米')
('https://image1.ljcdn.com/441900-inspection/6a19bd46-094b-40bc-84aa-7037f9fecd20.jpg.296x216.jpg', '复式大四房 带前院花园 位置安静 环境好', '宏远江南世家  | 4室3厅 | 183.23平米 | 西南 | 其他', '低楼层(共12层)塔楼  -  宏远北', '350万', '单价19102元/平米')
