('https://image1.ljcdn.com/330100-inspection/6f4321b9-f318-42b7-9cac-b174e9c69cab.jpg.296x216.jpg', '莫干新村 满五唯一 小三房 送院子', '莫干新村  | 2室1厅 | 64.87平米 | 南 | 简装 | 无电梯', '低楼层(共5层)1982年建板楼  -  湖墅', '272万', '单价41931元/平米')
('https://image1.ljcdn.com/330100-inspection/cce57faa-0ea3-4768-a653-560c387b7485.jpg.296x216.jpg', '东方福邸 5室2厅 1360万', '东方福邸  | 5室2厅 | 221.49平米 | 南 | 其他 | 有电梯', '低楼层(共23层)2013年建板楼  -  申花', '1360万', '单价61403元/平米')
('https://image1.ljcdn.com/330100-inspection/d78e83dc-58ca-48b5-a856-750c527f2dec.jpg.296x216.jpg', '首开望宸、三室两厅全明东边套、绿城物业、诚心出售', '首开望宸  | 3室2厅 | 89.24平米 | 南 北 | 毛坯', '中楼层(共11层)2017年建板楼  -  半山', '330万', '单价36979元/平米')
('https://image1.ljcdn.com/330100-inspection/25f38044-f172-4d22-b927-4ed9796362b8.jpg.296x216.jpg', '中国铁建国际城 精装修 LOFT 公寓 拎包入住', '中国铁建国际汇  | 2室1厅 | 39.5平米 | 东北 | 精装 | 有电梯', '中楼层(共19层)2014年建塔楼  -  拱宸桥', '118万', '单价29874元/平米')
('https://image1.ljcdn.com/330100-inspection/test-cdf7356b-f5b5-471d-a77b-bf4f69870bc1.png.296x216.jpg', '大塘新村 运河边上 大院子约26㎡ 古典风精装', '大塘新村  | 2室1厅 | 86.93平米 | 南 北 | 精装 | 无电梯', '低楼层(共6层)1988年建板楼  -  湖墅', '450万', '单价51766元/平米')
('https://image1.ljcdn.com/330100-inspection/91be9ff1-db9c-4b80-95e3-c82d87ee6393.jpg.296x216.jpg', '南北通透 视野开阔 位置好 户型正气', '天阳上河  | 3室2厅 | 87.64平米 | 南 | 简装 | 有电梯', '低楼层(共11层)2010年建板楼  -  桥西', '460万', '单价52488元/平米')
('https://image1.ljcdn.com/330100-inspection/866370eb-6ebd-4b04-903b-20561b6fb3ab.jpg.296x216.jpg', '育才京杭school     看房方便    运河边    随时可签', '广兴新村  | 2室1厅 | 76.34平米 | 东 西 | 简装 | 无电梯', '高楼层(共7层)1995年建板楼  -  和睦', '290万', '单价37988元/平米')
('https://image1.ljcdn.com/330100-inspection/test-d5c9e66b-4305-4d02-b316-37fe0049443c.png.296x216.jpg', '庆隆苑中间楼层三房朝南精装修拎包入住', '庆隆苑  | 3室1厅 | 98.96平米 | 南 | 精装 | 无电梯', '中楼层(共6层)2004年建板塔结合  -  和睦', '388万', '单价39208元/平米')
('https://image1.ljcdn.com/330100-inspection/cd1bcba4-3f76-4a54-a029-eca436d52410.jpg.296x216.jpg', '长征新村 武林商圈 成熟地段 生活方便', '长征新村  | 2室1厅 | 68.55平米 | 南 北 | 简装 | 无电梯', '中楼层(共5层)1997年建板楼  -  湖墅', '300万', '单价43764元/平米')
('https://image1.ljcdn.com/330100-inspection/805df3ef-5923-48de-8494-3b12cd487d5c.jpg.296x216.jpg', '新加坡开发商 精装交付中间楼层，朝向公园', '凯德视界  | 2室2厅 | 87.79平米 | 南 | 精装 | 有电梯', '中楼层(共20层)2009年建塔楼  -  桥西', '420万', '单价47842元/平米')
('https://image1.ljcdn.com/330100-inspection/62d8af95-c580-4f17-85d5-00c29c391f31.jpg.296x216.jpg', '大关东六苑 2室1厅 252万', '大关东六苑  | 2室1厅 | 66.07平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)1994年建板楼  -  大关', '252万', '单价38142元/平米')
('https://image1.ljcdn.com/330100-inspection/7f3d9860-a05d-4797-801a-3308a9d299d9.jpg.296x216.jpg', '地铁5号线临界点开发商精装修交付五房四卫拎包入住', '东方福邸  | 5室2厅 | 221.49平米 | 南 | 精装 | 有电梯', '高楼层(共23层)2013年建板楼  -  申花', '1380万', '单价62306元/平米')
('https://image1.ljcdn.com/330100-inspection/686b69fe-98f7-4f20-8675-1d0345b51924.jpg.296x216.jpg', '卖小文澜 全明户型 采光充足 通透性好', '新安天苑  | 2室2厅 | 84.65平米 | 南 | 毛坯 | 有电梯', '24层2000年建板楼  -  桥西', '305万', '单价36031元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload0b697c20-8829-4cb8-935e-2631b3f288a1.jpg.296x216.jpg', '新出单身公寓，开放商精装标准，诚心出售', '万通中心  | 1室1厅 | 69.88平米 | 西北 东北 | 精装 | 有电梯', '低楼层(共19层)2014年建板楼  -  拱宸桥', '230万', '单价32914元/平米')
('https://image1.ljcdn.com/330100-inspection/test-72dd0b2a-f0b7-4650-8e86-93781459af40.png.296x216.jpg', '浅水湾城市花园  卖小  刚需必备', '浅水湾城市花园  | 1室1厅 | 45.71平米 | 南 | 简装 | 有电梯', '低楼层(共25层)2004年建塔楼  -  湖墅', '218万', '单价47692元/平米')
('https://image1.ljcdn.com/330100-inspection/4acb49de-38b5-4f85-a717-f67cdefbaf3d.jpg.296x216.jpg', '维元弄 双卧朝南 户型正气 地段好', '维元弄  | 2室1厅 | 61.5平米 | 南 | 简装 | 无电梯', '中楼层(共5层)1986年建板楼  -  湖墅', '260万', '单价42277元/平米')
('https://image1.ljcdn.com/330100-inspection/001f6a7d-e329-4321-ba26-4a089c5b7cba.jpg.296x216.jpg', '满五不唯一 户型方正 卖鱼桥霞湾 业主诚心置换', '假山新村  | 2室2厅 | 78.71平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1989年建板楼  -  德胜', '330万', '单价41927元/平米')
('https://image1.ljcdn.com/330100-inspection/561b1d74-068a-4dfd-b08a-1fcbc4b7144f.jpg.296x216.jpg', '绿城西子田园牧歌 2室2厅 310万', '绿城西子田园牧歌  | 2室2厅 | 87.87平米 | 南 北 | 毛坯 | 有电梯', '高楼层(共15层)2015年建板楼  -  半山', '310万', '单价35280元/平米')
('https://image1.ljcdn.com/330100-inspection/a3b91a9e-8ac6-4bfa-9f1b-d7aa479766bd.jpg.296x216.jpg', '大关东新上南北大三房 东边套 中间楼层 业主诚心出售', '大关东四苑  | 3室1厅 | 81.7平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1994年建板楼  -  大关', '320万', '单价39168元/平米')
('https://image1.ljcdn.com/330100-inspection/42ba5b20-e91d-41ea-b3a8-64fb8f1029e7.jpg.296x216.jpg', '大关小区，架空一楼，两室一厅，60多个平方，你的选择', '大关南九苑  | 2室1厅 | 63.96平米 | 南 | 简装 | 无电梯', '低楼层(共7层)1998年建板楼  -  大关', '260万', '单价40651元/平米')
('https://image1.ljcdn.com/330100-inspection/89f4396d-efdb-4bd5-a809-d9dba23ae442.jpg.296x216.jpg', '户型方正，居住环境安静，舒适三房，带给您家的温馨', '中天西城纪  | 3室1厅 | 65平米 | 西 | 精装 | 有电梯', '高楼层(共14层)2014年建板楼  -  申花', '228万', '单价35077元/平米')
('https://image1.ljcdn.com/330100-inspection/94cd06b6-3b10-4af7-b3d3-fc5cc7ad78dc.jpg.296x216.jpg', '首开望宸、三室两厅两卫洋房纯毛坯诚心出售、绿城物业', '首开望宸  | 3室2厅 | 87.77平米 | 南 北 | 毛坯', '低楼层(共6层)暂无数据  -  半山', '350万', '单价39877元/平米')
('https://image1.ljcdn.com/330100-inspection/206d9181-bca8-4a68-b0e4-de79eb8cb5a0.JPG.296x216.jpg', '一楼朝南带院子，正对小区公园，日照充足从早晒到晚', '大关东一苑  | 3室1厅 | 66.78平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)1995年建板楼  -  大关', '295万', '单价44175元/平米')
('https://image1.ljcdn.com/330100-inspection/test-7e584c72-7445-4c2e-9b30-b41990eafd0c.png.296x216.jpg', '万家花城中间套高楼层精装修3房', '万家花城一期  | 3室2厅 | 89.23平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2009年建板楼  -  申花', '450万', '单价50432元/平米')
('https://image1.ljcdn.com/330100-inspection/d3f4d553-b7c9-4860-96cc-4309a3ecc9bd.jpg.296x216.jpg', '紫荆家园 精装修 楼层好 诚心卖', '紫荆家园  | 4室2厅 | 161.7平米 | 南 | 精装 | 无电梯', '低楼层(共6层)2004年建板楼  -  拱宸桥', '710万', '单价43909元/平米')
('https://image1.ljcdn.com/330100-inspection/844e8eb7-0ecc-4f00-8ab1-a993a68c87af.jpg.296x216.jpg', '房东诚心出售，精装修。小区环境好，品质住房', '中天西城纪  | 1室1厅 | 34.15平米 | 西北 | 精装 | 有电梯', '低楼层(共14层)2014年建板楼  -  申花', '120万', '单价35140元/平米')
('https://image1.ljcdn.com/330100-inspection/c35f142e-0d8c-4513-b0b9-2bb0da0889bd.jpg.296x216.jpg', '楼层好边套亮堂，房龄新，有电梯，配套，交通便利', '沈塘铭苑  | 1室1厅 | 49.46平米 | 东南 北 | 简装 | 有电梯', '中楼层(共22层)2005年建板楼  -  湖墅', '221万', '单价44683元/平米')
('https://image1.ljcdn.com/330100-inspection/e9f47660-c097-43ca-a029-9720adeb6aa6.jpg.296x216.jpg', '都市水乡水映苑 户型方正 精装三房 小区中间位置', '都市水乡水映苑  | 3室2厅 | 99平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)2004年建板楼  -  三墩', '300万', '单价30304元/平米')
('https://image1.ljcdn.com/330100-inspection/c9876006-72bf-4f72-a7fe-0dec54bc9b12.jpg.296x216.jpg', '稀 缺大套三房，而且是边套，2年前买入装修，诚售', '大关东四苑  | 3室1厅 | 81.54平米 | 南 北 | 精装 | 无电梯', '低楼层(共6层)1994年建板楼  -  大关', '330万', '单价40471元/平米')
('https://image1.ljcdn.com/330100-inspection/db42ba66-5578-488c-928f-42bc74c3e775.jpg.296x216.jpg', '运河边！育才正气3房，南北通透，中间楼层，采光很好', '广兴新村  | 3室1厅 | 87.58平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1998年建板楼  -  和睦', '380万', '单价43389元/平米')
('https://image1.ljcdn.com/330100-inspection/24241224-a870-4f3d-b282-e31555ae2a00.jpg.296x216.jpg', '尚堂府次新房，南北通透，两房两卫，可改三房', '杭钢尚堂府  | 3室2厅 | 109.9平米 | 南 | 毛坯', '低楼层(共18层)2017年建板楼  -  半山', '298万', '单价27116元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload18ae546e-e015-4fb5-9ccb-978512927299.jpg.296x216.jpg', '京杭育才 全明西边套 户型正气  采光充足 交通便利', '联合世纪新筑  | 3室2厅 | 146.27平米 | 南 西 | 精装 | 有电梯', '中楼层(共25层)2008年建板楼  -  和睦', '751万', '单价51344元/平米')
('https://image1.ljcdn.com/330100-inspection/cb9ac9ed-0f3b-42a4-9026-aaf8a929ebd8.jpg.296x216.jpg', '卖小，带院子，户型正气，交通便利', '文一路38弄  | 2室0厅 | 40.91平米 | 南 | 精装 | 无电梯', '低楼层(共6层)1985年建板楼  -  信义坊', '188万', '单价45955元/平米')
('https://image1.ljcdn.com/330100-inspection/98111996-3445-4b55-b595-bedba5627ed1.jpg.296x216.jpg', '米市新村 精装修 两室西边套 一梯一户 古新河边', '米市新村  | 2室2厅 | 84.71平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)1983年建板楼  -  湖墅', '360万', '单价42498元/平米')
('https://image1.ljcdn.com/330100-inspection/7f852bc9-5cda-41e0-87e0-f4bb283da29e.jpg.296x216.jpg', '拱北大两房，户型好，采光充足。', '蚕花园永兴坊  | 2室1厅 | 81.39平米 | 南 北 | 精装 | 有电梯', '高楼层(共21层)2000年建板楼  -  拱宸桥', '285万', '单价35017元/平米')
('https://image1.ljcdn.com/330100-inspection/ec963ce4-544e-4a40-ad97-ee11a793698e.jpg.296x216.jpg', '楼层好，视野开阔，交通便利，配套设施齐全。', '霞湾巷小区  | 2室1厅 | 76.63平米 | 南 | 毛坯 | 有电梯', '低楼层(共18层)1998年建塔楼  -  大关', '320万', '单价41760元/平米')
('https://image1.ljcdn.com/330100-inspection/ce64e1b7-e04c-495c-8ac6-66e1dfb791ec.jpg.296x216.jpg', '户型正气 使用面积多 交通方便', '吉庆院  | 2室1厅 | 69.2平米 | 南 | 简装 | 无电梯', '高楼层(共5层)1990年建板楼  -  拱宸桥', '263万', '单价38006元/平米')
('https://image1.ljcdn.com/330100-inspection/718989fe-9c53-4621-8737-f77501c70f7e.jpg.296x216.jpg', '广宇万科公园里 3室2厅 300万', '广宇万科公园里  | 3室2厅 | 85.88平米 | 南 | 精装', '高楼层(共18层)2018年建板楼  -  半山', '300万', '单价34933元/平米')
('https://image1.ljcdn.com/330100-inspection/11d03af8-c6a1-458e-89f4-4f5fee0104eb.jpg.296x216.jpg', '主城田园牧歌大面积房源，房龄新环境好，绿城物业', '绿城西子田园牧歌  | 2室2厅 | 132.24平米 | 南 北 | 精装 | 有电梯', '低楼层(共15层)2013年建板楼  -  半山', '465万', '单价35164元/平米')
('https://image1.ljcdn.com/330100-inspection/b5d153a8-4928-4815-b29d-02fe34c789a3.jpg.296x216.jpg', '绿城紫兰正对花园，经典3房，送超大露台 低单价运河边', '绿城西子紫兰公寓  | 3室2厅 | 145.14平米 | 南 | 毛坯 | 有电梯', '低楼层(共16层)2012年建板楼  -  信义坊', '800万', '单价55120元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploada5d894b4-0df4-4341-8fb3-29ace933076a.jpg.296x216.jpg', '半山公园脚下 景观房  户型正气 装修清爽  拎包入住', '明园路  | 2室1厅 | 67.51平米 | 南 | 精装', '高楼层(共5层)板楼  -  半山', '185万', '单价27404元/平米')
('https://image1.ljcdn.com/330100-inspection/d4427b0c-6f41-4a05-b9d6-559510696d77.jpg.296x216.jpg', '房龄1997，满五唯一南北朝向，视线没有遮挡,看房方便', '塘河北村  | 2室1厅 | 61平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1997年建板楼  -  信义坊', '240万', '单价39345元/平米')
('https://image1.ljcdn.com/330100-inspection/773ea246-3ae3-4a47-84b4-3169d20438a7.jpg.296x216.jpg', '大关东三苑 满五唯一 业主诚心出售', '大关东三苑  | 2室1厅 | 54平米 | 南 | 其他 | 无电梯', '中楼层(共6层)1995年建板楼  -  大关', '220万', '单价40741元/平米')
('https://image1.ljcdn.com/330100-inspection/9a5f76ee-5008-4145-a33e-2b69ad46c48d.jpg.296x216.jpg', '视野无遮挡 地铁直线距离600米 出行方便 配套齐', '万物桥巷  | 3室1厅 | 83.91平米 | 东 南 北 | 简装 | 无电梯', '中楼层(共6层)1988年建板楼  -  湖墅', '315万', '单价37541元/平米')
('https://image1.ljcdn.com/330100-inspection/a9339176-50fa-4479-bcc4-d37b0f9b7dd0.jpg.296x216.jpg', '交通便利 配套齐全 低总价 楼层好 采光佳', '和睦新村  | 2室2厅 | 53.32平米 | 南 | 精装 | 无电梯', '高楼层(共7层)1989年建板楼  -  和睦', '225万', '单价42199元/平米')
('https://image1.ljcdn.com/330100-inspection/bddb0b15-9ead-479f-9670-d78fd39a5af7.jpg.296x216.jpg', '日森大厦 电梯房 中间楼层  通管道煤气', '日森大厦  | 3室1厅 | 89.8平米 | 北 | 简装 | 有电梯', '高楼层(共24层)2000年建板楼  -  湖墅', '300万', '单价33408元/平米')
('https://image1.ljcdn.com/330100-inspection/508692a4-78bb-4e61-9cf7-ffa273764118.jpg.296x216.jpg', '户型正气 全明西边套  业主诚心出售 京杭育才护航', '联合世纪新筑  | 3室2厅 | 146.02平米 | 西 | 毛坯 | 有电梯', '中楼层(共26层)2008年建板楼  -  和睦', '688万', '单价47117元/平米')
('https://image1.ljcdn.com/330100-inspection/17defc82-315d-4360-8dfc-3e53ceadecb5.JPG.296x216.jpg', '朗诗田园绿郡，舒适，温暖的家。', '朗诗田园绿郡  | 2室1厅 | 89.08平米 | 南 北 | 精装 | 有电梯', '低楼层(共11层)2000年建板楼  -  半山', '280万', '单价31433元/平米')
('https://image1.ljcdn.com/330100-inspection/e4d8f7ad-1c3c-4341-ae19-2bad7df06c28.jpg.296x216.jpg', '小高层中间楼层 金都物业 人车分流', '金都清宸公寓  | 3室2厅 | 120.73平米 | 南 | 精装 | 有电梯', '中楼层(共10层)2005年建板楼  -  拱宸桥', '450万', '单价37274元/平米')
('https://image1.ljcdn.com/330100-inspection/3654a331-141e-4ba8-9796-d85227a355d4.jpg.296x216.jpg', '户型正气，两房朝南  全明  一梯两户', '左家新村  | 2室1厅 | 76平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1993年建板楼  -  湖墅', '300万', '单价39474元/平米')
('https://image1.ljcdn.com/330100-inspection/62f37535-f797-4842-ae3a-2e00dc957fc6.jpg.296x216.jpg', '大关正气三房 楼层好 户型好 东边套 小区中间位置', '大关东七苑  | 3室1厅 | 77.73平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)1995年建板楼  -  大关', '305万', '单价39239元/平米')
('https://image1.ljcdn.com/330100-inspection/5d65551c-b2b6-400e-810e-5f83add15ebb.jpg.296x216.jpg', '百万装修，西边套，房东诚心出售!', '绿城西子田园牧歌  | 3室2厅 | 168.59平米 | 南 | 精装 | 有电梯', '低楼层(共13层)2013年建板楼  -  半山', '630万', '单价37369元/平米')
('https://image1.ljcdn.com/330100-inspection/e48996a5-8f29-44d3-af47-ee6e30b54d29.jpg.296x216.jpg', '德胜新村，经典两房，全明户型，', '德胜新村  | 2室1厅 | 58.32平米 | 南 西 | 简装 | 无电梯', '高楼层(共7层)1988年建板楼  -  德胜', '205万', '单价35151元/平米')
('https://image1.ljcdn.com/330100-inspection/fcf838e4-507b-4398-89cd-88fe56adc5e7.jpg.296x216.jpg', '滨江房产、物业，小区环境好，管理佳，', '万家花城一期  | 3室2厅 | 134.29平米 | 南 | 简装 | 有电梯', '高楼层(共24层)2009年建板楼  -  申花', '635万', '单价47286元/平米')
('https://image1.ljcdn.com/330100-inspection/687f21c6-77c7-4bdc-8651-690edefb67ff.jpg.296x216.jpg', '莫干新村 地铁口 小户型一房 送院子  沿古新河', '莫干新村  | 1室1厅 | 41.31平米 | 南 | 精装 | 无电梯', '低楼层(共5层)1984年建板楼  -  湖墅', '180万', '单价43573元/平米')
('https://image1.ljcdn.com/330100-inspection/85db16c5-ed8a-4190-9ad2-858e0cce5b22.jpg.296x216.jpg', '拱苑小区 得房率让你想象不到 还不来看？？？', '拱苑小区  | 3室2厅 | 96.95平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)2003年建板楼  -  申花', '410万', '单价42290元/平米')
('https://image1.ljcdn.com/330100-inspection/ea23ebad-36e5-4b17-8c06-c8122dac09da.jpg.296x216.jpg', '金隅田园外，半山森林公园旁大三房，不延高架马路', '金隅田员外  | 3室2厅 | 129.36平米 | 南 | 毛坯 | 有电梯', '低楼层(共20层)2014年建板楼  -  半山', '320万', '单价24738元/平米')
('https://image1.ljcdn.com/330100-inspection/ad54ec9f-6c36-4572-a386-23394c5b3aee.jpg.296x216.jpg', '大关东一苑 独门独栋 环境好宜居', '大关东一苑  | 6室3厅 | 190.68平米 | 南 | 简装 | 无电梯', '低楼层(共1层)1995年建板塔结合  -  大关', '1200万', '单价62933元/平米')
('https://image1.ljcdn.com/330100-inspection/9bd6305d-eddc-4b8d-9845-aa5f4b23ab27.jpg.296x216.jpg', '芳满庭子母套里的东边套，有蛮多赠送面积', '芳满庭  | 3室2厅 | 87.73平米 | 东南 北 | 精装 | 有电梯', '高楼层(共17层)2008年建板楼  -  申花', '487万', '单价55512元/平米')
('https://image1.ljcdn.com/330100-inspection/bb423570-286c-46d3-bddb-94d21769d07a.jpg.296x216.jpg', '中间楼层4楼，大两房，单价3.5万元每平方', '大关东三苑  | 2室2厅 | 76.75平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1995年建板楼  -  大关', '270万', '单价35180元/平米')
('https://image1.ljcdn.com/330100-inspection/f3973aab-38cc-48c4-afd8-2e292bb1bef8.jpg.296x216.jpg', '天时苑三楼全明西边套，三房朝南，自住精装修', '天时苑  | 4室2厅 | 149.5平米 | 南 北 | 精装 | 无电梯', '中楼层(共7层)1999年建板楼  -  德胜', '672.8万', '单价45000元/平米')
('https://image1.ljcdn.com/330100-inspection/37274a25-47e2-4f86-aebb-446af11836c5.jpg.296x216.jpg', '黄龙金茂悦 3室1厅 488万', '黄龙金茂悦  | 3室1厅 | 89.08平米 | 南 | 其他', '低楼层(共27层)2017年建板楼  -  申花', '488万', '单价54783元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload0ee8ed7b-e7ed-4810-b81c-a8cf99d164e1.jpg.296x216.jpg', '大关南九苑大户型送朝南的大露台', '大关南九苑  | 3室2厅 | 108.28平米 | 南 | 精装 | 无电梯', '高楼层(共7层)1998年建板楼  -  大关', '400万', '单价36942元/平米')
('https://image1.ljcdn.com/330100-inspection/3f6b0754-0cba-414e-81e9-d230c193087c.jpg.296x216.jpg', '登云阁 送阁楼 可做三房 步行百米就是运河', '登云阁  | 2室1厅 | 71.56平米 | 南 | 简装 | 无电梯', '高楼层(共6层)2003年建板楼  -  拱宸桥', '265万', '单价37032元/平米')
('https://image1.ljcdn.com/330100-inspection/35cfc24f-9efd-4f34-8604-124a6ca59613.jpg.296x216.jpg', '买小文澜，刚需两房，总价低，看房方便', '锦绣文澜阁  | 2室1厅 | 55.12平米 | 南 | 简装 | 有电梯', '低楼层(共24层)2008年建板楼  -  桥西', '270万', '单价48985元/平米')
('https://image1.ljcdn.com/330100-inspection/1305e2e4-e6b0-4bf9-95fa-b8f46d2f433f.jpg.296x216.jpg', '蚕花园永庆房 五年内自住装修 诚心出售', '蚕花园永庆坊  | 1室1厅 | 55.59平米 | 南 北 | 简装 | 有电梯', '中楼层(共21层)2000年建板楼  -  拱宸桥', '162万', '单价29142元/平米')
('https://image1.ljcdn.com/330100-inspection/05d6eb99-4bc8-4396-9957-79cb1ea583bb.jpg.296x216.jpg', '一套可以看到运河的 景观房 朝南两房 可拎包入住', '北国之春人家  | 2室2厅 | 98.12平米 | 南 | 精装 | 有电梯', '高楼层(共16层)2004年建板楼  -  拱宸桥', '445万', '单价45353元/平米')
('https://image1.ljcdn.com/330100-inspection/4d88291a-2238-40c3-8953-5ce0fc8a53a0.jpg.296x216.jpg', '三房朝南   02年商品房  电梯房  配套齐全 采光充足.', '香吉公寓  | 3室2厅 | 133.83平米 | 南 | 简装 | 有电梯', '中楼层(共16层)2002年建板楼  -  大关', '505万', '单价37735元/平米')
('https://image1.ljcdn.com/330100-inspection/59c17b72-06be-4d1f-b550-b6051d03e4ba.jpg.296x216.jpg', '2002年电梯房   3房2卫  简装  单价低', '香吉公寓  | 3室1厅 | 123.29平米 | 南 | 简装 | 有电梯', '低楼层(共10层)2002年建板楼  -  大关', '430万', '单价34878元/平米')
('https://image1.ljcdn.com/330100-inspection/69c92b84-af26-47fd-bb3c-ecefc21b9875.jpg.296x216.jpg', '全屋地暖拎包入住 采光充足 南北通透 清爽风格', '华盛达阅城  | 3室1厅 | 107.21平米 | 南 北 | 精装 | 有电梯', '中楼层(共25层)2013年建板楼  -  万达广场', '490万', '单价45705元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploadd0fa86f0-6a80-4f8f-bd70-35638b4bb63d.jpg.296x216.jpg', '米市新村 93年房龄  婚房精装修 送阁楼  户型方正', '米市新村  | 3室1厅 | 72.38平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1983年建板楼  -  湖墅', '295万', '单价40758元/平米')
('https://image1.ljcdn.com/330100-inspection/0eda33f3-cd44-4884-848c-4146fde87666.jpg.296x216.jpg', '卖小本部 两房朝南好户型 自住精装修', '仓基新村  | 2室1厅 | 58.84平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1990年建板楼  -  信义坊', '285万', '单价48437元/平米')
('https://image1.ljcdn.com/330100-inspection/23118306-aca8-47d3-b4be-e85f70706992.jpg.296x216.jpg', '本房位置优越  户型方正   配套成熟', '阳光郡  | 4室2厅 | 178.01平米 | 南 | 毛坯 | 有电梯', '中楼层(共28层)2014年建板楼  -  三墩', '630万', '单价35392元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload5028c58d-e993-421c-bc2d-bb3a1272528c.jpg.296x216.jpg', '卖小本部 跃层带露台 诚心出售', '湖墅新村  | 2室2厅 | 61.89平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)2003年建板楼  -  信义坊', '270万', '单价43626元/平米')
('https://image1.ljcdn.com/330100-inspection/f3d1c8ae-5b00-4b1c-8e3d-cc7dfb588ff4.jpg.296x216.jpg', '此价格送车位 业主自住精装 两个小宝准备置换更大一点', '富越香郡  | 3室1厅 | 88.77平米 | 南 | 精装 | 有电梯', '中楼层(共32层)2014年建板楼  -  桥西', '380万', '单价42808元/平米')
('https://image1.ljcdn.com/330100-inspection/dc330b24-6193-46f3-8e5d-6db7ffa6363e.JPG.296x216.jpg', '大浒西苑 少有的大户型 业主诚心出售 看房方便', '大浒西苑  | 3室1厅 | 93.92平米 | 西南 | 简装 | 有电梯', '高楼层(共17层)2012年建塔楼  -  拱宸桥', '410万', '单价43655元/平米')
('https://image1.ljcdn.com/330100-inspection/2835ea9b-8b74-4073-89aa-7796f63333f4.jpg.296x216.jpg', '精装40万大三房，家具家电齐全，拎包入住', '风景大院  | 3室2厅 | 107.83平米 | 南 北 | 精装 | 有电梯', '中楼层(共18层)2010年建板楼  -  桥西', '570万', '单价52861元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploadb4289ce5-b53d-4287-80a8-5bdf4ed97a3b.jpg.296x216.jpg', '价格优惠 诚心出售 户型方正 适宜刚需', '都市水乡水映苑  | 2室1厅 | 69.18平米 | 南 | 简装 | 无电梯', '高楼层(共6层)2004年建板楼  -  三墩', '255万', '单价36861元/平米')
('https://image1.ljcdn.com/330100-inspection/c366ce15-4a3c-4af1-9886-e6c5a021ec7b.jpg.296x216.jpg', '中兴御田清庭、纯毛坯，现在价格不包车位', '中兴御田清庭  | 2室2厅 | 89.02平米 | 南 北 | 毛坯', '低楼层(共7层)2017年建板楼  -  半山', '290万', '单价32577元/平米')
('https://image1.ljcdn.com/330100-inspection/70f3a7e2-ab5a-4ec7-a917-4928b1c5ac5d.jpg.296x216.jpg', '锦绣新村 南北通透 视野好 采光好  交通便利', '锦绣新村  | 2室1厅 | 74.86平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1998年建板楼  -  湖墅', '350万', '单价46754元/平米')
('https://image1.ljcdn.com/330100-inspection/2433621f-d583-4586-90dc-9512cab94da8.jpg.296x216.jpg', '正气好户型，格局通透 紧靠远洋商务区', '紫荆家园  | 3室2厅 | 123.47平米 | 南 | 精装 | 无电梯', '低楼层(共6层)2004年建板楼  -  拱宸桥', '525万', '单价42521元/平米')
('https://image1.ljcdn.com/330100-inspection/d5d9e0e9-7c44-4ebb-8d88-fdafc5b427b6.jpg.296x216.jpg', '娑婆新村精装两室：装修15万的标准，且未住过价格可谈', '娑婆新村  | 2室1厅 | 57.81平米 | 南 | 其他 | 无电梯', '低楼层(共7层)1990年建板楼  -  信义坊', '230万', '单价39786元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload360aa7f6-c559-4357-9f89-856a425c3a88.jpg.296x216.jpg', '拱北一室一厅 出行便利 配套完善', '蚕花园永兴坊  | 1室1厅 | 50.35平米 | 南 | 简装 | 有电梯', '高楼层(共21层)2000年建板楼  -  拱宸桥', '160万', '单价31778元/平米')
('https://image1.ljcdn.com/330100-inspection/9f55c422-eea5-4ec8-aa07-efcb340f8798.jpg.296x216.jpg', '此房晓三房  诚心出售   楼层佳  采光视野好', '首开望宸  | 3室2厅 | 87.87平米 | 南 | 毛坯', '高楼层(共11层)2016年建板楼  -  半山', '290万', '单价33004元/平米')
