('https://image1.ljcdn.com/320100-inspection/65e7f4b6-8512-4930-a5fe-7820d6d2678d.jpg.296x216.jpg', '满五年 南北通透 采光足 拎包入住 居家装修', '新天地花园  | 2室1厅 | 59.22平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)1999年建板楼  -  月牙湖', '168万', '单价28369元/平米')
('https://image1.ljcdn.com/320100-inspection/053f0fdb-d5d9-4d4f-b704-4eb54eee77c8.jpg.296x216.jpg', '长乐路 交通便利 配套齐全 小西湖 南北通透', '大油坊巷  | 2室2厅 | 50.91平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)1988年建板楼  -  长乐路', '172万', '单价33786元/平米')
('https://image1.ljcdn.com/320100-inspection/05059a4d-edd9-483e-9a08-dea71e104c5f.JPG.296x216.jpg', '新街口夫子庙 交通便利 成型小区 视野开阔', '王府园小区  | 2室1厅 | 58.89平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)1990年建板楼  -  升州路', '270万', '单价45849元/平米')
('https://image1.ljcdn.com/320100-inspection/61bf3fde-573d-4f1f-b748-8a00f1aae704.jpg.296x216.jpg', '大光路 电梯洋房 精装修 小区中间 位置安静 配套成熟', '香格里拉东苑  | 3室1厅 | 137.84平米 | 南 | 精装 | 有电梯', '低楼层(共6层)2005年建板楼  -  大光路', '650万', '单价47157元/平米')
('https://image1.ljcdn.com/320100-inspection/9379f781-e09a-4a4e-a0d5-31a6dd11c22d.JPG.296x216.jpg', '秦虹 洪家园 大明路 配套成熟 交通便利 户型方正', '康美里  | 2室1厅 | 52.53平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)2000年建板楼  -  洪家园', '140万', '单价26652元/平米')
('https://image1.ljcdn.com/320100-inspection/f435fa83-0d9c-43cf-8130-02324db87c62.jpg.296x216.jpg', '低楼层 全明户型 东边户大客厅三室 采光好 房龄新', '建康花苑  | 3室2厅 | 106.46平米 | 东 南 北 | 其他 | 无电梯', '低楼层(共7层)1998年建板楼  -  建康路', '318万', '单价29871元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload6926b0c7-c9b9-4fcb-a652-95cca4f10c5a.jpg.296x216.jpg', '洪家园 大明路 采光无遮挡 双南户型 房改房', '秦淮教师公寓  | 2室2厅 | 73.49平米 | 南 | 其他 | 无电梯', '中楼层(共7层)1999年建板楼  -  洪家园', '240万', '单价32658元/平米')
('https://image1.ljcdn.com/320100-inspection/5a5dd187-2c51-422f-98f6-0129b040df57.JPG.296x216.jpg', '新街口商圈 距离常府街地铁303米（数据来源百度地图）', '火瓦巷  | 3室1厅 | 64.33平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)1987年建板楼  -  新街口', '360万', '单价55962元/平米')
('https://image1.ljcdn.com/320100-inspection/c36d522d-fafc-451e-b5c9-fdbe1a066afa.jpg.296x216.jpg', '三山街地铁 来凤里 居家装修 已出新 诚心出售', '来凤里  | 3室1厅 | 87.03平米 | 南 | 其他 | 无电梯', '高楼层(共8层)1997年建板楼  -  来凤里', '258万', '单价29645元/平米')
('https://image1.ljcdn.com/320100-inspection/a314271c-6ebc-4ae3-8450-48526178c390.JPG.296x216.jpg', '96年房龄 双南东边户 南北通透 采光充足', '长发东村  | 3室1厅 | 96.11平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1996年建板楼  -  瑞金路', '450万', '单价46822元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload278855ca-4ee3-4919-89ec-e6c0cd791a75.jpg.296x216.jpg', '鸿意星城 家具家电齐全 拎包入住 诚心出售  交通方便', '鸿意星城  | 3室2厅 | 130.09平米 | 南 北 | 其他 | 有电梯', '高楼层(共10层)2007年建板楼  -  月牙湖', '405万', '单价31133元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload882b422e-cc8a-46b1-a67a-ef715aedd9c4.jpg.296x216.jpg', '低楼层汉中门地铁口 汉中门广场', '汉西门大街  | 2室1厅 | 67.27平米 | 西北 | 其他 | 无电梯', '低楼层(共7层)2000年建板楼  -  朝天宫', '259万', '单价38502元/平米')
('https://image1.ljcdn.com/320100-inspection/5f119315-f0bf-43a7-bdb5-023454231788.jpg.296x216.jpg', '中兴新村 设施齐 采光好 拎包入住 交通方便', '中兴新村  | 2室1厅 | 85.5平米 | 东 南 | 其他 | 有电梯', '高楼层(共7层)1998年建板楼  -  朝天宫', '265万', '单价30995元/平米')
('https://image1.ljcdn.com/320100-inspection/3be021bf-7a53-4912-919a-cd4ef3f280a3.jpg.296x216.jpg', '牵牛巷 2室1厅 170万', '牵牛巷  | 2室1厅 | 70.5平米 | 南 | 其他 | 无电梯', '高楼层(共7层)1984年建板楼  -  长乐路', '170万', '单价24114元/平米')
('https://image1.ljcdn.com/320100-inspection/0c6ddbad-944e-4dd8-92b3-0bbdc1c47e28.jpg.296x216.jpg', '双南户型 小区环境好  30万精装修 报价不含软装', '鸿福苑  | 3室2厅 | 94.69平米 | 南 北 | 精装 | 无电梯', '中楼层(共7层)2000年建板楼  -  大光路', '370万', '单价39075元/平米')
('https://image1.ljcdn.com/320100-inspection/888268ab-a2b5-4dde-884e-6b18849b0e4e.jpg.296x216.jpg', '月牙湖 苜卫路 苜蓿园地铁 紫金山脚下 房龄新 诚心卖', '苜卫路31号  | 2室1厅 | 67.11平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)1995年建板楼  -  月牙湖', '207万', '单价30845元/平米')
('https://image1.ljcdn.com/320100-inspection/5020ffc3-d8f5-4385-9424-222216b717be.JPG.296x216.jpg', '双桥新村 3室0厅 140万', '双桥新村  | 3室0厅 | 53平米 | 南 北 | 其他 | 无电梯', '中楼层(共4层)1997年建板塔结合  -  洪家园', '140万', '单价26416元/平米')
('https://image1.ljcdn.com/320100-inspection/ff2d477d-1425-4756-a78f-43cd494f67a0.JPG.296x216.jpg', '秦淮区 秦虹路 文安街 节制闸 三房户型方正 采光充足', '武定新村  | 3室1厅 | 77.18平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)1992年建板楼  -  秦虹', '198.9万', '单价25765元/平米')
('https://image1.ljcdn.com/320100-inspection/f2c8da32-d918-4efc-a3d2-e06bef29a26c.jpg.296x216.jpg', '新街口 省中医院 侯家桥小区 户型正采光好，通透性强', '侯家桥  | 3室1厅 | 76.27平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)1991年建板塔结合  -  朝天宫', '218万', '单价28583元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadc43dee20-518a-4d1e-8e27-8001096e4a33.jpg.296x216.jpg', '经典挑高 一中初中部 朝南 居家精装 房龄新 三房', '锦江丽舍  | 3室1厅 | 71.79平米 | 东南 | 精装 | 有电梯', '高楼层(共20层)1999年建板塔结合  -  大光路', '275万', '单价38307元/平米')
('https://image1.ljcdn.com/320100-inspection/d8788b7a-d839-4412-a5a4-adb582338fe3.JPG.296x216.jpg', '典格局户型，位置好，阳台朝小区内，采光充足', '保利堂悦  | 3室2厅 | 100平米 | 南 | 其他', '低楼层(共27层)板楼  -  洪家园', '445万', '单价44500元/平米')
('https://image1.ljcdn.com/320100-inspection/2738a608-5101-47e0-a338-847028605350.JPG.296x216.jpg', '南部新城 市中医院 中间楼层，采光好 交通便利', '明都雅苑  | 2室1厅 | 79.92平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)2005年建板楼  -  洪家园', '292万', '单价36537元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload1d36e048-9623-43a1-ba7f-aa56b38345de.jpg.296x216.jpg', '满五年免增值税，一楼出行方便，精装修 配套齐全', '光华园  | 2室1厅 | 54.9平米 | 南 | 其他 | 有电梯', '低楼层(共7层)1988年建板楼  -  大光路', '182万', '单价33152元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload32d2d9a9-bd7b-4ea4-98fb-63176fb9eeee.jpg.296x216.jpg', '月牙湖畔紫金山脚下梅花山庄一楼适合老人养老 居住', '梅花山庄中沁苑  | 2室2厅 | 89平米 | 南 北 | 简装 | 无电梯', '低楼层(共8层)1998年建板楼  -  月牙湖', '318万', '单价35731元/平米')
('https://image1.ljcdn.com/320100-inspection/3f06d33d-4b2d-4a9c-b146-58830f57fe25.JPG.296x216.jpg', '南部新城 三房两卫大平层 全明东边户 精装修拎包住', '良城美景家园  | 3室2厅 | 139.85平米 | 南 北 | 精装 | 有电梯', '低楼层(共11层)2005年建板楼  -  秦虹', '475万', '单价33965元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadca5c84ea-9135-4f37-a1e9-eac7ebabab17.jpg.296x216.jpg', '中山南路 磨盘街  南北通透  居家精美装修  采光好', '磨盘街  | 2室1厅 | 74.2平米 | 南 北 | 其他 | 无电梯', '高楼层(共5层)1983年建板塔结合  -  来凤里', '235万', '单价31672元/平米')
('https://image1.ljcdn.com/320100-inspection/bab79a00-84e0-4e51-b327-548b9e83a435.jpg.296x216.jpg', '三山街 升州路 大两房 采光 视野好', '升州路  | 2室1厅 | 77.7平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)1993年建板楼  -  升州路', '208万', '单价26770元/平米')
('https://image1.ljcdn.com/320100-inspection/74cbfca3-8c20-47ab-86b9-18964abbcf3d.JPG.296x216.jpg', '普华巷五老村 中间楼层小两房 双南采光好', '普华巷  | 2室1厅 | 44.44平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1987年建板塔结合  -  五老村', '185万', '单价41630元/平米')
('https://image1.ljcdn.com/320100-inspection/c907c04d-c7bc-47cb-b24d-7fdccb11b60b.jpg.296x216.jpg', '天地花园 2室1厅 170万', '天地花园  | 2室1厅 | 59.23平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)1996年建板楼  -  月牙湖', '170万', '单价28702元/平米')
('https://image1.ljcdn.com/320100-inspection/test-0c46ff63-591a-4ef4-8d62-2663a3f62deb.png.296x216.jpg', '此房地处新街口商圈，双卧朝南，全明户型，西边户', '大香炉  | 2室1厅 | 68.13平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)1986年建板楼  -  新街口', '232万', '单价34053元/平米')
('https://image1.ljcdn.com/320100-inspection/f85a7edf-8c76-425c-9e62-b5b16fdec21e.JPG.296x216.jpg', '秦虹小区乔虹苑 楼层好 采光好', '乔虹苑  | 2室1厅 | 50.65平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)1992年建板楼  -  秦虹', '155万', '单价30603元/平米')
('https://image1.ljcdn.com/320100-inspection/ae70eff1-2542-481b-b713-c1d75d6a2e53.jpg.296x216.jpg', '朝北单室套 刚需过渡 70年产权 10楼到顶有电梯', '万达紫金明珠  | 1室1厅 | 38.64平米 | 北 | 其他 | 有电梯', '中楼层(共10层)2006年建板楼  -  月牙湖', '88万', '单价22775元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload565e99b1-ab69-451a-8f52-a220753d5113.JPG.296x216.jpg', '满五 客厅大 带阁楼 采光无遮挡 看房方便 精装修', '龙蟠花苑  | 2室1厅 | 86.82平米 | 东 西 | 其他 | 无电梯', '高楼层(共6层)2000年建板楼  -  秦虹', '252万', '单价29026元/平米')
('https://image1.ljcdn.com/320100-inspection/857e844e-f8fd-4c9a-a337-47c58e463a3e.jpg.296x216.jpg', '二十八所南苑 双南户型 一楼带院子', '二十八所(南)  | 2室1厅 | 66.7平米 | 南 北 | 其他 | 无电梯', '低楼层(共5层)1996年建板楼  -  月牙湖', '258万', '单价38681元/平米')
('https://image1.ljcdn.com/320100-inspection/40548111-044f-4d90-8163-c5f7b17fd15d.jpg.296x216.jpg', '富丽山庄 3室2厅 330万', '富丽山庄  | 3室2厅 | 105.98平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)1997年建板楼  -  月牙湖', '330万', '单价31138元/平米')
('https://image1.ljcdn.com/320100-inspection/ca5bfeb7-6f56-470a-8de3-210bf48e9443.jpg.296x216.jpg', '月牙湖 光华路 品质小区 生活出行方便 诚心出售', '三金福邸  | 3室2厅 | 109.94平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2003年建板塔结合  -  月牙湖', '345万', '单价31381元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload337dfdd1-475b-4ba0-b7fd-c56291fe97e9.jpg.296x216.jpg', '新街口高档小区 满五唯一 商品房 交通便利 配套齐全', '桂苑公寓  | 3室2厅 | 168.99平米 | 南 北 | 其他 | 有电梯', '中楼层(共10层)2000年建板塔结合  -  新街口', '698万', '单价41305元/平米')
('https://image1.ljcdn.com/320100-inspection/9fd1de62-82df-47f2-9f80-ebc0f70b54db.jpg.296x216.jpg', '新街口张府园  双南一东 大三房', '同坤大厦  | 3室1厅 | 97.02平米 | 南 | 其他 | 有电梯', '高楼层(共24层)2017年建板楼  -  升州路', '280万', '单价28861元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload0d892edc-f85f-408f-94bd-094b976fcadf.jpg.296x216.jpg', '月牙湖 梅花山庄 带阁楼 满五年 视野开阔', '梅花山庄中沁苑  | 4室2厅 | 117.59平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)1998年建板楼  -  月牙湖', '386万', '单价32826元/平米')
('https://image1.ljcdn.com/320100-inspection/d88c28b9-76d3-4e5f-9004-a7dfe8c07ee6.JPG.296x216.jpg', '满五年 中间楼层 双南 采光好 武定门 交通便利', '莺虹苑  | 2室1厅 | 67.5平米 | 南 西 | 其他 | 无电梯', '中楼层(共6层)1993年建板楼  -  秦虹', '185万', '单价27408元/平米')
('https://image1.ljcdn.com/320100-inspection/f3f1212b-d21b-4621-a059-2bbdd7d855f1.JPG.296x216.jpg', '大户型 精装修  环境好 管理好 配套全 生活便利', '逸仙名居  | 2室2厅 | 143.78平米 | 东南 | 精装 | 有电梯', '中楼层(共24层)2005年建板楼  -  五老村', '580万', '单价40340元/平米')
('https://image1.ljcdn.com/320100-inspection/e1742276-2e37-48cb-bb56-fb65b7445a69.jpg.296x216.jpg', '带阁楼 南北通透 采光好 中医院 南部新城', '风光里小区  | 3室1厅 | 74.83平米 | 南 北 | 其他 | 有电梯', '高楼层(共7层)2003年建板塔结合  -  洪家园', '230万', '单价30737元/平米')
('https://image1.ljcdn.com/320100-inspection/e783f562-34eb-4055-88a8-b92eb4afb3aa.jpg.296x216.jpg', '紫金明珠 中间位置 高楼层 南北通透 简单装修 可看房', '万达紫金明珠  | 2室2厅 | 85.17平米 | 南 北 | 简装 | 有电梯', '高楼层(共9层)2005年建板楼  -  月牙湖', '249万', '单价29236元/平米')
('https://image1.ljcdn.com/320100-inspection/eaccf6cf-fd17-4626-8ef8-90f5c04273ef.jpg.296x216.jpg', '集庆路 1室1厅 130万', '集庆路  | 1室1厅 | 40.18平米 | 南 | 其他 | 无电梯', '中楼层(共6层)板楼  -  来凤里', '130万', '单价32355元/平米')
('https://image1.ljcdn.com/320100-inspection/c683efae-c620-4ec8-8e45-46a0a3269334.jpg.296x216.jpg', '南部新城 汇景家园 交通方便 2008年发房龄 双南精装修', '汇景家园汇安苑  | 2室1厅 | 68.35平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)2008年建板塔结合  -  洪家园', '220万', '单价32188元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadc14380e5-394a-4040-b161-b6b12f74a022.jpg.296x216.jpg', '南北通透 采光好 有电梯 配套齐全 交通便利', '秣陵路  | 2室1厅 | 58平米 | 南 | 其他 | 有电梯', '低楼层(共9层)1988年建板塔结合  -  新街口', '186万', '单价32069元/平米')
('https://image1.ljcdn.com/320100-inspection/549a0e52-d2dc-40a3-ae0a-60d72e67cca9.jpg.296x216.jpg', '鸿福苑 3室1厅 356万', '鸿福苑  | 3室1厅 | 98平米 | 南 北 | 其他 | 无电梯', '低楼层(共7层)2000年建板楼  -  大光路', '356万', '单价36327元/平米')
('https://image1.ljcdn.com/320100-inspection/8eed6e1b-078b-4124-9db3-25d27c0f4667.jpg.296x216.jpg', '御道街30号 3室1厅 270万', '御道街30号  | 3室1厅 | 65.26平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)1980年建板楼  -  瑞金路', '270万', '单价41373元/平米')
('https://image1.ljcdn.com/320100-inspection/17abc33a-7c7b-4b7d-ad5a-32d903519b62.JPG.296x216.jpg', '风光里小区 2室1厅 165万', '风光里小区  | 2室1厅 | 51.26平米 | 南 北 | 其他 | 无电梯', '中楼层(共7层)2003年建板塔结合  -  洪家园', '165万', '单价32189元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploade1900753-0c65-4233-abc3-d4ab8644437a.JPG.296x216.jpg', '满五年 三面朝湖景观房 房龄新三房', '清雅苑  | 3室2厅 | 114.21平米 | 南 北 | 其他 | 有电梯', '低楼层(共11层)2004年建板楼  -  秦虹', '488万', '单价42729元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadd6bf2854-8595-4da9-b344-0497f452a5e6.jpg.296x216.jpg', '南北通透户型方正大四房中间楼层小区中间位置环境优美', '梅花山庄园中苑  | 4室2厅 | 153.04平米 | 南 北 | 其他 | 无电梯', '低楼层(共7层)1999年建板楼  -  月牙湖', '530万', '单价34632元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload354e279e-4785-4bd4-883f-5c0302f285fd.jpg.296x216.jpg', '新街口 明瓦廊 自住精装修 大两房 业主诚售', '明瓦廊  | 3室1厅 | 71.55平米 | 东 西 | 其他 | 无电梯', '高楼层(共4层)1985年建板楼  -  新街口', '208万', '单价29071元/平米')
('https://image1.ljcdn.com/320100-inspection/e0436478-4e64-476a-906b-f4ef0db08552.JPG.296x216.jpg', '秦虹 武定新村 黄房子 双卧朝南 送阁楼 送地下室', '武定新村  | 2室2厅 | 84.5平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2004年建板楼  -  秦虹', '280万', '单价33137元/平米')
('https://image1.ljcdn.com/320100-inspection/bdff8dc4-eb2c-45fc-b48b-3f0891bb80b3.JPG.296x216.jpg', '南部新城 市中医院 夫子庙 刚需改善三房', '风光里小区  | 3室1厅 | 98.8平米 | 东北 | 简装 | 有电梯', '低楼层(共11层)2003年建板塔结合  -  洪家园', '285万', '单价28847元/平米')
('https://image1.ljcdn.com/320100-inspection/test-2bf21f02-43ae-461c-b3b0-3596e785f809.png.296x216.jpg', '南北通透 采光充足 满五年 随时看房', '富丽山庄  | 2室1厅 | 93.96平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)1997年建板楼  -  月牙湖', '285万', '单价30333元/平米')
('https://image1.ljcdn.com/320100-inspection/9e88d157-ae82-4fa8-81f1-6c7836be4638.JPG.296x216.jpg', '生活方便 交通便利 施设配套配套相对成熟', '红花地  | 2室1厅 | 68.82平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)1991年建板楼  -  五老村', '270万', '单价39233元/平米')
('https://image1.ljcdn.com/320100-inspection/ed3fef11-4f7e-4767-8193-12074ab23e7c.jpg.296x216.jpg', '满五年 进出比较方便 南北通透 户型好', '万达紫金明珠  | 2室2厅 | 84.88平米 | 南 北 | 其他 | 有电梯', '低楼层(共9层)2005年建板楼  -  月牙湖', '255万', '单价30043元/平米')
('https://image1.ljcdn.com/320100-inspection/b7dd8978-9821-4a24-ae3e-3bb3afdeeb4d.JPG.296x216.jpg', '瑞金路中间楼层 小区中间 三房 采光佳 配套成熟', '御道街34号  | 3室1厅 | 68.54平米 | 南 | 精装 | 无电梯', '中楼层(共5层)1996年建板楼  -  瑞金路', '265万', '单价38664元/平米')
('https://image1.ljcdn.com/320100-inspection/7a6aad64-c5f3-4e24-81cf-5fef125605b9.jpg.296x216.jpg', '住户素质高 环境好 精装修的三房 交通生活便利', '银通公寓  | 3室2厅 | 118.33平米 | 南 北 | 精装 | 无电梯', '中楼层(共7层)1997年建板楼  -  瑞金路', '470万', '单价39720元/平米')
('https://image1.ljcdn.com/320100-inspection/bd254fc9-4f17-4148-b80f-43be9070765f.JPG.296x216.jpg', '大杨村 3房 3阳台 2南1北 94房龄 五老村 大行宫 急售', '大杨村  | 3室1厅 | 86.67平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)1995年建板楼  -  五老村', '335万', '单价38653元/平米')
('https://image1.ljcdn.com/320100-inspection/test-ee659256-3fe8-4399-a65e-c3396d7c5d26.png.296x216.jpg', '22万精装修 美食一条街 品牌家具家电', '瑞阳街1号  | 3室1厅 | 95.4平米 | 南 | 其他 | 有电梯', '高楼层(共7层)2000年建板楼  -  瑞金路', '354万', '单价37107元/平米')
('https://image1.ljcdn.com/320100-inspection/612e4792-32d9-4424-a836-fa3e37ec11c0.jpg.296x216.jpg', '瑞金路大三房，采光好，混合结构，南北通透，94年房龄', '瑞金路50号院  | 3室1厅 | 80.68平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1983年建板楼  -  瑞金路', '305万', '单价37804元/平米')
('https://image1.ljcdn.com/320100-inspection/96b8b572-475a-4160-ac1d-b3aef8cc793d.JPG.296x216.jpg', '满五年唯一 精装修 南北通透 双卧朝南 郑和公园', '白玉兰公寓  | 3室2厅 | 85.93平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2000年建板楼  -  常府街', '303万', '单价35262元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploada0d18cc6-243a-423a-981a-8bb1eb28a6bb.JPG.296x216.jpg', '南部新城 电梯大三房 精装修 新小区环境好 拎包入住', '晨光新苑  | 3室2厅 | 108.98平米 | 南 北 | 精装 | 有电梯', '中楼层(共11层)2004年建板楼  -  洪家园', '399万', '单价36613元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload28b62489-5d11-42f1-bdee-10baa4029704.JPG.296x216.jpg', '精装修 全明户型 采光不挡 常府街', '九莲塘  | 2室1厅 | 54.01平米 | 西北 | 精装 | 有电梯', '高楼层(共7层)1992年建板楼  -  常府街', '199万', '单价36846元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload54dfd9d6-de89-4ff5-a595-c5885896c4a5.JPG.296x216.jpg', '游府新村 三室一厅 厨卫全明 满五年', '游府新村  | 3室1厅 | 77.47平米 | 南 北 | 其他 | 有电梯', '高楼层(共7层)1993年建板楼  -  新街口', '525万', '单价67769元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload7371317e-564e-4bdd-9a0d-b18b78f7417f.jpg.296x216.jpg', '新街口 丰富路 大户型三房 双南一北', '石榴园  | 3室2厅 | 103.33平米 | 南 北 | 其他 | 无电梯', '中楼层(共7层)1996年建板楼  -  新街口', '398万', '单价38518元/平米')
('https://image1.ljcdn.com/320100-inspection/1db2363a-f5e8-473b-89e1-601574475c6a.JPG.296x216.jpg', '洪家园 大明路 南北通透 采光无遮挡 中医院 有车位', '曙光里  | 2室2厅 | 91.55平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2002年建板塔结合  -  洪家园', '285万', '单价31131元/平米')
('https://image1.ljcdn.com/320100-inspection/4edd8aef-3c58-4d3b-87d3-92366997c392.jpg.296x216.jpg', '南北通透三房带阁楼阁楼可住人采光好视野好空气好', '梅花山庄丽景苑  | 4室1厅 | 99.71平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)2000年建板楼  -  月牙湖', '320万', '单价32094元/平米')
('https://image1.ljcdn.com/320100-inspection/a24776fe-0dc4-4ada-8184-663f5f16f67b.jpg.296x216.jpg', '平江府路 2室1厅 230万', '平江府路  | 2室1厅 | 61.67平米 | 南 北 | 其他 | 无电梯', '中楼层(共7层)1989年建板楼  -  夫子庙', '230万', '单价37296元/平米')
('https://image1.ljcdn.com/320100-inspection/10625837-81c3-45d9-b594-364c88d1dafb.jpg.296x216.jpg', '苜蓿园大街 大地豪庭 品质小区 配套成熟 交通便利', '城开家园  | 3室2厅 | 136.95平米 | 南 北 | 其他 | 有电梯', '低楼层(共16层)2004年建板塔结合  -  月牙湖', '468万', '单价34174元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload1713c071-6525-40ec-ab56-c9ce900716bd.jpg.296x216.jpg', '瑞金路 大光路 电梯房  挑高 带燃气70年住宅', '瑞鑫兰庭  | 2室1厅 | 56.36平米 | 东 | 精装 | 有电梯', '高楼层(共16层)2005年建板塔结合  -  大光路', '232万', '单价41164元/平米')
('https://image1.ljcdn.com/320100-inspection/af549254-8579-4cb0-af61-dced3d556d04.JPG.296x216.jpg', '育仁雅居 2室2厅 310万', '育仁雅居  | 2室2厅 | 83.5平米 | 南 | 其他 | 无电梯', '中楼层(共5层)2006年建板楼  -  洪家园', '310万', '单价37126元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadb9ff666e-b19a-4de1-bf32-4c4a6954f5fa.jpg.296x216.jpg', '新街口商圈 石鼓路小区 省中医院 小区环境好', '石鼓路  | 3室1厅 | 72.11平米 | 南 | 其他 | 无电梯', '中楼层(共7层)1990年建板塔结合  -  朝天宫', '220万', '单价30509元/平米')
('https://image1.ljcdn.com/320100-inspection/e257ea46-2d6e-46fa-920c-6cd4efb3ee83.JPG.296x216.jpg', '新街口 洪武路 武学园 98年 电梯房 诚心出售 配套成熟', '武学园小区  | 2室1厅 | 58平米 | 东北 | 其他 | 有电梯', '中楼层(共30层)1998年建塔楼  -  新街口', '285万', '单价49138元/平米')
('https://image1.ljcdn.com/320100-inspection/7378bb00-c5a5-4130-94f4-697bc6bb596c.jpg.296x216.jpg', '侯家桥小区 精装三房 交通便利 双南一北', '侯家桥  | 3室1厅 | 106.04平米 | 南 | 其他 | 无电梯', '高楼层(共7层)1993年建板塔结合  -  朝天宫', '293万', '单价27632元/平米')
('https://image1.ljcdn.com/320100-inspection/673221bd-d35b-46cc-9e41-d423ed50907a.jpg.296x216.jpg', '光华路 月牙湖 三开间朝南 南北通透 低楼层 精装修', '大地豪庭  | 3室2厅 | 130.52平米 | 南 北 | 精装 | 有电梯', '低楼层(共11层)2004年建板塔结合  -  月牙湖', '475万', '单价36393元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload2dd63149-d67d-439f-9df2-d5ddab314f0d.JPG.296x216.jpg', '大行宫 五老村 中山东路小区 中间楼层', '普华巷  | 2室1厅 | 53.62平米 | 南 | 精装 | 无电梯', '中楼层(共7层)1987年建板塔结合  -  五老村', '230万', '单价42895元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload53e2acdf-5a04-4a1c-9185-f4f4e0dc53f1.jpg.296x216.jpg', '全明西边户 老式精装修 双卧朝南', '朝天宫西街  | 2室1厅 | 71.91平米 | 南 北 | 其他 | 无电梯', '中楼层(共7层)1989年建板楼  -  朝天宫', '238万', '单价33097元/平米')
('https://image1.ljcdn.com/320100-inspection/8eb3ec92-91c2-49c3-8c68-2699644acef1.jpg.296x216.jpg', '南北通透格局，采光好，交通便利，满五年', '侨宁公寓  | 3室2厅 | 122.37平米 | 南 北 | 其他 | 有电梯', '低楼层(共11层)1999年建板塔结合  -  夫子庙', '512万', '单价41841元/平米')
('https://image1.ljcdn.com/320100-inspection/910a1b53-f62a-4912-8f15-c57042a17b3d.jpg.296x216.jpg', '业主诚心卖房，随时可看，采光无遮挡', '弓箭坊小区  | 2室1厅 | 90.98平米 | 西 北 | 其他 | 有电梯', '中楼层(共30层)1999年建塔楼  -  来凤里', '246万', '单价27039元/平米')
('https://image1.ljcdn.com/320100-inspection/dc494ef5-4b52-4a2d-82c8-622057bec06a.jpg.296x216.jpg', '月牙湖花园 紫金山下 苜蓿园大街 全明三房 不临街', '月牙湖花园  | 3室2厅 | 112.48平米 | 南 北 | 精装 | 无电梯', '中楼层(共5层)1999年建板楼  -  月牙湖', '450万', '单价40008元/平米')
