('https://image1.ljcdn.com/310000-inspection/test-1b985316-fcfb-4d1c-92e6-eb684c06bd34.png.296x216.jpg', '精装大三房，满五唯一，品质小区配套齐全，人车分流，', '品尊国际  | 3室2厅 | 153.16平米 | 南 北 | 精装 | 有电梯', '低楼层(共36层)2011年建板楼  -  真如', '1220万', '单价79656元/平米')
('https://image1.ljcdn.com/310000-inspection/cf3fc85a-03e8-4168-9827-7889bfeb2711.jpg.296x216.jpg', '此房源属于小区二期的房源 南北通户型 业主置换', '象源丽都  | 2室2厅 | 113.6平米 | 南 | 精装 | 有电梯', '高楼层(共10层)2005年建板楼  -  长征', '760万', '单价66902元/平米')
('https://image1.ljcdn.com/310000-inspection/test-10c8c541-98e3-44e2-838e-ba80f1b7342a.png.296x216.jpg', '中关村公寓 3室2厅 1050万', '中关村公寓  | 3室2厅 | 144.97平米 | 南 | 精装 | 有电梯', '中楼层(共30层)2003年建板楼  -  真如', '1050万', '单价72429元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171029/48bf4e42-9a6c-412b-86ea-afe09fb89773.jpg.296x216.jpg', '曹杨二中。楼层佳。采光好。满五年。交通便利', '香山苑  | 2室1厅 | 89.09平米 | 西南 | 简装 | 有电梯', '高楼层(共24层)1999年建塔楼  -  曹杨', '580万', '单价65103元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160831/dc789d02-c562-487d-b697-a4142fd484e5.jpg.296x216.jpg', '近地铁+南北通2室1厅+房型正气+配套齐全', '宜川路330号  | 2室1厅 | 71.23平米 | 南 | 简装 | 有电梯', '低楼层(共12层)1993年建塔楼  -  甘泉宜川', '375万', '单价52647元/平米')
('https://image1.ljcdn.com/310000-inspection/872de10a-23d4-49f4-9b70-f61ea4a1b889.JPG.296x216.jpg', '曹杨二中，格局棒  无遮挡   采光好  看房方便', '杏园  | 1室1厅 | 39.53平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1995年建板楼  -  曹杨', '220万', '单价55654元/平米')
('https://image1.ljcdn.com/310000-inspection/test-0a3edae5-d33a-4ae5-8bcc-e88ed6c16bb3.png.296x216.jpg', '层高3.2米，送30平露台30平阁楼，20平衣帽间，有车位', '水岸豪庭  | 4室2厅 | 272.07平米 | 南 | 精装 | 有电梯', '高楼层(共16层)2003年建板楼  -  武宁', '1880万', '单价69100元/平米')
('https://image1.ljcdn.com/310000-inspection/50909274-cc19-4aa5-b73a-074a087da05e.jpg.296x216.jpg', '近地铁大两房两卫，全明户型，南北通透，自住精致装修', '象源丽都  | 2室2厅 | 108平米 | 南 | 其他 | 有电梯', '高楼层(共13层)2005年建板楼  -  长征', '740万', '单价68519元/平米')
('https://image1.ljcdn.com/310000-inspection/test-b4e2efde-b02d-4f44-86c8-b947cfd5cf4a.png.296x216.jpg', '满五唯一！二楼，双南户型!出行方便!', '桃浦一村瑞香苑  | 2室0厅 | 49.76平米 | 南 | 其他 | 无电梯', '低楼层(共6层)1988年建板楼  -  桃浦', '212万', '单价42605元/平米')
('https://image1.ljcdn.com/310000-inspection/74366a2e-e85a-4aa0-8925-4c269d0893af.jpg.296x216.jpg', '南北通透，房型正气，景观楼层，品质花园式小区！', '金沙雅苑(三期)  | 2室2厅 | 97.71平米 | 南 北 | 精装 | 有电梯', '高楼层(共18层)2004年建板楼  -  长征', '710万', '单价72665元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171228/13f3fce9-bafb-48c9-ab7d-52cf965c7d39.jpg.296x216.jpg', '11号线桃浦新村站！桃浦六村的小二房一厅', '桃浦六村绿春苑  | 2室1厅 | 56.88平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1993年建板楼  -  桃浦', '220万', '单价38678元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload43c8e515-ef4a-45ee-bc71-5d9caabd1178.JPG.296x216.jpg', '南北通三房得房率高中间位置地铁800米价格好谈', '巴黎之春  | 3室2厅 | 115.81平米 | 南 | 简装 | 无电梯', '高楼层(共6层)2002年建板楼  -  万里', '675万', '单价58286元/平米')
('https://image1.ljcdn.com/310000-inspection/test-19029b3a-226b-4bd7-97e3-a7626604384a.png.296x216.jpg', '双南户型，全明，诚意出售，价格看中可谈', '杨桥第一小区  | 2室1厅 | 67.76平米 | 南 | 其他 | 无电梯', '中楼层(共6层)1995年建板楼  -  桃浦', '320万', '单价47226元/平米')
('https://image1.ljcdn.com/310000-inspection/6d2c6473-8acb-4cda-8965-11ef34419cef.JPG.296x216.jpg', '中环花苑 两房地理位置优越 楼层好房型正 采光无遮挡', '中环花苑  | 2室2厅 | 92.05平米 | 南 | 其他 | 有电梯', '高楼层(共18层)2007年建板楼  -  万里', '676万', '单价73439元/平米')
('https://image1.ljcdn.com/310000-inspection/f41316f6-da6e-418f-bd16-af5db6fede76.jpg.296x216.jpg', '花园住宅一梯一户！送车位！附赠15平入室！诚意出售！', '大华颐和华城(公寓)  | 3室2厅 | 136.84平米 | 南 | 其他 | 有电梯', '低楼层(共7层)2013年建板楼  -  万里', '1100万', '单价80386元/平米')
('https://image1.ljcdn.com/310000-inspection/test-0e0df789-e187-4c40-9a76-329ffb732a2e.png.296x216.jpg', '业主急卖精装电梯小两房，加急出售，下一套成交就是它', '海鑫公寓  | 2室1厅 | 69平米 | 南 | 精装 | 有电梯', '低楼层(共18层)1997年建塔楼  -  长风', '388万', '单价56232元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171030/fa3e6ee7-c235-4d15-9006-6bd15957f957.jpg.296x216.jpg', '黑森林3期 带有产权车位 高 科技住宅 双 轨交通 学 区', '中鹰黑森林  | 3室2厅 | 200.96平米 | 南 | 精装 | 有电梯', '中楼层(共24层)板楼  -  万里', '2050万', '单价102011元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161217/cb5384cd-145b-48bc-bc89-5afb17621b88.jpg.296x216.jpg', '近13号线，房型正气，小区好位置，推窗见小区湖景！', '绿洲湖畔花园  | 2室2厅 | 98.82平米 | 暂无数据 | 精装 | 有电梯', '低楼层(共27层)2005年建板楼  -  长征', '710万', '单价71848元/平米')
('https://image1.ljcdn.com/310000-inspection/81c856e6-62c7-48fa-9103-e815eb04bb6b.JPG.296x216.jpg', '窗外无遮挡建筑物充分享受阳光房东诚心出售随时看房', '章家巷小区  | 1室1厅 | 41.8平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1990年建板楼  -  甘泉宜川', '192万', '单价45934元/平米')
('https://image1.ljcdn.com/310000-inspection/e78564b4-5e94-4df9-9a41-5cd3a10d1b71.jpg.296x216.jpg', '地铁7号13号  大三房  诚心出售', '常德大厦  | 3室2厅 | 182.28平米 | 东 | 其他 | 有电梯', '低楼层(共26层)1998年建板楼  -  长寿路', '900万', '单价49375元/平米')
('https://image1.ljcdn.com/310000-inspection/abb6ba14-27aa-4a91-8be0-5b045280d84b.JPG.296x216.jpg', '南北全明透风佳，紧靠花溪路环浜河，鸟语花香闹中取静', '曹杨四村(兰花园)  | 1室1厅 | 40.78平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1990年建板楼  -  曹杨', '245万', '单价60079元/平米')
('https://image1.ljcdn.com/310000-inspection/test-aa9c894f-2ec6-4b0c-bc4a-9863a5de4ddf.png.296x216.jpg', '精装修拎包入住，2014年的小区，高品质近3号4号地铁', '香溢花城(住宅)  | 2室2厅 | 85.15平米 | 南 北 | 精装 | 有电梯', '低楼层(共28层)2013年建板楼  -  光新', '720万', '单价84557元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171211/075f898d-f24f-49bc-a53e-5d6650abd5ef.jpg.296x216.jpg', '曹杨五村(杏梅园) 1室1厅 260万', '曹杨五村(杏梅园)  | 1室1厅 | 44.42平米 | 南 | 其他 | 无电梯', '低楼层(共6层)1990年建板楼  -  曹杨', '260万', '单价58533元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180101/1964795a-988d-4e8c-b121-8e44264aab94.jpg.296x216.jpg', '南北通全明一室半，温馨小户型满五唯一，楼层好房型正', '曹杨三村(兰岭园)  | 1室1厅 | 38.15平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1981年建板楼  -  曹杨', '225万', '单价58978元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload1989a35b-7fe5-4bc5-94b3-559ee6555bfa.jpg.296x216.jpg', '金沙嘉年华 3室2厅 965万', '金沙嘉年华  | 3室2厅 | 139.07平米 | 南 北 | 精装 | 有电梯', '高楼层(共8层)2004年建板楼  -  长征', '965万', '单价69390元/平米')
('https://image1.ljcdn.com/310000-inspection/test-4a40b9c9-fb36-44ae-96ac-3ecee240b5d6.png.296x216.jpg', '内环内新出笋盘 四轨交通 苏州河旁 随时可看 业主急售', '德诚大厦  | 2室1厅 | 100.24平米 | 东 南 | 精装 | 有电梯', '低楼层(共30层)1995年建塔楼  -  长寿路', '570万', '单价56864元/平米')
('https://image1.ljcdn.com/310000-inspection/test-ae65f17e-9275-4c4a-8e7e-a36a4854358d.jpeg.296x216.jpg', '平江盛世家园 2室1厅 406万', '平江盛世家园  | 2室1厅 | 74.33平米 | 南 | 简装 | 有电梯', '中楼层(共24层)1997年建板楼  -  甘泉宜川', '406万', '单价54622元/平米')
('https://image1.ljcdn.com/310000-inspection/8f4268f9-6e18-4c7d-bb68-0b7758efd00a.jpg.296x216.jpg', '香溢南北通两房，单价低总价低，业主诚意出售方便看房', '香溢花城(住宅)  | 2室2厅 | 104.36平米 | 南 | 精装 | 有电梯', '低楼层(共29层)2009年建板楼  -  光新', '720万', '单价68992元/平米')
('https://image1.ljcdn.com/310000-inspection/test-64bbd66c-bbb8-499e-90cd-b1895bcdd2db.jpeg.296x216.jpg', '中环花苑 2室2厅 630万', '中环花苑  | 2室2厅 | 94.51平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2007年建板楼  -  万里', '630万', '单价66660元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180118/d5d5e08e-97e5-4b25-a7ca-a60fccb9335f.jpg.296x216.jpg', '满五唯一，后排景观房，阳光采光超好，近地铁', '河滨围城  | 3室2厅 | 137.66平米 | 南 | 精装 | 有电梯', '高楼层(共30层)2003年建板楼  -  长寿路', '1100万', '单价79908元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170318/ee78488b-bd79-44f3-954d-b69118d5f8af.jpg.296x216.jpg', '满五年唯一 税费少南北通电梯三房 价格便宜 诚意出售', '祥和星宇花园(公寓)  | 3室2厅 | 127.41平米 | 南 | 精装 | 有电梯', '低楼层(共15层)2010年建板楼  -  桃浦', '690万', '单价54156元/平米')
('https://image1.ljcdn.com/310000-inspection/76350b0f-1548-4491-bed0-5ce2f93fa5a7.jpg.296x216.jpg', '全南户型。 2.房龄新，环境优美。 3.人车分流。', '中环名品公馆  | 2室1厅 | 89.19平米 | 南 | 精装', '高楼层(共29层)2013年建板楼  -  桃浦', '660万', '单价74000元/平米')
('https://image1.ljcdn.com/310000-inspection/0c27edcc-599c-4c3d-bb78-20c3ef272e80.JPG.296x216.jpg', '满五年少税费，南北通电梯两户，04年房龄，带车位', '西部名邸  | 2室2厅 | 102.22平米 | 南 北 | 精装 | 有电梯', '中楼层(共7层)2004年建板楼  -  甘泉宜川', '760万', '单价74350元/平米')
('https://image1.ljcdn.com/310000-inspection/test-630ae1d9-f97d-479a-af2c-ed90e27215e6.png.296x216.jpg', '精装修，格局好，拎包入住，配套成熟，采光不错', '真如西村  | 2室1厅 | 53.92平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)1984年建板楼  -  真如', '285万', '单价52857元/平米')
('https://image1.ljcdn.com/310000-inspection/test-a2314044-fa6c-4b19-be6b-026e74039423.png.296x216.jpg', '中鹰黑森林 4室2厅 1900万', '中鹰黑森林  | 4室2厅 | 214.72平米 | 南 | 精装 | 有电梯', '中楼层(共20层)2011年建板楼  -  万里', '1900万', '单价88488元/平米')
('https://image1.ljcdn.com/310000-inspection/8347bb8b-1d8b-406f-8d1c-285fae7e5af4.jpg.296x216.jpg', '新出江宁音乐广场+人车分流+次新小区+业主诚意户型好', '音乐广场  | 3室2厅 | 165.15平米 | 南 | 精装 | 有电梯', '中楼层(共24层)2004年建板楼  -  长寿路', '1380万', '单价83561元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180128/d78c8831-97f2-4f77-a212-52df1fad62ed.jpg.296x216.jpg', '真光全明精装两居位置安静采光无挡布局合理性价高普陀', '真光第四小区  | 2室1厅 | 70.93平米 | 南 | 精装 | 无电梯', '低楼层(共6层)1997年建板楼  -  真光', '360万', '单价50755元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171109/103f5f8d-4b8f-44e5-90d9-120454559461.jpg.296x216.jpg', '近地铁品质小区房东置换诚心出售到价签字南北通透', '中鼎豪园  | 2室1厅 | 97平米 | 南 | 简装 | 有电梯', '低楼层(共7层)2005年建板楼  -  真光', '540万', '单价55671元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170507/1134945f-259b-4dd0-bec3-683d93cf67bc.jpg.296x216.jpg', '恒盛鼎城圣都汇 3室2厅 750万', '恒盛鼎城圣都汇  | 3室2厅 | 134.25平米 | 南 | 其他 | 有电梯', '低楼层(共16层)2011年建板楼  -  桃浦', '750万', '单价55866元/平米')
('https://image1.ljcdn.com/310000-inspection/test-0b6965c6-8202-43a3-93fd-7113e76dc2da.png.296x216.jpg', '恒温恒湿恒氧12平方森林公园中的四房大平层.CBD商圈', '中鹰黑森林  | 4室2厅 | 214平米 | 南 北 | 精装 | 有电梯', '低楼层(共20层)2011年建板楼  -  万里', '1790万', '单价83645元/平米')
('https://image1.ljcdn.com/310000-inspection/2193cf24-0779-4716-ab47-4926b4bcc7c4.JPG.296x216.jpg', '麻雀虽小五脏俱全 房子不大却也是家 近长风公园 。', '长风二村风荷园  | 1室0厅 | 28.71平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1983年建板楼  -  长风', '180万', '单价62696元/平米')
('https://image1.ljcdn.com/310000-inspection/1fe8eb8f-467a-49c5-97bd-77e8e9a23d7d.jpg.296x216.jpg', '06年品质社区+户型好+高区视野棒+满五年唯一', '日月星辰  | 4室2厅 | 173.76平米 | 南 | 精装 | 有电梯', '高楼层(共25层)2006年建塔楼  -  长寿路', '1200万', '单价69061元/平米')
('https://image1.ljcdn.com/310000-inspection/test-9d443b46-cc82-48e4-aa89-9c6d524d5c73.png.296x216.jpg', '紧 邻地铁 小区中 心 中间楼层 业主诚心卖 到价签字', '真北二街坊  | 2室1厅 | 72.37平米 | 南 | 精装 | 有电梯', '中楼层(共18层)1991年建塔楼  -  真如', '390万', '单价53890元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload002a6385-e198-4ae5-a96b-2f6fcea28fe6.jpg.296x216.jpg', '13号线祁连山南路，精装南北通大复式，满五唯一税费少', '万景园  | 4室3厅 | 161.67平米 | 南 | 精装 | 无电梯', '高楼层(共4层)2002年建板楼  -  长征', '880万', '单价54432元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161029/466d48e6-943a-4235-add5-59fe82687472.jpg.296x216.jpg', '梅川四街坊 1室1厅 260万', '梅川四街坊  | 1室1厅 | 43.9平米 | 南 | 毛坯 | 无电梯', '高楼层(共6层)1994年建板楼  -  长征', '260万', '单价59226元/平米')
('https://image1.ljcdn.com/310000-inspection/test-aa0acc62-dfdb-418b-ad2a-7963dc4817d7.png.296x216.jpg', '南北通透 全明 一梯两户 中间位置   中鸯空调高档社区', '中鼎豪园  | 3室2厅 | 138.81平米 | 南 | 其他 | 有电梯', '低楼层(共8层)2005年建板楼  -  真光', '745万', '单价53671元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170918/8f307089-6d99-40c3-a366-55636652f008.jpg.296x216.jpg', '曹杨五月天  小区中间位置  弧形景观 全明户型采 光足', '曹杨五月天  | 2室2厅 | 97.87平米 | 南 | 简装 | 有电梯', '高楼层(共14层)2005年建板楼  -  真如', '650万', '单价66415元/平米')
('https://image1.ljcdn.com/310000-inspection/test-421c6734-f49c-4baa-8a01-b822633c9d7c.png.296x216.jpg', '南北两房，边套全明户型，生活设施齐全，无抵押无贷款', '宜川三村  | 2室1厅 | 66.97平米 | 南 | 其他 | 无电梯', '高楼层(共7层)1991年建板楼  -  甘泉宜川', '320万', '单价47783元/平米')
('https://image1.ljcdn.com/310000-inspection/test-fbd8ac03-445d-442e-bd1e-e60f138010c4.png.296x216.jpg', '南北全明两房业主诚意出售看房方便', '建德花园紫藤苑  | 2室2厅 | 91.53平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)2000年建板楼  -  长征', '489万', '单价53426元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180102/cf7ac9ce-bf93-46c1-be0f-fc635641d2a0.jpg.296x216.jpg', '单价低 一梯两户 南北通 中等装修 拎包入住 交通方便', '香樟苑(普陀)  | 1室1厅 | 51.88平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1997年建板楼  -  真光', '228万', '单价43948元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload5e7bd63d-f34b-4e2a-bb15-d284d9ed267e.jpg.296x216.jpg', '南北通户型，楼层全天采光，满五年唯一税费少，无户口', '阳光威尼斯(三期)  | 3室2厅 | 115.92平米 | 南 | 简装 | 有电梯', '中楼层(共26层)2006年建板楼  -  真光', '560万', '单价48310元/平米')
('https://image1.ljcdn.com/shfdfs-image/20150831/f6402e8a-eab8-48f9-9210-75536e6fe044.jpg.296x216.jpg', '长寿路地铁口+日月星辰复式三房+总价低+看房方便诚售', '日月星辰  | 3室2厅 | 148.72平米 | 南 | 简装 | 有电梯', '高楼层(共28层)2000年建塔楼  -  长寿路', '1060万', '单价71275元/平米')
('https://image1.ljcdn.com/310000-inspection/test-ca2f31a9-d3c7-4688-985c-561d3e763a06.png.296x216.jpg', '房型特正气，全明，南北直通，近上海西站，交通方便', '清涧四街坊  | 3室2厅 | 123.57平米 | 南 | 简装 | 无电梯', '低楼层(共6层)2000年建板楼  -  真光', '545万', '单价44105元/平米')
('https://image1.ljcdn.com/310000-inspection/b359735e-4709-4328-87b9-f85e23346114.jpg.296x216.jpg', '全朝南两房 总价低 房东诚意出售 次新小区', '阳光威尼斯(四期)(公寓)  | 2室2厅 | 83.03平米 | 南 | 精装 | 有电梯', '低楼层(共24层)2009年建塔楼  -  真光', '400万', '单价48176元/平米')
('https://image1.ljcdn.com/310000-inspection/0c9b63ee-8a27-4a59-8452-32429cb5e932.jpg.296x216.jpg', '上晋元，多层复式，单价低，赠送多，看房方便', '万里一期  | 3室2厅 | 94.59平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1999年建板楼  -  万里', '488万', '单价51592元/平米')
('https://image1.ljcdn.com/310000-inspection/test-cca59da9-8b2b-4022-91e8-21b9fd2818d1.png.296x216.jpg', '房子满五年唯一 动迁房 无增值税费双南双阳台两房城售', '曹杨五村(南杨园)  | 2室1厅 | 55.8平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1983年建板楼  -  曹杨', '350万', '单价62725元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadf535eed5-1d33-48d2-97e7-9cef35161feb.jpg.296x216.jpg', '房东出国定居！急售此房！价格可谈！景观苏州河！', '半岛花园  | 3室2厅 | 107.5平米 | 南 北 | 精装 | 有电梯', '中楼层(共23层)2001年建塔楼  -  长寿路', '900万', '单价83721元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170421/49b5a00c-3e2c-4896-b29e-6b294bd807bc.jpg.296x216.jpg', '章家巷小区 花园边1房1厅精装拎包入住对口普陀幼儿园', '章家巷小区  | 1室1厅 | 37.32平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1987年建板楼  -  甘泉宜川', '180万', '单价48232元/平米')
('https://image1.ljcdn.com/310000-inspection/14835836-30b7-46f2-ac0c-09cfaa7308b9.jpg.296x216.jpg', '武宁路13号地铁站，长寿路商圈，业主诚意售', '沙田花园  | 2室2厅 | 69平米 | 东南 | 精装 | 无电梯', '中楼层(共5层)1997年建板楼  -  长寿路', '530万', '单价76812元/平米')
('https://image1.ljcdn.com/310000-inspection/08cae07b-da22-4cb4-b296-f6eb16598e79.jpg.296x216.jpg', '安居精装三房，房型正气，看房方便，拎包入住。', '安居锦竹苑  | 3室1厅 | 93.1平米 | 南 | 其他 | 有电梯', '高楼层(共24层)2013年建板楼  -  桃浦', '400万', '单价42965元/平米')
('https://image1.ljcdn.com/310000-inspection/test-8e29bbca-7000-49fb-910e-077be54e827b.png.296x216.jpg', '绿叶小区(普陀) 3室0厅 425万', '绿叶小区(普陀)  | 3室0厅 | 72.05平米 | 南 北 | 简装 | 有电梯', '高楼层(共14层)1978年建塔楼  -  真如', '425万', '单价58987元/平米')
('https://image1.ljcdn.com/310000-inspection/test-7e6d102b-3aa7-411b-bf34-ec71a9261923.png.296x216.jpg', '精装修，近地铁，教育体系好，环境好', '泰宸苑  | 2室1厅 | 67.75平米 | 南 北 | 精装 | 无电梯', '高楼层(共7层)2000年建板楼  -  长征', '360万', '单价53137元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170223/d4de0c62-a91e-4b1b-8be7-f047bcd3c342.jpg.296x216.jpg', '岚皋馨苑 3室2厅 610万', '岚皋馨苑  | 3室2厅 | 111.16平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1999年建板楼  -  真如', '610万', '单价54876元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload1ea65adb-c177-48cd-b3fc-746b5682112c.JPG.296x216.jpg', '新湖三期高区全南两房，看苏州河景观，全天采光无遮挡', '新湖明珠城  | 2室2厅 | 120平米 | 南 | 精装 | 有电梯', '高楼层(共33层)板楼  -  武宁', '990万', '单价82500元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadf9438465-5776-4945-8e31-9f462f32568e.jpg.296x216.jpg', '金江家园高区南北两房，动迁没有增值税，业主急售', '金江家园  | 2室2厅 | 82.5平米 | 南 北 | 精装 | 有电梯', '中楼层(共7层)2002年建板楼  -  长征', '468万', '单价56728元/平米')
('https://image1.ljcdn.com/310000-inspection/61dd44ec-243d-4cc6-8194-deff8a1248c5.jpg.296x216.jpg', '香樟苑(普陀) 2室1厅 296万', '香樟苑(普陀)  | 2室1厅 | 67.3平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1997年建板楼  -  真光', '296万', '单价43983元/平米')
('https://image1.ljcdn.com/310000-inspection/test-d7772e83-4366-4096-a0ac-8af1b0e71301.png.296x216.jpg', '长寿路单价6.5万大三房，南北通，中高区，双轨交汇', '国鑫大厦  | 3室2厅 | 138平米 | 南 北 | 精装 | 有电梯', '中楼层(共24层)板楼  -  长寿路', '900万', '单价65218元/平米')
('https://image1.ljcdn.com/310000-inspection/1fe72eb3-2b04-4987-a796-8980003df7f0.JPG.296x216.jpg', '真实新出！老业主委托！诚意出售价格可谈！铂金楼层。', '锦绿新城  | 3室2厅 | 130.01平米 | 南 | 精装 | 有电梯', '中楼层(共7层)1999年建板楼  -  武宁', '799万', '单价61457元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170730/e403e0b8-f415-4646-9849-5c549e5bf9ec.jpg.296x216.jpg', '小区当中位置，双卫，中区楼层采光好，安静看四期花园', '中远两湾城  | 2室2厅 | 103.44平米 | 南 | 简装 | 有电梯', '中楼层(共34层)2006年建板楼  -  中远两湾城', '688万', '单价66512元/平米')
('https://image1.ljcdn.com/310000-inspection/test-e51fbf22-79a6-4ad1-b5e2-dea0a235a1de.png.296x216.jpg', '延长小区二楼南北一室户  户型好 总价低', '延长小区(普陀)  | 1室0厅 | 34.8平米 | 南 北 | 毛坯 | 无电梯', '低楼层(共6层)板楼  -  甘泉宜川', '190万', '单价54598元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170606/a5c67d15-4373-4e2c-a6a3-37649ce40f25.jpg.296x216.jpg', '日月星辰高区两房+地铁口+全明户型+置换诚意出售', '日月星辰  | 2室2厅 | 108.51平米 | 南 | 简装 | 有电梯', '高楼层(共28层)2000年建塔楼  -  长寿路', '830万', '单价76491元/平米')
('https://image1.ljcdn.com/310000-inspection/c83de4c3-98fd-4b32-a6e2-682fb517436d.JPG.296x216.jpg', '双南双天井，采光充足，户型正气，诚意出售', '杏园  | 2室1厅 | 49.18平米 | 南 | 其他 | 无电梯', '低楼层(共6层)1994年建板楼  -  曹杨', '310万', '单价63034元/平米')
('https://image1.ljcdn.com/310000-inspection/68a46754-dfae-4d25-a161-a4103f443f63.JPG.296x216.jpg', '东旺雍景苑 2室2厅 715万', '东旺雍景苑  | 2室2厅 | 109.83平米 | 南 | 其他 | 有电梯', '高楼层(共12层)2001年建板楼  -  万里', '715万', '单价65101元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload10e02fcd-8952-444d-bbd1-9e3599ac6e96.JPG.296x216.jpg', '品质电梯房，高区双朝南，位置好，户型佳，随时看房', '普雄馨苑  | 2室1厅 | 69.86平米 | 南 | 精装 | 有电梯', '高楼层(共22层)1990年建塔楼  -  武宁', '509.9万', '单价72989元/平米')
('https://image1.ljcdn.com/310000-inspection/test-c5859a5c-4796-4f26-9d77-8e6f311749f2.png.296x216.jpg', '一梯两户 南北两房 新上房源 业主诚售 看房提前联系', '东旺家苑  | 2室2厅 | 87.52平米 | 南 | 简装 | 无电梯', '低楼层(共6层)2001年建板楼  -  长征', '535万', '单价61129元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload3d6f5f30-f182-4db7-bc7c-922f95bad237.jpg.296x216.jpg', '阳光威尼斯四期精装3房+视野开阔采光足', '阳光威尼斯(四期)(公寓)  | 3室2厅 | 122.7平米 | 西南 | 精装 | 有电梯', '低楼层(共25层)2009年建板楼  -  真光', '565万', '单价46048元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161029/fee40d85-79b0-4640-bd95-bd477856a153.jpg.296x216.jpg', '高区全明复式，精装修，看房随时，有车位。', '日月星辰  | 3室2厅 | 160.72平米 | 南 | 其他 | 有电梯', '高楼层(共25层)2006年建塔楼  -  长寿路', '1100万', '单价68443元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload6f9c974e-4aae-4dac-9f62-fc445ad94964.jpg.296x216.jpg', '阳光威尼斯(四期)(公寓) 2室2厅 440万', '阳光威尼斯(四期)(公寓)  | 2室2厅 | 102.51平米 | 南 | 精装 | 有电梯', '低楼层(共25层)2009年建板楼  -  真光', '440万', '单价42923元/平米')
('https://image1.ljcdn.com/310000-inspection/ac277e8f-da66-4a66-89de-7290c7687d68.JPG.296x216.jpg', '曹杨五村(梅花园) 2室1厅 380万', '曹杨五村(梅花园)  | 2室1厅 | 64平米 | 南 | 简装', '中楼层(共7层)1987年建板楼  -  曹杨', '380万', '单价59375元/平米')
('https://image1.ljcdn.com/310000-inspection/test-8a6bd4ce-998a-4d5b-98bf-99e241d14c5a.png.296x216.jpg', '雅苑四期，南向一房+现代装修+地铁0米+业主急售', '金沙雅苑(四期)  | 1室2厅 | 67.29平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2008年建板楼  -  长征', '470万', '单价69847元/平米')
('https://image1.ljcdn.com/310000-inspection/3cab3235-a46e-45f2-8726-d2c4ec5da846.jpg.296x216.jpg', '地铁7,13号线旁，满5年唯一，高区全南，采光无遮挡,', '燕兴大厦  | 2室2厅 | 95.67平米 | 南 | 简装 | 有电梯', '中楼层(共28层)1999年建塔楼  -  长寿路', '610万', '单价63761元/平米')
('', '楼层好，3-4层楼层，朝南一室户，毛坯房，婚房合适', '延长小区(普陀)  | 1室1厅 | 38.95平米 | 南 | 毛坯 | 无电梯', '中楼层(共6层)1985年建板楼  -  甘泉宜川', '200万', '单价51348元/平米')
