('https://image1.ljcdn.com/210100-inspection/b0b07c26-f931-4099-9816-cd34f1dc3853.jpg.296x216.jpg', '大东 大华水岸 精装三室 装修好 拎包入住', '大华水岸府邸  | 3室2厅 | 134.8平米 | 南 北 | 其他', '中楼层(共18层)2006年建板楼  -  大东区', '144万', '单价10683元/平米')
('https://image1.ljcdn.com/210100-inspection/e656c6f9-77ac-4333-a6eb-6e102d5433c9.jpg.296x216.jpg', '大东东站 金地铂悦 南北通透 标准两居室 清水房', '金地铂悦  | 2室1厅 | 86平米 | 南 北 | 毛坯', '低楼层(共29层)2016年建板楼  -  大东区', '116万', '单价13489元/平米')
('', '淺草綠閣水墨林溪 2室1厅 75万', '淺草綠閣水墨林溪  | 2室1厅 | 77.37平米 | 南 北 | 精装', '高楼层(共11层)板楼  -  大东区', '75万', '单价9694元/平米')
('https://image1.ljcdn.com/210100-inspection/7d14221b-1ead-4f63-8814-4588a7182776.JPG.296x216.jpg', '东站 金地铂悦 中间楼层 采光好 三室 精装修 拎包住', '金地铂悦  | 3室2厅 | 118平米 | 南 北 | 精装', '中楼层(共29层)板楼  -  大东区', '153万', '单价12967元/平米')
('https://image1.ljcdn.com/210100-inspection/58498220-c7e6-4eb2-9a82-3e20c1ce634b.jpg.296x216.jpg', '新家源 不临街 精装三室 低楼层 采光好', '新家源城市居住公园  | 3室2厅 | 148平米 | 南 北 | 精装', '低楼层(共7层)2000年建板楼  -  大东区', '150万', '单价10136元/平米')
('https://image1.ljcdn.com/210100-inspection/97a8d644-e060-4925-ac70-bc1b6fac31dc.jpg.296x216.jpg', '大东 东站 金地铂悦 精装修 两室 物业好 高品质生活', '金地铂悦  | 2室1厅 | 75平米 | 南 西 北 | 精装', '高楼层(共29层)板楼  -  大东区', '93万', '单价12400元/平米')
('https://image1.ljcdn.com/210100-inspection/6beb6b4c-55eb-4f99-a0cd-d11d1dcdf340.JPG.296x216.jpg', '大东东站 多层 公摊小 采光充足 视野好', '晨宇新村  | 2室2厅 | 80.43平米 | 南 北 | 精装', '中楼层(共8层)板楼  -  大东区', '53万', '单价6590元/平米')
('https://image1.ljcdn.com/210100-inspection/3c2bb00b-85d0-424c-9fee-711d840e8f8f.jpg.296x216.jpg', '大东二台子 南北通透 三室两卫 精装保持好', '新里摩尔公馆  | 3室2厅 | 137平米 | 南 北 | 精装', '低楼层(共18层)2010年建板楼  -  大东区', '105万', '单价7665元/平米')
('https://image1.ljcdn.com/210100-inspection/4f2c7439-8a5d-45a6-9560-f059752f0d11.JPG.296x216.jpg', '林韵春天 2室1厅 40万', '林韵春天  | 2室1厅 | 56平米 | 南 | 其他', '中楼层(共11层)2005年建板楼  -  大东区', '40万', '单价7143元/平米')
('https://image1.ljcdn.com/210100-inspection/b4743755-c8ea-425d-87fa-60c12c31fd47.jpg.296x216.jpg', '大东浅草绿阁 南向一室 不把山 不临街', '淺草綠閣水墨林溪  | 1室0厅 | 47.5平米 | 南 | 精装', '中楼层(共15层)板楼  -  大东区', '43万', '单价9053元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload494ef561-d920-48b5-8794-5458d1fd5335.jpg.296x216.jpg', '大东 二台子 东方玫瑰园 两室 南北通透', '东方玫瑰园  | 2室1厅 | 77.52平米 | 南 北 | 精装', '高楼层(共6层)2007年建板楼  -  大东区', '55万', '单价7095元/平米')
('https://image1.ljcdn.com/210100-inspection/28bc52bd-90e4-42e1-a1c9-db336ae2a506.jpg.296x216.jpg', '大东吉祥 锦联左岸 纯南向 采光足 户型方正 看房方便', '锦联左岸  | 1室1厅 | 46.72平米 | 南 | 精装', '中楼层(共18层)板楼  -  大东区', '44万', '单价9418元/平米')
('https://image1.ljcdn.com/210100-inspection/2fefb533-b8d6-4b4d-8918-bece2724b039.jpg.296x216.jpg', '东方俪城 一室 中低楼层 户型方正', '万恒东方俪城星座  | 1室1厅 | 57.53平米 | 北 | 精装', '低楼层(共23层)2005年建塔楼  -  大东区', '36万', '单价6258元/平米')
('https://image1.ljcdn.com/210100-inspection/d941e514-365b-4fb3-aebd-790631239117.jpg.296x216.jpg', '大东区，中街，天润广场，采光好', '天润广场  | 2室2厅 | 55.4平米 | 南 | 精装', '高楼层(共26层)2011年建塔楼  -  大东区', '60万', '单价10831元/平米')
('https://image1.ljcdn.com/210100-inspection/dce14641-8d20-4694-b5e6-c2fa8315c150.JPG.296x216.jpg', '香檀1917 1室0厅 40万', '香檀1917  | 1室0厅 | 41平米 | 东 | 简装', '高楼层(共35层)2008年建板楼  -  大东区', '40万', '单价9757元/平米')
('https://image1.ljcdn.com/210100-inspection/test-7dd409c1-e2fa-4b3d-a231-20e5851ec3c3.png.296x216.jpg', '大东 康都  楼层适中  装修好  拎包入住', '康都  | 1室1厅 | 54.57平米 | 南 | 精装', '中楼层(共6层)2001年建板楼  -  大东区', '45万', '单价8247元/平米')
('https://image1.ljcdn.com/210100-inspection/00ff9fda-a6ac-4814-b615-83679183d487.JPG.296x216.jpg', '可久小区 2室1厅 60万', '可久小区  | 2室1厅 | 78.03平米 | 南 北 | 精装', '中楼层(共8层)1997年建暂无数据  -  大东区', '60万', '单价7690元/平米')
('https://image1.ljcdn.com/210100-inspection/b5b17835-1681-4055-88aa-69d78325b606.JPG.296x216.jpg', '大东区 东站 金地铂悦 精装修 不把山 不临街 拎包即住', '金地铂悦  | 2室2厅 | 90.81平米 | 南 北 | 精装', '高楼层(共28层)2016年建板楼  -  大东区', '118万', '单价12995元/平米')
('https://image1.ljcdn.com/210100-inspection/6b43df6f-4c44-41e2-a4d3-e392c21517a0.jpg.296x216.jpg', '大东 彤利紫竹茗郡 南北三室 采光充足', '彤利紫竹茗郡  | 3室2厅 | 134.34平米 | 南 北 | 精装', '高楼层(共6层)板楼  -  大东区', '115万', '单价8561元/平米')
('https://image1.ljcdn.com/210100-inspection/5ad4f13e-0a73-4286-b8b8-5d69bc403722.JPG.296x216.jpg', '大东 八王寺 两室 高楼层 采光好', '城市经典  | 2室1厅 | 60.42平米 | 西 | 简装', '中楼层(共30层)2007年建板塔结合  -  大东区', '54万', '单价8938元/平米')
('https://image1.ljcdn.com/210100-inspection/2f6f2709-f4d9-4065-97a9-d28e9de9a692.jpg.296x216.jpg', '大东 金地铂悦 低楼层无遮挡采光好', '金地铂悦  | 3室1厅 | 104.43平米 | 南 北 | 精装', '低楼层(共29层)2016年建板楼  -  大东区', '110万', '单价10534元/平米')
('https://image1.ljcdn.com/210100-inspection/7b31f5dc-ad18-4adf-9a67-4f8726c5d449.jpg.296x216.jpg', '大东 彤利雅宁居 南北通透 楼层高 采光好', '彤利雅宁居  | 2室2厅 | 102平米 | 南 北 | 精装', '高楼层(共7层)板楼  -  大东区', '75万', '单价7353元/平米')
('https://image1.ljcdn.com/210100-inspection/73be6369-0193-48e0-8a87-5b270ee94a90.jpg.296x216.jpg', '天龙家园 ，高楼层，一室一厅一卫。', '天龙家园  | 1室1厅 | 65平米 | 西北 | 简装', '高楼层(共7层)2003年建板楼  -  大东区', '63万', '单价9693元/平米')
('https://image1.ljcdn.com/210100-inspection/5eb89ce9-da6b-4c4f-93ed-f6f3718a445f.jpg.296x216.jpg', '大东区  东中街商圈  香檀1917 两室一厅 精装修', '香檀1917  | 2室1厅 | 77平米 | 东北 | 精装', '低楼层(共34层)2008年建板楼  -  大东区', '70万', '单价9091元/平米')
('https://image1.ljcdn.com/210100-inspection/2b19e7c0-033a-484e-bd60-d025ab9495cf.jpg.296x216.jpg', '杏坛 配套成熟 交通 便利 楼层低 可久小区', '可久小区  | 2室1厅 | 50平米 | 东 西 | 简装', '中楼层(共7层)1997年建暂无数据  -  大东区', '39万', '单价7800元/平米')
('https://image1.ljcdn.com/210100-inspection/b7a4cc3b-25ea-4277-828a-78efb0cda87b.JPG.296x216.jpg', '大东 万恒愿景 高楼层  视野开阔', '万恒愿景  | 1室1厅 | 55.7平米 | 南 | 精装', '高楼层(共25层)板楼  -  大东区', '38.5万', '单价6913元/平米')
('https://image1.ljcdn.com/210100-inspection/9536dacc-f926-4e3e-9cc6-fb5b92e16356.JPG.296x216.jpg', '大东区 上园小区 采光好 装修好 拎包入住', '上园小区  | 1室1厅 | 42平米 | 南 北 | 精装', '中楼层(共7层)1987年建板楼  -  大东区', '31万', '单价7381元/平米')
('', '大东一环旁 东方俪城 南北两室 高楼层 视野开阔采光好', '万恒东方俪城二期  | 2室2厅 | 91.88平米 | 南 北 | 简装', '高楼层(共17层)2005年建板楼  -  大东区', '80万', '单价8708元/平米')
('https://image1.ljcdn.com/210100-inspection/d09fd86d-ade0-4a0e-a829-bdb642b8d7fc.JPG.296x216.jpg', '天龙家园精装三室拎包即住采光好看房方便', '天龙家园  | 3室2厅 | 144平米 | 南 北 | 精装', '高楼层(共7层)板楼  -  大东区', '145万', '单价10070元/平米')
('https://image1.ljcdn.com/210100-inspection/test-e3adc298-9753-4090-a8ad-5f7bbfde3803.png.296x216.jpg', '大东 一环外 骨科医院 万恒东方俪城星座 一室一厅', '万恒东方俪城星座  | 1室1厅 | 57.85平米 | 西北 | 简装', '低楼层(共23层)2005年建塔楼  -  大东区', '38万', '单价6569元/平米')
('https://image1.ljcdn.com/210100-inspection/d8fac022-d74f-4c8c-b4c2-0c357ff2a3f5.jpg.296x216.jpg', '城卉家园 2室1厅 105万', '城卉家园  | 2室1厅 | 133平米 | 南 北 | 精装', '高楼层(共7层)2005年建板楼  -  大东区', '105万', '单价7895元/平米')
('https://image1.ljcdn.com/210100-inspection/223344e1-b518-4b94-b825-acf2fe6ec014.JPG.296x216.jpg', '大东 康都 采光充足 视野开阔 高档装修 拎包入住', '康都  | 2室2厅 | 99.87平米 | 南 北 | 精装', '高楼层(共6层)2001年建板楼  -  大东区', '87万', '单价8712元/平米')
('https://image1.ljcdn.com/210100-inspection/716f1c5e-a8cc-4bf8-98db-66bd60845f90.jpg.296x216.jpg', '八王寺大区 四海家园 高楼层 2室', '四海花园  | 2室1厅 | 82.5平米 | 南 北 | 精装', '高楼层(共7层)2001年建板楼  -  大东区', '70万', '单价8485元/平米')
('https://image1.ljcdn.com/210100-inspection/e4d41773-89cd-4948-b316-dbd5a943455f.JPG.296x216.jpg', '大东祥和家园 不把山不临街 采光好', '祥和家园  | 3室2厅 | 137平米 | 南 北 | 简装', '高楼层(共6层)暂无数据  -  大东区', '94万', '单价6862元/平米')
('https://image1.ljcdn.com/210100-inspection/d1237a52-5afc-4fee-9580-b2ac09088e58.JPG.296x216.jpg', '瑞家景峰 两室 环境好 中间楼层 视野好', '瑞家景峰  | 2室1厅 | 76.77平米 | 东南 | 精装', '中楼层(共33层)2013年建板楼  -  大东区', '65万', '单价8467元/平米')
('https://image1.ljcdn.com/210100-inspection/655f8ad5-f3cb-4cce-85da-d8c7ad73bda9.jpg.296x216.jpg', '东远国际花园 2室1厅 82万', '东远国际花园  | 2室1厅 | 74平米 | 西南 | 其他', '中楼层(共34层)板楼  -  大东区', '82万', '单价11082元/平米')
('https://image1.ljcdn.com/210100-inspection/381e9ecb-5544-47ef-81e4-febc8b6f249e.jpg.296x216.jpg', '大东区 东星花庭 精装修 保持干净 中间楼层', '东星花庭  | 1室1厅 | 51.8平米 | 东北 | 精装', '中楼层(共24层)2011年建板楼  -  大东区', '48万', '单价9267元/平米')
('https://image1.ljcdn.com/210100-inspection/8856ed1d-92bc-4ddf-aa63-5cc6fdc83531.jpg.296x216.jpg', '大东龙之梦  大华水岸  多层中层  不把山 南北通透', '大华水岸府邸  | 2室2厅 | 96.45平米 | 南 北 | 简装', '中楼层(共6层)2006年建板楼  -  大东区', '120万', '单价12442元/平米')
('https://image1.ljcdn.com/210100-inspection/00fb26d3-f440-4680-bfca-4e8b62eb8d29.jpg.296x216.jpg', '大东 八王寺 绿苑小区 多层小户型 中等装修', '绿苑小区  | 2室1厅 | 75平米 | 南 北 | 精装', '高楼层(共7层)2004年建板楼  -  大东区', '53万', '单价7067元/平米')
('https://image1.ljcdn.com/210100-inspection/27ba5f83-3336-4842-80eb-d12b8965c065.JPG.296x216.jpg', '龙之梦畅园 1室1厅 79万', '龙之梦畅园  | 1室1厅 | 67.12平米 | 西 北 | 精装', '高楼层(共40层)2017年建板楼  -  大东区', '79万', '单价11770元/平米')
('https://image1.ljcdn.com/210100-inspection/de43c10e-4dec-4527-bfff-665cf6f7f68b.jpg.296x216.jpg', '香檀南向两室 中间楼层 不挡光 采光充足', '香檀1917  | 2室1厅 | 94平米 | 南 | 简装', '中楼层(共34层)2008年建板楼  -  大东区', '90万', '单价9575元/平米')
('', '香檀1917 2室2厅 95万', '香檀1917  | 2室2厅 | 93.62平米 | 南 | 其他', '高楼层(共34层)2008年建板楼  -  大东区', '95万', '单价10148元/平米')
('https://image1.ljcdn.com/210100-inspection/44120e3a-7fb4-4a47-8e61-f8f04c9ab8e3.jpg.296x216.jpg', '中街北苑三居室 南北通透标准格局 精装修能拎包即住', '中街北苑  | 3室1厅 | 126.18平米 | 南 北 | 精装', '中楼层(共6层)2003年建板楼  -  大东区', '135万', '单价10700元/平米')
('https://image1.ljcdn.com/210100-inspection/ddeea4b2-8258-4bd9-8806-b42b9a5298ae.jpg.296x216.jpg', '大东东站 东方玫瑰园 南北两居室 采光好', '东方玫瑰园  | 2室2厅 | 78平米 | 南 北 | 其他', '高楼层(共6层)2007年建板楼  -  大东区', '68万', '单价8718元/平米')
('https://image1.ljcdn.com/210100-inspection/9853d233-741d-4edb-bee8-33a7b1dbaf66.JPG.296x216.jpg', '大东区 新里摩尔公馆 多层 户型方正 高楼层 采光好', '新里摩尔公馆  | 3室2厅 | 120平米 | 南 北 | 精装', '高楼层(共5层)2010年建板楼  -  大东区', '110万', '单价9167元/平米')
('https://image1.ljcdn.com/210100-inspection/32e79071-4942-46db-8e29-193376cfac02.jpg.296x216.jpg', '东中街 天龙家园 南北通透 不把山不临街不挡光', '天龙家园  | 2室2厅 | 108平米 | 南 北 | 简装', '高楼层(共7层)2003年建板楼  -  大东区', '92万', '单价8519元/平米')
('https://image1.ljcdn.com/210100-inspection/70cedf9d-91dd-426e-ace4-75f2b6877827.jpg.296x216.jpg', '大东 东北大马路 吉祥花园 南北通透 日照充足', '吉祥花园  | 3室1厅 | 127.6平米 | 南 北 | 简装', '高楼层(共7层)2002年建板楼  -  大东区', '80万', '单价6270元/平米')
('https://image1.ljcdn.com/210100-inspection/8b275201-e7e2-4d2e-9bd9-561b6babe25d.jpg.296x216.jpg', '大东八王寺枫合万嘉不把山不临街', '枫合万嘉三期  | 3室2厅 | 126平米 | 南 北 | 精装', '高楼层(共15层)2005年建板楼  -  大东区', '165万', '单价13096元/平米')
('https://image1.ljcdn.com/210100-inspection/9723e383-2d4b-473f-b31a-e9e6c134caf5.JPG.296x216.jpg', '大东区 林韵春天 装修保持好 拎包入住', '林韵春天  | 2室1厅 | 55.72平米 | 南 | 精装', '中楼层(共11层)2005年建板楼  -  大东区', '38万', '单价6820元/平米')
('https://image1.ljcdn.com/210100-inspection/8d2f7ad9-078c-48c7-8109-1e95bd7927be.jpg.296x216.jpg', '林韵春天 2室1厅 53万', '林韵春天  | 2室1厅 | 76.15平米 | 南 北 | 其他', '中楼层(共11层)2005年建板楼  -  大东区', '53万', '单价6960元/平米')
('https://image1.ljcdn.com/210100-inspection/9091882d-a793-4d37-a554-695abe1f5669.JPG.296x216.jpg', '大东 东方银座 装修保持好 拎包入住', '东方银座中心城  | 2室0厅 | 52平米 | 南 | 精装', '中楼层(共34层)板楼  -  大东区', '40万', '单价7693元/平米')
('https://image1.ljcdn.com/210100-inspection/4c6be262-1c8d-41a6-b9be-4313a09121e7.jpg.296x216.jpg', '大东八王寺枫合万嘉三期，98.99平精装两室，南北通透', '枫合万嘉三期  | 2室2厅 | 98.99平米 | 南 北 | 精装', '中楼层(共21层)2005年建板楼  -  大东区', '123万', '单价12426元/平米')
('https://image1.ljcdn.com/210100-inspection/ef2014bc-073e-4a56-acfd-460f51f34980.jpg.296x216.jpg', '大东 鸿泽园 三室两厅一厨两卫 南北通透 精装修', '鸿泽园  | 3室2厅 | 158.86平米 | 南 北 | 精装', '高楼层(共7层)2004年建板楼  -  大东区', '125万', '单价7869元/平米')
('https://image1.ljcdn.com/210100-inspection/e589cff8-be41-435f-b358-d9f803d027ed.JPG.296x216.jpg', '大东 小什字街 馨龙小区 不把山 不临街 高楼层 采光好', '馨龙小区  | 2室1厅 | 53平米 | 南 北 | 精装', '高楼层(共6层)板楼  -  大东区', '38.5万', '单价7265元/平米')
('https://image1.ljcdn.com/210100-inspection/b57a6e18-cfa5-4c48-a683-2803ab1c861e.JPG.296x216.jpg', '香檀1917 2室1厅 57万', '香檀1917  | 2室1厅 | 75.98平米 | 东 北 | 毛坯', '低楼层(共34层)2008年建板楼  -  大东区', '57万', '单价7502元/平米')
('', '香檀1917 2室2厅 108万', '香檀1917  | 2室2厅 | 103平米 | 南 北 | 其他', '低楼层(共11层)板楼  -  大东区', '108万', '单价10486元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload66528379-d017-48bb-b23c-08e5c5f64ca2.JPG.296x216.jpg', '取意小区 高楼层 65万 两室南北', '取意小区  | 2室2厅 | 94.5平米 | 南 北 | 精装', '高楼层(共8层)1997年建板楼  -  大东区', '65万', '单价6879元/平米')
('https://image1.ljcdn.com/210100-inspection/4d5c4d1d-7275-41d2-8ece-d82952b93a2c.JPG.296x216.jpg', '大东 林韵春天 两室 中楼层 无遮挡', '林韵春天  | 2室2厅 | 83.86平米 | 南 北 | 精装', '中楼层(共7层)2005年建板楼  -  大东区', '68万', '单价8109元/平米')
('https://image1.ljcdn.com/210100-inspection/25e80784-1ed1-430e-96fe-48cd9cd6b70f.jpg.296x216.jpg', '中央公馆 3室2厅 153万', '中央公馆  | 3室2厅 | 139平米 | 南 北 | 简装', '中楼层(共19层)2006年建板楼  -  大东区', '153万', '单价11008元/平米')
('https://image1.ljcdn.com/210100-inspection/926b5707-a40c-4395-886c-5dcf1fb0e528.jpg.296x216.jpg', '大东八王寺尚品天城 不把山 楼层好 全天采光拎包入住', '尚品天城  | 2室2厅 | 96.38平米 | 南 北 | 精装', '中楼层(共10层)2005年建板楼  -  大东区', '135万', '单价14008元/平米')
('https://image1.ljcdn.com/210100-inspection/da710a0a-643f-4c2e-8000-7ceee8ff86d4.jpg.296x216.jpg', '文华园 精装两室 高楼层 采光好', '文华园  | 2室2厅 | 104平米 | 南 北 | 简装', '高楼层(共7层)2003年建板楼  -  大东区', '78万', '单价7500元/平米')
('https://image1.ljcdn.com/210100-inspection/ca0961f6-1f77-496a-80c9-d61cc57a631c.JPG.296x216.jpg', '卉盛家园 两居好房 南北通透 价格合理', '卉盛家园  | 2室2厅 | 89平米 | 南 北 | 简装', '低楼层(共9层)2001年建板楼  -  大东区', '65万', '单价7304元/平米')
('https://image1.ljcdn.com/210100-inspection/7d06a640-dfc7-4d21-8c5e-d794b98fa3cc.jpg.296x216.jpg', '龙之梦商圈 三室两厅  南北通透 精装修', '大华水岸府邸  | 3室2厅 | 99.7平米 | 南 北 | 精装', '低楼层(共18层)2006年建板楼  -  大东区', '108万', '单价10833元/平米')
('https://image1.ljcdn.com/210100-inspection/9b936839-a482-4580-b88c-3a904be3eeb5.jpg.296x216.jpg', '东方·欧博城 2室1厅 65万', '东方·欧博城  | 2室1厅 | 84平米 | 东 南 北 | 其他', '高楼层(共18层)暂无数据  -  大东区', '65万', '单价7739元/平米')
('https://image1.ljcdn.com/210100-inspection/e923d5a6-566b-486b-a92a-e764c87b1b02.jpg.296x216.jpg', '大东 上园小区  装修保持好  拎包入住', '上园小区  | 1室1厅 | 40.58平米 | 南 | 精装', '中楼层(共7层)1987年建板楼  -  大东区', '26万', '单价6408元/平米')
('https://image1.ljcdn.com/210100-inspection/c581e0db-93eb-4cc7-848b-74256e495057.jpg.296x216.jpg', '大东吉祥商圈吉祥花园南北精装两室拎包入住采光充足', '吉祥花园  | 2室1厅 | 96平米 | 南 北 | 简装', '高楼层(共7层)2002年建板楼  -  大东区', '62万', '单价6459元/平米')
('https://image1.ljcdn.com/210100-inspection/d3a49385-fe8f-48e8-b7e5-df5388c6fbf8.jpg.296x216.jpg', '明城嘉苑 三室两厅 一厨 一卫 高楼层 无遮挡 采光充足', '明城嘉苑  | 3室2厅 | 134.2平米 | 南 北 | 简装', '高楼层(共28层)2009年建板楼  -  大东区', '130万', '单价9688元/平米')
('https://image1.ljcdn.com/210100-inspection/67b61fb0-f0bc-480d-adf1-26ef4123cbe8.JPG.296x216.jpg', '好位置 中街北苑 纯南向 高楼层 无遮挡 采光好 精装修', '中街北苑  | 2室1厅 | 79.5平米 | 南 | 精装', '高楼层(共18层)2003年建板楼  -  大东区', '75万', '单价9434元/平米')
('https://image1.ljcdn.com/210100-inspection/efe95688-e8be-44e3-a844-5b961155b1b1.jpg.296x216.jpg', '东方银座中心城 1室1厅 45万', '东方银座中心城  | 1室1厅 | 56.25平米 | 西北 | 精装', '中楼层(共34层)板楼  -  大东区', '45万', '单价8000元/平米')
('', '大东中街北苑 交通便利 配套成熟 不把不临', '中街北苑  | 2室1厅 | 77.49平米 | 南 | 简装', '低楼层(共18层)2003年建板楼  -  大东区', '77万', '单价9937元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadc23d5239-998f-47e8-96c4-1e454f245d88.JPG.296x216.jpg', '大东 八王寺 万科品质 中间楼层 不挡光', '万科金色家园  | 3室2厅 | 152.58平米 | 南 北 | 精装', '中楼层(共6层)2005年建板楼  -  大东区', '200万', '单价13108元/平米')
('https://image1.ljcdn.com/210100-inspection/7c7b65cd-4fed-4d4d-b07b-1420edbcb4df.jpg.296x216.jpg', '大东区 绿苑小区 标准三室 多层 双南卧', '绿苑小区  | 3室2厅 | 100.1平米 | 南 北 | 简装', '高楼层(共6层)2004年建板楼  -  大东区', '65万', '单价6494元/平米')
('https://image1.ljcdn.com/210100-inspection/09119d90-a163-4941-9c3a-7368a453b64c.JPG.296x216.jpg', '珠林小区 南北通透 采光好 装修好 房子干净', '珠林小区  | 2室1厅 | 81.91平米 | 南 北 | 简装', '中楼层(共8层)板楼  -  大东区', '58万', '单价7081元/平米')
('https://image1.ljcdn.com/210100-inspection/bd1c68a1-0a2c-4c00-8458-5e9452f89434.JPG.296x216.jpg', '大东康都 采光充足 视野开阔 无遮挡', '康都  | 2室1厅 | 81.27平米 | 南 北 | 精装', '高楼层(共6层)2001年建板楼  -  大东区', '49万', '单价6030元/平米')
('https://image1.ljcdn.com/210100-inspection/544f656d-840a-432f-90ef-9554949a05aa.jpg.296x216.jpg', '瑞士家园 低楼层 精装修 全明户型', '瑞士家园  | 2室2厅 | 144平米 | 南 北 | 精装', '低楼层(共7层)2001年建板楼  -  大东区', '144万', '单价10000元/平米')
('https://image1.ljcdn.com/210100-inspection/511ebb30-f357-4dd1-86a7-0d46c499859f.JPG.296x216.jpg', '大东一环旁 东方俪城 多层 园区里不临街', '万恒东方俪城一期  | 3室2厅 | 92.8平米 | 南 北 | 简装', '高楼层(共6层)2005年建板楼  -  大东区', '75万', '单价8082元/平米')
('https://image1.ljcdn.com/210100-inspection/test-e3912ac3-8783-4e92-a08b-4aed53211699.png.296x216.jpg', '大东一环旁 东方俪城 南北三室 低楼层 装修保持好', '万恒东方俪城四期  | 3室2厅 | 110平米 | 南 北 | 精装', '低楼层(共24层)2005年建板楼  -  大东区', '110万', '单价10000元/平米')
('https://image1.ljcdn.com/210100-inspection/86cf4052-6ffc-483d-b2b5-467ac60b8146.JPG.296x216.jpg', '万恒领域 1室1厅 37万', '万恒领域  | 1室1厅 | 52.86平米 | 北 | 精装', '高楼层(共22层)2009年建板楼  -  大东区', '37万', '单价7000元/平米')
('https://image1.ljcdn.com/210100-inspection/ba042d76-b0dd-4918-b53f-c3abcdd29c28.jpg.296x216.jpg', '大东 新华壹品A区 不把山不临街 精装三室', '新华壹品A区  | 3室2厅 | 96.98平米 | 南 北 | 精装', '高楼层(共5层)2006年建板楼  -  大东区', '92万', '单价9487元/平米')
('https://image1.ljcdn.com/210100-inspection/3e818d68-1da2-480d-aefa-ecf42fe7dd95.jpg.296x216.jpg', '大东骨科 果舍三期 复式高层 无遮挡 采光充足', '果舍添香三期  | 1室2厅 | 47.47平米 | 南 | 简装', '高楼层(共25层)2010年建板楼  -  大东区', '55万', '单价11587元/平米')
('https://image1.ljcdn.com/210100-inspection/c33ef2ff-3d62-4f97-9be6-9c22c28f39e2.jpg.296x216.jpg', '东中街旁 香檀1917 一室精装修 北向不临街保持好', '香檀1917  | 1室1厅 | 54.48平米 | 北 | 简装', '高楼层(共35层)2008年建板楼  -  大东区', '48万', '单价8811元/平米')
('https://image1.ljcdn.com/210100-inspection/57e9b012-6887-49a4-aa5c-1b64c6dfb46b.jpg.296x216.jpg', '大东 东站 金地铂悦 3室2厅 园区中间 不临街', '金地铂悦  | 3室2厅 | 121平米 | 南 北 | 精装', '低楼层(共29层)2016年建板楼  -  大东区', '192万', '单价15868元/平米')
('', '大东 瑞家景峰 高楼层 视野开阔', '瑞家景峰  | 1室1厅 | 46.4平米 | 西北 | 其他', '高楼层(共33层)暂无数据  -  大东区', '34万', '单价7328元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadc15ac136-b04a-4224-81a6-8f5067bf038b.jpg.296x216.jpg', '八王寺商圈  三室二厅一厨一卫 采光好无遮挡', '瑞士家园  | 3室2厅 | 109平米 | 南 北 | 精装', '高楼层(共7层)2001年建板楼  -  大东区', '95万', '单价8716元/平米')
('https://image1.ljcdn.com/210100-inspection/15cec983-3a20-4a3a-afe3-99fd5c8039a0.jpg.296x216.jpg', '中街 天润广场 三室两厅 精装修', '天润广场  | 3室2厅 | 106.58平米 | 南 北 | 精装', '高楼层(共27层)板楼  -  大东区', '95万', '单价8914元/平米')
('https://image1.ljcdn.com/210100-inspection/7d8a9bbd-dd3f-4e62-b662-cc20a218bfc6.JPG.296x216.jpg', '大东吉祥洮昌花园 南向小两室 中高楼层无遮挡采光好', '洮昌花园  | 2室1厅 | 51.01平米 | 南 | 简装', '中楼层(共7层)1998年建板楼  -  大东区', '40万', '单价7842元/平米')
('https://image1.ljcdn.com/210100-inspection/d7c2aea6-d385-4624-94c7-6ba1977de336.jpg.296x216.jpg', '大东 巧克力城   楼层适中 视野开阔  采光好 拎包入住', '巧克力城  | 1室1厅 | 46.08平米 | 南 | 精装', '中楼层(共18层)2016年建板楼  -  大东区', '31.5万', '单价6836元/平米')
('https://image1.ljcdn.com/210100-inspection/cc4d122c-09d8-4c31-a18f-77afaa3a665d.jpg.296x216.jpg', '大东 莱茵河畔 精装 不把山不临街', '莱茵河畔  | 3室2厅 | 137平米 | 南 北 | 精装', '高楼层(共18层)2005年建板楼  -  大东区', '126万', '单价9198元/平米')
('https://image1.ljcdn.com/210100-inspection/ea9ecf5f-082a-4d48-8c90-fa5ed268dd75.JPG.296x216.jpg', '大东 一环边 新华壹品B 两室一厅', '新华壹品B区  | 2室1厅 | 85平米 | 南 北 | 精装', '高楼层(共18层)2006年建板楼  -  大东区', '75万', '单价8824元/平米')
('https://image1.ljcdn.com/210100-inspection/6e9211be-6269-4a72-b36c-6e42bddeb3fe.JPG.296x216.jpg', '大东二台子新里摩尔公馆 南向两室精装修 拎包即住', '新里摩尔公馆  | 2室2厅 | 95平米 | 南 | 精装', '低楼层(共17层)2010年建板楼  -  大东区', '80万', '单价8422元/平米')
('https://image1.ljcdn.com/210100-inspection/test-9e483dc0-34c1-4f6f-8619-51c9549df062.png.296x216.jpg', '大东 新华壹品 中间楼层 南北通透', '新华壹品B区  | 2室1厅 | 71平米 | 南 北 | 精装', '中楼层(共11层)2006年建板楼  -  大东区', '68万', '单价9578元/平米')
