('https://image1.ljcdn.com/370600-inspection/e0f8d11c-d3ef-4b3a-b02e-e5f5e175e7ec.jpg.296x216.jpg', '福利莱小区  精装修  双南卧 拎包入住', '福利莱小区  | 2室1厅 | 72.58平米 | 南 北 | 精装', '高楼层(共6层)2004年建板楼  -  福海路', '65万', '单价8956元/平米')
('https://image1.ljcdn.com/370600-inspection/56378f89-8fb0-4ca0-9096-48042b948f77.jpg.296x216.jpg', '永乐公寓小区，南北通透，多层，带小棚', '永乐公寓  | 3室2厅 | 120.64平米 | 南 北 | 精装', '高楼层(共6层)1994年建板楼  -  振华', '98万', '单价8124元/平米')
('https://image1.ljcdn.com/370600-inspection/350205b6-3e11-4465-867c-bd3802261b59.jpg.296x216.jpg', '富豪国际商务公寓两室东向小户型', '富豪国际商务公寓  | 2室1厅 | 55.4平米 | 东 | 其他', '低楼层(共12层)暂无数据  -  富豪', '55万', '单价9928元/平米')
('https://image1.ljcdn.com/370600-inspection/1e8624c8-8b9b-4822-8534-a19ea06c6c9b.jpg.296x216.jpg', '小两室，视野很好，可拎包入住！', '曙光名座  | 2室1厅 | 30.33平米 | 东 西 | 其他', '高楼层(共7层)2004年建塔楼  -  鸿福街', '19万', '单价6265元/平米')
('https://image1.ljcdn.com/370600-inspection/de837f28-87ce-4b6a-ac0f-d597dd378806.jpg.296x216.jpg', '富丽花园 楼层好、采光好、家具家电齐全，直接入住', '富丽花园  | 3室2厅 | 91.2平米 | 南 北 | 其他', '高楼层(共18层)2009年建板楼  -  富豪', '95万', '单价10417元/平米')
('https://image1.ljcdn.com/370600-inspection/29c75ce8-6402-4d0c-8693-be707d03b91e.jpg.296x216.jpg', '阳光首院 2室1厅 90万', '阳光首院  | 2室1厅 | 80.27平米 | 西北 | 其他', '高楼层(共30层)2012年建板楼  -  首院', '90万', '单价11213元/平米')
('https://image1.ljcdn.com/370600-inspection/557af5db-e6de-4cbd-a0c0-97e8b4e7528c.jpg.296x216.jpg', '永乐公寓，南北通透，3楼楼层好，采光充足', '永乐公寓  | 3室2厅 | 91.66平米 | 南 北 | 其他', '中楼层(共6层)1994年建板楼  -  振华', '83万', '单价9056元/平米')
('https://image1.ljcdn.com/370600-inspection/061f2317-2bc3-4ebf-8bdd-bfe078d71bc7.jpg.296x216.jpg', '南厅双南卧视野宽阔，采光好，可隔两层，利用率高', '星河城  | 2室2厅 | 80平米 | 南 | 其他', '高楼层(共19层)2011年建塔楼  -  福海路', '75万', '单价9375元/平米')
('https://image1.ljcdn.com/370600-inspection/b83e1720-a0ce-4f6b-8a0c-d1203f88a0f5.jpg.296x216.jpg', '乡村记忆·山水园 2室2厅 59万', '乡村记忆·山水园  | 2室2厅 | 71.23平米 | 东 南 北 | 其他', '低楼层(共7层)暂无数据  -  福山周边', '59万', '单价8284元/平米')
('https://image1.ljcdn.com/370600-inspection/4b319dd4-3a23-48a1-b83b-38689af0e34a.jpg.296x216.jpg', '南北通透，毛坯房，三室两厅的户型，适合刚需居住。', '曙光名座  | 3室2厅 | 155.5平米 | 南 西 北 | 其他', '低楼层(共13层)2004年建塔楼  -  鸿福街', '120万', '单价7718元/平米')
('https://image1.ljcdn.com/370600-inspection/7fbfc08e-1584-41d9-b5c5-37ef9fea8a53.jpg.296x216.jpg', '北方月光怡景 一室一厅小户型 适合过渡', '北方月光怡景  | 1室1厅 | 46平米 | 东 | 其他', '高楼层(共5层)2017年建板楼  -  富豪', '27万', '单价5870元/平米')
('https://image1.ljcdn.com/370600-inspection/fde9a702-17f6-4d48-be4a-16d4f5f61f8f.jpg.296x216.jpg', '此房精装修，全实木家具，南北通透，户型好，采光好。', '世嘉锦庭  | 2室2厅 | 92.71平米 | 南 北 | 其他', '低楼层(共18层)2015年建板楼  -  振华', '108万', '单价11650元/平米')
('https://image1.ljcdn.com/370600-inspection/f985fb45-13e1-4628-9e1e-7b7c0b6e3761.jpg.296x216.jpg', '民丰小区 多层精装修 南北通透 可以拎包入住', '民丰小区  | 2室2厅 | 85.33平米 | 南 北 | 其他', '高楼层(共6层)2004年建板楼  -  福海路', '76万', '单价8907元/平米')
('https://image1.ljcdn.com/370600-inspection/54676dc2-1dcd-4b86-b12e-4ee0bd164b34.JPG.296x216.jpg', '东陌堂新区 两室两厅 南北都有赠予面积 总房款低', '东陌堂新区  | 2室2厅 | 59.7平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  福山周边', '36万', '单价6031元/平米')
('https://image1.ljcdn.com/370600-inspection/a075fde8-cf30-4874-819b-75b3d8118732.JPG.296x216.jpg', '南北通透三居室格局，配套设施齐全，交通便利', '同福小区  | 3室2厅 | 104.95平米 | 南 北 | 其他', '高楼层(共5层)2003年建板楼  -  福海路', '80万', '单价7623元/平米')
('https://image1.ljcdn.com/370600-inspection/87e35638-19df-4bd8-bdba-e835026282c8.jpg.296x216.jpg', '松霞路旁，阳光首院，毛坯房，三居室，', '阳光首院  | 3室2厅 | 82.15平米 | 南 北 | 其他', '高楼层(共26层)2016年建板楼  -  首院', '100万', '单价12173元/平米')
('https://image1.ljcdn.com/370600-inspection/9b64a2c2-6c96-4432-861c-ffc428cc8f48.jpg.296x216.jpg', '南北通透，采光好，全明户型，东打头，', '阳光首院  | 3室2厅 | 124平米 | 南 北 | 其他', '中楼层(共31层)2012年建塔楼  -  首院', '124万', '单价10000元/平米')
('https://image1.ljcdn.com/370600-inspection/b7c4b3bd-6785-44dc-9e77-9b7156653adb.jpg.296x216.jpg', '东陌堂新区 南北通透 大两居 低楼层 适合养老 采光好', '东陌堂新区  | 2室2厅 | 85.62平米 | 南 北 | 其他', '低楼层(共6层)暂无数据  -  福山周边', '63万', '单价7359元/平米')
('https://image1.ljcdn.com/370600-inspection/db0facda-835b-42f8-bbca-9f44a793acc1.jpg.296x216.jpg', '两室双南卧，拎包入住，交通便利', '福海阳光花园  | 2室2厅 | 88平米 | 南 | 其他', '高楼层(共18层)2009年建塔楼  -  福海路', '93万', '单价10569元/平米')
('https://image1.ljcdn.com/370600-inspection/80bc6f13-038b-4e31-b8d0-f48b7ae2f5fe.jpg.296x216.jpg', '小别墅 三加一精装修 东打头 采光好。', '水清木华芝阳城   | 联排别墅 | 7室3厅 | 272.12平米 | 东南 北 | 其他', '3层2017年建暂无数据  -  芝阳', '320万', '单价11760元/平米')
('https://image1.ljcdn.com/370600-inspection/e6ece91f-30c5-4722-9b20-26cc3fdd10d0.jpg.296x216.jpg', '万科假日风景多层一楼带花园采光充足前后无遮挡', '万科假日风景  | 3室2厅 | 104.91平米 | 南 北 | 其他', '低楼层(共5层)2016年建板楼  -  万科', '145万', '单价13822元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload4eceb3b8-fefa-4470-8c38-ec7d2ae7b179.jpg.296x216.jpg', '芝阳城，小高层精装修，带双大平台', '水清木华芝阳城  | 3室2厅 | 104.4平米 | 南 西 北 | 其他', '低楼层(共11层)暂无数据  -  芝阳', '92万', '单价8813元/平米')
('https://image1.ljcdn.com/370600-inspection/d78dec1e-2eb2-4fa0-8426-e47d1acf5bb1.jpg.296x216.jpg', '松霞路 阳光首院 南向 两室 采光好', '东尚蓝湾  | 2室2厅 | 86.38平米 | 南 | 其他', '高楼层(共18层)2015年建塔楼  -  首院', '105万', '单价12156元/平米')
('https://image1.ljcdn.com/370600-inspection/c99bb42f-55de-4edd-b366-f893a2184258.jpg.296x216.jpg', '丽景多层精装修，西大头，南北通透，采光好。', '丽景佳园  | 3室2厅 | 126平米 | 南 西 北 | 其他', '中楼层(共6层)2011年建板楼  -  福海路', '159万', '单价12620元/平米')
('https://image1.ljcdn.com/370600-inspection/b61b32af-0a67-4352-a1fd-50f0a27cc5d7.jpg.296x216.jpg', '南北通透   采光好    精装修', '银河名都  | 3室1厅 | 114.97平米 | 南 北 | 其他', '中楼层(共9层)2005年建板楼  -  松霞', '125万', '单价10873元/平米')
('https://image1.ljcdn.com/370600-inspection/64aee223-5ca3-460c-8e1e-f0f9ae728859.jpg.296x216.jpg', '福利莱仁和春天 顶加外阁 带电梯 简装', '福利莱仁和春天花园  | 4室2厅 | 47平米 | 南 | 其他', '高楼层(共11层)2010年建塔楼  -  福海路', '69.8万', '单价14852元/平米')
('https://image1.ljcdn.com/370600-inspection/6492d726-08aa-47b6-8a83-6277813c23f6.jpg.296x216.jpg', '万科假日风景，精装，南北通透，采光好', '万科假日风景  | 2室1厅 | 79.21平米 | 南 北 | 其他', '中楼层(共25层)2016年建塔楼  -  万科', '90万', '单价11363元/平米')
('https://image1.ljcdn.com/370600-inspection/0e7441d6-160f-460d-bda0-097b00bd41d8.jpg.296x216.jpg', '天府花园小区，两室两厅一厨一卫，多层顶楼加阁楼。', '天府花园小区  | 2室2厅 | 67平米 | 南 北 | 其他', '高楼层(共5层)1998年建板楼  -  首院', '55万', '单价8209元/平米')
('https://image1.ljcdn.com/370600-inspection/650d79f9-9af0-46ca-a716-1ff75e38e362.jpg.296x216.jpg', '福利莱小区 两居室 拎包入住 南北通透', '福利莱小区  | 2室2厅 | 74.69平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  福海路', '50万', '单价6695元/平米')
('https://image1.ljcdn.com/370600-inspection/ab7d9fe8-de50-4e04-9b92-f4b2e533d252.jpg.296x216.jpg', '三居室，楼层好，视野宽阔，采光充足，适合自住', '星河城  | 3室2厅 | 114平米 | 南 北 | 其他', '中楼层(共19层)2011年建塔楼  -  福海路', '115万', '单价10088元/平米')
('https://image1.ljcdn.com/370600-inspection/8ddda3d0-0e0b-442e-8433-216237011ca2.jpg.296x216.jpg', '富豪青年国际广场 2室1厅 93万', '富豪青年国际广场  | 2室1厅 | 89.35平米 | 东南 | 其他', '低楼层(共16层)2006年建塔楼  -  富豪', '93万', '单价10409元/平米')
('https://image1.ljcdn.com/370600-inspection/abef4806-fee3-489f-987d-9f4583c36697.jpg.296x216.jpg', '天创国际城 3室2厅 115万', '天创国际城  | 3室2厅 | 112.16平米 | 南 北 | 其他', '高楼层(共19层)2005年建塔楼  -  福海路', '115万', '单价10254元/平米')
('https://image1.ljcdn.com/370600-inspection/36c5544f-b76d-4ad1-a24d-6fda7b474f48.jpg.296x216.jpg', '多层2楼东打头 好房源  采光充足', '永福园  | 3室2厅 | 120平米 | 南 北 | 其他', '中楼层(共4层)暂无数据  -  首院', '110万', '单价9167元/平米')
('https://image1.ljcdn.com/370600-inspection/e7dcc4dc-a0d7-443b-8398-325f1195c39e.jpg.296x216.jpg', '河滨小区好楼出售！房主刚装修没多久~！', '河滨小区  | 3室2厅 | 117.05平米 | 南 北 | 其他', '中楼层(共6层)1992年建板楼  -  松霞', '78万', '单价6664元/平米')
('https://image1.ljcdn.com/370600-inspection/3a6d1f76-f127-48d7-8d6a-7ad508ac5ccc.jpg.296x216.jpg', '福海路，福利莱南山花园康庄小区精装1室', '康庄小区  | 1室1厅 | 48平米 | 南 | 其他', '高楼层(共6层)1997年建板楼  -  振华', '35万', '单价7292元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload6f730f52-4728-4503-b899-3cb1787b2853.jpg.296x216.jpg', '多层 高楼层 南北通透 精装修 采光好 全明户型', '芙蓉花园  | 2室2厅 | 62平米 | 南 北 | 其他', '高楼层(共7层)2011年建板楼  -  福海路', '38.5万', '单价6210元/平米')
('https://image1.ljcdn.com/370600-inspection/d0772746-6a46-46ca-b3d4-17d0e018d8ab.jpg.296x216.jpg', '富豪花园，南北通透，精装修，采光好，81平82万', '富豪花园  | 2室2厅 | 81.57平米 | 南 北 | 其他', '高楼层(共5层)2009年建板楼  -  富豪', '80万', '单价9808元/平米')
('https://image1.ljcdn.com/370600-inspection/0c20aa2a-716e-4f2c-a171-9bebbedd86f8.jpg.296x216.jpg', '天府街 富豪青年国际广场 精装阁楼出售 可拎包入住', '富豪青年国际广场  | 2室2厅 | 60.6平米 | 南 | 其他', '高楼层(共7层)2006年建板楼  -  富豪', '48万', '单价7921元/平米')
('https://image1.ljcdn.com/370600-inspection/90bf550e-0ce8-44c6-b685-d8e4492f9d05.jpg.296x216.jpg', '银河明珠 南北通透户型好视野开阔 河景房。', '银河明珠  | 3室2厅 | 172平米 | 南 北 | 其他', '低楼层(共30层)2010年建塔楼  -  松霞', '260万', '单价15117元/平米')
('https://image1.ljcdn.com/370600-inspection/1374077e-6c55-4e7e-a334-77390d828da7.jpg.296x216.jpg', '御花园 2室1厅 70万', '御花园  | 2室1厅 | 80.9平米 | 东南 | 其他', '中楼层(共21层)2016年建塔楼  -  芝阳', '70万', '单价8653元/平米')
('https://image1.ljcdn.com/370600-inspection/3857c29e-8ee8-4f09-b071-785d92fe5461.jpg.296x216.jpg', '美航花园小区高楼层采光好房间干净', '美航花园  | 1室1厅 | 42.61平米 | 北 | 其他', '高楼层(共26层)2008年建塔楼  -  福海路', '35万', '单价8215元/平米')
('https://image1.ljcdn.com/370600-inspection/f6fa4234-0a61-4147-b9ca-a39cb35f310c.jpg.296x216.jpg', '城里街恒生小区旁 青春100小户型温馨精装两室', '青春100公寓  | 2室1厅 | 54.47平米 | 西 | 其他', '高楼层(共7层)暂无数据  -  芝阳', '32万', '单价5875元/平米')
('https://image1.ljcdn.com/370600-inspection/a63a965e-ec69-411d-aec4-13e5928bba9f.jpg.296x216.jpg', '福利莱小区 2室2厅 58万', '福利莱小区  | 2室2厅 | 72.58平米 | 南 北 | 其他', '高楼层(共6层)2004年建板楼  -  福海路', '58万', '单价7992元/平米')
('https://image1.ljcdn.com/370600-inspection/3f0d8268-486a-4fed-b610-4dda0f462389.jpg.296x216.jpg', '北三路松霞路小区多层无公摊房源出售', '松霞新苑西小区  | 4室2厅 | 124.88平米 | 南 北 | 其他', '中楼层(共5层)2009年建板楼  -  松霞', '115万', '单价9209元/平米')
('https://image1.ljcdn.com/370600-inspection/52f36968-95e0-42aa-97ec-e79e4c4ec97e.JPG.296x216.jpg', '福海路旁   中间楼层  全明户型   精装大三居', '香逸中央  | 3室1厅 | 103.45平米 | 南 西 北 | 其他', '中楼层(共11层)2009年建塔楼  -  福海路', '120万', '单价11600元/平米')
('https://image1.ljcdn.com/370600-inspection/abb94008-6e2d-4bf7-b8cb-66fc36efe847.jpg.296x216.jpg', '富豪新天地 3室1厅 120万', '富豪新天地  | 3室1厅 | 109.26平米 | 南 北 | 其他', '低楼层(共16层)2009年建板塔结合  -  富豪', '120万', '单价10983元/平米')
('', '富豪新天地 2室1厅 75万', '富豪新天地  | 2室1厅 | 75.34平米 | 东 南 北 | 其他', '高楼层(共6层)2009年建板楼  -  富豪', '75万', '单价9955元/平米')
('https://image1.ljcdn.com/370600-inspection/ad4e9062-4f45-4d51-8d16-17e1832ae649.jpg.296x216.jpg', '星河城，一室，楼层好，采光好，精装修', '星河城  | 1室1厅 | 45.75平米 | 南 | 其他', '中楼层(共30层)2011年建塔楼  -  福海路', '35万', '单价7651元/平米')
('https://image1.ljcdn.com/370600-inspection/79457fc4-3ed1-4751-9363-69dd2206b683.jpg.296x216.jpg', '寰宇小区 2室2厅 95万', '寰宇小区  | 2室2厅 | 109平米 | 南 | 其他', '高楼层(共18层)2004年建板楼  -  福海路', '95万', '单价8716元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload84805c2f-31bc-4b54-80f7-57ca3185612c.jpg.296x216.jpg', '天创国际城，干净拎包入住，中间楼层', '天创国际城  | 1室1厅 | 51.31平米 | 北 | 其他', '高楼层(共18层)2005年建塔楼  -  福海路', '24万', '单价4678元/平米')
('https://image1.ljcdn.com/370600-inspection/74335810-fbab-4dc5-be77-c5f9ac571819.jpg.296x216.jpg', '阳光首院，毛坯房，楼层好，南北通透', '阳光首院  | 2室2厅 | 85.33平米 | 南 北 | 其他', '低楼层(共24层)2018年建板楼  -  首院', '90万', '单价10548元/平米')
('https://image1.ljcdn.com/370600-inspection/2c37fb26-777c-4026-b3e1-7113b65a6a04.jpg.296x216.jpg', '楼层好、视野开阔、采光好，南向精装修 复式', '北美枫情  | 3室1厅 | 126.49平米 | 南 | 其他', '低楼层(共18层)2008年建塔楼  -  福海路', '114万', '单价9013元/平米')
('https://image1.ljcdn.com/370600-inspection/0dbfb0a7-9187-4790-af81-4986752841b5.jpg.296x216.jpg', '松霞新苑南小区 3室2厅 110万', '松霞新苑南小区  | 3室2厅 | 101.29平米 | 南 北 | 其他', '低楼层(共6层)2009年建板楼  -  松霞', '110万', '单价10860元/平米')
('https://image1.ljcdn.com/370600-inspection/c792afaf-75ee-4140-8e1a-11b97e51a282.jpg.296x216.jpg', '福祥新苑大阁楼，南北通透，格局好', '福祥新苑  | 3室1厅 | 67平米 | 南 北 | 其他', '高楼层(共7层)2003年建板楼  -  富豪', '52万', '单价7762元/平米')
('https://image1.ljcdn.com/370600-inspection/f38cec32-b21f-420a-891a-5425e48015a1.jpg.296x216.jpg', '永福园 多层住宅南向双南卧 送南向大阳台送小棚采光好', '永福园  | 2室1厅 | 50.87平米 | 南 | 其他', '中楼层(共5层)2005年建板楼  -  首院', '42万', '单价8257元/平米')
('https://image1.ljcdn.com/370600-inspection/8325c3c9-5e10-4d4a-9be5-b554acce5898.jpg.296x216.jpg', '福利莱万和城，两居室，楼层好，精装修，视野开阔', '福利莱万和城  | 2室2厅 | 87.82平米 | 南 | 精装', '中楼层(共17层)2013年建塔楼  -  芝阳', '77万', '单价8768元/平米')
('https://image1.ljcdn.com/370600-inspection/6d4384a2-4a64-4f57-9618-50f4d54d7981.jpg.296x216.jpg', '富豪青年国际多层，三室一厅一厨一卫。南北通透。', '富豪青年国际广场  | 3室1厅 | 93.55平米 | 南 北 | 其他', '高楼层(共7层)2006年建板楼  -  富豪', '93万', '单价9942元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploadaf042cf2-a593-467c-8f3a-56f335c8a5d8.jpg.296x216.jpg', '寰宇小区 2室2厅 95万', '寰宇小区  | 2室2厅 | 109.05平米 | 南 北 | 其他', '中楼层(共18层)2004年建板楼  -  福海路', '95万', '单价8712元/平米')
('https://image1.ljcdn.com/370600-inspection/633d6df3-07a3-41ce-9196-39f6b577cf00.jpg.296x216.jpg', '御花园楼层好，视野开阔，精装修，价格便宜', '御花园  | 2室1厅 | 78.01平米 | 南 | 其他', '高楼层(共20层)2016年建板楼  -  芝阳', '65万', '单价8333元/平米')
('https://image1.ljcdn.com/370600-inspection/37eaef96-1e55-43c4-a3ba-dee30dd34c56.jpg.296x216.jpg', '恒生多层， 简单装修，楼层好， 交通方便 ，购物方便', '恒生小区  | 2室1厅 | 56平米 | 南 北 | 其他', '中楼层(共6层)1998年建板楼  -  福海路', '50万', '单价8929元/平米')
('https://image1.ljcdn.com/370600-inspection/3713b835-5604-4c4d-b5b1-612735cf2c44.jpg.296x216.jpg', '南北通透，大三居，多层四楼，88平81万', '汇福街  | 3室2厅 | 88.55平米 | 南 北 | 其他', '中楼层(共6层)板楼  -  富豪', '81万', '单价9148元/平米')
('https://image1.ljcdn.com/370600-inspection/3f6fb53e-a8fa-4a1a-a396-5bb509e1969b.jpg.296x216.jpg', '水清木华芝阳城 3室2厅 108万', '水清木华芝阳城  | 3室2厅 | 101平米 | 南 北 | 其他', '中楼层(共6层)2017年建板楼  -  芝阳', '108万', '单价10694元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploadc3f72b70-dd0d-40eb-b937-c82cf14ab710.jpg.296x216.jpg', '北方月光怡景 4室1厅 115万', '北方月光怡景  | 4室1厅 | 102.23平米 | 南 北 | 其他', '高楼层(共6层)2017年建板楼  -  富豪', '115万', '单价11250元/平米')
('https://image1.ljcdn.com/370600-inspection/589a88a4-f69c-47af-bbeb-58016f9a0bbd.jpg.296x216.jpg', '福利莱万和城 3室2厅 120万', '福利莱万和城  | 3室2厅 | 140.9平米 | 南 北 | 其他', '中楼层(共17层)2013年建塔楼  -  芝阳', '120万', '单价8517元/平米')
('https://image1.ljcdn.com/370600-inspection/14927c7f-a517-458f-86ef-09f72341b9ff.jpg.296x216.jpg', '御花园 南向双阳卧室 精装修 拎包入住 带阳台', '御花园  | 2室2厅 | 82平米 | 南 | 精装', '低楼层(共21层)2016年建塔楼  -  芝阳', '60万', '单价7318元/平米')
('https://image1.ljcdn.com/370600-inspection/f2309978-8491-4899-8623-bb448e17fba6.jpg.296x216.jpg', '精装三居室 楼层好 采光好 居住舒适 适合多种人群', '汇福住宅楼  | 3室2厅 | 136.54平米 | 南 北 | 其他', '低楼层(共6层)板楼  -  富豪', '140万', '单价10254元/平米')
('https://image1.ljcdn.com/370600-inspection/472e4374-8e73-4c28-9457-5bc5a3096df2.jpg.296x216.jpg', '房子采光从足 简单装修 交通便利', '德胜凯旋花园  | 1室1厅 | 61平米 | 南 | 其他', '低楼层(共13层)2009年建塔楼  -  福海路', '60万', '单价9837元/平米')
('https://image1.ljcdn.com/370600-inspection/3d59af83-0cf3-4796-b005-3d56bb56dabd.jpg.296x216.jpg', '水清木华芝阳城，精装三室，南北透通，采光好。', '水清木华芝阳城  | 3室2厅 | 106平米 | 南 北 | 其他', '中楼层(共6层)2017年建板楼  -  芝阳', '89万', '单价8397元/平米')
('https://image1.ljcdn.com/370600-inspection/f864b9c1-84b8-4902-bdc6-13c5ef168391.jpg.296x216.jpg', '富豪国际商务公寓精装修三室拎包入住', '富豪国际商务公寓  | 3室2厅 | 108.47平米 | 南 | 其他', '高楼层(共12层)暂无数据  -  富豪', '110万', '单价10142元/平米')
('https://image1.ljcdn.com/370600-inspection/de9d02f2-eb98-45f7-9b09-dfb5d7a60f99.jpg.296x216.jpg', '天府小区 60万 72.5平  两室好房子', '天府花园小区  | 2室1厅 | 72.53平米 | 南 北 | 其他', '高楼层(共5层)1998年建板楼  -  首院', '60万', '单价8273元/平米')
('https://image1.ljcdn.com/370600-inspection/37d66b30-2249-48d5-a386-c8c096609d3d.jpg.296x216.jpg', '云上苑好房源，精装两室，西打头，采光好，户型好', '云上苑  | 2室1厅 | 90.96平米 | 南 西 | 其他', '低楼层(共31层)2015年建塔楼  -  振华', '80万', '单价8796元/平米')
('https://image1.ljcdn.com/370600-inspection/54655e04-ced0-40ea-bd54-6eef7750464e.jpg.296x216.jpg', '星河城 南向 顶加阁 四室两厅两卫', '星河城  | 4室2厅 | 65.58平米 | 南 | 简装', '高楼层(共30层)2011年建塔楼  -  福海路', '80万', '单价12199元/平米')
('https://image1.ljcdn.com/370600-inspection/56d61cb2-715f-4df7-ba11-a1830fe0d9f5.jpg.296x216.jpg', '毛坯框架房  方便按照自己的风格装修 格局好 全明户型', '上谷郡  | 2室2厅 | 90.68平米 | 南 | 毛坯', '中楼层(共34层)2014年建板楼  -  福海路', '77万', '单价8492元/平米')
('https://image1.ljcdn.com/370600-inspection/a8511447-76c5-460f-afcd-53edc77a5130.jpg.296x216.jpg', '南北通透，全明户型！！！！！！！！！', '清洋苑  | 2室1厅 | 55.23平米 | 南 北 | 其他', '高楼层(共7层)2004年建板楼  -  振华', '33万', '单价5976元/平米')
('https://image1.ljcdn.com/370600-inspection/87120d5f-8265-4b14-bdb5-97788aff267e.jpg.296x216.jpg', '多层公摊小，装修保持好，三居室南北通透', '福利莱小区  | 3室2厅 | 106.35平米 | 南 北 | 其他', '高楼层(共6层)2004年建板楼  -  福海路', '85万', '单价7993元/平米')
('https://image1.ljcdn.com/370600-inspection/c5bc63d6-c384-41d6-8aea-324dcd24d3b1.jpg.296x216.jpg', '五洲国际公寓房满二无大税一室一厅', '五洲国际工业博览城  | 1室1厅 | 62.57平米 | 北 | 其他', '高楼层(共6层)2016年建板楼  -  万科', '38万', '单价6074元/平米')
('https://image1.ljcdn.com/370600-inspection/40163dc4-4831-495e-9505-ad571bf46a0c.jpg.296x216.jpg', '福海路旁大三居室，双南卧，南北通透，厨房带窗', '同福小区  | 3室1厅 | 85.8平米 | 南 北 | 其他', '高楼层(共6层)2003年建板楼  -  福海路', '70万', '单价8159元/平米')
('https://image1.ljcdn.com/370600-inspection/ea4cb8e7-5b2d-4618-8d83-ec879b6f1c52.jpg.296x216.jpg', '福利莱小区 两室 配套设施齐全 交通便利', '福利莱小区  | 2室2厅 | 73平米 | 南 北 | 其他', '高楼层(共6层)2004年建板楼  -  福海路', '62万', '单价8494元/平米')
('https://image1.ljcdn.com/370600-inspection/4c3686f3-3b0f-4cb5-b0d5-468dfe5c8504.jpg.296x216.jpg', '北方月光心境，多层小户型，43平31万，满五不唯一', '北方月光心境  | 1室1厅 | 43平米 | 东 西 | 其他', '中楼层(共4层)2004年建板楼  -  富豪', '31万', '单价7210元/平米')
('https://image1.ljcdn.com/370600-inspection/3025004b-59f1-4cd4-831c-02ede5e9cddd.jpg.296x216.jpg', '北美枫情南北通透，宜居小区，好地段，高品质小区', '北美枫情  | 2室1厅 | 97.45平米 | 南 北 | 其他', '中楼层(共18层)2008年建塔楼  -  福海路', '110万', '单价11288元/平米')
('https://image1.ljcdn.com/370600-inspection/c767992f-cc92-4b13-a959-9d9cb7360e9f.jpg.296x216.jpg', '振华商厦北 平安里小区 精装修两室送小棚', '平安里小区  | 3室2厅 | 75.75平米 | 南 北 | 其他', '高楼层(共4层)1997年建板楼  -  振华', '60万', '单价7921元/平米')
('https://image1.ljcdn.com/370600-inspection/ec46ce3b-bf94-42ba-aa37-2e4cfb1d0199.jpg.296x216.jpg', '富豪青年国际广场 1室1厅 60万', '富豪青年国际广场  | 1室1厅 | 56.14平米 | 南 | 其他', '中楼层(共16层)2006年建塔楼  -  富豪', '60万', '单价10688元/平米')
('https://image1.ljcdn.com/370600-inspection/4d0cdc76-c172-42f1-b1b7-cfd68e366367.jpg.296x216.jpg', '多层 双卧朝阳 带大阳台 带落地窗', '水清木华芝阳城  | 4室2厅 | 135平米 | 南 北 | 其他', '高楼层(共6层)2017年建板楼  -  芝阳', '95万', '单价7038元/平米')
('https://image1.ljcdn.com/370600-inspection/53619674-0fe9-44ea-8166-1ec36b4412e5.jpg.296x216.jpg', '万科假日风景 首付约87万 精装修 东打头 采光好', '万科假日风景  | 3室2厅 | 105平米 | 东 南 北 | 其他', '中楼层(共5层)2016年建板楼  -  万科', '133万', '单价12667元/平米')
('https://image1.ljcdn.com/370600-inspection/51241bd9-4e46-454b-9a0e-b830d9b36de1.jpg.296x216.jpg', '星河城中装小户型，户型方正，无浪费面积', '星河城  | 1室1厅 | 45平米 | 西 | 其他', '低楼层(共30层)2011年建塔楼  -  福海路', '35万', '单价7778元/平米')
('https://image1.ljcdn.com/370600-inspection/1e4f08f0-1e33-4e1f-834a-506a67f46338.jpg.296x216.jpg', '视野开阔，南北通透，户型方正，河景房。', '银河明珠  | 2室2厅 | 121.06平米 | 南 北 | 其他', '低楼层(共30层)2010年建塔楼  -  松霞', '145万', '单价11978元/平米')
('https://image1.ljcdn.com/370600-inspection/a2e4fc36-27df-442a-9d26-174759872c44.jpg.296x216.jpg', '芙蓉花园多层 南北通透 精装修 全明户型 看房方便', '芙蓉花园  | 2室1厅 | 87平米 | 南 北 | 其他', '低楼层(共6层)2011年建板楼  -  福海路', '115万', '单价13219元/平米')
('https://image1.ljcdn.com/370600-inspection/ead68c5a-b3dd-4bb9-a4ec-05654da196d3.jpg.296x216.jpg', '北一路天创国际城小公寓精装小户型', '天创国际城  | 1室1厅 | 38.47平米 | 北 | 其他', '低楼层(共18层)2005年建塔楼  -  福海路', '25万', '单价6499元/平米')
('https://image1.ljcdn.com/370600-inspection/e9bb33da-8c07-430b-9dd9-a8027cf42401.jpg.296x216.jpg', '小高层.中间楼层.精装修.不挡光', '万科假日风景  | 3室2厅 | 96.54平米 | 东南 北 | 其他', '高楼层(共9层)2016年建塔楼  -  万科', '119万', '单价12327元/平米')
