('https://image1.ljcdn.com/370600-inspection/ba3c41fc-3f6e-4575-892d-40563f8be3e2.jpg.296x216.jpg', '福莱山公园方正两居室婚房拎包入住有地上车位', '海信慧园西区  | 2室2厅 | 92平米 | 南 | 其他', '低楼层(共32层)2010年建板塔结合  -  高级中学', '135万', '单价14674元/平米')
('https://image1.ljcdn.com/370600-inspection/b55df33c-e5e6-442a-93b8-264247d39915.jpg.296x216.jpg', '房子为南北通透 毛坯房 使用面积大采光充足赠送储藏间', '金桥澎湖山庄  | 3室2厅 | 124.85平米 | 南 北 | 其他', '高楼层(共5层)2014年建板楼  -  福莱山公园', '128万', '单价10253元/平米')
('https://image1.ljcdn.com/370600-inspection/8e6f93fc-ed77-4b09-b737-3f3455282289.jpg.296x216.jpg', '框架房，南北通透，户型方正，拎包入住', '天一苑小区  | 2室2厅 | 89.11平米 | 南 北 | 其他', '中楼层(共6层)2002年建板楼  -  德胜', '112万', '单价12569元/平米')
('https://image1.ljcdn.com/370600-inspection/23d4c130-b714-4236-b3c9-c7d0444029c6.jpg.296x216.jpg', '新上海信慧园西区 大三居两卫 看房方便', '海信慧园西区  | 3室2厅 | 143平米 | 南 北 | 毛坯', '中楼层(共5层)2010年建板楼  -  高级中学', '215万', '单价15035元/平米')
('https://image1.ljcdn.com/370600-inspection/89f52e5b-2c37-4b6d-b8b6-becbbf2e943d.jpg.296x216.jpg', '三居室，南北通透精装修，采光好，封闭小区，人车分流', '林语逸景  | 3室2厅 | 121平米 | 南 北 | 其他', '低楼层(共33层)暂无数据  -  万达', '195万', '单价16116元/平米')
('https://image1.ljcdn.com/370600-inspection/e8287b7e-43ec-42e0-81c4-fb5ae42cf125.jpg.296x216.jpg', '恒达大厦二居室 精装修，户型好楼层好 单价低', '恒达大厦  | 2室1厅 | 76.48平米 | 南 | 其他', '低楼层(共23层)2005年建塔楼  -  德胜', '70万', '单价9153元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/adfe4958-d11b-4a1b-b907-fc9e8467dda4.png.280x210.jpg', '看房方便，出行便利，海景房，08年建成，50年产权', '海阔天高  | 1室1厅 | 54.9平米 | 东南 | 其他', '30层2008年建塔楼  -  德胜', '51万', '单价9290元/平米')
('https://image1.ljcdn.com/370600-inspection/3c12f4b3-a43c-4cd6-9f42-ea62d9c99053.jpg.296x216.jpg', '北方月光兰庭+精装修2居室+中间楼层', '北方月光兰庭  | 2室2厅 | 79.44平米 | 南 | 其他', '高楼层(共18层)2010年建板楼  -  高级中学', '131万', '单价16491元/平米')
('https://image1.ljcdn.com/370600-inspection/731d7ccc-efdf-4344-afa8-4fc086076cec.jpg.296x216.jpg', '南北通透 楼层好 视野宽阔 采光充足', '金城小区  | 2室2厅 | 62平米 | 南 北 | 其他', '高楼层(共6层)1998年建板楼  -  星颐广场', '76万', '单价12259元/平米')
('https://image1.ljcdn.com/370600-inspection/d258d43e-5c75-4ff9-9ce3-c8141ac7a764.jpg.296x216.jpg', '精装修，东南向两居 产证满两年无大税 好楼层', '天马相城三期  | 2室2厅 | 100平米 | 东南 | 其他', '高楼层(共22层)2009年建板塔结合  -  万科城', '125万', '单价12500元/平米')
('https://image1.ljcdn.com/370600-inspection/7d47d597-8de2-4e9e-b5c3-122435d8ba0e.jpg.296x216.jpg', '金光小区东区 3室2厅 120万', '金光小区东区  | 3室2厅 | 96.4平米 | 南 北 | 其他', '中楼层(共6层)1990年建板楼  -  万达', '120万', '单价12449元/平米')
('https://image1.ljcdn.com/370600-inspection/393a0c15-eff8-4f99-b06e-b30f949f2477.jpg.296x216.jpg', '海信慧园西区 2室2厅 150万', '海信慧园西区  | 2室2厅 | 92.21平米 | 南 | 其他', '低楼层(共30层)2010年建板塔结合  -  高级中学', '150万', '单价16268元/平米')
('https://image1.ljcdn.com/370600-inspection/82751d13-9fdb-4e88-91e3-51dff54e7b17.jpg.296x216.jpg', '南北通透三室，毛坯，有钥匙随时可看', '金桥澎湖湾  | 3室1厅 | 102.45平米 | 南 北 | 毛坯', '中楼层(共31层)2015年建塔楼  -  北京中路', '115万', '单价11225元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload92e4f13f-4493-4b6f-a411-bd2db4a81d1f.jpg.296x216.jpg', '一居室顶加阁，交通便利，周边配套齐全', '华明凤台山庄  | 1室1厅 | 58.96平米 | 南 北 | 其他', '高楼层(共12层)2008年建板楼  -  万达', '90万', '单价15265元/平米')
('https://image1.ljcdn.com/370600-inspection/fd56b737-4e56-49dd-9db7-bb87b659fd50.jpg.296x216.jpg', '亲海翠苑 2室2厅 160万', '亲海翠苑  | 2室2厅 | 124平米 | 南 北 | 其他', '低楼层(共19层)2007年建板楼  -  星颐广场', '160万', '单价12904元/平米')
('https://image1.ljcdn.com/370600-inspection/01940603-6ad1-4bb5-a2c8-bb75b72576c3.jpg.296x216.jpg', '楼层好                         采光不错', '星颐广场  | 2室2厅 | 75.01平米 | 南 | 其他', '高楼层(共30层)2016年建板塔结合  -  星颐广场', '118万', '单价15732元/平米')
('https://image1.ljcdn.com/370600-inspection/de98d883-5cb9-41bd-bf77-2cddeacbd84e.jpg.296x216.jpg', '怡海翠庭多层四楼加阁楼 有车库 南北通透不临街不靠路', '怡海翠庭  | 5室3厅 | 257.12平米 | 南 北 | 其他', '高楼层(共4层)2005年建暂无数据  -  黄河路', '270万', '单价10501元/平米')
('https://image1.ljcdn.com/370600-inspection/447445e0-de7d-4110-9b1e-932813b60ff0.jpg.296x216.jpg', '星海花园 2室2厅 120万', '星海花园  | 2室2厅 | 96.1平米 | 南 北 | 其他', '低楼层(共7层)1996年建板楼  -  星颐广场', '120万', '单价12487元/平米')
('https://image1.ljcdn.com/370600-inspection/d24437bb-dd3f-4b66-b524-62f7959f1d2a.jpg.296x216.jpg', '静海小区 2005年新框架房 有装修 可以拎包入住', '静海小区  | 1室1厅 | 53.4平米 | 南 北 | 其他', '中楼层(共5层)2003年建板楼  -  黄河路', '70万', '单价13109元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/a4b7a234-cff8-45c9-98c5-21c3001df29f.png.280x210.jpg', '福鑫家园 2室1厅 55万', '福鑫家园  | 2室1厅 | 57平米 | 南 北 | 其他', '高楼层(共5层)2005年建板楼  -  万达', '55万', '单价9650元/平米')
('https://image1.ljcdn.com/370600-inspection/86c83513-dd35-43ec-9c77-008b16cd6276.jpg.296x216.jpg', '金城小区 南北通透 不靠道不临街 采光充足 全明户型', '金城小区  | 2室2厅 | 92.7平米 | 南 北 | 其他', '高楼层(共6层)1999年建板楼  -  星颐广场', '105万', '单价11327元/平米')
('https://image1.ljcdn.com/370600-inspection/6e5f116f-838c-42f5-9c54-ae45630b4aee.jpg.296x216.jpg', '融科林语 南北通透 采光充足 封闭小区', '融科林语  | 3室2厅 | 135平米 | 南 北 | 其他', '中楼层(共28层)2011年建塔楼  -  万达', '225万', '单价16667元/平米')
('https://image1.ljcdn.com/370600-inspection/6021af22-f58b-4606-b3c3-69183f313aa1.jpg.296x216.jpg', '房子满五，三室两厅南北通透全名户型', '山水名园  | 3室2厅 | 124.47平米 | 南 北 | 其他', '中楼层(共29层)2007年建塔楼  -  万达', '140万', '单价11248元/平米')
('https://image1.ljcdn.com/370600-inspection/bb80a7f5-171d-4cf3-952c-09995d05f97e.jpg.296x216.jpg', '海信天山郡 2室1厅 115万', '海信天山郡  | 2室1厅 | 82.66平米 | 南 | 其他', '高楼层(共25层)2018年建板楼  -  万达', '115万', '单价13913元/平米')
('https://image1.ljcdn.com/370600-inspection/3ddce784-9670-46c2-9145-792c9a6ea6ea.jpg.296x216.jpg', '国奥天地，客厅落地窗观海三居室', '银和怡海国奥天地  | 3室2厅 | 121平米 | 东 西 | 其他', '高楼层(共18层)2016年建板楼  -  黄河路', '150万', '单价12397元/平米')
('https://image1.ljcdn.com/370600-inspection/1d959994-06e7-415b-b6de-b566c053d1d1.jpg.296x216.jpg', '天马四期 三居室 中间楼层 可以看海 基础装修已做完', '天马相城四期  | 3室2厅 | 198.7平米 | 南 北 | 其他', '低楼层(共30层)2015年建塔楼  -  万科城', '238万', '单价11978元/平米')
('https://image1.ljcdn.com/370600-inspection/c63c17f7-ec88-4359-9abd-a30dd2e6ffc5.jpg.296x216.jpg', '新上精装两室，带家具家电，采光视野好，离校园近', '北方月光兰庭  | 2室1厅 | 78平米 | 南 | 其他', '高楼层(共30层)2015年建板楼  -  高级中学', '115万', '单价14744元/平米')
('https://image1.ljcdn.com/370600-inspection/8d0bdf48-d2c1-43d9-9fc8-0f94ac847d8b.jpg.296x216.jpg', '越秀精装低楼层  家具家电全新 采光无遮挡  拎包入住', '越秀星汇金沙  | 2室1厅 | 82.6平米 | 南 | 其他', '低楼层(共34层)2016年建板楼  -  北京中路', '92万', '单价11139元/平米')
('https://image1.ljcdn.com/370600-inspection/ed7309a4-9887-4cbb-9ccb-b032dafd4395.jpg.296x216.jpg', '海阔天高 1室1厅 32万', '海阔天高  | 1室1厅 | 38平米 | 西 | 其他', '30层2008年建塔楼  -  德胜', '32万', '单价8422元/平米')
('https://image1.ljcdn.com/370600-inspection/2e0b2a30-6ae8-4f06-9924-513ed22cec04.jpg.296x216.jpg', '金光小区，三室两厅，中等装修，顶楼加阁楼，送露台', '金光小区西区  | 3室2厅 | 90.73平米 | 南 北 | 其他', '高楼层(共6层)1998年建板楼  -  万达', '108万', '单价11904元/平米')
('https://image1.ljcdn.com/370600-inspection/a6393d33-2aed-4be8-8bd9-b267e69ae7c7.jpg.296x216.jpg', '南北通透三居室 毛坯房  可以看海 大税', '天马相城四期  | 3室2厅 | 189.43平米 | 南 北 | 其他', '中楼层(共30层)2015年建塔楼  -  万科城', '250万', '单价13198元/平米')
('https://image1.ljcdn.com/370600-inspection/7ae4994b-711b-42db-9043-0757fd39f41d.jpg.296x216.jpg', '银海花苑 框架顶加阁 实木装修', '银海花苑  | 5室2厅 | 138.18平米 | 南 北 | 精装', '高楼层(共6层)2001年建板楼  -  德胜', '180万', '单价13027元/平米')
('', '装修，拎包入住，小区环境好，交通便利', '东方国际  | 1室1厅 | 39.21平米 | 东 南 | 其他', '低楼层(共32层)2013年建塔楼  -  福莱山公园', '43万', '单价10967元/平米')
('https://image1.ljcdn.com/370600-inspection/71df463f-e1d6-41a3-b372-d8ed9d8e8e5e.jpg.296x216.jpg', '金东世纪A 2室1厅 60万', '金东世纪A  | 2室1厅 | 56.12平米 | 西 | 其他', '高楼层(共31层)2001年建板塔结合  -  德胜', '60万', '单价10692元/平米')
('https://image1.ljcdn.com/370600-inspection/3acac407-9bea-4f73-8b39-f8ce906c6935.jpg.296x216.jpg', '天马相城骏景苑，精装两室两厅，户型方正，中间层。', '天马相城三期  | 2室2厅 | 89平米 | 东南 | 其他', '中楼层(共23层)2009年建板塔结合  -  万科城', '115万', '单价12922元/平米')
('https://image1.ljcdn.com/370600-inspection/bb07805c-1c35-48fc-964a-f05b063649c0.jpg.296x216.jpg', '静海小区 多层顶楼加阁楼 居家装修 户型方正 南北通透', '静海小区  | 4室2厅 | 123.6平米 | 南 北 | 其他', '高楼层(共6层)1998年建板楼  -  黄河路', '150万', '单价12136元/平米')
('https://image1.ljcdn.com/370600-inspection/eedde67e-01c4-4200-a1de-b7b1d7e8f432.jpg.296x216.jpg', '金胜小区 3室1厅 96万', '金胜小区  | 3室1厅 | 80平米 | 南 北 | 其他', '中楼层(共6层)1995年建板楼  -  德胜', '96万', '单价12000元/平米')
('https://image1.ljcdn.com/370600-inspection/e4d5c7e2-d61d-49fb-b964-3ad4904f96db.jpg.296x216.jpg', '碧海云天 3室2厅 280万', '碧海云天  | 3室2厅 | 163平米 | 南 北 | 其他', '低楼层(共12层)2006年建板楼  -  星颐广场', '280万', '单价17178元/平米')
('https://image1.ljcdn.com/370600-inspection/7443271a-7929-4c91-976a-aea718ab9517.jpg.296x216.jpg', '精致两室房源，看房方便，万科统一装修！', '万科城  | 2室2厅 | 79.5平米 | 南 | 其他', '低楼层(共34层)2016年建板楼  -  万科城', '100万', '单价12579元/平米')
('https://image1.ljcdn.com/370600-inspection/696ed87d-c126-471f-b0f9-465162accec1.jpg.296x216.jpg', '夹河边，海河双景，南向户型，配套完善', '金东世纪A  | 2室1厅 | 92平米 | 南 | 其他', '低楼层(共30层)2001年建板塔结合  -  德胜', '95万', '单价10327元/平米')
('https://image1.ljcdn.com/370600-inspection/19bf2c31-4556-4191-a791-56639a717a78.jpg.296x216.jpg', '采光充足。楼层好，视野宽阔。。', '新世纪现代公寓  | 2室1厅 | 70平米 | 东 西 | 简装', '中楼层(共6层)2003年建板楼  -  德胜', '63万', '单价9000元/平米')
('', '夹河风景独好 楼层合适 视野开阔 采光充足 业主诚售', '金东世纪A  | 2室2厅 | 85.67平米 | 西北 | 其他', '高楼层(共31层)2001年建板塔结合  -  德胜', '85万', '单价9922元/平米')
('https://image1.ljcdn.com/370600-inspection/45b788fd-cfe8-4000-979a-fb84894ce1e1.jpg.296x216.jpg', '公寓型的住宅，北向，可看海，双证齐全', '海阔天高  | 1室0厅 | 48.64平米 | 北 | 其他', '30层2008年建塔楼  -  德胜', '38万', '单价7813元/平米')
('https://image1.ljcdn.com/370600-inspection/7710783c-bc4f-4f98-8127-e7810e57705f.jpg.296x216.jpg', '宁海佳苑 南北通透 不临街不靠路 有车位 小棚 ！！！', '宁海佳苑  | 2室2厅 | 127.62平米 | 南 北 | 其他', '高楼层(共19层)2007年建板楼  -  黄河路', '175万', '单价13713元/平米')
('https://image1.ljcdn.com/370600-inspection/39acd325-4d33-4d18-9542-6efec07cbecb.jpg.296x216.jpg', '旭日小区 多层三楼 全明户型 南北通透', '旭日小区  | 2室1厅 | 76.85平米 | 南 北 | 其他', '中楼层(共6层)1994年建板楼  -  德胜', '89万', '单价11582元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/b0a64678-c7a6-4702-9216-2b528cb93312.png.280x210.jpg', '德胜 泰山路 华明大厦 小高层 中等装修', '华明大厦  | 2室2厅 | 81平米 | 南 | 其他', '中楼层(共11层)2004年建塔楼  -  德胜', '80万', '单价9877元/平米')
('https://image1.ljcdn.com/370600-inspection/dab1789d-bc34-4d39-a5d9-2206381cb6ae.jpg.296x216.jpg', '此房屋产证满两年，南北通透，看房方便！', '天马相城三期  | 3室2厅 | 128平米 | 南 北 | 其他', '中楼层(共26层)2009年建板塔结合  -  万科城', '167万', '单价13047元/平米')
('https://image1.ljcdn.com/370600-inspection/85ea1517-4b3b-463e-8bb3-1bdf80db7492.jpg.296x216.jpg', '双南卧，婚房装修，装修一年左右。', '奇章新城  | 3室1厅 | 88平米 | 南 北 | 其他', '高楼层(共6层)2001年建板楼  -  万达', '95万', '单价10796元/平米')
('https://image1.ljcdn.com/370600-inspection/d7897529-ac51-4146-9dda-8a579718644e.jpg.296x216.jpg', '星海花园 南北通透  三南卧错层户型', '星海花园  | 3室2厅 | 119.78平米 | 南 北 | 其他', '中楼层(共5层)2004年建板楼  -  星颐广场', '160万', '单价13358元/平米')
('https://image1.ljcdn.com/370600-inspection/8d92386d-a0d0-4554-8c65-e3bccee8bdff.jpg.296x216.jpg', '金光小区东区 2室1厅 75万', '金光小区东区  | 2室1厅 | 70平米 | 南 北 | 其他', '高楼层(共6层)1990年建板楼  -  万达', '75万', '单价10715元/平米')
('https://image1.ljcdn.com/370600-inspection/ece0bc95-2c94-4e53-9e66-9933b0d1ca7b.jpg.296x216.jpg', '丹阳小区 3室2厅 110万', '丹阳小区  | 3室2厅 | 85.5平米 | 南 北 | 其他', '中楼层(共6层)1995年建板楼  -  德胜', '110万', '单价12866元/平米')
('https://image1.ljcdn.com/370600-inspection/5f28cd61-61de-4639-90cc-1edae0166898.jpg.296x216.jpg', '天马相城二期，装修小户型，中间楼层可看海', '天马相城二期  | 1室1厅 | 46.72平米 | 东 | 其他', '中楼层(共26层)2009年建塔楼  -  万科城', '56万', '单价11987元/平米')
('https://image1.ljcdn.com/370600-inspection/ba761279-9ebb-4a8d-a0c0-0153a456c363.jpg.296x216.jpg', '精装修三居室 楼层合适 视野宽阔 海河双景 业主诚售', '金东世纪A  | 3室2厅 | 145平米 | 南 | 其他', '高楼层(共30层)2001年建板塔结合  -  德胜', '156万', '单价10759元/平米')
('https://image1.ljcdn.com/370600-inspection/987b86a4-f989-401d-9804-9ab08dbb5c2c.jpg.296x216.jpg', '此房满五年，采光好，看房方便，楼层好', '星海小区  | 1室1厅 | 47.6平米 | 南 北 | 其他', '中楼层(共6层)1998年建板楼  -  星颐广场', '55万', '单价11555元/平米')
('', '长江路北 金东世纪高楼层 三室两卫 视野开阔', '金东世纪A  | 3室2厅 | 154平米 | 南 北 | 其他', '中楼层(共29层)2002年建板塔结合  -  德胜', '140万', '单价9091元/平米')
('https://image1.ljcdn.com/370600-inspection/f9004848-84a4-4d1d-bd7c-70ee195f06bd.jpg.296x216.jpg', '毛坯房给您更多的自由装修空间！！', '东方国际  | 2室1厅 | 65平米 | 南 | 毛坯', '中楼层(共32层)2013年建塔楼  -  福莱山公园', '60万', '单价9231元/平米')
('https://image1.ljcdn.com/370600-inspection/1fb4f2ac-4067-47ed-a73a-969707869585.jpg.296x216.jpg', '实木装修，户型通透位置好 全明户型 精装未住 带车位', '华明星海湾  | 2室2厅 | 106平米 | 南 北 | 其他', '低楼层(共32层)2016年建板楼  -  黄河路', '170万', '单价16038元/平米')
('https://image1.ljcdn.com/370600-inspection/f8625522-cbec-4b3f-af73-91322d0ce4ba.jpg.296x216.jpg', '开发区九小华明星海湾高档小区精装修复式结构！', '华明星海湾  | 5室2厅 | 86.5平米 | 南 | 其他', '高楼层(共22层)2016年建塔楼  -  黄河路', '230万', '单价26590元/平米')
('', '满五唯一，精装修，南北通透，出东门就是超市很方便', '旭日小区  | 2室1厅 | 69平米 | 南 北 | 其他', '高楼层(共5层)1994年建板楼  -  德胜', '75万', '单价10870元/平米')
('https://image1.ljcdn.com/370600-inspection/ddaacc12-3e26-4a2c-82ca-4d05001e573d.jpg.296x216.jpg', '南向小两居，采光好，居家装修，拎包即住。', '天马相城三期  | 2室1厅 | 57.37平米 | 南 | 其他', '高楼层(共23层)2009年建板塔结合  -  万科城', '72万', '单价12551元/平米')
('https://image1.ljcdn.com/370600-inspection/972c517f-87c4-4b06-8d0f-f72ca1302ed3.JPG.296x216.jpg', '万达旁 人车分流 南厅双南卧 精装修 带小棚 全明户型', '融科林语  | 2室2厅 | 97.7平米 | 南 北 | 其他', '中楼层(共11层)2011年建塔楼  -  万达', '150万', '单价15354元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload40561ec3-cef5-4b34-82a3-64ecf4c43715.jpg.296x216.jpg', '房子是西北向的，出行、购物都比较方便', '海阔天高  | 1室1厅 | 54.97平米 | 西北 | 其他', '30层2008年建塔楼  -  德胜', '40万', '单价7277元/平米')
('https://image1.ljcdn.com/370600-inspection/3ac77582-551e-4e44-9aed-b81e63ece758.jpg.296x216.jpg', '越秀西打头三室  南北通透  全明 精装', '越秀星汇金沙  | 3室2厅 | 107平米 | 南 北 | 精装', '高楼层(共34层)2017年建板楼  -  北京中路', '110万', '单价10281元/平米')
('https://image1.ljcdn.com/370600-inspection/8f87ee9a-f21e-47eb-9932-050a1b31666a.jpg.296x216.jpg', '宁海小区 新框架房 装修好 满两年', '宁海小区  | 2室1厅 | 60.88平米 | 南 | 其他', '中楼层(共5层)2004年建板楼  -  黄河路', '76万', '单价12484元/平米')
('https://image1.ljcdn.com/370600-inspection/7d92db71-eb79-45ba-9c46-68c62502cf36.jpg.296x216.jpg', '金东国际 夹河旁 三室两卫 东打头', '金东世纪A  | 3室1厅 | 167平米 | 南 北 | 其他', '中楼层(共29层)2002年建板塔结合  -  德胜', '167万', '单价10000元/平米')
('https://image1.ljcdn.com/370600-inspection/f0ef99af-2246-4e92-affa-7948e31bfae9.jpg.296x216.jpg', '嵛景华城 北向一居室 中间楼层 简单装修', '嵛景华城  | 1室1厅 | 52平米 | 北 | 其他', '中楼层(共18层)2008年建板楼  -  福莱山公园', '55万', '单价10577元/平米')
('https://image1.ljcdn.com/370600-inspection/572a733a-6dc3-4c39-bf9d-87b37d5e10d8.jpg.296x216.jpg', '房子满五唯一，中间楼层，南北通透，带20平小棚', '金胜小区  | 2室2厅 | 86.33平米 | 南 北 | 其他', '中楼层(共6层)1995年建板楼  -  德胜', '105万', '单价12163元/平米')
('https://image1.ljcdn.com/370600-inspection/af366b3a-c440-48d9-b4ff-c74979be7ffe.jpg.296x216.jpg', '房子邻近海边，空气良好，适宜居住，房子很不错，', '海阔天高  | 1室1厅 | 37.9平米 | 西 | 其他', '30层2008年建塔楼  -  德胜', '30万', '单价7916元/平米')
('', '金河名都 2室2厅 80万', '金河名都  | 2室2厅 | 92平米 | 南 | 其他', '高楼层(共24层)2017年建板楼  -  万科城', '80万', '单价8696元/平米')
('https://image1.ljcdn.com/370600-inspection/7115590c-24d9-46e6-b64e-f49fd341f3c9.jpg.296x216.jpg', '43万 49.8平 顶楼 1室1厅1卫', '海阔天高  | 1室1厅 | 49.8平米 | 南 | 其他', '30层2008年建塔楼  -  德胜', '43万', '单价8635元/平米')
('https://image1.ljcdn.com/370600-inspection/09a4a9bd-1ece-43c7-9de9-e51dd42a8d3b.jpg.296x216.jpg', '房子户型方正，南北通透，简单装修', '华电小区  | 3室2厅 | 94平米 | 南 北 | 其他', '高楼层(共6层)1995年建板楼  -  德胜', '110万', '单价11703元/平米')
('https://image1.ljcdn.com/370600-inspection/40547110-0658-47d8-9957-01e8de959b3a.jpg.296x216.jpg', '阳光海岸精装修 框架房 顶加阁 户型方正 房主诚心出售', '静海阳光海岸  | 4室3厅 | 125平米 | 南 北 | 其他', '高楼层(共5层)2003年建板楼  -  黄河路', '175万', '单价14000元/平米')
('', '泰山名座 2室2厅 106万', '泰山名座  | 2室2厅 | 88平米 | 南 | 其他', '中楼层(共21层)2007年建塔楼  -  德胜', '106万', '单价12046元/平米')
('https://image1.ljcdn.com/370600-inspection/70a3323b-e79c-4dab-b0f6-bfa67ec72323.jpg.296x216.jpg', '框架大三室 双南卧 实得面积大 采光视野很好可看海', '丹阳小区  | 3室2厅 | 76.71平米 | 南 北 | 其他', '高楼层(共6层)2004年建板楼  -  德胜', '92万', '单价11994元/平米')
('https://image1.ljcdn.com/370600-inspection/11376898-e9fe-4dfe-857c-9c7a93e93e05.jpg.296x216.jpg', '70年产权框架房，精装修，两室朝阳客厅朝阳', '凤台小区  | 3室2厅 | 86.37平米 | 南 北 | 其他', '低楼层(共6层)2004年建板楼  -  星颐广场', '115万', '单价13315元/平米')
('https://image1.ljcdn.com/370600-inspection/62f60e86-f52e-4551-ab56-73cd8400c9c4.jpg.296x216.jpg', '海景房，一居室，精装修，带家具家电，房产证满两年', '海阔天高  | 1室1厅 | 54.97平米 | 西北 | 其他', '30层2008年建塔楼  -  德胜', '42万', '单价7641元/平米')
('https://image1.ljcdn.com/370600-inspection/838c4f43-5f37-48b2-b196-501417fad02b.jpg.296x216.jpg', '此房南北通透 带一个地上车位 格局好 视野好 海景房', '海琴湾  | 3室2厅 | 123.51平米 | 南 北 | 其他', '高楼层(共34层)2014年建板楼  -  黄河路', '185万', '单价14979元/平米')
('https://image1.ljcdn.com/370600-inspection/6c89d562-0509-4fa3-8224-0a0e610bcec7.jpg.296x216.jpg', '此房双南卧室南客厅 每个功能间都带窗户 户型方正', '立雪佳苑  | 2室2厅 | 84.22平米 | 南 | 其他', '高楼层(共28层)2013年建板塔结合  -  高级中学', '112万', '单价13299元/平米')
('https://image1.ljcdn.com/370600-inspection/cf9ee096-7242-4de5-9b68-5d41099e05fc.jpg.296x216.jpg', '西打头，精装修的婚房，家具家电全送', '星颐广场  | 3室2厅 | 104平米 | 南 北 | 其他', '中楼层(共30层)2016年建板楼  -  星颐广场', '170万', '单价16347元/平米')
('https://image1.ljcdn.com/370600-inspection/38345d4a-335f-4bec-99e0-7f19fa653d1c.jpg.296x216.jpg', '高楼层视野好，采光好，万达商圈', '山水名园  | 2室1厅 | 87平米 | 南 | 其他', '高楼层(共29层)2007年建塔楼  -  万达', '96万', '单价11035元/平米')
('https://image1.ljcdn.com/370600-inspection/73f0e114-b904-4f6e-9243-eac7a51a649b.jpg.296x216.jpg', '金桥碧海绿洲 大三室 南北通透', '金桥碧海绿洲  | 3室1厅 | 120.17平米 | 南 北 | 其他', '低楼层(共19层)2005年建板楼  -  黄河路', '180万', '单价14979元/平米')
('https://image1.ljcdn.com/370600-inspection/8d897b81-75c6-4343-bce8-df3bbd35c1f7.jpg.296x216.jpg', '华明大厦 生活方便 交通便利 成熟商圈', '华明大厦  | 2室1厅 | 78.68平米 | 西北 | 其他', '中楼层(共11层)2004年建塔楼  -  德胜', '70万', '单价8897元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/cabbe0ac-9ed4-417c-b771-685aa2c855fd.png.280x210.jpg', '海天景苑 南向复式户型 产证满五年', '海天景苑  | 2室2厅 | 56平米 | 南 | 其他', '高楼层(共17层)2006年建塔楼  -  福莱山公园', '60万', '单价10715元/平米')
('https://image1.ljcdn.com/370600-inspection/3dab5245-50c3-45d0-9eb5-f3bde221330d.jpg.296x216.jpg', '船检局家属楼，南北通透东打头，居家装修，看房方便', '宁海小区  | 3室2厅 | 147.38平米 | 南 北 | 其他', '中楼层(共5层)2004年建板楼  -  黄河路', '199万', '单价13503元/平米')
('https://image1.ljcdn.com/370600-inspection/ff25bed6-a64a-42de-bdce-73ccfade66c9.jpg.296x216.jpg', '金鑫家园，南北通透，低楼层，南厅南卧', '金鑫家园  | 2室2厅 | 92.08平米 | 南 北 | 其他', '低楼层(共8层)2008年建板楼  -  万达', '107万', '单价11621元/平米')
('https://image1.ljcdn.com/370600-inspection/77b40513-c306-45f4-b29b-00dbe523e87e.jpg.296x216.jpg', '星海花园 4室2厅 280万', '星海花园  | 4室2厅 | 173平米 | 南 北 | 其他', '高楼层(共5层)2004年建板楼  -  星颐广场', '280万', '单价16185元/平米')
('', '精装修 拎包入住价格各付 楼层好，不挡光，视野好', '金桥澎湖山庄  | 4室2厅 | 83平米 | 南 | 其他', '高楼层(共26层)2016年建板楼  -  福莱山公园', '126万', '单价15181元/平米')
('https://image1.ljcdn.com/370600-inspection/737996aa-a999-48d6-9d1e-71cbe5a31336.jpg.296x216.jpg', '北方月光兰庭南向 精装两居室高楼层采光好', '北方月光兰庭  | 2室1厅 | 75.44平米 | 南 | 其他', '高楼层(共28层)2010年建板楼  -  高级中学', '123万', '单价16305元/平米')
('https://image1.ljcdn.com/370600-inspection/0094f64f-12e1-4cb5-a485-3509e9fb4844.jpg.296x216.jpg', '海信慧园西区 南厅双南卧家具家电全送 全明户型', '海信慧园西区  | 2室1厅 | 92平米 | 南 | 其他', '中楼层(共24层)2010年建板塔结合  -  高级中学', '130万', '单价14131元/平米')
('https://image1.ljcdn.com/370600-inspection/9e3b8e3f-792b-41e2-9053-ee5b1f8c114f.jpg.296x216.jpg', '金东世纪经典一居室，东向，居家装修，看房方便，诚售', '金东世纪A  | 1室1厅 | 50.37平米 | 东 | 其他', '低楼层(共31层)2001年建板塔结合  -  德胜', '50万', '单价9927元/平米')
('https://image1.ljcdn.com/370600-inspection/e74197bb-9a6c-4f39-bc12-2a6c272fbd03.jpg.296x216.jpg', '林语逸景 西打头 带两个车位 封闭小区 万达旁', '林语逸景  | 3室2厅 | 123.07平米 | 南 北 | 其他', '低楼层(共32层)暂无数据  -  万达', '190万', '单价15439元/平米')
