('https://image1.ljcdn.com/441900-inspection/95f594ca-ff2a-4e05-9a33-24ecf86fce2b.jpg.296x216.jpg', '穗莞深城际轻轨口小区  中高楼层  采光通风良好', '万豪苑  | 2室2厅 | 90.28平米 | 东 | 其他', '18层2009年建塔楼  -  长安新区', '160万', '单价17723元/平米')
('https://image1.ljcdn.com/441900-inspection/c1ba099b-6013-442b-9617-fb6058ed8327.jpg.296x216.jpg', '万达广场 中高楼层3房 随时看房子', '万达中央公馆  | 3室2厅 | 97.61平米 | 南 北 | 精装', '中楼层(共29层)2014年建塔楼  -  宵边', '280万', '单价28686元/平米')
('https://image1.ljcdn.com/441900-inspection/f96367cb-1930-4e3d-8a35-4ed256df77a3.jpg.296x216.jpg', '业主诚心出售    价格实惠      户型方正', '沃多夫酒店公寓  | 1室1厅 | 60.43平米 | 东 东南 南 | 其他', '低楼层(共32层)2009年建塔楼  -  咸西', '140万', '单价23168元/平米')
('https://image1.ljcdn.com/441900-inspection/61a62807-e099-4ed9-9f9b-c8bbb6f3783f.jpg.296x216.jpg', '滨海湾新区 长安花园满五唯一高楼层两房 业主诚意出售', '长安花园  | 2室1厅 | 71平米 | 北 | 其他', '高楼层(共11层)2010年建塔楼  -  长安新区', '175万', '单价24648元/平米')
('https://image1.ljcdn.com/441900-inspection/a5c43d0e-347b-4338-9232-a78088a1d8e8.jpg.296x216.jpg', '长安中惠新城4+1房精装修，高楼层采光视野好', '中惠新城  | 5室2厅 | 162.53平米 | 南 | 其他', '中楼层(共22层)2005年建塔楼  -  宵边', '422.5万', '单价25996元/平米')
('https://image1.ljcdn.com/441900-inspection/fa3c3298-2893-4895-a151-6d593044e8ed.jpg.296x216.jpg', '中正Soho复式一房 中高楼层  采光通风好', '中正SOHO  | 1室1厅 | 38.55平米 | 东 | 精装', '高楼层(共17层)2016年建塔楼  -  宵边', '120万', '单价31129元/平米')
('https://image1.ljcdn.com/441900-inspection/5c6e5dd8-ab1b-4d88-8ff5-8f851796c73f.jpg.296x216.jpg', '白领选择，环境优美小区。复式公寓', '中正SOHO  | 1室1厅 | 27.66平米 | 北 | 精装', '中楼层(共17层)2016年建塔楼  -  宵边', '100万', '单价36154元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload7567ee52-a073-46ed-890f-3d736a3853dd.jpg.296x216.jpg', '滨海湾新区长安花园精装修两房  看花园  业主诚意出售', '长安花园  | 2室2厅 | 70.55平米 | 北 | 其他', '高楼层(共11层)2010年建塔楼  -  长安新区', '180万', '单价25514元/平米')
('https://image1.ljcdn.com/441900-inspection/cc513622-d19f-4e67-9219-28db3007a4c0.jpg.296x216.jpg', '健逸天地 5室2厅 405万', '健逸天地  | 5室2厅 | 202平米 | 北 | 其他', '高楼层(共23层)2005年建塔楼  -  增田', '405万', '单价20050元/平米')
('https://image1.ljcdn.com/441900-inspection/99655cf8-6357-416d-86f6-84f6ab3fbb35.jpg.296x216.jpg', '长安花园温馨两房，业主诚意出售。', '长安花园  | 2室2厅 | 78平米 | 南 | 其他', '中楼层(共11层)2010年建塔楼  -  长安新区', '195万', '单价25000元/平米')
('https://image1.ljcdn.com/441900-inspection/68478cd3-6241-4051-b973-749f0dc27953.jpg.296x216.jpg', '长安 四季豪园 南向精装  业主自住 保养好', '四季豪园   | 独栋别墅 | 6室3厅 | 841.86平米 | 东南 | 毛坯', '1层2010年建暂无数据  -  增田', '2050万', '单价24351元/平米')
('https://image1.ljcdn.com/441900-inspection/ab749593-0734-4e96-b59a-f57028d8ff6d.jpg.296x216.jpg', '近深圳，交通便利。紧靠万达，吃喝玩乐一站式解决。', '新世纪宜居  | 2室1厅 | 77.7平米 | 北 | 精装', '低楼层(共24层)2009年建塔楼  -  宵边', '190万', '单价24454元/平米')
('https://image1.ljcdn.com/441900-inspection/78e7194e-b58f-4a24-8dfb-71fc0cb39d3a.jpg.296x216.jpg', '健逸天地优质两房出售  中高楼层  通风采光好', '健逸天地  | 2室2厅 | 92平米 | 西南 | 其他', '中楼层(共20层)2005年建塔楼  -  增田', '210万', '单价22827元/平米')
('https://image1.ljcdn.com/441900-inspection/74a1bf02-5b2a-4d89-ae80-b34b46985a85.jpg.296x216.jpg', '该小区是2013年开盘的，楼龄新而且保养的也好', '富山居  | 4室2厅 | 117平米 | 北 | 其他', '低楼层(共18层)2012年建塔楼  -  增田', '370万', '单价31624元/平米')
('https://image1.ljcdn.com/441900-inspection/0bc9396c-26cb-4a81-8fd5-0f49388fa762.jpg.296x216.jpg', '长安花园精装三房南北对流，诚心出售', '长安花园  | 3室2厅 | 111.7平米 | 南 北 | 其他', '中楼层(共18层)2010年建塔楼  -  长安新区', '300万', '单价26858元/平米')
('https://image1.ljcdn.com/441900-inspection/d3fbb896-7d37-4c4b-ac87-67818a7875fc.jpg.296x216.jpg', '客天下君临长安毛坯四房出售中 南北通透', '客天下君临长安  | 4室2厅 | 180.05平米 | 南 | 其他', '高楼层(共27层)2013年建塔楼  -  咸西', '450万', '单价24994元/平米')
('https://image1.ljcdn.com/441900-inspection/7c527c43-647e-4733-88e3-92e66ceb7b8f.jpg.296x216.jpg', '满五唯一穗莞深国际轻轨口物业，大两房，业主诚心出售', '万豪苑  | 2室2厅 | 78.5平米 | 南 北 | 其他', '高楼层(共11层)2009年建塔楼  -  长安新区', '170万', '单价21657元/平米')
('https://image1.ljcdn.com/441900-inspection/e002a3ae-13ee-4032-8316-f9f8f24533b8.jpg.296x216.jpg', '陶然豪园，朝南，大户型，满五唯一。', '陶然豪园  | 5室2厅 | 205平米 | 南 | 其他', '中楼层(共30层)2005年建塔楼  -  宵边', '533万', '单价26000元/平米')
('https://image1.ljcdn.com/441900-inspection/b2455216-7c02-4969-865a-0385af6793ff.jpg.296x216.jpg', '中惠新城 满五  装修好 中高层', '中惠新城  | 3室2厅 | 146.7平米 | 南 | 其他', '中楼层(共22层)2005年建塔楼  -  宵边', '330万', '单价22495元/平米')
('https://image1.ljcdn.com/441900-inspection/8ef43fe2-6a1b-432e-89e9-8ab32e041ac8.jpg.296x216.jpg', '长安沃尔玛莲花苑电梯两房安静看花园手快有手慢无', '莲花苑  | 2室2厅 | 83平米 | 南 | 其他', '低楼层(共12层)2003年建塔楼  -  中心', '178万', '单价21446元/平米')
('https://image1.ljcdn.com/441900-inspection/15f047f2-2d51-4d05-91ad-69bb11c76bf0.jpg.296x216.jpg', '房子满五年唯一住房，精装修，不朝马路', '长安万科中心  | 3室2厅 | 90.96平米 | 南 | 其他', '低楼层(共18层)2013年建塔楼  -  中心', '300万', '单价32982元/平米')
('https://image1.ljcdn.com/441900-inspection/87b44d6d-1ec6-4893-859d-1443780c96cb.jpg.296x216.jpg', '住宅性质，满五唯一，采光通风好，业主诚心出售', '沃多夫酒店公寓  | 1室1厅 | 61平米 | 北 | 其他', '低楼层(共31层)2009年建塔楼  -  咸西', '150万', '单价24591元/平米')
('https://image1.ljcdn.com/441900-inspection/97caff52-226c-4e44-8fad-5ebf41a47ce7.jpg.296x216.jpg', '长安花园精装2+1户型带租约出售朝南看花园', '长安花园  | 2室2厅 | 80.87平米 | 南 | 其他', '低楼层(共18层)2010年建塔楼  -  长安新区', '210万', '单价25968元/平米')
('https://image1.ljcdn.com/441900-inspection/a0f82363-7de1-4ad3-b2ad-bc1332509eda.jpg.296x216.jpg', '房子南北通透，通风采光  ，交通便利，中变配套齐全', '中惠山畔名城  | 3室2厅 | 189平米 | 东南 西南 | 其他', '高楼层(共18层)2003年建塔楼  -  中心', '500万', '单价26456元/平米')
('https://image1.ljcdn.com/441900-inspection/af558b00-679a-4c70-92dc-e5160e6432ab.jpg.296x216.jpg', '万科金色悦府中高楼层明亮两房出售', '万科金色悦府  | 2室2厅 | 76.72平米 | 北 | 其他', '中楼层(共32层)2015年建塔楼  -  宵边', '212万', '单价27633元/平米')
('https://image1.ljcdn.com/441900-inspection/0253ee10-a0ff-4423-8cb6-1f07e6622f9a.jpg.296x216.jpg', '长安 星港城 旁边 190平 4房2厅 330万', '莲峰广场  | 4室2厅 | 190平米 | 南 北 | 其他', '高楼层(共22层)2009年建塔楼  -  宵边', '330万', '单价17369元/平米')
('https://image1.ljcdn.com/441900-inspection/c1e1eb59-dde9-4db7-b927-a4f973bed863.jpg.296x216.jpg', '滨海湾新区长安花园  满五唯一 精装修两房出售', '长安花园  | 2室2厅 | 80.72平米 | 南 | 其他', '中楼层(共18层)2010年建塔楼  -  长安新区', '216万', '单价26760元/平米')
('https://image1.ljcdn.com/441900-inspection/d5d4354a-162f-4f4d-bc00-954410908448.jpg.296x216.jpg', '朝北看莲花山，家具齐全，附带超大入户花园 价格可谈', '万达中央公馆  | 2室2厅 | 90.93平米 | 北 | 其他', '高楼层(共29层)2014年建塔楼  -  宵边', '235万', '单价25845元/平米')
('https://image1.ljcdn.com/441900-inspection/54fa22d9-2343-48e6-99b4-c412be6c509e.jpg.296x216.jpg', '房子保养很好，小区环境好。业主诚心出售', '君源铂尔曼公馆  | 1室0厅 | 43平米 | 南 | 其他', '高楼层(共25层)2013年建塔楼  -  长安新区', '100万', '单价23256元/平米')
('https://image1.ljcdn.com/441900-inspection/977aa5b2-0d47-4fe6-a891-16565c252c73.jpg.296x216.jpg', '滨海湾新区 万豪苑 精装3房2厅', '万豪苑  | 3室2厅 | 110.94平米 | 南 北 | 其他', '中楼层(共16层)2009年建塔楼  -  长安新区', '236万', '单价21273元/平米')
('https://image1.ljcdn.com/441900-inspection/e3b852b9-e0f5-4060-af92-e783d249a15c.jpg.296x216.jpg', '此房满五免增值税，户型方正格局好视野好，采光充足！', '万豪苑  | 4室2厅 | 156.47平米 | 南 | 其他', '中楼层(共16层)2009年建塔楼  -  长安新区', '312万', '单价19940元/平米')
('https://image1.ljcdn.com/441900-inspection/3efd88b5-64c7-4ecd-b783-2e71e0f02771.jpg.296x216.jpg', '此房满五唯一，还有一点贷款没有还请。', '长安花园  | 3室2厅 | 96平米 | 南 | 其他', '低楼层(共18层)2010年建塔楼  -  长安新区', '268万', '单价27917元/平米')
('https://image1.ljcdn.com/441900-inspection/c4220431-54bf-4320-bf04-ee6e51d4c03f.jpg.296x216.jpg', '满二唯一少交一项增值税，南北通高楼层透通风好视野好', '万达中央公馆  | 2室2厅 | 79.32平米 | 南 | 其他', '高楼层(共31层)2014年建塔楼  -  宵边', '223万', '单价28114元/平米')
('https://image1.ljcdn.com/441900-inspection/5bab326b-89d6-418e-8156-261cc17b11e6.jpg.296x216.jpg', '长安沃多夫一房一厅，好出租，户型方正，位置安静。', '沃多夫酒店公寓  | 1室1厅 | 59.04平米 | 北 | 精装', '低楼层(共32层)2009年建塔楼  -  咸西', '155万', '单价26254元/平米')
('https://image1.ljcdn.com/441900-inspection/e2a0414c-85f1-45ba-b982-ab4b93548d96.jpg.296x216.jpg', '长安正中区 房子满5 自带100平私人花园 复式结构很大', '中惠新城  | 6室3厅 | 130.43平米 | 南 | 其他', '低楼层(共33层)塔楼  -  宵边', '420万', '单价32202元/平米')
('https://image1.ljcdn.com/441900-inspection/cf95039a-9875-451e-a4bd-048632721171.jpg.296x216.jpg', '满两年 一手业主 精装修 带租约 业主诚心出售', '君源铂尔曼公馆  | 1室1厅 | 46.7平米 | 西 | 其他', '中楼层(共25层)2013年建塔楼  -  长安新区', '108万', '单价23127元/平米')
('https://image1.ljcdn.com/441900-inspection/6dff7b06-f782-46b2-af5c-d1c156285123.jpg.296x216.jpg', '滨海湾新区金沙花园三房带租约出售  视野开阔', '金沙花园  | 3室2厅 | 103.5平米 | 北 | 其他', '中楼层(共15层)2009年建塔楼  -  长安新区', '270万', '单价26087元/平米')
('https://image1.ljcdn.com/441900-inspection/b887523f-04ff-4496-83c4-10a5518ca996.jpg.296x216.jpg', '万达广场 精装两房 高楼层 业主急售 采光通风良好', '万达中央公馆  | 2室1厅 | 79.8平米 | 南 | 精装', '中楼层(共24层)2014年建塔楼  -  宵边', '200万', '单价25063元/平米')
('https://image1.ljcdn.com/441900-inspection/101ee514-273b-414e-aba7-ec734a73769b.jpg.296x216.jpg', '中正SOHO，带租约家私家电出售', '中正SOHO  | 1室1厅 | 38平米 | 西 | 其他', '中楼层(共17层)2016年建塔楼  -  宵边', '95万', '单价25000元/平米')
('https://image1.ljcdn.com/441900-inspection/f8b628b1-110b-4bd0-9920-dc2133a86a12.jpg.296x216.jpg', '满五唯一中高楼层，朝向看花园通风良好', '健逸天地  | 2室2厅 | 79平米 | 西南 | 其他', '中楼层(共20层)2005年建塔楼  -  增田', '195万', '单价24684元/平米')
('https://image1.ljcdn.com/441900-inspection/32bb7684-7f5b-4f11-9a2a-bd2a540ddd10.jpg.296x216.jpg', '满二唯一免增值税，高楼层朝南通风采光好，精装修。', '长安万科中心  | 2室1厅 | 70.1平米 | 南 | 其他', '高楼层(共18层)2013年建塔楼  -  中心', '225万', '单价32098元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploada9aa438f-1f3f-45f6-9f69-632d11c78553.jpg.296x216.jpg', '富山居毛坯四房，通透户型，采光好', '富山居  | 4室2厅 | 139.11平米 | 南 | 其他', '高楼层(共23层)2012年建塔楼  -  增田', '420万', '单价30192元/平米')
('https://image1.ljcdn.com/441900-inspection/9b3967c1-5631-47c9-ab95-ae0f14375c66.jpg.296x216.jpg', '健逸天地  满五年小户型房  南朝向', '健逸天地  | 1室1厅 | 51.62平米 | 南 | 简装', '低楼层(共20层)2005年建塔楼  -  增田', '110万', '单价21310元/平米')
('https://image1.ljcdn.com/441900-inspection/10393f8b-829f-49f0-8c05-f5698df0c7b3.jpg.296x216.jpg', '中惠阳光国际 82平 温馨居家', '阳光国际商城  | 2室1厅 | 81.49平米 | 南 | 精装', '低楼层(共30层)2006年建塔楼  -  宵边', '165万', '单价20248元/平米')
('https://image1.ljcdn.com/441900-inspection/9f15f3da-9c17-47a9-8b16-6d7febdcac3a.jpg.296x216.jpg', '锦江花园小区居家两房可改三房，适合居家且税费低', '锦江花园  | 2室2厅 | 91.87平米 | 南 | 简装', '低楼层(共6层)2005年建板楼  -  长安新区', '165万', '单价17961元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload8049f715-21d7-47e1-9a23-e806a50b4b61.jpg.296x216.jpg', '临深长安客天下业主诚心出售复式  少资源一本证', '客天下君临长安  | 4室2厅 | 241.38平米 | 南 | 其他', '低楼层(共27层)2013年建塔楼  -  咸西', '520万', '单价21543元/平米')
('https://image1.ljcdn.com/441900-inspection/9cbd4863-2386-4482-abce-9e443be150fb.jpg.296x216.jpg', '铂尔曼 单间有阳台 朝东 高楼层', '君源铂尔曼公馆  | 1室0厅 | 50.25平米 | 东 | 其他', '中楼层(共25层)2013年建塔楼  -  长安新区', '115万', '单价22886元/平米')
('https://image1.ljcdn.com/441900-inspection/a566eba4-188c-4228-be9d-d0e1ba0e6c57.jpg.296x216.jpg', '户型方正，采光好，交通便利，配套成熟', '健逸天地  | 3室2厅 | 105平米 | 北 | 其他', '中楼层(共20层)2005年建塔楼  -  增田', '221万', '单价21048元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadf1168c35-69b8-40a8-9493-248b50ae9a37.jpg.296x216.jpg', '滨海新区带租约精装两房，业主诚心出售，满二免增值税', '长安花园  | 2室2厅 | 76.1平米 | 北 | 其他', '低楼层(共18层)2010年建塔楼  -  长安新区', '175万', '单价22997元/平米')
('https://image1.ljcdn.com/441900-inspection/0046073d-dd6c-4fbb-bd11-59e462a655f7.jpg.296x216.jpg', '明珠广场4室2厅1厨2卫满五唯一无欠款，看房提前预约', '明珠广场  | 4室2厅 | 156平米 | 南 | 其他', '中楼层(共29层)2006年建塔楼  -  中心', '390万', '单价25000元/平米')
('https://image1.ljcdn.com/441900-inspection/b980b80e-59d7-45ce-8e9f-cfb7cc85f943.jpg.296x216.jpg', '13路公交：长安至上角 323路：松山湖至虎门威远炮台', '万豪苑  | 2室2厅 | 78.31平米 | 南 | 精装', '低楼层(共16层)2009年建塔楼  -  长安新区', '150万', '单价19155元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadd30cb632-64f7-4f00-b048-5fa5c937b4cf.jpg.296x216.jpg', '健逸天地复式大五房出售 装修采光好 随时看房', '健逸天地  | 5室2厅 | 267.18平米 | 南 | 其他', '高楼层(共18层)2005年建塔楼  -  增田', '540万', '单价20212元/平米')
('https://image1.ljcdn.com/441900-inspection/a2ed7b54-79e4-40b1-9786-0e9658b81630.jpg.296x216.jpg', '滨海新区精装三房业主诚心出售，南北对流通风', '金沙花园  | 3室2厅 | 98.45平米 | 南 北 | 其他', '高楼层(共17层)2009年建塔楼  -  长安新区', '250万', '单价25394元/平米')
('https://image1.ljcdn.com/441900-inspection/341ec7df-78de-48f9-b09e-37893899114c.jpg.296x216.jpg', '客天下大户型 中高楼层 视野开阔 看房方便', '客天下君临长安  | 4室1厅 | 183.64平米 | 南 | 毛坯', '中楼层(共27层)2013年建塔楼  -  咸西', '430万', '单价23416元/平米')
('https://image1.ljcdn.com/441900-inspection/0834d5a5-a240-4aaa-ad16-87048ba1b5f6.jpg.296x216.jpg', '此房中高楼陈，看花园，采光好，安静。', '长安花园  | 3室2厅 | 96平米 | 北 | 精装', '中楼层(共18层)2010年建塔楼  -  长安新区', '240万', '单价25000元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload60655ab6-5861-481d-a84d-dc7244da519a.jpg.296x216.jpg', '君源铂尔曼 业主诚心出售 满两年唯一', '君源铂尔曼公馆  | 1室0厅 | 45.83平米 | 北 | 精装', '低楼层(共25层)2013年建塔楼  -  长安新区', '90万', '单价19638元/平米')
('https://image1.ljcdn.com/441900-inspection/3c7149f5-c0fc-424e-af25-1f597ec91c7b.jpg.296x216.jpg', '长安正中区 大两房 房子保养很好 业主诚心卖', '健逸天地  | 2室2厅 | 94.14平米 | 东南 | 其他', '低楼层(共20层)2005年建塔楼  -  增田', '200万', '单价21245元/平米')
('https://image1.ljcdn.com/441900-inspection/bd2076ee-3e85-4872-b748-2bc6e5f56051.jpg.296x216.jpg', '南北通透  采光通风好  。。。。', '锦江花园  | 2室2厅 | 90.12平米 | 南 | 其他', '低楼层(共7层)2005年建板楼  -  长安新区', '180万', '单价19974元/平米')
('https://image1.ljcdn.com/441900-inspection/d5d217ed-0b1f-4611-8b94-ba1d60f51f79.jpg.296x216.jpg', '满五唯一，税费低，安静格局方正，大阳台。', '长安万科中心  | 3室2厅 | 92平米 | 南 | 精装', '高楼层(共18层)2013年建塔楼  -  中心', '289万', '单价31414元/平米')
('https://image1.ljcdn.com/441900-inspection/9eab5e9e-47dd-4234-b37d-c387c288fb3e.jpg.296x216.jpg', '万达公馆高楼层视野宽阔采光好精装修两房业主诚心出售', '万达中央公馆  | 2室2厅 | 81.78平米 | 南 | 其他', '高楼层(共29层)2014年建塔楼  -  宵边', '220万', '单价26902元/平米')
('https://image1.ljcdn.com/441900-inspection/810dfc57-7287-4567-bf4f-b353bc30c58e.jpg.296x216.jpg', '房子满五不唯一，原购价80多万，电梯房。', '莲花苑  | 2室2厅 | 83平米 | 南 | 其他', '高楼层(共12层)2003年建塔楼  -  中心', '171万', '单价20603元/平米')
('https://image1.ljcdn.com/441900-inspection/c637ada4-69c8-4ce2-a82e-2f5f400e41d0.jpg.296x216.jpg', '房屋视野宽阔采光充足，精装修带家具。', '万科金色悦府  | 2室2厅 | 76.72平米 | 北 | 其他', '中楼层(共32层)2015年建塔楼  -  宵边', '220万', '单价28676元/平米')
('https://image1.ljcdn.com/441900-inspection/7f4e658a-32fd-4792-9b62-fe843841479f.jpg.296x216.jpg', '此房满五年免增值税，精装修保养好，通风好采光好。', '君源铂尔曼公馆  | 1室0厅 | 45.83平米 | 南 | 其他', '低楼层(共25层)2013年建塔楼  -  长安新区', '91.7万', '单价20000元/平米')
('https://image1.ljcdn.com/441900-inspection/919a94d2-fff2-43a5-886b-9d15626d42eb.jpg.296x216.jpg', '万达广场 精装修两房 高楼层 一手业主', '万达中央公馆  | 2室2厅 | 80.62平米 | 南 | 其他', '高楼层(共29层)2014年建塔楼  -  宵边', '220万', '单价27289元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload884af3dc-4f6f-41b2-8fc0-995c8c7cb645.jpg.296x216.jpg', '陶然背靠莲花山；莲花湖水萦绕其中；东邻高尔夫球场', '陶然豪园  | 3室2厅 | 158平米 | 北 | 精装', '中楼层(共30层)2005年建塔楼  -  宵边', '390万', '单价24684元/平米')
('https://image1.ljcdn.com/441900-inspection/e9542663-8663-458d-a9b5-4b1db5594ba1.jpg.296x216.jpg', '万达广场大阳台，户型方正，南北通透', '万达中央公馆  | 3室1厅 | 90.93平米 | 北 | 精装', '高楼层(共29层)2014年建塔楼  -  宵边', '250万', '单价27494元/平米')
('https://image1.ljcdn.com/441900-inspection/5d7c1eea-49f7-4f8f-b7f1-6cadb5975519.jpg.296x216.jpg', '长安商圈 万科广场四房  业主低价诚心出售  南北通透', '长安万科中心  | 4室2厅 | 125.81平米 | 南 | 简装', '低楼层(共22层)2013年建塔楼  -  中心', '320万', '单价25436元/平米')
('https://image1.ljcdn.com/441900-inspection/aa882b48-a184-4f80-b1a1-5897cfcbd1d6.jpg.296x216.jpg', '健逸天地 温馨三室两厅  低楼层 诚心出售', '健逸天地  | 3室2厅 | 127.42平米 | 北 | 精装', '低楼层(共23层)2005年建塔楼  -  增田', '260万', '单价20405元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadf17bd4c2-07c5-4101-8a08-a85e515f5d0b.jpg.296x216.jpg', '滨海湾新区，穗管深城际轻轨长安金沙站口物业', '君源铂尔曼公馆  | 1室0厅 | 42.69平米 | 北 | 其他', '中楼层(共25层)2013年建塔楼  -  长安新区', '78万', '单价18272元/平米')
('https://image1.ljcdn.com/441900-inspection/71a0554e-7779-4276-89d9-1f494e2ae4b7.jpg.296x216.jpg', '中惠新城南北通透的大两房，业主诚心出售，看房方便', '中惠新城  | 2室2厅 | 86平米 | 南 北 | 其他', '高楼层(共33层)2005年建塔楼  -  宵边', '195万', '单价22675元/平米')
('https://image1.ljcdn.com/441900-inspection/528e4478-6738-4902-bc54-1e30df7e5dc2.jpg.296x216.jpg', '楼层适中，小区环境好。精装修，业主保养好', '中正SOHO  | 1室1厅 | 38平米 | 南 | 其他', '高楼层(共17层)2016年建塔楼  -  宵边', '110万', '单价28948元/平米')
('https://image1.ljcdn.com/441900-inspection/e01cf0b2-2e23-4d79-bf29-711ac309cb76.jpg.296x216.jpg', '业主自住精装修，满二唯一随时可看', '健逸天地  | 3室2厅 | 117平米 | 西 | 精装', '高楼层(共18层)2005年建塔楼  -  增田', '245万', '单价20941元/平米')
('https://image1.ljcdn.com/441900-inspection/892ea151-fba5-444b-8796-dc742dc38f76.jpg.296x216.jpg', '万达中央公馆 2室1厅 225万', '万达中央公馆  | 2室1厅 | 80平米 | 南 | 精装', '高楼层(共31层)2014年建塔楼  -  宵边', '225万', '单价28125元/平米')
('https://image1.ljcdn.com/441900-inspection/b349e626-ee70-477e-8fc8-55225a76cf98.jpg.296x216.jpg', '业主诚心出售，精装房，两房两厅，家私齐全。', '健逸天地  | 2室2厅 | 87.07平米 | 南 | 其他', '高楼层(共23层)2005年建塔楼  -  增田', '180万', '单价20674元/平米')
('https://image1.ljcdn.com/441900-inspection/71e4f5e9-d987-4c23-bb22-7f5057bf3b65.jpg.296x216.jpg', '长安莲花苑电梯房 小户型朝南业主诚心出售', '莲花苑  | 2室2厅 | 82.38平米 | 东南 | 简装', '中楼层(共12层)2003年建塔楼  -  中心', '168万', '单价20394元/平米')
('https://image1.ljcdn.com/441900-inspection/50608019-cd3a-4141-b5fa-607270f5d813.jpg.296x216.jpg', '优质小区，高楼层，视野好，税费少，业主急售', '万科金色悦府  | 2室2厅 | 77平米 | 北 | 精装', '中楼层(共32层)2015年建塔楼  -  宵边', '210万', '单价27273元/平米')
('https://image1.ljcdn.com/441900-inspection/51629b9b-eaf5-4a32-8ba9-e6002c76b3ce.jpg.296x216.jpg', '满五  精装两房 户型朝南 业主诚心出售', '中惠山畔名城  | 2室2厅 | 79.91平米 | 南 | 精装', '高楼层(共17层)2003年建塔楼  -  中心', '230万', '单价28783元/平米')
('https://image1.ljcdn.com/441900-inspection/db1da57d-f1a2-4687-9a5d-d666b7e2fa42.jpg.296x216.jpg', '滨海新区 满五唯一免个税 装修上档次 高楼层诚心出售', '君源铂尔曼公馆  | 1室0厅 | 51平米 | 东 | 精装', '高楼层(共25层)2013年建塔楼  -  长安新区', '105万', '单价20589元/平米')
('https://image1.ljcdn.com/441900-inspection/2be87401-e3f7-465c-92d4-077c105d47af.jpg.296x216.jpg', '长安花园 2室2厅 219万', '长安花园  | 2室2厅 | 81.33平米 | 东南 南 | 其他', '高楼层(共18层)2010年建塔楼  -  长安新区', '219万', '单价26928元/平米')
('https://image1.ljcdn.com/441900-inspection/031cc83b-1597-4d7d-937c-dd13551eb645.jpg.296x216.jpg', '地段位置好，可以看见万科广场。', '长青城  | 2室2厅 | 89.5平米 | 西 | 其他', '低楼层(共23层)1996年建塔楼  -  咸西', '145万', '单价16202元/平米')
('https://image1.ljcdn.com/441900-inspection/28af2934-e947-4ce3-a3c4-3f40623972d3.jpg.296x216.jpg', '业主诚心出售两房两厅，户型方正，环境也好', '健逸天地  | 2室2厅 | 96.08平米 | 南 | 精装', '低楼层(共18层)2005年建塔楼  -  增田', '188万', '单价19568元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload886bf675-bf13-40b0-bfbb-9d4243980923.jpg.296x216.jpg', '滨海新区   长安花园   温馨两房', '长安花园  | 2室2厅 | 78.3平米 | 北 | 其他', '高楼层(共13层)2010年建塔楼  -  长安新区', '200万', '单价25543元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload8498faf0-a081-455e-a327-c2085902325e.jpg.296x216.jpg', '满二精装修小户型两房，高楼层，采光很好', '万科金色悦府  | 2室2厅 | 76.72平米 | 北 | 其他', '中楼层(共32层)2015年建塔楼  -  宵边', '210万', '单价27373元/平米')
('https://image1.ljcdn.com/441900-inspection/1bc9a004-d6c8-4304-af1c-b3c44aa95ac1.jpg.296x216.jpg', '享万科商圈配套  精装三房  看房随时！', '锦江花园  | 3室2厅 | 101.53平米 | 北 | 其他', '高楼层(共6层)2005年建板楼  -  长安新区', '180万', '单价17729元/平米')
('https://image1.ljcdn.com/441900-inspection/e5a3fbb0-e46b-493e-a559-2646d5b6f869.jpg.296x216.jpg', '中低楼层，带精装修，朝向好通风性好，业主诚心出售。', '万达中央公馆  | 2室2厅 | 80平米 | 南 | 其他', '低楼层(共29层)2014年建塔楼  -  宵边', '220万', '单价27500元/平米')
('https://image1.ljcdn.com/441900-inspection/4a5bd895-35d7-4b8c-bd62-d6fc1cc7d414.jpg.296x216.jpg', '健逸天地，中楼层，106平米三房，业主诚心出售', '健逸天地  | 3室2厅 | 105.49平米 | 东北 | 其他', '中楼层(共20层)2005年建塔楼  -  增田', '220万', '单价20856元/平米')
('https://image1.ljcdn.com/441900-inspection/2f91d49d-3b54-40d8-9fdb-f6c74bbda3e8.jpg.296x216.jpg', '体育公园刚需三房，精装修业主诚心出售，景观好', '中惠山畔名城  | 3室2厅 | 127平米 | 南 北 | 其他', '高楼层(共31层)2003年建塔楼  -  中心', '320万', '单价25197元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload950177dd-7bd3-4b55-8552-f17258e3b9dd.jpg.296x216.jpg', '滨海湾新区   温馨两房   业主诚心出售', '金沙花园  | 2室2厅 | 86.74平米 | 东南 | 其他', '低楼层(共16层)2009年建塔楼  -  长安新区', '230万', '单价26517元/平米')
