('https://image1.ljcdn.com/340100-inspection/dc1c6217-f3b8-4225-8a9d-f628a7042745.jpg.296x216.jpg', '纯毛坯三房，南北通透，送产权车位，', '蓝鼎星河府  | 3室2厅 | 122.76平米 | 南 北 | 其他', '低楼层(共31层)2013年建塔楼  -  周谷堆', '197万', '单价16048元/平米')
('https://image1.ljcdn.com/340100-inspection/0af443f2-7d7a-46d9-b10a-f28345fd8d53.jpg.296x216.jpg', '宝利丰广场 1室1厅 78万', '宝利丰广场  | 1室1厅 | 44.11平米 | 南 | 其他', '中楼层(共39层)2014年建塔楼  -  包公', '78万', '单价17684元/平米')
('https://image1.ljcdn.com/340100-inspection/3df49ebf-61c3-401d-988f-a2db03278013.jpg.296x216.jpg', '军干阳光公寓 3室2厅 193万', '军干阳光公寓  | 3室2厅 | 128.45平米 | 南 北 | 其他', '低楼层(共11层)2008年建塔楼  -  望湖', '193万', '单价15026元/平米')
('https://image1.ljcdn.com/340100-inspection/d1716e02-0e01-4874-a68b-65bb7c713e9c.jpg.296x216.jpg', '日桂苑 大四房 南北通 楼层好 采光佳 南站 望湖公园', '望湖城桂香居日桂苑  | 4室2厅 | 169.2平米 | 南 北 | 其他', '高楼层(共18层)2009年建板楼  -  望湖', '330万', '单价19504元/平米')
('https://image1.ljcdn.com/340100-inspection/0314c33e-f4f3-4ac8-ad7d-bb3b97394dae.jpg.296x216.jpg', '银杏苑 精装修，市政供暖，南北通透采光无遮挡', '银杏苑  | 4室2厅 | 160.83平米 | 南 北 | 其他', '高楼层(共6层)2002年建板楼  -  望湖', '215万', '单价13369元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadf92bada8-9c5e-4e69-b31b-e173f53192bc.jpg.296x216.jpg', '风和园  环境好 物业管理佳 周边出行方便 随时看房', '风和园  | 3室1厅 | 95.58平米 | 南 | 其他', '低楼层(共6层)2000年建板楼  -  包公', '168万', '单价17577元/平米')
('https://image1.ljcdn.com/340100-inspection/546a5883-df8d-46de-b5c9-a605c12ec185.jpg.296x216.jpg', '地矿家园 3室2厅 195万', '地矿家园  | 3室2厅 | 118平米 | 南 北 | 其他', '高楼层(共34层)2012年建板楼  -  周谷堆', '195万', '单价16526元/平米')
('https://image1.ljcdn.com/340100-inspection/d167e8da-2855-49d5-a3f5-09424567567f.jpg.296x216.jpg', '望湖嘉苑新上大三房 南北通透 楼层好 急售', '望湖嘉苑  | 3室2厅 | 132.68平米 | 南 北 | 其他', '高楼层(共18层)2011年建板楼  -  望湖', '245万', '单价18466元/平米')
('https://image1.ljcdn.com/340100-inspection/d43396d9-104e-4130-a0ee-6a220f4becca.JPG.296x216.jpg', '兰亭公寓 2室1厅 83万', '兰亭公寓  | 2室1厅 | 57.82平米 | 南 | 其他', '高楼层(共30层)2012年建塔楼  -  芜湖路', '83万', '单价14355元/平米')
('https://image1.ljcdn.com/340100-inspection/a639a80b-33eb-41e8-a960-b16433fdd3b2.jpg.296x216.jpg', '元一柏庄 3室2厅 175万', '元一柏庄  | 3室2厅 | 97.58平米 | 南 | 其他', '高楼层(共18层)2008年建板楼  -  周谷堆', '175万', '单价17935元/平米')
('https://image1.ljcdn.com/340100-inspection/a60ad136-73d0-48ea-9f63-c3fe6ae8cc8d.jpg.296x216.jpg', '锦绣园 环境好 物业管理佳 周边出行方便 随时看房', '锦绣园  | 3室2厅 | 133.54平米 | 南 北 | 其他', '中楼层(共6层)1999年建板楼  -  包公', '253万', '单价18946元/平米')
('https://image1.ljcdn.com/340100-inspection/91ac31f2-5d1f-4d27-af9b-de8a7ed0a629.jpg.296x216.jpg', '置地同和民康，正规三室，好楼层，房东诚心，值得入手', '置地同和民康  | 3室2厅 | 102.3平米 | 南 北 | 其他', '低楼层(共11层)塔楼  -  淝河镇', '155万', '单价15152元/平米')
('https://image1.ljcdn.com/340100-inspection/6e6d5bcd-087c-472e-b165-810fca4e6a3e.jpg.296x216.jpg', '世纪阳光花园 顶楼复式 单价低 南北通透', '世纪阳光花园橙阳苑  | 6室2厅 | 175平米 | 南 西 | 其他', '高楼层(共6层)2003年建板楼  -  包公', '246万', '单价14058元/平米')
('https://image1.ljcdn.com/340100-inspection/848ae102-b48c-42f6-97b0-cd574741d020.JPG.296x216.jpg', '保利丰广场。新小区，物业好，交通便利，', '宝利丰广场  | 1室1厅 | 44.11平米 | 南 | 其他', '中楼层(共39层)2014年建塔楼  -  包公', '76万', '单价17230元/平米')
('https://image1.ljcdn.com/340100-inspection/1e6f4caa-99dd-41e0-883d-efe7df250e21.jpg.296x216.jpg', '绿地二期 交通便利 无遮挡 次顶楼 毛坯房急售', '绿地中心公馆  | 3室2厅 | 87.85平米 | 南 | 其他', '高楼层(共32层)2015年建塔楼  -  常青', '169万', '单价19238元/平米')
('https://image1.ljcdn.com/340100-inspection/1d482f76-5531-445d-9870-7bde7f175f89.jpg.296x216.jpg', '柏林春天大四房，精装修，*。', '柏林春天  | 4室2厅 | 154平米 | 南 北 | 其他', '低楼层(共18层)2007年建塔楼  -  包公', '238万', '单价15455元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload28c35652-2337-4111-be6c-f108e8c9e01c.jpg.296x216.jpg', '新艺苑 两房 南北通透 采光好 近包公园 业主诚心出售', '新艺苑  | 2室1厅 | 64.64平米 | 南 北 | 其他', '低楼层(共6层)1998年建板楼  -  包公', '128万', '单价19802元/平米')
('https://image1.ljcdn.com/340100-inspection/55155844-e406-4567-b1c5-3304af1dea63.jpg.296x216.jpg', '兰亭公寓 1室1厅 75万', '兰亭公寓  | 1室1厅 | 52.48平米 | 北 | 其他', '低楼层(共30层)2012年建塔楼  -  芜湖路', '75万', '单价14292元/平米')
('https://image1.ljcdn.com/340100-inspection/3aaa6053-6dcc-41f9-89be-52211d6d2bdf.jpg.296x216.jpg', '兰亭公寓 1室1厅 68万', '兰亭公寓  | 1室1厅 | 46.16平米 | 南 | 其他', '低楼层(共30层)2012年建塔楼  -  芜湖路', '68万', '单价14732元/平米')
('https://image1.ljcdn.com/340100-inspection/0e66ef9d-d98f-4487-b362-f8f9a95c790c.jpg.296x216.jpg', '世纪阳光花园红阳苑 3室2厅 259万', '世纪阳光花园红阳苑  | 3室2厅 | 174平米 | 南 | 其他', '高楼层(共6层)2008年建板楼  -  包公', '259万', '单价14886元/平米')
('https://image1.ljcdn.com/340100-inspection/5c23225e-135a-4f68-b32c-6d8e7e6ae217.jpg.296x216.jpg', '卫岗高档住宅 太宁花园 环境优美 地段繁华', '太宁花园紫薇苑  | 2室2厅 | 89.38平米 | 南 | 其他', '中楼层(共6层)2002年建板楼  -  包公', '145万', '单价16223元/平米')
('https://image1.ljcdn.com/340100-inspection/71d24a02-940c-4e90-8b58-138f6fc51ced.jpg.296x216.jpg', '为你而选为你为家 万振逍遥苑四期 精装一居室', '万振逍遥苑四期  | 1室1厅 | 46.64平米 | 北 | 其他', '低楼层(共34层)2008年建板楼  -  周谷堆', '65万', '单价13937元/平米')
('https://image1.ljcdn.com/340100-inspection/b93c353f-3a72-4f2f-b39a-bd8c3c338127.jpg.296x216.jpg', '地矿家园 3室2厅 210万', '地矿家园  | 3室2厅 | 131平米 | 南 北 | 其他', '中楼层(共34层)2012年建板楼  -  周谷堆', '210万', '单价16031元/平米')
('https://image1.ljcdn.com/340100-inspection/7238a232-94f1-44c0-8e00-aa9b1be8d969.jpg.296x216.jpg', '地矿家园 2室2厅 165万', '地矿家园  | 2室2厅 | 100.3平米 | 南 | 其他', '低楼层(共34层)2012年建板楼  -  周谷堆', '165万', '单价16451元/平米')
('https://image1.ljcdn.com/340100-inspection/034ac1b4-b0dd-4831-b3b8-7178be68a48a.jpg.296x216.jpg', '包河万达旁居家两房，小区安静整洁', '又一居  | 2室1厅 | 60.5平米 | 南 | 其他', '中楼层(共6层)2000年建板楼  -  包公', '109万', '单价18017元/平米')
('https://image1.ljcdn.com/340100-inspection/482f880e-ff55-41d9-9645-d3a54f66d1ab.jpg.296x216.jpg', '宝利丰广场 1室1厅 65万', '宝利丰广场  | 1室1厅 | 38平米 | 西 | 其他', '中楼层(共26层)2014年建塔楼  -  包公', '65万', '单价17106元/平米')
('https://image1.ljcdn.com/340100-inspection/5362634b-8cff-455f-b279-552ce401168f.jpg.296x216.jpg', '金地国际城 3室2厅 188万', '金地国际城  | 3室2厅 | 123.47平米 | 南 北 | 其他', '高楼层(共32层)2007年建塔楼  -  周谷堆', '188万', '单价15227元/平米')
('https://image1.ljcdn.com/340100-inspection/24891179-045f-40ed-a371-8640f9f6063b.jpg.296x216.jpg', '金地国际城 3室2厅 158万', '金地国际城  | 3室2厅 | 103.2平米 | 南 北 | 其他', '高楼层(共32层)2008年建塔楼  -  周谷堆', '158万', '单价15311元/平米')
('https://image1.ljcdn.com/340100-inspection/9a5f7004-a783-4a7c-ad58-ed4e3d97ae3e.JPG.296x216.jpg', '为你而选为你为家  采光充足 交通便利 好房 南北通透', '太阳岛花园  | 4室2厅 | 200.52平米 | 南 北 | 其他', '高楼层(共6层)2003年建板楼  -  包公', '275万', '单价13715元/平米')
('https://image1.ljcdn.com/340100-inspection/39114007-9028-4889-93a9-d27b0d466e1a.jpg.296x216.jpg', '卫岗电信小区，两房朝南，户型方正，采光好', '卫岗电信小区  | 2室2厅 | 80.46平米 | 南 北 | 其他', '中楼层(共7层)暂无数据  -  望湖', '107万', '单价13299元/平米')
('https://image1.ljcdn.com/340100-inspection/4499c7bd-f683-43e6-9b78-f4b05a61381b.jpg.296x216.jpg', '联邦花园 5室房精装，南北通透户型，格局方正，', '联邦花园  | 5室3厅 | 188.26平米 | 南 北 | 其他', '高楼层(共6层)2009年建板楼  -  周谷堆', '248万', '单价13174元/平米')
('https://image1.ljcdn.com/340100-inspection/f6b74f9e-262a-47e3-9260-1f53ca328f52.jpg.296x216.jpg', '为你而选为你为家 楼层好 采光佳 全毛坯 户型方正', '天下锦城康桥郡  | 3室2厅 | 122.55平米 | 南 | 其他', '11层2016年建板楼  -  常青', '208万', '单价16973元/平米')
('https://image1.ljcdn.com/340100-inspection/8d52638a-812d-481b-acb7-dfdc61dd7f9a.jpg.296x216.jpg', '宝利丰广场 1室0厅 63万', '宝利丰广场  | 1室0厅 | 37.26平米 | 西 | 其他', '中楼层(共26层)2014年建塔楼  -  包公', '63万', '单价16909元/平米')
('https://image1.ljcdn.com/340100-inspection/693d817a-e549-4132-a371-04c0951a421b.jpg.296x216.jpg', '此房满两年 纯毛坯 采光非常好 绿城品质', '绿城玉兰公寓  | 3室1厅 | 140.59平米 | 东南 北 | 其他', '高楼层(共15层)2010年建塔楼  -  常青', '305万', '单价21695元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload2ceae1c2-0f81-4d95-b509-e90de11bbd5e.jpg.296x216.jpg', '为你而选为你为家，精装修三居室，南北通透，采光好', '柏林春天  | 3室2厅 | 138.28平米 | 南 北 | 其他', '高楼层(共18层)2007年建塔楼  -  包公', '240万', '单价17357元/平米')
('https://image1.ljcdn.com/340100-inspection/664dca58-0ef1-499f-88a6-746f8e856fcb.jpg.296x216.jpg', '曙宏南苑 精装一室一厅 电梯房 总价低', '曙宏南苑  | 1室1厅 | 53.24平米 | 北 | 其他', '高楼层(共18层)2010年建板楼  -  常青', '68万', '单价12773元/平米')
('https://image1.ljcdn.com/340100-inspection/79ed90b0-78e6-481c-afc6-d0c6d61fb0ac.jpg.296x216.jpg', '中振小户型 交通方便 生活方便 配套完善 诚心卖房', '中振和润华府  | 1室1厅 | 45.29平米 | 西 | 其他', '低楼层(共32层)2013年建塔楼  -  包公', '72万', '单价15898元/平米')
('https://image1.ljcdn.com/340100-inspection/df099c45-97d2-4f87-9bd3-f354fdcad318.jpg.296x216.jpg', '万振逍遥苑二期  顶楼复试 南北双阳台 视野采光好', '万振逍遥苑二期  | 4室2厅 | 150.3平米 | 南 北 | 其他', '高楼层(共6层)2004年建板楼  -  周谷堆', '220万', '单价14638元/平米')
('https://image1.ljcdn.com/340100-inspection/d8df11b6-639d-4cfb-bd76-8deb5c2d1060.jpg.296x216.jpg', '滨水华城三房，楼层好 采光无影响  客厅朝南带阳台', '滨水华城  | 3室1厅 | 124.57平米 | 南 | 其他', '中楼层(共26层)2000年建板楼  -  包公', '200万', '单价16056元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload99b7b5f5-352d-482a-bfb6-208894419a3f.jpg.296x216.jpg', '金地国际城 精装出售 70年产权 业主诚心出售', '金地国际城  | 1室1厅 | 36.99平米 | 西 | 其他', '低楼层(共27层)2007年建塔楼  -  周谷堆', '41万', '单价11085元/平米')
('https://image1.ljcdn.com/340100-inspection/947bf446-899c-4c84-9d76-25f9af4d3cec.jpg.296x216.jpg', '民航小区，中楼层，低单价，随时看房', '民航小区  | 2室1厅 | 56.66平米 | 南 | 其他', '中楼层(共6层)2003年建板楼  -  望湖', '91万', '单价16061元/平米')
('https://image1.ljcdn.com/340100-inspection/fff24e02-f0fb-4e82-b732-46e6d6048fc5.jpg.296x216.jpg', '绿地海顿公馆A 位置好 视野好 两房没有浪费面积', '绿地海顿公馆A  | 2室2厅 | 97.01平米 | 南 | 其他', '中楼层(共24层)2010年建板楼  -  周谷堆', '190万', '单价19586元/平米')
('https://image1.ljcdn.com/340100-inspection/a866aa26-7265-4197-bb05-266bb5719160.jpg.296x216.jpg', '金地国际城 1室1厅 48万', '金地国际城  | 1室1厅 | 40平米 | 东 | 其他', '高楼层(共27层)2007年建塔楼  -  周谷堆', '48万', '单价12000元/平米')
('https://image1.ljcdn.com/340100-inspection/77f978d3-7c00-4251-a9b8-2fe3c87606f3.jpg.296x216.jpg', '金湾嘉园电梯房 08年 户型方正采光足 交通便利 商品房', '金湾嘉园  | 1室1厅 | 23平米 | 南 | 其他', '高楼层(共32层)2005年建塔楼  -  包公', '46万', '单价20000元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload83d3a150-ee6c-4e15-b480-6843994e809a.jpg.296x216.jpg', '精品两房，可改小三房，主卧朝南，采光充足', '金地国际城  | 2室1厅 | 81平米 | 南 | 其他', '低楼层(共30层)2008年建塔楼  -  周谷堆', '97万', '单价11976元/平米')
('https://image1.ljcdn.com/340100-inspection/3e9dd673-d517-4435-8f99-c7b9b7140398.jpg.296x216.jpg', '徽州大道银杏苑内复式，采光好，通透性强，南北露台', '银杏苑  | 3室2厅 | 197.7平米 | 南 北 | 其他', '高楼层(共6层)2002年建板楼  -  望湖', '225万', '单价11381元/平米')
('https://image1.ljcdn.com/340100-inspection/3366c1bb-125d-48e3-a27b-7a7b70f5dc1a.jpg.296x216.jpg', '为你而选为你而家 多层复式精装修 赠送南北双露台', '万振逍遥苑二期  | 4室2厅 | 156.23平米 | 南 北 | 其他', '高楼层(共6层)2004年建板楼  -  周谷堆', '185万', '单价11842元/平米')
('https://image1.ljcdn.com/340100-inspection/d1a070e7-12a0-47a8-ac04-61a7ef3f2532.jpg.296x216.jpg', '信专业 选链家 万振逍遥苑四期精装三房南北通急售满二', '万振逍遥苑四期  | 3室2厅 | 128.09平米 | 南 北 | 其他', '中楼层(共33层)2008年建板楼  -  周谷堆', '215万', '单价16786元/平米')
('https://image1.ljcdn.com/340100-inspection/95f6fdc0-4de5-4ba9-b2e1-278ed9fdc080.JPG.296x216.jpg', '铂金汉宫 1室1厅 75万', '铂金汉宫  | 1室1厅 | 54.93平米 | 南 西 | 其他', '低楼层(共24层)2009年建塔楼  -  包公', '75万', '单价13654元/平米')
('https://image1.ljcdn.com/340100-inspection/666b3b1b-1eb8-4ebe-b2ff-7cc5eae0c500.jpg.296x216.jpg', '锦城公馆  户型方正 采光视野无遮挡 有钥匙 随时看房', '锦城公馆  | 1室1厅 | 42.08平米 | 南 | 其他', '中楼层(共21层)暂无数据  -  常青', '69万', '单价16398元/平米')
('https://image1.ljcdn.com/340100-inspection/0e6de622-81e3-4fed-986c-24a6f129a1b5.JPG.296x216.jpg', '铂金汉宫 经典精装三室 地铁口 高品质小区 业主诚售。', '铂金汉宫  | 3室2厅 | 137.07平米 | 南 | 简装', '低楼层(共28层)2009年建板楼  -  包公', '213万', '单价15540元/平米')
('https://image1.ljcdn.com/340100-inspection/bf2cfe6a-ea4f-476c-88f6-3c03537db14e.jpg.296x216.jpg', '和昌都汇华府 3室2厅 176万', '和昌都汇华府  | 3室2厅 | 93.66平米 | 南 | 其他', '高楼层(共30层)2012年建板楼  -  周谷堆', '176万', '单价18792元/平米')
('https://image1.ljcdn.com/340100-inspection/36e97656-1581-49bc-8295-ce30db0aa827.JPG.296x216.jpg', '荣昌园南北三房  采光无影响  地理位置优越', '荣昌园小区  | 3室1厅 | 88.4平米 | 南 北 | 其他', '高楼层(共6层)1995年建板楼  -  包公', '127万', '单价14367元/平米')
('https://image1.ljcdn.com/340100-inspection/4d0d587e-8a80-4bb0-a6d0-0cbe576c484a.jpg.296x216.jpg', '紫荆花园 5室3厅 265万', '紫荆花园  | 5室3厅 | 218平米 | 南 | 其他', '高楼层(共12层)2000年建板楼  -  芜湖路', '265万', '单价12156元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload37cc161e-0d5d-401b-a7ce-e61ae4541874.jpg.296x216.jpg', '万达商圈 交通便利 配套齐全 采光好', '万达中心名宅  | 2室2厅 | 94.54平米 | 西南 | 其他', '低楼层(共47层)2010年建塔楼  -  包公', '170万', '单价17982元/平米')
('https://image1.ljcdn.com/340100-inspection/bb0e292e-6cc1-444a-8f0c-2fe85e852a47.jpg.296x216.jpg', '绿地海顿公馆A期 南北通透好户型 边户三房采光好', '绿地海顿公馆A  | 3室2厅 | 141.54平米 | 南 北 | 其他', '低楼层(共32层)2010年建板楼  -  周谷堆', '272万', '单价19218元/平米')
('https://image1.ljcdn.com/340100-inspection/a401a1d9-1c0d-4f92-bd55-24fbad6a0a07.jpg.296x216.jpg', '世纪阳光橙阳苑满五年楼层好 采光足 户型正气安静不吵', '世纪阳光花园橙阳苑  | 3室2厅 | 123平米 | 南 | 其他', '中楼层(共6层)2003年建板楼  -  包公', '214万', '单价17399元/平米')
('https://image1.ljcdn.com/340100-inspection/5bee96cf-fe54-47b0-954b-4978151a503d.jpg.296x216.jpg', '柏林春天 3室2厅 180万', '柏林春天  | 3室2厅 | 128平米 | 南 北 | 其他', '高楼层(共18层)2007年建塔楼  -  包公', '180万', '单价14063元/平米')
('https://image1.ljcdn.com/340100-inspection/a3d4f708-a9f8-47e3-b0cf-51a4d37116ed.png.296x216.jpg', '铂金汉宫 住宅式一居室 满两年 看房方便 位置安静', '铂金汉宫  | 1室1厅 | 38.88平米 | 南 | 其他', '高楼层(共28层)2009年建板楼  -  包公', '73万', '单价18776元/平米')
('https://image1.ljcdn.com/340100-inspection/b9c28f03-fb2d-4d62-992c-82f8f290bd21.jpg.296x216.jpg', '徽商望湖苑，两居室，户型方正，采光好，诚心出售!', '徽商望湖苑  | 2室2厅 | 92.81平米 | 南 北 | 其他', '中楼层(共6层)2003年建板楼  -  芜湖路', '151万', '单价16270元/平米')
('https://image1.ljcdn.com/340100-inspection/395f528e-d913-485a-8d29-2d9b4b874b26.JPG.296x216.jpg', '优选皖东小区 两房朝南 户型方正 采光充足 位置安静', '皖东小区  | 2室2厅 | 58.35平米 | 南 北 | 其他', '高楼层(共5层)1999年建板塔结合  -  周谷堆', '85万', '单价14568元/平米')
('https://image1.ljcdn.com/340100-inspection/9daafffa-d9d7-401e-b506-96f4f4300dd9.jpg.296x216.jpg', '桐城绿苑 3室2厅 197万', '桐城绿苑  | 3室2厅 | 104.66平米 | 南 | 其他', '高楼层(共25层)2011年建板塔结合  -  常青', '197万', '单价18823元/平米')
('https://image1.ljcdn.com/340100-inspection/f4a969ce-d104-4afb-9e59-b42ababbce62.jpg.296x216.jpg', '带装修南北通透大四房 赠送面积15平 满两年', '万振逍遥苑四期  | 4室2厅 | 160.74平米 | 南 北 | 其他', '高楼层(共22层)2008年建板楼  -  周谷堆', '265万', '单价16487元/平米')
('https://image1.ljcdn.com/340100-inspection/5364d050-7639-4deb-9f24-bf7da0466395.JPG.296x216.jpg', '世纪阳光花园橙阳苑，满二 ，精装，单价低', '世纪阳光花园橙阳苑  | 5室3厅 | 173.07平米 | 南 北 | 其他', '高楼层(共6层)2003年建板楼  -  包公', '230万', '单价13290元/平米')
('https://image1.ljcdn.com/340100-inspection/13987712-181a-4450-baa0-db9db94451b3.jpg.296x216.jpg', '金地国际城 3室2厅 240万', '金地国际城  | 3室2厅 | 150平米 | 南 东 | 其他', '中楼层(共17层)2008年建塔楼  -  周谷堆', '240万', '单价16000元/平米')
('https://image1.ljcdn.com/340100-inspection/18b57012-b322-4e4c-af0c-64649f891857.jpg.296x216.jpg', '锦城公馆  户型方正 采光视野无遮挡 有钥匙 随时看房', '锦城公馆  | 1室1厅 | 42.08平米 | 南 | 其他', '高楼层(共21层)暂无数据  -  常青', '71.4万', '单价16968元/平米')
('https://image1.ljcdn.com/340100-inspection/fd45625f-4c38-4b97-8770-5ba57554955c.jpg.296x216.jpg', '南北通透  ，一梯两户，纯毛坯', '信达文景雅居  | 6室2厅 | 173.75平米 | 南 北 | 其他', '高楼层(共6层)2004年建板楼  -  周谷堆', '230万', '单价13238元/平米')
('https://image1.ljcdn.com/340100-inspection/7cdff496-2e24-4052-876f-8a39909a8eab.jpg.296x216.jpg', '日桂苑 大四房 南北通 楼层好 采光佳 南站 望湖公园', '望湖城桂香居日桂苑  | 4室2厅 | 169.99平米 | 南 北 | 其他', '中楼层(共18层)2009年建板楼  -  望湖', '330万', '单价19413元/平米')
('https://image1.ljcdn.com/340100-inspection/024d16a8-a152-48e4-b65f-a132e5942b19.jpg.296x216.jpg', '万振城市广场 2室1厅 70万', '万振城市广场  | 2室1厅 | 56平米 | 南 | 其他', '中楼层(共30层)2016年建塔楼  -  周谷堆', '70万', '单价12500元/平米')
('https://image1.ljcdn.com/340100-inspection/c27bfc01-b9fc-4231-b5d7-bcfd1155727d.jpg.296x216.jpg', '万达商圈 鸟瞰包公园，开发商统一精装修，', '万达公馆  | 4室2厅 | 199.98平米 | 东 西 | 其他', '低楼层(共47层)2012年建塔楼  -  包公', '380万', '单价19002元/平米')
('https://image1.ljcdn.com/340100-inspection/0cb99ff3-074e-43b3-b5a5-0dcc35001bf6.jpg.296x216.jpg', '环宇大厦 精装修送超大面积 全明户型 采光好', '环宇大厦  | 1室1厅 | 55.56平米 | 南 北 | 其他', '中楼层(共31层)2000年建塔楼  -  周谷堆', '84万', '单价15119元/平米')
('https://image1.ljcdn.com/340100-inspection/2368c98e-0564-436d-8a32-0b4e4a6a6cc0.JPG.296x216.jpg', '铂金汉宫 精装朝南户型 中上楼层采光好  满两年', '铂金汉宫  | 1室1厅 | 37.68平米 | 南 | 其他', '低楼层(共28层)2009年建板楼  -  包公', '70万', '单价18578元/平米')
('https://image1.ljcdn.com/340100-inspection/f5121e92-356d-4c37-a18c-c5dd0f10067e.JPG.296x216.jpg', '水利厅机关宿舍 交通便利 配套成熟', '水利厅机关宿舍  | 2室1厅 | 60.44平米 | 南 | 其他', '高楼层(共6层)1995年建板楼  -  芜湖路', '90万', '单价14891元/平米')
('https://image1.ljcdn.com/340100-inspection/b2c0cdf6-e976-4a6e-bd5b-0b353c84c141.jpg.296x216.jpg', '地矿家园 3室1厅 178万', '地矿家园  | 3室1厅 | 110.17平米 | 南 | 其他', '高楼层(共34层)2012年建板楼  -  周谷堆', '178万', '单价16157元/平米')
('https://image1.ljcdn.com/340100-inspection/29159e48-bde3-483c-b7b1-1c17818a0051.jpg.296x216.jpg', 'BINGO缤购 1室1厅 77万', 'BINGO缤购  | 1室1厅 | 45.88平米 | 南 | 其他', '中楼层(共32层)板塔结合  -  包公', '77万', '单价16783元/平米')
('https://image1.ljcdn.com/340100-inspection/4f18ab9a-d753-4f9a-b351-f1dacbe5b150.jpg.296x216.jpg', '望湖东苑 4室2厅 195万', '望湖东苑  | 4室2厅 | 134.86平米 | 南 | 其他', '中楼层(共6层)2005年建板楼  -  望湖', '195万', '单价14460元/平米')
('https://image1.ljcdn.com/340100-inspection/430b04d8-7b8a-4567-9a3c-2fb09b123412.jpg.296x216.jpg', '万振逍遥苑 南北通透3房 高楼层采光 通风好', '万振逍遥苑四期  | 3室2厅 | 129.3平米 | 南 北 | 其他', '中楼层(共18层)2008年建板楼  -  周谷堆', '220万', '单价17015元/平米')
('https://image1.ljcdn.com/340100-inspection/24d48ef7-6f69-451b-85de-6936e7433d7b.jpg.296x216.jpg', '南园新村 多层2室    无公摊采光好 楼层适中交通便利', '南园新村  | 2室1厅 | 58.14平米 | 南 北 | 其他', '中楼层(共6层)2003年建板楼  -  芜湖路', '98万', '单价16856元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload338f19d5-f8ee-4675-a508-f262027744b6.jpg.296x216.jpg', '鑫苑望江花园 多层 客厅朝东 采光较好 小区里面', '鑫苑望江花园  | 3室2厅 | 135.51平米 | 南 北 | 其他', '低楼层(共5层)2007年建板塔结合  -  常青', '216万', '单价15940元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadee5556b3-8a0c-4d3e-801f-e4a0857262c4.jpg.296x216.jpg', '世纪阳光紫阳苑地铁口精装复式采光好满五屯小方正户型', '世纪阳光花园橙阳苑  | 4室3厅 | 197.1平米 | 南 北 | 其他', '高楼层(共6层)2003年建板楼  -  包公', '268万', '单价13598元/平米')
('https://image1.ljcdn.com/340100-inspection/9048f5c4-5bf7-487d-a394-0ffe8448c646.jpg.296x216.jpg', '金地国际城 2室1厅 118万', '金地国际城  | 2室1厅 | 60.79平米 | 西北 | 其他', '高楼层(共16层)2007年建塔楼  -  周谷堆', '118万', '单价19412元/平米')
('https://image1.ljcdn.com/340100-inspection/5ecd6052-0c58-4836-810d-681c8e85d227.jpg.296x216.jpg', '万振城市广场 1室1厅 66万', '万振城市广场  | 1室1厅 | 56.5平米 | 西北 | 其他', '中楼层(共30层)2016年建塔楼  -  周谷堆', '66万', '单价11682元/平米')
('https://image1.ljcdn.com/340100-inspection/c7378628-ca37-4b61-93ac-c2466eb1a6f5.jpg.296x216.jpg', '满两年一楼带花园洋房，纯毛坯，带超大地下室', '天下锦城爱丁堡  | 5室2厅 | 343.06平米 | 南 北 | 其他', '低楼层(共6层)2016年建塔楼  -  常青', '610万', '单价17782元/平米')
('https://image1.ljcdn.com/340100-inspection/a2de1954-1bc8-4cf2-bebb-4cf0293f9ecd.jpg.296x216.jpg', '为你而选为你为家 滨湖春天 毛坯房 业主诚心出售', '滨湖春天  | 4室2厅 | 171.71平米 | 南 北 | 毛坯', '中楼层(共18层)2000年建塔楼  -  望湖', '356万', '单价20733元/平米')
('https://image1.ljcdn.com/340100-inspection/8df9d56e-b81d-4f0e-a644-b469602ad4b8.JPG.296x216.jpg', '宝利丰广场 1室1厅 65万', '宝利丰广场  | 1室1厅 | 37.39平米 | 东 | 其他', '中楼层(共26层)2014年建塔楼  -  包公', '65万', '单价17385元/平米')
('https://image1.ljcdn.com/340100-inspection/c5c9b209-2c3a-408a-a9ac-0cb871fc44ee.JPG.296x216.jpg', '满五年 没有双税，复式，装修好', '美丽华公寓  | 3室2厅 | 172平米 | 南 北 | 其他', '低楼层(共3层)2000年建板楼  -  常青', '255万', '单价14826元/平米')
('https://image1.ljcdn.com/340100-inspection/67e087c2-909d-423f-8709-c903118fc5f0.jpg.296x216.jpg', '同城花园 2室2厅 165万', '同城花园  | 2室2厅 | 99.34平米 | 西南 | 其他', '中楼层(共25层)1995年建板楼  -  芜湖路', '165万', '单价16610元/平米')
