('https://image1.ljcdn.com/510100-inspection/test-194e1b15-081e-4a27-8267-a6506d76d31c.png.296x216.jpg', '此房户型方正采光佳，视野宽阔，', '心怡中丝园  | 3室2厅 | 102.38平米 | 北 | 其他 | 有电梯', '低楼层(共29层)2015年建板塔结合  -  麓山', '138万', '单价13480元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5d240bd4-c59a-41c6-b204-962c7034b4d6.png.296x216.jpg', '成南锦秀 带装修三室两厅一厨双卫', '成南锦秀  | 3室2厅 | 123.63平米 | 东 | 其他 | 有电梯', '低楼层(共16层)2010年建板楼  -  南湖', '185万', '单价14965元/平米')
('https://image1.ljcdn.com/510100-inspection/5f21a9bc-be6a-433c-98c1-b35925969d2d.JPG.296x216.jpg', '新鸿基悦城  套三装修  户型方正', '新鸿基悦城  | 3室2厅 | 155平米 | 西北 | 其他 | 有电梯', '低楼层(共30层)2012年建板塔结合  -  海洋公园', '310万', '单价20000元/平米')
('https://image1.ljcdn.com/510100-inspection/e4c543b6-ac20-4619-8210-f8e29b62c5c0.jpg.296x216.jpg', '阳光华庭  跃层装修套四   带屋顶花园', '阳光华庭  | 4室2厅 | 158.69平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2005年建板楼  -  华阳', '208万', '单价13108元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c41ea870-ee35-45e0-b8f3-f12807965182.png.296x216.jpg', '天府家苑   套二  单卫  带装修', '天府家苑  | 2室1厅 | 80.67平米 | 西北 | 其他', '高楼层(共6层)板楼  -  南湖', '96万', '单价11901元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload407de94b-3957-459b-ad50-3c0adb284e4e.jpg.296x216.jpg', '天府新区剑南大道华阳凯莱丽景雅筑多层带电梯', '凯莱丽景雅筑  | 4室2厅 | 139.79平米 | 南 | 其他 | 有电梯', '低楼层(共6层)2007年建板楼  -  华阳', '225万', '单价16096元/平米')
('https://image1.ljcdn.com/510100-inspection/72506d16-b772-481d-a4c4-6385adef7bd2.jpg.296x216.jpg', '原乡联排别墅  居家精装修  加负一楼一共五层', '原乡   | 联排别墅 | 4室2厅 | 243.7平米 | 南 北 | 其他 | 无电梯', '3层2008年建暂无数据  -  华阳', '490万', '单价20107元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ead4a8de-1d33-4eac-97a3-a2ffa3ab2cfe.png.296x216.jpg', '蓝山美树套四  清水  带花园', '蓝山美树  | 4室2厅 | 152.36平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)2009年建板楼  -  海洋公园', '245万', '单价16081元/平米')
('https://image1.ljcdn.com/510100-inspection/02e7cb45-70be-4aa4-bd4f-668fd93d7ccd.jpg.296x216.jpg', '圣芭芭拉叠上精装临湖别墅视野好', '麓山国际圣芭芭拉   | 叠拼别墅 | 5室2厅 | 224.59平米 | 东 | 其他 | 无电梯', '下叠(共5层)2010年建暂无数据  -  麓山', '600万', '单价26716元/平米')
('https://image1.ljcdn.com/510100-inspection/67890645-33fb-4899-8194-72689149f44a5.jpg.296x216.jpg', '雅居乐铂雅苑装修四室带家具家电', '雅居乐铂雅苑  | 4室3厅 | 286平米 | 南 | 精装 | 有电梯', '中楼层(共24层)2014年建板楼  -  雅居乐', '555万', '单价19406元/平米')
('https://image1.ljcdn.com/510100-inspection/test-894e3a30-9ac1-40ce-9ce3-d10e16e785c8.png.296x216.jpg', '天府新区美城悦荣府三房两厅1厨两卫', '美城悦荣府  | 3室2厅 | 101平米 | 南 | 其他 | 有电梯', '低楼层(共34层)2017年建板塔结合  -  华阳', '210万', '单价20793元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d7410ff0-047a-463c-afa4-da7a061b4ef3.png.296x216.jpg', '南湖国际社区一期装修套二，中间楼层。', '南湖国际社区一期  | 2室1厅 | 77.68平米 | 西 | 其他 | 有电梯', '高楼层(共34层)2010年建塔楼  -  南湖', '138万', '单价17766元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload4b5ae71e-8183-4865-b14c-14a32e81e8b8.jpg.296x216.jpg', '南湖公园旁+远大套三双卫+有装修', '远大中央公园一期  | 3室2厅 | 98.97平米 | 北 | 精装', '低楼层(共33层)2016年建板塔结合  -  南湖', '185万', '单价18693元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploaddd1cb2f1-fb04-4920-b7db-b4434f32a1b6.JPG.296x216.jpg', '碧桂园底楼错层式洋房，带前后花园，南北朝向。', '碧桂园海昌天澜  | 4室2厅 | 143.58平米 | 南 | 其他', '低楼层(共6层)板楼  -  雅居乐', '365万', '单价25422元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d4fe6044-2486-491d-a839-612e7de7ba30.png.296x216.jpg', '天府新区洛森堡 精装房 位置安静', '洛森堡  | 3室2厅 | 114平米 | 南 | 其他 | 有电梯', '中楼层(共34层)2009年建板塔结合  -  海洋公园', '150万', '单价13158元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploada1311abf-95b5-4e04-8efd-276d9ea1be2a.jpg.296x216.jpg', '天府新区 麓山大道 伯爵山精装双拼别墅 满二', '伯爵山   | 双拼别墅 | 5室2厅 | 320.09平米 | 南 北 | 其他 | 无电梯', '4层2011年建板塔结合  -  海洋公园', '750万', '单价23431元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9e9c5507-4fc7-4e94-82af-b39469a7da5d.png.296x216.jpg', '总价低的套二，自住巴适，小区地段好，天府大道旁边', '双华麓港  | 2室1厅 | 79.89平米 | 东南 | 其他 | 有电梯', '低楼层(共26层)2009年建板塔结合  -  南湖', '120万', '单价15021元/平米')
('https://image1.ljcdn.com/510100-inspection/61c5e141-5f19-496d-9e49-161ec58b4f23.jpg.296x216.jpg', '佳兆业君汇上品套套三装修房+视野开阔+看房预约房东', '佳兆业君汇上品  | 3室2厅 | 115平米 | 东北 | 其他 | 有电梯', '高楼层(共38层)2013年建板塔结合  -  南湖', '198万', '单价17218元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f4974a94-247b-48d6-a614-7390babe7c57.png.296x216.jpg', '万科海悦汇城西区套二 户型反正', '万科海悦汇城西区  | 2室2厅 | 61.84平米 | 南 | 其他 | 有电梯', '高楼层(共35层)2015年建板楼  -  海洋公园', '120万', '单价19405元/平米')
('https://image1.ljcdn.com/510100-inspection/0c52861f-cbc5-4f6d-962f-2af6d54d0198.jpg.296x216.jpg', '宏达世纪锦城中庭套二不临街             朝南', '宏达世纪锦城  | 2室2厅 | 84.6平米 | 南 | 其他 | 有电梯', '低楼层(共32层)2012年建板楼  -  海洋公园', '160万', '单价18913元/平米')
('https://image1.ljcdn.com/510100-inspection/test-750085e6-44f6-49f2-a6f1-3c417d9ef166.png.296x216.jpg', '万科海悦汇城东区户型方正采光好', '万科海悦汇城东区  | 2室2厅 | 60平米 | 东 | 其他 | 有电梯', '中楼层(共34层)2014年建板楼  -  海洋公园', '130万', '单价21667元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploadaadab4cd-f85c-49c6-9855-b7d554e606e5.JPG.296x216.jpg', '蜀郡 装修套二 中间位置 小区干净舒适 适合居住', '蜀郡  | 2室2厅 | 85.03平米 | 北 | 精装 | 有电梯', '中楼层(共26层)2010年建塔楼  -  华阳', '165万', '单价19405元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0c1d2d1c-6241-452e-8e34-2f51e8752e95.png.296x216.jpg', '金城花园跃层社区 一楼带前后花园 装修保养不错户型好', '金城花园跃层社区  | 3室2厅 | 127.27平米 | 南 | 其他', '低楼层(共5层)2000年建板楼  -  南湖', '139万', '单价10922元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ca11bc2f-b030-4e35-a341-603408798f85.png.296x216.jpg', '雅居乐花园一期  中庭位置装修套三', '雅居乐花园  | 3室2厅 | 126.87平米 | 南 | 其他 | 有电梯', '高楼层(共18层)2009年建板楼  -  雅居乐', '170万', '单价13400元/平米')
('https://image1.ljcdn.com/510100-inspection/14a776d5-53bd-4771-a908-970fcb53ef35.jpg.296x216.jpg', '麓山国际逸翠谷精准小独栋.不临路花园大', '麓山国际逸翠谷   | 叠拼别墅 | 4室2厅 | 226平米 | 南 北 | 其他 | 无电梯', '下叠(共3层)2005年建暂无数据  -  麓山', '1000万', '单价44248元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c35fcc61-8795-4b79-b090-62c784513f88.png.296x216.jpg', '天府新区 华阳 成南领寓  1室1卫', '成南领寓  | 1室0厅 | 54.16平米 | 南 | 其他 | 有电梯', '低楼层(共31层)2008年建板楼  -  南湖', '48.7万', '单价8992元/平米')
('https://image1.ljcdn.com/510100-inspection/test-142cb49c-6d9a-430a-8d8a-afe28ddb1066.png.296x216.jpg', '鑫苑鑫都汇  套三单卫，对中庭视野好', '鑫苑鑫都汇南区  | 3室2厅 | 75.1平米 | 东 | 其他', '高楼层(共25层)板塔结合  -  南湖', '138万', '单价18376元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploadcf47b60f-e20b-4f6c-ac60-66c23f72430e.jpg.296x216.jpg', '南湖左岸 3室2厅 清水 江景房 带清风除霾系统 带车位', '南湖左岸  | 3室2厅 | 99.8平米 | 北 | 毛坯', '高楼层(共23层)板楼  -  南湖', '165万', '单价16534元/平米')
('https://image1.ljcdn.com/510100-inspection/5ec2bcc3-bbfe-48b2-8401-7ffd28ad10c1.JPG.296x216.jpg', '麓山国际  清水 独栋别墅 香怡林 带大平台 大花园', '麓山国际香怡林  | 4室3厅 | 301平米 | 东南 | 其他 | 无电梯', '低楼层(共3层)2011年建板楼  -  麓山', '1500万', '单价49834元/平米')
('https://image1.ljcdn.com/510100-inspection/test-25e6effb-e216-4f4d-b132-71b45db5007e.png.296x216.jpg', '中信城套二，户型方正，随时看房', '中信城左岸  | 2室1厅 | 70.98平米 | 东北 | 毛坯 | 有电梯', '高楼层(共32层)板塔结合  -  南湖', '132万', '单价18597元/平米')
('https://image1.ljcdn.com/510100-inspection/test-726a541c-851b-4d02-b1dd-eec4eba2404e.png.296x216.jpg', '府新区，电梯多层（总层高6层），框架结构', '凯莱丽景雅筑  | 3室2厅 | 143.35平米 | 南 北 | 其他 | 有电梯', '低楼层(共6层)2007年建板楼  -  华阳', '170万', '单价11860元/平米')
('https://image1.ljcdn.com/510100-inspection/b18ddff9-3cf1-4d22-a31f-0c33195b40d7.jpg.296x216.jpg', '蜀郡叠拼别墅 清水房 无增值税 带花园', '蜀郡   | 叠拼别墅 | 5室2厅 | 263.66平米 | 南 | 毛坯 | 无电梯', '下叠(共3层)2010年建暂无数据  -  华阳', '505万', '单价19154元/平米')
('https://image1.ljcdn.com/510100-inspection/test-927103dc-63d6-4d94-8391-9d56d559d33f.png.296x216.jpg', '宏达世纪锦城  精装套二   视野好', '宏达世纪锦城  | 2室1厅 | 83.95平米 | 北 | 其他 | 有电梯', '中楼层(共39层)2012年建板楼  -  海洋公园', '145万', '单价17273元/平米')
('https://image1.ljcdn.com/510100-inspection/3cc6dbd4-cc01-4f24-87fd-62ad8eafbf15.JPG.296x216.jpg', '该房子中低间楼层，清水，户型方正，居住方便舒适！', '青南美湾  | 4室1厅 | 122.29平米 | 南 | 其他 | 有电梯', '中楼层(共18层)板楼  -  海洋公园', '200万', '单价16355元/平米')
('https://image1.ljcdn.com/510100-inspection/test-bd820eb1-78f5-4416-998a-693cc69344a5.png.296x216.jpg', '套二通透户型 客厅对中庭 带阳台 带家电家具 拎包入住', '左岸花都  | 2室2厅 | 93.33平米 | 西 | 其他 | 无电梯', '高楼层(共6层)2003年建板楼  -  华阳', '145万', '单价15537元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploade2838ec3-7f0c-4edd-98b5-e4789afc590e.JPG.296x216.jpg', '利通出水芙蓉  套三  带装修', '利通出水芙蓉  | 3室1厅 | 79.86平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2005年建板楼  -  华阳', '129万', '单价16154元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f0c1402d-b968-47b9-85a6-80bcbcdf51b6.png.296x216.jpg', '欣宇都市港湾                带装修套二', '欣宇都市港湾  | 2室1厅 | 88.8平米 | 南 | 其他 | 有电梯', '中楼层(共11层)2010年建板楼  -  南湖', '145万', '单价16329元/平米')
('https://image1.ljcdn.com/510100-inspection/7f3cc9ec-f698-4652-aa19-2c136614721d.jpg.296x216.jpg', '天府新区 装修套三 带大花园 满两年', '黄金海岸  | 3室1厅 | 149.5平米 | 南 | 其他 | 无电梯', '低楼层(共6层)2003年建板楼  -  华阳', '240万', '单价16054元/平米')
('https://image1.ljcdn.com/510100-inspection/test-fab38787-ad2e-4de4-919e-1d5691362079.png.296x216.jpg', '南湖国际社区清水套三双卫             看中庭', '南湖国际社区  | 3室2厅 | 129.98平米 | 南 | 其他 | 有电梯', '高楼层(共34层)2010年建板楼  -  南湖', '230万', '单价17696元/平米')
('https://image1.ljcdn.com/510100-inspection/test-07947121-99c4-4754-8286-71710c6c7de2.png.296x216.jpg', '亮点1：位置安静2：户型方正，无浪费3：满2年无增值税', '恒大名都  | 3室2厅 | 109.16平米 | 西 | 其他 | 有电梯', '高楼层(共31层)2012年建板楼  -  海洋公园', '165万', '单价15116元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e24dd8cd-ece0-469b-ade0-36ff5f83f5f0.png.296x216.jpg', '蓝山美树套四清水带180平米花园', '蓝山美树  | 4室2厅 | 159.29平米 | 东南 | 其他 | 无电梯', '中楼层(共5层)2009年建板楼  -  海洋公园', '350万', '单价21973元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload60991b14-0210-422a-be16-ac38c1dc84f6.jpg.296x216.jpg', '南延线蔚蓝卡地亚 上叠精装别墅 通透户型 视野开阔', '南延线蔚蓝卡地亚  | 5室2厅 | 289.43平米 | 西南 | 其他 | 有电梯', '高楼层(共8层)2015年建板楼  -  海洋公园', '830万', '单价28678元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5ab03443-1670-406e-89ed-50b8ded98a32.png.296x216.jpg', '东茂商居 套二单卫 有装修 有家具家电', '东茂商居  | 2室1厅 | 80.1平米 | 西南 | 其他', '低楼层(共6层)板楼  -  南湖', '90万', '单价11236元/平米')
('https://image1.ljcdn.com/510100-inspection/ee1f703e-b4cc-411f-90fb-a11b00439993.jpg.296x216.jpg', '新鸿基悦城套三双卫带装修出售，看海洋公园。', '新鸿基悦城  | 3室2厅 | 143.89平米 | 北 | 其他 | 有电梯', '低楼层(共31层)2011年建板塔结合  -  海洋公园', '306万', '单价21267元/平米')
('https://image1.ljcdn.com/510100-inspection/8ee7bcd1-1fc4-4ddf-8c65-284ccab1587f.JPG.296x216.jpg', '恒大天府半岛带装修别墅 带家具家电 看房提前预约', '恒大天府半岛   | 双拼别墅 | 5室2厅 | 346.48平米 | 南 | 其他 | 无电梯', '3层2015年建暂无数据  -  锦江生态带', '890万', '单价25687元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9aafdd8d-7de5-4bfd-99f1-e5260b144a66.png.296x216.jpg', '洛森堡清水套二，高楼层，视野开阔', '洛森堡  | 2室1厅 | 83.85平米 | 东南 | 其他 | 有电梯', '高楼层(共34层)2009年建板楼  -  海洋公园', '142万', '单价16936元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4f379d65-dc54-473a-a849-d427bcccd844.png.296x216.jpg', '天府新区 戛纳湾滨江河景房 精装套三', '戛纳湾滨江  | 3室1厅 | 89.19平米 | 东南 | 精装 | 有电梯', '高楼层(共32层)2010年建板楼  -  华阳', '165万', '单价18500元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploadc67766ed-9d95-4d13-bc04-f70f3266a923.jpg.296x216.jpg', '戛纳湾畔满两年简装套二，户型方正，采光好', '戛纳湾畔  | 2室2厅 | 78.39平米 | 东 | 其他 | 有电梯', '中楼层(共19层)2006年建板楼  -  华阳', '135万', '单价17222元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8c73c60b-3a84-4cd2-9eb0-2f0985e645eb.png.296x216.jpg', '洛森堡清水套二，楼层高，视野开阔', '洛森堡  | 2室2厅 | 87.94平米 | 东南 | 其他 | 有电梯', '高楼层(共34层)2009年建板塔结合  -  海洋公园', '135万', '单价15352元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploade760dc24-c80d-43f4-b4d4-e46e00f3efc6.jpg.296x216.jpg', '新鸿基悦城，套三，带装修，带阳台。', '新鸿基悦城  | 3室2厅 | 149.55平米 | 南 | 其他 | 有电梯', '低楼层(共31层)2015年建板塔结合  -  海洋公园', '255万', '单价17052元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3c31e855-6dfa-4f53-b966-657dd41b61dd.png.296x216.jpg', '宏达世纪锦城 带家具家电  带入户花园、客厅大阳台', '宏达世纪锦城  | 3室2厅 | 98.16平米 | 南 | 精装 | 有电梯', '高楼层(共32层)2012年建板楼  -  海洋公园', '210万', '单价21394元/平米')
('https://image1.ljcdn.com/510100-inspection/3d4c4571-b54a-4cca-9911-cc6e708a35ea.jpg.296x216.jpg', '天府新区七间公寓打通，办公装修出售', '景茂城果  | 1室0厅 | 36.27平米 | 东 | 其他 | 有电梯', '低楼层(共25层)2012年建塔楼  -  华阳', '57.3万', '单价15799元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7d04b0ae-3892-4062-b146-6836d1c562d3.png.296x216.jpg', '戛纳湾金棕榈两室一厅一卫 带装修可拎包入住！', '戛纳湾金棕榈  | 2室1厅 | 75.3平米 | 北 | 其他 | 有电梯', '高楼层(共32层)2016年建板塔结合  -  华阳', '140万', '单价18593元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploadff434f1e-e659-4063-b733-0816ad56d4eb.JPG.296x216.jpg', '顺江苑 套三双卫 有储物间 采光好 看河景', '顺江苑  | 3室2厅 | 130.5平米 | 南 | 其他', '高楼层(共6层)板楼  -  南湖', '115万', '单价8813元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e5fb14d4-7d4a-4a5c-b574-4617565c9aa0.png.296x216.jpg', '天府新区 心怡德盛苑 套四双卫 无装修', '心怡德盛苑  | 4室2厅 | 166.9平米 | 南 | 其他 | 有电梯', '高楼层(共11层)2007年建板楼  -  四河', '260万', '单价15579元/平米')
('https://image1.ljcdn.com/510100-inspection/test-17c3d6f8-5681-487e-854e-2f22737a675a.png.296x216.jpg', '金茂光明城市 2室2厅 145万', '金茂光明城市  | 2室2厅 | 78.39平米 | 南 | 其他 | 有电梯', '中楼层(共27层)2016年建板塔结合  -  华阳', '145万', '单价18498元/平米')
('https://image1.ljcdn.com/510100-inspection/18074ef5-e0bf-456e-979b-e307f5ef0f9b.jpg.296x216.jpg', '香草山别墅 户型方正 端头位置', '雅居乐花园香草山   | 联排别墅 | 4室2厅 | 254.67平米 | 北 | 其他 | 无电梯', '3层2011年建暂无数据  -  雅居乐', '430万', '单价16885元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload9d9f0af7-da22-40a9-a4ea-89bb02d1a356.jpg.296x216.jpg', '南湖国际套四，户型方正，安静不临街。', '南湖国际社区  | 4室2厅 | 129平米 | 北 | 其他 | 有电梯', '低楼层(共34层)2010年建板楼  -  南湖', '245万', '单价18993元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8b124d90-3c6a-4c96-8d7e-6b9b558a9145.png.296x216.jpg', '青南美湾套二单卫带装修位置安静', '青南美湾  | 2室2厅 | 77.81平米 | 东南 | 其他 | 有电梯', '中楼层(共18层)板楼  -  海洋公园', '128万', '单价16451元/平米')
('https://image1.ljcdn.com/510100-inspection/776d6093-dff1-4524-9039-eae848a92a9e.jpg.296x216.jpg', '天府新区华阳南湖瑞升橡树林华府套二简装修', '瑞升橡树林华府  | 2室2厅 | 73.27平米 | 南 | 其他', '高楼层(共26层)板楼  -  南湖', '132万', '单价18016元/平米')
('https://image1.ljcdn.com/510100-inspection/6bc572e3-23d7-4969-9b5b-acdde76d6eaf.jpg.296x216.jpg', '南阳盛世 装修顶跃 中庭不临街', '南阳盛世二期  | 6室2厅 | 185平米 | 南 | 其他 | 有电梯', '高楼层(共29层)2011年建板塔结合  -  南湖', '285万', '单价15406元/平米')
('https://image1.ljcdn.com/510100-inspection/efb7bef3-935c-4d09-b0d0-fa9480adcd15.jpg.296x216.jpg', '天府新区小面积公寓出售，7间打通稳重办公风格', '景茂城果  | 1室0厅 | 35.3平米 | 东 | 其他 | 有电梯', '低楼层(共25层)2012年建塔楼  -  华阳', '55.8万', '单价15808元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploadf2de0a68-7e17-40ed-8cc1-5d3d339a8be6.jpg.296x216.jpg', '阳光城半山悦中叠4房3卫，1梯2户，指纹入户，满2年', '阳光城半山悦  | 4室2厅 | 240.09平米 | 东南 | 其他', '中楼层(共6层)板楼  -  海洋公园', '520万', '单价21659元/平米')
('https://image1.ljcdn.com/510100-inspection/231f08c0-987b-445f-abad-9211807b978d.jpg.296x216.jpg', '洛森堡映山麓山大道一段630号装修套三。', '洛森堡  | 3室2厅 | 117平米 | 东 | 其他 | 有电梯', '高楼层(共34层)2009年建板楼  -  海洋公园', '190万', '单价16240元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploadc1bb9966-2dee-4e50-9f0d-43ee6084373b.jpg.296x216.jpg', '中信城 套二 有装修 有采光，视野开阔', '中信城左岸  | 2室2厅 | 71.27平米 | 东南 | 精装 | 有电梯', '高楼层(共33层)塔楼  -  南湖', '147万', '单价20626元/平米')
('https://image1.ljcdn.com/510100-inspection/df318234-0709-47fa-a8ef-1a1168af48cf.jpg.296x216.jpg', '南湖左岸＋户型方正＋主卧带阳台', '南湖左岸  | 2室1厅 | 73.64平米 | 南 | 其他 | 有电梯', '高楼层(共21层)2015年建板塔结合  -  南湖', '133万', '单价18061元/平米')
('https://image1.ljcdn.com/510100-inspection/test-216ed4db-f1a8-4e7e-9598-812957395e8d.png.296x216.jpg', '天府新区 多层框架 中间楼层 南北向 安静', '锦官丽城亲水湾  | 3室2厅 | 140.98平米 | 西北 | 精装 | 无电梯', '中楼层(共6层)2006年建板楼  -  华阳', '220万', '单价15606元/平米')
('https://image1.ljcdn.com/510100-inspection/3c0e7046-6ccb-4243-9712-c0ea4d6b5acd.jpg.296x216.jpg', '南湖国际社区 套3.........', '南湖国际社区  | 3室2厅 | 161.6平米 | 东 | 其他 | 有电梯', '高楼层(共34层)2010年建板楼  -  南湖', '258万', '单价15966元/平米')
('https://image1.ljcdn.com/510100-inspection/test-223f3f7e-5455-4889-95d0-37ec1e3eeadd.png.296x216.jpg', '三室两厅双卫，户型格局方正规整，对中庭，安静！', '美城悦荣府  | 3室2厅 | 97.18平米 | 南 北 | 其他 | 有电梯', '中楼层(共34层)2017年建板塔结合  -  华阳', '200万', '单价20581元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploade4d65666-cdef-4c49-9dd3-117692ff28de.JPG.296x216.jpg', '双华麓港 不临天府大道 有装修套二', '双华麓港  | 2室2厅 | 71.17平米 | 南 | 其他 | 有电梯', '低楼层(共26层)2009年建板塔结合  -  南湖', '135万', '单价18969元/平米')
('https://image1.ljcdn.com/510100-inspection/test-65001448-8460-4377-a22b-1496e1f8fc90.png.296x216.jpg', '天府新区 套二 清水 双阳台 满五 无抵押', '正大新区  | 2室2厅 | 72.5平米 | 南 | 其他', '中楼层(共5层)暂无数据  -  南湖', '65万', '单价8966元/平米')
('https://image1.ljcdn.com/510100-inspection/test-45c8cd8b-9336-44ca-83f5-1de55ecefc2b.png.296x216.jpg', '套三双卫 带装修带水暖 位置安静 带双阳台 随时看房', '阳光华苑  | 3室2厅 | 113.13平米 | 西 | 简装 | 无电梯', '中楼层(共5层)2008年建板楼  -  华阳', '192万', '单价16972元/平米')
('https://image1.ljcdn.com/510100-inspection/627ee797-cd8b-4fdb-b694-47b20c4019b7.JPG.296x216.jpg', '坡地联排别墅 带花园 带前后两车位 3+1的结构', '和泓半山二期  | 3室2厅 | 258.22平米 | 西南 | 毛坯 | 无电梯', '低楼层(共2层)2014年建暂无数据  -  锦江生态带', '366万', '单价14174元/平米')
('https://image1.ljcdn.com/510100-inspection/c1921b93-4e87-4071-9784-28fef01d544d.jpg.296x216.jpg', '麓山国际圣芭芭拉地中海风格 清水叠上', '麓山国际圣芭芭拉   | 叠拼别墅 | 4室2厅 | 237.82平米 | 南 | 其他 | 无电梯', '下叠(共5层)2010年建暂无数据  -  麓山', '480万', '单价20184元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ee4bcec6-68ec-49d4-8e9c-291a3e004be1.png.296x216.jpg', '天府大道 海昌路地铁口 随时看房 精装全齐', '宏达世纪锦城  | 1室1厅 | 68.77平米 | 东 | 其他 | 有电梯', '低楼层(共32层)2012年建板楼  -  海洋公园', '120万', '单价17450元/平米')
('https://image1.ljcdn.com/510100-inspection/e6cd329a-89a4-4ea8-9958-4a6d1452cf13.jpg.296x216.jpg', '精装套三单卫，带家具家电，带车位', '宏达世纪锦城  | 3室1厅 | 98.9平米 | 西南 | 其他 | 有电梯', '中楼层(共32层)2012年建板楼  -  海洋公园', '210万', '单价21234元/平米')
('https://image1.ljcdn.com/510100-inspection/0b571055-0e0e-4276-8181-72bce5d98eee.JPG.296x216.jpg', '独栋别墅， 清水房、 带大花园', '麓山国际香怡林   | 独栋别墅 | 4室2厅 | 335.67平米 | 东南 | 其他 | 无电梯', '3层2011年建板楼  -  麓山', '1600万', '单价47666元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8184d898-b9a3-44ab-bced-cd8ed09ad085.png.296x216.jpg', '套三单卫    清水房   户型方正', '中信城左岸  | 3室2厅 | 90平米 | 东 | 其他 | 有电梯', '低楼层(共33层)塔楼  -  南湖', '140万', '单价15556元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload3be37e5c-5e02-4ecf-8a4c-0f0d8bae3cf6.jpg.296x216.jpg', '南湖带保姆间户型满2 年中间楼层可以随你的喜好来装修', '南湖国际社区  | 3室1厅 | 131.35平米 | 北 | 其他 | 有电梯', '中楼层(共34层)2010年建板楼  -  南湖', '230万', '单价17511元/平米')
('https://image1.ljcdn.com/510100-inspection/8ba58833-6671-4b4f-be40-89462d6816b4.jpg.296x216.jpg', '天府新区 南阳盛世 装修套三 满两年  接受贷款', '南阳盛世  | 3室2厅 | 116.63平米 | 东 | 其他 | 有电梯', '高楼层(共29层)2011年建板塔结合  -  南湖', '188万', '单价16120元/平米')
('https://image1.ljcdn.com/510100-inspection/bda62969-b778-4aa9-8143-568ddeaf278e.jpg.296x216.jpg', '万科东区三居室，开发商装修，户型方正不浪费。', '万科海悦汇城东区  | 3室2厅 | 104.59平米 | 西北 | 其他 | 有电梯', '中楼层(共48层)2014年建板楼  -  海洋公园', '158万', '单价15107元/平米')
('https://image1.ljcdn.com/510100-inspection/292a8d83-457e-473e-9b9b-70031e2f5282.jpg.296x216.jpg', '洛森堡映山   套二  出租装修', '洛森堡  | 2室1厅 | 83.85平米 | 东南 | 其他 | 有电梯', '低楼层(共34层)2009年建板楼  -  海洋公园', '136万', '单价16220元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d5faa18b-a89c-47e0-8537-9e87def2c5bc.png.296x216.jpg', '天府新区恒大名都  套三双卫双阳台', '恒大名都  | 3室1厅 | 106.62平米 | 西南 | 其他 | 有电梯', '高楼层(共32层)2012年建板楼  -  海洋公园', '190万', '单价17821元/平米')
