('https://image1.ljcdn.com/340100-inspection/b57f6a55-d3aa-4bf1-bbda-2762eb7c789a.jpg.296x216.jpg', '永和家园，简装，业主诚心急售。', '永和家园  | 3室2厅 | 94.75平米 | 南 | 其他', '中楼层(共11层)2008年建板楼  -  长宁', '125万', '单价13193元/平米')
('https://image1.ljcdn.com/340100-inspection/91883253-314b-419d-a1c8-7c5815cbcd03.jpg.296x216.jpg', '为你而选为你为家 顶间花园 环境好 楼层佳 位置好', '顶间花园  | 4室2厅 | 173.33平米 | 南 北 | 其他', '高楼层(共18层)2005年建塔楼  -  天乐', '240万', '单价13847元/平米')
('https://image1.ljcdn.com/340100-inspection/616958f3-30db-4eba-9c48-b5479f2ff70d.jpg.296x216.jpg', '精装两房，采光充足，配套成熟，交通便利，诚心出售', '金濠优活城  | 2室1厅 | 68.98平米 | 南 | 其他', '低楼层(共28层)2012年建塔楼  -  天乐', '108万', '单价15657元/平米')
('https://image1.ljcdn.com/340100-inspection/f1a7053b-c03f-41a3-aa7c-3a328b300c1b.jpg.296x216.jpg', '圣联香御公馆 2室1厅 89万', '圣联香御公馆  | 2室1厅 | 54平米 | 西 | 精装', '高楼层(共30层)2016年建塔楼  -  兴园', '89万', '单价16482元/平米')
('https://image1.ljcdn.com/340100-inspection/6d0f1400-0004-43e2-aacb-bc8e50dddfc6.jpg.296x216.jpg', '澜溪镇 花园洋房 户型方正 采光充足 位置好 毛坯', '澜溪镇  | 3室2厅 | 164.74平米 | 南 北 | 其他', '低楼层(共5层)2008年建板楼  -  天乐', '400万', '单价24281元/平米')
('https://image1.ljcdn.com/340100-inspection/200a1d87-321e-4e2d-bc92-71463fa55bda.jpg.296x216.jpg', '此房是业主自住精装修。采光无遮挡。西边套', '保利梧桐语  | 2室1厅 | 60平米 | 南 | 其他', '高楼层(共18层)2016年建板楼  -  蜀麓', '110万', '单价18334元/平米')
('https://image1.ljcdn.com/340100-inspection/270546dd-b2c2-4154-8dbd-e0aa16028a0f.jpg.296x216.jpg', '百商悦澜山 改善三房 户型正气 南北通透 采光好', '百商悦澜山  | 3室2厅 | 119.91平米 | 南 北 | 其他', '高楼层(共34层)2015年建塔楼  -  兴园', '163万', '单价13594元/平米')
('https://image1.ljcdn.com/340100-inspection/40d2044f-6dd1-4478-b018-8303eab6208a.jpg.296x216.jpg', '永和家园 2室1厅 110万', '永和家园  | 2室1厅 | 78平米 | 南 | 其他', '中楼层(共26层)2008年建板楼  -  长宁', '110万', '单价14103元/平米')
('https://image1.ljcdn.com/340100-inspection/61bff974-ffa8-46a2-8014-4bb42259a5f9.jpg.296x216.jpg', '为你而选为你为家 和一花园 纯毛坯 满二', '和一花园  | 5室2厅 | 149平米 | 南 北 | 其他', '高楼层(共24层)2010年建塔楼  -  兴园', '190万', '单价12752元/平米')
('https://image1.ljcdn.com/340100-inspection/3174f7da-65e5-4e6c-8898-1c14acf100f1.jpg.296x216.jpg', '桂花园精装三居室 小区环境好 交通便利', '绿城桂花园  | 3室2厅 | 111.8平米 | 南 | 其他', '低楼层(共11层)2009年建板楼  -  天乐', '246万', '单价22004元/平米')
('https://image1.ljcdn.com/340100-inspection/d5d1c10d-09a5-463f-8e60-5c16abacebf4.jpg.296x216.jpg', '淮矿馥邦天下精装两房 户型方正 业主诚售', '淮矿馥邦天下  | 2室2厅 | 68.23平米 | 北 | 精装', '低楼层(共30层)2015年建板塔结合  -  兴园', '118万', '单价17295元/平米')
('https://image1.ljcdn.com/340100-inspection/test-b3f1c7ca-07cd-4c06-b109-5ce8c0918dac.png.296x216.jpg', '新华御湖上园一居室，动静分离，户型方正，格局鲜明', '新华御湖上园  | 1室1厅 | 48平米 | 北 | 其他', '低楼层(共23层)塔楼  -  蜀麓', '63万', '单价13125元/平米')
('https://image1.ljcdn.com/340100-inspection/8031b658-cc50-42f3-bc9b-d3316d95b121.jpg.296x216.jpg', '为你而选为你为家 绿城桂花园 环境优美 满两年', '绿城桂花园  | 2室2厅 | 88.96平米 | 南 | 其他', '中楼层(共11层)2009年建板楼  -  天乐', '180.5万', '单价20291元/平米')
('https://image1.ljcdn.com/340100-inspection/72549e54-23ec-4209-85f8-8cdd898f029b.jpg.296x216.jpg', '乔治庄园别墅 不临街 高绿化 带车位 蜀山脚下', '绿地乔治庄园   | 联排别墅 | 6室4厅 | 592平米 | 南 | 其他', '3层2012年建暂无数据  -  蜀麓', '1100万', '单价18582元/平米')
('https://image1.ljcdn.com/340100-inspection/650ba01b-1448-4237-8cfa-704714ee7010.jpg.296x216.jpg', '为你而选为你为家 徽商城市风景 标准一室一厅一厨一卫', '徽商城市风景  | 1室1厅 | 51.36平米 | 东 北 | 其他', '中楼层(共16层)2008年建塔楼  -  天乐', '82万', '单价15966元/平米')
('https://image1.ljcdn.com/340100-inspection/1b4c0fae-f035-4c3d-a63a-8d5430330e18.jpg.296x216.jpg', '岭湖墅，精装两房，满两年少税，中间楼层，采光视野好', '岭湖墅  | 2室1厅 | 76.39平米 | 南 | 其他', '18层2015年建暂无数据  -  蜀麓', '158万', '单价20684元/平米')
('https://image1.ljcdn.com/340100-inspection/33cd1df6-e74b-4142-8a17-ca423d2278e0.jpg.296x216.jpg', '永和家园 3室2厅 120万', '永和家园  | 3室2厅 | 91.78平米 | 东 | 其他', '低楼层(共11层)2008年建板楼  -  长宁', '120万', '单价13075元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload38e5bdcc-d085-49e1-9186-0fa407a73bb1.jpg.296x216.jpg', '澜溪镇 观景房 顶楼复式 赠送三个大露台 业主诚售', '澜溪镇  | 4室2厅 | 206.94平米 | 南 北 | 毛坯', '高楼层(共5层)2008年建板楼  -  天乐', '413万', '单价19958元/平米')
('https://image1.ljcdn.com/340100-inspection/ed8d3db3-fbfa-43e4-8e7c-06da04bd439a.jpg.296x216.jpg', '精装三房满五唯一看房方便诚意出售中高楼层采光好', '永和家园  | 3室2厅 | 104.37平米 | 东 | 其他', '高楼层(共11层)2008年建板楼  -  长宁', '145万', '单价13893元/平米')
('https://image1.ljcdn.com/340100-inspection/94787924-0996-4181-84b2-538dd2227082.jpg.296x216.jpg', '永和家园 户型方正 高楼层，视野开阔', '永和家园  | 2室2厅 | 63.15平米 | 南 | 其他', '高楼层(共11层)2008年建板楼  -  长宁', '86万', '单价13619元/平米')
('https://image1.ljcdn.com/340100-inspection/a0851274-9991-47b9-b3ab-1f4d5715eb2a.jpg.296x216.jpg', '此房满五年是正规一居室客厅卧室分离，采光好楼栋好', '兴园小区北区  | 1室1厅 | 46平米 | 南 | 其他', '高楼层(共6层)2005年建板楼  -  兴园', '72万', '单价15653元/平米')
('https://image1.ljcdn.com/340100-inspection/e2662c1f-48b3-4133-b08e-541562b317e9.jpg.296x216.jpg', '为你而选为你为家 绿城桂花园 环境优美 满两年', '绿城桂花园  | 2室2厅 | 87.5平米 | 东 北 | 其他', '中楼层(共11层)2009年建板楼  -  天乐', '183.7万', '单价20995元/平米')
('https://image1.ljcdn.com/340100-inspection/c849e38f-24f7-460e-bfba-deb00d8225cb.jpg.296x216.jpg', '为你而选为你为家 精装单身公寓 配套齐全 交通便利', '新西茗阁  | 1室1厅 | 36.86平米 | 北 | 精装', '中楼层(共30层)2012年建塔楼  -  天乐', '53万', '单价14379元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploaddb32f081-64b7-42f2-bc89-49f0e84cc9d5.jpg.296x216.jpg', '为你而选为你为家 蜀湖湾 多层三房 南北通 中等装修', '蜀湖湾小区  | 3室2厅 | 92.77平米 | 南 北 | 其他', '低楼层(共6层)2014年建板楼  -  天乐', '156万', '单价16816元/平米')
('https://image1.ljcdn.com/340100-inspection/9f987a8e-66de-4983-93c1-7aa792ed1f2d.jpg.296x216.jpg', '精装修   绿城桂花园三室两厅  一楼精装修 品质小区', '绿城桂花园  | 3室2厅 | 165平米 | 南 北 | 其他', '低楼层(共5层)2006年建板楼  -  天乐', '385万', '单价23334元/平米')
('https://image1.ljcdn.com/340100-inspection/37a7caaf-d294-4805-94d9-595fd892d016.jpg.296x216.jpg', '永和家园简装三房，户型方正，满两年少税费！', '永和家园  | 3室2厅 | 94平米 | 南 | 其他', '中楼层(共11层)2008年建板楼  -  长宁', '126万', '单价13405元/平米')
('https://image1.ljcdn.com/340100-inspection/8c3e2228-23bd-42d0-915b-3e7bd7b6ca3b.jpg.296x216.jpg', '高新区御景城，一楼带院子大洋房，下沉式庭院。', '御景城  | 5室2厅 | 194.7平米 | 南 北 | 其他', '低楼层(共11层)2016年建塔楼  -  兴园', '295万', '单价15152元/平米')
('https://image1.ljcdn.com/340100-inspection/bfba557a-44f3-4495-be1b-848419bbe572.jpg.296x216.jpg', '博澳丽苑 边户三房 主卧带阳台 楼间距大 采光好 诚售', '博澳丽苑  | 3室1厅 | 93.16平米 | 南 | 其他', '低楼层(共31层)2009年建塔楼  -  天乐', '145万', '单价15565元/平米')
('https://image1.ljcdn.com/340100-inspection/5e65d798-580a-405b-8214-39342c4155f1.jpg.296x216.jpg', '阳光御湖苑  采光充足 户型方正 精装修 拎包入住', '阳光御湖苑  | 1室1厅 | 55.47平米 | 南 | 其他', '中楼层(共26层)2014年建塔楼  -  长宁', '90万', '单价16225元/平米')
('https://image1.ljcdn.com/340100-inspection/26b7c992-e8d8-4ffc-977a-56d2f90af739.jpg.296x216.jpg', '博澳丽苑 精装两房朝南 带阳台 楼层视野好 诚售', '博澳丽苑  | 2室2厅 | 96.27平米 | 南 | 其他', '低楼层(共31层)2009年建塔楼  -  天乐', '140万', '单价14543元/平米')
('https://image1.ljcdn.com/340100-inspection/8dee1a93-e420-4954-b7ad-b363796df6d7.jpg.296x216.jpg', '为你而选为你为家 新西茗阁 满两年 精装单身公寓', '新西茗阁  | 1室1厅 | 36.86平米 | 北 | 精装', '中楼层(共30层)2012年建塔楼  -  天乐', '53万', '单价14379元/平米')
('https://image1.ljcdn.com/340100-inspection/a7d1b3f9-e3cd-4cae-9013-acac5ad4f3ac.jpg.296x216.jpg', '海棠湾毛坯大三房 两房朝南厅朝南 边套全明户型', '蓝鼎海棠湾  | 3室2厅 | 135.8平米 | 南 | 其他', '高楼层(共36层)2013年建塔楼  -  天乐', '268万', '单价19735元/平米')
('https://image1.ljcdn.com/340100-inspection/6d499d6c-150c-4ef6-bfc4-4632c692c14e.jpg.296x216.jpg', '海亮九玺，精装六十万，视野开阔，全天采光，户型方正', '海亮九玺  | 4室2厅 | 159.65平米 | 南 北 | 其他', '高楼层(共34层)2016年建塔楼  -  蜀麓', '260万', '单价16286元/平米')
('https://image1.ljcdn.com/340100-inspection/8bffe5c7-c636-4541-bb51-5aba188bed48.jpg.296x216.jpg', '为你而选为你为家 拓基城市广场 刚需两房 楼层好', '拓基城市广场  | 2室1厅 | 76.11平米 | 南 | 其他', '中楼层(共17层)2010年建板楼  -  天乐', '140万', '单价18395元/平米')
('https://image1.ljcdn.com/340100-inspection/fc35ecfb-0644-4cf4-9e5a-aba166fe9f2a.jpg.296x216.jpg', '高新 安医附院 科大讯飞 创新产业园 永和家园精装三室', '永和家园  | 3室2厅 | 104平米 | 南 北 | 其他', '高楼层(共11层)2008年建板楼  -  长宁', '152万', '单价14616元/平米')
('https://image1.ljcdn.com/340100-inspection/d3d9f5ad-8acf-4413-b1b9-a44dd6be8f36.jpg.296x216.jpg', '百商悦澜山 满两年 毛坯三房 采光视野无遮挡', '百商悦澜山  | 3室2厅 | 97.34平米 | 南 北 | 毛坯', '高楼层(共40层)2015年建塔楼  -  兴园', '165万', '单价16951元/平米')
('https://image1.ljcdn.com/340100-inspection/9671f891-37ca-4eee-b71a-627ca848db25.jpg.296x216.jpg', '户型方正 采光好 视野好 位置安静', '百商现代名苑  | 2室2厅 | 80平米 | 南 | 其他', '高楼层(共18层)2011年建塔楼  -  兴园', '140万', '单价17500元/平米')
('https://image1.ljcdn.com/340100-inspection/test-f89a0cf5-60ac-41cc-a542-1fa3e1ef5a0a.png.296x216.jpg', '新华御湖上园毛坯两居室 中高层采光好 主卧朝南', '新华御湖上园  | 2室1厅 | 74平米 | 南 | 其他', '高楼层(共23层)塔楼  -  蜀麓', '125万', '单价16892元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload1a9a991a-58a0-46ed-b373-3f0dc11c86e8.jpg.296x216.jpg', '为你而选为你为家和一花园舒适三房 楼层好 位置好', '和一花园  | 3室2厅 | 120.55平米 | 南 北 | 其他', '低楼层(共18层)2010年建塔楼  -  兴园', '180万', '单价14932元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload8dd6d376-a52f-4080-b06d-6340494be0c0.jpg.296x216.jpg', '为你而选为你为家 香御公馆一居室 中间楼层 采光好', '圣联香御公馆  | 1室1厅 | 35.9平米 | 北 | 其他', '中楼层(共30层)2016年建塔楼  -  兴园', '50万', '单价13928元/平米')
('https://image1.ljcdn.com/340100-inspection/e437835c-0a6e-428a-9cde-bec41e6b2813.jpg.296x216.jpg', '嶺湖墅经典大四房，南北通透，景观房', '岭湖墅   | 联排别墅 | 4室1厅 | 141.98平米 | 南 北 | 其他', '18层2015年建暂无数据  -  蜀麓', '280万', '单价19722元/平米')
('https://image1.ljcdn.com/340100-inspection/409a373f-86bc-4c2b-9ed6-121db5d598e0.jpg.296x216.jpg', '此房南北通透格局 ，采光很好 户型方正。', '保利西山林语  | 4室2厅 | 320平米 | 南 北 | 其他', '低楼层(共8层)板塔结合  -  蜀麓', '530万', '单价16563元/平米')
('https://image1.ljcdn.com/340100-inspection/e07b4de7-89e0-46c9-8446-75433f6a8762.jpg.296x216.jpg', '为你而选为你为家 园景天下 两房朝南 环境好 采光好', '园景天下  | 2室2厅 | 87.74平米 | 南 北 | 其他', '中楼层(共6层)2000年建板楼  -  天乐', '160万', '单价18236元/平米')
('https://image1.ljcdn.com/340100-inspection/73245d6d-c61c-467f-a5a0-04c05a1665dc.jpg.296x216.jpg', '为你而选为你为家 望园小区好户型 通风效果好', '望园小区  | 3室2厅 | 120平米 | 南 | 其他', '高楼层(共6层)2002年建板楼  -  天乐', '178万', '单价14834元/平米')
('https://image1.ljcdn.com/340100-inspection/d853177a-7f49-4686-a7db-45f926979e9d.jpg.296x216.jpg', '精装修户型方正，交通便利。房东诚心出售。', '景尚名郡  | 1室1厅 | 42.13平米 | 东 北 | 其他', '中楼层(共27层)2012年建板楼  -  兴园', '67万', '单价15904元/平米')
('https://image1.ljcdn.com/340100-inspection/47ae5896-2672-43f7-8a29-3dfa2b368e4c.jpg.296x216.jpg', '澜溪镇 3室2厅 290万', '澜溪镇  | 3室2厅 | 136.25平米 | 南 北 | 其他', '中楼层(共5层)2008年建板楼  -  天乐', '290万', '单价21285元/平米')
('', '新华御湖上园 1室1厅 75万', '新华御湖上园  | 1室1厅 | 46.05平米 | 北 | 简装', '高楼层(共23层)塔楼  -  蜀麓', '75万', '单价16287元/平米')
('https://image1.ljcdn.com/340100-inspection/61a26ba3-d036-459e-a875-862d9280203c.jpg.296x216.jpg', '为你而选为你为家 博澳丽苑精装1室 家电齐全 交通方便', '博澳丽苑  | 1室1厅 | 55平米 | 南 | 其他', '高楼层(共31层)2009年建塔楼  -  天乐', '75万', '单价13637元/平米')
('https://image1.ljcdn.com/340100-inspection/f7c6a155-4431-4cf5-92ce-692500859507.jpg.296x216.jpg', '永和家园 2室1厅 110万', '永和家园  | 2室1厅 | 78.37平米 | 南 | 其他', '低楼层(共26层)2008年建板楼  -  长宁', '110万', '单价14036元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload9a7ea6c3-0d5c-4b61-911a-caf7a60e8413.jpg.296x216.jpg', '为你而选为你为家 国轩精装小户型', '国轩K西嘉  | 1室0厅 | 31.29平米 | 北 | 其他', '中楼层(共18层)2008年建塔楼  -  天乐', '45万', '单价14382元/平米')
('https://image1.ljcdn.com/340100-inspection/95cde2f5-583c-4060-8d72-a088c0294a9a.jpg.296x216.jpg', '澜溪镇 蜀山脚下 环境优美 适合居家  空气清新', '绿地乔治庄园  | 4室2厅 | 259.94平米 | 南 北 | 其他', '高楼层(共7层)2012年建板楼  -  蜀麓', '510万', '单价19620元/平米')
('https://image1.ljcdn.com/340100-inspection/b7b59565-a602-4d3e-8802-9f263207e363.jpg.296x216.jpg', '瑞和山水居 精装两房 单价低 户型好 采光充足', '瑞和山水居  | 2室1厅 | 86.1平米 | 南 | 简装', '中楼层(共33层)2012年建塔楼  -  兴园', '110万', '单价12776元/平米')
('https://image1.ljcdn.com/340100-inspection/68c477c4-1b30-41e9-a35c-4af7b5fbfdfa.jpg.296x216.jpg', '为你而选为你为家 高新瑞和山水居大一居 户型好纯住宅', '瑞和山水居  | 1室1厅 | 53.84平米 | 东 | 其他', '中楼层(共33层)2012年建塔楼  -  兴园', '70万', '单价13002元/平米')
('https://image1.ljcdn.com/340100-inspection/c06826a5-56cd-4c0b-8877-17e2207fc4d1.jpg.296x216.jpg', '为你而选为你为你 两室干净舒适 环境优美商业配套齐全', '梦园小区  | 2室2厅 | 97.75平米 | 南 北 | 简装', '中楼层(共6层)2002年建板楼  -  天乐', '182万', '单价18619元/平米')
('https://image1.ljcdn.com/340100-inspection/test-0a150720-0be1-43d2-bb7c-12e9a046ccb6.png.296x216.jpg', '祥源城 3室2厅 197万', '祥源城  | 3室2厅 | 96.45平米 | 南 | 其他', '中楼层(共33层)2017年建塔楼  -  长宁', '197万', '单价20426元/平米')
('https://image1.ljcdn.com/340100-inspection/919b288f-cdd1-4c82-8290-b034ba1575c2.jpg.296x216.jpg', '电梯洋房，交通便利，楼层好，采光好', '景尚名郡  | 3室2厅 | 103平米 | 南 北 | 其他', '低楼层(共28层)2012年建塔楼  -  兴园', '195万', '单价18933元/平米')
('', '新华御湖上园 4室2厅 780万', '新华御湖上园   | 联排别墅 | 4室2厅 | 264平米 | 南 北 | 其他', '3层暂无数据  -  蜀麓', '780万', '单价29546元/平米')
('', '旭辉湖山源著 5室2厅 620万', '旭辉湖山源著   | 联排别墅 | 5室2厅 | 253平米 | 南 北 | 其他', '3层暂无数据  -  蜀麓', '620万', '单价24506元/平米')
('https://image1.ljcdn.com/340100-inspection/e8651fef-9f32-43b7-9017-258dc9c87bad.jpg.296x216.jpg', '和一花园 精装两房 拎包入住 房本时间满两年看房方便', '和一花园  | 2室2厅 | 89.92平米 | 南 北 | 其他', '中楼层(共24层)2010年建塔楼  -  兴园', '150万', '单价16682元/平米')
('https://image1.ljcdn.com/340100-inspection/ce348bd9-0ba0-49e3-8a9e-3068d0cb9c48.jpg.296x216.jpg', '国轩K西嘉 满二 小型一居 业主诚售', '国轩K西嘉  | 1室1厅 | 26.48平米 | 北 | 其他', '高楼层(共18层)2008年建塔楼  -  天乐', '41万', '单价15484元/平米')
('https://image1.ljcdn.com/340100-inspection/1a29720c-e8ac-4366-b022-16b948276f40.jpg.296x216.jpg', '为你而选为你为家 小区环境佳 位置安静 业主诚心出售', '蜀南庭苑  | 3室2厅 | 92平米 | 南 | 其他', '高楼层(共6层)2008年建板楼  -  蜀麓', '130万', '单价14131元/平米')
('https://image1.ljcdn.com/340100-inspection/d7cd7b0a-e599-4a9e-8b08-bdbd69ee867c.jpg.296x216.jpg', '为你而选为你为家 绿城桂花园精装3房 中间位置 诚心售', '绿城桂花园  | 3室2厅 | 150.99平米 | 南 北 | 其他', '中楼层(共9层)2005年建板楼  -  天乐', '360万', '单价23843元/平米')
('https://image1.ljcdn.com/340100-inspection/dc84080e-f225-41f0-9954-1411e16bef05.jpg.296x216.jpg', '精装两房，两卧朝南，采光充足，配套齐全，业主诚售', '金濠优活城  | 2室1厅 | 67.24平米 | 西北 | 其他', '低楼层(共28层)2012年建塔楼  -  天乐', '108万', '单价16062元/平米')
('https://image1.ljcdn.com/340100-inspection/30aba295-9c0f-4936-bbf6-e1deed61c822.jpg.296x216.jpg', '简装两房 配套成熟 交通便利 业主诚售', '金濠优活城  | 2室2厅 | 67.24平米 | 南 | 其他', '低楼层(共28层)2012年建塔楼  -  天乐', '105万', '单价15616元/平米')
('https://image1.ljcdn.com/340100-inspection/ac853263-03c6-41df-aa82-bb3d8b46855d.jpg.296x216.jpg', '为你而选为你为家 和一花园毛坯3房 小区中间位置安静', '和一花园  | 3室2厅 | 114平米 | 南 | 其他', '低楼层(共18层)2010年建塔楼  -  兴园', '163万', '单价14299元/平米')
('https://image1.ljcdn.com/340100-inspection/2885a092-439f-4cd8-9e23-3591a93db72a.jpg.296x216.jpg', '博澳丽苑 精装修三房 采光好 楼间距大', '博澳丽苑  | 3室1厅 | 118.41平米 | 南 北 | 其他', '高楼层(共31层)2009年建塔楼  -  天乐', '172万', '单价14526元/平米')
('https://image1.ljcdn.com/340100-inspection/a5d19cf2-da99-4ca2-ab44-6af17364c80c.jpg.296x216.jpg', '蜀南庭苑 1室1厅 65万', '蜀南庭苑  | 1室1厅 | 47.86平米 | 南 | 其他', '高楼层(共6层)2008年建板楼  -  蜀麓', '65万', '单价13582元/平米')
('https://image1.ljcdn.com/340100-inspection/d81b218d-5f6d-44f6-a2f3-7f418dca695e.jpg.296x216.jpg', '永和家园满两年一室户型，业主诚心出售', '永和家园  | 1室1厅 | 48.7平米 | 南 | 其他', '中楼层(共11层)2008年建板楼  -  长宁', '68万', '单价13964元/平米')
('https://image1.ljcdn.com/340100-inspection/b24dd098-578c-4e44-be03-e328de14506c.jpg.296x216.jpg', '和一花园 4室2厅 185万', '和一花园  | 4室2厅 | 142.12平米 | 南 北 | 其他', '高楼层(共24层)2010年建塔楼  -  兴园', '185万', '单价13018元/平米')
('https://image1.ljcdn.com/340100-inspection/a6f58982-e098-4fde-aeac-feaff6795885.jpg.296x216.jpg', '为你而选为你为家 徽商城市风景 楼层好 交通方便', '徽商城市风景  | 3室2厅 | 124.87平米 | 南 北 | 其他', '高楼层(共16层)2008年建塔楼  -  天乐', '226万', '单价18099元/平米')
('https://image1.ljcdn.com/340100-inspection/f4e54adf-3e67-4e2b-abaa-6b2c3bc70e29.jpg.296x216.jpg', '成套住宅，地理位置好，交通便捷', '国轩K西嘉  | 1室0厅 | 27.29平米 | 北 | 其他', '中楼层(共18层)2008年建塔楼  -  天乐', '37万', '单价13559元/平米')
('https://image1.ljcdn.com/340100-inspection/b670f8a6-3fc0-4483-804d-fca0d0929e9b.jpg.296x216.jpg', '为你而选为你为家 徽商城市风景 诚心出售', '徽商城市风景  | 3室2厅 | 137.45平米 | 南 北 | 其他', '低楼层(共11层)2008年建塔楼  -  天乐', '242万', '单价17607元/平米')
('https://image1.ljcdn.com/340100-inspection/dc768010-89bb-44af-a2e1-329dd8393047.jpg.296x216.jpg', '为你为选为你为家 白帝海棠南北通透两房 业主诚售', '白帝海棠小区  | 2室2厅 | 84.04平米 | 南 北 | 其他', '低楼层(共6层)2009年建板楼  -  兴园', '145万', '单价17254元/平米')
('https://image1.ljcdn.com/340100-inspection/46b6cc4b-0161-4885-bc00-3569e9250525.jpg.296x216.jpg', '为你而选为你为家 徽商优山美地 精装一室 满两年', '徽商优山美地  | 1室1厅 | 58.78平米 | 东南 | 其他', '低楼层(共31层)2014年建塔楼  -  天乐', '85万', '单价14461元/平米')
('https://image1.ljcdn.com/340100-inspection/ed1079d2-c32b-46ef-b420-58a8ab3c79dc.jpg.296x216.jpg', '为你而选为你为家高新区和一花园精装两房满五年', '和一花园  | 3室2厅 | 128.59平米 | 南 北 | 其他', '中楼层(共18层)2010年建塔楼  -  兴园', '180万', '单价13998元/平米')
('https://image1.ljcdn.com/340100-inspection/f840f1fb-13fb-459b-b2c2-ae2f26a4444a.jpg.296x216.jpg', '淮矿馥邦天下 2室2厅 168万', '淮矿馥邦天下  | 2室2厅 | 87.77平米 | 南 | 其他', '高楼层(共33层)2015年建塔楼  -  兴园', '168万', '单价19141元/平米')
('https://image1.ljcdn.com/340100-inspection/d13cbeb4-de4d-449b-997a-0e798b3c76b8.jpg.296x216.jpg', '大蜀山森林公园旁边 独立别墅  诚心出售', '海亮九台别墅   | 独栋别墅 | 5室2厅 | 360平米 | 南 | 其他', '3层暂无数据  -  蜀麓', '550万', '单价15278元/平米')
('https://image1.ljcdn.com/340100-inspection/d2b67c6c-3ad7-4530-a048-842ab67183d3.jpg.296x216.jpg', '为你而选为你为家 金濠优活城 标准一居室 拎包入住', '金濠优活城  | 1室1厅 | 40平米 | 北 | 其他', '中楼层(共28层)2012年建塔楼  -  天乐', '62万', '单价15500元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload28d10ba0-9edb-4822-a156-29c93bd39a89.jpg.296x216.jpg', '博澳丽苑 1室1厅 99万', '博澳丽苑  | 1室1厅 | 66.02平米 | 南 | 其他', '高楼层(共30层)2009年建塔楼  -  天乐', '99万', '单价14996元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadbfc6961c-fe2a-44bb-88f1-919634fd66af.jpg.296x216.jpg', '为你而选为你为家 国轩 毛坯3房 采光不影响', '国轩K西嘉  | 3室2厅 | 131.1平米 | 南 北 | 其他', '低楼层(共12层)2008年建板楼  -  天乐', '195万', '单价14875元/平米')
('https://image1.ljcdn.com/340100-inspection/7ae6b92f-7c53-477b-ba82-c5a37b60e181.jpg.296x216.jpg', '国轩K西嘉 南北通透三房边户 居家装修 楼层采光好', '国轩K西嘉  | 3室1厅 | 118.34平米 | 南 北 | 其他', '低楼层(共18层)2008年建塔楼  -  天乐', '200万', '单价16901元/平米')
('https://image1.ljcdn.com/340100-inspection/9110731e-042c-4989-81b2-319fc18eb866.jpg.296x216.jpg', '为你而选为你为家  博澳丽苑 精装两房 采光充足 诚售', '博澳丽苑  | 3室2厅 | 118.46平米 | 南 | 其他', '高楼层(共31层)2009年建塔楼  -  天乐', '165万', '单价13929元/平米')
('https://image1.ljcdn.com/340100-inspection/6707885f-2334-49c7-b086-8862623e3ffc.jpg.296x216.jpg', '户型方正 南北通透 交通便利 配套成熟', '徽商城市风景  | 3室2厅 | 138平米 | 南 北 | 其他', '低楼层(共11层)2008年建塔楼  -  天乐', '232万', '单价16812元/平米')
('https://image1.ljcdn.com/340100-inspection/41e88dba-f093-4ba7-b0e7-1b115910e762.jpg.296x216.jpg', '为你而选为你而家 优山美地 精装一居室 交通便利 诚售', '徽商优山美地  | 1室1厅 | 58.78平米 | 南 | 简装', '高楼层(共31层)2014年建塔楼  -  天乐', '82万', '单价13951元/平米')
('https://image1.ljcdn.com/340100-inspection/691ded44-6ec8-4d43-a53f-bdf85b7e8127.jpg.296x216.jpg', '为你而选为你家  绿城桂花园 环境优美 楼层好', '绿城桂花园  | 2室2厅 | 84.09平米 | 东南 | 其他', '中楼层(共11层)2009年建板楼  -  天乐', '190万', '单价22595元/平米')
('https://image1.ljcdn.com/340100-inspection/fc5a316a-36b6-4441-9c05-75341bbe9fb9.jpg.296x216.jpg', '海亮九玺 3室2厅 215万', '海亮九玺  | 3室2厅 | 111.9平米 | 南 | 其他', '低楼层(共34层)2016年建塔楼  -  蜀麓', '215万', '单价19214元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload42ac2725-7bd7-49a3-a95b-64d4e00f4b5a.jpg.296x216.jpg', '九台别墅 依山傍水 空气好 环境好 轨道交通 银泰城', '海亮九台别墅   | 联排别墅 | 4室3厅 | 359.75平米 | 南 北 | 其他', '3层暂无数据  -  蜀麓', '520万', '单价14455元/平米')
('https://image1.ljcdn.com/340100-inspection/3e500147-fb9f-46be-bf3f-75d9605972a6.jpg.296x216.jpg', '为你而选为你为家 金濠优活城 中装一居 刚需房诚售', '金濠优活城  | 1室1厅 | 39.06平米 | 北 | 其他', '高楼层(共28层)2012年建塔楼  -  天乐', '62万', '单价15874元/平米')
