('https://image1.ljcdn.com/440600-inspection/8b97ab30-9e17-43de-af59-711f2161936b.jpg.296x216.jpg', '利豪名郡 2室2厅 145万', '利豪名郡  | 2室2厅 | 83.7平米 | 南 | 简装', '高楼层(共17层)2011年建塔楼  -  澜石', '145万', '单价17324元/平米')
('https://image1.ljcdn.com/440600-inspection/f58e206b-f761-49e2-84e1-f999e5e5ac1f.jpg.296x216.jpg', '岭南天地尚苑 3室2厅 364.8万', '岭南天地尚苑  | 3室2厅 | 152平米 | 东 南 | 其他', '中楼层(共36层)2015年建塔楼  -  祖庙', '364.8万', '单价24000元/平米')
('https://image1.ljcdn.com/440600-inspection/290a8a68-9929-4198-9ca7-84d6aa0dd77b.jpg.296x216.jpg', '华远西小区 大四房 厅出阳台装修保养好', '华远西小区  | 4室2厅 | 147.83平米 | 南 | 简装', '低楼层(共8层)1999年建塔楼  -  季华', '230万', '单价15559元/平米')
('https://image1.ljcdn.com/440600-inspection/babb4896-726a-42cc-a92d-e78bbbbed002.jpg.296x216.jpg', '碧云天 电梯3房 格局方正 近广佛线', '碧云天  | 3室2厅 | 126平米 | 北 | 简装', '高楼层(共11层)2003年建塔楼  -  魁奇', '226.8万', '单价18000元/平米')
('https://image1.ljcdn.com/440600-inspection/f3802dba-5a4d-45bd-a9be-a2992a91cb07.jpg.296x216.jpg', '红棉雅苑 3房2厅 175万元', '红棉雅苑  | 3室2厅 | 103平米 | 南 | 精装', '中楼层(共8层)2006年建塔楼  -  亲仁', '175万', '单价16991元/平米')
('https://image1.ljcdn.com/440600-inspection/68790639-5509-4c5e-b911-307944b87349.jpg.296x216.jpg', '季华金品尚院 2室2厅 148万', '季华金品尚院  | 2室2厅 | 77.92平米 | 西 | 其他', '低楼层(共17层)2012年建塔楼  -  朝安', '148万', '单价18994元/平米')
('https://image1.ljcdn.com/440600-inspection/1f1ac286-6a71-42a2-b9ab-f3453e839c71.jpg.296x216.jpg', '碧桂园城市花园中区 3室2厅 232.6万', '碧桂园城市花园中区  | 3室2厅 | 116.3平米 | 北 | 精装', '高楼层(共31层)2013年建板塔结合  -  澜石', '232.6万', '单价20000元/平米')
('https://image1.ljcdn.com/440600-inspection/bb7b79e5-bf69-4041-b41f-c5efa3f472dd.JPG.296x216.jpg', '时代云图 3房2厅 新装修出售', '时代云图苑  | 3室2厅 | 86平米 | 北 | 其他', '低楼层(共28层)2013年建塔楼  -  朝安', '175万', '单价20349元/平米')
('https://image1.ljcdn.com/440600-inspection/a7772162-9118-42e1-a15c-d617d5da04af.jpg.296x216.jpg', '星星华园国际 3室2厅 361.1万', '星星华园国际  | 3室2厅 | 157平米 | 南 北 | 精装', '高楼层(共29层)2013年建塔楼  -  季华', '361.1万', '单价23000元/平米')
('https://image1.ljcdn.com/440600-inspection/f67e0d0a-626d-4bf4-baa7-f8fad212efcf.jpg.296x216.jpg', '桂园小区 3室2厅 96.5万', '桂园小区  | 3室2厅 | 97平米 | 南 | 精装', '低楼层(共7层)板楼  -  南桂西', '96.5万', '单价9949元/平米')
('https://image1.ljcdn.com/440600-inspection/7d4b61d7-bffa-4e02-9437-cfa0eae52ada.jpg.296x216.jpg', '季华新景园 电梯4房', '季华新景园  | 4室2厅 | 152平米 | 东 西 | 精装', '高楼层(共15层)2000年建塔楼  -  季华', '230万', '单价15132元/平米')
('https://image1.ljcdn.com/440600-inspection/dcfeac42-8d50-4d90-a9aa-6557af5bb061.jpg.296x216.jpg', '依云上城 环境舒适', '依云上城  | 2室2厅 | 79平米 | 西南 | 毛坯', '高楼层(共31层)2012年建板塔结合  -  魁奇', '165万', '单价20887元/平米')
('https://image1.ljcdn.com/440600-inspection/e99f2300-5ada-4d75-9bb1-f2914e728757.jpg.296x216.jpg', '红强街散盘 2室1厅 50万', '红强街散盘  | 2室1厅 | 49.42平米 | 西北 | 其他', '高楼层(共8层)板楼  -  南桂西', '50万', '单价10118元/平米')
('https://image1.ljcdn.com/440600-inspection/ba8b8b19-3f7b-446d-96ec-0ee0540a2207.jpg.296x216.jpg', '鸿业hao庭 三房两厅 配套完善交通方便', '鸿业豪庭  | 3室2厅 | 152.56平米 | 南 北 | 简装', '中楼层(共30层)2008年建塔楼  -  同济', '220万', '单价14421元/平米')
('https://image1.ljcdn.com/440600-inspection/8357ec8e-ca21-44e7-8a87-75cf16cf3bc4.jpg.296x216.jpg', '锦隆花园 2房1厅 99万元', '锦隆花园  | 2室1厅 | 60平米 | 东北 | 简装', '中楼层(共13层)2012年建塔楼  -  福升', '99万', '单价16500元/平米')
('https://image1.ljcdn.com/440600-inspection/70db01a8-08b2-4d05-b0e2-72c761781d2c.jpg.296x216.jpg', '金地九珑璧 2室2厅 190万', '金地九珑璧  | 2室2厅 | 87平米 | 东 | 精装', '中楼层(共27层)2011年建塔楼  -  湖景', '190万', '单价21840元/平米')
('https://image1.ljcdn.com/440600-inspection/39053451-4bc7-4cc2-a502-bcab1969cf89.jpg.296x216.jpg', '燎原路散盘 2室1厅 92万', '燎原路散盘  | 2室1厅 | 79.79平米 | 东南 | 其他', '高楼层(共8层)2007年建板楼  -  祖庙', '92万', '单价11531元/平米')
('https://image1.ljcdn.com/440600-inspection/517b5b33-e215-4f41-8db3-f4f07e219abf.jpg.296x216.jpg', '金地九珑璧 5室2厅 481万', '金地九珑璧  | 5室2厅 | 185平米 | 东南 | 其他', '高楼层(共26层)2011年建塔楼  -  湖景', '481万', '单价26000元/平米')
('https://image1.ljcdn.com/440600-inspection/49ceaba0-8ef0-426f-9a00-979efdf948b5.jpg.296x216.jpg', '季华金品尚院 环境优美', '季华金品尚院  | 2室2厅 | 78平米 | 西 | 简装', '中楼层(共17层)2012年建塔楼  -  朝安', '160万', '单价20513元/平米')
('https://image1.ljcdn.com/440600-inspection/e6258ad7-1e88-4f8e-bdb4-814bb22005d8.jpg.296x216.jpg', '圣堂三街 大3房出售 多个阳台南北向', '圣堂街小区  | 3室2厅 | 102平米 | 南 | 其他', '中楼层(共6层)1995年建板楼  -  亲仁', '95万', '单价9314元/平米')
('https://image1.ljcdn.com/440600-inspection/9b026e56-fc57-47b0-a3cd-7a6fbe870981.jpg.296x216.jpg', '世博嘉园 方正三房 带平台 成熟小区', '世博嘉园三区  | 2室1厅 | 85平米 | 南 | 其他', '低楼层(共17层)2010年建塔楼  -  魁奇', '190万', '单价22353元/平米')
('https://image1.ljcdn.com/440600-inspection/4f4cc335-4f96-4513-ab0f-96d3cad625d9.jpg.296x216.jpg', '童梦天下 3室2厅 158万', '童梦天下  | 3室2厅 | 89平米 | 南 | 其他', '低楼层(共23层)2017年建塔楼  -  石湾', '158万', '单价17753元/平米')
('https://image1.ljcdn.com/440600-inspection/5201c2bc-a708-4714-bfe6-0687a9e3cb5f.JPG.296x216.jpg', '恒福国际商业中心 3室1厅 71.4万', '恒福国际商业中心  | 3室1厅 | 42平米 | 南 | 其他', '中楼层(共20层)塔楼  -  朝安', '71.4万', '单价17000元/平米')
('https://image1.ljcdn.com/440600-inspection/5b4474dd-6504-4b35-a771-b521239b2e7e.jpg.296x216.jpg', '滨海御庭 毛坯房', '滨海御庭  | 3室2厅 | 90平米 | 北 | 毛坯', '高楼层(共32层)2008年建塔楼  -  澜石', '168万', '单价18667元/平米')
('https://image1.ljcdn.com/440600-inspection/ec8f2318-8bb9-4f9b-a916-66dce4f181b7.jpg.296x216.jpg', '春晖阁 2室2厅 142.26万', '春晖阁  | 2室2厅 | 90.04平米 | 南 北 | 简装', '中楼层(共11层)板楼  -  张槎', '142.3万', '单价15800元/平米')
('https://image1.ljcdn.com/440600-inspection/a9c657b2-2239-4570-a116-830976ea9977.jpg.296x216.jpg', '绿景轩 3室2厅 160万', '绿景轩  | 3室2厅 | 108平米 | 南 | 简装', '高楼层(共19层)2002年建塔楼  -  绿景', '160万', '单价14815元/平米')
('https://image1.ljcdn.com/440600-inspection/bcc187f0-f824-410f-8a03-41499fb3eb46.jpg.296x216.jpg', '普君新城 电梯三房出售', '普君新城  | 3室2厅 | 103平米 | 南 北 | 其他', '中楼层(共31层)2010年建塔楼  -  祖庙', '180万', '单价17476元/平米')
('https://image1.ljcdn.com/440600-inspection/9f16e727-dcd4-4771-b609-e9853b48514a.jpg.296x216.jpg', '丽日豪庭 成熟小区', '丽日豪庭  | 3室2厅 | 138平米 | 南 北 | 其他', '中楼层(共12层)2002年建塔楼  -  魁奇', '250万', '单价18116元/平米')
('https://image1.ljcdn.com/440600-inspection/b8099141-39fd-4fc4-804d-a33e3473d118.jpg.296x216.jpg', '星星凯旋国际 3室2厅 205万', '星星凯旋国际  | 3室2厅 | 89.7平米 | 北 | 毛坯', '中楼层(共31层)2015年建塔楼  -  朝安', '205万', '单价22854元/平米')
('https://image1.ljcdn.com/440600-inspection/395fd2b4-ec75-42f7-a17c-9ea88583d8a6.jpg.296x216.jpg', '东建世纪广场 成熟配套 交通便利', '东建世纪广场  | 2室2厅 | 101.83平米 | 南 北 | 简装', '高楼层(共21层)2004年建塔楼  -  季华', '150万', '单价14731元/平米')
('https://image1.ljcdn.com/440600-inspection/0e24b1b1-2c17-4c54-8501-feb9609fe54f.jpg.296x216.jpg', '侨都花园 3房2厅 182万元', '侨都花园  | 3室2厅 | 137平米 | 东南 | 简装', '中楼层(共10层)1999年建塔楼  -  季华', '176万', '单价12847元/平米')
('https://image1.ljcdn.com/440600-inspection/b6803805-85ea-4c3d-99a2-830c6e847c19.JPG.296x216.jpg', '鸿业城市花园 2室2厅 200万', '鸿业城市花园  | 2室2厅 | 108.26平米 | 南 | 其他', '中楼层(共25层)2011年建塔楼  -  湖景', '200万', '单价18475元/平米')
('https://image1.ljcdn.com/440600-inspection/ed42e15e-40fe-4804-8e95-4e28d1e453ca.JPG.296x216.jpg', '金地九珑璧二期一区 2室2厅 250万', '金地九珑璧二期一区  | 2室2厅 | 90平米 | 南 | 其他', '中楼层(共29层)暂无数据  -  湖景', '250万', '单价27778元/平米')
('https://image1.ljcdn.com/440600-inspection/8229c83f-8b43-4d16-a7a3-ecfbd28aba2d.jpg.296x216.jpg', '恒福新城 2室2厅 164万', '恒福新城  | 2室2厅 | 82平米 | 西南 | 简装', '中楼层(共22层)2010年建塔楼  -  朝安', '164万', '单价20000元/平米')
('https://image1.ljcdn.com/440600-inspection/68d75cd1-c770-46df-a689-b697b70153d9.jpg.296x216.jpg', '滨海御庭 5房2厅 493.5万元', '滨海御庭  | 5室2厅 | 329平米 | 南 北 | 精装', '中楼层(共26层)2015年建塔楼  -  澜石', '493.5万', '单价15000元/平米')
('https://image1.ljcdn.com/440600-inspection/3bb46030-244d-4e6f-a595-fa62c82365fe.jpg.296x216.jpg', '世博嘉园 交通便利', '世博嘉园一区  | 3室2厅 | 108平米 | 北 | 简装', '高楼层(共23层)2010年建塔楼  -  魁奇', '200万', '单价18519元/平米')
('https://image1.ljcdn.com/440600-inspection/bc2edf27-06a6-4934-9264-ae13bfeaf627.jpg.296x216.jpg', '宏华新村 简单装修 2房2厅', '宏华新村  | 2室2厅 | 73平米 | 北 | 简装', '高楼层(共9层)2002年建塔楼  -  张槎', '58万', '单价7946元/平米')
('https://image1.ljcdn.com/440600-inspection/74ab6b03-7a1e-47b8-8c3d-3c1a243ef003.jpg.296x216.jpg', '保利香槟花园 电梯一房出售', '保利香槟花园  | 1室1厅 | 40.19平米 | 南 | 精装', '低楼层(共17层)2012年建塔楼  -  张槎', '64万', '单价15925元/平米')
('https://image1.ljcdn.com/440600-inspection/cb087281-4144-4551-94ef-0573c452fc8b.jpg.296x216.jpg', '华景苑 3室2厅 136万', '华景苑  | 3室2厅 | 105平米 | 南 | 其他', '中楼层(共8层)2000年建塔楼  -  季华', '136万', '单价12953元/平米')
('https://image1.ljcdn.com/440600-inspection/7dac26cc-b8b7-4ed7-bb31-a6fc2f23ec8f.jpg.296x216.jpg', '新鸿基泷景 电梯3+1房 北向望花园', '泷景花园  | 4室2厅 | 109.99平米 | 北 | 精装', '高楼层(共39层)塔楼  -  澜石', '200万', '单价18184元/平米')
('https://image1.ljcdn.com/440600-inspection/d7e99c60-07af-4863-a8ad-17d93b4ef5fd.jpg.296x216.jpg', '春晖阁 2室2厅 194.62万', '春晖阁  | 2室2厅 | 123.18平米 | 南 北 | 简装', '中楼层(共11层)板楼  -  张槎', '194.7万', '单价15800元/平米')
('https://image1.ljcdn.com/440600-inspection/34241b48-aed2-4722-820b-0236e6bc5a42.jpg.296x216.jpg', '龙光水悦龙湾 3室2厅 120万', '龙光水悦龙湾  | 3室2厅 | 88平米 | 南 | 毛坯', '低楼层(共30层)塔楼  -  南庄', '120万', '单价13637元/平米')
('https://image1.ljcdn.com/440600-inspection/22a2af79-c80f-43d9-aa78-d0cdf84750fb.jpg.296x216.jpg', '尚辉苑 装修4房', '尚辉苑  | 4室2厅 | 188.87平米 | 北 | 其他', '中楼层(共13层)2002年建塔楼  -  南桂西', '318万', '单价16837元/平米')
('https://image1.ljcdn.com/440600-inspection/608f0267-de2c-45dd-869b-cdffd5c25c27.jpg.296x216.jpg', '玫瑰园 三房出售', '玫瑰园  | 3室2厅 | 129平米 | 南 | 精装', '高楼层(共9层)2001年建塔楼  -  绿景', '180万', '单价13954元/平米')
('https://image1.ljcdn.com/440600-inspection/aa15bf34-034a-4e28-a352-9da84212e9c6.jpg.296x216.jpg', '卓远广场 3室2厅 148万', '卓远广场  | 3室2厅 | 89.8平米 | 南 北 | 其他', '高楼层(共31层)2016年建塔楼  -  石湾', '148万', '单价16482元/平米')
('https://image1.ljcdn.com/440600-inspection/bd89fc7c-63bf-49c6-aea6-2840391ec12d.jpg.296x216.jpg', '尚辉苑 三房', '尚辉苑  | 3室2厅 | 136平米 | 南 | 毛坯', '低楼层(共13层)2002年建塔楼  -  南桂西', '210万', '单价15442元/平米')
('https://image1.ljcdn.com/440600-inspection/67c8a796-ea04-45bb-9b0d-34fd386b3d8a.jpg.296x216.jpg', '涟岸 3室2厅 196万', '涟岸  | 3室2厅 | 127平米 | 北 | 其他', '中楼层(共32层)2017年建塔楼  -  南庄', '196万', '单价15434元/平米')
('https://image1.ljcdn.com/440600-inspection/9f259523-64df-44b2-8bb3-54b898d2ac10.jpg.296x216.jpg', '月亮湾 3室2厅 210万', '月亮湾  | 3室2厅 | 138.9平米 | 西 | 精装', '中楼层(共31层)2002年建塔楼  -  季华', '210万', '单价15119元/平米')
('https://image1.ljcdn.com/440600-inspection/bab8e2fc-fd82-48d9-ae6a-395356b39346.jpg.296x216.jpg', '唐园路 4室2厅 210万', '唐园路  | 4室2厅 | 183平米 | 南 北 | 精装', '中楼层(共7层)1996年建塔楼  -  唐园', '210万', '单价11476元/平米')
('https://image1.ljcdn.com/440600-inspection/a2b5ad7a-1faa-4606-a218-78bab31ffd2e.jpg.296x216.jpg', '越秀新势力 三房出售 南北向 采光好', '越秀可逸新势力  | 3室2厅 | 110平米 | 东北 | 精装', '中楼层(共32层)2016年建塔楼  -  南桂西', '220万', '单价20000元/平米')
('https://image1.ljcdn.com/440600-inspection/cedc128b-42e3-4668-a932-7bac3b03d9ca.jpg.296x216.jpg', '华阳嘉苑 环境好 带装修出售', '华阳嘉苑  | 3室2厅 | 90平米 | 北 | 精装', '中楼层(共31层)2016年建塔楼  -  湖景', '195万', '单价21667元/平米')
('https://image1.ljcdn.com/440600-inspection/cc910ec0-67b8-4597-befa-7cbfb0ea7ccc.jpg.296x216.jpg', '东方广场 两房出售 配套成熟', '东方广场  | 2室1厅 | 60平米 | 北 | 简装', '中楼层(共16层)2001年建塔楼  -  福升', '100万', '单价16667元/平米')
('https://image1.ljcdn.com/440600-inspection/234e8e97-a722-42b9-9673-7d01267a72aa.jpg.296x216.jpg', '铂顿国际公寓 1室1厅 120万', '铂顿国际公寓  | 1室1厅 | 54.44平米 | 东 | 其他', '低楼层(共13层)2012年建塔楼  -  祖庙', '120万', '单价22043元/平米')
('https://image1.ljcdn.com/440600-inspection/561e5be4-08a5-40d2-b98c-5ef29fdc3224.jpg.296x216.jpg', '新都会华庭 4室2厅 310万', '新都会华庭  | 4室2厅 | 166平米 | 东北 | 其他', '高楼层(共16层)2006年建塔楼  -  季华', '310万', '单价18675元/平米')
('https://image1.ljcdn.com/440600-inspection/f62306dd-6c7f-47de-a30a-c90eae098e45.jpg.296x216.jpg', '金地珑悦花园 正南向 望花园 户型方正', '金地珑悦  | 3室2厅 | 89平米 | 南 | 精装', '低楼层(共34层)2017年建塔楼  -  湖景', '190万', '单价21349元/平米')
('https://image1.ljcdn.com/440600-inspection/b2fa7318-daa0-4431-8da3-1948a30f611a.jpg.296x216.jpg', '禅城绿地中心 4室2厅 340万', '禅城绿地中心  | 4室2厅 | 142平米 | 南 北 | 毛坯', '高楼层(共33层)2015年建塔楼  -  朝安', '340万', '单价23944元/平米')
('https://image1.ljcdn.com/440600-inspection/f76c129d-9cdc-4039-94ba-5e61913e4c80.jpg.296x216.jpg', '锦隆花园 1房1厅 75.73万元', '锦隆花园  | 1室1厅 | 47.93平米 | 北 | 简装', '高楼层(共11层)2012年建塔楼  -  福升', '75.8万', '单价15801元/平米')
('https://image1.ljcdn.com/440600-inspection/e8b3cb99-4e1e-4a85-91dc-2897740815ce.jpg.296x216.jpg', '碧桂园城市花园 复式毛坯 空中别墅', '碧桂园城市花园中区  | 5室2厅 | 520平米 | 南 北 | 毛坯', '中楼层(共30层)2013年建板塔结合  -  澜石', '750万', '单价14424元/平米')
('https://image1.ljcdn.com/440600-inspection/6786582d-816f-4963-b7a5-4a79c19f3b74.jpg.296x216.jpg', '东方广场 配套成熟', '东方广场  | 2室2厅 | 87.57平米 | 南 北 | 精装', '中楼层(共23层)2001年建塔楼  -  福升', '160万', '单价18272元/平米')
('https://image1.ljcdn.com/440600-inspection/a433a846-491c-4700-908c-3c47e9b01913.jpg.296x216.jpg', '泷景花园 2室2厅 168万', '泷景花园  | 2室2厅 | 92.73平米 | 南 | 毛坯', '中楼层(共39层)塔楼  -  澜石', '168万', '单价18118元/平米')
('https://image1.ljcdn.com/440600-inspection/a8d2fa9b-11f8-464f-a07a-f0eec38cfbfc.jpg.296x216.jpg', '红棉大厦 电梯三房 配套齐全', '红棉苑  | 3室2厅 | 144平米 | 东南 | 简装', '低楼层(共21层)2001年建板楼  -  亲仁', '136.8万', '单价9500元/平米')
('https://image1.ljcdn.com/440600-inspection/32ccc3fd-50ac-4788-bba9-056cbf23254d.jpg.296x216.jpg', '惠景城小区惠景三街 3室2厅 132万', '惠景城小区惠景三街  | 3室2厅 | 95.76平米 | 南 | 其他', '中楼层(共8层)1998年建塔楼  -  绿景', '132万', '单价13785元/平米')
('https://image1.ljcdn.com/440600-inspection/aedd0e0d-1f3f-4234-93dd-84201aa2a1fd.jpg.296x216.jpg', '碧桂园城市花园中区 2室2厅 220万', '碧桂园城市花园中区  | 2室2厅 | 90.07平米 | 南 | 精装', '高楼层(共31层)2013年建板塔结合  -  澜石', '220万', '单价24426元/平米')
('https://image1.ljcdn.com/440600-inspection/5721b578-3e0c-483f-b1e2-7af91a2d5e39.jpg.296x216.jpg', '凯德天伦世嘉 1室1厅 60万', '凯德天伦世嘉  | 1室1厅 | 36.63平米 | 北 | 其他', '低楼层(共15层)2012年建塔楼  -  亲仁', '60万', '单价16381元/平米')
('https://image1.ljcdn.com/440600-inspection/e3728599-1747-44ed-88d9-306aa3e7745a.jpg.296x216.jpg', '中海文华熙岸新出二房二厅 带装修 户型方正', '中海文华熙岸  | 2室2厅 | 81.65平米 | 西北 | 其他', '高楼层(共34层)2010年建塔楼  -  湖景', '195万', '单价23883元/平米')
('https://image1.ljcdn.com/440600-inspection/325c7d27-848c-4efc-8c96-7ad8b5d067e0.jpg.296x216.jpg', '新鸿基泷景 毛坯房三房', '泷景花园  | 3室2厅 | 140.45平米 | 南 | 毛坯', '高楼层(共39层)塔楼  -  澜石', '238万', '单价16946元/平米')
('https://image1.ljcdn.com/440600-inspection/fd328d4e-0ce1-49f6-bebc-8c93c4242bf6.jpg.296x216.jpg', '铂顿国际公寓 一房一厅', '铂顿国际公寓  | 1室1厅 | 57平米 | 南 | 其他', '高楼层(共13层)2012年建塔楼  -  祖庙', '100万', '单价17544元/平米')
('https://image1.ljcdn.com/440600-inspection/064b82e7-71dd-4574-9232-2d2876002155.jpg.296x216.jpg', '保利天玺 1室0厅 56万', '保利天玺  | 1室0厅 | 42.59平米 | 南 | 其他', '高楼层(共31层)2013年建塔楼  -  岭南大道', '56万', '单价13149元/平米')
('https://image1.ljcdn.com/440600-inspection/f3c96788-38c1-4b43-831c-5bd27cefb968.jpg.296x216.jpg', '逸彩状元坊 2室1厅 100万', '逸彩状元坊  | 2室1厅 | 69平米 | 南 | 其他', '高楼层(共19层)2006年建塔楼  -  祖庙', '100万', '单价14493元/平米')
('https://image1.ljcdn.com/440600-inspection/ef175e68-82e5-47cd-8b11-dd663d8122de.jpg.296x216.jpg', '依云上城 二房改四房，装修好满五年', '依云上城  | 3室2厅 | 77.83平米 | 东南 | 其他', '高楼层(共31层)2012年建板塔结合  -  魁奇', '175万', '单价22485元/平米')
('https://image1.ljcdn.com/440600-inspection/d27d3fe0-7d1c-44b6-9fe9-b393fd921498.jpg.296x216.jpg', '龙光天湖华府 4室2厅 300万', '龙光天湖华府  | 4室2厅 | 115平米 | 南 北 | 其他', '中楼层(共40层)2015年建塔楼  -  湖景', '300万', '单价26087元/平米')
('https://image1.ljcdn.com/440600-inspection/e3e3a62a-3fcf-4f23-8b62-f2c2506fc03b.jpg.296x216.jpg', '星星华园国际 精装两房一厅', '星星华园国际公寓  | 2室1厅 | 55平米 | 东 | 其他', '低楼层(共31层)塔楼  -  季华', '83万', '单价15091元/平米')
('https://image1.ljcdn.com/440600-inspection/5e8bd420-f6ce-4e5c-8445-afc642fb0990.jpg.296x216.jpg', '保利香槟花园 电梯公寓 花园小区', '保利香槟花园公寓  | 1室1厅 | 57平米 | 南 | 毛坯', '高楼层(共17层)塔楼  -  张槎', '45.6万', '单价8000元/平米')
('https://image1.ljcdn.com/440600-inspection/15c515c9-294c-4b73-831b-eb9cf5a0afab.jpg.296x216.jpg', '长信东海银湾 交通方便', '长信东海银湾  | 3室2厅 | 80平米 | 北 | 其他', '低楼层(共32层)2015年建塔楼  -  朝安', '185万', '单价23125元/平米')
('https://image1.ljcdn.com/440600-inspection/fca5808a-0e17-4575-b528-01a5eb201592.jpg.296x216.jpg', '泷景花园 两房出售', '泷景花园  | 2室2厅 | 79.31平米 | 北 | 其他', '低楼层(共39层)塔楼  -  澜石', '147万', '单价18535元/平米')
('https://image1.ljcdn.com/440600-inspection/1235ff11-5648-4bde-ad97-67e97653927f.jpg.296x216.jpg', '星海岸 毛坯4房 五年唯一 南北通透 中等楼层 位置安静', '星海岸城市花园  | 4室2厅 | 125平米 | 南 北 | 毛坯', '高楼层(共23层)2012年建塔楼  -  澜石', '270万', '单价21600元/平米')
('https://image1.ljcdn.com/440600-inspection/fe1627dd-ef57-4446-bb77-63f2b64787d0.jpg.296x216.jpg', '丽日华庭 实用3房 格局方正', '丽日华庭  | 3室2厅 | 100.55平米 | 东 西 | 简装', '高楼层(共7层)2003年建板楼  -  魁奇', '133万', '单价13228元/平米')
('https://image1.ljcdn.com/440600-inspection/523d2418-4a91-4eee-ad66-06a9e3bb08ff.jpg.296x216.jpg', '保利香槟花园 1室1厅 68万', '保利香槟花园  | 1室1厅 | 40平米 | 北 | 其他', '中楼层(共16层)2012年建塔楼  -  张槎', '68万', '单价17000元/平米')
('https://image1.ljcdn.com/440600-inspection/5770159c-4864-4b24-9505-a3119b18378e.jpg.296x216.jpg', '卓远景峰  格局方正  精致装修  电梯洋房', '卓远景峰  | 1室1厅 | 45平米 | 东 | 精装', '低楼层(共20层)2016年建塔楼  -  石湾', '85万', '单价18889元/平米')
('https://image1.ljcdn.com/440600-inspection/cd4966fe-e1d1-436b-9ed8-7a66434627d3.jpg.296x216.jpg', '凯德天伦世嘉 2室2厅 160万', '凯德天伦世嘉  | 2室2厅 | 87.2平米 | 南 | 精装', '低楼层(共15层)2012年建塔楼  -  亲仁', '160万', '单价18349元/平米')
('https://image1.ljcdn.com/440600-inspection/21f30abb-d814-455e-803f-2252570f6e39.jpg.296x216.jpg', '柠檬时代 1室1厅 93万', '柠檬时代  | 1室1厅 | 60平米 | 北 | 其他', '高楼层(共17层)2010年建塔楼  -  南桂西', '93万', '单价15500元/平米')
('https://image1.ljcdn.com/440600-inspection/01024814-0f08-40ea-b064-8cb62b5dc9e5.jpg.296x216.jpg', '沿海馨庭 精装修三房 户型方正', '沿海馨庭  | 3室2厅 | 92平米 | 北 | 精装', '高楼层(共32层)2013年建塔楼  -  澜石', '175万', '单价19022元/平米')
('https://image1.ljcdn.com/440600-inspection/dc8aa61b-5cb5-4340-a2af-362c4f596b45.jpg.296x216.jpg', '汇银奥林匹克花园 4房2厅 345万元', '汇银奥林匹克花园  | 4室2厅 | 128平米 | 南 北 | 简装', '低楼层(共18层)2006年建塔楼  -  湖景', '345万', '单价26954元/平米')
('https://image1.ljcdn.com/440600-inspection/e3e3cff9-fd06-4eda-962f-d5a0bfbdc45e.jpg.296x216.jpg', '帝景蓝湾 1室1厅 48万', '帝景蓝湾  | 1室1厅 | 45平米 | 北 | 其他', '高楼层(共12层)2011年建塔楼  -  南庄', '48万', '单价10667元/平米')
('https://image1.ljcdn.com/440600-inspection/72b224cb-4d09-45b7-8450-e39807f4d9af.jpg.296x216.jpg', '保利香槟花园 3室2厅 169.68万', '保利香槟花园  | 3室2厅 | 89.31平米 | 南 | 其他', '中楼层(共16层)2012年建塔楼  -  张槎', '169.7万', '单价18999元/平米')
('https://image1.ljcdn.com/440600-inspection/48cef46a-f1e5-4068-b26c-acd682083d68.jpg.296x216.jpg', '金地珑悦花园 实用3房', '金地珑悦  | 3室2厅 | 89平米 | 南 | 毛坯', '低楼层(共32层)2017年建塔楼  -  湖景', '180万', '单价20225元/平米')
('https://image1.ljcdn.com/440600-inspection/6b05c6f0-0618-4315-842f-6eb44b337afa.jpg.296x216.jpg', '城门四街 2房出售 格局方正', '城门头小区  | 2室2厅 | 81平米 | 南 北 | 其他', '低楼层(共7层)1995年建板楼  -  亲仁', '70万', '单价8642元/平米')
('https://image1.ljcdn.com/440600-inspection/26643f5b-e597-4602-8cff-f3d9c9eb5bff.jpg.296x216.jpg', '侨晶花园 三房两厅', '侨晶花园  | 3室2厅 | 145.83平米 | 东南 | 其他', '中楼层(共23层)2000年建塔楼  -  祖庙', '165万', '单价11315元/平米')
('https://image1.ljcdn.com/440600-inspection/393dcb05-e785-49b5-9b0c-5833f5ccb1f2.jpg.296x216.jpg', '华南金谷 地理位置好', '敏捷华南金谷  | 1室1厅 | 45平米 | 南 | 其他', '中楼层(共14层)2017年建塔楼  -  汾江北', '45万', '单价10000元/平米')
('https://image1.ljcdn.com/440600-inspection/6ab0c9a4-1d95-4a7b-be61-a58253b20d12.jpg.296x216.jpg', '普澜二路 安静舒适 交通便利', '普澜二路  | 3室2厅 | 99.63平米 | 南 | 其他', '中楼层(共8层)2001年建塔楼  -  同济', '95万', '单价9536元/平米')
('https://image1.ljcdn.com/440600-inspection/70950f18-6231-4865-8a33-4d77972be50f.jpg.296x216.jpg', '逸彩美寓复式 电梯1房1厅1卫', '逸彩美寓  | 1室1厅 | 39平米 | 南 北 | 其他', '中楼层(共5层)2010年建塔楼  -  同济', '80万', '单价20513元/平米')
('https://image1.ljcdn.com/440600-inspection/36129b8c-daf7-455b-88c3-9b434605e4ea.jpg.296x216.jpg', '星星凯旋国际 3室2厅 193万', '星星凯旋国际  | 3室2厅 | 89平米 | 南 | 毛坯', '低楼层(共31层)2015年建塔楼  -  朝安', '193万', '单价21686元/平米')
