('https://image1.ljcdn.com/340100-inspection/f6c652fb-13e0-4b6b-9275-9ce8211bc4d4.JPG.296x216.jpg', '北城世纪城泽徽苑 3室2厅 127万', '北城世纪城泽徽苑  | 3室2厅 | 96.97平米 | 南 | 其他', '高楼层(共34层)2015年建塔楼  -  北城', '127万', '单价13097元/平米')
('https://image1.ljcdn.com/340100-inspection/07543dd3-6745-4537-b872-7d3649cf1d24.JPG.296x216.jpg', '恒大帝景三房朝南精装修业主急售全天采光', '恒大帝景  | 3室2厅 | 122平米 | 南 | 其他', '低楼层(共33层)2015年建塔楼  -  北城', '149万', '单价12214元/平米')
('https://image1.ljcdn.com/340100-inspection/f0a88e9d-49e4-4d0b-8927-364e7d563505.JPG.296x216.jpg', '北城世纪城吉徽苑 2室1厅 94万', '北城世纪城吉徽苑  | 2室1厅 | 77.89平米 | 南 | 其他', '高楼层(共33层)2013年建塔楼  -  北城', '94万', '单价12069元/平米')
('https://image1.ljcdn.com/340100-inspection/56de8a10-3c7e-4a50-afb9-722549a5bdc2.JPG.296x216.jpg', '恒泰米兰堡 1室1厅 42万', '恒泰米兰堡  | 1室1厅 | 39.83平米 | 西 | 其他', '高楼层(共18层)2012年建塔楼  -  北城', '42万', '单价10545元/平米')
('https://image1.ljcdn.com/340100-inspection/b7888364-50a4-43bb-8972-a23fbfae1a62.JPG.296x216.jpg', '半岛1号 7室6厅 539万', '半岛1号   | 联排别墅 | 7室6厅 | 395平米 | 南 | 其他', '3层2012年建暂无数据  -  北城', '539万', '单价13646元/平米')
('https://image1.ljcdn.com/340100-inspection/eea3fb8e-67cb-4b41-94e0-2bc2059e4b13.JPG.296x216.jpg', '北城世纪城康徽苑 3室2厅 109万', '北城世纪城康徽苑  | 3室2厅 | 96平米 | 南 | 其他', '高楼层(共34层)2015年建塔楼  -  北城', '109万', '单价11355元/平米')
('https://image1.ljcdn.com/340100-inspection/dd9ad088-24ea-4901-bb8c-04f345e3faa0.JPG.296x216.jpg', '恒大两房， 小区前排 ，采光好，中间楼层', '恒大帝景  | 2室1厅 | 83.91平米 | 南 | 其他', '中楼层(共33层)2015年建塔楼  -  北城', '109万', '单价12991元/平米')
('https://image1.ljcdn.com/340100-inspection/7ed3e59e-3f94-4ac6-9440-b2061b2dd907.jpg.296x216.jpg', '力高共和城 3室2厅 128万', '力高共和城  | 3室2厅 | 120平米 | 南 | 其他', '高楼层(共6层)2012年建板楼  -  北城', '128万', '单价10667元/平米')
('https://image1.ljcdn.com/340100-inspection/71e62524-749b-466d-a396-e3a615a72880.JPG.296x216.jpg', '恒大帝景 1室1厅 68万', '恒大帝景  | 1室1厅 | 52平米 | 南 | 其他', '低楼层(共33层)2015年建塔楼  -  北城', '68万', '单价13077元/平米')
('https://image1.ljcdn.com/340100-inspection/8cd9d52d-6fca-4ecb-86ef-c0800d413d6e.JPG.296x216.jpg', '北城世纪城禄徽苑 3室2厅 110万', '北城世纪城禄徽苑  | 3室2厅 | 93.35平米 | 南 | 其他', '中楼层(共32层)2016年建塔楼  -  北城', '110万', '单价11784元/平米')
('', '恒大帝景 3室2厅 150万', '恒大帝景  | 3室2厅 | 122.86平米 | 南 北 | 其他', '中楼层(共26层)2015年建塔楼  -  北城', '150万', '单价12210元/平米')
('', '半岛1号 3室2厅 162万', '半岛1号  | 3室2厅 | 124.96平米 | 南 | 其他', '低楼层(共9层)2012年建板楼  -  北城', '162万', '单价12965元/平米')
('', '恒大帝景 2室1厅 108万', '恒大帝景  | 2室1厅 | 85平米 | 南 | 其他', '中楼层(共33层)2015年建塔楼  -  北城', '108万', '单价12706元/平米')
('https://image1.ljcdn.com/340100-inspection/9c9824a8-2e24-40df-a64f-615b6f7e35e6.JPG.296x216.jpg', '恒大三期中间楼层东边户采光好交通便利', '恒大帝景  | 3室2厅 | 138平米 | 南 | 其他', '低楼层(共33层)2015年建塔楼  -  北城', '165万', '单价11957元/平米')
('https://image1.ljcdn.com/340100-inspection/e36a4e97-a08f-4767-aa25-110750d24f93.JPG.296x216.jpg', '润地星城 2室2厅 100万', '润地星城  | 2室2厅 | 84平米 | 南 | 其他', '低楼层(共18层)2008年建塔楼  -  北城', '100万', '单价11905元/平米')
('https://image1.ljcdn.com/340100-inspection/d00f1696-ed1b-4b5e-bddd-86408ebbeb2d.jpg.296x216.jpg', '北城世纪城裕徽苑 2室2厅 95万', '北城世纪城裕徽苑  | 2室2厅 | 81.19平米 | 南 | 其他', '低楼层(共33层)2014年建塔楼  -  北城', '95万', '单价11701元/平米')
('https://image1.ljcdn.com/340100-inspection/54699090-f81d-4644-b1ab-f98f638fc540.JPG.296x216.jpg', '颐徽苑简装五居室南北通透中间楼层满两年送车位', '北城世纪城颐徽苑  | 5室2厅 | 162平米 | 南 北 | 其他', '中楼层(共28层)2012年建塔楼  -  北城', '160万', '单价9877元/平米')
('https://image1.ljcdn.com/340100-inspection/2a37c65f-8754-4346-9766-fd9060836359.JPG.296x216.jpg', '奥青城 3室1厅 86万', '奥青城  | 3室1厅 | 86.6平米 | 南 | 其他', '中楼层(共6层)暂无数据  -  北城', '86万', '单价9931元/平米')
('https://image1.ljcdn.com/340100-inspection/99105f38-f065-4e5d-ac29-1ee534238c02.JPG.296x216.jpg', '恒大帝景  自带精装修   全新未住过   二个卫生间', '恒大帝景  | 3室2厅 | 122.68平米 | 南 | 其他', '高楼层(共33层)2015年建塔楼  -  北城', '145万', '单价11820元/平米')
('https://image1.ljcdn.com/340100-inspection/2c8a2054-fc7f-409f-ad5b-60416bd82231.jpg.296x216.jpg', '恒泰城品阿奎利亚 4室2厅 160万', '恒泰城品阿奎利亚  | 4室2厅 | 126平米 | 南 | 其他', '高楼层(共33层)2011年建塔楼  -  北城', '160万', '单价12699元/平米')
('https://image1.ljcdn.com/340100-inspection/df894721-fe43-499d-a918-900f4d89fdb1.JPG.296x216.jpg', '恒大帝景 1室1厅 53万', '恒大帝景  | 1室1厅 | 39.7平米 | 南 | 其他', '低楼层(共33层)2015年建塔楼  -  北城', '53万', '单价13351元/平米')
('https://image1.ljcdn.com/340100-inspection/93b9d086-d810-4244-853b-d7dc6fd453b8.jpg.296x216.jpg', '恒泰风格城市 2室2厅 78万', '恒泰风格城市  | 2室2厅 | 60平米 | 南 | 其他', '中楼层(共33层)2012年建塔楼  -  北城', '78万', '单价13000元/平米')
('', '恒大帝景 3室2厅 150万', '恒大帝景  | 3室2厅 | 122.91平米 | 南 北 | 其他', '中楼层(共26层)2015年建塔楼  -  北城', '150万', '单价12205元/平米')
('', '融科梧桐里 3室2厅 125万', '融科梧桐里  | 3室2厅 | 106.4平米 | 南 | 其他', '低楼层(共35层)2017年建塔楼  -  北城', '125万', '单价11749元/平米')
('', '恒大帝景  4居室   精装修  楼层好', '恒大帝景  | 4室2厅 | 157平米 | 南 北 | 其他', '中楼层(共33层)2015年建塔楼  -  北城', '180万', '单价11465元/平米')
('https://image1.ljcdn.com/340100-inspection/1a59a8f5-d617-47f1-a551-63c70e44709a.JPG.296x216.jpg', '新慧金水岸北区 3室2厅 84万', '新慧金水岸北区  | 3室2厅 | 85平米 | 南 | 其他', '低楼层(共27层)塔楼  -  北城', '84万', '单价9883元/平米')
('https://image1.ljcdn.com/340100-inspection/9b5f863a-2292-4cf6-86f5-228c6382365d.JPG.296x216.jpg', '京城国际 3室2厅 108万', '京城国际  | 3室2厅 | 86平米 | 南 | 其他', '中楼层(共33层)2014年建塔楼  -  北城', '108万', '单价12559元/平米')
('https://image1.ljcdn.com/340100-inspection/1e08c8ef-0551-4b82-b260-34c51f10d0b4.jpg.296x216.jpg', '国徽苑 3室2厅 108万', '国徽苑  | 3室2厅 | 96.5平米 | 南 北 | 其他', '低楼层(共26层)2013年建塔楼  -  北城', '108万', '单价11192元/平米')
('https://image1.ljcdn.com/340100-inspection/dd182126-4b76-4ea4-815f-c31b45003659.jpg.296x216.jpg', '北城世纪城恒泰风格城市一室一厅精装修。', '恒泰风格城市  | 1室1厅 | 50.12平米 | 北 | 其他', '中楼层(共33层)2012年建塔楼  -  北城', '55万', '单价10974元/平米')
('https://image1.ljcdn.com/340100-inspection/4df0f9bf-8775-4bcc-a015-59b7f841cf12.JPG.296x216.jpg', '奥青城 4室2厅 120万', '奥青城  | 4室2厅 | 111.78平米 | 南 | 其他', '低楼层(共6层)板塔结合  -  北城', '120万', '单价10736元/平米')
('https://image1.ljcdn.com/340100-inspection/fc741b85-9efc-4f0e-a87f-1ad1a0d6ceec.JPG.296x216.jpg', '鸿徽苑 精装修 边户 南北通透 满两年 中间楼层', '鸿徽苑  | 3室2厅 | 133.93平米 | 南 北 | 其他', '高楼层(共33层)2012年建塔楼  -  北城', '152万', '单价11350元/平米')
('https://image1.ljcdn.com/340100-inspection/a5fa8263-63f5-48d3-a9a3-e5fe08f49d4b.jpg.296x216.jpg', '北城世纪城颐徽苑 两居室 精装修', '北城世纪城颐徽苑  | 2室2厅 | 103平米 | 南 北 | 其他', '低楼层(共33层)2012年建塔楼  -  北城', '111万', '单价10777元/平米')
('https://image1.ljcdn.com/340100-inspection/0945159f-42d4-45eb-ad30-3ab835c4cb73.JPG.296x216.jpg', '采光充足，交通便利，配套成熟，业主诚心出售，朝南。', '鸿路北城明珠  | 1室1厅 | 52平米 | 南 | 其他', '低楼层(共24层)2013年建板塔结合  -  北城', '43.6万', '单价8385元/平米')
('https://image1.ljcdn.com/340100-inspection/f6613ac5-3dc8-425c-a6f6-d9605ce135c3.jpg.296x216.jpg', '文一名门北郡 3室2厅 110万', '文一名门北郡  | 3室2厅 | 90平米 | 南 | 其他', '高楼层(共32层)塔楼  -  北城', '110万', '单价12223元/平米')
('https://image1.ljcdn.com/340100-inspection/874fb4bd-b761-4536-b337-8e394c432bbd.jpg.296x216.jpg', '国强丰瑞园 3室1厅 120万', '国强丰瑞园  | 3室1厅 | 135平米 | 南 | 其他', '高楼层(共11层)板楼  -  北城', '120万', '单价8889元/平米')
('', '新慧金水岸北区 3室2厅 90万', '新慧金水岸北区  | 3室2厅 | 122.68平米 | 南 北 | 其他', '低楼层(共27层)塔楼  -  北城', '90万', '单价7337元/平米')
('https://image1.ljcdn.com/340100-inspection/2655fc5a-e834-4535-89c6-fd3169ad9b92.jpg.296x216.jpg', '满五年，中等装修，家具家电全送', '恒泰米兰堡  | 3室2厅 | 113平米 | 南 | 其他', '低楼层(共6层)2012年建板楼  -  北城', '130万', '单价11505元/平米')
('https://image1.ljcdn.com/340100-inspection/841ce45f-f8a3-41df-a144-8f359bace9ea.JPG.296x216.jpg', '和昌都汇华郡，毛坯两房，视野开阔', '和昌都汇华郡  | 2室2厅 | 82.9平米 | 南 | 其他', '低楼层(共34层)2014年建塔楼  -  北城', '108万', '单价13028元/平米')
('https://image1.ljcdn.com/340100-inspection/397eeda6-1c28-4cd5-b2a3-0d2ff279460b.jpg.296x216.jpg', '北城世纪城禄徽苑 4室2厅 122万', '北城世纪城禄徽苑  | 4室2厅 | 116平米 | 南 北 | 其他', '低楼层(共34层)2016年建塔楼  -  北城', '122万', '单价10518元/平米')
('https://image1.ljcdn.com/340100-inspection/a717ece2-95e9-40dd-badb-b21e821b3d20.jpg.296x216.jpg', '北城世纪城吉徽苑 3室2厅 118万', '北城世纪城吉徽苑  | 3室2厅 | 94.65平米 | 南 北 | 其他', '高楼层(共33层)2013年建塔楼  -  北城', '118万', '单价12467元/平米')
('https://image1.ljcdn.com/340100-inspection/fafb3ae6-3005-4c01-8ecf-616e3f1e3277.jpg.296x216.jpg', '恒大帝景 3室2厅 140万', '恒大帝景  | 3室2厅 | 131平米 | 南 北 | 其他', '低楼层(共33层)2015年建塔楼  -  北城', '140万', '单价10688元/平米')
('https://image1.ljcdn.com/340100-inspection/ce459f65-b847-4a2d-8b44-440d8e736241.JPG.296x216.jpg', '北城世纪城和徽苑 2室2厅 96万', '北城世纪城和徽苑  | 2室2厅 | 81平米 | 南 | 其他', '低楼层(共33层)2014年建塔楼  -  北城', '96万', '单价11852元/平米')
('https://image1.ljcdn.com/340100-inspection/539f1ea1-3e8a-44b5-a9c1-3a76a45080f4.JPG.296x216.jpg', '采光无遮挡 边户 ，户型方正，无浪费', '北城世纪城康徽苑  | 3室2厅 | 96.12平米 | 南 | 其他', '低楼层(共34层)2015年建塔楼  -  北城', '112万', '单价11653元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload27a4c38d-ed6c-476e-bb4b-c42b34711047.JPG.296x216.jpg', '恒大帝景边户精装三房高楼层采光好小区物业好', '恒大帝景  | 3室2厅 | 122.7平米 | 南 北 | 其他', '高楼层(共33层)2015年建塔楼  -  北城', '150万', '单价12225元/平米')
('https://image1.ljcdn.com/340100-inspection/44119cf7-2113-40ca-9f29-8a9c998196fa.JPG.296x216.jpg', '中奥花园 1室1厅 42万', '中奥花园  | 1室1厅 | 43.8平米 | 北 | 其他', '高楼层(共19层)2012年建塔楼  -  北城', '42万', '单价9590元/平米')
('https://image1.ljcdn.com/340100-inspection/dd80f56b-cf68-451e-a059-6ac475ebcbc3.jpg.296x216.jpg', '北城中环城 3室2厅 105万', '北城中环城  | 3室2厅 | 97.89平米 | 南 | 其他', '低楼层(共33层)2010年建塔楼  -  北城', '105万', '单价10727元/平米')
('', '北城世纪城泽徽苑 3室2厅 153万', '北城世纪城泽徽苑  | 3室2厅 | 129.27平米 | 南 北 | 其他', '高楼层(共34层)塔楼  -  北城', '153万', '单价11836元/平米')
('https://image1.ljcdn.com/340100-inspection/e944a403-da6e-40f5-9bc1-5f581d3be25f.jpg.296x216.jpg', '恒大帝景  交通便利  位置优越  视野开阔  采光充足', '恒大帝景  | 1室1厅 | 41平米 | 南 | 其他', '高楼层(共33层)2015年建塔楼  -  北城', '53万', '单价12927元/平米')
('', '恒大帝景 3室1厅 186.62万', '恒大帝景  | 3室1厅 | 133.3平米 | 南 北 | 其他', '低楼层(共33层)2015年建塔楼  -  北城', '186.7万', '单价14000元/平米')
('https://image1.ljcdn.com/340100-inspection/361cad76-f766-4fbd-b57b-3f4a70bcfed9.JPG.296x216.jpg', '恒大帝景 3室2厅 160万', '恒大帝景  | 3室2厅 | 138.5平米 | 南 | 其他', '中楼层(共33层)2015年建塔楼  -  北城', '160万', '单价11553元/平米')
('https://image1.ljcdn.com/340100-inspection/1dd4abae-eed7-4196-9296-00f235fed76c.JPG.296x216.jpg', '国徽苑 4室2厅 140万', '国徽苑  | 4室2厅 | 130平米 | 南 | 其他', '高楼层(共26层)2013年建塔楼  -  北城', '140万', '单价10770元/平米')
('https://image1.ljcdn.com/340100-inspection/04ea47a9-5d01-4002-8ce2-c6507205721b.jpg.296x216.jpg', '中奥花园 2室2厅 82万', '中奥花园  | 2室2厅 | 75.92平米 | 南 | 其他', '中楼层(共11层)2012年建塔楼  -  北城', '82万', '单价10801元/平米')
('https://image1.ljcdn.com/340100-inspection/7223be35-fb7b-4f03-af1a-f5d6c9d67859.JPG.296x216.jpg', '北城世纪城禄徽苑 4室2厅 116万', '北城世纪城禄徽苑  | 4室2厅 | 115.92平米 | 南 北 | 其他', '低楼层(共34层)2016年建塔楼  -  北城', '116万', '单价10007元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploada0ab0c42-bd94-44f5-8479-8ba4bcc24c99.jpg.296x216.jpg', '为你而选为你为家，恒泰但丁堡精装两房。', '恒泰但丁堡阿奎利亚  | 2室2厅 | 78.22平米 | 南 | 其他', '高楼层(共18层)2010年建塔楼  -  北城', '97万', '单价12401元/平米')
('https://image1.ljcdn.com/340100-inspection/9bae87ee-4d17-4a64-b356-717984e518e4.JPG.296x216.jpg', '北城世纪城二期大三房  带车位 高楼层', '北城世纪城泽徽苑  | 3室2厅 | 129.65平米 | 南 | 其他', '高楼层(共34层)2015年建塔楼  -  北城', '140万', '单价10799元/平米')
('https://image1.ljcdn.com/340100-inspection/e4dc0225-b612-4c7e-a7ca-a36170ffb2a5.JPG.296x216.jpg', '恒泰米兰堡 2室2厅 116万', '恒泰米兰堡  | 2室2厅 | 101.4平米 | 南 北 | 其他', '中楼层(共6层)2012年建板楼  -  北城', '116万', '单价11440元/平米')
('https://image1.ljcdn.com/340100-inspection/d89a7d1a-c57f-48a2-80d4-ab4e784c7bc5.jpg.296x216.jpg', '精装修 三居室  南北通透  楼层好 采光棒', '北城中环城  | 3室1厅 | 87.54平米 | 南 北 | 其他', '中楼层(共30层)2010年建塔楼  -  北城', '106万', '单价12109元/平米')
('https://image1.ljcdn.com/340100-inspection/c4a31382-4fa3-46b0-926d-a8d94f4ad26b.jpg.296x216.jpg', '为你而选为你为家 融科梧桐里毛坯四房 楼层好 采光好', '融科梧桐里  | 4室2厅 | 125.11平米 | 南 北 | 简装', '高楼层(共35层)2017年建塔楼  -  北城', '150万', '单价11990元/平米')
('https://image1.ljcdn.com/340100-inspection/f5458da0-957d-4de1-a91c-d07b7215f865.JPG.296x216.jpg', '恒泰悦城 3室1厅 110万', '恒泰悦城  | 3室1厅 | 65.01平米 | 南 | 其他', '中楼层(共19层)2012年建塔楼  -  北城', '110万', '单价16921元/平米')
('', '恒泰悦城 3室2厅 103万', '恒泰悦城  | 3室2厅 | 65.01平米 | 南 北 | 其他', '高楼层(共19层)2012年建塔楼  -  北城', '103万', '单价15844元/平米')
('https://image1.ljcdn.com/340100-inspection/78a7c1d6-08c3-4076-8a08-1f0d46a4d520.JPG.296x216.jpg', '恒泰风格城市 3室2厅 115万', '恒泰风格城市  | 3室2厅 | 74平米 | 南 | 其他', '中楼层(共19层)2012年建塔楼  -  北城', '115万', '单价15541元/平米')
('', '润地星城，满五年，中间楼层，毛坯', '润地星城  | 3室1厅 | 130平米 | 南 北 | 其他', '中楼层(共22层)2008年建塔楼  -  北城', '150万', '单价11539元/平米')
('https://image1.ljcdn.com/340100-inspection/1041f2d4-6fb6-4487-955e-5a82e7d17746.JPG.296x216.jpg', '新慧金水岸北区边户毛坯三房中间楼层采光好', '新慧金水岸北区  | 3室2厅 | 96.23平米 | 南 北 | 其他', '中楼层(共27层)塔楼  -  北城', '89万', '单价9249元/平米')
('https://image1.ljcdn.com/340100-inspection/26705b71-c7ba-4b7b-8882-871ae57870ee.jpg.296x216.jpg', '恒泰风格城市 3室1厅 112万', '恒泰风格城市  | 3室1厅 | 69平米 | 南 | 其他', '低楼层(共19层)2012年建塔楼  -  北城', '112万', '单价16232元/平米')
('https://image1.ljcdn.com/340100-inspection/05515a8c-ca74-4650-a63a-5665f9d02d2b.jpg.296x216.jpg', '京城国际三房边户 居家装修 诚心出售', '京城国际  | 3室2厅 | 106.53平米 | 南 北 | 其他', '低楼层(共33层)2014年建塔楼  -  北城', '128万', '单价12016元/平米')
('https://image1.ljcdn.com/340100-inspection/ed798e12-2fd7-4c8c-9f7a-008bb5678839.JPG.296x216.jpg', '多层，精装，满两年，拎包入住，业主诚心出售', '金色里程  | 3室2厅 | 93平米 | 南 | 其他', '中楼层(共6层)板楼  -  北城', '150万', '单价16130元/平米')
('https://image1.ljcdn.com/340100-inspection/692e745b-97e8-4b4f-8225-625287241a2a.jpg.296x216.jpg', '融科梧桐里 4室2厅 120万', '融科梧桐里  | 4室2厅 | 122.68平米 | 南 | 其他', '低楼层(共35层)2017年建塔楼  -  北城', '120万', '单价9782元/平米')
('https://image1.ljcdn.com/340100-inspection/a3d4d44e-5a10-4975-82d6-7f7e6b63aa19.jpg.296x216.jpg', '阿奎利亚上学苑 2室2厅 87万', '阿奎利亚上学苑  | 2室2厅 | 72.5平米 | 南 | 其他', '高楼层(共33层)2012年建塔楼  -  北城', '87万', '单价12000元/平米')
('https://image1.ljcdn.com/340100-inspection/f567f296-137c-4a6d-aa88-4b44cadb3b2a.JPG.296x216.jpg', '恒泰风格城市自住精装2居室 满两年 对外出售', '恒泰风格城市  | 2室1厅 | 60平米 | 东 北 | 其他', '低楼层(共33层)2012年建塔楼  -  北城', '77万', '单价12834元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadfe1cc442-9bce-432a-b6e5-2cb4921d474d.jpg.296x216.jpg', '恒大帝景 精装修 两房朝南 南北通透 拎包入住', '恒大帝景  | 2室2厅 | 85.75平米 | 南 北 | 其他', '高楼层(共33层)2015年建塔楼  -  北城', '96万', '单价11196元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload4b4274b2-f9c3-4947-a942-8ee3bbe6bd7a.JPG.296x216.jpg', '瑞隆花园两居室 中等装修 楼层中间楼层', '瑞龙花园  | 2室2厅 | 89.33平米 | 南 | 其他', '中楼层(共27层)塔楼  -  北城', '98万', '单价10971元/平米')
('https://image1.ljcdn.com/340100-inspection/a30c494b-8bc7-4f1a-9fc5-f44d70846659.JPG.296x216.jpg', '双凤里 3室2厅 105万', '双凤里  | 3室2厅 | 103平米 | 东南 | 其他', '低楼层(共6层)板楼  -  北城', '105万', '单价10195元/平米')
('https://image1.ljcdn.com/340100-inspection/a33504f5-34d4-4483-acdd-9839988bac9c.jpg.296x216.jpg', '新慧金水岸南区 4室2厅 145万', '新慧金水岸南区  | 4室2厅 | 141.4平米 | 南 | 其他', '高楼层(共18层)2011年建板塔结合  -  北城', '145万', '单价10255元/平米')
('https://image1.ljcdn.com/340100-inspection/de94eb73-d934-4dce-bb36-ca0143dc016d.jpg.296x216.jpg', '恒泰风格城市 2室2厅 77万', '恒泰风格城市  | 2室2厅 | 66平米 | 南 | 其他', '高楼层(共33层)2012年建塔楼  -  北城', '77万', '单价11667元/平米')
('', '庆徽苑 精装修经典三房 满两年 带车位', '庆徽苑  | 3室2厅 | 93.37平米 | 南 | 其他', '中楼层(共34层)2016年建塔楼  -  北城', '126万', '单价13495元/平米')
('https://image1.ljcdn.com/340100-inspection/c1922614-d237-46b0-92d8-034c9363d7e5.JPG.296x216.jpg', '恒大帝景 3室2厅 149万', '恒大帝景  | 3室2厅 | 122平米 | 南 北 | 其他', '中楼层(共33层)2015年建塔楼  -  北城', '149万', '单价12214元/平米')
('https://image1.ljcdn.com/340100-inspection/5db27a73-5a63-42c3-bac4-36322886f742.JPG.296x216.jpg', '京冠北城华府 3室2厅 103万', '京冠北城华府  | 3室2厅 | 85.6平米 | 南 | 其他', '高楼层(共30层)暂无数据  -  北城', '103万', '单价12033元/平米')
('https://image1.ljcdn.com/340100-inspection/2aa2a6bc-c334-49b5-9265-f9e60b56f319.JPG.296x216.jpg', '米兰堡精装一居室    满两年总价低', '恒泰米兰堡  | 1室1厅 | 43平米 | 南 | 其他', '高楼层(共18层)2012年建塔楼  -  北城', '48万', '单价11163元/平米')
('https://image1.ljcdn.com/340100-inspection/ce912b16-a978-4d58-9a7e-5e668c4dcc57.jpg.296x216.jpg', '新慧金水岸北区 3室1厅 86万', '新慧金水岸北区  | 3室1厅 | 90平米 | 南 | 其他', '高楼层(共33层)塔楼  -  北城', '86万', '单价9556元/平米')
('https://image1.ljcdn.com/340100-inspection/b39c4fd4-8faf-432a-abeb-eaf4b4478261.JPG.296x216.jpg', '中奥花园 2室2厅 100万', '中奥花园  | 2室2厅 | 92.6平米 | 南 | 其他', '中楼层(共19层)2012年建塔楼  -  北城', '100万', '单价10800元/平米')
('https://image1.ljcdn.com/340100-inspection/18b2cc5b-d18e-478d-aa75-245c2ea6a3b1.JPG.296x216.jpg', '恒大帝景 3室2厅 125万', '恒大帝景  | 3室2厅 | 130平米 | 南 | 其他', '低楼层(共26层)2015年建塔楼  -  北城', '125万', '单价9616元/平米')
('https://image1.ljcdn.com/340100-inspection/a39069ae-f4a8-4178-bd7c-11c9892e6b2f.JPG.296x216.jpg', '金科半岛一号， 南北通透，电梯洋房，梅冲湖景，毛坯', '半岛1号  | 3室2厅 | 133平米 | 南 北 | 其他', '低楼层(共9层)2012年建板楼  -  北城', '167万', '单价12557元/平米')
('https://image1.ljcdn.com/340100-inspection/3d71b2d5-7b7a-4b66-b1e5-bdbaf0171fa2.JPG.296x216.jpg', '恒泰风格城市 3室2厅 106万', '恒泰风格城市  | 3室2厅 | 68.14平米 | 南 | 其他', '高楼层(共18层)2012年建塔楼  -  北城', '106万', '单价15557元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload254b3bf0-7898-4214-8cfb-f7c742579db6.JPG.296x216.jpg', '恒大帝景边户精装三房南北双阳台采光好小区物业好', '恒大帝景  | 3室2厅 | 130平米 | 南 | 其他', '高楼层(共33层)2015年建塔楼  -  北城', '158万', '单价12154元/平米')
('https://image1.ljcdn.com/340100-inspection/4ce67342-527d-4d69-a72b-8b9502d6ed79.JPG.296x216.jpg', '恒大帝景 1室1厅 50万', '恒大帝景  | 1室1厅 | 40平米 | 南 | 其他', '中楼层(共33层)2015年建塔楼  -  北城', '50万', '单价12500元/平米')
('https://image1.ljcdn.com/340100-inspection/26564547-d08c-4077-af16-beb8c06899d5.JPG.296x216.jpg', '北城世纪城瑞徽苑 3室2厅 107万', '北城世纪城瑞徽苑  | 3室2厅 | 94.25平米 | 南 北 | 其他', '低楼层(共33层)2013年建塔楼  -  北城', '107万', '单价11353元/平米')
('', '恒泰悦城 3室1厅 106万', '恒泰悦城  | 3室1厅 | 62.77平米 | 南 北 | 其他', '低楼层(共19层)2012年建塔楼  -  北城', '106万', '单价16888元/平米')
('', '恒泰但丁堡阿奎利亚精装修,中楼层,物业管理规范。', '恒泰但丁堡阿奎利亚  | 2室2厅 | 77.99平米 | 南 | 精装', '高楼层(共18层)2010年建塔楼  -  北城', '105万', '单价13464元/平米')
('', '新慧金水岸北区 3室2厅 105万', '新慧金水岸北区  | 3室2厅 | 118.5平米 | 南 | 其他', '低楼层(共18层)塔楼  -  北城', '105万', '单价8861元/平米')
('', '恒大帝景 3室1厅 147万', '恒大帝景  | 3室1厅 | 131.15平米 | 南 北 | 其他', '高楼层(共33层)2015年建塔楼  -  北城', '147万', '单价11209元/平米')
('https://image1.ljcdn.com/340100-inspection/49106ff8-9ffd-4c53-8d77-4c900e64e34e.JPG.296x216.jpg', '新慧金水岸南区，精装三房，满两年，拎包入住', '新慧金水岸南区  | 3室2厅 | 113.7平米 | 南 北 | 其他', '中楼层(共18层)2011年建板塔结合  -  北城', '120万', '单价10555元/平米')
('https://image1.ljcdn.com/340100-inspection/e6ca01cd-c195-483d-a632-ee6a7fa71395.JPG.296x216.jpg', '京冠御园华府楼层适中视野好采光优越', '京冠御园华府  | 3室1厅 | 89.97平米 | 南 | 其他', '中楼层(共32层)板塔结合  -  北城', '106万', '单价11782元/平米')
('https://image1.ljcdn.com/340100-inspection/01bad391-4167-46c3-955c-58e1586a9c63.JPG.296x216.jpg', '国徽苑   大四房   采光好   小区环境优美', '国徽苑  | 4室2厅 | 130平米 | 南 | 其他', '低楼层(共26层)2013年建塔楼  -  北城', '130万', '单价10000元/平米')
('https://image1.ljcdn.com/340100-inspection/6f79439f-0c90-4718-a4de-23e7fa75d1be.jpg.296x216.jpg', '恒泰米兰堡 3室1厅 113万', '恒泰米兰堡  | 3室1厅 | 113平米 | 南 | 其他', '中楼层(共6层)2012年建板楼  -  北城', '113万', '单价10000元/平米')
('https://image1.ljcdn.com/340100-inspection/397f5323-3a04-4491-87c5-04ec325741b0.JPG.296x216.jpg', '恒泰米兰堡 2室2厅 110万', '恒泰米兰堡  | 2室2厅 | 89平米 | 南 | 其他', '中楼层(共6层)2012年建板楼  -  北城', '110万', '单价12360元/平米')
('https://image1.ljcdn.com/340100-inspection/f225c223-eef2-460d-addb-6b81e4f2197d.jpg.296x216.jpg', '恒泰城品阿奎利亚 3室2厅 113万', '恒泰城品阿奎利亚  | 3室2厅 | 97.62平米 | 南 北 | 其他', '低楼层(共33层)2011年建塔楼  -  北城', '113万', '单价11576元/平米')
