('https://image1.ljcdn.com/440600-inspection/0f1800d2-f314-450d-845b-3beaa9b01a93.jpg.296x216.jpg', '精装修3房 大阳台 送入户花园 家私电器全送  满五年', '金河水岸  | 3室2厅 | 109.21平米 | 北 | 精装', '中楼层(共26层)2009年建塔楼  -  乐从', '148万', '单价13552元/平米')
('https://image1.ljcdn.com/440600-inspection/47836577-a1bb-4237-900c-90cad20104ba.jpg.296x216.jpg', '碧桂花城 三房二厅 带车位一个', '碧桂花城泰和苑  | 3室2厅 | 107平米 | 西北 | 简装', '中楼层(共7层)2001年建塔楼  -  陈村', '180万', '单价16823元/平米')
('https://image1.ljcdn.com/440600-inspection/5d27b99f-e5d7-4c28-ab4a-1d8f5e2de4c7.jpg.296x216.jpg', '依云国际 1室1厅 50万', '依云国际  | 1室1厅 | 35.06平米 | 东北 | 其他', '中楼层(共31层)2018年建塔楼  -  乐从', '50万', '单价14262元/平米')
('', '碧桂园印象花城 3室2厅 185万', '碧桂园印象花城  | 3室2厅 | 95.82平米 | 南 | 其他', '高楼层(共31层)2018年建塔楼  -  陈村', '185万', '单价19308元/平米')
('https://image1.ljcdn.com/440600-inspection/f9a20687-4751-417e-800f-ef2192d30a71.jpg.296x216.jpg', '金海M-CITY 格局方正', '金海MCITY  | 1室1厅 | 60平米 | 北 | 其他', '高楼层(共52层)2015年建塔楼  -  乐从', '120万', '单价20000元/平米')
('', '宝翠花园 交通便利', '宝翠花园  | 3室2厅 | 84.75平米 | 北 | 简装', '高楼层(共7层)2008年建塔楼  -  大良东区', '158万', '单价18644元/平米')
('', '帝锋国际公寓 二房一厅', '帝锋康庭  | 2室1厅 | 50平米 | 南 | 简装', '20层2008年建板塔结合  -  乐从', '53万', '单价10600元/平米')
('https://image1.ljcdn.com/440600-inspection/83745c03-efc5-4919-8095-2a88c7c19cbd.jpg.296x216.jpg', '信晖楼 3层复式', '信晖楼  | 5室2厅 | 178.89平米 | 南 | 其他', '高楼层(共7层)2001年建板楼  -  大良中区', '198万', '单价11069元/平米')
('https://image1.ljcdn.com/440600-inspection/8c4ed438-121f-4342-9d4a-4cf07a75a3b6.jpg.296x216.jpg', '顺德雅居乐花园 生活配套成熟', '顺德雅居乐花园  | 3室2厅 | 117.14平米 | 南 北 | 精装', '高楼层(共24层)2011年建塔楼  -  大良南区', '250万', '单价21342元/平米')
('https://image1.ljcdn.com/440600-inspection/c7f07c79-3970-45af-b787-45e9d656bd8a.jpg.296x216.jpg', '顺德雅居乐花园 交通方便', '顺德雅居乐花园  | 3室2厅 | 93平米 | 南 北 | 其他', '低楼层(共24层)2011年建塔楼  -  大良南区', '178万', '单价19140元/平米')
('https://image1.ljcdn.com/440600-inspection/62f1d5ea-cd09-4ba7-87b8-0950ce54d8e5.jpg.296x216.jpg', '嘉信城市花园三期 3室2厅 300万', '嘉信城市花园三期  | 3室2厅 | 175平米 | 西 | 简装', '中楼层(共25层)2011年建塔楼  -  大良新区', '300万', '单价17143元/平米')
('https://image1.ljcdn.com/440600-inspection/13af5047-830e-49de-b316-43fde1c1fbed.jpg.296x216.jpg', '都市领地轩', '都市领地轩  | 3室1厅 | 98平米 | 北 | 其他', '低楼层(共13层)2009年建塔楼  -  大良南区', '155万', '单价15817元/平米')
('https://image1.ljcdn.com/440600-inspection/4b3cf6e4-448a-4166-b883-2ccd60cfe76b.jpg.296x216.jpg', '康城尚域 花园小区 东向 安静舒适', '康城尚域尚华苑  | 2室2厅 | 83.28平米 | 东 | 简装', '高楼层(共6层)2005年建塔楼  -  大良东区', '125万', '单价15010元/平米')
('https://image1.ljcdn.com/440600-inspection/321270b5-f844-4ca3-98d3-e8c3a502028c.jpg.296x216.jpg', '金威郦都 实用2房 采光好', '金威郦都  | 2室2厅 | 84平米 | 西南 | 其他', '低楼层(共21层)2012年建塔楼  -  乐从', '134.4万', '单价16000元/平米')
('https://image1.ljcdn.com/440600-inspection/7db7416e-995e-4c3f-b4cb-f16a0e794461.JPG.296x216.jpg', '龙湖春江名城 3室2厅 242万', '龙湖春江名城  | 3室2厅 | 117平米 | 南 | 其他', '低楼层(共39层)2017年建塔楼  -  大良新区', '242万', '单价20684元/平米')
('https://image1.ljcdn.com/440600-inspection/7b285f18-9761-4c40-bf31-8021ff355db1.jpg.296x216.jpg', '嘉信城市广场 嘉兆台 毛坯单身公寓', '嘉信城市广场  | 1室1厅 | 42平米 | 北 | 毛坯', '中楼层(共13层)2014年建塔楼  -  大良新区', '59万', '单价14048元/平米')
('https://image1.ljcdn.com/440600-inspection/35f79650-073a-4a19-b71c-68ff65946b91.jpg.296x216.jpg', '建港花园 中等装修 三房两厅', '建港花园  | 3室1厅 | 90平米 | 北 | 简装', '高楼层(共7层)1997年建板楼  -  大良中区', '78万', '单价8667元/平米')
('', '金威郦都 毛坯三房 采光充足', '金威郦都  | 3室2厅 | 114.24平米 | 西北 | 简装', '高楼层(共21层)2012年建塔楼  -  乐从', '165万', '单价14444元/平米')
('', '金宇名都 两房一厅 精装修', '金宇名都  | 2室2厅 | 57平米 | 北 | 简装', '中楼层(共21层)2009年建塔楼  -  乐从', '79万', '单价13860元/平米')
('https://image1.ljcdn.com/440600-inspection/75a87a1d-5269-4b24-b7a9-a1802c0c57aa.jpg.296x216.jpg', '金地天玺 5房2厅4卫', '金地天玺  | 5室2厅 | 325平米 | 东南 | 毛坯', '低楼层(共40层)2013年建塔楼  -  大良东区', '585万', '单价18000元/平米')
('https://image1.ljcdn.com/440600-inspection/c8659d34-fe36-44d9-83c4-1683d0fd7d2e.jpg.296x216.jpg', '佛奥湾 大四房单位', '佛奥湾  | 4室2厅 | 183.5平米 | 西 | 毛坯', '38层2018年建板塔结合  -  乐从', '257万', '单价14006元/平米')
('https://image1.ljcdn.com/440600-inspection/5653b0b8-1037-4bfd-a870-03e6072fc382.jpg.296x216.jpg', '府又祥兴苑', '府又祥兴苑  | 3室2厅 | 116平米 | 西 | 其他', '高楼层(共7层)板楼  -  大良东区', '118万', '单价10173元/平米')
('https://image1.ljcdn.com/440600-inspection/7e586d43-70fb-40e8-86c9-a078724e21dc.jpg.296x216.jpg', '威斯广场朗月轩 3室2厅 146万', '威斯广场朗月轩  | 3室2厅 | 117平米 | 南 | 其他', '中楼层(共11层)2005年建塔楼  -  乐从', '146万', '单价12479元/平米')
('https://image1.ljcdn.com/440600-inspection/97a30bfa-08e5-417c-a882-5232eac62b10.jpg.296x216.jpg', '雍逸华庭 交通便利', '雍逸华庭  | 3室2厅 | 110平米 | 东 | 精装', '高楼层(共7层)板楼  -  大良中区', '116万', '单价10546元/平米')
('https://image1.ljcdn.com/440600-inspection/f8ecd01c-5fc3-4056-9465-9c4e781add17.jpg.296x216.jpg', '金域湾 保养新 花园小区', '金域湾  | 3室2厅 | 118平米 | 南 | 其他', '12层2006年建板塔结合  -  大良西北区', '180万', '单价15255元/平米')
('https://image1.ljcdn.com/440600-inspection/3d09d15d-f17e-46c6-aba5-c1f80a7bd5fc.jpg.296x216.jpg', '丽苑人家 1房出售', '丽苑人家  | 1室1厅 | 33.54平米 | 南 | 其他', '7层2006年建板塔结合  -  大良西北区', '45万', '单价13417元/平米')
('https://image1.ljcdn.com/440600-inspection/c217c670-9aad-468e-b5e9-627e1fe17412.jpg.296x216.jpg', '金宇名都 两房一厅 新装修', '金宇名都  | 2室2厅 | 58平米 | 南 | 简装', '低楼层(共21层)2009年建平房  -  乐从', '79万', '单价13621元/平米')
('https://image1.ljcdn.com/440600-inspection/bbf54cc4-d75b-4d7b-997e-7b66da4ac032.jpg.296x216.jpg', '嘉兆台 单间公寓户型 业主诚信出售', '嘉信城市广场  | 1室1厅 | 43平米 | 南 | 精装', '13层2014年建板塔结合  -  大良新区', '72万', '单价16745元/平米')
('https://image1.ljcdn.com/440600-inspection/3311ab74-35be-4016-8b0e-b9aea7febb3a.jpg.296x216.jpg', '丽星名园 温馨花园小区 前后花园', '丽星名园  | 3室2厅 | 123.54平米 | 南 | 其他', '低楼层(共11层)2003年建塔楼  -  大良东区', '255万', '单价20642元/平米')
('', '乐从威斯广场 成熟小区', '威斯广场星际公寓  | 1室1厅 | 51平米 | 南 | 简装', '高楼层(共15层)2005年建塔楼  -  乐从', '50万', '单价9804元/平米')
('', '万科水晶城 开发商装修三房', '万科水晶城  | 3室2厅 | 111平米 | 北 | 精装', '低楼层(共32层)2012年建塔楼  -  陈村', '200万', '单价18019元/平米')
('https://image1.ljcdn.com/440600-inspection/371eca99-a67d-4f9c-8b2c-4eef6168f08b.jpg.296x216.jpg', '绿地* 精美装修', '顺德绿地中心  | 4室2厅 | 142平米 | 西南 | 其他', '中楼层(共35层)2017年建塔楼  -  大良东区', '318万', '单价22395元/平米')
('https://image1.ljcdn.com/440600-inspection/b91de09a-8df0-48f9-ad2c-464f99ab0eff.jpg.296x216.jpg', '西山上筑 一房一厅', '西山上筑  | 1室0厅 | 47平米 | 东 | 简装', '中楼层(共20层)2013年建塔楼  -  大良中区', '89万', '单价18937元/平米')
('https://image1.ljcdn.com/440600-inspection/8106613b-22b4-46d6-95bb-fdd6de5086ae.jpg.296x216.jpg', '金地天玺 5室1厅 660万', '金地天玺  | 5室1厅 | 381.72平米 | 南 | 毛坯', '低楼层(共40层)2013年建塔楼  -  大良东区', '660万', '单价17291元/平米')
('https://image1.ljcdn.com/440600-inspection/15d5663a-7556-475b-9c2e-7df245d5fe5d.jpg.296x216.jpg', '星英半岛 装修电梯3房', '星英半岛  | 3室2厅 | 89平米 | 北 | 精装', '中楼层(共32层)2016年建塔楼  -  陈村', '200万', '单价22472元/平米')
('https://image1.ljcdn.com/440600-inspection/3c52484d-f32b-40b3-a752-5f8da5fb726c.jpg.296x216.jpg', '保利中汇花园 交通便利 4房出售', '保利中环二期中汇花园  | 3室2厅 | 163.5平米 | 西北 | 毛坯', '低楼层(共29层)2016年建塔楼  -  大良新区', '320万', '单价19572元/平米')
('https://image1.ljcdn.com/440600-inspection/6c8bf4a4-2b0d-4a89-9ea7-5749a6743632.jpg.296x216.jpg', '碧桂花城 三房二厅', '碧桂花城紫翠苑  | 3室2厅 | 92平米 | 北 | 简装', '中楼层(共6层)2001年建板楼  -  陈村', '175万', '单价19022元/平米')
('https://image1.ljcdn.com/440600-inspection/acd69a45-8ec4-4f55-876f-90f40d74242b.jpg.296x216.jpg', '顺联新城花园 1房1厅 40万元', '顺联新城花园  | 1室1厅 | 39平米 | 东北 | 简装', '高楼层(共18层)2010年建板塔结合  -  乐从', '40万', '单价10257元/平米')
('https://image1.ljcdn.com/440600-inspection/a9d4e0d5-2893-4726-b336-e259b6d65dc9.jpg.296x216.jpg', '金海M-CITY 一房一厅  通风对流', '金海MCITY  | 1室1厅 | 60平米 | 北 | 其他', '高楼层(共52层)2015年建塔楼  -  乐从', '138万', '单价23000元/平米')
('https://image1.ljcdn.com/440600-inspection/70a58326-5d27-47f2-85b0-ddb589566e8c.jpg.296x216.jpg', '乐从保利拉菲 舒适东南三房 格局好 毛坯', '保利公园里（保利紫荆公馆）  | 3室2厅 | 100平米 | 南 | 毛坯', '低楼层(共18层)2017年建塔楼  -  乐从', '165万', '单价16500元/平米')
('', '碧桂花城 三房两厅', '碧桂花城翠湖畔一区  | 3室2厅 | 132.5平米 | 东南 | 简装', '中楼层(共7层)2001年建塔楼  -  陈村', '205万', '单价15472元/平米')
('', '万科水晶城 花园小区管理 带车位', '万科水晶城  | 3室2厅 | 173平米 | 南 北 | 其他', '中楼层(共32层)2010年建塔楼  -  陈村', '400万', '单价23122元/平米')
('https://image1.ljcdn.com/440600-inspection/fda617a7-9c69-4b16-a9a6-272f05480f37.jpg.296x216.jpg', '明日华府 配套成熟 电梯房', '明日华府  | 3室1厅 | 146平米 | 南 | 简装', '高楼层(共15层)2011年建塔楼  -  大良东区', '338万', '单价23151元/平米')
('https://image1.ljcdn.com/440600-inspection/6665cc7d-b029-4d2e-bace-b892a0924fb5.jpg.296x216.jpg', '明日嘉园 花园小区', '明日嘉园  | 3室2厅 | 109平米 | 北 | 其他', '高楼层(共8层)2002年建塔楼  -  大良东区', '200万', '单价18349元/平米')
('https://image1.ljcdn.com/440600-inspection/4a7dda55-d5cb-4be5-b66d-c2363ac1ed89.jpg.296x216.jpg', '海日名苑 3室2厅 135万', '海日名苑  | 3室2厅 | 120平米 | 西南 | 其他', '中楼层(共7层)2005年建板楼  -  乐从', '135万', '单价11250元/平米')
('https://image1.ljcdn.com/440600-inspection/f3ccca9e-8828-4f84-b432-6130b8571d0a.jpg.296x216.jpg', '星英半岛 三房两厅', '星英半岛  | 3室2厅 | 88平米 | 南 | 毛坯', '高楼层(共32层)2016年建塔楼  -  陈村', '170万', '单价19319元/平米')
('https://image1.ljcdn.com/440600-inspection/0576245e-69d6-4a3a-ba04-55aa7d85252d.jpg.296x216.jpg', '雅居乐花园 新毛坯', '顺德雅居乐花园  | 3室2厅 | 103平米 | 西南 | 毛坯', '中楼层(共22层)2011年建塔楼  -  大良南区', '195万', '单价18933元/平米')
('https://image1.ljcdn.com/440600-inspection/fcdaa8cc-9b40-4724-89eb-d14197b2ec05.jpg.296x216.jpg', '都市玫瑰苑 3房装修保养好 户型方正实用', '都市玫瑰苑  | 3室2厅 | 106平米 | 北 | 简装', '高楼层(共8层)2005年建板塔结合  -  大良南区', '115万', '单价10850元/平米')
('https://image1.ljcdn.com/440600-inspection/98581641-e318-4006-aca7-1244e04549e4.jpg.296x216.jpg', '海悦新城 交通方便 环境优美', '海悦新城  | 3室2厅 | 116平米 | 南 | 毛坯', '低楼层(共17层)2010年建塔楼  -  大良东区', '218万', '单价18794元/平米')
('https://image1.ljcdn.com/440600-inspection/87d9cb49-3323-4784-8fcd-0129f689b6e3.jpg.296x216.jpg', ')威斯广场 旭景 成熟小区', '威斯广场旭景豪庭  | 1室1厅 | 35平米 | 西 | 其他', '高楼层(共7层)2005年建板楼  -  乐从', '38.5万', '单价11000元/平米')
('https://image1.ljcdn.com/440600-inspection/0c03d525-61a2-4b4b-8db6-e9fa72ad8cf2.jpg.296x216.jpg', '顺德雅居乐花园 交通方便', '顺德雅居乐花园  | 3室2厅 | 92.22平米 | 南 北 | 其他', '低楼层(共26层)2011年建塔楼  -  大良南区', '175万', '单价18977元/平米')
('', '宝翠花园 花园小区', '宝翠花园  | 3室2厅 | 110平米 | 北 | 简装', '中楼层(共16层)2008年建塔楼  -  大良东区', '216万', '单价19637元/平米')
('', '碧桂花城 三房二厅 带阁楼', '碧桂花城翠湖畔一区  | 3室2厅 | 100.78平米 | 南 北 | 简装', '高楼层(共7层)2001年建塔楼  -  陈村', '180万', '单价17861元/平米')
('https://image1.ljcdn.com/440600-inspection/3c5ae2f5-de1e-44f5-af4a-a2b385aee67b.jpg.296x216.jpg', '嘉信城市花园 帝苑 电梯洋房', '嘉信城市花园帝苑  | 5室2厅 | 170平米 | 东南 | 其他', '中楼层(共21层)2011年建塔楼  -  大良新区', '380万', '单价22353元/平米')
('https://image1.ljcdn.com/440600-inspection/e08b63d5-5ac1-4046-9795-db32fa2178f0.JPG.296x216.jpg', '顺德绿地* 3房2厅 128万元', '顺德绿地中心  | 3室2厅 | 52平米 | 东北 | 精装', '中楼层(共20层)2017年建塔楼  -  大良东区', '106万', '单价20385元/平米')
('https://image1.ljcdn.com/440600-inspection/07fd3d77-e172-4c90-932c-e3a20e02a890.jpg.296x216.jpg', '顺德雅居乐花园 3室2厅 250万', '顺德雅居乐花园  | 3室2厅 | 122.94平米 | 东南 | 其他', '高楼层(共25层)2011年建塔楼  -  大良南区', '250万', '单价20336元/平米')
('https://image1.ljcdn.com/440600-inspection/0d7b10e3-d634-400e-93f8-8cd85ddeb61b.jpg.296x216.jpg', '顺联新联花园一房一厅一卫一厨', '顺联新城花园  | 1室1厅 | 40平米 | 南 | 精装', '中楼层(共18层)2010年建板塔结合  -  乐从', '40万', '单价10000元/平米')
('https://image1.ljcdn.com/440600-inspection/ad6adca9-e289-4695-ac72-dffec212a561.jpg.296x216.jpg', '顺德雅居乐花园 交通方便', '顺德雅居乐花园  | 3室1厅 | 122.93平米 | 南 北 | 其他', '低楼层(共25层)2011年建塔楼  -  大良南区', '208万', '单价16921元/平米')
('https://image1.ljcdn.com/440600-inspection/ac3e43b8-7afc-44be-9853-d25ca7ee6425.jpg.296x216.jpg', '澳德蓝山花园 生活气息浓重', '澳德蓝山花园  | 2室2厅 | 71平米 | 西北 | 简装', '低楼层(共9层)2012年建塔楼  -  大良西北区', '98万', '单价13803元/平米')
('https://image1.ljcdn.com/440600-inspection/130f0a99-e041-44b5-bbc3-7c94d59d274a.jpg.296x216.jpg', '嘉信帝苑 三房出售', '嘉信城市花园帝苑  | 3室2厅 | 93平米 | 西南 | 精装', '中楼层(共16层)2011年建塔楼  -  大良新区', '180万', '单价19355元/平米')
('https://image1.ljcdn.com/440600-inspection/0f4b1bc9-9ffb-4b76-8d32-7a85fd02aaf7.jpg.296x216.jpg', '欧浦皇庭 车位 20万', '欧浦皇庭  | 车位 | 30.94平米 | 南', '板楼  -  乐从', '20万', '单价6465元/平米')
('https://image1.ljcdn.com/440600-inspection/603e1e93-f475-42e9-9589-4ba8e97181a9.jpg.296x216.jpg', '万科金域滨江 花园小区管理', '万科金域滨江  | 3室2厅 | 106平米 | 南 | 精装', '42层2017年建塔楼  -  大良新区', '203万', '单价19151元/平米')
('', '君御花园 繁华地段', '君御花园  | 3室2厅 | 143平米 | 南 | 其他', '中楼层(共11层)2007年建塔楼  -  大良东区', '270万', '单价18882元/平米')
('', '保利东湾 装修两房', '保利东湾东景花园  | 2室1厅 | 86平米 | 西南 | 简装', '中楼层(共28层)2014年建塔楼  -  乐从', '200万', '单价23256元/平米')
('https://image1.ljcdn.com/440600-inspection/85393480-0cad-47e2-95a2-62cfee330688.jpg.296x216.jpg', '嘉兆台 单身公寓出售', '嘉信城市广场  | 1室0厅 | 44平米 | 东南 | 精装', '20层2014年建板塔结合  -  大良新区', '90万', '单价20455元/平米')
('https://image1.ljcdn.com/440600-inspection/526e7552-457c-4d5c-a2ae-53853c076256.jpg.296x216.jpg', '佛山奥园商业街 3室2厅 160万', '佛山奥园商业街  | 3室2厅 | 76.37平米 | 南 | 其他', '高楼层(共6层)2008年建板楼  -  乐从', '160万', '单价20951元/平米')
('https://image1.ljcdn.com/440600-inspection/6bda7b4b-ec15-4c7f-83a4-d4727ee31a8b.jpg.296x216.jpg', '海悦新城 4室2厅 289万', '海悦新城  | 4室2厅 | 157平米 | 南 | 毛坯', '高楼层(共21层)2010年建塔楼  -  大良东区', '289万', '单价18408元/平米')
('https://image1.ljcdn.com/440600-inspection/a5bc324b-f8fa-4a8c-b2a8-1c68845ae593.JPG.296x216.jpg', '顺兴花园二房二厅', '顺兴花苑  | 2室2厅 | 98平米 | 北 | 简装', '高楼层(共7层)2000年建板楼  -  大良中区', '93万', '单价9490元/平米')
('https://image1.ljcdn.com/440600-inspection/1c007982-be06-4ef4-9246-b46919dc80d1.jpg.296x216.jpg', '乐从 河景苑', '乐从河景苑  | 3室2厅 | 175平米 | 东 | 其他', '低楼层(共10层)塔楼  -  乐从', '300万', '单价17143元/平米')
('https://image1.ljcdn.com/440600-inspection/80b5de28-edd0-4ef3-acfd-aa95704f89f3.jpg.296x216.jpg', '愉景花园 带平台', '愉景花园  | 2室2厅 | 61.64平米 | 南 | 简装', '高楼层(共7层)2000年建板楼  -  大良东区', '96万', '单价15575元/平米')
('https://image1.ljcdn.com/440600-inspection/fc1afca2-fe41-4417-959d-70c7912263ac.jpg.296x216.jpg', '金河水岸1期 南向无遮挡 装修4房', '金河水岸  | 4室2厅 | 200平米 | 南 | 简装', '高楼层(共26层)2009年建塔楼  -  乐从', '220万', '单价11000元/平米')
('https://image1.ljcdn.com/440600-inspection/63a2941a-0a67-49a2-ab96-d8ee0aa011a8.jpg.296x216.jpg', '保利东湾东瑞广场 1室1厅 68万', '保利东湾东瑞广场  | 1室1厅 | 59平米 | 东 | 其他', '低楼层(共32层)2013年建塔楼  -  乐从', '68万', '单价11526元/平米')
('https://image1.ljcdn.com/440600-inspection/3deef29b-4d8b-4f89-b779-fde4f59f3dc9.jpg.296x216.jpg', '嘉兆台带装3房，广场就在家门口', '嘉信城市广场  | 2室2厅 | 87平米 | 南 | 精装', '高楼层(共13层)2014年建塔楼  -  大良新区', '138万', '单价15863元/平米')
('', '保利中宇花园 3+1房 带中等装修', '保利中环一期中宇花园  | 4室2厅 | 143.98平米 | 北 | 精装', '低楼层(共32层)塔楼  -  大良新区', '234万', '单价16253元/平米')
('', '碧桂花城 两房二厅 带阁楼', '碧桂花城翠湖畔一区  | 2室2厅 | 67平米 | 西北 | 简装', '高楼层(共7层)2001年建塔楼  -  陈村', '140万', '单价20896元/平米')
('https://image1.ljcdn.com/440600-inspection/c911f4bc-00ac-40fd-9d30-e6cfce29fdd4.jpg.296x216.jpg', '依云水岸 环境优美 实用三房', '依云水岸三期  | 2室2厅 | 90平米 | 南 北 | 简装', '高楼层(共41层)2011年建塔楼  -  乐从', '200万', '单价22223元/平米')
('https://image1.ljcdn.com/440600-inspection/091d050d-b5bd-4601-a476-b610a341adf4.jpg.296x216.jpg', '保利东湾东景花园 4室2厅 318万', '保利东湾东景花园  | 4室2厅 | 141平米 | 南 | 毛坯', '低楼层(共30层)2014年建塔楼  -  乐从', '318万', '单价22554元/平米')
('https://image1.ljcdn.com/440600-inspection/57220a76-872a-490d-94ef-a8cf11d80e9b.jpg.296x216.jpg', '逸峻闲庭 3室2厅 180万', '逸峻闲庭  | 3室2厅 | 125平米 | 东南 | 简装', '16层2010年建板塔结合  -  大良南区', '180万', '单价14400元/平米')
('https://image1.ljcdn.com/440600-inspection/844faaec-acaa-4e87-b232-036d660799c6.jpg.296x216.jpg', '乐从佛奥湾 带家私家电 精美两房 满两年', '佛奥湾  | 2室2厅 | 88平米 | 西南 | 精装', '37层2018年建板塔结合  -  乐从', '160万', '单价18182元/平米')
('https://image1.ljcdn.com/440600-inspection/4374f9e6-b10b-4e84-bae7-83c6541ad770.jpg.296x216.jpg', '都市玫瑰苑 花园小区', '都市玫瑰苑  | 3室2厅 | 112.4平米 | 南 北 | 简装', '中楼层(共8层)2005年建板塔结合  -  大良南区', '165万', '单价14680元/平米')
('https://image1.ljcdn.com/440600-inspection/c981dccf-93c3-4a32-b281-05e72e95e332.jpg.296x216.jpg', '碧桂花城 保养好', '碧桂花城翠湖畔一区  | 2室2厅 | 76.78平米 | 南 | 精装', '中楼层(共7层)2001年建塔楼  -  陈村', '130万', '单价16932元/平米')
('https://image1.ljcdn.com/440600-inspection/59e2d7cf-d737-437a-bd5c-daa2edea688c.jpg.296x216.jpg', '岭岚花园 3房2厅 125万元', '岭岚花园紫翠轩  | 3室2厅 | 89.17平米 | 西北 | 简装', '低楼层(共7层)2006年建塔楼  -  大良西北区', '125万', '单价14019元/平米')
('', '广宏新村 4室2厅 158万', '广宏新村  | 4室2厅 | 140平米 | 东南 | 其他', '7层1995年建板楼  -  大良中区', '158万', '单价11286元/平米')
('https://image1.ljcdn.com/440600-inspection/885ad394-4018-48fc-a787-57724a786bc4.jpg.296x216.jpg', '嘉信城市花园二期 3室2厅 185万', '嘉信城市花园二期  | 3室2厅 | 113平米 | 西北 | 其他', '中楼层(共21层)2011年建塔楼  -  大良新区', '185万', '单价16372元/平米')
('', '佛山奥园贝沙轩 户型方正 采光良好', '佛山奥园贝沙轩  | 3室2厅 | 130.62平米 | 南 | 简装', '低楼层(共16层)2008年建塔楼  -  乐从', '180万', '单价13781元/平米')
('', '依云水岸 环境好', '依云水岸二期  | 4室2厅 | 203平米 | 南 北 | 简装', '高楼层(共42层)2010年建塔楼  -  乐从', '420万', '单价20690元/平米')
('https://image1.ljcdn.com/440600-inspection/42d3326d-0dbf-493c-a7f2-f2d2005d20c3.jpg.296x216.jpg', '新世界*天下 5房2厅 280万元', '新世界名门天下  | 5室2厅 | 142.55平米 | 西 | 精装', '高楼层(共29层)2012年建塔楼  -  大良中区', '280万', '单价19643元/平米')
('https://image1.ljcdn.com/440600-inspection/110bf351-8489-497b-9c50-f0772f30126f.jpg.296x216.jpg', '西山上筑 3室2厅 249万', '西山上筑  | 3室2厅 | 140平米 | 北 | 其他', '高楼层(共28层)2015年建塔楼  -  大良中区', '249万', '单价17786元/平米')
('https://image1.ljcdn.com/440600-inspection/081c0e88-058f-47d9-966e-70def69f72db.jpg.296x216.jpg', '乐从富德居 三房两厅', '富德居  | 2室2厅 | 116.5平米 | 东 | 毛坯', '低楼层(共8层)2010年建塔楼  -  乐从', '115万', '单价9872元/平米')
('https://image1.ljcdn.com/440600-inspection/1af20eba-8186-481e-a702-84298c580e15.jpg.296x216.jpg', '顺德雅居乐花园 望花园', '顺德雅居乐花园  | 3室2厅 | 115平米 | 西 | 简装', '低楼层(共25层)2011年建塔楼  -  大良南区', '208万', '单价18087元/平米')
('https://image1.ljcdn.com/440600-inspection/34e666dd-8024-4c87-bd7e-21d865811e39.jpg.296x216.jpg', '丽苑人家 2室2厅 93万', '丽苑人家  | 2室2厅 | 61平米 | 东 | 其他', '7层2000年建板塔结合  -  大良西北区', '93万', '单价15246元/平米')
('https://image1.ljcdn.com/440600-inspection/3bef3972-b74b-4c58-879f-e2780ea6ba45.jpg.296x216.jpg', '宏景楼 三房出售', '宏景楼  | 3室2厅 | 85平米 | 东北 | 其他', '中楼层(共7层)2003年建板楼  -  大良东区', '98万', '单价11530元/平米')
('https://image1.ljcdn.com/440600-inspection/e0f74622-9e70-4792-b1ee-d689654bf2d6.jpg.296x216.jpg', '金海M-CITY 三房两厅', '金海MCITY  | 3室2厅 | 94平米 | 南 | 其他', '中楼层(共49层)2015年建塔楼  -  乐从', '183万', '单价19469元/平米')
('https://image1.ljcdn.com/440600-inspection/9878edcd-6398-41ba-b87f-a3048e5b7529.jpg.296x216.jpg', '新联楼 家电齐 实用3房', '新联楼  | 3室1厅 | 88平米 | 东南 | 简装', '高楼层(共7层)板楼  -  乐从', '75万', '单价8523元/平米')
('https://image1.ljcdn.com/440600-inspection/7b4095e4-754f-40f5-8273-9c66f77ebff0.jpg.296x216.jpg', '保利东湾东瑞广场 1室1厅 104万', '保利东湾东瑞广场  | 1室1厅 | 75.11平米 | 东北 | 毛坯', '高楼层(共40层)2018年建塔楼  -  乐从', '104万', '单价13847元/平米')
('https://image1.ljcdn.com/440600-inspection/9f92ba87-7ef7-4b93-be6b-a9fde785bbdb.jpg.296x216.jpg', '佛山奥园美林水岸 2室2厅 116万', '佛山奥园美林水岸  | 2室2厅 | 83.62平米 | 西南 | 其他', '低楼层(共18层)2008年建塔楼  -  乐从', '116万', '单价13873元/平米')
('', '东银阁 交通便利', '东银阁  | 3室2厅 | 114平米 | 南 | 其他', '高楼层(共7层)2008年建板楼  -  大良中区', '125万', '单价10965元/平米')
('', '顺德绿地* 环境优美', '顺德绿地中心  | 3室2厅 | 52平米 | 南 北 | 其他', '中楼层(共20层)2017年建塔楼  -  大良东区', '108万', '单价20770元/平米')
('https://image1.ljcdn.com/440600-inspection/1e8e4058-736a-417b-a1f7-6a396140f9cc.jpg.296x216.jpg', '乐宜居带装修 格局方正 南向单位 采光充足', '乐宜居  | 3室2厅 | 112平米 | 南 | 其他', '高楼层(共8层)2005年建板楼  -  乐从', '125万', '单价11161元/平米')
('https://image1.ljcdn.com/440600-inspection/623a676e-2968-43d9-a88c-8e7a4e62d2f9.jpg.296x216.jpg', '愉景花园 2室2厅 92万', '愉景花园  | 2室2厅 | 67.48平米 | 南 | 简装', '中楼层(共7层)2000年建板楼  -  大良东区', '92万', '单价13634元/平米')
