('https://image1.ljcdn.com/shfdfs-image/20170513/541a8d1f-99cd-4d95-844a-58e16d808346.jpg.296x216.jpg', '内环内 05年次新小区 小户型电梯房 房型正气两室两厅', '中兴财富国际公寓  | 2室2厅 | 79.48平米 | 东南 | 精装 | 有电梯', '低楼层(共34层)2005年建板楼  -  不夜城', '548万', '单价68949元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171228/d0442e6f-3b46-487e-a734-dc3fdcbf64e5.jpg.296x216.jpg', '灵广大厦 4室2厅 710万', '灵广大厦  | 4室2厅 | 153.34平米 | 南 北 | 简装 | 有电梯', '低楼层(共25层)1997年建塔楼  -  不夜城', '710万', '单价46303元/平米')
('https://image1.ljcdn.com/310000-inspection/test-b8804413-4cb8-4a2f-b7aa-0ac35e88377d.png.296x216.jpg', '联富假日公寓 2室1厅 570万', '联富假日公寓  | 2室1厅 | 69.56平米 | 南 | 简装 | 有电梯', '中楼层(共24层)2007年建塔楼  -  西藏北路', '570万', '单价81944元/平米')
('https://image1.ljcdn.com/310000-inspection/fc947fc3-b5d6-4f97-9ff5-38f068d30af7.jpg.296x216.jpg', '幸福第一公寓 3室2厅 378万', '幸福第一公寓  | 3室2厅 | 82.4平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1994年建板楼  -  永和', '378万', '单价45874元/平米')
('', '永和二村 1室1厅 230万', '永和二村  | 1室1厅 | 42.95平米 | 南 | 其他 | 无电梯', '低楼层(共6层)1995年建板楼  -  永和', '230万', '单价53551元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/15a14ad0-1fdf-4059-a3b2-04567720ebb9.png.280x210.jpg', '彭浦精装一室户+近地铁+采光足+通风佳', '闻喜路1110弄  | 1室0厅 | 37.96平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1987年建板楼  -  彭浦', '175万', '单价46102元/平米')
('https://image1.ljcdn.com/310000-inspection/test-93161a9e-4dd1-4cd3-ad9d-d39c8e12361b.png.296x216.jpg', '满五唯一  南北通透  高区电梯两房  房型正气', '阳城花园  | 2室2厅 | 100平米 | 南 北 | 简装 | 有电梯', '中楼层(共11层)2001年建板楼  -  阳城', '660万', '单价66000元/平米')
('https://image1.ljcdn.com/310000-inspection/test-c514f3c6-5cc0-4911-bd9d-d635cd131f9c.png.296x216.jpg', '大宁路660弄 2室1厅 528万', '大宁路660弄  | 2室1厅 | 69.5平米 | 南 | 毛坯 | 有电梯', '低楼层(共12层)1995年建塔楼  -  大宁', '528万', '单价75972元/平米')
('https://image1.ljcdn.com/310000-inspection/test-f43406c5-a306-4cc1-b395-b32033964c49.png.296x216.jpg', '一楼南北通2房 带天井 东山墙全明看房方便 读书起点高', '洛川中路1100弄  | 2室1厅 | 49.67平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1983年建板楼  -  大宁', '320万', '单价64426元/平米')
('https://image1.ljcdn.com/310000-inspection/test-b5e17af6-c2fc-4d51-a079-f7eb54f7a93e.png.296x216.jpg', '品质小区次新房源，两梯两户开发商统一装修高区景观房', '中海万锦城(三期)  | 4室2厅 | 173.47平米 | 南 北 | 精装 | 有电梯', '高楼层(共20层)2014年建板楼  -  不夜城', '1460万', '单价84165元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadef39b0b8-9b39-4745-9ca4-f286c8cf1920.jpg.296x216.jpg', '高区景观房直视陆家嘴及公园 房型方正交通方便近地铁', '新梅共和城  | 3室2厅 | 122.77平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2004年建板楼  -  大宁', '935万', '单价76159元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload6ca12563-17c1-4f85-b362-273a8f9d5c4a.jpg.296x216.jpg', '嘉利明珠城，高区全南两房，视野景观好，满五税少', '嘉利明珠城  | 2室2厅 | 88.1平米 | 南 | 精装 | 有电梯', '高楼层(共38层)2005年建板楼  -  闸北公园', '685万', '单价77753元/平米')
('https://image1.ljcdn.com/310000-inspection/7122423e-c779-4567-b40a-86df3f487e05.JPG.296x216.jpg', '共康四村，改建完毕，五楼两房，诚意出售。', '共康四村  | 2室1厅 | 58.41平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1997年建板楼  -  彭浦', '270万', '单价46225元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170519/ff32cc1a-d519-47bf-ba99-cc02e872ad56.jpg.296x216.jpg', '1梯2户，房型正，得房率高，朝向好，单价低，满五唯一', '建灵公寓  | 3室2厅 | 122.7平米 | 南 西 北 | 简装 | 无电梯', '高楼层(共6层)1997年建板楼  -  西藏北路', '736万', '单价59984元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload6a279165-ce04-488f-9853-90367e97f263.JPG.296x216.jpg', '1号线共康路站 屹立公寓1梯2户 4楼全明户型560万', '屹立公寓  | 2室2厅 | 101.01平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1999年建板楼  -  彭浦', '555万', '单价54946元/平米')
('https://image1.ljcdn.com/310000-inspection/d69bff2d-fc55-4444-a057-13dfa0e12d8d.jpg.296x216.jpg', '内环内全明三房 一梯三户 高区采光好 近地铁1/8号线', '芷江西路150号  | 3室2厅 | 89.07平米 | 南 | 其他 | 无电梯', '中楼层(共7层)1994年建板楼  -  西藏北路', '480万', '单价53891元/平米')
('https://image1.ljcdn.com/310000-inspection/test-7d368e32-d1bb-4ef7-b2ae-36b6923c5220.png.296x216.jpg', '满5唯1+全明户型+大1房带露台可改2房+近铁+静安好房', '星纪花苑  | 1室1厅 | 57.01平米 | 东南 | 简装 | 有电梯', '高楼层(共15层)1996年建塔楼  -  彭浦', '290万', '单价50869元/平米')
('https://image1.ljcdn.com/310000-inspection/c68a4e93-84c3-4abc-a199-343acbe56295.jpg.296x216.jpg', '新静安精装复式赠露台，价格可谈，一梯两户，闹中取静', '岭南公寓  | 3室2厅 | 146.84平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1998年建板楼  -  彭浦', '600万', '单价40861元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/31d33dfa-137d-4204-8c4d-6c138276e432.png.280x210.jpg', '楼层高，单价低，2小未用，地铁3/4/8号线800米内', '复元坊  | 2室0厅 | 52.77平米 | 南 北 | 简装 | 有电梯', '高楼层(共7层)1993年建板楼  -  西藏北路', '325万', '单价61589元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161205/7f9263f8-ce14-4ab3-8426-c93c154e8ff7.jpg.296x216.jpg', '诚意出售 随时看房 近灵石公园', '佳宁花园  | 3室2厅 | 129.64平米 | 南 | 精装 | 有电梯', '低楼层(共11层)2002年建板楼  -  大宁', '868万', '单价66955元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadd36a4f9e-0ee3-45c5-b8fe-2e47d3682bef.jpg.296x216.jpg', '地铁次新房 精装拎包入住 南北通双阳台 诚意出售', '象屿大宁悦府  | 3室2厅 | 114.43平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2016年建板楼  -  彭浦', '928万', '单价81098元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/f3013dc8-8f39-46c9-844b-846597e2e2d3.png.280x210.jpg', '华侨城苏河湾(商业类) 4房间2卫 988万', '华侨城苏河湾(商业类)  | 2室2厅 | 150.72平米 | 南 | 精装', '中楼层(共22层)2012年建塔楼  -  西藏北路', '988万', '单价65553元/平米')
('https://image1.ljcdn.com/310000-inspection/ff404c0e-867a-47af-84ca-dead88f1aec1.jpg.296x216.jpg', '动迁不缴税，全南2房，客厅带窗，厨卫朝北，楼层2楼', '万荣新苑  | 2室1厅 | 76.44平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1994年建板楼  -  阳城', '425万', '单价55600元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload718a4f85-cb20-448b-a26e-26febaca1906.jpg.296x216.jpg', '内中环，地铁口，次新小区，新出稀罕两房，采光无遮挡', '上海滩大宁城(公寓)  | 2室2厅 | 79.5平米 | 南 | 精装 | 有电梯', '低楼层(共32层)2012年建板楼  -  大宁', '675万', '单价84906元/平米')
('https://image1.ljcdn.com/310000-inspection/9bb27014-da05-4f04-ab56-fb44e56d9c0c.jpg.296x216.jpg', '盛世馨园新出一房一厅，小户型总价低，随时可看', '盛世馨园  | 1室1厅 | 55.25平米 | 南 | 精装 | 无电梯', '高楼层(共5层)2004年建板楼  -  永和', '300万', '单价54299元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161028/d74ea3a6-56e3-4bee-87be-eaac36d62663.jpg.296x216.jpg', '位于一号线和三号线之间中装朝南一室户出售', '昌林公寓  | 1室1厅 | 54.48平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1996年建板楼  -  彭浦', '260万', '单价47724元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload65448d6d-93be-4e15-824c-7a73a614cabe.jpg.296x216.jpg', '芷江中路363弄 1室1厅 233万', '芷江中路363弄  | 1室1厅 | 40.38平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1987年建板楼  -  西藏北路', '233万', '单价57702元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171106/f51d190f-61ce-42c8-acd5-701a48afc6f2.jpg.296x216.jpg', '幸福新苑 1室1厅 170万', '幸福新苑  | 1室1厅 | 34.39平米 | 南 | 其他 | 无电梯', '低楼层(共3层)1996年建板楼  -  永和', '170万', '单价49433元/平米')
('https://image1.ljcdn.com/310000-inspection/test-da4a0b84-9681-4072-9b64-2b95f583ad2c.png.296x216.jpg', '南北通透，户型正气，干净清爽，楼层便捷，看房随时', '临汾花园,  | 2室1厅 | 67.75平米 | 南 | 精装 | 无电梯', '低楼层(共6层)1997年建板楼  -  彭浦', '339万', '单价50037元/平米')
('https://image1.ljcdn.com/310000-inspection/4241d533-b149-4d3f-a769-87ad426af730.JPG.296x216.jpg', '兴泉小区，改建完毕，三楼两房，诚意出售。', '兴泉小区  | 2室1厅 | 61.33平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1996年建板楼  -  彭浦', '315万', '单价51362元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/58d1208a-34f1-4979-813e-c9bb276da171.png.280x210.jpg', '售后公房税少，双卧朝南楼层佳采光好。看房提前约', '万荣小区  | 2室1厅 | 63.13平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1994年建板楼  -  阳城', '355万', '单价56234元/平米')
('https://image1.ljcdn.com/310000-inspection/test-2056343f-c9b0-4375-8bee-c71db8916578.png.296x216.jpg', '户型方正，一房朝南，前排位置，采光不挡，厨卫朝北', '闻喜路251弄  | 1室0厅 | 40.8平米 | 南 | 其他 | 无电梯', '中楼层(共6层)1987年建板楼  -  彭浦', '160万', '单价39216元/平米')
('https://image1.ljcdn.com/310000-inspection/test-fc3a6be7-3327-4d39-b10c-92d3e75c9d1e.png.296x216.jpg', '西藏北路1139号 2室0厅 360万', '西藏北路1139号  | 2室0厅 | 56.4平米 | 东 西 | 简装', '高楼层(共7层)板楼  -  西藏北路', '360万', '单价63830元/平米')
('https://image1.ljcdn.com/310000-inspection/3f43e9c5-9c4a-488b-8cba-7439c301077b.JPG.296x216.jpg', '一号线+低单价+南北通+房东急售，路过不要错过', '闻喜路1223弄  | 1室1厅 | 51.23平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1991年建板楼  -  彭浦', '230万', '单价44896元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180131/afb1a811-e81f-4d39-8379-8fa6dadad940.jpg.296x216.jpg', '全明三房二厅两卫，分家产，低价出售', '爱建新家园  | 3室2厅 | 132.51平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1998年建板楼  -  彭浦', '665万', '单价50185元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadf9125e03-560b-4690-b929-03b14701bfff.jpg.296x216.jpg', '满五唯一！婚房装修全南两房！本小区热门房源！', '嘉利明珠城  | 2室2厅 | 93.63平米 | 南 | 精装 | 有电梯', '低楼层(共30层)2005年建板楼  -  闸北公园', '698万', '单价74549元/平米')
('https://image1.ljcdn.com/310000-inspection/98e6fe0e-0483-467c-928c-751b5c802f4a.JPG.296x216.jpg', '户型方正 双南两房 近地铁 近万达  楼层好 采光好', '共和新路4555弄  | 2室0厅 | 47平米 | 南 | 精装 | 无电梯', '中楼层(共5层)1991年建板楼  -  彭浦', '250万', '单价53192元/平米')
('https://image1.ljcdn.com/shfdfs-image/20151011/eafd5e66-33e4-4a34-84c8-0d1b244b7c14.jpg.296x216.jpg', '万荣小区精装2房，2房朝南，房型好，采光足', '万荣小区  | 2室1厅 | 63.13平米 | 暂无数据 | 精装 | 无电梯', '高楼层(共6层)1994年建板楼  -  阳城', '328万', '单价51957元/平米')
('https://image1.ljcdn.com/310000-inspection/03a1dfc8-ecce-4d2e-92d2-c2783ce56a85.JPG.296x216.jpg', '双南两房，厅朝南，全明户型，房东诚心出售！', '三泉公寓  | 2室2厅 | 94.05平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1999年建板楼  -  彭浦', '530万', '单价56354元/平米')
('https://image1.ljcdn.com/310000-inspection/d11606fe-50ff-48a1-93ea-ab51ec977915.jpg.296x216.jpg', '两年前婚房装修，近地铁1号线8号线，交通便利，急售', '嘉利明珠城  | 2室2厅 | 85平米 | 南 | 精装 | 有电梯', '高楼层(共21层)2005年建板楼  -  闸北公园', '675万', '单价79412元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload114db06d-54d6-454d-a9e2-603494c79402.jpg.296x216.jpg', '单价5.5W的一室户 满五维一 户型方正 看房方便', '洪远公寓  | 1室1厅 | 44.75平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1992年建板楼  -  西藏北路', '250万', '单价55866元/平米')
('https://image1.ljcdn.com/310000-inspection/55948d4d-964d-4fab-a083-8ed6e06068eb.jpg.296x216.jpg', '越秀苑 3室2厅 840万', '越秀苑  | 3室2厅 | 131.11平米 | 南 | 其他 | 有电梯', '中楼层(共27层)2000年建板楼  -  不夜城', '840万', '单价64069元/平米')
('', '永和三村 1室1厅 250万', '永和三村  | 1室1厅 | 47.1平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1996年建板楼  -  永和', '250万', '单价53079元/平米')
('https://image1.ljcdn.com/310000-inspection/4805a34c-17e2-41a0-8781-2ec00972677a.jpg.296x216.jpg', '（空中别墅）全明户型+20平阁楼+50平大露台+上下3层', '嘉茵苑  | 4室2厅 | 170.01平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1998年建板楼  -  大宁', '890万', '单价52350元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170807/7777804a-46cd-4598-9c5d-f1734bf02880.jpg.296x216.jpg', '电梯房，三房两厅两卫，全明户型，居家自住不二选择！', '彭浦家园  | 3室2厅 | 137.24平米 | 南 | 简装', '低楼层(共18层)2001年建板楼  -  彭浦', '650万', '单价47363元/平米')
('https://image1.ljcdn.com/310000-inspection/b8b6cb0b-bce3-43ad-948c-d7ee349de2c7.JPG.296x216.jpg', '一梯两户双南户型 高楼层视野开阔 单价4.5万', '景凤小区  | 2室1厅 | 58.91平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1994年建板楼  -  彭浦', '270万', '单价45833元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadb4fcaf7e-8d73-4435-99e6-f932a3ad6606.jpg.296x216.jpg', '家中添丁急抛 低于市场价30万 本周必卖房', '龙盛佳苑  | 2室1厅 | 65.25平米 | 南 | 简装 | 有电梯', '高楼层(共15层)2011年建塔楼  -  阳城', '440万', '单价67433元/平米')
('https://image1.ljcdn.com/310000-inspection/test-7f7491f0-35c7-417e-a656-5b7d1e080802.png.296x216.jpg', '青云路702号 诚意出售 8号线地铁 有钥匙 2年精装修', '青云路702号  | 1室1厅 | 43.68平米 | 南 | 精装 | 无电梯', '中楼层(共7层)1985年建板楼  -  西藏北路', '288万', '单价65935元/平米')
('https://image1.ljcdn.com/310000-inspection/7d2bb3c1-57b9-4778-9453-afd18008193b.jpg.296x216.jpg', '满五唯一，在苏州河畔，近人民广场，大悦城，适合自住', '南星小区  | 2室1厅 | 65.92平米 | 西北 | 其他 | 有电梯', '中楼层(共20层)1984年建塔楼  -  西藏北路', '400万', '单价60680元/平米')
('https://image1.ljcdn.com/310000-inspection/432b079e-c11b-468a-978b-3c300435d1fc.JPG.296x216.jpg', '康泉小区，改建完毕，三楼一房，诚意出售。', '康泉小区  | 1室1厅 | 42.35平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1995年建板楼  -  彭浦', '212万', '单价50060元/平米')
('https://image1.ljcdn.com/310000-inspection/bb59ee0b-904f-4ac6-bda4-d624700b61fe.jpg.296x216.jpg', '闸北二中 心+贴近灵石公园+总价低+全明户型采光好', '芳沁苑  | 1室1厅 | 62.7平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2000年建板楼  -  大宁', '420万', '单价66986元/平米')
('https://image1.ljcdn.com/310000-inspection/721c4087-f3e8-4389-96e3-e803a7724ae2.jpg.296x216.jpg', '中粮天悦壹号 3室2厅 3200万', '中粮天悦壹号  | 3室2厅 | 227.99平米 | 南 | 精装', '中楼层(共25层)板楼  -  西藏北路', '3200万', '单价140358元/平米')
('https://image1.ljcdn.com/x-se/shfdfs-image/20161124/880b3ee3-76ed-4852-8977-1ad839d8a2d9.jpg.280x210.jpg', '景凤路205弄 1室0厅 183万', '景凤路205弄  | 1室0厅 | 41.88平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)1995年建板楼  -  彭浦', '183万', '单价43697元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170928/417b892d-067d-4be4-bd7d-f58434111262.jpg.296x216.jpg', '永盛苑 2室2厅 840万', '永盛苑  | 2室2厅 | 121.83平米 | 南 北 | 精装 | 有电梯', '高楼层(共32层)2003年建板楼  -  西藏北路', '840万', '单价68949元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/91fbff4b-6c61-42fa-aaa7-761a45b3e874.png.280x210.jpg', '翔前小区 精装两房 带天井 适合老年人居住 出行便利', '翔前小区  | 2室1厅 | 65平米 | 暂无数据 | 精装 | 无电梯', '低楼层(共6层)1994年建板楼  -  永和', '290万', '单价44616元/平米')
('https://image1.ljcdn.com/310000-inspection/c34cfc9c-ef84-4b70-8463-d76cc2ea4604.jpg.296x216.jpg', '新慧芝湖花园高区景观房，房子满五年，有固定车位', '慧芝湖花园  | 2室2厅 | 88.85平米 | 南 | 精装 | 有电梯', '高楼层(共28层)2007年建板楼  -  大宁', '790万', '单价88914元/平米')
('https://image1.ljcdn.com/310000-inspection/fe431192-03fe-4fc6-9d0f-e001ad7b2a64.jpg.296x216.jpg', '三阳小区 地铁8号线 楼层佳 采光好 满五唯一税少', '三阳小区  | 1室1厅 | 38.55平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1987年建板楼  -  闸北公园', '242万', '单价62776元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161022/05b1ed03-af39-4dfe-a6ac-aaf4ed9bf032.jpg.296x216.jpg', '中山家具大厦 内环内 新精装修 房型正气 交通便利', '中山家具大厦  | 2室2厅 | 115.7平米 | 南 | 精装 | 有电梯', '高楼层(共24层)1999年建板楼  -  不夜城', '680万', '单价58773元/平米')
('https://image1.ljcdn.com/310000-inspection/test-2a410c42-8032-448a-b771-aefeafbc9ad2.png.296x216.jpg', '此房 房东卖掉折现 急用钱 满五唯一 楼层好 全明户型', '沪太家具大厦  | 2室1厅 | 74.3平米 | 南 | 其他 | 有电梯', '中楼层(共28层)1999年建塔楼  -  不夜城', '440万', '单价59220元/平米')
('https://image1.ljcdn.com/310000-inspection/test-0e47a5f5-5cd6-4763-b117-b4e35b310fd3.png.296x216.jpg', '8号线地铁，大润发，多层中间楼层，南北三房，有钥匙', '乐业公寓  | 3室2厅 | 119.08平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)1999年建板楼  -  闸北公园', '700万', '单价58785元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170216/4235b274-76d1-4170-ac7f-3a9b20e3630c.jpg.296x216.jpg', '总价单价低 可改两房  采光充足', '慧芝湖花园  | 1室2厅 | 80.98平米 | 西南 | 简装 | 有电梯', '高楼层(共25层)2012年建塔楼  -  大宁', '640万', '单价79032元/平米')
('https://image1.ljcdn.com/310000-inspection/099921f7-845d-4b22-bc5b-976571d59a1a.JPG.296x216.jpg', '临汾路 一梯两户 南北通透 带露台 精装修 交通便利', '临汾路1244弄  | 2室2厅 | 70.6平米 | 南 北 | 精装 | 无电梯', '低楼层(共6层)1995年建板楼  -  彭浦', '400万', '单价56658元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload936634a1-ea34-4e52-b3ab-d2d0b3fa7d3e.jpg.296x216.jpg', '诚意急售，大商场旁边，近地铁口！配套成熟！', '景峰苑  | 2室1厅 | 65.34平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1994年建板楼  -  阳城', '325万', '单价49740元/平米')
('https://image1.ljcdn.com/310000-inspection/c78404c0-add3-4af1-83bb-76860d6f8563.JPG.296x216.jpg', '近地铁+精装一室户+满五唯一少税+全明户型+小区中间', '康平小区  | 1室0厅 | 32.57平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1983年建板楼  -  彭浦', '155万', '单价47590元/平米')
('https://image1.ljcdn.com/310000-inspection/c6519927-00b5-4b61-9a18-6583ebfe394d.jpg.296x216.jpg', '03年小区，中区电梯大三房，全明户型，看房方便。', '紫光苑  | 3室2厅 | 126.9平米 | 南 北 | 简装 | 有电梯', '中楼层(共18层)2003年建板楼  -  西藏北路', '836万', '单价65879元/平米')
('https://image1.ljcdn.com/310000-inspection/test-bf145a40-83e4-4da1-aa34-8e028d6045b3.png.296x216.jpg', '保德路1010弄 1室1厅 200万', '保德路1010弄  | 1室1厅 | 45.68平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1992年建板楼  -  彭浦', '200万', '单价43783元/平米')
('https://image1.ljcdn.com/310000-inspection/dd7841a2-ae8d-430b-b751-f36d4c683ff5.jpg.296x216.jpg', '精装2房楼层好 高区直观陆家嘴 位置安静小区品质高', '上海滩大宁城(公寓)  | 2室2厅 | 81平米 | 南 | 精装 | 有电梯', '中楼层(共32层)2012年建板楼  -  大宁', '675万', '单价83334元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/15184786-3418-45dd-81bc-8147ef8b1b7a.png.280x210.jpg', '1995年竣工，一梯两户，黄.金楼层，南北通，学.区房', '光华坊  | 1室1厅 | 36.57平米 | 南 | 简装 | 有电梯', '低楼层(共7层)1996年建板楼  -  西藏北路', '269万', '单价73558元/平米')
('https://image1.ljcdn.com/310000-inspection/b3302b6b-0d64-44da-a765-baee6c5bcfdc.jpg.296x216.jpg', '税费各付+省钱+单价低+总价低+楼栋位置好', '绿苑(闸北)  | 3室1厅 | 100.84平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1997年建板楼  -  大宁', '600万', '单价59501元/平米')
('https://image1.ljcdn.com/310000-inspection/763c8049-4580-4813-97c7-5ca5544794bf.jpg.296x216.jpg', '便宜肿的两房 2012年的新房 满五年唯一 人车分流', '和源祥邸珑庭  | 2室2厅 | 88.44平米 | 南 | 精装 | 有电梯', '高楼层(共14层)2011年建板楼  -  大宁', '748万', '单价84578元/平米')
('https://image1.ljcdn.com/310000-inspection/test-3557018b-9bc5-45ac-905d-e3794f919f54.png.296x216.jpg', '精装3房，视野开阔，俯瞰别墅，走路上学，业主诚售', '明园森林都市  | 3室2厅 | 121平米 | 东 | 精装 | 有电梯', '低楼层(共34层)2007年建塔楼  -  大宁', '850万', '单价70248元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170301/c587de9e-50fe-4468-abe6-cc7350b50203.jpg.296x216.jpg', '苏州河，遥看黄浦江，东方明珠，大花园', '河滨豪园  | 2室2厅 | 136.48平米 | 南 | 精装 | 有电梯', '中楼层(共31层)2000年建板楼  -  西藏北路', '1500万', '单价109907元/平米')
('https://image1.ljcdn.com/310000-inspection/test-b176937f-93c1-4d3a-9df6-cd062d9b6b12.png.296x216.jpg', '免征增值税+2014年小区内环内，全南景观1房，套现诚意', '和源馨苑  | 1室2厅 | 64.8平米 | 南 | 毛坯 | 有电梯', '中楼层(共31层)2014年建塔楼  -  西藏北路', '475万', '单价73303元/平米')
('https://image1.ljcdn.com/shfdfs-image/2014/0318/12CE201D256648AB93C42FF67058CEFE.jpg.296x216.jpg', '满五年唯一 南北通格局  楼层好  视野开阔 无噪音污染', '精文城上城  | 3室2厅 | 140.89平米 | 南 | 精装 | 有电梯', '中楼层(共29层)2004年建板楼  -  西藏北路', '1000万', '单价70978元/平米')
('https://image1.ljcdn.com/310000-inspection/4b1aeaf5-4295-4b85-9dcf-a3c9469128ef.JPG.296x216.jpg', '静安区边套全明两室户，总价低采光好，诚意出售总价低', '共康三村  | 2室0厅 | 44.84平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)1995年建板楼  -  彭浦', '215万', '单价47949元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload9d174e5b-58e5-4912-9b30-32c3dce81b18.jpg.296x216.jpg', '白玉兰馨园 2室1厅 395万', '白玉兰馨园  | 2室1厅 | 71.05平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2004年建板楼  -  永和', '395万', '单价55595元/平米')
('https://image1.ljcdn.com/310000-inspection/eb216ada-0ed6-416a-b9b6-b74a4afd8478.JPG.296x216.jpg', '共康三村，满五唯一省个税，小两房位置好，采光巨佳', '共康三村  | 2室0厅 | 44.26平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1995年建板楼  -  彭浦', '205万', '单价46318元/平米')
('https://image1.ljcdn.com/310000-inspection/17c3b130-f5bc-4c49-81c3-7ab9e2c80752.jpg.296x216.jpg', '东方莱茵，豪修，多轨相交，闹中取静，业主和气', '东方莱茵  | 2室2厅 | 138.2平米 | 南 北 | 精装 | 有电梯', '高楼层(共26层)2003年建板楼  -  不夜城', '1180万', '单价85384元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/bbbb441e-4293-48cb-a0eb-47cfc82ba0d1.png.280x210.jpg', '共康三村，改建完毕，六楼两房，诚意出售。', '共康三村  | 2室0厅 | 44.84平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1995年建板楼  -  彭浦', '195万', '单价43488元/平米')
('https://image1.ljcdn.com/310000-inspection/2003d1fe-dd31-40e4-9f45-6c05f632e1a2.JPG.296x216.jpg', '中星馨恒苑 2室2厅 615万', '中星馨恒苑  | 2室2厅 | 87.97平米 | 南 | 其他 | 有电梯', '高楼层(共11层)板楼  -  永和', '615万', '单价69911元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/30f0d347-43f5-4e55-9e07-27c8f6ece37b.png.280x210.jpg', '大宁新村全南两房，中间楼层，天气晴朗可以沐浴阳光', '大宁新村  | 2室0厅 | 49.1平米 | 南 | 毛坯 | 无电梯', '中楼层(共6层)1986年建板楼  -  闸北公园', '330万', '单价67210元/平米')
('https://image1.ljcdn.com/310000-inspection/a78d5ce5-ebd1-4573-9b26-c186f079c0f5.JPG.296x216.jpg', '精装1房1厅，笋盘在售，业主置换房屋，看中价格可商榷', '永和二村  | 1室1厅 | 43.83平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1995年建板楼  -  永和', '235万', '单价53617元/平米')
('https://image1.ljcdn.com/310000-inspection/ade44473-6ca8-4131-90d2-e53d42202341.jpg.296x216.jpg', '小区位置，南北通2房，满五唯一税费低，诚意出售', '柳营路1025弄  | 2室1厅 | 55.25平米 | 南 北 | 精装 | 无电梯', '低楼层(共6层)1988年建板楼  -  大宁', '360万', '单价65159元/平米')
