('https://image1.ljcdn.com/441900-inspection/cce0e410-e1f2-4403-89f6-67b45e10ba7a.jpg.296x216.jpg', '景湖春天大三房放售 带两个阳台 花园中间位置 很安静', '光大景湖春天  | 3室2厅 | 107平米 | 西北 | 其他', '低楼层(共10层)塔楼  -  火炼树', '220万', '单价20561元/平米')
('https://image1.ljcdn.com/441900-inspection/977ccf6d-d9dd-451d-8070-9d3cf1ac84c2.jpg.296x216.jpg', '中信德方斯1房出售 装修保养好业主诚心出售', '中信德方斯  | 1室1厅 | 43.9平米 | 南 | 其他', '高楼层(共22层)塔楼  -  东泰', '66万', '单价15035元/平米')
('https://image1.ljcdn.com/441900-inspection/70e5f656-5414-4c58-afc2-3a1e0785ad3c.jpg.296x216.jpg', '光大花园金辉苑 3室2厅 112.5万', '光大花园金辉苑  | 3室2厅 | 93.8平米 | 西南 | 其他', '高楼层(共7层)塔楼  -  火炼树', '112.5万', '单价11994元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadf4e39fd3-5b30-4e63-9a61-fe9c02572502.jpg.296x216.jpg', '万佳花园 两房 入学方便 交通方便 送杂物房', '万佳花园  | 2室2厅 | 92.08平米 | 北 | 其他', '中楼层(共8层)塔楼  -  花园新村', '80万', '单价8689元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload0ec4363e-5ade-44dc-93fb-aec82da663fe.jpg.296x216.jpg', '星河城下  高楼层采光好看房方便', '星河传说迪纳公寓  | 1室2厅 | 71平米 | 北 | 其他', '高楼层(共18层)塔楼  -  石井', '170万', '单价23944元/平米')
('https://image1.ljcdn.com/441900-inspection/5ff69e1e-d807-46bd-ad72-f0b2401d1b06.jpg.296x216.jpg', '小区中间位置，户型方正，带车位出售', '中信阳光澳园  | 3室2厅 | 127.77平米 | 南 | 其他', '高楼层(共11层)塔楼  -  东泰', '286万', '单价22384元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload3df96e69-b2cc-49e1-96cf-56f4d1279b31.jpg.296x216.jpg', '满五年住房  免双税 朝南三房 户型方正 带花园', '东泰花园康怡居  | 3室2厅 | 96.52平米 | 南 | 简装', '低楼层(共6层)暂无数据  -  东泰', '190万', '单价19686元/平米')
('https://image1.ljcdn.com/441900-inspection/66fe0909-6082-4c9a-a39b-b9bfb864225d.jpg.296x216.jpg', '宜景康源 地铁口物业，居家出行方便，价格实惠', '宜景康源  | 1室0厅 | 35.07平米 | 北 | 其他', '高楼层(共14层)塔楼  -  世博广场', '42万', '单价11977元/平米')
('https://image1.ljcdn.com/441900-inspection/64e527ec-8c79-4f16-8ce3-561c092fe721.jpg.296x216.jpg', '业主买新房放卖，诚心出售 景观好 朝会所 户型房子', '东泰花园泰华苑  | 3室1厅 | 116平米 | 南 | 简装', '中楼层(共8层)塔楼  -  东泰', '180万', '单价15518元/平米')
('https://image1.ljcdn.com/441900-inspection/7743e6e4-a6c6-4443-bfa4-07b359694ccd.jpg.296x216.jpg', '此房精装修复式，实用空间大，朝花园，安静舒适', '中信阳光假日  | 3室2厅 | 58.9平米 | 东北 | 其他', '高楼层(共6层)暂无数据  -  东泰', '130万', '单价22072元/平米')
('https://image1.ljcdn.com/441900-inspection/71d64401-7012-4c5c-adda-656f28b3febd.jpg.296x216.jpg', '中信阳光澳园 3室2厅 280万', '中信阳光澳园  | 3室2厅 | 133.96平米 | 南 北 | 其他', '中楼层(共16层)塔楼  -  东泰', '280万', '单价20902元/平米')
('https://image1.ljcdn.com/441900-inspection/0da9d42f-8203-4cf7-8f1d-24bd01d240a4.jpg.296x216.jpg', '产权清晰.  高楼层视野无遮挡，', '天骄峰景  | 3室2厅 | 140.03平米 | 南 | 其他', '低楼层(共30层)2009年建板楼  -  石井', '430万', '单价30708元/平米')
('https://image1.ljcdn.com/441900-inspection/cb451a4e-6c40-437c-b383-3812c2a442a3.jpg.296x216.jpg', '阳光假日 复式3房 实用率高 总价低 业主诚心出售', '中信阳光假日  | 3室2厅 | 58.27平米 | 北 | 其他', '高楼层(共6层)暂无数据  -  东泰', '135万', '单价23169元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload995af2c4-45bb-4e19-a88c-54d1911fd3b2.jpg.296x216.jpg', '康怡居住家两房 户型方正实用 花园中间 安静舒适', '东泰花园康怡居  | 2室2厅 | 83.23平米 | 北 东北 | 简装', '中楼层(共6层)暂无数据  -  东泰', '130万', '单价15620元/平米')
('https://image1.ljcdn.com/441900-inspection/4dc21129-d8b4-4bc8-a66e-bea838b4add5.jpg.296x216.jpg', '东城小区 休闲、娱乐、消费、生活 商圈完善', '东城中心  | 3室2厅 | 154.2平米 | 北 | 其他', '低楼层(共12层)塔楼  -  黄旗山', '310万', '单价20104元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload4decbaf9-ca19-4c15-b8bb-7563a5774dc5.jpg.296x216.jpg', '东泰花园风云汇单身公寓 钥匙在手看房方便', '东泰花园风云汇  | 1室0厅 | 43.26平米 | 西南 | 其他', '中楼层(共17层)塔楼  -  东泰', '64.5万', '单价14910元/平米')
('https://image1.ljcdn.com/441900-inspection/c140f83a-9da5-47e2-8992-2bb13defe050.jpg.296x216.jpg', '新世纪河畔广场  满五唯一 无个税', '新世纪河畔广场  | 1室1厅 | 55.79平米 | 南 | 其他', '中楼层(共17层)塔楼  -  花园新村', '65万', '单价11651元/平米')
('https://image1.ljcdn.com/441900-inspection/df57c1d2-313d-4f30-9ede-ce772db99414.jpg.296x216.jpg', '香槟时代园 小复室两房 带装修 地铁 世博万达商圈', '香缤时代园  | 2室1厅 | 50.27平米 | 北 | 其他', '低楼层(共13层)塔楼  -  世博广场', '110万', '单价21882元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload83e5921c-c300-4c92-ab8e-07bbc44e0c3e.jpg.296x216.jpg', '中信凯旋城 一楼带花园 南向 刚需三房 看房方便', '中信凯旋城  | 3室2厅 | 117.11平米 | 南 | 其他', '低楼层(共11层)塔楼  -  东泰', '350万', '单价29887元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload64ebc866-c12a-415c-9712-166d3c52aeb5.jpg.296x216.jpg', '风云汇 户型方正 带空中花园 楼龄新', '东泰花园风云汇  | 1室1厅 | 43.5平米 | 西北 | 其他', '低楼层(共17层)塔楼  -  东泰', '65万', '单价14943元/平米')
('https://image1.ljcdn.com/441900-inspection/7ddf8a21-f440-4c27-9add-8c7417748353.jpg.296x216.jpg', '东城中 心五期满五唯一，地铁口物业，配套齐全。', '东城中心  | 7室1厅 | 195.82平米 | 北 | 其他', '高楼层(共17层)塔楼  -  黄旗山', '330万', '单价16853元/平米')
('https://image1.ljcdn.com/441900-inspection/3579ef29-91eb-4803-b13a-323c2a507973.jpg.296x216.jpg', '新世纪河畔广场采光好，户型方正带装修家电可拎包入住', '新世纪河畔广场  | 1室1厅 | 55.5平米 | 南 | 其他', '中楼层(共17层)塔楼  -  花园新村', '55万', '单价9910元/平米')
('https://image1.ljcdn.com/441900-inspection/b8dd816f-5170-4ebb-843a-211edae572c6.jpg.296x216.jpg', '花街18 电梯3房 小高层 看花园安静 交通入学停车方便', '花街18百合苑  | 3室2厅 | 103.3平米 | 北 | 其他', '中楼层(共12层)塔楼  -  花园新村', '160万', '单价15489元/平米')
('https://image1.ljcdn.com/441900-inspection/e271f68c-53ae-40e9-9ec1-527c8328aadf.jpg.296x216.jpg', '东泰花园康怡居，环境优美，户型方正实用，通风透气。', '东泰花园康怡居  | 3室2厅 | 97平米 | 南 | 精装', '高楼层(共6层)暂无数据  -  东泰', '180万', '单价18557元/平米')
('https://image1.ljcdn.com/441900-inspection/71cdefed-d85b-42be-afd6-e181fe252cb2.jpg.296x216.jpg', '东城地铁口物业 小区安静位置 高楼层少有出售的电梯房', '东城中心  | 3室2厅 | 115.78平米 | 东 | 其他', '高楼层(共12层)塔楼  -  黄旗山', '232万', '单价20039元/平米')
('https://image1.ljcdn.com/441900-inspection/80eee450-04f8-4b2f-b056-b09d51143080.jpg.296x216.jpg', '年丰山庄 全新装修3房双阳台 看别墅风景 带地面停车位', '年丰山庄  | 3室2厅 | 123.89平米 | 西北 | 其他', '低楼层(共6层)暂无数据  -  温塘', '180万', '单价14530元/平米')
('https://image1.ljcdn.com/441900-inspection/0674d856-39ff-4fdc-98f1-03e2787cb21c.jpg.296x216.jpg', '小区中间位置，带大花园，设计自己的花园生活', '中信凯旋城  | 4室2厅 | 162.18平米 | 南 北 | 其他', '低楼层(共11层)塔楼  -  东泰', '450万', '单价27747元/平米')
('https://image1.ljcdn.com/441900-inspection/c6f4d640-d959-45f3-92bb-6843ba164f4f.jpg.296x216.jpg', '光大景湖春天 6室2厅 400万', '光大景湖春天  | 6室2厅 | 224.78平米 | 北 | 其他', '高楼层(共5层)暂无数据  -  火炼树', '400万', '单价17796元/平米')
('https://image1.ljcdn.com/441900-inspection/1e2c1941-0120-4afc-9681-0cee87e12715.jpg.296x216.jpg', '卓越时代广场 3室2厅 260万', '卓越时代广场  | 3室2厅 | 94平米 | 东南 | 其他', '低楼层(共29层)塔楼  -  世博广场', '260万', '单价27660元/平米')
('https://image1.ljcdn.com/441900-inspection/83079579-5607-402d-a64c-e64f0123a8e9.jpg.296x216.jpg', '中信德方斯，精装修 1房1厅  电梯高层', '中信德方斯  | 1室1厅 | 43平米 | 北 | 其他', '中楼层(共22层)塔楼  -  东泰', '68万', '单价15814元/平米')
('https://image1.ljcdn.com/441900-inspection/8817b94d-4f98-4056-be68-d735a067f4ca.jpg.296x216.jpg', '南北通透户型 满五 唯一  业主诚心出售', '光大景湖春天  | 3室2厅 | 112平米 | 南 | 简装', '高楼层(共5层)暂无数据  -  火炼树', '190万', '单价16965元/平米')
('https://image1.ljcdn.com/441900-inspection/3ca3acec-4850-4af2-a59b-594fcc376ab5.jpg.296x216.jpg', '天鹅花园 3室2厅 70万', '天鹅花园  | 3室2厅 | 99.96平米 | 东南 | 其他', '中楼层(共7层)2000年建塔楼  -  花园新村', '70万', '单价7003元/平米')
('https://image1.ljcdn.com/441900-inspection/f5ae7c91-dd25-4180-992d-1c998ef088fd.jpg.296x216.jpg', '东泰花园中楼层3房 朝花园安静', '东泰花园富华苑  | 3室2厅 | 103.47平米 | 东北 | 其他', '中楼层(共8层)塔楼  -  东泰', '105万', '单价10148元/平米')
('https://image1.ljcdn.com/440300-inspection/cee23277-0a4b-48d4-8da2-4281857ced19.jpg.296x216.jpg', '精装修3房 可以改4 房 现诚心 出售', '东城中心  | 3室2厅 | 174平米 | 西北 | 其他', '中楼层(共8层)塔楼  -  黄旗山', '160万', '单价9196元/平米')
('https://image1.ljcdn.com/441900-inspection/89d392c8-91a9-4194-8a34-5130c8e733bd.jpg.296x216.jpg', '花街18 南向4房 满五唯一 中楼层 小区中间安静看花园', '花街18百合苑  | 4室2厅 | 148.02平米 | 南 | 其他', '中楼层(共11层)塔楼  -  花园新村', '260万', '单价17566元/平米')
('https://image1.ljcdn.com/441900-inspection/c5154201-d36d-4037-93ee-9f552e508a39.jpg.296x216.jpg', '电梯一房    临  近地铁和万达广场  交通购物便利', '东海阳光  | 1室1厅 | 45平米 | 北 | 其他', '低楼层(共17层)塔楼  -  世博广场', '78万', '单价17334元/平米')
('https://image1.ljcdn.com/441900-inspection/97a6ca0e-5fdf-48b2-817b-67d86c181964.jpg.296x216.jpg', '市政位置 地铁口物业 居家刚需三房', '怡丰都市广场  | 3室2厅 | 99.49平米 | 西北 | 简装', '高楼层(共11层)塔楼  -  东泰', '168万', '单价16887元/平米')
('https://image1.ljcdn.com/441900-inspection/8f2c3d6b-afcd-478c-a6f3-9c630b06ffcb.jpg.296x216.jpg', '黄旗印象 精装三房 采光通风好 拎包入住', '黄旗印象  | 3室2厅 | 98平米 | 西南 | 精装', '低楼层(共17层)塔楼  -  火炼树', '280万', '单价28572元/平米')
('https://image1.ljcdn.com/441900-inspection/44cf0356-75e4-43b0-b72c-4d37e61d68fb.jpg.296x216.jpg', '东泰花园，户型方正，位置安静，新装修', '东泰花园富华苑  | 3室2厅 | 113.9平米 | 南 | 其他', '中楼层(共8层)塔楼  -  东泰', '120万', '单价10536元/平米')
('https://image1.ljcdn.com/441900-inspection/cc7aa4b7-d512-47a8-8447-3fac342c2e78.jpg.296x216.jpg', '临地铁 免双税 高楼层 南北对流户型 采光视野都很好', '黄旗印象  | 2室2厅 | 74.76平米 | 北 | 其他', '中楼层(共17层)塔楼  -  火炼树', '208万', '单价27823元/平米')
('https://image1.ljcdn.com/441900-inspection/cdb67f70-5ee1-4e65-b694-d99bb1b1d887.jpg.296x216.jpg', '东泰花园景华苑 4室2厅 166万', '东泰花园景华苑  | 4室2厅 | 139平米 | 东南 | 简装', '高楼层(共8层)塔楼  -  东泰', '166万', '单价11943元/平米')
('https://image1.ljcdn.com/441900-inspection/8ff74985-9b78-4863-854f-663aa9c75780.jpg.296x216.jpg', '东泰花园明华苑三房出售 中高楼层采光佳', '东泰花园明华苑  | 3室2厅 | 105平米 | 南 北 | 其他', '中楼层(共8层)塔楼  -  东泰', '180万', '单价17143元/平米')
('https://image1.ljcdn.com/441900-inspection/89a3bf01-d9e4-46ee-8da7-757f41ee730e.jpg.296x216.jpg', '怡丰都市广场一房一厅  带租约出售', '怡丰都市广场  | 1室1厅 | 43平米 | 东北 | 其他', '高楼层(共11层)塔楼  -  东泰', '68万', '单价15814元/平米')
('https://image1.ljcdn.com/441900-inspection/7c1ba78f-286e-4bbf-bd3e-7534f9cfb8e0.jpg.296x216.jpg', '成熟小区 业主诚心出售 地铁口物业 采光通透户型方正', '联华花园城  | 3室2厅 | 118.23平米 | 南 北 | 精装', '低楼层(共16层)塔楼  -  上下桥', '205万', '单价17340元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload227c9e2c-dd99-4a45-8f3c-50fab07d3d90.jpg.296x216.jpg', '德方斯大单间 满五唯一  有钥匙随时看房 业主诚心卖', '中信德方斯  | 1室0厅 | 44平米 | 西 | 其他', '高楼层(共22层)塔楼  -  东泰', '69万', '单价15682元/平米')
('https://image1.ljcdn.com/441900-inspection/ee4966ae-e281-4625-bda6-2d6dd52cbde0.jpg.296x216.jpg', '怡丰君逸名轩 3室2厅 210万', '怡丰君逸名轩  | 3室2厅 | 114.74平米 | 南 | 其他', '低楼层(共18层)塔楼  -  石井', '210万', '单价18303元/平米')
('https://image1.ljcdn.com/441900-inspection/9d38694d-45a9-4773-b76e-07da2caeeae3.jpg.296x216.jpg', '万达公馆大四房 南北对流采光通透 拎包入住 看房方便', '东城万达广场  | 4室1厅 | 184.31平米 | 东南 | 其他', '高楼层(共30层)板楼  -  世博广场', '600万', '单价32554元/平米')
('https://image1.ljcdn.com/441900-inspection/cf0913a4-1166-453e-a644-be24a693dee1.jpg.296x216.jpg', '满五唯一澳园电梯居家大3房 带车位 看花园 南北双阳台', '中信阳光澳园  | 3室2厅 | 111.62平米 | 东北 | 简装', '中楼层(共16层)2004年建塔楼  -  东泰', '290万', '单价25982元/平米')
('https://image1.ljcdn.com/441900-inspection/806d22aa-f741-4e5b-9349-5ce038d10474.jpg.296x216.jpg', '九龙一号两房 地铁口物业 精装修 交通便利', '九龙1号  | 2室2厅 | 94平米 | 西北 | 精装', '低楼层(共27层)塔楼  -  东泰', '160万', '单价17022元/平米')
('https://image1.ljcdn.com/441900-inspection/4ce9018d-d4e0-48fa-bc92-120ad42dbd20.jpg.296x216.jpg', '房正户型，实用三房，配套齐全，总价低。', '第二教师村  | 3室2厅 | 93.57平米 | 北 | 简装', '高楼层(共7层)1998年建塔楼  -  上下桥', '85万', '单价9085元/平米')
('https://image1.ljcdn.com/441900-inspection/c92970ba-a8fc-4363-96e7-16e294160a73.jpg.296x216.jpg', '怡丰都市满五唯一三房放卖 户型方正 实用率高 安静', '怡丰都市广场  | 3室2厅 | 133平米 | 东北 | 其他', '中楼层(共11层)塔楼  -  东泰', '203万', '单价15264元/平米')
('https://image1.ljcdn.com/441900-inspection/aafa5b10-f05e-4698-83e5-7f0be24e3c62.jpg.296x216.jpg', '户型方正 装修保养好 业主诚心卖 电梯房', '中信阳光假日  | 4室2厅 | 166.35平米 | 南 | 其他', '低楼层(共11层)塔楼  -  东泰', '320万', '单价19237元/平米')
('https://image1.ljcdn.com/441900-inspection/e1138ab8-4c81-49e4-a17d-fa8efaff4915.jpg.296x216.jpg', '鼎峰卡布斯一房一厅出售 户型方正使用率高', '鼎峰卡布斯  | 1室1厅 | 49.86平米 | 南 | 其他', '低楼层(共18层)2009年建塔楼  -  东泰', '105万', '单价21059元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploada3e65984-bde6-424b-89ca-06c03c808a9e.jpg.296x216.jpg', '明怡苑 2室2厅 230万', '明怡苑  | 2室2厅 | 200.2平米 | 南 | 其他', '高楼层(共15层)塔楼  -  花园新村', '230万', '单价11489元/平米')
('https://image1.ljcdn.com/441900-inspection/34b80398-b837-45b0-a0ff-6daccd3dbdfe.jpg.296x216.jpg', '舒适三房 位置安静，人车分流小区', '中信凯旋城  | 3室2厅 | 161.63平米 | 南 | 其他', '中楼层(共11层)塔楼  -  东泰', '480万', '单价29698元/平米')
('https://image1.ljcdn.com/441900-inspection/1cfcc53c-63d4-4463-86cb-1bf7f96224c8.jpg.296x216.jpg', '宜景康源  少有户型 配套完善 家私家电齐全', '宜景康源  | 1室0厅 | 36平米 | 北 | 其他', '中楼层(共14层)塔楼  -  世博广场', '35万', '单价9723元/平米')
('https://image1.ljcdn.com/441900-inspection/e1cc6409-5243-4e99-934f-8991f2aa8042.jpg.296x216.jpg', '此房位于东城万达商圈，地段好，东城地铁口旁', '花样年华  | 1室0厅 | 42平米 | 北 | 其他', '高楼层(共21层)塔楼  -  主山', '50万', '单价11905元/平米')
('https://image1.ljcdn.com/441900-inspection/19b99fda-af85-414b-b3c6-3fa2518aced8.jpg.296x216.jpg', '富丽苑 两房一厅 高楼层 交通方便  通风采光好', '富丽苑  | 2室1厅 | 56平米 | 南 | 其他', '中楼层(共8层)塔楼  -  花园新村', '45万', '单价8036元/平米')
('https://image1.ljcdn.com/441900-inspection/a8047776-cc9d-4ec6-9ce6-a12627a82ced.jpg.296x216.jpg', '中惠丽阳时代 刚需两房 带装修 配套齐全 业主诚意出售', '中惠丽阳时代  | 2室1厅 | 63.13平米 | 南 | 其他', '低楼层(共26层)塔楼  -  石井', '100万', '单价15841元/平米')
('https://image1.ljcdn.com/441900-inspection/960ba928-5047-4766-ad0a-22bd125b8141.jpg.296x216.jpg', '中惠华庭 带装修 业主自住保养好 诚意出售', '中惠华庭  | 4室2厅 | 117平米 | 南 | 其他', '高楼层(共7层)塔楼  -  东平街', '165万', '单价14103元/平米')
('https://image1.ljcdn.com/441900-inspection/762a26e4-5eae-4a2f-8d64-7f48b8e80569.jpg.296x216.jpg', '明华苑居家三房   一梯两户 满五年 唯 一  南北通透', '东泰花园明华苑  | 3室2厅 | 105.33平米 | 南 | 简装', '低楼层(共8层)塔楼  -  东泰', '166万', '单价15760元/平米')
('https://image1.ljcdn.com/441900-inspection/4f55484d-0f9b-4c03-8f1c-899ca76d9ac4.jpg.296x216.jpg', '光大花园低楼层2房 满五唯一  费用少  生活配套方便', '光大花园金翠苑  | 2室2厅 | 63平米 | 北 | 简装', '低楼层(共7层)塔楼  -  火炼树', '88万', '单价13969元/平米')
('https://image1.ljcdn.com/441900-inspection/c1ec8f94-a721-4db5-8142-e594b8324222.jpg.296x216.jpg', '超大四房 面积适合一大家住 业主诚意出售', '雍华庭  | 4室2厅 | 253.6平米 | 东南 南 | 其他', '高楼层(共11层)2006年建塔楼  -  东平街', '430万', '单价16956元/平米')
('https://image1.ljcdn.com/441900-inspection/7f2e1baf-aa47-46af-bf93-aebbac2e9203.jpg.296x216.jpg', '星河传说天玺 4室2厅 800万', '星河传说天玺  | 4室2厅 | 255.63平米 | 南 | 其他', '中楼层(共25层)塔楼  -  石井', '800万', '单价31296元/平米')
('https://image1.ljcdn.com/441900-inspection/27e43b93-02b6-476d-8864-4eee26a22d18.jpg.296x216.jpg', '精装修2房，家电齐全，格局方正  业主诚信放售', '东海阳光  | 2室2厅 | 87.7平米 | 南 | 其他', '中楼层(共25层)塔楼  -  世博广场', '202万', '单价23034元/平米')
('https://image1.ljcdn.com/441900-inspection/5df6089c-bcd4-437d-bd93-57152005cb3c.jpg.296x216.jpg', '怡丰公寓 1室0厅 78万', '怡丰公寓  | 1室0厅 | 35.59平米 | 南 | 其他', '高楼层(共17层)塔楼  -  东泰', '78万', '单价21917元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload91728a68-c660-4bde-bb9a-8790fa1c1656.jpg.296x216.jpg', '雍华庭 漂亮三房 高楼层 视野开阔 诚心出售', '雍华庭  | 3室2厅 | 142平米 | 西北 | 其他', '高楼层(共32层)塔楼  -  东平街', '258万', '单价18170元/平米')
('https://image1.ljcdn.com/441900-inspection/bc249437-1a29-4d31-b630-860ec972ed28.jpg.296x216.jpg', '东泰花园 户型方正 采光好 交通方便的', '东泰花园景华苑  | 3室2厅 | 108.05平米 | 北 | 其他', '中楼层(共8层)塔楼  -  东泰', '175万', '单价16197元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload975195b8-3573-4e17-81a1-8c42a545df9c.jpg.296x216.jpg', '康怡居四房 一楼带前后花园 实用面积大 居家舒适', '东泰花园康怡居  | 4室2厅 | 145平米 | 南 | 简装', '低楼层(共6层)暂无数据  -  东泰', '258万', '单价17794元/平米')
('https://image1.ljcdn.com/441900-inspection/db1124d9-9853-4fdf-9817-aef536816c7f.jpg.296x216.jpg', '东泰明华苑 实用2房 中间楼层 保养好拎包入住 配套齐', '东泰花园明华苑  | 2室2厅 | 84.19平米 | 东南 | 精装', '中楼层(共8层)塔楼  -  东泰', '144万', '单价17105元/平米')
('https://image1.ljcdn.com/441900-inspection/d6991ceb-9365-46ea-b1ba-c128bc72fbcd.jpg.296x216.jpg', '标准三房，高楼层，采光好，保养好。', '东泰花园嘉华苑  | 3室2厅 | 95.58平米 | 南 | 其他', '高楼层(共8层)塔楼  -  东泰', '130万', '单价13602元/平米')
('https://image1.ljcdn.com/441900-inspection/44982b87-b7b0-4133-aeca-4831629c3ece.jpg.296x216.jpg', '新世界花园实用三房，格局方正实用，中间位置安静舒适', '新世界花园  | 3室2厅 | 104平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  黄旗山', '200万', '单价19231元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload53b3a0c5-be42-4298-866b-bbbb4d30da72.jpg.296x216.jpg', '实用三房 格局方正 朝南户型 价格实惠 业主诚意出售', '芳桂园  | 3室2厅 | 117平米 | 南 | 其他', '高楼层(共11层)1998年建塔楼  -  主山', '220万', '单价18804元/平米')
('https://image1.ljcdn.com/441900-inspection/2e83bce4-a4a5-4a4a-afb9-268da18bf0c6.2.jpg.296x216.jpg', '顶楼复式带大平台 可做建身房 带2个套间', '中信阳光假日  | 6室3厅 | 196.03平米 | 南 | 其他', '高楼层(共6层)暂无数据  -  东泰', '330万', '单价16835元/平米')
('https://image1.ljcdn.com/441900-inspection/2b506ad5-f7c0-4e08-a39d-63b1e1deefc4.jpg.296x216.jpg', '房子保养的很好。大阳台.小区所处地段配套齐全。', '中信阳光假日  | 4室2厅 | 169.55平米 | 南 | 其他', '低楼层(共6层)暂无数据  -  东泰', '340万', '单价20054元/平米')
('https://image1.ljcdn.com/441900-inspection/727a50ce-41a3-4e2b-bdef-43ba1f7effc7.jpg.296x216.jpg', '星河传说聚星岛B区 业主诚心出售 看房方便', '星河传说聚星岛B区  | 4室2厅 | 172平米 | 南 | 其他', '低楼层(共17层)塔楼  -  石井', '510万', '单价29652元/平米')
('https://image1.ljcdn.com/441900-inspection/278703ff-e595-4d7f-a535-9e052f88019a.jpg.296x216.jpg', '澳园精装修电梯三房，带车位，朝南采光好。', '中信阳光澳园  | 3室2厅 | 105平米 | 南 | 其他', '高楼层(共16层)2004年建塔楼  -  东泰', '270万', '单价25715元/平米')
('https://image1.ljcdn.com/441900-inspection/e524a624-e683-4d5d-a68b-609cb1dfb63d.jpg.296x216.jpg', '明华苑  精装三房放卖 户型方正 位置安静', '东泰花园明华苑  | 3室2厅 | 107平米 | 南 | 其他', '低楼层(共8层)塔楼  -  东泰', '155万', '单价14486元/平米')
('https://image1.ljcdn.com/441900-inspection/fd65ae12-410a-4b46-969b-ff753981e882.jpg.296x216.jpg', '明华苑三房 高楼层 采光好 朝小区花园', '东泰花园明华苑  | 3室2厅 | 107平米 | 南 | 其他', '中楼层(共8层)塔楼  -  东泰', '150万', '单价14019元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload10e3da29-4e25-4395-85ca-26ebbb72fca8.jpg.296x216.jpg', '单证高层户型 新装修一年 自住保养好 通透户型', '黄旗山1号  | 4室2厅 | 226平米 | 南 | 其他', '中楼层(共28层)塔楼  -  石井', '650万', '单价28762元/平米')
('https://image1.ljcdn.com/441900-inspection/b685d0e8-30ce-4340-b554-f36c18fd7bb9.jpg.296x216.jpg', '地铁口三房，高层景观好，保养好，诚意出售', '东城中心  | 3室2厅 | 142平米 | 西南 | 其他', '高楼层(共12层)塔楼  -  黄旗山', '260万', '单价18310元/平米')
('https://image1.ljcdn.com/441900-inspection/3631301c-22e6-4e65-80a8-2c6b6c186fb1.jpg.296x216.jpg', '南北对流 房子装修漂亮 拎包入住', '东城万达广场  | 4室2厅 | 184.31平米 | 南 | 其他', '高楼层(共30层)板楼  -  世博广场', '516万', '单价27997元/平米')
('https://image1.ljcdn.com/441900-inspection/5fb98608-da97-4497-b1f8-40c3c2d7f8a4.jpg.296x216.jpg', '地铁口物业，满五唯一，免双税。', '芳桂园  | 2室1厅 | 78.77平米 | 东南 | 其他', '高楼层(共8层)1998年建塔楼  -  主山', '120万', '单价15235元/平米')
('https://image1.ljcdn.com/441900-inspection/8d6ad3c4-e401-417b-af2c-e1e087804381.jpg.296x216.jpg', '风云汇高层3房出售 朝花园安静不吵 看房方便', '东泰花园风云汇  | 1室1厅 | 46平米 | 南 | 其他', '高楼层(共13层)塔楼  -  东泰', '70万', '单价15218元/平米')
('https://image1.ljcdn.com/441900-inspection/46e6420d-51d2-4ccc-82cb-9cf724c0abcd.jpg.296x216.jpg', '黄旗印象满五广东省一套住房 业主自住', '黄旗印象  | 3室2厅 | 102.71平米 | 北 | 其他', '高楼层(共17层)塔楼  -  火炼树', '268万', '单价26093元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploada59b05b3-5c4e-47a4-8b01-a7538605615f.jpg.296x216.jpg', '地铁口物业  电梯房  东海阳光 1单元朝南户型看花园', '东海阳光  | 1室1厅 | 56平米 | 南 | 其他', '高楼层(共17层)塔楼  -  世博广场', '120万', '单价21429元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload34792768-f23f-41c2-bfd9-8657ac11f6c6.jpg.296x216.jpg', '漂亮三房，高度绿化小区。生活配套很齐全。', '金泽花园  | 3室2厅 | 173平米 | 北 | 其他', '中楼层(共19层)2006年建塔楼  -  东平街', '255万', '单价14740元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload79291738-5f9a-4818-a573-a42192b237cb.jpg.296x216.jpg', '精装一房，户型朝南，采光好，位置安静，配套成熟', '中信德方斯  | 1室1厅 | 70.11平米 | 南 北 | 精装', '高楼层(共22层)塔楼  -  东泰', '115万', '单价16403元/平米')
