('https://image1.ljcdn.com/320500-inspection/test-7c6e955e-07fd-4d9f-bddf-e9cf559b50ad.png.296x216.jpg', '南北大三房，精装修，家具家电全留，有钥匙，有车位', '中海御景湾  | 3室2厅 | 117平米 | 南 北 | 精装 | 有电梯', '高楼层(共39层)2015年建板楼  -  金阊新城', '266万', '单价22736元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload732d6445-3ee8-432e-989e-b38eb1b21e1b.jpg.296x216.jpg', '新康花园 4室2厅 375万', '新康花园  | 4室2厅 | 121平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2001年建板楼  -  胥江', '375万', '单价30992元/平米')
('https://image1.ljcdn.com/320500-inspection/97c70bc7-106c-4e6a-9cd6-0d95708cae9b.jpg.296x216.jpg', '金阊大厦 3室2厅 150万', '金阊大厦  | 3室2厅 | 132.71平米 | 东 西 | 其他 | 无电梯', '高楼层(共6层)2002年建板楼  -  石路', '150万', '单价11303元/平米')
('https://image1.ljcdn.com/320500-inspection/dd8217f8-e053-42c2-8b13-56d1f9881405.jpg.296x216.jpg', '世茂运河城和茂苑二期 2室2厅 285万', '世茂运河城和茂苑二期  | 2室2厅 | 110平米 | 南 | 其他 | 有电梯', '中楼层(共30层)2010年建板楼  -  沧浪新城', '285万', '单价25910元/平米')
('https://image1.ljcdn.com/320500-inspection/0c95dd9e-fd86-42af-a7f7-f73458e34f6a.jpg.296x216.jpg', '养蚕里新村 2室1厅 140万', '养蚕里新村  | 2室1厅 | 52.14平米 | 南 | 其他 | 无电梯', '高楼层(共5层)板楼  -  南门', '140万', '单价26851元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171013/3b038c99-cd08-497b-8145-450a654c3fe9.jpg.296x216.jpg', '官渎花园 2室2厅 164万', '官渎花园  | 2室2厅 | 76平米 | 南 北 | 精装 | 无电梯', '中楼层(共5层)2000年建板楼  -  平江新城', '164万', '单价21579元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170102/a1164e65-cc26-49e0-9246-b6e5fd42b43d.jpg.296x216.jpg', '永林新村 3室2厅 178万', '永林新村  | 3室2厅 | 106平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1990年建板楼  -  娄门', '178万', '单价16793元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/f623d25f-1776-4653-a2d7-a391dee04b53.png.280x210.jpg', '丽景苑 4室2厅 652万', '丽景苑  | 4室2厅 | 204平米 | 南 | 精装 | 有电梯', '中楼层(共7层)2002年建板楼  -  平江路', '652万', '单价31961元/平米')
('https://image1.ljcdn.com/320500-inspection/f45e4dd7-97ca-4b05-a9b8-bb9f1404717b.jpg.296x216.jpg', '盘溪新村 3室1厅 105万', '盘溪新村  | 3室1厅 | 70.81平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1996年建板楼  -  南门', '105万', '单价14829元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload4df8910c-be00-4dc6-93d9-a32e686977ec.jpg.296x216.jpg', '银泰花园一期 3室2厅 208万', '银泰花园一期  | 3室2厅 | 100.25平米 | 南 | 精装 | 无电梯', '中楼层(共5层)1998年建板楼  -  金门', '208万', '单价20749元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170819/fa1fa1d7-8e46-41b2-a10f-98265333f67d.jpg.296x216.jpg', '梅亭苑 5室2厅 265万', '梅亭苑  | 5室2厅 | 204平米 | 暂无数据 | 毛坯 | 无电梯', '高楼层(共5层)2004年建板楼  -  胥江', '265万', '单价12991元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170730/5da7f5f5-a36c-43d8-95a0-a1e7a6c1e6bd.jpg.296x216.jpg', '留茗花苑 2室1厅 210万', '留茗花苑  | 2室1厅 | 89.22平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1999年建板塔结合  -  留园西园', '210万', '单价23538元/平米')
('https://image1.ljcdn.com/320500-inspection/aeb31736-4ae3-4ab8-8e34-c2be6f8a2ba1.jpg.296x216.jpg', '胥江新村 2室2厅 139万', '胥江新村  | 2室2厅 | 80平米 | 南 | 其他 | 无电梯', '中楼层(共6层)2013年建板楼  -  胥江', '139万', '单价17375元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161022/5d148447-b833-417c-85a4-0c0c953f7c56.jpg.296x216.jpg', '油车场4号 2室1厅 107万', '油车场4号  | 2室1厅 | 46.67平米 | 南 | 简装 | 无电梯', '中楼层(共5层)1983年建板楼  -  葑门', '107万', '单价22927元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload08e30f80-4d30-4cb3-9978-59945e56895c.jpg.296x216.jpg', '政园小区 5室2厅 458万', '政园小区  | 5室2厅 | 200平米 | 南 | 其他 | 无电梯', '中楼层(共6层)2001年建板楼  -  齐门', '458万', '单价22900元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170220/b50847d9-b63e-443b-9dbf-c0e97625ec09.jpg.296x216.jpg', '干将东路散盘 2室2厅 168万', '干将东路散盘  | 2室2厅 | 86平米 | 南 | 其他 | 无电梯', '中楼层(共6层)1992年建板楼  -  观前街', '168万', '单价19535元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/a6da9bf5-cc24-47e1-80fc-4565766e65e3.png.280x210.jpg', '天筑北区 电梯三房两卫   满五唯一 带租车位', '天筑家园北区  | 3室2厅 | 115.64平米 | 南 | 精装 | 有电梯', '高楼层(共11层)2005年建板楼  -  平江新城', '285万', '单价24646元/平米')
('https://image1.ljcdn.com/320500-inspection/a2d19dba-d05c-4712-9362-0b22a49bef57.jpg.296x216.jpg', '阳光美地花园 精装两房 楼层好 交通好  平江万达', '阳光美地花园  | 2室2厅 | 96.27平米 | 南 | 精装 | 有电梯', '高楼层(共17层)2009年建板楼  -  平江新城', '232万', '单价24099元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171106/f4a9c486-c700-47b8-885c-857bd8a21d7e.jpg.296x216.jpg', '里河新村（二三四村） 2室1厅 128万', '里河新村（二三四村）  | 2室1厅 | 61平米 | 暂无数据 | 其他 | 无电梯', '高楼层(共6层)1998年建板楼  -  葑门', '128万', '单价20984元/平米')
('https://image1.ljcdn.com/320500-inspection/df7d0319-18c6-4cf5-b1b5-9020287cb7a9.jpg.296x216.jpg', '万科金品家园 3室2厅 360万', '万科金品家园  | 3室2厅 | 135平米 | 南 | 其他 | 有电梯', '高楼层(共18层)2008年建板楼  -  胥江', '360万', '单价26667元/平米')
('https://image1.ljcdn.com/320500-inspection/0d3824a5-6ac3-4d83-ace8-6b0a1168edda.jpg.296x216.jpg', '三元三村 2室1厅 95万', '三元三村  | 2室1厅 | 59.1平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1998年建板楼  -  金门', '95万', '单价16075元/平米')
('https://image1.ljcdn.com/320500-inspection/test-7da8c442-0937-40e4-82dd-131cf9b1d3d3.png.296x216.jpg', '三元三村 2室2厅 114万', '三元三村  | 2室2厅 | 59.8平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1998年建板楼  -  金门', '114万', '单价19064元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload87e775d3-ab52-479b-a6af-e71317e9dcde.jpg.296x216.jpg', '胥江路136号 3室2厅 230万', '胥江路136号  | 3室2厅 | 140平米 | 南 | 其他 | 无电梯', '中楼层(共5层)1986年建板楼  -  胥江', '230万', '单价16429元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170625/d2058cfb-d130-4977-a837-880b7dfe9c2b.jpg.296x216.jpg', '苏尚新地房东复式公寓房诚意出售', '苏尚新地  | 1室1厅 | 53.19平米 | 东 | 毛坯 | 有电梯', '高楼层(共12层)2013年建板楼  -  平江新城', '65万', '单价12221元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170430/535bf302-d594-4ee2-974e-0c19368b010c.jpg.296x216.jpg', '福星小区 3室2厅 363万', '福星小区  | 3室2厅 | 164平米 | 南 | 精装 | 无电梯', '高楼层(共4层)2007年建板楼  -  沧浪新城', '363万', '单价22135元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_uploadbaaee4fd-986b-454c-9304-1491cd4cbed4.jpg.296x216.jpg', '公园天下 3室2厅 314万', '公园天下  | 3室2厅 | 137平米 | 南 | 其他 | 无电梯', '低楼层(共7层)2000年建板楼  -  胥江', '314万', '单价22920元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170423/6a2d3690-4e5c-48e9-97bc-49754fc46806.jpg.296x216.jpg', '胥江新村 2室1厅 87万', '胥江新村  | 2室1厅 | 52.1平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1990年建板楼  -  胥江', '87万', '单价16699元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_uploadd5e57e2b-3b0c-4bb8-afab-92c29c21f86e.jpg.296x216.jpg', '庄先湾6号 4室3厅 185万', '庄先湾6号  | 4室3厅 | 67.7平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1995年建板楼  -  苏州大学', '185万', '单价27327元/平米')
('https://image1.ljcdn.com/320500-inspection/a1ea1b47-cd14-4348-88b1-3a00930d2f99.jpg.296x216.jpg', '银泰花园一期 3室2厅 235万', '银泰花园一期  | 3室2厅 | 116.97平米 | 南 北 | 其他 | 无电梯', '中楼层(共5层)2000年建板楼  -  金门', '235万', '单价20091元/平米')
('https://image1.ljcdn.com/320500-inspection/485ca41c-a2a5-4f04-904a-943691f0447a.jpg.296x216.jpg', '南山金城，两室两厅，精装修保养好，诚心出售看房方便', '南山金城1958  | 2室2厅 | 80.53平米 | 南 | 精装 | 有电梯', '低楼层(共25层)2009年建板楼  -  金阊新城', '165万', '单价20490元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171030/a23b2eb0-a4dc-4856-b19a-b000e055aa01.jpg.296x216.jpg', '金狮小区 4室2厅 245万', '金狮小区  | 4室2厅 | 150.79平米 | 南 | 精装 | 无电梯', '高楼层(共5层)2000年建板楼  -  南门', '245万', '单价16248元/平米')
('https://image1.ljcdn.com/320500-inspection/eb50ff74-384c-47dd-903e-ff18526ac3c2.jpg.296x216.jpg', '迎枫桥弄散盘 3室2厅 600万', '迎枫桥弄散盘  | 3室2厅 | 150平米 | 南 | 精装 | 无电梯', '中楼层(共4层)1989年建板楼  -  十全街', '600万', '单价40000元/平米')
('https://image1.ljcdn.com/320500-inspection/9418d822-4d4f-4005-8f84-301ecd87c9c6.jpg.296x216.jpg', '宏葑新村 4室2厅 290万', '宏葑新村  | 4室2厅 | 145平米 | 南 | 其他 | 无电梯', '高楼层(共5层)1997年建板楼  -  苏州大学', '290万', '单价20000元/平米')
('https://image1.ljcdn.com/320500-inspection/05a0d11d-65f2-4c60-b347-35707b0f3fdd.jpg.296x216.jpg', '喜临门商业广场 2室2厅 96万', '喜临门商业广场  | 2室2厅 | 45平米 | 暂无数据 | 精装 | 有电梯', '高楼层(共14层)2014年建板楼  -  平江新城', '96万', '单价21334元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload926e8c95-ab19-4b1f-a619-776db7015f95.jpg.296x216.jpg', '解放新村 2室1厅 125万', '解放新村  | 2室1厅 | 67平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1995年建板楼  -  胥江', '125万', '单价18657元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180118/3d6d08b7-32a6-4cd9-95d9-694580215dae.jpg.296x216.jpg', '盘福苑 4室2厅 276万', '盘福苑  | 4室2厅 | 135平米 | 南 | 精装 | 无电梯', '中楼层(共5层)1998年建板楼  -  南门', '276万', '单价20445元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160728/86abc1e5-b855-43b6-8dfd-79d9e09e1047.jpg.296x216.jpg', '现代花园 2室1厅 153万', '现代花园  | 2室1厅 | 62平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1995年建板楼  -  葑门', '153万', '单价24678元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_uploadba472375-993b-4abf-a7cc-16e81b75cd58.jpg.296x216.jpg', '橘子国花园 2室2厅 245万', '橘子国花园  | 2室2厅 | 98平米 | 南 | 其他 | 有电梯', '低楼层(共11层)2005年建板楼  -  平江新城', '245万', '单价25000元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170205/80a86b7b-6664-45c6-82bd-fceee58604b6.jpg.296x216.jpg', '体育新村 2室1厅 93万', '体育新村  | 2室1厅 | 52.08平米 | 暂无数据 | 精装 | 无电梯', '中楼层(共6层)板楼  -  胥江', '93万', '单价17858元/平米')
('https://image1.ljcdn.com/320500-inspection/d176effe-38b1-4883-98f2-e01d4ed4aafc.jpg.296x216.jpg', '广大家园 4室1厅 235万', '广大家园  | 4室1厅 | 128平米 | 南 | 精装 | 无电梯', '高楼层(共5层)2003年建板楼  -  胥江', '235万', '单价18360元/平米')
('https://image1.ljcdn.com/320500-inspection/test-7f90216c-563d-4b65-b352-07eac36c40d9.png.296x216.jpg', '家悦花园  电梯顶楼复式 可做五房 毛坯房  有钥匙', '家悦花园  | 5室2厅 | 92平米 | 南 | 毛坯 | 有电梯', '高楼层(共27层)2014年建板楼  -  平江新城', '250万', '单价27174元/平米')
('https://image1.ljcdn.com/320500-inspection/c595c51f-e4de-4654-942d-6ad46deff948.jpg.296x216.jpg', '胥江新村 2室1厅 135万', '胥江新村  | 2室1厅 | 69.54平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2013年建板楼  -  胥江', '135万', '单价19414元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171030/91350cc8-6657-4752-acef-8467c79491a3.jpg.296x216.jpg', '嘉业阳光城 5室3厅 370万', '嘉业阳光城  | 5室3厅 | 225平米 | 南 | 精装 | 有电梯', '高楼层(共11层)2003年建板楼  -  留园西园', '370万', '单价16445元/平米')
('https://image1.ljcdn.com/320500-inspection/921a2d03-834c-49e7-8f2c-5e32dcac1f12.jpg.296x216.jpg', '白塔西路散盘 5室2厅 1350万', '白塔西路散盘  | 5室2厅 | 325.82平米 | 南 | 其他 | 无电梯', '低楼层(共4层)1980年建板楼  -  观前街', '1350万', '单价41434元/平米')
('https://image1.ljcdn.com/320500-inspection/test-020678f0-883b-4051-9646-28d736bbed84.png.296x216.jpg', '新里河新村 4室2厅 200万', '新里河新村  | 4室2厅 | 90平米 | 南 北 | 精装 | 无电梯', '高楼层(共5层)1994年建板楼  -  葑门', '200万', '单价22223元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload9a02d6b6-0b4f-458c-93f4-6de2385e17ff.jpg.296x216.jpg', '齐门外大街旁 精装小两房 拎包住', '梅林新苑  | 2室1厅 | 68.77平米 | 南 | 精装 | 无电梯', '中楼层(共5层)1996年建板楼  -  平江新城', '154万', '单价22394元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload69d4bf88-b483-4ff8-8910-93b68079b6c8.jpg.296x216.jpg', '中海胥江府 4室2厅 408万', '中海胥江府  | 4室2厅 | 141平米 | 南 | 精装 | 有电梯', '中楼层(共33层)2010年建板楼  -  胥江', '408万', '单价28937元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180102/38a4aa3e-bdca-444d-94f1-6a16bafbc4c0.jpg.296x216.jpg', '长风新村 2室1厅 102万', '长风新村  | 2室1厅 | 53平米 | 南 | 精装 | 无电梯', '中楼层(共5层)1990年建板楼  -  娄门', '102万', '单价19246元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170808/d484241f-7376-4250-9b14-72ef494979be.jpg.296x216.jpg', '里河新村（二三四村） 2室1厅 106万', '里河新村（二三四村）  | 2室1厅 | 43平米 | 南 | 精装 | 无电梯', '低楼层(共6层)1994年建板楼  -  葑门', '106万', '单价24652元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload65cd7c9a-bb1e-4b2b-b11a-89f23e994f54.jpg.296x216.jpg', '世茂运河城苏和苑 3室2厅 365万', '世茂运河城苏和苑  | 3室2厅 | 130平米 | 南 | 其他 | 有电梯', '低楼层(共30层)2012年建板楼  -  沧浪新城', '365万', '单价28077元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161007/fc06ac03-5631-490d-bba7-48db43a18919.jpg.296x216.jpg', '人民路220号 2室1厅 90万', '人民路220号  | 2室1厅 | 53平米 | 南 | 精装 | 无电梯', '高楼层(共7层)板楼  -  齐门', '90万', '单价16982元/平米')
('https://image1.ljcdn.com/320500-inspection/8c375538-dfe0-43db-9ef1-a45dabe990ce.jpg.296x216.jpg', '嘉业阳光城 4室3厅 670万', '嘉业阳光城   | 联排别墅 | 4室3厅 | 263.67平米 | 南 北 | 其他 | 无电梯', '1层2003年建板楼  -  留园西园', '670万', '单价25411元/平米')
('https://image1.ljcdn.com/320500-inspection/test-aa3acd3d-58bd-48bb-8038-fef807bb2673.png.296x216.jpg', '山塘街虎丘 虎阜花园西区 105平大三房 纯毛坯送汽车库', '虎阜花园西区  | 3室2厅 | 105平米 | 南 | 毛坯 | 无电梯', '中楼层(共5层)2010年建板楼  -  虎丘', '230万', '单价21905元/平米')
('https://image1.ljcdn.com/320500-inspection/71743687-c7b4-4292-8cf3-ef485a38d9d8.jpg.296x216.jpg', '中海御景湾 3室2厅 260万', '中海御景湾  | 3室2厅 | 114.9平米 | 南 北 | 其他 | 有电梯', '高楼层(共39层)2015年建板楼  -  金阊新城', '260万', '单价22629元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171019/0a7eb2f8-9559-48ba-93d5-a0b7e8391203.jpg.296x216.jpg', '泰南苑 2室2厅 194万', '泰南苑  | 2室2厅 | 85平米 | 南 | 毛坯 | 无电梯', '中楼层(共5层)1997年建板楼  -  胥江', '194万', '单价22824元/平米')
('https://image1.ljcdn.com/320500-inspection/0edf8208-048c-461e-8cdf-393eaf7a5bb5.jpg.296x216.jpg', '和园小筑 3室2厅 320万', '和园小筑  | 3室2厅 | 149平米 | 南 | 其他 | 无电梯', '低楼层(共3层)2000年建板楼  -  留园西园', '320万', '单价21477元/平米')
('https://image1.ljcdn.com/320500-inspection/be4e059f-453d-484a-92c9-f6f0ee33d471.jpg.296x216.jpg', '姑苏金茂府 3室2厅 530万', '姑苏金茂府  | 3室2厅 | 151平米 | 南 | 其他 | 有电梯', '低楼层(共26层)2015年建板楼  -  金门', '530万', '单价35100元/平米')
('https://image1.ljcdn.com/320500-inspection/86c30c27-4a66-4c05-a690-1b5214ef84fc.jpg.296x216.jpg', '广济公寓 2室1厅 188万', '广济公寓  | 2室1厅 | 89平米 | 南 | 其他 | 无电梯', '低楼层(共6层)1997年建板楼  -  留园西园', '188万', '单价21124元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload1dc2405a-78ee-4c0b-9b55-15d38aba0f9d.jpg.296x216.jpg', '山塘街 新上 清洁路小区 精装两房 满五年 房东诚售', '清洁路散盘  | 2室2厅 | 81.78平米 | 南 北 | 精装 | 无电梯', '中楼层(共5层)板楼  -  留园西园', '155万', '单价18954元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170304/b2954a11-faa2-4c36-8e94-80a924c2113a.jpg.296x216.jpg', '半岛小区 3室1厅 180万', '半岛小区  | 3室1厅 | 77.6平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1985年建板楼  -  十全街', '180万', '单价23196元/平米')
('https://image1.ljcdn.com/320500-inspection/test-3a1ac31c-4704-4f1a-9cf9-fd1df92deae0.png.296x216.jpg', '宏葑新村 3室1厅 155万', '宏葑新村  | 3室1厅 | 72.15平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1997年建板楼  -  苏州大学', '155万', '单价21484元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload6237a24f-a960-431e-a1ac-485633c87b8e.jpg.296x216.jpg', '相门新村 2室1厅 128万', '相门新村  | 2室1厅 | 60.24平米 | 南 | 其他 | 无电梯', '高楼层(共5层)1995年建板楼  -  苏州大学', '128万', '单价21249元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161202/938a8165-2c49-41d9-abc2-82c730b56503.jpg.296x216.jpg', '油车弄11号 2室1厅 103万', '油车弄11号  | 2室1厅 | 62.3平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1999年建板楼  -  留园西园', '103万', '单价16533元/平米')
('https://image1.ljcdn.com/320500-inspection/912c762a-c9f8-432e-a2b0-701675ee8eeb.jpg.296x216.jpg', '中海胥江府 3室2厅 260万', '中海胥江府  | 3室2厅 | 89.6平米 | 南 | 其他 | 有电梯', '高楼层(共33层)2010年建板楼  -  胥江', '260万', '单价29018元/平米')
('https://image1.ljcdn.com/320500-inspection/test-ab4f7319-b3c3-4a04-90d5-29207405d32a.png.296x216.jpg', '满五年，通透户型，业主诚心出售，可以拎包入住。', '大观花园  | 3室2厅 | 102平米 | 南 | 精装 | 无电梯', '低楼层(共5层)2010年建板楼  -  平江新城', '248万', '单价24314元/平米')
('https://image1.ljcdn.com/320500-inspection/33041166-0e16-448e-8107-72bfa4e6d25c.jpg.296x216.jpg', '彩虹新村 2室1厅 98万', '彩虹新村  | 2室1厅 | 61.5平米 | 南 | 简装 | 有电梯', '低楼层(共17层)1998年建板楼  -  胥江', '98万', '单价15935元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171021/fe36db47-879d-4a62-9c62-e673eaaaf83b.jpg.296x216.jpg', '万科金品家园西区 5室2厅 690万', '万科金品家园西区  | 5室2厅 | 190平米 | 南 | 毛坯 | 无电梯', '高楼层(共4层)2008年建板楼  -  胥江', '690万', '单价36316元/平米')
('https://image1.ljcdn.com/320500-inspection/a2560152-f05f-4365-ae00-48b64bf3b765.jpg.296x216.jpg', '现代花园 4室2厅 200万', '现代花园  | 4室2厅 | 112.18平米 | 南 | 其他 | 无电梯', '高楼层(共5层)1995年建板楼  -  葑门', '200万', '单价17829元/平米')
('https://image1.ljcdn.com/320500-inspection/1c443034-48e2-4db8-b1b6-67ac9f7542a7.jpg.296x216.jpg', '中海胥江府 3室2厅 420万', '中海胥江府  | 3室2厅 | 142平米 | 南 | 其他 | 有电梯', '中楼层(共27层)2010年建板楼  -  胥江', '420万', '单价29578元/平米')
('https://image1.ljcdn.com/320500-inspection/4cbf3190-9b60-4e6c-ac17-25a4574e0855.jpg.296x216.jpg', '观景二村 3室1厅 148万', '观景二村  | 3室1厅 | 76平米 | 东南 南 | 其他 | 无电梯', '高楼层(共4层)2001年建板楼  -  虎丘', '148万', '单价19474元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload6fa7c460-6866-4fa4-a6ac-765d8aa603f9.jpg.296x216.jpg', '南山金城1958 4室2厅 300万', '南山金城1958  | 4室2厅 | 142平米 | 南 | 其他 | 有电梯', '低楼层(共18层)2009年建板楼  -  金阊新城', '300万', '单价21127元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170907/d6ead734-d10b-41f9-a46c-d76ed911b911.jpg.296x216.jpg', '彩香二村 2室1厅 100万', '彩香二村  | 2室1厅 | 64平米 | 暂无数据 | 简装 | 无电梯', '高楼层(共6层)1995年建板楼  -  金门', '100万', '单价15625元/平米')
('https://image1.ljcdn.com/320500-inspection/test-d24e3957-2416-4232-9e5b-5821cdf69e8a.png.296x216.jpg', '姑苏金茂府 3室2厅 550万', '姑苏金茂府  | 3室2厅 | 141.23平米 | 南 | 其他 | 有电梯', '中楼层(共29层)2015年建板楼  -  金门', '550万', '单价38944元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload7161c2e2-a66a-454b-901e-5dddf71ac271.jpg.296x216.jpg', '恒润新新家园 5室4厅 225万', '恒润新新家园  | 5室4厅 | 89平米 | 南 | 其他 | 无电梯', '低楼层(共6层)2004年建板楼  -  留园西园', '225万', '单价25281元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170428/3cd2b80a-58f6-4c37-bf8b-5dbf82872755.jpg.296x216.jpg', '瑞富广场公寓 1室1厅 58万', '瑞富广场公寓  | 1室1厅 | 53.4平米 | 南 | 其他 | 有电梯', '高楼层(共7层)2005年建板楼  -  南门', '58万', '单价10862元/平米')
('https://image1.ljcdn.com/320500-inspection/4211550a-88fe-4e64-993d-a8430ac24e77.jpg.296x216.jpg', '银泰花园一期 5室2厅 380万', '银泰花园一期  | 5室2厅 | 216平米 | 南 北 | 精装 | 无电梯', '高楼层(共5层)2000年建板楼  -  金门', '380万', '单价17593元/平米')
('https://image1.ljcdn.com/320500-inspection/0cf8a909-74d4-42e2-86b7-f8a58cce291b.jpg.296x216.jpg', '彩香二村 2室1厅 110万', '彩香二村  | 2室1厅 | 59.6平米 | 南 | 其他 | 无电梯', '中楼层(共6层)1995年建板楼  -  金门', '110万', '单价18457元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180117/f8646448-a30f-4f82-99e1-598cd670bb3e.jpg.296x216.jpg', '倪家苑 2室2厅 170万', '倪家苑  | 2室2厅 | 87.13平米 | 南 | 简装 | 无电梯', '高楼层(共6层)2003年建板楼  -  留园西园', '170万', '单价19512元/平米')
('https://image1.ljcdn.com/320500-inspection/65fa9065-a324-405a-a4dc-28e37c804307.jpg.296x216.jpg', '金枝苑小区 4室3厅 235万', '金枝苑小区  | 4室3厅 | 109平米 | 南 | 其他 | 无电梯', '高楼层(共5层)2005年建板楼  -  葑门', '235万', '单价21560元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload2cac213f-6acc-457f-952c-8ef8525027df.jpg.296x216.jpg', '别人卖460万  我买410万  精装大四房  家具家电都留', '中锐姑苏尚城  | 4室2厅 | 132平米 | 南 | 精装 | 有电梯', '高楼层(共25层)2015年建板楼  -  平江新城', '410万', '单价31061元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160620/cb1d2b14-dae8-451f-81e1-832d00d7b3f4.jpg.296x216.jpg', '精装修！好楼层！品味选择！家电家具全留！', '永林新村  | 1室1厅 | 48.12平米 | 南 | 精装 | 无电梯', '中楼层(共5层)1990年建板楼  -  娄门', '113万', '单价23483元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170919/2939a983-c9e9-4417-a19e-e9c12e0f166e.jpg.296x216.jpg', '东四亩田散盘 2室1厅 154万', '东四亩田散盘  | 2室1厅 | 71.48平米 | 南 | 精装 | 无电梯', '中楼层(共4层)板楼  -  桃花坞', '154万', '单价21545元/平米')
('https://image1.ljcdn.com/320500-inspection/test-1ca72c45-50ca-4281-bfff-b9b7a9f37b80.png.296x216.jpg', '新南环新村 精装两房 高楼层 满两年 看中可谈 有钥匙', '新南环新村一组团  | 3室1厅 | 81.36平米 | 南 | 其他 | 有电梯', '高楼层(共33层)1996年建板楼  -  南门', '172万', '单价21141元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload515e089a-317a-464e-81cc-d9f2b381e962.jpg.296x216.jpg', '西百花巷 2室1厅 118万', '西百花巷  | 2室1厅 | 55.81平米 | 南 | 其他 | 无电梯', '中楼层(共4层)板楼  -  桃花坞', '118万', '单价21144元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161112/0fb92bef-189e-4979-a587-ec7e65ecda01.jpg.296x216.jpg', '南星花园 3室2厅 256万', '南星花园  | 3室2厅 | 126平米 | 暂无数据 | 精装 | 无电梯', '中楼层(共5层)板楼  -  南门', '256万', '单价20318元/平米')
('https://image1.ljcdn.com/320500-inspection/2841c771-0acd-43aa-9abe-df76aa260475.jpg.296x216.jpg', '天辰花园 4室2厅 653万', '天辰花园  | 4室2厅 | 195平米 | 南 | 其他 | 有电梯', '中楼层(共18层)2006年建板楼  -  沧浪新城', '653万', '单价33488元/平米')
('https://image1.ljcdn.com/320500-inspection/aabfd387-35e4-43ce-b631-a980f57d1406.jpg.296x216.jpg', '钟楼新村 1室1厅 82万', '钟楼新村  | 1室1厅 | 38.8平米 | 南 | 其他 | 无电梯', '中楼层(共5层)1996年建板楼  -  十全街', '82万', '单价21135元/平米')
