('https://image1.ljcdn.com/210100-inspection/5432586b-66d6-4eca-bdd4-0bdfd8f2b1ab.JPG.296x216.jpg', '恒泰骏景 2室1厅 60万', '恒泰骏景  | 2室1厅 | 76.77平米 | 南 北 | 其他', '低楼层(共18层)2009年建板楼  -  于洪区', '60万', '单价7816元/平米')
('https://image1.ljcdn.com/210100-inspection/d611592b-5ccd-45e0-af32-04737dc1cc7a.jpg.296x216.jpg', '意大利风情小镇 3室2厅 105万', '意大利风情小镇  | 3室2厅 | 102.82平米 | 南 北 | 精装', '高楼层(共6层)板楼  -  于洪区', '105万', '单价10213元/平米')
('https://image1.ljcdn.com/210100-inspection/26b51ff2-4e6e-4056-b1ee-a4ad5c73b788.jpg.296x216.jpg', '碧桂园银河城星座 2室1厅 82万', '碧桂园银河城星座  | 2室1厅 | 81平米 | 南 北 | 其他', '低楼层(共30层)板楼  -  于洪区', '82万', '单价10124元/平米')
('https://image1.ljcdn.com/210100-inspection/e3a2a231-e717-429e-89cb-e1b37c1ca223.JPG.296x216.jpg', '三台子 华邑世纪城 标准两室 不临街 不挡光', '华邑世纪城  | 2室1厅 | 88.93平米 | 南 | 其他', '中楼层(共5层)2013年建板楼  -  于洪区', '72万', '单价8097元/平米')
('https://image1.ljcdn.com/210100-inspection/0172e323-d668-4d73-a022-eaac494c25c3.jpg.296x216.jpg', '保利溪湖林语四期 2室2厅 110万', '保利溪湖林语四期  | 2室2厅 | 97平米 | 南 北 | 精装', '低楼层(共6层)板楼  -  于洪区', '110万', '单价11341元/平米')
('https://image1.ljcdn.com/210100-inspection/3b933632-e066-4c00-8347-c428461f21ce.jpg.296x216.jpg', '碧桂园银河城都荟 3室2厅 120万', '碧桂园银河城都荟  | 3室2厅 | 116平米 | 南 北 | 其他', '低楼层(共33层)板楼  -  于洪区', '120万', '单价10345元/平米')
('https://image1.ljcdn.com/210100-inspection/eb4efb8f-a913-4ad6-8754-59477d8802e5.jpg.296x216.jpg', '五矿弘园 2室1厅 64万', '五矿弘园  | 2室1厅 | 64平米 | 南 | 其他', '高楼层(共24层)板楼  -  于洪区', '64万', '单价10000元/平米')
('https://image1.ljcdn.com/210100-inspection/773e58b2-e3fc-430c-8698-ab5be9753fd6.JPG.296x216.jpg', '依云北郡A区 2室2厅 110万', '依云北郡A区  | 2室2厅 | 85平米 | 南 北 | 其他', '低楼层(共5层)2008年建板楼  -  于洪区', '110万', '单价12942元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploada1af0d09-d5f5-4ec3-b342-8747f420d001.JPG.296x216.jpg', '兰亭花园 简单装修 三室户型 拎包即住 采光好 供暖好', '兰亭花园  | 3室2厅 | 110.1平米 | 南 北 | 简装', '高楼层(共6层)板楼  -  于洪区', '72万', '单价6540元/平米')
('https://image1.ljcdn.com/210100-inspection/b80297f8-04fe-4779-a0bb-b707752b1722.jpg.296x216.jpg', '宏发三千院 高楼层 采光好  户型方正  多赠送', '宏发三千院  | 1室1厅 | 55平米 | 西北 | 其他', '高楼层(共35层)2009年建塔楼  -  于洪区', '40万', '单价7273元/平米')
('https://image1.ljcdn.com/210100-inspection/42d938ea-ec9f-4d4b-b8d2-f5e39b5d87f7.JPG.296x216.jpg', '七彩阳光 2室1厅 66万', '七彩阳光  | 2室1厅 | 84.8平米 | 南 北 | 其他', '低楼层(共11层)2006年建板楼  -  于洪区', '66万', '单价7784元/平米')
('https://image1.ljcdn.com/210100-inspection/a95e4004-1ce4-49aa-9e85-cbe78e156d9f.JPG.296x216.jpg', '恒大城一期 3室2厅 86万', '恒大城一期  | 3室2厅 | 102.3平米 | 西南 北 | 精装', '中楼层(共11层)2014年建板塔结合  -  于洪区', '86万', '单价8407元/平米')
('https://image1.ljcdn.com/210100-inspection/45ac2ab5-9a6a-4542-a632-203e0770d86e.jpg.296x216.jpg', '碧桂园银河城观澜南北朝向  楼层适中  清水房', '碧桂园银河城观澜  | 2室1厅 | 109平米 | 南 北 | 其他', '低楼层(共30层)2017年建板楼  -  于洪区', '90万', '单价8257元/平米')
('https://image1.ljcdn.com/210100-inspection/f4d3f960-5bba-4d7f-a444-b4b0f04be461.JPG.296x216.jpg', '皇姑区保利溪湖林语三期 南向无遮挡 三室南北', '保利溪湖林语三期  | 3室2厅 | 105.82平米 | 南 北 | 毛坯', '低楼层(共18层)板楼  -  于洪区', '75万', '单价7088元/平米')
('https://image1.ljcdn.com/210100-inspection/095014eb-320a-4ffb-aee5-f492ce9a3099.JPG.296x216.jpg', '恒大城一期 3室2厅 88万', '恒大城一期  | 3室2厅 | 96.56平米 | 南 北 | 其他', '低楼层(共11层)2014年建板塔结合  -  于洪区', '88万', '单价9114元/平米')
('https://image1.ljcdn.com/210100-inspection/93074cc8-1dda-45cc-b0d3-1a90d50ba6bf.JPG.296x216.jpg', '华邑世纪城 清水 两室 一楼 带花园', '华邑世纪城  | 2室1厅 | 64.6平米 | 东 南 北 | 其他', '低楼层(共5层)2013年建板楼  -  于洪区', '65万', '单价10062元/平米')
('https://image1.ljcdn.com/210100-inspection/641cbd02-9c5c-43c0-b139-3cd53cae631f.jpg.296x216.jpg', '恒大绿洲四室南北精装修 高楼层 视野好 可以看浑河', '恒大绿洲一期  | 4室2厅 | 187平米 | 南 北 | 其他', '高楼层(共32层)板楼  -  于洪区', '160万', '单价8557元/平米')
('https://image1.ljcdn.com/210100-inspection/c24e13b1-a0ff-444a-9dc7-fdf344a08885.JPG.296x216.jpg', '于洪区怒江北街 七彩阳光 南北通透 不把山不临街', '七彩阳光  | 2室2厅 | 93.68平米 | 南 北 | 精装', '高楼层(共6层)2006年建板楼  -  于洪区', '72万', '单价7686元/平米')
('https://image1.ljcdn.com/210100-inspection/41e1c09b-d452-4b5e-b7ce-122b0e075643.JPG.296x216.jpg', '精装一居室没怎么住过  前方无遮挡 采光好', '银亿格兰郡  | 1室1厅 | 52平米 | 南 | 其他', '中楼层(共26层)2016年建板楼  -  于洪区', '37.5万', '单价7212元/平米')
('https://image1.ljcdn.com/210100-inspection/7bf2d4b4-8fc0-488d-a0dd-8d7c8d80722d.JPG.296x216.jpg', '万科魅力之城 2室1厅 78万', '万科魅力之城  | 2室1厅 | 85.42平米 | 南 | 其他', '高楼层(共24层)2017年建板楼  -  于洪区', '78万', '单价9132元/平米')
('https://image1.ljcdn.com/210100-inspection/ef992306-cd22-4e02-af20-2e2333f62391.JPG.296x216.jpg', '精装一室 南向出售 看房方便 房主诚心出售', '艾格尔e时代  | 1室1厅 | 55.78平米 | 南 | 精装', '中楼层(共6层)2015年建板楼  -  于洪区', '49.9万', '单价8946元/平米')
('https://image1.ljcdn.com/210100-inspection/a432573d-b254-47b6-9275-6cd0066e5ad6.jpg.296x216.jpg', '于洪区银亿格兰郡 装修保持好的复式小区环境好', '银亿格兰郡  | 1室1厅 | 39平米 | 南 | 精装', '高楼层(共14层)2016年建板楼  -  于洪区', '53万', '单价13590元/平米')
('https://image1.ljcdn.com/210100-inspection/a3568752-149c-47f6-9b7c-99b38b2a7fe4.JPG.296x216.jpg', '恒大城一期 2室1厅 70万', '恒大城一期  | 2室1厅 | 79.2平米 | 西南 | 其他', '中楼层(共11层)2014年建板塔结合  -  于洪区', '70万', '单价8839元/平米')
('https://image1.ljcdn.com/210100-inspection/ebb1ba0d-e703-4b3a-a4f4-12e086b12298.jpg.296x216.jpg', '银亿格兰郡 2室1厅 53万', '银亿格兰郡  | 2室1厅 | 45.16平米 | 东南 | 其他', '低楼层(共14层)2016年建板楼  -  于洪区', '53万', '单价11737元/平米')
('https://image1.ljcdn.com/210100-inspection/cd430022-0673-4d76-a60a-40246c5c9ce9.JPG.296x216.jpg', '亚都名苑 2室2厅 58万', '亚都名苑  | 2室2厅 | 85平米 | 南 北 | 其他', '低楼层(共23层)2012年建板楼  -  于洪区', '58万', '单价6824元/平米')
('https://image1.ljcdn.com/210100-inspection/75fc4add-c7a4-4c2d-baf1-56673192b3db.JPG.296x216.jpg', '兰亭花园 3室2厅 54万', '兰亭花园  | 3室2厅 | 66.48平米 | 南 | 精装', '中楼层(共11层)板楼  -  于洪区', '54万', '单价8123元/平米')
('https://image1.ljcdn.com/210100-inspection/33e44ee6-9c7f-4a16-86df-e9e7608a1092.JPG.296x216.jpg', '阳光尚城4.1期 1室1厅 27万', '阳光尚城4.1期  | 1室1厅 | 37平米 | 西北 | 精装', '高楼层(共26层)2012年建板楼  -  于洪区', '27万', '单价7298元/平米')
('https://image1.ljcdn.com/210100-inspection/ed31083f-973e-4e20-832a-801c52fda9b5.jpg.296x216.jpg', '碧桂园银河城都荟 2室2厅 160万', '碧桂园银河城都荟  | 2室2厅 | 91平米 | 南 北 | 精装', '中楼层(共18层)板楼  -  于洪区', '160万', '单价17583元/平米')
('https://image1.ljcdn.com/210100-inspection/97c07341-2cf8-448a-984d-5c1c5c402d8c.JPG.296x216.jpg', '国奥现代城二期 2室1厅 51万', '国奥现代城二期  | 2室1厅 | 76平米 | 南 北 | 精装', '高楼层(共6层)板楼  -  于洪区', '51万', '单价6711元/平米')
('https://image1.ljcdn.com/210100-inspection/22c2126b-577f-42eb-a366-84668ba99ad8.JPG.296x216.jpg', '七彩阳光 不把山不临街 婚装保持好 顶楼带阁楼', '七彩阳光  | 3室2厅 | 100.43平米 | 南 北 | 精装', '高楼层(共6层)2006年建板楼  -  于洪区', '78万', '单价7767元/平米')
('https://image1.ljcdn.com/210100-inspection/c00948d8-1c94-4bef-8588-bcd5c7ddd104.jpg.296x216.jpg', '碧桂园银河城星荟 2室1厅 65万', '碧桂园银河城星荟  | 2室1厅 | 70平米 | 东北 | 其他', '中楼层(共33层)板楼  -  于洪区', '65万', '单价9286元/平米')
('https://image1.ljcdn.com/210100-inspection/285296ef-4b77-4be9-a56f-a4966ec1dbdd.jpg.296x216.jpg', '碧桂园银河城星语苑 3室2厅 130万', '碧桂园银河城星语苑  | 3室2厅 | 157平米 | 南 北 | 其他', '低楼层(共30层)板楼  -  于洪区', '130万', '单价8281元/平米')
('https://image1.ljcdn.com/210100-inspection/9cd819cf-7f76-46b7-bca8-75e8b78507fd.JPG.296x216.jpg', '国奥现代城二期 3室2厅 91万', '国奥现代城二期  | 3室2厅 | 143.49平米 | 西南 | 精装', '高楼层(共16层)板楼  -  于洪区', '91万', '单价6342元/平米')
('https://image1.ljcdn.com/210100-inspection/21709feb-90a3-4a1d-9957-dbe382455e0e.jpg.296x216.jpg', '碧桂园银河城 南北三室 采光好', '碧桂园银河城观澜  | 3室2厅 | 153.5平米 | 南 北 | 其他', '低楼层(共28层)2017年建板楼  -  于洪区', '126万', '单价8209元/平米')
('https://image1.ljcdn.com/210100-inspection/2a61a120-28af-40b8-bc45-f4d707a582c0.JPG.296x216.jpg', '银亿格兰郡  清水复式，得房率高，交通便利，配套齐全', '银亿格兰郡  | 1室1厅 | 39平米 | 南 | 毛坯', '中楼层(共14层)2016年建板楼  -  于洪区', '39.5万', '单价10129元/平米')
('https://image1.ljcdn.com/210100-inspection/ff56622f-6223-48a4-954c-57e5a10b9ab6.JPG.296x216.jpg', '远洋公馆 3室2厅 180万', '远洋公馆  | 3室2厅 | 140.91平米 | 南 北 | 其他', '中楼层(共33层)板楼  -  于洪区', '180万', '单价12775元/平米')
('https://image1.ljcdn.com/210100-inspection/b5c7393f-1c56-4c72-a167-c35723045f03.jpg.296x216.jpg', '阳光100国际新城E组团 2室2厅 75万', '阳光100国际新城E组团  | 2室2厅 | 85.46平米 | 南 | 精装', '中楼层(共32层)板楼  -  于洪区', '75万', '单价8777元/平米')
('https://image1.ljcdn.com/210100-inspection/2d14a26e-9312-4041-8263-acbe061d5c6e.JPG.296x216.jpg', '阳光100二期  东向可观河景 16楼', '阳光100国际新城D组团  | 1室1厅 | 65.56平米 | 东 南 | 其他', '中楼层(共31层)暂无数据  -  于洪区', '48万', '单价7322元/平米')
('https://image1.ljcdn.com/210100-inspection/55d1717e-a14c-44ab-a4ee-e7b451dd5d8c.JPG.296x216.jpg', '亚都名苑 双阳户型 高楼层 装修保持好 拎包入住', '亚都名苑  | 2室1厅 | 65.55平米 | 南 | 其他', '高楼层(共23层)2012年建板楼  -  于洪区', '43万', '单价6560元/平米')
('https://image1.ljcdn.com/210100-inspection/fa207738-7a22-4e67-9a25-59ce2c58e196.JPG.296x216.jpg', '阳光尚城三期 3室2厅 115万', '阳光尚城三期  | 3室2厅 | 112.48平米 | 南 北 | 毛坯', '中楼层(共6层)2009年建板楼  -  于洪区', '115万', '单价10225元/平米')
('https://image1.ljcdn.com/210100-inspection/3b0f01e3-1a90-4916-8856-5fa21649541c.jpg.296x216.jpg', '国奥现代城二期 2室2厅 60万', '国奥现代城二期  | 2室2厅 | 77.4平米 | 南 | 其他', '高楼层(共12层)板楼  -  于洪区', '60万', '单价7752元/平米')
('https://image1.ljcdn.com/210100-inspection/7fa4c33c-97ad-4ecf-8d30-279770482fa9.JPG.296x216.jpg', '恒大城二期 2室2厅 83万', '恒大城二期  | 2室2厅 | 91.25平米 | 东南 | 其他', '低楼层(共28层)2014年建板塔结合  -  于洪区', '83万', '单价9096元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadc229a343-5bf3-4318-b603-f5c458814976.JPG.296x216.jpg', '阳光尚城一期 三室两厅房源 标准户型', '阳光尚城一期  | 3室2厅 | 119.96平米 | 南 北 | 简装', '中楼层(共6层)2009年建板楼  -  于洪区', '110万', '单价9170元/平米')
('https://image1.ljcdn.com/210100-inspection/c43e4429-95f3-4a7d-9273-e71d9687e76f.jpg.296x216.jpg', '恒大绿洲 于洪新城 一楼 单价低 举架3.3米 全明户型', '恒大绿洲二期  | 3室2厅 | 169平米 | 东 南 北 | 其他', '低楼层(共33层)板楼  -  于洪区', '110万', '单价6509元/平米')
('https://image1.ljcdn.com/210100-inspection/2f1bc13f-7500-42db-afeb-79d3ff3b3195.jpg.296x216.jpg', '宏发华城世界橙郡1 1室1厅 35万', '宏发华城世界橙郡1  | 1室1厅 | 51平米 | 南 | 简装', '中楼层(共18层)2008年建板楼  -  于洪区', '35万', '单价6863元/平米')
('https://image1.ljcdn.com/210100-inspection/62530773-31f6-4824-9c7c-b70fd9b85326.JPG.296x216.jpg', '阳光尚城4.1期 1室1厅 42万', '阳光尚城4.1期  | 1室1厅 | 50.65平米 | 南 | 其他', '低楼层(共26层)2012年建板楼  -  于洪区', '42万', '单价8293元/平米')
('https://image1.ljcdn.com/210100-inspection/ac32a8fd-4aaa-4dd5-ae84-0b799209ba62.JPG.296x216.jpg', '依云北郡F区 一楼 两居室 南北朝向', '依云北郡F区  | 2室1厅 | 67.5平米 | 南 北 | 精装', '低楼层(共10层)2009年建板楼  -  于洪区', '82万', '单价12149元/平米')
('https://image1.ljcdn.com/210100-inspection/1d3c170c-1edf-42ac-9476-5dd87fcc7b1b.jpg.296x216.jpg', '阳光100国际新城D组团 4室2厅 95万', '阳光100国际新城D组团  | 4室2厅 | 99平米 | 东南 | 其他', '低楼层(共19层)暂无数据  -  于洪区', '95万', '单价9596元/平米')
('https://image1.ljcdn.com/210100-inspection/ccccd720-dbb4-4a97-961b-81b53e5f992f.jpg.296x216.jpg', '碧桂园银河城 品质小区 成熟配套 生活交通便利', '碧桂园银河城聆涛  | 3室2厅 | 128平米 | 南 北 | 其他', '低楼层(共26层)板楼  -  于洪区', '118万', '单价9219元/平米')
('https://image1.ljcdn.com/210100-inspection/3eb84b6d-4683-4463-a03a-22f9f40f322f.jpg.296x216.jpg', '碧桂园银河城锦园 新上南北小高两室', '碧桂园银河城锦园  | 2室1厅 | 87.91平米 | 南 北 | 精装', '中楼层(共17层)板楼  -  于洪区', '100万', '单价11376元/平米')
('https://image1.ljcdn.com/210100-inspection/2a5da3bf-70ec-4e35-9b73-ec0099c81fa7.JPG.296x216.jpg', '兰亭花园 3室2厅 77万', '兰亭花园  | 3室2厅 | 110.1平米 | 南 北 | 其他', '中楼层(共6层)板楼  -  于洪区', '77万', '单价6994元/平米')
('https://image1.ljcdn.com/210100-inspection/4af2e613-4a4e-488c-af9b-d17267859604.jpg.296x216.jpg', '银亿万万城 2室2厅 100万', '银亿万万城  | 2室2厅 | 80平米 | 南 北 | 其他', '高楼层(共6层)2008年建板楼  -  于洪区', '100万', '单价12500元/平米')
('https://image1.ljcdn.com/210100-inspection/4c23935f-4a28-479a-8261-e27b4a75f60f.jpg.296x216.jpg', '恒大绿洲二期 3室2厅 95万', '恒大绿洲二期  | 3室2厅 | 113平米 | 南 | 其他', '高楼层(共33层)板楼  -  于洪区', '95万', '单价8408元/平米')
('https://image1.ljcdn.com/210100-inspection/162a9d8c-19b6-4bf0-9bd0-98ae9350efb8.jpg.296x216.jpg', '碧桂园精装两室 南北通透 河景，拎包即住', '碧桂园银河城观澜  | 2室2厅 | 109平米 | 南 北 | 其他', '高楼层(共30层)2017年建板楼  -  于洪区', '98万', '单价8991元/平米')
('https://image1.ljcdn.com/210100-inspection/3e2ea663-7a3d-4902-8cca-44f811a5967a.jpg.296x216.jpg', '碧桂园星座 新上南北两室 采光好 拎包即住', '碧桂园银河城星座  | 2室2厅 | 94.37平米 | 南 北 | 精装', '低楼层(共30层)板楼  -  于洪区', '93万', '单价9855元/平米')
('https://image1.ljcdn.com/210100-inspection/3840a06c-fb8e-4cbb-b386-f87dd916726a.JPG.296x216.jpg', '银亿万万城 2室2厅 71万', '银亿万万城  | 2室2厅 | 87平米 | 南 北 | 其他', '中楼层(共6层)2008年建板楼  -  于洪区', '71万', '单价8161元/平米')
('https://image1.ljcdn.com/210100-inspection/3472c177-d7a1-4132-9952-286311e3f98a.jpg.296x216.jpg', '永辉超市 一楼带花园带凉亭 精装修 拎包入住', '碧桂园银河城星荟  | 2室2厅 | 81.72平米 | 南 西 | 其他', '低楼层(共18层)板楼  -  于洪区', '113万', '单价13828元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload04f328fa-2a08-4c2b-a1b0-3a2d6d5614b5.JPG.296x216.jpg', '银亿格兰郡 多层清水 未满两年房主报税', '银亿格兰郡  | 2室2厅 | 72.5平米 | 南 北 | 其他', '高楼层(共6层)2016年建板楼  -  于洪区', '65万', '单价8966元/平米')
('https://image1.ljcdn.com/210100-inspection/64608917-37ca-4f11-8ebd-cd619cf23013.jpg.296x216.jpg', '标准南北两居室 位置好不临街 采光充足 看房方便', '银亿德郡  | 2室1厅 | 84.68平米 | 南 北 | 其他', '高楼层(共6层)2013年建板楼  -  于洪区', '75万', '单价8857元/平米')
('https://image1.ljcdn.com/210100-inspection/2b23f6fe-3691-44c1-b2c0-abf6ee9d8660.JPG.296x216.jpg', '恒大城低楼层大户型，出行方便，精装修', '恒大城二期  | 3室2厅 | 157平米 | 西南 北 | 其他', '低楼层(共28层)2014年建板塔结合  -  于洪区', '108万', '单价6879元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadb8ce994e-5764-4e2a-932f-9c831fa858c6.jpg.296x216.jpg', '碧桂园银河城星语 清水南北三室 随意装修', '碧桂园银河城星语苑  | 3室2厅 | 130.06平米 | 南 北 | 毛坯', '高楼层(共30层)2019年建板楼  -  于洪区', '130万', '单价9996元/平米')
('https://image1.ljcdn.com/210100-inspection/692ca51d-abc1-482c-aa13-89bb2de88740.jpg.296x216.jpg', '宏发英树，精装修，家具家电，楼层好，交通便利', '宏发英树  | 1室1厅 | 36平米 | 南 | 其他', '中楼层(共34层)2011年建板楼  -  于洪区', '26.8万', '单价7445元/平米')
('https://image1.ljcdn.com/210100-inspection/da8fab83-55a3-469b-b9be-802efcdca7d7.jpg.296x216.jpg', '银亿万万城 复式洋房 南北各一个露台 带阁楼 内藏音响', '银亿万万城  | 2室2厅 | 98平米 | 南 北 | 其他', '高楼层(共5层)2008年建板楼  -  于洪区', '100万', '单价10205元/平米')
('https://image1.ljcdn.com/210100-inspection/50048f95-444b-4774-a11b-28b7a348eedd.JPG.296x216.jpg', '碧桂园银河城聆涛 3室2厅 110万', '碧桂园银河城聆涛  | 3室2厅 | 124平米 | 东 南 北 | 其他', '低楼层(共25层)板楼  -  于洪区', '110万', '单价8871元/平米')
('https://image1.ljcdn.com/210100-inspection/78ae21e0-553a-4d42-a97e-cb74c0195070.jpg.296x216.jpg', '恒大绿洲  三居室  精装修  南北通透', '恒大绿洲二期  | 3室2厅 | 130平米 | 南 西 北 | 其他', '高楼层(共18层)板楼  -  于洪区', '104万', '单价8000元/平米')
('https://image1.ljcdn.com/210100-inspection/b67587f4-f25e-4ed1-9ba1-d2adb2b329d1.JPG.296x216.jpg', '阳光100河景房，精装修，视野开阔，楼层好。', '阳光100国际新城G组团  | 1室1厅 | 51.2平米 | 东南 | 精装', '高楼层(共27层)暂无数据  -  于洪区', '40万', '单价7813元/平米')
('https://image1.ljcdn.com/210100-inspection/623a8526-6ee2-48d9-a451-a8975cca1a8c.JPG.296x216.jpg', '恒泰骏景 东南北 简单装修 保持很好 随时看房', '恒泰骏景  | 2室1厅 | 77.48平米 | 东 南 北 | 其他', '高楼层(共6层)2009年建板楼  -  于洪区', '57万', '单价7357元/平米')
('https://image1.ljcdn.com/210100-inspection/c1639c65-6cfa-4296-a18b-b11e6b384730.JPG.296x216.jpg', '怒江北街 万科魅力之城 洋房一楼 带花园 精装修', '万科魅力之城  | 4室2厅 | 161.68平米 | 南 北 | 其他', '低楼层(共4层)2017年建板楼  -  于洪区', '305万', '单价18865元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadcba027f6-c3d9-4169-bdc8-cd8a823577a6.JPG.296x216.jpg', '南北朝向，采光好，视野宽阔，  看房方便', '七彩阳光  | 1室1厅 | 57平米 | 南 西 北 | 其他', '高楼层(共6层)2006年建板楼  -  于洪区', '45万', '单价7895元/平米')
('https://image1.ljcdn.com/210100-inspection/0c54f53e-7398-45d4-bf1e-1bf84590bbf3.JPG.296x216.jpg', '依云北郡C区 四室二厅 多层顶楼带阁楼', '依云北郡C区  | 4室2厅 | 159.8平米 | 南 北 | 精装', '高楼层(共6层)2009年建板楼  -  于洪区', '92万', '单价5758元/平米')
('https://image1.ljcdn.com/210100-inspection/94943f41-daef-451a-8c82-4b9c0758a376.JPG.296x216.jpg', '绿地老街坊 2室2厅 57万', '绿地老街坊  | 2室2厅 | 79.99平米 | 南 | 其他', '中楼层(共23层)2013年建板楼  -  于洪区', '57万', '单价7126元/平米')
('https://image1.ljcdn.com/210100-inspection/cd92cd3c-527a-41c0-aefb-292bc81a30a0.jpg.296x216.jpg', '保利溪湖林语三期，一楼花园洋房，带车位出售。', '保利溪湖林语三期  | 2室2厅 | 86.13平米 | 南 北 | 精装', '低楼层(共5层)板楼  -  于洪区', '110万', '单价12772元/平米')
('https://image1.ljcdn.com/210100-inspection/ac51a9ce-8834-4532-972b-e03181f8ee04.JPG.296x216.jpg', '阳光尚城4.1精装 全明户型 两室 采光充足 全天无遮挡', '阳光尚城4.1期  | 2室1厅 | 77.6平米 | 南 北 | 精装', '低楼层(共22层)2012年建板楼  -  于洪区', '67万', '单价8635元/平米')
('https://image1.ljcdn.com/210100-inspection/01d1544b-3c6b-49a5-a7fb-f070648e8b0d.jpg.296x216.jpg', '于洪区南阳湖街碧桂园 高楼层采光好交通便利配套完善', '碧桂园银河城聆涛  | 4室2厅 | 155平米 | 东南 | 其他', '高楼层(共31层)板楼  -  于洪区', '130万', '单价8388元/平米')
('https://image1.ljcdn.com/210100-inspection/23c00963-1e89-478a-9cfe-96970217e770.jpg.296x216.jpg', '于洪新城碧桂园银河城锦园近9号线永辉超市', '碧桂园银河城锦园  | 2室1厅 | 80平米 | 南 北 | 精装', '中楼层(共18层)板楼  -  于洪区', '85万', '单价10625元/平米')
('https://image1.ljcdn.com/210100-inspection/55b5236f-705b-4d18-b3d0-36f10c2f7300.jpg.296x216.jpg', '恒大绿洲一期 2室2厅 83.5万', '恒大绿洲一期  | 2室2厅 | 78.36平米 | 南 北 | 其他', '低楼层(共11层)板楼  -  于洪区', '83.5万', '单价10656元/平米')
('https://image1.ljcdn.com/210100-inspection/ca28cad6-666d-40dd-95ef-83cddbaf18d2.JPG.296x216.jpg', '朗香邸 2室2厅 71万', '朗香邸  | 2室2厅 | 83.2平米 | 南 北 | 其他', '高楼层(共33层)2014年建板楼  -  于洪区', '71万', '单价8534元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload62571107-fa2b-42ca-9aaa-0e76c6d9e7c5.JPG.296x216.jpg', '南北通透 带有阁楼 采光好 交通便利', '七彩阳光  | 2室2厅 | 93.39平米 | 南 北 | 其他', '高楼层(共6层)2006年建板楼  -  于洪区', '72万', '单价7710元/平米')
('https://image1.ljcdn.com/210100-inspection/af9c669e-d93a-4f4f-9e04-666ee7a36f0a.JPG.296x216.jpg', '依云北郡四期 3室2厅 200万', '依云北郡四期  | 3室2厅 | 135平米 | 南 北 | 其他', '高楼层(共5层)2014年建板楼  -  于洪区', '200万', '单价14815元/平米')
('https://image1.ljcdn.com/210100-inspection/cc98dfe1-fbde-40dd-940c-a5c9e0552f67.JPG.296x216.jpg', '于洪区白山路 龙腾金荷苑 南北通透户型 不把山不临街', '龙腾金荷苑  | 2室2厅 | 106平米 | 南 北 | 其他', '中楼层(共6层)2005年建板楼  -  于洪区', '80万', '单价7548元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadedbe0d84-7021-488b-a376-da5c78d4cac4.JPG.296x216.jpg', '依云北郡 顶楼带阁楼 南朝向 采光好', '依云北郡B区  | 2室1厅 | 47平米 | 南 | 其他', '高楼层(共6层)2008年建板楼  -  于洪区', '52万', '单价11064元/平米')
('https://image1.ljcdn.com/210100-inspection/test-853a1e3f-b8f1-46e9-835c-d85d10b510c6.png.296x216.jpg', '此房南北通透格局，楼层好，视野宽阔。', '宏发三千院  | 2室1厅 | 81.46平米 | 南 北 | 其他', '中楼层(共6层)2009年建板楼  -  于洪区', '75万', '单价9207元/平米')
('https://image1.ljcdn.com/210100-inspection/1d1587c1-ee04-4eab-9aa7-5d9f345b6198.JPG.296x216.jpg', '精装修 南北通透 采光好 依云北郡C区', '依云北郡C区  | 4室2厅 | 142.8平米 | 南 北 | 其他', '高楼层(共6层)2009年建板楼  -  于洪区', '100万', '单价7003元/平米')
('https://image1.ljcdn.com/210100-inspection/c42d7718-fe6e-4e19-9069-3277939266ac.jpg.296x216.jpg', '宏发三千院 新上东南两室 拎包即住 交通便利', '宏发三千院  | 2室1厅 | 69.31平米 | 东南 | 简装', '低楼层(共35层)2009年建板楼  -  于洪区', '56万', '单价8080元/平米')
('https://image1.ljcdn.com/210100-inspection/d4203ecd-db0b-43fb-8cab-9174d6b31b81.JPG.296x216.jpg', '华锐桃源欣城 2室2厅 69万', '华锐桃源欣城  | 2室2厅 | 95.98平米 | 南 北 | 简装', '高楼层(共11层)2006年建板楼  -  于洪区', '69万', '单价7189元/平米')
('https://image1.ljcdn.com/210100-inspection/4754fa7a-374d-4ca2-a027-6c055cd887de.jpg.296x216.jpg', '碧桂园银河城星语苑 2室2厅 80万', '碧桂园银河城星语苑  | 2室2厅 | 87.1平米 | 南 | 其他', '中楼层(共18层)板楼  -  于洪区', '80万', '单价9185元/平米')
('https://image1.ljcdn.com/210100-inspection/aecb87ca-87f0-4c23-8983-856f9b666ca5.JPG.296x216.jpg', '银亿万万城 2室2厅 43万', '银亿万万城  | 2室2厅 | 49.9平米 | 南 | 精装', '高楼层(共11层)2008年建板楼  -  于洪区', '43万', '单价8618元/平米')
('', '碧桂园银河城星语苑 3室2厅 150万', '碧桂园银河城星语苑  | 3室2厅 | 201平米 | 南 北 | 其他', '高楼层(共30层)板楼  -  于洪区', '150万', '单价7463元/平米')
