('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload148a0280-b2b4-46ef-b187-27339d6859d8.JPG.296x216.jpg', '高品质小区，人车分流，板式户型，精装2+1户型', '大华锦绣华城(十四街区)  | 2室2厅 | 83.69平米 | 南 | 精装 | 有电梯', '中楼层(共17层)2011年建板楼  -  北蔡', '698万', '单价83404元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload52763c83-5b93-4539-ad05-4dec7c05012e.jpg.296x216.jpg', '绿川新苑 2室2厅 440万', '绿川新苑  | 2室2厅 | 85.78平米 | 南 | 其他 | 无电梯', '中楼层(共6层)2000年建板楼  -  北蔡', '440万', '单价51295元/平米')
('https://image1.ljcdn.com/310000-inspection/6123e616-1f73-4c74-b892-e8d1e3516b3e.jpg.296x216.jpg', '满五年唯一+精装修+**空调+地暖', '阳光花城  | 2室2厅 | 115.49平米 | 南 | 精装 | 有电梯', '高楼层(共19层)2009年建板楼  -  张江', '775万', '单价67106元/平米')
('https://image1.ljcdn.com/310000-inspection/test-7bcbc4a5-c309-4733-959f-864861cee153.png.296x216.jpg', '上南六村，交通方便，配套齐全，小区位置好，楼层好', '上南六村  | 1室0厅 | 34.16平米 | 南 | 精装 | 无电梯', '低楼层(共6层)1987年建板楼  -  世博', '206万', '单价60305元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160327/975f29cc-8b2f-4790-837b-0732a59adbc7.jpg.296x216.jpg', '可上福外，楼层户型好，三代人的理想之家！', '双桥小区  | 3室1厅 | 100.2平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1998年建板楼  -  金桥', '590万', '单价58883元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170722/8437298a-6b44-4f80-b802-a3a36076ced4.jpg.296x216.jpg', '绿地的房子小区品质没有问题。生活方便', '沈默花苑  | 6室3厅 | 216.91平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2008年建板楼  -  周浦', '720万', '单价33194元/平米')
('https://image1.ljcdn.com/310000-inspection/test-105fb6e5-815e-4fed-99c9-4e983c953828.png.296x216.jpg', '周康一村 3室1厅 305万', '周康一村  | 3室1厅 | 78.27平米 | 南 | 精装 | 无电梯', '低楼层(共6层)板楼  -  康桥', '305万', '单价38968元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload3faf26b4-f0bc-42c9-b9a9-8f5e1582320d.jpg.296x216.jpg', '浦发绿城2079弄3楼 近地铁 钥匙房 一梯两户 户型正气', '浦发绿城  | 2室1厅 | 73.06平米 | 南 | 简装 | 无电梯', '中楼层(共6层)2004年建板楼  -  三林', '340万', '单价46538元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170221/279300b6-0308-4894-90dc-4fea5bdabeae.jpg.296x216.jpg', '思凡花苑一街坊 1室1厅 155万', '思凡花苑一街坊  | 1室1厅 | 51.95平米 | 南 | 毛坯 | 无电梯', '高楼层(共6层)1997年建板楼  -  川沙', '155万', '单价29837元/平米')
('https://image1.ljcdn.com/310000-inspection/test-51f28075-cdc3-4887-85bb-e2d0ca166051.png.296x216.jpg', '荷风景庭 多层中间楼层  未住过 满五 诚意急售', '荷风景庭  | 2室2厅 | 82平米 | 南 北 | 毛坯 | 无电梯', '中楼层(共6层)2009年建板楼  -  泥城镇', '143万', '单价17440元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170902/1d151b0e-a92f-4251-89da-0c1a09552ba9.jpg.296x216.jpg', '满二唯一 税费少 户型方正 看房方便', '永旭家苑  | 1室1厅 | 57.99平米 | 南 | 精装 | 无电梯', '低楼层(共5层)2005年建板楼  -  合庆', '200万', '单价34489元/平米')
('https://image1.ljcdn.com/310000-inspection/test-6bc4c31d-4076-47ef-ab8b-ee8fb973c8b8.png.296x216.jpg', '翔川家园 2室2厅 475万', '翔川家园  | 2室2厅 | 87.31平米 | 南 | 精装 | 无电梯', '低楼层(共6层)2008年建板楼  -  川沙', '475万', '单价54404元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171008/bc231416-f96a-4647-83c8-3b3dcbbbccfd.jpg.296x216.jpg', '金杨少有电梯房，出门就是地铁9号线及中环线，视野好', '金杨新村八街坊  | 2室1厅 | 75.13平米 | 南 | 简装 | 有电梯', '低楼层(共24层)1996年建塔楼  -  金杨', '415万', '单价55238元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171104/cbd3b8dc-aaee-4100-b1a4-59a0ac315dfc.jpg.296x216.jpg', '单价低+户型正气+已改小两房+诚意出售+价格可谈', '船舶新村  | 1室1厅 | 53平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1976年建板楼  -  金桥', '245万', '单价46227元/平米')
('https://image1.ljcdn.com/310000-inspection/6cc4fc5f-7c34-494c-9ee3-0a5245fba0d7.jpg.296x216.jpg', '万科提香别墅大独栋带大花园，看房提前预约', '万科提香别墅   | 独栋别墅 | 4室3厅 | 351.15平米 | 北 | 精装 | 无电梯', '2层2004年建板楼  -  康桥', '3600万', '单价102521元/平米')
('https://image1.ljcdn.com/310000-inspection/test-9a554306-96d4-45b1-817a-3c17bbaa8c80.png.296x216.jpg', '小区中间位置+中间楼层+南北通透两房+一梯两户+全明', '杉林新月环林东路879弄  | 2室1厅 | 73.49平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)2004年建板楼  -  三林', '405万', '单价55110元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171119/9cbf14af-4976-4096-98d1-6adf0b4fa1bc.jpg.296x216.jpg', '10楼以上，小区品质高，房东诚意卖房，产权清晰', '万科清林径  | 3室2厅 | 118平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2012年建板楼  -  新场', '420万', '单价35594元/平米')
('https://image1.ljcdn.com/310000-inspection/test-4967e921-9209-4332-9013-86df023a0652.png.296x216.jpg', '世纪公园地铁口 飞机户型 拎包入住 满五年唯一 有钥匙', '建华新苑  | 3室2厅 | 124.18平米 | 南 | 精装 | 有电梯', '中楼层(共17层)2003年建板楼  -  花木', '1100万', '单价88582元/平米')
('https://image1.ljcdn.com/310000-inspection/debda3eb-f0d5-44e7-9a82-a50ad5abc3c4.jpg.296x216.jpg', '满五唯一原2房改一房两厅，比邻前滩前景好，随时看房', '凌兆新村(凌兆路285弄)  | 2室1厅 | 70.36平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)1995年建板楼  -  三林', '348万', '单价49460元/平米')
('https://image1.ljcdn.com/310000-inspection/test-b942d973-b239-4012-a54c-ce6ba992b395.png.296x216.jpg', '福利分房，三房朝南，中区视野好，户型方正，两储藏间', '桃林小区  | 3室1厅 | 114.42平米 | 南 | 简装 | 有电梯', '中楼层(共18层)1999年建板楼  -  源深', '950万', '单价83028元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170408/e8366cb6-5aa8-42ff-9438-5c18e4daf1eb.jpg.296x216.jpg', '明珠苑(浦东) 2室2厅 615万', '明珠苑(浦东)  | 2室2厅 | 70.61平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1998年建板楼  -  洋泾', '615万', '单价87099元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170218/93911252-8fcc-4fff-ab62-34fdcb49fe0d.jpg.296x216.jpg', '满5年唯一，业主置换 诚意卖房，中间位置', '益丰新村  | 2室1厅 | 76.02平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1995年建板楼  -  张江', '372万', '单价48935元/平米')
('https://image1.ljcdn.com/310000-inspection/test-a425448e-a278-4e20-b1df-d49a8595446c.png.296x216.jpg', '南北通户型！小区中线位置！前后无遮挡视野远！楼层好', '绿洲康城亲水湾(东区)  | 3室2厅 | 124.79平米 | 南 | 简装 | 有电梯', '中楼层(共14层)2010年建板楼  -  御桥', '598万', '单价47921元/平米')
('https://image1.ljcdn.com/310000-inspection/74d52bf1-2c84-4ce5-a692-30dc839413e4.jpg.296x216.jpg', '满五唯一税费少 精装全配婚装 家具家电全送 拎包入住', '惠德新邨  | 2室1厅 | 58.15平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1996年建板楼  -  北蔡', '300万', '单价51591元/平米')
('https://image1.ljcdn.com/310000-inspection/ed9259ca-df93-497d-8c7a-dddb8a9b83f9.jpg.296x216.jpg', '海尚乐苑 2室2厅 325万', '海尚乐苑  | 2室2厅 | 78.48平米 | 南 北 | 毛坯 | 有电梯', '中楼层(共14层)2010年建板楼  -  康桥', '325万', '单价41412元/平米')
('https://image1.ljcdn.com/310000-inspection/test-ceb159ff-275e-4845-80a1-3e0d75561d99.png.296x216.jpg', '钥匙房随时看，次新房送精装，价格可谈。', '万馨佳园  | 1室2厅 | 54.79平米 | 南 | 精装 | 无电梯', '中楼层(共6层)2005年建板楼  -  川沙', '243万', '单价44352元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170908/b91018b7-a74f-46dc-887c-8c4d3aa2db2a.jpg.296x216.jpg', '2009年商品房，视野开阔，近地铁，价格可谈，拎包入住', '浦发博园(公寓)  | 3室2厅 | 122.6平米 | 南 | 精装 | 有电梯', '低楼层(共14层)2009年建板楼  -  三林', '750万', '单价61175元/平米')
('https://image1.ljcdn.com/310000-inspection/test-435bd83c-f697-40c4-8ead-a2fcb83b6b0c.png.296x216.jpg', '业主自住  楼层好 采光充足  诚意卖房  看房方便', '华高一村  | 2室1厅 | 77.27平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1994年建板楼  -  高行', '355万', '单价45943元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160429/e30a3f02-3228-4a4e-aad1-bf6e7b0903e3.jpg.296x216.jpg', '此房位于牡丹小区145弄的，总高6层的4楼，通风采光', '牡丹小区(浦东)  | 2室1厅 | 73.34平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1995年建板楼  -  花木', '520万', '单价70903元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171118/5591d408-17d4-4673-9640-c7147a3954ef.jpg.296x216.jpg', '精装三房 拎包入住 南北通风 采光好 满五唯一无个税', '东荷小区  | 3室1厅 | 86.74平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1997年建板楼  -  金桥', '400万', '单价46115元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170107/e175169b-ae8c-40e6-b187-f04043ad7455.jpg.296x216.jpg', '满五年，配套成熟，看房方便，房东诚意出售 欢迎来电', '张江汤臣豪园(二期)  | 2室2厅 | 94.15平米 | 南 | 精装 | 有电梯', '低楼层(共16层)2007年建板楼  -  张江', '750万', '单价79661元/平米')
('https://image1.ljcdn.com/310000-inspection/test-401c256c-2614-456f-871a-196e98c62dfb.png.296x216.jpg', '胶南小区 1室1厅 200万', '胶南小区  | 1室1厅 | 38.96平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1979年建板楼  -  南码头', '200万', '单价51335元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170830/13ce7e8f-2927-4223-8172-f20693061686.jpg.296x216.jpg', '界龙花苑 两房双南户型 中高楼层 小区临河位置 地铁口', '界龙花苑  | 2室1厅 | 85.35平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1993年建板楼  -  川沙', '305万', '单价35736元/平米')
('https://image1.ljcdn.com/310000-inspection/test-7048520b-10cb-44e0-a416-86a17db92441.png.296x216.jpg', '印象春城 少有户型出售 厅朝南 带产权车位 随时看房', '印象春城  | 2室2厅 | 91.59平米 | 南 | 简装 | 有电梯', '中楼层(共18层)2009年建板楼  -  周浦', '420万', '单价45857元/平米')
('https://image1.ljcdn.com/310000-inspection/1e8c45c3-3cc7-49c9-a183-96d71b40475c.jpg.296x216.jpg', '满五唯一，高楼层，明珠C校，学籍未用，到价签字', '万科新里程  | 3室2厅 | 130.5平米 | 南 | 其他 | 有电梯', '高楼层(共13层)2007年建板楼  -  三林', '1070万', '单价81993元/平米')
('https://image1.ljcdn.com/310000-inspection/521382c4-bc2a-466f-afbe-e78dbd31e493.JPG.296x216.jpg', '原始三房改两房6/7/8/13四条轨交精装全明满五唯一', '云莲苑  | 2室2厅 | 92.88平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1996年建板楼  -  世博', '548万', '单价59001元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161014/2273aba6-9443-4ee4-afe6-151192d74a55.jpg.296x216.jpg', '《八大安心，保驾护航》景观房，业主出国急售', '海尚康庭  | 1室1厅 | 56.7平米 | 南 | 精装 | 有电梯', '高楼层(共14层)2008年建板楼  -  康桥', '228万', '单价40212元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180114/38147195-779b-4e94-962e-34273df76146.jpg.296x216.jpg', '艺泰安邦 2室2厅 268万', '艺泰安邦  | 2室2厅 | 92.39平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2010年建板楼  -  宣桥', '268万', '单价29008元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160503/894c1495-7f60-4940-8922-5cd1ab556330.jpg.296x216.jpg', '诚意出售，单价低丨满五唯一有车位带地暖丨看房方便', '水清木华  | 4室3厅 | 254.62平米 | 南 | 精装 | 有电梯', '高楼层(共19层)2004年建板楼  -  联洋', '2380万', '单价93473元/平米')
('https://image1.ljcdn.com/310000-inspection/18de45a3-ff3d-4a90-9455-2ad74835889d.jpg.296x216.jpg', '汇锦城一期_中间楼层复试_大四房随时看有钥匙', '汇锦城(一期)  | 4室2厅 | 174.93平米 | 南 北 | 毛坯 | 无电梯', '中楼层(共5层)2011年建板楼  -  新场', '480万', '单价27440元/平米')
('https://image1.ljcdn.com/310000-inspection/test-ed5a91a0-6487-4aa2-a4a4-b226ccb4f5d6.png.296x216.jpg', '大华电梯两房双朝南户型 带地下产权车位', '大华锦绣华城(九街区)  | 2室0厅 | 58.18平米 | 南 | 简装 | 有电梯', '中楼层(共11层)2006年建板楼  -  北蔡', '440万', '单价75628元/平米')
('https://image1.ljcdn.com/310000-inspection/test-c673d555-639c-49a6-8a45-4b285a670b58.png.296x216.jpg', '一手动迁 满五唯一 税费少 看房方便', '海湾新城  | 2室2厅 | 83.66平米 | 暂无数据 | 毛坯 | 有电梯', '低楼层(共12层)2009年建板楼  -  合庆', '250万', '单价29883元/平米')
('https://image1.ljcdn.com/310000-inspection/test-2cb487e2-2b3a-4108-8d49-0228f0f4ead1.png.296x216.jpg', '世茂滨江花园：通透G户型，大两房住起来舒服，看江景', '世茂滨江花园  | 2室2厅 | 156.7平米 | 东 | 精装 | 有电梯', '中楼层(共53层)板楼  -  陆家嘴', '1450万', '单价92534元/平米')
('https://image1.ljcdn.com/310000-inspection/7958f467-9071-4561-8b3b-87cd37886662.jpg.296x216.jpg', '施湾家园，沃尔玛旁边的小区，此房在小区中间位置！', '施湾家园  | 3室1厅 | 106.88平米 | 南 | 其他 | 无电梯', '中楼层(共6层)2007年建板楼  -  川沙', '310万', '单价29005元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170409/b0e68e8b-dfb1-4ce4-acb5-55d1cb5eadd1.jpg.296x216.jpg', '叠加别墅、带电梯、业主急售、钥匙房随时看、满五少税', '汇锦城(一期)  | 4室2厅 | 169.18平米 | 南 | 毛坯 | 无电梯', '高楼层(共5层)2011年建板楼  -  新场', '485万', '单价28668元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171125/ad8e13fa-8748-4f4e-9651-ce0fb3e7209f.jpg.296x216.jpg', '低于市场价30万《超大面积南北两房+厨卫全明》近地铁', '罗山六村,  | 2室1厅 | 68.53平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1990年建板楼  -  金杨', '320万', '单价46695元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170805/8d36f53e-c028-4928-a53c-dccbc1963708.jpg.296x216.jpg', '对口建平，精装修两房，产权清晰，6号线/9号线', '金鹏苑  | 2室1厅 | 64.19平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1997年建板楼  -  金桥', '415万', '单价64652元/平米')
('https://image1.ljcdn.com/310000-inspection/test-49abadca-b07e-409d-afde-9f62095c4d6b.png.296x216.jpg', '内环 新上，满五唯一，随时看房，婚房装修，双南两室', '梅花新村(花木)  | 2室2厅 | 73.37平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1995年建板楼  -  花木', '485万', '单价66104元/平米')
('https://image1.ljcdn.com/310000-inspection/test-6d4826a1-db88-4fc3-b6e3-3685fd61950a.png.296x216.jpg', '板式3房，使用面积大，低于同户型价格100万，位置安静', '乔顿花园  | 3室2厅 | 117.84平米 | 南 | 精装 | 无电梯', '中楼层(共6层)2000年建板楼  -  塘桥', '830万', '单价70435元/平米')
('https://image1.ljcdn.com/310000-inspection/test-f0b73675-f08d-4b47-8216-9d398b15e50f.png.296x216.jpg', '小上海新城， 精装修1室户，电梯4楼，无遮挡，采光好', '小上海新城  | 1室1厅 | 54.69平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2007年建板楼  -  周浦', '240万', '单价43884元/平米')
('https://image1.ljcdn.com/310000-inspection/d0cc0d01-2936-4738-b180-26b7596b6758.jpg.296x216.jpg', '电梯8楼 毛坯 两房一厅 一手动迁无增值税，业主诚意卖', '海湾新城  | 2室1厅 | 84.14平米 | 南 | 毛坯 | 有电梯', '中楼层(共13层)2009年建板楼  -  合庆', '249万', '单价29594元/平米')
('https://image1.ljcdn.com/310000-inspection/4baadef0-8fb1-4431-92d2-871ce6c3dfcb.jpg.296x216.jpg', '绿波城新出房源，位置好，适中楼层，适合一家人居住', '绿波城  | 1室2厅 | 59.04平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2006年建板楼  -  唐镇', '285万', '单价48273元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170521/268c6e3d-84e7-411f-979c-a2e7b62d2512.jpg.296x216.jpg', '房东置换，看房子方便，提前电话联系，房东诚心出售', '唐人苑  | 1室1厅 | 57.19平米 | 南 | 精装 | 无电梯', '低楼层(共6层)2002年建板楼  -  唐镇', '280万', '单价48960元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161212/ae3e964f-4fa6-45d3-b97d-d2d2b72153c7.jpg.296x216.jpg', '民春苑总价低，05年的小区，正宗地铁房到市区方便', '民春苑  | 2室1厅 | 75.24平米 | 南 | 简装 | 无电梯', '高楼层(共6层)2005年建板楼  -  曹路', '295万', '单价39208元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170210/b4345695-1f00-4b18-a70a-f8ccdf3c50f5.jpg.296x216.jpg', '【找不到比较的】【7/13号线双地铁】天井20平一梯两户', '天池一村  | 3室1厅 | 86.05平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1994年建板楼  -  北蔡', '450万', '单价52296元/平米')
('https://image1.ljcdn.com/310000-inspection/a887c8eb-0789-4f19-bb3d-49028687d215.jpg.296x216.jpg', '世茂滨江花园 4室2厅 2650万', '世茂滨江花园  | 4室2厅 | 311.84平米 | 西南 | 精装 | 有电梯', '低楼层(共61层)板楼  -  陆家嘴', '2650万', '单价84980元/平米')
('https://image1.ljcdn.com/310000-inspection/fb95ff5e-a9ff-4e1b-91a2-77bbf6529ccf.jpg.296x216.jpg', '近禹州广场 近乐购欧尚 南北双阳台 房东诚心出售', '东方听潮豪园  | 2室2厅 | 89.63平米 | 南 北 | 精装 | 有电梯', '高楼层(共8层)2010年建板楼  -  惠南', '300万', '单价33471元/平米')
('https://image1.ljcdn.com/310000-inspection/test-c2815a00-f0f6-459e-9ff9-608a425ef492.png.296x216.jpg', '边套南北通，精装修新风系统，拎包入住，产权车位', '凯德嘉博名邸  | 2室2厅 | 104.88平米 | 南 | 精装 | 有电梯', '高楼层(共16层)2012年建板楼  -  世博', '870万', '单价82952元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170915/65929e74-7251-40ea-b2bb-abb196a27c74.jpg.296x216.jpg', '近前滩，板式两房，双轨交8号线6号线，精装修，', '东方吉苑  | 2室2厅 | 87.43平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2007年建板楼  -  三林', '568万', '单价64967元/平米')
('https://image1.ljcdn.com/310000-inspection/7190d25c-3432-432a-b14a-76fcf35357e7.jpg.296x216.jpg', '南北精装两房，附赠面积大，拎包入住。', '浦三路628弄  | 2室1厅 | 65.57平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1993年建板楼  -  南码头', '380万', '单价57954元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170918/8edde12b-e48e-4982-aa20-85b1ebe54685.jpg.296x216.jpg', '涵合园精修两房，不靠路，不临街，有钥匙看房随时', '涵合园(公寓)  | 2室2厅 | 78.81平米 | 南 | 精装 | 有电梯', '低楼层(共8层)2005年建板楼  -  杨东', '695万', '单价88187元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171126/e984ed5b-5f89-4102-9449-d0ecf8f5f0bc.jpg.296x216.jpg', '婚房装修全送 2+1户型 满五唯一 看房方便', '印象春城  | 2室2厅 | 88平米 | 暂无数据 | 简装 | 有电梯', '高楼层(共18层)2009年建板楼  -  周浦', '420万', '单价47728元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160724/74256c50-a41f-40b2-bd92-7d9678bad9ee.jpg.296x216.jpg', '小区央座送七十平大花园错层大三房，两南一北动静分离', '东方城市花园(二期)  | 3室2厅 | 161.86平米 | 南 | 精装 | 有电梯', '低楼层(共30层)2005年建板楼  -  塘桥', '1150万', '单价71050元/平米')
('https://image1.ljcdn.com/310000-inspection/e6387645-a8a0-4a25-8b88-77244628ef0b.JPG.296x216.jpg', '周浦空中别墅，南北通复式四房，三个露台，诚意出售！', '明天华城  | 3室2厅 | 203.67平米 | 南 | 简装 | 有电梯', '高楼层(共18层)2011年建板楼  -  周浦', '780万', '单价38298元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170903/0dfb2fd6-5d11-40b0-87b1-db898fda0e59.jpg.296x216.jpg', '1房1厅1卫,一个房间朝南带阳台，小区花园位置', '罗山一村  | 1室1厅 | 44平米 | 西 | 简装 | 无电梯', '高楼层(共6层)1992年建板楼  -  金杨', '245万', '单价55682元/平米')
('https://image1.ljcdn.com/310000-inspection/test-2d6ecc9c-6973-481a-a82a-883cca095f17.png.296x216.jpg', '急卖房源！中间楼层+贝壳新上VR视频+随时可看！！', '康桥花园  | 2室2厅 | 83.72平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1995年建板楼  -  御桥', '308万', '单价36790元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload16ef04f1-4062-4df1-b860-649296c877ab.jpg.296x216.jpg', '独栋别墅，纯地上面积，相当于333户型，精装修', '四季雅苑(别墅)   | 暂无数据别墅 | 4室2厅 | 247.49平米 | 东南 | 精装 | 无电梯', '下叠(共3层)2000年建板楼  -  花木', '3800万', '单价153542元/平米')
('https://image1.ljcdn.com/310000-inspection/fdec028f-e488-4318-8825-379451b605f6.jpg.296x216.jpg', '紫叶花园 1室1厅 270万', '紫叶花园  | 1室1厅 | 48.38平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1995年建板楼  -  北蔡', '270万', '单价55809元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171202/33668b6b-c4b6-4a29-be1f-95e69e69ff5f.jpg.296x216.jpg', '此房满五年。纯实木精装，自住装修好 保养如新', '中芯花园(公寓)  | 2室2厅 | 94.72平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2002年建板楼  -  张江', '570万', '单价60178元/平米')
('https://image1.ljcdn.com/310000-inspection/test-32466888-c31e-40e9-9ffb-64da2623cdad.png.296x216.jpg', '紫翠苑 小3房户型 动迁房税费少 有钥匙随时看', '紫翠苑  | 3室2厅 | 95.73平米 | 南 | 毛坯 | 无电梯', '高楼层(共6层)2007年建板楼  -  高行', '435万', '单价45441元/平米')
('https://image1.ljcdn.com/shfdfs-image/20151120/b114b636-635e-41be-a8ed-50be4540d261.jpg.296x216.jpg', '满五唯一，低税费，精装全屋地暖，随时看房！', '绿宝园   | 独栋别墅 | 5室3厅 | 379.07平米 | 北 | 精装 | 无电梯', '2层2005年建板楼  -  康桥', '2700万', '单价71227元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload3dc80f38-851c-4a22-9f9d-60fb29e9f625.jpg.296x216.jpg', '钥匙 楼层采光好  随时看 ~业主诚心出售', '东方悦居  | 2室1厅 | 73平米 | 南 | 简装 | 有电梯', '中楼层(共11层)2008年建板楼  -  三林', '435万', '单价59590元/平米')
('https://image1.ljcdn.com/310000-inspection/test-86b07b0f-8a54-4a22-9e98-4037c44a6ee2.png.296x216.jpg', '达城锦园新出炉毛坯2房，满5年，业主诚心出售！价可谈', '达城锦园  | 2室2厅 | 77.95平米 | 南 | 毛坯 | 有电梯', '低楼层(共14层)2010年建板楼  -  康桥', '260万', '单价33355元/平米')
('https://image1.ljcdn.com/310000-inspection/test-6fab9890-d310-45a2-9b35-9d1f0566a140.png.296x216.jpg', '户型正气，南北通透，高区，免增值税，视野臻美！！！', '高行绿洲(四期)  | 1室1厅 | 54.16平米 | 南 | 简装 | 有电梯', '高楼层(共14层)2010年建板楼  -  高东', '230万', '单价42467元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171110/f40de9f0-f376-4050-81a8-f88d16229806.jpg.296x216.jpg', '看一线黄浦江景品百年外滩繁华，万科翡翠系全地暖新风', '万科翡翠滨江(一期)  | 4室2厅 | 213平米 | 南 | 精装 | 有电梯', '低楼层(共30层)板楼  -  源深', '2550万', '单价119719元/平米')
('https://image1.ljcdn.com/310000-inspection/66305641-8599-4956-90ac-ce65e7c4730f.jpg.296x216.jpg', '江南山水两房楼层可以业主诚意出售', '江南山水  | 2室2厅 | 95.48平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2001年建板楼  -  金桥', '609万', '单价63783元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170514/531b44f9-fc49-4e3e-9e11-7f4a213d1274.jpg.296x216.jpg', '闹中取静 视野开阔 户型正气 通风好', '罗山三村  | 1室1厅 | 53.35平米 | 南 | 精装 | 无电梯', '低楼层(共6层)1994年建板楼  -  金杨', '290万', '单价54359元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171126/6840d1e8-b289-43af-857d-b21c7a81487e.jpg.296x216.jpg', '小区中间位置，中间楼层，南北通透，单价低，采光好', '建中路126弄  | 3室2厅 | 96.1平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)1993年建板楼  -  张江', '460万', '单价47867元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170902/7e8eeb08-2f55-4061-8d29-ae2150597823.jpg.296x216.jpg', '6/7号线电梯两房，中间楼层，采光无遮挡，接受置换', '东明苑  | 2室1厅 | 80.82平米 | 西南 | 简装 | 有电梯', '中楼层(共24层)1998年建塔楼  -  世博', '478万', '单价59144元/平米')
('https://image1.ljcdn.com/310000-inspection/test-83a08a48-bf12-4cab-8d20-25b05bfd7aa6.png.296x216.jpg', '2002年商品房+小区安静位置+2年的精装修+家具家电', '光鸿苑  | 3室2厅 | 131.51平米 | 南 | 其他 | 有电梯', '低楼层(共9层)2002年建板楼  -  南码头', '860万', '单价65395元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170908/6bf5f068-ba48-4b1c-960e-7a5819976e3a.jpg.296x216.jpg', '动迁房+中间楼层+精装修+钥匙房', '锦博苑  | 2室2厅 | 77.73平米 | 南 | 精装 | 无电梯', '中楼层(共6层)2007年建板楼  -  北蔡', '505万', '单价64969元/平米')
('https://image1.ljcdn.com/310000-inspection/test-ddf20fa1-9ec1-45f8-b4aa-b50fd05ca869.png.296x216.jpg', '蓝高小区 2室1厅 420万', '蓝高小区  | 2室1厅 | 56平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1988年建板楼  -  塘桥', '420万', '单价75000元/平米')
