('https://image1.ljcdn.com/210200-inspection/test-dcd62141-21c7-4d86-950f-713e1e1aecf0.png.296x216.jpg', '侯一小区 1室1厅 51万', '侯一小区  | 1室1厅 | 49.43平米 | 西 | 其他 | 无电梯', '低楼层(共7层)1993年建板楼  -  侯家沟', '51万', '单价10318元/平米')
('https://image1.ljcdn.com/210200-inspection/065b4c21-65b2-467a-bbee-88547aa20406.jpg.296x216.jpg', '莱州街 2室1厅 62万', '莱州街  | 2室1厅 | 55.66平米 | 南 北 | 其他 | 无电梯', '中楼层(共8层)1990年建板楼  -  孙家沟', '62万', '单价11140元/平米')
('https://image1.ljcdn.com/210200-inspection/1530d940-c2c5-4322-a0ac-70c0f30cc92b.JPG.296x216.jpg', '封闭小区 双南卧全明户型中间楼层', '锦绣园  | 2室2厅 | 77.71平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)2000年建板楼  -  锦绣', '123.8万', '单价15932元/平米')
('https://image1.ljcdn.com/210200-inspection/ae54ad30-f784-41d7-82a9-2fbba4cd8a3b.jpg.296x216.jpg', '幸福e家五期 2室2厅 355万', '幸福e家五期  | 2室2厅 | 102.66平米 | 南 北 | 精装 | 有电梯', '高楼层(共28层)2009年建板楼  -  幸福e家', '355万', '单价34581元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload247034fa-7a66-4403-8dc3-1587f4cb9452.jpg.296x216.jpg', '中海英伦观邸 3室2厅 580万', '中海英伦观邸  | 3室2厅 | 101.79平米 | 南 北 | 精装 | 有电梯', '低楼层(共11层)2009年建板楼  -  绿波', '580万', '单价56981元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload6d33dda2-3f8f-4633-be5e-03f8b6cddd60.jpg.296x216.jpg', '楼层好，视野宽阔，采光充足，配套成熟', '侯二小区  | 2室1厅 | 66.4平米 | 东 | 简装 | 无电梯', '低楼层(共7层)1990年建板楼  -  侯家沟', '70万', '单价10543元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload0eca5050-f169-41a5-af71-490fc828f54c.jpg.296x216.jpg', '南沙 2室1厅 79万', '南沙  | 2室1厅 | 76.8平米 | 南 西 | 简装 | 无电梯', '中楼层(共7层)1995年建板楼  -  南沙', '79万', '单价10287元/平米')
('https://image1.ljcdn.com/210200-inspection/ff67be68-7aeb-46ed-899f-6d92b2acb2e9.jpg.296x216.jpg', '恒达三室\u3000采光充足\u3000中间楼层\u3000装修保持干净', '恒达花园（沙河口）  | 3室2厅 | 94.57平米 | 南 北 | 简装 | 有电梯', '中楼层(共7层)1998年建板楼  -  辽师', '125万', '单价13218元/平米')
('https://image1.ljcdn.com/210200-inspection/69d43925-f2a9-438f-a2c4-115bbbfd14ed.jpg.296x216.jpg', '壹品星海 精装公寓户型居高观海 拎包可住', '壹品星海公寓  | 1室1厅 | 61.93平米 | 南 西 | 精装 | 有电梯', '高楼层(共25层)2003年建板塔结合  -  星海广场', '117万', '单价18893元/平米')
('https://image1.ljcdn.com/210200-inspection/de0a1e6a-6860-45f3-b9ad-899a65bb3912.jpg.296x216.jpg', '新增兰玉街辽师北院家属楼无坡地脚4楼，房主诚心出售', '兰玉小区  | 1室1厅 | 45.8平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)1990年建板楼  -  马栏', '55万', '单价12009元/平米')
('https://image1.ljcdn.com/210200-inspection/test-09f56ca2-da7f-4662-bd5c-8f208845a155.png.296x216.jpg', '新装修未住人，干净整洁，赠送面积约6平', '侯二小区  | 2室1厅 | 61.89平米 | 南 北 | 精装 | 无电梯', '高楼层(共7层)1992年建板楼  -  侯家沟', '63万', '单价10180元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload37de1fbf-64b7-4f3c-9ff3-3bf47d80697a.jpg.296x216.jpg', '79中金光 跃层 三室两卫精装修 赠送花园 宜三代人居住', '79中金光小区  | 2室2厅 | 130.14平米 | 南 北 | 精装 | 无电梯', '低楼层(共8层)1993年建板楼  -  中山公园', '298万', '单价22899元/平米')
('https://image1.ljcdn.com/210200-inspection/6e066da3-4573-45b9-bad8-b433f11f8e4a.jpg.296x216.jpg', '侯二小区 2室1厅 51万', '侯二小区  | 2室1厅 | 62.63平米 | 西 | 其他 | 无电梯', '高楼层(共7层)1992年建板楼  -  侯家沟', '51万', '单价8144元/平米')
('https://image1.ljcdn.com/210200-inspection/bf2a6604-b254-4524-ae95-187e5c594402.jpg.296x216.jpg', '79中广电 南北三室 光线视野好 闹中取静', '79中广电中心  | 3室1厅 | 72.29平米 | 东 南 北 | 精装 | 无电梯', '高楼层(共8层)1988年建板楼  -  中山公园', '200万', '单价27667元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploadb0bf215a-8f50-4ddf-997a-fccff7fc82d1.jpg.296x216.jpg', '和平广场两室好房，户型方正，高楼层，视野好。', '和平现代城  | 2室1厅 | 83.58平米 | 西南 | 精装 | 有电梯', '高楼层(共50层)2005年建板楼  -  和平广场', '158万', '单价18905元/平米')
('https://image1.ljcdn.com/210200-inspection/21bc6690-dc6c-4286-b083-ce25755a7ab2.JPG.296x216.jpg', '锦云中园 新玛特后身 4楼 交通方便 配套齐全', '锦云中园  | 2室1厅 | 65.65平米 | 西南 | 简装 | 无电梯', '中楼层(共6层)1996年建板楼  -  锦绣', '65万', '单价9901元/平米')
('https://image1.ljcdn.com/210200-inspection/test-0648d145-0f52-498c-8282-84afdf992eb7.png.296x216.jpg', '妇产医院旁 一楼 南向精装修 不挡光', '侯一小区  | 1室1厅 | 32.68平米 | 南 北 | 精装 | 无电梯', '低楼层(共6层)1991年建板楼  -  侯家沟', '42万', '单价12852元/平米')
('https://image1.ljcdn.com/210200-inspection/d175dd2e-6f9b-4bf3-9aac-29b4730dfb4b.jpg.296x216.jpg', '2001年房南北向 两室一厅 带阁楼户型方正视野开阔急售', '锦华中园  | 2室1厅 | 66.77平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2001年建板楼  -  锦绣', '77万', '单价11533元/平米')
('https://image1.ljcdn.com/210200-inspection/8f83e3b3-bb6c-4033-8368-e677d31cfc06.jpg.296x216.jpg', '西林街小三室南北 位置好 近地铁', '交通大学  | 3室0厅 | 53.59平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)1995年建板楼  -  辽师', '64万', '单价11943元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload46a9290d-5a14-47d9-8032-fcf6e94086a8.jpg.296x216.jpg', '西安路两室房源 地脚便利 陪读自住均可', '民权小区  | 2室2厅 | 95.66平米 | 东 西 | 简装 | 无电梯', '中楼层(共7层)1997年建板楼  -  西安路', '119万', '单价12440元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload06907576-e344-4e1a-bbfa-153047985f9d.jpg.296x216.jpg', '黑石礁 2室1厅 66万', '黑石礁  | 2室1厅 | 53.67平米 | 南 | 其他 | 无电梯', '低楼层(共7层)1990年建板楼  -  黑石礁', '66万', '单价12298元/平米')
('https://image1.ljcdn.com/210200-inspection/9397d89f-3640-4a4b-b6e3-efeb3f77810e.jpg.296x216.jpg', '79中万泰花园精装修 中间楼层 房子保持好赠送一楼仓库', '79中万泰花园  | 2室2厅 | 91.32平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)1998年建板楼  -  中山公园', '266万', '单价29129元/平米')
('https://image1.ljcdn.com/210200-inspection/test-66e3ac97-f2d6-46f5-9224-708e0f601e6d.png.296x216.jpg', '鹏顺园，精装二室，南北向，中间楼层，采光好', '鹏顺园  | 2室2厅 | 105平米 | 南 北 | 精装 | 无电梯', '中楼层(共7层)2001年建板楼  -  南沙', '255万', '单价24286元/平米')
('https://image1.ljcdn.com/210200-inspection/aae5a388-356c-44ca-9ad9-1a25e624b049.jpg.296x216.jpg', '西安路中山公园79中大户型单价低装修好', '79中万岁公寓  | 2室2厅 | 217.68平米 | 东 西 | 精装 | 有电梯', '高楼层(共24层)2000年建板楼  -  中山公园', '390万', '单价17917元/平米')
('https://image1.ljcdn.com/210200-inspection/test-9a229f00-b538-4dac-8efe-6e9625e198b6.png.296x216.jpg', '中海天赋山二期 3室2厅 209万', '中海天赋山二期  | 3室2厅 | 112.61平米 | 南 北 | 毛坯', '中楼层(共5层)2017年建板楼  -  绿波', '209万', '单价18560元/平米')
('https://image1.ljcdn.com/210200-inspection/test-d79b3839-47f4-461d-b776-c665915f11d6.png.296x216.jpg', '壹品星海公寓 2室1厅 142万', '壹品星海公寓  | 2室1厅 | 78.45平米 | 西南 | 其他 | 有电梯', '高楼层(共25层)2003年建板塔结合  -  星海广场', '142万', '单价18101元/平米')
('https://image1.ljcdn.com/210200-inspection/test-d5e17174-a40d-4bea-ad77-5b59c68285a6.png.296x216.jpg', '黑石礁广场 3室1厅 115万', '黑石礁广场  | 3室1厅 | 74.16平米 | 南 北 | 其他 | 无电梯', '低楼层(共7层)1995年建板楼  -  黑石礁', '115万', '单价15508元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploaddcd47ea6-1c43-40b9-b7ad-eb46afb3be03.jpg.296x216.jpg', '幸福e家五期 3室2厅 435万', '幸福e家五期  | 3室2厅 | 129.06平米 | 南 北 | 精装 | 有电梯', '高楼层(共24层)2009年建板楼  -  幸福e家', '435万', '单价33706元/平米')
('https://image1.ljcdn.com/210200-inspection/a1d61ddb-9885-499b-a7a5-cf4f56151029.jpg.296x216.jpg', '百年汇小户型 看广场 装修保持好', '百年汇  | 1室0厅 | 48.9平米 | 东 | 其他 | 有电梯', '高楼层(共12层)2007年建板楼  -  星海广场', '85万', '单价17383元/平米')
('https://image1.ljcdn.com/210200-inspection/90b9f9c6-959b-4161-8919-ced6f041ba02.JPG.296x216.jpg', '一楼门头房，位置好，户型规矩，价格合理，客流量大', '侯二小区  | 3室1厅 | 84.32平米 | 南 北 | 简装 | 无电梯', '低楼层(共7层)1991年建板楼  -  侯家沟', '102万', '单价12097元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploadbd34840f-dd89-44cd-9ef7-0f20b93e0c43.jpg.296x216.jpg', '西安路 79中封闭小区 两室 看房方便', '79中科学家公寓  | 2室1厅 | 83.26平米 | 东北 | 简装 | 有电梯', '中楼层(共30层)1998年建板楼  -  中山公园', '198万', '单价23781元/平米')
('https://image1.ljcdn.com/210200-inspection/48392d55-1299-4ba3-8b1b-2fc46a29cfb9.JPG.296x216.jpg', '锦江园 中间楼层 精装一室 看房方便', '锦江园  | 1室1厅 | 56.78平米 | 东 | 精装 | 无电梯', '中楼层(共7层)1996年建板楼  -  锦绣', '56万', '单价9863元/平米')
('https://image1.ljcdn.com/210200-inspection/test-f5fccf58-9593-4483-8ba3-a47a157b8ba6.png.296x216.jpg', '星海公园 2室1厅 60万', '星海公园  | 2室1厅 | 51.75平米 | 南 | 其他 | 无电梯', '低楼层(共3层)1990年建板楼  -  黑石礁', '60万', '单价11595元/平米')
('https://image1.ljcdn.com/210200-inspection/test-e335b6de-e780-4d55-8c50-2d46c5697ef8.png.296x216.jpg', '机车家属楼，中间层南北通透两室一厅适合年强人老人住', '新建小区  | 2室1厅 | 61.79平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)1999年建板楼  -  辽师', '69万', '单价11167元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload5888af9f-f9f3-43d2-9a76-987c4c2698bb.JPG.296x216.jpg', '锦江园 户型好 两室采光好 中间楼层 近车站 业主急售', '锦江园  | 2室1厅 | 79.63平米 | 东 南 | 简装 | 无电梯', '中楼层(共7层)1996年建板楼  -  锦绣', '79.9万', '单价10034元/平米')
('https://image1.ljcdn.com/210200-inspection/test-33f9f7e7-c354-476b-b2ad-63d35f909ef6.png.296x216.jpg', '小高层 电梯 两室房源 南北通厅，南北通透', '星海人家  | 2室2厅 | 101.99平米 | 南 北 | 精装 | 有电梯', '中楼层(共10层)2002年建板楼  -  星海人家商圈', '278万', '单价27258元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload6157c0a5-21f1-44fe-b8f4-e60209d94582.jpg.296x216.jpg', '近西安路商圈，户型好，单价低，交通便利', '南昌平小区  | 2室2厅 | 133.6平米 | 南 西 北 | 其他 | 有电梯', '高楼层(共18层)1998年建板楼  -  西安路', '155万', '单价11602元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploadc3900a01-3897-40b4-a36f-e5f42ca3051e.JPG.296x216.jpg', '此房户型好单价低地角好楼层好楼层好婚房急售', '侯二小区  | 2室1厅 | 58.53平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1992年建板楼  -  侯家沟', '52.5万', '单价8970元/平米')
('https://image1.ljcdn.com/210200-inspection/d0c7c111-4193-46b5-be06-65a9ebec9e1d.jpg.296x216.jpg', '和平现代城 2室1厅 170万', '和平现代城  | 2室1厅 | 97.69平米 | 西南 | 其他 | 有电梯', '高楼层(共50层)2005年建板楼  -  和平广场', '170万', '单价17402元/平米')
('https://image1.ljcdn.com/210200-inspection/test-70a32865-9a4c-4517-9335-05c9c5343171.png.296x216.jpg', '北山南海，清水新房未住，五明户型，客厅开间6米', '半岛听涛  | 4室1厅 | 191.71平米 | 南 北 | 毛坯 | 有电梯', '低楼层(共31层)2007年建板楼  -  星海广场', '420万', '单价21909元/平米')
('https://image1.ljcdn.com/210200-inspection/88728c73-7036-49d5-92a4-db1eda6f5629.JPG.296x216.jpg', '小户型 位置好价格便宜，交通方便', '绿波小区  | 1室1厅 | 32.37平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1998年建板楼  -  绿波', '40万', '单价12358元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploadd56aa194-f793-4c14-9059-b16605ebdbb0.jpg.296x216.jpg', '幸福e家四期大三室户型 多层4楼 近格致', '幸福e家四期  | 3室2厅 | 136.83平米 | 南 北 | 简装 | 有电梯', '中楼层(共5层)2007年建板楼  -  幸福e家', '450万', '单价32888元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload9eb8545e-3641-416d-9bc5-39f3449fe55b.jpg.296x216.jpg', '壹品星海公寓 1室1厅 95万', '壹品星海公寓  | 1室1厅 | 57.79平米 | 东南 | 其他 | 有电梯', '中楼层(共25层)2003年建板塔结合  -  星海广场', '95万', '单价16439元/平米')
('https://image1.ljcdn.com/210200-inspection/test-bbd00557-fee0-435b-9c58-f48aa77b2357.png.296x216.jpg', '德源筑座 和平商圈 中间楼层 装修好 配套全', '德源筑座  | 1室0厅 | 45.99平米 | 南 | 精装 | 有电梯', '中楼层(共29层)2009年建板楼  -  和平广场', '98万', '单价21309元/平米')
('https://image1.ljcdn.com/210200-inspection/76a60b1f-8c77-45b3-98da-44f68429a66b.jpg.296x216.jpg', '精装修南北通透五明两室 送车位', '幸福e家三期  | 2室2厅 | 79.6平米 | 南 北 | 精装 | 有电梯', '中楼层(共11层)2004年建板楼  -  幸福e家', '315万', '单价39573元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload16361fc7-8f70-4458-b431-f56f9203a9e1.jpg.296x216.jpg', '幸福e家二期 精装小三室 北窗看格致校园 安静舒适', '幸福e家二期  | 3室2厅 | 115.52平米 | 南 北 | 精装 | 有电梯', '中楼层(共11层)2003年建板楼  -  幸福e家', '410万', '单价35492元/平米')
('https://image1.ljcdn.com/210200-inspection/test-e663d4ce-ffbc-45f0-9b51-a522082cae87.png.296x216.jpg', '西安路商圈两室南向户型方正近市场', '南昌平小区  | 2室1厅 | 49.73平米 | 南 | 其他 | 无电梯', '低楼层(共7层)1997年建板楼  -  西安路', '68万', '单价13674元/平米')
('https://image1.ljcdn.com/210200-inspection/59cfa147-d8fc-442d-965e-0f961cffadf8.JPG.296x216.jpg', '侯二小区 1室1厅 41.5万', '侯二小区  | 1室1厅 | 46.37平米 | 东 西 | 简装 | 无电梯', '高楼层(共7层)1992年建板楼  -  侯家沟', '41.5万', '单价8950元/平米')
('https://image1.ljcdn.com/210200-inspection/test-8d3f1df2-9c77-42bf-91a7-a7ac3be2861f.png.296x216.jpg', '马栏广场 南北向两室中间楼层采光充足 诚心出售', '马栏小学南  | 2室1厅 | 54.39平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1995年建板楼  -  马栏', '64万', '单价11767元/平米')
('https://image1.ljcdn.com/210200-inspection/e8c60c3e-1b6d-4e2e-8d36-356da2890ebd.jpg.296x216.jpg', '泰安花园单价便宜，户型位置还好，卖了就再也找不到了', '泰安花园  | 3室2厅 | 123.12平米 | 南 北 | 精装 | 无电梯', '高楼层(共7层)1998年建板楼  -  南沙', '145万', '单价11778元/平米')
('https://image1.ljcdn.com/210200-inspection/test-98983023-56b9-46f5-963f-aab66bb7e682.png.296x216.jpg', '德源 4室2厅 460万', '德源  | 4室2厅 | 174.26平米 | 南 北 | 精装 | 有电梯', '中楼层(共6层)2008年建板楼  -  和平广场', '460万', '单价26398元/平米')
('https://image1.ljcdn.com/210200-inspection/test-ae83addd-52b7-4c88-b10f-8005a449c739.png.296x216.jpg', '星台花园一期 1室1厅 75万', '星台花园一期  | 1室1厅 | 49平米 | 东 西 | 简装 | 无电梯', '中楼层(共7层)1998年建板楼  -  幸福e家', '75万', '单价15307元/平米')
('https://image1.ljcdn.com/210200-inspection/41f41cd1-c7e9-4c98-ab61-3539cbd43df7.jpg.296x216.jpg', '西安路南昌平地脚好精装修价位合理诚心售房', '南昌平小区  | 2室2厅 | 80.88平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1993年建板楼  -  西安路', '80万', '单价9892元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload0d706e4a-7205-4477-a7dc-caa9e35de2bf.jpg.296x216.jpg', '田字格户型南北通透南北通厅精装修', '孙家沟  | 3室1厅 | 84平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)1991年建板楼  -  孙家沟', '100万', '单价11905元/平米')
('https://image1.ljcdn.com/210200-inspection/66ab6a3c-269c-4e2f-a32b-e4d273f82840.jpg.296x216.jpg', '星海大观 4室2厅 580万', '星海大观  | 4室2厅 | 268.04平米 | 南 北 | 其他 | 有电梯', '高楼层(共50层)2010年建板楼  -  星海广场', '580万', '单价21639元/平米')
('https://image1.ljcdn.com/210200-inspection/test-ae3d30db-661e-4762-ac22-d65bb07243cd.png.296x216.jpg', '壹品星海公寓 1室1厅 83万', '壹品星海公寓  | 1室1厅 | 46.66平米 | 西南 | 其他 | 有电梯', '低楼层(共25层)2003年建板塔结合  -  星海广场', '83万', '单价17789元/平米')
('https://image1.ljcdn.com/210200-inspection/73e12e62-3e72-4760-802f-4159cdc28349.jpg.296x216.jpg', '马栏小 一室 单价低 适合过度房', '马栏小学北  | 1室1厅 | 43.38平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1995年建板楼  -  马栏', '41万', '单价9452元/平米')
('https://image1.ljcdn.com/210200-inspection/d7b4c604-5323-406f-b6b8-a1ac80f89065.jpg.296x216.jpg', '南沙 2室1厅 63万', '南沙  | 2室1厅 | 71平米 | 南 | 其他 | 无电梯', '高楼层(共7层)1995年建板楼  -  南沙', '63万', '单价8874元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload542a7f5e-f728-4adb-939e-246324ad11f2.jpg.296x216.jpg', '79中封闭小区婚房装修  南北通透', '79中中山公寓  | 2室2厅 | 100.6平米 | 南 北 | 精装 | 无电梯', '低楼层(共6层)2002年建板楼  -  中山公园', '291万', '单价28927元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload7dbf455f-6cc8-434f-b5ae-9c01121a4ae5.jpg.296x216.jpg', '星海广场，海景房，一室精装，中间楼层，拎包入住', '壹品星海公寓  | 1室1厅 | 59.64平米 | 西南 | 简装 | 有电梯', '中楼层(共25层)2003年建板塔结合  -  星海广场', '96万', '单价16097元/平米')
('https://image1.ljcdn.com/210200-inspection/test-885abca7-0576-4083-9e00-3014ab072d33.png.296x216.jpg', '侯家沟 一室 南向 此房近车站 等20多条公交线路', '侯二小区  | 1室1厅 | 37.28平米 | 西 | 简装 | 无电梯', '中楼层(共7层)1993年建板楼  -  侯家沟', '44万', '单价11803元/平米')
('https://image1.ljcdn.com/210200-inspection/e83b233b-5e13-4f21-8ea1-6797ead8db05.JPG.296x216.jpg', '双语新格致九年连读下楼即到校不过马路不用早起', '玉门街  | 2室1厅 | 57平米 | 东南 | 简装 | 无电梯', '中楼层(共7层)1999年建板楼  -  孙家沟', '103万', '单价18071元/平米')
('https://image1.ljcdn.com/210200-inspection/5b81f679-1691-4165-b56d-87cb3014e68c.JPG.296x216.jpg', '2000年框架房 南向两室一厅户型 位置好', '绿波小区  | 2室1厅 | 68.2平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1998年建板楼  -  绿波', '79.8万', '单价11701元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploada847016c-a609-4173-872f-9bee9c5353e9.jpg.296x216.jpg', '马栏封闭小区 婚房装修 户型方正 没有浪费面积', '观山蝶恋花  | 2室1厅 | 82.18平米 | 东 南 | 其他', '高楼层(共20层)2010年建板楼  -  马栏', '136万', '单价16550元/平米')
('https://image1.ljcdn.com/210200-inspection/test-ec1a552c-ec5e-4188-b54f-57250b297d0f.png.296x216.jpg', '辽师 1室1厅 53万', '辽师  | 1室1厅 | 41.48平米 | 东南 北 | 简装 | 无电梯', '中楼层(共6层)1998年建板楼  -  辽师', '53万', '单价12778元/平米')
('https://image1.ljcdn.com/210200-inspection/test-05c7f09c-a7eb-44c0-a8de-9fc188afb7a9.png.296x216.jpg', '独立一室一厅,离中山路仅10米远,离星海广场有50米远', '东方星海  | 1室1厅 | 62平米 | 东 | 精装 | 有电梯', '高楼层(共30层)2009年建板楼  -  星海广场', '112万', '单价18065元/平米')
('https://image1.ljcdn.com/210200-inspection/test-47b0c556-0a50-430d-a6d5-77ca466adb47.png.296x216.jpg', '南沙 2室1厅 63万', '南沙  | 2室1厅 | 54.1平米 | 南 北 | 精装 | 无电梯', '高楼层(共5层)1995年建板楼  -  南沙', '63万', '单价11646元/平米')
('https://image1.ljcdn.com/210200-inspection/66e4c143-6d04-4fff-a588-45ef71305372.jpg.296x216.jpg', '辽师两室南北向户型好采光好出行方便近地铁', '黄河路（辽师商圈）  | 2室1厅 | 53.88平米 | 南 北 | 简装', '高楼层(共7层)1988年建板楼  -  辽师', '58万', '单价10765元/平米')
('https://image1.ljcdn.com/210200-inspection/4c37dc9c-c224-42db-acba-12c052088d21.jpg.296x216.jpg', '79中小，封闭小区， 南北通透，采光很好，交通便利', '79中中山公寓  | 3室2厅 | 146.19平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2002年建板楼  -  中山公园', '375万', '单价25652元/平米')
('https://image1.ljcdn.com/210200-inspection/fc4ee6d4-d86d-413c-b1a5-9a927cab93b8.jpg.296x216.jpg', '百年汇 1室0厅 82万', '百年汇  | 1室0厅 | 48.84平米 | 东 | 其他 | 有电梯', '中楼层(共12层)2007年建板楼  -  星海广场', '82万', '单价16790元/平米')
('https://image1.ljcdn.com/210200-inspection/test-b60cb20f-cfe0-4a2e-bf9d-c3bc4089e9a3.png.296x216.jpg', '星海广场星海阳光四室平层南北通透海景房', '星海阳光  | 4室2厅 | 305.61平米 | 南 北 | 精装 | 有电梯', '中楼层(共28层)2004年建板楼  -  星海广场', '800万', '单价26178元/平米')
('https://image1.ljcdn.com/210200-inspection/bae744f9-ec76-4ae0-8ba5-5be834dec3a3.jpg.296x216.jpg', '西安路中山公园79中视野好光线好', '79中永平  | 2室1厅 | 50.4平米 | 南 | 精装 | 无电梯', '高楼层(共7层)1995年建板楼  -  中山公园', '150万', '单价29762元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload7fe687b4-689d-4b12-8fb9-f8f0aff37336.jpg.296x216.jpg', '79中小，西侧，上学近，楼层不高，上学方便', '79中至诚小区  | 3室2厅 | 103平米 | 南 北 | 精装 | 无电梯', '中楼层(共7层)1992年建板楼  -  中山公园', '295万', '单价28641元/平米')
('https://image1.ljcdn.com/210200-inspection/afe50ca5-e776-436c-a32d-7aa10ff4e182.jpg.296x216.jpg', '机车商厦 2室1厅 98万', '机车商厦  | 2室1厅 | 81平米 | 南 | 简装 | 有电梯', '中楼层(共18层)2000年建板塔结合  -  西安路', '98万', '单价12099元/平米')
('https://image1.ljcdn.com/210200-inspection/5847e6a3-50c4-41bc-9da1-658f73f29959.jpg.296x216.jpg', '锦霞南园 2室1厅 89万', '锦霞南园  | 2室1厅 | 51.8平米 | 东 | 精装 | 无电梯', '低楼层(共6层)1998年建板楼  -  锦绣', '89万', '单价17182元/平米')
('https://image1.ljcdn.com/210200-inspection/test-52d81e19-5857-4a22-a776-2bc13d993b20.png.296x216.jpg', '建和巷 3室2厅 245万', '建和巷  | 3室2厅 | 144.38平米 | 南 北 | 简装', '中楼层(共7层)暂无数据  -  太原街', '245万', '单价16970元/平米')
('https://image1.ljcdn.com/210200-inspection/test-583836b8-1db2-4340-967a-caae5ad614e2.png.296x216.jpg', '中航国际广场 2室2厅 280万', '中航国际广场  | 2室2厅 | 90平米 | 南 | 其他 | 有电梯', '中楼层(共37层)2017年建板楼  -  太原街', '280万', '单价31112元/平米')
('https://image1.ljcdn.com/210200-inspection/ad16f951-0c4d-495c-ba47-c438b7b040cf.jpg.296x216.jpg', '79中永平 2室1厅 215万', '79中永平  | 2室1厅 | 52.47平米 | 南 北 | 简装 | 无电梯', '低楼层(共7层)1995年建板楼  -  中山公园', '215万', '单价40976元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload888fabfd-cbdb-4ccf-a7c4-6a8f68a018f8.jpg.296x216.jpg', '马栏广场 一室 南向 大客厅 急售', '马栏广场东  | 1室1厅 | 48.56平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1996年建板楼  -  马栏', '43万', '单价8856元/平米')
('https://image1.ljcdn.com/210200-inspection/0471f675-dd64-4bb1-95b6-9b433609a056.jpg.296x216.jpg', '西安路79中民兴花园三室精装修南北通透拎包即主', '79中民兴花园一期  | 3室2厅 | 106.06平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2002年建板楼  -  中山公园', '335万', '单价31586元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload9ab3a250-d9ea-41f2-8357-38ec4751e537.jpg.296x216.jpg', '星海大观，70年住宅 标准一室一厅户型 精装修拎抱着', '星海大观  | 1室1厅 | 76.56平米 | 北 | 精装 | 有电梯', '低楼层(共50层)2010年建板楼  -  星海广场', '141万', '单价18417元/平米')
('https://image1.ljcdn.com/210200-inspection/test-71299960-0ecf-4371-af9b-c39a45bd6c6d.png.296x216.jpg', '星海阳光 四室精装修 房屋保持好 海景房', '星海阳光  | 4室2厅 | 305.61平米 | 南 北 | 精装 | 有电梯', '中楼层(共28层)2004年建板楼  -  星海广场', '700万', '单价22906元/平米')
('https://image1.ljcdn.com/210200-inspection/faae3766-ba9b-42ec-be6b-56719d7edbd6.jpg.296x216.jpg', '西安路中山公园79科学家公寓两室南向光线好', '79中科学家公寓  | 2室1厅 | 93.88平米 | 南 | 简装 | 有电梯', '低楼层(共30层)1998年建板楼  -  中山公园', '220万', '单价23435元/平米')
('https://image1.ljcdn.com/210200-inspection/a3dae1fe-09d6-4e3e-a6a6-d8e3e43db27d.JPG.296x216.jpg', '近花园 送阁楼，送阳台，结婚装修保持好！', '绿波小区  | 2室1厅 | 48.32平米 | 南 | 精装 | 无电梯', '高楼层(共7层)板楼  -  绿波', '53万', '单价10969元/平米')
