('https://image1.ljcdn.com/440100-inspection/e9faa787-6770-4c5e-8319-83c94bcf6037.jpg.296x216.jpg', '万科金色城品 精装3房 南向望园景', '万科金色城品  | 3室2厅 | 63平米 | 东南 | 精装 | 有电梯', '中楼层(共8层)2010年建塔楼  -  沙湾', '360万', '单价57143元/平米')
('https://image1.ljcdn.com/440100-inspection/6120a26d-c566-433d-936e-ed713fc3324d.jpg.296x216.jpg', '华南新城温馨2房，户型方正，采光通风好', '华南新城  | 2室2厅 | 85平米 | 南 | 简装 | 有电梯', '低楼层(共11层)2011年建塔楼  -  星河湾', '270万', '单价31765元/平米')
('https://image1.ljcdn.com/440100-inspection/e757e2ee-3260-4c31-b2d5-82ce418fb926.JPG.296x216.jpg', '桥南街 电梯房 南向..........', '香缤豪庭  | 3室2厅 | 83.32平米 | 南 | 精装 | 有电梯', '高楼层(共24层)2011年建塔楼  -  沙湾', '320万', '单价38407元/平米')
('https://image1.ljcdn.com/440100-inspection/7faf7a6a-f7fe-4924-99e7-b97cc14c3e07.JPG.296x216.jpg', '富丽家园怡居新村 2室1厅 162万', '富丽家园怡居新村  | 2室1厅 | 74.3平米 | 东 | 简装 | 无电梯', '中楼层(共7层)1995年建塔楼  -  大石', '162万', '单价21804元/平米')
('https://image1.ljcdn.com/440100-inspection/17bb842e-ea80-4a64-9a89-8ab1b1dc43fe.jpg.296x216.jpg', '洛涛南区 温馨两房 装修保养好', '芳华花园洛涛居  | 2室1厅 | 60.1平米 | 北 | 简装 | 无电梯', '中楼层(共6层)1999年建塔楼  -  洛溪', '198万', '单价32946元/平米')
('https://image1.ljcdn.com/440100-inspection/a9be574c-29df-4ca9-9a10-7bcb1f8cbcf6.JPG.296x216.jpg', '西环大街 南向三房 户型方正', '西丽路西环大街  | 3室2厅 | 86.5平米 | 南 | 简装 | 无电梯', '高楼层(共7层)板楼  -  市桥', '150万', '单价17342元/平米')
('https://image1.ljcdn.com/440100-inspection/3daebc3e-8965-4ed3-a75a-de4240230443.jpg.296x216.jpg', '富华园 过五唯一 温馨三房 视野开阔', '富华园  | 3室2厅 | 111.6平米 | 西南 | 其他 | 无电梯', '高楼层(共8层)2002年建塔楼  -  市桥', '198万', '单价17742元/平米')
('https://image1.ljcdn.com/440100-inspection/a6725283-fcd0-4020-b4b0-b26be5dd37cf.jpg.296x216.jpg', '祈福新村翠怡居 3室2厅 230万', '祈福新村翠怡居  | 3室2厅 | 73.2平米 | 北 | 其他 | 无电梯', '中楼层(共5层)1995年建板楼  -  祈福', '230万', '单价31421元/平米')
('https://image1.ljcdn.com/440100-inspection/b37bb50e-6a8d-4e70-afa0-d0fb9f99da02.jpg.296x216.jpg', '金沙湾花园 望园景单位 大3房带主套 保养良好', '金沙湾花园  | 3室2厅 | 108.8平米 | 北 | 简装 | 无电梯', '高楼层(共6层)2007年建塔楼  -  沙湾', '238万', '单价21875元/平米')
('https://image1.ljcdn.com/440100-inspection/49532d96-3375-4f44-9330-d6e2cf6e6fae.jpg.296x216.jpg', '祈福A区 新净两房 位置出入方便', '祈福新村A区  | 2室2厅 | 57平米 | 北 | 精装 | 无电梯', '中楼层(共4层)1995年建板楼  -  祈福', '150万', '单价26316元/平米')
('https://image1.ljcdn.com/440100-inspection/9096c670-1b98-4d49-a6ef-e2825313101a.jpg.296x216.jpg', '南国奥林匹克花园悉尼 电梯三房 高层对流户型', '南国奥林匹克花园悉尼  | 3室2厅 | 117.5平米 | 西北 | 简装 | 有电梯', '中楼层(共17层)2006年建塔楼  -  汉溪', '430万', '单价36596元/平米')
('https://image1.ljcdn.com/440100-inspection/b8375e16-e364-4408-9f35-8283f6dedef8.JPG.296x216.jpg', '自在城市花园二期 刚需户型 户型方正', '自在城市花园二期诺德中心城  | 2室2厅 | 71.17平米 | 北 | 其他 | 有电梯', '中楼层(共18层)2012年建塔楼  -  汉溪', '240万', '单价33723元/平米')
('', '华南碧桂园翠山蓝天苑 3室2厅 488万', '华南碧桂园翠山蓝天苑  | 3室2厅 | 118平米 | 西北 | 其他 | 有电梯', '中楼层(共7层)2001年建塔楼  -  华南', '488万', '单价41356元/平米')
('https://image1.ljcdn.com/440100-inspection/58ed83f6-c371-4f38-9c84-05189bd7ccc5.JPG.296x216.jpg', '诺德名都 精装三房  可改四房', '自在城市花园三期诺德名都  | 3室2厅 | 101平米 | 北 | 精装 | 有电梯', '高楼层(共30层)2013年建塔楼  -  汉溪', '365万', '单价36139元/平米')
('https://image1.ljcdn.com/440100-inspection/d6eb06af-d3ba-43c4-8740-bf167e6d496f.JPG.296x216.jpg', '祈福新村C区 南向大三房 保养采光好', '祈福新村C区  | 3室2厅 | 90.1平米 | 南 | 精装 | 无电梯', '中楼层(共4层)1995年建板楼  -  祈福', '238万', '单价26416元/平米')
('https://image1.ljcdn.com/440100-inspection/13bd71d6-6a8a-4abf-9cdd-ef8d86dece30.jpg.296x216.jpg', '东逸豪园 3室2厅 338万', '东逸豪园  | 3室2厅 | 118.7平米 | 东 | 简装', '高楼层(共22层)2000年建塔楼  -  市桥', '338万', '单价28476元/平米')
('https://image1.ljcdn.com/440100-inspection/8f4659bb-4ed3-4d00-989b-f526ddf3dbb9.jpg.296x216.jpg', '敏建锦绣世家 3室1厅 230万', '敏建锦绣世家  | 3室1厅 | 81.12平米 | 北 | 精装 | 有电梯', '低楼层(共18层)2014年建塔楼  -  沙湾', '230万', '单价28354元/平米')
('https://image1.ljcdn.com/440100-inspection/197c7c75-29fa-4e59-bfe4-80c41cac24be.jpg.296x216.jpg', '金山谷八期 两房出售 装修保养好', '金山谷八期  | 2室2厅 | 78.64平米 | 东 | 精装 | 有电梯', '中楼层(共25层)2013年建塔楼  -  祈福', '280万', '单价35606元/平米')
('https://image1.ljcdn.com/440100-inspection/89ee7dce-ae34-47a7-976d-d1c1921a2ddc.JPG.296x216.jpg', '番禺奥林匹克花园爱巢 2室1厅 258万', '番禺奥林匹克花园爱巢  | 2室1厅 | 86平米 | 东 | 其他 | 有电梯', '中楼层(共11层)1990年建塔楼  -  沙湾', '258万', '单价30000元/平米')
('https://image1.ljcdn.com/440100-inspection/22b6531c-ae53-419c-b7c9-425724bd0557.JPG.296x216.jpg', '祈福新村倚湖湾 实用一房 环境幽雅 高楼层视野好', '祈福新村倚湖湾  | 1室1厅 | 52平米 | 南 | 精装 | 有电梯', '高楼层(共33层)2006年建塔楼  -  祈福', '179万', '单价34424元/平米')
('', '雅居乐花园 雅翠庭 南向大两房 中间楼层 证满两年', '广州雅居乐花园雅翠庭  | 2室2厅 | 87.57平米 | 东南 | 简装 | 有电梯', '低楼层(共9层)2010年建塔楼  -  雅居乐', '310万', '单价35401元/平米')
('https://image1.ljcdn.com/440100-inspection/2c8ec0e3-a5de-4065-bc87-98ad9cf45f03.JPG.296x216.jpg', '金沙湾花园 3室2厅 240万', '金沙湾花园  | 3室2厅 | 103.2平米 | 西北 | 精装 | 无电梯', '中楼层(共6层)2007年建塔楼  -  沙湾', '240万', '单价23256元/平米')
('https://image1.ljcdn.com/440100-inspection/c2a45f92-6349-4775-9d5e-cab303353ff2.jpg.296x216.jpg', '万科金色城品 复式四房 精装修 看房方便', '万科金色城品  | 4室2厅 | 62平米 | 南 北 | 精装 | 有电梯', '中楼层(共8层)2010年建塔楼  -  沙湾', '365万', '单价58871元/平米')
('https://image1.ljcdn.com/440100-inspection/338e2d6b-e042-4e38-b806-5a96ba12a938.jpg.296x216.jpg', '富丽家园  精装电梯三房  近地铁', '富丽家园  | 3室2厅 | 73平米 | 东 | 精装 | 无电梯', '高楼层(共8层)2001年建塔楼  -  大石', '205万', '单价28083元/平米')
('https://image1.ljcdn.com/440100-inspection/9cddc8b8-4ba7-4d6a-945b-12911c0984aa.JPG.296x216.jpg', '自在城市花园二期 实用两房望花园位置安静', '自在城市花园二期诺德中心城  | 2室2厅 | 81平米 | 西南 | 简装 | 有电梯', '低楼层(共18层)2012年建塔楼  -  汉溪', '265万', '单价32717元/平米')
('https://image1.ljcdn.com/440100-inspection/9f097a7c-c511-4166-9d8a-f6acd18432e8.jpg.296x216.jpg', '丽江花园丽波楼 3室2厅 235万', '丽江花园丽波楼  | 3室2厅 | 88平米 | 东南 东北 | 其他 | 有电梯', '高楼层(共9层)1993年建塔楼  -  南浦', '235万', '单价26705元/平米')
('https://image1.ljcdn.com/440100-inspection/ef319e6e-f23e-4331-af72-698ef03451db.jpg.296x216.jpg', '祈福新村月明轩 3室2厅 380万', '祈福新村月明轩  | 3室2厅 | 97.79平米 | 北 | 其他 | 无电梯', '中楼层(共6层)1995年建塔楼  -  祈福', '380万', '单价38859元/平米')
('https://image1.ljcdn.com/440100-inspection/1160d39e-3ced-4f32-b48f-443538b8ae5f.jpg.296x216.jpg', '广州碧桂园美苑 3室2厅 285万', '广州碧桂园美苑  | 3室2厅 | 96.2平米 | 西北 | 简装 | 无电梯', '中楼层(共7层)1998年建塔楼  -  南浦', '285万', '单价29626元/平米')
('https://image1.ljcdn.com/440100-inspection/59cab973-3ac2-49dd-aac3-b310215b7c12.JPG.296x216.jpg', '南国奥林匹克花园悉尼 2室2厅 310万', '南国奥林匹克花园悉尼  | 2室2厅 | 83平米 | 西北 | 简装 | 有电梯', '高楼层(共17层)2006年建塔楼  -  汉溪', '310万', '单价37350元/平米')
('', '南国奥园电梯高层 近地铁3号线7号线', '南国奥林匹克花园悉尼  | 3室2厅 | 90.1平米 | 西 | 其他 | 有电梯', '高楼层(共28层)2006年建塔楼  -  汉溪', '280万', '单价31077元/平米')
('https://image1.ljcdn.com/440100-inspection/0b6f30e6-bb04-4129-8ce8-fbb22881fc39.jpg.296x216.jpg', '丽江花园康城居 3室2厅 286万', '丽江花园康城居  | 3室2厅 | 90.8平米 | 东南 | 简装 | 有电梯', '低楼层(共9层)1999年建塔楼  -  南浦', '286万', '单价31498元/平米')
('https://image1.ljcdn.com/440100-inspection/e90dbce5-c168-4e0d-97c1-bf2b6fb83160.jpg.296x216.jpg', '怡景花园精装3房 电梯高层采光好', '怡景花园  | 3室1厅 | 87平米 | 北 | 精装 | 有电梯', '高楼层(共23层)2004年建塔楼  -  大石', '265万', '单价30460元/平米')
('https://image1.ljcdn.com/440100-inspection/0c3837b0-5fd9-4479-9009-d858d600d4a5.jpg.296x216.jpg', '祈福新村D区 2室2厅 160万', '祈福新村D区  | 2室2厅 | 57平米 | 北 | 其他 | 无电梯', '低楼层(共4层)1995年建板楼  -  祈福', '160万', '单价28071元/平米')
('https://image1.ljcdn.com/440100-inspection/6d4afbd3-044e-4368-a2c9-da26c43def0e.jpg.296x216.jpg', '锦绣花园北区 3房出售', '锦绣花园北区  | 3室2厅 | 90.7平米 | 北 | 精装 | 无电梯', '高楼层(共7层)1997年建塔楼  -  钟村', '205万', '单价22602元/平米')
('https://image1.ljcdn.com/440100-inspection/d4f25853-8043-47b5-bc49-6acb830a3fcc.jpg.296x216.jpg', '荷景花园，刚需两房，小区中间位置', '荷景花园一区  | 2室2厅 | 61.8平米 | 西南 | 精装 | 无电梯', '中楼层(共7层)1995年建塔楼  -  沙湾', '135万', '单价21845元/平米')
('https://image1.ljcdn.com/440100-inspection/819eb2f1-6d81-46ef-a0cd-794deb56ba02.jpg.296x216.jpg', '桥南街3房 享受好的教育环境 配套成熟', '福景园  | 3室2厅 | 84平米 | 南 | 简装', '中楼层(共8层)2008年建塔楼  -  沙湾', '177万', '单价21072元/平米')
('https://image1.ljcdn.com/440100-inspection/0b4c3d87-0480-4201-83fc-2d564509787e.jpg.296x216.jpg', '大石金城花园  电梯两房可改三房', '金城花园  | 2室2厅 | 79.78平米 | 西南 | 其他 | 无电梯', '中楼层(共9层)2000年建塔楼  -  大石', '225万', '单价28203元/平米')
('https://image1.ljcdn.com/440100-inspection/7de01a82-0ad5-40be-ad9c-1d4c4c8c21c6.jpg.296x216.jpg', '雅典花园 精装电梯小三房出售', '锦绣生态园雅典花园  | 3室1厅 | 82平米 | 北 | 简装 | 有电梯', '中楼层(共12层)1993年建塔楼  -  钟村', '176万', '单价21464元/平米')
('', '南国奥园电梯高层 近地铁3号线7号线', '南国奥林匹克花园悉尼  | 3室2厅 | 90.85平米 | 西 | 其他 | 有电梯', '高楼层(共28层)2006年建塔楼  -  汉溪', '280万', '单价30821元/平米')
('https://image1.ljcdn.com/440100-inspection/b1bb34a1-789b-45e5-9e52-ed6615c898ce.JPG.296x216.jpg', '西城花园 普通装修 南向大两房', '西城花园二街  | 2室1厅 | 68.7平米 | 南 | 其他 | 无电梯', '中楼层(共7层)1998年建塔楼  -  市桥', '140万', '单价20379元/平米')
('https://image1.ljcdn.com/440100-inspection/23c81f34-053c-46ee-b766-ae0810effdbc.JPG.296x216.jpg', '华南新城  精装三房', '华南新城  | 3室2厅 | 106平米 | 南 | 简装 | 有电梯', '低楼层(共12层)2011年建塔楼  -  星河湾', '360万', '单价33963元/平米')
('https://image1.ljcdn.com/440100-inspection/e46cb4a6-19c8-4fa4-a0db-65a510d73c59.jpg.296x216.jpg', '东湖洲花园 电梯高层实用3房 小区环境优美', '东湖洲花园2区  | 3室2厅 | 89.24平米 | 西南 | 精装 | 有电梯', '高楼层(共15层)2012年建塔楼  -  市桥东', '325万', '单价36419元/平米')
('https://image1.ljcdn.com/440100-inspection/c67a4af4-3310-4da2-ab2c-b7c0e7fdfd9a.JPG.296x216.jpg', '亚运城 媒体南村 南向中层', '亚运城媒体南村  | 2室2厅 | 93平米 | 南 | 其他', '中楼层(共22层)塔楼  -  亚运城', '266万', '单价28603元/平米')
('https://image1.ljcdn.com/440100-inspection/d2d9b2a6-36a2-4d7d-b1c9-e914a690e0d0.jpg.296x216.jpg', '锦绣趣园  望园景  中间楼层 大两房出售', '锦绣生态园趣园  | 2室2厅 | 81.4平米 | 北 | 其他 | 无电梯', '中楼层(共6层)2005年建塔楼  -  钟村', '210万', '单价25799元/平米')
('https://image1.ljcdn.com/440100-inspection/0c97e4e1-8673-435f-9a6c-94e0ba186219.jpg.296x216.jpg', '祈福新村青怡居 一楼带花园 环境优雅 格局方正', '祈福新村青怡居  | 2室1厅 | 57.4平米 | 北 | 精装 | 无电梯', '低楼层(共5层)1995年建板楼  -  祈福', '225万', '单价39199元/平米')
('https://image1.ljcdn.com/440100-inspection/0fc386a6-687f-4cf4-9022-136a277ef11d.JPG.296x216.jpg', '东南向精装三房  南北对流  中间楼层', '番禺奥林匹克花园  | 3室2厅 | 108平米 | 东 南 | 其他 | 无电梯', '中楼层(共6层)1990年建板楼  -  沙湾', '265万', '单价24538元/平米')
('https://image1.ljcdn.com/440100-inspection/c2324ad9-1082-4bf8-95d3-ec90842c8c75.JPG.296x216.jpg', '祈福新村青怡居 2室2厅 230万', '祈福新村青怡居  | 2室2厅 | 60.3平米 | 南 | 精装 | 无电梯', '低楼层(共5层)1995年建板楼  -  祈福', '230万', '单价38143元/平米')
('https://image1.ljcdn.com/440100-inspection/33467d1d-b18b-4f74-b941-d7c8f7e58ec4.jpg.296x216.jpg', '锦华楼 温馨两房 中楼层', '富丽家园锦华楼  | 2室1厅 | 59.7平米 | 西 | 精装 | 无电梯', '中楼层(共8层)1995年建塔楼  -  大石', '140万', '单价23451元/平米')
('https://image1.ljcdn.com/440100-inspection/8bff5f9a-0835-4e88-a11e-6eb320fc9798.jpg.296x216.jpg', '广州奥林匹克花园 友谊尚居', '广州奥林匹克花园广奥友谊尚居  | 1室1厅 | 57.89平米 | 西南 | 精装 | 有电梯', '高楼层(共15层)2002年建塔楼  -  洛溪', '212万', '单价36622元/平米')
('https://image1.ljcdn.com/440100-inspection/7efe4ef3-9636-4854-8545-a95323394e9a.jpg.296x216.jpg', '自在城市花园二期诺德中心城 2室2厅 260万', '自在城市花园二期诺德中心城  | 2室2厅 | 80.63平米 | 西南 | 精装 | 有电梯', '高楼层(共18层)2012年建塔楼  -  汉溪', '260万', '单价32247元/平米')
('https://image1.ljcdn.com/440100-inspection/100cb25d-856b-448b-85f6-1add65f81f94.jpg.296x216.jpg', '庄士映碟蓝湾二期 带装修 南北对流大四房', '庄士映蝶蓝湾二期  | 4室2厅 | 139.71平米 | 南 北 | 简装 | 有电梯', '低楼层(共17层)塔楼  -  石楼镇', '305万', '单价21831元/平米')
('https://image1.ljcdn.com/440100-inspection/0284fcd5-d613-414a-8481-bd8e8ff69655.jpg.296x216.jpg', '富丽家园侨苑 2室1厅 120万', '富丽家园侨苑  | 2室1厅 | 62.1平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1995年建塔楼  -  大石', '120万', '单价19324元/平米')
('https://image1.ljcdn.com/440100-inspection/dbd01cde-3f32-4ab2-9d87-e351bbf531b1.jpg.296x216.jpg', '媒体北村 标准安静两房', '亚运城媒体北村  | 2室2厅 | 76.81平米 | 北 | 精装', '高楼层(共15层)塔楼  -  亚运城', '235万', '单价30595元/平米')
('https://image1.ljcdn.com/440100-inspection/65aa1b40-d7ec-4fe9-bb3c-0fabadbb8b27.jpg.296x216.jpg', '昊龙花园 望园景实用三房 南北对流', '昊龙花园南区  | 3室2厅 | 89.5平米 | 北 | 简装 | 无电梯', '中楼层(共5层)2007年建塔楼  -  沙湾', '240万', '单价26816元/平米')
('https://image1.ljcdn.com/440100-inspection/257ba2a5-c85b-4b30-9479-89f7bb4bfb46.JPG.296x216.jpg', '南国奥林匹克花园 南向三房位置安静', '南国奥林匹克花园北奥一路  | 3室2厅 | 105.62平米 | 南 | 简装 | 无电梯', '中楼层(共6层)2006年建板楼  -  汉溪', '380万', '单价35979元/平米')
('https://image1.ljcdn.com/440100-inspection/5f8b85d3-0f83-4be9-a1a1-cfa57eae7753.JPG.296x216.jpg', '侨基花园 电梯房 小区管理 港式设计', '侨基花园  | 3室2厅 | 84平米 | 东北 | 简装 | 有电梯', '高楼层(共32层)1998年建塔楼  -  市桥', '190万', '单价22620元/平米')
('https://image1.ljcdn.com/440100-inspection/93bd1127-2504-42cb-ae35-638d72377b76.jpg.296x216.jpg', '锦绣香江花园山水园 实用四房 户型方正 配套成熟', '锦绣香江花园山水园  | 4室2厅 | 150平米 | 东 | 其他 | 有电梯', '高楼层(共11层)2004年建塔楼  -  汉溪', '600万', '单价40000元/平米')
('https://image1.ljcdn.com/440100-inspection/5e51cdf7-25ad-40bf-b63b-7a00d320f253.jpg.296x216.jpg', '丽江花园 康城居 西南向两房', '丽江花园康城居  | 2室2厅 | 70平米 | 西南 | 简装 | 有电梯', '高楼层(共9层)1999年建塔楼  -  南浦', '220万', '单价31429元/平米')
('https://image1.ljcdn.com/440100-inspection/6415e159-1d80-492b-a3da-7b6797cb51a7.JPG.296x216.jpg', '丽江花园德汇楼 1室1厅 145万', '丽江花园德汇楼  | 1室1厅 | 44.7平米 | 南 | 其他 | 有电梯', '中楼层(共20层)1997年建塔楼  -  南浦', '145万', '单价32439元/平米')
('https://image1.ljcdn.com/440100-inspection/3ea50e67-9902-41a5-951c-db0b17301899.jpg.296x216.jpg', '南国奥林匹克花园北奥一路 2室2厅 300万', '南国奥林匹克花园北奥一路  | 2室2厅 | 82.16平米 | 东南 | 其他 | 无电梯', '高楼层(共6层)2006年建板楼  -  汉溪', '300万', '单价36515元/平米')
('https://image1.ljcdn.com/440100-inspection/363d6409-5f32-4d04-a320-341c301ec275.jpg.296x216.jpg', '温馨四房 格局方正 南北对流 家电全送', '荷景花园六区  | 4室2厅 | 91.8平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1995年建塔楼  -  沙湾', '160万', '单价17430元/平米')
('https://image1.ljcdn.com/440100-inspection/44d4e39d-7f0f-4e95-9b63-ad5dcaacbef8.jpg.296x216.jpg', '丽江花园 方正四房 东南朝向', '丽江花园华林居  | 4室2厅 | 113.44平米 | 东南 | 其他 | 无电梯', '高楼层(共6层)1996年建塔楼  -  南浦', '345万', '单价30413元/平米')
('https://image1.ljcdn.com/440100-inspection/56f18493-2887-4a48-a4f5-390a09d9902d.JPG.296x216.jpg', '华南碧桂园 南向大三房 带露台', '华南碧桂园锦翠苑  | 3室2厅 | 146.8平米 | 南 | 精装 | 无电梯', '高楼层(共7层)2001年建塔楼  -  华南', '380万', '单价25886元/平米')
('https://image1.ljcdn.com/440100-inspection/a1f293d6-b980-47e9-8696-cdaa7c5bfa43.JPG.296x216.jpg', '荟心园中高层看园心泳池 南北通透', '广州星河湾荟心园  | 3室2厅 | 148.2平米 | 南 北 | 精装 | 有电梯', '低楼层(共17层)2001年建塔楼  -  星河湾', '560万', '单价37787元/平米')
('https://image1.ljcdn.com/440100-inspection/5c49db34-24c0-4884-804b-e1512a310337.jpg.296x216.jpg', '锦绣香江花园山水园 4室2厅 580万', '锦绣香江花园山水园  | 4室2厅 | 149.68平米 | 西南 | 其他 | 有电梯', '低楼层(共11层)2004年建塔楼  -  汉溪', '580万', '单价38750元/平米')
('https://image1.ljcdn.com/440100-inspection/e8d9e460-4dcf-474d-b461-aff0b20ca3a7.jpg.296x216.jpg', '映月翠庭 3室2厅 375万', '映月翠庭  | 3室2厅 | 125平米 | 南 北 | 其他 | 有电梯', '高楼层(共11层)2003年建塔楼  -  市桥', '375万', '单价30000元/平米')
('https://image1.ljcdn.com/440100-inspection/83c7a0e8-d66e-4168-8b26-a60dae865bb3.jpg.296x216.jpg', '官邸二期 双证物业 南北通透 环境安静舒适', '锦绣香江花园布查特官邸  | 3室2厅 | 143平米 | 南 北 | 精装 | 有电梯', '低楼层(共17层)2004年建塔楼  -  汉溪', '620万', '单价43357元/平米')
('https://image1.ljcdn.com/440100-inspection/f5a0876c-ef89-4ea8-8cef-4bbc4e686c75.jpg.296x216.jpg', 'C区 二房 带露台 采光良好 位置安静', '祈福新村C区  | 2室1厅 | 57.5平米 | 北 | 精装 | 无电梯', '高楼层(共4层)1995年建板楼  -  祈福', '160万', '单价27827元/平米')
('https://image1.ljcdn.com/440100-inspection/af842771-85d5-4edf-a9e4-835592256ae7.jpg.296x216.jpg', '祈福新村  晓峰园3房', '祈福新村晓峰园  | 3室2厅 | 107平米 | 北 | 简装 | 有电梯', '低楼层(共35层)2005年建塔楼  -  祈福', '320万', '单价29907元/平米')
('https://image1.ljcdn.com/440100-inspection/428d9eb7-2c24-453c-8422-f267c737fec7.jpg.296x216.jpg', '珠江花园怡景湾 2室2厅 325万', '珠江花园怡景湾  | 2室2厅 | 90.47平米 | 南 | 其他 | 有电梯', '低楼层(共28层)2010年建塔楼  -  洛溪', '325万', '单价35924元/平米')
('https://image1.ljcdn.com/440100-inspection/6c314029-47f3-49ec-8539-784220ced2ca.JPG.296x216.jpg', '康裕园东区  省级 中楼层3房 过五不唯一', '康裕园  | 3室2厅 | 93.5平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1993年建塔楼  -  市桥', '215万', '单价22995元/平米')
('', '华侨城 电梯两房 交通便利 格局方正', '华侨城  | 2室1厅 | 76.6平米 | 西 | 其他 | 有电梯', '高楼层(共13层)1996年建塔楼  -  市桥', '180万', '单价23499元/平米')
('https://image1.ljcdn.com/440100-inspection/04578b01-397e-4255-abba-23395ec34f10.jpg.296x216.jpg', '星河湾星座南北对流东边位', '广州星河湾星座  | 4室2厅 | 252.2平米 | 南 北 | 精装 | 有电梯', '中楼层(共14层)2001年建塔楼  -  星河湾', '980万', '单价38859元/平米')
('https://image1.ljcdn.com/440100-inspection/9663e7eb-d517-4ada-90f6-cdeaef56c9ee.JPG.296x216.jpg', '金悦大厦 南向两房 电梯中层 无遮挡采光好', '金悦大厦  | 2室1厅 | 71平米 | 南 | 简装 | 有电梯', '中楼层(共24层)2003年建塔楼  -  市桥', '210万', '单价29578元/平米')
('https://image1.ljcdn.com/440100-inspection/acc93a67-375a-44eb-a73e-eda604b608b4.jpg.296x216.jpg', '海伦堡花样年华 电梯三房 高层南向', '番禺海伦堡花样年华三期  | 3室2厅 | 105.12平米 | 东南 | 精装 | 有电梯', '高楼层(共18层)2005年建塔楼  -  沙湾', '338万', '单价32154元/平米')
('https://image1.ljcdn.com/440100-inspection/0af4aa85-f91d-442b-8d4c-daf3597dcae2.JPG.296x216.jpg', '开阳阁 电梯两房 户型方正 少有放盘', '东发大厦  | 2室2厅 | 76.4平米 | 东南 | 其他', '中楼层(共33层)1995年建塔楼  -  市桥', '213万', '单价27880元/平米')
('https://image1.ljcdn.com/440100-inspection/99f76545-52a5-4d62-98cd-9ea1cc32424d.jpg.296x216.jpg', '碧桂园 广州产权大两房 中层望园景 位置安静 阳台大', '顺德碧桂园风信路  | 2室2厅 | 60.5平米 | 北 | 精装', '中楼层(共7层)塔楼  -  钟村', '140万', '单价23141元/平米')
('https://image1.ljcdn.com/440100-inspection/c2bff13d-d79c-47de-857e-de06cc653b9c.JPG.296x216.jpg', '东景园  电梯高楼层 望小区园景  采光通风好 视野开阔', '东怡新区东景园  | 3室2厅 | 106.8平米 | 西南 | 简装 | 有电梯', '高楼层(共9层)2000年建塔楼  -  市桥东', '320万', '单价29963元/平米')
('https://image1.ljcdn.com/440100-inspection/2b39edc6-33d9-400e-bbb1-a2f9764c7195.jpg.296x216.jpg', '奥园城市天地 毛坯 配套成熟 地铁3号线', '奥园城市天地  | 1室1厅 | 48.9平米 | 西南 | 毛坯 | 有电梯', '高楼层(共22层)2015年建塔楼  -  汉溪', '110万', '单价22495元/平米')
('https://image1.ljcdn.com/440100-inspection/ce3b7eea-2544-4b67-9857-232dad20aac8.jpg.296x216.jpg', '鸿城花园 高层三房 地铁口物业', '鸿城花园  | 3室2厅 | 100.9平米 | 东 | 其他 | 有电梯', '中楼层(共28层)2000年建塔楼  -  市桥', '260万', '单价25769元/平米')
('https://image1.ljcdn.com/440100-inspection/bb695d5e-e2e5-44ef-b87a-5f9d8ba2e569.jpg.296x216.jpg', '敏捷伊顿公馆 4.5米层高', '敏捷伊顿公馆  | 4室2厅 | 95平米 | 南 | 简装', '高楼层(共21层)2015年建塔楼  -  祈福', '245万', '单价25790元/平米')
('https://image1.ljcdn.com/440100-inspection/8349cd37-d807-4b6b-b3ac-0cdcdebc21cc.jpg.296x216.jpg', '汇景大道低层三房 户型方正 园景', '汇景大道  | 3室2厅 | 90.8平米 | 北 | 其他 | 无电梯', '中楼层(共6层)塔楼  -  沙湾', '202万', '单价22247元/平米')
('https://image1.ljcdn.com/440100-inspection/24f4bde6-4292-43e4-aa21-b5c8ca84ca92.jpg.296x216.jpg', '广州奥林匹克花园 复式6房 南向采光好', '广州奥林匹克花园  | 6室2厅 | 165平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2002年建板楼  -  洛溪', '570万', '单价34546元/平米')
('https://image1.ljcdn.com/440100-inspection/e2ee2092-7838-45fa-be8c-5c191a43b74a.jpg.296x216.jpg', '电梯精装大三房 视野开阔 采光好 交通便利', '怡景花园  | 3室1厅 | 99.28平米 | 东 南 | 简装 | 有电梯', '中楼层(共23层)2004年建塔楼  -  大石', '300万', '单价30218元/平米')
('https://image1.ljcdn.com/440100-inspection/ebf195ca-2301-4bec-b959-e4cb61039bf9.JPG.296x216.jpg', '华侨城 3室2厅 258万', '华侨城  | 3室2厅 | 103.2平米 | 南 | 其他 | 有电梯', '中楼层(共12层)1999年建塔楼  -  市桥', '258万', '单价25000元/平米')
('https://image1.ljcdn.com/440100-inspection/9c941301-574f-4b2e-b5bf-95a72fb80181.JPG.296x216.jpg', '华南碧桂园漾翠苑 近大门口 业主翻新过 保养好', '华南碧桂园漾翠苑  | 2室1厅 | 58.4平米 | 东 | 精装 | 无电梯', '低楼层(共7层)2001年建塔楼  -  华南', '280万', '单价47946元/平米')
