('https://image1.ljcdn.com/340100-inspection/79021de0-8fab-4b80-92e3-27e81c75dfa5.JPG.296x216.jpg', '莱茵河畔花园 2室2厅 102万', '莱茵河畔花园  | 2室2厅 | 78.54平米 | 南 | 其他', '中楼层(共18层)2011年建塔楼  -  东站', '102万', '单价12988元/平米')
('', '家天下四期 2室1厅 72万', '家天下四期  | 2室1厅 | 38.84平米 | 南 | 其他', '低楼层(共18层)塔楼  -  七里塘', '72万', '单价18538元/平米')
('https://image1.ljcdn.com/340100-inspection/35c90167-bd0c-4813-bb16-c723d3019a52.JPG.296x216.jpg', '户型方正 中楼层 三开间朝南 采光充足 带产权车位', '信达格兰云天  | 2室2厅 | 89.92平米 | 南 | 其他', '中楼层(共24层)塔楼  -  七里塘', '160万', '单价17794元/平米')
('https://image1.ljcdn.com/340100-inspection/30d86f0f-c6a3-4d4d-ac5a-9ecd2ea1e5f4.JPG.296x216.jpg', '生态公园附近，香江生态丽景，精装大三室，诚心出售', '香江生态丽景  | 3室2厅 | 114.88平米 | 南 北 | 其他', '高楼层(共5层)板楼  -  七里塘', '158万', '单价13754元/平米')
('https://image1.ljcdn.com/340100-inspection/a51a8096-8cfe-45c4-bae9-1de99db7db4e.JPG.296x216.jpg', '巴黎春天 3室2厅 178万', '巴黎春天  | 3室2厅 | 137.33平米 | 南 北 | 其他', '中楼层(共11层)板楼  -  七里塘', '178万', '单价12962元/平米')
('https://image1.ljcdn.com/340100-inspection/ccfed6c9-8a97-4bc5-af76-c4f9e3df5288.JPG.296x216.jpg', '利港尚公馆 3室2厅 128万', '利港尚公馆  | 3室2厅 | 89.69平米 | 南 | 其他', '中楼层(共21层)塔楼  -  七里塘', '128万', '单价14272元/平米')
('', '信达格兰云天 3室2厅 150万', '信达格兰云天  | 3室2厅 | 109.03平米 | 南 北 | 其他', '低楼层(共6层)板楼  -  七里塘', '150万', '单价13758元/平米')
('', '帝豪星港湾 4室3厅 230万', '帝豪星港湾  | 4室3厅 | 174平米 | 南 | 其他', '3层2009年建板楼  -  七里塘', '230万', '单价13219元/平米')
('', '淮合花园 2室2厅 88万', '淮合花园  | 2室2厅 | 87.93平米 | 南 | 其他', '中楼层(共28层)2012年建板塔结合  -  七里塘', '88万', '单价10008元/平米')
('https://image1.ljcdn.com/340100-inspection/e764ddf3-f168-4e98-b51f-7a79cfb1561f.JPG.296x216.jpg', '家天下商圈 康城静林湾  婚房装修 品牌家电 朝南两房', '康城静林湾  | 2室2厅 | 74.5平米 | 南 | 其他', '低楼层(共18层)塔楼  -  七里塘', '103万', '单价13826元/平米')
('https://image1.ljcdn.com/340100-inspection/faa2a387-cde6-4f8e-a22a-05929f84dfbe.JPG.296x216.jpg', '小区大门地铁口金海花园二房二厅', '金海花园  | 2室2厅 | 98平米 | 南 | 简装', '低楼层(共18层)板塔结合  -  七里塘', '116万', '单价11837元/平米')
('https://image1.ljcdn.com/340100-inspection/7549cc1e-c9e4-4e66-b25d-e69ea894c57c.JPG.296x216.jpg', '采光刺眼 满五年 小区管理完善 环境优美', '帝豪星港湾  | 4室2厅 | 96.5平米 | 南 北 | 其他', '高楼层(共6层)2009年建板楼  -  七里塘', '160万', '单价16581元/平米')
('https://image1.ljcdn.com/340100-inspection/0cbe15ab-0970-4ff7-873a-1ed80de0ab5b.JPG.296x216.jpg', '康城水云间 3室2厅 165万', '康城水云间  | 3室2厅 | 122.35平米 | 南 北 | 其他', '低楼层(共18层)塔楼  -  七里塘', '165万', '单价13486元/平米')
('', '兴海苑D区 2室2厅 90万', '兴海苑D区  | 2室2厅 | 85.62平米 | 南 | 其他', '中楼层(共18层)塔楼  -  七里塘', '90万', '单价10512元/平米')
('', '家天下北郡 3室1厅 125万', '家天下北郡  | 3室1厅 | 89.06平米 | 南 北 | 其他', '高楼层(共27层)板楼  -  站北', '125万', '单价14036元/平米')
('', '康城静林湾 2室1厅 85万', '康城静林湾  | 2室1厅 | 62平米 | 南 | 其他', '低楼层(共18层)塔楼  -  七里塘', '85万', '单价13710元/平米')
('https://image1.ljcdn.com/340100-inspection/de6f1646-fd6d-4e49-bfd9-d3a8ee1a1854.JPG.296x216.jpg', '品牌开发商家天下，物业是开发商自己的物业，房没话说', '家天下  | 3室2厅 | 106.89平米 | 南 北 | 其他', '高楼层(共18层)2014年建塔楼  -  七里塘', '162万', '单价15156元/平米')
('https://image1.ljcdn.com/340100-inspection/08992612-a4a0-4464-adb9-be431a45087a.JPG.296x216.jpg', '碧水雅居四室 楼层好 采光刺眼 交通方便 商圈配套完善', '碧水雅居  | 3室2厅 | 147.12平米 | 南 北 | 其他', '高楼层(共18层)2008年建塔楼  -  七里塘', '192万', '单价13051元/平米')
('https://image1.ljcdn.com/340100-inspection/60ee2bf1-ab9f-4a1d-be67-40fe2211fe69.JPG.296x216.jpg', '香江生态丽景 3室2厅 160万', '香江生态丽景  | 3室2厅 | 122.64平米 | 南 北 | 其他', '高楼层(共18层)塔楼  -  七里塘', '160万', '单价13047元/平米')
('https://image1.ljcdn.com/340100-inspection/66cba5d2-524c-43c2-ac4f-d5941f08a938.JPG.296x216.jpg', '家天下 3室2厅 146万', '家天下  | 3室2厅 | 86.08平米 | 南 | 其他', '低楼层(共32层)2014年建塔楼  -  七里塘', '146万', '单价16961元/平米')
('', '国耀园上园 5室2厅 354万', '国耀园上园  | 5室2厅 | 208.4平米 | 南 北 | 其他', '高楼层(共6层)2012年建板塔结合  -  东站', '354万', '单价16987元/平米')
('', '实嘉原创生活 4室2厅 150万', '实嘉原创生活  | 4室2厅 | 120平米 | 南 | 其他', '高楼层(共11层)2011年建板塔结合  -  东站', '150万', '单价12500元/平米')
('', '香江生态丽景 3室2厅 158万', '香江生态丽景  | 3室2厅 | 124平米 | 南 北 | 其他', '高楼层(共18层)暂无数据  -  七里塘', '158万', '单价12742元/平米')
('https://image1.ljcdn.com/340100-inspection/d4d86f4c-faef-4df6-8014-f3d9cbdf7b27.JPG.296x216.jpg', '信达格兰云天 3室2厅 153万', '信达格兰云天  | 3室2厅 | 113.96平米 | 南 | 其他', '中楼层(共9层)板楼  -  七里塘', '153万', '单价13426元/平米')
('https://image1.ljcdn.com/340100-inspection/b520bbe5-abe0-4863-8159-5f1278dadc53.JPG.296x216.jpg', '新海尚宸家园 1室1厅 40万', '新海尚宸家园  | 1室1厅 | 52.03平米 | 南 | 其他', '中楼层(共24层)塔楼  -  七里塘', '40万', '单价7688元/平米')
('https://image1.ljcdn.com/340100-inspection/4acfe379-8b6d-4571-b89f-8f26a6457b3e.jpg.296x216.jpg', '香江生态丽景 4室2厅 218万', '香江生态丽景  | 4室2厅 | 171.96平米 | 南 | 其他', '高楼层(共6层)板楼  -  七里塘', '218万', '单价12678元/平米')
('https://image1.ljcdn.com/340100-inspection/3cc34b2a-8267-48e6-a0d9-9e1afceba743.JPG.296x216.jpg', '莱茵河畔花园 3室2厅 128万', '莱茵河畔花园  | 3室2厅 | 131.17平米 | 南 | 其他', '中楼层(共18层)2011年建塔楼  -  东站', '128万', '单价9759元/平米')
('', '长虹世纪荣廷 2室2厅 105万', '长虹世纪荣廷  | 2室2厅 | 81平米 | 南 | 其他', '中楼层(共33层)塔楼  -  七里塘', '105万', '单价12963元/平米')
('', '安粮双景佳苑 3室2厅 168万', '安粮双景佳苑  | 3室2厅 | 125.99平米 | 南 | 其他', '高楼层(共18层)塔楼  -  七里塘', '168万', '单价13335元/平米')
('', '信达格兰云天 2室1厅 120万', '信达格兰云天  | 2室1厅 | 81.6平米 | 南 | 其他', '高楼层(共11层)板楼  -  七里塘', '120万', '单价14706元/平米')
('', '长虹世纪荣廷 2室2厅 112万', '长虹世纪荣廷  | 2室2厅 | 81.44平米 | 南 | 其他', '低楼层(共18层)板塔结合  -  七里塘', '112万', '单价13753元/平米')
('', '大三房，采光无遮挡，公摊面积小，', '家天下四期  | 3室2厅 | 122.37平米 | 南 北 | 其他', '低楼层(共24层)2014年建塔楼  -  七里塘', '195万', '单价15936元/平米')
('https://image1.ljcdn.com/340100-inspection/832053c8-175f-4f86-b93a-ad0e773328ad.JPG.296x216.jpg', '家天下精装3房，采光无遮挡，小区环境优美', '家天下  | 3室2厅 | 87.27平米 | 南 北 | 其他', '高楼层(共32层)2014年建塔楼  -  七里塘', '155万', '单价17761元/平米')
('https://image1.ljcdn.com/340100-inspection/584b12fc-4db9-4562-9aaf-0bcf5be73847.JPG.296x216.jpg', '信达格兰云天 1室2厅 83万', '信达格兰云天  | 1室2厅 | 59.77平米 | 南 | 其他', '高楼层(共11层)板楼  -  七里塘', '83万', '单价13887元/平米')
('https://image1.ljcdn.com/340100-inspection/b197c5d6-af2f-4642-839b-7f0c410ede8b.jpg.296x216.jpg', '莱茵河畔花园 中等装修 满五唯一 楼层好 采光无遮挡', '莱茵河畔花园  | 3室2厅 | 114.73平米 | 南 | 其他', '高楼层(共18层)2011年建塔楼  -  东站', '140万', '单价12203元/平米')
('https://image1.ljcdn.com/340100-inspection/c0f274d0-bd8a-4fa0-969c-5a5199ff06dd.JPG.296x216.jpg', '房子是家天下4期的，小区房龄比较新，环境也是不错的', '家天下四期  | 2室2厅 | 83.85平米 | 南 | 精装', '高楼层(共24层)2014年建塔楼  -  七里塘', '139.8万', '单价16673元/平米')
('', '德邦翠馨居 5室2厅 185万', '德邦翠馨居  | 5室2厅 | 208平米 | 南 | 其他', '高楼层(共6层)板楼  -  七里塘', '185万', '单价8895元/平米')
('', '康城水云间 3室2厅 170万', '康城水云间  | 3室2厅 | 143.46平米 | 南 | 其他', '低楼层(共6层)板楼  -  七里塘', '170万', '单价11850元/平米')
('', '东湖山庄清水苑 3室2厅 175万', '东湖山庄清水苑  | 3室2厅 | 133.45平米 | 南 | 其他', '高楼层(共11层)2006年建板楼  -  七里塘', '175万', '单价13114元/平米')
('', '信达格兰云天 2室2厅 120万', '信达格兰云天  | 2室2厅 | 85.21平米 | 南 | 其他', '低楼层(共9层)板楼  -  七里塘', '120万', '单价14083元/平米')
('', '淮河花园三房，三代人同住是挺好的，厅是比较宽的', '淮合花园  | 3室2厅 | 127平米 | 南 北 | 其他', '低楼层(共18层)2012年建板塔结合  -  七里塘', '110万', '单价8662元/平米')
('https://image1.ljcdn.com/340100-inspection/b90dd7de-df4e-4a2e-8ecc-b648662ebfc4.JPG.296x216.jpg', '小区配套成熟 交通便利 采光好 诚心出售', '兴华苑  | 3室1厅 | 81.02平米 | 南 | 其他', '高楼层(共6层)2008年建板楼  -  七里塘', '110万', '单价13577元/平米')
('https://image1.ljcdn.com/340100-inspection/08cfb4ea-331e-466f-b718-2ab2f7e4cfa8.JPG.296x216.jpg', '房子满五年，楼层好，采光无遮挡，户型方正，南北通透', '隆昊昊天园  | 3室2厅 | 94.76平米 | 南 北 | 其他', '高楼层(共11层)2012年建板塔结合  -  七里塘', '134万', '单价14141元/平米')
('https://image1.ljcdn.com/340100-inspection/eb82c0d4-1e39-4cce-b31a-25246b1b2d22.JPG.296x216.jpg', '国耀园上园 1室1厅 62万', '国耀园上园  | 1室1厅 | 48.69平米 | 南 | 简装', '高楼层(共18层)2012年建板塔结合  -  东站', '62万', '单价12734元/平米')
('https://image1.ljcdn.com/340100-inspection/a21d0ed1-583d-4378-bd87-6e7c63424712.JPG.296x216.jpg', '巴黎春天小区 生态公园旁 多层中装三居  业主诚心卖', '巴黎春天  | 3室2厅 | 111.06平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  七里塘', '155万', '单价13957元/平米')
('', '国耀园上园 3室2厅 126万', '国耀园上园  | 3室2厅 | 93平米 | 南 | 其他', '高楼层(共18层)2012年建板塔结合  -  东站', '126万', '单价13549元/平米')
('', '碧水雅居 3室2厅 160万', '碧水雅居  | 3室2厅 | 129.03平米 | 南 | 其他', '低楼层(共26层)2008年建板楼  -  七里塘', '160万', '单价12401元/平米')
('', '碧水雅居 3室2厅 235万', '碧水雅居  | 3室2厅 | 170平米 | 南 北 | 其他', '中楼层(共11层)2008年建板塔结合  -  七里塘', '235万', '单价13824元/平米')
('', '实嘉原创生活 2室2厅 122万', '实嘉原创生活  | 2室2厅 | 82.3平米 | 南 北 | 其他', '低楼层(共6层)2011年建板塔结合  -  东站', '122万', '单价14824元/平米')
('', '淮合花园次新小区，环境好，户型也不错，很适合居住', '淮合花园  | 3室2厅 | 126.64平米 | 南 北 | 其他', '高楼层(共18层)2012年建板塔结合  -  七里塘', '106万', '单价8371元/平米')
('https://image1.ljcdn.com/340100-inspection/deea5562-8412-4166-aff9-5ead6112b876.jpg.296x216.jpg', '为你而选为你为家 昊天园毛坯两室楼层好小区环境优越', '隆昊昊天园  | 2室1厅 | 78平米 | 南 | 其他', '中楼层(共18层)2012年建板塔结合  -  七里塘', '95万', '单价12180元/平米')
('https://image1.ljcdn.com/340100-inspection/7d472a39-ab17-402b-bafb-8444670d2764.JPG.296x216.jpg', '实嘉原创生活 环境好 交通便利 精装修 看房方便', '实嘉原创生活  | 2室2厅 | 75.54平米 | 南 北 | 其他', '低楼层(共17层)2011年建板塔结合  -  东站', '95万', '单价12577元/平米')
('https://image1.ljcdn.com/340100-inspection/f16dcd7c-ded2-43cf-93fd-78d1d9058fc0.JPG.296x216.jpg', '装修是专业计师设计的，各功能区分配清晰，储物间很大', '家天下  | 3室2厅 | 106平米 | 南 北 | 精装', '高楼层(共18层)2014年建塔楼  -  七里塘', '185万', '单价17453元/平米')
('https://image1.ljcdn.com/340100-inspection/86e2dd25-8021-463a-9c5f-5a6304df02c8.JPG.296x216.jpg', '长虹世纪荣廷毛坯三房，洋房中间楼层', '长虹世纪荣廷  | 3室2厅 | 102.68平米 | 南 | 其他', '中楼层(共8层)2016年建板塔结合  -  七里塘', '155万', '单价15096元/平米')
('', '家天下 2室2厅 128万', '家天下  | 2室2厅 | 77平米 | 南 | 其他', '高楼层(共27层)2014年建塔楼  -  七里塘', '128万', '单价16624元/平米')
('', '兴海苑C区 2室1厅 70万', '兴海苑C区  | 2室1厅 | 61.94平米 | 南 | 其他', '高楼层(共6层)板楼  -  七里塘', '70万', '单价11302元/平米')
('', '巴黎春天 4室2厅 221.2万', '巴黎春天  | 4室2厅 | 158平米 | 南 | 其他', '中楼层(共6层)板楼  -  七里塘', '221.2万', '单价14000元/平米')
('', '隆昊昊博园 2室1厅 87万', '隆昊昊博园  | 2室1厅 | 63.29平米 | 南 | 其他', '高楼层(共18层)塔楼  -  七里塘', '87万', '单价13747元/平米')
('', '新海尚宸家园 3室2厅 160万', '新海尚宸家园  | 3室2厅 | 118平米 | 南 北 | 其他', '低楼层(共32层)塔楼  -  七里塘', '160万', '单价13560元/平米')
('', '中环东方名景 南北两居室 通透两房 户型好 采光好', '中环东方名景  | 2室2厅 | 88.21平米 | 南 北 | 毛坯', '低楼层(共18层)2006年建板楼  -  七里塘', '110万', '单价12471元/平米')
('https://image1.ljcdn.com/340100-inspection/d533b841-124f-4f9c-ba92-072025cce8be.jpg.296x216.jpg', '位置好，看房方便，诚心出售，环境优美', '铁静苑A区  | 2室1厅 | 95平米 | 南 | 其他', '低楼层(共6层)板楼  -  七里塘', '100万', '单价10527元/平米')
('https://image1.ljcdn.com/340100-inspection/d1a5e624-41c8-42dd-bedf-7f294d610b5a.JPG.296x216.jpg', '信达格兰云天 2室1厅 115万', '信达格兰云天  | 2室1厅 | 83.51平米 | 南 | 其他', '高楼层(共6层)板楼  -  七里塘', '115万', '单价13771元/平米')
('https://image1.ljcdn.com/340100-inspection/4d2e8d49-40b8-449a-a124-d8c2de43816c.JPG.296x216.jpg', '多层小套 南北通透 楼层高 采光好 自住装修 诚心出售', '铁静苑A区  | 2室1厅 | 79.84平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  七里塘', '93万', '单价11649元/平米')
('https://image1.ljcdn.com/340100-inspection/0f472434-4a51-4337-aeb6-803820a53dfe.JPG.296x216.jpg', '香江生态丽景 2室2厅 112万', '香江生态丽景  | 2室2厅 | 86.51平米 | 南 | 其他', '中楼层(共11层)板楼  -  七里塘', '112万', '单价12947元/平米')
('', '隆昊昊天园 2室1厅 88万', '隆昊昊天园  | 2室1厅 | 63.8平米 | 南 | 其他', '高楼层(共30层)2012年建板塔结合  -  七里塘', '88万', '单价13794元/平米')
('', '龙湾国际公寓 3室2厅 110万', '龙湾国际公寓  | 3室2厅 | 78.29平米 | 南 | 其他', '低楼层(共18层)暂无数据  -  七里塘', '110万', '单价14051元/平米')
('', '德邦翠馨居 4室2厅 148万', '德邦翠馨居  | 4室2厅 | 138平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  七里塘', '148万', '单价10725元/平米')
('', '信达格兰云天 2室2厅 135万', '信达格兰云天  | 2室2厅 | 83.51平米 | 南 | 其他', '低楼层(共6层)板楼  -  七里塘', '135万', '单价16166元/平米')
('', '实嘉原创生活 3室2厅 129万', '实嘉原创生活  | 3室2厅 | 96平米 | 南 | 其他', '中楼层(共11层)2011年建板塔结合  -  东站', '129万', '单价13438元/平米')
('', '华府竹丝苑北苑138.44平 178万', '华府竹丝苑北苑  | 3室2厅 | 138.44平米 | 南 北 | 其他', '中楼层(共17层)塔楼  -  七里塘', '178万', '单价12858元/平米')
('', '生态公园旁 瑶海家园 多层公摊小 两房朝南', '瑶海家园  | 2室1厅 | 57.4平米 | 南 | 其他', '低楼层(共6层)板楼  -  七里塘', '58万', '单价10105元/平米')
('', '家天下 2室1厅 125万', '家天下  | 2室1厅 | 73平米 | 南 | 其他', '中楼层(共24层)2014年建塔楼  -  七里塘', '125万', '单价17124元/平米')
('', '兴海苑C区 2室1厅 68万', '兴海苑C区  | 2室1厅 | 61.85平米 | 南 | 其他', '低楼层(共6层)板楼  -  七里塘', '68万', '单价10995元/平米')
('', '瑶东北村 2室1厅 83万', '瑶东北村  | 2室1厅 | 63.61平米 | 南 | 其他', '中楼层(共6层)板楼  -  七里塘', '83万', '单价13049元/平米')
('', '隆昊昊天园，南北通透 143平，200万', '隆昊昊天园  | 3室2厅 | 143平米 | 南 北 | 其他', '高楼层(共18层)2012年建板塔结合  -  七里塘', '200万', '单价13987元/平米')
('', '家天下大三居，买到是缘分，没有买到就再等等缘分到来', '家天下  | 3室2厅 | 119.07平米 | 南 北 | 其他', '高楼层(共11层)2014年建塔楼  -  七里塘', '198万', '单价16629元/平米')
('https://image1.ljcdn.com/340100-inspection/989eb957-899e-4a45-8b9c-ea7609271fbd.JPG.296x216.jpg', '实嘉原创生活 精装修 满五 税费低 两居室 小区环境好', '实嘉原创生活  | 2室1厅 | 75平米 | 南 | 其他', '高楼层(共17层)2011年建板塔结合  -  东站', '110万', '单价14667元/平米')
('', '阳光汇景 2室2厅 110万', '阳光汇景  | 2室2厅 | 82.75平米 | 南 北 | 其他', '中楼层(共7层)2007年建板塔结合  -  七里塘', '110万', '单价13294元/平米')
('https://image1.ljcdn.com/340100-inspection/30d0ab49-2c27-441c-9e11-83d81cbcb082.JPG.296x216.jpg', '家天下 4室2厅 205万', '家天下  | 4室2厅 | 110.72平米 | 南 北 | 其他', '高楼层(共32层)2014年建塔楼  -  七里塘', '205万', '单价18516元/平米')
('', '信达格兰云天 2室2厅 115万', '信达格兰云天  | 2室2厅 | 89.98平米 | 南 | 其他', '低楼层(共24层)塔楼  -  七里塘', '115万', '单价12781元/平米')
('', '兴海苑D区 2室1厅 90万', '兴海苑D区  | 2室1厅 | 85.62平米 | 南 | 其他', '中楼层(共18层)板楼  -  七里塘', '90万', '单价10512元/平米')
('https://image1.ljcdn.com/340100-inspection/934e4812-a98f-4f36-ad06-652eb34c54bd.JPG.296x216.jpg', '中间楼层 采光视野佳 南北通透三房 配套成熟 诚心出售', '铁静苑A区  | 3室1厅 | 84.29平米 | 南 北 | 其他', '中楼层(共6层)板楼  -  七里塘', '98万', '单价11627元/平米')
('', '兴华苑 3室2厅 135万', '兴华苑  | 3室2厅 | 117平米 | 南 | 其他', '高楼层(共6层)2008年建板楼  -  七里塘', '135万', '单价11539元/平米')
('', '淮合花园 2室1厅 66万', '淮合花园  | 2室1厅 | 66.59平米 | 南 北 | 其他', '低楼层(共33层)2012年建板塔结合  -  七里塘', '66万', '单价9912元/平米')
('', '馥邦商务广场 1室1厅 32万', '馥邦商务广场  | 1室1厅 | 52平米 | 南 | 其他', '高楼层(共21层)塔楼  -  七里塘', '32万', '单价6154元/平米')
('', '中环东方名景 通透两居室 楼层好 采光视野无遮挡', '中环东方名景  | 2室2厅 | 88.98平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  七里塘', '116万', '单价13037元/平米')
('', '家天下 2室2厅 150万', '家天下  | 2室2厅 | 92.7平米 | 南 北 | 其他', '高楼层(共8层)2014年建塔楼  -  七里塘', '150万', '单价16182元/平米')
('https://image1.ljcdn.com/340100-inspection/faa410fb-0a31-469c-af30-3dd4d90fabc2.JPG.296x216.jpg', '长虹世纪荣廷 3室2厅 110万', '长虹世纪荣廷  | 3室2厅 | 82.87平米 | 南 | 其他', '高楼层(共11层)暂无数据  -  七里塘', '110万', '单价13274元/平米')
('', '兴华苑 3室2厅 90万', '兴华苑  | 3室2厅 | 81平米 | 南 | 其他', '高楼层(共6层)2008年建板楼  -  七里塘', '90万', '单价11112元/平米')
('https://image1.ljcdn.com/340100-inspection/51409900-4944-446f-a75b-a2738b7c8331.JPG.296x216.jpg', '碧水雅居 4室2厅 220万', '碧水雅居  | 4室2厅 | 169.54平米 | 南 | 其他', '低楼层(共11层)2008年建板塔结合  -  七里塘', '220万', '单价12977元/平米')
('', '家天下 3室2厅 180万', '家天下  | 3室2厅 | 105平米 | 南 | 其他', '中楼层(共24层)2014年建塔楼  -  七里塘', '180万', '单价17143元/平米')
('', '兴海苑D区 2室1厅 71万', '兴海苑D区  | 2室1厅 | 69.76平米 | 南 | 其他', '中楼层(共18层)塔楼  -  七里塘', '71万', '单价10178元/平米')
('https://image1.ljcdn.com/340100-inspection/e9e08dd1-6b9e-436d-a74d-ce0c06d926c7.JPG.296x216.jpg', '满五年 单价低自住 保养很好 双南户型', '铁静苑B区  | 2室1厅 | 67.02平米 | 南 | 其他', '高楼层(共6层)2000年建塔楼  -  七里塘', '72万', '单价10744元/平米')
('', '淮合花园 3室2厅 88万', '淮合花园  | 3室2厅 | 92.26平米 | 南 北 | 其他', '中楼层(共33层)2012年建板塔结合  -  七里塘', '88万', '单价9539元/平米')
('', '满五年免增值税 全明户型好 客厅带阳台', '春茂花苑  | 3室2厅 | 155平米 | 南 | 其他', '高楼层(共6层)板楼  -  七里塘', '140万', '单价9033元/平米')
('', '帝豪星港湾 3室2厅 135万', '帝豪星港湾  | 3室2厅 | 93.22平米 | 南 北 | 其他', '低楼层(共6层)2009年建板楼  -  七里塘', '135万', '单价14482元/平米')
('', '三室两厅 户型方正 南北通透 配套成熟', '碧云阁  | 3室2厅 | 124.74平米 | 南 北 | 其他', '中楼层(共6层)板楼  -  七里塘', '167万', '单价13388元/平米')
('', '南向三居室 小区环境好 精装修 看房方便', '家天下  | 3室2厅 | 87.27平米 | 南 | 精装', '中楼层(共32层)2014年建塔楼  -  七里塘', '146万', '单价16730元/平米')
('https://image1.ljcdn.com/340100-inspection/c1e2782a-1ea6-4088-9ace-c46539d6db38.JPG.296x216.jpg', '兴华苑B区 2室1厅 95万', '兴华苑B区  | 2室1厅 | 85.78平米 | 南 | 简装', '高楼层(共33层)塔楼  -  七里塘', '95万', '单价11075元/平米')
('', '安粮双景佳苑 3室2厅 160万', '安粮双景佳苑  | 3室2厅 | 124.6平米 | 南 | 其他', '低楼层(共18层)塔楼  -  七里塘', '160万', '单价12842元/平米')
('https://image1.ljcdn.com/340100-inspection/7fc8df61-8903-41b7-ae68-e5e36e8c87cb.JPG.296x216.jpg', '新海尚宸家园 2室2厅 112万', '新海尚宸家园  | 2室2厅 | 84.9平米 | 南 | 其他', '低楼层(共30层)塔楼  -  七里塘', '112万', '单价13192元/平米')
('', '国耀园上园 1室1厅 64万', '国耀园上园  | 1室1厅 | 49平米 | 南 | 其他', '中楼层(共18层)2012年建板塔结合  -  东站', '64万', '单价13062元/平米')
('', '淮合花园 2室1厅 65万', '淮合花园  | 2室1厅 | 66.95平米 | 南 | 其他', '低楼层(共28层)2012年建板塔结合  -  七里塘', '65万', '单价9709元/平米')
('https://image1.ljcdn.com/340100-inspection/0c828c29-ea9b-4fc8-974e-0c8726959293.JPG.296x216.jpg', '省二院 瑶海公园 全明户型 满五年免增值税', '铁静苑A区  | 2室2厅 | 84.73平米 | 南 | 其他', '高楼层(共6层)板楼  -  七里塘', '92万', '单价10859元/平米')
('', '兴华苑 3室1厅 113万', '兴华苑  | 3室1厅 | 114.5平米 | 南 北 | 其他', '高楼层(共6层)2008年建板楼  -  七里塘', '113万', '单价9869元/平米')
('', '家天下精装三房，户型方正，采光好。', '家天下  | 3室2厅 | 110.72平米 | 南 北 | 其他', '低楼层(共32层)2014年建塔楼  -  七里塘', '210万', '单价18967元/平米')
('', '信达格兰云天 3室1厅 143万', '信达格兰云天  | 3室1厅 | 95平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  七里塘', '143万', '单价15053元/平米')
('', '铁静苑B区 2室1厅 80万', '铁静苑B区  | 2室1厅 | 67.07平米 | 南 | 其他', '低楼层(共6层)2000年建塔楼  -  七里塘', '80万', '单价11928元/平米')
('', '家天下北郡 2室1厅 90万', '家天下北郡  | 2室1厅 | 76.1平米 | 南 | 其他', '高楼层(共27层)塔楼  -  站北', '90万', '单价11827元/平米')
('', '瑶海家园 2室1厅 70万', '瑶海家园  | 2室1厅 | 61平米 | 南 | 其他', '低楼层(共6层)板楼  -  七里塘', '70万', '单价11476元/平米')
('', '瑶海家园 2室1厅 99万', '瑶海家园  | 2室1厅 | 90平米 | 南 | 其他', '中楼层(共6层)板楼  -  七里塘', '99万', '单价11000元/平米')
('', '兴华苑 3室2厅 128万', '兴华苑  | 3室2厅 | 122.5平米 | 南 | 其他', '中楼层(共6层)2008年建板楼  -  七里塘', '128万', '单价10449元/平米')
('', '家天下 2室1厅 143万', '家天下  | 2室1厅 | 84平米 | 南 | 其他', '中楼层(共24层)2014年建塔楼  -  七里塘', '143万', '单价17024元/平米')
('', '淮合花园 1室1厅 60万', '淮合花园  | 1室1厅 | 67平米 | 南 | 其他', '中楼层(共33层)2012年建板塔结合  -  七里塘', '60万', '单价8956元/平米')
('https://image1.ljcdn.com/340100-inspection/5dd9296d-c37a-493c-a038-97b32068e69f.JPG.296x216.jpg', '巴黎春天 4室2厅 198万', '巴黎春天  | 4室2厅 | 147.69平米 | 南 | 其他', '低楼层(共6层)板楼  -  七里塘', '198万', '单价13407元/平米')
('', '阳光汇景 2室2厅 126万', '阳光汇景  | 2室2厅 | 85.27平米 | 南 | 其他', '低楼层(共10层)2007年建板塔结合  -  七里塘', '126万', '单价14777元/平米')
('', '楼层海，采光好.交通方便，小区环境优美', '兴海苑  | 2室1厅 | 61.79平米 | 南 | 其他', '中楼层(共6层)板楼  -  七里塘', '77.5万', '单价12543元/平米')
('', '家天下精装四房，看房方便，采光好，业主诚心', '家天下  | 4室2厅 | 110.72平米 | 南 北 | 其他', '中楼层(共32层)2014年建塔楼  -  七里塘', '190万', '单价17161元/平米')
('', '兴华苑精致三室出售，2楼，没有增值税', '兴华苑  | 3室1厅 | 80.95平米 | 南 | 其他', '低楼层(共6层)2008年建板楼  -  七里塘', '108万', '单价13342元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload9a51e04d-0896-43d6-bec0-bcaeb20b43f9.jpg.296x216.jpg', '精装三室，前后带院子，采光无遮挡', '国耀园上园  | 3室2厅 | 96.13平米 | 南 北 | 其他', '低楼层(共18层)2012年建板塔结合  -  东站', '138万', '单价14356元/平米')
