('https://image1.ljcdn.com/440300-inspection/test-1a38b4c5-3f36-4255-bcfe-946e703977fe.png.296x216.jpg', '碧水龙庭 三期 中高楼层 南向看花园  2+1户型 有钥匙', '碧水龙庭  | 2室1厅 | 73.31平米 | 西南 | 简装 | 有电梯', '中楼层(共18层)2008年建板塔结合  -  民治', '390万', '单价53199元/平米')
('https://image1.ljcdn.com/440300-inspection/test-21edf88b-dd75-4bda-a7a8-155b3be97a56.png.296x216.jpg', '万科九龙山 3室2厅 410万', '万科九龙山  | 3室2厅 | 88.84平米 | 东南 | 其他', '高楼层(共33层)2016年建板塔结合  -  观澜', '410万', '单价46151元/平米')
('https://image1.ljcdn.com/440300-inspection/2c06f356-a886-405b-86f1-72ad249c9875.jpg.296x216.jpg', '龙华绿景公馆1866南区222平精准大户型出售', '绿景公馆1866南区  | 6室2厅 | 222.01平米 | 南 | 其他 | 有电梯', '中楼层(共28层)2013年建板楼  -  深圳北站', '1880万', '单价84681元/平米')
('https://image1.ljcdn.com/440300-inspection/b58ac177-c208-429e-b7c7-dd2b96069e64.jpg.296x216.jpg', '满两年 诚心卖 嘉御山旁边  电梯房', '新阳丽舍  | 1室1厅 | 38.57平米 | 东南 | 其他 | 有电梯', '高楼层(共7层)2004年建板塔结合  -  龙华中心', '150万', '单价38891元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_uploadf3d3ac49-bd14-43bd-8661-984ef68f1585.JPG.296x216.jpg', '华盛观荟 1室1厅 180万', '华盛观荟  | 1室1厅 | 43.44平米 | 东南 | 其他', '中楼层(共36层)2016年建板塔结合  -  观澜', '180万', '单价41437元/平米')
('https://image1.ljcdn.com/440300-inspection/test-a5e7f09f-5076-470a-952f-7bc2a52887f0.png.296x216.jpg', '鸿荣源·壹城中心第九区 3室2厅 485万', '鸿荣源·壹城中心第九区  | 3室2厅 | 83.15平米 | 南 | 其他', '高楼层(共45层)2017年建暂无数据  -  龙华中心', '485万', '单价58329元/平米')
('https://image1.ljcdn.com/440300-inspection/test-525c3d98-c800-4566-9a2e-38c21b924829.png.296x216.jpg', '龙华区，城市明珠花园，朝南看花园，实用四居。', '劲力城市明珠  | 4室2厅 | 104.29平米 | 东南 | 简装 | 有电梯', '低楼层(共12层)2005年建板塔结合  -  龙华中心', '440万', '单价42191元/平米')
('https://image1.ljcdn.com/440300-inspection/test-b4b51d70-fc93-4c29-ac0f-97b4ed90db1d.png.296x216.jpg', '金地梅陇镇二期 3室2厅 540万', '金地梅陇镇二期  | 3室2厅 | 96.7平米 | 南 | 精装 | 有电梯', '低楼层(共33层)2007年建板塔结合  -  深圳北站', '540万', '单价55843元/平米')
('https://image1.ljcdn.com/440300-inspection/7fb85197-875b-45fb-973c-45f690498941.jpg.296x216.jpg', '龙胜正地铁口公寓 看房方便，业主诚心卖', '特发和平里  | 1室0厅 | 39.33平米 | 北 | 精装 | 有电梯', '高楼层(共32层)2014年建塔楼  -  上塘', '175万', '单价44496元/平米')
('https://image1.ljcdn.com/440300-inspection/15851f83-1bc0-4853-8d96-47c7e5d05075.jpg.296x216.jpg', '朝南向高楼层，装修保养好，一手业主诚心出售', '莱蒙水榭春天二期  | 3室1厅 | 87.61平米 | 南 | 精装 | 有电梯', '中楼层(共33层)2011年建塔楼  -  深圳北站', '680万', '单价77617元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_upload315c0ab6-03c8-4b5a-90ff-c58700e479b9.jpg.296x216.jpg', '江南华府 3室1厅 530万', '江南华府  | 3室1厅 | 128.9平米 | 东南 | 其他 | 有电梯', '中楼层(共21层)2008年建板塔结合  -  龙华中心', '530万', '单价41118元/平米')
('https://image1.ljcdn.com/440300-inspection/cd2fe2f3-deca-4123-8c05-87bbf8fa0e1d.jpg.296x216.jpg', '青年城邦园一房一厅，南北通透，居家舒适。', '青年城邦园  | 1室1厅 | 40.58平米 | 东南 | 其他 | 有电梯', '低楼层(共13层)2006年建板塔结合  -  龙华中心', '200万', '单价49286元/平米')
('https://image1.ljcdn.com/440300-inspection/test-f7a80f1d-281d-456a-9700-bc66e3a8c224.png.296x216.jpg', '龙华香缇雅苑看花园 安静  精装修  复式四房', '香缇雅苑  | 4室2厅 | 78.57平米 | 东南 | 其他 | 无电梯', '低楼层(共7层)1992年建板塔结合  -  龙华中心', '490万', '单价62365元/平米')
('https://image1.ljcdn.com/440300-inspection/test-d98e2955-4b69-49ac-ace4-6d54b5b10346.png.296x216.jpg', '1866南区安静看花园三房诚心出售', '绿景公馆1866南区  | 3室2厅 | 86.09平米 | 南 北 | 其他 | 有电梯', '中楼层(共28层)2013年建板塔结合  -  深圳北站', '640万', '单价74341元/平米')
('https://image1.ljcdn.com/440300-inspection/b1c22b01-7681-47d8-9809-5fd02c1cbfa7.jpg.296x216.jpg', '港铁天颂 5室2厅 1380万', '港铁天颂  | 5室2厅 | 174.52平米 | 东南 | 其他', '中楼层(共30层)2017年建暂无数据  -  龙华中心', '1380万', '单价79075元/平米')
('https://image1.ljcdn.com/440300-inspection/8c374b5a-337c-4701-8aef-c2b12396b280.jpg.296x216.jpg', '潜龙花园一房一厅 户型方正 通风采光都很好', '潜龙花园  | 1室1厅 | 41.77平米 | 南 | 简装 | 有电梯', '高楼层(共8层)2001年建板塔结合  -  民治', '200万', '单价47882元/平米')
('https://image1.ljcdn.com/440300-inspection/6ab8d7e0-f647-4eaa-bd75-b6d35cb3e4f9.jpg.296x216.jpg', '龙华区清湖新阳丽舍一房一厅业主诚心出售', '新阳丽舍  | 1室1厅 | 31.08平米 | 东南 | 其他 | 有电梯', '高楼层(共7层)2004年建板塔结合  -  龙华中心', '135万', '单价43437元/平米')
('https://image1.ljcdn.com/440300-inspection/test-9cdb1a60-b05a-4b8f-a86f-cab92e88a8db.png.296x216.jpg', '满五年，红本刚需上车可选，安静位置，格局方正', '玉华花园  | 2室1厅 | 58.7平米 | 北 | 其他 | 无电梯', '低楼层(共7层)1996年建板塔结合  -  龙华中心', '248万', '单价42249元/平米')
('https://image1.ljcdn.com/440300-inspection/test-0d548c9f-6c79-4abd-b4ff-8d46ecffd72a.png.296x216.jpg', '业主急售，满两年，小区花园位置，看花园。', '保利悦都  | 5室2厅 | 118.86平米 | 南 | 其他', '中楼层(共27层)2016年建板塔结合  -  龙华中心', '600万', '单价50480元/平米')
('https://image1.ljcdn.com/440300-inspection/test-01e2ecca-64dc-40ab-aa26-e9ba607871ac.png.296x216.jpg', '桦润馨居 3室2厅 460万', '桦润馨居  | 3室2厅 | 99.67平米 | 东南 | 其他 | 无电梯', '中楼层(共8层)2004年建板塔结合  -  龙华中心', '460万', '单价46153元/平米')
('https://image1.ljcdn.com/440300-inspection/b0475629-2a11-4661-93ad-38b04c825e69.jpg.296x216.jpg', '江南华府，近ICO商场及龙华文化广场，价格便宜.', '江南华府  | 3室0厅 | 61.83平米 | 东南 | 简装 | 有电梯', '高楼层(共14层)2008年建板塔结合  -  龙华中心', '210万', '单价33965元/平米')
('https://image1.ljcdn.com/440300-inspection/ab456bc1-04ef-4563-bb9d-07cb5476a3b0.jpg.296x216.jpg', '龙华08年大三房精装修 坐北朝南 满两年', '可乐园  | 3室2厅 | 82.24平米 | 东南 | 精装 | 无电梯', '高楼层(共5层)2008年建板塔结合  -  龙华中心', '385万', '单价46815元/平米')
('https://image1.ljcdn.com/440300-inspection/bbc59d74-41e1-48e8-9fb6-d0548a8f99b3.jpg.296x216.jpg', '卓能雅苑 朝南两房 440万 楼层位置好', '卓能雅苑  | 2室2厅 | 77.23平米 | 南 | 其他', '中楼层(共18层)2016年建塔楼  -  深圳北站', '420万', '单价54384元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_uploadc3151d70-0464-49cb-a4f5-53fe6ee691d4.jpg.296x216.jpg', '龙华4号线上塘地铁口200米 3房2卫 板楼结构 东南朝向', '盛荟居  | 3室2厅 | 86.97平米 | 东南 | 精装 | 有电梯', '低楼层(共29层)2016年建暂无数据  -  上塘', '622万', '单价71519元/平米')
('https://image1.ljcdn.com/440300-inspection/test-560d5e32-c4df-4aca-b196-e19aa6ed2df5.png.296x216.jpg', '龙华观澜合正观澜汇 东南朝向 双阳台 采光通风好毛坯', '合正观澜汇  | 3室1厅 | 80.6平米 | 东南 | 其他 | 有电梯', '高楼层(共29层)2016年建板塔结合  -  观澜', '400万', '单价49628元/平米')
('https://image1.ljcdn.com/440300-inspection/6c4e80e7-4f91-4e5d-86c9-b753c9185ae7.jpg.296x216.jpg', '满5年大户型，装修好，业主诚心卖，欢迎看房', '春华四季园二期  | 5室2厅 | 140.9平米 | 南 | 精装 | 有电梯', '低楼层(共12层)2007年建板塔结合  -  民治', '750万', '单价53230元/平米')
('https://image1.ljcdn.com/440300-inspection/8ddb27c3-859f-4eac-9590-7c1e63d66138.jpg.296x216.jpg', '【急售】中间楼层 花园式小区 精装修 业主诚心卖', '潜龙曼海宁花园北区  | 1室1厅 | 46.82平米 | 南 | 其他', '中楼层(共28层)2013年建暂无数据  -  上塘', '292万', '单价62367元/平米')
('https://image1.ljcdn.com/440300-inspection/37073bba-8709-48a6-bcb5-e6acd05f5ad3.jpg.296x216.jpg', '日出印象B区 大两房 精装 业主自住 红本在手', '日出印象二期  | 2室1厅 | 75.14平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2005年建板楼  -  上塘', '382万', '单价50839元/平米')
('https://image1.ljcdn.com/440300-inspection/test-c5486754-fec0-4b72-9aaa-70c7a281db90.png.296x216.jpg', '86平米四房，高标准精装修，高层视野开阔，自住保养好', '汇龙湾  | 4室2厅 | 86.95平米 | 东南 南 | 其他 | 有电梯', '高楼层(共32层)2014年建板塔结合  -  深圳北站', '950万', '单价109259元/平米')
('https://image1.ljcdn.com/440300-inspection/test-57eb73a5-5093-4d2b-a95f-df125c1080be.png.296x216.jpg', '丰泽湖山庄 3室2厅 470万', '丰泽湖山庄  | 3室2厅 | 85.15平米 | 东 | 其他 | 有电梯', '中楼层(共9层)2003年建板塔结合  -  深圳北站', '470万', '单价55197元/平米')
('https://image1.ljcdn.com/440300-inspection/test-87f6a8cc-74df-4a1c-bfe6-d943d116d0a6.png.296x216.jpg', '金地梅陇镇一期 3室2厅 610万', '金地梅陇镇一期  | 3室2厅 | 107.38平米 | 东南 | 其他 | 有电梯', '低楼层(共24层)2006年建板楼  -  深圳北站', '610万', '单价56808元/平米')
('https://image1.ljcdn.com/440300-inspection/test-2f8a2a86-3e5c-4a36-836f-7b8772743b2a.png.296x216.jpg', '美丽365花园 一梯二户南北通透精装大4房', '美丽365花园  | 4室2厅 | 121.37平米 | 东南 | 简装 | 有电梯', '中楼层(共8层)2003年建板塔结合  -  龙华中心', '495万', '单价40785元/平米')
('https://image1.ljcdn.com/440300-inspection/bba9f6f6-b4f4-4dd1-b5dd-41d23489c33c.JPG.296x216.jpg', '丰泽湖山庄 2室2厅 540万', '丰泽湖山庄  | 2室2厅 | 89.77平米 | 南 | 简装 | 有电梯', '高楼层(共9层)2003年建板塔结合  -  深圳北站', '540万', '单价60154元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_upload8e264aca-f396-40a5-963b-6745e7d2386b.jpg.296x216.jpg', '中航格澜郡 全新装修 车位多 超大三房 安静 景观好', '中航格澜郡阳光花园  | 3室2厅 | 127.81平米 | 南 北 | 其他 | 有电梯', '中楼层(共11层)2006年建板塔结合  -  观澜', '575万', '单价44989元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_upload2b5e0d9d-a007-47b7-a84d-addfc3617d27.jpg.296x216.jpg', '日出映像二期大三房，位置佳，小区环境优雅', '日出印象二期  | 3室1厅 | 113.03平米 | 南 | 其他 | 有电梯', '低楼层(共11层)2005年建塔楼  -  上塘', '530万', '单价46891元/平米')
('https://image1.ljcdn.com/440300-inspection/test-fd7f2a27-e469-41b5-aef7-6ef469d41deb.png.296x216.jpg', '潜龙曼海宁北区，三房两卫，业主自己重新装修，急卖！', '潜龙曼海宁花园北区  | 3室2厅 | 84.93平米 | 东南 | 其他', '低楼层(共28层)2013年建暂无数据  -  上塘', '580万', '单价68292元/平米')
('https://image1.ljcdn.com/440300-inspection/test-af8a03e4-b75e-44ff-9e46-7792552d9c74.png.296x216.jpg', '特发和平里 4室2厅 660万', '特发和平里  | 4室2厅 | 121.86平米 | 西北 | 其他 | 有电梯', '中楼层(共31层)2014年建板塔结合  -  上塘', '660万', '单价54161元/平米')
('https://image1.ljcdn.com/440300-inspection/da0a260c-7ce3-447a-80bc-6a52d7a9910d.jpg.296x216.jpg', '潜龙鑫茂花园，经典单房，使用率高，适合刚需过度。', '潜龙鑫茂花园C区  | 1室0厅 | 26.98平米 | 南 | 简装 | 有电梯', '中楼层(共13层)2006年建板塔结合  -  民治', '135万', '单价50038元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_upload89129e9a-d8f9-4e6e-a4a2-f0cda71d43fc.jpg.296x216.jpg', '新阳丽舍1房  高层电梯 看花园', '新阳丽舍  | 1室1厅 | 38.57平米 | 东南 | 其他 | 有电梯', '中楼层(共7层)2004年建板塔结合  -  龙华中心', '170万', '单价44076元/平米')
('https://image1.ljcdn.com/440300-inspection/test-c3a34cfd-0a98-4a14-adb6-a1f0a169e720.png.296x216.jpg', '香缇雅苑 2室2厅 295万', '香缇雅苑  | 2室2厅 | 64.6平米 | 东南 南 | 其他 | 有电梯', '低楼层(共18层)2007年建板塔结合  -  龙华中心', '295万', '单价45666元/平米')
('https://image1.ljcdn.com/440300-inspection/test-f5555d71-1204-4fb3-8052-5128db01e603.png.296x216.jpg', '龙华花半里经典四房，业主诚心出售', '龙华花半里花园  | 4室2厅 | 86.82平米 | 东南 | 其他 | 有电梯', '高楼层(共33层)2012年建板塔结合  -  龙华中心', '480万', '单价55287元/平米')
('https://image1.ljcdn.com/440300-inspection/test-b21378a1-d8b6-408c-a070-6da53c3f169a.png.296x216.jpg', '3房2厅2卫送一书房 三面通透', '金地上塘道一期  | 3室2厅 | 89.38平米 | 南 西 北 | 其他 | 有电梯', '中楼层(共24层)2010年建板楼  -  上塘', '580万', '单价64892元/平米')
('https://image1.ljcdn.com/440300-inspection/8bfee384-f141-41f5-b165-2e92009f3531.JPG.296x216.jpg', '懿花园 精装5房，顶楼带露台，采光好看山看湖安静通透', '懿花园  | 5室2厅 | 176.53平米 | 南 北 | 其他 | 有电梯', '高楼层(共10层)2013年建板塔结合  -  观澜', '830万', '单价47018元/平米')
('https://image1.ljcdn.com/440300-inspection/dac33b02-cd23-4af6-8b9c-4bb293d49a1b.jpg.296x216.jpg', '风和日丽 3室2厅 385万', '风和日丽  | 3室2厅 | 90.8平米 | 南 | 精装 | 无电梯', '高楼层(共8层)2002年建塔楼  -  深圳北站', '385万', '单价42401元/平米')
('https://image1.ljcdn.com/440300-inspection/8b2bfff7-4418-499f-9498-0fee78cb66ac.jpg.296x216.jpg', '卓能雅苑 2室2厅 480万', '卓能雅苑  | 2室2厅 | 75.59平米 | 南 | 其他', '中楼层(共18层)板塔结合  -  深圳北站', '480万', '单价63501元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_upload15feacb3-617d-4f95-81db-a8061a90c81a.jpg.296x216.jpg', '通透大三房，户型方正，满五年红本在手', '世纪春城二期  | 3室2厅 | 90.17平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2005年建板塔结合  -  深圳北站', '450万', '单价49906元/平米')
('https://image1.ljcdn.com/440300-inspection/test-e9561471-160e-465f-8df7-4880703609e0.png.296x216.jpg', '苹果园 1室1厅 190万', '苹果园  | 1室1厅 | 41.31平米 | 北 | 简装 | 有电梯', '高楼层(共16层)2004年建板塔结合  -  深圳北站', '190万', '单价45994元/平米')
('https://image1.ljcdn.com/440300-inspection/test-910441f0-53ec-47c2-89c9-699b0748fd68.png.296x216.jpg', '港铁天颂 4室2厅 900万', '港铁天颂  | 4室2厅 | 143.21平米 | 东南 | 其他', '低楼层(共48层)2017年建板塔结合  -  龙华中心', '900万', '单价62845元/平米')
('https://image1.ljcdn.com/440300-inspection/f58274b8-627e-4c28-b426-8b58984f79b4.jpg.296x216.jpg', '香缇雅苑 07电梯 客厅带阳台1房一厅 总价低 业主诚售', '香缇雅苑  | 1室1厅 | 43.58平米 | 东北 | 其他 | 有电梯', '中楼层(共18层)2007年建板塔结合  -  龙华中心', '179万', '单价41074元/平米')
('https://image1.ljcdn.com/440300-inspection/test-a2e0de39-1252-46e0-afba-8e5547490089.png.296x216.jpg', '劲力城市明珠 3室2厅 390万', '劲力城市明珠  | 3室2厅 | 81.79平米 | 东南 西北 | 其他 | 有电梯', '高楼层(共18层)2007年建板塔结合  -  龙华中心', '390万', '单价47684元/平米')
('https://image1.ljcdn.com/440300-inspection/test-1f4af805-4db2-40ed-bc62-6f37d1996183.png.296x216.jpg', '新华苑精装  看花园三房  三字头满五唯一', '新华苑  | 3室2厅 | 104.39平米 | 南 | 精装 | 无电梯', '高楼层(共8层)2001年建板塔结合  -  龙华中心', '380万', '单价36402元/平米')
('https://image1.ljcdn.com/440300-inspection/test-aac2c00e-0f36-4eb7-8661-04a424a63333.png.296x216.jpg', '金地梅陇镇一期 3室2厅 680万', '金地梅陇镇一期  | 3室2厅 | 120平米 | 南 北 | 精装 | 有电梯', '中楼层(共18层)2006年建板楼  -  深圳北站', '680万', '单价56667元/平米')
('https://image1.ljcdn.com/440300-inspection/90ed7573-479a-4d1b-91b6-043f92169f60.jpg.296x216.jpg', '红本在手，满五年，正地铁口物业', '青年城邦园  | 1室1厅 | 40.58平米 | 东 | 其他 | 有电梯', '低楼层(共13层)2006年建板塔结合  -  龙华中心', '196万', '单价48300元/平米')
('https://image1.ljcdn.com/440300-inspection/af353f6d-8554-42ec-8e9c-668661b92059.jpg.296x216.jpg', '金地梅陇镇居家两房，满两年朝南，客厅次卧连体阳台', '金地梅陇镇二期  | 2室2厅 | 76.11平米 | 南 | 其他 | 有电梯', '高楼层(共24层)2007年建板塔结合  -  深圳北站', '420万', '单价55184元/平米')
('https://image1.ljcdn.com/440300-inspection/e6b50bf1-c373-4bf2-8e97-be9608a7761f.jpg.296x216.jpg', '龙泽榕园 3室1厅 420万', '龙泽榕园  | 3室1厅 | 106.44平米 | 东南 | 其他 | 有电梯', '高楼层(共8层)2009年建板塔结合  -  龙华中心', '420万', '单价39459元/平米')
('https://image1.ljcdn.com/440300-inspection/test-e50ee7d5-d9e7-4bca-b686-e5e9f8971444.png.296x216.jpg', '碧水龙庭2房改3房  看小区花园安静舒适  装修保养不错', '碧水龙庭  | 2室1厅 | 75.38平米 | 东南 南 | 精装 | 有电梯', '中楼层(共18层)2007年建板塔结合  -  民治', '410万', '单价54392元/平米')
('https://image1.ljcdn.com/440300-inspection/332b26c6-dcfa-4bac-b577-654026da1ef2.jpg.296x216.jpg', '三层大复式，满五年唯一，通透户型格局好，位置安静', '城投七里香榭  | 4室2厅 | 77.43平米 | 南 | 其他 | 有电梯', '高楼层(共9层)2007年建板塔结合  -  深圳北站', '1050万', '单价135607元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_upload83176895-096c-4946-a94c-3a0705603413.jpg.296x216.jpg', '业主急售 潜龙曼海宁精装一房一厅 朝南看花园', '潜龙曼海宁花园北区  | 1室1厅 | 46.81平米 | 南 | 其他', '中楼层(共28层)2013年建暂无数据  -  上塘', '300万', '单价64089元/平米')
('https://image1.ljcdn.com/440300-inspection/46d789d6-6f2a-47be-8a41-043c7dbefaa9.jpg.296x216.jpg', '挂盘价再降10万，实用两房，楼层位置好，视野采光好。', '潜龙曼海宁花园北区  | 2室2厅 | 70.38平米 | 南 | 精装', '高楼层(共28层)2013年建暂无数据  -  上塘', '460万', '单价65360元/平米')
('https://image1.ljcdn.com/440300-inspection/test-d6926e3c-0ff3-4027-88ec-efca7c31ce4b.png.296x216.jpg', '桦润馨居 精装2房 拎包入住  业主诚心靠谱卖', '桦润馨居  | 2室2厅 | 76.06平米 | 东南 | 其他 | 无电梯', '中楼层(共8层)2003年建板塔结合  -  龙华中心', '320万', '单价42073元/平米')
('https://image1.ljcdn.com/440300-inspection/test-3f8bb728-c313-48be-9d4b-b022ce8f238a.png.296x216.jpg', '地铁口大三房，精装修，位置安静，高楼层 采光好', '富通天骏  | 3室2厅 | 104.07平米 | 西北 | 其他 | 有电梯', '高楼层(共18层)2003年建板塔结合  -  龙华中心', '508万', '单价48814元/平米')
('https://image1.ljcdn.com/440300-inspection/test-adeb3880-9f34-4420-9505-82f5a241f557.png.296x216.jpg', '龙胜地铁口，直达福田南山，端头户好房，诚心出售', '港铁天颂  | 3室2厅 | 81.76平米 | 东南 | 毛坯', '中楼层(共48层)2017年建暂无数据  -  龙华中心', '510万', '单价62378元/平米')
('https://image1.ljcdn.com/440300-inspection/07c50b8f-ffb2-4e03-99d1-c29befa11cda.jpg.296x216.jpg', '深圳北站 前年的精装修 大2房 门口有一块空地', '皓月花园  | 2室1厅 | 74.66平米 | 北 | 精装 | 无电梯', '低楼层(共7层)2005年建板塔结合  -  民治', '370万', '单价49558元/平米')
('https://image1.ljcdn.com/440300-inspection/3d785b46-2113-49ba-874b-3c642afea752.jpg.296x216.jpg', '龙泽榕园 3室2厅 428万', '龙泽榕园  | 3室2厅 | 106.32平米 | 东南 | 其他 | 有电梯', '中楼层(共8层)2009年建板塔结合  -  龙华中心', '428万', '单价40256元/平米')
('https://image1.ljcdn.com/440300-inspection/test-5d805ce4-6eca-48cb-a636-ff98c1c2209a.png.296x216.jpg', '金地梅陇镇、花园中间位置安静、单证急售！！', '金地梅陇镇二期  | 4室2厅 | 143.83平米 | 南 北 | 简装 | 有电梯', '中楼层(共18层)2007年建板塔结合  -  深圳北站', '760万', '单价52841元/平米')
('https://image1.ljcdn.com/440300-inspection/13893ad8-a3bc-4134-8c5a-0d8a45bf3db7.jpg.296x216.jpg', '仁山智水精装别墅，端头位使用空间大，带大花园！', '城建仁山智水花园二期  | 8室4厅 | 180.4平米 | 南 | 精装', '4层2013年建暂无数据  -  观澜', '1480万', '单价82040元/平米')
('https://image1.ljcdn.com/440300-inspection/test-636abac7-7b1f-4498-8850-671f834f8189.png.296x216.jpg', '龙华花半里精装三房 高层看花园东南向 诚心出售', '龙华花半里花园  | 3室2厅 | 88.27平米 | 南 | 精装 | 有电梯', '高楼层(共33层)2012年建板塔结合  -  龙华中心', '400万', '单价45316元/平米')
('https://image1.ljcdn.com/440300-inspection/9213b650-5ab0-4dab-98c6-a26205b7582b.jpg.296x216.jpg', '潜龙曼海宁花园北区 3室2厅 580万', '潜龙曼海宁花园北区  | 3室2厅 | 83.78平米 | 东南 | 其他', '低楼层(共28层)暂无数据  -  上塘', '580万', '单价69229元/平米')
('https://image1.ljcdn.com/440300-inspection/2af76235-c324-4fe8-a986-1c35101c297b.jpg.296x216.jpg', '水榭精装自住三房 满五唯一 东南朝向', '莱蒙水榭春天三期  | 3室2厅 | 88.75平米 | 东南 | 精装 | 有电梯', '高楼层(共33层)2011年建塔楼  -  深圳北站', '688万', '单价77522元/平米')
('https://image1.ljcdn.com/440300-inspection/test-a9467c31-801e-437a-b470-8ebfd6a0333c.png.296x216.jpg', '新华城 4室2厅 760万', '新华城  | 4室2厅 | 143.48平米 | 南 | 精装 | 有电梯', '高楼层(共28层)2010年建板塔结合  -  深圳北站', '760万', '单价52970元/平米')
('https://image1.ljcdn.com/440300-inspection/test-385e652b-a368-4ea0-b553-1dfc59abdbff.png.296x216.jpg', '港铁天颂 4室2厅 880万', '港铁天颂  | 4室2厅 | 141.03平米 | 东南 | 其他', '低楼层(共30层)2017年建暂无数据  -  龙华中心', '880万', '单价62399元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_upload7875f3bb-7ed1-4180-b8cb-50734c37f250.jpg.296x216.jpg', '美丽家园  精装三房  业主自住保养好', '美丽家园  | 3室2厅 | 100.73平米 | 东南 | 精装 | 有电梯', '中楼层(共12层)2002年建板塔结合  -  龙华中心', '420万', '单价41696元/平米')
('https://image1.ljcdn.com/440300-inspection/test-7af75326-7bd6-4c43-ad48-31d8e5d3b557.png.296x216.jpg', '世纪春城三期六号地 电梯 小两房  朝南 中间楼层', '世纪春城三期6号地  | 2室2厅 | 57.13平米 | 西南 | 简装 | 有电梯', '中楼层(共11层)2006年建板塔结合  -  深圳北站', '310万', '单价54263元/平米')
('https://image1.ljcdn.com/440300-inspection/test-4e813c44-e2d6-48e9-af4f-82f7ff63be0f.png.296x216.jpg', '龙光玖龙玺户型方正 环境优美配套齐全', '龙光玖龙玺北区  | 4室2厅 | 86.85平米 | 西北 | 精装', '中楼层(共31层)2016年建塔楼  -  深圳北站', '800万', '单价92113元/平米')
('https://image1.ljcdn.com/440300-inspection/8b255460-df4f-40e2-b681-19620ed488b4.jpg.296x216.jpg', '少有端户出售，高层看花园，安静不吵，7月满两年', '苹果园  | 1室1厅 | 41.31平米 | 东北 | 其他 | 有电梯', '高楼层(共16层)2004年建板塔结合  -  深圳北站', '190万', '单价45994元/平米')
('https://image1.ljcdn.com/440300-inspection/f6c25fb6-9507-4d1b-bc85-51db3208a9dd.jpg.296x216.jpg', '潜龙花园 大两房 安静舒适 朝南采光好', '潜龙花园  | 2室1厅 | 72.6平米 | 南 | 简装 | 有电梯', '中楼层(共8层)2001年建板塔结合  -  民治', '340万', '单价46832元/平米')
('https://image1.ljcdn.com/440300-inspection/test-b9d6b21a-cff4-416c-a7b7-dd875217a772.png.296x216.jpg', '潜龙鑫茂花园正规两房 双阳台的设计风格 采光通风好', '潜龙鑫茂花园A区  | 2室2厅 | 68.54平米 | 南 | 简装 | 有电梯', '高楼层(共17层)2006年建板塔结合  -  民治', '398万', '单价58069元/平米')
('https://image1.ljcdn.com/440300-inspection/test-075ef801-fc69-4157-90a1-6e92654af83f.png.296x216.jpg', '劲力城市明珠 3室2厅 400万', '劲力城市明珠  | 3室2厅 | 81.65平米 | 南 | 其他 | 有电梯', '低楼层(共18层)2007年建板塔结合  -  龙华中心', '400万', '单价48990元/平米')
('https://image1.ljcdn.com/440300-inspection/test-af8dbf6c-f869-4521-ab16-6086c6235191.png.296x216.jpg', '鸿荣源·壹城中心第九区 3室2厅 505万', '鸿荣源·壹城中心第九区  | 3室2厅 | 83.07平米 | 南 | 其他', '中楼层(共46层)2017年建暂无数据  -  龙华中心', '505万', '单价60793元/平米')
('https://image1.ljcdn.com/440300-inspection/1e53b53e-4c04-401b-a830-a2ac9be1fb9e.JPG.296x216.jpg', '龙华观澜 深业物业 正规大三房 两梯三户 采光好', '深业泰然观澜玫瑰苑  | 3室2厅 | 110平米 | 南 | 其他', '中楼层(共31层)2016年建板塔结合  -  观澜', '510万', '单价46364元/平米')
('https://image1.ljcdn.com/440300-inspection/test-ba06e1ac-b285-4e70-9cf1-548dd0e37d9a.png.296x216.jpg', '新阳丽舍 业主精装修 已改两房 高楼层 无遮挡诚心出售', '新阳丽舍  | 2室1厅 | 38.94平米 | 东南 | 其他 | 有电梯', '高楼层(共7层)2004年建板塔结合  -  龙华中心', '168万', '单价43144元/平米')
('https://image1.ljcdn.com/440300-inspection/fb78f80b-f740-4a1c-8691-edef7d0d79d1.jpg.296x216.jpg', '金亨利四房，改了2个卫生间，房间也有拓展，更实用', '金亨利首府  | 4室2厅 | 89.41平米 | 南 | 简装 | 有电梯', '低楼层(共31层)2014年建板塔结合  -  深圳北站', '910万', '单价101779元/平米')
('https://image1.ljcdn.com/440300-inspection/1a98a77c-12cc-498b-bf0d-c9491dde123b.jpg.296x216.jpg', '清湖美丽365花园 装修复式房 直达电梯 南北大阳台', '美丽365花园  | 5室2厅 | 149.54平米 | 东南 | 精装 | 无电梯', '高楼层(共8层)2002年建板塔结合  -  龙华中心', '760万', '单价50823元/平米')
