('https://image1.ljcdn.com/340100-inspection/84da976b-a06e-477d-a6f4-542f1a6a88b9.jpg.296x216.jpg', '蓝鼎滨湖假日翰林苑 3室2厅 170万', '蓝鼎滨湖假日翰林苑  | 3室2厅 | 86.3平米 | 南 | 其他', '高楼层(共33层)2008年建塔楼  -  滨湖世纪', '170万', '单价19699元/平米')
('https://image1.ljcdn.com/340100-inspection/148ceb80-20bc-4b8c-83e8-d9c721ce707f.JPG.296x216.jpg', '【毛坯两室+满2年+低楼层+适合老人+户型方正】', '旭辉御府  | 2室2厅 | 83.35平米 | 南 | 其他', '低楼层(共35层)2014年建塔楼  -  烟墩', '148万', '单价17757元/平米')
('https://image1.ljcdn.com/340100-inspection/3007a70e-efc7-49a4-902f-68771359b792.JPG.296x216.jpg', '世纪城边户两居 高楼层 采光好 业主诚心出售', '世纪城琼林苑  | 2室2厅 | 96平米 | 南 | 其他', '高楼层(共33层)2011年建塔楼  -  滨湖世纪', '178万', '单价18542元/平米')
('', '蓝鼎滨湖假日翰林苑 3室2厅 175万', '蓝鼎滨湖假日翰林苑  | 3室2厅 | 86.28平米 | 南 | 其他', '高楼层(共33层)2008年建塔楼  -  滨湖世纪', '175万', '单价20283元/平米')
('https://image1.ljcdn.com/340100-inspection/c600bcc5-9e29-4450-8b63-32a79b3f96d1.jpg.296x216.jpg', '蓝鼎观湖苑 3室1厅 175万', '蓝鼎观湖苑  | 3室1厅 | 88.15平米 | 南 | 其他', '低楼层(共33层)2010年建塔楼  -  滨湖世纪', '175万', '单价19853元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload2bbfd80d-8963-4e3d-9b79-2537c1fc668f.JPG.296x216.jpg', '滨湖新区 万达临湖苑三房 诚心出售', '临湖苑C区  | 3室2厅 | 95.58平米 | 南 | 其他', '低楼层(共33层)2015年建塔楼  -  环湖CBD', '188万', '单价19670元/平米')
('', '和昌        3室两厅一卫 165万', '和昌中央城邦  | 3室2厅 | 94.5平米 | 南 北 | 其他', '高楼层(共34层)塔楼  -  工业园', '165万', '单价17461元/平米')
('', '保利海上五月花B区 3室2厅 185万', '保利海上五月花B区  | 3室2厅 | 90平米 | 南 | 其他', '低楼层(共41层)2016年建板塔结合  -  环湖CBD', '185万', '单价20556元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadd1e20790-201f-4ef3-ad63-68b7a02f87bc.jpg.296x216.jpg', '滨湖新地城 精装修 家电家具齐全 拎包入住 随时看房', '滨湖新地城  | 2室1厅 | 112平米 | 西北 | 其他', '低楼层(共28层)板塔结合  -  滨湖世纪', '130万', '单价11608元/平米')
('https://image1.ljcdn.com/340100-inspection/954acff6-50f3-40b9-91f2-a8ab1cb975bf.jpg.296x216.jpg', '蓝鼎观湖苑 3室2厅 175万', '蓝鼎观湖苑  | 3室2厅 | 97平米 | 南 | 其他', '高楼层(共33层)2010年建塔楼  -  滨湖世纪', '175万', '单价18042元/平米')
('', '文一名门湖语 3室2厅 358万', '文一名门湖语  | 3室2厅 | 139平米 | 南 | 其他', '低楼层(共8层)板楼  -  方兴', '358万', '单价25756元/平米')
('https://image1.ljcdn.com/340100-inspection/88136070-32b1-4077-803b-e91fb8f58510.jpg.296x216.jpg', '朝南大阳台，主卧次卧室朝南客厅朝南带飘窗', '世纪城琼林苑  | 3室2厅 | 110.29平米 | 南 | 其他', '低楼层(共33层)2011年建塔楼  -  滨湖世纪', '210万', '单价19041元/平米')
('https://image1.ljcdn.com/340100-inspection/43115271-dd77-4ff2-b776-571d94602590.jpg.296x216.jpg', '世纪城 永辉旁边  改善自住精装三房 可拎包入住', '世纪城临滨苑  | 3室2厅 | 119.27平米 | 南 北 | 其他', '中楼层(共33层)2011年建塔楼  -  滨湖世纪', '255万', '单价21381元/平米')
('https://image1.ljcdn.com/340100-inspection/f48239c1-e6d0-4a3f-a0d0-1a0ece2e2b28.JPG.296x216.jpg', '未来领地 1室1厅 56万', '未来领地  | 1室1厅 | 56.12平米 | 南 | 其他', '中楼层(共26层)塔楼  -  环湖CBD', '56万', '单价9979元/平米')
('https://image1.ljcdn.com/340100-inspection/6f8bb6df-f16e-484b-a5da-bc11c6a33eac.JPG.296x216.jpg', '徽派建筑 毛坯房可改自己喜欢装修', '棠溪人家  | 6室3厅 | 308平米 | 南 北 | 毛坯', '低楼层(共3层)塔楼  -  滨湖世纪', '1360万', '单价44156元/平米')
('https://image1.ljcdn.com/340100-inspection/e70b6d89-8643-4a1d-9946-7775f0488b68.JPG.296x216.jpg', '满2年，40年产权 视野好，采光好，民用用电通燃气', '高速时代广场公寓  | 2室2厅 | 95.07平米 | 南 | 其他', '低楼层(共32层)2014年建塔楼  -  烟墩', '99万', '单价10414元/平米')
('https://image1.ljcdn.com/340100-inspection/785b2395-21db-4cb2-bd02-0342749e894c.JPG.296x216.jpg', '中海滨湖公馆 4室2厅 385万', '中海滨湖公馆  | 4室2厅 | 165平米 | 南 | 其他', '中楼层(共34层)2014年建塔楼  -  环湖CBD', '385万', '单价23334元/平米')
('https://image1.ljcdn.com/340100-inspection/c3770d66-c9ee-4a0d-9c1a-fc8d35da454b.JPG.296x216.jpg', '滨湖品阁 满五年免增值税  房型方正 采光充足', '滨湖品阁  | 2室2厅 | 91.3平米 | 南 | 其他', '高楼层(共28层)2007年建板塔结合  -  滨湖世纪', '210万', '单价23002元/平米')
('https://image1.ljcdn.com/340100-inspection/879fb892-7a63-48ee-8337-d9da251bfb03.jpg.296x216.jpg', '巴黎都市凯旋宫 纯毛坯 高楼层 视野采光好', '巴黎都市凯旋宫  | 3室1厅 | 94平米 | 南 | 其他', '高楼层(共28层)2014年建塔楼  -  方兴', '180万', '单价19149元/平米')
('https://image1.ljcdn.com/340100-inspection/3237bb88-c172-4ce1-81aa-8582f8784a61.jpg.296x216.jpg', '和昌中央城邦 3室2厅 288万', '和昌中央城邦  | 3室2厅 | 132平米 | 南 | 其他', '低楼层(共8层)暂无数据  -  工业园', '288万', '单价21819元/平米')
('', '高速滨湖时代广场 2室1厅 200万', '高速滨湖时代广场  | 2室1厅 | 89.22平米 | 南 | 其他', '高楼层(共33层)2011年建塔楼  -  烟墩', '200万', '单价22417元/平米')
('https://image1.ljcdn.com/340100-inspection/a418e782-0c30-4254-8055-8c13ecca3ff1.JPG.296x216.jpg', '锦绣淮苑 3室2厅 286万', '锦绣淮苑  | 3室2厅 | 143.5平米 | 南 | 其他', '中楼层(共18层)2011年建塔楼  -  烟墩', '286万', '单价19931元/平米')
('https://image1.ljcdn.com/340100-inspection/00cb287a-357c-4e2b-8f40-4e5dd79f9711.jpg.296x216.jpg', '经典双阳台三居室 采光好 业主诚心出售   滨湖世纪城', '世纪城琼林苑  | 3室2厅 | 110.52平米 | 南 | 其他', '低楼层(共30层)2011年建塔楼  -  滨湖世纪', '200万', '单价18097元/平米')
('', '皖都徽韵和锦园 1室1厅 81万', '皖都徽韵和锦园  | 1室1厅 | 54.89平米 | 北 | 其他', '中楼层(共18层)塔楼  -  工业园', '81万', '单价14757元/平米')
('https://image1.ljcdn.com/340100-inspection/0f88130d-c018-4a3a-bc45-bdfa44b000de.jpg.296x216.jpg', '中等装修，温馨的一居室，干净整洁，拎包入住', '世纪金源国际公寓  | 1室1厅 | 72.68平米 | 南 | 其他', '中楼层(共39层)2012年建塔楼  -  滨湖世纪', '60万', '单价8256元/平米')
('https://image1.ljcdn.com/340100-inspection/a00bcc62-da73-4476-a966-87b1f8a7d5cb.JPG.296x216.jpg', '万达悦湖苑 3室2厅 220万', '万达悦湖苑  | 3室2厅 | 119.41平米 | 南 | 其他', '高楼层(共33层)2016年建塔楼  -  环湖CBD', '220万', '单价18424元/平米')
('https://image1.ljcdn.com/340100-inspection/4a16bb7f-9bd7-4784-8d4d-bb334b0e0834.JPG.296x216.jpg', '联投中心书城 3室2厅 186万', '联投中心书城  | 3室2厅 | 102平米 | 南 | 其他', '高楼层(共32层)塔楼  -  环湖CBD', '186万', '单价18236元/平米')
('', '琥珀瑞安家园 2室2厅 172万', '琥珀瑞安家园  | 2室2厅 | 89.02平米 | 南 | 其他', '高楼层(共33层)塔楼  -  方兴', '172万', '单价19322元/平米')
('https://image1.ljcdn.com/340100-inspection/902165b5-228a-435d-a439-e036d0ad8b54.JPG.296x216.jpg', '诚心出售保利精装3房，小区品质高，配套完善', '保利海上五月花C区  | 3室2厅 | 92.45平米 | 南 | 其他', '中楼层(共34层)塔楼  -  环湖CBD', '190万', '单价20552元/平米')
('https://image1.ljcdn.com/340100-inspection/39d458ee-a4b8-4fb3-b206-bc0fd15bf7a1.JPG.296x216.jpg', '万达三期亲湖苑中间套三房，户型方正，楼层好', '亲湖苑C区  | 3室2厅 | 97平米 | 南 | 其他', '低楼层(共29层)塔楼  -  环湖CBD', '180万', '单价18557元/平米')
('https://image1.ljcdn.com/340100-inspection/1ea07593-a4d9-4c7a-ad97-d60104553589.JPG.296x216.jpg', '价格低 环境好 业主诚心卖 交通便利', '未来领地  | 1室1厅 | 56.12平米 | 南 | 其他', '高楼层(共23层)塔楼  -  环湖CBD', '52万', '单价9266元/平米')
('https://image1.ljcdn.com/340100-inspection/0aa57369-a340-4bc5-9831-e1568ecf9c67.jpg.296x216.jpg', '南北通透大三房，精装修送地下车位', '世纪城徽贵苑  | 3室2厅 | 121.04平米 | 南 北 | 其他', '低楼层(共33层)2011年建塔楼  -  滨湖世纪', '217万', '单价17928元/平米')
('https://image1.ljcdn.com/340100-inspection/04d92938-d810-4d5a-a6f8-17e87e8312d1.jpg.296x216.jpg', '楼层适中 采光充足 阳光无遮挡 视野好通风好 适合居住', '世纪城振徽苑  | 1室1厅 | 57.05平米 | 南 | 其他', '高楼层(共33层)2011年建塔楼  -  滨湖世纪', '105万', '单价18405元/平米')
('https://image1.ljcdn.com/340100-inspection/4ac10422-d85a-474e-8464-1eef245509ab.jpg.296x216.jpg', '满2年 中间户 25万的精装修 拎包入住 业主诚心出售', '万科蓝山一期  | 4室2厅 | 93平米 | 南 | 其他', '低楼层(共34层)2016年建塔楼  -  方兴', '195万', '单价20968元/平米')
('https://image1.ljcdn.com/340100-inspection/67e62aaf-0b24-4771-a0d2-6854a0d4585e.JPG.296x216.jpg', '接地气小户型 居家优选 温馨 温暖在这里开始', '保利拉菲公馆  | 2室2厅 | 80平米 | 南 | 其他', '低楼层(共31层)2013年建板塔结合  -  烟墩', '150万', '单价18750元/平米')
('https://image1.ljcdn.com/340100-inspection/91cae190-fcb8-4d12-807e-eedad4876114.JPG.296x216.jpg', '万达揽湖苑 3室2厅 210万', '万达揽湖苑  | 3室2厅 | 100.39平米 | 南 北 | 其他', '中楼层(共32层)2016年建板楼  -  环湖CBD', '210万', '单价20919元/平米')
('https://image1.ljcdn.com/340100-inspection/a43480b9-c842-41c5-853b-6ccf8abdcd6a.JPG.296x216.jpg', '万科蓝山二期 3室2厅 360万', '万科蓝山二期  | 3室2厅 | 100平米 | 南 北 | 其他', '高楼层(共6层)2014年建板楼  -  方兴', '360万', '单价36000元/平米')
('', '保利拉菲公馆，大两居两房朝南，高楼层采光好，诚心卖', '保利拉菲公馆  | 2室2厅 | 85.9平米 | 南 | 其他', '高楼层(共34层)2015年建板塔结合  -  烟墩', '160万', '单价18627元/平米')
('https://image1.ljcdn.com/340100-inspection/47aeb8c8-70ea-4b87-a58d-47fe750f75e5.JPG.296x216.jpg', '滨湖惠园 2室1厅 80万', '滨湖惠园  | 2室1厅 | 48平米 | 北 | 其他', '低楼层(共28层)2008年建塔楼  -  滨湖世纪', '80万', '单价16667元/平米')
('https://image1.ljcdn.com/340100-inspection/9aff98f1-3f72-429a-bd5f-3ff48af45cf4.jpg.296x216.jpg', '此房为南北通透三房户型，南阳台，中高楼层，采光充足', '世纪城徽贵苑  | 3室2厅 | 118.86平米 | 南 北 | 其他', '中楼层(共28层)2011年建塔楼  -  滨湖世纪', '212万', '单价17837元/平米')
('', '九珑湾 3室2厅 180万', '九珑湾  | 3室2厅 | 106平米 | 南 北 | 其他', '中楼层(共32层)2010年建板塔结合  -  工业园', '180万', '单价16982元/平米')
('https://image1.ljcdn.com/340100-inspection/3ddb97df-6d7b-49b0-9a31-900c6b4b4700.jpg.296x216.jpg', '为你而选为你为家，毛坯大三居，南北通透，采光好', '包河苑F区  | 3室2厅 | 121.55平米 | 南 北 | 其他', '低楼层(共6层)板楼  -  工业园', '145万', '单价11930元/平米')
('https://image1.ljcdn.com/340100-inspection/055efe83-7c43-43ef-b8ca-416fbd641a7b.jpg.296x216.jpg', '高速时代城 毛坯两房 中间楼层 视野很好 诚心卖', '高速时代城一期  | 2室2厅 | 82.51平米 | 南 | 其他', '中楼层(共32层)2016年建塔楼  -  方兴', '157万', '单价19028元/平米')
('https://image1.ljcdn.com/340100-inspection/2a2bcec9-2bbf-48a5-bbd9-31813683b55c.JPG.296x216.jpg', '锦绣淮苑 3室2厅 260万', '锦绣淮苑  | 3室2厅 | 143.77平米 | 南 | 其他', '低楼层(共16层)2008年建塔楼  -  烟墩', '260万', '单价18085元/平米')
('', '万达银座 2室1厅 90万', '万达银座  | 2室1厅 | 67平米 | 西北 | 其他', '低楼层(共54层)塔楼  -  环湖CBD', '90万', '单价13433元/平米')
('https://image1.ljcdn.com/340100-inspection/760a7c94-3103-44cf-a26a-69f877eeac6b.JPG.296x216.jpg', '70年产权民用水电总价低诚心卖 位置佳交通便利', '宝能城  | 1室1厅 | 53.71平米 | 南 | 其他', '高楼层(共32层)2015年建板楼  -  环湖CBD', '100万', '单价18619元/平米')
('https://image1.ljcdn.com/340100-inspection/4b64b100-baad-472f-a137-9720bf90b66c.JPG.296x216.jpg', '琥珀瑞安家园 精装修 集中供暖 带车位 拎包入住', '琥珀瑞安家园  | 3室2厅 | 102平米 | 南 北 | 其他', '低楼层(共29层)2016年建塔楼  -  方兴', '230万', '单价22550元/平米')
('https://image1.ljcdn.com/340100-inspection/ad77a21d-42af-4def-80e7-86063f4427c6.jpg.296x216.jpg', '保利拉菲公馆 环境优美 居住好房 诚心出售', '保利拉菲公馆  | 3室2厅 | 97.7平米 | 南 北 | 其他', '高楼层(共34层)2013年建板塔结合  -  烟墩', '203万', '单价20778元/平米')
('https://image1.ljcdn.com/340100-inspection/4a6706cf-748f-48a8-b81a-752d9b5ec43b.jpg.296x216.jpg', '旭辉御府 2室2厅 160万', '旭辉御府  | 2室2厅 | 78平米 | 南 | 其他', '高楼层(共35层)2014年建塔楼  -  烟墩', '160万', '单价20513元/平米')
('https://image1.ljcdn.com/340100-inspection/345d07ca-99f6-41aa-8a95-d5c357ce8cff.jpg.296x216.jpg', '滨湖假日翰林苑 朝南一居室 高楼层 视野采光好', '蓝鼎滨湖假日翰林苑  | 1室2厅 | 63.12平米 | 南 | 其他', '高楼层(共33层)2008年建塔楼  -  滨湖世纪', '128万', '单价20279元/平米')
('https://image1.ljcdn.com/340100-inspection/d8550460-e276-4b0f-97ad-5bc14301a5ba.jpg.296x216.jpg', '未来领地 1室0厅 56万', '未来领地  | 1室0厅 | 56平米 | 南 | 其他', '中楼层(共23层)塔楼  -  环湖CBD', '56万', '单价10000元/平米')
('https://image1.ljcdn.com/340100-inspection/c3d09b46-b241-4a2b-8580-c6b3e97c065d.JPG.296x216.jpg', '世纪城春融苑 2室2厅 166万', '世纪城春融苑  | 2室2厅 | 86平米 | 南 | 其他', '高楼层(共33层)2008年建塔楼  -  滨湖世纪', '166万', '单价19303元/平米')
('https://image1.ljcdn.com/340100-inspection/63baa811-58f2-4db4-a9a3-5e8cc7cd46f8.JPG.296x216.jpg', '精装好房 交通便利 视野好，让您感受家的温暖', '滨湖万科城  | 3室2厅 | 94.15平米 | 南 | 其他', '中楼层(共41层)2013年建塔楼  -  烟墩', '205万', '单价21774元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/ade88f92-437d-43d8-9413-363fe02faef1.png.280x210.jpg', '高区大两房，采光通风良好、满两年、带装修', '中铁滨湖名邸  | 2室1厅 | 93.4平米 | 南 | 其他', '高楼层(共33层)2013年建板楼  -  烟墩', '202万', '单价21628元/平米')
('https://image1.ljcdn.com/340100-inspection/d1582667-ad5a-4c48-8515-23da4cd69173.JPG.296x216.jpg', '万科蓝山 精装全新 刚需四居室 精装全明户型 业主诚售', '万科蓝山二期  | 3室2厅 | 92平米 | 南 | 其他', '低楼层(共34层)塔楼  -  方兴', '210万', '单价22827元/平米')
('https://image1.ljcdn.com/340100-inspection/d811fb64-540e-462c-8783-483d2a6ea731.JPG.296x216.jpg', '央企开发高层中户4房 视野佳光线好 物业负责 含车位', '中海滨湖公馆  | 4室2厅 | 96.5平米 | 南 | 其他', '高楼层(共32层)2014年建塔楼  -  环湖CBD', '195万', '单价20208元/平米')
('', '蓝鼎滨湖假日翰林苑 3室2厅 195万', '蓝鼎滨湖假日翰林苑  | 3室2厅 | 87平米 | 南 北 | 其他', '高楼层(共33层)2011年建板塔结合  -  滨湖世纪', '195万', '单价22414元/平米')
('https://image1.ljcdn.com/340100-inspection/e3b77e8b-6436-47c0-8162-839195bd3bf7.JPG.296x216.jpg', '送家电家具精装中层2房 诚心出售 万达商圈  交通便利', '临湖苑E区  | 2室2厅 | 87.96平米 | 南 | 其他', '中楼层(共26层)2014年建板楼  -  环湖CBD', '165万', '单价18759元/平米')
('https://image1.ljcdn.com/340100-inspection/838423fd-dd21-412c-b603-f23235054f6b.jpg.296x216.jpg', '琥珀瑞安家园 市政供暖 小区环境优美 全天的采光', '琥珀瑞安家园  | 3室2厅 | 106平米 | 南 | 其他', '中楼层(共33层)2016年建塔楼  -  方兴', '200万', '单价18868元/平米')
('https://image1.ljcdn.com/340100-inspection/3a47155c-edf6-4a16-b45a-3a23278a7242.jpg.296x216.jpg', '万象公馆北区 3室2厅 220万', '万象公馆北区  | 3室2厅 | 110平米 | 南 | 其他', '中楼层(共34层)2016年建塔楼  -  烟墩', '220万', '单价20000元/平米')
('', '中层三房二卫东边户视野好采光棒 交通便利购物方便', '合肥云谷  | 3室2厅 | 111.8平米 | 东 南 北 | 其他', '中楼层(共30层)暂无数据  -  烟墩', '212万', '单价18963元/平米')
('https://image1.ljcdn.com/340100-inspection/603da87c-e910-4a7f-9a16-422b431b7152.JPG.296x216.jpg', '琥珀瑞安家园 边户三房 采光视野都很好 中间楼层', '琥珀瑞安家园  | 3室2厅 | 102平米 | 南 | 其他', '中楼层(共29层)2016年建塔楼  -  方兴', '203万', '单价19902元/平米')
('https://image1.ljcdn.com/340100-inspection/3e5d1298-11ae-4370-9d4f-94292d982382.JPG.296x216.jpg', '揽湖苑新出南北通西边户，房东自住，看房提前预约', '万达揽湖苑  | 3室2厅 | 112平米 | 南 北 | 其他', '高楼层(共34层)2016年建板楼  -  环湖CBD', '230万', '单价20536元/平米')
('https://image1.ljcdn.com/340100-inspection/561e9ece-3e3e-4235-b0af-fdee04660524.jpg.296x216.jpg', '世纪金源国际公寓 1室1厅 40万', '世纪金源国际公寓  | 1室1厅 | 54平米 | 东 | 其他', '中楼层(共39层)2012年建塔楼  -  滨湖世纪', '40万', '单价7408元/平米')
('https://image1.ljcdn.com/340100-inspection/92a2bdd8-4688-4333-9094-f696191ab8d6.JPG.296x216.jpg', '保利拉菲公馆，精装两房，拎包入住，业主诚心出售', '保利拉菲公馆  | 2室2厅 | 80平米 | 南 | 其他', '低楼层(共31层)2013年建板塔结合  -  烟墩', '155万', '单价19375元/平米')
('https://image1.ljcdn.com/340100-inspection/655e2419-c7f4-4e7f-a22f-f402bf06248a.JPG.296x216.jpg', '滨湖明珠 2室2厅 218万', '滨湖明珠  | 2室2厅 | 85.91平米 | 南 | 其他', '高楼层(共33层)2007年建塔楼  -  滨湖世纪', '218万', '单价25376元/平米')
('https://image1.ljcdn.com/340100-inspection/d1d01775-a8f5-4582-8215-a68a3d66281c.jpg.296x216.jpg', '通燃气的四十年产权的公寓，看房方便，随时签约', '世纪城琼林苑  | 1室1厅 | 68平米 | 南 | 其他', '高楼层(共39层)2011年建塔楼  -  滨湖世纪', '65万', '单价9559元/平米')
('', '万达茂五月花精装修边户送家具家电拎包入住中间楼层', '保利海上五月花B区  | 3室2厅 | 95.39平米 | 南 北 | 其他', '中楼层(共40层)2016年建板楼  -  环湖CBD', '215万', '单价22540元/平米')
('', '保利海上五月花 4室2厅 468万', '保利海上五月花  | 4室2厅 | 137.66平米 | 南 | 其他', '高楼层(共6层)2016年建塔楼  -  环湖CBD', '468万', '单价33997元/平米')
('https://image1.ljcdn.com/340100-inspection/d4a9b4c5-8540-4025-ae4a-8130d8fdcdbe.jpg.296x216.jpg', '万科蓝山二期 3室2厅 265万', '万科蓝山二期  | 3室2厅 | 111.44平米 | 南 | 其他', '低楼层(共34层)塔楼  -  方兴', '265万', '单价23780元/平米')
('https://image1.ljcdn.com/340100-inspection/97609221-7109-42a2-9dc9-00e6ddff41e8.JPG.296x216.jpg', '万达茂东边户三房南北通透柯观巢湖另有地下产权车位', '万达揽湖苑  | 3室2厅 | 112平米 | 南 北 | 其他', '低楼层(共34层)2016年建板楼  -  环湖CBD', '226万', '单价20179元/平米')
('', '万科蓝山二期 精装修 带车位 看房子方便', '万科蓝山二期  | 3室2厅 | 93.37平米 | 南 | 其他', '低楼层(共33层)塔楼  -  方兴', '210万', '单价22492元/平米')
('https://image1.ljcdn.com/340100-inspection/d1bf2e00-50b5-4489-b198-6b77c24353e4.JPG.296x216.jpg', '万达开发品质公寓 比同户型报价低12万，业主诚心出售', '未来领地  | 2室1厅 | 74平米 | 东 | 其他', '低楼层(共23层)塔楼  -  环湖CBD', '58万', '单价7838元/平米')
('https://image1.ljcdn.com/340100-inspection/58848485-6492-4fce-9c1d-fc17df95189b.JPG.296x216.jpg', '高层湖景视野棒 交通便利大三房 房本以下诚心卖', '宝能城二期  | 3室2厅 | 124.08平米 | 南 | 其他', '中楼层(共33层)塔楼  -  环湖CBD', '235万', '单价18940元/平米')
('https://image1.ljcdn.com/340100-inspection/f36b1a89-506a-4e22-aee7-4a968b9c0140.jpg.296x216.jpg', '户型方正，三房两室朝南，单价较低，适合刚需', '琥珀瑞安家园  | 3室2厅 | 102平米 | 南 | 其他', '高楼层(共29层)2016年建塔楼  -  方兴', '188万', '单价18432元/平米')
('', '水丽坊自在城 3室2厅 145万', '水丽坊自在城  | 3室2厅 | 85平米 | 南 北 | 其他', '高楼层(共33层)塔楼  -  工业园', '145万', '单价17059元/平米')
('https://image1.ljcdn.com/340100-inspection/fa9ffac2-f280-4337-9220-309b09dfb77b.JPG.296x216.jpg', '亲湖苑C区 1室2厅 126万', '亲湖苑C区  | 1室2厅 | 81.33平米 | 南 | 其他', '低楼层(共29层)塔楼  -  环湖CBD', '126万', '单价15493元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload27ac47eb-3d35-4d34-9383-17431a60f3ec.jpg.296x216.jpg', '万科蓝山 中间户 无遮挡  全天采光 真实在售', '万科蓝山二期  | 3室1厅 | 93.74平米 | 南 | 其他', '低楼层(共41层)2015年建塔楼  -  方兴', '210万', '单价22403元/平米')
('https://image1.ljcdn.com/340100-inspection/33c21973-11bb-46a0-b0c5-efe0396db913.jpg.296x216.jpg', '蓝鼎滨湖假日清华园 3室2厅 185万', '蓝鼎滨湖假日清华园  | 3室2厅 | 84.21平米 | 南 | 其他', '高楼层(共33层)2011年建塔楼  -  滨湖世纪', '185万', '单价21969元/平米')
('https://image1.ljcdn.com/340100-inspection/04c3db2a-244f-40f2-bc3a-f378aaccf24c.jpg.296x216.jpg', '紧邻地铁，交通便利，万科物业，精装拎包即住', '万科蓝山一期  | 3室2厅 | 93.15平米 | 南 | 其他', '低楼层(共41层)2016年建塔楼  -  方兴', '220万', '单价23618元/平米')
('https://image1.ljcdn.com/340100-inspection/bc5e3f25-6482-4692-99f9-8ac4982ad932.JPG.296x216.jpg', '滨湖家园 3室1厅 200万', '滨湖家园  | 3室1厅 | 95.15平米 | 南 北 | 其他', '高楼层(共18层)2009年建塔楼  -  滨湖世纪', '200万', '单价21020元/平米')
('https://image1.ljcdn.com/340100-inspection/bec213ce-8db6-4b2a-84db-c6956ba5201e.jpg.296x216.jpg', '万科高品质小区，采光好，楼层好，视野开阔。诚心出售', '万科蓝山二期  | 3室2厅 | 112.02平米 | 南 | 其他', '高楼层(共34层)2015年建塔楼  -  方兴', '290万', '单价25889元/平米')
('https://image1.ljcdn.com/340100-inspection/70f3db56-8474-4b50-a689-42897dab5405.jpg.296x216.jpg', '未来领地 2室2厅 59万', '未来领地  | 2室2厅 | 73.92平米 | 东 | 其他', '高楼层(共26层)塔楼  -  环湖CBD', '59万', '单价7982元/平米')
('', '为你而选为你而家，刚需大两居 精装修 小区环境好', '皖都徽韵和锦园  | 2室2厅 | 85.84平米 | 南 | 其他', '低楼层(共18层)塔楼  -  工业园', '132万', '单价15378元/平米')
('https://image1.ljcdn.com/340100-inspection/0c667803-291b-49dd-8123-0787f59ac0b5.jpg.296x216.jpg', '高速时代城二期 3室2厅 187万', '高速时代城二期  | 3室2厅 | 93.19平米 | 南 | 其他', '低楼层(共33层)2015年建塔楼  -  方兴', '187万', '单价20067元/平米')
('https://image1.ljcdn.com/340100-inspection/7452082b-1e6c-4cd3-b09f-1997f5b4ef33.JPG.296x216.jpg', '万达临湖边户大三房，本报价包含一个产权车位!', '临湖苑B区  | 3室2厅 | 121.31平米 | 南 | 其他', '低楼层(共33层)2015年建塔楼  -  环湖CBD', '238万', '单价19620元/平米')
('', '东方蓝海全南两房，纯毛坯，楼层好，业主诚心出售', '东方蓝海三期  | 2室1厅 | 81平米 | 南 | 其他', '低楼层(共33层)2014年建塔楼  -  环湖CBD', '158万', '单价19507元/平米')
('https://image1.ljcdn.com/340100-inspection/1d2602a6-5e39-4be7-8951-3aa993fd7f9b.JPG.296x216.jpg', '东方蓝海六期 3室2厅 182万', '东方蓝海六期  | 3室2厅 | 98.64平米 | 南 北 | 其他', '低楼层(共33层)板塔结合  -  环湖CBD', '182万', '单价18451元/平米')
('https://image1.ljcdn.com/340100-inspection/3d9bf046-0a0f-4e3e-91dd-34b05852d079.jpg.296x216.jpg', '滨湖新地城 2室1厅 68万', '滨湖新地城  | 2室1厅 | 69.47平米 | 南 | 其他', '中楼层(共28层)板塔结合  -  滨湖世纪', '68万', '单价9789元/平米')
('https://image1.ljcdn.com/340100-inspection/b3e917fc-9047-491d-9e68-a2312119ccf1.JPG.296x216.jpg', '银河幸福广场 2室2厅 218万', '银河幸福广场  | 2室2厅 | 89.32平米 | 南 | 其他', '低楼层(共31层)暂无数据  -  方兴', '218万', '单价24407元/平米')
('', '包河花园建设小区 4室2厅 225万', '包河花园建设小区  | 4室2厅 | 166平米 | 南 北 | 其他', '中楼层(共6层)板楼  -  工业园', '225万', '单价13555元/平米')
('https://image1.ljcdn.com/340100-inspection/b7288b61-11e9-48af-95fd-e1fbca0f55fa.JPG.296x216.jpg', '亲湖苑A区 2室2厅 170万', '亲湖苑A区  | 2室2厅 | 86.62平米 | 南 | 其他', '中楼层(共34层)2016年建塔楼  -  环湖CBD', '170万', '单价19626元/平米')
('https://image1.ljcdn.com/340100-inspection/03744870-02fc-4fd2-bcb6-9490065544e0.JPG.296x216.jpg', '此房满五年，户型好 南北通透户型  业主 诚心出售', '蓝鼎观湖苑  | 2室2厅 | 87.01平米 | 南 北 | 其他', '低楼层(共33层)2010年建塔楼  -  滨湖世纪', '155万', '单价17815元/平米')
('https://image1.ljcdn.com/340100-inspection/8693fb5d-4f60-4b5f-87ce-ea4bd56b6db8.jpg.296x216.jpg', '《为您而选》东方蓝海边套大三居 采光好！！！', '东方蓝海四期  | 3室2厅 | 117平米 | 南 北 | 其他', '低楼层(共33层)2014年建板楼  -  环湖CBD', '220万', '单价18804元/平米')
