('https://image1.ljcdn.com/510100-inspection/test-0e6a4f62-2894-40e8-970c-2fd36b6d9f1b.png.296x216.jpg', '高新西区 中海国际 橙郡 装修房', '橙郡一期  | 2室2厅 | 89.68平米 | 南 | 其他 | 有电梯', '中楼层(共17层)2007年建板塔结合  -  中海国际', '145万', '单价16169元/平米')
('https://image1.ljcdn.com/510100-inspection/ecc932b8-cccb-4a49-bab6-a074f7d0d5a6.jpg.296x216.jpg', '恒大帝景全新精装公寓 可以直接*', '恒大帝景  | 1室0厅 | 33平米 | 东南 | 精装 | 有电梯', '低楼层(共32层)2014年建塔楼  -  高新西', '22万', '单价6667元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/b325572d-b47d-4fd0-bcf5-fb9f13d5f726.png.280x210.jpg', '中海国际社区橙郡 装修套一 朝南 不临街 满2年', '橙郡二期  | 1室1厅 | 46平米 | 南 | 其他 | 有电梯', '高楼层(共17层)2007年建板楼  -  中海国际', '88万', '单价19131元/平米')
('', '新希望皇冠国际 1室1厅 83万', '新希望皇冠国际  | 1室1厅 | 59.48平米 | 西北 | 其他', '高楼层(共7层)板楼  -  中海国际', '83万', '单价13955元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/5b955462-1638-42a1-a33e-5330fbbf4b52.png.280x210.jpg', '龙湖时代天街+精装+28平公寓', '龙湖时代天街  | 1室0厅 | 28平米 | 西北 | 其他 | 有电梯', '高楼层(共25层)2017年建板塔结合  -  高新西', '20.5万', '单价7322元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload2ba29f1a-3c80-4615-a818-465459008639.jpg.296x216.jpg', '上锦颐园佳境+低楼层+满两年+有装修', '上锦颐园佳境  | 1室1厅 | 49.62平米 | 东 | 其他 | 有电梯', '低楼层(共26层)2011年建板塔结合  -  高新西', '50万', '单价10077元/平米')
('https://image1.ljcdn.com/510100-inspection/112cd012-6d9d-423e-97e6-add61ab4c287.jpg.296x216.jpg', '橙郡二期标准车位出售 紧挨电梯口', '橙郡二期  | 车位 | 27.26平米 | 东南 | 无电梯', '2007年建板楼  -  中海国际', '10万', '单价3669元/平米')
('https://image1.ljcdn.com/510100-inspection/7b10deaa-94a3-47f1-b0a2-82a88a422643.jpg.296x216.jpg', '龙湖时代天街+开发商统一精装修+中间楼层', '龙湖时代天街  | 1室0厅 | 28平米 | 西南 | 其他 | 有电梯', '中楼层(共25层)2017年建板塔结合  -  高新西', '20.3万', '单价7250元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c851293b-c841-487a-b3a1-1ee199445155.png.296x216.jpg', '上锦颐园佳境+清水+中间楼层+不临街', '上锦颐园佳境  | 3室2厅 | 92平米 | 东南 | 其他 | 有电梯', '中楼层(共26层)2012年建板塔结合  -  高新西', '96万', '单价10435元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/0461ba69-2f3c-430c-875a-78a4744713fe.png.280x210.jpg', '上锦颐园佳境 套三 客厅带阳台 低楼层 清水', '上锦颐园佳境  | 3室2厅 | 91.3平米 | 西北 | 其他 | 有电梯', '低楼层(共26层)2012年建板塔结合  -  高新西', '100万', '单价10953元/平米')
('https://image1.ljcdn.com/510100-inspection/7b3e13df-7c0f-47eb-906a-da911e926023.jpg.296x216.jpg', '万景峰一期，带家具家电，有装修', '万景峰一期  | 3室2厅 | 81.75平米 | 西南 | 其他 | 有电梯', '低楼层(共33层)2012年建板楼  -  高新西', '112万', '单价13701元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload629ced1b-d1bc-41a8-89ec-4b97d111dab9.jpg.296x216.jpg', '房子装修保养还不错，分上下两户独立装修的，对中庭', '保利香槟国际  | 1室1厅 | 51.36平米 | 西南 | 其他 | 有电梯', '中楼层(共6层)2013年建板楼  -  中海国际', '70万', '单价13630元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7019538f-de36-4e8a-a3b1-1ceafc0c9614.png.296x216.jpg', '装修套三！对中庭！ 自住！家具家电齐全！满2年！！', '上锦颐园佳境  | 3室2厅 | 92.1平米 | 东 | 其他 | 有电梯', '高楼层(共26层)2012年建板塔结合  -  高新西', '102万', '单价11075元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4f2207e3-02c3-4ac4-94c3-aac5c048552f.png.296x216.jpg', '新希望皇冠国际，一梯两户，总高十层。', '新希望皇冠国际  | 4室2厅 | 160平米 | 南 北 | 其他', '中楼层(共10层)2015年建板楼  -  中海国际', '320万', '单价20000元/平米')
('https://image1.ljcdn.com/510100-inspection/85b33a76-7aee-44d9-aff6-83ab89148a30.JPG.296x216.jpg', '中海国际社区蓝岸 多层洋房有电梯 装修三房', '蓝岸B区  | 3室2厅 | 136.31平米 | 东 | 其他 | 有电梯', '中楼层(共6层)2007年建板楼  -  中海国际', '345万', '单价25310元/平米')
('', '龙城高新天地 1室1厅 33万', '龙城高新天地  | 1室1厅 | 39平米 | 东南 | 其他 | 有电梯', '中楼层(共15层)2015年建板塔结合  -  高新西', '33万', '单价8462元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/0c7a2297-7361-4a7d-af93-680f92b4423d.png.280x210.jpg', '万景峰一期+套三双卫+客厅有阳台+不临街+采光好', '万景峰一期  | 3室2厅 | 84.35平米 | 西南 | 其他 | 有电梯', '中楼层(共33层)2012年建板楼  -  高新西', '125万', '单价14820元/平米')
('https://image1.ljcdn.com/510100-inspection/test-fde0bd57-539c-49cc-9c88-eb995ac12dcc.png.296x216.jpg', '上锦颐园佳境 3室2厅 140万', '上锦颐园佳境  | 3室2厅 | 127平米 | 东南 | 其他 | 有电梯', '中楼层(共26层)2012年建板塔结合  -  高新西', '140万', '单价11024元/平米')
('https://image1.ljcdn.com/510100-inspection/73759c7f-c25d-4cbb-ab07-c9a7bced2625.jpg.296x216.jpg', '万景峰二期公寓上下两层水电气都通', '万景峰二期  | 2室0厅 | 38.3平米 | 东南 | 其他 | 有电梯', '中楼层(共17层)2012年建塔楼  -  高新西', '40万', '单价10444元/平米')
('https://image1.ljcdn.com/510100-inspection/e8967de0-00ae-4f48-8738-98d1d9d1b957.jpg.296x216.jpg', '中海国际橙郡三期小区 车位 清水 户型方正', '橙郡三期  | 车位 | 29.72平米 | 南 | 无电梯', '2007年建板楼  -  中海国际', '12万', '单价4038元/平米')
('https://image1.ljcdn.com/510100-inspection/58ef3bf4-5921-4107-8ec0-985dd4fc731a.jpg.296x216.jpg', '保利香槟国际，层高5.2米 ，精装修，看房方便', '保利香槟国际  | 2室1厅 | 44平米 | 西南 | 其他 | 有电梯', '中楼层(共9层)2013年建板楼  -  中海国际', '76万', '单价17273元/平米')
('https://image1.ljcdn.com/510100-inspection/c1a0b312-6f4f-4eb9-9091-ae5b5238733b.jpg.296x216.jpg', '林庭叠院 3室2厅 335万', '林庭叠院  | 3室2厅 | 140.26平米 | 南 | 其他 | 有电梯', '高楼层(共9层)2006年建板楼  -  中海国际', '335万', '单价23885元/平米')
('', '万景峰 上下两层公寓 居家装修 看房预约', '万景峰二期  | 2室0厅 | 39.19平米 | 东南 | 其他 | 有电梯', '中楼层(共17层)2012年建塔楼  -  高新西', '41万', '单价10462元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploadc9374716-1b9a-4d3e-9fab-974dcfab60d1.JPG.296x216.jpg', '皇冠国际 临河套四 装修房 产权在手', '新希望皇冠国际  | 4室2厅 | 160.36平米 | 东南 | 其他', '中楼层(共10层)2015年建板楼  -  中海国际', '398万', '单价24820元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6140866a-3785-4a83-b54b-3033cedbb198.png.296x216.jpg', '恒大帝景，开发商统一精装，套三双卫', '恒大帝景  | 3室2厅 | 128.24平米 | 西南 | 其他 | 有电梯', '低楼层(共29层)2016年建塔楼  -  高新西', '140万', '单价10918元/平米')
('https://image1.ljcdn.com/510100-inspection/e4f24f83-ffda-4726-b18f-88ee34cae612.jpg.296x216.jpg', '恒大帝景 开发商精装修 预约看房', '恒大帝景  | 1室0厅 | 35.87平米 | 南 | 其他 | 有电梯', '高楼层(共32层)2014年建塔楼  -  高新西', '23.5万', '单价6552元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3c6a8b73-1b54-4cd1-8b49-deb83f8789b7.png.296x216.jpg', '万景峰二期套三单卫户型，开发商统一装修，朝东北', '万景峰一期  | 3室2厅 | 78.81平米 | 东南 | 其他 | 有电梯', '中楼层(共33层)2012年建板楼  -  高新西', '110万', '单价13958元/平米')
('https://image1.ljcdn.com/510100-inspection/752d4782-1039-431e-8c1f-3dfff7841537.jpg.296x216.jpg', '金色海伦，套三单卫+有阳台+有装修+户型方正', '芙华金色海伦  | 3室2厅 | 92.4平米 | 西北 | 其他 | 有电梯', '低楼层(共10层)2010年建板楼  -  高新西', '128万', '单价13853元/平米')
('', '保利香槟国际 1室1厅 66万', '保利香槟国际  | 1室1厅 | 44平米 | 东南 | 其他 | 有电梯', '高楼层(共9层)2013年建板楼  -  中海国际', '66万', '单价15000元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/5528c41d-1ef8-4c5c-a0b1-95a4256c07ed.png.280x210.jpg', '套三单卫，客厅带阳台，满2年，没增值税', '上锦颐园  | 3室2厅 | 87.16平米 | 东南 | 其他 | 有电梯', '高楼层(共24层)2008年建板塔结合  -  高新西', '105万', '单价12047元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload8a8d4546-ac42-4891-a00a-c46101c314ef.jpg.296x216.jpg', '中间楼层 户型方正 有装修 标准套二', '上锦颐园佳境  | 2室1厅 | 86.21平米 | 东南 西南 | 其他 | 有电梯', '高楼层(共26层)2012年建板塔结合  -  高新西', '88万', '单价10208元/平米')
('https://image1.ljcdn.com/510100-inspection/a9f146f2-8a6a-4fd2-9e65-3dbf473ad784.jpg.296x216.jpg', '龙湖时代天街  +  标准套二公寓', '龙湖时代天街  | 2室1厅 | 87平米 | 南 | 其他 | 有电梯', '低楼层(共30层)2015年建板塔结合  -  高新西', '76万', '单价8736元/平米')
('https://image1.ljcdn.com/510100-inspection/6590fb76-82ac-4ebe-84ed-5dbcd970f582.jpg.296x216.jpg', '天街配套，商圈发达，流动人口多，业主诚心出售', '龙湖时代天街  | 1室0厅 | 91.61平米 | 南 | 其他 | 有电梯', '中楼层(共18层)2013年建塔楼  -  高新西', '81万', '单价8842元/平米')
('https://image1.ljcdn.com/510100-inspection/dccafda2-fe6b-48dc-b23a-f53cd5155ad0.jpg.296x216.jpg', '水电气三通 跃层公寓出售 拎包人住', '金辉悦府  | 2室2厅 | 46.82平米 | 南 | 其他 | 有电梯', '中楼层(共10层)2015年建塔楼  -  高新西', '60万', '单价12816元/平米')
('https://image1.ljcdn.com/510100-inspection/test-be218401-86e2-4937-8ed8-b770e4d1eb16.png.296x216.jpg', '成都合院二期套三户型+户型方正', '成都合院公园里  | 3室1厅 | 79平米 | 西北 | 其他 | 有电梯', '中楼层(共18层)2015年建板楼  -  高新西', '95万', '单价12026元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/aef0f3af-4b4f-4c00-b5c5-35d6ba327c89.png.280x210.jpg', '上锦颐园佳境套三有装修户型方正有家电', '上锦颐园佳境  | 3室1厅 | 98平米 | 西南 | 其他 | 有电梯', '低楼层(共26层)2012年建板塔结合  -  高新西', '126万', '单价12858元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/01ca6cca-d5a4-4668-9293-923fe4f0cb55.png.280x210.jpg', '上锦颐园佳境套三！！！上锦颐园佳境！！！！', '上锦颐园佳境  | 3室2厅 | 95.75平米 | 东南 | 其他 | 有电梯', '中楼层(共26层)2012年建板塔结合  -  高新西', '110万', '单价11489元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e115d54b-691f-4a18-a53b-5e940d570c2c.png.296x216.jpg', '套三单卫户型，客厅卧室共用L型阳台，采光充足', '万景峰一期  | 3室2厅 | 78.81平米 | 东北 | 其他 | 有电梯', '高楼层(共33层)2012年建板楼  -  高新西', '100万', '单价12689元/平米')
('https://image1.ljcdn.com/510100-inspection/test-33e72634-570e-4a24-801d-4c31eff7a986.png.296x216.jpg', '万景峰三室双卫！带L阳台！看中庭不临街！有家具家电', '万景峰一期  | 3室2厅 | 85.96平米 | 东北 | 其他 | 有电梯', '低楼层(共33层)2012年建板楼  -  高新西', '116万', '单价13495元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploadb6a52688-c1f8-4453-a07a-881847691d79.JPG.296x216.jpg', '橙郡三期，居家装修房源，房屋带空调地暖', '橙郡三期  | 3室2厅 | 140.59平米 | 南 | 精装 | 有电梯', '高楼层(共17层)2007年建板楼  -  中海国际', '370万', '单价26318元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6b69ea9a-e43f-423d-aa53-49101727caab.png.296x216.jpg', '成都市高新西区龙湖时代天街自持物业，龙湖品质.', '龙湖时代天街  | 3室2厅 | 119平米 | 东南 | 其他 | 有电梯', '中楼层(共30层)2015年建板塔结合  -  高新西', '160万', '单价13446元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload735230e7-7654-4d96-9353-1bfb517c66d5.JPG.296x216.jpg', '橙郡二期，居家装修套三，有家具家电，可拎包入住', '橙郡二期  | 3室2厅 | 89.22平米 | 东北 | 其他 | 有电梯', '低楼层(共17层)2007年建板楼  -  中海国际', '169万', '单价18942元/平米')
('', '保利香槟国际 1室1厅 66万', '保利香槟国际  | 1室1厅 | 43.44平米 | 东南 | 其他 | 有电梯', '高楼层(共9层)2013年建板楼  -  中海国际', '66万', '单价15194元/平米')
('', '顺江小区套二满两年高楼层采光好', '清源环街368号院  | 2室1厅 | 72.13平米 | 东南 | 其他 | 无电梯', '高楼层(共6层)暂无数据  -  高新西', '70万', '单价9705元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/7d49df77-f4d2-4a83-8b4d-3984f78d22eb.png.280x210.jpg', '恒大帝景 1室1厅 57万', '恒大帝景  | 1室1厅 | 49.05平米 | 东 | 其他 | 有电梯', '高楼层(共29层)2016年建塔楼  -  高新西', '57万', '单价11621元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload7a556e93-6c45-4ee4-b3ed-672716e7602d.jpg.296x216.jpg', '上锦颐园佳境+中间楼层+不临街+对中庭', '上锦颐园佳境  | 2室1厅 | 86.04平米 | 东南 | 其他 | 有电梯', '高楼层(共26层)2011年建板塔结合  -  高新西', '95万', '单价11042元/平米')
('https://image1.ljcdn.com/510100-inspection/ff4df649-47f6-411c-a430-68259a212b33.jpg.296x216.jpg', '低楼层，五连间打通的，带长期租约！', '保利香槟国际  | 1室1厅 | 45.54平米 | 东北 | 其他 | 有电梯', '低楼层(共9层)2013年建板楼  -  中海国际', '70万', '单价15372元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a818b026-e2b4-4fab-b6c0-919aada4e3d3.png.296x216.jpg', '芙华金色海伦 2室1厅 80万', '芙华金色海伦  | 2室1厅 | 64.56平米 | 西南 | 其他 | 有电梯', '中楼层(共11层)2010年建板楼  -  高新西', '80万', '单价12392元/平米')
('https://image1.ljcdn.com/510100-inspection/e1afda46-ecfb-4539-b03d-08eeae36d465.jpg.296x216.jpg', '万景峰一期，标准车位，标准车位', '万景峰一期  | 车位 | 27.74平米 | 东 东南 | 无电梯', '板楼  -  高新西', '10万', '单价3605元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/2919e273-92c7-45a7-9036-69722f90cba8.png.280x210.jpg', '龙湖时代天街+带装修公寓+高楼层视野好', '龙湖时代天街  | 1室0厅 | 48.79平米 | 东南 | 其他 | 有电梯', '高楼层(共30层)2015年建板塔结合  -  高新西', '34万', '单价6969元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/a3060af1-bb86-42ee-bcfd-4592f2661aff.png.280x210.jpg', '上锦颐园佳境套三+有装修+家具家电全带', '上锦颐园佳境  | 3室2厅 | 92平米 | 西北 | 其他 | 有电梯', '高楼层(共26层)2011年建板塔结合  -  高新西', '110万', '单价11957元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/207f38bc-cdff-4614-8d34-94c073a103c7.png.280x210.jpg', '万景峰二期跃层公寓，民用气。层高6米', '万景峰二期  | 2室2厅 | 38.64平米 | 东南 | 其他 | 有电梯', '中楼层(共17层)2012年建塔楼  -  高新西', '40.5万', '单价10482元/平米')
('https://image1.ljcdn.com/510100-inspection/a49849ae-9fb4-42c9-a3af-bb94d7d173ad.jpg.296x216.jpg', '龙城高新天地，水电气三通公寓，精装修，小区有超市；', '龙城高新天地  | 1室1厅 | 49.04平米 | 南 | 其他 | 有电梯', '中楼层(共15层)2015年建板塔结合  -  高新西', '48万', '单价9788元/平米')
('https://image1.ljcdn.com/510100-inspection/c8ff9245-fba0-4049-b6b1-6e5903a744d3.jpg.296x216.jpg', '两套打通居家装修，套四双卫现在改成民宿，总价160万', '保利香槟国际  | 2室2厅 | 63.19平米 | 东北 | 其他 | 有电梯', '高楼层(共10层)2013年建板楼  -  中海国际', '95万', '单价15035元/平米')
('', '蓝岸A区 车位 20万', '蓝岸A区  | 车位 | 28.04平米 | 北 | 无电梯', '2008年建暂无数据  -  中海国际', '20万', '单价7133元/平米')
('https://image1.ljcdn.com/510100-inspection/bf3ee7cb-51b2-4258-a198-c89036cdcc16.jpg.296x216.jpg', '龙湖时代天街4.9米层高公寓，采光好，交通便利', '龙湖时代天街  | 2室0厅 | 78.23平米 | 东南 | 其他 | 有电梯', '高楼层(共18层)2012年建板楼  -  高新西', '64万', '单价8182元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/a5510317-3363-4e50-9b34-33bbc5f0ce38.png.280x210.jpg', '装修自住房 看房提前预约 两梯6户', '橙郡二期  | 3室2厅 | 89.07平米 | 北 | 其他 | 有电梯', '低楼层(共17层)2007年建板楼  -  中海国际', '150万', '单价16841元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/14bf0125-7b8e-4379-b15f-fc955ee4e9a3.png.280x210.jpg', '龙城高新天地，有装修，有小区环境', '龙城高新天地  | 1室0厅 | 38.46平米 | 东南 | 其他 | 有电梯', '中楼层(共19层)2015年建塔楼  -  高新西', '32万', '单价8321元/平米')
('', '滨河春天居家装修出售，标准套一', '滨江苑  | 1室1厅 | 42.79平米 | 东南 | 其他 | 无电梯', '低楼层(共6层)板楼  -  高新西', '30.5万', '单价7128元/平米')
('https://image1.ljcdn.com/510100-inspection/afb92065-9007-4833-be8f-337a4d17f2f9.jpg.296x216.jpg', '楼栋位置好，前后不临街。户型正，采光好，未住过人。', '上锦颐园  | 2室1厅 | 81.63平米 | 东南 | 其他 | 有电梯', '低楼层(共24层)2008年建板塔结合  -  高新西', '90万', '单价11026元/平米')
('https://image1.ljcdn.com/510100-inspection/d5c38eda-a8f5-4e1a-92ba-ee5292fe2e05.jpg.296x216.jpg', '中海国际社区橙郡二期地下车位 满2年', '橙郡二期  | 车位 | 30.9平米 | 南 | 无电梯', '2007年建板楼  -  中海国际', '10万', '单价3237元/平米')
('https://image1.ljcdn.com/510100-inspection/ce9deef7-c5c4-422d-b449-38073564355b.jpg.296x216.jpg', '万景峰二期，上下两层，水电气三通', '万景峰二期  | 2室0厅 | 38.63平米 | 东北 | 其他 | 有电梯', '中楼层(共17层)2012年建塔楼  -  高新西', '42万', '单价10873元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1b79595f-96d6-4ca5-85bf-5e74528fde4d.png.296x216.jpg', '万景峰一期 4室1厅 125万', '万景峰一期  | 4室1厅 | 84.92平米 | 东 | 其他 | 有电梯', '低楼层(共33层)2012年建板楼  -  高新西', '125万', '单价14720元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/e84a3a7a-228d-4517-87aa-86bb3171018c.png.280x210.jpg', '龙湖时代天街+开发商精装修+成熟商圈', '龙湖时代天街  | 1室1厅 | 48.84平米 | 东南 | 其他 | 有电梯', '低楼层(共30层)2015年建板塔结合  -  高新西', '38万', '单价7781元/平米')
('', '上锦颐园佳境前后不临街户型方正', '上锦颐园佳境  | 1室1厅 | 69.63平米 | 东南 | 其他 | 有电梯', '中楼层(共26层)2012年建板塔结合  -  高新西', '76万', '单价10915元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e2259962-0c2f-427c-b0f0-a04aa076c800.png.296x216.jpg', '上锦颐园一期 装修房出售 客厅带阳台', '上锦颐园  | 3室2厅 | 89平米 | 东南 | 其他 | 有电梯', '低楼层(共27层)2008年建板塔结合  -  高新西', '90万', '单价10113元/平米')
('', '满两年中间楼层对中庭，产权清晰', '万景峰一期  | 3室1厅 | 82.14平米 | 东南 | 其他 | 有电梯', '高楼层(共33层)2012年建板楼  -  高新西', '106万', '单价12905元/平米')
('https://image1.ljcdn.com/510100-inspection/a109544c-91cf-44bc-95ae-81dd1159e27b.jpg.296x216.jpg', '两套打通居家装修，套四双卫，现在改成民宿，总价160', '保利香槟国际  | 2室2厅 | 43.41平米 | 东北 | 其他 | 有电梯', '高楼层(共10层)2013年建板楼  -  中海国际', '65万', '单价14974元/平米')
('https://image1.ljcdn.com/510100-inspection/5effcb76-6979-4d20-ae96-1f309219396f.jpg.296x216.jpg', '万景峰二期公寓现在跟旁边的一套打通了的！', '万景峰二期  | 2室0厅 | 40.32平米 | 东南 | 其他 | 有电梯', '中楼层(共17层)2012年建塔楼  -  高新西', '43万', '单价10665元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4924cfe0-2935-4fdb-a1e4-3e73574b3cdf.png.296x216.jpg', '芙华金色海伦 3室2厅 180万', '芙华金色海伦  | 3室2厅 | 112.35平米 | 南 | 其他 | 有电梯', '中楼层(共10层)2010年建板楼  -  高新西', '180万', '单价16022元/平米')
('', '龙湖时代天街 1室1厅 66.6万', '龙湖时代天街  | 1室1厅 | 74平米 | 南 | 其他 | 有电梯', '中楼层(共18层)2013年建塔楼  -  高新西', '66.6万', '单价9000元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/36aae63f-6207-497e-a06b-b5c906d88559.png.280x210.jpg', '中海国际 橙郡一期  装修套三出售', '橙郡一期  | 3室2厅 | 122.22平米 | 东南 | 其他 | 有电梯', '高楼层(共17层)2007年建板塔结合  -  中海国际', '220万', '单价18001元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/a008f8da-fee6-4eb2-8722-11ba04c5edc7.png.280x210.jpg', '上锦颐园清水三房，高楼层，客厅带阳台采光好', '上锦颐园  | 3室2厅 | 89.25平米 | 西南 | 其他 | 有电梯', '高楼层(共24层)2008年建板塔结合  -  高新西', '90万', '单价10085元/平米')
('https://image1.ljcdn.com/510100-inspection/test-91d2d7e1-f7c1-4ac4-be48-962a35a79221.png.296x216.jpg', '恒大帝景精装自住套二+带家具家电', '恒大帝景  | 2室2厅 | 89.28平米 | 东南 | 其他 | 有电梯', '低楼层(共30层)2014年建塔楼  -  高新西', '105万', '单价11761元/平米')
('https://image1.ljcdn.com/510100-inspection/ba86bc43-8c8f-4213-b4b3-d32813829992.jpg.296x216.jpg', '龙城高新天地 1室1厅 34万', '龙城高新天地  | 1室1厅 | 38.49平米 | 东南 | 其他 | 有电梯', '低楼层(共19层)2015年建塔楼  -  高新西', '34万', '单价8834元/平米')
('https://image1.ljcdn.com/510100-inspection/aca77e71-1117-441e-93cc-c23ad4aec9a9.jpg.296x216.jpg', '龙城高新天地 1室1厅 29万', '龙城高新天地  | 1室1厅 | 38.55平米 | 西北 | 其他 | 有电梯', '中楼层(共19层)2015年建塔楼  -  高新西', '29万', '单价7523元/平米')
('https://image1.ljcdn.com/510100-inspection/541d545d-2127-4466-8830-06659153e969.jpg.296x216.jpg', '和隔壁一套打通的，可以做办公室一起卖，总计120万。', '保利香槟国际  | 1室1厅 | 41平米 | 东南 | 其他 | 有电梯', '高楼层(共9层)2013年建板楼  -  中海国际', '60万', '单价14635元/平米')
('', '龙城高新天地清水套一，有小区环境，交通便利。', '龙城高新天地  | 1室1厅 | 36.69平米 | 东北 | 其他 | 有电梯', '中楼层(共19层)2015年建塔楼  -  高新西', '27万', '单价7359元/平米')
('', '滨江苑，标准套一，户型方正，对小区中庭', '滨江苑  | 1室1厅 | 41.75平米 | 西南 | 其他', '低楼层(共1层)暂无数据  -  高新西', '35万', '单价8384元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3cc1fea1-e1d5-448a-90c6-ec1dd76d6f0a.png.296x216.jpg', '中海国际橙郡一期优质大套三出售', '橙郡一期  | 3室2厅 | 129平米 | 南 | 其他 | 有电梯', '中楼层(共17层)2007年建板塔结合  -  中海国际', '245万', '单价18993元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8b7eb196-7caa-47b7-a872-3199a98c5eaf.png.296x216.jpg', '高新西区 中海国际 橙郡二期 装修房', '橙郡二期  | 3室2厅 | 89.05平米 | 西南 | 其他 | 有电梯', '低楼层(共17层)2007年建板楼  -  中海国际', '153万', '单价17182元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0f3c3ab0-19ea-46df-8edb-25e8549f4f18.png.296x216.jpg', '中海国际社区 橙郡一期 装修套二', '橙郡一期  | 2室2厅 | 89.78平米 | 东南 | 其他 | 有电梯', '中楼层(共17层)2007年建板塔结合  -  中海国际', '150万', '单价16708元/平米')
('https://image1.ljcdn.com/510100-inspection/2d047371-6108-49f9-89e1-65459a574cd8.jpg.296x216.jpg', '此房满2年，配套成熟，户型方正，水电气三通', '清源环街368号院  | 1室1厅 | 41.89平米 | 东南 | 其他 | 无电梯', '低楼层(共6层)暂无数据  -  高新西', '37万', '单价8833元/平米')
('https://image1.ljcdn.com/510100-inspection/25f112e5-1667-4291-a0aa-963d61f52c3d.JPG.296x216.jpg', '新希望皇冠国际 4室1厅 310万', '新希望皇冠国际  | 4室1厅 | 160.44平米 | 西北 | 毛坯', '低楼层(共10层)2015年建板楼  -  中海国际', '310万', '单价19322元/平米')
('https://image1.ljcdn.com/510100-inspection/2eaa202e-bd96-40e5-b1ef-985bc99c4f00.jpg.296x216.jpg', '橙郡二期 标准车位 房子已卖 单独产权', '橙郡二期  | 车位 | 30.9平米 | 西南 | 无电梯', '2007年建板楼  -  中海国际', '10万', '单价3237元/平米')
('', '高新西区 中海国际 标准车位 电梯直达', '橙郡三期  | 车位 | 29.67平米 | 东南 | 无电梯', '2007年建板楼  -  中海国际', '11万', '单价3708元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload3a808c57-3948-454a-96a0-84493ee55e03.JPG.296x216.jpg', '橙郡一期清水套三可变套四，对中庭，采光好', '橙郡一期  | 3室2厅 | 126.35平米 | 西 | 其他 | 有电梯', '低楼层(共17层)2007年建板塔结合  -  中海国际', '206万', '单价16304元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1b472ffc-087a-462a-9ba3-05e88eb51b32.png.296x216.jpg', '橙郡三期 装修房 套二 单卫 对小区中庭', '橙郡三期  | 2室2厅 | 89.36平米 | 北 | 简装 | 有电梯', '低楼层(共17层)2007年建板楼  -  中海国际', '162万', '单价18129元/平米')
('https://image1.ljcdn.com/510100-inspection/806d598c-aaad-4346-92c2-0865481bb2d7.jpg.296x216.jpg', '优质办公公寓临主路中楼层可改空间大', '保利香槟国际  | 2室1厅 | 45平米 | 东 | 其他 | 有电梯', '低楼层(共9层)2013年建板楼  -  中海国际', '66万', '单价14667元/平米')
('https://image1.ljcdn.com/510100-inspection/d6f1c3a5-4db4-44c0-8dda-a8fb84d5b81a.jpg.296x216.jpg', '公寓房，基本装修，适合出租办公，环境安静，户型通透', '保利香槟国际  | 1室1厅 | 45平米 | 南 | 其他 | 有电梯', '低楼层(共9层)2013年建板楼  -  中海国际', '60万', '单价13334元/平米')
