('https://image1.ljcdn.com/510100-inspection/test-3d5852f0-86d8-4c69-8ae2-daf982f8e004.png.296x216.jpg', '东润风尚标注套二，采光好，楼层好', '东润风尚  | 2室2厅 | 60.99平米 | 西南 | 简装 | 有电梯', '低楼层(共12层)2006年建塔楼  -  静居寺', '101万', '单价16561元/平米')
('https://image1.ljcdn.com/510100-inspection/test-dd314573-f355-42d7-80d9-74f1f96c609f.png.296x216.jpg', '锦江城市花园二期 小套二 简单装修', '锦江城市花园二期  | 2室1厅 | 46.79平米 | 东南 | 其他 | 有电梯', '低楼层(共34层)2010年建塔楼  -  三圣乡', '86万', '单价18380元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d91a6400-5b65-43e2-a67b-3c5a8e66f315.png.296x216.jpg', '和祥瑞苑客厅带露台，清水房，根据自己的风格装修。', '和祥瑞苑  | 2室2厅 | 88平米 | 东南 | 毛坯 | 有电梯', '低楼层(共17层)2008年建板塔结合  -  三圣乡', '156万', '单价17728元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d7226e42-7723-4acf-a3d6-beaf5e5f0562.png.296x216.jpg', '蓝谷地天域，套四双卫，户型方正。', '蓝谷地天域  | 4室2厅 | 121.98平米 | 南 | 其他 | 有电梯', '中楼层(共31层)2012年建塔楼  -  蓝谷地', '210万', '单价17216元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ae1456e2-5629-4242-92d9-843a267548df.png.296x216.jpg', '配套齐全出行，购物，娱乐一应俱全，简单装修套二', '忠烈祠东街30号  | 2室1厅 | 47.51平米 | 西北 | 其他', '高楼层(共6层)暂无数据  -  盐市口', '75万', '单价15787元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3af0430a-76ca-4f1c-83d4-c293b89ad896.png.296x216.jpg', '太升路+高楼层+户型方正+出行便利', '忠烈祠东街51号  | 2室1厅 | 56.97平米 | 北 | 其他', '高楼层(共7层)暂无数据  -  盐市口', '85万', '单价14921元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7d51647b-7131-417a-9425-18ade6c400bf.png.296x216.jpg', '锦江国际花园，套二带阳光房，改套三，有装修', '锦江国际花园  | 2室2厅 | 71.41平米 | 南 西南 | 其他 | 有电梯', '高楼层(共34层)2016年建塔楼  -  川师', '150万', '单价21006元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6b87272b-3aaa-411f-a614-0adc6b8db1a4.png.296x216.jpg', '锦馨家园套一，客厅正带阳台，有装修，带家具家电', '锦馨家园B区  | 1室1厅 | 51平米 | 东 | 简装 | 有电梯', '高楼层(共18层)2000年建板塔结合  -  琉璃场', '72万', '单价14118元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0bc15ffe-aeab-4193-afea-55be5613fe11.png.296x216.jpg', '恒大都汇华庭 朝东 精装标准两居室 带地暖', '恒大都汇华庭  | 2室1厅 | 88.58平米 | 东 | 其他 | 有电梯', '高楼层(共50层)2015年建板楼  -  合江亭', '335万', '单价37819元/平米')
('https://image1.ljcdn.com/510100-inspection/test-bd2e4a98-23e2-4f1d-a458-40d5a1361afa.png.296x216.jpg', '科技苑 套三 安静不临街 配套设施完善', '科技苑  | 3室2厅 | 77.31平米 | 南 | 简装 | 无电梯', '高楼层(共6层)板塔结合  -  盐市口', '225万', '单价29104元/平米')
('https://image1.ljcdn.com/510100-inspection/test-65972f88-3c60-43ee-a16f-bf92c89bb526.png.296x216.jpg', '比华利国际城一期套三户型，位置安静', '比华利国际城一期  | 3室2厅 | 104.28平米 | 西北 | 其他 | 有电梯', '高楼层(共26层)2008年建塔楼  -  川师', '186万', '单价17837元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2a3afe69-9124-46ad-bcf1-441611737713.png.296x216.jpg', '户型方正标准套二带大平台对中庭 安静宜居 带家具家电', '鑫苑名家二期  | 2室1厅 | 64.27平米 | 北 | 其他 | 有电梯', '低楼层(共40层)2012年建塔楼  -  卓锦城', '122万', '单价18983元/平米')
('https://image1.ljcdn.com/510100-inspection/b2f12fb6-2d10-4164-91cf-fe07c6e41dd9.jpg.296x216.jpg', '套五低楼层，采光好，对中庭看小区绿化', '天悦龙庭  | 5室2厅 | 196平米 | 南 | 其他 | 有电梯', '低楼层(共37层)2014年建板楼  -  琉璃场', '400万', '单价20409元/平米')
('https://image1.ljcdn.com/510100-inspection/test-77672a98-b578-4aa0-a6e8-fab0b1863d38.png.296x216.jpg', '镏金岁月电梯套一，有阳台，有家具', '镏金岁月  | 1室2厅 | 53.54平米 | 北 | 其他 | 有电梯', '低楼层(共33层)2010年建板楼  -  攀成钢', '150万', '单价28017元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f9e1996c-fc8c-4c98-b760-7fb953609690.png.296x216.jpg', '经天路6号院标准套一出售，中间楼层', '经天路6号  | 1室1厅 | 55.06平米 | 西南 | 其他', '中楼层(共7层)1998年建板楼  -  琉璃场', '73万', '单价13259元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8a36d18c-f981-4f6a-a2b6-2463cd4bc57c.png.296x216.jpg', '顺江路标准套二，业主换置新房。看房预约。', '顺江路17号  | 2室1厅 | 56.98平米 | 南 | 其他 | 无电梯', '低楼层(共6层)2000年建板楼  -  九眼桥', '90万', '单价15796元/平米')
('https://image1.ljcdn.com/510100-inspection/51d034b6-15f3-43ea-b4e0-b633c84ea853.JPG.296x216.jpg', '华都美林湾套二自住有装，修家具家电齐全，拎包入住。', '华都美林湾  | 2室2厅 | 89.66平米 | 东南 | 其他 | 有电梯', '低楼层(共30层)2012年建塔楼  -  三圣乡', '172万', '单价19184元/平米')
('https://image1.ljcdn.com/510100-inspection/test-aebf4131-761d-4dd3-8168-f5d7a148a012.png.296x216.jpg', '位蓝谷地天域  小套三  对中庭 精装修', '蓝谷地天域  | 3室2厅 | 86.24平米 | 东北 | 其他 | 有电梯', '高楼层(共34层)2010年建塔楼  -  蓝谷地', '165万', '单价19133元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8faa37aa-8691-484a-9866-a894d417072c.png.296x216.jpg', '天涯庭苑，标准套三双卫，对中庭，户型方正。', '天涯庭苑  | 3室1厅 | 124.22平米 | 南 | 其他', '中楼层(共18层)2006年建塔楼  -  红星路', '325万', '单价26164元/平米')
('https://image1.ljcdn.com/510100-inspection/815fc27c-574f-4adc-a43e-4dfa194a1535.jpg.296x216.jpg', '翡翠城四期 小套三 安静对中庭 采光视野好 看房方便', '翡翠城四期  | 3室1厅 | 88.1平米 | 东南 | 精装 | 有电梯', '高楼层(共30层)2009年建板楼  -  东湖', '230万', '单价26107元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f2e7c366-010a-423c-a750-8afbbbebd1cc.png.296x216.jpg', '东光街11号，中楼层，位置安静。户型方正', '东光街11号  | 2室2厅 | 84.79平米 | 南 | 其他 | 无电梯', '中楼层(共7层)1999年建板楼  -  静居寺', '118万', '单价13917元/平米')
('https://image1.ljcdn.com/510100-inspection/f9843292-3549-4e6c-bcd1-bb1315ad403b.jpg.296x216.jpg', '望江水岸  套四出售  有装修', '望江水岸  | 4室1厅 | 151.7平米 | 东南 | 其他 | 有电梯', '中楼层(共31层)2010年建塔楼  -  沙河堡', '385万', '单价25380元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload7a67b48e-d76a-4ac1-adf7-6f8be46bdc2b.jpg.296x216.jpg', '套二带一个书房，朝向西北，采光良好，户型方正', '锦江城市花园三期  | 2室1厅 | 58.05平米 | 西北 | 其他 | 有电梯', '低楼层(共34层)2011年建板塔结合  -  三圣乡', '128万', '单价22050元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload7679d2b4-31a1-44db-b326-13dd31325df0.jpg.296x216.jpg', '翡翠城套二 居家自住装修 看房预约', '翡翠城四期  | 2室2厅 | 88.86平米 | 东南 | 精装 | 有电梯', '高楼层(共30层)2009年建板塔结合  -  东湖', '248万', '单价27910元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload99d109bf-cd1e-41c4-9034-872bf762f441.jpg.296x216.jpg', '翡翠城四期，套三 居家装修自住', '翡翠城四期  | 3室1厅 | 88.1平米 | 西 | 精装 | 有电梯', '高楼层(共30层)2009年建板楼  -  东湖', '242万', '单价27469元/平米')
('https://image1.ljcdn.com/510100-inspection/ceb65d1f-a2c5-471b-aa8d-ffba709af0b8.jpg.296x216.jpg', '鑫苑名家二期套二带装修 空置 入住方便', '鑫苑名家二期  | 2室1厅 | 64平米 | 东南 | 简装 | 有电梯', '中楼层(共34层)2012年建板楼  -  卓锦城', '125万', '单价19532元/平米')
('https://image1.ljcdn.com/510100-inspection/test-cba2b489-facd-4a5c-8dce-a1e4ccf6f66a.png.296x216.jpg', '青龙正街100号，套二，家具家电全带', '龙井苑  | 2室1厅 | 89.95平米 | 南 | 简装', '中楼层(共7层)2007年建板楼  -  合江亭', '150万', '单价16676元/平米')
('https://image1.ljcdn.com/510100-inspection/test-aa539753-9953-4e5c-bc21-84562f06660c.png.296x216.jpg', '晶蓝半岛中间楼层 南北通透 主卧对中庭 朝东南 精装修', '晶蓝半岛二期  | 3室2厅 | 124.09平米 | 西北 | 精装 | 有电梯', '中楼层(共24层)2008年建板塔结合  -  九眼桥', '350万', '单价28206元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f94a0364-cef4-4c5d-b004-6b723f007ecc.png.296x216.jpg', '户型方正，带入户花园，采光视野好，有装修,', '蓝光凯丽香江  | 3室2厅 | 104.75平米 | 南 | 简装 | 有电梯', '中楼层(共42层)2009年建板塔结合  -  琉璃场', '223万', '单价21289元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f7917aff-8595-46f1-baa5-0ec66ad7a371.png.296x216.jpg', '精装小套二 大阳台保养好 对中庭很安静', '锦江城市花园一期  | 2室1厅 | 67.31平米 | 西北 | 精装 | 有电梯', '高楼层(共34层)2009年建塔楼  -  三圣乡', '127万', '单价18868元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0cb47c97-09b4-4091-a85f-809fbb30f4e0.png.296x216.jpg', '位置好，低楼层，安静。无增值税', '旭通桂香居  | 2室2厅 | 96平米 | 东南 | 其他 | 有电梯', '低楼层(共18层)2005年建塔楼  -  沙河堡', '165万', '单价17188元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a197960e-824a-4507-a33a-a03df01381a3.png.296x216.jpg', '华都美林湾套一单卫带阳台对中庭', '华都美林湾  | 1室1厅 | 55.72平米 | 东南 | 简装 | 有电梯', '高楼层(共30层)2012年建塔楼  -  三圣乡', '113万', '单价20280元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4b760963-75df-4d22-8971-875d77530068.png.296x216.jpg', '校园春天 3室2厅 172万', '校园春天  | 3室2厅 | 93平米 | 南 | 其他 | 无电梯', '中楼层(共6层)2004年建板楼  -  川师', '172万', '单价18495元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a804edeb-dde5-4322-805a-9726a4fce41b.png.296x216.jpg', '鑫苑二期有装修的套二 东南朝向 采光好', '鑫苑名家二期  | 2室2厅 | 77.96平米 | 东南 | 精装 | 有电梯', '高楼层(共34层)2012年建塔楼  -  卓锦城', '155万', '单价19882元/平米')
('https://image1.ljcdn.com/510100-inspection/5d165734-42f1-46a0-9179-e026334f3fd1.jpg.296x216.jpg', '王家坝街小区 标准套二  装修保养好  房东自住', '王家坝街1号  | 2室2厅 | 70.97平米 | 南 | 其他', '高楼层(共6层)板楼  -  合江亭', '155万', '单价21841元/平米')
('https://image1.ljcdn.com/510100-inspection/test-24fcbd1d-8cf7-4612-82c4-4ce5650fc010.png.296x216.jpg', '星城银座 复式两室 户型方正 通天然气', '星城银座  | 2室1厅 | 87.4平米 | 西南 | 其他 | 有电梯', '中楼层(共11层)2003年建板楼  -  合江亭', '190万', '单价21740元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e7b98708-abf5-4ad1-9bba-3398e62cdc8b.png.296x216.jpg', '东光街5号    两室一厅一厨一卫', '东光街5号  | 2室1厅 | 77.37平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1999年建板楼  -  静居寺', '110万', '单价14218元/平米')
('https://image1.ljcdn.com/510100-inspection/test-78ae5fbb-967b-4cb7-bce7-3a69abda8e40.png.296x216.jpg', '锦江·三圣乡 洪河商圈 套三 有装修', '东洪广厦  | 3室2厅 | 89.69平米 | 东北 | 精装 | 有电梯', '中楼层(共32层)2012年建板楼  -  三圣乡', '163万', '单价18174元/平米')
('https://image1.ljcdn.com/510100-inspection/test-06c44a70-6dad-405e-9d10-99e3d7baa9d1.png.296x216.jpg', 'ICC天曜套二  户型方正  朝中庭', 'ICC天曜  | 2室2厅 | 103.06平米 | 北 | 其他 | 有电梯', '中楼层(共39层)2015年建板楼  -  东大路', '285万', '单价27654元/平米')
('https://image1.ljcdn.com/510100-inspection/0ec8c4ba-ac0f-4334-9513-7fb2140d5966.jpg.296x216.jpg', '标准套三带阳台，房子目前出租状态，看房提前预约', '金海岸公寓  | 3室2厅 | 109.21平米 | 东北 | 其他 | 有电梯', '高楼层(共25层)2001年建塔楼  -  合江亭', '200万', '单价18314元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8a24082f-501a-412e-b8fa-f1b65295dae5.png.296x216.jpg', '江东民居一区，标准套二，居家装修', '江东民居一区  | 2室2厅 | 71.97平米 | 南 | 其他', '中楼层(共7层)板楼  -  攀成钢', '135万', '单价18758元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload92b6a100-be70-416f-963d-c6407c673ce2.jpg.296x216.jpg', '翡翠城四期 标准套一 安静不临街 有装修', '翡翠城四期  | 1室1厅 | 50.73平米 | 东 | 简装 | 有电梯', '中楼层(共30层)2009年建板楼  -  东湖', '125万', '单价24641元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f36d376f-136a-4c8d-b0ae-30d0b149a4f5.png.296x216.jpg', '朝向东 套二户型 居家装修温馨实用 保养好', '锦江城市花园一期  | 2室2厅 | 88.9平米 | 东 | 其他 | 有电梯', '高楼层(共34层)2009年建塔楼  -  三圣乡', '166万', '单价18673元/平米')
('https://image1.ljcdn.com/510100-inspection/test-64c718b9-7e20-46fb-b608-3b3abffbaffb.png.296x216.jpg', '房子是标准套三双卫双阳台，住家装修', '雕墅  | 3室2厅 | 102.96平米 | 东南 | 简装 | 有电梯', '高楼层(共33层)2007年建板塔结合  -  盐市口', '368万', '单价35743元/平米')
('https://image1.ljcdn.com/510100-inspection/31286550-ce44-4865-95bf-15f38fd3664a.jpg.296x216.jpg', '万科套四双卫 上面一层不算产权面积，不临街 有装修', '万科城市花园  | 4室2厅 | 107.45平米 | 东南 南 | 其他 | 无电梯', '高楼层(共6层)2007年建板楼  -  川师', '350万', '单价32574元/平米')
('https://image1.ljcdn.com/510100-inspection/dd5d81eb-e25d-4414-87ff-bbbbaa73ab4f.jpg.296x216.jpg', '康郡叠拼别墅有装修有地下室四个卧室', '康郡   | 联排别墅 | 4室2厅 | 181.1平米 | 东 | 其他 | 无电梯', '4层2006年建暂无数据  -  东光小区', '550万', '单价30370元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4db4678f-202c-4453-bd76-9dbbf9924214.png.296x216.jpg', '鑫苑名家一期，新青年公寓，有阳台', '鑫苑名家一期  | 1室1厅 | 41平米 | 东南 | 其他 | 有电梯', '高楼层(共35层)2011年建板塔结合  -  卓锦城', '37万', '单价9025元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f92ac7ba-e4f4-433d-ae39-894e42178395.png.296x216.jpg', '紫东锦源，清水套二，中高楼层。', '紫东锦源  | 2室2厅 | 77.55平米 | 东 | 其他 | 有电梯', '高楼层(共25层)2010年建板塔结合  -  琉璃场', '145万', '单价18698元/平米')
('https://image1.ljcdn.com/510100-inspection/test-69decf6c-5ce1-4b79-8ba0-bf3251529633.png.296x216.jpg', '锦馨套二户型方正，明厨明卫，户型方正，看房方便', '锦馨家园B区  | 2室2厅 | 85.38平米 | 东 | 精装 | 有电梯', '高楼层(共18层)2000年建板塔结合  -  琉璃场', '120万', '单价14055元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploadd4578114-84b1-4831-836b-e5494a49b727.jpg.296x216.jpg', '上东锦城套三  居家装修 客厅带阳台', '上东锦城A区  | 3室2厅 | 89.19平米 | 东南 | 其他 | 有电梯', '低楼层(共34层)2008年建板楼  -  蓝谷地', '135万', '单价15137元/平米')
('https://image1.ljcdn.com/510100-inspection/test-30e742ae-3dd1-4731-875f-5e330485541b.png.296x216.jpg', '锦洲花园套二简单装修 出租的提前预约看房', '锦洲花园  | 2室1厅 | 71平米 | 西 | 其他 | 无电梯', '高楼层(共6层)2004年建板楼  -  三官堂', '126万', '单价17747元/平米')
('https://image1.ljcdn.com/510100-inspection/test-fc70d261-6584-408a-9357-0bc2dc8832fc.png.296x216.jpg', '梓潼桥西街小区+低楼层+无遮挡采光好', '梓潼桥西街20号  | 3室1厅 | 83.37平米 | 南 | 其他', '低楼层(共6层)2000年建板楼  -  盐市口', '150万', '单价17993元/平米')
('https://image1.ljcdn.com/510100-inspection/adcf8274-9e27-46e5-b9ea-1074c88921df.jpg.296x216.jpg', '望江嘉苑顶跃带双花园套四双卫前后对中庭', '望江嘉苑  | 4室2厅 | 177.46平米 | 东北 | 其他 | 无电梯', '高楼层(共6层)2003年建板楼  -  三官堂', '346万', '单价19498元/平米')
('https://image1.ljcdn.com/510100-inspection/test-bf35607a-04ab-45de-bd98-d725d4b277f2.png.296x216.jpg', '都市驿站套一户型可以看房欢迎来电', '都市驿站  | 1室1厅 | 49.13平米 | 东南 | 其他 | 有电梯', '高楼层(共13层)2003年建板塔结合  -  盐市口', '125万', '单价25443元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b5e99ae5-5e9a-419f-ac4e-c7068e280901.png.296x216.jpg', '红星国际小户型 对中庭朝南采光好', '红星国际  | 1室0厅 | 48.86平米 | 南 | 其他 | 有电梯', '低楼层(共34层)2012年建塔楼  -  红星路', '135万', '单价27630元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f25d8687-702e-4259-b8e4-8ee78b8ab1dc.png.296x216.jpg', '锦江区三环内，电梯大户型套三双卫户型', '领域  | 3室2厅 | 122.19平米 | 东南 | 其他 | 有电梯', '低楼层(共11层)2005年建板楼  -  蓝谷地', '200万', '单价16368元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e4b86ae5-0cb1-44fc-9a10-621ff3106a56.png.296x216.jpg', '蜀都花园 套三双卫 对马路 中间楼层', '蜀都花园  | 3室1厅 | 127.19平米 | 东南 | 其他 | 有电梯', '高楼层(共18层)2003年建板楼  -  水碾河', '232万', '单价18241元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c6aadf9f-9e8f-4b8b-a5fa-5850477bf69a.png.296x216.jpg', '七家巷小区 两室两厅明厨明卫 一梯一户', '七家巷8号  | 2室2厅 | 56.72平米 | 东 | 其他', '中楼层(共7层)板塔结合  -  盐市口', '86万', '单价15163元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d79f40cc-2055-42c2-8995-e743dcffbe6b.png.296x216.jpg', '合江亭东升街18号标准套三中间楼层', '东升街18号  | 3室1厅 | 55.33平米 | 东 | 其他', '中楼层(共7层)板楼  -  合江亭', '112万', '单价20243元/平米')
('https://image1.ljcdn.com/510100-inspection/2d306cef-8bd2-4bf1-8aae-427fe3e1f44a.jpg.296x216.jpg', '锦海国际花园 小区出门就是太古里 跃层套三 双卫', '锦海国际花园  | 3室2厅 | 151.68平米 | 东南 | 其他 | 有电梯', '低楼层(共24层)2003年建塔楼  -  合江亭', '298万', '单价19647元/平米')
('https://image1.ljcdn.com/510100-inspection/164a76d8-5633-485c-8e12-2b2ad7ae21f5.jpg.296x216.jpg', '幸福里小套三  居家装修  有家具家电', '华润幸福里一期  | 3室2厅 | 82.84平米 | 东北 | 其他 | 有电梯', '高楼层(共32层)2014年建板塔结合  -  川师', '215万', '单价25954元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5989eb33-f517-4683-8ce8-84b750456565.png.296x216.jpg', '锦江城市花园二期   小套二  赠送面积大', '锦江城市花园二期  | 2室2厅 | 51.88平米 | 东南 | 其他 | 有电梯', '低楼层(共34层)2010年建塔楼  -  三圣乡', '96万', '单价18505元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2696b073-c585-454c-94f6-adf1bfd2c1c7.png.296x216.jpg', '东晶丽苑套三单卫，低楼层，交通便利', '东晶丽苑  | 3室2厅 | 98.68平米 | 东南 | 其他 | 有电梯', '低楼层(共18层)2006年建板楼  -  琉璃场', '146万', '单价14796元/平米')
('https://image1.ljcdn.com/510100-inspection/test-dba0bdde-2076-4c35-8c6d-f9336f549a37.png.296x216.jpg', '蓝润锦江春天标准套三，自住装修，保养好', '蓝润锦江春天  | 3室2厅 | 85平米 | 西北 | 精装 | 有电梯', '高楼层(共27层)2016年建板楼  -  三圣乡', '177万', '单价20824元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c8a3980d-b451-45a1-b0ae-3932c6662352.png.296x216.jpg', '义学仁家套二  多层走楼梯  满两年', '义学仁家  | 2室1厅 | 82.59平米 | 东 | 其他 | 无电梯', '中楼层(共7层)板楼  -  合江亭', '170万', '单价20584元/平米')
('https://image1.ljcdn.com/510100-inspection/71be816a-d482-4b25-b76b-5fa13cee4e63.jpg.296x216.jpg', '总府路总府大厦261平带装修写字楼出售单价11000', '总府时代  | 1室1厅 | 261.79平米 | 东 | 其他 | 有电梯', '高楼层(共28层)2016年建塔楼  -  盐市口', '235.7万', '单价9000元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploadf499b552-748b-48ad-ba30-ebcbd35e6bf2.jpg.296x216.jpg', '铜井巷9号小区，套三户型好，有装修，带阳台。', '铜井巷9号  | 3室2厅 | 126平米 | 南 北 | 其他 | 无电梯', '低楼层(共7层)1988年建板楼  -  合江亭', '210万', '单价16667元/平米')
('https://image1.ljcdn.com/510100-inspection/8cf9fea9-ea83-41ef-bbe0-965d6192181e.jpg.296x216.jpg', '四海逸家四期，C2户型，居家装修看公园', '锦江逸家  | 3室2厅 | 74.4平米 | 东南 | 其他 | 有电梯', '低楼层(共33层)2015年建板楼  -  卓锦城', '195万', '单价26210元/平米')
('https://image1.ljcdn.com/510100-inspection/test-40a7dcbb-b0c7-43f0-97e9-04ae91247299.png.296x216.jpg', '江东民居套一 居家装修 随时看房', '江东民居一区  | 1室1厅 | 53.71平米 | 南 | 其他', '中楼层(共7层)板楼  -  攀成钢', '100万', '单价18619元/平米')
('https://image1.ljcdn.com/510100-inspection/test-adb34f16-29e2-48e4-9b2a-9381a13f4bb2.png.296x216.jpg', '标准套二，清水房，可以自己装修自己喜欢的风格', '合能锦城  | 2室2厅 | 64.24平米 | 东南 | 毛坯 | 有电梯', '中楼层(共32层)2015年建板楼  -  三圣乡', '115万', '单价17902元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b5a267db-3773-49ce-99d9-3ebad70d03df.png.296x216.jpg', '大地城市脉搏 套二 双面采光 出行方便', '大地城市脉搏  | 2室1厅 | 72.08平米 | 东 | 其他 | 有电梯', '中楼层(共20层)2004年建板楼  -  盐市口', '179万', '单价24834元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a324dae7-364e-4912-9ed6-5e84e0bca6bf.png.296x216.jpg', '华韵天府装修套三 东北朝向 视野不错', '华韵天府  | 3室2厅 | 71.9平米 | 东北 | 精装 | 有电梯', '高楼层(共39层)2013年建塔楼  -  三圣乡', '180万', '单价25035元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1c0c9915-aaf1-4b98-893b-a08ea04543d4.png.296x216.jpg', '此房为万科套二走廊带衣柜的户型，开发商装修。', '万科金润华府  | 2室2厅 | 65.31平米 | 南 | 其他 | 有电梯', '高楼层(共35层)2012年建塔楼  -  沙河堡', '175万', '单价26796元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2de5f94f-6b7b-4a4c-9ea4-cbdceb08b08b.png.296x216.jpg', '优质小区滨江公寓低楼层套三双卫，户型方正采光好', '滨江公寓  | 3室1厅 | 103.55平米 | 西 | 其他 | 无电梯', '低楼层(共7层)1999年建板楼  -  盐市口', '292万', '单价28199元/平米')
('https://image1.ljcdn.com/510100-inspection/test-45d67183-356a-4e7a-b7eb-974a76493849.png.296x216.jpg', '橡树林看河套二 业主诚心 户型好 精装修随时看赠送多', '望江橡树林一期  | 2室1厅 | 88.12平米 | 西 | 精装 | 有电梯', '高楼层(共33层)2009年建板塔结合  -  三官堂', '237万', '单价26896元/平米')
('https://image1.ljcdn.com/510100-inspection/test-38683a43-7073-4d35-b465-38b76376b02c.png.296x216.jpg', '锦江区上锦美地+一环内电梯房+住家装修+交通便利', '上锦美地  | 1室1厅 | 53.41平米 | 西南 | 其他 | 有电梯', '中楼层(共41层)2009年建塔楼  -  红星路', '115万', '单价21532元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0256a580-892d-45f3-b4d5-039640fd8d91.png.296x216.jpg', '美林湾标间 带飘窗 对中庭 有装修', '华都美林湾  | 1室0厅 | 36.56平米 | 南 | 其他 | 有电梯', '高楼层(共33层)2012年建塔楼  -  三圣乡', '68万', '单价18600元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b3323aa3-2785-44b1-8c4c-58fe7b9af2fe.png.296x216.jpg', '紫东梵谷二期中间楼层标准套一户型通透', '紫东梵谷二期  | 1室1厅 | 60.91平米 | 东南 | 其他 | 有电梯', '中楼层(共11层)2009年建板楼  -  蓝谷地', '96万', '单价15761元/平米')
('https://image1.ljcdn.com/510100-inspection/test-37456e4c-d66d-47d6-b8d8-1382966ecf0d.png.296x216.jpg', '套二单卫 户型方正  精装未住人 没有贷款', '中粮鸿云  | 2室1厅 | 65平米 | 东南 | 其他 | 有电梯', '中楼层(共40层)2017年建塔楼  -  东大路', '220万', '单价33847元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4ae7de6a-60df-49b1-8efd-6d1bd3b7082d.png.296x216.jpg', '居家小套二 紧凑实用 拎包入住', '锦江城市花园二期  | 2室1厅 | 51平米 | 东北 | 其他 | 有电梯', '中楼层(共34层)2010年建塔楼  -  三圣乡', '98万', '单价19216元/平米')
('https://image1.ljcdn.com/510100-inspection/test-dc300773-da82-4f58-9198-27a59501d7e5.png.296x216.jpg', '有装修套二，户型方正，带家具家电', '东方丽景  | 2室2厅 | 72.13平米 | 西北 | 其他 | 无电梯', '中楼层(共6层)2008年建板楼  -  蓝谷地', '85万', '单价11785元/平米')
('https://image1.ljcdn.com/510100-inspection/test-758da5be-bbc4-4922-a3d6-01482af2b438.png.296x216.jpg', '俊发星雅俊园 套三双卫 精装修', '俊发星雅俊园  | 3室1厅 | 87.75平米 | 东南 | 其他 | 有电梯', '高楼层(共33层)2015年建塔楼  -  三圣乡', '201万', '单价22906元/平米')
('https://image1.ljcdn.com/510100-inspection/test-cb4eefea-d7b9-4c63-b281-3cb9b9388284.png.296x216.jpg', '都市公寓+多层套二+住家装修+可地面停车', '都市公寓  | 2室1厅 | 91.39平米 | 南 | 其他 | 无电梯', '中楼层(共7层)1999年建板楼  -  合江亭', '185万', '单价20243元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b9d837a7-b2ac-457b-8018-322a4e38589f.png.296x216.jpg', '阳光新业 带装修套二 业主自住 预约可以看房', '阳光新业中心  | 2室2厅 | 87.92平米 | 东北 | 其他 | 有电梯', '高楼层(共31层)2014年建板塔结合  -  合江亭', '249万', '单价28322元/平米')
