('https://image1.ljcdn.com/320100-inspection/6a8ca2d2-a17a-4f9a-afb2-877985baded6.jpg.296x216.jpg', '南邮旁 新空毛坯 通透大三房 中间楼层 报价含车位', '诚品城  | 3室1厅 | 99.02平米 | 南 北 | 毛坯 | 无电梯', '中楼层(共5层)2009年建板楼  -  仙林', '285万', '单价28783元/平米')
('https://image1.ljcdn.com/320100-inspection/9375e61a-2970-428b-8e5d-931adcafb5ab.jpg.296x216.jpg', '南北通透 前排无遮挡 万科品质物业', '万科金色领域  | 3室2厅 | 89平米 | 南 | 其他 | 有电梯', '低楼层(共18层)2013年建板楼  -  仙林', '300万', '单价33708元/平米')
('https://image1.ljcdn.com/320100-inspection/fe266ed8-8275-4d87-8e43-d5b00ffb6a99.jpg.296x216.jpg', '品质小区 花园洋房 精装正四居 南北通透  业主急售！', '紫金上林苑  | 4室1厅 | 143.79平米 | 南 北 | 其他 | 有电梯', '中楼层(共5层)2010年建板楼  -  马群', '485万', '单价33730元/平米')
('https://image1.ljcdn.com/320100-inspection/74c85e60-80c0-42d3-9b87-b00ed9d915b2.jpg.296x216.jpg', '天悦花园大三房，装修好送楼层。', '天悦花园  | 3室2厅 | 110平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2003年建板楼  -  马群', '305万', '单价27728元/平米')
('https://image1.ljcdn.com/320100-inspection/7015ce88-d246-4203-b7da-5498db08fedb.jpg.296x216.jpg', '此房带装修 小区环境优美 带电梯 物业管理好', '保利罗兰香谷  | 3室2厅 | 99.16平米 | 南 北 | 精装 | 有电梯', '低楼层(共18层)2014年建板塔结合  -  仙林', '348万', '单价35095元/平米')
('https://image1.ljcdn.com/320100-inspection/674b95f8-accc-4cfb-821d-885e5e7f8f13.jpg.296x216.jpg', '两房朝南 精装修 采光好 交通便利', '亚东城西区  | 2室2厅 | 96.3平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2009年建塔楼  -  仙林', '323万', '单价33542元/平米')
('https://image1.ljcdn.com/320100-inspection/a98831e5-ba23-4832-9e69-67816cd4efb9.jpg.296x216.jpg', '此房是六楼带阁楼户型方正采光好居家装修拎包入住', '方园兰庭  | 3室2厅 | 145.91平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2003年建板楼  -  迈皋桥', '360万', '单价24673元/平米')
('https://image1.ljcdn.com/320100-inspection/ed020cd1-8f30-44a5-be47-6a29ea702b5e.jpg.296x216.jpg', '仙林栖园地铁联排别墅  栖霞建设 大院子', '栖园  | 5室2厅 | 359.57平米 | 南 北 | 精装 | 无电梯', '低楼层(共3层)2007年建板楼  -  仙林', '1200万', '单价33374元/平米')
('https://image1.ljcdn.com/320100-inspection/0bb4e822-23da-4204-aef7-6174c0145697.jpg.296x216.jpg', '朗诗科技住宅 恒温恒湿 精装修带100平院子', '朗诗保利麓院  | 5室2厅 | 293.82平米 | 南 北 | 其他', '低楼层(共6层)暂无数据  -  仙林', '1520万', '单价51733元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload37680525-fbfb-4c78-b33a-5e5ff9fe4ab8.jpg.296x216.jpg', '含车位 保利紫晶山大平层 四房精装拎包入住 电梯入户', '保利紫晶山  | 4室2厅 | 190平米 | 南 北 | 其他 | 有电梯', '低楼层(共6层)2010年建板楼  -  马群', '768万', '单价40422元/平米')
('https://image1.ljcdn.com/320100-inspection/6f89cf7d-23c8-4ad4-bf9e-56702d88203a.jpg.296x216.jpg', '02年房龄 双南 中间楼层 物业负责 居家装修', '兴贤佳园  | 2室2厅 | 70.04平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)2002年建板楼  -  迈皋桥', '182万', '单价25986元/平米')
('https://image1.ljcdn.com/320100-inspection/ec9374da-0610-49f0-a8c4-30169c13cc02.jpg.296x216.jpg', '摄山星城 双南 采光不遮挡 精装修 看房方便', '摄山星城闻兰苑  | 2室1厅 | 65.1平米 | 东 南 | 其他', '低楼层(共6层)暂无数据  -  栖霞其它', '128万', '单价19663元/平米')
('https://image1.ljcdn.com/320100-inspection/74e9d421-a754-4cd9-96b1-8485df7a5eae.jpg.296x216.jpg', '迈苑小区 满五年 迈皋桥商圈 低楼层 社区配套完善', '迈苑小区  | 2室1厅 | 59.78平米 | 东 西 | 其他 | 无电梯', '低楼层(共7层)1997年建板塔结合  -  迈皋桥', '158万', '单价26431元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload4a978838-8fec-4a1b-8a9d-1362fb7ca605.jpg.296x216.jpg', '绿城东方玉园通透四房 纯毛坯 私密性高 物业管理好', '绿城东方玉园  | 4室2厅 | 142.41平米 | 南 北 | 其他', '中楼层(共4层)2017年建板楼  -  仙林', '700万', '单价49154元/平米')
('https://image1.ljcdn.com/120000-inspection/b11c562e-146d-47b5-b41b-cfdc1a45534e.jpg.296x216.jpg', '南北通透 正规三房 户型难得 精装修 拎包入住', '万达茂  | 3室1厅 | 84.79平米 | 南 北 | 其他 | 有电梯', '高楼层(共32层)2017年建板塔结合  -  栖霞其它', '290万', '单价34203元/平米')
('https://image1.ljcdn.com/320100-inspection/f6b5b5ae-3554-4ad2-994c-30282af49a6c.jpg.296x216.jpg', '南北通透 花园洋房 采光好 户型方正', '世茂招商语山  | 3室2厅 | 113平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)2017年建板楼  -  马群', '365万', '单价32301元/平米')
('https://image1.ljcdn.com/320100-inspection/7e89bba7-125e-47c2-b882-d9419f07ad14.JPG.296x216.jpg', '此房精装修，小区位置好，业主诚心出售', '花港幸福城金桂园  | 3室2厅 | 87.84平米 | 南 北 | 其他 | 有电梯', '中楼层(共18层)2013年建板塔结合  -  麒麟镇', '190万', '单价21631元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload86d8673e-1ef7-459a-83ee-3646fb42d6ae.jpg.296x216.jpg', '配套成熟 品质小区 交通便利 生活方便', '盛和家园  | 2室1厅 | 69.58平米 | 南 | 其他 | 有电梯', '中楼层(共8层)2013年建板楼  -  马群', '145万', '单价20840元/平米')
('https://image1.ljcdn.com/320100-inspection/f21c8357-77c9-465e-aa35-2ddef83a446b.jpg.296x216.jpg', '北城嘉园 商品房 电梯房 采光充足 视野开阔 配套齐全', '北城嘉园  | 2室2厅 | 83.7平米 | 南 北 | 其他 | 有电梯', '中楼层(共11层)2007年建板楼  -  万寿', '235万', '单价28077元/平米')
('https://image1.ljcdn.com/120000-inspection/f0cbd13d-3e5e-4df6-9dfb-b88218179b7b.jpg.296x216.jpg', '仙林茶苑 满五年 顶跃带阳光房', '南京师范大学茶苑  | 3室2厅 | 101.25平米 | 南 | 毛坯 | 无电梯', '高楼层(共5层)2008年建板楼  -  仙林', '305万', '单价30124元/平米')
('https://image1.ljcdn.com/320100-inspection/test-4617a6f8-9994-42d6-97aa-1befc933d925.png.296x216.jpg', '和燕路小区 3室1厅 230万', '和燕路小区  | 3室1厅 | 91.9平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)1998年建板楼  -  晓庄', '230万', '单价25028元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadcaaeddc2-fead-464d-8a94-dd96ca7472b6.jpg.296x216.jpg', '绿城地产 环境好 密度不高 私密性好 看房方便', '绿城东方玉园  | 4室2厅 | 298.52平米 | 南 北 | 其他', '低楼层(共4层)2017年建板楼  -  仙林', '1350万', '单价45224元/平米')
('https://image1.ljcdn.com/320100-inspection/be712ee8-f2b2-4751-8a5e-a09364bdbafb.JPG.296x216.jpg', '顶跃 阁楼不算面积 有露台 05年房龄 紫金山南体公园南', '东景花园  | 3室2厅 | 78.3平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2005年建板楼  -  马群', '245万', '单价31290元/平米')
('https://image1.ljcdn.com/320100-inspection/69559b50-475b-43fb-a8de-d0db2c5bfea2.JPG.296x216.jpg', '南湾营润康苑 低楼层三房 两卧朝南 简单装修', '南湾营润康苑  | 3室1厅 | 85平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)2004年建板楼  -  马群', '175万', '单价20589元/平米')
('https://image1.ljcdn.com/320100-inspection/e07a91c8-a327-4391-aba1-29f28bc37ab9.jpg.296x216.jpg', '迈苑小区 采光好 交通方便 配套成熟 近地铁 接地气', '迈苑小区  | 2室1厅 | 51.24平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)1997年建板楼  -  迈皋桥', '138万', '单价26933元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadfe083c74-830e-49b7-ab78-70e4212b1295.jpg.296x216.jpg', '恒基别墅 毛坯 南北通透 户型方正', '恒基富荟山   | 联排别墅 | 5室2厅 | 453.28平米 | 东 南 北 | 其他 | 无电梯', '3层2016年建暂无数据  -  仙林', '1150万', '单价25371元/平米')
('https://image1.ljcdn.com/320100-inspection/959180df-1797-45e3-9e9c-dc40a2543ae8.jpg.296x216.jpg', '中间楼层 复式带装修 拎包入住 可看到仙林湖', '保利罗兰春天  | 3室2厅 | 129平米 | 南 | 其他 | 有电梯', '低楼层(共26层)2014年建板楼  -  仙林', '450万', '单价34884元/平米')
('https://image1.ljcdn.com/320100-inspection/cd6e9c8c-b29c-4969-b3c2-55f5684a2891.jpg.296x216.jpg', '天泓山庄小复式，叠墅，景观房，业主诚心出售。', '天泓山庄云山苑  | 3室2厅 | 160.46平米 | 南 北 | 其他 | 有电梯', '高楼层(共9层)2009年建板楼  -  马群', '580万', '单价36147元/平米')
('https://image1.ljcdn.com/320100-inspection/7a882243-630b-4cb3-ac11-aeb1fca6316d.JPG.296x216.jpg', '此房精装修，小区位置好，业主诚心出售', '花港幸福城金桂园  | 3室2厅 | 87.84平米 | 南 北 | 其他 | 有电梯', '中楼层(共18层)2013年建板塔结合  -  麒麟镇', '188万', '单价21403元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload727738b9-1121-49b4-85a0-f5d540a240ee.jpg.296x216.jpg', '祥和雅苑 电梯房 三房总价低 生活方便 配套完善', '祥和雅苑  | 3室2厅 | 86.97平米 | 南 | 其他 | 有电梯', '低楼层(共16层)2012年建板楼  -  燕子矶', '230万', '单价26446元/平米')
('https://image1.ljcdn.com/320100-inspection/49ce873e-aa92-4436-8dbb-6fe2aa46c26d.jpg.296x216.jpg', '东方天郡东区 2室2厅 330万', '东方天郡东区  | 2室2厅 | 86.92平米 | 南 | 其他 | 有电梯', '低楼层(共17层)2007年建板楼  -  仙林', '330万', '单价37966元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload65c8eb9b-eb73-485e-99b0-b7f69d25741e.jpg.296x216.jpg', '精装 采光好 配套齐全 交通便捷  业主诚售', '迈皋桥街184号  | 2室1厅 | 56.7平米 | 南 | 精装', '高楼层(共7层)板塔结合  -  迈皋桥', '140万', '单价24692元/平米')
('https://image1.ljcdn.com/320100-inspection/0a3ca8a3-3da1-4cf5-93f1-1aee4efd2aff.jpg.296x216.jpg', '玄武 迈皋桥 电梯双南户型 09年房龄 装修好  视野好', '兴贤佳园近贤苑  | 2室1厅 | 68.62平米 | 南 | 简装 | 有电梯', '中楼层(共18层)2009年建板楼  -  迈皋桥', '172万', '单价25066元/平米')
('https://image1.ljcdn.com/320100-inspection/ed916c46-c789-4f48-83f1-a1589574a56d.jpg.296x216.jpg', '仙林 双拼别墅 毛坯 别墅区 交通便利 小区环境优美', '依云溪谷一期  | 5室2厅 | 279平米 | 南 北 | 其他 | 无电梯', '低楼层(共3层)2008年建板楼  -  仙林', '1370万', '单价49104元/平米')
('https://image1.ljcdn.com/320100-inspection/26f837f7-2bdb-4991-8b9a-57d790693eb2.jpg.296x216.jpg', '北城嘉园 2室1厅 185万', '北城嘉园  | 2室1厅 | 67.59平米 | 南 | 简装 | 有电梯', '低楼层(共11层)2007年建板楼  -  万寿', '185万', '单价27371元/平米')
('https://image1.ljcdn.com/320100-inspection/4ddf36c2-845b-42e6-bade-fb2e3c0cab11.jpg.296x216.jpg', '东方天郡 东边户 精装三房两卫 满两年 交通便利', '东方天郡东区  | 3室2厅 | 114.85平米 | 南 西 北 | 其他 | 有电梯', '低楼层(共10层)2007年建板楼  -  仙林', '468万', '单价40749元/平米')
('https://image1.ljcdn.com/320100-inspection/e996a91c-fc19-42dc-87d4-8bea576d7d51.jpg.296x216.jpg', '晓庄商圈  大三房  三开间朝南  中间楼层采光好', '中心村78号  | 3室2厅 | 110平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)1985年建板楼  -  晓庄', '270万', '单价24546元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload2484d5bb-5b79-4c63-9fcf-da11d6946836.jpg.296x216.jpg', '仙林大平层 送产权车位 电梯入户洋房 百万婚装 诚售', '保利紫晶山  | 4室2厅 | 190平米 | 南 北 | 其他 | 有电梯', '低楼层(共6层)2010年建板楼  -  马群', '750万', '单价39474元/平米')
('https://image1.ljcdn.com/320100-inspection/ea29ea7f-5b45-40a7-a188-06918573bee6.jpg.296x216.jpg', '满五年近契税 南北通透两房 居家装修 有车位价另算', '亚东城西区  | 2室2厅 | 94.67平米 | 南 北 | 其他 | 有电梯', '低楼层(共11层)2009年建板楼  -  仙林', '330万', '单价34858元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadff6c0c50-b7b8-4bf4-87e7-dd5e0cb79463.JPG.296x216.jpg', '江宁区麒麟镇悦民公寓南苑毛坯三房两室朝南', '悦民公寓南苑  | 3室1厅 | 90.8平米 | 南 北 | 毛坯 | 无电梯', '中楼层(共6层)2005年建板塔结合  -  麒麟镇', '195万', '单价21476元/平米')
('https://image1.ljcdn.com/320100-inspection/05c45cdf-14ae-4ae4-a831-193b8ddfaa35.jpg.296x216.jpg', '精装修 电梯房 楼层好 南北通透 采光好', '东方兰园  | 3室2厅 | 107.6平米 | 南 北 | 其他', '中楼层(共21层)塔楼  -  万寿', '355万', '单价32993元/平米')
('https://image1.ljcdn.com/320100-inspection/c54f3373-6b2c-4985-8ecc-afc5ec7094e9.jpg.296x216.jpg', '户型方正 南北通透 前面是别墅区无遮挡', '仙龙湾山庄  | 3室2厅 | 130平米 | 南 北 | 其他 | 有电梯', '高楼层(共6层)2010年建板楼  -  仙林', '426万', '单价32770元/平米')
('https://image1.ljcdn.com/320100-inspection/e8a3746f-ff46-4cfb-bcec-e757bc5a1715.jpg.296x216.jpg', '双南 房龄新 小区环境好  业主诚心换房', '省电力公司宿舍  | 2室1厅 | 73.7平米 | 南 | 其他 | 无电梯', '高楼层(共7层)2000年建板楼  -  迈皋桥', '170万', '单价23067元/平米')
('https://image1.ljcdn.com/320100-inspection/d73f5fd4-97e0-4185-b986-e74fcd96b87b.jpg.296x216.jpg', '仙林咏梅山庄 无增值税 户型方正  配套齐备', '咏梅山庄  | 3室2厅 | 123平米 | 南 | 精装 | 无电梯', '中楼层(共6层)2001年建板楼  -  仙林', '400万', '单价32521元/平米')
('https://image1.ljcdn.com/320100-inspection/72dbed8f-66b5-480a-982b-f574f7477bc1.jpg.296x216.jpg', '位置好 送产权车位 诚心卖房 南北通透格局', '仙龙湾山庄  | 2室2厅 | 93.5平米 | 南 北 | 简装 | 有电梯', '低楼层(共6层)2010年建板楼  -  仙林', '360万', '单价38503元/平米')
('https://image1.ljcdn.com/320100-inspection/ef27835e-404f-4226-92d3-162f3fc87f2a.jpg.296x216.jpg', '新城香悦澜山 4室2厅 495万', '新城香悦澜山  | 4室2厅 | 141.06平米 | 南 北 | 其他 | 有电梯', '低楼层(共11层)2016年建板楼  -  仙林', '495万', '单价35092元/平米')
('https://image1.ljcdn.com/320100-inspection/631f0845-47dd-456d-9a07-ec52d3c764c3.jpg.296x216.jpg', '满五年，户型格局好，配套设施齐全，交通方便', '诚品城  | 3室2厅 | 98平米 | 东 南 | 精装 | 无电梯', '高楼层(共5层)2009年建板楼  -  仙林', '266万', '单价27143元/平米')
('https://image1.ljcdn.com/320100-inspection/58da3e9d-a449-40de-bee2-08f747b0aada.jpg.296x216.jpg', '采光好 交通便利 *配套齐全  户型方正', '百水家园  | 3室2厅 | 105.77平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)2004年建板楼  -  马群', '215万', '单价20328元/平米')
('https://image1.ljcdn.com/320100-inspection/df4e5105-889b-4396-b297-931c975f991d.jpg.296x216.jpg', '迈皋桥商圈 方圆绿茵 中间楼层 三房', '方圆绿茵  | 3室2厅 | 102.99平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)2004年建板楼  -  迈皋桥', '299万', '单价29032元/平米')
('https://image1.ljcdn.com/320100-inspection/cdd3b531-78c1-4023-a1f4-348e89a790bc.jpg.296x216.jpg', '亚东城 满五年，采光好跃层 露台', '亚东城东区  | 5室2厅 | 198平米 | 南 北 | 其他 | 有电梯', '高楼层(共11层)2008年建板楼  -  仙林', '660万', '单价33334元/平米')
('https://image1.ljcdn.com/320100-inspection/696bd5c8-59f6-483a-85ae-82cceb531b64.jpg.296x216.jpg', '户型方正 双卧朝南 采光充足  居家装修 交通便利', '康桥圣菲  | 2室1厅 | 52平米 | 南 | 其他 | 有电梯', '中楼层(共5层)2006年建板楼  -  仙林', '210万', '单价40385元/平米')
('https://image1.ljcdn.com/120000-inspection/78457bd1-588f-4daa-ad53-f3029bc9215b.jpg.296x216.jpg', '仙林茶苑 满五年 顶跃带阳光房', '南京师范大学茶苑  | 3室1厅 | 102.03平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2008年建板楼  -  仙林', '310万', '单价30384元/平米')
('https://image1.ljcdn.com/320100-inspection/db16dbbd-e3ba-4af3-8074-8f9d0917e94c.jpg.296x216.jpg', '万达茂 南北通透 湖景房 毛坯 电梯房 看房方便', '万达茂  | 4室2厅 | 143.31平米 | 南 北 | 其他', '中楼层(共19层)暂无数据  -  栖霞其它', '460万', '单价32099元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload74ca9fa0-e085-4105-93af-e7c1b5666be9.jpg.296x216.jpg', '香樟园  精装修  可以拎包入住  中间楼层', '赛世香樟园  | 3室2厅 | 124.3平米 | 南 北 | 其他 | 有电梯', '低楼层(共18层)2009年建板楼  -  仙林', '415万', '单价33387元/平米')
('https://image1.ljcdn.com/320100-inspection/62fc9f34-28af-445b-80dd-c823c887ada0.jpg.296x216.jpg', '百通公寓 2室2厅 185万', '百通公寓  | 2室2厅 | 73.42平米 | 南 北 | 其他 | 有电梯', '中楼层(共20层)2006年建塔楼  -  迈皋桥', '185万', '单价25198元/平米')
('https://image1.ljcdn.com/320100-inspection/a7c3ad45-69b8-48cb-bdf0-d035a6e93dab.jpg.296x216.jpg', '华电新村高楼层，视野无遮挡，采光好', '华电新村  | 3室0厅 | 57平米 | 南 | 精装 | 无电梯', '高楼层(共5层)1991年建板塔结合  -  迈皋桥', '150万', '单价26316元/平米')
('https://image1.ljcdn.com/320100-inspection/ea164aa5-5f59-4742-974a-75d30b3a643a.jpg.296x216.jpg', '迈皋桥成熟商圈 南北通透 全明三房 采光好 有物业', '南塑新村  | 3室1厅 | 78.19平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1988年建板塔结合  -  迈皋桥', '200万', '单价25579元/平米')
('https://image1.ljcdn.com/320100-inspection/e42b910d-3796-4c76-b73f-7fc702a931c5.jpg.296x216.jpg', '品牌开发商，灵山风景区，采光通风极好。', '保利礼墅  | 4室2厅 | 247.82平米 | 南 北 | 其他', '4层暂无数据  -  仙林', '1280万', '单价51651元/平米')
('https://image1.ljcdn.com/320100-inspection/71c3df1a-42df-42d5-b3d9-81eb2e5c97c5.jpg.296x216.jpg', '高科置业 精装修交付 视野好 无遮挡 看房方便', '高科荣域  | 3室1厅 | 98.08平米 | 南 北 | 其他 | 有电梯', '高楼层(共11层)2013年建板楼  -  仙林', '375万', '单价38235元/平米')
('https://image1.ljcdn.com/320100-inspection/6612c9de-6a0b-4241-8d50-9c21342a5e5d.jpg.296x216.jpg', '化工新村 1室1厅 128万', '化工新村  | 1室1厅 | 53.29平米 | 南 北 | 简装', '高楼层(共5层)暂无数据  -  燕子矶', '128万', '单价24020元/平米')
('https://image1.ljcdn.com/320100-inspection/22e00300-7572-4b63-9f6e-b99cd3e1ce8d.jpg.296x216.jpg', '合班村5号 交通方便 配套成熟 采光不遮挡 低总价', '合班村5号  | 2室1厅 | 54.45平米 | 南 西 | 其他 | 无电梯', '低楼层(共7层)1992年建板楼  -  晓庄', '145万', '单价26630元/平米')
('https://image1.ljcdn.com/320100-inspection/d693c12a-f1d8-4dab-9781-0835614f9830.jpg.296x216.jpg', '康桥圣菲 精装带地暖 交通便利 生活方便', '康桥圣菲  | 5室2厅 | 197平米 | 南 北 | 其他 | 有电梯', '高楼层(共4层)2006年建板塔结合  -  仙林', '720万', '单价36549元/平米')
('https://image1.ljcdn.com/320100-inspection/ac085d00-bcbc-4bd1-bb48-0f451bd3cb67.jpg.296x216.jpg', '金地湖城艺境 3室2厅 340万', '金地湖城艺境  | 3室2厅 | 97.4平米 | 南 北 | 其他 | 有电梯', '中楼层(共26层)2016年建板塔结合  -  仙林', '340万', '单价34908元/平米')
('https://image1.ljcdn.com/320100-inspection/54f67605-b14f-4b65-95f6-ace3d446048c.jpg.296x216.jpg', '晓庄万寿 乐居雅花园 三房  户型方正', '乐居雅花园  | 3室2厅 | 88.29平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2011年建板楼  -  万寿', '200万', '单价22653元/平米')
('https://image1.ljcdn.com/320100-inspection/d62ffc4b-7620-45ce-9acd-fda08c96d3db.jpg.296x216.jpg', '迈皋桥老街 教工新村 出新过 小区环境优美 配套齐全', '教工新村  | 2室2厅 | 79.06平米 | 南 北 | 精装 | 无电梯', '中楼层(共7层)2004年建板塔结合  -  迈皋桥', '218万', '单价27574元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadd83424b2-ef93-4e1c-8b41-99b3eeab33cc.jpg.296x216.jpg', '楼层好，视野开阔，采光充足，配套齐全', '南湾营馨康苑  | 3室1厅 | 84.95平米 | 南 北 | 精装 | 有电梯', '中楼层(共11层)2004年建板塔结合  -  马群', '180万', '单价21189元/平米')
('https://image1.ljcdn.com/320100-inspection/5796efb6-0bd9-4434-8cf4-1568b502af07.jpg.296x216.jpg', '长营村 中间楼层  迈皋桥地铁口 满二年', '长营村  | 3室1厅 | 81.26平米 | 南 | 其他 | 有电梯', '中楼层(共7层)1998年建板塔结合  -  迈皋桥', '212万', '单价26090元/平米')
('https://image1.ljcdn.com/320100-inspection/92356b54-de42-490f-aaad-2f5aa260ad6c.jpg.296x216.jpg', '栖霞尧化门 尧林仙居  好房出售 精装修 南北通透', '尧林仙居  | 3室2厅 | 85平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2005年建板楼  -  尧化门', '205万', '单价24118元/平米')
('https://image1.ljcdn.com/320100-inspection/397595a5-3994-493e-9d3a-95cf08d8b77a.jpg.296x216.jpg', '长营村 3室1厅 210万', '长营村  | 3室1厅 | 78.8平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1994年建板塔结合  -  迈皋桥', '210万', '单价26650元/平米')
('https://image1.ljcdn.com/320100-inspection/493ce496-b95f-4285-8ae3-08fc4ecde8cf.jpg.296x216.jpg', '满两年 南北通透纯毛坯 电梯花园洋房', '保利紫晶山  | 4室2厅 | 170.08平米 | 南 北 | 其他 | 有电梯', '中楼层(共6层)2010年建板楼  -  马群', '615万', '单价36160元/平米')
('https://image1.ljcdn.com/320100-inspection/140ef9cb-5ceb-423c-ab60-213846817d6c.jpg.296x216.jpg', '诚品城 3室2厅 280万', '诚品城  | 3室2厅 | 92.45平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)2009年建板楼  -  仙林', '280万', '单价30287元/平米')
('https://image1.ljcdn.com/320100-inspection/f3875df7-edca-4c59-bbd0-94fea5d8b61a.jpg.296x216.jpg', '摄山星城 朝南单室套 东边户  小区环境好 配套完善', '摄山星城闻兰苑  | 1室1厅 | 44.61平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  栖霞其它', '75万', '单价16813元/平米')
('https://image1.ljcdn.com/320100-inspection/f6df9c3e-76a4-4cfd-abcf-dda1bc0c0a65.jpg.296x216.jpg', '东方天郡 精装三房 交通便利 环境优美', '东方天郡东区  | 3室1厅 | 106.05平米 | 南 北 | 其他 | 有电梯', '中楼层(共17层)2007年建板楼  -  仙林', '435万', '单价41019元/平米')
('https://image1.ljcdn.com/320100-inspection/59256a08-3ec3-4500-8565-182d6120af32.jpg.296x216.jpg', '高科置业 品质小区  精装修  楼层好  电梯入户', '高科荣域  | 5室1厅 | 133平米 | 南 北 | 精装 | 有电梯', '高楼层(共11层)2013年建板楼  -  仙林', '488万', '单价36692元/平米')
('https://image1.ljcdn.com/320100-inspection/f02823ce-8d04-4f64-b1ee-adbb04b7c1a1.jpg.296x216.jpg', '诚品城 3室1厅 256万', '诚品城  | 3室1厅 | 90.59平米 | 南 | 其他 | 无电梯', '低楼层(共6层)2009年建板楼  -  仙林', '256万', '单价28260元/平米')
('https://image1.ljcdn.com/320100-inspection/74326942-bdbd-4cb9-bc7c-a4c703ff3158.jpg.296x216.jpg', '招商大户型 精装修 随时可以看房 带地下室', '招商紫金山1号  | 2室2厅 | 226平米 | 南 | 其他 | 有电梯', '低楼层(共10层)2013年建板楼  -  马群', '450万', '单价19912元/平米')
('https://image1.ljcdn.com/320100-inspection/dc3cdc6b-da89-421b-b81a-1fbb7fd47d60.jpg.296x216.jpg', '小区中间 南北通透 楼层佳 满两年', '合班佳园  | 3室2厅 | 108.7平米 | 南 北 | 精装', '中楼层(共6层)2005年建暂无数据  -  万寿', '280万', '单价25759元/平米')
('https://image1.ljcdn.com/320100-inspection/e11ba088-c711-4a3b-a156-9fe720d33692.jpg.296x216.jpg', '顶跃 阁楼不算面积 有露台 05年房龄 紫金山南体公园南', '东景花园  | 3室2厅 | 78平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2005年建板楼  -  马群', '250万', '单价32052元/平米')
('https://image1.ljcdn.com/320100-inspection/61e62d7f-185f-4c11-9650-4c46e1d22be4.JPG.296x216.jpg', '东景居家两房 采光无影响 紫金山下 环境好 刚需养老', '东景花园  | 2室2厅 | 77.37平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)2005年建板楼  -  马群', '255万', '单价32959元/平米')
('https://image1.ljcdn.com/320100-inspection/39c36b36-aa40-4ca4-b4e7-9c3b0a75ed74.jpg.296x216.jpg', '电建海赋尚城 毛坯房 中间楼层 采光充足', '电建海赋尚城  | 3室2厅 | 87.08平米 | 南 | 毛坯 | 有电梯', '中楼层(共34层)2016年建塔楼  -  万寿', '245万', '单价28136元/平米')
('https://image1.ljcdn.com/320100-inspection/1511065e-cc12-4c03-9b30-a4d1a1b43ec4.jpg.296x216.jpg', '迈皋桥和燕路 大地 满五唯一 精装修', '大地伊丽雅特湾  | 1室1厅 | 56.98平米 | 西 | 其他 | 有电梯', '低楼层(共10层)2010年建板楼  -  晓庄', '135万', '单价23693元/平米')
('https://image1.ljcdn.com/320100-inspection/380921ac-9157-4325-995f-c5ab0188ced6.jpg.296x216.jpg', '天悦花园 3室1厅 266万', '天悦花园  | 3室1厅 | 85.12平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2003年建板楼  -  马群', '266万', '单价31250元/平米')
('https://image1.ljcdn.com/320100-inspection/eda9232b-a875-4aa7-abea-b0fa07bb4ada.jpg.296x216.jpg', '百水芊城春水坊  精装修  送家具家电', '百水芊城春水坊  | 2室1厅 | 63.43平米 | 南 | 其他 | 无电梯', '低楼层(共6层)2007年建板楼  -  马群', '153万', '单价24122元/平米')
