('https://image1.ljcdn.com/420100-inspection/test-99411fed-11d8-4853-8687-37731914a036.png.296x216.jpg', '阳逻保利圆梦城 3房2厅1厨2卫 毛坯现房', '保利圆梦城十区  | 3室2厅 | 107.3平米 | 南 北 | 其他', '高楼层(共34层)暂无数据  -  阳逻', '90万', '单价8388元/平米')
('https://image1.ljcdn.com/420100-inspection/test-396a9fb7-53e8-47a6-994d-7c767d6e6cce.png.296x216.jpg', '阳逻保利圆梦城大3居室，南北通透，中间楼层，视野好', '保利圆梦城二区  | 3室2厅 | 114平米 | 南 北 | 其他', '高楼层(共18层)板楼  -  阳逻', '105万', '单价9211元/平米')
('https://image1.ljcdn.com/420100-inspection/f3e8d51d-73d3-4741-84e9-877d481eb88f.jpg.296x216.jpg', '阳逻开发区 长江御龙新城 装修三房 诚心出售 随时看房', '长江御龙新城  | 3室2厅 | 92.9平米 | 南 | 其他', '低楼层(共18层)2013年建板楼  -  阳逻', '80万', '单价8612元/平米')
('', '保利圆梦城 2室2厅 毛坯 采光充足 75万诚心出售', '保利圆梦城二区  | 2室2厅 | 87.84平米 | 南 | 其他', '低楼层(共34层)板楼  -  阳逻', '75万', '单价8539元/平米')
('https://image1.ljcdn.com/420100-inspection/test-6afb84dc-3fad-4658-b8e8-a93f630474be.png.296x216.jpg', '保利圆梦城 毛坯2房 中间楼层价格好主卧客厅朝南', '保利圆梦城九区  | 2室2厅 | 72.89平米 | 南 | 其他', '低楼层(共34层)暂无数据  -  阳逻', '63.9万', '单价8767元/平米')
('', '新洲区阳逻湖滨花园标准四房，南北通透，97万诚心出售', '湖滨花园  | 4室2厅 | 157平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)暂无数据  -  阳逻', '97万', '单价6179元/平米')
('', '东方新天地  两室两厅   南北通透  证满两年', '东方新天地  | 2室2厅 | 94.37平米 | 南 北 | 毛坯', '中楼层(共12层)2008年建板楼  -  阳逻', '66万', '单价6994元/平米')
('', '新洲阳逻开发区御龙新城南北通透四房，125万诚心出售', '长江御龙新城  | 4室2厅 | 137平米 | 南 北 | 其他', '中楼层(共18层)2013年建板楼  -  阳逻', '125万', '单价9125元/平米')
('https://image1.ljcdn.com/420100-inspection/test-318991ba-1691-4099-841d-0d870d37d141.png.296x216.jpg', '保利圆梦城九区大四房 置业一步到位', '保利圆梦城九区  | 4室2厅 | 131.94平米 | 南 北 | 毛坯', '高楼层(共34层)暂无数据  -  阳逻', '120万', '单价9096元/平米')
('https://image1.ljcdn.com/420100-inspection/0b6d7e67-5252-48d0-ae84-f69570882439.jpg.296x216.jpg', '东城明珠 2室1厅 65万', '东城明珠  | 2室1厅 | 88.28平米 | 南 | 其他', '中楼层(共19层)2014年建板楼  -  阳逻', '65万', '单价7363元/平米')
('https://image1.ljcdn.com/420100-inspection/test-43e0166e-fa18-41a1-97dd-8a8b86c2efa3.png.296x216.jpg', '保利圆梦城九区经典小两房 中高楼层 视野开阔', '保利圆梦城九区  | 2室2厅 | 72.84平米 | 南 | 毛坯', '高楼层(共34层)暂无数据  -  阳逻', '66万', '单价9061元/平米')
('', '天琴湾大复式楼，一线湖景房，证满两年', '天琴湾  | 4室2厅 | 147平米 | 南 | 毛坯', '高楼层(共5层)2010年建板楼  -  阳逻', '125万', '单价8504元/平米')
('https://image1.ljcdn.com/420100-inspection/test-207bb9f9-ed35-436c-ae3d-20e743bad831.png.296x216.jpg', '源江富督苑117平 花园洋房 精装修 拎包入住', '源江富督苑  | 3室2厅 | 117平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)暂无数据  -  阳逻', '100万', '单价8548元/平米')
('', '碧水云天 不 限购 出行方便 临武鄂高速 居住安静', '碧水云天  | 2室2厅 | 95.54平米 | 东南 | 精装', '高楼层(共20层)2013年建板楼  -  阳逻', '70万', '单价7327元/平米')
('', '保利圆梦城别墅区的小两房 证五唯一', '保利圆梦城金玉苑  | 2室2厅 | 73平米 | 南 | 毛坯', '中楼层(共11层)暂无数据  -  阳逻', '73万', '单价10000元/平米')
('', '阳逻水映澜湾，毛坯三房，交通便利，后期费用少', '水映澜湾  | 3室2厅 | 127.6平米 | 东 西 | 其他', '低楼层(共14层)暂无数据  -  阳逻', '98万', '单价7681元/平米')
('', '长江御龙新城 3室2厅 102万', '长江御龙新城  | 3室2厅 | 128平米 | 南 北 | 其他', '中楼层(共18层)2013年建板楼  -  阳逻', '102万', '单价7969元/平米')
('', '保利圆梦城南北通透格局，好楼层好户型业主诚心出售。', '保利圆梦城三区  | 3室2厅 | 86平米 | 南 | 其他', '低楼层(共24层)暂无数据  -  阳逻', '82万', '单价9535元/平米')
('', '新洲 阳逻开发区 新澳城市印象 毛坯两房 交通便利', '新澳城市印象  | 2室2厅 | 88.17平米 | 南 | 其他 | 有电梯', '低楼层(共28层)2013年建板楼  -  阳逻', '69万', '单价7826元/平米')
('', '阳逻中 央花园城南北通透证满两年中等装修', '阳光新港中央花园城  | 2室2厅 | 90.63平米 | 南 北 | 其他', '低楼层(共11层)暂无数据  -  阳逻', '81万', '单价8938元/平米')
('', '中 央花园城南北通透格局好楼层好户型业主诚心出售。', '阳光新港中央花园城  | 2室2厅 | 86.57平米 | 南 北 | 其他', '高楼层(共11层)暂无数据  -  阳逻', '72万', '单价8317元/平米')
('', '风荷苑毛坯大三房，楼层好，户型方正，前后无遮挡！', '风荷苑  | 3室2厅 | 132平米 | 南 北 | 其他', '中楼层(共11层)暂无数据  -  阳逻', '98万', '单价7425元/平米')
('', '新澳城市印象 1室1厅 45.8万', '新澳城市印象  | 1室1厅 | 45.8平米 | 南 | 其他', '低楼层(共30层)2013年建板楼  -  阳逻', '45.8万', '单价10000元/平米')
('', '中 央花园城小区环境优美，南北通透采光充足户型方正', '阳光新港中央花园城  | 3室2厅 | 95.58平米 | 南 北 | 其他', '高楼层(共11层)暂无数据  -  阳逻', '95万', '单价9940元/平米')
('', '阳逻开发区 瀚华天地 140平大四房 户型方正', '瀚华天地  | 4室2厅 | 143平米 | 南 北 | 其他', '高楼层(共15层)2016年建板楼  -  阳逻', '140万', '单价9791元/平米')
('', '水映澜湾 2室2厅 62万', '水映澜湾  | 2室2厅 | 96平米 | 南 | 其他', '低楼层(共14层)暂无数据  -  阳逻', '62万', '单价6459元/平米')
('', '东方佳园 3室2厅 85万', '东方佳园  | 3室2厅 | 131.23平米 | 南 北 | 其他', '高楼层(共11层)暂无数据  -  新洲其它', '85万', '单价6478元/平米')
('https://image1.ljcdn.com/420100-inspection/89f39ac0-ab06-4086-ad5f-0538b1b9b1a0.jpg.296x216.jpg', '阳逻保利圆梦城，毛坯三房，南北通透，随时看房', '保利圆梦城金玉苑  | 3室2厅 | 118平米 | 南 北 | 其他', '低楼层(共18层)暂无数据  -  阳逻', '90万', '单价7628元/平米')
('', '中 央花园城小区环境优美，南北通透采光充足户型方正', '阳光新港中央花园城  | 3室2厅 | 96.61平米 | 南 北 | 其他', '低楼层(共17层)暂无数据  -  阳逻', '115万', '单价11904元/平米')
('https://image1.ljcdn.com/420100-inspection/test-4b883589-5bf7-4574-9499-3fb75269c2e3.png.296x216.jpg', '新洲阳逻 天琴湾精装三房 满五唯一 家具家电全送', '天琴湾  | 3室2厅 | 100.38平米 | 南 | 其他', '高楼层(共6层)2009年建板楼  -  阳逻', '92万', '单价9166元/平米')
('', '阳逻保利圆梦城毛坯2房一线湖景房，主卧客厅超南', '保利圆梦城二区  | 2室2厅 | 88平米 | 南 | 其他', '中楼层(共34层)板楼  -  阳逻', '80万', '单价9091元/平米')
('', '新洲 阳逻开发区 风荷苑 三房两厅 南北通透 证满', '风荷苑  | 3室2厅 | 105平米 | 南 | 其他', '高楼层(共18层)暂无数据  -  阳逻', '85万', '单价8096元/平米')
('', '新洲区阳逻枫清泊静精装两居室，中间楼层，户型通透', '枫清泊静  | 2室2厅 | 84平米 | 南 | 其他', '中楼层(共12层)暂无数据  -  阳逻', '78万', '单价9286元/平米')
('https://image1.ljcdn.com/420100-inspection/test-10d663d8-c24a-4544-92cf-a80b79232204.png.296x216.jpg', '阳逻保利圆梦城，毛坯大三房，户型方正，采光充足', '保利圆梦城二区  | 3室2厅 | 127平米 | 南 北 | 其他', '低楼层(共24层)2017年建板楼  -  阳逻', '110万', '单价8662元/平米')
('', '中 央花园城小区环境优美，南北通透采光充足户型方正', '阳光新港中央花园城  | 3室2厅 | 105平米 | 南 北 | 其他', '中楼层(共18层)暂无数据  -  阳逻', '110万', '单价10477元/平米')
('https://image1.ljcdn.com/420100-inspection/test-1a03de4f-3ebb-4daf-9318-8db156caa6b1.png.296x216.jpg', '天琴湾 精装三房 两证两年 看房方便', '天琴湾  | 2室2厅 | 83.85平米 | 南 北 | 其他', '中楼层(共6层)2009年建板楼  -  阳逻', '78万', '单价9303元/平米')
('', '阳逻保利圆梦城中装3房，房子主卧客厅朝南，采光充足', '保利圆梦城二区  | 3室2厅 | 99平米 | 南 北 | 其他', '低楼层(共34层)2012年建板塔结合  -  阳逻', '95万', '单价9596元/平米')
('', '保利圆梦城九区经典三房 动静分区 宽敞舒适', '保利圆梦城九区  | 3室2厅 | 93.68平米 | 南 | 毛坯', '低楼层(共24层)暂无数据  -  阳逻', '85万', '单价9074元/平米')
('', '祥和世纪城 3室2厅 95万', '祥和世纪城  | 3室2厅 | 121.9平米 | 南 北 | 其他 | 有电梯', '中楼层(共17层)2013年建板楼  -  新洲其它', '95万', '单价7794元/平米')
('https://image1.ljcdn.com/420100-inspection/test-dba814c4-9be1-44d4-b5a4-0c15536693ce.png.296x216.jpg', '新洲区阳逻保利圆梦城金玉苑三室两厅两卫，96万出售', '保利圆梦城金玉苑  | 3室2厅 | 107平米 | 南 北 | 其他', '低楼层(共18层)暂无数据  -  阳逻', '91万', '单价8505元/平米')
('', '中 央花园城小区环境优美，南北通透采光充足户型方正', '阳光新港中央花园城  | 3室2厅 | 89平米 | 南 北 | 其他', '高楼层(共17层)暂无数据  -  阳逻', '80万', '单价8989元/平米')
('', '阳逻中 央花园城2房2厅毛坯 现房 价格美丽', '阳光新港中央花园城  | 2室2厅 | 84.2平米 | 南 北 | 其他', '高楼层(共18层)暂无数据  -  阳逻', '72万', '单价8552元/平米')
('', '新澳城市印象 两房 80万诚心出售', '新澳城市印象  | 2室1厅 | 88.3平米 | 南 | 其他 | 有电梯', '中楼层(共28层)2013年建板楼  -  阳逻', '80万', '单价9061元/平米')
('', '保利圆梦城别墅区湖景房 视野好', '保利圆梦城金玉苑  | 2室2厅 | 87平米 | 南 | 精装', '中楼层(共33层)暂无数据  -  阳逻', '87万', '单价10000元/平米')
('', '新洲 阳逻 泊湖湾 精装两房 证满 中上楼层', '泊湖湾  | 2室2厅 | 94.02平米 | 南 | 其他', '高楼层(共24层)2013年建板楼  -  阳逻', '88万', '单价9360元/平米')
('https://image1.ljcdn.com/420100-inspection/test-e87514b5-db36-4d11-b655-b7e8cc1430ca.png.296x216.jpg', '保利圆梦城，毛坯两房，证满2，中间楼层', '保利圆梦城二区  | 2室2厅 | 88平米 | 南 | 其他', '中楼层(共18层)2017年建板楼  -  阳逻', '83万', '单价9432元/平米')
('', '佳阳国际好户型，好楼层，明厨明卫，采光充足！', '佳阳国际  | 4室2厅 | 185平米 | 南 | 其他', '高楼层(共11层)暂无数据  -  阳逻', '150万', '单价8109元/平米')
('', '阳逻保利圆梦城精装2房主卧客厅朝南，采光好，视野好', '保利圆梦城六区  | 2室2厅 | 70平米 | 南 | 其他', '中楼层(共33层)暂无数据  -  阳逻', '80万', '单价11429元/平米')
('', '保利圆梦城 户型方正 采光好 南北通透 4-2-2 业主诚售', '保利圆梦城三区  | 4室2厅 | 125.25平米 | 南 北 | 其他', '低楼层(共24层)暂无数据  -  阳逻', '110万', '单价8783元/平米')
('', '阳光新港中央花园城 2室2厅 74万', '阳光新港中央花园城  | 2室2厅 | 76平米 | 南 | 其他', '中楼层(共18层)暂无数据  -  阳逻', '74万', '单价9737元/平米')
('', '新洲 阳逻开发区 保利圆梦城十区 三房两厅两卫 82万', '保利圆梦城十区  | 3室2厅 | 99.83平米 | 南 北 | 其他', '高楼层(共34层)暂无数据  -  阳逻', '82万', '单价8214元/平米')
('https://image1.ljcdn.com/420100-inspection/test-e10e5f4b-c2a6-42de-b0a6-6b616ef4287e.png.296x216.jpg', '阳逻佳阳国际毛坯大3房，户型方正，南北通透，采光好', '佳阳国际  | 3室2厅 | 140.58平米 | 南 北 | 其他', '中楼层(共18层)暂无数据  -  阳逻', '92万', '单价6545元/平米')
('', '阳逻佳阳国际中等装修两房，中间楼层，采光好，视野广', '佳阳国际  | 2室2厅 | 97.4平米 | 北 | 其他', '中楼层(共19层)暂无数据  -  阳逻', '78万', '单价8009元/平米')
('', '阳逻环湖花园 毛坯大3房正规复试楼，楼上可做3房', '佳运环湖花园  | 3室2厅 | 178平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)暂无数据  -  阳逻', '120万', '单价6742元/平米')
('', '阳逻风荷苑中等装修3房，房子通透，采光充足', '风荷苑  | 3室2厅 | 103平米 | 南 | 其他', '低楼层(共18层)暂无数据  -  阳逻', '88万', '单价8544元/平米')
('', '阳逻保利圆梦城毛坯两居室，户型方正，采光好视野开阔', '保利圆梦城九区  | 2室2厅 | 72.85平米 | 南 | 其他', '低楼层(共34层)暂无数据  -  阳逻', '68万', '单价9335元/平米')
('https://image1.ljcdn.com/420100-inspection/test-96e6421d-0f25-4d99-82e7-5a361ffe3790.png.296x216.jpg', '水映澜湾 2室2厅 75万', '水映澜湾  | 2室2厅 | 98平米 | 南 | 其他', '中楼层(共14层)暂无数据  -  阳逻', '75万', '单价7654元/平米')
('https://image1.ljcdn.com/420100-inspection/test-26f576e0-b8ed-4fec-b11f-7928b3029689.png.296x216.jpg', '阳逻佳阳国际毛坯大3房，南北通透好户型', '佳阳国际  | 3室3厅 | 132平米 | 南 北 | 其他', '中楼层(共11层)暂无数据  -  阳逻', '105万', '单价7955元/平米')
('', '阳光新港中 央花园城证满两年精装两房，户型正采光好', '阳光新港中央花园城  | 2室2厅 | 80平米 | 南 | 其他', '中楼层(共18层)暂无数据  -  阳逻', '84万', '单价10500元/平米')
('', '阳逻天琴湾南北通透两居室采光充足', '天琴湾  | 2室1厅 | 98平米 | 南 北 | 其他', '低楼层(共11层)2010年建板楼  -  阳逻', '90万', '单价9184元/平米')
('', '阳逻佳阳国际2房，房子采光好，证满', '佳阳国际  | 3室2厅 | 97平米 | 北 | 其他', '高楼层(共19层)暂无数据  -  阳逻', '80万', '单价8248元/平米')
('', '风荷苑 3室2厅 75万', '风荷苑  | 3室2厅 | 95平米 | 南 北 | 其他', '中楼层(共11层)暂无数据  -  阳逻', '75万', '单价7895元/平米')
('https://image1.ljcdn.com/420100-inspection/test-d380877b-0986-49fa-87d0-1796bf4de4c3.png.296x216.jpg', '水映澜湾 3室2厅 88万', '水映澜湾  | 3室2厅 | 117平米 | 南 北 | 其他', '中楼层(共14层)暂无数据  -  阳逻', '88万', '单价7522元/平米')
('https://image1.ljcdn.com/420100-inspection/test-98939069-8787-4a82-97de-24576d3ca855.png.296x216.jpg', '阳逻中-央花园城，毛坯南北通透2房，稀-少户型', '阳光新港中央花园城  | 2室2厅 | 86.85平米 | 南 北 | 其他', '高楼层(共11层)暂无数据  -  阳逻', '75万', '单价8636元/平米')
('', '阳逻枫桦雅苑毛坯三房，中高楼层，户型正采光好', '枫桦雅苑  | 3室1厅 | 111.6平米 | 南 | 其他 | 有电梯', '中楼层(共32层)2015年建板塔结合  -  阳逻', '90万', '单价8065元/平米')
('', '东城明珠 2室1厅 72万', '东城明珠  | 2室1厅 | 89平米 | 南 | 其他', '中楼层(共17层)暂无数据  -  阳逻', '72万', '单价8090元/平米')
('', '新洲区阳逻天琴湾四室两厅精装房，业主诚心出售', '天琴湾  | 4室2厅 | 150平米 | 南 北 | 其他', '低楼层(共6层)2009年建板楼  -  阳逻', '210万', '单价14000元/平米')
('', '东方佳园 3室2厅 78万', '东方佳园  | 3室2厅 | 115平米 | 南 | 其他', '高楼层(共11层)暂无数据  -  新洲其它', '78万', '单价6783元/平米')
('', '长江御龙新城 4室2厅 125万', '长江御龙新城  | 4室2厅 | 137.68平米 | 南 北 | 其他', '中楼层(共18层)2013年建板楼  -  阳逻', '125万', '单价9080元/平米')
('https://image1.ljcdn.com/420100-inspection/test-4ba39a57-171a-47e8-9b49-d1b722b8744b.png.296x216.jpg', '阳逻中-央花园城，毛坯2房，主卧客厅朝南，不限-购', '阳光新港中央花园城  | 2室2厅 | 83平米 | 南 | 其他', '高楼层(共18层)暂无数据  -  阳逻', '73万', '单价8796元/平米')
('', '阳逻天琴湾简单装修两房，证满两年免增值税', '天琴湾  | 2室2厅 | 88.27平米 | 南 | 其他', '中楼层(共6层)2009年建板楼  -  阳逻', '78万', '单价8837元/平米')
('', '阳逻保利圆梦城毛坯三居室，采光充足，视野开阔，朝南', '保利圆梦城九区  | 3室2厅 | 94平米 | 南 | 其他', '高楼层(共34层)暂无数据  -  阳逻', '80万', '单价8511元/平米')
('', '泊湖湾 2室2厅 78万', '泊湖湾  | 2室2厅 | 94平米 | 南 | 其他', '中楼层(共10层)2013年建板楼  -  阳逻', '78万', '单价8298元/平米')
('', '保利圆梦城三房 朝南 证满两年 配套成熟', '保利圆梦城二区  | 3室2厅 | 98.39平米 | 南 | 毛坯', '中楼层(共34层)2012年建板塔结合  -  阳逻', '85万', '单价8640元/平米')
('https://image1.ljcdn.com/420100-inspection/test-99b86e27-ed03-4116-94c2-6d2fc4e89a09.png.296x216.jpg', '阳逻香榭花都毛坯3房，南北通透，采光充足两证满两年', '香榭花都  | 3室2厅 | 127.35平米 | 南 北 | 其他', '高楼层(共11层)暂无数据  -  阳逻', '100万', '单价7853元/平米')
('', '天琴湾 2室2厅 73万', '天琴湾  | 2室2厅 | 87平米 | 南 | 其他', '高楼层(共6层)2009年建板楼  -  阳逻', '73万', '单价8391元/平米')
('', '阳逻保利圆梦城毛坯三居室，采光充足，视野开阔。', '保利圆梦城十区  | 3室2厅 | 90平米 | 南 | 其他', '低楼层(共34层)暂无数据  -  阳逻', '75万', '单价8334元/平米')
('', '泊湖湾 3室2厅 110万', '泊湖湾  | 3室2厅 | 116平米 | 南 北 | 其他', '高楼层(共24层)2013年建板楼  -  阳逻', '110万', '单价9483元/平米')
('', '香榭花都 2室2厅 75万', '香榭花都  | 2室2厅 | 98平米 | 南 | 其他', '低楼层(共11层)暂无数据  -  阳逻', '75万', '单价7654元/平米')
('https://image1.ljcdn.com/420100-inspection/test-4cd4244b-686b-4221-aa76-9669ce13a2c7.png.296x216.jpg', '阳逻开发区，毛坯小三房，房东置换，诚心出售', '阳光新港中央花园城  | 3室2厅 | 91平米 | 南 | 其他', '高楼层(共18层)塔楼  -  阳逻', '75万', '单价8242元/平米')
('', '天琴湾 2室2厅 72万', '天琴湾  | 2室2厅 | 87.83平米 | 南 | 其他', '中楼层(共11层)2010年建板楼  -  阳逻', '72万', '单价8198元/平米')
('', '新洲 阳逻 阳光明珠 精装修大户型 131平送60平', '阳光明珠  | 3室2厅 | 131平米 | 南 北 | 其他', '低楼层(共13层)暂无数据  -  阳逻', '128万', '单价9771元/平米')
('', '佳运环湖花园 3室2厅 75万', '佳运环湖花园  | 3室2厅 | 131平米 | 南 北 | 其他', '高楼层(共7层)暂无数据  -  阳逻', '75万', '单价5726元/平米')
('https://image1.ljcdn.com/420100-inspection/test-c668ec6f-1c90-4a2a-b745-39bf17705cbc.png.296x216.jpg', '阳逻财富广场复式精装三房采光好实用面积大拎包入住', '阳逻财富广场  | 3室1厅 | 48.53平米 | 南 | 其他', '高楼层(共16层)2015年建塔楼  -  阳逻', '70万', '单价14425元/平米')
('https://image1.ljcdn.com/420100-inspection/test-7fe1442b-f5be-4640-bce9-e9062eac04fc.png.296x216.jpg', '新洲区阳逻开发区，保利圆梦城六区，南北通透3房', '保利圆梦城六区  | 3室2厅 | 105平米 | 南 北 | 其他', '低楼层(共33层)暂无数据  -  阳逻', '86万', '单价8191元/平米')
('', '阳逻香榭花都90平精装两房，证满两年，拎包入住', '香榭花都  | 2室2厅 | 90平米 | 南 北 | 其他', '低楼层(共11层)暂无数据  -  阳逻', '80万', '单价8889元/平米')
('', '平江壹号 4室2厅 110万', '平江壹号  | 4室2厅 | 148平米 | 南 北 | 其他 | 有电梯', '高楼层(共22层)2013年建板楼  -  阳逻', '110万', '单价7433元/平米')
('', '金色水岸 2室1厅 70万', '金色水岸  | 2室1厅 | 85平米 | 南 | 其他', '高楼层(共13层)暂无数据  -  阳逻', '70万', '单价8236元/平米')
('', '阳逻天琴湾，精装四房复式，南北通透，满五唯一。', '天琴湾  | 4室2厅 | 151平米 | 南 北 | 其他', '中楼层(共5层)2010年建板楼  -  阳逻', '149万', '单价9868元/平米')
('https://image1.ljcdn.com/420100-inspection/test-12e0f315-7932-4a05-87d8-92fbefc314c4.png.296x216.jpg', '泊湖湾 全新精装大三房 业主诚心出售 1', '泊湖湾  | 3室2厅 | 116平米 | 南 北 | 精装', '高楼层(共18层)2014年建板楼  -  阳逻', '105万', '单价9052元/平米')
('', '阳光新港中 央花园城花园式小区精致三房 中高楼层', '阳光新港中央花园城  | 3室2厅 | 92.3平米 | 南 | 其他', '中楼层(共18层)板楼  -  阳逻', '86万', '单价9318元/平米')
('', '东方新天地 3室2厅 82万', '东方新天地  | 3室2厅 | 117.2平米 | 南 北 | 其他', '中楼层(共12层)2008年建板楼  -  阳逻', '82万', '单价6997元/平米')
('', '金色水岸 2室2厅 78万', '金色水岸  | 2室2厅 | 98平米 | 南 | 其他', '低楼层(共13层)暂无数据  -  阳逻', '78万', '单价7960元/平米')
('', '阳逻财富广场 2室1厅 47万', '阳逻财富广场  | 2室1厅 | 46.24平米 | 南 | 其他', '高楼层(共15层)2015年建塔楼  -  阳逻', '47万', '单价10165元/平米')
('https://image1.ljcdn.com/420100-inspection/test-86406f67-48d4-4831-8b0f-8c6cac711754.png.296x216.jpg', '泊湖湾 3室2厅 90万', '泊湖湾  | 3室2厅 | 112平米 | 南 北 | 其他', '中楼层(共30层)2013年建板楼  -  阳逻', '90万', '单价8036元/平米')
('', '保利圆梦城南北通透格局，楼层好户型好业主诚心出售！', '保利圆梦城二区  | 3室2厅 | 123平米 | 南 北 | 其他', '高楼层(共18层)板楼  -  阳逻', '120万', '单价9757元/平米')
('', '阳逻欣隆湖滨半岛三室两厅一卫毛坯房，102万诚心出售', '欣隆湖滨半岛  | 3室2厅 | 114.83平米 | 南 北 | 其他', '低楼层(共11层)2012年建板楼  -  阳逻', '101万', '单价8796元/平米')
('', '泊湖湾 3室1厅 83万', '泊湖湾  | 3室1厅 | 100.44平米 | 南 北 | 毛坯', '中楼层(共18层)2014年建板楼  -  阳逻', '83万', '单价8264元/平米')
('', '保利圆梦城十区 3室1厅 98万', '保利圆梦城十区  | 3室1厅 | 113平米 | 南 | 其他', '低楼层(共24层)暂无数据  -  阳逻', '98万', '单价8673元/平米')
('https://image1.ljcdn.com/420100-inspection/test-807fc7d1-1677-457b-ac6c-0f3fcab8d058.png.296x216.jpg', '阳光新港中央花园城 3室2厅 85万', '阳光新港中央花园城  | 3室2厅 | 110平米 | 南 北 | 其他', '低楼层(共18层)暂无数据  -  阳逻', '85万', '单价7728元/平米')
('', '东城明珠环境优美，楼层好，户型好，毛坯正规复式楼！', '东城明珠  | 4室2厅 | 196平米 | 南 | 其他', '高楼层(共19层)2014年建板楼  -  阳逻', '115万', '单价5868元/平米')
('', '阳逻财富广场精装复试2房，采光充足，位置极-佳', '阳逻财富广场  | 2室2厅 | 46平米 | 南 | 其他 | 有电梯', '中楼层(共15层)2015年建塔楼  -  阳逻', '58万', '单价12609元/平米')
('https://image1.ljcdn.com/420100-inspection/test-da6b720e-1b2b-4b71-9815-46ff38e00a77.png.296x216.jpg', '保利圆梦城 业主自住精装三房 两证两年 看房方便', '保利圆梦城三区  | 3室1厅 | 87平米 | 南 | 其他', '中楼层(共33层)暂无数据  -  阳逻', '85万', '单价9771元/平米')
('', '天琴湾 3室2厅 80万', '天琴湾  | 3室2厅 | 121.97平米 | 南 | 其他', '高楼层(共6层)2009年建板楼  -  阳逻', '80万', '单价6559元/平米')
('', '湖滨花园 4室2厅 78万', '湖滨花园  | 4室2厅 | 131.74平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)暂无数据  -  阳逻', '78万', '单价5921元/平米')
('https://image1.ljcdn.com/420100-inspection/test-040405be-fe56-4777-bcbf-03791a132091.png.296x216.jpg', '阳逻中 央花园城85平毛坯两房 户型正采光好 价格美丽', '阳光新港中央花园城  | 2室2厅 | 82平米 | 南 | 其他', '低楼层(共26层)2014年建板楼  -  阳逻', '75万', '单价9147元/平米')
('', '阳逻佳阳国际 地铁房 证满 精装修', '佳阳国际  | 2室2厅 | 99.7平米 | 南 | 其他', '高楼层(共19层)暂无数据  -  阳逻', '86万', '单价8626元/平米')
('', '阳逻开发区阳光新港中 央花园城，三室两厅一卫，91万', '阳光新港中央花园城  | 3室2厅 | 91平米 | 南 | 其他', '高楼层(共17层)2014年建板楼  -  阳逻', '88万', '单价9671元/平米')
('', '阳逻御龙新城证满两年 中间楼层 毛坯大三房 户型通透', '长江御龙新城  | 3室2厅 | 122.59平米 | 南 北 | 其他', '中楼层(共11层)2013年建板楼  -  阳逻', '100万', '单价8158元/平米')
('https://image1.ljcdn.com/420100-inspection/test-fa9923b8-883a-4b01-a325-6ba5846cb982.png.296x216.jpg', '金色水岸三房 新港服务区 成熟配套 即买即住', '金色水岸  | 3室2厅 | 121.8平米 | 南 | 简装', '低楼层(共13层)暂无数据  -  阳逻', '80万', '单价6569元/平米')
('', '天琴湾 3室2厅 97万', '天琴湾  | 3室2厅 | 125.58平米 | 南 北 | 其他', '低楼层(共6层)2009年建板楼  -  阳逻', '97万', '单价7725元/平米')
('https://image1.ljcdn.com/420100-inspection/test-1482eec1-2f11-44d0-bd2b-a7b52108a3c7.png.296x216.jpg', '阳逻花园式小区中 央花园城毛坯114平大三房95万', '阳光新港中央花园城  | 3室2厅 | 114平米 | 南 北 | 其他', '中楼层(共17层)暂无数据  -  阳逻', '95万', '单价8334元/平米')
('', '祥和世纪城 3室2厅 130万', '祥和世纪城  | 3室2厅 | 138平米 | 东南 | 其他 | 有电梯', '高楼层(共17层)2013年建板楼  -  新洲其它', '130万', '单价9421元/平米')
('', '枫桦雅苑 大户型 中高楼层 采光好 南北通透', '枫桦雅苑  | 3室2厅 | 133平米 | 南 北 | 其他 | 有电梯', '中楼层(共32层)2015年建板塔结合  -  阳逻', '120万', '单价9023元/平米')
('', '欣隆湖滨半岛3房2厅精装修证满5年', '欣隆湖滨半岛  | 3室2厅 | 101平米 | 南 北 | 其他', '低楼层(共18层)2012年建板楼  -  阳逻', '100万', '单价9901元/平米')
('', '武汉SOHO 1室1厅 19.3万', '武汉SOHO  | 1室1厅 | 37平米 | 南 | 其他 | 有电梯', '中楼层(共31层)2014年建板楼  -  阳逻', '19.3万', '单价5217元/平米')
('', '湖滨花园 2室2厅 82万', '湖滨花园  | 2室2厅 | 89平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)暂无数据  -  阳逻', '82万', '单价9214元/平米')
('https://image1.ljcdn.com/420100-inspection/test-192e04f9-4f4a-4338-9f9c-18ece2b9847d.png.296x216.jpg', '中 央花园城小区环境优美，南北通透采光充足户型方正', '阳光新港中央花园城  | 4室2厅 | 153.34平米 | 南 北 | 其他', '高楼层(共11层)暂无数据  -  阳逻', '140万', '单价9131元/平米')
('', '新澳城市印象精装大两房，好楼层好户型拎包入住！', '新澳城市印象  | 2室2厅 | 86平米 | 南 北 | 其他 | 有电梯', '高楼层(共29层)2013年建板楼  -  阳逻', '90万', '单价10466元/平米')
