('https://image1.ljcdn.com/shfdfs-image/20170729/c77c35f3-f091-4125-bb8a-634b28448c98.jpg.296x216.jpg', '香滨水岸 3室2厅 289万', '香滨水岸  | 3室2厅 | 102.28平米 | 南 | 精装 | 无电梯', '低楼层(共6层)2009年建板楼  -  郭巷', '289万', '单价28256元/平米')
('https://image1.ljcdn.com/320500-inspection/c97beec8-7c4e-4b6f-98a3-7e72c30314bc.jpg.296x216.jpg', '中海双湾花园一期洋房中间楼层价格实惠', '中海双湾花园一期  | 3室2厅 | 107平米 | 南 | 简装 | 有电梯', '中楼层(共11层)2015年建板楼  -  尹山湖', '260万', '单价24300元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171126/da0bad86-c7da-415d-a074-ed5ee2adeaf8.jpg.296x216.jpg', '红星国际生活广场 3室2厅 255万', '红星国际生活广场  | 3室2厅 | 104平米 | 南 | 精装 | 有电梯', '高楼层(共32层)2016年建板楼  -  木渎', '255万', '单价24520元/平米')
('https://image1.ljcdn.com/320500-inspection/1e6d4f83-da23-4f03-bbe2-4867e619f63b.jpg.296x216.jpg', '越湖家天下 3室2厅 275万', '越湖家天下  | 3室2厅 | 143.9平米 | 南 | 毛坯 | 有电梯', '低楼层(共21层)2013年建板楼  -  城南', '275万', '单价19111元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload63e6702f-63fb-4993-bf5e-5e8da740cb78.jpg.296x216.jpg', '越湖名邸 3室2厅 245万', '越湖名邸  | 3室2厅 | 121平米 | 南 | 毛坯 | 有电梯', '中楼层(共11层)2009年建板楼  -  城南', '245万', '单价20248元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload71b36962-bf49-4805-9f73-4c64c989642e.jpg.296x216.jpg', '小石城6区香樟园 3室2厅 255万', '小石城6区香樟园  | 3室2厅 | 124.91平米 | 南 | 其他 | 有电梯', '高楼层(共26层)2013年建板楼  -  城南', '255万', '单价20415元/平米')
('https://image1.ljcdn.com/320500-inspection/06150bab-19a4-4e01-aa93-3f033cab3cc2.jpg.296x216.jpg', '保利居上 3室2厅 240万', '保利居上  | 3室2厅 | 89.82平米 | 南 | 其他 | 有电梯', '中楼层(共26层)2014年建板楼  -  尹山湖', '240万', '单价26721元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_uploadfa567b0d-5dee-4995-80df-2d45a4191555.JPG.296x216.jpg', '云山诗意 5室2厅 285万', '云山诗意  | 5室2厅 | 161平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2013年建板楼  -  木渎', '285万', '单价17702元/平米')
('https://image1.ljcdn.com/320500-inspection/7823c59c-8b42-4616-bc14-aeb73cd721d7.jpg.296x216.jpg', '和昌熙溪里 3室2厅 280万', '和昌熙溪里  | 3室2厅 | 127平米 | 南 | 其他 | 无电梯', '中楼层(共7层)2017年建板塔结合  -  越溪', '280万', '单价22048元/平米')
('https://image1.ljcdn.com/320500-inspection/e4f38b5f-9c33-4941-bf7b-0cf80d5ac7e6.jpg.296x216.jpg', '品质小区旭辉香格里 电梯洋房 复式 装修如图 房东急卖', '旭辉香格里  | 4室2厅 | 138.85平米 | 南 北 | 其他 | 无电梯', '低楼层(共8层)2017年建板楼  -  木渎', '490万', '单价35290元/平米')
('https://image1.ljcdn.com/320500-inspection/430b1cc6-8cba-4509-b328-8c1172e39de7.jpg.296x216.jpg', '石湖华城公寓 1室1厅 65万', '石湖华城公寓  | 1室1厅 | 57平米 | 南 | 其他 | 无电梯', '中楼层(共5层)板楼  -  越溪', '65万', '单价11404元/平米')
('https://image1.ljcdn.com/320500-inspection/6daeb06b-0f63-4d85-8cab-d1e3ed69ec85.JPG.296x216.jpg', '合景领峰 3室2厅 262万', '合景领峰  | 3室2厅 | 101平米 | 南 | 其他 | 有电梯', '中楼层(共25层)2012年建塔楼  -  木渎', '262万', '单价25941元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180110/b93047e0-acbd-4100-9af5-fe77ba74e083.jpg.296x216.jpg', '旭辉香格里 4室2厅 398万', '旭辉香格里  | 4室2厅 | 141平米 | 暂无数据 | 毛坯 | 无电梯', '中楼层(共8层)2017年建板楼  -  木渎', '398万', '单价28227元/平米')
('https://image1.ljcdn.com/320500-inspection/8bd67f1c-5795-4419-a04e-41cc8a14343e.jpg.296x216.jpg', '正荣国领花园212平联排别墅 出租中 买了即收益', '正荣国领   | 联排别墅 | 5室2厅 | 212平米 | 南 | 精装 | 无电梯', '3层2016年建板楼  -  南双湖', '470万', '单价22170元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_uploadf85f262d-c4b9-42c6-87d9-a950d46588d9.JPG.296x216.jpg', '合景领峰 2室1厅 72万', '合景领峰  | 2室1厅 | 45平米 | 西南 | 其他 | 有电梯', '高楼层(共22层)2014年建板楼  -  木渎', '72万', '单价16000元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload8e38938c-9760-4e4e-83b0-1e6d043e7cd9.jpg.296x216.jpg', '328大平层，南看太湖，北看石湖，看山望水双湖景', '石湖天玺  | 5室3厅 | 328平米 | 南 | 精装 | 有电梯', '高楼层(共23层)2017年建板楼  -  越溪', '860万', '单价26220元/平米')
('https://image1.ljcdn.com/320500-inspection/1dcb5a0b-25b4-4ba2-8128-54105a4ba7b1.jpg.296x216.jpg', '九龙仓碧堤半岛 3室2厅 274万', '九龙仓碧堤半岛  | 3室2厅 | 102.8平米 | 南 | 精装 | 有电梯', '低楼层(共33层)2014年建板楼  -  尹山湖', '274万', '单价26654元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload708b46ab-a595-420f-af7b-b5dd77017fea.jpg.296x216.jpg', '中梁天颂 2室2厅 123万', '中梁天颂  | 2室2厅 | 85.86平米 | 南 | 其他 | 有电梯', '高楼层(共11层)2016年建板楼  -  临湖', '123万', '单价14326元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160908/27ecbc5a-569b-42bb-b516-0c1a359a0ee7.jpg.296x216.jpg', '太湖高尔夫山庄 6室2厅 1250万', '太湖高尔夫山庄   | 双拼别墅 | 6室2厅 | 545.09平米 | 南 | 毛坯 | 无电梯', '2层2010年建板楼  -  香山', '1250万', '单价22932元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160814/51b907af-f64c-459a-b9a1-63b3a6d59b09.jpg.296x216.jpg', '中海独墅岛 2室2厅 248万', '中海独墅岛  | 2室2厅 | 88.46平米 | 南 | 精装 | 有电梯', '高楼层(共31层)2015年建板楼  -  郭巷', '248万', '单价28036元/平米')
('https://image1.ljcdn.com/320500-inspection/test-1c9c5b3b-a51b-4430-ab56-b09be7f2c57b.png.296x216.jpg', '九龙仓碧堤半岛 4室2厅 370万', '九龙仓碧堤半岛  | 4室2厅 | 140.77平米 | 南 | 精装 | 有电梯', '中楼层(共33层)2014年建板楼  -  尹山湖', '370万', '单价26285元/平米')
('https://image1.ljcdn.com/320500-inspection/dc87b5e6-6219-4feb-92d5-d6c047c4c081.jpg.296x216.jpg', '保利居上 3室2厅 235万', '保利居上  | 3室2厅 | 86平米 | 南 | 其他 | 有电梯', '高楼层(共26层)2014年建板楼  -  尹山湖', '235万', '单价27326元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171127/6a144779-9406-41a5-b83a-635a524f6151.jpg.296x216.jpg', '颐和湾花园 4室2厅 410万', '颐和湾花园  | 4室2厅 | 143.95平米 | 暂无数据 | 精装 | 有电梯', '低楼层(共18层)2016年建板楼  -  龙西', '410万', '单价28483元/平米')
('https://image1.ljcdn.com/320500-inspection/b0b61f86-7a96-487f-bae9-547480f7288f.jpg.296x216.jpg', '朗诗绿色街区 3室2厅 285万', '朗诗绿色街区  | 3室2厅 | 122.4平米 | 南 | 精装 | 有电梯', '低楼层(共24层)2013年建板楼  -  木渎', '285万', '单价23285元/平米')
('https://image1.ljcdn.com/320500-inspection/606ba25d-5cce-45c5-8344-70004f61d332.jpg.296x216.jpg', '阳光水榭花园 2室2厅 200万', '阳光水榭花园  | 2室2厅 | 87.1平米 | 南 北 | 其他 | 有电梯', '中楼层(共16层)2015年建板楼  -  城南', '200万', '单价22963元/平米')
('https://image1.ljcdn.com/320500-inspection/cc9b03b0-4808-4a5f-87a5-691deb597fc9.jpg.296x216.jpg', '万业湖墅金典 2室2厅 216万', '万业湖墅金典  | 2室2厅 | 92.36平米 | 南 | 其他 | 有电梯', '高楼层(共18层)2015年建板塔结合  -  郭巷', '216万', '单价23387元/平米')
('https://image1.ljcdn.com/320500-inspection/9ca276a2-7a7f-495c-9585-d3ba4acca062.jpg.296x216.jpg', '嘉宝花园三期 3室2厅 258万', '嘉宝花园三期  | 3室2厅 | 104.8平米 | 南 | 其他 | 有电梯', '中楼层(共6层)2015年建板楼  -  苏苑', '258万', '单价24619元/平米')
('https://image1.ljcdn.com/320500-inspection/5de8314a-e570-471d-a9fa-40cbd559ce34.jpg.296x216.jpg', '保利居上 3室2厅 368万', '保利居上  | 3室2厅 | 141平米 | 南 | 其他 | 有电梯', '高楼层(共19层)2014年建板楼  -  尹山湖', '368万', '单价26100元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_uploadd4c25141-eb7f-4e16-a7b1-6d7d24a8fb78.jpg.296x216.jpg', '保利居上 4室2厅 510万', '保利居上  | 4室2厅 | 230.55平米 | 南 | 其他 | 有电梯', '高楼层(共25层)2014年建板楼  -  尹山湖', '510万', '单价22122元/平米')
('https://image1.ljcdn.com/320500-inspection/test-d79233db-46c0-43c2-8246-744881f243fc.png.296x216.jpg', '旭辉美澜城 2室2厅 177万', '旭辉美澜城  | 2室2厅 | 78.85平米 | 南 | 精装 | 有电梯', '中楼层(共32层)2015年建板楼  -  郭巷', '177万', '单价22448元/平米')
('https://image1.ljcdn.com/320500-inspection/test-099e1713-bf1e-4471-b1b3-4ca3b9a45775.png.296x216.jpg', '新城石湖公馆 4室2厅 356万', '新城石湖公馆  | 4室2厅 | 139.5平米 | 南 | 其他 | 有电梯', '中楼层(共7层)2015年建板楼  -  越溪', '356万', '单价25520元/平米')
('https://image1.ljcdn.com/320500-inspection/test-929b1cd7-c496-4b58-b878-83c424d8fa79.png.296x216.jpg', '大石湖畔，精装3房送车位，装修清爽保养好', '石湖之韵  | 3室2厅 | 126.24平米 | 南 北 | 精装 | 无电梯', '中楼层(共5层)2007年建板楼  -  越溪', '248万', '单价19646元/平米')
('https://image1.ljcdn.com/320500-inspection/4afd1f93-3705-4632-adff-27d9f4f37e60.jpg.296x216.jpg', '美之国花园 3室2厅 230万', '美之国花园  | 3室2厅 | 110平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2001年建板楼  -  龙西', '230万', '单价20910元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171125/a473ffd7-4903-44dd-975c-dad36643811c.jpg.296x216.jpg', '中茵星墅湾 3室2厅 345万', '中茵星墅湾  | 3室2厅 | 135平米 | 南 北 | 精装 | 有电梯', '低楼层(共27层)2013年建板楼  -  郭巷', '345万', '单价25556元/平米')
('https://image1.ljcdn.com/320500-inspection/ba289de2-485d-4214-878d-73b5269018e8.jpg.296x216.jpg', '万业湖墅金典 3室2厅 230万', '万业湖墅金典  | 3室2厅 | 98.64平米 | 南 | 精装 | 有电梯', '低楼层(共27层)2013年建板塔结合  -  郭巷', '230万', '单价23318元/平米')
('https://image1.ljcdn.com/320500-inspection/f5d5a7e1-b195-40ab-960d-c06f654f3b8d.jpg.296x216.jpg', '美韵公寓 2室2厅 153万', '美韵公寓  | 2室2厅 | 92平米 | 南 | 其他 | 有电梯', '中楼层(共33层)2009年建板楼  -  城南', '153万', '单价16631元/平米')
('https://image1.ljcdn.com/320500-inspection/a948fad6-6a42-4eba-8db0-bd1f5050a4aa.jpg.296x216.jpg', '颐和湾花园 4室2厅 450万', '颐和湾花园  | 4室2厅 | 143平米 | 南 北 | 其他 | 有电梯', '中楼层(共18层)2016年建板楼  -  龙西', '450万', '单价31469元/平米')
('https://image1.ljcdn.com/320500-inspection/34580b5e-3778-4184-8b99-7deb1173c2d0.jpg.296x216.jpg', '龙西新村缥缈苑 2室1厅 114万', '龙西新村缥缈苑  | 2室1厅 | 62.2平米 | 南 | 其他 | 无电梯', '低楼层(共6层)2000年建板楼  -  龙西', '114万', '单价18328元/平米')
('https://image1.ljcdn.com/320500-inspection/5efdfb73-4eb0-4232-ba7e-f4a770f77f9c.jpg.296x216.jpg', '保利居上 3室2厅 248万', '保利居上  | 3室2厅 | 86平米 | 南 | 精装 | 有电梯', '中楼层(共26层)2014年建板楼  -  尹山湖', '248万', '单价28838元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload04215797-253f-4dc6-860c-77900c58eb33.jpg.296x216.jpg', '石湖华城 3室2厅 317万', '石湖华城  | 3室2厅 | 136平米 | 东 西 | 精装 | 无电梯', '中楼层(共5层)2011年建板楼  -  越溪', '317万', '单价23309元/平米')
('https://image1.ljcdn.com/320500-inspection/test-5d529a24-de0e-4b3a-b897-fa3a5d4eb4ed.png.296x216.jpg', '保利观湖国际 3室2厅 235万', '保利观湖国际  | 3室2厅 | 89平米 | 南 | 毛坯 | 有电梯', '中楼层(共29层)2012年建板塔结合  -  尹山湖', '235万', '单价26405元/平米')
('https://image1.ljcdn.com/320500-inspection/c495c31d-7afe-4f7b-9015-1ec928119d65.jpg.296x216.jpg', '石湖天玺 4室2厅 410万', '石湖天玺  | 4室2厅 | 190平米 | 南 | 其他 | 有电梯', '低楼层(共29层)2017年建板楼  -  越溪', '410万', '单价21579元/平米')
('https://image1.ljcdn.com/320500-inspection/test-f17d01e1-d33c-4808-8400-5e574aaf8ef1.png.296x216.jpg', '中海双湾花园一期 3室2厅 280万', '中海双湾花园一期  | 3室2厅 | 105.35平米 | 南 | 其他 | 有电梯', '中楼层(共9层)2015年建板楼  -  尹山湖', '280万', '单价26579元/平米')
('https://image1.ljcdn.com/320500-inspection/abf7d84d-4353-48c3-b1a4-841247f0f1f6.jpg.296x216.jpg', '典雅花园 4室2厅 315万', '典雅花园  | 4室2厅 | 144平米 | 南 北 | 其他 | 有电梯', '中楼层(共10层)2000年建板楼  -  龙西', '315万', '单价21875元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171126/c60dffde-3a24-45b7-ab7d-e3b93aec7193.jpg.296x216.jpg', '旭辉香格里 3室2厅 245万', '旭辉香格里  | 3室2厅 | 120平米 | 暂无数据 | 其他 | 有电梯', '中楼层(共26层)2017年建板楼  -  木渎', '245万', '单价20417元/平米')
('https://image1.ljcdn.com/320500-inspection/ecba88ee-7a10-4418-afc0-cd36c99c1cbf.jpg.296x216.jpg', '洋房多层 精装三房 带暖气片 可随时看', '清水湾花园  | 3室2厅 | 107.39平米 | 南 | 精装 | 无电梯', '中楼层(共5层)2005年建板楼  -  城南', '215万', '单价20021元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_uploade56cee0a-7692-4d75-aecf-d2c9fb337bde.JPG.296x216.jpg', '招商雍华府 3室2厅 260万', '招商雍华府  | 3室2厅 | 126.84平米 | 南 | 其他 | 有电梯', '高楼层(共24层)2015年建塔楼  -  木渎', '260万', '单价20499元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_uploadb531d6b7-6b95-4bd9-8a50-e058ed7d46f3.jpg.296x216.jpg', '中海独墅岛 4室3厅 1150万', '中海独墅岛   | 独栋别墅 | 4室3厅 | 509平米 | 南 | 毛坯 | 无电梯', '2层2011年建板楼  -  郭巷', '1150万', '单价22594元/平米')
('https://image1.ljcdn.com/320500-inspection/879dc26d-387f-48b2-8b92-9ff1cf52b307.jpg.296x216.jpg', '越湖家天下 2室1厅 185万', '越湖家天下  | 2室1厅 | 88平米 | 南 | 其他 | 有电梯', '低楼层(共25层)2014年建板楼  -  城南', '185万', '单价21023元/平米')
('https://image1.ljcdn.com/320500-inspection/f2d2f3ec-fe0c-4bfe-82a7-ec6827ca4c45.jpg.296x216.jpg', '中海双湾花园一期 3室2厅 255万', '中海双湾花园一期  | 3室2厅 | 98.35平米 | 南 | 其他 | 有电梯', '低楼层(共32层)2015年建板楼  -  尹山湖', '255万', '单价25928元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload05ff7476-7e80-4cfa-a4de-e29bc2457825.jpg.296x216.jpg', '蠡墅花园天韵苑 2室2厅 148万', '蠡墅花园天韵苑  | 2室2厅 | 88平米 | 南 | 简装 | 有电梯', '低楼层(共24层)2013年建板楼  -  城南', '148万', '单价16819元/平米')
('https://image1.ljcdn.com/320500-inspection/91a0c21b-7017-4f77-9842-69ebadec4b2e.jpg.296x216.jpg', '小石城5区紫竹园 4室2厅 520万', '小石城5区紫竹园  | 4室2厅 | 213.15平米 | 南 | 其他 | 有电梯', '高楼层(共24层)2015年建板楼  -  城南', '520万', '单价24396元/平米')
('https://image1.ljcdn.com/320500-inspection/test-f4c0656a-f747-424f-a52a-8c1b59b7b965.png.296x216.jpg', '蠡墅花园天枫苑 4室2厅 248万', '蠡墅花园天枫苑  | 4室2厅 | 138平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2005年建板楼  -  城南', '248万', '单价17972元/平米')
('https://image1.ljcdn.com/320500-inspection/e3d587c5-6a65-4100-85b3-0e55cf7d1cbf.jpg.296x216.jpg', '太湖东路212号 3室2厅 177万', '太湖东路212号  | 3室2厅 | 97.5平米 | 南 | 精装 | 无电梯', '中楼层(共5层)1997年建板楼  -  苏苑', '177万', '单价18154元/平米')
('https://image1.ljcdn.com/320500-inspection/37c5fbf3-b690-4b3f-ac95-9f2d7986536a.jpg.296x216.jpg', '小石城5区紫竹园 6室2厅 694万', '小石城5区紫竹园  | 6室2厅 | 450平米 | 暂无数据 | 其他 | 有电梯', '高楼层(共11层)2015年建板楼  -  城南', '694万', '单价15423元/平米')
('https://image1.ljcdn.com/320500-inspection/test-728b49be-1831-4e99-a3a2-8c31448009e0.png.296x216.jpg', '阳光水榭花园 4室2厅 430万', '阳光水榭花园  | 4室2厅 | 210平米 | 南 | 精装 | 无电梯', '低楼层(共3层)2015年建板楼  -  城南', '430万', '单价20477元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_uploade6fe3843-aef0-4cc4-b24d-8a1f365af379.jpg.296x216.jpg', '新城金郡北区 3室2厅 220万', '新城金郡北区  | 3室2厅 | 79.8平米 | 南 | 精装 | 无电梯', '高楼层(共5层)2010年建板楼  -  城南', '220万', '单价27569元/平米')
('https://image1.ljcdn.com/320500-inspection/caa83e8d-e8bd-4fd5-a442-26ed8b6d2dbd.jpg.296x216.jpg', '湖岸名家南区 4室2厅 205万', '湖岸名家南区  | 4室2厅 | 75.97平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2007年建板楼  -  郭巷', '205万', '单价26985元/平米')
('https://image1.ljcdn.com/320500-inspection/a22b4864-eb0f-42e1-840d-4bd01c49a7eb.jpg.296x216.jpg', '美之国花园 5室2厅 290万', '美之国花园  | 5室2厅 | 118平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2001年建板楼  -  龙西', '290万', '单价24577元/平米')
('https://image1.ljcdn.com/320500-inspection/dd32ccea-98ec-4cf3-ba44-f1785aab053f.jpg.296x216.jpg', '合景叠翠峰 3室2厅 240万', '合景叠翠峰  | 3室2厅 | 95平米 | 南 | 精装 | 有电梯', '低楼层(共32层)2014年建板塔结合  -  尹山湖', '240万', '单价25264元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_uploade715a5c0-6a11-4a25-821f-f6321008eba4.jpg.296x216.jpg', '颐和湾花园 4室2厅 383万', '颐和湾花园  | 4室2厅 | 143平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2016年建板楼  -  龙西', '383万', '单价26784元/平米')
('https://image1.ljcdn.com/320500-inspection/2ff37801-6755-4848-a589-60e6f4da4923.jpg.296x216.jpg', '九龙仓碧堤半岛 5室3厅 1300万', '九龙仓碧堤半岛   | 独栋别墅 | 5室3厅 | 352平米 | 南 北 | 精装 | 无电梯', '2层2014年建板楼  -  尹山湖', '1300万', '单价36932元/平米')
('https://image1.ljcdn.com/320500-inspection/test-9a414773-6be0-422b-9328-119b1ee8c017.png.296x216.jpg', '水香一村一楼复式 95平加40平加20平院子 诚心出售', '水香一村  | 4室2厅 | 95.14平米 | 南 | 其他 | 无电梯', '低楼层(共5层)1998年建板楼  -  龙西', '180万', '单价18920元/平米')
('https://image1.ljcdn.com/320500-inspection/468fb273-b285-4333-bcc9-3c9c465625ea.jpg.296x216.jpg', '石湖华城湖郡华庭 2室2厅 185万', '石湖华城湖郡华庭  | 2室2厅 | 94平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2011年建板楼  -  越溪', '185万', '单价19681元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171130/77abdaa9-b691-4e93-844b-3e8f8712e986.jpg.296x216.jpg', '城市新贵 6室3厅 307万', '城市新贵  | 6室3厅 | 178平米 | 南 | 简装 | 无电梯', '高楼层(共5层)2004年建板楼  -  城南', '307万', '单价17248元/平米')
('https://image1.ljcdn.com/320500-inspection/f54882df-a67f-4340-bb93-6d50116fc706.jpg.296x216.jpg', '欧蓓莎中华美食城 2室2厅 46万', '欧蓓莎中华美食城  | 2室2厅 | 42平米 | 东 | 简装 | 有电梯', '低楼层(共23层)2013年建板楼  -  城南', '46万', '单价10953元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload73b0ad18-8777-47ad-b604-59305a637056.jpg.296x216.jpg', '水香二村 3室2厅 220万', '水香二村  | 3室2厅 | 122.4平米 | 南 北 | 其他 | 无电梯', '低楼层(共5层)1999年建板楼  -  龙西', '220万', '单价17974元/平米')
('https://image1.ljcdn.com/320500-inspection/5107854b-b082-4a17-b740-e73bda50dc0c.jpg.296x216.jpg', '合景叠翠峰 3室2厅 290万', '合景叠翠峰  | 3室2厅 | 111平米 | 南 北 | 精装 | 有电梯', '中楼层(共32层)2014年建板塔结合  -  尹山湖', '290万', '单价26127元/平米')
('https://image1.ljcdn.com/320500-inspection/16170b0e-6f2a-4a05-9305-7fa6fe16fca8.jpg.296x216.jpg', '石湖华城 5室2厅 317万', '石湖华城  | 5室2厅 | 143平米 | 南 | 精装 | 无电梯', '高楼层(共5层)2011年建板楼  -  越溪', '317万', '单价22168元/平米')
('https://image1.ljcdn.com/320500-inspection/14855745-9600-42ba-9aa0-dfa70e66c11b.jpg.296x216.jpg', '合景叠翠峰 3室2厅 242万', '合景叠翠峰  | 3室2厅 | 89平米 | 南 | 其他 | 有电梯', '中楼层(共30层)2015年建板塔结合  -  尹山湖', '242万', '单价27192元/平米')
('https://image1.ljcdn.com/320500-inspection/cac901ca-9ecd-4921-b64e-43b07627e5f2.jpg.296x216.jpg', '阳光水榭花园 2室2厅 215万', '阳光水榭花园  | 2室2厅 | 91平米 | 南 | 其他 | 无电梯', '中楼层(共11层)2014年建板楼  -  城南', '215万', '单价23627元/平米')
('https://image1.ljcdn.com/320500-inspection/test-8761c58c-9c83-4185-b5ec-0bccd8e973c0.png.296x216.jpg', '越湖家天下 3室2厅 225万', '越湖家天下  | 3室2厅 | 102平米 | 南 | 其他 | 无电梯', '低楼层(共6层)2011年建板楼  -  城南', '225万', '单价22059元/平米')
('https://image1.ljcdn.com/320500-inspection/4b9a9776-91f2-46ac-9672-77f81eee0569.jpg.296x216.jpg', '月浜街散盘 3室2厅 172万', '月浜街散盘  | 3室2厅 | 107平米 | 南 | 精装 | 无电梯', '高楼层(共6层)板楼  -  苏苑', '172万', '单价16075元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180129/ad66635c-160e-4380-93e2-35808a66e003.jpg.296x216.jpg', '越湖家天下 3室2厅 215万', '越湖家天下  | 3室2厅 | 92平米 | 暂无数据 | 简装 | 无电梯', '低楼层(共6层)2014年建板楼  -  城南', '215万', '单价23370元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171111/33b9bb9e-ce84-4795-9a40-080cbbf6a9a1.jpg.296x216.jpg', '阳光水榭花园 2室2厅 205万', '阳光水榭花园  | 2室2厅 | 103.6平米 | 南 | 精装 | 有电梯', '低楼层(共9层)2006年建板楼  -  城南', '205万', '单价19788元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_uploadb5f6cb48-03a7-4a20-b263-e75636396bfb.jpg.296x216.jpg', '石湖华城 2室2厅 170万', '石湖华城  | 2室2厅 | 85平米 | 南 | 简装 | 有电梯', '高楼层(共9层)2011年建板楼  -  越溪', '170万', '单价20000元/平米')
('https://image1.ljcdn.com/320500-inspection/cd3f4401-4ff3-4b04-b4fb-0d888f300023.jpg.296x216.jpg', '中海独墅岛 4室2厅 1300万', '中海独墅岛   | 双拼别墅 | 4室2厅 | 436.66平米 | 南 | 其他 | 无电梯', '1层2011年建板楼  -  郭巷', '1300万', '单价29772元/平米')
('https://image1.ljcdn.com/320500-inspection/5ac1f561-ffe0-46a9-a542-40fa3524b4fb.jpg.296x216.jpg', '盘蠡花园 2室2厅 198万', '盘蠡花园  | 2室2厅 | 85.5平米 | 南 | 其他 | 无电梯', '中楼层(共5层)1999年建板楼  -  龙西', '198万', '单价23158元/平米')
('https://image1.ljcdn.com/320500-inspection/64a30218-82ee-4fd4-8c53-553939a8448e.jpg.296x216.jpg', '房子是2楼的东边户 满五年步唯一 精装修', '四季晶华  | 3室2厅 | 121平米 | 东 | 其他 | 有电梯', '低楼层(共11层)2000年建板楼  -  龙西', '350万', '单价28926元/平米')
('https://image1.ljcdn.com/320500-inspection/8b61b27f-d51f-4795-adb1-8e397df73e02.jpg.296x216.jpg', '大平层  装修好 随时看房 满俩年', '石湖之韵   | 叠拼别墅 | 4室2厅 | 257平米 | 南 | 其他 | 无电梯', '下叠(共4层)板楼  -  越溪', '580万', '单价22569元/平米')
('https://image1.ljcdn.com/320500-inspection/test-ce5eb8d7-b821-4d1f-bd69-9874dc91a132.png.296x216.jpg', '阳光水榭花园 3室2厅 310万', '阳光水榭花园  | 3室2厅 | 128.93平米 | 南 | 其他 | 无电梯', '中楼层(共6层)2015年建板楼  -  城南', '310万', '单价24045元/平米')
('https://image1.ljcdn.com/320500-inspection/66584900-e00c-4189-8553-61e7f1f11a21.jpg.296x216.jpg', '石湖星城边户大露台 精装修 送买断车位 南北拎包入住', '石湖星城  | 4室2厅 | 155平米 | 南 | 精装 | 有电梯', '高楼层(共14层)2009年建板楼  -  城南', '290万', '单价18710元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171205/49b8e721-d7f7-4ca7-a849-d47adf32ceb7.jpg.296x216.jpg', '保利居上 4室2厅 355万', '保利居上  | 4室2厅 | 141.62平米 | 暂无数据 | 精装 | 有电梯', '低楼层(共25层)2014年建板楼  -  尹山湖', '355万', '单价25068元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_uploadcfbc5ce5-c5d4-4608-ac5f-b97d587c424e.jpg.296x216.jpg', '中茵星墅湾 2室2厅 240万', '中茵星墅湾  | 2室2厅 | 95平米 | 南 | 精装 | 有电梯', '低楼层(共27层)2013年建板楼  -  郭巷', '240万', '单价25264元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_uploadb9e9c416-3dd7-4683-8ffd-4fd600ce3f4a.jpg.296x216.jpg', '地铁2号口挑高复式 尚住两用 旺吴金座精装', '旺吴金座  | 1室1厅 | 45平米 | 南 | 精装 | 有电梯', '高楼层(共15层)2013年建板楼  -  城南', '75万', '单价16667元/平米')
('https://image1.ljcdn.com/320500-inspection/77ad9947-f6b8-42fb-a4cf-dffed16f9aae.jpg.296x216.jpg', '小石城1区玫瑰园 4室2厅 500万', '小石城1区玫瑰园   | 联排别墅 | 4室2厅 | 189平米 | 南 | 其他 | 无电梯', '4层2015年建板楼  -  城南', '500万', '单价26456元/平米')
