('https://image1.ljcdn.com/510100-inspection/test-9e04afb0-05c1-4e71-8b48-2d1dfc41be52.png.296x216.jpg', '不临街 中间楼层 对中庭 装修套三 带地暖 满2年', '公园大道  | 3室1厅 | 131.7平米 | 北 | 精装 | 有电梯', '低楼层(共23层)2012年建板塔结合  -  光华大道沿线', '184万', '单价13972元/平米')
('https://image1.ljcdn.com/510100-inspection/2ccd11dd-3240-44eb-b3fc-3fd776c77b5f.jpg.296x216.jpg', '国色天乡，蓝光紫檀山上叠装修房', '紫檀山   | 叠拼别墅 | 4室2厅 | 205.21平米 | 南 北 | 精装', '上叠(共4层)暂无数据  -  国色天乡', '295万', '单价14376元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d09198c3-0743-47f6-a806-2bd315fcb8cb.png.296x216.jpg', '蓝光香境大平层，套三双卫对中庭', '蓝光香境  | 3室2厅 | 105.45平米 | 东南 | 其他 | 有电梯', '低楼层(共34层)2008年建板楼  -  光华大道沿线', '150万', '单价14225元/平米')
('https://image1.ljcdn.com/510100-inspection/test-dbaae987-7463-4a33-a1d2-3e2a0af9f6cf.png.296x216.jpg', '时代西锦品质装修套二， 朝向南户型好，居家选择。', '朝阳时代西锦  | 2室2厅 | 84.69平米 | 南 | 精装 | 有电梯', '低楼层(共33层)2014年建板楼  -  花都大道', '100万', '单价11808元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4d33583a-ba41-4ad5-b7be-ce3d6c85c162.png.296x216.jpg', '德坤恬园，精装修，满两年，无增值税，精装修，采光好', '德坤恬园  | 2室2厅 | 75平米 | 南 | 其他', '中楼层(共6层)2010年建板楼  -  温江大学城', '75万', '单价10000元/平米')
('https://image1.ljcdn.com/510100-inspection/adfc3bfc-2355-42c0-a113-12420bd30e79.jpg.296x216.jpg', '开发商统一精装套一，交通购物便利', '珠江克莱公寓  | 1室1厅 | 54.52平米 | 南 | 精装 | 有电梯', '低楼层(共31层)2009年建塔楼  -  珠江新城', '50万', '单价9171元/平米')
('https://image1.ljcdn.com/510100-inspection/a9e6ca7d-012b-4bba-8b20-51bb71e2875d.jpg.296x216.jpg', '芙蓉田园小区 2室2厅 带产权车位', '芙蓉田园  | 2室2厅 | 81.2平米 | 东 | 其他 | 有电梯', '高楼层(共26层)板塔结合  -  芙蓉古城', '92万', '单价11331元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0f58c722-54fc-48d7-9786-0ecedd19750a.png.296x216.jpg', '置信学府杏林二期 套二清水房 对中庭', '置信学府杏林二期  | 2室2厅 | 81.32平米 | 北 | 其他', '高楼层(共18层)板楼  -  芙蓉古城', '82万', '单价10084元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1aec7892-6f78-48e4-b055-c622e57316de.png.296x216.jpg', '漫城 装修套二 对中庭 安静 保养好 拎包入住', '漫城  | 2室2厅 | 89.37平米 | 东南 | 精装 | 有电梯', '低楼层(共18层)2009年建板楼  -  温江老城', '89万', '单价9959元/平米')
('https://image1.ljcdn.com/510100-inspection/test-182db24d-b747-4930-bc5f-bc6623213eff.png.296x216.jpg', '装修套三 带家具家电 带大入户', '彩叠园1A期  | 3室2厅 | 109平米 | 南 北 | 精装 | 有电梯', '中楼层(共18层)2013年建板塔结合  -  光华大道沿线', '220万', '单价20184元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload3c463445-74e3-40fd-affa-24ed95189287.jpg.296x216.jpg', '德坤海地亚 电梯高层 套二装修 拎包入住', '德坤海地亚  | 2室2厅 | 78.33平米 | 西北 | 其他 | 有电梯', '低楼层(共18层)2013年建板楼  -  国色天乡', '91万', '单价11618元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload113f2a8f-408e-446b-8d6d-83e607b4b710.jpg.296x216.jpg', '此房是恒大城高层的大户型，恒大城统一装修的', '恒大城四期  | 4室2厅 | 136.52平米 | 西北 | 其他 | 有电梯', '低楼层(共30层)2015年建板塔结合  -  温江新城', '185万', '单价13552元/平米')
('https://image1.ljcdn.com/510100-inspection/4446cfdd-da27-4000-837e-c3180e480464.jpg.296x216.jpg', '金色鱼凫87.93平米 套二带家具家电出售', '金色鱼凫  | 2室2厅 | 87.93平米 | 东北 | 其他 | 有电梯', '中楼层(共18层)2011年建塔楼  -  温江老城', '118万', '单价13420元/平米')
('https://image1.ljcdn.com/510100-inspection/5f5524f4-efbc-4324-aa99-feb484fc6acc.jpg.296x216.jpg', '清溪玫瑰园小区 5室2厅 精装修 小区环境干净舒适', '清溪玫瑰园   | 双拼别墅 | 5室2厅 | 258.12平米 | 南 | 其他', '3层2006年建暂无数据  -  芙蓉古城', '600万', '单价23246元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8f0fd227-9155-4a0b-a23a-0abb148d9c8d.png.296x216.jpg', '国色天乡 丛林背景 简装 电梯标间', '丛林背景  | 1室1厅 | 47.93平米 | 东南 | 其他 | 有电梯', '中楼层(共7层)塔楼  -  国色天乡', '43万', '单价8972元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploadb8ec6d8d-2219-4595-aab0-965582e6a947.jpg.296x216.jpg', '中铁丽景书香标准简装套二，采光极好', '中铁丽景书香  | 2室1厅 | 87平米 | 东南 | 其他 | 有电梯', '低楼层(共33层)2016年建塔楼  -  温江大学城', '110万', '单价12644元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ead84135-b918-4238-ad46-618210dc5ac0.png.296x216.jpg', '花样年花样城精装修三居室可以拎包入住', '花样年花样城  | 3室2厅 | 88.99平米 | 东南 南 | 其他', '低楼层(共33层)暂无数据  -  温江大学城', '115万', '单价12923元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload15b0be4b-98d7-4a04-a09c-6a54f6e9c727.jpg.296x216.jpg', '翰城低楼层，户型方正，视野开阔。', '翰城  | 4室1厅 | 147.51平米 | 南 | 其他 | 无电梯', '中楼层(共5层)2009年建板楼  -  温江大学城', '142.8万', '单价9681元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b1d2a129-1a7a-4882-81e6-3a4fd2f0e56f.png.296x216.jpg', '佳年华新生活精装修套二保养很哦', '佳年华新生活  | 2室2厅 | 65.5平米 | 东南 | 其他', '中楼层(共34层)2016年建塔楼  -  花都大道', '88万', '单价13436元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c64ca278-3eb0-4539-ba8f-2b1fdf643ee0.png.296x216.jpg', '世纪光华  带电梯  装修套二带使用权车位', '世纪光华  | 2室2厅 | 79.14平米 | 东北 | 其他 | 有电梯', '中楼层(共18层)2007年建板塔结合  -  花都大道', '78万', '单价9856元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploadc048c630-ef51-4a6d-989d-e1cc520b6e36.jpg.296x216.jpg', '丽晶港套四 小区中庭 居家装修 满两年', '佳兆业丽晶港  | 4室1厅 | 120.56平米 | 南 | 其他 | 有电梯', '中楼层(共33层)2012年建板楼  -  珠江新城', '205万', '单价17004元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c855cfb5-1517-4551-801d-6e4269e7fcc3.png.296x216.jpg', '电梯小区 满两年 中间楼层 视野开阔', '和音晶座  | 2室1厅 | 94.07平米 | 东南 | 其他', '中楼层(共18层)2009年建板楼  -  温江老城', '100万', '单价10631元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload01654354-44de-4af3-a111-09e4331a09c1.jpg.296x216.jpg', '千禧河畔A区 78户型精装房 带家具家电', '千禧河畔A区  | 2室2厅 | 78平米 | 西北 | 其他 | 有电梯', '高楼层(共26层)塔楼  -  花都大道', '115万', '单价14744元/平米')
('https://image1.ljcdn.com/510100-inspection/d2ebdeb3-5e02-4327-add8-5c9b995adc84.jpg.296x216.jpg', '恒大城装修房，带家具家电 ，小高层，不临街', '恒大城一期  | 3室2厅 | 108.39平米 | 西北 | 其他 | 有电梯', '高楼层(共11层)2010年建板塔结合  -  温江新城', '158万', '单价14577元/平米')
('https://image1.ljcdn.com/510100-inspection/8ae01ee0-a727-48f2-8d08-3113464a1184.jpg.296x216.jpg', '水韵华府洋房顶跃套四，南北通透，都带有阳台花园', '水韵华府  | 4室2厅 | 181.99平米 | 南 | 其他 | 有电梯', '高楼层(共9层)2012年建板塔结合  -  光华大道沿线', '310万', '单价17034元/平米')
('https://image1.ljcdn.com/510100-inspection/test-84ff8819-6a3e-45ba-a8f3-4a6c437def98.png.296x216.jpg', '书香秀筑大套一，户型方正，采光好，通风好', '书香秀筑  | 1室2厅 | 63.63平米 | 南 | 其他 | 有电梯', '高楼层(共11层)2008年建板楼  -  温江大学城', '54万', '单价8487元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload2f9464ed-a257-42cc-becc-f8a80953d8b6.jpg.296x216.jpg', '珠江克莱国际公寓开发商统一装修套二，交通便利', '珠江克莱公寓  | 2室1厅 | 78.27平米 | 北 | 精装 | 有电梯', '高楼层(共31层)2009年建塔楼  -  珠江新城', '93万', '单价11882元/平米')
('https://image1.ljcdn.com/510100-inspection/test-92ab3e49-07de-43ad-83b8-4b1a7e28f14f.png.296x216.jpg', '温江新城区装修两室，有阳台，中间楼层', '格凌兰  | 2室1厅 | 67平米 | 北 | 精装 | 有电梯', '中楼层(共26层)2016年建塔楼  -  温江新城', '102万', '单价15224元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload0a895f3d-0dd2-4784-a185-8b0a0e100ed1.jpg.296x216.jpg', '学府阳光标准套三，采光好，拎包入住。', '西财学府阳光  | 3室1厅 | 88.58平米 | 东南 | 其他 | 有电梯', '中楼层(共33层)2015年建塔楼  -  温江大学城', '110万', '单价12419元/平米')
('https://image1.ljcdn.com/510100-inspection/bf9a422c-f77d-4260-888e-0f671eb678f1.jpg.296x216.jpg', '带平台！带平台！ 装修套二总价低 国色天乡旁', '蓝光四叶城  | 2室1厅 | 79平米 | 东南 | 其他 | 有电梯', '低楼层(共26层)2012年建板塔结合  -  国色天乡', '91万', '单价11519元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0e961778-9184-4d53-99d4-ebad43c5df11.png.296x216.jpg', '光华大道沿线 金河谷四期 带装修两房 从未住过人', '金河谷四期  | 2室2厅 | 80.31平米 | 东南 东北 | 其他 | 有电梯', '高楼层(共29层)2016年建塔楼  -  光华大道沿线', '128万', '单价15939元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e81ac015-156a-4f87-acf8-4f0dccc2dc72.png.296x216.jpg', '精装修套一 业主很诚心卖满两年无按揭', '海科名城  | 1室1厅 | 48.44平米 | 南 | 其他 | 有电梯', '中楼层(共26层)2009年建板楼  -  温江大学城', '58万', '单价11974元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2f5e6fd7-c4f6-4ded-9afd-d0679342c772.png.296x216.jpg', '合能珍宝琥珀标准装修套二。。。', '合能珍宝琥珀  | 2室1厅 | 65.2平米 | 西 | 其他 | 有电梯', '高楼层(共34层)2014年建板塔结合  -  光华大道沿线', '96万', '单价14724元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload9309e555-dd28-4fd0-8aab-31b69cb4085c.jpg.296x216.jpg', '此房是装修套三，户型方正，出行方便', '洲际亚洲湾  | 3室2厅 | 101.5平米 | 东南 | 其他 | 有电梯', '高楼层(共38层)2017年建板楼  -  光华大道沿线', '148万', '单价14582元/平米')
('https://image1.ljcdn.com/510100-inspection/07b25b24-0c47-4dc5-9ee8-c2396c6feceb.jpg.296x216.jpg', '西花汀：河景精装套三双阳台+车位+全定制家具！', '西花汀  | 3室2厅 | 127.31平米 | 东北 | 其他 | 有电梯', '低楼层(共18层)2008年建板楼  -  珠江新城', '180万', '单价14139元/平米')
('https://image1.ljcdn.com/510100-inspection/769a4346-97e9-464a-afbc-6ecb51e4c122.jpg.296x216.jpg', '香颂岛联排端头别墅带大花园850万', '香颂岛  | 4室3厅 | 290.76平米 | 东南 | 其他 | 无电梯', '低楼层(共3层)2006年建板楼  -  花都大道', '850万', '单价29234元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8ebd2774-4d1d-4055-857c-bdcd41681563.png.296x216.jpg', '榕树岭八克拉 套一户型 低楼层采光好', '榕树岭  | 1室1厅 | 48.44平米 | 南 | 其他 | 有电梯', '低楼层(共26层)2012年建塔楼  -  温江大学城', '63万', '单价13006元/平米')
('https://image1.ljcdn.com/510100-inspection/bfa1ed84-a0d5-4c64-ae28-05b67252e063.jpg.296x216.jpg', '胜地金芙蓉套二出售 多层步梯 采光好', '胜地金芙蓉  | 2室2厅 | 84.31平米 | 南 | 其他', '高楼层(共6层)板楼  -  芙蓉古城', '80万', '单价9489元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b229d6c6-e0e6-4a03-b93c-eb8e03a1dd41.png.296x216.jpg', '温江区金马镇装修套三，高楼层，采光好，视野开阔', '东原城  | 3室2厅 | 89.23平米 | 南 | 精装', '高楼层(共34层)2015年建板楼  -  温江大学城', '94万', '单价10535元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload429dc7d4-d835-44ea-9ec2-f63656d62541.jpg.296x216.jpg', '锦绣森邻洋房套二，总价低，可拎包入住。', '锦绣森邻  | 2室2厅 | 87.3平米 | 西南 | 简装 | 无电梯', '高楼层(共6层)2011年建板楼  -  光华大道沿线', '115万', '单价13173元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5a115d34-6654-4759-a711-fa468484e31a.png.296x216.jpg', '向阳茗苑80平套二带装修出售。', '向阳茗苑  | 2室2厅 | 80.56平米 | 东南 | 其他 | 无电梯', '中楼层(共5层)2003年建板楼  -  温江老城', '84万', '单价10428元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload1be35848-3799-4176-b5fa-e38aadf08dcb.jpg.296x216.jpg', '芙蓉古城川西区四合院，没满两年', '芙蓉古城川西区  | 4室2厅 | 174平米 | 西南 | 其他', '低楼层(共2层)板楼  -  芙蓉古城', '210万', '单价12069元/平米')
('https://image1.ljcdn.com/510100-inspection/aa45e2ab-2408-49b7-9fa6-300de5a93e7b.jpg.296x216.jpg', '恒大城 装修跃层 带40平平台', '恒大城一期  | 4室1厅 | 174.18平米 | 东南 | 其他 | 有电梯', '高楼层(共11层)2010年建板塔结合  -  温江新城', '380万', '单价21817元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0eeb13cc-2250-49d0-87e5-728cdbe37ca3.png.296x216.jpg', '和信孔雀城  居家装修套三双卫  满两年 中间位置', '和信孔雀天成  | 3室2厅 | 126.4平米 | 东南 | 其他 | 有电梯', '低楼层(共32层)2015年建塔楼  -  温江新城', '172万', '单价13608元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload80af8214-a1df-44b9-b76b-69cef64c1c26.jpg.296x216.jpg', '鱼凫阳光   套二装修房 户型方正   视野无遮挡', '鱼凫阳光  | 2室2厅 | 85.67平米 | 东 | 其他 | 有电梯', '高楼层(共18层)2007年建板楼  -  温江老城', '83万', '单价9689元/平米')
('https://image1.ljcdn.com/510100-inspection/b75f18bf-5ce9-45b9-a537-4f57c5858f73.jpg.296x216.jpg', '地铁首座套一公寓，有装修，带家电家具', '地铁首座  | 1室1厅 | 50.9平米 | 东南 | 其他 | 有电梯', '低楼层(共32层)2016年建塔楼  -  温江大学城', '62万', '单价12181元/平米')
('https://image1.ljcdn.com/510100-inspection/ac57023b-9012-42bd-b5e2-f6cba6a3871e.jpg.296x216.jpg', '居家装修2居室，几乎从未入住，对中庭，中间楼层', '鱼凫阳光  | 2室2厅 | 84.98平米 | 南 | 其他 | 有电梯', '高楼层(共18层)2007年建板楼  -  温江老城', '78万', '单价9179元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9206ca3d-da45-4c5b-95c5-b33c974302dc.png.296x216.jpg', '世纪光华装修套二，目前自主，朝南对中庭', '世纪光华  | 2室2厅 | 86平米 | 西南 | 其他 | 有电梯', '低楼层(共18层)2007年建板塔结合  -  花都大道', '92万', '单价10698元/平米')
('https://image1.ljcdn.com/510100-inspection/test-26095b95-daea-4370-9a03-6a52f2830db3.png.296x216.jpg', '嘉瑞国际中间楼层套二清水            。', '嘉瑞国际  | 2室1厅 | 89.6平米 | 东南 | 毛坯 | 有电梯', '中楼层(共27层)2012年建塔楼  -  花都大道', '89万', '单价9934元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ff27ef46-de4d-49b1-bde6-a0720cfd64ec.png.296x216.jpg', '明信仕林府 装修房套二 户型方正', '明信仕林府  | 3室2厅 | 84.13平米 | 西南 | 其他', '中楼层(共33层)2016年建塔楼  -  温江大学城', '115万', '单价13670元/平米')
('https://image1.ljcdn.com/510100-inspection/7b5bdd6c-dda6-4313-9386-b9cbf38217ba.jpg.296x216.jpg', '朝阳时代西锦中高层+户型方正+清水套二+视野开阔', '朝阳时代西锦  | 2室1厅 | 89.25平米 | 西南 | 其他 | 有电梯', '中楼层(共33层)2014年建板楼  -  花都大道', '100万', '单价11205元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e6985cc6-490d-4d10-8784-bd5dc07bb439.png.296x216.jpg', '和音晶座      装修套二单卫', '和音晶座  | 2室2厅 | 47平米 | 东南 | 其他', '高楼层(共18层)2009年建板楼  -  温江老城', '50万', '单价10639元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b1a1ef9c-a06a-49e0-a236-359c17680254.png.296x216.jpg', '套四双卫装修房，保养的不错，可以拎包入住。', '西蜀尚都  | 4室2厅 | 126.39平米 | 东南 | 精装 | 有电梯', '中楼层(共32层)2010年建塔楼  -  温江老城', '135万', '单价10682元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9493d465-3d8f-4c11-a153-4985677cd2bf.png.296x216.jpg', '花样年花样城精装套三，三阳台户型', '花样年花样城  | 3室2厅 | 88.03平米 | 南 | 精装', '低楼层(共25层)2015年建塔楼  -  温江大学城', '89万', '单价10111元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0a27b55e-d5b6-4716-93ca-686250f76be8.png.296x216.jpg', '中铁丽景书香 精装套三 中间楼层 对中庭', '中铁丽景书香  | 3室2厅 | 87.03平米 | 东南 | 其他 | 有电梯', '中楼层(共31层)2016年建塔楼  -  温江大学城', '113万', '单价12985元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload4a6cd5a1-239f-43aa-af50-7e834d16046f.jpg.296x216.jpg', '精装修 套三 对中庭 电梯房 采光好', '那城  | 3室1厅 | 107平米 | 东 | 其他 | 有电梯', '中楼层(共10层)2006年建板塔结合  -  温江老城', '126万', '单价11776元/平米')
('https://image1.ljcdn.com/510100-inspection/test-70a2b40d-2cf7-4986-9267-338b6e1dfe0d.png.296x216.jpg', '珠江青云台小套三，朝南，采光好', '珠江青云台  | 3室2厅 | 97平米 | 东南 | 其他', '高楼层(共33层)2017年建板楼  -  花都大道', '135万', '单价13918元/平米')
('https://image1.ljcdn.com/510100-inspection/09fa1b25-4a3d-45d7-955f-5fe23e960ad2.jpg.296x216.jpg', '银诚归墅  联排别墅   中庭位置  东南朝向 采光充足', '银诚归墅  | 4室2厅 | 254.48平米 | 东南 | 毛坯 | 无电梯', '低楼层(共3层)2011年建板楼  -  珠江新城', '498万', '单价19570元/平米')
('https://image1.ljcdn.com/510100-inspection/test-15479d3a-f1dc-4404-98fe-c57ebcd9411c.png.296x216.jpg', '朝阳时代西锦套二清水户型方正随意装修', '朝阳时代西锦  | 2室2厅 | 88.33平米 | 东南 | 其他 | 有电梯', '高楼层(共33层)2014年建板楼  -  花都大道', '95万', '单价10756元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c11ef2e4-6091-4981-8a6a-afb89c006f09.png.296x216.jpg', '丽晶港精装套二        户型方正', '佳兆业丽晶港  | 2室2厅 | 73.31平米 | 东南 | 其他 | 有电梯', '中楼层(共33层)2012年建板楼  -  珠江新城', '105万', '单价14323元/平米')
('https://image1.ljcdn.com/510100-inspection/test-131b3a4c-8c80-40db-ad89-c168a5aafe7c.png.296x216.jpg', '格凌兰精装修套三满两年无增值税', '格凌兰  | 3室1厅 | 87.32平米 | 东 | 其他 | 有电梯', '低楼层(共26层)2016年建塔楼  -  温江新城', '134万', '单价15346元/平米')
('https://image1.ljcdn.com/510100-inspection/380d8729-2222-4a45-aa68-321b86257e6e.jpg.296x216.jpg', '清溪玫瑰园清水端头别墅，满两年，无抵押', '清溪玫瑰园   | 联排别墅 | 6室2厅 | 246.86平米 | 东南 南 | 其他', '3层2006年建暂无数据  -  芙蓉古城', '420万', '单价17014元/平米')
('https://image1.ljcdn.com/510100-inspection/9f306f31-e2b9-4d60-80df-73fe4a394751.jpg.296x216.jpg', '安居苑，装修套三，满两年，户型方正，养老居家推荐', '安居苑  | 3室2厅 | 127.79平米 | 东南 | 其他 | 有电梯', '中楼层(共7层)2000年建板塔结合  -  温江老城', '109万', '单价8530元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload18c8bef7-c432-4b71-9efd-c7e61cd9c035.jpg.296x216.jpg', '芙蓉古城紫玉园双拼别墅带车位，中间位置', '芙蓉古城紫玉园   | 联排别墅 | 6室2厅 | 381.9平米 | 南 | 其他', '3层暂无数据  -  芙蓉古城', '570万', '单价14926元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e503f97a-c92d-4588-ab14-35cdf6accdd2.png.296x216.jpg', '洲际亚洲湾清水套三双卫，带大阳台，视野开阔。', '洲际亚洲湾  | 3室2厅 | 102平米 | 西南 | 其他 | 有电梯', '高楼层(共38层)2017年建板楼  -  光华大道沿线', '125万', '单价12255元/平米')
('https://image1.ljcdn.com/510100-inspection/test-dc6c2e87-5f5c-45a2-8761-b2b372e66999.png.296x216.jpg', '柳浪湾6号院 高楼层 采光好 满两年', '柳浪湾6号院  | 3室1厅 | 123.82平米 | 东北 | 其他', '高楼层(共6层)暂无数据  -  温江大学城', '118万', '单价9530元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload0b1dc138-b799-45b7-ba90-7791f83cf4a3.jpg.296x216.jpg', '七彩花都套二装修房          。', '七彩花都B区一期  | 2室1厅 | 96平米 | 东北 | 精装 | 无电梯', '低楼层(共5层)2008年建板楼  -  花都大道', '110万', '单价11459元/平米')
('https://image1.ljcdn.com/510100-inspection/6d7f5fa5-6bca-41ec-a3c4-3a72d4107d02.jpg.296x216.jpg', '公园大道 跃层套二双卫 客厅带阳台', '公园大道  | 2室2厅 | 96.5平米 | 南 | 毛坯 | 有电梯', '高楼层(共12层)2012年建板塔结合  -  光华大道沿线', '125万', '单价12954元/平米')
('https://image1.ljcdn.com/510100-inspection/test-02561ff3-e6d9-4f1d-80fa-9d4373684b18.png.296x216.jpg', '花样年花样城 清水小套一 高楼层，视野采光好', '花样年花样城  | 1室1厅 | 47.8平米 | 东 | 其他 | 有电梯', '高楼层(共31层)2015年建塔楼  -  温江大学城', '48万', '单价10042元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3d0f0465-1673-498f-b601-519505acca3b.png.296x216.jpg', '金马镇 花样年花样城五期  清水套三 急卖', '花样年花样城五期  | 3室2厅 | 88.61平米 | 东南 | 毛坯 | 有电梯', '高楼层(共30层)塔楼  -  温江大学城', '76万', '单价8577元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6ad22ca4-1182-4a2c-b1c5-c5040422bcd3.png.296x216.jpg', '置信学府杏林 2室2厅 小区环境干净舒适 适合居住', '置信学府杏林二期  | 2室2厅 | 81.35平米 | 南 | 其他', '低楼层(共18层)板楼  -  芙蓉古城', '82万', '单价10080元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f32bc218-e1ad-4c25-9518-aa23e5075562.png.296x216.jpg', '西财学府憬城，精装修，三居室，房东诚心出售拎包入住', '西财学府憬城  | 3室2厅 | 92.35平米 | 西北 | 精装 | 有电梯', '中楼层(共26层)2014年建板楼  -  温江大学城', '125万', '单价13536元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6d13e0c7-137e-4055-8200-f71e1631f6e6.png.296x216.jpg', '鹭湖宫精装带家具家电跃层，已改成5室，带车位出售！', '鹭湖宫二区  | 3室2厅 | 131.49平米 | 东南 | 其他 | 无电梯', '高楼层(共5层)2009年建板楼  -  国色天乡', '210万', '单价15971元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c97b326b-6520-42bd-9cbd-732d9e3dd475.png.296x216.jpg', '此房产权满2年，户型通透，采光视野良好', '金桂花园  | 4室3厅 | 168平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  温江老城', '122万', '单价7262元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5e6e37ce-80d7-4e38-ad1f-6283fce4402a.png.296x216.jpg', '中铁丽景书香              三居室', '中铁丽景书香  | 3室2厅 | 88.82平米 | 南 | 其他 | 有电梯', '中楼层(共33层)2016年建塔楼  -  温江大学城', '100万', '单价11259元/平米')
('https://image1.ljcdn.com/510100-inspection/ffc35f40-7535-417d-b009-f301b0768d4e.jpg.296x216.jpg', '清溪玫瑰园 4室2厅 439万', '清溪玫瑰园   | 双拼别墅 | 4室2厅 | 229.76平米 | 南 | 毛坯', '3层2006年建暂无数据  -  芙蓉古城', '439万', '单价19107元/平米')
('https://image1.ljcdn.com/510100-inspection/test-be9af7e0-bd49-4527-9326-01f3d08b96f0.png.296x216.jpg', '花样年花样城    精装套三   满两年', '花样年花样城  | 3室2厅 | 83.99平米 | 西南 | 精装', '中楼层(共33层)塔楼  -  温江大学城', '90万', '单价10716元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7b775a6f-6cda-4383-8233-6d495533d7b8.png.296x216.jpg', '品质小区多层住宅，春江青龙湾精装套二带花园', '春江青龙湾  | 2室2厅 | 80.4平米 | 东南 | 其他 | 无电梯', '低楼层(共6层)2012年建板塔结合  -  国色天乡', '85万', '单价10573元/平米')
('https://image1.ljcdn.com/510100-inspection/57c48ade-6135-4e14-b629-6725e4e1f09f.jpg.296x216.jpg', '学府憬城，精装修，满二，采光很好，中间楼层', '西财学府憬城  | 2室1厅 | 86.67平米 | 南 | 简装 | 有电梯', '高楼层(共26层)2014年建板楼  -  温江大学城', '105万', '单价12115元/平米')
('https://image1.ljcdn.com/510100-inspection/test-386db0ac-97b0-4fb5-89cd-4d9c6de1d399.png.296x216.jpg', '柳浪湾6号院套三双卫，户型方正，采光好', '柳浪湾6号院  | 3室2厅 | 125平米 | 东南 | 其他', '高楼层(共6层)暂无数据  -  温江大学城', '91万', '单价7280元/平米')
('https://image1.ljcdn.com/510100-inspection/test-59d1bb86-569d-45de-96f2-8824286de9cc.png.296x216.jpg', '恒大标准套三单卫，满两年，视野很好，可直接拎包入住', '恒大城一期  | 3室2厅 | 92.75平米 | 东北 | 其他 | 有电梯', '中楼层(共33层)2010年建板塔结合  -  温江新城', '125万', '单价13478元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7a02a8b9-8aea-4d77-aa39-2887b302e082.png.296x216.jpg', '书香秀筑 装修一居室 户型方正 有钥匙可以随时看房', '书香秀筑  | 1室1厅 | 61.81平米 | 东南 | 其他 | 有电梯', '高楼层(共11层)2008年建板楼  -  温江大学城', '51万', '单价8252元/平米')
('https://image1.ljcdn.com/510100-inspection/test-fde98563-881d-4c73-9db3-cb8f63a1fa49.png.296x216.jpg', '西财学府尚郡  套四双卫  前后带阳台', '西财学府尚郡  | 4室2厅 | 166.26平米 | 南 | 毛坯 | 有电梯', '中楼层(共11层)2013年建板楼  -  温江大学城', '155万', '单价9323元/平米')
