('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload7427d6df-18f2-4c82-b5da-8f3a73e162aa.jpg.296x216.jpg', '海沧建行站，进出岛方便，产权满两年，业主诚意出售', '亚桥花园  | 2室2厅 | 68.78平米 | 东 西 | 简装 | 无电梯', '中楼层(共8层)2002年建板楼  -  海沧生活区', '200万', '单价29079元/平米')
('https://image1.ljcdn.com/350200-inspection/07260e07-337c-485e-bd00-72c2904a7f5f.jpg.296x216.jpg', '大金门花园大三房  楼中楼   居家装修', '大金门花园  | 3室1厅 | 48.97平米 | 西南 | 其他 | 无电梯', '高楼层(共7层)2000年建板楼  -  海沧生活区', '230万', '单价46968元/平米')
('https://image1.ljcdn.com/350200-inspection/198c644d-38ac-41d0-bef1-7ac67b7a07b7.JPG.296x216.jpg', '金城湾花园 2室2厅 250万', '金城湾花园  | 2室2厅 | 82.76平米 | 南 | 其他 | 有电梯', '中楼层(共33层)2011年建塔楼  -  未来海岸北师大', '250万', '单价30208元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload50ad3563-42f9-4104-b12c-29d557fcd643.jpg.296x216.jpg', '天籁优质两房产权满五唯一业主诚意出售', '天籁  | 2室2厅 | 83.97平米 | 南 | 其他 | 有电梯', '中楼层(共23层)2008年建板楼  -  海沧生活区', '340万', '单价40491元/平米')
('https://image1.ljcdn.com/350200-inspection/0028dcdf-6325-4942-af8b-98265193dae4.jpg.296x216.jpg', '未来海岸蓝月湾一期 3室2厅 490万', '未来海岸蓝月湾一期  | 3室2厅 | 130.07平米 | 东 | 其他 | 有电梯', '低楼层(共31层)2007年建板楼  -  未来海岸北师大', '490万', '单价37673元/平米')
('https://image1.ljcdn.com/350200-inspection/5d7111bb-cbee-4959-b50c-a1ce50900419.jpg.296x216.jpg', '天湖城高档生活住宅小区正规3房', '天湖城天湖  | 4室1厅 | 136.82平米 | 南 北 | 简装 | 有电梯', '低楼层(共29层)2012年建板楼  -  海沧区政府', '468万', '单价34206元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_uploadf3821710-9c85-4920-92e8-7d4dbb87f6c2.JPG.296x216.jpg', '兴港花园二期 3室2厅 288万', '兴港花园二期  | 3室2厅 | 103平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)2000年建板楼  -  海沧外国语片区', '288万', '单价27962元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload23fcbc1b-8e2d-46d6-966b-e25ed4bea453.jpg.296x216.jpg', '未来橙堡 1室1厅 115万', '未来橙堡  | 1室1厅 | 38.3平米 | 南 | 精装 | 无电梯', '高楼层(共7层)2005年建塔楼  -  海沧体育中心', '115万', '单价30027元/平米')
('https://image1.ljcdn.com/350200-inspection/5d1344fd-6c46-4e09-95ea-c87240e2ea49.JPG.296x216.jpg', '天湖城 精装修大三房 高楼层采光好 视野好 区政府旁', '天湖城天湖  | 3室2厅 | 109.67平米 | 东南 | 精装 | 有电梯', '高楼层(共26层)2012年建板楼  -  海沧区政府', '365万', '单价33282元/平米')
('https://image1.ljcdn.com/350200-inspection/50999113-a038-447b-b95e-47b273b6b763.jpg.296x216.jpg', '金海岸 朝南户型 正规大4房 诚意出售 一楼带花园', '禹洲华侨金海岸  | 4室2厅 | 119.2平米 | 南 | 简装 | 有电梯', '低楼层(共33层)2008年建板塔结合  -  海沧体育中心', '430万', '单价36074元/平米')
('https://image1.ljcdn.com/350200-inspection/e2a297bf-bfd5-4218-aaea-9182f505722a.jpg.296x216.jpg', '旭日海湾三期 3室2厅 320万', '旭日海湾三期  | 3室2厅 | 119.17平米 | 东南 | 其他 | 有电梯', '中楼层(共10层)2004年建板楼  -  滨海社区', '320万', '单价26853元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload8644e958-1533-4974-a010-0efc8de9dbb3.JPG.296x216.jpg', '兴旺广场 2室2厅 190万', '兴旺广场  | 2室2厅 | 82.5平米 | 东南 | 其他 | 无电梯', '中楼层(共6层)板楼  -  新阳工业区', '190万', '单价23031元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload3406f0ea-880d-4c2f-8a37-04f8c2936c3f.JPG.296x216.jpg', '海沧泰地海西 精装湖海双景 楼层好 景观赞 拎包入住', 'SEC泰地海西中心  | 1室0厅 | 39.86平米 | 西 | 精装 | 有电梯', '中楼层(共31层)2014年建塔楼  -  海沧区政府', '85万', '单价21325元/平米')
('https://image1.ljcdn.com/350200-inspection/1a5930e9-239c-42ef-8c8a-572449d1ad78.JPG.296x216.jpg', '绿苑海景高层精装3房 满两年 看海看湖看中庭', '绿苑海景  | 3室2厅 | 134.81平米 | 东南 | 精装 | 有电梯', '高楼层(共33层)2007年建塔楼  -  滨海社区', '573万', '单价42505元/平米')
('https://image1.ljcdn.com/350200-inspection/28dbdf25-03f4-4160-8147-4a756193ee27.jpg.296x216.jpg', '海投天源音乐喷泉旁带装修方正两房', '天源  | 2室2厅 | 92.63平米 | 南 | 精装 | 有电梯', '中楼层(共30层)2015年建板楼  -  海沧体育中心', '445万', '单价48041元/平米')
('https://image1.ljcdn.com/350200-inspection/520b4564-009c-4ee8-ad99-c7ebf69ee933.jpg.296x216.jpg', '文圃花园 2室1厅 225万', '文圃花园  | 2室1厅 | 84.69平米 | 东 南 西 | 其他 | 无电梯', '中楼层(共8层)2003年建板楼  -  海沧生活区', '225万', '单价26568元/平米')
('https://image1.ljcdn.com/350200-inspection/f5385fbc-c69a-428d-b1f0-e9999363e140.jpg.296x216.jpg', '新上中层 看房方便 产权满两年 欢迎您来电品鉴', '未来海岸蓝水郡  | 2室2厅 | 81.69平米 | 南 | 其他 | 有电梯', '中楼层(共18层)2005年建塔楼  -  海沧体育中心', '265万', '单价32440元/平米')
('https://image1.ljcdn.com/350200-inspection/b9e17918-3a44-4585-ba94-2992702fd522.jpg.296x216.jpg', '海沧生活区沧虹路 海富路 延奎优质三房', '大永固花园  | 3室1厅 | 131.81平米 | 南 北 | 简装 | 无电梯', '高楼层(共8层)1994年建板楼  -  海沧生活区', '290万', '单价22002元/平米')
('https://image1.ljcdn.com/350200-inspection/d00122ea-6fac-47d8-bffd-7ebfb8a78218.jpg.296x216.jpg', '未来海岸浪琴湾正规朝南自住两房', '未来海岸浪琴湾  | 2室2厅 | 91.51平米 | 西南 | 其他 | 有电梯', '中楼层(共11层)2006年建板楼  -  未来海岸北师大', '308万', '单价33658元/平米')
('https://image1.ljcdn.com/350200-inspection/76c95aad-b5fd-4da2-adf3-522a63611780.JPG.296x216.jpg', '海沧大桥底下 自住正规两房 产权满五年 税费低', '金龙商城二期  | 2室2厅 | 67.4平米 | 南 | 简装 | 无电梯', '高楼层(共6层)2004年建板楼  -  海沧生活区', '182万', '单价27003元/平米')
('https://image1.ljcdn.com/350200-inspection/aea6333e-4e8f-4a7a-8454-cd2d5747d94e.jpg.296x216.jpg', '青春海岸 3室2厅 310万', '青春海岸  | 3室2厅 | 89.33平米 | 南 | 其他 | 有电梯', '高楼层(共19层)2016年建板楼  -  新阳工业区', '310万', '单价34703元/平米')
('https://image1.ljcdn.com/350200-inspection/f48f1eb7-2807-4faf-9454-3749f4c06b89.jpg.296x216.jpg', '居家一房一厅 高层视野开阔 采光好', '未来海岸蓝水郡  | 1室1厅 | 53.17平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2008年建塔楼  -  海沧体育中心', '210万', '单价39496元/平米')
('https://image1.ljcdn.com/350200-inspection/25d5fc67-a37a-4574-9701-8451b1a39776.jpg.296x216.jpg', '海沧医院延奎银河花园中楼层电梯大三房南北通透双阳台', '银河花园  | 3室2厅 | 140.94平米 | 东 南 北 | 精装 | 有电梯', '中楼层(共16层)2003年建板楼  -  海沧生活区', '500万', '单价35477元/平米')
('https://image1.ljcdn.com/350200-inspection/11360e42-2638-42f3-8d37-538e801fff80.JPG.296x216.jpg', '万科精装三房 采光充足 配套设施齐全，中高楼层。。。', '万科城二期  | 3室2厅 | 111.44平米 | 东南 | 精装 | 有电梯', '低楼层(共42层)2016年建板楼  -  马銮湾', '380万', '单价34100元/平米')
('https://image1.ljcdn.com/350200-inspection/20963294-a745-4964-ba8a-60d374e53ed5.jpg.296x216.jpg', '宏大花园 2室1厅 145万', '宏大花园  | 2室1厅 | 58.5平米 | 东南 | 其他 | 无电梯', '中楼层(共7层)2004年建板楼  -  未来海岸北师大', '145万', '单价24787元/平米')
('https://image1.ljcdn.com/350200-inspection/f5be8c48-fb76-4803-b3ce-07e61d24de24.JPG.296x216.jpg', '海晟维多利亚 2室1厅 380万', '海晟维多利亚  | 2室1厅 | 92.5平米 | 南 | 精装 | 有电梯', '高楼层(共32层)2010年建塔楼  -  滨海社区', '380万', '单价41082元/平米')
('https://image1.ljcdn.com/350200-inspection/0029a990-5d0c-4d5d-ad3a-a5ebea855b20.jpg.296x216.jpg', '海沧 天御花园小区 南北通透 自住居家装 可拎包入住', '天御小区  | 3室2厅 | 127平米 | 南 北 | 精装 | 有电梯', '中楼层(共18层)2007年建板楼  -  海沧区政府', '435万', '单价34252元/平米')
('https://image1.ljcdn.com/350200-inspection/8a2aba85-629a-4246-a1a0-c8aa2e04a84e.jpg.296x216.jpg', '海湾锦园 3室1厅 390万', '海湾锦园  | 3室1厅 | 138.27平米 | 南 | 其他 | 有电梯', '中楼层(共18层)2006年建塔楼  -  未来海岸北师大', '390万', '单价28206元/平米')
('https://image1.ljcdn.com/350200-inspection/8b86be0f-3a55-47b9-84ee-6d3894c77b45.jpg.296x216.jpg', '天御小区 向东而照 前无遮阳 左邻右舍 不耻下价', '天御小区  | 3室2厅 | 131.19平米 | 东 | 简装 | 有电梯', '低楼层(共33层)2007年建板楼  -  海沧区政府', '420万', '单价32015元/平米')
('https://image1.ljcdn.com/350200-inspection/f216f8b3-04ee-43e9-9a26-a8efcbc6e24e.JPG.296x216.jpg', '产权满五年 免增值税 有钥匙 看房随时', '宏大花园  | 3室2厅 | 132.89平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)板楼  -  未来海岸北师大', '318万', '单价23930元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_uploadb9d8f41d-50ed-4fe7-af8c-8ee0ef287dd2.jpg.296x216.jpg', '海沧体育 精装修 通透户型  采光无遮挡 看房预约', '禹洲领海  | 3室2厅 | 119.33平米 | 南 | 精装 | 有电梯', '低楼层(共33层)2011年建塔楼  -  海沧体育中心', '480万', '单价40225元/平米')
('https://image1.ljcdn.com/350200-inspection/e623d348-df07-4aee-ab6e-f06bcd9a783e.jpg.296x216.jpg', '未来橙堡 原始小户型 自住简单装修 南北通透 适合过渡', '未来橙堡  | 1室1厅 | 40.44平米 | 东南 | 简装 | 无电梯', '高楼层(共7层)2005年建塔楼  -  海沧体育中心', '125万', '单价30910元/平米')
('https://image1.ljcdn.com/350200-inspection/aebeafcb-d2f5-4688-bbe9-b1c27312b994.jpg.296x216.jpg', '亚太广场 3室2厅 420万', '亚太广场  | 3室2厅 | 96.19平米 | 南 | 其他 | 有电梯', '中楼层(共11层)2007年建板楼  -  海沧生活区', '420万', '单价43664元/平米')
('https://image1.ljcdn.com/350200-inspection/990a8310-c9e4-44ec-a9d3-53b5500a5560.jpg.296x216.jpg', '未来海岸蓝月湾一期 3室2厅 480万', '未来海岸蓝月湾一期  | 3室2厅 | 137平米 | 南 | 其他 | 有电梯', '中楼层(共31层)2007年建板楼  -  未来海岸北师大', '480万', '单价35037元/平米')
('https://image1.ljcdn.com/350200-inspection/95bc928c-0663-4da9-b483-4e2e80d099ff.JPG.296x216.jpg', '青春海岸 3室2厅 270万', '青春海岸  | 3室2厅 | 87.56平米 | 南 | 其他 | 有电梯', '中楼层(共33层)2016年建板楼  -  新阳工业区', '270万', '单价30836元/平米')
('https://image1.ljcdn.com/350200-inspection/5cfd1bcf-53fa-4ae5-a82a-5e336f84d910.JPG.296x216.jpg', '未来橙堡 2室0厅 121万', '未来橙堡  | 2室0厅 | 40.37平米 | 南 | 其他 | 无电梯', '中楼层(共7层)2005年建塔楼  -  海沧体育中心', '121万', '单价29973元/平米')
('https://image1.ljcdn.com/350200-inspection/f5922f92-7c2e-44ac-a770-3794404e42ac.jpg.296x216.jpg', '浪琴湾 视野无遮挡 180°海景 客厅带阳台 朝东南', '未来海岸浪琴湾  | 2室1厅 | 102.98平米 | 东南 | 简装 | 无电梯', '高楼层(共7层)2006年建板楼  -  未来海岸北师大', '299万', '单价29035元/平米')
('https://image1.ljcdn.com/350200-inspection/66120f6e-bcf1-47ab-bdd3-bc5d3577c0f3.jpg.296x216.jpg', '该房户型为通透户型，采光好，满2年，', '绿苑海景  | 3室2厅 | 138.38平米 | 西南 | 毛坯 | 有电梯', '低楼层(共28层)2007年建塔楼  -  滨海社区', '460万', '单价33242元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload6360929a-914f-42e0-b82e-5fcbafcde4c5.jpg.296x216.jpg', '产权满五年 免增值税 双阳台 自住精装修', '广场湖畔花园  | 4室2厅 | 127.15平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2007年建板楼  -  海沧外国语片区', '330万', '单价25954元/平米')
('https://image1.ljcdn.com/350200-inspection/ed317055-6140-4d63-b163-062e97805662.jpg.296x216.jpg', '新上阿罗海旁，天湖3房2卫2阳台，南北通透，满2年', '天湖城天湖  | 3室2厅 | 134.88平米 | 南 北 | 精装 | 有电梯', '低楼层(共32层)2012年建板楼  -  海沧区政府', '455万', '单价33734元/平米')
('https://image1.ljcdn.com/350200-inspection/f04db72d-5eb3-4734-8fd8-e75e1199fe36.JPG.296x216.jpg', '浪琴湾 看中庭 南北两房 满五 税费少 业主诚意出售', '未来海岸浪琴湾  | 2室2厅 | 89.97平米 | 南 北 | 简装 | 有电梯', '中楼层(共11层)2006年建板楼  -  未来海岸北师大', '275万', '单价30566元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_uploadacf184c8-beae-4234-a1c0-9d32e110f3d0.JPG.296x216.jpg', '本房大三房看海看湖业主诚意出售，二梯二户刚需毛胚价', '加州海岸  | 3室2厅 | 132.97平米 | 南 北 | 简装 | 有电梯', '低楼层(共18层)2007年建板楼  -  海沧生活区', '480万', '单价36099元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_uploadf063e5f1-3267-4e48-819e-2b43bc9926cc.jpg.296x216.jpg', '未来橙堡边套 多赠送面积 一房一厅 带大厨房  居家装', '未来橙堡  | 1室1厅 | 37.98平米 | 南 | 简装', '高楼层(共7层)塔楼  -  海沧体育中心', '123万', '单价32386元/平米')
('https://image1.ljcdn.com/350200-inspection/d33fb211-b1b7-411d-829c-9dc3d7f71505.jpg.296x216.jpg', '产权满2年，电梯2房可改3房，交通便利，配套齐全', '华澳花园  | 2室2厅 | 84.44平米 | 东 | 精装 | 有电梯', '高楼层(共8层)2006年建板楼  -  海沧外国语片区', '279万', '单价33042元/平米')
('https://image1.ljcdn.com/350200-inspection/ade4f97b-16a3-4a13-aed1-4ace0cb2f504.jpg.296x216.jpg', '汇景佳园 3室2厅 388万', '汇景佳园  | 3室2厅 | 101.05平米 | 东南 | 其他 | 有电梯', '低楼层(共23层)2005年建板楼  -  未来海岸北师大', '388万', '单价38397元/平米')
('https://image1.ljcdn.com/350200-inspection/2d81a685-9f68-4ce6-926d-9e6620979906.jpg.296x216.jpg', '未来城堡一房一厅，朝南边套，产权满两年', '未来橙堡  | 1室1厅 | 35.56平米 | 南 | 精装 | 无电梯', '中楼层(共7层)2005年建塔楼  -  海沧体育中心', '99万', '单价27841元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload90bad829-247d-4fb4-8346-202dfe7e89d6.JPG.296x216.jpg', 'SEC泰地海西中心 3室2厅 438万', 'SEC泰地海西中心  | 3室2厅 | 166.45平米 | 东南 | 其他 | 有电梯', '中楼层(共30层)2014年建塔楼  -  海沧区政府', '438万', '单价26315元/平米')
('https://image1.ljcdn.com/350200-inspection/9aa995f5-aa01-4b7c-92e9-2d3180c00407.jpg.296x216.jpg', '天籁 1室1厅 137万', '天籁  | 1室1厅 | 33.44平米 | 北 | 简装 | 有电梯', '高楼层(共18层)2008年建板楼  -  海沧生活区', '137万', '单价40969元/平米')
('https://image1.ljcdn.com/350200-inspection/876e080c-5f5a-4ed3-8db5-b7ef0842072d.JPG.296x216.jpg', '维多利亚小三房 365万 业主换房诚意出售', '海晟维多利亚  | 3室1厅 | 90.3平米 | 东南 | 精装 | 有电梯', '中楼层(共30层)2010年建塔楼  -  滨海社区', '365万', '单价40421元/平米')
('https://image1.ljcdn.com/350200-inspection/fd988048-bdbb-44cc-af56-0b6275323986.jpg.296x216.jpg', '精装3房，目前房东自己住，看中庭。', '禹洲尊海  | 3室2厅 | 108.78平米 | 南 北 | 精装 | 有电梯', '低楼层(共32层)2013年建塔楼  -  海沧体育中心', '490万', '单价45046元/平米')
('https://image1.ljcdn.com/350200-inspection/b5160d5e-4f15-4ea8-858d-d1b389c85330.jpg.296x216.jpg', '满二年+精装修+看房方便+业主稳定', '水岸名筑  | 3室2厅 | 103平米 | 南 北 | 精装 | 有电梯', '高楼层(共13层)2008年建板塔结合  -  海沧体育中心', '330万', '单价32039元/平米')
('https://image1.ljcdn.com/350200-inspection/709d3091-f9bf-4abd-85b3-e3bf6078b7cc.jpg.296x216.jpg', '融信海上城 2室2厅 115万', '融信海上城  | 2室2厅 | 43.53平米 | 东 | 其他 | 有电梯', '中楼层(共26层)2015年建塔楼  -  滨海社区', '115万', '单价26419元/平米')
('https://image1.ljcdn.com/350200-inspection/325556b5-60a6-4349-9766-c088b6033d84.JPG.296x216.jpg', '新华园 2室2厅 249万', '新华园  | 2室2厅 | 90.62平米 | 南 | 其他 | 无电梯', '中楼层(共8层)2003年建板楼  -  海沧生活区', '249万', '单价27478元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload277abc39-88a1-4015-8479-1e92ec73012c.jpg.296x216.jpg', '天籁 2室1厅 308万', '天籁  | 2室1厅 | 87.18平米 | 南 北 | 其他 | 有电梯', '低楼层(共18层)2008年建板楼  -  海沧生活区', '308万', '单价35330元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload83b80c6b-1406-4c24-a8b1-201f7588efdc.jpg.296x216.jpg', '水岸名筑 大2房 双阳台 带车位', '水岸名筑  | 2室2厅 | 98.74平米 | 南 | 其他 | 有电梯', '中楼层(共18层)2008年建板塔结合  -  海沧体育中心', '320万', '单价32409元/平米')
('https://image1.ljcdn.com/350200-inspection/5d46a5c3-084a-4168-aafe-f751326238d7.jpg.296x216.jpg', '单身公寓 改好两房 公摊小 适用高看房方便 满两年', '未来海岸蓝月湾二期  | 2室1厅 | 52.13平米 | 南 | 简装 | 有电梯', '低楼层(共28层)2007年建板楼  -  未来海岸北师大', '220万', '单价42203元/平米')
('https://image1.ljcdn.com/350200-inspection/d52f3e86-4be9-4571-9e75-de1b1be64a85.jpg.296x216.jpg', '天湖城天湖 4室2厅 520万', '天湖城天湖  | 4室2厅 | 131.55平米 | 东南 | 精装 | 有电梯', '中楼层(共29层)2012年建板楼  -  海沧区政府', '520万', '单价39529元/平米')
('https://image1.ljcdn.com/350200-inspection/4fd33bd8-5fa4-4f52-a2e7-8cdebefcb965.jpg.296x216.jpg', '禹洲领海 7室3厅 638万', '禹洲领海  | 7室3厅 | 153.36平米 | 南 西南 | 其他 | 有电梯', '中楼层(共33层)2011年建塔楼  -  海沧体育中心', '638万', '单价41602元/平米')
('https://image1.ljcdn.com/350200-inspection/681272a6-8700-479c-a78f-b8d0581e0178.jpg.296x216.jpg', '尊海御墅 沿海别墅，看亚洲水秀音乐喷泉', '禹洲尊海   | 双拼别墅 | 7室5厅 | 375.37平米 | 南 北 | 其他', '4层暂无数据  -  海沧体育中心', '2800万', '单价74594元/平米')
('https://image1.ljcdn.com/350200-inspection/310516c9-316d-47a9-b915-3f6e44fc60d5.JPG.296x216.jpg', '未来海岸 单身公寓 总价低 看房方便', '泉舜星园美第  | 1室0厅 | 31.23平米 | 东 | 简装 | 无电梯', '中楼层(共6层)2005年建板楼  -  未来海岸北师大', '110万', '单价35223元/平米')
('https://image1.ljcdn.com/350200-inspection/7d5d81a1-a6fb-4ee2-8b55-b3e1e6e4f412.jpg.296x216.jpg', '天湖城看湖看海，产权满二年，户型方正高层', '天湖城天湖  | 3室2厅 | 131.37平米 | 东南 | 精装 | 有电梯', '高楼层(共32层)2012年建板楼  -  海沧区政府', '500万', '单价38061元/平米')
('https://image1.ljcdn.com/350200-inspection/bc729710-7e72-46b3-960f-61b19763e012.JPG.296x216.jpg', '蓝湾半岛三房单价43300 业主诚意出售', '中骏蓝湾半岛  | 3室2厅 | 136.2平米 | 南 北 | 简装 | 有电梯', '低楼层(共20层)2008年建塔楼  -  滨海社区', '590万', '单价43319元/平米')
('https://image1.ljcdn.com/350200-inspection/d5266788-755d-452c-8b65-7cb6796b5670.jpg.296x216.jpg', '万科城一期 3室2厅 330万', '万科城一期  | 3室2厅 | 112.64平米 | 西南 | 精装 | 有电梯', '中楼层(共35层)2015年建板楼  -  马銮湾', '330万', '单价29297元/平米')
('https://image1.ljcdn.com/350200-inspection/8941bb27-d271-4410-aa55-19f54d173edb.jpg.296x216.jpg', '万科城三期 3室2厅 265万', '万科城三期  | 3室2厅 | 89.92平米 | 东南 | 精装 | 有电梯', '高楼层(共42层)2016年建板楼  -  马銮湾', '265万', '单价29471元/平米')
('https://image1.ljcdn.com/350200-inspection/241e1df7-2f23-400e-aa86-5153c7106f86.jpg.296x216.jpg', '高层看海2房，精装修。满二年，免增值税', '海晟维多利亚  | 2室2厅 | 89.67平米 | 东南 | 其他 | 有电梯', '中楼层(共32层)2010年建塔楼  -  滨海社区', '388万', '单价43270元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload0a0fdcba-5c7d-4e84-9e30-d868d7a1e66b.JPG.296x216.jpg', '旭日海湾三期 3室2厅 330万', '旭日海湾三期  | 3室2厅 | 117.8平米 | 东南 | 其他 | 无电梯', '高楼层(共6层)2004年建板楼  -  滨海社区', '330万', '单价28014元/平米')
('https://image1.ljcdn.com/350200-inspection/e850d6ec-818c-41a0-8b60-7a6500045717.JPG.296x216.jpg', '旭日海湾三期 1室0厅 118万', '旭日海湾三期  | 1室0厅 | 28.92平米 | 南 | 其他 | 无电梯', '中楼层(共5层)2004年建板楼  -  滨海社区', '118万', '单价40803元/平米')
('https://image1.ljcdn.com/350200-inspection/a87f6225-6b59-491e-8988-f12b6ea9926c.JPG.296x216.jpg', '彼岸 二房精装修送家电家具看海户型，满二年无贷款', '彼岸  | 2室1厅 | 92.57平米 | 东南 | 精装 | 有电梯', '中楼层(共18层)2013年建板楼  -  滨海社区', '349万', '单价37702元/平米')
('https://image1.ljcdn.com/350200-inspection/0474e511-4302-4b61-ac01-8f4d22c5664e.JPG.296x216.jpg', '天心岛大三房 东南朝向 满两年 采光充足 赠送面积大', '天心岛  | 3室2厅 | 127.5平米 | 东南 | 简装 | 有电梯', '高楼层(共18层)2009年建塔楼  -  滨海社区', '480万', '单价37648元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_uploade2a94662-dfd8-484e-9bae-d679b1e67558.JPG.296x216.jpg', '厦门院子视野开扩，三面采光，楼层适中，看房方便', '泰禾厦门院子  | 3室2厅 | 117.45平米 | 南 | 毛坯', '中楼层(共32层)2017年建板塔结合  -  新阳工业区', '420万', '单价35760元/平米')
('https://image1.ljcdn.com/350200-inspection/eb6fb178-0935-4771-89e5-8bafb1632889.JPG.296x216.jpg', '泰地海西 小户型 海景房 交通便利', 'SEC泰地海西中心  | 1室0厅 | 39.86平米 | 西 | 精装 | 有电梯', '中楼层(共31层)2014年建塔楼  -  海沧区政府', '86万', '单价21576元/平米')
('https://image1.ljcdn.com/350200-inspection/fd9df07d-abe9-48dd-b170-ea2a8b3b2fce.jpg.296x216.jpg', '泉舜滨海上城 2室1厅 255万', '泉舜滨海上城  | 2室1厅 | 51.86平米 | 西南 | 其他 | 有电梯', '中楼层(共30层)2009年建塔楼  -  滨海社区', '255万', '单价49171元/平米')
('https://image1.ljcdn.com/350200-inspection/03e8af5a-9c75-45f1-9094-c5430df4e6b0.jpg.296x216.jpg', '区正府阿罗海天湖城产权满二年三房通透户型', '天湖城天湖  | 3室2厅 | 131.57平米 | 南 北 | 精装 | 有电梯', '中楼层(共32层)2012年建板楼  -  海沧区政府', '435万', '单价33063元/平米')
('https://image1.ljcdn.com/350200-inspection/f3f1d267-88ff-45b5-b865-42298c83ec11.JPG.296x216.jpg', '海景无遮挡，户型方正，有装修拎包入住', '禹洲高尔夫  | 2室2厅 | 86.63平米 | 东南 | 精装 | 有电梯', '中楼层(共33层)2013年建塔楼  -  马銮湾', '300万', '单价34631元/平米')
('https://image1.ljcdn.com/350200-inspection/60c834f0-9cd0-420c-9939-2adb6c333e36.jpg.296x216.jpg', '未来橙堡 3室2厅 360万', '未来橙堡  | 3室2厅 | 128.25平米 | 南 | 简装 | 有电梯', '中楼层(共18层)2005年建板楼  -  海沧体育中心', '360万', '单价28071元/平米')
('https://image1.ljcdn.com/350200-inspection/9b8cb404-92e6-4e8e-b0f4-f8fcb72cdc67.jpg.296x216.jpg', '天源 3室1厅 540万', '天源  | 3室1厅 | 143平米 | 南 | 其他 | 有电梯', '中楼层(共33层)2015年建板楼  -  海沧体育中心', '540万', '单价37763元/平米')
('https://image1.ljcdn.com/350200-inspection/8eff2fed-2a10-4b49-bbcb-8e0b34e19bd1.jpg.296x216.jpg', '万科城二期 3室2厅 280万', '万科城二期  | 3室2厅 | 89.55平米 | 西南 | 其他 | 有电梯', '低楼层(共42层)2016年建板楼  -  马銮湾', '280万', '单价31268元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_uploaddc197557-a305-423f-93b8-e87b7daa8daf.jpg.296x216.jpg', '天湖城 精装大3房 双阳台 东南朝向 满2年 全明格局', '天湖城天湖  | 3室2厅 | 129.57平米 | 东 | 其他 | 有电梯', '低楼层(共32层)2012年建板楼  -  海沧区政府', '500万', '单价38590元/平米')
('https://image1.ljcdn.com/350200-inspection/d05147b4-17cf-4437-8f8a-1d418ce0756a.jpg.296x216.jpg', '未来海岸蓝水郡 1室1厅 210万', '未来海岸蓝水郡  | 1室1厅 | 52.74平米 | 南 北 | 其他 | 有电梯', '中楼层(共18层)2008年建塔楼  -  海沧体育中心', '210万', '单价39818元/平米')
('https://image1.ljcdn.com/350200-inspection/3793729a-432d-43ce-8ab9-8ec74188ff49.jpg.296x216.jpg', '西雅图大润发商圈 生活区配套齐全 交通便利 产权满五', '沧一小区  | 2室2厅 | 87.93平米 | 南 北 | 简装 | 无电梯', '低楼层(共7层)1998年建板楼  -  海沧生活区', '225万', '单价25589元/平米')
('https://image1.ljcdn.com/350200-inspection/86dca124-8192-47d0-8ca7-286e9afe1462.JPG.296x216.jpg', '此房是有入户的正规大三房，里面格局好，住的舒适。', '天心岛  | 3室2厅 | 127.5平米 | 东南 | 精装 | 有电梯', '中楼层(共32层)2009年建板楼  -  滨海社区', '500万', '单价39216元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_uploadb2d53873-7f2b-47a4-aafb-b0f64969a2e7.JPG.296x216.jpg', '融信海上城海晶房送大面积 诚意出售', '融信海上城  | 3室2厅 | 58.96平米 | 东南 南 | 其他 | 有电梯', '高楼层(共26层)2015年建塔楼  -  滨海社区', '190万', '单价32226元/平米')
