('https://image1.ljcdn.com/340100-inspection/17c8b8ef-9ee7-4f83-91ec-fd663fe1edfb.jpg.296x216.jpg', '信旺华府骏苑 2室2厅 159万', '信旺华府骏苑  | 2室2厅 | 103.33平米 | 南 | 其他', '高楼层(共28层)2005年建塔楼  -  南七', '159万', '单价15388元/平米')
('https://image1.ljcdn.com/340100-inspection/4a99a834-59e8-4367-bd9c-3cb9f1f1dc36.jpg.296x216.jpg', '红鑫新村 3室2厅 175万', '红鑫新村  | 3室2厅 | 103平米 | 南 | 其他', '中楼层(共6层)2000年建板楼  -  南七', '175万', '单价16991元/平米')
('https://image1.ljcdn.com/340100-inspection/7e724903-34c4-4b2c-bde2-266305557c9b.jpg.296x216.jpg', '华润幸福里  精装4房2厅 南北通透 配套齐全 环境优美', '华润幸福里  | 4室2厅 | 124.91平米 | 南 北 | 其他', '低楼层(共26层)2013年建塔楼  -  南七', '255万', '单价20415元/平米')
('https://image1.ljcdn.com/340100-inspection/9ff31a92-8257-4fcc-b20f-52d7353ea1f0.jpg.296x216.jpg', '精装大三居室，家具家电赠送。视野无遮挡。', '华邦蜀山里  | 3室2厅 | 115.24平米 | 南 | 其他', '低楼层(共18层)2016年建板塔结合  -  新产业园', '210万', '单价18223元/平米')
('https://image1.ljcdn.com/340100-inspection/03856e4f-b973-432d-a58f-17cab21f07ba.jpg.296x216.jpg', '为你而选，紫荆精装两室电梯房，看房方便', '紫荆商务广场  | 2室1厅 | 72.21平米 | 南 | 其他', '高楼层(共32层)2013年建塔楼  -  井岗镇', '106万', '单价14680元/平米')
('https://image1.ljcdn.com/340100-inspection/a33ac09b-6fc8-459b-a3a3-66f42e516ff5.jpg.296x216.jpg', '带1个产权车位大两居 近地铁 位置佳 繁华商圈', '华邦繁华里  | 2室2厅 | 89.31平米 | 南 北 | 其他', '低楼层(共15层)2015年建板楼  -  五里墩', '180万', '单价20155元/平米')
('https://image1.ljcdn.com/340100-inspection/4224bfae-4d80-425c-8fb6-6ac4826a5513.jpg.296x216.jpg', '加侨悦山国际 优质洋房 精品三房', '加侨悦山国际  | 3室2厅 | 103.07平米 | 南 北 | 其他', '低楼层(共6层)2015年建板楼  -  新产业园', '190万', '单价18435元/平米')
('https://image1.ljcdn.com/340100-inspection/d27274c9-5038-4e2f-bd41-50f529038eab.jpg.296x216.jpg', '信旺华府骏苑 3室1厅 138万', '信旺华府骏苑  | 3室1厅 | 72.8平米 | 西 | 其他', '低楼层(共18层)2005年建塔楼  -  南七', '138万', '单价18957元/平米')
('https://image1.ljcdn.com/340100-inspection/bf8d17cd-4d4d-4faf-b67d-15927e1ca040.JPG.296x216.jpg', '岳西新村 大三房  南北通透 一楼有院子 交通便利', '岳西新村  | 3室2厅 | 131.13平米 | 南 北 | 毛坯', '低楼层(共6层)2000年建板楼  -  西园', '200万', '单价15253元/平米')
('https://image1.ljcdn.com/340100-inspection/571208ed-bdfe-48bd-8644-1db66de8ab10.jpg.296x216.jpg', '万象新天 精装三房 楼层好无遮挡 户型方正无浪费面积', '万象新天  | 3室1厅 | 108.47平米 | 南 | 精装', '低楼层(共30层)2012年建塔楼  -  三里庵', '230万', '单价21205元/平米')
('https://image1.ljcdn.com/340100-inspection/a0cb0a5c-db4f-4528-b1a2-1f7fd951f96c.jpg.296x216.jpg', '西环优质三房 两房向南，价格优惠，房东急售。', '西环中心广场  | 3室2厅 | 101平米 | 南 北 | 其他', '低楼层(共30层)2012年建塔楼  -  南七', '170万', '单价16832元/平米')
('https://image1.ljcdn.com/340100-inspection/a14e5b47-c0d8-4c95-9446-29ab31cb148a.jpg.296x216.jpg', '维也纳森林花园 叠加别墅 南北通透 满两年', '维也纳森林花园  | 6室3厅 | 187.2平米 | 南 北 | 其他', '高楼层(共4层)2006年建板楼  -  南七', '480万', '单价25642元/平米')
('https://image1.ljcdn.com/340100-inspection/1b97e744-6fe5-41ff-96b1-ba7830ee7e88.JPG.296x216.jpg', '岳西东村 3室1厅 136万', '岳西东村  | 3室1厅 | 74.65平米 | 南 | 简装', '低楼层(共6层)1999年建板楼  -  西园', '136万', '单价18219元/平米')
('https://image1.ljcdn.com/340100-inspection/bb6a021e-7818-4ddc-951e-50c7da792042.jpg.296x216.jpg', '精装修，满五年无增值税，跃层复式，赠送多，空间大', '金色池塘  | 4室2厅 | 122.56平米 | 南 北 | 其他', '高楼层(共6层)2008年建板楼  -  井岗镇', '168万', '单价13708元/平米')
('https://image1.ljcdn.com/340100-inspection/8edec223-f82d-456c-9d72-2235fdbe75fe.jpg.296x216.jpg', '龙居山庄 2室2厅 140万', '龙居山庄  | 2室2厅 | 89.1平米 | 南 | 其他', '低楼层(共6层)2010年建板楼  -  五里墩', '140万', '单价15713元/平米')
('https://image1.ljcdn.com/340100-inspection/35ca3da6-9b38-4a7d-a8c5-666fb7849638.jpg.296x216.jpg', '凤凰城家家景园三期 3室1厅 130万', '凤凰城家家景园三期  | 3室1厅 | 85.79平米 | 南 | 其他', '中楼层(共30层)2006年建板楼  -  井岗镇', '130万', '单价15154元/平米')
('https://image1.ljcdn.com/340100-inspection/ad53d5da-0a73-4179-a157-3ade512e1e9f.JPG.296x216.jpg', '奥林花园 2室1厅 105万', '奥林花园  | 2室1厅 | 67.83平米 | 南 | 其他', '高楼层(共22层)塔楼  -  琥珀', '105万', '单价15480元/平米')
('https://image1.ljcdn.com/340100-inspection/22a6e0aa-8451-4255-bdae-a7486ed33518.jpg.296x216.jpg', '省建机厂宿舍 2室1厅 127万', '省建机厂宿舍  | 2室1厅 | 80.78平米 | 南 | 其他', '低楼层(共6层)2005年建板楼  -  南七', '127万', '单价15722元/平米')
('https://image1.ljcdn.com/340100-inspection/1feb369d-71af-4b5b-b469-d2fc0bddc953.jpg.296x216.jpg', '御安西苑 三室朝南 大三居 楼层好 采光佳', '御安西苑  | 3室2厅 | 141.19平米 | 南 | 其他', '高楼层(共32层)2014年建塔楼  -  井岗镇', '210万', '单价14874元/平米')
('https://image1.ljcdn.com/340100-inspection/37621c2c-4c78-411e-b0f1-0640f4182a4e.jpg.296x216.jpg', '绿城百合公寓 3室2厅 288万', '绿城百合公寓  | 3室2厅 | 136.5平米 | 南 | 其他', '高楼层(共17层)2007年建塔楼  -  南七', '288万', '单价21099元/平米')
('https://image1.ljcdn.com/340100-inspection/64b63d9b-60e6-4b1d-aece-0ef4111ed6ab.jpg.296x216.jpg', '香樟雅苑 5室2厅 289万', '香樟雅苑  | 5室2厅 | 169.86平米 | 南 北 | 其他', '高楼层(共5层)2007年建板楼  -  南七', '289万', '单价17015元/平米')
('https://image1.ljcdn.com/340100-inspection/7bb7083a-dced-43bf-837b-232d0351211f.jpg.296x216.jpg', '木地板墙面保持几乎完好，基本上拎包入住，楼栋好', '福乐门  | 1室1厅 | 38.27平米 | 北 | 其他', '高楼层(共28层)2012年建塔楼  -  井岗镇', '44万', '单价11498元/平米')
('https://image1.ljcdn.com/340100-inspection/fa0581bc-7975-487c-9e5e-e0d26f399337.jpg.296x216.jpg', '琥珀东村复式 带暖气 房龄新 居家装修', '琥珀东村  | 4室2厅 | 92.07平米 | 南 北 | 简装', '高楼层(共6层)2000年建板楼  -  琥珀', '160万', '单价17379元/平米')
('https://image1.ljcdn.com/340100-inspection/1ee8c8b9-467b-43ef-8166-02710b0e0efc.jpg.296x216.jpg', '御安西苑 3室2厅 165万', '御安西苑  | 3室2厅 | 122.59平米 | 南 北 | 其他', '低楼层(共34层)2014年建塔楼  -  井岗镇', '165万', '单价13460元/平米')
('https://image1.ljcdn.com/340100-inspection/ca436a7f-b45e-4d9c-9e77-c3497ce1c534.jpg.296x216.jpg', '印敦佳园 3室2厅 102万', '印敦佳园  | 3室2厅 | 106.31平米 | 南 | 其他', '低楼层(共18层)2011年建塔楼  -  井岗镇', '102万', '单价9595元/平米')
('https://image1.ljcdn.com/340100-inspection/6083e682-9c61-46da-8ec7-0a9035581b04.jpg.296x216.jpg', '伯益经典雅苑 户型正 采光足 双露台 复式', '伯益经典雅苑  | 2室2厅 | 79.75平米 | 南 北 | 简装', '高楼层(共6层)2009年建板楼  -  西园', '145万', '单价18182元/平米')
('https://image1.ljcdn.com/340100-inspection/ab74d267-2bc3-4504-8e0f-c15331335643.jpg.296x216.jpg', '乳品厂小区 2室2厅 110万', '乳品厂小区  | 2室2厅 | 80.46平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  五里墩', '110万', '单价13672元/平米')
('https://image1.ljcdn.com/340100-inspection/a30aaf78-4995-4cfb-9962-827113c3338c.jpg.296x216.jpg', '公园道1号 2室2厅 144万', '公园道1号  | 2室2厅 | 91.68平米 | 南 北 | 其他', '中楼层(共25层)2011年建塔楼  -  井岗镇', '144万', '单价15707元/平米')
('https://image1.ljcdn.com/340100-inspection/2a67336f-86c0-469f-869d-948dc38a57f7.jpg.296x216.jpg', '华地公馆公寓 1室1厅 88万', '华地公馆公寓  | 1室1厅 | 45.23平米 | 东 | 其他', '低楼层(共30层)2015年建塔楼  -  南七', '88万', '单价19457元/平米')
('https://image1.ljcdn.com/340100-inspection/705a2709-615b-42bc-9ead-1799e8723896.jpg.296x216.jpg', '此房是朝北，采光好，视野开阔，', '天一大厦  | 1室1厅 | 45.6平米 | 北 | 其他', '高楼层(共22层)2010年建塔楼  -  五里墩', '50万', '单价10965元/平米')
('https://image1.ljcdn.com/340100-inspection/98c2a0fa-28e9-464f-a55d-d11ebdfac5c5.jpg.296x216.jpg', '颐和花园，大面积改善大户型复式，随时看房', '颐和花园  | 5室3厅 | 234.78平米 | 东 南 北 | 其他', '高楼层(共17层)2009年建板楼  -  五里墩', '310万', '单价13204元/平米')
('https://image1.ljcdn.com/340100-inspection/3ea2624f-5638-4853-9be4-fd766f756905.jpg.296x216.jpg', '公园道1号 2室1厅 138万', '公园道1号  | 2室1厅 | 97.14平米 | 南 | 其他', '中楼层(共25层)2011年建塔楼  -  井岗镇', '138万', '单价14207元/平米')
('https://image1.ljcdn.com/340100-inspection/c51c9d34-032f-41dc-94b8-b02bbf7e9d65.JPG.296x216.jpg', '西环广场 满两年 位置好 配套齐全', '西环中心广场  | 1室1厅 | 41.24平米 | 西 | 简装', '高楼层(共27层)2012年建塔楼  -  南七', '60万', '单价14549元/平米')
('https://image1.ljcdn.com/340100-inspection/1e49b2b7-de81-437b-aa18-83ebd9ff8af0.jpg.296x216.jpg', '山湖苑西区 户型方正 中上楼层 视野开阔', '山湖苑西区  | 2室1厅 | 77.3平米 | 南 | 其他', '高楼层(共6层)板楼  -  新产业园', '98万', '单价12678元/平米')
('https://image1.ljcdn.com/340100-inspection/b2a8c751-5182-4c5f-b974-7751f709d68e.jpg.296x216.jpg', '岳西东村一楼带花园不过百万两居室', '岳西东村  | 2室1厅 | 57.5平米 | 南 | 其他', '低楼层(共6层)1999年建板楼  -  西园', '90万', '单价15653元/平米')
('https://image1.ljcdn.com/340100-inspection/953fddcc-fb3a-42a9-afda-fdb57e0ed7ae.jpg.296x216.jpg', '大溪地御倾城 满两年 精装修 出行方便 人车分流', '大溪地御倾城  | 2室1厅 | 82.35平米 | 西 | 精装', '高楼层(共32层)2014年建板塔结合  -  西园', '132万', '单价16030元/平米')
('https://image1.ljcdn.com/340100-inspection/5de9ecc2-fa45-41ae-bd8b-51f9f70fb740.jpg.296x216.jpg', '公园道壹号恢复楼 2室1厅 87.5万', '公园道壹号恢复楼  | 2室1厅 | 87.18平米 | 南 | 其他', '中楼层(共18层)2011年建塔楼  -  井岗镇', '87.5万', '单价10037元/平米')
('https://image1.ljcdn.com/340100-inspection/466fc675-720a-46ad-b0e3-fa3d0e5847c5.jpg.296x216.jpg', '电梯顶楼复式 动静分离 采光充足 拎包入住', '金色池塘  | 4室2厅 | 144平米 | 东 西 | 其他', '高楼层(共9层)2008年建板楼  -  井岗镇', '192万', '单价13334元/平米')
('https://image1.ljcdn.com/340100-inspection/04072e42-fd16-4833-8256-8b0582821494.jpg.296x216.jpg', '美域花园洋房 上下两层 大面积 纯毛坯 诚意出售', '中央美域花园B区  | 5室2厅 | 223.16平米 | 南 北 | 其他', '低楼层(共6层)2012年建板楼  -  五里墩', '320万', '单价14340元/平米')
('https://image1.ljcdn.com/340100-inspection/d670293b-c17e-433a-9b85-b1046da04749.jpg.296x216.jpg', '大毛坯+赠送多+厨卫全明+地段好+业主诚售+小区环境好', '信旺华府骏苑  | 3室2厅 | 163.43平米 | 南 北 | 其他', '中楼层(共31层)2005年建塔楼  -  南七', '230万', '单价14074元/平米')
('https://image1.ljcdn.com/340100-inspection/422ae5fe-8faa-4256-bf59-d18f703a553c.jpg.296x216.jpg', '枫丹白鹭湖多层，精装修，改善住房，交通便利', '枫丹白鹭颐然居  | 4室2厅 | 219.73平米 | 南 北 | 其他', '高楼层(共5层)2000年建板楼  -  新产业园', '285万', '单价12971元/平米')
('https://image1.ljcdn.com/340100-inspection/83ad441a-a418-4e3e-a9de-5af41058402c.jpg.296x216.jpg', '公交蜀山园 3室1厅 190万', '公交蜀山园  | 3室1厅 | 135平米 | 南 北 | 其他', '高楼层(共6层)2000年建板楼  -  新产业园', '190万', '单价14075元/平米')
('https://image1.ljcdn.com/340100-inspection/0ca77165-5b03-44e3-9d66-6b5067424c4a.jpg.296x216.jpg', '九华华林家园 3室2厅 238万', '九华华林家园  | 3室2厅 | 128.66平米 | 南 | 其他', '中楼层(共6层)2000年建板楼  -  南七', '238万', '单价18499元/平米')
('https://image1.ljcdn.com/340100-inspection/210717ba-874e-4f49-88c6-167ca949eb85.jpg.296x216.jpg', '为你而选 为你为家 新华优阁精装好房', '新华优阁  | 2室1厅 | 61.88平米 | 东 | 精装', '高楼层(共32层)2010年建板楼  -  西园', '110万', '单价17777元/平米')
('https://image1.ljcdn.com/340100-inspection/4ee161f6-4c64-482f-a6bb-af2e321e70c5.jpg.296x216.jpg', '大富山庄 精装大三房 满两年 全天采光 超赞视野', '大富山庄  | 3室2厅 | 100.47平米 | 南 | 其他', '高楼层(共41层)2015年建塔楼  -  新产业园', '176万', '单价17518元/平米')
('https://image1.ljcdn.com/340100-inspection/da9b5b47-cb56-4e06-bb7c-797f04e8b7f2.jpg.296x216.jpg', '美域花园A区 户型正气 复式 楼层好 交通便利', '中央美域花园A区  | 3室2厅 | 83.75平米 | 南 | 其他', '中楼层(共24层)2012年建板楼  -  五里墩', '165万', '单价19702元/平米')
('https://image1.ljcdn.com/340100-inspection/51423944-aa84-44c3-8ec3-5266581b16e6.jpg.296x216.jpg', '新景花园 3室2厅 225万', '新景花园  | 3室2厅 | 119.98平米 | 南 北 | 其他', '中楼层(共17层)2007年建塔楼  -  五里墩', '225万', '单价18754元/平米')
('https://image1.ljcdn.com/340100-inspection/3fb12ed5-738a-4716-8d99-705c9ebb6740.jpg.296x216.jpg', '加侨悦山国际 1室1厅 纯毛坯视野采光无遮挡', '加侨悦山国际  | 1室0厅 | 27.37平米 | 北 | 其他', '低楼层(共31层)2015年建塔楼  -  新产业园', '41万', '单价14980元/平米')
('https://image1.ljcdn.com/340100-inspection/f0e8fac7-6a74-47ac-be8b-35d2b0036bb5.jpg.296x216.jpg', '新华学府春天 4室2厅 420万', '新华学府春天  | 4室2厅 | 179.83平米 | 南 北 | 其他', '低楼层(共34层)2012年建塔楼  -  南七', '420万', '单价23356元/平米')
('https://image1.ljcdn.com/340100-inspection/146694d4-27bd-4c7c-ada2-f1e555494336.jpg.296x216.jpg', '城市经典 3室1厅 175万', '城市经典  | 3室1厅 | 145.3平米 | 南 | 其他', '中楼层(共19层)2009年建板楼  -  井岗镇', '175万', '单价12045元/平米')
('https://image1.ljcdn.com/340100-inspection/aba5e021-ea4b-4ddc-8435-c48c60249baf.jpg.296x216.jpg', '绿城百合公寓 2室1厅 186万', '绿城百合公寓  | 2室1厅 | 100.65平米 | 南 | 其他', '中楼层(共16层)2007年建塔楼  -  南七', '186万', '单价18480元/平米')
('https://image1.ljcdn.com/340100-inspection/cb68afb1-6ecf-497d-9a79-5fbe6f16ba73.jpg.296x216.jpg', '华邦繁华里大三居 户型好 近地铁 楼层佳 繁华商圈', '华邦繁华里  | 3室2厅 | 130.91平米 | 南 北 | 其他', '高楼层(共23层)2015年建塔楼  -  五里墩', '248万', '单价18945元/平米')
('https://image1.ljcdn.com/340100-inspection/7d76673d-f999-45ba-b056-9d8b991f5a80.jpg.296x216.jpg', '城市经典  毛坯大户型 业主诚心出售', '城市经典  | 3室2厅 | 147.69平米 | 南 北 | 其他', '中楼层(共19层)2009年建板楼  -  井岗镇', '198万', '单价13407元/平米')
('https://image1.ljcdn.com/340100-inspection/12ac3278-9b30-48c9-a7f8-3ef8f06998aa.jpg.296x216.jpg', '精品大三房 满五唯一 户型全明 一梯两户', '康居时代家园南区  | 3室2厅 | 171平米 | 南 北 | 精装', '中楼层(共9层)2005年建板楼  -  琥珀', '265万', '单价15498元/平米')
('https://image1.ljcdn.com/340100-inspection/49f76433-cdd6-43d5-8aa0-ae7568fe35ef.jpg.296x216.jpg', '海亚当代 顶楼复式 南北大露台 出行便捷 诚意出售', '海亚当代  | 7室3厅 | 186.58平米 | 南 | 其他', '高楼层(共6层)2011年建板楼  -  五里墩', '230万', '单价12328元/平米')
('https://image1.ljcdn.com/340100-inspection/06fb7ae0-1e14-4a83-a8fb-a457d0e2eaf5.jpg.296x216.jpg', '邻近长江西路，蜀山脚下，董铺水库南岸， 顶楼复', '红皖家园  | 4室2厅 | 150.4平米 | 南 | 其他', '高楼层(共18层)2010年建塔楼  -  新产业园', '215万', '单价14296元/平米')
('https://image1.ljcdn.com/340100-inspection/44749943-e56a-41d7-aada-cbbf3efb4bcc.jpg.296x216.jpg', '西山银杏 装修好 采光好 业主诚心出售', '信达西山银杏  | 2室2厅 | 89.28平米 | 南 | 其他', '低楼层(共18层)2014年建塔楼  -  南七', '181万', '单价20274元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadd1be8cce-8acb-4352-ad51-4efbb649860a.jpg.296x216.jpg', '翡翠园 采光好  户型方正 交通便利', '翡翠园  | 3室1厅 | 86.36平米 | 南 | 其他', '中楼层(共8层)2000年建板楼  -  琥珀', '135万', '单价15633元/平米')
('https://image1.ljcdn.com/340100-inspection/ddbe72bd-1f9f-4df9-9121-f71710c64461.jpg.296x216.jpg', '博威香山丽舍 简装二房可改三房 周边配套齐全', '博威香山丽舍  | 2室2厅 | 86.74平米 | 南 北 | 其他', '高楼层(共18层)2011年建塔楼  -  新产业园', '150万', '单价17294元/平米')
('https://image1.ljcdn.com/340100-inspection/dc8d99ad-f4e5-48af-9b79-a25b4cbc8245.jpg.296x216.jpg', '此房小两房，两房朝南，单价低装修中等。业主诚心出售', '新加坡花园城  | 2室1厅 | 79.36平米 | 南 | 其他', '低楼层(共33层)2015年建塔楼  -  井岗镇', '120万', '单价15121元/平米')
('https://image1.ljcdn.com/340100-inspection/c005d4fa-a49f-4bb6-8f92-2d6af8863955.jpg.296x216.jpg', '红皖家园 改善3房 户型方正，小区配套齐全，精装修', '红皖家园  | 3室2厅 | 122平米 | 南 北 | 其他', '低楼层(共18层)2010年建塔楼  -  新产业园', '170万', '单价13935元/平米')
('https://image1.ljcdn.com/340100-inspection/c10e3ad1-5446-4652-bd21-8d50654a8a7e.jpg.296x216.jpg', '琥珀东村 3室2厅 169万', '琥珀东村  | 3室2厅 | 96平米 | 南 北 | 其他', '高楼层(共6层)2000年建板楼  -  琥珀', '169万', '单价17605元/平米')
('https://image1.ljcdn.com/340100-inspection/f65275f6-5954-463b-afb1-579b0180285e.jpg.296x216.jpg', '御安西苑 3室2厅 超大户型 精装修 家具家电齐', '御安西苑  | 3室2厅 | 107.68平米 | 南 | 其他', '中楼层(共29层)2014年建塔楼  -  井岗镇', '156万', '单价14488元/平米')
('https://image1.ljcdn.com/340100-inspection/f7ba327c-9ff8-452c-9c66-0a300a8637af.jpg.296x216.jpg', '凤凰城家家景园一期，顶楼复式。', '凤凰城家家景园一期  | 6室3厅 | 189.27平米 | 南 | 其他', '高楼层(共6层)2008年建板楼  -  五里墩', '190万', '单价10039元/平米')
('https://image1.ljcdn.com/340100-inspection/6b71eef6-5c9e-48ef-8470-fbafafa62538.jpg.296x216.jpg', '视野开阔，采光充足，配套设施成熟，交通便利。', '奥林花园2期  | 4室2厅 | 171.12平米 | 南 | 其他', '高楼层(共6层)2006年建板楼  -  琥珀', '180万', '单价10519元/平米')
('https://image1.ljcdn.com/340100-inspection/eff0acc9-16af-4614-9ce9-ad88331fe9c0.jpg.296x216.jpg', '大溪地五期 大户型精装 满两年 业主诚心出售', '大溪地天逸轩  | 3室2厅 | 103.71平米 | 南 | 其他', '高楼层(共32层)2014年建板楼  -  西园', '178万', '单价17164元/平米')
('https://image1.ljcdn.com/340100-inspection/53d5da51-0878-4147-a3cf-830f2e8c7940.jpg.296x216.jpg', '蜀鑫雅苑 2室1厅 160万', '蜀鑫雅苑  | 2室1厅 | 76.02平米 | 南 | 其他', '高楼层(共6层)2008年建板楼  -  南七', '160万', '单价21048元/平米')
('https://image1.ljcdn.com/340100-inspection/404b98fb-c4e0-4c34-ab5f-8ea782bdbab9.jpg.296x216.jpg', '为你而选为你为家 黎阳嘉苑 毛坯2房 户型正气', '黎阳嘉苑  | 2室2厅 | 97.88平米 | 南 | 毛坯', '高楼层(共18层)2008年建板楼  -  五里墩', '155万', '单价15836元/平米')
('https://image1.ljcdn.com/340100-inspection/bf50a39f-a668-46d3-8fa7-eefa61575f7c.jpg.296x216.jpg', '为你而选为你为家 精装修大四居 业主诚售', '龙居山庄  | 4室2厅 | 162平米 | 南 北 | 其他', '中楼层(共18层)2010年建板楼  -  五里墩', '265万', '单价16359元/平米')
('https://image1.ljcdn.com/340100-inspection/da7588d7-ef13-43f0-b0c8-8e701632a1c1.JPG.296x216.jpg', '地段好，*方便，超市商场生活配套齐全', '华亿大厦  | 1室1厅 | 55.55平米 | 南 | 其他', '高楼层(共18层)2010年建塔楼  -  南七', '87万', '单价15662元/平米')
('https://image1.ljcdn.com/340100-inspection/3bed21d1-6e62-4620-aa5f-7d9edbb0115e.jpg.296x216.jpg', '为你而选为你为家天一家园大户型采光充足地理位置优越', '天一家园  | 4室2厅 | 168.54平米 | 南 北 | 其他', '中楼层(共6层)2010年建板楼  -  五里墩', '235万', '单价13944元/平米')
('https://image1.ljcdn.com/340100-inspection/d2ee077a-903c-4f67-99e4-d1a2f0aff505.jpg.296x216.jpg', '岳枫园 2室2厅 135万', '岳枫园  | 2室2厅 | 84平米 | 南 | 其他', '低楼层(共6层)2004年建板楼  -  西园', '135万', '单价16072元/平米')
('https://image1.ljcdn.com/340100-inspection/844ef8e5-9004-4bb4-9298-fd38494b851c.jpg.296x216.jpg', '为你而选为你为家 航鑫家苑 简装两居 两卧朝南 采光好', '航鑫家苑  | 2室1厅 | 62.65平米 | 南 北 | 其他', '中楼层(共6层)2000年建板楼  -  南七', '85万', '单价13568元/平米')
('https://image1.ljcdn.com/340100-inspection/62ea52c3-d561-4b76-9fe1-a4dcb42b2b4a.jpg.296x216.jpg', '为你而选为你为家 龙居山庄 顶楼复式 精装修 拎包入住', '龙居山庄  | 3室2厅 | 131.52平米 | 南 北 | 其他', '高楼层(共6层)2010年建板楼  -  五里墩', '165万', '单价12546元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadbab9f4d4-3346-4860-9355-93cd7b15fae8.jpg.296x216.jpg', '凤凰城家家景园一期顶楼复式房 单价低赠送面积大', '凤凰城家家景园一期  | 2室2厅 | 82平米 | 南 | 其他', '高楼层(共6层)2008年建板楼  -  五里墩', '100万', '单价12196元/平米')
('https://image1.ljcdn.com/340100-inspection/d8748955-c55d-4190-a1e0-4cbbc8acd093.jpg.296x216.jpg', '精装修一居室 环境好 带燃气 70产权 朝北 家具家电送', '中央星座  | 1室1厅 | 53.04平米 | 北 | 其他', '高楼层(共10层)2005年建板楼  -  五里墩', '74万', '单价13952元/平米')
('https://image1.ljcdn.com/340100-inspection/b0cab0d8-daff-4800-a385-6d2f194dabe7.jpg.296x216.jpg', '通和易居时代 6室3厅 420万', '通和易居时代  | 6室3厅 | 224.06平米 | 南 北 | 其他', '高楼层(共18层)2012年建塔楼  -  西园', '420万', '单价18745元/平米')
('https://image1.ljcdn.com/340100-inspection/9e3e203c-29f9-4d2e-b9e3-559190afd263.jpg.296x216.jpg', '颐和花园住家装修三房，低楼层，公摊小，诚心出售！', '颐和花园  | 3室2厅 | 113平米 | 南 | 其他', '低楼层(共6层)2009年建板楼  -  五里墩', '185万', '单价16372元/平米')
('https://image1.ljcdn.com/340100-inspection/75d554a3-cfa6-4686-9bfc-12090f7c9497.jpg.296x216.jpg', '红园小区 2室1厅 133万', '红园小区  | 2室1厅 | 65.52平米 | 南 北 | 其他', '高楼层(共6层)2000年建板楼  -  南七', '133万', '单价20300元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload958cfcc0-5955-47d8-95df-84c494e8cdb5.JPG.296x216.jpg', '【为你而选 为你为家】 单价低 精装修', '自由舱公寓  | 1室1厅 | 60.94平米 | 南 | 其他', '中楼层(共25层)2010年建塔楼  -  稻香村', '53万', '单价8698元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload039091f2-d417-46ef-b175-7cf31c467fd0.jpg.296x216.jpg', '海亚当代 两房朝南 户型周正 自住装修 看房便捷', '海亚当代  | 2室1厅 | 71平米 | 南 | 其他', '高楼层(共18层)2011年建塔楼  -  五里墩', '120万', '单价16902元/平米')
('https://image1.ljcdn.com/340100-inspection/e9bd8cd7-7440-4739-b271-0ac9262f586f.jpg.296x216.jpg', '红皖家园，复式精装三房，拎包入住', '红皖家园  | 3室2厅 | 88.07平米 | 南 北 | 其他', '高楼层(共18层)2010年建塔楼  -  新产业园', '142万', '单价16124元/平米')
('https://image1.ljcdn.com/340100-inspection/d16d6106-4df9-439e-8b08-6737ec43a362.jpg.296x216.jpg', '房主换房，两房朝东，户型好，配套齐全', '中央美域花园A区  | 3室2厅 | 66.1平米 | 东 | 其他', '低楼层(共24层)2012年建板楼  -  五里墩', '102万', '单价15432元/平米')
('https://image1.ljcdn.com/340100-inspection/6abdcdfc-b39b-4c32-8903-3d0f7a795b9c.JPG.296x216.jpg', '汉嘉都市森林 3室2厅 279万', '汉嘉都市森林  | 3室2厅 | 122.15平米 | 南 | 其他', '中楼层(共11层)2011年建板塔结合  -  西园', '279万', '单价22841元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload1977a928-4513-466c-bb58-74326e9b52f8.JPG.296x216.jpg', '信旺华府骏苑 一居室精装修 无遮挡 视野好', '信旺华府骏苑  | 1室1厅 | 51.21平米 | 北 | 其他', '中楼层(共29层)2013年建塔楼  -  南七', '55万', '单价10741元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload3cd1abda-0ff8-454c-a7ad-6cb0462d5eda.JPG.296x216.jpg', '满五年 中楼层 采光好 大客厅 实际面积120平市政供暖', '安高城市天地  | 2室2厅 | 58.68平米 | 南 | 其他', '中楼层(共14层)2009年建板塔结合  -  稻香村', '146万', '单价24881元/平米')
('https://image1.ljcdn.com/340100-inspection/6e6fada4-80b4-4183-8ef1-32a71dc73e7f.jpg.296x216.jpg', '此房已经满了2年，没有增值税，朝南户型，视野开阔', '天一大厦  | 1室1厅 | 47.08平米 | 南 | 简装', '高楼层(共22层)2010年建塔楼  -  五里墩', '56万', '单价11895元/平米')
('https://image1.ljcdn.com/340100-inspection/8f0cc1a3-c46c-4bb9-9ac4-ec7393d35c8e.jpg.296x216.jpg', '为你而选为你为家 龙居山庄顶楼复式 大户型', '龙居山庄  | 4室3厅 | 176.95平米 | 南 | 其他', '高楼层(共18层)2010年建塔楼  -  五里墩', '260万', '单价14694元/平米')
