('https://image1.ljcdn.com/420100-inspection/fa78bc44-7037-49d3-8e08-3107ec929474.JPG.296x216.jpg', '世纪江尚  一线江景  南北通透  采光充足  看房方便', '世纪江尚  | 4室2厅 | 185.43平米 | 南 北 | 其他 | 有电梯', '低楼层(共57层)2016年建板楼  -  前进江汉', '690万', '单价37211元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_uploadb7ce130c-9e68-405b-a57f-57b2a925367d.jpg.296x216.jpg', '浩海丰太花园 3室2厅 183万', '浩海丰太花园  | 3室2厅 | 135.76平米 | 南 | 其他 | 无电梯', '中楼层(共7层)2000年建板楼  -  杨汊湖', '183万', '单价13480元/平米')
('https://image1.ljcdn.com/420100-inspection/e539a3c3-1074-463d-906c-673560c5bd2b.jpg.296x216.jpg', '华立新华时代 办公装修大四房 挂角户型不临街', '华立新华时代  | 4室2厅 | 181平米 | 南 北 | 其他 | 有电梯', '中楼层(共28层)2007年建板楼  -  CBD西北湖', '400万', '单价22100元/平米')
('https://image1.ljcdn.com/420100-inspection/c3eca42a-4740-413e-aba4-9137e7fc7d67.jpg.296x216.jpg', '户型方正，全明格局，有钥匙看房方便，', '西马新村  | 3室2厅 | 112平米 | 南 | 其他 | 无电梯', '中楼层(共8层)1995年建塔楼  -  台北香港路', '220万', '单价19643元/平米')
('https://image1.ljcdn.com/420100-inspection/10ff12c7-f497-4065-8202-79d6dcafe24e.jpg.296x216.jpg', '金色雅园金源苑 3室2厅 162万', '金色雅园金源苑  | 3室2厅 | 102.12平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)2002年建板塔结合  -  长港路', '162万', '单价15864元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload75068159-12d9-424a-b2d5-547507c1853c.jpg.296x216.jpg', '唐家墩地铁口 香江花园 南北通透两房', '香江花园一二期  | 2室1厅 | 83.88平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)2004年建塔楼  -  唐家墩', '172万', '单价20506元/平米')
('https://image1.ljcdn.com/420100-inspection/7d1a127a-7a40-46a5-a8ae-748487ffb6e5.JPG.296x216.jpg', '业主急售  采光好 通风效果好 房子中装 金典小户型', '联保社区  | 1室1厅 | 39.02平米 | 东南 | 其他 | 无电梯', '中楼层(共6层)暂无数据  -  前进江汉', '80万', '单价20503元/平米')
('https://image1.ljcdn.com/420100-inspection/74cc3a51-256b-4efe-af2e-b0c894bf9bff.JPG.296x216.jpg', '世纪江尚 4室2厅 800万', '世纪江尚  | 4室2厅 | 186平米 | 东 | 其他 | 有电梯', '高楼层(共57层)2016年建板楼  -  前进江汉', '800万', '单价43011元/平米')
('https://image1.ljcdn.com/420100-inspection/test-94fbf386-1ee0-4808-91c6-b74c15232b21.png.296x216.jpg', '新华明珠，老证，看房方便，房东诚心卖，南北通透。', '新华明珠  | 3室2厅 | 149.52平米 | 南 北 | 其他 | 有电梯', '低楼层(共21层)2008年建板楼  -  武广万松园', '329万', '单价22004元/平米')
('https://image1.ljcdn.com/420100-inspection/aaa9e1ed-1004-46d6-bfe1-f459113ac2dd.jpg.296x216.jpg', '新华路 日月华庭 居家全新精装 可拎包入住', '日月华庭  | 3室2厅 | 136.5平米 | 南 北 | 其他 | 有电梯', '低楼层(共31层)2006年建塔楼  -  新华路万达', '345万', '单价25275元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload547f4596-2091-4de6-820e-235efb9c6641.jpg.296x216.jpg', '中 心医院 远洋心里 南北通透 纯毛坯 正规三房 单价低', '远洋心里  | 3室2厅 | 99.67平米 | 南 | 其他 | 有电梯', '低楼层(共40层)2017年建板楼  -  杨汊湖', '180万', '单价18060元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload7ed2b9f3-a77d-4bb2-b587-adeb7131c20e.jpg.296x216.jpg', '江汉区 CBD西北湖 泛海国际竹海园 精装通透三房带壁暖', '泛海国际竹海园  | 3室2厅 | 100.2平米 | 南 北 | 其他 | 有电梯', '低楼层(共33层)2015年建板楼  -  CBD西北湖', '286万', '单价28543元/平米')
('https://image1.ljcdn.com/420100-inspection/4622c5eb-6493-4d7e-8848-d8cea1be0f49.jpg.296x216.jpg', '江花苑 3室2厅 175万', '江花苑  | 3室2厅 | 109.78平米 | 东南 | 其他 | 有电梯', '高楼层(共18层)2006年建塔楼  -  塔子湖', '175万', '单价15941元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload0875f378-8528-476d-bc7c-5f7ebdd7047a.jpg.296x216.jpg', '二环边远洋心汉口清水毛坯小两房', '远洋心汉口  | 2室1厅 | 78平米 | 南 | 其他 | 有电梯', '低楼层(共41层)2018年建板楼  -  长丰常码头', '168万', '单价21539元/平米')
('https://image1.ljcdn.com/420100-inspection/0ed5dbd9-49ef-47d3-a7e3-9c3963738365.jpg.296x216.jpg', '北斗花园  精装小二房  中间楼层  采光好  出行方便', '北斗花园  | 2室1厅 | 44.8平米 | 南 | 其他 | 无电梯', '中楼层(共7层)2004年建板楼  -  唐家墩', '90万', '单价20090元/平米')
('https://image1.ljcdn.com/420100-inspection/92e67a67-6553-441e-92b1-8b2860629e80.JPG.296x216.jpg', '此房是2017年的交付的  纯毛坯，无任何装修痕迹', '世纪江尚  | 3室2厅 | 123平米 | 东南 | 毛坯 | 有电梯', '高楼层(共57层)2016年建板楼  -  前进江汉', '465万', '单价37805元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload51d16283-1b43-4920-93b9-f6b300243209.jpg.296x216.jpg', '远洋心汉口 3室2厅 208万', '远洋心汉口  | 3室2厅 | 94平米 | 南 | 其他 | 有电梯', '高楼层(共47层)2018年建板楼  -  长丰常码头', '208万', '单价22128元/平米')
('https://image1.ljcdn.com/420100-inspection/test-838d030e-8d3a-4df1-8d17-fd28a2da279f.png.296x216.jpg', '菱角湖万达广场旁 老证纯毛坯两房 房东置换急售', '三金鑫城国际润雅苑  | 2室2厅 | 93.1平米 | 东南 | 毛坯 | 有电梯', '低楼层(共27层)2012年建塔楼  -  新华路万达', '210万', '单价22557元/平米')
('https://image1.ljcdn.com/420100-inspection/test-327f3967-0c42-46cc-a75d-b9751b10a625.png.296x216.jpg', '香缇美景+满两年+采光充足+随时看房+随意装修', '香缇美景  | 2室2厅 | 82.46平米 | 南 | 毛坯 | 有电梯', '中楼层(共11层)2000年建塔楼  -  常青路', '135万', '单价16372元/平米')
('https://image1.ljcdn.com/420100-inspection/6e602157-dc6a-4e63-9b90-b166e036016b.jpg.296x216.jpg', '福星华府 南北通透大三房 婚房装修 不临街 中高楼层', '福星华府  | 3室2厅 | 124平米 | 南 北 | 其他 | 有电梯', '高楼层(共45层)2015年建板楼  -  杨汊湖', '260万', '单价20968元/平米')
('https://image1.ljcdn.com/420100-inspection/83480a8f-7897-44b8-80f8-f335931cbf4c.jpg.296x216.jpg', '楼层高正南朝向采光好 正对小区花园看菱角湖两证满二', '菱角湖万达广场C区  | 2室2厅 | 92平米 | 南 | 简装 | 有电梯', '高楼层(共33层)2010年建塔楼  -  新华路万达', '218万', '单价23696元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload72a362a6-1f2b-4bd4-a06f-c12338599b89.jpg.296x216.jpg', '证满五年无贷款 精装+红领巾+车位+地铁 诚心出售', '阳光花园益康苑  | 2室2厅 | 94.5平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)2006年建板楼  -  长港路', '180万', '单价19048元/平米')
('https://image1.ljcdn.com/420100-inspection/cdcc57d2-2e89-4a79-b7e1-ee942b64b4b8.jpg.296x216.jpg', '三眼桥地铁口 香江新村 南北通透三房', '香江新村  | 3室1厅 | 141.28平米 | 南 北 | 其他 | 无电梯', '低楼层(共7层)板楼  -  新华路万达', '279万', '单价19749元/平米')
('https://image1.ljcdn.com/420100-inspection/296e0116-fbc0-4fb3-b0fe-795542530880.jpg.296x216.jpg', '此房为老证 中间楼层 视野开阔 采光充足 交通方便', '东一时区  | 4室2厅 | 176平米 | 东南 | 其他 | 有电梯', '低楼层(共30层)2004年建塔楼  -  武广万松园', '400万', '单价22728元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_uploadf9c1247b-046f-4339-a06b-e3f4a22e804a.jpg.296x216.jpg', '青松社区 老证 三室一厅 南北通透', '青松社区  | 3室1厅 | 108平米 | 东北 | 其他 | 无电梯', '中楼层(共8层)2004年建板楼  -  武广万松园', '190万', '单价17593元/平米')
('https://image1.ljcdn.com/420100-inspection/769bca02-e68e-4703-9aee-3adc2bb4cd99.jpg.296x216.jpg', '宇济天仙大厦 3室2厅 298万', '宇济天仙大厦  | 3室2厅 | 152.97平米 | 南 | 其他 | 有电梯', '中楼层(共29层)2005年建塔楼  -  宝丰崇仁', '298万', '单价19481元/平米')
('https://image1.ljcdn.com/420100-inspection/f0d2e20a-edab-40a5-9843-0ecaaa354947.jpg.296x216.jpg', '浩海小区 地铁二号线中装两房老证 采光好随时看诚心卖', '浩海小区  | 2室1厅 | 86平米 | 南 | 其他 | 无电梯', '高楼层(共8层)1998年建板楼  -  杨汊湖', '140万', '单价16280元/平米')
('https://image1.ljcdn.com/420100-inspection/b4351d6a-8d93-442f-9c93-09ae227f2b17.jpg.296x216.jpg', '香港路西马新村，总价低两房，老证，采光好，看房方便', '西马新村  | 2室1厅 | 82平米 | 南 北 | 简装 | 无电梯', '高楼层(共8层)1995年建塔楼  -  台北香港路', '140万', '单价17074元/平米')
('https://image1.ljcdn.com/420100-inspection/94779708-bee1-4158-8eca-da8f5f5ff9f5.jpg.296x216.jpg', '万达85.11平公寓 70年产权 老证 办公装修 范湖地铁站', '菱角湖万达广场A区  | 2室1厅 | 85.11平米 | 南 | 其他 | 有电梯', '高楼层(共27层)2010年建塔楼  -  新华路万达', '195万', '单价22912元/平米')
('https://image1.ljcdn.com/420100-inspection/0bd825c1-e729-4dec-ba7c-65053207d5fc.jpg.296x216.jpg', '天梨豪园4层复式带超大露台 户型方正 采光充足 大户型', '天梨豪园  | 5室1厅 | 216.18平米 | 南 | 其他 | 有电梯', '高楼层(共12层)2005年建塔楼  -  长港路', '320万', '单价14803元/平米')
('https://image1.ljcdn.com/420100-inspection/84b18fe3-cdcc-4b69-812c-ee442e9e3afc.jpg.296x216.jpg', '悦景居1梯2户 精装修保养好 老证无贷款 随时看房', '新华家园悦景居  | 2室2厅 | 98.78平米 | 南 北 | 其他 | 有电梯', '中楼层(共11层)2005年建塔楼  -  杨汊湖', '220万', '单价22272元/平米')
('https://image1.ljcdn.com/420100-inspection/b8fb7199-9bb9-40b9-9385-22943df4bbf3.jpg.296x216.jpg', '此小区为16年的次新小区，南北通透三房两卫，毛坯', '海马公园  | 3室1厅 | 130平米 | 南 | 其他 | 有电梯', '低楼层(共41层)2016年建板楼  -  CBD西北湖', '290万', '单价22308元/平米')
('https://image1.ljcdn.com/420100-inspection/2cd355e5-241c-43df-a0c2-a70fcfbf86f9.jpg.296x216.jpg', '成熟小区华苑社区  朝南两房 楼层视野好 视野佳', '华苑社区  | 2室1厅 | 84.7平米 | 南 | 其他 | 无电梯', '中楼层(共8层)1999年建板楼  -  杨汊湖', '128万', '单价15113元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload85f5c918-aff5-4a2b-baac-775072658377.jpg.296x216.jpg', '万松中奇 南北同风三房 老证采光好', '中奇欧式花园  | 3室2厅 | 137平米 | 南 | 其他 | 无电梯', '中楼层(共8层)2001年建板楼  -  武广万松园', '350万', '单价25548元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_uploadaa804f59-3af7-45d8-abd6-2817590959a1.jpg.296x216.jpg', '三金华都二期 婚装小三房 中间楼层 全朝南 采光好', '三金华都二期  | 3室2厅 | 113平米 | 南 | 其他 | 有电梯', '低楼层(共44层)2015年建板楼  -  新华路万达', '290万', '单价25664元/平米')
('https://image1.ljcdn.com/420100-inspection/4f82af3c-e937-4f90-9b0b-d8d232317421.jpg.296x216.jpg', '福康居小区 2室2厅 150万', '福康居小区  | 2室2厅 | 81.29平米 | 南 | 其他', '中楼层(共6层)1995年建板楼  -  新华路万达', '150万', '单价18453元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload36f983ad-488a-4c65-baa0-413b3df6a124.jpg.296x216.jpg', '餐厅客厅通透带阳台，无遮挡，采光好，精装，急售', '远洋心里  | 3室2厅 | 95.72平米 | 南 | 其他 | 有电梯', '高楼层(共40层)2017年建板楼  -  杨汊湖', '218万', '单价22775元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload7bf930f4-8abd-4855-901a-18c0a2a898de.jpg.296x216.jpg', '顶琇国际城毛坯三房，次新小区，环境舒适，交通便捷', '顶琇国际城  | 3室1厅 | 98平米 | 南 | 其他 | 有电梯', '低楼层(共47层)2017年建板楼  -  唐家墩', '205.8万', '单价21000元/平米')
('https://image1.ljcdn.com/420100-inspection/21ae0226-df71-4159-b4d3-2c4147e18546.jpg.296x216.jpg', '顶琇国际城 2室2厅 185万', '顶琇国际城  | 2室2厅 | 80平米 | 南 | 其他 | 有电梯', '中楼层(共48层)2017年建板楼  -  唐家墩', '185万', '单价23125元/平米')
('https://image1.ljcdn.com/420100-inspection/00a56b50-73e4-4e07-9b3f-3ee98a3d8d7d.jpg.296x216.jpg', '诚心卖，看房子方便，明厨明卫，', '远洋心汉口  | 3室2厅 | 99.83平米 | 南 北 | 其他 | 有电梯', '低楼层(共41层)2018年建板楼  -  长丰常码头', '215万', '单价21537元/平米')
('https://image1.ljcdn.com/420100-inspection/d2264c39-be30-4067-b04c-c469954bdaec.jpg.296x216.jpg', '楚天都市金园  70年精装一室一厅  低总价  诚意出售', '楚天都市金园  | 1室1厅 | 44平米 | 南 | 其他', '中楼层(共34层)2011年建板楼  -  长丰常码头', '89万', '单价20228元/平米')
('https://image1.ljcdn.com/420100-inspection/7151b1fd-8ab0-4e4d-8908-7143ce0758de.jpg.296x216.jpg', '大唐新都 近菱角湖万达 简单装修 中高层 户型方正', '大唐新都  | 1室1厅 | 45.57平米 | 南 | 其他 | 有电梯', '中楼层(共18层)2005年建塔楼  -  新华路万达', '83万', '单价18214元/平米')
('https://image1.ljcdn.com/420100-inspection/5c811ee9-20bd-4dff-92cd-f2d91fbf7661.jpg.296x216.jpg', '香江花园一二期 3室2厅 285万', '香江花园一二期  | 3室2厅 | 135.6平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)2004年建塔楼  -  唐家墩', '285万', '单价21018元/平米')
('https://image1.ljcdn.com/420100-inspection/4e22da9d-14a5-48cd-a6d0-f3d4747cef9e.jpg.296x216.jpg', '地铁6号线唐家墩站口 舒适通透三房 万科精装', '万科汉口传奇唐樾  | 3室2厅 | 118平米 | 南 | 其他 | 有电梯', '低楼层(共42层)2017年建板楼  -  杨汊湖', '320万', '单价27119元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload719830c1-2b3d-4f0d-8b6b-78be5c10d340.jpg.296x216.jpg', '三环内《富康花园》安静的小区，交通方便', '富康花园  | 3室2厅 | 104平米 | 南 北 | 其他 | 无电梯', '高楼层(共8层)2000年建板楼  -  杨汊湖', '151万', '单价14520元/平米')
('https://image1.ljcdn.com/420100-inspection/d0478bdc-227b-4f8c-8d7b-488729c20902.JPG.296x216.jpg', '湖北邮电 正规两房 诚心出售 配套成熟 交通方便', '湖北邮电  | 2室1厅 | 61平米 | 南 | 其他', '中楼层(共8层)2003年建板楼  -  武广万松园', '132万', '单价21640元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload63beedaf-b42d-43b7-8660-4feb74fd40dd.jpg.296x216.jpg', '菱角湖地铁 中间楼层 总价低两房', '蕾丹妮商住楼  | 2室1厅 | 70.55平米 | 南 | 其他', '中楼层(共8层)2001年建塔楼  -  台北香港路', '120万', '单价17010元/平米')
('https://image1.ljcdn.com/420100-inspection/1eda17d5-b078-422a-b818-fe5083ec3ec0.jpg.296x216.jpg', '香江新村地铁口 中间楼层 配套成熟 生活便利', '香江新村  | 2室1厅 | 91.05平米 | 西南 西 | 其他 | 无电梯', '中楼层(共7层)1998年建板楼  -  新华路万达', '170万', '单价18672元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload6bd4f735-7aa3-4ab0-b9c0-72357317a597.JPG.296x216.jpg', '万科金色家园三期 精装两室 业主自住 诚心出售', '万科金色家园三期  | 2室2厅 | 74.64平米 | 西北 | 其他 | 有电梯', '中楼层(共32层)2010年建板楼  -  前进江汉', '217万', '单价29073元/平米')
('https://image1.ljcdn.com/420100-inspection/c50887ef-9404-4cdc-91cb-cc8f0c601dff.jpg.296x216.jpg', '东方名都+对口大兴路+单价低+有钥匙', '东方名都  | 3室2厅 | 132.8平米 | 南 | 其他 | 有电梯', '低楼层(共16层)2002年建板楼  -  常青路', '205万', '单价15437元/平米')
('https://image1.ljcdn.com/420100-inspection/04f67aab-b35f-4676-9445-d27ffb0325db.jpg.296x216.jpg', '省运社区  中等装修 大三房  中间楼层 朝南采光好', '省运社区  | 3室1厅 | 64.2平米 | 南 北 | 其他', '低楼层(共7层)1996年建板楼  -  武广万松园', '158万', '单价24611元/平米')
('https://image1.ljcdn.com/420100-inspection/3ea059ea-e808-4641-a3d2-49b7e9ab2225.jpg.296x216.jpg', '新华路 三金地产 东南朝向三房 中间楼层 小区环境好', '三金鑫城国际润雅苑  | 3室2厅 | 119.6平米 | 东南 | 其他 | 有电梯', '中楼层(共29层)2012年建塔楼  -  新华路万达', '297万', '单价24833元/平米')
('https://image1.ljcdn.com/420100-inspection/6fe746d1-a098-4fd2-8bd6-ccef58d7fe21.jpg.296x216.jpg', '天瑞国际酒店公寓 1室1厅 70万', '天瑞国际酒店公寓  | 1室1厅 | 37平米 | 南 | 其他 | 有电梯', '高楼层(共31层)2007年建塔楼  -  武广万松园', '70万', '单价18919元/平米')
('https://image1.ljcdn.com/420100-inspection/test-171f6715-7ef3-42b1-bba2-7dbf8d242f5e.png.296x216.jpg', '天下城市星座 1室1厅 140万', '天下城市星座  | 1室1厅 | 65平米 | 南 | 简装 | 有电梯', '高楼层(共27层)2004年建板楼  -  新华路万达', '140万', '单价21539元/平米')
('https://image1.ljcdn.com/420100-inspection/02fde241-7333-4872-88ce-9f49e08b3f5a.jpg.296x216.jpg', '南国-精装修2房-中间楼层-房东诚心出售', '南国中心  | 2室1厅 | 96.37平米 | 东南 | 其他 | 有电梯', '高楼层(共31层)2016年建塔楼  -  武广万松园', '278万', '单价28848元/平米')
('https://image1.ljcdn.com/420100-inspection/f57fa9c4-ff62-42b4-80da-2db52bd13e21.JPG.296x216.jpg', '景江华庭朝南的二室一厅老证采光好中高楼层业主诚心', '景江华庭  | 2室1厅 | 64.2平米 | 南 | 其他 | 有电梯', '中楼层(共22层)2004年建塔楼  -  前进江汉', '160万', '单价24923元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload3a42568c-b4e3-4170-8dd7-29d809627ba5.jpg.296x216.jpg', '店长推选，万科圆方，诚心出售，随时可看，精致两房', '万科圆方  | 2室1厅 | 45平米 | 东 西 | 其他 | 有电梯', '高楼层(共20层)2009年建板楼  -  新华路万达', '125万', '单价27778元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_uploada9730fee-b926-490c-903e-154f43ad6599.jpg.296x216.jpg', '万达经典户型 南北通透 带入户花园 全明格局', '菱角湖万达广场B区  | 3室2厅 | 143.55平米 | 南 | 其他 | 有电梯', '低楼层(共33层)2010年建板楼  -  新华路万达', '368万', '单价25636元/平米')
('https://image1.ljcdn.com/420100-inspection/7c1930ad-d02b-477e-b974-8364642b5543.jpg.296x216.jpg', '中间楼层 采光充足 视野开阔 交通便利', '香港丽都  | 1室1厅 | 60.98平米 | 南 | 其他 | 有电梯', '高楼层(共25层)2007年建板楼  -  唐家墩', '120万', '单价19679元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_uploade87dcc83-2cdd-479f-ace2-7e438ebb31d7.jpg.296x216.jpg', '毛坯小三房+有钥匙看房方便+价格美丽', '远洋心汉口二期  | 3室1厅 | 99.94平米 | 南 北 | 毛坯', '低楼层(共41层)暂无数据  -  长丰常码头', '199万', '单价19912元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_uploadcc929153-d6fc-4380-b1a9-8ce6826aee47.jpg.296x216.jpg', '凯旋佳园 精装两房 中间楼层 无遮挡', '凯旋佳园  | 2室2厅 | 97平米 | 南 | 精装 | 无电梯', '中楼层(共6层)2004年建板楼  -  长丰常码头', '166万', '单价17114元/平米')
('https://image1.ljcdn.com/420100-inspection/eb749c87-73d8-4711-bff2-d03d13a965f1.jpg.296x216.jpg', '小区公摊小 安静 老证 2/3号线地铁', '江北园丁苑  | 2室2厅 | 81平米 | 南 北 | 其他 | 无电梯', '低楼层(共7层)1998年建塔楼  -  CBD西北湖', '160万', '单价19754元/平米')
('https://image1.ljcdn.com/420100-inspection/c6b56053-d240-45de-9df1-cddcc3817a78.jpg.296x216.jpg', '新华家园四期朝南 毛坯 可随意装修 正对小区 环境好', '新华家园  | 3室2厅 | 117平米 | 南 | 其他 | 有电梯', '高楼层(共22层)2008年建塔楼  -  杨汊湖', '245万', '单价20941元/平米')
('https://image1.ljcdn.com/420100-inspection/615d193b-42ed-425e-a4d7-ab00d24c6ab6.jpg.296x216.jpg', '武广公寓 3室2厅 210万', '武广公寓  | 3室2厅 | 117.05平米 | 东南 | 其他 | 有电梯', '中楼层(共34层)2007年建板楼  -  武广万松园', '210万', '单价17942元/平米')
('https://image1.ljcdn.com/420100-inspection/e9c50af0-cf2f-45b1-974a-0be60d1e9c68.jpg.296x216.jpg', '远洋心汉口 品牌开发商 毛坯三房 户型方正 交通便利', '远洋心汉口  | 3室2厅 | 118.61平米 | 南 北 | 其他', '高楼层(共47层)2017年建板楼  -  长丰常码头', '268万', '单价22596元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload919961cd-03f9-45e8-86b4-0cb927e2b261.JPG.296x216.jpg', '宝利金二期中央荣御 1室1厅 150万', '宝利金二期中央荣御  | 1室1厅 | 56.97平米 | 东南 | 其他 | 有电梯', '中楼层(共33层)2011年建塔楼  -  前进江汉', '150万', '单价26330元/平米')
('https://image1.ljcdn.com/420100-inspection/test-aa0feb86-9369-455f-9c81-63f722278eea.png.296x216.jpg', '此房老证 后期税费低 楼层适中，视野开阔 采光好', '楚天星座公寓  | 1室1厅 | 66平米 | 南 | 其他 | 有电梯', '高楼层(共30层)2007年建塔楼  -  武广万松园', '150万', '单价22728元/平米')
('https://image1.ljcdn.com/420100-inspection/a3ee7157-87b1-474c-9ef0-b2c558578941.jpg.296x216.jpg', '越秀国际金融汇-开发商装修3房-户型方正-随时看房子', '越秀国际金融汇  | 3室2厅 | 100.73平米 | 东南 | 其他 | 有电梯', '低楼层(共32层)2016年建板塔结合  -  武广万松园', '355万', '单价35243元/平米')
('https://image1.ljcdn.com/420100-inspection/bc0ac7f8-0475-4a15-84c1-b5e1a473ad36.jpg.296x216.jpg', '同小区单价低总价低，中装保养好，买到就是赚！！！', '日月华庭  | 3室2厅 | 135.05平米 | 东 西 | 其他 | 有电梯', '低楼层(共25层)2006年建塔楼  -  新华路万达', '290万', '单价21474元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_uploadfeadf83e-f910-4bd2-acae-66e2b1544f63.jpg.296x216.jpg', '绿化小区 闹中取静 二环内 配套后襄河公园和武商量贩', '东航小区  | 2室2厅 | 85.91平米 | 南 西 北 | 其他', '高楼层(共7层)暂无数据  -  CBD西北湖', '146万', '单价16995元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload44837eb5-b308-4010-a69e-b24b129856f2.jpg.296x216.jpg', '青年路王家墩东地铁口B出口宇济天仙大厦两证满5年', '宇济天仙大厦  | 3室2厅 | 135.29平米 | 东南 | 其他 | 有电梯', '高楼层(共29层)2005年建塔楼  -  宝丰崇仁', '257万', '单价18997元/平米')
('https://image1.ljcdn.com/420100-inspection/d4e50b46-f394-4349-b36e-ea47a825c0a5.jpg.296x216.jpg', '一中旁 浩海小区 三层复试 带露台花园 一梯两户', '浩海小区  | 5室2厅 | 155.74平米 | 南 北 | 其他 | 无电梯', '高楼层(共8层)1998年建板楼  -  杨汊湖', '185万', '单价11879元/平米')
('https://image1.ljcdn.com/420100-inspection/8f3f4231-defa-4705-b10b-5f6538711816.JPG.296x216.jpg', '汉来广场外围房源 大户型三房 采光好', '汉来广场  | 3室1厅 | 101.21平米 | 西 | 其他', '低楼层(共19层)暂无数据  -  前进江汉', '155万', '单价15315元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload9036f4a7-7cc5-480d-bccb-967151ed5598.jpg.296x216.jpg', '江花苑 3室1厅 185万', '江花苑  | 3室1厅 | 110平米 | 南 | 其他 | 有电梯', '中楼层(共18层)2006年建塔楼  -  塔子湖', '185万', '单价16819元/平米')
('https://image1.ljcdn.com/420100-inspection/fae04b87-8bc6-4e88-9eae-815762d7c68c.jpg.296x216.jpg', '万松园小区，顶楼带露台，精装修，看房方便', '青松社区  | 2室2厅 | 84.5平米 | 南 | 其他 | 无电梯', '高楼层(共8层)2004年建板楼  -  武广万松园', '165万', '单价19527元/平米')
('https://image1.ljcdn.com/420100-inspection/a38a7514-93e8-4d55-bc91-112ae99629a3.jpg.296x216.jpg', '配套成熟 生活交通便利 全新装修 看房方便', '恒发新村和谐小区  | 2室1厅 | 76.49平米 | 西南 | 其他 | 无电梯', '中楼层(共8层)1992年建塔楼  -  台北香港路', '149万', '单价19480元/平米')
('https://image1.ljcdn.com/420100-inspection/d54a48f9-69e9-49bb-96d3-ce7b5324fdf5.jpg.296x216.jpg', '蓝色天际 6号线唐家墩地铁口 采光良好 随时看房', '蓝色天际  | 2室2厅 | 103.54平米 | 南 | 其他 | 无电梯', '中楼层(共8层)2003年建板楼  -  唐家墩', '180万', '单价17385元/平米')
('https://image1.ljcdn.com/420100-inspection/34dad54f-5bf4-4d51-a8f5-0940b0e3f246.jpg.296x216.jpg', '小两房 南北通透 中间楼层 有钥匙 随时看', '台北路长航小区  | 2室1厅 | 78.99平米 | 南 北 | 其他 | 无电梯', '中楼层(共8层)2001年建塔楼  -  台北香港路', '162万', '单价20509元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload6579fa26-8a6c-498b-a6db-f752817fdee2.jpg.296x216.jpg', '北湖西路祥和家园，位置闹中取静，通透大三房', '富豪社区祥和家园  | 3室2厅 | 123.83平米 | 南 | 其他 | 有电梯', '低楼层(共9层)2000年建板楼  -  CBD西北湖', '230万', '单价18574元/平米')
('https://image1.ljcdn.com/420100-inspection/test-2ff42eb3-e32b-4789-a3e8-4fd0324e0ad5.png.296x216.jpg', '顶琇国际城正规四房户型，四面采光，中间楼层，有钥匙', '顶琇国际城  | 4室2厅 | 127.97平米 | 南 | 其他 | 有电梯', '高楼层(共47层)2017年建板楼  -  唐家墩', '279万', '单价21802元/平米')
('https://image1.ljcdn.com/420100-inspection/b6c003d6-0599-4fc5-a45a-a31c16f24926.jpg.296x216.jpg', '新世纪都市花园沁园春 温馨居家三房两卫 证满2年', '新世纪都市花园沁园春  | 3室2厅 | 147.94平米 | 南 北 | 精装 | 有电梯', '中楼层(共14层)2004年建板楼  -  CBD西北湖', '290万', '单价19603元/平米')
('https://image1.ljcdn.com/420100-inspection/ca0f5126-1623-4708-964b-9cd75ede14c3.jpg.296x216.jpg', '2号线6号线中间 富康花园 中间楼层 采光好 自住装修', '富康花园  | 3室1厅 | 95.59平米 | 南 | 其他 | 无电梯', '中楼层(共7层)2000年建板楼  -  杨汊湖', '148万', '单价15483元/平米')
