('https://image1.ljcdn.com/441900-inspection/7d60b0eb-0f9f-438d-8cad-412834eaa9d7.jpg.296x216.jpg', '天虹广场   舒适3房  装修好  保养新  高楼层', '地标广场  | 3室2厅 | 108平米 | 东南 | 其他', '中楼层(共28层)2011年建塔楼  -  地标', '300万', '单价27778元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadd9092440-3030-4d51-bb80-5bd5b8d99a88.jpg.296x216.jpg', '虎门万达华府精装修 高楼层 采光充足 业主诚心出售', '万达华府  | 1室1厅 | 52.56平米 | 东南 | 其他', '高楼层(共28层)2014年建塔楼  -  万达', '73.8万', '单价14042元/平米')
('https://image1.ljcdn.com/441900-inspection/4a8c6ba3-7b2c-49ca-92ab-441fb1fd8232.jpg.296x216.jpg', '此房方正四房，业主急售，价格还可谈', '金色家园  | 4室2厅 | 139平米 | 东南 | 其他', '高楼层(共12层)2003年建塔楼  -  虎门公园', '260万', '单价18706元/平米')
('https://image1.ljcdn.com/441900-inspection/292f2678-6ff3-4493-ae62-cc7e0db2e92f.jpg.296x216.jpg', '房子满2年    格局方正   业主诚心出售', '龙泉豪苑  | 5室2厅 | 418.27平米 | 南 北 | 其他', '低楼层(共25层)2011年建塔楼  -  地标', '580万', '单价13867元/平米')
('https://image1.ljcdn.com/441900-inspection/24d96f30-b535-4a28-b07f-e296ddca6a7b.jpg.296x216.jpg', '新园中区 新装修改三房 南北通 小区管理安静舒适', '新园中区  | 3室1厅 | 59平米 | 南 | 其他', '低楼层(共6层)2002年建板楼  -  太平广场', '98万', '单价16611元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload3a9b8946-f5a4-4e9d-b42e-9a316ef1ae7f.jpg.296x216.jpg', '锦绣半山 满五唯一 税费低 南北通透户型 诚心出售', '锦绣半山  | 3室2厅 | 118.99平米 | 南 | 简装', '高楼层(共17层)2007年建塔楼  -  黄河中心', '214万', '单价17985元/平米')
('https://image1.ljcdn.com/441900-inspection/bcef0068-a122-4331-aef4-e5f85254d981.jpg.296x216.jpg', '此房精装修 一室一厅 格局方正采光好 带家私家电出售', '地标大厦  | 1室1厅 | 58平米 | 西北 | 其他', '低楼层(共24层)2010年建塔楼  -  地标', '82万', '单价14138元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload4397af61-e666-4e6e-97f4-5b0b6131c0ac.jpg.296x216.jpg', '南部湾 精装修3房出售 万科自带精装修', '南部湾万科城  | 3室2厅 | 95平米 | 西南 | 其他', '低楼层(共34层)2015年建塔楼  -  大宁', '230万', '单价24211元/平米')
('https://image1.ljcdn.com/441900-inspection/19186c84-4a53-4e3a-9f32-45128f5046e2.jpg.296x216.jpg', '万科南部湾 精致四房 全屋品牌家私家电 高楼层 采光好', '南部湾万科城  | 4室2厅 | 118平米 | 东南 | 其他', '低楼层(共34层)2015年建塔楼  -  大宁', '325万', '单价27543元/平米')
('https://image1.ljcdn.com/441900-inspection/0637e4b7-b1fd-48da-ac6a-d2a3431be275.jpg.296x216.jpg', '丰泰华园山庄-180平方正户型，朝南满五年，无欠款', '丰泰华园山庄  | 3室2厅 | 180平米 | 东南 | 其他', '低楼层(共12层)2003年建塔楼  -  新联', '280万', '单价15556元/平米')
('https://image1.ljcdn.com/441900-inspection/0f76f9a5-40c7-4b58-a44f-ac326337d68f.jpg.296x216.jpg', '业主诚心租售，房子带精装，保养新配套全', '能源华庄  | 3室2厅 | 128平米 | 南 | 简装', '高楼层(共23层)2004年建塔楼  -  黄河中心', '205万', '单价16016元/平米')
('https://image1.ljcdn.com/441900-inspection/3faef63c-bca8-47ac-ab74-24f6475fdc3c.jpg.296x216.jpg', '东方国际星座朝南高楼层，明亮宽敞居家舒适', '东方国际星座  | 3室2厅 | 153平米 | 东南 | 其他', '中楼层(共29层)2006年建塔楼  -  黄河中心', '195万', '单价12746元/平米')
('https://image1.ljcdn.com/441900-inspection/cd0a891e-3899-4f55-89cd-b561e88d0ede.jpg.296x216.jpg', '天虹楼上   带装修3房  带家私家电打包  拎包入住', '地标广场  | 3室2厅 | 148.29平米 | 南 | 其他', '中楼层(共29层)2011年建塔楼  -  地标', '418万', '单价28189元/平米')
('https://image1.ljcdn.com/441900-inspection/2c44b8db-48fc-46c7-91fe-3d07ce00dfe3.jpg.296x216.jpg', '万达华府万达商圈公寓出售利用率高好选择', '万达华府  | 1室1厅 | 51.37平米 | 西 | 其他', '低楼层(共28层)2014年建塔楼  -  万达', '72万', '单价14016元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadaed75f41-fbe8-4ab7-8aec-3259539a466c.jpg.296x216.jpg', '虎门万达精装修公寓 楼层中高 业主诚心出售', '万达华府  | 1室1厅 | 55.57平米 | 东南 | 其他', '高楼层(共28层)2014年建塔楼  -  万达', '77.8万', '单价14001元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload56a1fdcc-4de7-40d9-8f75-b1848497dec5.jpg.296x216.jpg', '金色里程 轻轨物业 虎门公园后花园 镇心位置', '万科金色里程  | 2室2厅 | 71平米 | 北 | 其他', '低楼层(共33层)2015年建塔楼  -  虎门公园', '170万', '单价23944元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadc718fac9-7c31-42dd-889c-e8b3880b7e43.jpg.296x216.jpg', '虎门金地琥悦 高楼层 采光好 户型方正 近高速近地铁', '金地琥悦  | 3室2厅 | 100.52平米 | 东南 | 其他', '高楼层(共15层)2014年建塔楼  -  万达', '230万', '单价22882元/平米')
('https://image1.ljcdn.com/441900-inspection/195fc02e-1752-4657-8385-44e1e578f3a0.jpg.296x216.jpg', '龙泉豪苑 南北通透格局 双阳台 带露台', '龙泉豪苑  | 5室2厅 | 526平米 | 南 | 其他', '低楼层(共25层)2011年建塔楼  -  地标', '830万', '单价15780元/平米')
('https://image1.ljcdn.com/441900-inspection/120fbe6d-0707-490c-b66d-c28f88046b10.jpg.296x216.jpg', '满五唯一 毛坯 共三层 实用面积500平 地下室采光好', '丰泰东海城堡  | 3室2厅 | 102平米 | 东北 | 其他', '低楼层(共15层)2013年建塔楼  -  新联', '350万', '单价34314元/平米')
('https://image1.ljcdn.com/441900-inspection/41925b0d-53a0-4d4d-af7e-34f095df8c5d.jpg.296x216.jpg', '金地房子是带装修的，3房2厅2卫、户型方正、光线充足', '金地琥悦  | 3室2厅 | 98平米 | 南 | 其他', '中楼层(共15层)2014年建塔楼  -  万达', '200万', '单价20409元/平米')
('https://image1.ljcdn.com/441900-inspection/ae8e6d4a-55d6-44ab-9c87-9751db3e9cd5.jpg.296x216.jpg', '新兴大厦 正规三居室 采光通透 精装修 产权清晰', '新兴大厦  | 3室2厅 | 108.58平米 | 南 北 | 其他', '中楼层(共13层)2000年建塔楼  -  黄河中心', '188万', '单价17315元/平米')
('https://image1.ljcdn.com/441900-inspection/54d557b0-aaf6-4be9-b207-de69463fdaad.jpg.296x216.jpg', '沿江高速出口物业 万科品质保证 精装大三房', '万科紫台  | 3室2厅 | 140平米 | 北 | 其他', '中楼层(共19层)2010年建塔楼  -  地标', '290万', '单价20715元/平米')
('https://image1.ljcdn.com/441900-inspection/b0610aef-0dec-44ec-a0a4-537ce2a560fc.jpg.296x216.jpg', '虎门金地琥悦 精心装修 南北通透', '金地琥悦  | 3室2厅 | 117.8平米 | 南 | 其他', '低楼层(共16层)2014年建塔楼  -  万达', '270万', '单价22921元/平米')
('https://image1.ljcdn.com/441900-inspection/20df213e-cfd8-4e98-b619-91a4410ee1a0.jpg.296x216.jpg', '丰泰东海山庄 联排别墅 免增值税 位置安静 居住人旺', '丰泰东海山庄   | 联排别墅 | 6室2厅 | 355平米 | 东北 | 其他', '3层2007年建暂无数据  -  新联', '650万', '单价18310元/平米')
('https://image1.ljcdn.com/441900-inspection/a0596174-e177-4eb4-8880-2b7eca2ee52a.jpg.296x216.jpg', '东海城堡一区别墅带花园别墅，满五年，免征增值税。', '丰泰东海城堡   | 联排别墅 | 4室2厅 | 230平米 | 东南 | 其他', '3层2013年建暂无数据  -  新联', '500万', '单价21740元/平米')
('https://image1.ljcdn.com/441900-inspection/e2a30d81-dfb4-44c1-843f-3312db642022.jpg.296x216.jpg', '公寓出售万达商圈配套成熟交通发达', '万达华府  | 1室1厅 | 52平米 | 西 | 其他', '低楼层(共28层)2014年建塔楼  -  万达', '73万', '单价14039元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload10d44699-a678-4821-8fbe-a611aa535da2.jpg.296x216.jpg', '虎门万达广场 精装修公寓 楼层好 采光充足 诚心出售', '万达华府  | 1室1厅 | 52.69平米 | 东南 | 其他', '高楼层(共28层)2014年建塔楼  -  万达', '73.8万', '单价14007元/平米')
('https://image1.ljcdn.com/441900-inspection/eef4575c-17a5-43db-a8d0-d3d13ff2a696.jpg.296x216.jpg', '虎门繁华地段龙泽居看小区，高楼层，视野宽阔', '龙泽居  | 3室2厅 | 115平米 | 南 | 其他', '高楼层(共31层)2005年建塔楼  -  黄河中心', '220万', '单价19131元/平米')
('https://image1.ljcdn.com/441900-inspection/32d416a1-0865-47a1-b29c-d802bae55a2c.jpg.296x216.jpg', '新联 中惠悦峰 精装三房 朝小区 户型方正', '中惠悦峰  | 3室2厅 | 87.07平米 | 南 | 其他', '中楼层(共18层)2015年建塔楼  -  新联', '190万', '单价21822元/平米')
('https://image1.ljcdn.com/441900-inspection/2a71dfba-a715-4d85-9d41-31370b5c894b.jpg.296x216.jpg', '丰泰独栋别墅，面积大，环境好。', '丰泰华园山庄   | 独栋别墅 | 5室1厅 | 440.42平米 | 东南 | 其他', '1层2005年建暂无数据  -  新联', '1300万', '单价29518元/平米')
('https://image1.ljcdn.com/441900-inspection/339e6fb6-bbed-46d1-8e1c-d5eeb9fd6664.jpg.296x216.jpg', '丰泰东海城堡精装3房，诚意出售！', '丰泰东海城堡  | 3室1厅 | 98平米 | 北 | 其他', '低楼层(共15层)2013年建塔楼  -  新联', '180万', '单价18368元/平米')
('https://image1.ljcdn.com/441900-inspection/8295d7d0-4000-4511-a42d-bb0535b5bd71.jpg.296x216.jpg', '太平广场商圈 刚需大三房 低价抛售', '德盛海珠大厦  | 3室2厅 | 150平米 | 东 | 其他', '低楼层(共18层)2000年建塔楼  -  太平广场', '150万', '单价10000元/平米')
('https://image1.ljcdn.com/441900-inspection/ca664454-b89f-4478-a661-e6440231a3c6.jpg.296x216.jpg', '东海城堡精装修方正3房，保养好，业主诚心出售！', '丰泰东海城堡  | 3室2厅 | 89.67平米 | 西北 | 其他', '中楼层(共18层)2013年建塔楼  -  新联', '200万', '单价22305元/平米')
('https://image1.ljcdn.com/441900-inspection/d2b5b36f-36e7-4689-8fed-6d7c96681c45.jpg.296x216.jpg', '南部湾万科城 采光充足 视野宽阔 没有住过人 诚心出售', '南部湾万科城  | 3室2厅 | 96平米 | 西南 | 其他', '中楼层(共41层)2016年建塔楼  -  大宁', '225万', '单价23438元/平米')
('https://image1.ljcdn.com/441900-inspection/127fe35f-f797-4119-9437-90a751ab0e73.jpg.296x216.jpg', '房子满2年 有很大的花园 宽阔 户型方正', '龙泉豪苑  | 5室2厅 | 461平米 | 南 北 | 其他', '低楼层(共25层)2011年建塔楼  -  地标', '720万', '单价15619元/平米')
('https://image1.ljcdn.com/441900-inspection/6d54f196-78fb-4d15-92c6-a6ee6780f114.jpg.296x216.jpg', '天虹商圈  豪苑大房   南北通透  业主诚心出售', '龙泉豪苑  | 5室2厅 | 421.88平米 | 南 北 | 其他', '低楼层(共25层)2011年建塔楼  -  地标', '675万', '单价16000元/平米')
('https://image1.ljcdn.com/441900-inspection/fc37f1d4-8182-4b1d-b688-07caf718eb08.jpg.296x216.jpg', '黄河集团开发品质楼盘 精装一房', '东方国际星座  | 1室1厅 | 45.95平米 | 西 | 其他', '高楼层(共29层)2006年建塔楼  -  黄河中心', '65万', '单价14146元/平米')
('https://image1.ljcdn.com/441900-inspection/d0920339-d7fb-4669-9264-32adee295780.jpg.296x216.jpg', '中高楼层，视野宽阔，采光充足，', '万达华府  | 1室1厅 | 57.09平米 | 西南 | 其他', '低楼层(共28层)2014年建塔楼  -  万达', '87万', '单价15240元/平米')
('https://image1.ljcdn.com/441900-inspection/1efad598-355f-40f9-8e14-952948f24ae2.jpg.296x216.jpg', '能源华庄大4房 中高楼层，朝小区，安静，配套齐全', '能源华庄  | 4室2厅 | 164平米 | 东南 | 其他', '低楼层(共23层)2004年建塔楼  -  黄河中心', '246万', '单价15000元/平米')
('https://image1.ljcdn.com/441900-inspection/8e855074-2ad3-41ba-84ba-cbd47b1b653c.jpg.296x216.jpg', '天虹商圈   交通便利 配套齐全', '地标广场  | 1室1厅 | 38.22平米 | 东 | 其他', '中楼层(共28层)2011年建塔楼  -  地标', '70万', '单价18316元/平米')
('https://image1.ljcdn.com/441900-inspection/9eb5cbb2-6c1b-4bc7-a5b8-af1399b370a5.jpg.296x216.jpg', '天虹商圈 复式精装修 房子满五年 业主诚心售房', '地标大厦  | 1室1厅 | 58平米 | 东南 | 其他', '低楼层(共24层)2010年建塔楼  -  地标', '80万', '单价13794元/平米')
('https://image1.ljcdn.com/441900-inspection/fb908b1d-cdfc-48e7-b5a4-68c2a4a50541.jpg.296x216.jpg', '万科城精装温馨三房  户型方正  通风好 采光好', '南部湾万科城  | 3室2厅 | 94平米 | 西南 | 其他', '高楼层(共34层)2015年建塔楼  -  大宁', '230万', '单价24469元/平米')
('https://image1.ljcdn.com/441900-inspection/959efce9-8ecc-44ea-8abd-0002ca5d4364.jpg.296x216.jpg', '客天下精装三房，中高楼层，双阳台，满2年', '客天下琥门  | 3室2厅 | 103平米 | 东南 | 精装', '高楼层(共27层)2014年建塔楼  -  万达', '280万', '单价27185元/平米')
('https://image1.ljcdn.com/441900-inspection/274bf972-5f1c-48df-8724-acd61492ce53.jpg.296x216.jpg', '富民花园 小区环境优美 小区内有停车位 交通便利', '富民花园  | 3室2厅 | 88平米 | 东南 | 其他', '中楼层(共6层)2004年建板楼  -  太平广场', '115万', '单价13069元/平米')
('https://image1.ljcdn.com/441900-inspection/18f713c1-2d39-4788-9fb3-4d01fd2a1f7c.jpg.296x216.jpg', '宏发商业广场 3室2厅 150万', '宏发商业广场  | 3室2厅 | 109.46平米 | 北 | 其他', '中楼层(共8层)2002年建塔楼  -  万达', '150万', '单价13704元/平米')
('https://image1.ljcdn.com/441900-inspection/d420c8d7-2acc-4c9c-a5c6-261593e6ff4d.jpg.296x216.jpg', '精装修靓丽温馨4房出售 产权清晰 业主诚心出售', '南部湾万科城  | 4室2厅 | 142平米 | 东南 | 其他', '高楼层(共11层)2014年建板楼  -  大宁', '370万', '单价26057元/平米')
('https://image1.ljcdn.com/441900-inspection/42816da4-d180-4477-a278-e9484f9b2fca.jpg.296x216.jpg', '虎门南部湾别墅边位送大花园 南北通透 业主诚心出售', '南部湾万科城   | 联排别墅 | 4室2厅 | 162平米 | 南 北 | 其他', '3层2014年建暂无数据  -  大宁', '660万', '单价40741元/平米')
('https://image1.ljcdn.com/441900-inspection/2d5baa4e-2f63-4787-bf0a-429b12377561.jpg.296x216.jpg', '太平广场商圈 海景花园 看海景洋房', '海景花园  | 1室1厅 | 49平米 | 北 | 其他', '中楼层(共8层)塔楼  -  太平广场', '36万', '单价7347元/平米')
('https://image1.ljcdn.com/441900-inspection/8262a9b0-0dee-44f1-8121-f0391ef52785.jpg.296x216.jpg', '万达华府   采光好 家私家电齐全 买来直接拎包入住', '万达华府  | 1室1厅 | 56.95平米 | 北 | 其他', '中楼层(共28层)2014年建塔楼  -  万达', '85万', '单价14926元/平米')
('https://image1.ljcdn.com/441900-inspection/08094ee1-1763-4694-9e60-48f21dddb1a2.jpg.296x216.jpg', '万科花园洋房 精装 三室二厅 南北通透适合居家人士住', '南部湾万科城  | 3室1厅 | 95平米 | 东南 | 其他', '低楼层(共32层)2016年建塔楼  -  大宁', '220万', '单价23158元/平米')
('https://image1.ljcdn.com/441900-inspection/a93b2f25-2a05-45a9-a397-84fe6530cc32.jpg.296x216.jpg', '地段好交通出行方便 楼盘还很新，还是高楼层', '金地琥悦  | 3室2厅 | 100平米 | 南 | 其他', '高楼层(共15层)2014年建塔楼  -  万达', '210万', '单价21000元/平米')
('https://image1.ljcdn.com/441900-inspection/ecdbac29-08f6-4d25-b63d-c975f6d73f4c.jpg.296x216.jpg', '不是满5唯一，满了两两年，看房方便', '地标广场  | 3室2厅 | 175平米 | 北 | 其他', '高楼层(共30层)2011年建塔楼  -  地标', '450万', '单价25715元/平米')
('https://image1.ljcdn.com/441900-inspection/4959082f-1611-4f75-a695-95d99db1bf9c.jpg.296x216.jpg', '万达商圈，标准三室两厅，南北通透，看房方便', '客天下琥门  | 3室2厅 | 107平米 | 南 | 其他', '高楼层(共27层)2014年建塔楼  -  万达', '225万', '单价21029元/平米')
('https://image1.ljcdn.com/441900-inspection/c5c4b95b-d4e7-4732-b836-b4ba7b8ad25e.jpg.296x216.jpg', '龙泉品牌  大户型住宅 小区自带花园 环境开阔优美', '龙泉豪苑  | 6室2厅 | 568.44平米 | 东南 | 其他', '中楼层(共25层)2011年建塔楼  -  地标', '855万', '单价15042元/平米')
('https://image1.ljcdn.com/441900-inspection/c14bf857-21c0-417c-8d34-1b16aa3b14ac.jpg.296x216.jpg', '丰泰华园山庄 独栋别墅 自带大花园 安静舒适', '丰泰华园山庄   | 独栋别墅 | 5室2厅 | 306平米 | 东南 | 毛坯', '1层2005年建暂无数据  -  新联', '1200万', '单价39216元/平米')
('https://image1.ljcdn.com/441900-inspection/18beee3d-3901-4f97-87b4-1fd37d9a1296.jpg.296x216.jpg', '东海山庄大社区 边位别墅花园大 采光足 户型可改', '丰泰东海城堡   | 联排别墅 | 5室3厅 | 237.44平米 | 南 | 其他', '3层2013年建暂无数据  -  新联', '580万', '单价24428元/平米')
('https://image1.ljcdn.com/441900-inspection/ccdabf2a-2a9b-4ab0-8e7b-149e6be00b07.jpg.296x216.jpg', '此房满五唯一免个税  户型方正', '金鸾大厦  | 3室2厅 | 98.5平米 | 东北 | 其他', '中楼层(共16层)2003年建塔楼  -  太平广场', '145万', '单价14721元/平米')
('https://image1.ljcdn.com/441900-inspection/8f7e3f28-d7cd-4ac8-bc3f-082a89af9aca.jpg.296x216.jpg', '东海山庄联排别墅白马湖傍赠送建100多平方地下室', '丰泰东海山庄   | 联排别墅 | 5室2厅 | 358平米 | 东南 | 其他', '3层2007年建暂无数据  -  新联', '850万', '单价23744元/平米')
('https://image1.ljcdn.com/441900-inspection/d4ce3901-0247-4cc3-8ecf-53c54822e6d8.jpg.296x216.jpg', '万达华府   坐享万达商圈  配套成熟  业主诚心出售', '万达华府  | 1室1厅 | 55.66平米 | 南 | 其他', '中楼层(共28层)2014年建塔楼  -  万达', '68万', '单价12218元/平米')
('https://image1.ljcdn.com/441900-inspection/a8a7b3c7-52db-490f-a9cf-950ff8679e52.jpg.296x216.jpg', '万达单身公寓 1房1厅1卫 方正户型 诚意出售', '万达华府  | 1室1厅 | 57.28平米 | 南 西 | 其他', '中楼层(共28层)2014年建塔楼  -  万达', '72万', '单价12570元/平米')
('https://image1.ljcdn.com/441900-inspection/65a0aa02-f889-4c72-9269-f4d31902c6c2.jpg.296x216.jpg', '房子过五年 家庭唯一一套 省个税 看房方便', '兰苑大厦  | 2室2厅 | 89平米 | 东北 | 其他', '高楼层(共17层)1998年建塔楼  -  黄河中心', '95万', '单价10675元/平米')
('https://image1.ljcdn.com/441900-inspection/f3ea273f-5213-4985-9d18-07b725bcde44.jpg.296x216.jpg', '天虹商圈，单身公寓，属于你的都市生活。', '地标大厦  | 1室1厅 | 63平米 | 东北 | 其他', '高楼层(共25层)2010年建塔楼  -  地标', '100万', '单价15874元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload875b2e92-913b-4e2e-8553-f9bd6eb26c9d.jpg.296x216.jpg', '虎门繁华地段龙泽居温馨五房，交通方便', '龙泽居  | 5室2厅 | 265.46平米 | 东北 | 其他', '中楼层(共14层)2005年建塔楼  -  黄河中心', '270万', '单价10172元/平米')
('https://image1.ljcdn.com/441900-inspection/6474c708-b2f7-4345-a893-26bd522dcd69.jpg.296x216.jpg', '精装三房 高楼层 视野好采光好 东南朝向户型', '南部湾万科城  | 3室2厅 | 97平米 | 东南 | 其他', '中楼层(共41层)2016年建塔楼  -  大宁', '250万', '单价25774元/平米')
('https://image1.ljcdn.com/441900-inspection/e531174d-b955-4f13-b39b-9e1c2815e72d.jpg.296x216.jpg', '楼下就是天虹 地铁口物业 高品质小区 看房随时', '龙泉豪苑  | 6室2厅 | 568平米 | 南 北 | 其他', '中楼层(共25层)2011年建塔楼  -  地标', '920万', '单价16198元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadd2144c2f-c854-43eb-b201-005db9165bdd.jpg.296x216.jpg', '品质小区 南北通透  楼下配套齐全生活很方便', '海岸国际  | 5室2厅 | 272平米 | 南 | 精装', '中楼层(共28层)2006年建塔楼  -  太平广场', '436万', '单价16030元/平米')
('https://image1.ljcdn.com/441900-inspection/875579a6-ffb4-4f04-abea-c44d8446a109.jpg.296x216.jpg', '丰泰东海城堡 车位 14.8万', '丰泰东海城堡  | 车位 | 12平米 | 西南', '2013年建板楼  -  新联', '14.8万', '单价12334元/平米')
('https://image1.ljcdn.com/441900-inspection/c40d2fa6-8b2a-4d88-8eff-85c946e0fe30.jpg.296x216.jpg', '丰泰东海城堡 车位 15万', '丰泰东海城堡  | 车位 | 12.5平米 | 西南', '2013年建板楼  -  新联', '15万', '单价12000元/平米')
('https://image1.ljcdn.com/441900-inspection/f4d3fd42-86e9-452c-9005-d67119e438ce.jpg.296x216.jpg', '金地琥悦  中高楼层 南北朝向 采光通风好 小区安静', '金地琥悦  | 4室2厅 | 138平米 | 东南 | 其他', '中楼层(共15层)塔楼  -  万达', '275万', '单价19928元/平米')
('https://image1.ljcdn.com/441900-inspection/10562f39-08c9-420b-8fa1-856fd0e0001c.jpg.296x216.jpg', '天虹商圈 精装一房  高楼层  采光好  拎包入住', '地标广场  | 1室1厅 | 38.22平米 | 西 | 其他', '高楼层(共28层)2011年建塔楼  -  地标', '105万', '单价27473元/平米')
('https://image1.ljcdn.com/441900-inspection/1456ac8d-7c65-45fc-95fb-f6972c529f43.jpg.296x216.jpg', '万达温馨舒适小公寓 业主诚心出售', '万达华府  | 1室1厅 | 57.29平米 | 南 | 其他', '低楼层(共28层)2014年建塔楼  -  万达', '86万', '单价15012元/平米')
('https://image1.ljcdn.com/441900-inspection/bcbd9600-7a04-494a-b799-5642185d1a7c.jpg.296x216.jpg', '高楼层 采光好  全屋定制衣柜  墙面硅藻泥', '南部湾万科城  | 3室2厅 | 97平米 | 东南 | 其他', '高楼层(共18层)2016年建塔楼  -  大宁', '230万', '单价23712元/平米')
('https://image1.ljcdn.com/441900-inspection/1f6c1e3d-8f5b-45ab-a090-c5dd32774eb3.jpg.296x216.jpg', '华府区跃式4房 满五年 带车位诚心出售', '丰泰华园山庄  | 4室2厅 | 256平米 | 南 | 精装', '低楼层(共12层)2005年建塔楼  -  新联', '360万', '单价14063元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload33a52533-30ac-4776-9581-93ad406c6628.jpg.296x216.jpg', '丰泰悦榕东岸 业主自住保养好 证满两年，产权清晰', '丰泰悦榕东岸  | 5室2厅 | 230平米 | 南 | 其他', '低楼层(共25层)2013年建塔楼  -  新联', '500万', '单价21740元/平米')
('https://image1.ljcdn.com/441900-inspection/0e4a1f59-a82b-4797-a3fb-311b31c36a11.jpg.296x216.jpg', '南部湾万科城 精装修三方 东南朝向南北高楼层采光好', '南部湾万科城  | 3室2厅 | 97平米 | 东南 | 其他', '中楼层(共34层)2015年建塔楼  -  大宁', '240万', '单价24743元/平米')
('https://image1.ljcdn.com/441900-inspection/ce071b08-7005-4684-a5c1-97cb98c4a08f.jpg.296x216.jpg', '南部湾精装三房 采光靓丽 户型方正 拎包入住', '南部湾万科城  | 3室2厅 | 95平米 | 东南 | 其他', '低楼层(共26层)2015年建塔楼  -  大宁', '215万', '单价22632元/平米')
('https://image1.ljcdn.com/441900-inspection/f4789e74-74a3-4b3f-ad90-699fd6855a40.jpg.296x216.jpg', '东莞市虎门镇连升中路天虹商场的内铺出售', '地标广场  | 1室0厅 | 51.74平米 | 南 | 毛坯', '低楼层(共3层)2011年建板楼  -  地标', '170万', '单价32857元/平米')
('https://image1.ljcdn.com/441900-inspection/28f751aa-b63c-44f1-97b5-ee598c1628f5.jpg.296x216.jpg', '丰泰华园山庄 高楼层大2房 可该3房 满五唯一', '丰泰华园山庄  | 2室2厅 | 102平米 | 西北 | 简装', '高楼层(共12层)2003年建塔楼  -  新联', '180万', '单价17648元/平米')
('https://image1.ljcdn.com/441900-inspection/582fa3f9-b8d8-4ba1-821a-0afee8173b2d.JPG.296x216.jpg', '客天下 虎门万达商圈 吃喝玩乐样样俱全', '客天下琥门  | 3室2厅 | 107.18平米 | 南 | 毛坯', '中楼层(共27层)2014年建塔楼  -  万达', '246万', '单价22953元/平米')
('https://image1.ljcdn.com/441900-inspection/17036930-a7d3-4889-a44e-f3091156ee12.jpg.296x216.jpg', '南部湾万科城142平精装大四房 业主诚心出售', '南部湾万科城  | 4室2厅 | 142.54平米 | 东南 | 其他', '中楼层(共9层)2015年建塔楼  -  大宁', '330万', '单价23152元/平米')
('https://image1.ljcdn.com/441900-inspection/4e98dc66-8c65-45be-b75b-738bb1d1d60c.jpg.296x216.jpg', '金湾长提 面朝大海 春暖花开三房两厅 等着您的到来', '金湾花园  | 3室2厅 | 97.6平米 | 南 | 其他', '低楼层(共32层)2013年建塔楼  -  太平广场', '200万', '单价20492元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadb76b4a13-e24d-476b-8984-f0903c2d848a.jpg.296x216.jpg', '地下车位，就在出入口，面积足够大', '虎门国际公馆  | 车位 | 10平米 | 南', '2012年建板楼  -  新联', '23万', '单价23000元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload3e314226-16ba-4cbb-a382-0e7746171fd3.jpg.296x216.jpg', '全新装修新小区安静舒适就在中惠悦峰', '中惠悦峰  | 3室2厅 | 87平米 | 南 | 其他', '高楼层(共18层)2015年建塔楼  -  新联', '175万', '单价20115元/平米')
('https://image1.ljcdn.com/441900-inspection/cc7457f9-0f45-4ffa-ac2e-60faec0de2f1.jpg.296x216.jpg', '虎门国际公馆   单证房  户型方正', '虎门国际公馆  | 4室2厅 | 161.47平米 | 南 | 毛坯', '中楼层(共17层)2011年建塔楼  -  新联', '323万', '单价20004元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload65ee4bd5-ca60-4e69-8d6e-6025800bb27e.jpg.296x216.jpg', '国际公馆  双屏格局 户型方正 环境好', '虎门国际公馆  | 3室2厅 | 130平米 | 东北 | 其他', '中楼层(共10层)2011年建塔楼  -  新联', '250万', '单价19231元/平米')
('https://image1.ljcdn.com/441900-inspection/63a93963-c6bc-4556-b880-3040265d5a3a.jpg.296x216.jpg', '中高楼层采光好，小区绿化好，南北通透业主急售', '金地琥悦  | 3室2厅 | 99平米 | 南 北 | 毛坯', '中楼层(共13层)2014年建塔楼  -  万达', '210万', '单价21213元/平米')
('https://image1.ljcdn.com/441900-inspection/de8885aa-3614-487a-8664-482ae3808617.jpg.296x216.jpg', '丰泰华园山庄 独栋临湖别墅 朝南 带大花园 满五唯一', '丰泰华园山庄   | 独栋别墅 | 6室3厅 | 626平米 | 东南 | 其他', '1层2004年建暂无数据  -  新联', '2500万', '单价39937元/平米')
