('https://image1.ljcdn.com/441900-inspection/3e0ecad3-3618-4d08-9aeb-60bd7b67ea5f.jpg.296x216.jpg', '稀 缺南向小复式，带前后大花园，满五唯 一', '怡丰翠云轩  | 3室2厅 | 45.44平米 | 南 | 其他', '低楼层(共8层)塔楼  -  石井', '150万', '单价33011元/平米')
('https://image1.ljcdn.com/441900-inspection/97102f8a-7825-41c1-a22f-99ce53ea3f26.jpg.296x216.jpg', '这套房子是高楼层，带装修的，视野开阔', '星城翠珑湾三期  | 3室2厅 | 97.13平米 | 南 | 其他', '高楼层(共29层)2016年建塔楼  -  寮步', '243万', '单价25019元/平米')
('', '中高楼层，采光良好，教育配套齐全', '保利中惠悦城  | 3室2厅 | 106平米 | 南 北 | 其他', '中楼层(共23层)2015年建塔楼  -  寮步', '210万', '单价19812元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadbb8f6b36-6f9a-4507-874a-7ba25afa13ae.jpg.296x216.jpg', '满五不唯一，免增值税，两居室，适合刚需人群。', '怡丰翠云轩  | 2室2厅 | 80.5平米 | 北 | 其他', '中楼层(共8层)塔楼  -  石井', '145万', '单价18013元/平米')
('https://image1.ljcdn.com/441900-inspection/0702c9cc-9bd3-487d-9908-bd2b61f7298b.jpg.296x216.jpg', '翠珑湾三期，精装修标准3房，业主诚意出售看房方便', '星城翠珑湾三期  | 3室2厅 | 97.28平米 | 南 | 精装', '高楼层(共29层)2016年建塔楼  -  寮步', '270万', '单价27755元/平米')
('', '万科高尔夫花园，精装三房带租约出售', '万科城市高尔夫花园  | 3室2厅 | 114平米 | 南 | 其他', '高楼层(共18层)2008年建塔楼  -  寮步', '190万', '单价16667元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadb69c2270-83cd-42cb-914a-6d1bf815dde6.jpg.296x216.jpg', '万科松湖传奇 两房 房子朝南 精装', '万科松湖传奇  | 2室2厅 | 65.16平米 | 南 | 其他', '高楼层(共21层)2015年建塔楼  -  寮步', '120万', '单价18417元/平米')
('', '中惠精装修 厅出阳台 优美环境 安静舒适', '中惠松湖城二期  | 3室2厅 | 97.49平米 | 南 | 其他', '高楼层(共25层)2015年建塔楼  -  寮步', '187万', '单价19182元/平米')
('https://image1.ljcdn.com/441900-inspection/424f88e6-d322-4833-9f85-877944bee7b4.jpg.296x216.jpg', '翠云轩两房，新精装修，诚心出售。', '怡丰翠云轩  | 2室2厅 | 80平米 | 北 | 其他', '低楼层(共10层)塔楼  -  石井', '137万', '单价17125元/平米')
('https://image1.ljcdn.com/441900-inspection/cc40ca30-1a86-4fad-9e88-b8ab9078a0d9.jpg.296x216.jpg', '万科城市高尔夫 业主诚意出售 拎包入住', '万科城市高尔夫花园  | 3室2厅 | 125平米 | 南 | 其他', '高楼层(共24层)2008年建塔楼  -  寮步', '245万', '单价19600元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadcfd3c28a-ccd1-4e22-a284-6bb64bd5dc9e.jpg.296x216.jpg', '怡丰翠云轩 3室2厅 165万', '怡丰翠云轩  | 3室2厅 | 93平米 | 北 | 其他', '中楼层(共24层)2017年建塔楼  -  石井', '165万', '单价17742元/平米')
('https://image1.ljcdn.com/441900-inspection/165c93dd-ce03-44a3-be6b-82b9adfc42b2.jpg.296x216.jpg', '毛坯房，南北通透，采光充足，视线开阔', '鼎峰尚境一期  | 3室2厅 | 88.6平米 | 南 北 | 其他', '中楼层(共18层)塔楼  -  寮步', '165万', '单价18624元/平米')
('https://image1.ljcdn.com/441900-inspection/7201b605-1b0a-43bf-91d5-f0719a8c7cf0.jpg.296x216.jpg', '鼎峰尚镜二期南向带入户花园毛坯房', '鼎峰尚境二期  | 4室2厅 | 156.64平米 | 南 | 其他', '中楼层(共21层)塔楼  -  石井', '360万', '单价22983元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload476444fb-7d47-4b64-9507-4b5567a01151.jpg.296x216.jpg', '松山湖北站旁 四房面积102平 钥匙在手看房方便', '星城翠珑湾三期  | 4室2厅 | 101.47平米 | 南 | 精装', '中楼层(共18层)2016年建塔楼  -  寮步', '280万', '单价27595元/平米')
('https://image1.ljcdn.com/441900-inspection/90b78cff-6d80-4bf4-8f84-f85621c118b1.jpg.296x216.jpg', '满五唯一，免双税，保养较新，带租约出售，楼体高层', '银湖花园  | 2室2厅 | 61平米 | 南 | 其他', '高楼层(共7层)暂无数据  -  寮步', '51万', '单价8361元/平米')
('https://image1.ljcdn.com/441900-inspection/afb8da32-76c2-4cda-aef4-af31714b9d6e.jpg.296x216.jpg', '翠云轩实用两房，业主诚心出售。', '怡丰翠云轩  | 2室2厅 | 80平米 | 北 | 其他', '高楼层(共10层)塔楼  -  石井', '160万', '单价20000元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload535aff48-8927-4f49-aa7e-910cf1ea19df.jpg.296x216.jpg', '振业松湖雅苑 3室2厅 156万', '振业松湖雅苑  | 3室2厅 | 89.42平米 | 南 | 其他', '低楼层(共11层)2014年建塔楼  -  寮步', '156万', '单价17446元/平米')
('https://image1.ljcdn.com/441900-inspection/ea3c5138-1905-4855-b301-e079cff3e3bc.jpg.296x216.jpg', '中高楼层  光线好  视野开阔', '宏远康城假日  | 2室1厅 | 70.47平米 | 东南 | 其他', '中楼层(共30层)塔楼  -  寮步', '102万', '单价14475元/平米')
('https://image1.ljcdn.com/441900-inspection/7cf0eb72-5f67-461d-85d2-6e8462fc345f.jpg.296x216.jpg', '万科松湖传奇 南北通透 带精装修', '万科松湖传奇  | 3室2厅 | 96.36平米 | 南 北 | 其他', '高楼层(共25层)2015年建塔楼  -  寮步', '200万', '单价20756元/平米')
('https://image1.ljcdn.com/441900-inspection/7b700f95-1a69-4fa7-9ed5-4e761a2dab22.jpg.296x216.jpg', '万科高尔夫，三居室，精装带家电家私打包出售', '万科城市高尔夫花园  | 3室2厅 | 96.99平米 | 南 | 其他', '高楼层(共6层)暂无数据  -  寮步', '150万', '单价15466元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload5cc6e7b6-8495-433a-92f0-6291f9472216.jpg.296x216.jpg', '万科城市高尔夫花园大3房南北通透，中高楼层诚意出售', '万科城市高尔夫花园  | 3室2厅 | 134平米 | 南 北 | 精装', '中楼层(共11层)2006年建塔楼  -  寮步', '230万', '单价17165元/平米')
('https://image1.ljcdn.com/441900-inspection/31ccd298-bf25-4603-88c8-d62766ced754.jpg.296x216.jpg', '万科城市高尔夫花园 3室2厅 160万', '万科城市高尔夫花园  | 3室2厅 | 95.76平米 | 南 | 其他', '高楼层(共18层)2008年建塔楼  -  寮步', '160万', '单价16709元/平米')
('', '万科全新精装新房3房出售 小区品质高', '万科松湖传奇  | 3室2厅 | 97平米 | 南 | 其他', '中楼层(共29层)2015年建塔楼  -  寮步', '190万', '单价19588元/平米')
('https://image1.ljcdn.com/441900-inspection/c501a41d-5c14-4e13-9499-145d5f0a1673.jpg.296x216.jpg', '满五唯一免双税，电梯三房，南向户型采光好。', '时富花园  | 3室2厅 | 98.75平米 | 南 | 其他', '中楼层(共18层)塔楼  -  寮步', '178万', '单价18026元/平米')
('https://image1.ljcdn.com/441900-inspection/45ac0536-6abc-4da9-967f-4d99cfa37433.jpg.296x216.jpg', '中高楼层，采光充足 朝南户型，户型很方正，看房方便', '鼎峰尚境北园  | 4室2厅 | 125平米 | 西南 | 毛坯', '低楼层(共31层)暂无数据  -  石井', '320万', '单价25600元/平米')
('https://image1.ljcdn.com/441900-inspection/e586b33e-bf19-403d-995f-38db3392f91d.jpg.296x216.jpg', '中惠松湖城二期  现在业主在办房产证', '中惠松湖城二期  | 3室2厅 | 85平米 | 北 | 其他', '中楼层(共25层)2015年建塔楼  -  寮步', '153万', '单价18000元/平米')
('', '万科精装修小区环境优美可以看湖', '万科松湖传奇  | 2室2厅 | 65平米 | 南 | 其他', '高楼层(共34层)2015年建塔楼  -  寮步', '130万', '单价20000元/平米')
('', '业主诚心出售  楼层适中 适合刚需改善生活 业主自己住', '万科松湖传奇  | 2室2厅 | 65平米 | 南 | 其他', '低楼层(共34层)2015年建塔楼  -  寮步', '130万', '单价20000元/平米')
('https://image1.ljcdn.com/441900-inspection/416620ee-6dd6-47f3-acb3-6c18f4a83b77.jpg.296x216.jpg', '光大WE谷，华为旁，松山湖北站地铁口', '星城翠珑湾三期  | 3室2厅 | 117平米 | 南 北 | 毛坯', '高楼层(共32层)2016年建塔楼  -  寮步', '263万', '单价22479元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload460b6b6a-01a0-4678-9660-366627118d16.jpg.296x216.jpg', '此房位于寮步镇和松山湖交界处，距创意生活城', '振业松湖雅苑  | 3室2厅 | 98平米 | 南 | 其他', '中楼层(共7层)2014年建板楼  -  寮步', '155万', '单价15817元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploade0180962-a5ca-4eb3-8ff9-971169e1a8a0.jpg.296x216.jpg', '中间楼层，适合年轻人首套置业，采光好，使用率高。', '嘉湖山庄  | 2室2厅 | 57.03平米 | 北 | 其他', '中楼层(共7层)暂无数据  -  寮步', '70万', '单价12275元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload7bff20bc-dcfd-4d33-92cd-17fcebcc88a7.jpg.296x216.jpg', '翠云轩精装两房送阁楼 户型方正 采光好 诚心出售', '怡丰翠云轩  | 2室2厅 | 73平米 | 北 | 其他', '高楼层(共10层)塔楼  -  石井', '130万', '单价17809元/平米')
('https://image1.ljcdn.com/441900-inspection/fd37f143-396b-448c-b933-1aa71fa141f1.jpg.296x216.jpg', '金兴路 万科松湖传奇 中间位置', '万科松湖传奇  | 3室2厅 | 97平米 | 南 | 其他', '高楼层(共34层)2015年建塔楼  -  寮步', '215万', '单价22165元/平米')
('https://image1.ljcdn.com/441900-inspection/773db235-d17d-4c38-ba3c-a7de958c2d80.jpg.296x216.jpg', '万科精装三房 户型方正 业主诚信出售', '万科城市高尔夫花园  | 3室2厅 | 138平米 | 南 | 其他', '高楼层(共18层)2008年建塔楼  -  寮步', '230万', '单价16667元/平米')
('https://image1.ljcdn.com/441900-inspection/d9a266f5-b773-4970-b391-4fe5b4c30326.jpg.296x216.jpg', '刚需之选，方正3房，高层，采光通风都很不错！', '星城翠珑湾三期  | 3室2厅 | 84.39平米 | 南 | 其他', '中楼层(共30层)2016年建塔楼  -  寮步', '205万', '单价24292元/平米')
('https://image1.ljcdn.com/441900-inspection/f5e1e65c-e7ce-4000-86e6-dcef8cf176f6.jpg.296x216.jpg', '3房，可自定义装修，中高楼层，小区优美，安静不吵', '广源阳光里  | 3室1厅 | 93平米 | 南 | 其他', '高楼层(共22层)2016年建塔楼  -  寮步', '152万', '单价16345元/平米')
('https://image1.ljcdn.com/441900-inspection/bec6abec-8834-42e4-b2f7-294a75297eaa.jpg.296x216.jpg', '万科松湖传奇 2室2厅 130万', '万科松湖传奇  | 2室2厅 | 65平米 | 南 | 其他', '中楼层(共34层)2015年建塔楼  -  寮步', '130万', '单价20000元/平米')
('https://image1.ljcdn.com/441900-inspection/039cf611-9a8e-4348-a46d-535d36ba43bb.jpg.296x216.jpg', '中惠二期 联排别墅 坐北朝南 带大花园 看房方便', '中惠松湖城二期   | 联排别墅 | 4室2厅 | 164平米 | 南 | 其他', '3层2015年建暂无数据  -  寮步', '420万', '单价25610元/平米')
('https://image1.ljcdn.com/441900-inspection/400713d4-34b2-4a9e-b9b5-58dde92bc92d.jpg.296x216.jpg', '采光通风好，     宜一家人居住！', '宏远康城假日  | 2室2厅 | 73.22平米 | 南 | 其他', '中楼层(共31层)塔楼  -  寮步', '105万', '单价14341元/平米')
('https://image1.ljcdn.com/441900-inspection/1e3a120d-489e-478f-bee6-180f37f29dc3.jpg.296x216.jpg', '万科松湖传奇左岸  全新装修4房  朝南看湖景 看房方便', '万科松湖传奇二期左岸  | 4室2厅 | 108平米 | 东南 | 其他', '中楼层(共19层)2016年建塔楼  -  寮步', '205万', '单价18982元/平米')
('https://image1.ljcdn.com/441900-inspection/ac5badc4-14f8-4e03-a250-d21a2f0ea98d.jpg.296x216.jpg', '万科松湖传奇 3室2厅 190万', '万科松湖传奇  | 3室2厅 | 97平米 | 南 | 其他', '中楼层(共29层)2015年建塔楼  -  寮步', '190万', '单价19588元/平米')
('https://image1.ljcdn.com/441900-inspection/fc24e075-8ea2-45d9-ae19-af07a630acff.jpg.296x216.jpg', '户型南北通 全屋品牌家私家电，高楼层复式、采光好、', '中惠卡丽兰  | 4室2厅 | 91.61平米 | 南 北 | 其他', '中楼层(共14层)塔楼  -  寮步', '260万', '单价28382元/平米')
('https://image1.ljcdn.com/441900-inspection/1562c835-106d-48b6-8079-20a685966e31.jpg.296x216.jpg', '满五不唯一，带一个花园，四房两卫，适合一家人居住！', '怡丰翠云轩  | 4室2厅 | 87平米 | 北 | 其他', '低楼层(共8层)塔楼  -  石井', '248万', '单价28506元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload297947f5-87fb-4080-8418-86da277d7c88.jpg.296x216.jpg', '中惠大三方，格局方正，光线、通风好，适合居住', '中惠松湖城二期  | 3室2厅 | 102平米 | 南 | 其他', '中楼层(共25层)2014年建塔楼  -  寮步', '188万', '单价18432元/平米')
('https://image1.ljcdn.com/441900-inspection/f0de06d4-6381-48c6-a62c-aaf3e53f3232.jpg.296x216.jpg', '业主自住保养好，看房方便，诚意出售', '时富花园  | 4室2厅 | 136.14平米 | 南 | 其他', '低楼层(共11层)塔楼  -  寮步', '245万', '单价17997元/平米')
('', '鼎峰尚境舒适三房，业主诚心出售', '鼎峰尚境一期  | 3室2厅 | 87.4平米 | 北 | 其他', '中楼层(共18层)塔楼  -  寮步', '215万', '单价24600元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploada466c720-d868-4d16-a389-89e8b8a13723.jpg.296x216.jpg', '中惠松湖二期大三房，户型好，宜居', '中惠松湖城二期  | 3室2厅 | 81平米 | 南 | 其他', '中楼层(共25层)2015年建塔楼  -  寮步', '160万', '单价19754元/平米')
('', '价格超级美丽       万科精装两房', '万科松湖传奇  | 2室1厅 | 65平米 | 南 | 其他', '中楼层(共29层)2015年建塔楼  -  寮步', '122万', '单价18770元/平米')
('https://image1.ljcdn.com/441900-inspection/341c127e-89c2-401b-9fb9-b269833f3367.jpg.296x216.jpg', '星城国际花园3+1毛坯房，诚意出售', '星城国际花园  | 4室1厅 | 95.86平米 | 南 | 其他', '低楼层(共27层)2015年建塔楼  -  寮步', '235万', '单价24515元/平米')
('https://image1.ljcdn.com/441900-inspection/f76f779a-65cf-4dc7-b54d-f1693aa394a5.jpg.296x216.jpg', '振业松湖雅苑 业主诚心出售 ，', '振业松湖雅苑  | 3室2厅 | 97.84平米 | 南 | 毛坯', '高楼层(共24层)2014年建塔楼  -  寮步', '190万', '单价19420元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadd2581eb0-b96b-40d7-83bd-95ae7d939bcf.jpg.296x216.jpg', '精装三房，户型方正，采光好，楼层适中', '星城翠珑湾三期  | 3室2厅 | 96.54平米 | 南 | 其他', '中楼层(共18层)2016年建塔楼  -  寮步', '245万', '单价25379元/平米')
('', '适宜一家四口，老少同堂。其乐融融。居住环境舒适', '振业松湖雅苑  | 4室2厅 | 132平米 | 南 | 其他', '中楼层(共24层)2014年建塔楼  -  寮步', '210万', '单价15910元/平米')
('https://image1.ljcdn.com/441900-inspection/18d081c2-be51-4023-b7ae-ae6f5a6b376e.jpg.296x216.jpg', '丰泰黄旗观邸 4室2厅 280万', '丰泰黄旗观邸  | 4室2厅 | 140平米 | 南 | 其他', '中楼层(共24层)塔楼  -  寮步', '280万', '单价20000元/平米')
('https://image1.ljcdn.com/441900-inspection/8820be33-056a-4dd1-b0b8-23261877b7af.jpg.296x216.jpg', '怡丰翠云轩 复式带装修 自住保养好', '怡丰翠云轩  | 4室2厅 | 87平米 | 北 | 其他', '高楼层(共8层)塔楼  -  石井', '240万', '单价27587元/平米')
('https://image1.ljcdn.com/441900-inspection/f8a8a1e0-bd15-4f8a-98bd-f4d4abb3d6cb.jpg.296x216.jpg', '精 装修两房，采光充足，高楼层', '丰泰黄旗观邸  | 1室1厅 | 79.16平米 | 南 东北 | 其他', '中楼层(共14层)2015年建塔楼  -  寮步', '118万', '单价14907元/平米')
('', '翠珑湾三期  业主诚心出售 提前预约看房', '星城翠珑湾三期  | 4室2厅 | 139.36平米 | 北 | 其他', '低楼层(共32层)2016年建塔楼  -  寮步', '330万', '单价23680元/平米')
('https://image1.ljcdn.com/441900-inspection/4f0abcd6-961d-4933-a9db-42e1b38dbcd5.jpg.296x216.jpg', '寮步新区，交通方便，配套齐全，业主自住', '鼎峰花漫里  | 2室2厅 | 88.91平米 | 东南 | 其他', '高楼层(共15层)2014年建塔楼  -  寮步', '165万', '单价18559元/平米')
('https://image1.ljcdn.com/441900-inspection/e278c0e1-caa3-4a7f-9950-619e39595211.jpg.296x216.jpg', '中惠松湖城精装全新三房 中高楼层 视野开阔', '中惠松湖城二期  | 3室2厅 | 102.66平米 | 南 | 其他', '中楼层(共25层)2015年建塔楼  -  寮步', '200万', '单价19482元/平米')
('https://image1.ljcdn.com/441900-inspection/e9ce5e2c-f4db-4717-8e3f-86db671cc691.jpg.296x216.jpg', '中惠松湖城二期 3室2厅 200万', '中惠松湖城二期  | 3室2厅 | 110平米 | 南 | 其他', '低楼层(共25层)2015年建塔楼  -  寮步', '200万', '单价18182元/平米')
('https://image1.ljcdn.com/441900-inspection/53711615-b094-4e4f-94cb-6653bf196dec.jpg.296x216.jpg', '毛坯房给您更多的自由装修空间.', '广源阳光里  | 2室2厅 | 77平米 | 南 | 其他', '低楼层(共22层)2016年建塔楼  -  寮步', '120万', '单价15585元/平米')
('https://image1.ljcdn.com/441900-inspection/192fd650-6fc3-4b33-b719-e11efcf53637.jpg.296x216.jpg', '舒适的家，南北对流，双阳台，大三房', '振业松湖雅苑  | 3室2厅 | 151平米 | 南 | 毛坯', '低楼层(共24层)2014年建塔楼  -  寮步', '322万', '单价21325元/平米')
('', '星城翠珑湾三期 3室2厅 250万', '星城翠珑湾三期  | 3室2厅 | 84.42平米 | 北 | 其他', '低楼层(共30层)2016年建塔楼  -  寮步', '250万', '单价29614元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload8245b4d5-db4b-4cb2-bd73-8e29623d5c28.jpg.296x216.jpg', '中惠松湖城二期 可以看到金山湖', '中惠松湖城二期  | 3室2厅 | 93.75平米 | 南 | 其他', '高楼层(共25层)2015年建塔楼  -  寮步', '182万', '单价19414元/平米')
('https://image1.ljcdn.com/441900-inspection/b288f766-c340-4735-a3f2-4f7936fac74c.jpg.296x216.jpg', '翠珑湾 高楼层 看花园 通风采光景观好', '星城翠珑湾三期  | 3室2厅 | 117.6平米 | 北 | 其他', '高楼层(共32层)2016年建塔楼  -  寮步', '288万', '单价24490元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload102279c5-a6be-4536-bddb-e9c9ee1c3c07.jpg.296x216.jpg', '复式四房，户型方方正，南北通透。', '怡丰翠云轩  | 5室2厅 | 94平米 | 北 | 其他', '低楼层(共8层)塔楼  -  石井', '250万', '单价26596元/平米')
('https://image1.ljcdn.com/441900-inspection/81122a2e-48e9-4c64-929e-3a493050c028.jpg.296x216.jpg', '项目紧靠松山湖CBD创意生活城与万科生活广场，', '星城翠珑湾三期  | 3室2厅 | 99.13平米 | 南 | 其他', '高楼层(共29层)2016年建塔楼  -  寮步', '248万', '单价25018元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadbcef6c2e-de38-433e-bd04-15aeb4e7bc01.jpg.296x216.jpg', '万科松湖传奇 带精装修 金兴路', '万科松湖传奇  | 3室2厅 | 96.14平米 | 南 北 | 其他', '低楼层(共34层)2015年建塔楼  -  寮步', '198万', '单价20595元/平米')
('https://image1.ljcdn.com/441900-inspection/51f09317-5415-452a-b62a-b9ceabcb0231.jpg.296x216.jpg', '松山湖轻轨口物业，满二，精装三房距华为尽一路之隔', '星城翠珑湾三期  | 3室2厅 | 117.56平米 | 北 | 精装', '低楼层(共32层)2016年建塔楼  -  寮步', '332万', '单价28241元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload329311b9-dbc4-49c0-94f2-9ccb187157e6.jpg.296x216.jpg', '翠云轩二期  毛坯大四房 赠送面积20平', '怡丰翠云轩  | 4室2厅 | 106.32平米 | 南 | 其他', '高楼层(共24层)2017年建塔楼  -  石井', '230万', '单价21633元/平米')
('https://image1.ljcdn.com/441900-inspection/f189438a-7152-4331-a99a-ab753fafd4a6.jpg.296x216.jpg', '户型方正中层采光视野好  南向客厅出阳台', '万科城市高尔夫花园  | 3室2厅 | 130.24平米 | 南 | 其他', '低楼层(共24层)2008年建塔楼  -  寮步', '260万', '单价19964元/平米')
('https://image1.ljcdn.com/441900-inspection/6ade491e-3eca-4060-82a4-11fa434d2f86.jpg.296x216.jpg', '这套房子是高楼层，带装修的，视野开阔', '星城翠珑湾三期  | 3室2厅 | 96.82平米 | 南 | 其他', '高楼层(共29层)2016年建塔楼  -  寮步', '242万', '单价24995元/平米')
('https://image1.ljcdn.com/441900-inspection/1c707869-0d66-4938-92e8-c96dcdb0c8e3.jpg.296x216.jpg', '此房为三室两厅一厨两卫，安静舒适。。。', '万科松湖传奇  | 3室2厅 | 96.14平米 | 南 北 | 其他', '高楼层(共34层)2015年建塔楼  -  寮步', '195万', '单价20283元/平米')
('https://image1.ljcdn.com/441900-inspection/7ecbd38e-7104-48a1-aac0-a86eadb00737.jpg.296x216.jpg', '中惠松湖城二期 3室2厅 160万', '中惠松湖城二期  | 3室2厅 | 81平米 | 南 | 其他', '高楼层(共25层)2015年建塔楼  -  寮步', '160万', '单价19754元/平米')
('https://image1.ljcdn.com/441900-inspection/112e8a28-e4f4-40c0-89f6-00a537f018db.jpg.296x216.jpg', '中间楼层，楼间距大，通风采光良好！', '星城翠珑湾三期  | 4室2厅 | 140平米 | 南 | 毛坯', '中楼层(共30层)2016年建塔楼  -  寮步', '306万', '单价21858元/平米')
('', '这套房子是高楼层，带装修的，视野开阔', '星城翠珑湾三期  | 3室2厅 | 97.28平米 | 南 | 其他', '高楼层(共29层)2016年建塔楼  -  寮步', '243万', '单价24980元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload66d4289d-f2d9-4af3-9d7c-a16bff460dc7.jpg.296x216.jpg', '小高层3房，使用率高，适合3口之家，首套置业总价低。', '嘉湖山庄  | 3室2厅 | 89.6平米 | 南 | 毛坯', '高楼层(共7层)暂无数据  -  寮步', '108万', '单价12054元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload758a0571-2a62-476c-b03d-0afd74faca2d.jpg.296x216.jpg', '星城翠珑湾三期 3室2厅 320万', '星城翠珑湾三期  | 3室2厅 | 117平米 | 东南 | 精装', '中楼层(共32层)2016年建塔楼  -  寮步', '320万', '单价27351元/平米')
('https://image1.ljcdn.com/441900-inspection/dda37308-e47f-4dbf-8394-f9feb51e367d.jpg.296x216.jpg', '万科统一精装修，采光佳位置好，中高楼层，', '万科松湖传奇二期左岸  | 3室1厅 | 73.1平米 | 南 | 其他', '中楼层(共19层)2016年建塔楼  -  寮步', '125万', '单价17100元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadbe67e208-4b22-4ec0-863b-f2dc327156c7.jpg.296x216.jpg', '房子满五唯一税费低是复式  户型方正', '怡丰翠云轩  | 5室2厅 | 93.53平米 | 北 | 其他', '中楼层(共8层)塔楼  -  石井', '250万', '单价26730元/平米')
('https://image1.ljcdn.com/441900-inspection/bca5040f-4b4e-4d4b-b1c8-77a3f3aa2edd.jpg.296x216.jpg', '这套房子是高楼层，带装修的，视野开阔', '星城翠珑湾三期  | 3室2厅 | 115.86平米 | 北 | 其他', '高楼层(共29层)2016年建塔楼  -  寮步', '290万', '单价25031元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadca63ae24-e6fa-448b-9d9b-d391be766d7a.jpg.296x216.jpg', '万科小两房，设计规划合理，适合居住', '万科松湖传奇  | 2室1厅 | 65平米 | 南 | 其他', '低楼层(共21层)2015年建塔楼  -  寮步', '110万', '单价16924元/平米')
('https://image1.ljcdn.com/441900-inspection/fa3784d2-6f9c-4ba2-866e-5591172d4117.jpg.296x216.jpg', '万科松湖传奇 3室2厅 160万', '万科松湖传奇  | 3室2厅 | 78平米 | 北 | 其他', '低楼层(共21层)2015年建塔楼  -  寮步', '160万', '单价20513元/平米')
('https://image1.ljcdn.com/441900-inspection/27734532-9e7d-4432-8014-98ad8114cc70.jpg.296x216.jpg', '万润广场三房两厅一厨两卫 毛坯出售 中高楼层', '万润广场  | 3室2厅 | 135.16平米 | 东南 | 其他', '中楼层(共22层)2015年建塔楼  -  寮步', '220万', '单价16278元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload325decd1-d212-4b2a-ada5-38cb38a6dee4.jpg.296x216.jpg', '鼎峰尚境 全新装修 保养新装修漂亮 业主诚心出售', '鼎峰尚境二期  | 4室2厅 | 157平米 | 南 北 | 其他', '低楼层(共31层)塔楼  -  石井', '400万', '单价25478元/平米')
('', '翠珑湾三期 精装三房 提前预约看房', '星城翠珑湾三期  | 3室2厅 | 117.32平米 | 南 北 | 其他', '中楼层(共32层)2016年建塔楼  -  寮步', '305万', '单价25998元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload693f4b72-94ba-42c7-ba47-9abc0854f4a4.jpg.296x216.jpg', '松山湖北部科技园全新三房出售，单价一万八！', '振业松湖雅苑  | 3室2厅 | 136.7平米 | 东南 | 其他', '高楼层(共24层)2014年建塔楼  -  寮步', '215万', '单价15728元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload5683fd91-e5ad-417b-835c-fcfb784cff62.jpg.296x216.jpg', '万科大三房，设计合理，适宜居住', '万科松湖传奇  | 3室2厅 | 97平米 | 南 | 其他', '中楼层(共29层)2015年建塔楼  -  寮步', '200万', '单价20619元/平米')
('https://image1.ljcdn.com/441900-inspection/dfe612cc-8e05-4e92-9d41-f61cd62c59ee.jpg.296x216.jpg', '保利中惠悦城，简装两房，交通便利，环境优美', '保利中惠悦城  | 2室1厅 | 64平米 | 南 | 其他', '中楼层(共18层)2016年建塔楼  -  寮步', '125万', '单价19532元/平米')
('https://image1.ljcdn.com/441900-inspection/3950af23-e7fb-4414-bdcc-92a116ad5a04.jpg.296x216.jpg', '翠云轩欧式装修附家私家电  满五唯一免双税', '怡丰翠云轩  | 4室2厅 | 94.53平米 | 东南 | 精装', '低楼层(共8层)塔楼  -  石井', '280万', '单价29621元/平米')
('https://image1.ljcdn.com/441900-inspection/512d8200-eaaa-4bd7-b6f6-aff4bc3e4fc5.jpg.296x216.jpg', '翠珑湾三期 精装三房 家私家电配齐出售', '星城翠珑湾三期  | 3室2厅 | 97平米 | 南 | 其他', '高楼层(共29层)2016年建塔楼  -  寮步', '265万', '单价27320元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploada204e7c3-0555-4895-b7ea-3d9f273351db.jpg.296x216.jpg', '翠珑湾三期精装带家具大三房超笋盘', '星城翠珑湾三期  | 3室2厅 | 117.32平米 | 北 | 其他', '低楼层(共32层)2016年建塔楼  -  寮步', '292万', '单价24890元/平米')
('https://image1.ljcdn.com/441900-inspection/a22755f6-01bc-4de0-819f-c5aa4989be7b.jpg.296x216.jpg', '万科物业信心保障 1楼情景美墅改造空间大 人车分流', '万科城市高尔夫花园  | 4室2厅 | 143平米 | 南 | 其他', '低楼层(共4层)暂无数据  -  寮步', '320万', '单价22378元/平米')
