('https://image1.ljcdn.com/370600-inspection/288344a8-efb0-40b8-86ce-0746113bf520.jpg.296x216.jpg', '南北通透，打头房，南厅双南卧，封闭式，带45平花园', '御景观城  | 4室2厅 | 218.91平米 | 南 北 | 毛坯', '低楼层(共22层)2015年建板楼  -  后七夼', '400万', '单价18273元/平米')
('https://image1.ljcdn.com/370600-inspection/3d736042-b370-483b-9400-ebe154ea5fd3.jpg.296x216.jpg', '南北通透 拎包入住 楼层合适 湖景房 满五 带小棚', '康复路小区  | 3室2厅 | 95.32平米 | 南 北 | 简装', '中楼层(共6层)2000年建板楼  -  后七夼', '153万', '单价16052元/平米')
('https://image1.ljcdn.com/370600-inspection/e91d4c9e-43fd-473d-9ce3-2a42aa7a0135.jpg.296x216.jpg', '观海路迟家新星南街户型好通透两居室', '新星南街  | 2室1厅 | 62.66平米 | 南 北 | 其他', '高楼层(共7层)1995年建板楼  -  迟家', '125万', '单价19949元/平米')
('https://image1.ljcdn.com/370600-inspection/bb21e710-7e0b-4046-95f8-c6705fe269f5.jpg.296x216.jpg', '厅卧分离一居室，可改两居，户型方正，精装修,', '南山世纪华庭  | 1室1厅 | 78.46平米 | 西 | 其他', '低楼层(共39层)2009年建塔楼  -  大学城', '90万', '单价11471元/平米')
('https://image1.ljcdn.com/370600-inspection/91566020-23f4-4665-866f-666a0f79b542.jpg.296x216.jpg', '封闭小区+视野开阔+交通便利+建造年代新', '国翠  | 2室1厅 | 73.6平米 | 东 西 北 | 其他', '低楼层(共26层)2013年建塔楼  -  后七夼', '190万', '单价25816元/平米')
('https://image1.ljcdn.com/370600-inspection/144c317d-e444-41a1-a79e-03b839b6f924.jpg.296x216.jpg', '科技大道 精装小三居 高楼层视野采光好', '福地隆城  | 3室1厅 | 94.55平米 | 南 | 精装', '高楼层(共32层)2013年建板楼  -  科技大道', '128万', '单价13538元/平米')
('https://image1.ljcdn.com/370600-inspection/db32ac63-056b-48fb-8078-9bc419597aeb.jpg.296x216.jpg', '康复路芝罘区莱山区交界处框架房南北通透大三居打头房', '康复路小区  | 3室2厅 | 101平米 | 南 西 北 | 其他', '高楼层(共6层)2000年建板楼  -  后七夼', '158万', '单价15644元/平米')
('https://image1.ljcdn.com/370600-inspection/d6df8205-d9a5-4d1b-a0e1-f3f6418445a5.jpg.296x216.jpg', '中间位置 视野好 三居室 南北通透 有车位', '南山世纪华府  | 3室2厅 | 171平米 | 南 北 | 其他', '高楼层(共30层)2007年建塔楼  -  大学城', '273万', '单价15965元/平米')
('https://image1.ljcdn.com/370600-inspection/e8ef4dd5-086f-4e65-8d69-cfcf39adce91.JPG.296x216.jpg', '小高层，南北通透，西打头，带车位小棚', '清泉文苑  | 2室2厅 | 113平米 | 南 北 | 其他', '高楼层(共11层)2009年建板楼  -  大学城', '185万', '单价16372元/平米')
('', '南向客厅双南卧室，厨房带窗，楼层好采光好，适合居住', '德尚世家上品  | 2室2厅 | 78平米 | 南 | 精装', '高楼层(共26层)2016年建板楼  -  三滩社区', '120万', '单价15385元/平米')
('https://image1.ljcdn.com/370600-inspection/4cf500ec-a662-4a86-8d1c-97e7c437ea8a.JPG.296x216.jpg', '万泰麓溪公馆，精装修，送车位，中间楼层打头房', '万泰麓溪公馆  | 4室2厅 | 169平米 | 南 北 | 其他', '中楼层(共17层)2014年建板楼  -  迟家', '385万', '单价22782元/平米')
('https://image1.ljcdn.com/370600-inspection/f521d139-57fe-41a3-a0fe-710bb36ea403.JPG.296x216.jpg', '闻涛山庄双南卧精装修全明户型东打头4楼小房', '闻涛山庄  | 2室1厅 | 160平米 | 南 北 | 精装', '中楼层(共6层)2000年建板楼  -  前七夼', '350万', '单价21875元/平米')
('https://image1.ljcdn.com/370600-inspection/7b63cd94-fe8d-42a4-b060-d50634dd4b57.JPG.296x216.jpg', '万象城，小三居，单价15000多', '万象城  | 3室2厅 | 103平米 | 南 西 北 | 精装', '中楼层(共21层)2010年建塔楼  -  大学城', '160万', '单价15534元/平米')
('https://image1.ljcdn.com/370600-inspection/1561a5a3-daba-4692-90db-bdd8e224df35.jpg.296x216.jpg', '两居室南厅双南卧，全明户型，公摊12.5%，电梯小高层', '黄海城市花园  | 2室2厅 | 82.49平米 | 南 | 其他', '中楼层(共11层)2003年建板楼  -  黄海', '160万', '单价19397元/平米')
('https://image1.ljcdn.com/370600-inspection/6ad66b55-c821-4916-ab14-c2bd78f3dc28.jpg.296x216.jpg', '清泉寨城中区 3室2厅 200万', '清泉寨城中区  | 3室2厅 | 131.75平米 | 南 北 | 其他', '中楼层(共7层)2002年建板楼  -  大学城', '200万', '单价15181元/平米')
('https://image1.ljcdn.com/370600-inspection/5220e540-447a-424f-b268-4931178f2513.jpg.296x216.jpg', '海滨小区精装顶加阁实用面积大海景房送家具家电西打头', '海滨花园小区柳林路  | 3室2厅 | 125平米 | 南 北 | 简装', '高楼层(共6层)2000年建板楼  -  后七夼', '210万', '单价16800元/平米')
('https://image1.ljcdn.com/370600-inspection/33ea701e-6bb0-4e74-b9bf-d47a8a90d231.jpg.296x216.jpg', '凤凰山庄南北通透精装2居室拎包入住', '碧桂园凤凰山庄  | 2室1厅 | 81.04平米 | 南 | 其他', '中楼层(共33层)塔楼  -  山海南路', '120万', '单价14808元/平米')
('https://image1.ljcdn.com/370600-inspection/087afb09-c5ed-41bd-b337-262907baf64b.jpg.296x216.jpg', '飞龙新城南向两居室，户型方正，精装修', '飞龙河东新城  | 2室2厅 | 84平米 | 南 | 精装', '中楼层(共20层)塔楼  -  迎春大街', '120万', '单价14286元/平米')
('https://image1.ljcdn.com/370600-inspection/31ec6a9f-ae77-444a-a7b9-b4201c5b80de.jpg.296x216.jpg', '小高层中间位置 满五唯一  精装修送家具家电', '德尚世家  | 2室1厅 | 89.96平米 | 南 | 其他', '低楼层(共13层)2008年建板楼  -  三滩社区', '140万', '单价15563元/平米')
('https://image1.ljcdn.com/370600-inspection/386789dd-e491-44be-ae70-b9e7c6026410.JPG.296x216.jpg', '前 七 夼 好 楼 层小平方南北通透', '天成西巷  | 2室2厅 | 60.09平米 | 南 北 | 其他', '中楼层(共6层)1997年建板楼  -  前七夼', '115万', '单价19138元/平米')
('https://image1.ljcdn.com/370600-inspection/a020a082-c671-4b7f-983b-4c7326aa0c76.jpg.296x216.jpg', '纯毛坯房，满五年唯一，赠送车位', '南山世纪华庭  | 3室1厅 | 143.2平米 | 西南 | 其他', '中楼层(共39层)2009年建塔楼  -  大学城', '173万', '单价12082元/平米')
('https://image1.ljcdn.com/370600-inspection/34b8c010-ebb0-42c3-8c90-1e997a9a13aa.JPG.296x216.jpg', '多层半封闭小区，去年刚做的外墙保温', '岱山小区西区  | 3室2厅 | 110平米 | 南 北 | 其他', '高楼层(共6层)2003年建板楼  -  石沟屯', '240万', '单价21819元/平米')
('https://image1.ljcdn.com/370600-inspection/3fde6075-8b36-41e5-96f0-2662276d0885.JPG.296x216.jpg', '一线海景房 精装修 采光好 拎包入住 封闭式小区', '海天名人广场  | 4室2厅 | 211平米 | 西南 | 其他', '中楼层(共25层)2005年建塔楼  -  前七夼', '420万', '单价19906元/平米')
('https://image1.ljcdn.com/370600-inspection/340f8793-e07d-4df5-8629-f7c2d8ae1432.JPG.296x216.jpg', '鹿鸣小区，环境优美安静，人文素质高，居住体验好', '鹿鸣小区  | 4室2厅 | 179.95平米 | 南 北 | 其他', '低楼层(共10层)2003年建板楼  -  石沟屯', '500万', '单价27786元/平米')
('https://image1.ljcdn.com/370600-inspection/070baad8-0ee5-4eae-85df-b2e6cb738913.jpg.296x216.jpg', '四季花城三期洋房 顶层复式 满两年 南北通透精装修', '四季花城  | 4室2厅 | 129.89平米 | 南 北 | 精装', '高楼层(共5层)2011年建板楼  -  迎春大街', '360万', '单价27716元/平米')
('https://image1.ljcdn.com/370600-inspection/d01d1144-672d-463e-a93b-01b3cf6de018.jpg.296x216.jpg', '初家小区 2室1厅 106万', '初家小区  | 2室1厅 | 68.79平米 | 南 | 其他', '高楼层(共7层)2002年建板楼  -  迎春大街', '106万', '单价15410元/平米')
('https://image1.ljcdn.com/370600-inspection/0fca6313-2518-46f2-b68b-aac4e3bd8ca0.JPG.296x216.jpg', '南北通透  中等装修 原始格局三居室改两居', '新星西巷  | 3室2厅 | 82.1平米 | 南 北 | 其他', '中楼层(共5层)1995年建板楼  -  迟家', '160万', '单价19489元/平米')
('https://image1.ljcdn.com/370600-inspection/4d483562-c910-45d2-9871-dc2af9842ef1.jpg.296x216.jpg', '四季花城精装三居室 两个卫生间 南北通透 一楼带院', '四季花城  | 3室2厅 | 118.24平米 | 南 北 | 精装', '低楼层(共11层)2008年建板楼  -  迎春大街', '265万', '单价22413元/平米')
('https://image1.ljcdn.com/370600-inspection/dbf5af73-cb9f-415d-95aa-6f16ab982e6a.jpg.296x216.jpg', '精装电梯 正规四居室  一梯两户超低公摊 看房预约随时', '四季花城  | 4室2厅 | 137.91平米 | 南 北 | 其他', '低楼层(共11层)2008年建板楼  -  迎春大街', '256万', '单价18563元/平米')
('https://image1.ljcdn.com/370600-inspection/28025563-12d7-44a9-8168-0182b6fe0288.jpg.296x216.jpg', '绿色家园一居室 采光好  看房反方便，业主配合', '绿色家园  | 1室1厅 | 33.95平米 | 北 | 其他', '高楼层(共10层)2006年建板塔结合  -  迎春大街', '44万', '单价12961元/平米')
('https://image1.ljcdn.com/370600-inspection/992466b3-47da-4e7b-8b8c-0d0113816e11.jpg.296x216.jpg', '东打头 精装修地暖 天燃气入户 格局方正 楼层高', '绿色家园  | 2室2厅 | 82.73平米 | 东南 | 其他', '高楼层(共27层)2010年建塔楼  -  迎春大街', '124.8万', '单价15086元/平米')
('https://image1.ljcdn.com/370600-inspection/f798c942-649b-4209-9273-67eabfc04889.jpg.296x216.jpg', '精装多层洋房，一梯两户南北通透，带南北小院', '御景观城  | 3室2厅 | 164.98平米 | 南 北 | 其他', '低楼层(共4层)2013年建板楼  -  后七夼', '438万', '单价26549元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/e256b26e-588b-4720-802d-85e1ebf2083d.png.280x210.jpg', '精装修三居室，改成大两居室，居住舒服.', '万象城  | 3室2厅 | 107.56平米 | 西北 | 其他', '低楼层(共21层)2012年建塔楼  -  大学城', '168万', '单价15620元/平米')
('https://image1.ljcdn.com/370600-inspection/c441a234-623c-4ec5-83a7-8df28797189e.jpg.296x216.jpg', '满五唯一精装婚房往来芝罘区莱山区方便交通便利', '天籁花园  | 2室1厅 | 83.58平米 | 南 | 其他', '中楼层(共12层)2008年建板楼  -  山海南路', '120万', '单价14358元/平米')
('https://image1.ljcdn.com/370600-inspection/9d9f4f3f-be24-453d-aa3a-8ab65b3b191d.jpg.296x216.jpg', '大华上海滩花园南向两居室，中间楼层采光好', '大华上海滩花园  | 2室2厅 | 72.6平米 | 南 | 其他', '中楼层(共18层)2012年建板楼  -  三滩社区', '102万', '单价14050元/平米')
('https://image1.ljcdn.com/370600-inspection/0c5ba451-46ea-4190-b987-68d04b0d96ba.JPG.296x216.jpg', '多层散盘老社区中的精装房，楼层好，南北无遮挡', '新星南街  | 4室2厅 | 137平米 | 南 北 | 其他', '低楼层(共6层)1995年建板楼  -  迟家', '300万', '单价21898元/平米')
('https://image1.ljcdn.com/370600-inspection/2839ad70-daaa-48c7-9093-0558c4a9df5c.jpg.296x216.jpg', '暖山国际Loft公寓精装修拎包入住好楼层', '暖山国际  | 2室1厅 | 106.27平米 | 东南 | 精装', '中楼层(共25层)2012年建塔楼  -  南塂', '100万', '单价9410元/平米')
('https://image1.ljcdn.com/370600-inspection/9cae18cf-f0a7-4fca-8fca-8b097b2a8447.jpg.296x216.jpg', '精装修南北通透+总价低+小区中间位置+迎春大街', '祥隆天合城  | 3室2厅 | 105.13平米 | 南 北 | 其他', '高楼层(共18层)2007年建塔楼  -  迎春大街', '158万', '单价15030元/平米')
('https://image1.ljcdn.com/370600-inspection/77bbb2cb-6348-4fae-90f5-c07e9a4c995f.JPG.296x216.jpg', '万象城精装两居室南向的采光好...', '万象城  | 2室1厅 | 87.03平米 | 南 | 其他', '中楼层(共18层)2012年建塔楼  -  大学城', '172.6万', '单价19833元/平米')
('https://image1.ljcdn.com/370600-inspection/83d870b6-3e9e-4020-b6d2-8725c253ef25.jpg.296x216.jpg', '凤凰小区南北通透三居室，采光好', '凤凰小区  | 3室1厅 | 83平米 | 南 北 | 简装', '中楼层(共7层)1998年建板楼  -  迎春大街', '116万', '单价13976元/平米')
('https://image1.ljcdn.com/370600-inspection/81bf6444-dfec-4fd1-807f-41bf2188d0bf.jpg.296x216.jpg', '大华上海滩精品一居室西向高层视野好', '大华上海滩花园  | 1室1厅 | 47.15平米 | 西 | 其他', '高楼层(共30层)2016年建塔楼  -  三滩社区', '70万', '单价14847元/平米')
('https://image1.ljcdn.com/370600-inspection/6feee009-9e78-45b2-b9b6-45de07c06170.JPG.296x216.jpg', '清泉文苑南北通透两居室，房主精心装修，诚意出售', '清泉文苑  | 2室2厅 | 112平米 | 南 北 | 其他', '低楼层(共12层)2009年建板楼  -  大学城', '170万', '单价15179元/平米')
('https://image1.ljcdn.com/370600-inspection/5705dd65-e42e-4317-b883-faddca13d53c.jpg.296x216.jpg', '凤凰新区 3室2厅 215万', '凤凰新区  | 3室2厅 | 142.22平米 | 南 北 | 其他', '中楼层(共9层)2007年建板楼  -  迎春大街', '215万', '单价15118元/平米')
('https://image1.ljcdn.com/370600-inspection/3be50afe-9f78-4411-80ef-48a90f4ce7bf.JPG.296x216.jpg', '海天名人广场 既能看海也能看小区园林 南向采光好', '海天名人广场  | 3室2厅 | 169平米 | 南 西 | 其他', '低楼层(共25层)2005年建塔楼  -  前七夼', '300万', '单价17752元/平米')
('', '多层房 南北通透，楼层好，采光充足，紧挨实验', '初家小区  | 3室1厅 | 82.62平米 | 南 北 | 其他', '低楼层(共6层)1999年建板楼  -  迎春大街', '108万', '单价13072元/平米')
('https://image1.ljcdn.com/370600-inspection/40f7415f-afe3-42e0-835b-b4851cfba6ca.jpg.296x216.jpg', '可以看海 视野好 高楼层 采光好 南北通透', '银和怡海天越湾  | 2室2厅 | 189.11平米 | 南 北 | 毛坯', '中楼层(共27层)2012年建板塔结合  -  大学城', '300万', '单价15864元/平米')
('https://image1.ljcdn.com/370600-inspection/bdc1d922-e5b7-4b09-93bd-cb9c4c643721.JPG.296x216.jpg', '万象城自住装修三居室高楼层视野开阔', '万象城  | 3室2厅 | 113.94平米 | 东南 北 | 精装', '高楼层(共24层)2012年建塔楼  -  大学城', '198万', '单价17378元/平米')
('https://image1.ljcdn.com/370600-inspection/6ce02674-9fa6-48df-a54b-cfcea7bf5b51.JPG.296x216.jpg', '迟家 两居室 简单装修 卫生间带窗户', '新星西巷  | 2室1厅 | 65平米 | 南 西 | 其他', '中楼层(共6层)1995年建板楼  -  迟家', '120万', '单价18462元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploade71a95be-db04-46a3-8387-4709dbaf0e9d.jpg.296x216.jpg', '南北通透全明户型 客厅大 卧室大 双南卧 户型特别好', '南山世纪华庭  | 3室2厅 | 201.3平米 | 南 北 | 其他', '低楼层(共34层)2009年建板塔结合  -  大学城', '260万', '单价12917元/平米')
('https://image1.ljcdn.com/370600-inspection/beb2a58c-6dad-4b76-88b4-990f66bcb766.JPG.296x216.jpg', '多层板房，封闭小区，停车位充足', '宏福园  | 2室1厅 | 81.9平米 | 东 | 简装', '高楼层(共6层)1996年建板楼  -  石沟屯', '144万', '单价17583元/平米')
('https://image1.ljcdn.com/370600-inspection/ba561c0a-fd2e-4575-819a-6787a934d75d.jpg.296x216.jpg', '观海客厅 视野宽阔 全明户型 精装修', '南山世纪华庭  | 2室1厅 | 102.13平米 | 东北 | 精装', '高楼层(共39层)2009年建塔楼  -  大学城', '135万', '单价13219元/平米')
('https://image1.ljcdn.com/370600-inspection/7020d016-23a4-4b71-bd0b-29cd15784a26.jpg.296x216.jpg', '天籁花园精装南向两居室，全部家具家电赠送', '天籁花园  | 2室1厅 | 83平米 | 南 | 其他', '中楼层(共18层)2008年建板楼  -  山海南路', '113万', '单价13615元/平米')
('https://image1.ljcdn.com/370600-inspection/e016393c-f873-47c4-9890-f19f493ae110.jpg.296x216.jpg', '康复路 楼层低 南北通透 三室两厅 使用面积大', '康复路小区  | 3室2厅 | 101.79平米 | 南 北 | 简装', '低楼层(共6层)2000年建板楼  -  后七夼', '188万', '单价18470元/平米')
('https://image1.ljcdn.com/370600-inspection/90be3bfd-3757-47cb-ac56-e0c860245a7e.jpg.296x216.jpg', '揽胜公馆 2室1厅 80万', '揽胜公馆  | 2室1厅 | 82.6平米 | 南 | 其他', '中楼层(共26层)2016年建塔楼  -  三滩社区', '80万', '单价9686元/平米')
('https://image1.ljcdn.com/370600-inspection/44f9f9bf-9662-4485-aabb-88eba35e08f1.jpg.296x216.jpg', '万象城 2室2厅 143万', '万象城  | 2室2厅 | 82平米 | 西北 | 其他', '高楼层(共24层)2012年建塔楼  -  大学城', '143万', '单价17440元/平米')
('https://image1.ljcdn.com/370600-inspection/5d0190e0-b5ee-4729-b40f-7a56586e7e1b.JPG.296x216.jpg', '桃源一品 高端封闭小区 双拼别墅 独门独院 环境幽雅', '桃源一品  | 8室4厅 | 302.31平米 | 南 北 | 毛坯', '低楼层(共3层)暂无数据  -  后七夼', '1511万', '单价49982元/平米')
('https://image1.ljcdn.com/370600-inspection/3da74510-a019-4f66-af1f-6a7143685bc7.JPG.296x216.jpg', '南厅南卧户型好采光充足交通便利', '清泉寨城南区  | 2室2厅 | 86.7平米 | 南 北 | 其他', '中楼层(共5层)1997年建板楼  -  大学城', '120万', '单价13841元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/6a5dadd2-c3f8-4447-886f-2669ac978a39.png.280x210.jpg', '中天盛世观，海边安静小区 环境好，采光好，视野好。', '中天盛世观澜  | 2室1厅 | 84平米 | 东南 | 其他', '低楼层(共32层)2011年建塔楼  -  前七夼', '115万', '单价13691元/平米')
('https://image1.ljcdn.com/370600-inspection/b09313a1-cbf9-4852-a4dc-ae9cf5624c0a.jpg.296x216.jpg', '碧桂园+凤凰山庄+毛坯+一居室+背山望水', '碧桂园凤凰山庄  | 1室1厅 | 62.71平米 | 南 | 毛坯', '低楼层(共33层)塔楼  -  山海南路', '100万', '单价15947元/平米')
('https://image1.ljcdn.com/370600-inspection/b0abeb87-01ee-4355-9edb-61769037cda8.jpg.296x216.jpg', '双南卧 精装修 拎包入住 格局方正 地暖 天燃气入户', '绿色家园  | 2室1厅 | 67.49平米 | 南 北 | 其他', '中楼层(共27层)2006年建塔楼  -  迎春大街', '92万', '单价13632元/平米')
('https://image1.ljcdn.com/370600-inspection/52fede09-657d-495b-a2cd-f7d25b2073c2.jpg.296x216.jpg', '绿色家园 正南向2居室，方正户型，诚心出售', '绿色家园  | 2室2厅 | 74.7平米 | 西南 | 精装', '高楼层(共16层)2006年建板楼  -  迎春大街', '108万', '单价14458元/平米')
('https://image1.ljcdn.com/370600-inspection/ecbc67d4-04ab-4fbf-96dc-ab307994396e.jpg.296x216.jpg', '德尚上品大三居，两梯两户，东打头，视野采光好', '德尚世家上品  | 3室2厅 | 159.91平米 | 南 北 | 其他', '低楼层(共18层)2014年建板楼  -  三滩社区', '256万', '单价16010元/平米')
('https://image1.ljcdn.com/370600-inspection/ff69e09e-2f4f-40af-9d64-274fe1afe552.jpg.296x216.jpg', '南北通透，带大露台 楼层采光无遮挡，', '祥隆天合城  | 4室2厅 | 153.11平米 | 南 北 | 简装', '中楼层(共17层)2008年建塔楼  -  迎春大街', '220万', '单价14369元/平米')
('https://image1.ljcdn.com/370600-inspection/bc15a3b1-6a3b-45bc-9698-63d5a128080e.jpg.296x216.jpg', '绿色家园，三居室，空间大，视野好', '绿色家园  | 3室2厅 | 116.97平米 | 东南 | 其他', '中楼层(共22层)2006年建塔楼  -  迎春大街', '152万', '单价12995元/平米')
('https://image1.ljcdn.com/370600-inspection/10c913f9-0785-4daf-adcd-9ddaae4cb044.jpg.296x216.jpg', '满五 改善大户型 实际使用面积大 闹中取静有私家花园', '明珠花园   | 联排别墅 | 6室2厅 | 172.73平米 | 南 北 | 其他', '1层2000年建暂无数据  -  大学城', '650万', '单价37631元/平米')
('https://image1.ljcdn.com/370600-inspection/c2cd3742-652e-4a0b-8df7-0187225b1a30.jpg.296x216.jpg', '1楼带院子  南北通透 精装二居室带车位', '暖山国际  | 2室2厅 | 117.91平米 | 南 北 | 其他', '低楼层(共24层)2012年建板楼  -  南塂', '188万', '单价15945元/平米')
('https://image1.ljcdn.com/370600-inspection/68d4b93a-8669-4425-8029-5e794942634f.jpg.296x216.jpg', '金地首府，小区最南排，采光无遮挡。绿化率高，低楼层', '金地首府  | 2室1厅 | 75.1平米 | 南 | 精装', '低楼层(共16层)塔楼  -  莱山周边', '94万', '单价12517元/平米')
('https://image1.ljcdn.com/370600-inspection/989f9c87-7938-4a09-8472-c1a41148849c.jpg.296x216.jpg', '两室朝阳 南向客厅  采光好 每个功能间都有窗户', '绿色家园  | 2室1厅 | 85.87平米 | 南 西南 | 其他', '高楼层(共14层)2005年建塔楼  -  迎春大街', '115万', '单价13393元/平米')
('https://image1.ljcdn.com/370600-inspection/919a27a1-d51e-429c-b5b2-7d69c15311a8.jpg.296x216.jpg', '满五年，各付价格，东打头，三居室，全明，多层零公摊', '万光小区  | 3室2厅 | 91.56平米 | 南 北 | 简装', '中楼层(共6层)1995年建板楼  -  大学城', '140万', '单价15291元/平米')
('https://image1.ljcdn.com/370600-inspection/92468d16-20c2-478c-8899-2b6c3263cd65.jpg.296x216.jpg', '迎春大街，百万精装，顶层复式，南北通透4居室', '祥隆天合城  | 4室3厅 | 247.09平米 | 东 南 北 | 其他', '高楼层(共16层)2008年建塔楼  -  迎春大街', '349万', '单价14125元/平米')
('https://image1.ljcdn.com/370600-inspection/55b81115-af30-41fa-86fa-cd2b28407307.jpg.296x216.jpg', '一梯两户，采光充足，中等装修，拎包入住没问题', '新星南街  | 3室2厅 | 89.26平米 | 南 北 | 其他', '中楼层(共7层)1995年建板楼  -  迟家', '168万', '单价18822元/平米')
('https://image1.ljcdn.com/370600-inspection/d2f2ea95-8079-4d3e-b66c-2e75176251f1.jpg.296x216.jpg', '南北通透精装修南北两居室,.........', '天籁花园  | 2室2厅 | 87.65平米 | 南 北 | 其他', '高楼层(共12层)2008年建板楼  -  山海南路', '130万', '单价14832元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/30d1e38a-a554-43b5-82c4-bc120d8f1390.png.280x210.jpg', '此房满五唯一，南北通透，中间楼层，采光好', '南山世纪华府  | 3室2厅 | 154.31平米 | 南 北 | 其他', '低楼层(共33层)2007年建板楼  -  大学城', '245万', '单价15878元/平米')
('https://image1.ljcdn.com/370600-inspection/e8c1dd90-cf5d-4790-9eaf-bbf55b8bb46b.jpg.296x216.jpg', '一楼出入方便，楼间距大，全天采光无遮挡！', '大华上海滩花园  | 2室2厅 | 87.95平米 | 南 北 | 毛坯', '低楼层(共12层)2012年建板楼  -  三滩社区', '110万', '单价12508元/平米')
('https://image1.ljcdn.com/370600-inspection/d80152b3-1553-4163-b7a8-0f58fb146515.JPG.296x216.jpg', '万象城精装修三居室两卫户型满足一家三口的需要', '万象城  | 3室2厅 | 119.25平米 | 南 北 | 其他', '中楼层(共21层)2010年建塔楼  -  大学城', '185万', '单价15514元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload0fe0ed14-9a56-4af0-ae23-e900886d10cc.jpg.296x216.jpg', '多层住宅，户型方正，顶层复式，送露台', '澳柯玛小区  | 3室1厅 | 125平米 | 南 北 | 简装', '高楼层(共6层)2003年建板楼  -  南塂', '150万', '单价12000元/平米')
('https://image1.ljcdn.com/370600-inspection/25a95487-84ff-42a5-9f5d-fcb82d4caf01.jpg.296x216.jpg', '德尚世家 精装房 双南卧南厅 双证可贷款', '德尚世家  | 2室2厅 | 82.4平米 | 南 | 精装', '中楼层(共13层)2008年建板楼  -  三滩社区', '140万', '单价16991元/平米')
('https://image1.ljcdn.com/370600-inspection/7d2da422-b39d-4522-abce-29894f123aef.jpg.296x216.jpg', '南山世纪华庭精装一居室，拎包入住。', '南山世纪华庭  | 1室1厅 | 60.19平米 | 南 | 其他', '低楼层(共28层)2009年建板塔结合  -  大学城', '76万', '单价12627元/平米')
('https://image1.ljcdn.com/370600-inspection/af31594c-74bf-4398-9175-0fcfa247d4a4.JPG.296x216.jpg', '大学城清泉寨城中区简单装修的小两居', '清泉寨城中区  | 2室2厅 | 74.17平米 | 南 北 | 其他', '高楼层(共7层)2000年建板楼  -  大学城', '75万', '单价10112元/平米')
('https://image1.ljcdn.com/370600-inspection/test-1ecaae8e-06c3-4e84-bfe9-1f735e009ae5.png.296x216.jpg', '精装婚房小两居赠送外置阳台中间楼层视野开阔', '大华上海滩花园  | 2室2厅 | 76.72平米 | 南 | 其他', '高楼层(共18层)2012年建板楼  -  三滩社区', '105万', '单价13687元/平米')
('https://image1.ljcdn.com/370600-inspection/aae83a85-3a99-45de-84b3-126bc92abfbf.jpg.296x216.jpg', '府前花园二期南北通透三居室，卫生间有窗户，地暖', '万光府前花园  | 3室1厅 | 128.66平米 | 南 北 | 其他', '中楼层(共27层)2010年建板楼  -  迎春大街', '185万', '单价14379元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploadc9522c8f-67e4-4fe4-beaa-d78a0a831a3b.jpg.296x216.jpg', '四季花城三期洋房 中间楼层 南北通透 全明户型', '四季花城  | 2室2厅 | 88.09平米 | 南 北 | 毛坯', '中楼层(共5层)2011年建板楼  -  迎春大街', '160万', '单价18164元/平米')
('https://image1.ljcdn.com/370600-inspection/4cbe1ed4-d550-41ea-a82e-63e9178c8317.jpg.296x216.jpg', '华庭新出、一居室、南向落地大窗、采光好', '南山世纪华庭  | 1室1厅 | 60.16平米 | 南 | 精装', '高楼层(共31层)2009年建板塔结合  -  大学城', '73万', '单价12135元/平米')
('https://image1.ljcdn.com/370600-inspection/eaf755b1-e0be-4633-80b0-059ba2920d03.jpg.296x216.jpg', '房子是南向精装两居，可以直接入住', '清泉寨城北区  | 2室1厅 | 62.63平米 | 南 | 其他', '中楼层(共6层)1999年建板楼  -  大学城', '90万', '单价14371元/平米')
('https://image1.ljcdn.com/370600-inspection/test-0421b59d-9e5c-4dd9-86b9-229788b28ff8.png.296x216.jpg', '天籁经典户型，两梯四户小高层装修好前方无遮挡采光好', '天籁花园  | 2室2厅 | 82.91平米 | 南 | 精装', '中楼层(共18层)2008年建板楼  -  山海南路', '117万', '单价14112元/平米')
('https://image1.ljcdn.com/370600-inspection/62b5f0bf-5d6c-42a3-8f22-48cbc5677808.jpg.296x216.jpg', '天越湾、高楼层打头房、可以看海', '银和怡海天越湾  | 5室2厅 | 467平米 | 南 北 | 其他', '中楼层(共26层)2012年建塔楼  -  大学城', '750万', '单价16060元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/918eeb26-04a0-45f6-a67b-a8626670b908.png.280x210.jpg', '框架 两居室 南北通透 老式装修', '晖光路  | 2室2厅 | 75平米 | 南 北 | 其他', '低楼层(共6层)1999年建板楼  -  前七夼', '140万', '单价18667元/平米')
('https://image1.ljcdn.com/370600-inspection/e3533e04-3fdb-4d26-b5ae-0f58563a9326.jpg.296x216.jpg', '此房满五唯一，典型的双南卧户型，西客厅，价格便宜', '四季花城  | 2室2厅 | 85.76平米 | 西南 | 简装', '中楼层(共11层)2009年建板塔结合  -  迎春大街', '143.5万', '单价16733元/平米')
