('https://image1.ljcdn.com/120000-inspection/96beb4cd-34f3-4d7e-986b-e5ec08f711ee.jpg.296x216.jpg', '东惠家园 东向两居室 随时签约 诚意出售', '东惠家园  | 2室1厅 | 60.85平米 | 东 | 简装 | 有电梯', '高楼层(共31层)板楼  -  真理道', '135万', '单价22186元/平米')
('https://image1.ljcdn.com/120000-inspection/bdb64b09-ee43-4f02-91f5-563d30001856.jpg.296x216.jpg', '中间楼为，采光充足，好楼层，出门就是公交站', '格调竹境  | 2室1厅 | 103.05平米 | 南 | 其他 | 有电梯', '中楼层(共25层)板楼  -  中山门街', '315万', '单价30568元/平米')
('https://image1.ljcdn.com/120000-inspection/a3439af2-d051-4255-85dd-19a42e436b14.jpg.296x216.jpg', '临池里 2室1厅 150万', '临池里  | 2室1厅 | 59.64平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)板楼  -  向阳楼', '150万', '单价25151元/平米')
('https://image1.ljcdn.com/120000-inspection/ff006287-7ee1-4e34-a0a3-0a261c679917.jpg.296x216.jpg', '来安里一期  中间楼层 户型方正 南北通透 随时看房', '来安里  | 2室1厅 | 60.22平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)板楼  -  上杭路', '195万', '单价32382元/平米')
('https://image1.ljcdn.com/120000-inspection/53f8682d-4fe5-47af-bd4c-057b8f85171d.jpg.296x216.jpg', '芳馨园 2室1厅 275万', '芳馨园  | 2室1厅 | 103.79平米 | 南 北 | 其他 | 无电梯', '中楼层(共7层)板楼  -  上杭路', '275万', '单价26496元/平米')
('https://image1.ljcdn.com/120000-inspection/1deda849-ec79-4885-a0dd-573c8422a48c.jpg.296x216.jpg', '河东区东惠家园 房龄新 中间层精装一居室 诚意出售', '东惠家园  | 1室1厅 | 48.51平米 | 东 | 精装 | 有电梯', '高楼层(共32层)板楼  -  真理道', '108万', '单价22264元/平米')
('https://image1.ljcdn.com/120000-inspection/c51adc20-9633-4558-b8f7-929f3ff900d3.jpg.296x216.jpg', '城市之光别馆公寓 3室1厅 300万', '城市之光别馆公寓  | 3室1厅 | 85.18平米 | 东南 南 | 简装 | 有电梯', '中楼层(共26层)板楼  -  春华街', '300万', '单价35220元/平米')
('https://image1.ljcdn.com/120000-inspection/9092f68f-cd44-415f-9939-f5bd7e073f02.jpg.296x216.jpg', '新天地家园 4室2厅 650万', '新天地家园  | 4室2厅 | 194.77平米 | 南 北 | 精装 | 有电梯', '高楼层(共29层)板楼  -  春华街', '650万', '单价33373元/平米')
('https://image1.ljcdn.com/120000-inspection/22a2be47-6093-4861-b8bc-91acb40a6017.jpg.296x216.jpg', '弘轩公寓 2室2厅 245万', '弘轩公寓  | 2室2厅 | 98.6平米 | 南 | 其他 | 无电梯', '高楼层(共7层)板楼  -  唐家口', '245万', '单价24848元/平米')
('https://image1.ljcdn.com/120000-inspection/620b6a68-0e3e-49c1-b6a9-9cfe76c0f83f.jpg.296x216.jpg', '祥瑞家园·交通便利  户型规整  视野较好', '祥瑞家园  | 2室1厅 | 63.16平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)板楼  -  常州道', '210万', '单价33249元/平米')
('https://image1.ljcdn.com/120000-inspection/50cdd6bb-1555-432c-a8de-a12e16d6cece.jpg.296x216.jpg', '向阳花园 交通便利配套齐全环境优美', '向阳花园  | 2室1厅 | 94.55平米 | 南 | 其他 | 有电梯', '中楼层(共8层)板楼  -  向阳楼', '260万', '单价27499元/平米')
('https://image1.ljcdn.com/120000-inspection/b2fc4688-2469-4c8b-ae69-619f94795494.jpg.296x216.jpg', '华泰里 2室1厅 170万', '华泰里  | 2室1厅 | 59.57平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)板楼  -  春华街', '170万', '单价28538元/平米')
('https://image1.ljcdn.com/120000-inspection/b75601fe-d224-48cf-9d57-aec4d3b1171e.jpg.296x216.jpg', '汇贤里 2室1厅 235万', '汇贤里  | 2室1厅 | 75.11平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)板楼  -  大直沽', '235万', '单价31288元/平米')
('https://image1.ljcdn.com/120000-inspection/c36929f4-a896-4d08-9606-d44be788c211.jpg.296x216.jpg', '来安里三期  不是顶楼 两室 采光好 看房随时', '来安里  | 1室1厅 | 58.9平米 | 西 北 | 简装 | 无电梯', '中楼层(共6层)板楼  -  上杭路', '170万', '单价28863元/平米')
('https://image1.ljcdn.com/120000-inspection/d87c6ba1-892a-49bc-b5f0-267bfbb5946d.jpg.296x216.jpg', '滨河家园 三室两卫 交通便利 采光充足', '滨河家园  | 3室2厅 | 98.08平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)板楼  -  富民路', '237万', '单价24164元/平米')
('https://image1.ljcdn.com/120000-inspection/b2a0cacc-a6b5-4d33-a6bb-8b1276007531.jpg.296x216.jpg', '第博雅园 通透两室 采光充足 诚意出售', '第六大道第博雅园  | 2室1厅 | 82.5平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)板楼  -  上杭路', '212万', '单价25697元/平米')
('https://image1.ljcdn.com/120000-inspection/d2b8d8c2-dcb0-4b13-bf6b-72e0bb82930c.jpg.296x216.jpg', '东瑞家园 正规两室 装修不错 满两年', '东瑞家园  | 2室1厅 | 88.61平米 | 东北 | 其他 | 有电梯', '高楼层(共32层)板楼  -  真理道', '172万', '单价19411元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_upload43bfa278-047b-473f-b512-78bb765781e6.jpg.296x216.jpg', '润晖公寓 交通便利 视野开阔 低楼层', '润晖公寓  | 2室2厅 | 89.74平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)板楼  -  唐家口', '330万', '单价36773元/平米')
('https://image1.ljcdn.com/120000-inspection/f73282f7-297b-4253-85b9-c73e318372ea.jpg.296x216.jpg', '万春阳面三室 采光好 看房方便 户型格局', '万春花园  | 3室2厅 | 119.99平米 | 南 | 其他 | 有电梯', '中楼层(共11层)板楼  -  春华街', '380万', '单价31670元/平米')
('https://image1.ljcdn.com/120000-inspection/d8add482-487a-4c34-8f9b-2207968b3fb2.jpg.296x216.jpg', '阳光星期八昕旺南苑 2室1厅 315万', '阳光星期八昕旺南苑  | 2室1厅 | 98.02平米 | 南 北 | 精装 | 有电梯', '低楼层(共27层)板楼  -  向阳楼', '315万', '单价32137元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_uploadda0920f6-e928-4e85-a578-d371f348843f.jpg.296x216.jpg', '左厨右卫户型  厅敞亮 无浪费面积', '格调竹境  | 2室2厅 | 107.48平米 | 南 北 | 其他 | 有电梯', '高楼层(共25层)板楼  -  中山门街', '320万', '单价29773元/平米')
('https://image1.ljcdn.com/120000-inspection/c7abd3e5-f66c-4273-be36-c3fdd3a403e5.jpg.296x216.jpg', '来安里一期  通透两室 中间楼层 生活居住比较便利', '来安里  | 2室1厅 | 69.22平米 | 东 西 | 其他 | 无电梯', '中楼层(共6层)板楼  -  上杭路', '190万', '单价27449元/平米')
('https://image1.ljcdn.com/120000-inspection/6ec14fc6-75ea-43ec-a240-4720727d0399.jpg.296x216.jpg', '中海城市广场 3室2厅3卫 面朝海河 视野无遮挡', '中海城市广场  | 3室2厅 | 234.35平米 | 西 | 毛坯 | 有电梯', '高楼层(共46层)板楼  -  大王庄', '1150万', '单价49072元/平米')
('https://image1.ljcdn.com/120000-inspection/da544615-b301-41d4-9b16-60362a8ebc2a.jpg.296x216.jpg', '芳水河畔 双阳居室通透户型 楼间距大 采光足 看房方便', '芳水河畔家园  | 2室1厅 | 82.47平米 | 南 北 | 简装 | 无电梯', '中楼层(共5层)板楼  -  上杭路', '205万', '单价24858元/平米')
('https://image1.ljcdn.com/120000-inspection/59953fc6-6d49-42d4-88cb-da6352b00f82.jpg.296x216.jpg', '房子过五年  精装修 小区二楼 看房方便', '明家庄园  | 2室2厅 | 85.81平米 | 南 | 其他 | 无电梯', '中楼层(共5层)板楼  -  二号桥街', '230万', '单价26804元/平米')
('https://image1.ljcdn.com/120000-inspection/81e8f6ee-fd2e-4e0b-bdf8-a1101987ac2c.jpg.296x216.jpg', '秀波园 1室1厅 205万', '秀波园  | 1室1厅 | 79.65平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)板楼  -  二号桥街', '205万', '单价25738元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_upload877f11bd-e239-4c09-a972-078193c06dde.jpg.296x216.jpg', '此房过五年，南北通透格局，H户型，小区前排位置', '明家庄园  | 2室1厅 | 86.61平米 | 南 北 | 精装 | 无电梯', '中楼层(共5层)板楼  -  二号桥街', '240万', '单价27711元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_uploadf1de6a5d-1d88-4bfd-b80b-49ea34eb2dcd.jpg.296x216.jpg', '滨河新苑 带装修 业主诚意出售', '滨河新苑  | 2室2厅 | 92.86平米 | 南 北 | 其他 | 无电梯', '中楼层(共7层)板楼  -  富民路', '249万', '单价26815元/平米')
('https://image1.ljcdn.com/120000-inspection/dec98405-b617-45ce-bee9-b19cfe70422c.jpg.296x216.jpg', '福天里 2室1厅 163万', '福天里  | 2室1厅 | 71.61平米 | 东 西 | 其他 | 无电梯', '中楼层(共7层)板楼  -  二号桥街', '163万', '单价22763元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_uploade8c4cc85-33e1-4b3f-adae-71d2fdc4d5bd.jpg.296x216.jpg', '华庆里小区，交通便利，配套齐全。', '华庆里  | 2室1厅 | 63.27平米 | 东 南 北 | 其他 | 无电梯', '高楼层(共6层)板楼  -  春华街', '165万', '单价26079元/平米')
('https://image1.ljcdn.com/120000-inspection/24502a0e-6c3a-402b-b462-039584f5d999.jpg.296x216.jpg', '倚虹中里  户型规整  采光好 交通方便', '倚虹中里  | 2室1厅 | 56.64平米 | 南 | 简装 | 无电梯', '中楼层(共7层)板楼  -  万新村', '137万', '单价24188元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_uploadf59626fa-2758-4c10-8fe8-b3a9741b214d.jpg.296x216.jpg', '华馨公寓 交通便利  户型规整  视野较好', '华馨公寓  | 2室2厅 | 106.18平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)板楼  -  唐家口', '255万', '单价24016元/平米')
('https://image1.ljcdn.com/120000-inspection/81ad3f53-212f-497c-ae6d-474a86bfb30e.jpg.296x216.jpg', '业主诚意出售，价格可谈，看房随时', '互助西里  | 2室1厅 | 93.88平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)板楼  -  中山门街', '195万', '单价20772元/平米')
('https://image1.ljcdn.com/120000-inspection/4aa55138-90d9-4161-81b6-1d6ede9f47d1.jpg.296x216.jpg', '程林里 中间楼层 屋内干净整洁 诚意出售', '程林里  | 2室1厅 | 55.81平米 | 东 | 其他', '中楼层(共6层)板楼  -  上杭路', '138万', '单价24727元/平米')
('https://image1.ljcdn.com/120000-inspection/f686caf0-45e3-42cf-9eae-622c89caabd9.jpg.296x216.jpg', '嘉华新苑 双阳错层两室 中间楼层，采光无遮挡', '嘉华新苑  | 2室1厅 | 94.11平米 | 南 北 | 其他 | 无电梯', '中楼层(共7层)板楼  -  唐家口', '350万', '单价37191元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_uploadde3e527d-14ae-4ef7-a441-452e38004569.jpg.296x216.jpg', '星河花园 4楼 南北通透的H户型 采光好', '星河花园  | 2室2厅 | 92.69平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)板楼  -  向阳楼', '280万', '单价30209元/平米')
('https://image1.ljcdn.com/120000-inspection/dd45c82e-1873-4ff0-9138-e7b889bd90c4.jpg.296x216.jpg', '冠云西里  两室一厅  交通方便  视野开阔', '冠云西里  | 2室1厅 | 58.08平米 | 东 | 简装 | 无电梯', '高楼层(共6层)板楼  -  万新村', '119万', '单价20489元/平米')
('https://image1.ljcdn.com/120000-inspection/c6503306-4d76-4763-a8c6-56175085831f.jpg.296x216.jpg', '芳馨园  三室  精装修  小区环境好   安心交易', '芳馨园  | 3室1厅 | 120.81平米 | 南 西 北 | 简装 | 无电梯', '中楼层(共7层)板楼  -  上杭路', '295万', '单价24419元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_uploadff0f56b4-244f-4e3f-b4d1-5e8ec9463eff.jpg.296x216.jpg', '巨福新园 2室1厅 380万', '巨福新园  | 2室1厅 | 106.87平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)板楼  -  春华街', '380万', '单价35558元/平米')
('https://image1.ljcdn.com/120000-inspection/05898789-f5ac-47f9-9735-ba591af14c36.jpg.296x216.jpg', '户型方正  小区空间利用大  是地热水', '怡安温泉公寓  | 1室1厅 | 57.99平米 | 南 | 其他 | 无电梯', '中楼层(共7层)板楼  -  大直沽', '188万', '单价32420元/平米')
('https://image1.ljcdn.com/120000-inspection/75a83c95-eebe-475e-887e-d0b15d0e5de9.jpg.296x216.jpg', '萦东温泉花园 两室一厅 视野开阔 位置较好', '萦东温泉花园  | 2室1厅 | 88.63平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)板楼  -  大直沽', '260万', '单价29336元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_uploadccdfb5e6-48f4-4eaa-9fa9-b30e3fa4b04f.jpg.296x216.jpg', '欢颜里 好楼层 私产可贷款 交通便利', '欢颜里  | 2室1厅 | 50.42平米 | 南 北 | 简装', '中楼层(共6层)板楼  -  常州道', '125万', '单价24792元/平米')
('https://image1.ljcdn.com/120000-inspection/5296cfe5-4b94-4f99-9a09-9d9e05a4b58e.jpg.296x216.jpg', '阳光星期八南苑91.7平米285万', '阳光星期八昕旺南苑  | 2室1厅 | 91.71平米 | 南 | 其他 | 有电梯', '低楼层(共27层)板楼  -  向阳楼', '280万', '单价30532元/平米')
('https://image1.ljcdn.com/120000-inspection/93f4912a-01a1-4afe-ae37-912bb73fdab4.jpg.296x216.jpg', '金湾花园 2室1厅 246万', '金湾花园  | 2室1厅 | 83.69平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)板楼  -  上杭路', '246万', '单价29395元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_upload1687867d-d6c3-40e5-a836-fd63b13a6b77.jpg.296x216.jpg', '彩丽园翠景芳龄 南北通透H户型', '彩丽园  | 2室1厅 | 89.09平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)板楼  -  太阳城', '208万', '单价23348元/平米')
('https://image1.ljcdn.com/120000-inspection/b177c505-8669-42e1-94db-4939f09407d5.jpg.296x216.jpg', '翰林园一楼H户型，南北通透，出入方便。', '翰林园  | 2室1厅 | 98.25平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)板楼  -  唐家口', '310万', '单价31553元/平米')
('https://image1.ljcdn.com/120000-inspection/6ba3539a-d4d1-401a-bbf2-96b029277ca0.jpg.296x216.jpg', '精装双阳两居室 位置好 总价低 价格可议 诚意出售', '芳馨园  | 2室2厅 | 83.38平米 | 南 | 精装 | 无电梯', '高楼层(共7层)板楼  -  上杭路', '180万', '单价21588元/平米')
('https://image1.ljcdn.com/120000-inspection/f97a4b46-ffdd-4345-9ea9-487cd6211f4d.jpg.296x216.jpg', '天泉东里 2室1厅 127万', '天泉东里  | 2室1厅 | 58.41平米 | 南 北 | 其他 | 无电梯', '中楼层(共7层)板楼  -  万新村', '127万', '单价21743元/平米')
('https://image1.ljcdn.com/120000-inspection/8b7ec2f6-7aca-4bb2-b83a-82699f455a8b.jpg.296x216.jpg', '房子未过两年 婚房精装修 家电全送 看房有钥匙', '靓东花园  | 2室1厅 | 70.03平米 | 东北 | 精装 | 有电梯', '高楼层(共28层)塔楼  -  二号桥街', '170万', '单价24276元/平米')
('https://image1.ljcdn.com/120000-inspection/e71ea9fa-81a2-48f4-b9b9-d325514314ff.jpg.296x216.jpg', '第博雅园 三室双卫 采光好 二组团', '第六大道第博雅园  | 3室2厅 | 135.82平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)板楼  -  上杭路', '340万', '单价25034元/平米')
('https://image1.ljcdn.com/120000-inspection/4fac11cd-a9d0-441d-a03b-d6805f26c720.jpg.296x216.jpg', '大众家园 交通便利  户型规整  视野较好', '大众家园  | 2室1厅 | 94.7平米 | 南 | 精装 | 无电梯', '中楼层(共6层)板楼  -  真理道', '212万', '单价22387元/平米')
('https://image1.ljcdn.com/120000-inspection/de6cb19c-9f9f-452a-a8ca-79911e4740e4.jpg.296x216.jpg', '房子满五年，业主诚意出售，出行方便，适合居住', '怡安温泉公寓  | 2室1厅 | 46.87平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)板楼  -  大直沽', '150万', '单价32004元/平米')
('https://image1.ljcdn.com/120000-inspection/45ec9289-02b7-45e1-b0f4-ee978bc49cca.jpg.296x216.jpg', '全阳户型，格局方正规整，方便实用，适合居住。', '陶然庭苑  | 2室1厅 | 93.47平米 | 南 北 | 其他 | 有电梯', '中楼层(共18层)板楼  -  二号桥街', '240万', '单价25677元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_uploadcf042dec-6b87-489e-bafe-b0ff098e6d4a.jpg.296x216.jpg', '绿萱园 精装两室 一楼带小院 业主诚意出售', '太阳城绿萱园  | 2室2厅 | 112.43平米 | 南 北 | 精装 | 有电梯', '低楼层(共9层)板楼  -  太阳城', '340万', '单价30242元/平米')
('https://image1.ljcdn.com/120000-inspection/3dec0a87-6d4c-4a85-9e48-1ceb8378c532.jpg.296x216.jpg', '靓锦名居 2室1厅 290万', '靓锦名居  | 2室1厅 | 106.58平米 | 南 北 | 其他 | 有电梯', '高楼层(共16层)板楼  -  大直沽', '290万', '单价27210元/平米')
('https://image1.ljcdn.com/120000-inspection/b764774d-619c-47e2-b91d-2af9397d7a85.jpg.296x216.jpg', '过两年    精装修     无尾款', '嘉华园  | 2室1厅 | 81.57平米 | 东 西 | 其他 | 无电梯', '高楼层(共6层)板楼  -  上杭路', '175万', '单价21454元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_upload865e5ea1-393d-443f-beb3-dc8c712cf34f.jpg.296x216.jpg', '融科金月湾 3室2厅 325万', '融科金月湾  | 3室2厅 | 98.01平米 | 南 北 | 其他 | 有电梯', '低楼层(共33层)板楼  -  富民路', '325万', '单价33160元/平米')
('https://image1.ljcdn.com/120000-inspection/050c2097-c0c3-4d26-bb3a-aa08bc5880a26.jpg.296x216.jpg', '此房过五年，出行方便，视野开阔，采光充足', '福庭里  | 2室1厅 | 77.29平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)板楼  -  二号桥街', '140万', '单价18114元/平米')
('https://image1.ljcdn.com/120000-inspection/7980f83c-a3b6-4981-97e8-af79ab2ef4ff.jpg.296x216.jpg', '宫前东园 三室一厅  南北通透 交通便利 配套成熟', '宫前东园  | 3室1厅 | 97.49平米 | 南 北 | 其他 | 无电梯', '中楼层(共7层)板楼  -  大直沽', '280万', '单价28721元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_uploadccea681e-8412-409b-b6b7-2664d0ffe7d9.jpg.296x216.jpg', '东亚风尚国际 三室两卫 毛坯房', '东亚风尚国际  | 3室2厅 | 122.65平米 | 南 北 | 其他 | 有电梯', '低楼层(共34层)板楼  -  唐家口', '420万', '单价34244元/平米')
('https://image1.ljcdn.com/120000-inspection/62125f2e-11a0-41e2-ba07-62691e00cbe8.jpg.296x216.jpg', '福泽温泉公寓 两室一厅 透风性好 视野开阔', '福泽温泉公寓  | 2室1厅 | 120.22平米 | 南 | 其他 | 无电梯', '低楼层(共6层)板楼  -  大直沽', '370万', '单价30777元/平米')
('https://image1.ljcdn.com/120000-inspection/9bec8541-5643-4712-98cd-bb4cd8d3016d.jpg.296x216.jpg', '秋实园 一楼正规两居室，小区中间位置业主诚意出售', '秋实园  | 2室1厅 | 71.04平米 | 南 | 精装 | 无电梯', '低楼层(共7层)板塔结合  -  春华街', '250万', '单价35192元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_uploadc7d93935-50e3-4bd5-bdc4-a972114f71a7.jpg.296x216.jpg', '小区主力楼盘为6层到顶的砖楼，安全舒适', '萦东温泉花园  | 2室1厅 | 96.04平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)板楼  -  大直沽', '239万', '单价24886元/平米')
('https://image1.ljcdn.com/120000-inspection/f55f2b94-2cdc-4aa9-9d62-55a1b7baf60b.jpg.296x216.jpg', '金色家园 精装两室 南北向 赠送阁楼 93.33平米 368万', '金色家园  | 2室1厅 | 93.33平米 | 南 | 其他 | 无电梯', '高楼层(共6层)板楼  -  唐家口', '368万', '单价39430元/平米')
('https://image1.ljcdn.com/120000-inspection/9f06e976-e62b-4d85-b980-86f3d2c0cc35.jpg.296x216.jpg', '滨河新苑 小户型 出现方便 采光好', '滨河新苑  | 1室1厅 | 58.7平米 | 南 | 其他 | 无电梯', '高楼层(共6层)板楼  -  富民路', '130万', '单价22147元/平米')
('https://image1.ljcdn.com/120000-inspection/5d8a973c-43a8-42d4-b895-628539e38761.jpg.296x216.jpg', '春华里  交通便利  户型规整  视野较好', '春华里  | 2室1厅 | 95平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)板楼  -  春华街', '280万', '单价29474元/平米')
('https://image1.ljcdn.com/120000-inspection/bfa7abd7-1842-4e98-9ef3-1488474477c0.jpg.296x216.jpg', '福东北里 六楼 南北通透 看房有钥匙诚意出售', '福东北里  | 2室1厅 | 71.22平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)板楼  -  二号桥街', '130万', '单价18254元/平米')
('https://image1.ljcdn.com/120000-inspection/2e38bf74-8931-4cd6-85b7-a74b6fc00ace.jpg.296x216.jpg', '同心嘉园 中装大两室 视野采光好 诚意出售', '同心嘉园  | 2室1厅 | 101.47平米 | 南 西 北 | 简装 | 有电梯', '低楼层(共24层)板楼  -  二号桥街', '220万', '单价21682元/平米')
('https://image1.ljcdn.com/120000-inspection/0272208a-8343-4354-9e0f-fe98c36505fd.jpg.296x216.jpg', '彩丽园 电梯洋房 南北通透 采光充足 看房方便', '彩丽园  | 3室2厅 | 121.91平米 | 南 北 | 其他 | 有电梯', '低楼层(共11层)板楼  -  太阳城', '285万', '单价23378元/平米')
('https://image1.ljcdn.com/120000-inspection/676719fb-85be-4737-8a70-07fe30788e6b.jpg.296x216.jpg', '祥瑞家园 2室1厅 200万', '祥瑞家园  | 2室1厅 | 67.53平米 | 南 | 其他 | 有电梯', '中楼层(共32层)板楼  -  常州道', '200万', '单价29617元/平米')
('https://image1.ljcdn.com/120000-inspection/971a1239-f3b2-46f2-a1f4-f836ff553ada.jpg.296x216.jpg', '宁月花园跃层 三居室 精装修  业主诚意出售', '宁月花园  | 3室2厅 | 107.87平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)板楼  -  二号桥街', '220万', '单价20395元/平米')
('https://image1.ljcdn.com/120000-inspection/4059af03-8e23-447e-9d34-5bffb552587c.jpg.296x216.jpg', '中山门南里 2室1厅 155万', '中山门南里  | 2室1厅 | 61.01平米 | 东南 | 其他 | 无电梯', '中楼层(共6层)板楼  -  中山门街', '155万', '单价25406元/平米')
('https://image1.ljcdn.com/120000-inspection/b27d6801-66f2-482b-8e82-cb2db0a6023f.jpg.296x216.jpg', '中环内东兴园 新近精装两居室 自住看房方便诚意置换', '东兴园  | 2室1厅 | 106.47平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)板楼  -  大直沽', '266万', '单价24984元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_upload3276b90c-dceb-4f1b-b0ee-a1eecf258588.jpg.296x216.jpg', '明和里 2室1厅 174万', '明和里  | 2室1厅 | 61.28平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)板楼  -  春华街', '174万', '单价28395元/平米')
('https://image1.ljcdn.com/120000-inspection/6f058bb2-39d6-4a01-9cb6-3152337dbf58.jpg.296x216.jpg', '70年产权，民水民电，带电梯单价低，适合结婚、改善', '鼎泰大厦  | 2室1厅 | 98.64平米 | 西 | 简装 | 有电梯', '中楼层(共30层)塔楼  -  大王庄', '197万', '单价19972元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_upload7cfea35c-d6f6-46c4-b981-c360d031337e.jpg.296x216.jpg', '华郡新苑 2室1厅 275万', '华郡新苑  | 2室1厅 | 90.05平米 | 南 北 | 其他 | 有电梯', '中楼层(共26层)板楼  -  春华街', '275万', '单价30539元/平米')
('https://image1.ljcdn.com/120000-inspection/8eb0f715-4b7b-4817-ad97-fd9197d6c38a.jpg.296x216.jpg', '河东万达 雅兰园二楼 H户型 全明格局 精装修', '雅兰园  | 2室2厅 | 108.13平米 | 东 南 北 | 其他 | 无电梯', '低楼层(共6层)板楼  -  上杭路', '310万', '单价28670元/平米')
('https://image1.ljcdn.com/120000-inspection/e1f9e598-c776-407f-9c08-64766f278365.jpg.296x216.jpg', '汇贤里 跃层通透户型 看房方便', '汇贤里  | 3室2厅 | 115.42平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)板楼  -  大直沽', '280万', '单价24260元/平米')
('https://image1.ljcdn.com/120000-inspection/5d7c61fd-959e-4b38-a428-48ba6226b541.jpg.296x216.jpg', '程林里 房龄新 顶楼带阁楼  户型方正', '程林里  | 1室1厅 | 57.72平米 | 南 | 其他 | 无电梯', '高楼层(共6层)板楼  -  上杭路', '139万', '单价24082元/平米')
('https://image1.ljcdn.com/120000-inspection/b0bbd62e-5fa2-4b33-a7c3-f1ba996c6c50.jpg.296x216.jpg', '雅仕兰庭精装修电梯房，业主诚意出售，看房方便。', '雅仕兰庭  | 2室1厅 | 88.28平米 | 南 北 | 其他 | 有电梯', '中楼层(共33层)板楼  -  富民路', '245万', '单价27753元/平米')
('https://image1.ljcdn.com/120000-inspection/9023547b-c21a-4ec9-9804-6b523324758d.jpg.296x216.jpg', '路劲太阳城 新小区 高层两室 看房方便', '路劲太阳城  | 2室2厅 | 83.41平米 | 南 北 | 其他 | 有电梯', '高楼层(共26层)板楼  -  太阳城', '238万', '单价28534元/平米')
('https://image1.ljcdn.com/120000-inspection/9b95633e-26d9-41b7-b891-f04c8d7e32e8.jpg.296x216.jpg', '逸庭苑 正规三室 正式住宅 河东大王庄挨着海河', '逸庭苑大厦  | 3室1厅 | 133.51平米 | 东 | 简装 | 有电梯', '中楼层(共33层)板楼  -  大王庄', '345万', '单价25841元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_upload07bd54c7-3ab0-4b43-ae00-df2e4e3eb339.jpg.296x216.jpg', '嘉华里H户型  业主诚心出售，多关注', '嘉华里  | 2室1厅 | 114.1平米 | 南 北 | 其他 | 无电梯', '中楼层(共7层)板楼  -  唐家口', '380万', '单价33305元/平米')
('https://image1.ljcdn.com/120000-inspection/3c3454f6-9ead-4ba0-a20c-e74b4337f7b3.jpg.296x216.jpg', '裕阳花园 2室1厅 380万', '裕阳花园  | 2室1厅 | 102.13平米 | 南 北 | 其他 | 有电梯', '中楼层(共7层)板楼  -  春华街', '380万', '单价37208元/平米')
('https://image1.ljcdn.com/120000-inspection/a2366ef4-0301-43c6-b744-965d2aca1fa1.jpg.296x216.jpg', '阳光星期八昕旺南苑 2室1厅 279万', '阳光星期八昕旺南苑  | 2室1厅 | 93.53平米 | 南 | 其他 | 有电梯', '高楼层(共27层)板楼  -  向阳楼', '279万', '单价29831元/平米')
('https://image1.ljcdn.com/120000-inspection/09df02ac-1786-40ec-9422-863b2f8c7616.jpg.296x216.jpg', '万东花园 全阳户型 精装修 业主诚意出售', '万东花园  | 2室1厅 | 90.66平米 | 南 | 精装 | 有电梯', '低楼层(共30层)板楼  -  向阳楼', '275万', '单价30334元/平米')
