('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload92662a90-6e06-4386-a6a6-69d133013027.jpg.296x216.jpg', '长白岛 万科城二期 南向 户型规整 两室 中间好楼层', '万科城二期  | 2室2厅 | 102.04平米 | 南 | 精装', '低楼层(共33层)2006年建板塔结合  -  和平区', '175万', '单价17151元/平米')
('https://image1.ljcdn.com/210100-inspection/9e8b3727-6d7a-4b49-9243-0bac44249e76.jpg.296x216.jpg', '万科城一期 东南朝向 采光充足 视野好', '万科城一期  | 2室1厅 | 94.24平米 | 东南 | 其他', '高楼层(共11层)2006年建板楼  -  和平区', '185万', '单价19631元/平米')
('https://image1.ljcdn.com/210100-inspection/81620195-25a6-473f-935d-1bfbb3997708.jpg.296x216.jpg', '长白 万科城华府 南北通透 精装修 全明户型 采光佳', '万科城五期  | 3室1厅 | 135平米 | 东 南 北 | 其他', '低楼层(共34层)2009年建板楼  -  和平区', '265万', '单价19630元/平米')
('https://image1.ljcdn.com/210100-inspection/187b6f2e-9f87-4687-a217-5e103464b4ae.jpg.296x216.jpg', '长白岛 远洋康桥郡 精装修两室 可使用面积大', '远洋康桥郡  | 2室2厅 | 91.86平米 | 东南 | 其他', '低楼层(共18层)2011年建板楼  -  和平区', '168万', '单价18289元/平米')
('https://image1.ljcdn.com/210100-inspection/9d942c7b-8a98-4a4b-90e8-b8dc179aac89.JPG.296x216.jpg', '汇景新世界 2室2厅 228万', '汇景新世界  | 2室2厅 | 114平米 | 南 北 | 精装', '高楼层(共33层)2012年建板楼  -  和平区', '228万', '单价20000元/平米')
('https://image1.ljcdn.com/210100-inspection/309940a6-20ca-4178-94f3-0e034c7911f4.jpg.296x216.jpg', '中海国际社区 两南两北卧室 精装修保持好 拎包入住', '中海国际社区三期明珠  | 4室2厅 | 164.94平米 | 南 北 | 精装', '高楼层(共33层)2012年建板楼  -  和平区', '330万', '单价20008元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadc422071f-2517-4d25-873b-f05c2b464a23.jpg.296x216.jpg', '长白万科鹿特丹 原精装 保持新 楼层好  南北通透', '万科鹿特丹  | 3室2厅 | 140平米 | 南 北 | 其他', '中楼层(共31层)2016年建板楼  -  和平区', '260万', '单价18572元/平米')
('https://image1.ljcdn.com/210100-inspection/6718e6ae-d68b-402b-ba92-203209e56581.jpg.296x216.jpg', '长白岛  龙湖唐宁ONE  两室两厅精装修  看房方便', '龙湖唐宁ONE  | 2室2厅 | 82平米 | 南 北 | 其他', '低楼层(共33层)2018年建板楼  -  和平区', '150万', '单价18293元/平米')
('https://image1.ljcdn.com/210100-inspection/fd61a5eb-3948-4cb3-b998-86f61f86e144.JPG.296x216.jpg', '长白岛中海国际社区一期满五精装修', '中海国际社区一期  | 4室2厅 | 137平米 | 南 北 | 其他', '低楼层(共33层)2009年建板楼  -  和平区', '230万', '单价16789元/平米')
('https://image1.ljcdn.com/210100-inspection/f33fc857-a436-491e-a34c-62e497d2bfc8.JPG.296x216.jpg', '新世界湾景华庭 南北四室 简单装修 前排河景', '新世界花园湾景华庭  | 4室2厅 | 266平米 | 南 北 | 简装', '中楼层(共19层)2007年建板楼  -  和平区', '580万', '单价21805元/平米')
('https://image1.ljcdn.com/210100-inspection/c518043b-21ae-4c81-94d2-9954edb79fc8.jpg.296x216.jpg', '长岛壹号 1室1厅 101万', '长岛壹号  | 1室1厅 | 59.9平米 | 东南 | 其他', '中楼层(共48层)2010年建塔楼  -  和平区', '101万', '单价16862元/平米')
('https://image1.ljcdn.com/210100-inspection/dd7a0705-4541-4746-bb6c-0580bd4a3b6a.jpg.296x216.jpg', '长白岛 吉顺家园 三室两卫 中间楼层 全天采光', '吉顺家园  | 3室2厅 | 143.76平米 | 南 北 | 精装', '中楼层(共7层)2001年建板楼  -  和平区', '158万', '单价10991元/平米')
('https://image1.ljcdn.com/210100-inspection/6247b31a-bc09-4ce1-a8e0-897fd9dd6cc3.JPG.296x216.jpg', '长白岛南  九洲御府 两室南北通透  采光好', '九洲御府  | 2室2厅 | 88.79平米 | 南 北 | 精装', '低楼层(共31层)2016年建板楼  -  和平区', '90万', '单价10137元/平米')
('https://image1.ljcdn.com/210100-inspection/8c9d84cb-cb0a-46ed-b024-3158acb1c3d9.JPG.296x216.jpg', '雅宾利花园一期，105平，精装修三室，看房方便', '雅宾利花园  | 3室1厅 | 105.52平米 | 东北 | 其他', '低楼层(共34层)2010年建板楼  -  和平区', '130万', '单价12320元/平米')
('https://image1.ljcdn.com/210100-inspection/ba565bfa-d662-42f4-b492-574af9ae04c5.JPG.296x216.jpg', '精装 南北通透 两室 世茂新五里河', '世茂新五里河  | 2室2厅 | 111.4平米 | 南 北 | 精装', '高楼层(共54层)2016年建板楼  -  和平区', '180万', '单价16158元/平米')
('https://image1.ljcdn.com/210100-inspection/6014cd45-7584-4d59-aaf9-1031077d89bb.jpg.296x216.jpg', '中海国际社区四期 2室2厅 180万', '中海国际社区四期  | 2室2厅 | 96.31平米 | 南 北 | 其他', '中楼层(共33层)2015年建板楼  -  和平区', '180万', '单价18690元/平米')
('https://image1.ljcdn.com/210100-inspection/ac9325ff-bf62-42f7-9627-de534cf12387.jpg.296x216.jpg', '富海澜湾半岛 3室2厅 190万', '富海澜湾半岛  | 3室2厅 | 123平米 | 南 北 | 精装', '低楼层(共34层)2014年建板塔结合  -  和平区', '190万', '单价15448元/平米')
('https://image1.ljcdn.com/210100-inspection/e7969bc7-30cf-4370-8e57-a43822769a8b.jpg.296x216.jpg', '长白岛 中海国际社区学府 精装修三室 双南卧 大露台', '中海国际社区三期学府  | 3室2厅 | 128.68平米 | 南 北 | 精装', '低楼层(共18层)2013年建板楼  -  和平区', '245万', '单价19040元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploade4787e15-e935-4125-8b16-cbb8bd034b14.jpg.296x216.jpg', '长白 远洋天地 精装两室 南北通透', '远洋天地  | 2室2厅 | 92平米 | 南 北 | 其他', '高楼层(共33层)2008年建板楼  -  和平区', '145万', '单价15761元/平米')
('https://image1.ljcdn.com/210100-inspection/090e860a-1747-477b-a72e-0543db6fda02.jpg.296x216.jpg', '华润幸福里 2室2厅 230万', '华润幸福里  | 2室2厅 | 92.96平米 | 南 北 | 其他', '高楼层(共24层)板楼  -  和平区', '230万', '单价24742元/平米')
('https://image1.ljcdn.com/210100-inspection/3668fd23-e718-46db-bcc6-a3fdfb4f250c.jpg.296x216.jpg', '长白岛 龙湖唐宁 精装洋房三室 满二 看房方便 带车位', '龙湖唐宁ONE  | 3室2厅 | 129.75平米 | 南 北 | 其他', '高楼层(共4层)暂无数据  -  和平区', '350万', '单价26975元/平米')
('https://image1.ljcdn.com/210100-inspection/1a5b5536-79ba-42b9-96ca-133dc9de7f96.JPG.296x216.jpg', '封闭园区 物业管理周到 景色宜人 户型方正', '新世界花园湾景华庭  | 4室2厅 | 207.94平米 | 南 北 | 精装', '低楼层(共23层)2007年建板楼  -  和平区', '414万', '单价19910元/平米')
('https://image1.ljcdn.com/210100-inspection/02e071c6-c70b-45b0-8347-a37f62953660.jpg.296x216.jpg', '万科城三期 1室1厅 140万', '万科城三期  | 1室1厅 | 62平米 | 南 | 其他', '低楼层(共26层)2006年建板塔结合  -  和平区', '140万', '单价22581元/平米')
('https://image1.ljcdn.com/210100-inspection/ce4e76d6-afb3-4c81-9893-bb7ab3932b4e.jpg.296x216.jpg', '长白富海澜湾半岛 精装大两室 南北通透 没住过 采光好', '富海澜湾半岛  | 2室2厅 | 98平米 | 南 北 | 精装', '高楼层(共33层)2014年建板塔结合  -  和平区', '138万', '单价14082元/平米')
('https://image1.ljcdn.com/210100-inspection/bfbf7788-78ac-4ca4-ad80-090cc6dc1915.jpg.296x216.jpg', '长白岛 精装修 两居室 拎包入住 视野采光好 看房方便', '远洋天地  | 2室2厅 | 96平米 | 南 北 | 其他', '高楼层(共32层)2008年建板楼  -  和平区', '175万', '单价18230元/平米')
('https://image1.ljcdn.com/210100-inspection/39648b54-e468-4765-b6f0-bbb90781c973.jpg.296x216.jpg', '长白新加坡城 两室南北通透 精装修 低楼层 看房方便', '新加坡城  | 2室2厅 | 103.27平米 | 南 北 | 其他', '低楼层(共33层)2012年建板楼  -  和平区', '140万', '单价13557元/平米')
('https://image1.ljcdn.com/210100-inspection/8321ef25-86b2-46f4-99ba-f75342d8acc5.JPG.296x216.jpg', '长白岛 中海和平之门一期 精装两室 南北通透 采光充足', '中海和平之门  | 2室2厅 | 83平米 | 南 北 | 其他', '中楼层(共34层)2016年建板楼  -  和平区', '136万', '单价16386元/平米')
('https://image1.ljcdn.com/210100-inspection/04e7ff22-8871-46f7-b856-aad8ace0239a.jpg.296x216.jpg', '万科城一期 三室南北 洋房 带有花园', '万科城一期  | 3室2厅 | 167平米 | 南 北 | 其他', '低楼层(共4层)2006年建板楼  -  和平区', '395万', '单价23653元/平米')
('https://image1.ljcdn.com/210100-inspection/a534ffe6-f178-4d10-93ec-e7081fc50122.jpg.296x216.jpg', '长白岛  远洋天地 精装 南北两室 拎包入住', '远洋天地  | 2室2厅 | 95.73平米 | 南 北 | 其他', '高楼层(共32层)2008年建板楼  -  和平区', '185万', '单价19326元/平米')
('https://image1.ljcdn.com/210100-inspection/992aa3e4-8c5b-4e7f-a748-9daf634ad9a9.JPG.296x216.jpg', '交通方便  南北通透  满五 业主诚心出售', '沈安小区  | 2室2厅 | 101.2平米 | 南 北 | 简装', '高楼层(共8层)板楼  -  和平区', '63万', '单价6226元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload48fa0216-ef71-4944-a738-1667fce6d043.jpg.296x216.jpg', '中海和平之门二期 三室两厅两卫 精装修', '中海和平之门  | 3室2厅 | 140平米 | 南 北 | 精装', '高楼层(共34层)2016年建板楼  -  和平区', '245万', '单价17500元/平米')
('https://image1.ljcdn.com/210100-inspection/ec3beb97-d780-4557-b459-b565a3190a69.jpg.296x216.jpg', '和平区长白岛外滩叁号 精装两室 中间层 采光特好', '外滩叁号  | 2室1厅 | 67.87平米 | 西南 | 其他', '高楼层(共32层)板楼  -  和平区', '120万', '单价17681元/平米')
('https://image1.ljcdn.com/210100-inspection/edb88973-a377-4f64-b3f0-f59c43683bdb.jpg.296x216.jpg', '长白岛万科城二期 上下跃层精装修', '万科城二期  | 2室2厅 | 148平米 | 南 | 其他', '高楼层(共34层)2006年建板塔结合  -  和平区', '280万', '单价18919元/平米')
('https://image1.ljcdn.com/210100-inspection/009ef81e-cb9b-40b9-90f4-fe4d745e02f8.JPG.296x216.jpg', '文萃路 三好街  南北通透 采光好 户型正', '艾特商务花园  | 3室2厅 | 202平米 | 南 北 | 精装', '高楼层(共23层)2003年建板楼  -  和平区', '96万', '单价4753元/平米')
('https://image1.ljcdn.com/210100-inspection/1ad35e5c-8540-4d5d-bed5-b37bd4223301.jpg.296x216.jpg', '长白岛地区 新加坡城 精装南向一室 看房方便', '新加坡城  | 1室1厅 | 61.3平米 | 南 | 其他', '中楼层(共24层)2012年建板楼  -  和平区', '87万', '单价14193元/平米')
('https://image1.ljcdn.com/210100-inspection/1f627ff1-27a3-4b51-9c5c-d1851e1d8bdd.JPG.296x216.jpg', '尚景新世界  精装修  园区中间  不挡光', '尚景新世界  | 1室1厅 | 76平米 | 南 | 精装', '低楼层(共33层)板楼  -  和平区', '170万', '单价22369元/平米')
('https://image1.ljcdn.com/210100-inspection/27724d0c-d669-421d-8cf1-11ca3fab4b76.jpg.296x216.jpg', '长白富海蓝湾半岛 南北通透 精装三室 采光充足', '富海澜湾半岛  | 3室2厅 | 124平米 | 南 北 | 其他', '高楼层(共34层)2014年建板塔结合  -  和平区', '195万', '单价15726元/平米')
('https://image1.ljcdn.com/210100-inspection/514a841e-0ad6-407b-9f4e-a0717259f5c4.jpg.296x216.jpg', '长白岛 户型方正 南北通透标准户型 房子翻新过', '翰逸华园  | 2室1厅 | 88.16平米 | 南 北 | 精装', '高楼层(共6层)2008年建板楼  -  和平区', '110万', '单价12478元/平米')
('https://image1.ljcdn.com/210100-inspection/731feb1f-119e-40f4-8a48-2ef2c94ff9d1.jpg.296x216.jpg', '九洲湾景汇 5室2厅 225万', '九洲湾景汇  | 5室2厅 | 145平米 | 南 北 | 其他', '低楼层(共6层)2014年建板楼  -  和平区', '225万', '单价15518元/平米')
('https://image1.ljcdn.com/210100-inspection/da130f47-b95f-47cb-a039-2e7cf311e781.jpg.296x216.jpg', '新加坡城 3室2厅 260万', '新加坡城  | 3室2厅 | 143.78平米 | 南 北 | 其他', '中楼层(共6层)2012年建板楼  -  和平区', '260万', '单价18084元/平米')
('https://image1.ljcdn.com/210100-inspection/4040c03c-df08-4437-9b30-cecc0258fe29.JPG.296x216.jpg', '万锦和平里 2室1厅 97万', '万锦和平里  | 2室1厅 | 68平米 | 西北 | 其他', '中楼层(共31层)塔楼  -  和平区', '97万', '单价14265元/平米')
('https://image1.ljcdn.com/210100-inspection/d3e272c9-37dc-440e-a559-5fc209f3ff92.jpg.296x216.jpg', '长白岛 半岛公馆 四室两卫 精装修 全天采光', '半岛公馆  | 4室2厅 | 231平米 | 南 北 | 精装', '中楼层(共21层)2015年建板楼  -  和平区', '460万', '单价19914元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload2d394d3c-4e51-44ad-b8d7-a6b3d33e2a51.jpg.296x216.jpg', '和平区 长白岛 吉顺家园 满5年 交通便利 随时看房', '吉顺家园  | 2室2厅 | 80.25平米 | 南 西 北 | 其他', '高楼层(共6层)2001年建板楼  -  和平区', '100万', '单价12462元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload7ca0c46a-8eed-4a98-8d54-e2e40e3cca69.JPG.296x216.jpg', '新加坡城精装修 南北通透 采光充足', '新加坡城  | 2室1厅 | 96.8平米 | 南 北 | 精装', '中楼层(共24层)2012年建板楼  -  和平区', '122万', '单价12604元/平米')
('https://image1.ljcdn.com/210100-inspection/88823d63-abe5-4600-80d4-04b48df4ddac.jpg.296x216.jpg', '奕聪花园，中间楼层，清水现房，视野好，南北标户', '奕聪花园  | 3室2厅 | 182.13平米 | 南 北 | 其他', '中楼层(共48层)板楼  -  和平区', '368万', '单价20206元/平米')
('https://image1.ljcdn.com/210100-inspection/efba6a1b-916e-4843-98a9-d162e12a52e8.jpg.296x216.jpg', '中海国际社区一期 双阳两居 家具家电齐全 拎包入住', '中海国际社区一期  | 2室2厅 | 89.9平米 | 南 | 简装', '高楼层(共33层)2009年建板楼  -  和平区', '145万', '单价16130元/平米')
('https://image1.ljcdn.com/210100-inspection/473bfca0-3e1b-4a3d-b653-bae8b7239d60.jpg.296x216.jpg', '格林生活坊三期 2室1厅 125万', '格林生活坊三期  | 2室1厅 | 68.77平米 | 南 | 其他', '低楼层(共31层)2008年建板楼  -  和平区', '125万', '单价18177元/平米')
('https://image1.ljcdn.com/210100-inspection/2ac8c387-8d7a-4699-a48b-f6c02b5ac51d.jpg.296x216.jpg', '万科城五期 精装 南北两卫三室', '万科城五期  | 3室2厅 | 134.46平米 | 西南 北 | 精装', '低楼层(共34层)2009年建板楼  -  和平区', '270万', '单价20081元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload9d57737d-99c6-46b2-86df-d71162450234.jpg.296x216.jpg', '万科城一期 3室2厅 400万', '万科城一期  | 3室2厅 | 162平米 | 南 北 | 其他', '低楼层(共4层)2006年建板楼  -  和平区', '400万', '单价24692元/平米')
('https://image1.ljcdn.com/210100-inspection/a03204cf-abdd-48be-8510-88bddd1b1887.jpg.296x216.jpg', '长白新加坡城精装修三室拎包就住 南北通透', '新加坡城  | 3室2厅 | 127.7平米 | 南 北 | 其他', '中楼层(共33层)2012年建板楼  -  和平区', '190万', '单价14879元/平米')
('https://image1.ljcdn.com/210100-inspection/e96e33f7-e1cb-47ee-8cde-04901d446ec9.jpg.296x216.jpg', '格林生活坊三期 2室1厅 120万', '格林生活坊三期  | 2室1厅 | 73平米 | 西 | 其他', '中楼层(共31层)2008年建板楼  -  和平区', '120万', '单价16439元/平米')
('https://image1.ljcdn.com/210100-inspection/ddda34dc-e150-4004-b1e4-923b90afe7ba.JPG.296x216.jpg', '南北3室 房主急售 看房方便 不顶楼 不临街', '文安路社区  | 3室1厅 | 91平米 | 南 北 | 简装', '中楼层(共7层)2000年建板楼  -  和平区', '68万', '单价7473元/平米')
('https://image1.ljcdn.com/210100-inspection/e180b3fa-b8f8-4be3-9a28-ab13326ef069.jpg.296x216.jpg', '新加坡城 2室2厅 133万', '新加坡城  | 2室2厅 | 87.86平米 | 南 北 | 其他', '高楼层(共33层)2012年建板楼  -  和平区', '133万', '单价15138元/平米')
('https://image1.ljcdn.com/210100-inspection/d36d06e8-4087-4aa6-8b1b-4c7dacc51cd0.JPG.296x216.jpg', '御景新世界  前排  业主精心装修   有车位', '御景新世界  | 3室2厅 | 198平米 | 南 北 | 精装', '低楼层(共32层)2014年建板楼  -  和平区', '568万', '单价28687元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload4e0b0c95-5b3a-4198-8018-d4c34e21ff09.jpg.296x216.jpg', '长白岛商圈 中航城两河流域一期 3室 南北通透', '中航城两河流域  | 3室2厅 | 105.1平米 | 南 北 | 毛坯', '低楼层(共34层)板楼  -  和平区', '180万', '单价17127元/平米')
('https://image1.ljcdn.com/210100-inspection/05eb5b3c-939e-4aab-b744-e78b598a9302.jpg.296x216.jpg', '新上 2室 精装修 保持好 落地窗 明厨明卫 赠家具家电', '新加坡城  | 2室2厅 | 95.4平米 | 南 北 | 其他', '中楼层(共6层)2012年建板楼  -  和平区', '155万', '单价16248元/平米')
('https://image1.ljcdn.com/210100-inspection/ce2b8a19-a8f5-4661-ba09-11bf570c0404.JPG.296x216.jpg', '长白岛 中海二期 南北通透 精装修  拎包住 全天采光', '中海国际社区二期  | 4室2厅 | 225平米 | 南 北 | 其他', '中楼层(共33层)2011年建板楼  -  和平区', '450万', '单价20000元/平米')
('https://image1.ljcdn.com/210100-inspection/f425df1e-f662-482f-9568-e6d4edec39fa.JPG.296x216.jpg', '世茂新五里河 5室4厅 258万', '世茂新五里河  | 5室4厅 | 110平米 | 南 北 | 其他', '低楼层(共54层)2016年建板楼  -  和平区', '258万', '单价23455元/平米')
('https://image1.ljcdn.com/210100-inspection/9d92cf15-7369-4dc3-b832-909f41d9bc20.jpg.296x216.jpg', '万科城三期 1室1厅 130万', '万科城三期  | 1室1厅 | 58.82平米 | 西北 | 其他', '低楼层(共26层)2006年建板塔结合  -  和平区', '130万', '单价22102元/平米')
('https://image1.ljcdn.com/210100-inspection/3655a1dd-f118-4a04-a8cb-f48257f91792.jpg.296x216.jpg', '长白岛万科城四期 小高层 精装修', '万科城四期  | 3室2厅 | 156.43平米 | 南 北 | 精装', '高楼层(共8层)2009年建板楼  -  和平区', '400万', '单价25571元/平米')
('https://image1.ljcdn.com/210100-inspection/2cd94e18-d745-4035-ad38-ce234e5ce834.jpg.296x216.jpg', '万科城三期 3室2厅 180万', '万科城三期  | 3室2厅 | 100平米 | 西北 | 其他', '中楼层(共26层)2006年建板塔结合  -  和平区', '180万', '单价18000元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload9d585e0b-3c86-43c4-802c-39afa2abfea2.jpg.296x216.jpg', '长白 汇锦华府 婚装南北通透户型 不临街不把山', '汇锦华府  | 2室1厅 | 87.65平米 | 南 北 | 其他', '低楼层(共34层)2016年建板楼  -  和平区', '135万', '单价15403元/平米')
('https://image1.ljcdn.com/210100-inspection/786cf1fb-5bc9-404a-826d-dc7433f7ab4a.JPG.296x216.jpg', '中海国际社区二期 2室2厅 155万', '中海国际社区二期  | 2室2厅 | 89平米 | 南 | 其他', '低楼层(共33层)2011年建板楼  -  和平区', '155万', '单价17416元/平米')
('https://image1.ljcdn.com/210100-inspection/1c24c161-2531-492f-a37b-ba837ebf36a5.JPG.296x216.jpg', '长白岛 远洋和平府 三室 有赠阳台10平', '远洋和平府  | 3室2厅 | 94.28平米 | 西南 | 其他', '低楼层(共33层)2011年建板楼  -  和平区', '150万', '单价15911元/平米')
('https://image1.ljcdn.com/210100-inspection/a1e60884-9165-41c8-93e7-2588cc2d7854.JPG.296x216.jpg', '长白中海国际社区南向满五采光好', '中海国际社区一期  | 2室2厅 | 91.27平米 | 南 | 其他', '高楼层(共33层)2009年建板楼  -  和平区', '160万', '单价17531元/平米')
('https://image1.ljcdn.com/210100-inspection/b75d0ebf-e537-457b-84b5-1845935db603.jpg.296x216.jpg', '半岛公馆 长白岛内  精装大三室  送车位  无大税', '半岛公馆  | 3室2厅 | 192.72平米 | 东 南 北 | 精装', '中楼层(共21层)2015年建板楼  -  和平区', '340万', '单价17643元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload07180e4a-096f-416c-9174-a6adaf287766.jpg.296x216.jpg', '长白滨河湾  单价低  公摊小  精装修三室', '滨河湾一期  | 3室2厅 | 130平米 | 南 北 | 精装', '高楼层(共6层)2008年建板楼  -  和平区', '115万', '单价8847元/平米')
('https://image1.ljcdn.com/210100-inspection/774ebda5-22b9-4315-8aae-56156f7ff4a7.jpg.296x216.jpg', '和泓国际 2室2厅 138万', '和泓国际  | 2室2厅 | 92.28平米 | 南 北 | 其他', '低楼层(共33层)2011年建板楼  -  和平区', '138万', '单价14955元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload7e358cca-23e6-47be-b49c-731b98e81df9.jpg.296x216.jpg', '格林生活坊二期 3室1厅 172万', '格林生活坊二期  | 3室1厅 | 115.55平米 | 南 北 | 其他', '低楼层(共29层)2008年建板楼  -  和平区', '172万', '单价14886元/平米')
('https://image1.ljcdn.com/210100-inspection/22813e7b-0d49-4a8f-8a15-6196918a1e5a.jpg.296x216.jpg', '长白 龙湖唐宁ONE 洋房 清水 视野好 采光好', '龙湖唐宁ONE  | 3室2厅 | 115.54平米 | 南 北 | 其他', '高楼层(共6层)2016年建板楼  -  和平区', '255万', '单价22071元/平米')
('https://image1.ljcdn.com/210100-inspection/2cd76b33-40a4-4366-88bf-32eecfd90572.jpg.296x216.jpg', '万科城三期 1室1厅 135万', '万科城三期  | 1室1厅 | 58平米 | 东北 | 其他', '低楼层(共26层)2006年建板塔结合  -  和平区', '135万', '单价23276元/平米')
('https://image1.ljcdn.com/210100-inspection/9d79daab-ad54-49fc-bab3-1db73cbea88b.jpg.296x216.jpg', '金源新村 市图书馆 位置好 交通便利 顶楼花园', '金源新村  | 2室2厅 | 118.9平米 | 南 北 | 简装', '高楼层(共7层)1999年建板楼  -  和平区', '85万', '单价7149元/平米')
('https://image1.ljcdn.com/210100-inspection/b635eef0-0c74-4ded-a06b-c3c6651bd29b.jpg.296x216.jpg', '长白万科鹿特丹 毛坯房 两室两厅 看房方便 带花园', '万科鹿特丹  | 2室2厅 | 121.68平米 | 南 北 | 其他', '低楼层(共31层)2016年建板楼  -  和平区', '240万', '单价19724元/平米')
('https://image1.ljcdn.com/210100-inspection/2806d09c-2071-4adc-860d-085827bd64ba.JPG.296x216.jpg', '御景新世界 前排一线河景 视野好 诚心出售', '御景新世界  | 2室2厅 | 98.76平米 | 南 | 毛坯', '高楼层(共32层)板楼  -  和平区', '259万', '单价26226元/平米')
('https://image1.ljcdn.com/210100-inspection/88cb86f1-9386-45c5-9c16-d3abedbdcdb0.JPG.296x216.jpg', '金碧花园 3室2厅 82万', '金碧花园  | 3室2厅 | 122.43平米 | 南 北 | 其他', '高楼层(共7层)2000年建板塔结合  -  和平区', '82万', '单价6698元/平米')
('https://image1.ljcdn.com/210100-inspection/69524d39-9b24-4193-a28e-f2b512782567.jpg.296x216.jpg', '长白岛 中海和平之门二期 精装两室 南北通透 采光充足', '中海和平之门  | 2室2厅 | 77.15平米 | 南 北 | 精装', '中楼层(共33层)2016年建板楼  -  和平区', '145万', '单价18795元/平米')
('https://image1.ljcdn.com/210100-inspection/fb9382bf-c3cf-4413-a940-0b64fafed05f.jpg.296x216.jpg', '新世界澔景 精装修两室 不挡光 诚心出售', '新世界花园澔景华庭  | 2室2厅 | 96.51平米 | 南 | 其他', '低楼层(共13层)2003年建板楼  -  和平区', '150万', '单价15543元/平米')
('https://image1.ljcdn.com/210100-inspection/09bb0f99-44c5-4128-8eca-5ea6bbb9686e.JPG.296x216.jpg', '三好街  艾特商务花园   经典小户型', '艾特商务花园  | 1室1厅 | 28平米 | 北 | 其他', '高楼层(共23层)2003年建板楼  -  和平区', '13万', '单价4643元/平米')
('https://image1.ljcdn.com/210100-inspection/aa2edff4-d002-48ef-853e-95471e8ac20c.JPG.296x216.jpg', '尚景新世界 精装三阳户型 视野开阔 可看河 望湖路南昌', '尚景新世界  | 2室2厅 | 102平米 | 南 | 精装', '高楼层(共33层)板楼  -  和平区', '268万', '单价26275元/平米')
('https://image1.ljcdn.com/210100-inspection/13d721e4-fb83-49db-8d4f-ade87ca10167.jpg.296x216.jpg', '九洲御府 2室1厅 95万', '九洲御府  | 2室1厅 | 88.04平米 | 南 北 | 其他', '低楼层(共32层)2014年建板楼  -  和平区', '95万', '单价10791元/平米')
('https://image1.ljcdn.com/210100-inspection/0c433de3-e0e5-422b-83e1-4ed482042816.JPG.296x216.jpg', '文安路 金碧花园 三居室 南北通透', '金碧花园  | 3室2厅 | 93.45平米 | 南 北 | 简装', '高楼层(共7层)2000年建板塔结合  -  和平区', '71万', '单价7598元/平米')
('https://image1.ljcdn.com/210100-inspection/00b2cbb7-91dd-4989-a057-019e037bfa62.jpg.296x216.jpg', '格林生活坊一期 3室2厅 259万', '格林生活坊一期  | 3室2厅 | 214.54平米 | 南 北 | 其他', '高楼层(共15层)2009年建板楼  -  和平区', '259万', '单价12073元/平米')
('https://image1.ljcdn.com/210100-inspection/6b620b17-bb7f-4474-bff3-735a02173318.JPG.296x216.jpg', '万锦和平里 1室0厅 85万', '万锦和平里  | 1室0厅 | 48.56平米 | 西 北 | 其他', '中楼层(共31层)塔楼  -  和平区', '85万', '单价17505元/平米')
('https://image1.ljcdn.com/210100-inspection/71a55ceb-d741-4839-8dd1-dcb3cecdd5ac.JPG.296x216.jpg', '通达新村正规三居 南北通透 交通便利', '通达新村  | 3室2厅 | 129平米 | 南 北 | 精装', '高楼层(共6层)板楼  -  和平区', '130万', '单价10078元/平米')
('https://image1.ljcdn.com/210100-inspection/10bfc650-8ace-45ee-8e02-0aed498ccf09.JPG.296x216.jpg', '中海一期 中间楼层 自住装修 全明户型 适合改善', '中海国际社区一期  | 3室2厅 | 130平米 | 南 北 | 其他', '中楼层(共33层)2009年建板楼  -  和平区', '225万', '单价17308元/平米')
('https://image1.ljcdn.com/210100-inspection/711585f9-a89b-485e-8598-7a4891956cc0.jpg.296x216.jpg', '长白岛 远洋天地 标准三室 精装修', '远洋天地  | 3室2厅 | 126平米 | 南 北 | 其他', '高楼层(共34层)2008年建板楼  -  和平区', '218万', '单价17302元/平米')
('https://image1.ljcdn.com/210100-inspection/b099e424-2f24-4312-8963-4be7709dfc73.JPG.296x216.jpg', '世茂新五里河 2室2厅 240万', '世茂新五里河  | 2室2厅 | 193.04平米 | 南 北 | 精装', '低楼层(共58层)2016年建板楼  -  和平区', '240万', '单价12433元/平米')
('https://image1.ljcdn.com/210100-inspection/98bf3833-e40d-4c5a-9652-224ed2c455b1.JPG.296x216.jpg', '长白中海国社一期 南向两居室 中间楼层', '中海国际社区一期  | 2室2厅 | 90平米 | 南 | 精装', '中楼层(共33层)2009年建板楼  -  和平区', '160万', '单价17778元/平米')
