('https://image1.ljcdn.com/510100-inspection/test-2895d2af-f5a8-4878-b3ba-329c510a4f6b.png.296x216.jpg', '校园路交大卡布里城标准装修套一', '交大卡布里城  | 1室1厅 | 50.59平米 | 南 | 其他 | 有电梯', '中楼层(共25层)2008年建板塔结合  -  犀浦', '62万', '单价12256元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload888f7c9c-453b-4b85-b47d-4dac7c5c74c7.jpg.296x216.jpg', '龙城国际套三双卫劲爆出售。。。', '龙城国际  | 3室2厅 | 109.04平米 | 东南 | 其他 | 有电梯', '低楼层(共33层)2013年建板塔结合  -  橡树湾', '149万', '单价13665元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3a9bf474-e55e-47f3-9f63-abd47e6a838e.png.296x216.jpg', '府河御景+套三双卫+有家具家电+中间楼层', '府河御景  | 3室2厅 | 110.8平米 | 南 | 其他 | 无电梯', '中楼层(共6层)2008年建板楼  -  犀浦', '105万', '单价9477元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload2a37a4cd-4d64-4b9e-b90b-df2215f770fa.jpg.296x216.jpg', '装修套二 户型方正 采光好 看房约', '丽阳春天  | 2室2厅 | 93平米 | 南 | 其他 | 无电梯', '低楼层(共6层)板楼  -  郫县城区', '75万', '单价8065元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload7bd07cbb-57f9-422f-8836-117bb6b48d1c.jpg.296x216.jpg', '四季豪廷94平米带装修套二，带室内家具家电出售', '四季豪廷  | 2室2厅 | 94.5平米 | 东南 | 其他 | 有电梯', '高楼层(共30层)2010年建板塔结合  -  郫县城区', '118万', '单价12487元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ad816700-2588-4bc2-9d79-a811ac1a1df2.png.296x216.jpg', '置信逸都D区+装修套三单卫+拎包入住', '置信逸都D区  | 3室1厅 | 93.58平米 | 西北 | 其他 | 有电梯', '低楼层(共33层)2014年建板塔结合  -  郫县万达', '110万', '单价11755元/平米')
('https://image1.ljcdn.com/510100-inspection/3355b2bb-cc50-4a8c-bbc2-042d3d7a93ae.JPG.296x216.jpg', '华邑阳光里套四 中间楼层 视野开阔 满两年 对中庭', '华邑阳光里  | 4室2厅 | 97.55平米 | 东南 | 其他 | 有电梯', '低楼层(共30层)2015年建板塔结合  -  犀浦', '170万', '单价17427元/平米')
('https://image1.ljcdn.com/510100-inspection/eaa302cd-ef28-4d12-82c6-6725315bee3e.jpg.296x216.jpg', '联排别墅 前后带花园 朝南户型方正采光好', '绿地圣罗兰  | 5室3厅 | 338平米 | 东南 | 其他 | 无电梯', '低楼层(共1层)2012年建板塔结合  -  郫县城区', '450万', '单价13314元/平米')
('https://image1.ljcdn.com/510100-inspection/d166a31a-6ad2-4d06-96d8-8febc3cc8773.jpg.296x216.jpg', '今日田园，套五四卫，有装修，带花园', '今日田园   | 独栋别墅 | 5室2厅 | 377.69平米 | 南 | 其他', '3层暂无数据  -  郫县城区', '500万', '单价13239元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b52487dc-d5e0-4b99-8486-c3ad2cd0afa1.png.296x216.jpg', '户型方正 采光充足 满两年 底楼带平台  位置好', '金铺苑小区  | 3室2厅 | 124.56平米 | 东南 | 其他', '低楼层(共6层)暂无数据  -  犀浦', '137.5万', '单价11039元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5553b92e-9acb-46ef-b9f0-602176f6801b.png.296x216.jpg', '龙城国际+三房双卫+阔景双阳台+精装修', '龙城国际  | 3室2厅 | 97平米 | 东 | 其他 | 有电梯', '高楼层(共33层)2013年建板塔结合  -  橡树湾', '167万', '单价17217元/平米')
('https://image1.ljcdn.com/510100-inspection/test-de30553c-a9cf-4f85-9abe-f40ef744d275.png.296x216.jpg', '上善天成二期 3室2厅 125万', '上善天成二期  | 3室2厅 | 114平米 | 东南 | 其他 | 有电梯', '高楼层(共11层)塔楼  -  红光', '125万', '单价10965元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload36137c46-094c-40ca-a8e6-fbd15228bc9e.JPG.296x216.jpg', '怡景城市花苑，装修套二单卫，户型方正，视野好。', '怡景城市花苑  | 2室1厅 | 53.91平米 | 东南 | 精装 | 有电梯', '低楼层(共26层)2013年建板塔结合  -  犀浦', '78万', '单价14469元/平米')
('https://image1.ljcdn.com/510100-inspection/340bc18c-6ebe-46d1-bbc1-71c06bf9d317.jpg.296x216.jpg', '中信未来城 标准套二 视野开阔 采光好', '中信未来城南区  | 2室1厅 | 79.08平米 | 西南 | 简装 | 有电梯', '高楼层(共33层)2013年建塔楼  -  郫县城区', '105万', '单价13278元/平米')
('https://image1.ljcdn.com/510100-inspection/febce4de-2880-44d9-844c-10000b40605b.jpg.296x216.jpg', '海骏达装修套三  带品牌家具家电', '海骏达蜀都1号一期北区  | 3室2厅 | 93.24平米 | 南 | 其他 | 有电梯', '中楼层(共25层)2013年建塔楼  -  郫县城区', '140万', '单价15016元/平米')
('https://image1.ljcdn.com/510100-inspection/test-47995c4c-aca0-4ca0-b69f-270b1ec8c5ef.png.296x216.jpg', '装修套三，小区环境优美，2梯4户，带车位', '上置雅宾利  | 3室2厅 | 81.5平米 | 东南 | 其他 | 有电梯', '中楼层(共24层)2016年建板楼  -  红光', '100万', '单价12270元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload90cbd186-309c-4792-91bd-ebf456cf603c.jpg.296x216.jpg', '海棠跃层，上下两层，采光充足 满二', '龙湖弗莱明戈二期  | 3室2厅 | 85.64平米 | 西南 | 其他 | 有电梯', '高楼层(共32层)2012年建板塔结合  -  郫县城区', '140万', '单价16348元/平米')
('https://image1.ljcdn.com/510100-inspection/cd3234e5-4c97-4fdb-ad24-5f721c224f65.jpg.296x216.jpg', '绿地上叠别墅 带平台花园 增送地下室 车库充足', '绿地圣罗兰  | 4室2厅 | 267.53平米 | 西南 | 其他 | 无电梯', '低楼层(共1层)2012年建板塔结合  -  郫县城区', '370万', '单价13831元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b0e8d287-060b-436e-8a94-6b8acefb23e6.png.296x216.jpg', '正成名城左岸清水大套二带大阳台厨房有生活阳台', '正成名城左岸  | 2室1厅 | 87.65平米 | 东南 | 其他 | 有电梯', '高楼层(共28层)2008年建塔楼  -  红光', '78万', '单价8900元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4e25215d-9e42-4c02-b19e-5c6f156291fe.png.296x216.jpg', '华润橡树湾A区三室两厅两卫。。', '华润橡树湾A区  | 3室2厅 | 79.07平米 | 东南 | 其他 | 有电梯', '中楼层(共34层)2013年建板塔结合  -  橡树湾', '142万', '单价17959元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1c062ef4-bfeb-42a6-b0ba-ee12efc57df2.png.296x216.jpg', '绿地国际花都+装修套三+户型方正', '绿地国际花都三期  | 3室2厅 | 82.38平米 | 东南 西南 | 其他 | 有电梯', '中楼层(共32层)2014年建板楼  -  郫县城区', '97万', '单价11775元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload232f67a2-00fd-4c7c-8364-10e419bb796e.jpg.296x216.jpg', '绿地国际花都 装修套二  户型方正', '绿地国际花都三期  | 2室2厅 | 74平米 | 东南 | 其他 | 有电梯', '高楼层(共25层)2014年建板楼  -  郫县城区', '81万', '单价10946元/平米')
('https://image1.ljcdn.com/510100-inspection/b175bd53-be98-493b-999e-70bc3aa8ca82.JPG.296x216.jpg', '锦苑三期现代精装修顶跃，看了您就会爱上它！', '锦苑三期  | 6室2厅 | 233.7平米 | 西南 | 精装 | 有电梯', '高楼层(共10层)2010年建板塔结合  -  犀浦', '360万', '单价15405元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0272b143-95f2-4c7c-8d07-7f7036e56fcc.png.296x216.jpg', '西都会居家简单装修+套二+满两年视野好', '西都会  | 2室2厅 | 63.45平米 | 东 | 其他', '中楼层(共19层)塔楼  -  郫县城区', '58万', '单价9142元/平米')
('https://image1.ljcdn.com/510100-inspection/7b8dc4fb-30bd-4ff1-94e0-ac875c6c733d.jpg.296x216.jpg', '崇兴小区居家装修套二，户型方正，采光好', '崇兴小区  | 2室1厅 | 71.05平米 | 东南 | 其他 | 无电梯', '高楼层(共7层)2000年建板楼  -  郫县万达', '47万', '单价6616元/平米')
('https://image1.ljcdn.com/510100-inspection/416f7d14-4fcc-4eed-ad7f-5f2d5f8b3ab93.jpg.296x216.jpg', '中信未来城临河临公园清水叠拼别墅', '中信未来城南区  | 5室3厅 | 270.55平米 | 西南 | 毛坯 | 有电梯', '低楼层(共6层)2013年建板楼  -  郫县城区', '650万', '单价24026元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploade3cd8faa-a902-427e-9a15-a81d87a7d8b6.JPG.296x216.jpg', '交大卡布里城 1室1厅 66万', '交大卡布里城  | 1室1厅 | 50.59平米 | 北 | 简装 | 有电梯', '中楼层(共25层)2008年建板塔结合  -  犀浦', '66万', '单价13047元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploadecb190f7-e617-418d-9c0f-a12674fdc482.jpg.296x216.jpg', '百草路万科旁，绿茵套三，看房预约，出行方便', '绿茵豪庭B区  | 3室1厅 | 129.83平米 | 西南 | 精装 | 有电梯', '中楼层(共11层)2008年建板楼  -  成外', '145万', '单价11169元/平米')
('https://image1.ljcdn.com/510100-inspection/2e2d7757-f5fc-4784-a21b-320b862eb475.jpg.296x216.jpg', '龙城国际 + 跃层公寓 + 视野开阔', '龙城国际  | 3室1厅 | 40.05平米 | 东南 | 其他 | 有电梯', '高楼层(共33层)2013年建板塔结合  -  橡树湾', '65万', '单价16230元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e77c4a65-eac7-4fae-8136-83aa63c3365e.png.296x216.jpg', '四季豪廷，清水房套三，中间楼层，南北通透', '四季豪廷  | 3室2厅 | 137.52平米 | 南 北 | 其他 | 有电梯', '中楼层(共27层)2010年建板塔结合  -  郫县城区', '160万', '单价11635元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2d4a4254-962c-44f9-8970-c1695b22c1ad.png.296x216.jpg', '华润橡树湾标准套二+满两年+居家装修', '华润橡树湾A区  | 2室2厅 | 52.55平米 | 东北 | 其他 | 有电梯', '低楼层(共34层)2013年建板塔结合  -  橡树湾', '105万', '单价19981元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b5a0ea63-ee3d-4677-b67f-8e76b3dd3b59.png.296x216.jpg', '华侨凤凰城 装修套三 客厅带阳台 西南朝向', '华侨凤凰国际城  | 3室2厅 | 93.03平米 | 东 | 其他 | 有电梯', '中楼层(共25层)2015年建板楼  -  郫县城区', '116万', '单价12470元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploada088a07a-d84e-4684-a976-1693e4dad43e.jpg.296x216.jpg', '山木居    套三单卫    房东自住', '山木居  | 3室2厅 | 101平米 | 西南 西 | 其他', '高楼层(共18层)板楼  -  红光', '108万', '单价10694元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ad84103f-cf58-47b2-8a1a-4f3f10a92c36.png.296x216.jpg', '傲城 3室2厅 125万', '傲城  | 3室2厅 | 89.08平米 | 东南 | 其他 | 有电梯', '低楼层(共31层)2015年建板楼  -  犀浦', '125万', '单价14033元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploadaf379899-7e24-4385-ada2-93c7cea051f5.jpg.296x216.jpg', '绿地一期+装修三房+拧包入住+单卫', '绿地国际花都一期  | 3室1厅 | 84.31平米 | 东北 | 其他 | 有电梯', '高楼层(共33层)2015年建塔楼  -  郫县城区', '105万', '单价12455元/平米')
('https://image1.ljcdn.com/510100-inspection/14e66546-b2a9-428e-a6d9-e5c97c5868a0.JPG.296x216.jpg', '幸福满庭装修标准套三户型，采光好动静分区。', '蓝光幸福满庭  | 3室1厅 | 71.28平米 | 东北 | 其他 | 有电梯', '中楼层(共26层)2015年建板塔结合  -  犀浦', '118万', '单价16555元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload10123be1-e1b3-46b3-8b8b-233feee6222f.jpg.296x216.jpg', '阳光小筑套一住宅 巴适的很。。', '阳光小筑二期  | 1室1厅 | 48.01平米 | 东南 | 其他 | 有电梯', '中楼层(共18层)2009年建塔楼  -  红光', '38万', '单价7916元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9acdd7db-9f95-4ebf-a99f-fcb89e52081a.png.296x216.jpg', '蓝光幸福满庭精装套二可变套三，带50平米自主使用平台', '蓝光幸福满庭  | 2室2厅 | 52平米 | 西南 | 其他 | 有电梯', '低楼层(共26层)2015年建板塔结合  -  犀浦', '99万', '单价19039元/平米')
('https://image1.ljcdn.com/510100-inspection/62496daa-9724-4fd6-907a-4ef84c02ec3d.jpg.296x216.jpg', '绿地国际花都三期+套二+客厅带阳台', '绿地国际花都三期  | 2室2厅 | 77.38平米 | 东南 | 其他 | 有电梯', '高楼层(共26层)2014年建板楼  -  郫县城区', '100万', '单价12924元/平米')
('https://image1.ljcdn.com/510100-inspection/efc1be3d-336b-467c-9a2e-ee2054ba8660.JPG.296x216.jpg', '跃层套四双卫，不临街，有装修，有家具家电', '华邑阳光里  | 4室2厅 | 79.48平米 | 东南 | 其他 | 有电梯', '中楼层(共28层)2015年建板塔结合  -  犀浦', '135万', '单价16986元/平米')
('https://image1.ljcdn.com/510100-inspection/test-174a9c1a-e529-49e1-95e0-5540fbdb88c0.png.296x216.jpg', '崇兴小区 2室1厅 42万', '崇兴小区  | 2室1厅 | 63.51平米 | 东南 | 其他 | 无电梯', '中楼层(共7层)2000年建板楼  -  郫县万达', '42万', '单价6614元/平米')
('https://image1.ljcdn.com/510100-inspection/80645c1a-30c8-4b1e-833c-bdc32aa44289.jpg.296x216.jpg', '电梯顶跃。11跃12带屋顶花园套四带两个平台。', '实久花园  | 4室2厅 | 164.18平米 | 南 北 | 其他 | 有电梯', '高楼层(共11层)2000年建板楼  -  郫县万达', '150万', '单价9137元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6018f476-a753-4609-850e-bc4b81a5bd64.png.296x216.jpg', '山木居装修房，满两年，采光通风好', '山木居  | 3室2厅 | 101平米 | 西南 | 其他', '高楼层(共18层)板楼  -  红光', '101万', '单价10000元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload8650cfcc-191a-47cd-a118-7b386ad1c71f.JPG.296x216.jpg', '距2号线天河路站640米（来源百度地图）装修房套三双卫', '蓝光幸福满庭  | 3室2厅 | 82.23平米 | 西北 | 精装 | 有电梯', '低楼层(共26层)2015年建板塔结合  -  犀浦', '130万', '单价15810元/平米')
('https://image1.ljcdn.com/510100-inspection/test-38a0f053-47bd-4cac-87d6-87863898458e.png.296x216.jpg', '后花园三期  清水套三  户型方正 入户花园+超大阳台', '成都后花园三期  | 3室2厅 | 104.01平米 | 西北 | 其他 | 有电梯', '低楼层(共25层)2012年建塔楼  -  成外', '170万', '单价16345元/平米')
('https://image1.ljcdn.com/510100-inspection/2aeb8d13-b871-43ab-a9c4-0d1c0561ef1b.jpg.296x216.jpg', '龙湖弗莱明戈一期套三双卫出租装修', '龙湖弗莱明戈一期  | 3室2厅 | 91.73平米 | 东南 | 其他 | 有电梯', '高楼层(共34层)2012年建板楼  -  郫县城区', '140万', '单价15263元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload41cd63a8-c820-4689-9dc8-32df41007180.jpg.296x216.jpg', '正成名城左岸装修房，满两年，中楼层', '正成名城左岸  | 2室0厅 | 57.51平米 | 东南 | 其他 | 有电梯', '中楼层(共22层)2008年建塔楼  -  红光', '44万', '单价7651元/平米')
('https://image1.ljcdn.com/510100-inspection/f8b34fcf-ccbd-48a4-be58-62bcbf96975b.jpg.296x216.jpg', '岷 阳小区简单装修套二户型方正', '岷阳小区  | 2室2厅 | 82.28平米 | 东南 | 其他 | 无电梯', '中楼层(共6层)暂无数据  -  郫县万达', '55万', '单价6685元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3e9aad7d-b743-4407-a778-9ed8fe761995.png.296x216.jpg', '傲城 3室2厅 146万', '傲城  | 3室2厅 | 87.54平米 | 东南 | 其他 | 有电梯', '中楼层(共31层)2015年建板楼  -  犀浦', '146万', '单价16679元/平米')
('https://image1.ljcdn.com/510100-inspection/5b558bd8-7313-45aa-89e4-60b3fc11adbf.jpg.296x216.jpg', '花样年套二公寓       精装修', '花样年龙年中心  | 2室2厅 | 37.5平米 | 东南 | 其他 | 有电梯', '中楼层(共29层)板塔结合  -  郫县城区', '46万', '单价12267元/平米')
('https://image1.ljcdn.com/510100-inspection/862809c4-9f5e-4643-b1b0-1c53e436b293.jpg.296x216.jpg', '龙城国际清水跃层套二，此房可利用空间大', '龙城国际  | 2室2厅 | 45.82平米 | 西南 | 其他 | 有电梯', '中楼层(共33层)2013年建板塔结合  -  橡树湾', '63万', '单价13750元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload68131578-7990-46ee-b55f-c5ab520cdf97.jpg.296x216.jpg', '中铁瑞景茗城二期 套一单卫有装修', '中铁瑞景茗城二期  | 1室1厅 | 48.33平米 | 西北 | 简装 | 有电梯', '高楼层(共31层)塔楼  -  郫县城区', '45万', '单价9311元/平米')
('https://image1.ljcdn.com/510100-inspection/9d5a92b1-29fe-4a07-9cf5-89760f634566.jpg.296x216.jpg', '成都后花园一期 6室3厅 520万', '成都后花园一期   | 联排别墅 | 6室3厅 | 301平米 | 东南 西北 | 其他 | 无电梯', '3层2006年建暂无数据  -  成外', '520万', '单价17276元/平米')
('https://image1.ljcdn.com/510100-inspection/test-064a36c1-a4c6-4e0c-9a00-aaa002348b64.png.296x216.jpg', '华润橡树湾A区 3室2厅 110万', '华润橡树湾A区  | 3室2厅 | 54.1平米 | 西南 | 其他 | 有电梯', '高楼层(共34层)2013年建板塔结合  -  橡树湾', '110万', '单价20333元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload3495df6a-65e4-46a9-9f91-97dabefd32d1.jpg.296x216.jpg', '龙城国际套三户型+带阳台精装修+采光优秀视野好', '龙城国际  | 3室1厅 | 84.08平米 | 西北 | 其他 | 有电梯', '中楼层(共33层)2013年建板塔结合  -  橡树湾', '160万', '单价19030元/平米')
('https://image1.ljcdn.com/510100-inspection/test-86a1006f-ff26-4970-8c37-a369406fb34a.png.296x216.jpg', '公园一号精装套三单卫，户型很方正', '公园1号  | 3室2厅 | 71.83平米 | 西北 | 其他 | 有电梯', '高楼层(共32层)2016年建塔楼  -  红光', '90万', '单价12530元/平米')
('https://image1.ljcdn.com/510100-inspection/2f9c9204-986c-40e0-b0de-de963cb68dd7.jpg.296x216.jpg', '桃园柳岸  套三双卫  装修房  满两年', '桃园柳岸  | 3室2厅 | 131.53平米 | 西南 | 其他', '低楼层(共6层)板楼  -  郫县城区', '116万', '单价8820元/平米')
('https://image1.ljcdn.com/510100-inspection/test-590fe5b9-2ba9-469b-acfa-586341de3c34.png.296x216.jpg', '锦苑三期 清水大套三 户型方正 客厅带大阳台 采光充足', '锦苑三期  | 3室2厅 | 134.29平米 | 东南 | 其他 | 有电梯', '中楼层(共11层)2010年建板塔结合  -  犀浦', '155万', '单价11543元/平米')
('https://image1.ljcdn.com/510100-inspection/4feeedf2-cf2a-4769-8b1a-1c14252503b3.jpg.296x216.jpg', '郫都区公安局+交通局家属院清水套三双卫，客厅带阳台', '鹃城上街62号  | 3室2厅 | 160.88平米 | 西南 | 其他', '高楼层(共6层)板楼  -  郫县万达', '128万', '单价7957元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f9bba945-01ef-4c9d-b589-767f3078731c.png.296x216.jpg', '龙城国际套三装修房出售       。', '龙城国际  | 3室2厅 | 84平米 | 西南 | 其他 | 有电梯', '高楼层(共33层)2013年建板塔结合  -  橡树湾', '155万', '单价18453元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload0396c1c2-77ed-409a-917e-3439dbbf41e4.JPG.296x216.jpg', '精装套三+餐客分离+满两年无增值税', '合能四季城一期  | 3室2厅 | 94.88平米 | 西南 | 其他 | 有电梯', '低楼层(共29层)2013年建板塔结合  -  犀浦', '150万', '单价15810元/平米')
('https://image1.ljcdn.com/510100-inspection/test-415c6c14-8636-4f56-81a8-b58a0ef4f80e.png.296x216.jpg', '正成名城左岸精装套三，中间楼层，视野好，前后无遮挡', '正成名城左岸  | 3室2厅 | 90.6平米 | 东南 | 其他 | 有电梯', '中楼层(共27层)2008年建塔楼  -  红光', '87万', '单价9603元/平米')
('https://image1.ljcdn.com/510100-inspection/d511a1d1-ed77-4dee-8922-67c8b667ba5f.jpg.296x216.jpg', '金壕雅庭      装修套三单卫', '金壕雅庭  | 3室2厅 | 98平米 | 西北 | 其他 | 有电梯', '中楼层(共34层)塔楼  -  郫县城区', '112万', '单价11429元/平米')
('https://image1.ljcdn.com/510100-inspection/test-27d8974c-ed2f-45c2-bbdb-cf98312bad08.png.296x216.jpg', '一里阳光标准套二，中间楼层带装修！', '一里阳光  | 2室1厅 | 77.25平米 | 东南 | 其他 | 有电梯', '中楼层(共18层)2013年建板塔结合  -  郫县万达', '77万', '单价9968元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ad00829a-3a07-4de2-987b-61ad493e63a2.png.296x216.jpg', '绿茵豪庭B区 3室2厅 130万', '绿茵豪庭B区  | 3室2厅 | 134.67平米 | 西南 | 其他 | 有电梯', '低楼层(共11层)2008年建板楼  -  成外', '130万', '单价9654元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload4333a007-8fe0-42ae-a82e-fd5371fbcf1e.JPG.296x216.jpg', '蓝光幸福满庭清水套三，户型方正，采光充足', '蓝光幸福满庭  | 3室2厅 | 75平米 | 东南 | 其他 | 有电梯', '高楼层(共26层)2015年建板塔结合  -  犀浦', '120万', '单价16000元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5fa4ed50-8c94-4774-9c5b-370b8dde24b0.png.296x216.jpg', '交大樟菊园 毛坯房三室双卫 对中庭 东南朝向 中楼层', '交大万嘉樟菊园  | 3室2厅 | 118.16平米 | 东南 | 毛坯 | 有电梯', '低楼层(共26层)2014年建塔楼  -  犀浦', '145万', '单价12272元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ed16d042-8627-4c7a-8bad-357887761f8e.png.296x216.jpg', '龙城国际+套二单卫+高层充足采光', '龙城国际  | 2室1厅 | 80.83平米 | 东 | 其他 | 有电梯', '中楼层(共33层)2013年建板塔结合  -  橡树湾', '120万', '单价14846元/平米')
('https://image1.ljcdn.com/510100-inspection/d7a9a529-4525-43c0-9bc1-9d5cee95a500.jpg.296x216.jpg', '西区花园顶跃+套四三卫有花园+精装修', '西区花园花园洋房  | 4室2厅 | 150.98平米 | 东南 | 其他 | 无电梯', '高楼层(共6层)2004年建板楼  -  犀浦', '180万', '单价11923元/平米')
('https://image1.ljcdn.com/510100-inspection/bdf9d67b-7bf6-42fc-8043-36a715f6d2f2.jpg.296x216.jpg', '星光大道A区 套三双卫 居家装修 保养得很好 拎包入住', '星光大道A区  | 3室2厅 | 125.77平米 | 西北 | 精装 | 无电梯', '高楼层(共6层)暂无数据  -  郫县城区', '106万', '单价8429元/平米')
('https://image1.ljcdn.com/510100-inspection/de028465-c556-4514-bf5a-f4ca295ec083.jpg.296x216.jpg', '西城鸥鹭湾装修套二 电梯中间楼层，双阳台采光好', '西城鸥鹭湾  | 2室2厅 | 81.26平米 | 东南 | 其他', '中楼层(共26层)板楼  -  郫县城区', '81万', '单价9969元/平米')
('https://image1.ljcdn.com/510100-inspection/d6279184-a526-4a45-bd18-9b261d43bcc3.jpg.296x216.jpg', '海骏达装修房 可买来出租 可自住 赠送入户和阳台', '海骏达蜀都1号一期南区  | 4室2厅 | 128.77平米 | 东南 | 其他 | 有电梯', '低楼层(共26层)2013年建塔楼  -  郫县城区', '146万', '单价11339元/平米')
('https://image1.ljcdn.com/510100-inspection/2529bf6e-8a36-4a4e-b460-86b6e71d73d1.jpg.296x216.jpg', '蜀都万达 装修套二 ，可改小套三，中间楼层', '蜀都万达广场  | 2室2厅 | 68.51平米 | 南 | 其他', '中楼层(共32层)板楼  -  郫县万达', '83万', '单价12116元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d0da93b6-fe48-4c94-bd46-eba4a3f31e1b.png.296x216.jpg', '绿地国际花都一期 装修套三 对中庭', '绿地国际花都一期  | 3室2厅 | 88.14平米 | 东 | 其他 | 有电梯', '中楼层(共17层)2015年建塔楼  -  郫县城区', '105万', '单价11913元/平米')
('https://image1.ljcdn.com/510100-inspection/test-72afaa5e-e9e8-46af-8e96-5c0e0a9573e7.png.296x216.jpg', '上善天成二期 3室2厅 149万', '上善天成二期  | 3室2厅 | 123.64平米 | 东北 | 其他 | 有电梯', '高楼层(共18层)塔楼  -  红光', '149万', '单价12052元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploadd16cd9a2-e325-4bd5-bd3c-626378071766.JPG.296x216.jpg', '简装套三，卧室带飘窗，满两年，带一个大平台', '交大万嘉季柳园  | 3室2厅 | 117平米 | 东北 | 其他 | 有电梯', '低楼层(共26层)2013年建塔楼  -  犀浦', '142万', '单价12137元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c873aae3-b3e6-41db-b6f9-50597eb83d64.png.296x216.jpg', '正成名成左岸 套三双卫带双阳台', '正成名城左岸  | 3室1厅 | 119平米 | 西南 | 其他 | 有电梯', '高楼层(共26层)2008年建塔楼  -  红光', '115万', '单价9664元/平米')
('https://image1.ljcdn.com/510100-inspection/7ddadebf-3b15-4007-910c-ee465ddc4154.jpg.296x216.jpg', '启明花园中层套三，格局好价格优，正对小区别墅诚心售', '启明花园  | 3室1厅 | 124平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2003年建板塔结合  -  犀浦', '106万', '单价8549元/平米')
('https://image1.ljcdn.com/510100-inspection/test-dd07dd6b-3da6-40c2-96fc-0187372092ef.png.296x216.jpg', '龙湖弗莱明戈+套三+有阳台+有装修', '龙湖弗莱明戈一期  | 3室2厅 | 92.93平米 | 西南 | 其他 | 有电梯', '高楼层(共34层)2012年建板楼  -  郫县城区', '136万', '单价14635元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploadb2318120-68b6-41da-b8cc-1eb60bf53867.jpg.296x216.jpg', '中信未来城-南区优质套二装修房', '中信未来城南区  | 2室1厅 | 79.8平米 | 东南 | 其他 | 有电梯', '中楼层(共33层)2013年建塔楼  -  郫县城区', '95万', '单价11905元/平米')
('https://image1.ljcdn.com/510100-inspection/1e211416-fa2b-4cce-a784-d276ce1eaa7c.jpg.296x216.jpg', '西华枫林 简单装修 不临街 中间楼层 看房提前预约', '西华枫林  | 3室2厅 | 124.8平米 | 南 | 其他 | 无电梯', '中楼层(共6层)2001年建板楼  -  红光', '105万', '单价8414元/平米')
('https://image1.ljcdn.com/510100-inspection/c9bbf873-4926-405a-a649-80dd71fd124e.jpg.296x216.jpg', '枫林秀色 4室3厅 240万', '枫林秀色  | 4室3厅 | 241.47平米 | 西南 | 精装 | 无电梯', '低楼层(共6层)板楼  -  郫县城区', '240万', '单价9940元/平米')
('https://image1.ljcdn.com/510100-inspection/9f0116a5-1058-44b4-ae0c-91fd735d7299.jpg.296x216.jpg', '怡景城市花苑 装修套三单卫 户型方正 客厅带阳台', '怡景城市花苑  | 3室1厅 | 73.36平米 | 西北 | 其他 | 有电梯', '中楼层(共26层)2013年建板塔结合  -  犀浦', '100万', '单价13632元/平米')
