('https://image1.ljcdn.com/340100-inspection/140b7668-86a7-4d29-bd92-5990a7ee96e1.JPG.296x216.jpg', '琥珀名城沁园 3室1厅 130万', '琥珀名城沁园  | 3室1厅 | 95.84平米 | 南 | 其他', '低楼层(共18层)2009年建塔楼  -  龙岗', '130万', '单价13565元/平米')
('https://image1.ljcdn.com/340100-inspection/dacdb805-dc48-4548-8c10-a0e087647005.jpg.296x216.jpg', '采光好价格低，面积小，总价低，图片真实', '汪塘北区  | 2室1厅 | 61平米 | 南 | 其他', '高楼层(共6层)暂无数据  -  方庙', '66万', '单价10820元/平米')
('https://image1.ljcdn.com/340100-inspection/5a611d47-6275-419a-9066-8fd737299be2.JPG.296x216.jpg', '华裕家园 4室2厅 155万', '华裕家园  | 4室2厅 | 127.07平米 | 南 | 其他', '高楼层(共6层)2008年建板楼  -  和平路', '155万', '单价12199元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploada26040a0-c8fb-40e5-bc37-bf739860109d.JPG.296x216.jpg', '隆庭佳苑 3室2厅 160万', '隆庭佳苑  | 3室2厅 | 125.61平米 | 南 北 | 其他', '高楼层(共18层)2004年建板楼  -  城东', '160万', '单价12738元/平米')
('https://image1.ljcdn.com/340100-inspection/099a6d9f-c4a4-47a0-9b00-0862b8e760fc.jpg.296x216.jpg', '锦绣豪庭 户型方正 视野好采光好  交通便利', '锦绣豪庭  | 3室1厅 | 117.37平米 | 南 | 简装', '高楼层(共32层)2012年建塔楼  -  胜利路', '187.7万', '单价15993元/平米')
('https://image1.ljcdn.com/340100-inspection/b845db4d-dab7-44ca-8eaa-a5ec80d9b2c4.JPG.296x216.jpg', '万成华府 满两年 精装 朝南 采光好', '万成华府  | 2室1厅 | 77.8平米 | 南 | 其他', '低楼层(共28层)2013年建塔楼  -  龙岗', '95万', '单价12211元/平米')
('https://image1.ljcdn.com/340100-inspection/5d47a903-aeea-46c9-976c-020e20e739ad.JPG.296x216.jpg', '万成华府 2室1厅 90万', '万成华府  | 2室1厅 | 72.72平米 | 南 | 其他', '高楼层(共32层)2013年建塔楼  -  龙岗', '90万', '单价12377元/平米')
('https://image1.ljcdn.com/340100-inspection/cd3611a1-440c-4a4b-86db-8fc05ec5b3f9.jpg.296x216.jpg', '满五唯一，没有个税，精装小两房，朝南无遮挡，有空间', '和平盛世  | 2室1厅 | 55平米 | 南 | 其他', '中楼层(共27层)2012年建塔楼  -  明光路', '120万', '单价21819元/平米')
('https://image1.ljcdn.com/340100-inspection/43d735c4-c93c-40ba-a307-20e648f4a495.JPG.296x216.jpg', '次新小区 环境整洁 精装修 拎包入住 复式使用面积大', '万和新城广场  | 2室2厅 | 60平米 | 西 | 其他', '高楼层(共22层)2009年建塔楼  -  和平路', '124万', '单价20667元/平米')
('https://image1.ljcdn.com/340100-inspection/aca2d221-280f-4fd3-bd67-8a89a45a8238.jpg.296x216.jpg', '火车站 满2年交通方便小区环境好', '未来家园  | 1室1厅 | 29.19平米 | 西北 | 其他', '中楼层(共26层)2012年建塔楼  -  长淮', '37万', '单价12676元/平米')
('https://image1.ljcdn.com/340100-inspection/32ce3f8f-fffc-4021-9193-c88b790464c0.JPG.296x216.jpg', '09年新小区，户型好，单价低，总价也低，精装婚房', '利港银河新城  | 4室2厅 | 150平米 | 南 | 其他', '高楼层(共6层)2009年建塔楼  -  嘉山路', '180万', '单价12000元/平米')
('https://image1.ljcdn.com/340100-inspection/6e892343-5e4d-4e6f-b20f-09a3ab43cb66.jpg.296x216.jpg', '金色梧桐 1室1厅 95万', '金色梧桐  | 1室1厅 | 66.6平米 | 南 西南 | 其他', '高楼层(共30层)2011年建塔楼  -  胜利路', '95万', '单价14265元/平米')
('https://image1.ljcdn.com/340100-inspection/90dfb26e-93fe-4ac3-8858-5e19cb2912b9.JPG.296x216.jpg', '海州景秀世家 楼层好 采光充足 交通便利', '海洲景秀世家  | 4室2厅 | 123平米 | 南 北 | 其他', '低楼层(共18层)2012年建塔楼  -  龙岗', '137万', '单价11139元/平米')
('https://image1.ljcdn.com/340100-inspection/a9833ad5-5373-4d19-a20f-9c5c2404ae73.JPG.296x216.jpg', '蓝光时代红街  小区楼龄新 适合刚需过度', '蓝光时代红街  | 1室0厅 | 39.3平米 | 南 | 精装', '高楼层(共19层)暂无数据  -  嘉山路', '40万', '单价10179元/平米')
('https://image1.ljcdn.com/340100-inspection/a0a32c0c-a4f1-461c-b2d6-9ef5bb96053a.JPG.296x216.jpg', '为你而选为你为家 采光好，交通便捷', '元一名城A区  | 3室2厅 | 106.43平米 | 南 北 | 其他', '低楼层(共11层)2007年建板塔结合  -  嘉山路', '160万', '单价15034元/平米')
('https://image1.ljcdn.com/340100-inspection/8a354ab3-9896-4563-831d-b5b75ed0e3ee.JPG.296x216.jpg', '大通小区 精装修3居室 一楼带院子 拎包入住', '大通小区  | 3室1厅 | 67.88平米 | 南 | 精装', '低楼层(共7层)1995年建板楼  -  明光路', '110万', '单价16206元/平米')
('https://image1.ljcdn.com/340100-inspection/514924f4-ab25-45f2-88e1-de0ea2eabda7.JPG.296x216.jpg', '香格里拉花园 满五年 南北通透格局 中间楼层', '香格里拉花园  | 2室2厅 | 90.21平米 | 南 北 | 其他', '中楼层(共28层)2008年建塔楼  -  方庙', '115万', '单价12749元/平米')
('https://image1.ljcdn.com/340100-inspection/dd918eae-1293-4d13-bc52-cf451fe464b4.JPG.296x216.jpg', '香格里拉花园 户型好 采光足 业主诚售', '香格里拉花园  | 2室2厅 | 80.21平米 | 南 | 其他', '中楼层(共28层)2008年建塔楼  -  方庙', '110万', '单价13715元/平米')
('https://image1.ljcdn.com/340100-inspection/e37a9365-c1ea-47e7-8a7b-cf8e13816efc.jpg.296x216.jpg', '低总价 朝南正规两居室 中高楼层 采光好 视野佳', '锦绣嘉苑  | 2室1厅 | 76.79平米 | 南 | 其他', '中楼层(共34层)塔楼  -  三里街', '92万', '单价11981元/平米')
('https://image1.ljcdn.com/340100-inspection/6b650731-90a3-4ad9-8186-a5ae0da435eb.jpg.296x216.jpg', '喻苑新村 地铁口 公摊小 交通便利', '喻苑新村  | 2室1厅 | 61.79平米 | 南 | 其他', '高楼层(共7层)2000年建板楼  -  胜利路', '70万', '单价11329元/平米')
('https://image1.ljcdn.com/340100-inspection/a283d0bf-1a21-40e4-b6a5-84eeaa5781b2.JPG.296x216.jpg', '东景苑 1室1厅 37.5万', '东景苑  | 1室1厅 | 36平米 | 北 | 其他', '中楼层(共25层)塔楼  -  龙岗', '37.5万', '单价10417元/平米')
('https://image1.ljcdn.com/340100-inspection/b12349d1-3d07-49ac-ac90-b327857d5b74.JPG.296x216.jpg', '铜陵路 宝业东区 品质小区 顶楼复式', '宝业城市绿苑东区  | 5室2厅 | 137.64平米 | 南 北 | 其他', '高楼层(共6层)2008年建板楼  -  和平路', '220万', '单价15984元/平米')
('https://image1.ljcdn.com/340100-inspection/41935ba4-5a18-4f1f-8cf7-5b8e083c48a1.jpg.296x216.jpg', '三里街，次顶层，刚需无压力，家具家电齐全随时入住', '聚亿经典花园  | 1室1厅 | 33.64平米 | 北 | 其他', '高楼层(共11层)2006年建塔楼  -  三里街', '38万', '单价11297元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload5fe215b6-7821-43d1-9710-b53201fab1b8.JPG.296x216.jpg', '房子满五年，大四房，公摊面积小，户型方正，单价低', '风景苑  | 4室2厅 | 156.45平米 | 南 北 | 其他', '高楼层(共6层)2003年建板楼  -  方庙', '132万', '单价8438元/平米')
('https://image1.ljcdn.com/340100-inspection/6e1acd7b-282e-4989-8ca3-c67c4d4f575b.jpg.296x216.jpg', '温莎杰座 地铁出站口 满五年唯一 元一商圈 交通便利', '温莎杰座  | 4室2厅 | 152.99平米 | 南 | 简装', '高楼层(共29层)2008年建板楼  -  三里街', '189万', '单价12354元/平米')
('https://image1.ljcdn.com/340100-inspection/6e6f7d82-2577-4acf-bf6b-d30d583936ba.JPG.296x216.jpg', '裕溪路1058号 3室1厅 85万', '裕溪路1058号  | 3室1厅 | 86.52平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  和平路', '85万', '单价9825元/平米')
('https://image1.ljcdn.com/340100-inspection/51facb3d-5f45-49dd-a928-fbff8bbb8df7.jpg.296x216.jpg', '精装修 采光好 交通便利 诚心出售', '七里香榭  | 2室1厅 | 53平米 | 西南 | 其他', '高楼层(共32层)2012年建塔楼  -  长淮', '90万', '单价16982元/平米')
('https://image1.ljcdn.com/340100-inspection/91bb6685-cdcb-42a4-9de8-f1c04b852235.JPG.296x216.jpg', '鸿兴苑小区交通便利，环境舒适，适合居住', '鸿兴苑  | 2室1厅 | 62.65平米 | 西北 | 其他', '中楼层(共18层)塔楼  -  嘉山路', '88万', '单价14047元/平米')
('https://image1.ljcdn.com/340100-inspection/a2a8a435-8b34-4f81-a718-7aa942b156ad.JPG.296x216.jpg', '福海新居 小两房 交通便利 宝业东城广场商圈', '福海新居  | 2室1厅 | 46.64平米 | 南 | 其他', '高楼层(共6层)2000年建板楼  -  七里站', '62万', '单价13294元/平米')
('https://image1.ljcdn.com/340100-inspection/d6acfcee-e9cc-4fd1-9eca-d11246ac2ca0.jpg.296x216.jpg', '锦怡家园 3室2厅 130万', '锦怡家园  | 3室2厅 | 99.85平米 | 南 | 其他', '高楼层(共6层)2005年建板楼  -  胜利路', '130万', '单价13020元/平米')
('https://image1.ljcdn.com/340100-inspection/0e4d2778-608d-4856-9818-d4379236701c.JPG.296x216.jpg', '万达旁 月亮湾亲水嘉园 南北通透 精装2房 中间楼层', '月亮湾亲水嘉园  | 2室2厅 | 89平米 | 南 北 | 其他', '中楼层(共5层)板楼  -  龙岗', '113万', '单价12697元/平米')
('https://image1.ljcdn.com/340100-inspection/33baa82a-69d7-4f41-ad1c-c251366061b2.JPG.296x216.jpg', '香格里拉花园 小区环境好 位置佳 周边配套齐全', '香格里拉花园  | 1室1厅 | 53平米 | 东 | 其他', '高楼层(共28层)2008年建塔楼  -  方庙', '65万', '单价12265元/平米')
('https://image1.ljcdn.com/340100-inspection/16089eb0-c3a1-4b3c-8555-411464524b18.jpg.296x216.jpg', '华业苑 顶楼复式 使用面积大 带露台', '华业苑  | 4室2厅 | 113.82平米 | 南 | 其他', '高楼层(共6层)2000年建板楼  -  和平路', '115万', '单价10104元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload25dab1a6-7ec4-4c2c-9460-3e6e2538896b.JPG.296x216.jpg', '精装修，户型朝南，格局好， 中高楼层', '恒盛豪庭  | 1室2厅 | 76.67平米 | 南 | 其他', '中楼层(共31层)2011年建塔楼  -  和平路', '140万', '单价18261元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadd10e1902-ae20-4de7-8fe9-36bf55f271d0.jpg.296x216.jpg', '满五 采光好 交通便利 配套设施齐全', '琅琊小区  | 2室1厅 | 57.64平米 | 南 | 其他', '中楼层(共6层)1997年建板楼  -  三里街', '70万', '单价12145元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadde1f6957-2913-4f6e-9acb-af66b645fcdf.jpg.296x216.jpg', '温莎杰座 预定中速度来不然没 3室2厅 147.29平', '温莎杰座  | 3室2厅 | 147.29平米 | 南 北 | 毛坯', '高楼层(共29层)2008年建塔楼  -  三里街', '163万', '单价11067元/平米')
('https://image1.ljcdn.com/340100-inspection/f1dd3557-a021-4939-bbbb-63b2636fee66.JPG.296x216.jpg', '利港银河新城 2室2厅 155万', '利港银河新城  | 2室2厅 | 104.91平米 | 南 | 其他', '低楼层(共18层)2009年建塔楼  -  嘉山路', '155万', '单价14775元/平米')
('https://image1.ljcdn.com/340100-inspection/a0d5cb78-c8f0-410d-a0b7-a7a8aed10bcf.jpg.296x216.jpg', '未来家园 70年产权 精装修 以租养贷 采光好 急卖', '未来家园  | 2室1厅 | 48.65平米 | 西北 | 其他', '中楼层(共26层)2012年建塔楼  -  长淮', '72万', '单价14800元/平米')
('https://image1.ljcdn.com/340100-inspection/f377b695-d48f-4a88-99ed-656d43d940a9.JPG.296x216.jpg', '和平家园A1区 3室1厅 108万', '和平家园A1区  | 3室1厅 | 73.34平米 | 南 | 其他', '低楼层(共6层)2000年建板楼  -  和平路', '108万', '单价14726元/平米')
('https://image1.ljcdn.com/340100-inspection/34c41d85-4338-497d-bff1-4dfeeba9a47b.JPG.296x216.jpg', '香格里拉花园 高层中间楼层 看房方便 中间楼层', '香格里拉花园  | 2室2厅 | 89.84平米 | 南 | 其他', '中楼层(共28层)2008年建塔楼  -  方庙', '123万', '单价13692元/平米')
('https://image1.ljcdn.com/340100-inspection/b713b9d8-a48b-4027-a99f-df7c0ad6bd79.JPG.296x216.jpg', '芳邻家园 3室2厅 135万', '芳邻家园  | 3室2厅 | 101.11平米 | 南 | 其他', '中楼层(共6层)2007年建板楼  -  铜陵路', '135万', '单价13352元/平米')
('https://image1.ljcdn.com/340100-inspection/99736c72-95a4-4ff1-8f07-0840d0808153.JPG.296x216.jpg', '宝业城市绿苑北区 2室1厅 130万', '宝业城市绿苑北区  | 2室1厅 | 82平米 | 南 | 其他', '中楼层(共6层)2008年建板楼  -  和平路', '130万', '单价15854元/平米')
('https://image1.ljcdn.com/340100-inspection/9398525b-7417-4d10-9f7d-2202863cfd40.JPG.296x216.jpg', '满五年没增值税 单价低 总价实惠 适合老人和孩子居住', '金桥湾花园  | 3室2厅 | 128.12平米 | 南 北 | 其他', '中楼层(共18层)2006年建板塔结合  -  嘉山路', '135万', '单价10537元/平米')
('https://image1.ljcdn.com/340100-inspection/ccec63e1-db80-458d-8104-904933af5391.jpg.296x216.jpg', '金色梧桐 精装修 明光路地铁口', '金色梧桐  | 1室1厅 | 65.51平米 | 南 | 其他', '中楼层(共30层)2011年建塔楼  -  胜利路', '88万', '单价13434元/平米')
('https://image1.ljcdn.com/340100-inspection/b40641f6-ee57-4058-99e7-55daa5bd4bbd.jpg.296x216.jpg', '宝业城市绿苑东区 3室2厅 245万', '宝业城市绿苑东区  | 3室2厅 | 170平米 | 南 北 | 其他', '高楼层(共6层)2008年建板楼  -  和平路', '245万', '单价14412元/平米')
('https://image1.ljcdn.com/340100-inspection/9445620b-ed2b-4e7c-9e98-0cbf4347b45d.JPG.296x216.jpg', '朝南一房一厅，满五省税，出门就是2号线口，配套完善', '当涂小区  | 1室1厅 | 44平米 | 南 | 其他', '高楼层(共6层)板楼  -  铜陵路', '50万', '单价11364元/平米')
('https://image1.ljcdn.com/340100-inspection/e1b96953-9247-4e0d-b122-9667e1e71b8f.jpg.296x216.jpg', '玉承和花园 淝滨路   40年产权', '玉承和花园  | 2室1厅 | 83.68平米 | 南 北 | 其他', '高楼层(共26层)塔楼  -  胜利路', '60万', '单价7171元/平米')
('https://image1.ljcdn.com/340100-inspection/839b4df4-bfd2-4d4e-97f8-e6a0ec680cb8.jpg.296x216.jpg', '中间楼层东南向两居室 有钥匙随时看房', '凤翔家园  | 2室2厅 | 86.87平米 | 东南 | 毛坯', '中楼层(共18层)塔楼  -  三里街', '133万', '单价15311元/平米')
('https://image1.ljcdn.com/340100-inspection/2d003996-4e37-4951-818c-c4c3816bf25d.JPG.296x216.jpg', '此房满两年，交通便利，周边设施成熟', '宝业城市绿苑西区  | 3室2厅 | 117平米 | 南 | 其他', '高楼层(共26层)2008年建塔楼  -  和平路', '228万', '单价19488元/平米')
('https://image1.ljcdn.com/340100-inspection/c197e5c2-8f60-4591-af34-51b10746ffd9.JPG.296x216.jpg', '皇马花园 精装三室 楼层低 适合老人和小孩', '皇马花园  | 3室2厅 | 96平米 | 南 | 其他', '低楼层(共11层)板楼  -  龙岗', '115万', '单价11980元/平米')
('https://image1.ljcdn.com/340100-inspection/42630a00-9c36-4aa6-ac11-9fa9edf2410a.JPG.296x216.jpg', '华都城市花园 4室2厅 115万', '华都城市花园  | 4室2厅 | 81.6平米 | 南 | 其他', '高楼层(共6层)板楼  -  龙岗', '115万', '单价14094元/平米')
('https://image1.ljcdn.com/340100-inspection/ea10be42-ac54-43e0-9489-d3fd62398395.JPG.296x216.jpg', '临泉路大市场 人才苑北村 中间楼层 两室朝南', '人才苑北村  | 2室2厅 | 86.28平米 | 南 北 | 其他', '中楼层(共6层)板楼  -  铜陵路', '110万', '单价12750元/平米')
('https://image1.ljcdn.com/340100-inspection/5f8d9b8a-8130-4221-a22d-fc389e42e76e.JPG.296x216.jpg', '璟泰赢家广场 3室2厅 150万', '璟泰赢家广场  | 3室2厅 | 120.26平米 | 南 北 | 其他', '中楼层(共18层)塔楼  -  七里站', '150万', '单价12473元/平米')
('https://image1.ljcdn.com/340100-inspection/03939b47-164d-44f6-a351-a41697a3d477.JPG.296x216.jpg', '香格里拉花园 满五年 精装修 业主诚心出售', '香格里拉花园  | 2室1厅 | 68.2平米 | 西 北 | 其他', '中楼层(共33层)2008年建塔楼  -  方庙', '88万', '单价12904元/平米')
('https://image1.ljcdn.com/340100-inspection/3d3f16ba-61c4-4aa0-ad94-2b3b9eda68a0.JPG.296x216.jpg', '金光苑 2室1厅 59万', '金光苑  | 2室1厅 | 53平米 | 南 北 | 其他', '中楼层(共6层)板楼  -  龙岗', '59万', '单价11133元/平米')
('https://image1.ljcdn.com/340100-inspection/b9326899-dd98-412d-a03c-271ced5c86ad.jpg.296x216.jpg', '和平盛世 精装1居室 有大露台 采光好 拎包入住', '和平盛世  | 1室1厅 | 44平米 | 北 | 其他', '低楼层(共27层)2012年建塔楼  -  明光路', '79万', '单价17955元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload0cf7fe42-7464-4963-8610-8c35367dfbbd.jpg.296x216.jpg', '信地城市广场 刚需两居室 采光好 交通方便', '信地城市广场  | 2室2厅 | 53.6平米 | 北 | 简装', '中楼层(共20层)2011年建塔楼  -  长淮', '85万', '单价15859元/平米')
('https://image1.ljcdn.com/340100-inspection/f78470de-d2b7-4cf4-97be-dbff7db0d63c.JPG.296x216.jpg', '苹果公寓 1室2厅 83万', '苹果公寓  | 1室2厅 | 70.07平米 | 南 | 其他', '中楼层(共11层)2004年建塔楼  -  方庙', '83万', '单价11846元/平米')
('https://image1.ljcdn.com/340100-inspection/894f067e-d701-4e42-908f-894bd9da7e87.JPG.296x216.jpg', '精致3房 采光充足 户型方正  诚心出售', '农垦大院  | 3室1厅 | 76.2平米 | 南 北 | 其他', '中楼层(共6层)板楼  -  铜陵路', '85万', '单价11155元/平米')
('https://image1.ljcdn.com/340100-inspection/d8b3d2c8-9297-400d-bc27-31c3bec389f1.jpg.296x216.jpg', '东苑新村 2室1厅 69万', '东苑新村  | 2室1厅 | 57.67平米 | 南 | 其他', '高楼层(共6层)2004年建板楼  -  三里街', '69万', '单价11965元/平米')
('https://image1.ljcdn.com/340100-inspection/0aec5eed-2ad3-4ac8-acee-a2002100cd24.JPG.296x216.jpg', '户型方正，大两房，居家装修，配套完善', '万和新城广场  | 2室2厅 | 104平米 | 南 北 | 其他', '中楼层(共28层)2009年建塔楼  -  和平路', '172万', '单价16539元/平米')
('https://image1.ljcdn.com/340100-inspection/aa4cdb43-74c5-4d78-a683-54da4142cd63.JPG.296x216.jpg', '龙岗路 静安新城南区 大三房 采光充足无遮挡 看房方便', '静安新城南区  | 3室2厅 | 91.29平米 | 南 | 其他', '高楼层(共7层)塔楼  -  大兴镇', '112万', '单价12269元/平米')
('https://image1.ljcdn.com/340100-inspection/cebf06b2-5a7b-4826-9ff8-a3536e4d7d8c.JPG.296x216.jpg', '纺织二村 2室1厅 69万', '纺织二村  | 2室1厅 | 54.3平米 | 南 北 | 其他', '中楼层(共6层)2000年建板楼  -  和平路', '69万', '单价12708元/平米')
('https://image1.ljcdn.com/340100-inspection/5dbbfebc-354f-4b2f-b22c-c5606fe10c00.JPG.296x216.jpg', '人才苑北村 3室2厅 116万', '人才苑北村  | 3室2厅 | 105.17平米 | 南 北 | 其他', '中楼层(共6层)板楼  -  铜陵路', '116万', '单价11030元/平米')
('https://image1.ljcdn.com/340100-inspection/ac96fa56-9f8e-4313-9885-b931c9accd14.JPG.296x216.jpg', '恒大城大四房，精装修，采光好，看房方便。', '恒大城  | 4室2厅 | 174.32平米 | 南 北 | 其他', '低楼层(共32层)2013年建板楼  -  龙岗', '205万', '单价11760元/平米')
('https://image1.ljcdn.com/340100-inspection/1147110d-0a2e-4b8b-93b6-e2395b3ddaf9.jpg.296x216.jpg', '新亚汽车站附近两房两厅可改三室，两房朝南，交通便利', '中兴花园  | 2室2厅 | 81.44平米 | 南 | 其他', '中楼层(共6层)暂无数据  -  长淮', '106万', '单价13016元/平米')
('https://image1.ljcdn.com/340100-inspection/203880c9-e3ca-4e35-9974-ae5e212c04bc.jpg.296x216.jpg', '火车站，通燃气，地铁口繁华地段', '信地城市广场  | 2室1厅 | 63.24平米 | 南 | 其他', '高楼层(共32层)2011年建塔楼  -  长淮', '105万', '单价16604元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploade238fb3d-5693-448b-b38a-68c5e6f5bc2f.JPG.296x216.jpg', '橘郡万绿园 3室2厅 180万', '橘郡万绿园  | 3室2厅 | 141.17平米 | 南 | 其他', '高楼层(共16层)2004年建板楼  -  铜陵路', '180万', '单价12751元/平米')
('https://image1.ljcdn.com/340100-inspection/64d92854-1972-4bbb-8145-0f354b264b29.JPG.296x216.jpg', '瑞泰和园A区 2室2厅 108万', '瑞泰和园A区  | 2室2厅 | 84.55平米 | 南 | 其他', '中楼层(共18层)塔楼  -  龙岗', '108万', '单价12774元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload05d83b81-7795-45d5-82be-d3c82a38a5ca.JPG.296x216.jpg', '精装一室拎包入住，户型方正，一梯两户，配套成熟', '明光小区  | 1室1厅 | 38.47平米 | 南 | 精装', '高楼层(共7层)板楼  -  明光路', '56万', '单价14557元/平米')
('https://image1.ljcdn.com/340100-inspection/9eccd789-51d2-4121-aa0b-e5e0ada8d95e.JPG.296x216.jpg', '博澳名苑 地铁口 精装 随时看房 拎包即住 交通便利', '博澳名苑  | 1室1厅 | 39.5平米 | 北 | 其他', '高楼层(共28层)2008年建塔楼  -  七里站', '48万', '单价12152元/平米')
('https://image1.ljcdn.com/340100-inspection/aea8d799-48f0-47c9-97b3-5436fafed13e.JPG.296x216.jpg', '屯溪路59号 3室1厅 95万', '屯溪路59号  | 3室1厅 | 75.68平米 | 东 西 | 其他', '中楼层(共5层)暂无数据  -  城东', '95万', '单价12553元/平米')
('https://image1.ljcdn.com/340100-inspection/c903f1e1-4950-4d64-a50e-ead0504323a8.jpg.296x216.jpg', '喻苑新村 房东诚意出售 采光好 看房预约', '喻苑新村  | 2室2厅 | 73.96平米 | 南 | 其他', '高楼层(共6层)2000年建板楼  -  胜利路', '80万', '单价10817元/平米')
('https://image1.ljcdn.com/340100-inspection/12c6e4f7-9d5e-4694-8db9-6b7d5bc5ef5e.JPG.296x216.jpg', '双南两房带客厅，公摊小面积大，生活配套齐全随时看房', '金光苑  | 2室1厅 | 77.36平米 | 南 | 其他', '高楼层(共6层)板楼  -  龙岗', '73万', '单价9437元/平米')
('https://image1.ljcdn.com/340100-inspection/0dd092ed-d1f1-4c49-bdd9-0aa7bd99c59d.jpg.296x216.jpg', '长淮新村，多层二室，好户型，交通方便', '长淮新村B区  | 2室2厅 | 77.48平米 | 南 | 其他', '高楼层(共6层)2000年建板楼  -  三里街', '90万', '单价11616元/平米')
('https://image1.ljcdn.com/340100-inspection/5ee12a4a-c72b-4154-9558-e85f1307326a.jpg.296x216.jpg', '大窑湾 2室1厅 75万', '大窑湾  | 2室1厅 | 62.77平米 | 南 | 其他', '中楼层(共6层)板楼  -  胜利路', '75万', '单价11949元/平米')
('https://image1.ljcdn.com/340100-inspection/406d8d72-87e2-4323-871d-8e226d94079e.jpg.296x216.jpg', '两室朝南 多层无公摊 采光充足 交通便利  配套齐全', '隆岗新村池郢泵站  | 2室1厅 | 57.59平米 | 南 | 其他', '高楼层(共6层)暂无数据  -  城东', '78万', '单价13545元/平米')
('https://image1.ljcdn.com/340100-inspection/2ac178a8-a598-4bd1-89f4-c0499a43c213.JPG.296x216.jpg', '恒大城 3室2厅 160万', '恒大城  | 3室2厅 | 122.85平米 | 南 | 其他', '低楼层(共32层)2013年建板楼  -  龙岗', '160万', '单价13025元/平米')
('https://image1.ljcdn.com/340100-inspection/2ae8d67a-1c34-44f2-9eab-38fb31acc916.jpg.296x216.jpg', '元一时代广场 4室2厅 185万', '元一时代广场  | 4室2厅 | 156.89平米 | 南 北 | 其他', '高楼层(共29层)2002年建板楼  -  胜利路', '185万', '单价11792元/平米')
('https://image1.ljcdn.com/340100-inspection/5f41111f-da44-4758-9586-872e273e2de4.jpg.296x216.jpg', '宝业城市绿苑东区 3室2厅 242万', '宝业城市绿苑东区  | 3室2厅 | 138.86平米 | 南 北 | 其他', '中楼层(共11层)2008年建板楼  -  和平路', '242万', '单价17428元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadf4b7e07f-c96a-448b-b67e-e5597d5c6877.jpg.296x216.jpg', '家和居 三室两厅 楼层好 采光好 装修好 拎包入住', '家和居  | 3室2厅 | 106.44平米 | 南 | 其他', '中楼层(共6层)2007年建板楼  -  胜利路', '124万', '单价11650元/平米')
('https://image1.ljcdn.com/340100-inspection/a38a56fb-41f5-4dc3-aaa6-9db0f943bc11.JPG.296x216.jpg', '鸿兴苑 2室1厅 105万', '鸿兴苑  | 2室1厅 | 90.17平米 | 南 | 其他', '中楼层(共11层)塔楼  -  嘉山路', '105万', '单价11645元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload065bdb20-639d-4de1-8449-395c24c16a7f.jpg.296x216.jpg', '信地城市广场 1室1厅  精装拎包入住 交通便利', '信地城市广场  | 1室1厅 | 44.7平米 | 北 | 其他', '低楼层(共32层)2011年建塔楼  -  长淮', '68万', '单价15213元/平米')
('https://image1.ljcdn.com/340100-inspection/11d6c721-3a5d-4587-b842-2b2417b6bb69.JPG.296x216.jpg', '为你而选为你为家  元一名城2房', '元一名城A区  | 2室2厅 | 51.82平米 | 南 | 其他', '中楼层(共11层)2007年建板塔结合  -  嘉山路', '84万', '单价16210元/平米')
('https://image1.ljcdn.com/340100-inspection/e8fb3751-bdd8-4942-8684-ee2a1a6e2316.JPG.296x216.jpg', '裕丰花市，新都会环球购物广场、家乐福超市', '屯溪路59号  | 2室1厅 | 46平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  城东', '65万', '单价14131元/平米')
('https://image1.ljcdn.com/340100-inspection/e0d97a47-4c89-487e-80b1-61a0c3023795.jpg.296x216.jpg', '总价低 交通方便 采光好 随时看房', '百汇城市广场  | 2室2厅 | 75.54平米 | 南 | 其他', '低楼层(共30层)板塔结合  -  三里街', '92万', '单价12179元/平米')
('https://image1.ljcdn.com/340100-inspection/89e194ee-3375-47bc-aa13-51ff500b7ad2.jpg.296x216.jpg', '总价低，公摊少，满五唯一，精装好房', '合化南区  | 2室1厅 | 79.37平米 | 南 | 其他', '高楼层(共7层)板楼  -  城东', '70万', '单价8820元/平米')
('https://image1.ljcdn.com/340100-inspection/e0b3eae2-d661-4772-aec8-a12722fe2394.jpg.296x216.jpg', '和平广场 和平盛世 2室2厅  精装修', '和平盛世  | 2室2厅 | 87平米 | 南 | 其他', '中楼层(共32层)2012年建塔楼  -  明光路', '193万', '单价22184元/平米')
('https://image1.ljcdn.com/340100-inspection/53ee45c0-0f93-4a12-aa48-ec6000ce9bf3.jpg.296x216.jpg', '采光好，满五年唯一，交通便利，南北通透', '裕园小区  | 2室1厅 | 78.78平米 | 南 北 | 其他', '高楼层(共6层)2000年建板楼  -  城东', '125万', '单价15867元/平米')
