('https://image1.ljcdn.com/shfdfs-image/20171130/86c1bddc-d736-4555-9e2e-6148af580ff6.jpg.296x216.jpg', '2016年次新小区，市中牛B住宅，8/10号地铁全南户型', '复兴珑御  | 2室2厅 | 140平米 | 南 | 精装', '中楼层(共32层)板楼  -  老西门', '1730万', '单价123572元/平米')
('https://image1.ljcdn.com/310000-inspection/test-a6ac58ba-362a-456c-8ac3-70963d1d52eb.png.296x216.jpg', '全明双南_售后公房税少_全天阳光_房东诚意卖_价格可谈', '铁道路676-684号  | 2室0厅 | 50.39平米 | 南 | 毛坯 | 无电梯', '高楼层(共7层)1986年建板楼  -  世博滨江', '370万', '单价73428元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180117/012f92b1-8866-405a-834f-41d011d8f50a.jpg.296x216.jpg', '产证竣工年限新，适合居住，生活方便。配套成熟', '瞿溪路937弄  | 2室1厅 | 49.21平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1999年建板楼  -  五里桥', '400万', '单价81285元/平米')
('https://image1.ljcdn.com/310000-inspection/test-988fdcec-f125-482d-ba96-5463907186eb.png.296x216.jpg', '耀江二期+江景房+满五年V一+新装修+管家管理+看房方便', '耀江花园  | 1室1厅 | 64.29平米 | 南 | 精装 | 有电梯', '高楼层(共33层)2006年建板楼  -  世博滨江', '950万', '单价147768元/平米')
('https://image1.ljcdn.com/310000-inspection/test-f2e2c10c-0b88-48ee-b40f-90084c00dedc.png.296x216.jpg', '陕西南路上+随时可看+带车位+采光好+不临街+视野开阔', '联兴大厦  | 3室2厅 | 134.51平米 | 东南 西南 | 精装 | 有电梯', '高楼层(共20层)1999年建板楼  -  打浦桥', '1000万', '单价74344元/平米')
('https://image1.ljcdn.com/310000-inspection/76c1b95b-421a-4d85-ba58-b265581502b2.jpg.296x216.jpg', '城隍庙+业主诚意出售+总价低+价格可谈+适合动迁客户', '光启路105号  | 1室1厅 | 35.7平米 | 西南 | 简装', '中楼层(共7层)1992年建板楼  -  董家渡', '296万', '单价82914元/平米')
('https://image1.ljcdn.com/310000-inspection/test-20075725-cba6-4e4b-882b-dc183469334a.png.296x216.jpg', '新出去公房战斗机，通风 采光好 出行便捷，地段繁华', '五岭小区  | 1室1厅 | 34.8平米 | 南 | 精装 | 无电梯', '低楼层(共7层)1988年建板楼  -  打浦桥', '240万', '单价68966元/平米')
('https://image1.ljcdn.com/310000-inspection/test-e5acfbad-1eaf-4453-ae0b-7f091d4ce235.png.296x216.jpg', '有钥匙随时看，业主诚意出售，看房随时', '秀水苑(黄浦)  | 3室2厅 | 156平米 | 暂无数据 | 其他 | 有电梯', '高楼层(共24层)1998年建塔楼  -  董家渡', '980万', '单价62821元/平米')
('https://image1.ljcdn.com/310000-inspection/test-e0fa8fcb-e4d1-4b9a-abe0-5b2832e46b26.png.296x216.jpg', '单价低_高区视野好_商品房_楼道干净_住户素质好', '开源大厦  | 2室2厅 | 112.87平米 | 南 西南 | 简装 | 有电梯', '高楼层(共20层)1996年建塔楼  -  打浦桥', '710万', '单价62905元/平米')
('https://image1.ljcdn.com/x-se/shfdfs-image/20170104/6fbd450d-b6fc-4fb8-9ecd-572b102c915a.jpg.280x210.jpg', '交通方便,南北通透，户型方正满五唯一', '制造局路370弄  | 2室0厅 | 32.39平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1974年建板楼  -  五里桥', '300万', '单价92622元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/cdec1a73-6877-485e-b618-6dd1c30d58c0.png.280x210.jpg', '近南京东路地铁站，近外滩，诚意出售，适合置业过渡', '宁新小区  | 1室0厅 | 37平米 | 北 | 精装 | 无电梯', '高楼层(共7层)1989年建板楼  -  南京东路', '310万', '单价83784元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/6d51fce8-cdee-4e4e-ac07-dc11072eb7ba.png.280x210.jpg', '朝南一房，南北通透，对口徽三，看房方便，诚售！', '瞿溪新村  | 1室0厅 | 29.4平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1964年建板楼  -  世博滨江', '218万', '单价74150元/平米')
('https://image1.ljcdn.com/310000-inspection/test-0120b65a-58fa-433b-8234-b2956292d2b4.png.296x216.jpg', '卧室朝南带阳台，楼层适中，老少皆宜，看房方便', '蒙西小区  | 1室1厅 | 40.8平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1994年建板楼  -  五里桥', '355万', '单价87010元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161021/f5c456f3-27f5-466a-97f1-3384abef8072.jpg.296x216.jpg', '双车位+满五年无个税+小高层+近地铁+全天采光+随时看', '浩城华苑  | 2室2厅 | 71.93平米 | 南 北 | 简装 | 有电梯', '中楼层(共11层)2003年建板楼  -  董家渡', '730万', '单价101488元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170827/f0b5cf23-15b3-4432-b93e-c33e62aa1af0.jpg.296x216.jpg', '高区采光好 双南户型 婚房装修 房东置换 诚意出售', '五岭小区  | 2室1厅 | 51.2平米 | 南 | 精装 | 无电梯', '高楼层(共7层)1988年建板楼  -  打浦桥', '435万', '单价84961元/平米')
('https://image1.ljcdn.com/310000-inspection/test-0d61215c-6547-42cb-9cf2-afe1dc265e13.png.296x216.jpg', '局门路165号 1室1厅 278万', '局门路165号  | 1室1厅 | 32.33平米 | 西 | 其他 | 无电梯', '高楼层(共6层)1977年建板楼  -  五里桥', '278万', '单价85989元/平米')
('https://image1.ljcdn.com/310000-inspection/test-ed378019-55cf-4557-828c-b84e7bbf481d.png.296x216.jpg', '有钥匙，随时看，朝南一室户，小户型总价低，好楼层', '瞿四小区  | 1室0厅 | 30.34平米 | 暂无数据 | 毛坯 | 无电梯', '低楼层(共6层)1999年建板楼  -  世博滨江', '220万', '单价72512元/平米')
('https://image1.ljcdn.com/310000-inspection/test-cba6565b-c25f-47e9-953a-bb744e6d1d4e.png.296x216.jpg', '近新天地，一房可改两房房型正..', '汇龙新城  | 1室1厅 | 80.06平米 | 南 | 精装 | 有电梯', '低楼层(共32层)2002年建板楼  -  五里桥', '799万', '单价99801元/平米')
('https://image1.ljcdn.com/310000-inspection/test-346a2a4d-9c3a-48b4-84e5-3b64d185793b.png.296x216.jpg', '外滩板块、电梯房，全南全明户型，自住装修，总价低', '中恒公寓  | 2室2厅 | 84.91平米 | 南 | 精装 | 有电梯', '低楼层(共16层)1999年建板楼  -  董家渡', '620万', '单价73019元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload55acff6b-8495-4758-acdb-bfaa25599017.jpg.296x216.jpg', '售后公房，南北通两房，精装，买入拎包入住', '共和园小区  | 2室0厅 | 51.49平米 | 南 | 其他 | 无电梯', '中楼层(共7层)1991年建板楼  -  黄浦滨江', '460万', '单价89338元/平米')
('https://image1.ljcdn.com/310000-inspection/test-a73d0edb-db56-42f0-93e0-1a9f04f4d62a.png.296x216.jpg', '金鹿大楼+巨鹿路+急售+西南朝向+看房方便', '金鹿大楼,  | 2室1厅 | 58.04平米 | 西南 | 精装 | 有电梯', '中楼层(共29层)1992年建塔楼  -  淮海中路', '470万', '单价80979元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadfad0c75b-61aa-479e-91a7-06712e2c6372.jpg.296x216.jpg', '地铁口，江景房，两房朝南，业主置换急售！', '鲁班大楼  | 2室1厅 | 95.85平米 | 南 | 精装 | 有电梯', '中楼层(共24层)1990年建塔楼  -  世博滨江', '720万', '单价75118元/平米')
('', '《人民广场》《南北通大平层》《视野棒》《苏州河景》', '水景苑  | 3室2厅 | 192.31平米 | 南 北 | 精装 | 有电梯', '低楼层(共32层)2002年建板楼  -  人民广场', '1600万', '单价83200元/平米')
('https://image1.ljcdn.com/310000-inspection/test-ddb5809f-228e-4bb3-8866-103849db1d88.png.296x216.jpg', '内环内单价低的电梯房，邻滨江公园', '天歌大厦  | 2室2厅 | 120.46平米 | 西南 | 精装 | 有电梯', '高楼层(共28层)1998年建塔楼  -  打浦桥', '650万', '单价53960元/平米')
('https://image1.ljcdn.com/310000-inspection/3b62cd93-2bbb-43ba-9a02-0483e08374a0.jpg.296x216.jpg', '太阳都市花园、3房、中高区、老业主委托出售、', '太阳都市花园  | 3室2厅 | 156.61平米 | 东南 | 精装 | 有电梯', '低楼层(共33层)1999年建塔楼  -  豫园', '1120万', '单价71516元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160911/9dc62809-feb3-4c2c-8bc7-335012eb9247.jpg.296x216.jpg', '全南两房 高区视野好，详情咨询经纪人', '瑞南新苑  | 2室2厅 | 114.65平米 | 南 | 精装 | 有电梯', '中楼层(共33层)1999年建塔楼  -  打浦桥', '1000万', '单价87222元/平米')
('https://image1.ljcdn.com/310000-inspection/test-467cc670-2c67-4ad6-af51-093fa18f5683.png.296x216.jpg', '《1号线地铁口》《精装保养》《售后公房税少》', '福海小区  | 1室1厅 | 42平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1974年建板楼  -  人民广场', '320万', '单价76191元/平米')
('https://image1.ljcdn.com/310000-inspection/test-b3d578d8-463d-4308-b465-e323166f6240.png.296x216.jpg', '上海人家 2室1厅 830万', '上海人家  | 2室1厅 | 89.45平米 | 南 | 简装 | 有电梯', '中楼层(共27层)1999年建塔楼  -  世博滨江', '830万', '单价92790元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload9fedf88e-4492-4330-9262-4e06f1ea7627.jpg.296x216.jpg', '售后公房，少税，看房随时，房东急售', '瞿溪新村  | 2室0厅 | 46.18平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1964年建板楼  -  世博滨江', '390万', '单价84453元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/f76e766a-278b-4e96-984a-41c2eb6c6af6.png.280x210.jpg', '西凌新邨 1室0厅 250万', '西凌新邨  | 1室0厅 | 30.42平米 | 北 | 简装 | 无电梯', '低楼层(共6层)1990年建板楼  -  蓬莱公园', '250万', '单价82183元/平米')
('https://image1.ljcdn.com/310000-inspection/test-d852ecf2-97a1-410a-9f13-b6f5148e3ee8.png.296x216.jpg', '康绥公寓+淮海中路商圈+急售，急售+售后公房+满5', '康绥公寓  | 1室1厅 | 83.49平米 | 南 | 精装 | 无电梯', '低楼层(共4层)1935年建板楼  -  淮海中路', '939万', '单价112469元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploada0fd2e37-9ace-4838-a51c-a0ea1d7c719a.jpg.296x216.jpg', '链家好房，极力推荐，朝南精装两房，单价8.4！', '海潮路230弄  | 2室1厅 | 53.59平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1980年建板楼  -  蓬莱公园', '445万', '单价83038元/平米')
('https://image1.ljcdn.com/310000-inspection/test-68c5a549-385a-4397-9a7b-a2d411bc671e.png.296x216.jpg', '电梯大一房，带厅，全明，高区，朝南西边套', '海潮公寓  | 1室1厅 | 48.05平米 | 南 | 精装 | 有电梯', '中楼层(共31层)1994年建塔楼  -  蓬莱公园', '450万', '单价93653元/平米')
('https://image1.ljcdn.com/310000-inspection/8ee6cbf4-f0ab-4e73-a155-ce4b70bea4f5.jpg.296x216.jpg', '阳光翠竹苑 2室2厅 960万', '阳光翠竹苑  | 2室2厅 | 121.18平米 | 南 | 精装 | 有电梯', '中楼层(共32层)2004年建板楼  -  董家渡', '960万', '单价79221元/平米')
('https://image1.ljcdn.com/shfdfs-image/20151230/ed268c3f-0cdb-4293-b960-b555bd9037a3.jpg.296x216.jpg', '西边套，房型正，视野开阔，满五唯一，地段好，采光好', '太阳都市花园  | 2室2厅 | 114.31平米 | 西南 | 简装 | 有电梯', '低楼层(共33层)1999年建塔楼  -  豫园', '1000万', '单价87482元/平米')
('https://image1.ljcdn.com/310000-inspection/test-da654add-a5ce-4d14-b466-1bcc95661988.png.296x216.jpg', '打浦桥世博滨江 南园公园 成熟小区 钥匙房随时看', '南园小区  | 2室1厅 | 70.43平米 | 西南 | 简装 | 有电梯', '中楼层(共29层)1992年建塔楼  -  打浦桥', '510万', '单价72413元/平米')
('', '正气双南全明大两房，品质物业，二阶梯师专小家门口！', '江南世纪新苑  | 2室2厅 | 108.43平米 | 南 | 简装 | 有电梯', '低楼层(共29层)2000年建板楼  -  五里桥', '870万', '单价80237元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160131/89ab0f7b-854f-43a1-9842-7d65c7fc3d27.jpg.296x216.jpg', '精装全明，闹中取静，双轨交通，满五唯 一，随时看房', '锦绣家园  | 2室2厅 | 101.41平米 | 东南 | 精装 | 有电梯', '低楼层(共22层)2000年建板楼  -  蓬莱公园', '800万', '单价78888元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170902/75b5f3e4-66a4-435e-ae6b-c2756a2047bb.jpg.296x216.jpg', '华润小高层，大3房，6月份满五唯.一，送，产权车位', '华润外滩九里  | 3室2厅 | 244.25平米 | 暂无数据 | 精装 | 有电梯', '高楼层(共13层)2011年建板楼  -  黄浦滨江', '3500万', '单价143296元/平米')
('https://image1.ljcdn.com/310000-inspection/test-08225ef5-d8e8-405c-a87b-b265180debc6.png.296x216.jpg', '东晖花苑+两房+满五唯一+高区景观+朝南精装+随时可看', '东晖花苑  | 2室2厅 | 90.62平米 | 南 | 精装 | 有电梯', '高楼层(共31层)1999年建塔楼  -  打浦桥', '750万', '单价82764元/平米')
('https://image1.ljcdn.com/310000-inspection/test-9f990cff-6993-4b25-ba9f-e945d00e6207.png.296x216.jpg', '打浦大楼 3室2厅 620万', '打浦大楼  | 3室2厅 | 70.89平米 | 南 | 简装 | 有电梯', '中楼层(共16层)1978年建板楼  -  打浦桥', '620万', '单价87460元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadfd86f79c-02be-43ba-a5b5-27a634082757.jpg.296x216.jpg', '西凌新邨 1室1厅 375万', '西凌新邨  | 1室1厅 | 47.65平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1990年建板楼  -  蓬莱公园', '375万', '单价78699元/平米')
('https://image1.ljcdn.com/310000-inspection/test-23dd192f-c8fc-46bb-9d3c-40d576b25f83.png.296x216.jpg', '海潮新村 全明一室户 价格公道 楼层四楼 看房都方便', '普育东路65弄  | 1室0厅 | 32.22平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1988年建板楼  -  蓬莱公园', '275万', '单价85351元/平米')
('https://image1.ljcdn.com/310000-inspection/test-965d55cf-2157-47be-a0e2-52e2b1c2821c.png.296x216.jpg', '小区闹中取静 得房率高 朝南全明 视野无遮挡 好房出售', '陆家浜路1382弄  | 2室1厅 | 42.05平米 | 南 | 精装 | 无电梯', '高楼层(共7层)1993年建板楼  -  蓬莱公园', '393万', '单价93461元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadd3667940-305c-435d-a08d-74e80d5918a1.jpg.296x216.jpg', '外滩，精装2房，近城隍庙，3分锺地铁，董家渡金融城', '悦来小区  | 2室1厅 | 65.37平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1994年建板楼  -  黄浦滨江', '550万', '单价84137元/平米')
('https://image1.ljcdn.com/310000-inspection/test-4a19783f-d3a9-4a30-b2b5-577afdc02e64.png.296x216.jpg', '随时可看，带天井，采光好，不临街，一南一北', '瞿溪路1032弄  | 2室0厅 | 57.64平米 | 南 北 | 精装 | 无电梯', '低楼层(共5层)1980年建板楼  -  打浦桥', '435万', '单价75469元/平米')
('https://image1.ljcdn.com/310000-inspection/7f6c117f-2ef4-46fc-bcc7-08dec9cc7b47.jpg.296x216.jpg', '钻石地块，江景大四房，户型正气，随时看，得房率高', '海琪园  | 4室2厅 | 192.87平米 | 南 | 精装 | 有电梯', '低楼层(共31层)2003年建板楼  -  黄浦滨江', '1858万', '单价96335元/平米')
('https://image1.ljcdn.com/310000-inspection/74e0350c-20a6-4fdb-b353-2e55e42d2f5f.jpg.296x216.jpg', '南北通透大两房，业主置换急售，价格看中可谈', '滨江名人苑  | 2室2厅 | 114平米 | 南 北 | 精装 | 有电梯', '中楼层(共31层)板楼  -  黄浦滨江', '1100万', '单价96492元/平米')
('https://image1.ljcdn.com/310000-inspection/test-fbd7b99e-48ef-4a43-836c-48a179c16fd3.png.296x216.jpg', '诚意出售，高区近九院，售后公房，看房方便有钥匙', '西凌新邨  | 2室1厅 | 84.92平米 | 东 西 | 简装 | 有电梯', '高楼层(共32层)1995年建塔楼  -  蓬莱公园', '650万', '单价76543元/平米')
('https://image1.ljcdn.com/310000-inspection/test-571d085b-5821-4979-8fca-3c486f38d31c.png.296x216.jpg', '户型方正，交通便利，精品房源，单价低。', '瞿溪新村  | 3室1厅 | 67.06平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1964年建板楼  -  世博滨江', '480万', '单价71578元/平米')
('https://image1.ljcdn.com/310000-inspection/test-e4d53b96-8d2e-4069-9e06-781c80fa3ea5.png.296x216.jpg', '人民广场+3条metro+苏州河景观房+装修独特+前后无遮挡', '水景苑  | 3室2厅 | 192.31平米 | 南 北 | 精装 | 有电梯', '中楼层(共32层)2002年建板楼  -  人民广场', '1700万', '单价88399元/平米')
('https://image1.ljcdn.com/310000-inspection/dbda6cfa-53d9-4f57-95a0-9ae2dd3b3e40.jpg.296x216.jpg', '铂金地段朝南一室户，师专附属小，房东诚意出售！', '蒙自路395弄  | 1室0厅 | 38.1平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1987年建板楼  -  五里桥', '310万', '单价81365元/平米')
('https://image1.ljcdn.com/310000-inspection/29f34661-f6d7-4aee-81ac-04939c6a3f3f.jpg.296x216.jpg', '新出房源，买进价格高，税费少，产权清晰，看房方便', '海华花园  | 3室2厅 | 115.22平米 | 东南 | 精装 | 有电梯', '高楼层(共33层)1994年建塔楼  -  打浦桥', '910万', '单价78980元/平米')
('https://image1.ljcdn.com/310000-inspection/test-7d746266-4218-4d7f-9f1d-265d792caa2d.png.296x216.jpg', '满五年唯一、售后公房、业主急卖、诚意出售', '海乾公寓  | 3室1厅 | 92.29平米 | 西南 | 其他 | 无电梯', '低楼层(共7层)1997年建板楼  -  五里桥', '750万', '单价81266元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload251431ba-de3b-4c5b-8975-6d2670134593.jpg.296x216.jpg', '西凌新邨 1室1厅 350万', '西凌新邨  | 1室1厅 | 41.04平米 | 南 | 其他 | 无电梯', '中楼层(共6层)1987年建板楼  -  蓬莱公园', '350万', '单价85283元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160626/f8038cf1-2764-480f-8fe1-973e6c9553ca.jpg.296x216.jpg', '翠湖一期唯一复式 高绿化 诚意出售', '翠湖天地雅苑  | 3室2厅 | 223.21平米 | 南 | 精装 | 有电梯', '低楼层(共9层)2003年建板楼  -  新天地', '3200万', '单价143363元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161011/c3ed567e-0207-467d-8b0e-c55f8ce5913b.jpg.296x216.jpg', '蒙自路395弄 1室1厅 286万', '蒙自路395弄  | 1室1厅 | 38.1平米 | 南 | 其他 | 无电梯', '高楼层(共7层)1987年建板楼  -  五里桥', '286万', '单价75066元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadda657e14-a759-46d6-8192-76053ab4e6b7.jpg.296x216.jpg', '思南路115弄 1室0厅 348万', '思南路115弄  | 1室0厅 | 36.79平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1989年建板楼  -  打浦桥', '348万', '单价94591元/平米')
('https://image1.ljcdn.com/310000-inspection/test-18cafda5-028e-4ae0-b291-cebbac1d2336.png.296x216.jpg', '山北小区，厨卫全明，朝南一室半，看房提前联系', '山北小区  | 1室1厅 | 42.9平米 | 南 | 精装 | 有电梯', '高楼层(共7层)1987年建板楼  -  南京东路', '337万', '单价78555元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171216/7c1712a2-3059-4456-bf6e-32e8da0006a3.jpg.296x216.jpg', '小高层电梯，婚装全配，诚意出售，随时看房，交通便利', '嘉登公寓  | 2室1厅 | 85平米 | 南 | 精装 | 有电梯', '低楼层(共14层)1998年建板楼  -  世博滨江', '850万', '单价100000元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170716/a4d2705f-4e3e-444c-8362-45811336018b.jpg.296x216.jpg', '园林小区，房型方正，景观视野很好', '明珠家园(黄浦)  | 2室2厅 | 100.99平米 | 暂无数据 | 精装 | 有电梯', '高楼层(共33层)2004年建板楼  -  蓬莱公园', '950万', '单价94069元/平米')
('https://image1.ljcdn.com/310000-inspection/test-37ab4897-d219-4c81-9002-c6f6cb60e325.png.296x216.jpg', '老西门地铁口 全南两房 一梯两户 得房率高', '建新公寓  | 2室2厅 | 91.91平米 | 南 | 精装 | 有电梯', '高楼层(共11层)2006年建板楼  -  老西门', '970万', '单价105539元/平米')
('https://image1.ljcdn.com/x-se/hdic-resblock/133dcb80-6d34-4975-9e18-1a3fc3ce2d84.jpg.296x216.jpg', '老西门新苑 5房间2卫 800万', '老西门新苑  | 3室2厅 | 147.08平米 | 南 | 精装 | 有电梯', '低楼层(共40层)2006年建板楼  -  老西门', '800万', '单价54393元/平米')
('https://image1.ljcdn.com/310000-inspection/test-55236fad-16fb-4164-89a8-c998ac9d39f9.png.296x216.jpg', '议价房源：稀.缺房+三房朝南+小区中.心+朝南双阳台', '卢湾都市花园  | 3室2厅 | 142.4平米 | 南 | 精装 | 有电梯', '中楼层(共19层)2004年建板楼  -  五里桥', '1280万', '单价89888元/平米')
('https://image1.ljcdn.com/310000-inspection/d4d22ada-9f1b-4fdf-937e-a5b6d283cc06.jpg.296x216.jpg', '售后公房唯一，南北通透2房，中间楼层，采光好无遮挡', '西凌新邨  | 2室1厅 | 55.47平米 | 南 北 | 其他 | 有电梯', '中楼层(共7层)1991年建板楼  -  蓬莱公园', '430万', '单价77520元/平米')
('https://image1.ljcdn.com/310000-inspection/test-83c2d920-c57b-4687-9022-123a22a30703.png.296x216.jpg', '《人民广场》《新闸路地铁》《苏州河景》《业主急售》', '长新大楼  | 2室0厅 | 53.21平米 | 西北 | 精装 | 有电梯', '高楼层(共21层)1987年建塔楼  -  人民广场', '450万', '单价84571元/平米')
('', '双地铁，上外大同，高区光景房，户型正气，诚意出售', '弘辉名苑  | 3室2厅 | 143.71平米 | 南 | 精装 | 有电梯', '高楼层(共22层)2005年建塔楼  -  世博滨江', '1200万', '单价83502元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload9d11f1b8-98ac-4483-beb3-c9f7007b1dd7.jpg.296x216.jpg', '此房诚意出售，预约可看，户型方正，交通便利', '大林路43弄  | 2室1厅 | 64.48平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1991年建板楼  -  老西门', '550万', '单价85298元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170304/7fcf607b-1c4b-438d-a7f7-e5f18ed8607b.jpg.296x216.jpg', '精装 两房两厅两卫  业主置换诚意出售 【有车位】', '阳光翠竹苑  | 2室2厅 | 123平米 | 南 | 精装 | 有电梯', '中楼层(共32层)2004年建板楼  -  董家渡', '1045万', '单价84960元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160720/f9a41329-a14c-4ff1-964c-c87d86189090.jpg.296x216.jpg', '帝庭 3室2厅 1500万', '帝庭  | 3室2厅 | 209.27平米 | 南 | 精装 | 有电梯', '中楼层(共24层)2004年建板楼  -  打浦桥', '1500万', '单价71678元/平米')
('https://image1.ljcdn.com/310000-inspection/test-b531b703-da9c-4073-924c-571505ca278a.png.296x216.jpg', '卢湾品质小区正规三房，园林式小区。价格可以谈', '卢湾都市花园  | 3室2厅 | 127.35平米 | 南 | 精装 | 有电梯', '高楼层(共28层)2004年建板楼  -  五里桥', '1120万', '单价87947元/平米')
('https://image1.ljcdn.com/310000-inspection/test-b6947bb7-da1a-4d16-903e-639d17f78f62.png.296x216.jpg', '佳日公寓 3室2厅 1000万', '佳日公寓  | 3室2厅 | 133.25平米 | 南 | 精装 | 有电梯', '中楼层(共23层)2002年建塔楼  -  豫园', '1000万', '单价75047元/平米')
('https://image1.ljcdn.com/310000-inspection/test-ca590259-b8ba-4e98-80ee-f0c6ca6d0eb0.png.296x216.jpg', '银南大厦 3室1厅 720万', '银南大厦  | 3室1厅 | 84.96平米 | 西 | 精装 | 有电梯', '中楼层(共23层)1991年建塔楼  -  蓬莱公园', '720万', '单价84746元/平米')
('https://image1.ljcdn.com/310000-inspection/test-854c1504-074a-45ed-8432-df816bd209d1.png.296x216.jpg', '东泰花苑难得高层，走路5min到日月光，近4号线鲁班路', '东泰花苑  | 2室2厅 | 115.06平米 | 南 北 | 其他 | 有电梯', '高楼层(共28层)2002年建板楼  -  打浦桥', '1156万', '单价100470元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170701/4aa0dfa0-8199-44b4-a066-d61218a1d053.jpg.296x216.jpg', '03年小区 两房朝南厅南北通，地铁8,9双轨 随时可看', '锦凯华苑  | 2室2厅 | 104.86平米 | 南 | 精装 | 有电梯', '中楼层(共26层)2003年建板楼  -  蓬莱公园', '980万', '单价93458元/平米')
('https://image1.ljcdn.com/310000-inspection/test-f3e64181-009d-48fd-98f0-b5cad9964689.png.296x216.jpg', '大吉路26弄 1室1厅 280万', '大吉路26弄  | 1室1厅 | 31.74平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1986年建板楼  -  老西门', '280万', '单价88217元/平米')
('https://image1.ljcdn.com/310000-inspection/test-c6e23b27-89e6-4ff5-92b0-8a4eade04517.png.296x216.jpg', '诚意出售全南+满五唯一+钥匙房 随时看', '斜土路734弄  | 2室1厅 | 49.5平米 | 南 | 精装 | 有电梯', '中楼层(共7层)1987年建板楼  -  打浦桥', '420万', '单价84849元/平米')
('https://image1.ljcdn.com/310000-inspection/test-6b7d4ddd-43f9-4caf-9d94-e36d56294265.png.296x216.jpg', '降价100万！诚意出售 明星楼栋+新装修车位前排江景', '融创滨江壹号院  | 3室2厅 | 191.81平米 | 西南 | 精装 | 有电梯', '中楼层(共28层)2012年建板楼  -  世博滨江', '2100万', '单价109484元/平米')
('https://image1.ljcdn.com/310000-inspection/test-3bc5845f-338f-49af-97fc-f8708dce5d5e.png.296x216.jpg', '次新房，值得关注，大平层统一装修，满2年，业主诚售', '黄浦滩名苑  | 5室3厅 | 312.21平米 | 南 | 精装 | 有电梯', '低楼层(共30层)2014年建板楼  -  世博滨江', '3600万', '单价115308元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/2507d843-ac98-498a-9aa8-dd0bc69b2cc3.png.280x210.jpg', '紫气东来的地铁房+卢湾实验+拎包入住+交通便利方便', '南陆大厦  | 1室1厅 | 53.68平米 | 东 | 精装 | 有电梯', '高楼层(共25层)1994年建塔楼  -  蓬莱公园', '480万', '单价89419元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload847aae2c-41d3-4025-accc-effd75b7d490.jpg.296x216.jpg', '公房中的战斗机，南北两房，中楼层，诚意，看房方便', '普育东路65弄  | 2室1厅 | 43.67平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)1988年建板楼  -  蓬莱公园', '390万', '单价89307元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160305/bcf30ece-a208-44ac-b5ba-fa9602920808.jpg.296x216.jpg', '钥匙房_满五年_有电梯_全明户型_地铁口_打浦桥滨江', '南园小区  | 1室1厅 | 59.54平米 | 西北 | 精装 | 有电梯', '中楼层(共29层)1994年建塔楼  -  打浦桥', '395万', '单价66342元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/15b0ac60-08d4-4fb5-a5e0-1cc244d35182.png.280x210.jpg', '双南两房采光特好，价格可谈看房都方便，近打浦桥路。', '龙华小区  | 2室1厅 | 46.66平米 | 暂无数据 | 简装 | 无电梯', '高楼层(共6层)1978年建板楼  -  世博滨江', '375万', '单价80369元/平米')
