('https://image1.ljcdn.com/510100-inspection/test-bb5bc628-e1c2-4253-86b3-fef603380145.png.296x216.jpg', '此房满两年，低楼层， 小区刷卡进入', '交大庭院  | 3室2厅 | 105.43平米 | 南 | 精装 | 无电梯', '低楼层(共7层)1999年建板楼  -  五大花园', '135万', '单价12805元/平米')
('https://image1.ljcdn.com/510100-inspection/test-56af8e4f-8522-42e2-8f68-6ed96f905adb.png.296x216.jpg', '清水套四 客厅主卧朝南  对中庭 安静 满五唯一省个税', '桐梓林欧城  | 4室2厅 | 179.23平米 | 南 | 其他 | 有电梯', '低楼层(共21层)2009年建塔楼  -  桐梓林', '490万', '单价27340元/平米')
('https://image1.ljcdn.com/510100-inspection/1c57d5f6-e860-4a6f-bc1e-03db430d3c35.JPG.296x216.jpg', '龙湾半岛 清水4跃5洋房 前后中庭 位置安静', '中海龙湾半岛  | 4室2厅 | 213平米 | 南 | 其他 | 有电梯', '中楼层(共8层)2009年建板楼  -  龙湾', '700万', '单价32864元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploadb7287e1a-267c-4605-b92d-82e19d06b53e.jpg.296x216.jpg', '七里晓月，套二，户型方正采光不错', '七里晓月  | 2室1厅 | 89.81平米 | 西南 | 简装 | 有电梯', '中楼层(共13层)2014年建塔楼  -  簇桥', '150万', '单价16702元/平米')
('https://image1.ljcdn.com/510100-inspection/test-766dcf9d-0042-4ac2-8af8-95109667de9a.png.296x216.jpg', '套二带装修，客厅、卧室均不临街，中高层，满两年', '中铁骑士公馆  | 2室1厅 | 69.91平米 | 北 | 其他 | 有电梯', '中楼层(共18层)2013年建板楼  -  新双楠', '146万', '单价20884元/平米')
('https://image1.ljcdn.com/510100-inspection/test-53fd6796-dee9-450d-be67-7b3a34d92893.png.296x216.jpg', '桐梓林欧城 精装套四双卫 正看水景', '桐梓林欧城  | 4室2厅 | 182.87平米 | 东南 | 其他 | 有电梯', '中楼层(共21层)2009年建塔楼  -  桐梓林', '560万', '单价30623元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2889fc6d-97b4-4ed8-a6dc-94191c57b042.png.296x216.jpg', '卫欣苑套三双卫  高楼层  位置安静', '卫欣苑  | 3室2厅 | 132.36平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2002年建板楼  -  红牌楼', '165万', '单价12467元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ebdeb40c-0cfd-4fb8-8490-1397158eea7d.png.296x216.jpg', '户型方正   采光不错装修简单！', '中央花园二期  | 1室1厅 | 41.8平米 | 东南 | 其他 | 无电梯', '高楼层(共7层)1998年建板楼  -  五大花园', '55万', '单价13158元/平米')
('https://image1.ljcdn.com/510100-inspection/test-29a2c5e1-6597-4928-a43b-b244d73cc49b.png.296x216.jpg', '翠堤春晓顶跃套三单卫，简单装修', '翠堤春晓  | 3室2厅 | 107.69平米 | 南 | 简装 | 无电梯', '高楼层(共6层)2002年建板楼  -  五大花园', '178万', '单价16529元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b2cd81c9-3099-411b-bf74-bf7a8700b5a9.png.296x216.jpg', '长城宜苑 套二 户型方正 带阳台', '长城宜苑  | 2室1厅 | 77.83平米 | 东南 | 简装', '中楼层(共11层)板楼  -  丽都', '110万', '单价14134元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7499044f-f3bc-48ba-8871-41127a132170.png.296x216.jpg', '双楠尊邸标准电梯套三双卫，不临街', '双楠尊邸  | 3室2厅 | 134.42平米 | 南 北 | 其他 | 有电梯', '中楼层(共18层)2006年建板塔结合  -  广福桥', '268万', '单价19938元/平米')
('https://image1.ljcdn.com/510100-inspection/test-26aa2fe8-84fc-4e6c-a164-9468b962f7e7.png.296x216.jpg', '兴元嘉园 电梯套二 简单装修 采光好', '兴元嘉园  | 2室1厅 | 89.17平米 | 西南 | 其他 | 有电梯', '低楼层(共9层)2005年建板楼  -  武侯立交', '120万', '单价13458元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1d3166d9-c69a-450c-aa88-b910845e1383.png.296x216.jpg', '杜甫花园多层房，套三朝南对小区', '杜甫花园  | 3室1厅 | 166.18平米 | 南 | 简装 | 无电梯', '低楼层(共5层)1999年建板楼  -  龙湾', '300万', '单价18053元/平米')
('https://image1.ljcdn.com/510100-inspection/test-aba3ba7a-7343-4c55-bbc3-e6df2911d238.png.296x216.jpg', '朝南跃层套五，满二，清水随便装', '芳草地  | 5室3厅 | 198.9平米 | 南 | 毛坯 | 无电梯', '中楼层(共6层)1998年建板楼  -  桐梓林', '310万', '单价15586元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0e3df6bd-2de4-4297-891a-79ca08fcae59.png.296x216.jpg', '颐和雅居 一楼带花园 装修保养好', '颐和雅居  | 4室2厅 | 125.81平米 | 南 | 其他 | 有电梯', '低楼层(共13层)2006年建板楼  -  五大花园', '195万', '单价15500元/平米')
('https://image1.ljcdn.com/510100-inspection/test-54df63d3-6d43-40c9-b55b-5009453ea074.png.296x216.jpg', '电梯 朝南 套三 带装修 清水河边 花间集', '花间集  | 3室2厅 | 129平米 | 南 | 精装 | 有电梯', '高楼层(共7层)2008年建板楼  -  龙湾', '260万', '单价20156元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b24189da-7078-46f3-bdb6-f0e4c0e13f3b.png.296x216.jpg', '曼哈顿自然派 精装标准套一 带入户花园', '曼哈顿自然派  | 1室1厅 | 67.78平米 | 南 | 其他 | 有电梯', '中楼层(共19层)2005年建板楼  -  航空路', '110万', '单价16229元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e8af746b-f453-4880-b9a3-2cf769c3f179.png.296x216.jpg', '天乐苑 套二 采光好 卧室全朝南 有长租车位', '置信逸都花园天乐苑  | 2室2厅 | 79.64平米 | 东南 | 其他 | 无电梯', '高楼层(共7层)2002年建板楼  -  外双楠', '142万', '单价17831元/平米')
('https://image1.ljcdn.com/510100-inspection/test-37283268-9310-4f88-92e2-45784cb1b854.png.296x216.jpg', '南二环内电梯套三，配套齐全，交通方便，看房方便。', '成达综合楼  | 3室2厅 | 125.53平米 | 南 | 其他 | 有电梯', '低楼层(共21层)2004年建板楼  -  玉林', '198万', '单价15774元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4b098836-8229-4e79-8940-c1381dd5cb08.png.296x216.jpg', '二环边 套二 户型方正 中等装修 拎包入住', '爱家馨城  | 2室1厅 | 73.88平米 | 西南 | 其他 | 有电梯', '中楼层(共11层)2004年建板楼  -  红牌楼', '140万', '单价18950元/平米')
('https://image1.ljcdn.com/510100-inspection/94710866-a661-481b-abba-f6ac279d467b.JPG.296x216.jpg', '外双楠 大华情融苑电梯套四 30平大阳台', '大华情融苑  | 4室2厅 | 180.39平米 | 北 | 其他 | 有电梯', '中楼层(共11层)2002年建板楼  -  外双楠', '320万', '单价17740元/平米')
('https://image1.ljcdn.com/510100-inspection/test-58a7b4c1-1c68-4d7b-97fe-9b8745684eb4.png.296x216.jpg', '置信开发，中间楼层，南北通透套三，对中庭，采光好。', '双楠谊苑二期二区  | 3室2厅 | 117.44平米 | 北 | 其他 | 无电梯', '中楼层(共7层)1999年建板楼  -  双楠', '168万', '单价14306元/平米')
('https://image1.ljcdn.com/510100-inspection/test-34b04e0b-132d-4f00-bd89-8395c31441d3.png.296x216.jpg', '二环边爱丁堡 标间 朝南 电梯房', '爱丁堡  | 1室0厅 | 57.85平米 | 南 | 简装 | 有电梯', '中楼层(共7层)2004年建板楼  -  外双楠', '80万', '单价13829元/平米')
('https://image1.ljcdn.com/510100-inspection/test-673e3ab1-543b-4942-a010-d3a1e8190d77.png.296x216.jpg', '中粮套二有装修，东南朝向居住安静', '中粮祥云二期  | 2室2厅 | 90.58平米 | 东南 | 其他 | 有电梯', '中楼层(共17层)2014年建板楼  -  武侯立交', '232万', '单价25613元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ff5a6cae-4813-46c1-a1be-7db73d6ee99d.png.296x216.jpg', '武侯双楠 标准套二户型 有阳台 有装修 拎包入住不临街', '煤气总公司宿舍  | 2室1厅 | 67.5平米 | 南 | 其他 | 无电梯', '中楼层(共7层)2000年建板楼  -  双楠', '110万', '单价16297元/平米')
('https://image1.ljcdn.com/510100-inspection/test-61eb5425-ec2d-42a3-95ae-abea6c06ccd4.png.296x216.jpg', '百花东街52号高楼层套一有装修采光好', '百花东街52号  | 1室1厅 | 47.43平米 | 南 | 简装 | 无电梯', '高楼层(共7层)2000年建板塔结合  -  双楠', '61万', '单价12862元/平米')
('https://image1.ljcdn.com/510100-inspection/test-22bf3f7b-2296-4e39-b104-55be5f98932c.png.296x216.jpg', '龙井南路一段西园 套二 带装修 采光可以 南北通透', '龙井南路一段西园  | 2室2厅 | 77.8平米 | 西南 东北 | 其他', '高楼层(共6层)暂无数据  -  簇桥', '95万', '单价12211元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5de1ec00-1b62-4ddc-b916-75d5ff5f3ed8.png.296x216.jpg', '方正套二采光好，简欧实木精装业主诚心出售！', '园中园北苑  | 2室1厅 | 76.86平米 | 东 东南 | 其他 | 无电梯', '高楼层(共7层)2000年建板塔结合  -  五大花园', '108万', '单价14052元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a5222ced-13c8-486b-bdb7-4307475e2f38.png.296x216.jpg', '美丽天城新上套二客厅有阳台有装修看房预约', '美丽天城  | 2室1厅 | 83.47平米 | 西北 | 其他 | 有电梯', '高楼层(共16层)2008年建板楼  -  丽都', '149.9万', '单价17959元/平米')
('https://image1.ljcdn.com/510100-inspection/test-74561a40-4315-442c-b2c1-d8fddca1f592.png.296x216.jpg', '锦宏骏苑跃层套二，自住精装修，安静不临街', '锦宏骏苑南区  | 2室3厅 | 111.64平米 | 北 | 精装 | 有电梯', '高楼层(共11层)2004年建板楼  -  川音', '210万', '单价18811元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploadcca94ddc-fecc-4785-b8c7-e5880254ae92.jpg.296x216.jpg', '蜀汉公寓 户型方正  权属清晰 交通便利', '蜀汉公寓  | 3室2厅 | 139.05平米 | 东 | 其他 | 无电梯', '高楼层(共6层)1994年建板楼  -  武侯祠', '180万', '单价12945元/平米')
('https://image1.ljcdn.com/510100-inspection/f25f372c-81b4-4b2d-838f-6c07a81d261a.jpg.296x216.jpg', '风华苑 套三带阳台 朝南 有装修', '风华苑  | 3室1厅 | 125.77平米 | 南 | 精装 | 有电梯', '低楼层(共11层)2003年建板塔结合  -  桐梓林', '250万', '单价19878元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e3b67786-61f3-4d72-a967-7c030804f91a.png.296x216.jpg', '交大花园 异形套二  居家装修', '交大花园南苑  | 2室1厅 | 75.5平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1997年建板楼  -  五大花园', '90万', '单价11921元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8df6c929-497e-4289-be3a-277d6544cf49.png.296x216.jpg', '交大万通格外 套二 西南向 带大阳台 房子满两年', '交大万通格外  | 2室1厅 | 78.44平米 | 东南 | 其他 | 有电梯', '低楼层(共18层)2011年建板楼  -  丽都', '159万', '单价20271元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f91346cf-7dc0-4a9d-8a0d-713d12955838.png.296x216.jpg', '龙爪多层 套二 东西朝向,有装修', '龙爪小区东1号院  | 2室1厅 | 70平米 | 东 西 | 其他 | 无电梯', '高楼层(共7层)板楼  -  外双楠', '90万', '单价12858元/平米')
('https://image1.ljcdn.com/510100-inspection/test-127d33df-a0bc-4167-97e0-bef44e69c68a.png.296x216.jpg', '杰座 两居室 有装修 采光好 无遮挡', '杰座  | 2室2厅 | 79.67平米 | 东南 | 其他 | 有电梯', '中楼层(共16层)2009年建板楼  -  丽都', '150万', '单价18828元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ec7ca89a-8588-4035-babd-4a197ea7cf2c.png.296x216.jpg', '套三双卫，装修好，连天红，非洲紫檀家具！', '保利花园四期  | 3室2厅 | 100.41平米 | 东南 | 精装 | 有电梯', '中楼层(共16层)2014年建板楼  -  新双楠', '252万', '单价25098元/平米')
('https://image1.ljcdn.com/510100-inspection/test-fd31ac90-a33a-4998-8876-815b912266a0.png.296x216.jpg', '中华名园 三室两厅 交通便利 环境干净舒适 适合居住', '中华名园二期  | 3室2厅 | 119.49平米 | 西北 | 其他 | 有电梯', '低楼层(共16层)2009年建板楼  -  武侯立交', '226万', '单价18914元/平米')
('https://image1.ljcdn.com/510100-inspection/5cf985b2-abd7-4021-a89d-9ff23f91e537.JPG.296x216.jpg', '锦 官 新 城 西 区 顶跃带花园。', '锦官新城西区  | 5室2厅 | 306.6平米 | 南 北 | 精装 | 有电梯', '高楼层(共9层)2003年建塔楼  -  航空路', '560万', '单价18265元/平米')
('https://image1.ljcdn.com/510100-inspection/test-722208c8-283c-46ec-8a52-38ac632e9a5e.png.296x216.jpg', '二环边低价，离哪都近，走哪都快，盒区房', '花样年华四期  | 1室0厅 | 41.87平米 | 东南 | 简装 | 无电梯', '高楼层(共6层)2005年建板楼  -  红牌楼', '61万', '单价14569元/平米')
('https://image1.ljcdn.com/510100-inspection/test-53a89ca1-8978-4d1b-ac2f-7ff467f78857.png.296x216.jpg', '华宇蓉国府 朝南套二 视野开阔 不临街', '华宇蓉国府  | 2室2厅 | 88.28平米 | 南 | 其他 | 有电梯', '高楼层(共33层)2012年建板楼  -  玉林', '273万', '单价30925元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e580a9fa-7312-452a-a89f-a804cfc4adba.png.296x216.jpg', '长寿苑标准套三，带一个 卫生间', '长寿苑  | 2室1厅 | 80.11平米 | 东南 | 其他 | 无电梯', '高楼层(共6层)板塔结合  -  火车南站', '98万', '单价12234元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ba29c140-6c66-4f83-9a68-5d3a40fac506.png.296x216.jpg', '新南门  磨子桥   三室两厅 交通便利  适合居住', '新南路101号  | 3室1厅 | 117.54平米 | 东北 | 其他 | 无电梯', '高楼层(共7层)暂无数据  -  川音', '165万', '单价14038元/平米')
('https://image1.ljcdn.com/510100-inspection/test-fa515e92-2198-41fd-b5b6-2bc4af741dfc.png.296x216.jpg', '丽都世家套一 东南朝向 自住装修', '丽都世家A区  | 2室1厅 | 67.5平米 | 东南 | 其他 | 有电梯', '高楼层(共17层)2014年建板楼  -  丽都', '160万', '单价23704元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5c3e4897-3fdb-4d44-821a-bcb40830d3fa.png.296x216.jpg', '嘉瑞苑套三双卫，顶楼跃层有花园', '嘉瑞苑一期  | 3室2厅 | 142.59平米 | 北 | 精装 | 无电梯', '高楼层(共6层)2004年建板楼  -  外双楠', '260万', '单价18235元/平米')
('https://image1.ljcdn.com/510100-inspection/1521a472-b3bb-4341-a6ed-2becbc0800de.jpg.296x216.jpg', '南2.5环内侧  南辰景秀 套二 有装修 有阳台', '南辰景秀  | 2室2厅 | 87.72平米 | 西 | 精装 | 有电梯', '中楼层(共18层)2006年建塔楼  -  火车南站', '170万', '单价19380元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f082d7cd-da7f-45fe-a087-4e6e09fef466.png.296x216.jpg', '平层电梯套二    采光好     视野开阔', '会所花园  | 2室1厅 | 78.53平米 | 东 | 精装 | 有电梯', '中楼层(共16层)2002年建板楼  -  五大花园', '117万', '单价14899元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploadecbcc88e-8875-4cc8-80a2-4d2f533ce52f.jpg.296x216.jpg', '诚品上院，标准套二，户型方正，采光好', '诚品上院  | 2室2厅 | 84.6平米 | 东南 | 其他 | 有电梯', '中楼层(共18层)2008年建板楼  -  草金立交', '115万', '单价13594元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload482710b0-09d2-4b51-8a01-84c91393c4a0.jpg.296x216.jpg', '风华苑 套三加书房 客厅朝南 卧室朝北带阳台。', '风华苑  | 3室2厅 | 139.1平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)2003年建板塔结合  -  桐梓林', '270万', '单价19411元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6978b5b2-f872-44d9-b243-061151acae70.png.296x216.jpg', '云影苑 有装修三居室双卫 带三个阳台 对中庭 中间楼层', '云影苑  | 3室2厅 | 147.8平米 | 东北 | 其他 | 无电梯', '中楼层(共7层)2005年建板楼  -  外双楠', '300万', '单价20298元/平米')
('https://image1.ljcdn.com/510100-inspection/test-926ab0b3-442e-4b0f-8f8f-49c30eac1baa.png.296x216.jpg', '此房是小区里面的 两居室户型 主卧带书房 位置安静', '远鸿方程式  | 3室2厅 | 84.18平米 | 南 北 | 其他 | 有电梯', '低楼层(共12层)2003年建板楼  -  外双楠', '136万', '单价16156元/平米')
('https://image1.ljcdn.com/510100-inspection/158eb7df-1cfc-4eee-a877-1456261041e5.JPG.296x216.jpg', '标准套一，户型方正，满五，交通便利，出行方便。', '科华之星  | 1室1厅 | 57.09平米 | 南 | 其他 | 有电梯', '高楼层(共18层)2002年建板塔结合  -  航空路', '85万', '单价14889元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8da00d33-eb39-4205-a4d6-0ff60c8bd5f8.png.296x216.jpg', '花样年华梦想家光线充足户型好哟！', '花样年华梦想家  | 1室0厅 | 42.71平米 | 北 | 其他 | 有电梯', '高楼层(共15层)2005年建塔楼  -  棕北', '63万', '单价14751元/平米')
('https://image1.ljcdn.com/510100-inspection/test-743c1d1d-b53e-4ce9-bbde-f15e702938c5.png.296x216.jpg', '颐和雅居套三双卫 园林式小区 环境好', '颐和雅居  | 3室1厅 | 110平米 | 南 | 其他 | 有电梯', '中楼层(共13层)2006年建板楼  -  五大花园', '182万', '单价16546元/平米')
('https://image1.ljcdn.com/510100-inspection/test-12ee966b-3bd1-4356-9257-f7d15551574c.png.296x216.jpg', '花间兰庭 2室1厅 162万', '花间兰庭  | 2室1厅 | 75.96平米 | 东 东南 | 简装 | 有电梯', '低楼层(共14层)2009年建板楼  -  外双楠', '162万', '单价21328元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload398304da-f48f-4fb5-8a73-93f33c76eb10.jpg.296x216.jpg', '翠堤春晓 顶跃套四带花园 有装修', '翠堤春晓  | 4室2厅 | 165.24平米 | 东北 | 其他 | 无电梯', '高楼层(共6层)2002年建板楼  -  五大花园', '248万', '单价15009元/平米')
('https://image1.ljcdn.com/510100-inspection/09dfece8-1995-413b-972f-96896fa21595.JPG.296x216.jpg', '外双楠 七号线龙爪堰站 丽景华庭二期 顶跃带花园 中庭', '丽景华庭二期  | 3室2厅 | 131.27平米 | 西南 | 精装 | 有电梯', '高楼层(共12层)2006年建板楼  -  外双楠', '360万', '单价27425元/平米')
('https://image1.ljcdn.com/510100-inspection/test-dc8533ee-1b17-49a2-b36f-62b63a46eb55.png.296x216.jpg', '时代空间 套一 拎包入住 采光好 视野好', '时代空间  | 1室1厅 | 46.69平米 | 西 | 其他 | 有电梯', '高楼层(共14层)2006年建板塔结合  -  双楠', '75万', '单价16064元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploaddb8a979a-93ae-4e29-a8ac-28df26f17bd1.jpg.296x216.jpg', '2000年的多层 套三双卫户型 采光好', '牡丹公寓  | 3室2厅 | 146.76平米 | 西 | 其他 | 无电梯', '高楼层(共7层)2001年建板楼  -  华西', '160万', '单价10903元/平米')
('https://image1.ljcdn.com/510100-inspection/test-af4f23ae-bd98-4bd9-ba40-160ea8e77b70.png.296x216.jpg', '电梯房  一梯四户 带双阳台 满2年', '新景观美墅云间  | 1室1厅 | 77.81平米 | 东 | 其他 | 有电梯', '低楼层(共11层)2000年建塔楼  -  双楠', '125万', '单价16065元/平米')
('https://image1.ljcdn.com/510100-inspection/bea78b82-1df3-4378-ae37-984e55a936eb.jpg.296x216.jpg', '中华名园二期 标准套三  有装修 对中庭', '中华名园二期  | 3室2厅 | 89.64平米 | 西北 | 精装 | 有电梯', '高楼层(共16层)板楼  -  武侯立交', '175万', '单价19523元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1a471c65-7b62-470f-a5df-78a4143f2bd7.png.296x216.jpg', '锦官秀城 4室2厅2卫 小区环境干净舒适，南北向', '锦官秀城南区  | 4室2厅 | 144平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2006年建板楼  -  航空路', '350万', '单价24306元/平米')
('https://image1.ljcdn.com/510100-inspection/test-bf0672c5-c50a-4ad5-846f-51fafeeb9a07.png.296x216.jpg', '武侯 玉林 有装修套二 不临街', '玉通巷4号  | 2室1厅 | 55.96平米 | 北 | 其他 | 无电梯', '高楼层(共7层)1996年建板楼  -  玉林', '86万', '单价15369元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b15ebdd8-0cb8-4802-9e34-ea816d0f2d5e.png.296x216.jpg', '川大府河竹苑电梯套二 东南方向', '府河竹苑  | 2室2厅 | 134.56平米 | 南 | 其他 | 有电梯', '中楼层(共18层)2000年建板楼  -  川大', '286万', '单价21255元/平米')
('https://image1.ljcdn.com/510100-inspection/5193ec4f-56bb-4a54-a72f-2d80f8438ac2.jpg.296x216.jpg', '牡丹名邸  套三双卫  东西通透 一梯两户', '牡丹名邸  | 3室2厅 | 125.93平米 | 东 西 | 精装 | 有电梯', '低楼层(共9层)2001年建塔楼  -  桐梓林', '205万', '单价16279元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4900f1d1-5018-4b2c-ad4e-7e33b586352b.png.296x216.jpg', '鹭岛国际，套三带书房，有装修。', '鹭岛国际三期  | 3室2厅 | 146.74平米 | 南 | 其他 | 有电梯', '中楼层(共16层)2010年建板楼  -  外双楠', '455万', '单价31008元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8a5754c9-1ae8-42f3-94e8-19b2b2740e40.png.296x216.jpg', '置信丽都花园城C区   装修套二  采光好  安静不吵', '置信丽都花园城C区  | 2室2厅 | 97.74平米 | 西 | 简装 | 有电梯', '中楼层(共13层)2006年建板楼  -  新双楠', '147万', '单价15040元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6ac623eb-0402-4936-8bd5-b71ff6f6ffd7.png.296x216.jpg', '武侯区 外双楠 丽景华庭二期 电梯小户型 有装修带阳台', '丽景华庭二期  | 1室0厅 | 41.58平米 | 北 | 其他 | 有电梯', '高楼层(共16层)2006年建板楼  -  外双楠', '72.8万', '单价17509元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f9bcb78d-2c23-4a4d-9970-598bcdfd2c2d.png.296x216.jpg', '外双楠   置信楼盘  电梯套二  不临街', '花间兰庭  | 2室2厅 | 69.04平米 | 东 南 | 其他 | 有电梯', '低楼层(共14层)2009年建板楼  -  外双楠', '165万', '单价23900元/平米')
('https://image1.ljcdn.com/510100-inspection/e572ebf8-e9b0-4b27-8bc3-41a80dd51361.jpg.296x216.jpg', '玉林品上 跃层套一 **朝南', '玉林品上  | 1室1厅 | 64.01平米 | 南 | 其他 | 有电梯', '高楼层(共27层)2007年建板楼  -  玉林', '96万', '单价14998元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploadd371bf38-c343-48db-9c00-a2912a6469ee.jpg.296x216.jpg', '罗浮世家二期 套三双卫带书房  有装修', '罗浮世家二期  | 4室2厅 | 141.9平米 | 东北 | 其他 | 有电梯', '高楼层(共17层)2004年建板楼  -  高升桥', '320万', '单价22552元/平米')
('https://image1.ljcdn.com/510100-inspection/453ad986-ab76-4d46-852c-b2f7cb910aaa.jpg.296x216.jpg', '华都星公馆二期 跃层套五 有装修', '华都星公馆二期  | 5室2厅 | 219.49平米 | 南 | 精装 | 有电梯', '高楼层(共12层)2004年建板楼  -  草金立交', '260万', '单价11846元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f9e41657-e0b0-4cc9-8b62-c803694e7878.png.296x216.jpg', '桐梓林欧城高楼层朝东130万套一', '桐梓林欧城  | 1室1厅 | 47.54平米 | 东 | 其他 | 有电梯', '高楼层(共20层)2009年建板塔结合  -  桐梓林', '129万', '单价27136元/平米')
('https://image1.ljcdn.com/510100-inspection/a2403754-149b-46fa-ac51-2c601be372b2.JPG.296x216.jpg', '绿地圣路易名邸一期套二简装出售', '绿地圣路易名邸一期  | 2室2厅 | 88.89平米 | 南 | 毛坯 | 有电梯', '低楼层(共12层)2012年建板塔结合  -  簇桥', '140万', '单价15750元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d000f22d-86ca-4323-9c9d-c781809164bb.png.296x216.jpg', '武海西城锦绣 电梯小区 方正套二', '武海西城锦绣  | 2室2厅 | 85.9平米 | 东南 | 其他 | 有电梯', '高楼层(共18层)2014年建板楼  -  五大花园', '170万', '单价19791元/平米')
('https://image1.ljcdn.com/510100-inspection/test-904bad76-0034-478c-b03f-bc22a2bb7d19.png.296x216.jpg', '标准套二 户型方正 中间楼层 有装修', '兴元丽园A区  | 2室1厅 | 67.99平米 | 东 | 简装 | 有电梯', '中楼层(共11层)2005年建塔楼  -  武侯立交', '95万', '单价13973元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a9ef2cce-ca42-41d0-921c-bac96219bd0e.png.296x216.jpg', '武侯新城 精装修套二 客厅朝东 采光不错', '绿地圣路易名邸二期  | 2室2厅 | 85.72平米 | 东 | 精装 | 有电梯', '高楼层(共12层)2013年建板塔结合  -  簇桥', '160万', '单价18666元/平米')
('https://image1.ljcdn.com/510100-inspection/test-03dbdff0-6614-457d-8ccd-4cdf185c5ea3.png.296x216.jpg', '老马路7号   自住装修   标准套二', '老马路7号  | 2室2厅 | 88平米 | 东 | 精装 | 无电梯', '高楼层(共7层)板楼  -  川音', '150万', '单价17046元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload207def24-04f2-4c68-85ea-123b17649533.jpg.296x216.jpg', '龙湖金楠天街，中庭套三，中间楼层，满两年，随时看房', '龙湖金楠天街  | 3室2厅 | 89.73平米 | 北 | 其他 | 有电梯', '中楼层(共24层)2015年建板楼  -  五大花园', '192万', '单价21398元/平米')
('https://image1.ljcdn.com/510100-inspection/1365090d-6b8b-4174-b85b-ec0e8ee884c8.jpg.296x216.jpg', '不临街，两居，东南向，小区满2年', '优地B区  | 2室1厅 | 82.93平米 | 东南 | 其他 | 有电梯', '低楼层(共17层)2007年建板楼  -  丽都', '140万', '单价16882元/平米')
('https://image1.ljcdn.com/510100-inspection/test-cf4d1d5f-e513-47a8-be04-6c45b674b438.png.296x216.jpg', '首信首御套三双卫居家装修，视野开阔', '首信首御  | 3室1厅 | 90.41平米 | 东北 | 简装 | 有电梯', '中楼层(共17层)2013年建板楼  -  新双楠', '203万', '单价22454元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f82b22d9-54de-4746-8389-cabc84d34c06.png.296x216.jpg', '置信花园 电梯套三 带家具家电 人车分流 有装修', '置信花园  | 3室2厅 | 137.78平米 | 南 | 其他 | 有电梯', '中楼层(共11层)2000年建板楼  -  双楠', '232万', '单价16839元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e4a40ca4-a97b-4e8b-99e9-569d2a04f663.png.296x216.jpg', '蓝光诺丁山，套二带书房可改套三', '蓝光诺丁山  | 3室2厅 | 93.9平米 | 东北 | 简装 | 有电梯', '中楼层(共11层)2005年建板塔结合  -  草金立交', '142万', '单价15123元/平米')
('https://image1.ljcdn.com/510100-inspection/9207193b-9111-409b-9bfb-21a6aa1a7867.jpg.296x216.jpg', '此房满2年没增值税，套三双卫户型通透，客厅带大阳台', '置信丽都花园城B区  | 3室2厅 | 141.76平米 | 东北 | 精装 | 有电梯', '低楼层(共13层)2006年建板楼  -  新双楠', '318万', '单价22433元/平米')
