('https://image1.ljcdn.com/440100-inspection/e74c660e-183a-4352-a7f9-531a9954f25b.jpg.296x216.jpg', '科城山庄精装五房 南北通透 近地铁', '科城山庄  | 6室2厅 | 239平米 | 南 北 | 其他 | 有电梯', '高楼层(共12层)2012年建塔楼  -  科学城', '850万', '单价35565元/平米')
('https://image1.ljcdn.com/440100-inspection/b4adc50e-9ed0-46f1-93d2-414bb8b8dbc5.jpg.296x216.jpg', '万科城市花园 3室2厅 476万', '万科城市花园  | 3室2厅 | 121.72平米 | 东南 | 其他 | 有电梯', '低楼层(共11层)2003年建塔楼  -  区府', '476万', '单价39107元/平米')
('https://image1.ljcdn.com/440100-inspection/3d0e564b-ccc1-4ef4-8790-ce9c162c72c2.jpg.296x216.jpg', '龙光峰景华庭 2室1厅 240万', '龙光峰景华庭  | 2室1厅 | 75.63平米 | 南 | 简装 | 有电梯', '中楼层(共18层)2009年建塔楼  -  科学城', '240万', '单价31734元/平米')
('https://image1.ljcdn.com/440100-inspection/2df1de61-1fe3-49cb-9703-e8ad02f715fd.jpg.296x216.jpg', '金碧领秀国际 3室3厅 569万', '金碧领秀国际  | 3室3厅 | 132.24平米 | 南 | 其他 | 有电梯', '低楼层(共33层)2007年建塔楼  -  区府', '569万', '单价43028元/平米')
('https://image1.ljcdn.com/440100-inspection/cc9662cf-3972-477a-a30f-7f8f5c1762f7.jpg.296x216.jpg', '科学城科汇金谷 精装修 保养新 配套成熟', '保利林语山庄6区  | 3室2厅 | 119.1平米 | 东南 | 其他 | 有电梯', '低楼层(共18层)塔楼  -  科学城', '410万', '单价34425元/平米')
('https://image1.ljcdn.com/440100-inspection/28a6dd9d-5f9d-4d36-841f-2ff2988bd839.jpg.296x216.jpg', '万科金色悦府 3室2厅 325万', '万科金色悦府  | 3室2厅 | 86.09平米 | 北 | 精装 | 有电梯', '高楼层(共31层)2014年建塔楼  -  区府', '325万', '单价37752元/平米')
('https://image1.ljcdn.com/440100-inspection/8436b7a3-bfd0-4181-b2dc-9c34db4a79de.jpg.296x216.jpg', '丰逸尚居 温馨电梯两房 楼龄新', '丰逸尚居  | 2室1厅 | 64平米 | 南 | 精装 | 有电梯', '中楼层(共29层)2012年建塔楼  -  区府', '248万', '单价38750元/平米')
('https://image1.ljcdn.com/440100-inspection/63ae4233-54eb-46d8-a892-366ca6145059.jpg.296x216.jpg', '万科城市花园 舒适中层 *配套完善', '万科城市花园  | 3室2厅 | 114平米 | 南 北 | 精装 | 有电梯', '低楼层(共11层)2003年建塔楼  -  区府', '450万', '单价39474元/平米')
('https://image1.ljcdn.com/440100-inspection/56115376-c700-436c-8745-5e6655e72a4a.jpg.296x216.jpg', '泰景花园 精装三房 园景单位', '泰景花园文雅阁  | 3室2厅 | 96.11平米 | 东北 | 精装 | 有电梯', '中楼层(共9层)2004年建塔楼  -  区府', '305万', '单价31735元/平米')
('https://image1.ljcdn.com/440100-inspection/77289167-82e0-4aa5-b02f-909f3bfec48f.jpg.296x216.jpg', '精装保养好 高层单位，视野广', '中鼎君和名城  | 3室2厅 | 125平米 | 南 | 其他 | 有电梯', '高楼层(共34层)2015年建塔楼  -  区府', '550万', '单价44000元/平米')
('https://image1.ljcdn.com/440100-inspection/3725875a-2ffd-4f9b-a7e1-c2bb7accb12a.jpg.296x216.jpg', '万科东荟城 3室2厅 295万', '万科东荟城  | 3室2厅 | 86.8平米 | 南 | 其他', '低楼层(共23层)2015年建塔楼  -  科学城', '295万', '单价33987元/平米')
('https://image1.ljcdn.com/440100-inspection/5fb23af7-ea99-4cc6-aae5-0486a299f818.jpg.296x216.jpg', '黄埔花园 精装修两房 方正实用 采光通透', '黄埔花园  | 2室2厅 | 86.25平米 | 北 | 精装 | 有电梯', '低楼层(共18层)2011年建塔楼  -  区府', '360万', '单价41740元/平米')
('https://image1.ljcdn.com/440100-inspection/88e6db3e-7692-41c2-92ca-9a35ee1948e0.jpg.296x216.jpg', '科城山庄 精装修 户型方正 视野开阔 南向通透', '科城山庄锦泽园  | 3室2厅 | 137.57平米 | 南 北 | 精装 | 有电梯', '低楼层(共18层)2015年建塔楼  -  科学城', '600万', '单价43615元/平米')
('https://image1.ljcdn.com/440100-inspection/185cd021-7fb2-4d36-8cd4-a981f8a9ebaa.jpg.296x216.jpg', '金碧领秀国际 大三房过五年无按揭', '金碧领秀国际  | 3室2厅 | 101.73平米 | 北 | 精装 | 有电梯', '低楼层(共33层)2007年建塔楼  -  区府', '450万', '单价44235元/平米')
('https://image1.ljcdn.com/440100-inspection/b36dbfc2-c0fb-4ca1-97c7-4e8667d0ddfe.jpg.296x216.jpg', '黄埔花园 2室2厅 360万', '黄埔花园  | 2室2厅 | 80.68平米 | 南 | 其他 | 有电梯', '中楼层(共26层)2011年建塔楼  -  区府', '360万', '单价44621元/平米')
('https://image1.ljcdn.com/440100-inspection/ed2bb943-73f4-41ac-ad74-550b529d414f.jpg.296x216.jpg', '东港花园 高层东南向 地铁口80米', '东港花园  | 3室2厅 | 93平米 | 东南 | 精装 | 有电梯', '中楼层(共24层)2013年建塔楼  -  区府', '358万', '单价38495元/平米')
('https://image1.ljcdn.com/440100-inspection/c7201673-33d2-4f91-adf4-5bb985d9ebab.jpg.296x216.jpg', '户型实用 简单装修 业主自住 保养好 总价低', '墩美小区  | 2室1厅 | 77平米 | 东 | 简装 | 无电梯', '中楼层(共9层)1997年建塔楼  -  开发区', '136万', '单价17663元/平米')
('https://image1.ljcdn.com/440100-inspection/e2612939-82c3-4cdc-882b-9f7e60e3a395.jpg.296x216.jpg', '黄埔花园 中高层两房 采光通风好', '黄埔花园  | 2室1厅 | 82.44平米 | 东北 | 精装 | 有电梯', '高楼层(共14层)2011年建塔楼  -  区府', '335万', '单价40636元/平米')
('', '龙光峰景华庭 南向三房 大阳台', '龙光峰景华庭  | 3室2厅 | 92.65平米 | 南 | 其他 | 有电梯', '高楼层(共18层)2009年建塔楼  -  科学城', '280万', '单价30222元/平米')
('https://image1.ljcdn.com/440100-inspection/a9622686-22ee-4f97-9b58-005be94ce65d.jpg.296x216.jpg', '大沙地西路5号大院 3室2厅 248万', '大沙地西路5号大院  | 3室2厅 | 88.4平米 | 南 | 简装', '中楼层(共8层)塔楼  -  区府', '248万', '单价28055元/平米')
('https://image1.ljcdn.com/440100-inspection/c1367dbd-f26d-4da0-84dc-1b70aea2f362.jpg.296x216.jpg', '黄埔花园 南向望江2房 精致装修', '黄埔花园  | 2室2厅 | 80.6平米 | 南 | 精装 | 有电梯', '高楼层(共26层)2011年建塔楼  -  区府', '360万', '单价44666元/平米')
('', '珠江嘉园 2室2厅 175万', '珠江嘉园  | 2室2厅 | 79.21平米 | 南 | 精装', '中楼层(共32层)塔楼  -  中新镇', '175万', '单价22094元/平米')
('https://image1.ljcdn.com/440100-inspection/c4d479c3-a7f0-4d65-b3bc-6d2307ad3ce4.jpg.296x216.jpg', '港湾三村 2室1厅 150万', '港湾三村  | 2室1厅 | 47.86平米 | 南 北 | 其他 | 无电梯', '中楼层(共4层)1990年建板楼  -  区府', '150万', '单价31342元/平米')
('https://image1.ljcdn.com/440100-inspection/7e506092-41f9-49c8-97cd-47de3c0b7b22.jpg.296x216.jpg', '新安苑 3室1厅 265万', '新安苑  | 3室1厅 | 92.32平米 | 西 | 简装 | 无电梯', '中楼层(共9层)1998年建塔楼  -  区府', '265万', '单价28705元/平米')
('https://image1.ljcdn.com/440100-inspection/9f7c3e44-ca96-4f12-8e87-de1f274955d2.jpg.296x216.jpg', '海关大院 方正三房 优雅园林 安静', '海关大院  | 3室2厅 | 97.89平米 | 北 | 精装 | 无电梯', '低楼层(共9层)1998年建塔楼  -  区府', '265万', '单价27072元/平米')
('https://image1.ljcdn.com/440100-inspection/8d7097c3-a7a9-4bbb-998e-6df167bdbe23.jpg.296x216.jpg', '石化生活区 中层两房 南向 格局方正', '石化生活区  | 2室1厅 | 63平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1976年建板楼  -  区府', '155万', '单价24604元/平米')
('https://image1.ljcdn.com/440100-inspection/e81af931-2e2c-4860-ab9d-470265c5f6e2.jpg.296x216.jpg', '万科城市花园 实用四房 跃式单位', '万科城市花园  | 4室2厅 | 143平米 | 南 北 | 其他 | 有电梯', '低楼层(共18层)2003年建塔楼  -  区府', '560万', '单价39161元/平米')
('https://image1.ljcdn.com/440100-inspection/ce61409e-878d-48fe-9f67-6ac2dd3cebad.jpg.296x216.jpg', '乙烯大院 实用三房 户型格局好', '乙烯大院  | 3室2厅 | 92平米 | 南 北 | 简装 | 无电梯', '低楼层(共8层)1998年建塔楼  -  区府', '270万', '单价29348元/平米')
('https://image1.ljcdn.com/440100-inspection/477977b1-7c92-4d6a-885c-d8dfee2a5c1c.jpg.296x216.jpg', '宏康花园 三房 中楼层 景观好', '宏康花园四期康慧苑  | 3室1厅 | 102.29平米 | 南 北 | 简装', '中楼层(共7层)塔楼  -  开发东区', '220万', '单价21508元/平米')
('https://image1.ljcdn.com/440100-inspection/88a2397e-6512-4700-86ac-17bd268b95fa.jpg.296x216.jpg', '万科新里程 精装南向三房', '万科新里程  | 3室2厅 | 91.79平米 | 南 | 其他 | 有电梯', '低楼层(共25层)2009年建塔楼  -  科学城', '315万', '单价34318元/平米')
('https://image1.ljcdn.com/440100-inspection/47a3ffce-ca19-4bb9-b43c-ef8dbf7287de.jpg.296x216.jpg', '天伦东时区 南向三房 保养好 交通便利', '金港花园  | 3室2厅 | 87.36平米 | 南 北 | 简装 | 有电梯', '高楼层(共18层)2000年建塔楼  -  区府', '365万', '单价41782元/平米')
('', '万达公寓 南向中楼层 交通便利 生活方便', '萝岗万达广场  | 1室1厅 | 63.56平米 | 南 | 其他', '低楼层(共28层)塔楼  -  科学城', '115万', '单价18094元/平米')
('https://image1.ljcdn.com/440100-inspection/9df9b708-8a75-4f32-9e06-d2f590dfd040.jpg.296x216.jpg', '中海誉城 大两房 业主自住诚心出售', '中海誉城北苑  | 2室2厅 | 85.3平米 | 北 | 简装 | 有电梯', '低楼层(共33层)塔楼  -  科学城', '230万', '单价26964元/平米')
('https://image1.ljcdn.com/440100-inspection/28dbb6a2-82f8-4b91-b460-f4a107d41ecb.jpg.296x216.jpg', '荔香花园 3室2厅 300万', '荔香花园  | 3室2厅 | 107.31平米 | 东南 | 其他 | 无电梯', '高楼层(共9层)1996年建塔楼  -  区府', '300万', '单价27957元/平米')
('https://image1.ljcdn.com/440100-inspection/ba63d1ef-01f4-471e-94ef-ed632e78e6e4.jpg.296x216.jpg', '荔香花园 3室2厅 238万', '荔香花园  | 3室2厅 | 88.46平米 | 北 | 其他 | 无电梯', '高楼层(共9层)1996年建塔楼  -  区府', '238万', '单价26905元/平米')
('', '越秀岭南山畔 精致四房 地铁200米', '越秀岭南山畔  | 4室2厅 | 155.4平米 | 东南 | 精装 | 有电梯', '高楼层(共32层)2014年建塔楼  -  科学城', '630万', '单价40541元/平米')
('https://image1.ljcdn.com/440100-inspection/9b9abbb7-81da-4ee1-952d-f2ed31cab92c.jpg.296x216.jpg', '万科金色悦府 三房南向 保养好', '万科金色悦府  | 3室2厅 | 89.08平米 | 南 | 其他 | 有电梯', '高楼层(共31层)2014年建塔楼  -  区府', '375万', '单价42097元/平米')
('https://image1.ljcdn.com/440100-inspection/08a6f815-5dc7-4ee0-be7a-1430be3b4b6d.jpg.296x216.jpg', '悦时代花园 南北通透 采光通风好', '悦时代花园心悦湾  | 3室2厅 | 121平米 | 南 北 | 精装 | 有电梯', '中楼层(共33层)2013年建塔楼  -  区府', '520万', '单价42976元/平米')
('https://image1.ljcdn.com/440100-inspection/93305631-3c97-4459-b85b-02b0a73b8821.jpg.296x216.jpg', '黄埔低楼层  精装两房 小区环境好', '黄埔职业技校教师楼  | 2室2厅 | 84.38平米 | 南 | 简装 | 无电梯', '低楼层(共6层)塔楼  -  开发区', '188万', '单价22281元/平米')
('https://image1.ljcdn.com/440100-inspection/a3b473a7-0245-4131-8d31-0a215ebba052.jpg.296x216.jpg', '文船生活区东区 实用两房 户型方正', '文船生活区东区  | 2室1厅 | 48.09平米 | 南 | 其他 | 无电梯', '中楼层(共5层)1999年建塔楼  -  区府', '140万', '单价29113元/平米')
('https://image1.ljcdn.com/440100-inspection/44860a12-082d-46d8-8520-6f1f52338473.jpg.296x216.jpg', '精装三房 小区环境好 环境安静 总价低', '黄埔职业技校教师楼  | 3室1厅 | 90.23平米 | 南 | 简装 | 无电梯', '高楼层(共6层)塔楼  -  开发区', '180万', '单价19950元/平米')
('https://image1.ljcdn.com/440100-inspection/3ead8796-e30e-428a-b225-08b1038dc915.jpg.296x216.jpg', '丰逸尚居 精装南向一房', '丰逸尚居  | 1室1厅 | 48.6平米 | 南 | 精装 | 有电梯', '高楼层(共29层)2012年建塔楼  -  区府', '185万', '单价38066元/平米')
('', '合景天峻广场 精装1房 保养好', '合景天峻广场  | 1室1厅 | 34.53平米 | 南 | 精装 | 有电梯', '中楼层(共25层)塔楼  -  知识城', '40万', '单价11585元/平米')
('https://image1.ljcdn.com/440100-inspection/4e9774a3-e2fc-4d6e-b366-8c55c13a046b.jpg.296x216.jpg', '文冲商贸大厦 3室2厅 265万', '文冲商贸大厦  | 3室2厅 | 85.15平米 | 南 | 其他 | 有电梯', '中楼层(共8层)1997年建塔楼  -  区府', '265万', '单价31122元/平米')
('https://image1.ljcdn.com/440100-inspection/65a52158-d2df-4cc3-a9c7-c09601bc4c62.jpg.296x216.jpg', '墩美小区 3室2厅 138万', '墩美小区  | 3室2厅 | 76.97平米 | 东 | 精装 | 无电梯', '高楼层(共9层)1997年建塔楼  -  开发区', '138万', '单价17930元/平米')
('https://image1.ljcdn.com/440100-inspection/c3af194f-4c2c-4765-96c8-6eeb6d485443.jpeg.296x216.jpg', '金碧世纪花园 3室2厅 360万', '金碧世纪花园  | 3室2厅 | 91平米 | 北 | 简装 | 有电梯', '低楼层(共32层)2004年建塔楼  -  区府', '360万', '单价39561元/平米')
('https://image1.ljcdn.com/440100-inspection/6fd214b6-ed80-401e-933e-78ae6aae7e3b.jpg.296x216.jpg', '泰景花园新装电梯大三房 地铁大沙地东站', '泰景花园泰景中街  | 3室2厅 | 114平米 | 东北 | 简装 | 无电梯', '低楼层(共8层)2006年建塔楼  -  区府', '410万', '单价35965元/平米')
('https://image1.ljcdn.com/440100-inspection/3851f978-5557-4234-bc5b-5269a942591c.jpg.296x216.jpg', '金港花园 2室2厅 250万', '金港花园  | 2室2厅 | 76.82平米 | 西 | 其他 | 有电梯', '低楼层(共24层)2000年建塔楼  -  区府', '250万', '单价32544元/平米')
('', '西南向 望花园 视野好 顶楼', '黄船生活区  | 2室2厅 | 62.28平米 | 西南 | 精装 | 无电梯', '高楼层(共6层)塔楼  -  长洲岛', '185万', '单价29705元/平米')
('https://image1.ljcdn.com/440100-inspection/ea371bf6-c660-4dd8-a610-c30e371fbcc7.jpg.296x216.jpg', '金隆园 电梯三房 格局方正实用', '金隆园  | 3室1厅 | 76.11平米 | 西 | 简装 | 有电梯', '低楼层(共18层)1999年建塔楼  -  区府', '270万', '单价35475元/平米')
('https://image1.ljcdn.com/440100-inspection/1515a76e-855c-43dc-a512-e00136d341a9.jpg.296x216.jpg', '保利林语山庄 大四房 环境优美', '保利林语山庄6区  | 4室2厅 | 137平米 | 东北 | 其他 | 有电梯', '低楼层(共28层)塔楼  -  科学城', '480万', '单价35037元/平米')
('https://image1.ljcdn.com/440100-inspection/3d05b388-189d-41ba-b1ac-33440b7bf167.jpg.296x216.jpg', '蟹山路小区 中层大三房 采光通风好 实用', '蟹山路46号大院  | 3室1厅 | 81.33平米 | 南 北 | 简装', '高楼层(共6层)板楼  -  区府', '230万', '单价28280元/平米')
('https://image1.ljcdn.com/440100-inspection/28e97f0c-b203-47a0-96d5-14a0494609e7.jpg.296x216.jpg', '中海誉城  南向实用两房', '中海誉城南苑  | 2室1厅 | 77.78平米 | 南 | 精装 | 有电梯', '低楼层(共33层)2015年建塔楼  -  科学城', '215万', '单价27643元/平米')
('https://image1.ljcdn.com/440100-inspection/851f7f29-efbb-4df9-bcdd-d54008c70587.jpg.296x216.jpg', '萝岗金晖苑 户型方正 采光通风好', '萝岗金晖苑  | 2室1厅 | 64.21平米 | 南 | 其他 | 无电梯', '中楼层(共9层)2001年建塔楼  -  开发区', '155万', '单价24140元/平米')
('https://image1.ljcdn.com/440100-inspection/b2e83130-13fb-4815-9bb5-0c3c109e480a.jpg.296x216.jpg', '天伦东时区 精装三房 南北对流', '金港花园  | 3室2厅 | 89.56平米 | 北 | 精装 | 有电梯', '中楼层(共18层)2000年建塔楼  -  区府', '405万', '单价45222元/平米')
('https://image1.ljcdn.com/440100-inspection/b129b0c6-21ca-438f-8208-b80ddb1fd633.jpg.296x216.jpg', '珠冶小区 2室1厅 155万', '珠冶小区  | 2室1厅 | 70.03平米 | 南 | 简装 | 无电梯', '低楼层(共8层)2000年建塔楼  -  区府', '155万', '单价22134元/平米')
('https://image1.ljcdn.com/440100-inspection/cf10878a-593b-4242-8cad-380d59cbf291.jpg.296x216.jpg', '龙光峰景华庭 3室2厅 300万', '龙光峰景华庭  | 3室2厅 | 92.13平米 | 西南 | 其他 | 有电梯', '高楼层(共18层)2009年建塔楼  -  科学城', '300万', '单价32563元/平米')
('https://image1.ljcdn.com/440100-inspection/79b92706-0176-4a95-bb3e-774ff80bb43e.jpg.296x216.jpg', '万科金色悦府 3室2厅 320万', '万科金色悦府  | 3室2厅 | 82.69平米 | 北 | 其他 | 有电梯', '低楼层(共31层)2014年建塔楼  -  区府', '320万', '单价38699元/平米')
('https://image1.ljcdn.com/440100-inspection/58adfe4e-1009-42e6-aadc-c6a257f5f845.jpg.296x216.jpg', '海关大院 高层望江 精致三房 户型方正', '海关大院  | 3室2厅 | 92.41平米 | 西南 | 精装 | 有电梯', '中楼层(共30层)1998年建塔楼  -  区府', '315万', '单价34088元/平米')
('https://image1.ljcdn.com/440100-inspection/98d39872-1dd2-447b-96dc-385ca001ed15.jpg.296x216.jpg', '金港花园 3室2厅 325万', '金港花园  | 3室2厅 | 101.99平米 | 北 | 简装 | 有电梯', '低楼层(共24层)2000年建塔楼  -  区府', '325万', '单价31866元/平米')
('https://image1.ljcdn.com/440100-inspection/da9f4cdb-9b68-4fda-be1a-77224f49b07c.jpg.296x216.jpg', '怡港花园 两房两厅 格局方正', '怡港花园  | 2室2厅 | 88平米 | 西 | 精装 | 有电梯', '中楼层(共24层)1999年建塔楼  -  区府', '390万', '单价44319元/平米')
('https://image1.ljcdn.com/440100-inspection/2994c531-c73a-466b-b221-6d8b41fab81e.jpg.296x216.jpg', '新景楼 大沙东地铁口100米 带大平台', '新景楼  | 3室2厅 | 119.29平米 | 东南 | 简装 | 无电梯', '低楼层(共9层)1998年建塔楼  -  区府', '288万', '单价24143元/平米')
('', '大壮国际广场 实用一房', '大壮国际广场  | 1室1厅 | 42平米 | 北 | 其他', '低楼层(共17层)塔楼  -  科学城', '85万', '单价20239元/平米')
('https://image1.ljcdn.com/440100-inspection/d045b46d-7018-44ca-bfd0-9f4e962c61ba.jpg.296x216.jpg', '金碧世纪花园 温馨南向两房', '金碧世纪花园  | 2室1厅 | 69平米 | 南 | 精装 | 有电梯', '高楼层(共17层)2004年建塔楼  -  区府', '255万', '单价36957元/平米')
('https://image1.ljcdn.com/440100-inspection/b3b937c8-7d99-481b-b93f-d5dda1b1a2c6.jpg.296x216.jpg', '雅居乐五房 南北通透，视野开阔', '雅居乐富春山居  | 5室2厅 | 242平米 | 南 北 | 其他 | 有电梯', '中楼层(共25层)2014年建塔楼  -  科学城', '901万', '单价37232元/平米')
('https://image1.ljcdn.com/440100-inspection/192700d6-7804-4f99-a9ee-2e4bcd599488.jpg.296x216.jpg', '金逸雅居 格局方正三房', '金逸雅居  | 3室2厅 | 117.48平米 | 南 | 精装 | 有电梯', '中楼层(共17层)2006年建塔楼  -  区府', '460万', '单价39156元/平米')
('https://image1.ljcdn.com/440100-inspection/79c45669-a390-44f6-a46b-635d1d4d40d5.jpg.296x216.jpg', '万科城市花园 中层 户型方正 采光通风好', '万科城市花园  | 2室2厅 | 71平米 | 西 | 其他 | 有电梯', '中楼层(共18层)2003年建塔楼  -  区府', '280万', '单价39437元/平米')
('https://image1.ljcdn.com/440100-inspection/f5479607-d53e-4337-accd-b38ea1ae5a66.jpg.296x216.jpg', '中海誉城北苑 精装修两居室 采光好无遮挡', '中海誉城北苑  | 2室2厅 | 76.59平米 | 东北 | 其他 | 有电梯', '高楼层(共33层)塔楼  -  科学城', '208万', '单价27158元/平米')
('https://image1.ljcdn.com/440100-inspection/79905257-7d98-4b86-af09-ed31bc7f620d.jpg.296x216.jpg', '雅居乐富春山居 精致，南向，高层一房一厅', '雅居乐富春山居  | 1室1厅 | 66平米 | 南 | 其他 | 有电梯', '高楼层(共9层)2014年建塔楼  -  科学城', '240万', '单价36364元/平米')
('https://image1.ljcdn.com/440100-inspection/c0b9f2ab-3c60-4f99-a706-8bd673df6a46.jpg.296x216.jpg', '金碧世纪 厅出阳台三房 中层 格局方正', '金碧世纪花园  | 3室2厅 | 98.75平米 | 南 | 精装 | 有电梯', '高楼层(共17层)2004年建塔楼  -  区府', '450万', '单价45570元/平米')
('https://image1.ljcdn.com/440100-inspection/f8c797af-eaa4-4fe5-abcb-9cdae496ddf8.jpg.296x216.jpg', '格局方正两房  南北通透采光通风好  安静宜居', '文船生活区西区  | 2室2厅 | 74平米 | 南 | 其他 | 无电梯', '中楼层(共8层)1999年建塔楼  -  区府', '200万', '单价27028元/平米')
('https://image1.ljcdn.com/440100-inspection/20559de3-f55e-40b0-9be7-ca0c69c6425d.jpg.296x216.jpg', '新景楼 2室2厅 248.8万', '新景楼  | 2室2厅 | 83.75平米 | 北 | 其他 | 无电梯', '中楼层(共9层)1998年建塔楼  -  区府', '248.8万', '单价29708元/平米')
('https://image1.ljcdn.com/440100-inspection/b3dd2844-1adc-44ac-af42-7d315e2f4f72.jpg.296x216.jpg', '中鼎君和名城 全新楼盘 配套齐', '中鼎君和名城  | 2室2厅 | 76.28平米 | 北 | 精装 | 有电梯', '高楼层(共34层)2015年建塔楼  -  区府', '315万', '单价41296元/平米')
('https://image1.ljcdn.com/440100-inspection/4c77f89b-6c68-415f-93a5-79d3d0f7d5b3.jpg.296x216.jpg', '怡港花园  中层舒适三房  东向', '怡港花园  | 3室2厅 | 103平米 | 东 | 精装 | 无电梯', '高楼层(共9层)1999年建塔楼  -  区府', '338万', '单价32816元/平米')
('https://image1.ljcdn.com/440100-inspection/95c19bcb-69a5-4549-85c6-f395f4326a77.jpg.296x216.jpg', '港湾路 中楼层 温馨三房', '港湾路  | 3室2厅 | 97平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)1995年建塔楼  -  区府', '240万', '单价24743元/平米')
('https://image1.ljcdn.com/440100-inspection/f43f5db7-4268-47ec-9c3d-b4151cacc0a7.jpg.296x216.jpg', '文船生活区西区 4室2厅 189万', '文船生活区西区  | 4室2厅 | 89.86平米 | 南 | 其他 | 无电梯', '高楼层(共5层)1999年建板楼  -  区府', '189万', '单价21033元/平米')
('', '万达广场 地铁精装房 配套完善', '萝岗万达广场  | 1室0厅 | 52平米 | 北 | 精装', '中楼层(共28层)塔楼  -  科学城', '95万', '单价18270元/平米')
('https://image1.ljcdn.com/440100-inspection/c9e520e9-5399-44ee-99aa-0addebd4ef3a.jpg.296x216.jpg', '怡港花园 电梯房 格局方正', '怡港花园  | 3室1厅 | 81平米 | 西北 | 精装 | 有电梯', '低楼层(共11层)1999年建塔楼  -  区府', '316万', '单价39013元/平米')
('https://image1.ljcdn.com/440100-inspection/da54e8f2-f54a-40af-81ce-d749a5d6207c.jpg.296x216.jpg', '明悦居 南北对流温馨两房 可改三房', '宏康花园六期明悦居  | 2室2厅 | 80.26平米 | 南 北 | 精装 | 无电梯', '中楼层(共7层)板楼  -  开发东区', '184万', '单价22926元/平米')
('https://image1.ljcdn.com/440100-inspection/test-c63d3d9b-b8b2-4de4-a2b2-ef3cd2e3db37.png.296x216.jpg', '大沙地东路 三房一厅 交通便利', '大沙地东路  | 3室2厅 | 100.44平米 | 南 北 | 精装', '高楼层(共8层)塔楼  -  区府', '275万', '单价27380元/平米')
('https://image1.ljcdn.com/440100-inspection/c09914c9-a31d-453c-833e-59c1541c4e88.jpg.296x216.jpg', '金碧世纪花园 采光好 安静望花园', '金碧世纪花园  | 2室2厅 | 75平米 | 北 | 简装 | 有电梯', '中楼层(共17层)2004年建塔楼  -  区府', '310万', '单价41334元/平米')
('https://image1.ljcdn.com/440100-inspection/a8fe18b4-47fb-4223-8117-efb696dfb597.jpg.296x216.jpg', '丰逸尚居 高层风景好 实用三房', '丰逸尚居  | 3室2厅 | 104.39平米 | 北 | 精装 | 有电梯', '高楼层(共29层)2012年建塔楼  -  区府', '358万', '单价34295元/平米')
('https://image1.ljcdn.com/440100-inspection/eb6e955f-9abd-4d36-818a-4a7a12397897.jpg.296x216.jpg', '黄埔花园 南向两房 装修保养好', '黄埔花园  | 2室1厅 | 87.05平米 | 南 | 其他 | 有电梯', '高楼层(共11层)2011年建塔楼  -  区府', '340万', '单价39059元/平米')
('https://image1.ljcdn.com/440100-inspection/56a30351-53cf-43b6-a540-a01558c0616f.jpg.296x216.jpg', '宏康小筑 实用三房 小区安静整洁', '宏康小筑  | 3室2厅 | 97.64平米 | 西南 | 精装 | 有电梯', '中楼层(共9层)塔楼  -  科学城', '190万', '单价19460元/平米')
('https://image1.ljcdn.com/440100-inspection/5494261b-1195-4203-bc45-01875c871d9b.jpg.296x216.jpg', '万科新里程 精装三房 交通便利 采光好', '万科新里程  | 3室2厅 | 88.08平米 | 北 | 精装 | 有电梯', '低楼层(共25层)2009年建塔楼  -  科学城', '295万', '单价33493元/平米')
('https://image1.ljcdn.com/440100-inspection/00d3b846-f992-4f44-b519-9ee80c5c3f1b.jpg.296x216.jpg', '金碧世纪花园 南向厅出阳台两房 采光好', '金碧世纪花园  | 2室2厅 | 70平米 | 南 | 精装 | 有电梯', '中楼层(共17层)2004年建塔楼  -  区府', '290万', '单价41429元/平米')
('https://image1.ljcdn.com/440100-inspection/8bc9c261-f17d-4245-8895-6c154ce27b25.jpg.296x216.jpg', '榕景园 复式大三房 精装修 怡园', '榕景园  | 3室2厅 | 118.95平米 | 东北 | 其他 | 有电梯', '高楼层(共9层)2001年建塔楼  -  区府', '439万', '单价36907元/平米')
('https://image1.ljcdn.com/440100-inspection/fc66f941-8a44-4248-b097-62220afd44d7.jpg.296x216.jpg', '939大院 南向三房 双地铁300米', '煤场宿舍楼  | 3室2厅 | 85.25平米 | 南 | 精装 | 无电梯', '高楼层(共8层)塔楼  -  区府', '310万', '单价36364元/平米')
('https://image1.ljcdn.com/440100-inspection/d273408a-871d-45b7-9139-8dfb553499ea.jpg.296x216.jpg', '泰景花园东城华庭  精装两房 格局方正', '泰景花园东城华庭  | 2室2厅 | 78平米 | 北 | 精装 | 有电梯', '中楼层(共27层)2012年建塔楼  -  区府', '300万', '单价38462元/平米')
('', '火电厂宿舍 方正三房 交通便利', '火电厂宿舍  | 3室2厅 | 95.96平米 | 南 | 其他 | 无电梯', '中楼层(共7层)1995年建塔楼  -  开发区', '188万', '单价19592元/平米')
('https://image1.ljcdn.com/440100-inspection/6aae7dd2-99bf-4852-8c2d-d96fcaf73c02.jpg.296x216.jpg', '黄埔花园 南向三房 户型通透', '黄埔花园  | 3室2厅 | 94.69平米 | 南 | 其他 | 有电梯', '中楼层(共16层)2011年建塔楼  -  区府', '390万', '单价41188元/平米')
