('https://image1.ljcdn.com/340100-inspection/d314142f-f3da-4dd7-ac64-9a151bec095b.JPG.296x216.jpg', '恒盛招牌敞亮大三房 南北双阳台 无遮挡采光', '恒盛皇家花园  | 3室2厅 | 132.96平米 | 南 北 | 其他', '低楼层(共24层)2013年建板楼  -  林店', '170万', '单价12786元/平米')
('https://image1.ljcdn.com/340100-inspection/e401ad17-0f08-419a-b481-e60b99154a91.JPG.296x216.jpg', '上城国际丁香苑2室2厅交通便利小区环境干净适合居住', '上城国际丁香苑  | 2室2厅 | 95.57平米 | 南 北 | 其他', '中楼层(共6层)2008年建板楼  -  杏林', '152万', '单价15905元/平米')
('https://image1.ljcdn.com/340100-inspection/5a3c174a-8cd9-4b58-b382-21fb51c4fbb3.jpg.296x216.jpg', '中铁国际城桂园 3室2厅 145万', '中铁国际城桂园  | 3室2厅 | 81.68平米 | 南 | 其他', '高楼层(共34层)2012年建塔楼  -  四里河', '145万', '单价17753元/平米')
('https://image1.ljcdn.com/340100-inspection/66676541-6f89-4940-840f-36bf57409a0b.jpg.296x216.jpg', '缤纷南国 位置好 配套齐全 交通便利', '缤纷南国  | 3室2厅 | 166.78平米 | 南 北 | 简装', '高楼层(共11层)2005年建板楼  -  亳州', '275万', '单价16489元/平米')
('https://image1.ljcdn.com/340100-inspection/9049ff8b-5009-4031-8235-c669060dc914.JPG.296x216.jpg', '为你而选为你为家       精装修', '省地矿经济开发区公司宿舍楼  | 2室2厅 | 82.56平米 | 南 北 | 其他', '低楼层(共6层)板楼  -  双岗', '96万', '单价11628元/平米')
('https://image1.ljcdn.com/340100-inspection/86070328-8332-4bfe-bb85-a79858ced67a.jpg.296x216.jpg', '万科森林公园曦园 满两年 全天采光 诚心出售', '万科森林公园曦园  | 3室2厅 | 113平米 | 南 | 其他', '低楼层(共33层)2013年建塔楼  -  森林公园', '275万', '单价24337元/平米')
('https://image1.ljcdn.com/340100-inspection/521c0cf3-194d-4d34-b057-a51de8d71435.jpg.296x216.jpg', '亳州城 3室1厅 98万', '亳州城  | 3室1厅 | 77.37平米 | 南 北 | 其他', '中楼层(共7层)2002年建板楼  -  亳州', '98万', '单价12667元/平米')
('https://image1.ljcdn.com/340100-inspection/9a5bced6-9158-49b9-b38c-9aac66398a20.JPG.296x216.jpg', '通透大三房，中高楼层，纯毛坯拐角飘窗理想中的家', '融侨悦城  | 3室2厅 | 130.16平米 | 南 | 其他', '中楼层(共33层)2017年建板楼  -  林店', '170万', '单价13061元/平米')
('https://image1.ljcdn.com/340100-inspection/aad8a2c1-13a4-49fb-a294-8006f2ad7a39.jpg.296x216.jpg', '都市清华 2室2厅 170万', '都市清华  | 2室2厅 | 95.39平米 | 南 | 其他', '中楼层(共6层)2006年建板楼  -  海棠', '170万', '单价17822元/平米')
('https://image1.ljcdn.com/340100-inspection/49fddaf0-78b5-40c8-b4cf-fe5ebde2c7de.jpg.296x216.jpg', '万科森林公园嘉庭 3室2厅 225万', '万科森林公园嘉庭  | 3室2厅 | 89.26平米 | 南 | 其他', '中楼层(共28层)暂无数据  -  森林公园', '225万', '单价25208元/平米')
('https://image1.ljcdn.com/340100-inspection/69ec45d2-819c-4e4b-b3e4-503c6bb5f005.jpg.296x216.jpg', '北一环 南国花园 汇景公寓 总价便宜', '南国花园  | 1室1厅 | 39.56平米 | 北 | 其他', '高楼层(共18层)1999年建板楼  -  亳州', '61万', '单价15420元/平米')
('https://image1.ljcdn.com/340100-inspection/351336c6-4ade-48ef-88f2-008416769da7.jpg.296x216.jpg', '庐阳馨苑 好房来袭 设施配套齐全 此房满五年，', '庐阳馨苑  | 2室2厅 | 79.97平米 | 南 | 其他', '低楼层(共18层)2010年建板楼  -  海棠', '140万', '单价17507元/平米')
('https://image1.ljcdn.com/340100-inspection/a2206b4b-1944-4861-9d32-7a98f00ebbbd.jpg.296x216.jpg', '财富广场附近 柏景湾三室 楼层好 小区位置好', '柏景湾  | 3室1厅 | 143.89平米 | 南 北 | 其他', '高楼层(共11层)2009年建塔楼  -  亳州', '350万', '单价24325元/平米')
('https://image1.ljcdn.com/340100-inspection/91b3f1d6-dea3-4e24-96f2-68c9911b7911.JPG.296x216.jpg', '银光小区 位置好 配套齐全 交通便利', '银光小区  | 2室1厅 | 72平米 | 南 北 | 其他', '中楼层(共6层)板楼  -  亳州', '98万', '单价13612元/平米')
('https://image1.ljcdn.com/340100-inspection/3babd026-294e-4fb8-8270-8b8ba6747e8e.jpg.296x216.jpg', '为你而选为你为家 杏林雅苑 美好生活', '杏林雅苑  | 4室2厅 | 135.71平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  杏林', '155万', '单价11422元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload22bb1beb-e2d1-41e4-97d6-b4fb64b8fddd.JPG.296x216.jpg', '户型方正，南北通透，采光好，随时看房', '高河埂新村  | 3室2厅 | 90平米 | 南 北 | 其他', '中楼层(共6层)板楼  -  双岗', '115万', '单价12778元/平米')
('https://image1.ljcdn.com/340100-inspection/39f76dca-b512-4226-9218-808789f225a5.jpg.296x216.jpg', '世纪家园大三居 精装修 楼层好', '世纪家园  | 3室2厅 | 108.51平米 | 南 北 | 其他', '中楼层(共6层)2006年建板楼  -  亳州', '197万', '单价18156元/平米')
('https://image1.ljcdn.com/340100-inspection/31083024-6817-4d8f-bfa1-84d97e02a416.jpg.296x216.jpg', '为你而选为你为家 可苑新村成熟小区 中间楼层 采光好', '可苑新村  | 2室1厅 | 71.35平米 | 南 | 其他', '中楼层(共6层)2000年建板楼  -  亳州', '99.8万', '单价13988元/平米')
('https://image1.ljcdn.com/340100-inspection/491434b1-9ed0-4789-9772-a97065ffac98.JPG.296x216.jpg', '空间布置有致，和谐有序，清新空气自由穿行', '上城国际新界  | 2室2厅 | 76.31平米 | 南 北 | 其他', '高楼层(共18层)2012年建塔楼  -  杏林', '131万', '单价17167元/平米')
('https://image1.ljcdn.com/340100-inspection/137268d4-412d-4deb-b89f-6d1453bbc7fd.jpg.296x216.jpg', '为你而选为你为家翡丽城精装修两房  两房客厅朝南', '祥源广场翡丽城  | 2室2厅 | 89.98平米 | 南 | 其他', '高楼层(共33层)2013年建塔楼  -  亳州', '190万', '单价21116元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload673d8b0a-222b-4146-b062-c98a237d7cb8.JPG.296x216.jpg', '空间布局有致，和谐有序，清新空气自由穿行', '恒盛皇家花园  | 3室1厅 | 111.32平米 | 南 北 | 其他', '中楼层(共33层)2013年建板楼  -  林店', '145万', '单价13026元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadd35a9ff6-4e3e-4307-8c8e-8db43c87445d.jpg.296x216.jpg', '安北小区 2室0厅 115万', '安北小区  | 2室0厅 | 54.3平米 | 南 北 | 其他', '高楼层(共7层)1990年建板楼  -  三孝口', '115万', '单价21179元/平米')
('https://image1.ljcdn.com/340100-inspection/dff03429-dc27-46e7-9bee-3593c5fba10f.jpg.296x216.jpg', '中铁旭园 三室简单装修  楼层采光皆好 刚需房 诚售', '中铁国际城旭园  | 2室2厅 | 91.67平米 | 南 北 | 其他', '中楼层(共24层)2007年建板楼  -  杏花村', '157万', '单价17127元/平米')
('https://image1.ljcdn.com/340100-inspection/abe17f21-b5db-4a80-ae6c-4a4061026a75.JPG.296x216.jpg', '荣城南苑北区 2室1厅 96万', '荣城南苑北区  | 2室1厅 | 92.03平米 | 南 北 | 其他', '中楼层(共11层)2014年建板楼  -  林店', '96万', '单价10432元/平米')
('https://image1.ljcdn.com/340100-inspection/bbb4737e-f37b-4428-a32d-4b32f1e60719.jpg.296x216.jpg', '正规大院  中间楼层   采光好  视野开阔', '南菜园恢复楼  | 2室1厅 | 80平米 | 南 北 | 其他', '中楼层(共6层)板楼  -  三孝口', '168万', '单价21000元/平米')
('https://image1.ljcdn.com/340100-inspection/6c0761bf-de5d-4690-9aed-4e265c7118b6.jpg.296x216.jpg', '精装修 大四房 户型方正 南北通透 采光好', '中环汇景大厦  | 4室2厅 | 186.21平米 | 南 北 | 其他', '中楼层(共28层)暂无数据  -  三孝口', '500万', '单价26852元/平米')
('https://image1.ljcdn.com/340100-inspection/ebddcf68-dcf4-4436-a48b-c98dbd726272.jpg.296x216.jpg', '银河湾花园 5室2厅 277万', '银河湾花园  | 5室2厅 | 203.57平米 | 南 北 | 其他', '高楼层(共6层)2013年建板楼  -  亳州', '277万', '单价13608元/平米')
('https://image1.ljcdn.com/340100-inspection/443928b7-a4d9-453c-8a30-14fd9ab929af.jpg.296x216.jpg', '龙源丽景 3室2厅 168万', '龙源丽景  | 3室2厅 | 94.8平米 | 南 | 其他', '高楼层(共6层)2012年建板楼  -  海棠', '168万', '单价17722元/平米')
('https://image1.ljcdn.com/340100-inspection/0234caf4-5da9-4705-9c47-125ea75a3605.JPG.296x216.jpg', '深圳花园 位置好 配套齐全 交通便利', '深圳花园  | 3室1厅 | 89.01平米 | 南 | 其他', '高楼层(共7层)2000年建板楼  -  双岗', '110万', '单价12359元/平米')
('https://image1.ljcdn.com/340100-inspection/52bcd035-a64c-48f9-9f75-c8ee0ba46aa8.jpg.296x216.jpg', '学院里 2室2厅 130万', '学院里  | 2室2厅 | 87.03平米 | 南 | 其他', '中楼层(共27层)2011年建塔楼  -  四里河', '130万', '单价14938元/平米')
('https://image1.ljcdn.com/340100-inspection/b00a7c01-582d-47a4-8af7-858626cfb343.JPG.296x216.jpg', '为你而选为你为家，和煦园三室两厅', '和煦园  | 3室2厅 | 124.04平米 | 南 北 | 其他', '高楼层(共6层)2003年建板楼  -  亳州', '170万', '单价13706元/平米')
('https://image1.ljcdn.com/340100-inspection/655a22c1-f7f9-458f-ad62-4c2df9749193.JPG.296x216.jpg', '为你而选为你为家,华安家园，家电齐全，拎包入住', '华安家园  | 2室1厅 | 67.59平米 | 南 | 其他', '高楼层(共11层)2008年建板楼  -  亳州', '116万', '单价17163元/平米')
('https://image1.ljcdn.com/340100-inspection/ce8234b9-a20f-4329-852f-cbacc9605ce5.JPG.296x216.jpg', '为你而选 为你为家 金鸟花园 好房出售', '金碧花园  | 3室1厅 | 94.14平米 | 南 北 | 其他', '高楼层(共7层)暂无数据  -  双岗', '112万', '单价11898元/平米')
('https://image1.ljcdn.com/340100-inspection/fa7b38a3-6f7b-438e-aeae-b6093059d3f6.jpg.296x216.jpg', '海亮蘭郡花园，三房小边户 南北通透，采光无遮挡', '海亮兰郡花园  | 3室2厅 | 89.2平米 | 南 | 其他', '低楼层(共27层)2012年建塔楼  -  森林公园', '128万', '单价14350元/平米')
('https://image1.ljcdn.com/340100-inspection/c18dc9a1-036e-4184-9f2d-33c36376df12.JPG.296x216.jpg', '装修好，楼层好，小三房，视野开阔，采光充足。', '宝宸时代花园  | 3室1厅 | 83.25平米 | 南 | 其他', '中楼层(共28层)塔楼  -  林店', '105万', '单价12613元/平米')
('https://image1.ljcdn.com/340100-inspection/23c0241f-26e9-4a3e-9672-45c9b24e97c8.jpg.296x216.jpg', '碧水源 2室1厅 140万', '碧水源  | 2室1厅 | 89平米 | 南 | 其他', '中楼层(共18层)2010年建板楼  -  四里河', '140万', '单价15731元/平米')
('https://image1.ljcdn.com/340100-inspection/7cf7785e-011d-4cf9-ad0d-75d3a62f5b8b.jpg.296x216.jpg', '采光好 中等装修 停车方便 交通便捷', '省建设厅大院  | 2室1厅 | 48.04平米 | 南 | 其他', '低楼层(共3层)1993年建板楼  -  逍遥津', '115万', '单价23939元/平米')
('https://image1.ljcdn.com/340100-inspection/78c03403-de93-4cf3-8e4b-f9dff45e4741.JPG.296x216.jpg', '大富绿州 2室1厅 102万', '大富绿州  | 2室1厅 | 73平米 | 北 | 其他', '高楼层(共29层)2011年建塔楼  -  杏林', '102万', '单价13973元/平米')
('https://image1.ljcdn.com/340100-inspection/2a58f237-9464-4183-b8c2-366de7a51b32.jpg.296x216.jpg', '供电公司逍遥津南区 3室1厅 114万', '供电公司逍遥津南区  | 3室1厅 | 67平米 | 南 北 | 其他', '中楼层(共5层)板楼  -  逍遥津', '114万', '单价17015元/平米')
('https://image1.ljcdn.com/340100-inspection/e706a413-1be8-4b4f-868d-7435a1ce099f.JPG.296x216.jpg', '为你而选为你为家     精品好房', '大富绿州  | 2室2厅 | 94.27平米 | 南 北 | 其他', '低楼层(共27层)2011年建塔楼  -  杏林', '122万', '单价12942元/平米')
('https://image1.ljcdn.com/340100-inspection/fdd52ade-9b00-460a-8d25-2795b9c36619.jpg.296x216.jpg', '中铁广园大湖公馆大平层 观景毛坯房 业主诚售', '中铁国际城广园  | 5室2厅 | 211.37平米 | 南 北 | 其他', '中楼层(共33层)2012年建板楼  -  杏花村', '350万', '单价16559元/平米')
('https://image1.ljcdn.com/340100-inspection/bf1a2182-bbc9-48b1-90cc-5f0adf6c4c7c.jpg.296x216.jpg', '北美印象雅苑 2室2厅 140万', '北美印象雅苑  | 2室2厅 | 94.35平米 | 南 | 其他', '高楼层(共17层)2008年建板楼  -  海棠', '140万', '单价14839元/平米')
('https://image1.ljcdn.com/340100-inspection/b7962b07-0754-48f0-8a67-78908ffb101a.JPG.296x216.jpg', '为你而选为你为家 杏林北村 大三房 采光好', '杏林北村  | 3室2厅 | 113.15平米 | 南 | 其他', '高楼层(共6层)2000年建板楼  -  杏林', '125万', '单价11048元/平米')
('https://image1.ljcdn.com/340100-inspection/f618d12a-0fc7-4bed-88cc-bdfc8335b937.jpg.296x216.jpg', '益民街 2室1厅 162万', '益民街  | 2室1厅 | 51.8平米 | 南 | 其他', '高楼层(共6层)板楼  -  逍遥津', '162万', '单价31275元/平米')
('https://image1.ljcdn.com/340100-inspection/1d79095a-da8b-4127-8f96-95d3ce18ee42.jpg.296x216.jpg', '紧邻杏花公园 环境好  采光好 配套设施齐全', '合肥市勘察院宿舍  | 2室1厅 | 55.77平米 | 南 | 其他', '高楼层(共7层)暂无数据  -  三孝口', '108万', '单价19366元/平米')
('https://image1.ljcdn.com/340100-inspection/f2eeac33-1835-4d78-971e-5ce36fc6cd31.jpg.296x216.jpg', '杏建小区，北一环上，居家装修，两房朝南，户型方正', '杏建小区  | 2室2厅 | 78.54平米 | 南 | 其他', '高楼层(共6层)1993年建板楼  -  亳州', '115万', '单价14643元/平米')
('https://image1.ljcdn.com/340100-inspection/99092b65-bc2d-45ee-a92a-7d7d2e2c8a5b.jpg.296x216.jpg', '学院里 2室2厅 130万', '学院里  | 2室2厅 | 88.97平米 | 南 | 其他', '中楼层(共27层)2011年建塔楼  -  四里河', '130万', '单价14612元/平米')
('https://image1.ljcdn.com/340100-inspection/e4524e51-679e-41d4-938e-d4a40ff2e6d8.JPG.296x216.jpg', '恒盛招牌三房户型 精装修 可拎包入住', '恒盛皇家花园  | 3室1厅 | 102.27平米 | 南 | 其他', '低楼层(共30层)2013年建板楼  -  林店', '130万', '单价12712元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload777bb5a0-5457-4045-b4e6-db30554d4b6d.JPG.296x216.jpg', '为你而选 为你为家  金域蓝湾  两居室', '金域蓝湾  | 2室1厅 | 65.97平米 | 南 | 其他', '高楼层(共24层)2010年建板楼  -  亳州', '130万', '单价19706元/平米')
('https://image1.ljcdn.com/340100-inspection/15febdde-b600-4c50-b967-9ef6a25acde6.jpg.296x216.jpg', '北苑小区，两室一厅，交通便利， 适合居住', '北苑小区  | 2室1厅 | 69.21平米 | 南 | 其他', '低楼层(共6层)暂无数据  -  亳州', '96万', '单价13871元/平米')
('https://image1.ljcdn.com/340100-inspection/d77fa84c-a42f-47be-b6e5-e8511c5ade13.jpg.296x216.jpg', '水晶苑 3室2厅 165万', '水晶苑  | 3室2厅 | 117.47平米 | 南 | 其他', '中楼层(共18层)2011年建塔楼  -  亳州', '165万', '单价14047元/平米')
('https://image1.ljcdn.com/340100-inspection/6383e234-b3d2-428c-a9c4-6d018368faef.jpg.296x216.jpg', '龙源丽景 2室1厅 168万', '龙源丽景  | 2室1厅 | 96平米 | 南 | 其他', '高楼层(共6层)2012年建板楼  -  海棠', '168万', '单价17500元/平米')
('https://image1.ljcdn.com/340100-inspection/cfee3c3c-c1ed-4956-8fea-7dc0f0d064cb.jpg.296x216.jpg', '亳州城 2室1厅 50万', '亳州城  | 2室1厅 | 39.69平米 | 南 北 | 其他', '低楼层(共7层)2002年建板楼  -  亳州', '50万', '单价12598元/平米')
('https://image1.ljcdn.com/340100-inspection/5bb41ed1-c8d8-4bfb-9d9a-ef8b8a3f51c2.jpg.296x216.jpg', '元一美邦国际 3室2厅 232万', '元一美邦国际  | 3室2厅 | 140.26平米 | 南 | 其他', '高楼层(共18层)2003年建塔楼  -  亳州', '232万', '单价16541元/平米')
('https://image1.ljcdn.com/340100-inspection/db3e89d3-6c97-413c-a685-20b32fe83cd6.JPG.296x216.jpg', '荣凤苑小区 2室1厅 87万', '荣凤苑小区  | 2室1厅 | 79.2平米 | 南 | 其他', '中楼层(共6层)2004年建板楼  -  林店', '87万', '单价10985元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadb8748196-dd52-4894-b3ca-d2ab40d9dfbf.jpg.296x216.jpg', '柏景湾 3室2厅 215万', '柏景湾  | 3室2厅 | 95.57平米 | 南 | 其他', '高楼层(共6层)2009年建塔楼  -  亳州', '215万', '单价22497元/平米')
('https://image1.ljcdn.com/340100-inspection/6a7b5e55-c4f5-47f3-be24-a98014c72fc5.jpg.296x216.jpg', '碧水源 2室2厅 150万', '碧水源  | 2室2厅 | 90.33平米 | 南 | 其他', '中楼层(共18层)2010年建板楼  -  四里河', '150万', '单价16606元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadceae92c7-085c-4f9b-a75a-b761017ca83c.jpg.296x216.jpg', '中铁广园 南北通透 婚房装修 湖景房 换房+满两年诚售', '中铁国际城广园  | 3室2厅 | 97.67平米 | 南 北 | 其他', '高楼层(共33层)2012年建板楼  -  杏花村', '175万', '单价17918元/平米')
('https://image1.ljcdn.com/340100-inspection/441df62d-364c-4fe7-a2c2-595992273699.jpg.296x216.jpg', '北美印象雅苑 2室1厅 155万', '北美印象雅苑  | 2室1厅 | 91.39平米 | 南 | 其他', '高楼层(共18层)2008年建板楼  -  海棠', '155万', '单价16961元/平米')
('https://image1.ljcdn.com/340100-inspection/eaa0b485-47bb-4344-828f-630628d377f8.JPG.296x216.jpg', '为你而选 为你为家 望城花园 精装大三房 刚需房', '望城花园  | 3室2厅 | 99.81平米 | 南 北 | 其他', '中楼层(共6层)2000年建板楼  -  杏林', '110万', '单价11021元/平米')
('https://image1.ljcdn.com/340100-inspection/620dda2e-a806-4064-aed6-debe974e0ca0.jpg.296x216.jpg', '交通便利，配套齐全，居住舒适。', '团结新村  | 3室1厅 | 87.3平米 | 南 | 其他', '中楼层(共5层)1990年建板楼  -  逍遥津', '150万', '单价17183元/平米')
('https://image1.ljcdn.com/340100-inspection/2902dfac-ea8a-4eca-9fa9-8ffd8c6b5116.jpg.296x216.jpg', '畅园新村 满五 顶楼复式 采光好', '畅园新村  | 5室3厅 | 160.38平米 | 南 北 | 其他', '高楼层(共6层)1998年建板楼  -  亳州', '205万', '单价12783元/平米')
('https://image1.ljcdn.com/340100-inspection/66fe50d0-34c6-4a04-98e3-3b4d8eedcc76.jpg.296x216.jpg', '银河湾花园 3室2厅 170万', '银河湾花园  | 3室2厅 | 104.26平米 | 南 北 | 其他', '中楼层(共6层)2013年建板楼  -  亳州', '170万', '单价16306元/平米')
('https://image1.ljcdn.com/340100-inspection/7b33c96d-c832-4190-ada6-e896eadb1d7a.jpg.296x216.jpg', '利港四季华庭 1室1厅 67万', '利港四季华庭  | 1室1厅 | 42.67平米 | 西 北 | 其他', '中楼层(共20层)2010年建板楼  -  四里河', '67万', '单价15702元/平米')
('https://image1.ljcdn.com/340100-inspection/b9513db6-1091-4833-9ab8-129a8c8fbc8b.JPG.296x216.jpg', '上城国际风荷苑 南北二房 多层公摊小 楼层好 采光佳', '风荷苑  | 2室2厅 | 71.18平米 | 南 北 | 其他', '中楼层(共6层)2006年建板楼  -  杏林', '95万', '单价13347元/平米')
('https://image1.ljcdn.com/340100-inspection/4faa9a7d-864a-493d-8807-da3db387f70c.jpg.296x216.jpg', '紫兰园  大三室  楼层好 采光充足', '紫兰园  | 3室2厅 | 126.68平米 | 南 北 | 精装', '高楼层(共18层)2005年建板楼  -  四里河', '146万', '单价11526元/平米')
('https://image1.ljcdn.com/340100-inspection/ff980dd6-68b2-45bf-928d-026121b5f79c.JPG.296x216.jpg', '空间布局有致，和谐有序，清新空气自由穿行', '恒盛皇家花园  | 2室2厅 | 80平米 | 南 北 | 其他', '中楼层(共30层)2013年建板楼  -  林店', '117万', '单价14625元/平米')
('https://image1.ljcdn.com/340100-inspection/12b50394-e6ab-421e-a61f-e432faae3271.jpg.296x216.jpg', '万科森林公园嘉庭 南北通透的房型', '万科森林公园嘉庭  | 3室2厅 | 130.34平米 | 南 北 | 其他', '低楼层(共34层)暂无数据  -  森林公园', '298万', '单价22864元/平米')
('https://image1.ljcdn.com/340100-inspection/d7e8e735-3ba3-4f90-9e9c-ba1e8896a2bf.jpg.296x216.jpg', '阜南路131号 三室一厅 交通便利 简单装修', '阜南路131号  | 3室1厅 | 79平米 | 南 北 | 其他', '中楼层(共6层)板楼  -  三孝口', '138万', '单价17469元/平米')
('https://image1.ljcdn.com/340100-inspection/81a1b5ab-b4b1-4213-9db8-9a1576be423d.jpg.296x216.jpg', '为你的未来撑起希望    配套齐全', '美菱新村  | 2室1厅 | 64.65平米 | 南 | 其他', '中楼层(共7层)板楼  -  双岗', '82万', '单价12684元/平米')
('https://image1.ljcdn.com/340100-inspection/b15247a5-d199-493a-abb5-248324aa3937.JPG.296x216.jpg', '空间布置有致，和谐有序，清新空气自由穿行', '融侨悦城  | 3室2厅 | 109平米 | 南 | 其他', '低楼层(共18层)2017年建板楼  -  林店', '145万', '单价13303元/平米')
('https://image1.ljcdn.com/340100-inspection/5b318863-9e65-4aea-8477-368ba0e30bae.JPG.296x216.jpg', '金都华庭五期 3室2厅 140万', '金都华庭五期  | 3室2厅 | 94.25平米 | 南 北 | 其他', '中楼层(共16层)暂无数据  -  杏林', '140万', '单价14855元/平米')
('https://image1.ljcdn.com/340100-inspection/e3b9086e-b0bb-4246-9d68-ae6ba6fd9192.jpg.296x216.jpg', '南小45中本部 精装修 2房朝南、送储藏室8平 采光佳', '省纺织厅宿舍  | 2室1厅 | 69.25平米 | 南 | 其他', '高楼层(共6层)板楼  -  三孝口', '210万', '单价30325元/平米')
('https://image1.ljcdn.com/340100-inspection/d4dfd270-d351-4f27-aa75-6be304a6a474.jpg.296x216.jpg', '华馨苑 2室2厅 135万', '华馨苑  | 2室2厅 | 85.07平米 | 南 | 其他', '低楼层(共18层)暂无数据  -  海棠', '135万', '单价15870元/平米')
('https://image1.ljcdn.com/340100-inspection/4244df6d-1a4b-40ea-a2c7-7e33d67f18ac.jpg.296x216.jpg', '为你而选为你为家 万小店好房，楼层好', '万小店小区  | 3室2厅 | 99.8平米 | 南 北 | 其他', '中楼层(共6层)2000年建板楼  -  亳州', '147万', '单价14730元/平米')
('https://image1.ljcdn.com/340100-inspection/1f2ba156-3d8e-4aee-ae5b-4b5963d2649f.jpg.296x216.jpg', '江淮大戏院 两室一厅 交通便利  适合居住', '江淮大戏院宿舍  | 2室1厅 | 75.38平米 | 南 北 | 其他', '高楼层(共7层)板楼  -  逍遥津', '130万', '单价17246元/平米')
('https://image1.ljcdn.com/340100-inspection/39ed2903-ca21-464e-87c0-f9d61347c14f.JPG.296x216.jpg', '为你而选为你为家 和煦园复式好房', '和煦园  | 5室2厅 | 229.9平米 | 南 北 | 其他', '高楼层(共6层)2003年建板楼  -  亳州', '280万', '单价12180元/平米')
('https://image1.ljcdn.com/340100-inspection/6d95767a-f1c7-413f-a6c3-253ac11d4f0e.jpg.296x216.jpg', '云滨花园 2室1厅 108万', '云滨花园  | 2室1厅 | 74.12平米 | 南 | 其他', '高楼层(共30层)2012年建塔楼  -  亳州', '108万', '单价14571元/平米')
('https://image1.ljcdn.com/340100-inspection/220294f8-f7ce-43c6-8886-78bfe0d45077.jpg.296x216.jpg', '紫桐新村(A区.B区) 3室2厅 115万', '紫桐新村(A区.B区)  | 3室2厅 | 81.1平米 | 南 | 其他', '高楼层(共6层)2005年建板楼  -  四里河', '115万', '单价14181元/平米')
('https://image1.ljcdn.com/340100-inspection/5622e546-f9fc-4304-ae4b-5940ee9aeb30.JPG.296x216.jpg', '为你而选为你为家 金域蓝湾 1室1厅边户朝南 精装修', '金域蓝湾  | 1室1厅 | 55.78平米 | 南 | 其他', '中楼层(共31层)2012年建板楼  -  亳州', '98万', '单价17570元/平米')
('https://image1.ljcdn.com/340100-inspection/aca713fe-2ad7-42b3-bb3f-a7aad3882236.jpg.296x216.jpg', '思和苑小区 2室1厅 97万', '思和苑小区  | 2室1厅 | 64.82平米 | 南 北 | 其他', '高楼层(共6层)2005年建板楼  -  四里河', '97万', '单价14965元/平米')
('https://image1.ljcdn.com/340100-inspection/7ecaecbc-6716-49e3-82e2-1ff4b50fce49.jpg.296x216.jpg', '海亮红玺台 3室2厅 200万', '海亮红玺台  | 3室2厅 | 96.36平米 | 南 北 | 其他', '低楼层(共28层)2014年建塔楼  -  海棠', '200万', '单价20756元/平米')
('https://image1.ljcdn.com/340100-inspection/da4a07db-cf72-4bfc-a5fb-ed302314f9c4.jpg.296x216.jpg', '海棠花园 5室2厅 333万', '海棠花园  | 5室2厅 | 195平米 | 南 北 | 其他', '高楼层(共11层)2006年建板楼  -  海棠', '333万', '单价17077元/平米')
('https://image1.ljcdn.com/340100-inspection/6aeaa25e-ab79-4c4f-9c30-d627453995e0.jpg.296x216.jpg', '辰龙大厦 一居室 户型明亮 带燃气出行方便', '辰龙大厦  | 1室1厅 | 48.8平米 | 北 | 其他', '中楼层(共31层)2010年建塔楼  -  四里河', '60万', '单价12296元/平米')
('https://image1.ljcdn.com/340100-inspection/b8594423-0c0a-49c7-b614-da1b51ecf835.JPG.296x216.jpg', '荣凤苑小区 3室2厅 102万', '荣凤苑小区  | 3室2厅 | 105平米 | 南 | 其他', '中楼层(共6层)2004年建板楼  -  林店', '102万', '单价9715元/平米')
('https://image1.ljcdn.com/340100-inspection/2b28c433-1150-4efe-b52a-ed72304d874d.jpg.296x216.jpg', '万科城市之光 正规三房 户型方正  采光好 视野佳', '万科城市之光  | 3室2厅 | 110.62平米 | 南 北 | 其他', '低楼层(共34层)暂无数据  -  四里河', '238万', '单价21516元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadeb47a157-6398-4803-860a-0256ec4a44a2.jpg.296x216.jpg', '小区中心\u3000优质三房\u3000诚心出售\u3000看房方便', '陈小巷社区  | 3室1厅 | 73.84平米 | 南 北 | 其他', '低楼层(共6层)1989年建板楼  -  逍遥津', '100万', '单价13543元/平米')
('https://image1.ljcdn.com/340100-inspection/6fbda79c-8f7e-4565-ad80-cf597ea513aa.jpg.296x216.jpg', '富世广场 2室1厅 112万', '富世广场  | 2室1厅 | 87.45平米 | 北 | 其他', '高楼层(共29层)2012年建塔楼  -  逍遥津', '112万', '单价12808元/平米')
('https://image1.ljcdn.com/340100-inspection/73fd7985-3a57-4e24-bf93-c5bf6a67656c.jpg.296x216.jpg', '都市清华 3室2厅 288万', '都市清华  | 3室2厅 | 143.85平米 | 南 | 其他', '高楼层(共18层)2006年建板楼  -  海棠', '288万', '单价20021元/平米')
