('https://image1.ljcdn.com/510100-inspection/test-96e02ce2-04f0-4862-bc65-c720c9250cfb.png.296x216.jpg', '套三双卫 主卧带阳台  此房满五年且唯一免个税', '东苑D区  | 3室2厅 | 135平米 | 西南 | 简装 | 有电梯', '低楼层(共26层)2009年建板楼  -  东苑', '248万', '单价18371元/平米')
('https://image1.ljcdn.com/510100-inspection/a6279f8a-30f2-439b-8cc6-17b95d565885.jpg.296x216.jpg', '世豪瑞丽标准套二  精装修 采光好 视野无遮挡', '世豪瑞丽  | 2室2厅 | 81.03平米 | 西 | 其他 | 有电梯', '高楼层(共32层)2013年建板塔结合  -  大源', '220万', '单价27151元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0ab25f2c-d1b1-42ba-9ab0-9561c369d68e.png.296x216.jpg', '天悦府标准套二，朝东，简装出租，满两年。', '天悦府  | 2室2厅 | 89.58平米 | 东 | 其他 | 有电梯', '中楼层(共31层)2014年建板塔结合  -  大源', '270万', '单价30141元/平米')
('https://image1.ljcdn.com/510100-inspection/test-61319ccc-fb76-4ad5-8cee-4fa1292359f5.png.296x216.jpg', '天府名居金沙江苑低楼层精装套三改套四', '天府名居金沙江苑  | 4室2厅 | 149.4平米 | 南 | 精装 | 有电梯', '低楼层(共24层)2006年建塔楼  -  天府长城', '305万', '单价20415元/平米')
('https://image1.ljcdn.com/510100-inspection/test-20535271-7cc8-4919-be39-778916ca2ef1.png.296x216.jpg', '高新区南三环    庆安社区   标准楼梯套二', '新雅中街12号  | 2室1厅 | 72.64平米 | 东南 | 其他 | 无电梯', '高楼层(共6层)暂无数据  -  高朋', '84万', '单价11564元/平米')
('https://image1.ljcdn.com/510100-inspection/test-338b263d-b2e7-4d6d-992e-c44f64e30db5.png.296x216.jpg', '欧尚庭院套二精装带花园，房东自住', '欧尚庭院  | 2室1厅 | 90.4平米 | 南 | 其他 | 有电梯', '低楼层(共11层)2005年建板楼  -  中和', '159万', '单价17589元/平米')
('https://image1.ljcdn.com/510100-inspection/test-08391190-3dab-4d3c-9baa-05ba44040f2f.png.296x216.jpg', '高新二环，改善大户型套四，低楼层，位置安静', '如意人家  | 4室2厅 | 192.68平米 | 南 | 其他 | 无电梯', '低楼层(共6层)2002年建板楼  -  紫荆', '295万', '单价15311元/平米')
('https://image1.ljcdn.com/510100-inspection/d353c15c-022f-455c-afb9-2c4596345977.jpg.296x216.jpg', '保利锦湖林语 顶楼跃层，高楼层，视野好', '保利锦湖林语南区  | 4室2厅 | 143.4平米 | 西 | 其他 | 有电梯', '高楼层(共22层)2017年建板塔结合  -  金融城', '500万', '单价34868元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8b3fccbc-21f8-4a8c-b70b-c5d0ccf3079d.png.296x216.jpg', '高新区金融城仁和春天国际花园满二视野采光好精装套三', '仁和春天国际花园  | 3室2厅 | 184.67平米 | 东北 | 其他 | 有电梯', '低楼层(共31层)2014年建板塔结合  -  金融城', '690万', '单价37364元/平米')
('https://image1.ljcdn.com/510100-inspection/test-73727d72-5dc9-46e1-a016-51ae564c7463.png.296x216.jpg', '套二精装修，带平台，采光好视野开阔', '御廷上郡  | 2室2厅 | 74.14平米 | 东南 | 其他 | 有电梯', '低楼层(共26层)2012年建板塔结合  -  中和', '158万', '单价21312元/平米')
('https://image1.ljcdn.com/510100-inspection/test-84f14625-c507-4508-aa0d-4c7082e8e7d5.png.296x216.jpg', '南三环内 精装房 品质小区 送车位', '南延新苑  | 4室2厅 | 167.88平米 | 南 北 | 简装 | 有电梯', '低楼层(共30层)2011年建塔楼  -  东苑', '330万', '单价19657元/平米')
('https://image1.ljcdn.com/510100-inspection/3489472d-63c2-47da-bff0-71a8827edaeb.jpg.296x216.jpg', '齐盛艺境  套四双卫 带50平方入户', '齐盛艺境  | 4室2厅 | 123.39平米 | 南 | 其他 | 有电梯', '中楼层(共22层)2008年建板楼  -  远大', '240万', '单价19451元/平米')
('https://image1.ljcdn.com/510100-inspection/test-fd640ef8-d5d5-420b-bccf-2c6311a298a7.png.296x216.jpg', '桐梓林唯一清水套二，户型方正，正朝南，采光没问题。', '桐梓林壹号  | 2室2厅 | 89.22平米 | 南 | 毛坯 | 有电梯', '低楼层(共23层)2015年建板楼  -  城南宜家', '225万', '单价25219元/平米')
('https://image1.ljcdn.com/510100-inspection/test-20a8f419-0eb6-4c97-8756-73dad78862d1.png.296x216.jpg', '雄飞新园紫郡  有装修 带家具家电小套三', '雄飞新园紫郡  | 3室2厅 | 84.44平米 | 南 北 | 其他', '高楼层(共16层)2015年建板塔结合  -  市一医院', '160万', '单价18949元/平米')
('https://image1.ljcdn.com/510100-inspection/303c8b74-dd5c-4a76-9f7d-9e5d50534fb7.jpg.296x216.jpg', '建发天府鹭洲套二，朝南看公园，视野好', '建发天府鹭洲  | 2室1厅 | 64平米 | 东 | 其他 | 有电梯', '高楼层(共29层)2012年建板塔结合  -  大源', '205万', '单价32032元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8fc16f34-f1d9-48d4-bf08-6412bd439951.png.296x216.jpg', '保利心语花园二期  满两年   套三双卫', '保利心语花园二期  | 3室2厅 | 125.57平米 | 西 | 其他 | 有电梯', '低楼层(共32层)2012年建板塔结合  -  大源', '380万', '单价30263元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload76ba0f54-6892-4061-8ba1-adcfb1629a6e.jpg.296x216.jpg', '中海翠屏湾  有阳台   上错下跃', '中海翠屏湾  | 3室2厅 | 84.69平米 | 西北 | 精装 | 有电梯', '低楼层(共18层)2009年建板楼  -  城南宜家', '245万', '单价28930元/平米')
('https://image1.ljcdn.com/510100-inspection/test-72d90f4c-9d4a-4c49-9348-110f540a86c7.png.296x216.jpg', '高新2.5环  清水套二，随意装修，看房方便', '南方半岛花园  | 2室2厅 | 73.85平米 | 西 | 简装 | 无电梯', '低楼层(共6层)2000年建板塔结合  -  新北', '105万', '单价14219元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6086d682-f9f4-424a-a6e1-44785db59b4d.png.296x216.jpg', '中德精装修  可以拎包入住 对中庭安静不吵', '中德英伦联邦A区  | 3室1厅 | 85.86平米 | 西南 | 其他 | 有电梯', '低楼层(共33层)2013年建板塔结合  -  中德', '265万', '单价30865元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d40d8b8e-7589-4ae4-afb9-6f7f731e9d84.png.296x216.jpg', '房子户型方正 南北朝向 对小区里面 不临街 有装修', '芳草东街一号院  | 2室1厅 | 64.55平米 | 北 | 精装 | 无电梯', '中楼层(共7层)2000年建板楼  -  芳草', '95万', '单价14718元/平米')
('https://image1.ljcdn.com/510100-inspection/f719584f-4e2b-462f-8401-1c4e1adcba33.jpg.296x216.jpg', '客厅、主卧都带大阳台，安静，对小区中庭', '东苑B区  | 3室2厅 | 141平米 | 南 | 简装 | 有电梯', '中楼层(共32层)2009年建塔楼  -  东苑', '324万', '单价22979元/平米')
('https://image1.ljcdn.com/510100-inspection/89171f18-d707-4d2e-8b8d-ef960ab94e70.jpg.296x216.jpg', '清水大平层中间楼层 视野开阔  房屋面积323平', '华敏世家花园  | 5室3厅 | 323平米 | 西 | 毛坯 | 有电梯', '高楼层(共23层)2009年建板楼  -  天府长城', '750万', '单价23220元/平米')
('https://image1.ljcdn.com/510100-inspection/test-447e3f7c-2598-4abe-9192-6a3ccf9b3a5a.png.296x216.jpg', '南三环 电梯小高层  精装 套三双卫', '南晶国际南庭  | 3室1厅 | 84.03平米 | 南 | 精装 | 有电梯', '高楼层(共11层)2012年建板楼  -  东苑', '238万', '单价28324元/平米')
('https://image1.ljcdn.com/510100-inspection/test-543b4491-eb51-4e6e-803b-b5c81e34d680.png.296x216.jpg', '标准套三，户型方正，位置安静朝南', '神仙树北路6号院  | 3室2厅 | 140.9平米 | 南 | 其他 | 有电梯', '中楼层(共13层)2005年建板楼  -  神仙树', '215万', '单价15260元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploade4979244-89ef-491b-84b9-c82cb0bb78df.jpg.296x216.jpg', '高新优质套四，无按揭无抵押满两年', '军安卫士花园  | 4室2厅 | 142.28平米 | 南 北 | 其他 | 有电梯', '低楼层(共26层)2013年建板楼  -  中和', '230万', '单价16166元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload79018df9-200b-482e-bc40-0b38f37066bc.JPG.296x216.jpg', '美年广场美岸，精装套三，家具全新！', '美年广场美岸  | 3室2厅 | 86.2平米 | 南 | 其他 | 有电梯', '低楼层(共31层)2012年建板楼  -  新会展', '208万', '单价24130元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2d4c1885-b43b-4af9-be8b-b5dbced8453a.png.296x216.jpg', '龙湖精装大套三，大阳台，看公园。', '龙湖世纪峰景  | 3室2厅 | 279.99平米 | 东南 西北 | 其他 | 有电梯', '中楼层(共49层)2017年建板楼  -  新会展', '630万', '单价22501元/平米')
('https://image1.ljcdn.com/510100-inspection/d48421da-25fa-4977-843f-261f8ece1627.jpg.296x216.jpg', '户型方正，位置安静，采光好，视野好', '城南名著  | 3室2厅 | 99.19平米 | 北 | 其他 | 有电梯', '高楼层(共11层)2007年建板楼  -  广都', '172万', '单价17341元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d3236dcb-f700-4f4f-be88-9d087122ff33.png.296x216.jpg', '高新区+高楼层套三+使用面积大', '元通一巷5号  | 3室1厅 | 94.18平米 | 南 | 其他 | 无电梯', '高楼层(共7层)1998年建板楼  -  神仙树', '110万', '单价11680元/平米')
('https://image1.ljcdn.com/510100-inspection/1aafca58-6bf0-44e3-961d-7d44e1450290.jpg.296x216.jpg', '中海城南一号二期 四居室，有钥匙，可看房', '中海城南一号二期  | 4室2厅 | 175.91平米 | 北 | 其他 | 有电梯', '低楼层(共22层)2012年建板塔结合  -  金融城', '635万', '单价36099元/平米')
('https://image1.ljcdn.com/510100-inspection/test-de7c7e92-052d-4319-a8df-3be3a1b482bf.png.296x216.jpg', '军安卫士套二户型，带阳台。。。。。。', '军安卫士花园  | 2室2厅 | 83平米 | 西南 | 其他 | 有电梯', '高楼层(共26层)2013年建板楼  -  中和', '145万', '单价17470元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e1198046-d661-404b-9bb8-7fa209259b38.png.296x216.jpg', '高新紫荆片区简装套3户型方正南北向', '紫薇庭院  | 3室2厅 | 148.51平米 | 南 | 其他 | 无电梯', '中楼层(共7层)2000年建板楼  -  紫荆', '198万', '单价13333元/平米')
('https://image1.ljcdn.com/510100-inspection/test-63621b09-3ca1-4517-8235-0c442f723192.png.296x216.jpg', '满二精装修，安静对中庭，户型通透，中间楼层', '长城半岛城邦二期  | 4室2厅 | 156.6平米 | 西南 | 其他 | 有电梯', '中楼层(共33层)2011年建板塔结合  -  天府长城', '470万', '单价30013元/平米')
('https://image1.ljcdn.com/510100-inspection/0ca191e5-aadc-4ab8-91df-050ae28c4050.jpg.296x216.jpg', '满2年简单装修有钥匙空置出售 了', '天鹅湖花园  | 3室2厅 | 200.66平米 | 南 | 其他 | 有电梯', '中楼层(共32层)2008年建塔楼  -  新会展', '365万', '单价18190元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0a1ea3bf-594b-4789-973a-37bb4a16e148.png.296x216.jpg', '好莱坞一居室，不临街，客厅朝南，户型方正', '好莱坞商业广场  | 1室1厅 | 66.37平米 | 西 | 其他 | 有电梯', '高楼层(共11层)2003年建板塔结合  -  紫荆', '76万', '单价11451元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f09a6d85-fe9b-4662-b3b2-e7c902b4c84f.png.296x216.jpg', '装修两室两厅，拎包入住中间层 。', '领馆国际城  | 2室2厅 | 83平米 | 西北 | 其他 | 有电梯', '中楼层(共28层)2013年建板塔结合  -  远大', '158万', '单价19037元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e76ab1e0-0108-4d0e-ae0b-fa9638cd3584.png.296x216.jpg', '天鹅湖花园大户型中楼层精装修。', '天鹅湖花园  | 3室2厅 | 208.06平米 | 北 | 其他 | 有电梯', '中楼层(共32层)2008年建塔楼  -  新会展', '380万', '单价18264元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload6dc30275-0cdb-42c5-8c98-edcf49a8ccde.jpg.296x216.jpg', '保利百合花园 五室三卫 有装修 有花园', '保利百合花园  | 5室2厅 | 101.78平米 | 南 | 精装 | 有电梯', '高楼层(共30层)2014年建板塔结合  -  大源', '550万', '单价54039元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b11de418-329c-416f-bd57-8ca2d254ec4f.png.296x216.jpg', '鸿阁一号装修套四，满两年，未住过人', '鸿阁一号  | 4室2厅 | 115.81平米 | 北 | 精装 | 有电梯', '中楼层(共18层)2009年建板塔结合  -  广都', '228万', '单价19688元/平米')
('https://image1.ljcdn.com/510100-inspection/test-348b243e-79ab-425e-a8aa-ed0f7490218a.png.296x216.jpg', '高新区肖家河老社区标准套二带花园', '肖家河街86号  | 2室1厅 | 60.01平米 | 东 | 其他 | 无电梯', '高楼层(共7层)2000年建板楼  -  衣冠庙', '82万', '单价13665元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload93ecd385-87fe-4f2c-aea1-4f327ffda1f7.jpg.296x216.jpg', '南城都汇四期 居家两房 带暖气 距离地铁1号线800米', '南城都汇汇尚园  | 2室1厅 | 88.28平米 | 南 | 其他 | 有电梯', '低楼层(共22层)2014年建塔楼  -  市一医院', '215万', '单价24355元/平米')
('https://image1.ljcdn.com/510100-inspection/test-04b8d6e0-a032-4319-b8e3-f79300475823.png.296x216.jpg', '高新区 套三双卫 户型方正 采光充足', '金控时代广场  | 3室2厅 | 143.02平米 | 南 | 其他 | 有电梯', '低楼层(共32层)2013年建塔楼  -  新会展', '315万', '单价22025元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6e849d18-673d-4f5c-aa1d-52db46e672e9.png.296x216.jpg', '神仙树大院 标准套二 精装 朝南 小区环境优美', '神仙树大院二期  | 2室1厅 | 88.62平米 | 南 | 其他 | 有电梯', '中楼层(共17层)2008年建板楼  -  神仙树', '235万', '单价26518元/平米')
('https://image1.ljcdn.com/510100-inspection/f3c24077-13aa-42bd-a3af-d66bca5fe2cc.jpg.296x216.jpg', '军安卫士花园 套三 出售 包租房', '军安卫士花园  | 3室2厅 | 114.72平米 | 南 北 | 其他 | 有电梯', '中楼层(共26层)2013年建板楼  -  中和', '172万', '单价14994元/平米')
('https://image1.ljcdn.com/510100-inspection/test-840c10a6-a50b-41f6-aa8c-90a96e6ff4f5.png.296x216.jpg', '高新区 锦城汉府 优质套三 采光好 保养好', '锦城汉府  | 3室2厅 | 116.78平米 | 南 | 其他 | 无电梯', '中楼层(共6层)板楼  -  中和', '179万', '单价15328元/平米')
('https://image1.ljcdn.com/510100-inspection/test-980a5628-9c72-4f0a-b466-dd36525275db.png.296x216.jpg', '华润凤凰城三期装修套三双卫 客厅正带阳台', '华润凤凰城三期  | 3室2厅 | 105.97平米 | 西南 | 其他 | 有电梯', '中楼层(共32层)2013年建板楼  -  大源', '295万', '单价27839元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload35ca9ea3-b222-4537-99f1-b0fd970ae514.jpg.296x216.jpg', '套四三卫，户型方正，顶跃带花园', '金桂花园  | 4室2厅 | 185.47平米 | 东南 | 简装 | 无电梯', '高楼层(共6层)2002年建暂无数据  -  中和', '250万', '单价13480元/平米')
('https://image1.ljcdn.com/510100-inspection/938eca3e-b73c-4eee-9931-bd091e09db72.jpg.296x216.jpg', '保利百合129户型清水套五，带200㎡平台，可搭阳光房。', '保利百合花园  | 5室2厅 | 129平米 | 东 西 | 毛坯 | 有电梯', '低楼层(共30层)2014年建板塔结合  -  大源', '520万', '单价40311元/平米')
('https://image1.ljcdn.com/510100-inspection/test-59aa188e-db85-47ae-8bb8-0cb484ce2b81.png.296x216.jpg', '此房满两年，无增值税，交通方便', '南桥春天  | 2室2厅 | 80.52平米 | 东 | 其他 | 有电梯', '低楼层(共18层)2010年建板塔结合  -  中和', '135万', '单价16767元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f9e7be4e-7046-4312-8c43-fc6bea3a1c48.png.296x216.jpg', '远大都市四期套四的户型，客厅带阳台赠送大装修房', '远大都市风景四期  | 4室2厅 | 134.81平米 | 西北 | 其他 | 有电梯', '低楼层(共30层)2010年建板楼  -  远大', '320万', '单价23738元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ea52ff9d-e1c2-4217-9350-e90dce7d3a8e.png.296x216.jpg', '桐梓林壹号清水套三  价格美丽  视野好', '桐梓林壹号  | 3室1厅 | 125.93平米 | 南 北 | 其他 | 有电梯', '低楼层(共23层)2015年建板楼  -  城南宜家', '380万', '单价30176元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3d5b52f6-d81e-4be2-9cb9-7e97be3eceae.png.296x216.jpg', '金竹苑A区 商品房 套三 不临街 满五非唯一', '金竹苑A区  | 3室1厅 | 87.55平米 | 北 | 其他 | 无电梯', '高楼层(共7层)2001年建板楼  -  神仙树', '130万', '单价14849元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a65e0ee3-2991-4ab2-b949-fe6b0d8c5bbb.png.296x216.jpg', '英祥财富领域 2室1厅 110万', '英祥财富领域  | 2室1厅 | 50.27平米 | 南 | 毛坯 | 有电梯', '中楼层(共17层)2016年建塔楼  -  城南宜家', '110万', '单价21882元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7592a58c-3bc3-4c93-b704-c0a96a9dcd08.png.296x216.jpg', '天府长城柏南郡 套三 有装修 带阳台', '天府长城柏南郡  | 3室2厅 | 124.05平米 | 南 | 精装 | 有电梯', '中楼层(共34层)2008年建塔楼  -  天府长城', '300万', '单价24184元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a7de2d0a-3be3-42e9-a6e3-54a90ad6cf71.png.296x216.jpg', '天府世家 精装修含家具家电  拎包入住', '天府世家  | 4室2厅 | 136.62平米 | 东北 | 其他 | 有电梯', '中楼层(共33层)2013年建板楼  -  金融城', '570万', '单价41722元/平米')
('https://image1.ljcdn.com/510100-inspection/05a6a16b-b2cb-4e87-b9c3-a1d85c59cc16.JPG.296x216.jpg', '水电气三通精装公寓 朝南安静视野好 配套成熟', '汇锦城  | 1室1厅 | 45.22平米 | 南 | 简装 | 有电梯', '中楼层(共29层)2014年建塔楼  -  大源', '65.8万', '单价14552元/平米')
('https://image1.ljcdn.com/510100-inspection/test-762390e3-f280-4146-898e-0c07a17e1099.png.296x216.jpg', '时代晶座 中庭位置 户型紧凑 带大平台', '时代晶座  | 2室2厅 | 75.89平米 | 东南 | 其他 | 有电梯', '低楼层(共33层)2015年建塔楼  -  大源', '180万', '单价23719元/平米')
('https://image1.ljcdn.com/510100-inspection/test-338161f6-65e9-4f05-9d66-65ed71d5f9c9.png.296x216.jpg', '开发商装修 套三双卫   采光充足', '华润凤凰城三期  | 3室1厅 | 123.99平米 | 西南 | 其他 | 有电梯', '中楼层(共32层)2013年建板楼  -  大源', '330万', '单价26616元/平米')
('https://image1.ljcdn.com/510100-inspection/test-83b1d0c7-759a-41cd-91dd-17019b6d1ecd.png.296x216.jpg', '香年广场    开发商统一精装修', '香年广场  | 1室1厅 | 53.82平米 | 西 | 其他 | 有电梯', '低楼层(共35层)2012年建板塔结合  -  新会展', '88万', '单价16351元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1752d3af-c6ce-4460-81bf-dce398f6e485.png.296x216.jpg', '好莱坞标间，安静不临街，户型方正，满两年', '好莱坞商业广场  | 1室0厅 | 50.35平米 | 北 | 简装 | 有电梯', '高楼层(共11层)2003年建板塔结合  -  紫荆', '55万', '单价10924元/平米')
('https://image1.ljcdn.com/510100-inspection/test-067f6b9a-5443-4baf-89b9-8e869b59625b.png.296x216.jpg', '火车南站凯德天府商圈 安静不临街 套二', '和平佳苑  | 2室1厅 | 89.48平米 | 南 | 简装 | 无电梯', '中楼层(共6层)2007年建板楼  -  东苑', '140万', '单价15646元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload92630e18-8c3b-4924-b786-cd2a58fc6249.jpg.296x216.jpg', '公馆1881开发商装修三房  中庭位置', '公馆1881  | 3室2厅 | 188.96平米 | 西 | 其他 | 有电梯', '中楼层(共18层)2013年建板楼  -  城南宜家', '480万', '单价25403元/平米')
('https://image1.ljcdn.com/510100-inspection/test-91efa186-4ba1-41d9-bc04-b5706e0ec949.png.296x216.jpg', '套四朝南，板楼采光好看中庭，装修未入住过', '润富国际花园  | 4室2厅 | 177.38平米 | 南 | 精装 | 有电梯', '高楼层(共30层)2017年建板楼  -  金融城', '636万', '单价35856元/平米')
('https://image1.ljcdn.com/510100-inspection/672e0cf7-74bb-4cc3-bede-4f6b2e9a4485.jpg.296x216.jpg', '高新南区 三环内 电梯小高层 三居室 朝南 三个阳台', '上海花园  | 3室2厅 | 148.76平米 | 南 北 | 其他 | 有电梯', '高楼层(共13层)2006年建板楼  -  神仙树', '380万', '单价25545元/平米')
('https://image1.ljcdn.com/510100-inspection/test-41be6caf-a929-44e2-881c-5da5536e4494.png.296x216.jpg', '刚需小套三 过渡必备 朝南   采光 视野都不错 中楼层', '清凤时代城  | 3室2厅 | 99.38平米 | 南 | 其他', '低楼层(共32层)2016年建板塔结合  -  大源', '238万', '单价23949元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d4fa0447-b721-48f1-bce9-754871ed0afc.png.296x216.jpg', '高新地铁1号线，精装自住装修！中间楼层，产权满2年', '时代晶科名苑  | 2室1厅 | 115.72平米 | 南 | 其他 | 有电梯', '中楼层(共23层)2013年建塔楼  -  市一医院', '265万', '单价22901元/平米')
('https://image1.ljcdn.com/510100-inspection/test-775c3c43-adc0-40f8-959e-254115ab27de.png.296x216.jpg', '卡斯摩精装套二，户型方正，格局明亮。', '卡斯摩广场  | 2室2厅 | 71.77平米 | 东 | 其他 | 有电梯', '高楼层(共33层)2012年建塔楼  -  中和', '118万', '单价16442元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6f521f0e-b2bb-49ae-863c-ee273593d261.png.296x216.jpg', '时代晶科名苑 九方 管委会 南延线 金融城 套三出售', '时代晶科名苑  | 3室2厅 | 152平米 | 南 | 精装 | 有电梯', '低楼层(共23层)2013年建塔楼  -  市一医院', '345万', '单价22698元/平米')
('https://image1.ljcdn.com/510100-inspection/test-10abf7ee-3e46-40f5-986f-81dea8f3bb4d.png.296x216.jpg', '高新区天府大道旁的居家小套二，通透户型', '远大都市风景五期  | 2室1厅 | 55.5平米 | 西 | 其他 | 有电梯', '低楼层(共21层)2010年建板楼  -  远大', '94万', '单价16937元/平米')
('https://image1.ljcdn.com/510100-inspection/c13430c9-1176-4bbe-b15c-d666be09e1131.jpg.296x216.jpg', '天府世家套三双卫  业主自装 美式装修', '天府世家  | 3室2厅 | 140.5平米 | 北 | 其他 | 有电梯', '高楼层(共26层)2013年建板楼  -  金融城', '570万', '单价40570元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e0cf8b45-2b45-4e28-8d51-d121f1ee518d.png.296x216.jpg', '精装带实木家具，住的少！提前约都可看！', '南城都汇汇尚园  | 2室2厅 | 86.66平米 | 东 | 精装 | 有电梯', '中楼层(共22层)2014年建塔楼  -  市一医院', '219万', '单价25272元/平米')
('https://image1.ljcdn.com/510100-inspection/test-62bc9bfd-a733-425b-a87f-6f004a20c497.png.296x216.jpg', '华润凤凰城二期  错层设计  精装修  位置安静', '华润凤凰城二期  | 4室2厅 | 125.28平米 | 西北 | 其他 | 有电梯', '中楼层(共27层)2010年建板塔结合  -  大源', '370万', '单价29534元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8ec6694e-0b2b-460f-af39-ad3a98a64add.png.296x216.jpg', '远大都市风景二期 装修套二 采光好', '远大都市风景二期  | 2室1厅 | 105.31平米 | 西南 | 其他 | 有电梯', '高楼层(共11层)2005年建板楼  -  远大', '196万', '单价18612元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8c377122-57b9-4558-ab43-f2ba57179cd5.png.296x216.jpg', '神仙树大院新上套一   拎包入住', '神仙树大院五期  | 1室1厅 | 60平米 | 南 | 其他 | 有电梯', '高楼层(共18层)2011年建塔楼  -  神仙树', '120万', '单价20000元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ca44b7b9-40ba-47c1-b864-cf3fd23d9b87.png.296x216.jpg', '南城都汇汇雅园 安静套二 装修有地暖 朝南带花园', '南城都汇汇雅园二期  | 2室2厅 | 85平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2011年建塔楼  -  市一医院', '240万', '单价28236元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2962d131-1cd2-497c-afb3-92c9073f5f16.png.296x216.jpg', '天鹅湖北苑  装修标间 可以拎包入住', '天鹅湖北苑  | 1室0厅 | 53.36平米 | 东北 | 其他 | 有电梯', '中楼层(共31层)2007年建板塔结合  -  新会展', '88万', '单价16492元/平米')
('https://image1.ljcdn.com/510100-inspection/c0ff5418-8122-4e8f-9fab-597a055c0d4f.jpg.296x216.jpg', '南城都汇汇馨东西通透套二带入户', '南城都汇汇馨园三期  | 2室2厅 | 89.9平米 | 东 | 其他 | 有电梯', '高楼层(共18层)2012年建板塔结合  -  市一医院', '185万', '单价20579元/平米')
('https://image1.ljcdn.com/510100-inspection/632e0267-c472-48f5-ba9f-bffb06ef5709.jpg.296x216.jpg', '银泰华悦居 华尔道夫酒店楼下公寓', '银泰中心  | 2室2厅 | 212.88平米 | 西北 | 精装 | 有电梯', '中楼层(共31层)2016年建板塔结合  -  金融城', '750万', '单价35232元/平米')
('https://image1.ljcdn.com/510100-inspection/a0e15193-6957-45da-9568-efedc309b228.jpg.296x216.jpg', '半岛城邦三居室 正对小区中庭 楼顶带花园有装修', '长城半岛城邦三期  | 4室2厅 | 140.95平米 | 东南 | 精装 | 有电梯', '高楼层(共33层)2013年建板塔结合  -  天府长城', '510万', '单价36184元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f182e0e7-60a1-4853-89f7-cf7a1c6c0c4d.png.296x216.jpg', '南北通透，视野朝南，位置安静，拎包入住', '誉峰二期  | 4室2厅 | 206.8平米 | 南 北 | 其他 | 有电梯', '高楼层(共30层)2014年建板楼  -  金融城', '700万', '单价33850元/平米')
('https://image1.ljcdn.com/510100-inspection/test-436ede95-d1ee-4b2e-a210-ca7e884faa1e.png.296x216.jpg', '城南名著 套三双卫 有阳台 朝向南北 满2年', '城南名著  | 3室2厅 | 114.51平米 | 北 | 其他 | 有电梯', '中楼层(共18层)2007年建板楼  -  广都', '180万', '单价15720元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6798f040-1707-4d63-9b1f-08257bfa916b.png.296x216.jpg', '四季家园低楼层套二+看房方便有钥匙', '四季家园  | 2室1厅 | 92.97平米 | 东南 | 其他 | 无电梯', '低楼层(共7层)2000年建板楼  -  紫荆', '147万', '单价15812元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9f631ad9-2923-49e5-a437-4a5c700c6551.png.296x216.jpg', '天府世家 清水入户挑高 东南向 可看公园和环球', '天府世家  | 3室2厅 | 137.18平米 | 东南 | 其他 | 有电梯', '高楼层(共33层)2013年建板楼  -  金融城', '510万', '单价37178元/平米')
('https://image1.ljcdn.com/510100-inspection/test-28b3b7d4-73ca-42af-9c6a-0102fe3f617d.png.296x216.jpg', '南城都汇装修套二，中庭，带花园', '南城都汇汇尚园  | 2室2厅 | 88平米 | 西南 | 精装 | 有电梯', '低楼层(共22层)2014年建塔楼  -  市一医院', '250万', '单价28410元/平米')
