('https://image1.ljcdn.com/440300-inspection/test-27ca7970-81d4-4663-8f34-54cfdb4292a5.png.296x216.jpg', '视野好，满2年，可改小3房业主自住装修保养好', '朗庭豪园  | 2室2厅 | 71.68平米 | 东北 | 精装 | 有电梯', '中楼层(共18层)2000年建塔楼  -  福田保税区', '470万', '单价65570元/平米')
('https://image1.ljcdn.com/440300-inspection/test-8354ced6-9fd0-4460-bb59-14491a7991b2.png.296x216.jpg', '俊景豪园东南向大两 看公园园景 安静双地铁口物业', '俊景豪园  | 2室2厅 | 81.69平米 | 南 | 精装 | 有电梯', '低楼层(共27层)2003年建塔楼  -  景田', '620万', '单价75897元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_upload7b9f8a03-d679-46e9-9473-5a2a38399beb.jpg.296x216.jpg', '福田区，地铁口物业 户型方正 厅出阳台  高层采光好', '国皇大厦  | 3室2厅 | 89.01平米 | 东 | 精装 | 有电梯', '中楼层(共32层)1998年建板塔结合  -  皇岗', '425万', '单价47748元/平米')
('https://image1.ljcdn.com/440300-inspection/test-fcdd7f99-9ebf-4506-88c6-96a7563a0290.png.296x216.jpg', '景鹏大厦 2室2厅 530万', '景鹏大厦  | 2室2厅 | 90.37平米 | 东 | 其他 | 有电梯', '低楼层(共32层)1997年建塔楼  -  景田', '530万', '单价58648元/平米')
('https://image1.ljcdn.com/440300-inspection/0ff02312-d6fc-4f63-b103-a421ff0e46eb.jpg.296x216.jpg', '侨城东园博园边 耀荣园方正两房出售', '耀荣园  | 2室1厅 | 82.83平米 | 西 | 简装 | 无电梯', '高楼层(共7层)1998年建板塔结合  -  竹子林', '630万', '单价76060元/平米')
('https://image1.ljcdn.com/440300-inspection/test-5f1108cc-e332-42db-80b9-b4fd42e3b162.png.296x216.jpg', '安静 可看公园 VR看房 精装满五年红本税少 带产权车位', '长城盛世家园一期  | 3室1厅 | 114.49平米 | 北 | 精装 | 有电梯', '低楼层(共34层)2001年建塔楼  -  莲花', '700万', '单价61141元/平米')
('https://image1.ljcdn.com/440300-inspection/e6178674-a18a-4049-9bac-e936dda3a159.jpg.296x216.jpg', '京基御景华城 2室1厅 392万', '京基御景华城  | 2室1厅 | 62.22平米 | 西北 | 其他 | 有电梯', '中楼层(共36层)2005年建板塔结合  -  赤尾', '392万', '单价63003元/平米')
('https://image1.ljcdn.com/440300-inspection/fb81afb5-978d-4ffa-a1b3-a41bc788047b.JPG.296x216.jpg', '宣嘉华庭100平三房 户型方正 厅出阳台通风好', '宣嘉华庭  | 3室2厅 | 99.38平米 | 北 | 其他 | 有电梯', '低楼层(共31层)2000年建板塔结合  -  皇岗', '623万', '单价62689元/平米')
('https://image1.ljcdn.com/440300-inspection/060907d3-749b-43d8-b4b9-243f5622dc22.jpg.296x216.jpg', '福田高铁旁，大社区中空复式，带私家花园。', '东方玫瑰花园  | 4室3厅 | 255.07平米 | 南 北 | 其他 | 有电梯', '低楼层(共13层)1999年建板楼  -  景田', '2600万', '单价101933元/平米')
('https://image1.ljcdn.com/440300-inspection/ba637a42-2502-4f5a-9508-05a8dd25e2ea.jpg.296x216.jpg', '先科机电大厦1室0厅，朝南向，交通便利！', '先科机电大厦  | 1室1厅 | 52.54平米 | 北 | 简装 | 有电梯', '高楼层(共13层)1999年建塔楼  -  八卦岭', '200万', '单价38067元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_uploada49cccbb-272d-4bee-b815-f86584031e48.jpg.296x216.jpg', '都市实用三房 安静 精装修  有钥匙方便看房', '都市花园  | 3室2厅 | 90.62平米 | 西北 | 精装 | 有电梯', '低楼层(共13层)1998年建板塔结合  -  车公庙', '550万', '单价60694元/平米')
('https://image1.ljcdn.com/440300-inspection/test-3099d45b-ea18-4419-b91e-4a7cea70a84d.png.296x216.jpg', '此房是小区里南向的一房，比较少见，装修很好', '祥云天都世纪大厦  | 1室0厅 | 38.91平米 | 东南 | 其他 | 有电梯', '高楼层(共32层)2007年建塔楼  -  新洲', '220万', '单价56541元/平米')
('https://image1.ljcdn.com/440300-inspection/25a3449b-12dc-4fac-9014-a4e68592a192.jpg.296x216.jpg', '鹏益花园 满五年 红本在手 精装修 房型方正 朝南', '鹏益花园  | 2室1厅 | 68.22平米 | 东 北 | 精装 | 有电梯', '高楼层(共24层)1996年建塔楼  -  八卦岭', '358万', '单价52478元/平米')
('https://image1.ljcdn.com/440300-inspection/test-b0760833-0573-47c1-af66-6d47e3f4f2e2.png.296x216.jpg', '福莲花园 3室2厅 810万', '福莲花园  | 3室2厅 | 93.61平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)1991年建板塔结合  -  莲花', '810万', '单价86530元/平米')
('https://image1.ljcdn.com/440300-inspection/58e04559-e0d7-4b58-b91f-0f0f370accbc.jpg.296x216.jpg', '福田中xin区，2013新盘，使用率154%，可落户可上学', '嘉葆润金座  | 2室2厅 | 47.91平米 | 南 | 精装 | 有电梯', '中楼层(共20层)2013年建板塔结合  -  新洲', '430万', '单价89752元/平米')
('https://image1.ljcdn.com/440300-inspection/34f494d3-24eb-476b-8e84-904dccef744c.JPG.296x216.jpg', '众孚新村 3室2厅 570万', '众孚新村  | 3室2厅 | 110.46平米 | 北 | 其他 | 无电梯', '中楼层(共8层)1996年建板塔结合  -  石厦', '570万', '单价51603元/平米')
('https://image1.ljcdn.com/440300-inspection/631a1072-3595-40f5-8d5b-4e604c20d48c.jpg.296x216.jpg', '彩田村安静位置，方正实用，精装修，诚心卖', '彩田村  | 2室1厅 | 91.54平米 | 东南 | 其他 | 有电梯', '低楼层(共25层)2002年建板塔结合  -  莲花', '760万', '单价83024元/平米')
('https://image1.ljcdn.com/440300-inspection/test-728c262e-3c91-44fc-8614-3639a20ec95d.png.296x216.jpg', '国皇大厦 3室2厅 508万', '国皇大厦  | 3室2厅 | 100.3平米 | 西南 东北 | 其他 | 有电梯', '高楼层(共32层)1998年建板塔结合  -  皇岗', '508万', '单价50649元/平米')
('https://image1.ljcdn.com/440300-inspection/50f481f5-b4cc-4c34-b336-591fc88c8519.JPG.296x216.jpg', '香蜜二村   精装修南北向2房  安静采光好', '香蜜二村  | 2室2厅 | 83.01平米 | 南 | 精装 | 无电梯', '中楼层(共7层)1992年建塔楼  -  景田', '800万', '单价96374元/平米')
('https://image1.ljcdn.com/440300-inspection/test-f523dc41-ae0b-41b7-aa28-b1e3f97ff0b6.png.296x216.jpg', '越海家园 三房二厅正南向 看海景！', '越海家园  | 3室2厅 | 113.99平米 | 南 | 其他 | 有电梯', '中楼层(共33层)2005年建板塔结合  -  竹子林', '850万', '单价74568元/平米')
('https://image1.ljcdn.com/440300-inspection/test-37008e69-15be-4520-9526-d74d7638a30f.png.296x216.jpg', '南方国际广场 2室2厅 520万', '南方国际广场  | 2室2厅 | 84.11平米 | 南 | 其他 | 有电梯', '高楼层(共30层)2005年建塔楼  -  石厦', '520万', '单价61824元/平米')
('https://image1.ljcdn.com/440300-inspection/63ad4dd2-23d4-46c9-9c49-0d6a7dbe4210.jpg.296x216.jpg', '莲花山脚下  楼下莲花西地铁站  户型方正  采光充足', '黄埔雅苑一期  | 3室2厅 | 107.95平米 | 西 | 其他 | 有电梯', '低楼层(共24层)2001年建塔楼  -  莲花', '860万', '单价79667元/平米')
('https://image1.ljcdn.com/440300-inspection/1c3b0d3a-585e-4cae-b15d-7295227cc0ee.jpg.296x216.jpg', '精致社区 大赠送 可以两代人居住 户型好', '金港豪庭  | 4室2厅 | 76.25平米 | 南 北 | 简装 | 有电梯', '低楼层(共32层)2003年建塔楼  -  皇岗', '628万', '单价82361元/平米')
('https://image1.ljcdn.com/440300-inspection/f2de205d-8f85-47db-a5ff-8d2876247098.jpg.296x216.jpg', '荔园红岭2房 业主诚心出售 满五年免个税', '航天立业华庭  | 2室1厅 | 86.81平米 | 北 | 简装 | 有电梯', '中楼层(共29层)2002年建板塔结合  -  华强北', '600万', '单价69117元/平米')
('https://image1.ljcdn.com/440300-inspection/5c373dc0-0988-4e7a-8d5f-9a37face0bda.jpg.296x216.jpg', '此房景观很好，格局方正，采光充足', '国都高尔夫花园二期  | 5室1厅 | 202.05平米 | 北 | 简装 | 有电梯', '高楼层(共31层)2000年建板塔结合  -  车公庙', '1210万', '单价59887元/平米')
('https://image1.ljcdn.com/440300-inspection/test-24e8a69b-6974-46d1-9d31-ac899aeee946.png.296x216.jpg', '益田村 4室1厅 830万', '益田村  | 4室1厅 | 115.14平米 | 东北 | 其他 | 有电梯', '低楼层(共24层)2002年建板塔结合  -  石厦', '830万', '单价72087元/平米')
('https://image1.ljcdn.com/440300-inspection/eb47c3be-7abc-45e2-a16b-a60af9521ce3.jpg.296x216.jpg', '万科金色家园   近地铁口 交通便利', '万科金色家园  | 2室2厅 | 78.55平米 | 东 | 其他 | 有电梯', '高楼层(共33层)2002年建板塔结合  -  景田', '700万', '单价89116元/平米')
('https://image1.ljcdn.com/440300-inspection/test-660aaa10-1fdd-42c9-bd39-e22e36c64f9a.png.296x216.jpg', '绿景花园 5室2厅 1350万', '绿景花园  | 5室2厅 | 213.48平米 | 南 北 | 简装 | 有电梯', '中楼层(共13层)1998年建板塔结合  -  新洲', '1350万', '单价63238元/平米')
('https://image1.ljcdn.com/440300-inspection/283c67f9-3f7a-4a38-ad64-ffff6cab9321.jpg.296x216.jpg', '高层视野开阔 安静 前面无遮挡  楼下大商场综合体', '深业上城  | 1室1厅 | 110.04平米 | 南 | 精装 | 有电梯', '中楼层(共62层)2014年建塔楼  -  莲花', '1200万', '单价109052元/平米')
('https://image1.ljcdn.com/440300-inspection/60abe757-3e98-4d60-9449-9bf52015f613.jpg.296x216.jpg', '满五年唯一  低楼层 价格便宜', '旭飞花园  | 2室1厅 | 37.54平米 | 西 | 简装 | 无电梯', '低楼层(共9层)1997年建板楼  -  八卦岭', '200万', '单价53277元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_uploadabf1290e-0f9f-44fb-8de0-550ae5b5c8a9.jpg.296x216.jpg', '此房满两年，好朝向，产权清晰，带百花和实验', '金茂礼都  | 2室1厅 | 60.76平米 | 南 | 其他 | 有电梯', '中楼层(共32层)2004年建板塔结合  -  华强北', '750万', '单价123437元/平米')
('https://image1.ljcdn.com/440300-inspection/test-e00bee3f-a62e-4744-b2c1-4088394c07e1.png.296x216.jpg', '景鹏大厦精装二改三房 满五唯一 红本在手', '景鹏大厦  | 2室2厅 | 90.37平米 | 南 西 | 其他 | 有电梯', '中楼层(共32层)1997年建塔楼  -  景田', '530万', '单价58648元/平米')
('https://image1.ljcdn.com/440300-inspection/test-4a1cc74c-9635-4ece-ad21-562d51bbeee6.png.296x216.jpg', '高厅3.9米 正规南向三房 附加阁楼 满五年  拎包入住', '合正瑞园  | 3室2厅 | 94.36平米 | 南 | 其他 | 有电梯', '高楼层(共26层)2007年建板塔结合  -  八卦岭', '615万', '单价65176元/平米')
('https://image1.ljcdn.com/440300-inspection/test-8c2beb32-af85-4baf-a44a-8693ed4d2196.png.296x216.jpg', '福民地铁口大3房，户型格局方正，客厅出阳台', '国皇大厦  | 3室2厅 | 100.37平米 | 北 | 精装 | 有电梯', '低楼层(共32层)1998年建板塔结合  -  皇岗', '485万', '单价48322元/平米')
('https://image1.ljcdn.com/440300-inspection/test-66467341-e728-4bca-a28f-3d08eee338fe.png.296x216.jpg', '景发花园双阳台3房，满五唯一税费少，业主诚心出售！', '景发花园  | 3室2厅 | 82.94平米 | 东北 | 简装 | 有电梯', '中楼层(共29层)2000年建板塔结合  -  景田', '475万', '单价57271元/平米')
('https://image1.ljcdn.com/440300-inspection/b96bedb4-9db4-4db6-8a9d-424fd1cd5bf9.jpg.296x216.jpg', '业主诚心出售 满五年 税费少 看房方便', '金燕园  | 3室2厅 | 102.6平米 | 南 | 精装 | 有电梯', '高楼层(共12层)1998年建板塔结合  -  梅林', '550万', '单价53607元/平米')
('https://image1.ljcdn.com/440300-inspection/721bbfc9-e812-4a70-b72b-1f8b90889e34.JPG.296x216.jpg', '宝生Midtown 4室2厅 1800万', '宝生Midtown  | 4室2厅 | 164.3平米 | 南 | 其他', '高楼层(共45层)2014年建板塔结合  -  石厦', '1800万', '单价109556元/平米')
('https://image1.ljcdn.com/440300-inspection/63bceba8-efb0-4794-8d24-c2f7ef506c1e.jpg.296x216.jpg', '下梅林实用一室一厅，满五年唯一税费少，业主诚售', '恒盛居  | 1室1厅 | 37平米 | 东 | 简装', '高楼层(共6层)板楼  -  梅林', '200万', '单价54055元/平米')
('https://image1.ljcdn.com/440300-inspection/559948fd-cb98-4c8b-8577-c9003fb435c7.jpg.296x216.jpg', '福景花园 正南向复式房 房间都有阳光照 双阳台设计', '福景大厦  | 6室2厅 | 198.89平米 | 西南 | 其他 | 有电梯', '高楼层(共30层)1998年建板塔结合  -  莲花', '1280万', '单价64358元/平米')
('https://image1.ljcdn.com/440300-inspection/ff0b1848-31f5-492a-899e-9e3ef973f087.jpg.296x216.jpg', '雕塑家园 1室1厅 280万', '雕塑家园  | 1室1厅 | 72.13平米 | 南 | 简装 | 有电梯', '低楼层(共30层)2002年建塔楼  -  梅林', '280万', '单价38819元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_uploadc2d22546-9c32-4e83-8bf5-bd3341e82619.jpg.296x216.jpg', '岗厦地铁口，满五年唯一，高楼层，总价低', '彩天名苑  | 1室1厅 | 48平米 | 东 | 简装 | 有电梯', '高楼层(共32层)2001年建板塔结合  -  福田中心', '310万', '单价64584元/平米')
('https://image1.ljcdn.com/440300-inspection/87d83dbe-7a0d-4909-8f41-127727a46101.jpg.296x216.jpg', '皇岗口岸 地铁 大三房 双卫 东南向 看花园 红本在手', '皇御苑二期  | 3室2厅 | 113.23平米 | 东南 | 简装 | 有电梯', '低楼层(共28层)2003年建板塔结合  -  皇岗', '710万', '单价62705元/平米')
('https://image1.ljcdn.com/440300-inspection/fc61f180-53b2-48fb-a2b3-fd4a1555c77f.jpg.296x216.jpg', '满五年唯一税费低，花园小区楼层好，三房业主诚心卖', '都市花园  | 3室2厅 | 82.94平米 | 南 北 | 简装 | 有电梯', '低楼层(共35层)2000年建板塔结合  -  车公庙', '530万', '单价63902元/平米')
('https://image1.ljcdn.com/440300-inspection/test-a915a130-ff12-4f13-b6dc-1350c212f815.png.296x216.jpg', '新世界家园 2室2厅 410万', '新世界家园  | 2室2厅 | 67.25平米 | 南 | 简装 | 有电梯', '低楼层(共29层)2004年建板塔结合  -  梅林', '410万', '单价60967元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_upload4cd7ee16-7a5c-4f68-9090-8bea463262c7.jpg.296x216.jpg', '景西大厦福外3房，户型正，采光好，诚心卖，方便看房', '景西大厦  | 3室2厅 | 90.82平米 | 东 北 | 简装 | 有电梯', '中楼层(共30层)2000年建板塔结合  -  景田', '630万', '单价69368元/平米')
('https://image1.ljcdn.com/440300-inspection/test-b0940df9-bc11-4208-8ae6-014d080470f0.png.296x216.jpg', '南光捷佳大厦 2室1厅 440万', '南光捷佳大厦  | 2室1厅 | 86.47平米 | 西北 | 其他 | 有电梯', '高楼层(共34层)2002年建塔楼  -  华强南', '440万', '单价50885元/平米')
('https://image1.ljcdn.com/440300-inspection/test-8900e33b-ed42-447c-bbd6-728effb7fa29.png.296x216.jpg', '双地铁物业已改小两房，业主诚心出售', '振业梅苑  | 2室1厅 | 52.07平米 | 北 | 其他 | 无电梯', '高楼层(共7层)1998年建板楼  -  梅林', '285万', '单价54735元/平米')
('https://image1.ljcdn.com/440300-inspection/test-da8906f8-f7ac-4d95-a1d7-a645e276b487.png.296x216.jpg', '宝田苑 3室1厅 680万', '宝田苑  | 3室1厅 | 106.62平米 | 北 | 其他 | 有电梯', '低楼层(共14层)2001年建板塔结合  -  皇岗', '680万', '单价63778元/平米')
('https://image1.ljcdn.com/440300-inspection/407a6577-cf8a-4a7a-94ba-3d91082863f3.jpg.296x216.jpg', '越海家园 1室1厅 300万', '越海家园  | 1室1厅 | 47.32平米 | 北 | 其他 | 有电梯', '中楼层(共34层)2005年建板塔结合  -  竹子林', '300万', '单价63399元/平米')
('https://image1.ljcdn.com/440300-inspection/024fa27a-a755-4b74-9ad2-ea743af1e927.jpg.296x216.jpg', '碧荔花园 2室1厅 470万', '碧荔花园  | 2室1厅 | 75.22平米 | 南 | 简装 | 有电梯', '低楼层(共9层)1997年建板塔结合  -  梅林', '470万', '单价62484元/平米')
('https://image1.ljcdn.com/440300-inspection/3d0a5d9c-b03e-44a1-affe-e25ad933bfe0.jpg.296x216.jpg', '华强南 京海花园朝南大四房 满五年', '京海花园  | 4室2厅 | 125.48平米 | 南 | 其他 | 有电梯', '低楼层(共32层)1998年建塔楼  -  华强南', '598万', '单价47657元/平米')
('https://image1.ljcdn.com/440300-inspection/d74e2351-a1ed-460b-8c8b-4fb049ef1919.jpg.296x216.jpg', '福田华强南精装1房 东北朝向通风好 临公园和地铁1号线', '南光捷佳大厦  | 1室1厅 | 44.87平米 | 东 | 精装 | 有电梯', '低楼层(共34层)2002年建塔楼  -  华强南', '185万', '单价41231元/平米')
('https://image1.ljcdn.com/440300-inspection/292a2a20-7b8a-4808-a3f5-9ae8dbe8fd09.jpg.296x216.jpg', '公务员的社区小区绿化面积高 客厅出阳台南向景秀教育', '景蜜村  | 3室2厅 | 85.59平米 | 南 | 其他 | 无电梯', '高楼层(共7层)1997年建板楼  -  景田', '615万', '单价71855元/平米')
('https://image1.ljcdn.com/440300-inspection/eb35cecd-50ad-4e05-8438-fe44525f12a9.jpg.296x216.jpg', '缇香名苑精装两房，地铁口物业交通方便生活设施齐全', '缇香名苑  | 2室1厅 | 71.83平米 | 南 | 精装 | 有电梯', '中楼层(共24层)2004年建板塔结合  -  景田', '615万', '单价85619元/平米')
('https://image1.ljcdn.com/440300-inspection/test-8e795c87-0d81-4b8d-b0f7-fe855dbf3d56.png.296x216.jpg', '福田万科福景大厦 70年产权住宅 电梯房视野好 无个税', '福景大厦  | 3室2厅 | 85.85平米 | 西 北 | 精装 | 有电梯', '高楼层(共30层)1998年建板塔结合  -  莲花', '638万', '单价74316元/平米')
('https://image1.ljcdn.com/440300-inspection/a3a6ad74-094a-4417-a62e-a4185ce826ec.JPG.296x216.jpg', '安静看花园。采光好。户型方正。明厨明卫', '中海华庭  | 2室2厅 | 85.18平米 | 南 | 其他 | 有电梯', '低楼层(共28层)2000年建板塔结合  -  福田中心', '800万', '单价93919元/平米')
('https://image1.ljcdn.com/440300-inspection/0bdba09d-0f09-4503-b60d-1684d13ca72f.jpg.296x216.jpg', '高楼层，朝南向，视野好，满五年唯一', '翰岭院  | 1室1厅 | 42.28平米 | 南 | 其他 | 有电梯', '中楼层(共16层)2005年建板塔结合  -  梅林', '320万', '单价75686元/平米')
('https://image1.ljcdn.com/440300-inspection/e1237dd6-058f-4981-a7f9-7629eab8192e.jpg.296x216.jpg', '华府馨居 1室0厅 178万', '华府馨居  | 1室0厅 | 25.71平米 | 北 | 其他 | 有电梯', '低楼层(共11层)2005年建板塔结合  -  梅林', '178万', '单价69234元/平米')
('https://image1.ljcdn.com/440300-inspection/c5734124-fd4d-42ab-8ca7-5c63100c0542.jpg.296x216.jpg', '购物公园，中海华庭，特殊户型，方正四房，诚意出售', '中海华庭  | 4室2厅 | 102.01平米 | 北 | 简装 | 有电梯', '低楼层(共28层)2000年建板塔结合  -  福田中心', '980万', '单价96070元/平米')
('https://image1.ljcdn.com/440300-inspection/2d48ed4c-b6f4-4855-8df7-5cb7213518fa.jpg.296x216.jpg', '福荣绿道舒适的方正两房，总价低，自住装修有赠送', '鸿景湾名苑  | 2室1厅 | 73.54平米 | 南 | 精装 | 有电梯', '低楼层(共33层)2002年建板塔结合  -  上下沙', '550万', '单价74790元/平米')
('https://image1.ljcdn.com/440300-inspection/test-b27a0800-1d70-407e-bd82-7b1ca847014c.png.296x216.jpg', '金地香蜜山 南向3房 看香蜜公园景观 视野开阔', '金地香蜜山  | 3室2厅 | 136.15平米 | 南 | 其他 | 有电梯', '中楼层(共33层)2005年建板塔结合  -  香蜜湖', '1200万', '单价88139元/平米')
('https://image1.ljcdn.com/440300-inspection/test-10418adc-9e7a-404c-b396-efa45959ddd9.png.296x216.jpg', '碧海云天二期高楼层，明德实验碧海校区中小xue，', '碧海云天二期  | 3室2厅 | 103.4平米 | 西北 | 其他 | 有电梯', '高楼层(共32层)2003年建板塔结合  -  竹子林', '1200万', '单价116055元/平米')
('https://image1.ljcdn.com/440300-inspection/test-1170e582-fe56-4598-913b-a52fcae550e9.png.296x216.jpg', '皇岗口岸大花园社区  满五年红本在手 高层朝南看花园', '皇御苑一期  | 2室1厅 | 74.85平米 | 南 | 其他 | 有电梯', '高楼层(共35层)2001年建板塔结合  -  皇岗', '468万', '单价62526元/平米')
('https://image1.ljcdn.com/440300-inspection/157c7e3c-3e1b-44ac-b7a2-eb334b8a48dd.jpg.296x216.jpg', '财富广场深高 东海实验 满二年税费少带租约', '财富广场  | 1室0厅 | 48.78平米 | 西北 | 其他 | 有电梯', '中楼层(共28层)2003年建板塔结合  -  香蜜湖', '415万', '单价85076元/平米')
('https://image1.ljcdn.com/440300-inspection/1c452495-3390-4192-9fa3-5cff573e54cf.jpg.296x216.jpg', '南风进出不折曲 凸窗暖阳伴日落 满五唯一红本正相宜', '嘉洲豪园  | 3室2厅 | 125.4平米 | 南 | 其他 | 有电梯', '低楼层(共20层)2001年建板塔结合  -  新洲', '715万', '单价57018元/平米')
('https://image1.ljcdn.com/440300-inspection/7905ebb4-f99d-4cf8-9ca2-1d858848ba8f.jpg.296x216.jpg', '香荔花园 4室2厅 1380万', '香荔花园  | 4室2厅 | 166.52平米 | 南 北 | 简装 | 无电梯', '低楼层(共7层)1998年建板塔结合  -  香蜜湖', '1380万', '单价82873元/平米')
('https://image1.ljcdn.com/440300-inspection/test-51648aef-8e43-4bb0-a27f-b3e16a144911.png.296x216.jpg', '莲花二村 位置安静 户型方正 诚心出售', '莲花二村  | 2室1厅 | 82.84平米 | 东北 | 简装 | 有电梯', '低楼层(共21层)1993年建板塔结合  -  莲花', '580万', '单价70015元/平米')
('https://image1.ljcdn.com/440300-inspection/b2c73ae2-2eba-41c3-b141-e62d613f2a96.jpg.296x216.jpg', '口岸 地铁 复式两房 精装修 实用 可拎包入住', '皇御苑四期  | 2室2厅 | 56.26平米 | 西 | 精装 | 有电梯', '低楼层(共32层)2011年建板塔结合  -  皇岗', '438万', '单价77853元/平米')
('https://image1.ljcdn.com/440300-inspection/aea4d320-0cca-49b1-9997-8b5328d8ce9b.jpg.296x216.jpg', '水木澜山居精装大三房 满五年 无遮挡看山景 看房方便', '水木澜山居  | 3室2厅 | 88.74平米 | 北 | 精装 | 有电梯', '中楼层(共34层)2008年建板塔结合  -  梅林', '610万', '单价68741元/平米')
('https://image1.ljcdn.com/440300-inspection/bbc07b1e-1b2f-461a-bf34-716d8b06c4fc.jpg.296x216.jpg', '香诗美林 2室2厅 630万', '香诗美林  | 2室2厅 | 79.88平米 | 东南 | 其他 | 有电梯', '低楼层(共18层)2005年建板塔结合  -  竹子林', '630万', '单价78869元/平米')
('https://image1.ljcdn.com/440300-inspection/dad5fad1-2ae3-4583-ab8d-25d396675325.jpg.296x216.jpg', '此房是安静栋数，户型好，很少放卖。', '万科金色家园  | 3室2厅 | 120.44平米 | 东南 | 其他 | 有电梯', '低楼层(共34层)2002年建板塔结合  -  景田', '1100万', '单价91332元/平米')
('https://image1.ljcdn.com/440300-inspection/test-e8b194a2-899a-43a4-9882-5bc7a75be761.png.296x216.jpg', '五洲星苑 高楼层南向一房 视野开阔 看高尔夫景观', '五洲星苑  | 1室0厅 | 41.41平米 | 南 | 其他 | 有电梯', '高楼层(共33层)2006年建板塔结合  -  景田', '310万', '单价74862元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_uploadd03a001a-90de-4a3a-8409-123349186edc.jpg.296x216.jpg', '汇港名苑大两房 万科物业 户型方正 厅出阳台 赤尾站', '汇港名苑  | 2室2厅 | 77.38平米 | 西北 | 其他 | 有电梯', '低楼层(共32层)2003年建板塔结合  -  赤尾', '430万', '单价55570元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_upload20ff806e-84f3-4079-972d-2035008acbc3.jpg.296x216.jpg', '翡翠名园93平南北通方正三房 红本五年唯一 没增值税', '翡翠名园  | 3室2厅 | 92.52平米 | 南 北 | 其他 | 有电梯', '低楼层(共10层)2000年建板楼  -  莲花', '642万', '单价69391元/平米')
('https://image1.ljcdn.com/440300-inspection/test-0f92b6c9-1441-406a-b584-8ce0dc2e0f6e.png.296x216.jpg', '碧海云天，安静东南向四房，带车位，诚心出售，看现房', '碧海云天二期  | 4室2厅 | 156.25平米 | 东南 南 | 其他 | 有电梯', '高楼层(共18层)2003年建板塔结合  -  竹子林', '1600万', '单价102400元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_upload28de4a1e-b75f-495d-bec9-c9be13deae41.JPG.296x216.jpg', '安静，看花园，三房两厅，满2年', '益田村  | 3室2厅 | 87.33平米 | 北 | 其他 | 有电梯', '低楼层(共32层)2002年建板塔结合  -  石厦', '530万', '单价60690元/平米')
('https://image1.ljcdn.com/440300-inspection/test-d3244010-2249-419f-8e34-9b81b8687795.png.296x216.jpg', '南北通三居室，满五唯一中楼层，靓装，业主诚心卖！', '福民新村  | 3室1厅 | 87.9平米 | 南 | 其他 | 无电梯', '中楼层(共8层)1993年建板塔结合  -  皇岗', '550万', '单价62572元/平米')
('https://image1.ljcdn.com/440300-inspection/test-13d0af98-75e1-42d4-b139-2a302a008e69.png.296x216.jpg', '朗晴馨洲 3室2厅 460万', '朗晴馨洲  | 3室2厅 | 80.4平米 | 南 | 精装 | 有电梯', '中楼层(共32层)2003年建板塔结合  -  新洲', '460万', '单价57214元/平米')
('https://image1.ljcdn.com/440300-inspection/test-cf2b83de-33b3-4a06-b919-c701807cff32.png.296x216.jpg', '竹子林普宅，满五年税少，装修保养好，三房背山面海', '竹盛花园  | 3室2厅 | 87.34平米 | 东南 | 其他 | 有电梯', '低楼层(共27层)2006年建板楼  -  竹子林', '665万', '单价76140元/平米')
('https://image1.ljcdn.com/440300-inspection/c8fa143e-34ed-49ff-9c77-092008476296.jpg.296x216.jpg', '一房一厅 3条地铁线 花园小区 适合居住', '御河堤  | 1室1厅 | 39.26平米 | 东 | 其他 | 有电梯', '低楼层(共33层)2009年建塔楼  -  上步', '278万', '单价70810元/平米')
('https://image1.ljcdn.com/440300-inspection/94a1c597-c22e-4cc3-a7d0-cc8fc6933666.jpg.296x216.jpg', '梅林二村正规三房朝南户型方正采光好', '梅林二村  | 3室1厅 | 77.08平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1997年建板塔结合  -  梅林', '500万', '单价64868元/平米')
('https://image1.ljcdn.com/440300-inspection/70cb26db-78a2-48f8-af9e-9f1541617ab3.jpg.296x216.jpg', '满五 水木澜山居 坐看山景视野采光好 半山精装三房', '水木澜山居  | 3室1厅 | 100.7平米 | 东南 西南 | 精装 | 有电梯', '低楼层(共34层)2008年建板塔结合  -  梅林', '690万', '单价68521元/平米')
('https://image1.ljcdn.com/440300-inspection/11ecc2ea-04d2-46df-a0ce-6379c0b0404a.jpg.296x216.jpg', '满五唯一 户型方正 中间楼层采光好', '鹏益花园  | 1室1厅 | 60.77平米 | 西南 | 简装 | 有电梯', '低楼层(共22层)1995年建塔楼  -  八卦岭', '275万', '单价45253元/平米')
('https://image1.ljcdn.com/440300-inspection/41ac0e2f-7c1e-466d-b73c-bd489a6ab628.JPG.296x216.jpg', '新世界山月居 4室1厅 1250万', '新世界山月居  | 4室1厅 | 170.75平米 | 南 | 其他 | 有电梯', '高楼层(共31层)2001年建板塔结合  -  莲花', '1250万', '单价73207元/平米')
