('https://image1.ljcdn.com/320100-inspection/test-b5172b44-0260-41aa-a27f-eb6d338862b7.png.296x216.jpg', '满五唯一      拎包住  看房方便', '花雨南庭  | 3室1厅 | 79.36平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2009年建板楼  -  洪家园', '310万', '单价39063元/平米')
('https://image1.ljcdn.com/320100-inspection/4375e7dc-5122-4e7b-a179-6a714e45e986.jpg.296x216.jpg', '大三房  满五年  无增值税  楼层好', '德安花园  | 3室2厅 | 129.52平米 | 南 北 | 其他 | 有电梯', '低楼层(共9层)2004年建板塔结合  -  安德门', '405万', '单价31270元/平米')
('https://image1.ljcdn.com/320100-inspection/31cfc315-745e-433d-b05e-8594f43d0def.jpg.296x216.jpg', '莱蒙水榭阳光大三房毛坯交通便利中高楼层采光充足', '莱蒙水榭阳光  | 3室1厅 | 116.05平米 | 南 北 | 其他 | 有电梯', '高楼层(共25层)2016年建板塔结合  -  铁心桥', '348万', '单价29988元/平米')
('https://image1.ljcdn.com/120000-inspection/5ff5cbb7-8e3f-4d27-a5cb-785a02773303.jpg.296x216.jpg', '春江新城 采光充足 看房方便 视野开阔', '春江新城新河苑一期  | 2室1厅 | 60.04平米 | 南 | 其他 | 有电梯', '高楼层(共10层)2005年建板楼  -  铁心桥', '150万', '单价24984元/平米')
('https://image1.ljcdn.com/320100-inspection/8b874f99-7f92-4209-81d1-87240380a8ce.jpg.296x216.jpg', '春江新城 铁心桥 精装两房 交通便利', '春江新城升景坊  | 2室1厅 | 75.16平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2005年建板楼  -  铁心桥', '190万', '单价25280元/平米')
('https://image1.ljcdn.com/320100-inspection/75b7560e-8d2c-43a4-aeee-a391492752f2.jpg.296x216.jpg', '小行地铁口  交通便利 配套齐全', '菊花新村三村  | 3室1厅 | 68.29平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)1986年建板塔结合  -  小行', '170万', '单价24894元/平米')
('https://image1.ljcdn.com/320100-inspection/9ccb06bc-25d8-4447-9537-dd2a3b16fe03.jpg.296x216.jpg', '天隆寺 软件大道 铁心桥 万科品质 南北通透 精装交付', '蓝岸尚城  | 2室1厅 | 50.52平米 | 南 | 其他 | 有电梯', '中楼层(共12层)2008年建板塔结合  -  铁心桥', '185万', '单价36620元/平米')
('https://image1.ljcdn.com/320100-inspection/33a4581b-5c5c-4fa6-8d28-557aa385c4c5.jpg.296x216.jpg', '金地二期  开发商精装  带电梯，楼层采光好', '金地自在城第二街区  | 3室2厅 | 103.96平米 | 南 北 | 其他 | 有电梯', '高楼层(共33层)2011年建板塔结合  -  雨花台其它', '235万', '单价22605元/平米')
('https://image1.ljcdn.com/320100-inspection/d9d079f3-7bdc-48cb-8ec6-b5c4846dfbf7.jpg.296x216.jpg', '七彩星城 2室2厅 247万', '七彩星城  | 2室2厅 | 95.98平米 | 南 | 其他 | 有电梯', '高楼层(共18层)板楼  -  铁心桥', '247万', '单价25735元/平米')
('https://image1.ljcdn.com/320100-inspection/7abaf9f7-5e10-435f-a8ff-506ecc5f8c07.jpg.296x216.jpg', '此房满两年居家精装修挑高两层小区物业配套齐全保养好', '蓝岸尚城  | 2室1厅 | 51.2平米 | 东 | 其他 | 有电梯', '中楼层(共12层)2008年建板塔结合  -  铁心桥', '182万', '单价35547元/平米')
('https://image1.ljcdn.com/320100-inspection/517c44c2-60c6-41c5-85b0-5faefe7344b9.jpg.296x216.jpg', '此房满五年，是四季阳光的顶跃，房屋是业主自住', '四季阳光花园  | 3室2厅 | 132.6平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2005年建板塔结合  -  雨花新村', '405万', '单价30543元/平米')
('https://image1.ljcdn.com/320100-inspection/ea1346ac-70e9-45bd-ac80-b75c6f93c71b.jpg.296x216.jpg', '宏图大平层 南北通透 采光无影响', '宏图上水庭院  | 5室2厅 | 206平米 | 南 北 | 其他 | 有电梯', '低楼层(共11层)2014年建板塔结合  -  宁南', '820万', '单价39806元/平米')
('https://image1.ljcdn.com/320100-inspection/253fac10-e01e-4742-b902-b228333a3b58.jpg.296x216.jpg', '翠岭银河 交通便利 总计低 顶跃大四房 业主急售', '翠岭银河  | 3室2厅 | 131平米 | 南 北 | 其他 | 有电梯', '高楼层(共12层)2008年建板塔结合  -  铁心桥', '260万', '单价19848元/平米')
('https://image1.ljcdn.com/320100-inspection/5699181e-02b3-4e35-b7d5-d3d2291f9846.jpg.296x216.jpg', '满五唯一   采光好  刚需两房  交通便利', '能仁里16号  | 2室1厅 | 61.67平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)1998年建板楼  -  雨花新村', '160万', '单价25945元/平米')
('https://image1.ljcdn.com/320100-inspection/7a073736-ed60-41c8-acae-ecfea9174522.jpg.296x216.jpg', '金蕊大两房   视野宽阔    环境优美', '金蕊家苑  | 2室2厅 | 89平米 | 南 北 | 其他 | 有电梯', '高楼层(共10层)2007年建板楼  -  安德门', '270万', '单价30338元/平米')
('https://image1.ljcdn.com/320100-inspection/b742afe9-7bb2-4691-b95b-34bc88843607.jpg.296x216.jpg', '南北通透，交通便利，安德门地铁，配套完善成熟', '德安花园  | 3室2厅 | 79平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2004年建板塔结合  -  安德门', '278万', '单价35190元/平米')
('https://image1.ljcdn.com/320100-inspection/aabfafd7-0cd2-40cf-aa6b-da0286e8fe37.jpg.296x216.jpg', '时光澔韵 银城物业 南北通透 顶跃带露台', '时光澔韵  | 4室2厅 | 141平米 | 南 北 | 其他 | 有电梯', '高楼层(共11层)2007年建板楼  -  小行', '488万', '单价34610元/平米')
('https://image1.ljcdn.com/320100-inspection/4689f874-f9fa-4422-af8c-a0a1ee250389.jpg.296x216.jpg', '翠岛大三房 居家装修 南北通透', '翠岛花城柳丝苑  | 3室2厅 | 138.39平米 | 南 | 其他 | 有电梯', '低楼层(共10层)2004年建板塔结合  -  宁南', '518万', '单价37431元/平米')
('https://image1.ljcdn.com/320100-inspection/5d7b4079-e98d-47b2-9018-faa62dc85ce9.jpg.296x216.jpg', '龙福山庄 3室2厅 295万', '龙福山庄  | 3室2厅 | 94.88平米 | 南 北 | 其他 | 无电梯', '中楼层(共7层)2000年建板楼  -  安德门', '295万', '单价31092元/平米')
('https://image1.ljcdn.com/320100-inspection/b1b69aec-d655-4cf1-ab66-e352b50e11e2.jpg.296x216.jpg', '枫情两房  楼层好  有车位  小区环境好', '枫情国度尚园  | 2室2厅 | 83.25平米 | 南 | 其他 | 无电梯', '中楼层(共6层)2004年建板楼  -  安德门', '286万', '单价34355元/平米')
('https://image1.ljcdn.com/320100-inspection/b8ae17b9-8622-4da6-8f2a-e795d5355e8c.jpg.296x216.jpg', '邓府山村   好房诚心出售 看房方便  楼层好  环境清幽', '邓府山村  | 3室2厅 | 106.4平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)1998年建板楼  -  雨花新村', '285万', '单价26786元/平米')
('https://image1.ljcdn.com/320100-inspection/4513cd9b-48cd-4ea8-a72c-2ee2244985d4.jpg.296x216.jpg', '采光好视野开阔，交通便捷，户型方正，两卧朝南', '春江新城升景坊  | 2室2厅 | 74.23平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2005年建板楼  -  铁心桥', '193万', '单价26001元/平米')
('https://image1.ljcdn.com/320100-inspection/5180b45f-1474-415e-8cd6-a1240c22d03c.jpg.296x216.jpg', '户型方正 南北通透  一楼带院子', '柏悦澜庭  | 5室2厅 | 231.51平米 | 南 北 | 其他 | 有电梯', '低楼层(共11层)2016年建板楼  -  安德门', '810万', '单价34988元/平米')
('https://image1.ljcdn.com/320100-inspection/26179989-11e2-4b3d-a859-69c2e3190fad.jpg.296x216.jpg', '金地三期 大四房   诚心出售', '金地自在城第三街区  | 4室2厅 | 152.58平米 | 南 北 | 其他 | 无电梯', '中楼层(共5层)2012年建板楼  -  雨花台其它', '450万', '单价29493元/平米')
('https://image1.ljcdn.com/320100-inspection/5fe23b99-5906-4773-b9c5-f3412b68d556.jpg.296x216.jpg', '金地自在城第二街区 开发商精装 边户全明', '金地自在城第二街区  | 3室2厅 | 73平米 | 南 北 | 其他 | 有电梯', '低楼层(共33层)2011年建板塔结合  -  雨花台其它', '195万', '单价26713元/平米')
('https://image1.ljcdn.com/320100-inspection/dfaa0000-bb22-4131-8f50-33906418eb3a.jpg.296x216.jpg', '安德门 小行商圈 楼层好 配套全', '名城世家花园  | 3室2厅 | 118.02平米 | 南 北 | 其他 | 有电梯', '低楼层(共18层)2010年建板楼  -  小行', '424万', '单价35927元/平米')
('https://image1.ljcdn.com/320100-inspection/914068df-722c-4ea5-87e1-65c946618ad8.jpg.296x216.jpg', '雨花台 铁心桥 软件大道 春江新城 大三房', '春江新城牛首坊  | 3室1厅 | 97.6平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)2005年建板楼  -  铁心桥', '240万', '单价24591元/平米')
('https://image1.ljcdn.com/320100-inspection/b1bb4969-fc1c-4d60-93c9-e5f46af76c9e.jpg.296x216.jpg', '贾西 西善桥 善水湾花园 中高楼层 绿城物业', '善水湾花园  | 4室2厅 | 120.45平米 | 南 北 | 其他', '高楼层(共18层)板塔结合  -  铁心桥', '380万', '单价31549元/平米')
('https://image1.ljcdn.com/320100-inspection/c573a46f-3135-4618-b20c-2616bd4a4eb8.jpg.296x216.jpg', '楼层好，业主诚心出售，采光充足，中间楼层', '琥珀森林一期  | 2室2厅 | 94.67平米 | 南 北 | 其他 | 有电梯', '低楼层(共18层)2017年建板塔结合  -  铁心桥', '302万', '单价31901元/平米')
('https://image1.ljcdn.com/320100-inspection/2457665f-7785-47c4-8cfe-6757fa43b6e7.jpg.296x216.jpg', '金地自在城第八街区 精装 采光无影响', '金地自在城第八街区  | 4室2厅 | 113.48平米 | 南 北 | 其他 | 有电梯', '低楼层(共28层)2014年建板楼  -  雨花台其它', '275万', '单价24234元/平米')
('https://image1.ljcdn.com/320100-inspection/bf35ac25-97c0-4b3c-8d29-ad42f3e5af86.jpg.296x216.jpg', '小区环境好 商品房 业主诚售！', '琥珀森林一期  | 2室2厅 | 95平米 | 南 | 其他 | 有电梯', '低楼层(共18层)2017年建板塔结合  -  铁心桥', '300万', '单价31579元/平米')
('https://image1.ljcdn.com/320100-inspection/a7fb62c8-bbb2-487b-b35b-88f337763a30.jpg.296x216.jpg', '金地自在城第七街区 精装 采光好 视野开阔', '金地自在城第七街区  | 3室1厅 | 128.79平米 | 南 北 | 其他 | 有电梯', '中楼层(共32层)2015年建塔楼  -  雨花台其它', '345万', '单价26788元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload820b7e32-fbdb-4296-b0a2-857682036951.jpg.296x216.jpg', '采光好 配备齐备 交通便利 成熟小区 刚需小两房', '春江新城新河苑一期  | 2室1厅 | 59.48平米 | 南 北 | 简装 | 有电梯', '低楼层(共11层)2005年建板楼  -  铁心桥', '160万', '单价26900元/平米')
('https://image1.ljcdn.com/320100-inspection/7fbad2ef-04c4-4070-93f9-9e6009cafdd1.jpg.296x216.jpg', '景明佳园好房出售  包含四个地下室', '景明佳园集景苑  | 2室1厅 | 70.38平米 | 南 | 其他 | 无电梯', '中楼层(共6层)2004年建板塔结合  -  宁南', '189万', '单价26855元/平米')
('https://image1.ljcdn.com/320100-inspection/2f93195b-def1-4fbf-9d06-665aecba6c73.jpg.296x216.jpg', '德安花园  交通便利  采光通风好', '德安花园  | 3室2厅 | 96.77平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2004年建板塔结合  -  安德门', '270万', '单价27902元/平米')
('https://image1.ljcdn.com/320100-inspection/test-02d3d61c-6882-49c6-b3fb-359506b547fc.png.296x216.jpg', '春江新城新河苑一期 刚需小三房 纯毛坯', '春江新城新河苑一期  | 3室1厅 | 69.95平米 | 南 北 | 其他 | 有电梯', '中楼层(共11层)2005年建板楼  -  铁心桥', '168万', '单价24018元/平米')
('https://image1.ljcdn.com/320100-inspection/3402a398-56c3-403f-b2af-7decf9f568b4.jpg.296x216.jpg', '雨花台铁心桥大复式 南北通透 功能间布局合理', '蓝岸尚城  | 3室2厅 | 131.78平米 | 南 北 | 其他 | 无电梯', '中楼层(共7层)2007年建板塔结合  -  铁心桥', '436万', '单价33086元/平米')
('https://image1.ljcdn.com/320100-inspection/b660b93a-cb90-4707-93b3-f3fb3d40494d.jpg.296x216.jpg', '房龄新  生活配套方便  交通便利', '春江新城新河苑一期  | 2室1厅 | 59.48平米 | 南 北 | 其他 | 有电梯', '中楼层(共11层)2005年建板楼  -  铁心桥', '146万', '单价24547元/平米')
('https://image1.ljcdn.com/320100-inspection/test-72a82ea6-baac-42d1-ac45-29631b372c15.png.296x216.jpg', '采光充足 视野开阔 配套实施齐全 业主诚心出售', '能仁里三村  | 2室1厅 | 72.04平米 | 南 北 | 其他 | 有电梯', '高楼层(共7层)1996年建板塔结合  -  雨花新村', '158万', '单价21933元/平米')
('https://image1.ljcdn.com/320100-inspection/cd730abb-b922-456c-8cb2-038f330ebd80.jpg.296x216.jpg', '户型方正  精装修  采光好  环境好宜居', '宋都南郡国际北区  | 2室2厅 | 88.76平米 | 南 北 | 其他', '中楼层(共26层)2016年建板塔结合  -  雨花台其它', '230万', '单价25913元/平米')
('https://image1.ljcdn.com/320100-inspection/9efa1e2e-bdd2-4367-9b04-4a8cb5f93a22.jpg.296x216.jpg', '此房房型方正，南北通透，户型方正，一楼带院子', '春江新城将军坊  | 3室1厅 | 84.4平米 | 南 | 其他 | 无电梯', '低楼层(共6层)2005年建板楼  -  铁心桥', '218万', '单价25830元/平米')
('https://image1.ljcdn.com/320100-inspection/9dc87b06-ca37-4a2e-995e-40b767c22878.JPG.296x216.jpg', '南部新城 家具家电齐全 采光好', '花雨南庭  | 2室2厅 | 88.45平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2009年建板楼  -  洪家园', '358万', '单价40475元/平米')
('https://image1.ljcdn.com/320100-inspection/1b73b43d-ada0-47c8-b289-43faf6afc025.JPG.296x216.jpg', '雨花台景区 爱涛逸珍公馆 低密度洋房 13年电梯次新房', '爱涛逸珍公馆  | 3室2厅 | 106平米 | 南 北 | 精装 | 有电梯', '高楼层(共8层)2013年建板楼  -  洪家园', '460万', '单价43397元/平米')
('https://image1.ljcdn.com/320100-inspection/8885dc7f-5746-480c-99e1-0f5e776af183.jpg.296x216.jpg', '总价低 刚需两房 业主诚心出售 看房提前联系', '菊花新村三村  | 2室1厅 | 53.95平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)板塔结合  -  小行', '148万', '单价27433元/平米')
('https://image1.ljcdn.com/320100-inspection/4606fc37-888c-485a-ba7b-f56d3df87b24.jpg.296x216.jpg', '金地自在城第四街区 户型方正 采光好', '金地自在城第四街区  | 3室2厅 | 83平米 | 南 北 | 其他 | 有电梯', '高楼层(共26层)2013年建板楼  -  雨花台其它', '212万', '单价25543元/平米')
('https://image1.ljcdn.com/320100-inspection/975a1c31-9895-4053-8392-668ad87806b3.jpg.296x216.jpg', '基础设施完善 交通便利 采光好', '名城世家花园  | 2室2厅 | 86.42平米 | 南 北 | 其他 | 有电梯', '高楼层(共18层)2013年建板楼  -  小行', '312万', '单价36103元/平米')
('https://image1.ljcdn.com/320100-inspection/b3ab0c60-222c-4149-a20b-76e427d54d1b.jpg.296x216.jpg', '楼层适中，采光充足，停车方便，业主诚心出售', '莱蒙水榭阳光  | 2室1厅 | 87.65平米 | 南 | 精装', '低楼层(共27层)2016年建板塔结合  -  铁心桥', '268万', '单价30577元/平米')
('https://image1.ljcdn.com/320100-inspection/8777834c-e4c5-461b-96c4-95d838f3729b.jpg.296x216.jpg', '能仁里16号  楼层好  采光好  通风好', '能仁里16号  | 2室1厅 | 83.35平米 | 南 | 其他 | 无电梯', '中楼层(共5层)1986年建板楼  -  雨花新村', '240万', '单价28795元/平米')
('https://image1.ljcdn.com/320100-inspection/e858369e-5dc2-4cdd-a798-a93bdf4b8473.jpg.296x216.jpg', '凤台南路 虹悦城 大三居 中间层 视野好采光无遮挡', '凤台南路  | 3室2厅 | 137.59平米 | 南 北 | 其他 | 无电梯', '中楼层(共7层)1991年建板塔结合  -  能仁里', '260万', '单价18897元/平米')
('https://image1.ljcdn.com/320100-inspection/test-79283cd9-0b4e-47bb-9380-fc5f2975cf47.png.296x216.jpg', '雨花新村四村   配套成熟  采光充足 视野宽阔', '雨花新村四村  | 2室1厅 | 44.89平米 | 南 北 | 其他 | 有电梯', '中楼层(共7层)1986年建板楼  -  雨花新村', '122万', '单价27178元/平米')
('https://image1.ljcdn.com/320100-inspection/3a8577cd-2b59-48cc-af9d-86f1cb62a31f.jpg.296x216.jpg', '南北通透 虹悦城 精装 中华门 诚心出售', '亚东观云国际  | 2室1厅 | 97.58平米 | 南 北 | 其他 | 有电梯', '中楼层(共28层)2012年建塔楼  -  能仁里', '400万', '单价40993元/平米')
('https://image1.ljcdn.com/320100-inspection/35a063b5-8768-4d0b-861c-02f03f7ecf5c.jpg.296x216.jpg', '亚东国际公寓 高楼层 落地窗 视野采光好 诚意出售', '亚东国际公寓  | 2室2厅 | 91.14平米 | 南 | 其他 | 有电梯', '高楼层(共27层)2009年建板塔结合  -  能仁里', '330万', '单价36209元/平米')
('https://image1.ljcdn.com/320100-inspection/1f9da2f8-d0eb-45d3-98da-fc881f70f6e7.jpg.296x216.jpg', '铁心桥 软件大道 蓝岸平层 商品房 居家装修 拎包入住', '蓝岸尚城  | 3室2厅 | 119.8平米 | 南 | 其他 | 有电梯', '低楼层(共11层)2007年建板塔结合  -  铁心桥', '325万', '单价27129元/平米')
('https://image1.ljcdn.com/320100-inspection/d02fdda4-5040-4fd2-886b-3f39aa7cdd6b.jpg.296x216.jpg', '奥南金地 精装修3房 无增值税 视野好 采光足', '金地自在城第一街区  | 3室2厅 | 87.5平米 | 南 | 其他 | 有电梯', '高楼层(共32层)2011年建板楼  -  雨花台其它', '235万', '单价26858元/平米')
('https://image1.ljcdn.com/320100-inspection/506833c2-7e7c-4357-8fb6-0045f2aedd5b.jpg.296x216.jpg', '蓝岸尚城 2室1厅 182万', '蓝岸尚城  | 2室1厅 | 50.45平米 | 南 | 其他 | 有电梯', '高楼层(共12层)2008年建板塔结合  -  铁心桥', '182万', '单价36076元/平米')
('https://image1.ljcdn.com/320100-inspection/1b4394c7-6148-47da-9625-0aee3846ec38.jpg.296x216.jpg', '基础设施完善 交通便利  采光好', '金蕊家苑  | 2室1厅 | 88.68平米 | 南 北 | 其他 | 有电梯', '高楼层(共10层)2007年建板楼  -  安德门', '265万', '单价29883元/平米')
('https://image1.ljcdn.com/320100-inspection/566596c5-f9a2-4211-a2b8-71efed6b81c8.jpg.296x216.jpg', '邓府山村 环境清幽 诚心出售  采光充足', '邓府山村  | 3室1厅 | 79平米 | 南 | 其他 | 无电梯', '高楼层(共7层)1998年建板楼  -  雨花新村', '235万', '单价29747元/平米')
('https://image1.ljcdn.com/320100-inspection/0394fee6-e6e9-473e-bce9-508675dcc79d.jpg.296x216.jpg', '金地自在城第二街区 3室2厅 179.9万', '金地自在城第二街区  | 3室2厅 | 83平米 | 南 北 | 其他 | 有电梯', '低楼层(共26层)2011年建板塔结合  -  雨花台其它', '179.9万', '单价21675元/平米')
('https://image1.ljcdn.com/320100-inspection/9fedca8a-b45c-479b-ad90-c39e9cfbca8e.jpg.296x216.jpg', '楼层高 采光充足 附赠一个10平左右的露台', '康盛花园  | 2室2厅 | 106.24平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)1999年建板楼  -  宁南', '340万', '单价32004元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload300a8d01-ddc2-4d55-b0ff-fdd797e40156.jpg.296x216.jpg', '格局方正 采光充足 小区中间位置  业主诚心出售', '龙福山庄  | 2室2厅 | 88.73平米 | 南 | 其他 | 无电梯', '低楼层(共7层)2001年建板塔结合  -  安德门', '266万', '单价29979元/平米')
('https://image1.ljcdn.com/320100-inspection/2e5fef10-a20f-45ee-95c0-cc846d37da8a.jpg.296x216.jpg', '三开间朝南 房龄新 户型方正 装修好', '玻纤院  | 3室2厅 | 92.51平米 | 南 | 精装', '高楼层(共7层)2010年建板塔结合  -  能仁里', '249.5万', '单价26971元/平米')
('https://image1.ljcdn.com/320100-inspection/test-90c3b067-2ff5-4c71-aa55-bdbf93f251cf.png.296x216.jpg', '雨花西路230号 看房方便 诚心出售 楼层合适', '雨花西路  | 2室1厅 | 75.05平米 | 南 | 其他 | 有电梯', '中楼层(共7层)1994年建板楼  -  雨花新村', '218万', '单价29048元/平米')
('https://image1.ljcdn.com/320100-inspection/08a7607b-97d9-42df-8a80-bbc872382aba.jpg.296x216.jpg', '雨花台铁心桥商圈 户型方正 中高楼层 满两年 精装两房', '翠岭银河  | 2室1厅 | 69.76平米 | 南 北 | 其他 | 有电梯', '中楼层(共11层)2008年建板塔结合  -  铁心桥', '175万', '单价25087元/平米')
('https://image1.ljcdn.com/320100-inspection/5078dc4c-39ac-409b-bea0-b85f704a2a48.jpg.296x216.jpg', '户型方正 南北通透 交通便利 业主诚心出售', '景明佳园集景苑  | 2室1厅 | 71.35平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2004年建板塔结合  -  宁南', '182万', '单价25509元/平米')
('https://image1.ljcdn.com/320100-inspection/82f42ff6-eae8-4464-84ff-1fa88d81e058.jpg.296x216.jpg', '2016年的装修  可直接拎包入住 小两房  带电梯', '蓝筹谷  | 2室2厅 | 73.18平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2009年建板塔结合  -  铁心桥', '283万', '单价38672元/平米')
('https://image1.ljcdn.com/320100-inspection/d15dca19-05a1-4122-9122-3bb3c2693362.jpg.296x216.jpg', '金地六期  精装保养好   诚心出售', '金地自在城第六街区  | 3室2厅 | 105平米 | 南 北 | 其他 | 有电梯', '低楼层(共30层)2013年建塔楼  -  雨花台其它', '283万', '单价26953元/平米')
('https://image1.ljcdn.com/320100-inspection/c4fc1cdf-4a68-4ec4-8557-3af4ea49b54e.jpg.296x216.jpg', '有天然气 品质物业 总价低 交通方便 拎包入住', '紫荆国际公寓  | 2室1厅 | 49.31平米 | 南 | 其他 | 有电梯', '中楼层(共9层)2015年建塔楼  -  宁南', '158万', '单价32043元/平米')
('https://image1.ljcdn.com/320100-inspection/422569da-95e2-4f92-9d69-d8a763549898.jpg.296x216.jpg', '虹悦城  中间楼层 采光不挡  居家装修 南北通透', '四季阳光花园  | 2室1厅 | 92.46平米 | 南 | 其他 | 无电梯', '中楼层(共6层)2005年建板塔结合  -  雨花新村', '338万', '单价36557元/平米')
('https://image1.ljcdn.com/320100-inspection/11f264c2-4aa1-4c30-a30a-c27720a34946.jpg.296x216.jpg', '中华门 普德村 总价低 位置好 看房方便', '普德村132号  | 2室0厅 | 49.21平米 | 南 | 其他 | 无电梯', '中楼层(共5层)1977年建板楼  -  雨花新村', '145万', '单价29466元/平米')
('https://image1.ljcdn.com/320100-inspection/0fd30c0d-f2c6-491f-aa38-eeab7ec1ab41.jpg.296x216.jpg', '雨花台 铁心桥 莱蒙水榭阳光 四室精装 空调静', '莱蒙水榭阳光  | 4室1厅 | 127.83平米 | 南 北 | 其他', '低楼层(共11层)2016年建板塔结合  -  铁心桥', '350万', '单价27381元/平米')
('https://image1.ljcdn.com/320100-inspection/766851b9-fbd9-48a3-b846-11873bfbfe58.jpg.296x216.jpg', '三房 拐角大阳台 婚装 看房方便', '雨花新村二村  | 3室1厅 | 78.25平米 | 南 | 精装 | 无电梯', '高楼层(共7层)1983年建板楼  -  雨花新村', '202万', '单价25815元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload5482771f-f534-4014-b7ff-1c580f8ebfed.jpg.296x216.jpg', '交通便利，设施完善，采光好，视野开阔，双卧朝南！', '春江新城韩府坊  | 3室2厅 | 107.92平米 | 南 | 其他 | 有电梯', '高楼层(共10层)2005年建板楼  -  铁心桥', '255万', '单价23629元/平米')
('https://image1.ljcdn.com/320100-inspection/a67c8505-ecc0-4fd2-95f2-1970b3d632be.jpg.296x216.jpg', '雨花台区铁心桥 居家三房 户型方正 采光充足', '春江新城将军坊  | 3室1厅 | 90.54平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)2005年建板楼  -  铁心桥', '235万', '单价25956元/平米')
('https://image1.ljcdn.com/320100-inspection/test-6e5de2fa-948d-4eac-bebc-846e1a8b9f64.png.296x216.jpg', '名城世家花园 2室2厅 340万', '名城世家花园  | 2室2厅 | 89.48平米 | 南 | 其他 | 有电梯', '中楼层(共18层)2013年建板楼  -  小行', '340万', '单价37998元/平米')
('https://image1.ljcdn.com/320100-inspection/8fe3a346-3a0d-45bf-87f5-69f6cb838df2.jpg.296x216.jpg', '万科品牌 大复式 边户 中间楼幢 精装修', '万科金色里程  | 4室1厅 | 106.26平米 | 南 北 | 其他 | 有电梯', '中楼层(共8层)2010年建板塔结合  -  铁心桥', '415万', '单价39056元/平米')
('https://image1.ljcdn.com/320100-inspection/9fa13ba0-af6a-44d7-9563-9ca5b07fd9e6.jpg.296x216.jpg', '翠岛花城大四房 纯毛坯 户型方正', '翠岛花城荷田苑  | 4室2厅 | 191.29平米 | 南 | 其他 | 有电梯', '低楼层(共7层)2004年建板塔结合  -  宁南', '630万', '单价32935元/平米')
('https://image1.ljcdn.com/320100-inspection/5db4961c-97d7-4483-b7c2-1bbf2c12275d.jpg.296x216.jpg', '能仁里16号 刚需小两房 楼层好 交通便利', '能仁里16号  | 2室1厅 | 60.5平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)1998年建板楼  -  雨花新村', '175万', '单价28926元/平米')
('https://image1.ljcdn.com/320100-inspection/8845a0a4-9c44-4d1f-a734-3c5d6d92932d.jpg.296x216.jpg', '应天花园 南北通透 双南双北  全明格局 业主诚售', '应天花园  | 2室1厅 | 77.07平米 | 南 北 | 精装 | 无电梯', '中楼层(共7层)1999年建板楼  -  能仁里', '215万', '单价27897元/平米')
('https://image1.ljcdn.com/320100-inspection/46301330-9b76-45dd-b201-1236ddee7c39.jpg.296x216.jpg', '金地自在城第五街区 3室2厅 315万', '金地自在城第五街区  | 3室2厅 | 108平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2013年建板楼  -  雨花台其它', '315万', '单价29167元/平米')
('https://image1.ljcdn.com/320100-inspection/af03cdf4-0d72-4375-bc5e-e921708f595f.jpg.296x216.jpg', '中华门 虹悦城 两房加一个阳光房 婚装 看房方便', '德盈国际  | 3室1厅 | 61.55平米 | 西 | 精装 | 有电梯', '高楼层(共18层)2011年建塔楼  -  能仁里', '320万', '单价51991元/平米')
('https://image1.ljcdn.com/120000-inspection/7d11cebf-5b80-411c-a1e7-68c838bcf71c.jpg.296x216.jpg', '富力尚悦居一期 3室2厅 225万', '富力尚悦居一期  | 3室2厅 | 85.86平米 | 南 | 其他', '高楼层(共26层)2016年建塔楼  -  雨花台其它', '225万', '单价26206元/平米')
('https://image1.ljcdn.com/320100-inspection/21ab7d07-1184-4021-8e94-5f1489ceb5c8.jpg.296x216.jpg', '金地自在城第五街区 3室2厅 262万', '金地自在城第五街区  | 3室2厅 | 102.59平米 | 南 | 其他 | 有电梯', '低楼层(共11层)2013年建塔楼  -  雨花台其它', '262万', '单价25539元/平米')
('https://image1.ljcdn.com/320100-inspection/6f4a26c6-ca9e-4f2f-886e-7b30f50ba105.JPG.296x216.jpg', '3+1户型 大三房 南北通透 居家装修', '阅城国际花园怡然园  | 3室2厅 | 133.24平米 | 南 北 | 其他 | 有电梯', '低楼层(共11层)2005年建板塔结合  -  宁南', '550万', '单价41279元/平米')
