('https://image1.ljcdn.com/210100-inspection/91925fd1-4c5c-4156-aa19-5bfdf4ebed4f.JPG.296x216.jpg', '金域蓝湾，小高层精装修，双南双北四室两厅', '万科金域蓝湾  | 4室2厅 | 176.47平米 | 南 北 | 精装', '中楼层(共11层)2009年建板楼  -  浑南新区', '290万', '单价16434元/平米')
('https://image1.ljcdn.com/210100-inspection/353465e6-0213-4808-a286-f78b7d9c7574.jpg.296x216.jpg', '荣盛爱家郦都 1室0厅 53万', '荣盛爱家郦都  | 1室0厅 | 46.23平米 | 西 | 其他', '低楼层(共32层)2012年建塔楼  -  浑南新区', '53万', '单价11465元/平米')
('https://image1.ljcdn.com/210100-inspection/1ec8bbce-241e-4863-a989-2b8c977bcf82.jpg.296x216.jpg', '首创光合成  清水房 东南户型 楼层好 采光好', '首创光和城  | 2室1厅 | 70.75平米 | 东南 | 毛坯', '高楼层(共33层)2017年建板楼  -  浑南新区', '72万', '单价10177元/平米')
('https://image1.ljcdn.com/210100-inspection/c7684ca9-be98-4a4f-864d-d625fbf3cd3d.jpg.296x216.jpg', '富腾国际 1室1厅 30.5万', '富腾国际  | 1室1厅 | 37.42平米 | 北 | 其他', '中楼层(共20层)2006年建塔楼  -  浑南新区', '30.5万', '单价8151元/平米')
('https://image1.ljcdn.com/210100-inspection/17434e39-9c70-4204-aa13-ce83653b6bab.jpg.296x216.jpg', '金地锦城西区 2室1厅 110万', '金地锦城西区  | 2室1厅 | 86.25平米 | 南 北 | 其他', '高楼层(共34层)2015年建板楼  -  浑南新区', '110万', '单价12754元/平米')
('https://image1.ljcdn.com/210100-inspection/d598c219-d97a-4bef-98d0-4c0f45bed1de.jpg.296x216.jpg', '名流印象四期 1室1厅 75万', '名流印象四期  | 1室1厅 | 61.32平米 | 东北 | 其他', '低楼层(共33层)2012年建板楼  -  浑南新区', '75万', '单价12231元/平米')
('https://image1.ljcdn.com/210100-inspection/a1e86ff5-5a13-4d21-89a7-218db15354ea.JPG.296x216.jpg', '浑南 华润奉天九里 标准三室 南北通透', '华润奉天九里  | 3室2厅 | 192平米 | 南 北 | 精装', '低楼层(共24层)2017年建板楼  -  浑南新区', '380万', '单价19792元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadf3c84871-706c-42c4-8c5d-8f8df496a9a8.jpg.296x216.jpg', '融城时代 南北大三室户型 户型方正 装修保持好', '融城时代  | 3室2厅 | 155平米 | 南 西 北 | 精装', '高楼层(共18层)2006年建板塔结合  -  浑南新区', '130万', '单价8388元/平米')
('https://image1.ljcdn.com/210100-inspection/13a13595-cb16-4a04-9386-072af3e9fc07.jpg.296x216.jpg', '浑河国际城 2室2厅 66万', '浑河国际城  | 2室2厅 | 79.41平米 | 南 | 其他', '高楼层(共6层)暂无数据  -  浑南新区', '66万', '单价8312元/平米')
('https://image1.ljcdn.com/210100-inspection/fd6c9ffa-4e16-462a-99fb-8821c9fae974.jpg.296x216.jpg', '华发一期  园区绿化好 .中间位置 低楼层  正规三居室', '华发首府  | 3室2厅 | 150.58平米 | 南 北 | 其他', '低楼层(共33层)板塔结合  -  浑南新区', '300万', '单价19923元/平米')
('https://image1.ljcdn.com/210100-inspection/fbf6ceee-6059-4d78-8f65-caa45dd1b694.JPG.296x216.jpg', '左岸慧晶标准三居户型精装修诚心出售', '左岸慧晶  | 3室2厅 | 179.46平米 | 南 北 | 其他', '低楼层(共24层)2009年建板楼  -  浑南新区', '260万', '单价14488元/平米')
('https://image1.ljcdn.com/210100-inspection/cfd366cd-69db-4dba-8159-5661a570f563.JPG.296x216.jpg', '浑南奥体 河畔新城 跃层4房精装修交通便利', '河畔新城一期  | 4室2厅 | 205.23平米 | 南 北 | 精装', '高楼层(共5层)2007年建板楼  -  浑南新区', '235万', '单价11451元/平米')
('https://image1.ljcdn.com/210100-inspection/9bb22c26-3de4-43ca-8835-72cdddf4e06b.jpg.296x216.jpg', '浑南奥体精装修，高楼层，看园区采光通风好，看房方便', '名流印象四期  | 1室1厅 | 58.92平米 | 东 | 其他', '高楼层(共33层)2012年建板楼  -  浑南新区', '73万', '单价12390元/平米')
('https://image1.ljcdn.com/210100-inspection/5e5f4b8f-365b-49d4-89e6-00943d1caa5b.jpg.296x216.jpg', '浑南 君海朗郡 2室一厅 双阳卧室 清水', '君海朗郡  | 2室1厅 | 60.41平米 | 东南 南 | 毛坯', '中楼层(共17层)暂无数据  -  浑南新区', '40万', '单价6622元/平米')
('https://image1.ljcdn.com/210100-inspection/c67a21a7-e9d4-45e6-9cad-70b9d4c31d07.JPG.296x216.jpg', '浑南新区 奥体商圈 坤泰新界 三居室', '坤泰新界  | 3室2厅 | 128.6平米 | 南 北 | 简装', '高楼层(共28层)2009年建板楼  -  浑南新区', '120万', '单价9332元/平米')
('https://image1.ljcdn.com/210100-inspection/215777e4-ac86-4ebc-82fd-ab8a68ef64e9.JPG.296x216.jpg', '奥体 华润奉天九里 精装两室 采光充足 看浑河', '华润奉天九里  | 2室2厅 | 98.6平米 | 南 北 | 其他', '高楼层(共24层)2017年建板楼  -  浑南新区', '185万', '单价18763元/平米')
('https://image1.ljcdn.com/210100-inspection/298d1de8-02ac-493c-8381-e0aa2e5cbde7.JPG.296x216.jpg', '华润奉天九里 3室2厅 225万', '华润奉天九里  | 3室2厅 | 120.03平米 | 南 北 | 其他', '高楼层(共24层)2017年建板楼  -  浑南新区', '225万', '单价18746元/平米')
('https://image1.ljcdn.com/210100-inspection/ddae287a-9064-4b5f-b79c-5a2caf20649a.JPG.296x216.jpg', '建筑大学  万科新里程  中间楼层 采光充足', '万科新里程  | 4室2厅 | 104.07平米 | 南 西 北 | 精装', '高楼层(共20层)2009年建板楼  -  浑南新区', '150万', '单价14414元/平米')
('https://image1.ljcdn.com/210100-inspection/8a60d3ef-3c27-4912-9aa5-1f65b04542bc.JPG.296x216.jpg', 'SR国际新城2室2厅2卫1楼精装修', 'SR国际新城  | 2室2厅 | 139平米 | 南 西 北 | 其他', '低楼层(共24层)2009年建塔楼  -  浑南新区', '118万', '单价8490元/平米')
('https://image1.ljcdn.com/210100-inspection/126cf4be-19d6-46c9-8226-a87bb0b78738.jpg.296x216.jpg', '信达尚城 清水可自己装修 中间楼层 采光好 满二', '信达万科城（尚城）  | 3室2厅 | 135.59平米 | 南 北 | 其他', '中楼层(共7层)板楼  -  浑南新区', '137万', '单价10104元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadc5269329-4263-47c7-9d68-3cb509199889.JPG.296x216.jpg', '浑南奥体 名流印象满五年精装三室 配套成熟交通便利', '名流印象二期  | 3室2厅 | 134平米 | 南 北 | 精装', '低楼层(共32层)2012年建板楼  -  浑南新区', '137万', '单价10224元/平米')
('https://image1.ljcdn.com/210100-inspection/9978f35c-8c4c-4492-974a-82c6045581dc.jpg.296x216.jpg', '融城时代标准户型     采光好', '融城时代  | 3室2厅 | 142.06平米 | 东南 | 其他', '高楼层(共18层)2006年建板塔结合  -  浑南新区', '118万', '单价8307元/平米')
('https://image1.ljcdn.com/210100-inspection/43f8d5e7-c62d-42a5-a2c8-335a9300e57d.jpg.296x216.jpg', '绿城全运村翡翠园A区 4室2厅 900万', '绿城全运村翡翠园A区  | 4室2厅 | 188.38平米 | 东 南 北 | 精装', '低楼层(共4层)2012年建板楼  -  浑南新区', '900万', '单价47776元/平米')
('https://image1.ljcdn.com/210100-inspection/24fa71dd-6c77-406a-b2bc-ed1a4ed1fdd6.jpg.296x216.jpg', '博信双E港 1室1厅 39万', '博信双E港  | 1室1厅 | 48.08平米 | 南 | 其他', '高楼层(共33层)暂无数据  -  浑南新区', '39万', '单价8112元/平米')
('https://image1.ljcdn.com/210100-inspection/0ed58f7f-8887-4bdc-b5dd-484206ff7cab.jpg.296x216.jpg', '华茂中心 3室2厅 170万', '华茂中心  | 3室2厅 | 135.7平米 | 南 北 | 毛坯', '高楼层(共11层)板楼  -  浑南新区', '170万', '单价12528元/平米')
('https://image1.ljcdn.com/210100-inspection/26d6914b-4422-4ae0-89b2-7ee692a55cf8.JPG.296x216.jpg', '伊湾尊府 2室2厅 98万', '伊湾尊府  | 2室2厅 | 107平米 | 南 北 | 精装', '低楼层(共22层)2010年建板楼  -  浑南新区', '98万', '单价9159元/平米')
('https://image1.ljcdn.com/210100-inspection/8c79a801-3331-491d-a357-6a5054491aa8.jpg.296x216.jpg', '格林英郡 4室2厅 130万', '格林英郡  | 4室2厅 | 84.89平米 | 南 北 | 其他', '高楼层(共33层)2004年建暂无数据  -  浑南新区', '130万', '单价15314元/平米')
('https://image1.ljcdn.com/210100-inspection/f9bfa910-5116-4fdf-b894-bb83d1e92cf8.jpg.296x216.jpg', '浑南 白塔公园 阳光新嘉园满五 精装修 带阁楼', '阳光新嘉园  | 2室1厅 | 67.29平米 | 南 北 | 其他', '高楼层(共6层)2003年建板楼  -  浑南新区', '46万', '单价6837元/平米')
('https://image1.ljcdn.com/210100-inspection/87508665-489e-480c-a959-17c4872ee65b.jpg.296x216.jpg', '浑南奥体 首创国际城 精装三室 南北通透', '首创国际城  | 3室2厅 | 173.9平米 | 南 北 | 精装', '高楼层(共34层)2010年建板楼  -  浑南新区', '220万', '单价12651元/平米')
('https://image1.ljcdn.com/210100-inspection/2735b336-c735-4572-a05e-232a28e72bc7.JPG.296x216.jpg', '浑南 奥体建大  东亚国际城 诚心出售', '东亚国际城  | 3室2厅 | 98.1平米 | 南 北 | 精装', '低楼层(共26层)2010年建板塔结合  -  浑南新区', '85万', '单价8665元/平米')
('https://image1.ljcdn.com/210100-inspection/04a34403-1594-4351-b6ae-a0486c7f9256.jpg.296x216.jpg', '郡原小石城 2室1厅 92万', '郡原小石城  | 2室1厅 | 96.37平米 | 南 北 | 其他', '低楼层(共5层)暂无数据  -  浑南新区', '92万', '单价9547元/平米')
('https://image1.ljcdn.com/210100-inspection/1e23a054-962d-4473-9251-605c2d0e802b.jpg.296x216.jpg', '月星国际城 南北三室 中间楼层', '月星  | 3室1厅 | 101.17平米 | 南 北 | 毛坯', '中楼层(共33层)板楼  -  浑南新区', '110万', '单价10873元/平米')
('https://image1.ljcdn.com/210100-inspection/1a28e895-b891-469b-bc2c-05204d145a9f.JPG.296x216.jpg', '优品天地二期洋房  不临街 不挡光 业主诚心出售', '优品天地二期  | 2室2厅 | 88.32平米 | 南 北 | 精装', '低楼层(共6层)板楼  -  浑南新区', '110万', '单价12455元/平米')
('https://image1.ljcdn.com/210100-inspection/da9f2a4c-69e0-4b51-8467-ba47e6b5cd12.jpg.296x216.jpg', '华发首府 3室2厅 275万', '华发首府  | 3室2厅 | 168.12平米 | 南 北 | 其他', '中楼层(共32层)2015年建板楼  -  浑南新区', '275万', '单价16358元/平米')
('https://image1.ljcdn.com/210100-inspection/a7da2975-bc11-47ba-beb7-69324665358f.jpg.296x216.jpg', '亿丰南奥国际 2室1厅 70万', '亿丰南奥国际  | 2室1厅 | 66平米 | 南 | 其他', '高楼层(共25层)2009年建板塔结合  -  浑南新区', '70万', '单价10607元/平米')
('https://image1.ljcdn.com/210100-inspection/f2175832-4647-4d89-8f1d-0dcb4b8f56d9.jpg.296x216.jpg', '急售 小石城 93平三室 单价8千多', '郡原小石城  | 3室2厅 | 90.38平米 | 南 东北 | 简装', '中楼层(共33层)2018年建板楼  -  浑南新区', '78.8万', '单价8717元/平米')
('https://image1.ljcdn.com/210100-inspection/b01a0f5f-dc15-43f5-a1d7-ab230f58ac28.JPG.296x216.jpg', '浑南区 华润奉天九里 清水河景房 楼层好 改善大户型', '华润奉天九里  | 3室2厅 | 195.14平米 | 南 北 | 毛坯', '中楼层(共24层)2017年建板楼  -  浑南新区', '430万', '单价22036元/平米')
('https://image1.ljcdn.com/210100-inspection/aea04cbd-2c5a-4737-9688-5dbbf9771502.jpg.296x216.jpg', '浑南碧桂园公园里全明南北精装户型', '碧桂园公园里  | 3室2厅 | 81.37平米 | 南 北 | 其他', '中楼层(共25层)板楼  -  浑南新区', '85万', '单价10447元/平米')
('https://image1.ljcdn.com/210100-inspection/03ff5a9b-9f3c-4a5d-a2dd-877300e7d9c1.JPG.296x216.jpg', '金水花城一期 2室2厅 100万', '金水花城一期  | 2室2厅 | 113.7平米 | 西南 | 其他', '中楼层(共35层)2005年建塔楼  -  浑南新区', '100万', '单价8796元/平米')
('https://image1.ljcdn.com/210100-inspection/5695e2d9-7cd6-4127-8499-057994052a5b.jpg.296x216.jpg', '名流公馆 4室2厅 420万', '名流公馆  | 4室2厅 | 185.15平米 | 南 北 | 其他', '低楼层(共8层)2014年建板塔结合  -  浑南新区', '420万', '单价22685元/平米')
('https://image1.ljcdn.com/210100-inspection/320e0c0a-e447-4615-bdc5-a15c80d7f4cf.JPG.296x216.jpg', '奥体浦江御景湾双南卧夹南客厅大开间户型采光通透性好', '浦江御景湾  | 2室2厅 | 97平米 | 南 | 其他', '中楼层(共24层)2016年建板楼  -  浑南新区', '150万', '单价15464元/平米')
('https://image1.ljcdn.com/210100-inspection/fc557f9a-6806-4bd1-ae54-9415644757ff.JPG.296x216.jpg', '浑南奥体建大塞纳雍熙金园旁金地滨河悦城两居室精装修', '金地滨河国际·悦城  | 2室1厅 | 84平米 | 西南 | 其他', '低楼层(共31层)2010年建板塔结合  -  浑南新区', '103万', '单价12262元/平米')
('https://image1.ljcdn.com/210100-inspection/f02bb91e-bed8-44e1-a70c-c43f25bca4a2.jpg.296x216.jpg', '浑南 万科新榆公馆 小两室 精装修', '万科新榆公馆  | 2室1厅 | 71.03平米 | 南 西北 | 其他', '高楼层(共25层)板楼  -  浑南新区', '64万', '单价9011元/平米')
('https://image1.ljcdn.com/210100-inspection/67a303ab-f92c-438f-8de2-01b84c939451.JPG.296x216.jpg', '浑南区 奥体 万达 华润乐购旁 坤泰新界小区', '坤泰新界  | 3室2厅 | 118.3平米 | 南 北 | 其他', '低楼层(共25层)2009年建板楼  -  浑南新区', '119万', '单价10060元/平米')
('https://image1.ljcdn.com/210100-inspection/0d33fed1-90e5-4437-8ca7-6284a014d85d.jpg.296x216.jpg', '浑南新区 金地檀郡 洋房跃层 南北大露台 看房有钥匙！', '金地檀郡  | 4室2厅 | 208平米 | 南 北 | 其他', '中楼层(共5层)2011年建板楼  -  浑南新区', '310万', '单价14904元/平米')
('https://image1.ljcdn.com/210100-inspection/54bcb84c-6d47-4fce-936b-da9534cd7bfa.jpg.296x216.jpg', '荣盛爱家郦都 1室0厅 55万', '荣盛爱家郦都  | 1室0厅 | 47平米 | 东 | 其他', '中楼层(共32层)2012年建塔楼  -  浑南新区', '55万', '单价11703元/平米')
('https://image1.ljcdn.com/210100-inspection/62cb0f2c-07b0-45cd-9148-f8ad4aa65c00.jpg.296x216.jpg', '亿丰南奥国际 精装修 南向 万达广场', '亿丰南奥国际  | 2室1厅 | 67平米 | 南 | 其他', '中楼层(共25层)2009年建板塔结合  -  浑南新区', '74万', '单价11045元/平米')
('https://image1.ljcdn.com/210100-inspection/6e078932-929c-46ad-a00f-b5db7324dbb2.jpg.296x216.jpg', '隆河谷1期4层别墅，价钱可议，清水，有花园车库地下室', '隆河谷   | 双拼别墅 | 5室3厅 | 210.6平米 | 南 北 | 毛坯', '3层2016年建板楼  -  浑南新区', '280万', '单价13296元/平米')
('https://image1.ljcdn.com/210100-inspection/f6444db9-e256-428a-ba6d-edd47c5111bc.jpg.296x216.jpg', '信达万科城(理想城) 1室1厅 45万', '信达万科城(理想城)  | 1室1厅 | 58.96平米 | 南 | 其他', '中楼层(共11层)暂无数据  -  浑南新区', '45万', '单价7633元/平米')
('https://image1.ljcdn.com/210100-inspection/260cca91-ed18-44e1-b503-95bd7f5bf524.jpg.296x216.jpg', 'SR国际新城 3室2厅 128万', 'SR国际新城  | 3室2厅 | 158平米 | 西南 | 其他', '低楼层(共30层)2009年建板塔结合  -  浑南新区', '128万', '单价8102元/平米')
('https://image1.ljcdn.com/210100-inspection/7bce357f-e977-442b-a337-a2b205b084e2.jpg.296x216.jpg', '世纪新城五期 2室1厅 65.5万', '世纪新城五期  | 2室1厅 | 83.5平米 | 南 北 | 其他', '中楼层(共6层)2007年建板楼  -  浑南新区', '65.5万', '单价7845元/平米')
('https://image1.ljcdn.com/210100-inspection/e4927a01-a071-49b6-88b5-1de925e57cc7.JPG.296x216.jpg', '在水一方东园 4室2厅 130万', '在水一方东园  | 4室2厅 | 147.88平米 | 南 北 | 其他', '高楼层(共7层)2003年建板楼  -  浑南新区', '130万', '单价8791元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadb6ff8780-bc71-4f17-8e16-07d58fec5a14.JPG.296x216.jpg', '浑南奥体建大河畔新城小区河景房楼层好精装修都送', '河畔新城一期  | 3室2厅 | 117平米 | 南 北 | 其他', '中楼层(共29层)2007年建板楼  -  浑南新区', '158万', '单价13505元/平米')
('https://image1.ljcdn.com/210100-inspection/1f83066b-6323-481e-b7dc-1d0c1645f84c.JPG.296x216.jpg', '格林馨港湾 3室2厅 175万', '格林馨港湾  | 3室2厅 | 136.88平米 | 南 北 | 其他', '高楼层(共33层)2014年建板楼  -  浑南新区', '175万', '单价12785元/平米')
('https://image1.ljcdn.com/210100-inspection/7b6810c7-e3f8-4f19-9079-a5c78a31c8ce.jpg.296x216.jpg', '君海朗郡 73万94平 好楼层 采光好 精装 满二无大税', '君海朗郡  | 2室2厅 | 94.27平米 | 南 北 | 其他', '高楼层(共11层)暂无数据  -  浑南新区', '68.8万', '单价7299元/平米')
('https://image1.ljcdn.com/210100-inspection/b83d655e-bfb6-49e6-bd85-f663455f4f6b.JPG.296x216.jpg', '坤泰新界 2室2厅 110万', '坤泰新界  | 2室2厅 | 101.75平米 | 南 北 | 其他', '中楼层(共28层)2009年建板楼  -  浑南新区', '110万', '单价10811元/平米')
('https://image1.ljcdn.com/210100-inspection/f7291c4d-c7d3-4559-bf4b-7623a078c5a4.JPG.296x216.jpg', '浑南正大江南水乡好户型房，看房方便，精装修', '正大江南水乡一期  | 3室2厅 | 145平米 | 南 北 | 精装', '低楼层(共6层)2008年建板楼  -  浑南新区', '168万', '单价11587元/平米')
('https://image1.ljcdn.com/210100-inspection/22548d02-715f-4a70-9a27-8def515cb7aa.jpg.296x216.jpg', '红星MOMA新程 1室1厅 47万', '红星MOMA新程  | 1室1厅 | 51.95平米 | 西 | 其他', '低楼层(共30层)2013年建板塔结合  -  浑南新区', '47万', '单价9048元/平米')
('https://image1.ljcdn.com/210100-inspection/e3a78ee9-4075-469e-82ef-2af88387ee74.jpg.296x216.jpg', '浑南 阳光新嘉园 三室两卫两厅清水房 6楼 交通便利', '阳光新嘉园  | 3室2厅 | 110.35平米 | 南 北 | 其他', '高楼层(共7层)2003年建板楼  -  浑南新区', '67万', '单价6072元/平米')
('https://image1.ljcdn.com/210100-inspection/5151b2d5-d0b3-4b6e-bd3a-e6e035ed1d3a.JPG.296x216.jpg', '浑南 建大商圈 恒大江湾 精装3室', '恒大江湾  | 4室2厅 | 169.2平米 | 南 北 | 精装', '低楼层(共24层)2017年建板楼  -  浑南新区', '138万', '单价8157元/平米')
('https://image1.ljcdn.com/210100-inspection/64a33d9e-ca22-401c-ba61-46b3f44ec917.JPG.296x216.jpg', '浑南奥体 坤泰新界 一室朝南 交通便利 采光好', '坤泰新界  | 1室1厅 | 50平米 | 南 | 其他', '中楼层(共28层)2009年建板楼  -  浑南新区', '56万', '单价11200元/平米')
('https://image1.ljcdn.com/210100-inspection/9cf8f199-682d-44da-a409-ecab35ee9b6b.jpg.296x216.jpg', '浦江御景湾 1室1厅 100万', '浦江御景湾  | 1室1厅 | 76.71平米 | 南 | 其他', '高楼层(共39层)2016年建板楼  -  浑南新区', '100万', '单价13037元/平米')
('https://image1.ljcdn.com/210100-inspection/5b46382d-9e72-4fbd-89aa-ce31e24d3b3c.jpg.296x216.jpg', '欧式装修 小石城六期 高层采光好 户型方正', '郡原小石城  | 3室2厅 | 87平米 | 南 北 | 其他', '高楼层(共33层)2018年建板楼  -  浑南新区', '92万', '单价10575元/平米')
('https://image1.ljcdn.com/210100-inspection/9806b94b-7305-4141-a050-9e024f2cfe0b.JPG.296x216.jpg', '浑南奥体商圈 华润奉天九里 品质小区  清水房 视野好', '华润奉天九里  | 3室3厅 | 197.3平米 | 南 北 | 其他', '高楼层(共24层)2017年建板楼  -  浑南新区', '395万', '单价20021元/平米')
('https://image1.ljcdn.com/210100-inspection/e34fc834-7066-405f-910b-ccb899ad0325.JPG.296x216.jpg', '浑南区 恒大江湾 不临街 精装修', '恒大江湾  | 2室1厅 | 87.78平米 | 西南 | 简装', '低楼层(共24层)2017年建板楼  -  浑南新区', '77万', '单价8772元/平米')
('https://image1.ljcdn.com/210100-inspection/932147ae-0552-4d8c-94c3-b7e51b7b6d46.jpg.296x216.jpg', '首创国际城 2室2厅 135万', '首创国际城  | 2室2厅 | 94.61平米 | 南 北 | 其他', '高楼层(共34层)2010年建板楼  -  浑南新区', '135万', '单价14270元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadd90fce75-a2a8-4537-b6b4-db4d4b03f840.jpg.296x216.jpg', '万科明天广场 2室1厅 128万', '万科明天广场  | 2室1厅 | 93.4平米 | 南 北 | 精装', '低楼层(共30层)板楼  -  浑南新区', '128万', '单价13705元/平米')
('https://image1.ljcdn.com/210100-inspection/1f6da474-4e6c-423e-b9b6-42f0973f17a0.JPG.296x216.jpg', '其仕盛和祥 中间楼层，采光充足， 配套齐全 带装修', '其仕盛和祥  | 2室1厅 | 61.39平米 | 东北 | 其他', '高楼层(共26层)2016年建板楼  -  浑南新区', '60万', '单价9774元/平米')
('https://image1.ljcdn.com/210100-inspection/674472f5-08b4-47b3-8919-f2d71c079e6f.JPG.296x216.jpg', '房子为精装房，直接拎包入住，位置还不错', '恒大江湾  | 3室2厅 | 125平米 | 南 北 | 其他', '高楼层(共24层)2017年建板楼  -  浑南新区', '105万', '单价8400元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload2b589796-4c67-4c34-ac02-cc1278c3648a.JPG.296x216.jpg', '浑南奥体营盘街SR国际新城一期自供暖清水三室', 'SR国际新城  | 3室2厅 | 158平米 | 东南 | 毛坯', '低楼层(共30层)2009年建板塔结合  -  浑南新区', '95万', '单价6013元/平米')
('https://image1.ljcdn.com/210100-inspection/d98d7de9-a7ad-4b33-8043-b6179c242526.JPG.296x216.jpg', '奥体建大华润万科金地旁格林馨港湾小区不巴山不临街', '格林馨港湾  | 2室1厅 | 97.98平米 | 南 北 | 其他', '高楼层(共33层)2014年建板楼  -  浑南新区', '100万', '单价10207元/平米')
('https://image1.ljcdn.com/210100-inspection/f4c9584c-49b7-4777-a4ec-78095728c848.JPG.296x216.jpg', '奥体商圈 鑫科苑 精装越层 不把山不临街', '鑫科苑  | 5室3厅 | 136.6平米 | 南 北 | 简装', '高楼层(共6层)暂无数据  -  浑南新区', '150万', '单价10981元/平米')
('https://image1.ljcdn.com/210100-inspection/6055b173-f49b-4f6d-bfae-1f0288782fad.jpg.296x216.jpg', '浦江御景湾 带车位 精装一室一厅 改装衣帽间', '浦江御景湾  | 1室1厅 | 77.22平米 | 南 | 其他', '中楼层(共24层)2016年建板楼  -  浑南新区', '113万', '单价14634元/平米')
('https://image1.ljcdn.com/210100-inspection/07cb7d9d-c980-42ba-9e00-0d75bc8b00b4.jpg.296x216.jpg', '廊桥国际 2室1厅 68万', '廊桥国际  | 2室1厅 | 74.53平米 | 南 北 | 其他', '高楼层(共18层)暂无数据  -  浑南新区', '68万', '单价9124元/平米')
('https://image1.ljcdn.com/210100-inspection/ec3fbadb-ec52-4ded-bea6-b27d4dbf2ecc.jpg.296x216.jpg', '首创国际城 三室两厅一卫 精装修', '首创国际城  | 3室2厅 | 117.52平米 | 南 北 | 其他', '低楼层(共34层)2010年建板楼  -  浑南新区', '145万', '单价12339元/平米')
('https://image1.ljcdn.com/210100-inspection/a195d0de-28e5-47fd-9055-62740133a2cc.JPG.296x216.jpg', '建筑大学 金地长青湾天阅  楼层好 采光好 配套齐全', '金地长青湾·天阅  | 4室2厅 | 167.04平米 | 南 北 | 其他', '高楼层(共29层)2013年建板楼  -  浑南新区', '265万', '单价15865元/平米')
('https://image1.ljcdn.com/210100-inspection/954a648b-1e1b-4edc-abed-c9f3fafd9d78.jpg.296x216.jpg', '此房精装修，有电梯，装修风格大部分人都能接受', 'SR国际新城  | 3室2厅 | 184平米 | 南 北 | 其他', '高楼层(共30层)2009年建板塔结合  -  浑南新区', '170万', '单价9240元/平米')
('https://image1.ljcdn.com/210100-inspection/5f6693ba-8838-4f50-9ccf-bbcbc38fa2d1.JPG.296x216.jpg', '建筑大学  两梯三户精装三室  交通方便', '文华街三号院  | 3室2厅 | 115.37平米 | 南 | 精装', '低楼层(共30层)2012年建板楼  -  浑南新区', '115万', '单价9968元/平米')
('https://image1.ljcdn.com/210100-inspection/5dd63fa9-adb4-4067-878e-704e47ff9929.JPG.296x216.jpg', '业主诚心出售 清水房 南北通透', '东亚国际城  | 2室2厅 | 110平米 | 南 北 | 毛坯', '高楼层(共28层)2010年建板塔结合  -  浑南新区', '95万', '单价8637元/平米')
('https://image1.ljcdn.com/210100-inspection/e3375b3a-aa6c-4a46-89f4-05bee30cb021.JPG.296x216.jpg', '浑南奥体 坤泰精装三室 中间楼层 精装修', '坤泰新界  | 3室2厅 | 130.54平米 | 南 北 | 精装', '中楼层(共30层)板楼  -  浑南新区', '135万', '单价10342元/平米')
('https://image1.ljcdn.com/210100-inspection/e356eb34-d0e9-4de0-bcb5-7cbd1ca143cc.jpg.296x216.jpg', '华发精选小三室房源.品质园区.物业好绿化好', '华发首府  | 3室2厅 | 112.56平米 | 西南 北 | 其他', '中楼层(共33层)2015年建板楼  -  浑南新区', '160万', '单价14215元/平米')
('https://image1.ljcdn.com/210100-inspection/e3cd5cb6-4e9a-462d-b03a-bb8945b8b662.JPG.296x216.jpg', '浑南新区 电梯洋房 河畔新城四期精装修标准户型跃层', '河畔新城四期  | 3室2厅 | 160.99平米 | 南 北 | 精装', '高楼层(共7层)2007年建板楼  -  浑南新区', '160.5万', '单价9970元/平米')
('https://image1.ljcdn.com/210100-inspection/412625ac-c517-4e7b-aad5-3bf46da6b717.jpg.296x216.jpg', '华茂央府 三室两厅  清水现房 看房方便', '华茂中心  | 3室2厅 | 98.43平米 | 南 北 | 其他', '低楼层(共32层)板楼  -  浑南新区', '103万', '单价10465元/平米')
('https://image1.ljcdn.com/210100-inspection/f7216455-bdcb-4ab0-87c1-0dafe6826d9e.JPG.296x216.jpg', '奥体 华润奉天九里 精装三室 采光充足 交通便利', '华润奉天九里  | 3室2厅 | 173平米 | 南 西 北 | 精装', '高楼层(共24层)2017年建板楼  -  浑南新区', '395万', '单价22833元/平米')
('https://image1.ljcdn.com/210100-inspection/5ae189d6-a31d-4150-be19-63ebd8567a56.jpg.296x216.jpg', 'SR国际新城 1室1厅 58万', 'SR国际新城  | 1室1厅 | 58平米 | 南 | 其他', '中楼层(共30层)2009年建塔楼  -  浑南新区', '58万', '单价10000元/平米')
('https://image1.ljcdn.com/210100-inspection/c6f8ab98-fe99-4a8e-bf5d-5621532eff0e.jpg.296x216.jpg', '泰莱枫尚 2室2厅 70万', '泰莱枫尚  | 2室2厅 | 88.9平米 | 南 北 | 其他', '低楼层(共33层)板楼  -  浑南新区', '70万', '单价7875元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload813eb9dd-2014-4c0c-8765-30f25a084259.JPG.296x216.jpg', '浑南建筑大学 金地长青湾 精装修两室', '金地长青湾·丹陛  | 2室2厅 | 89平米 | 南 北 | 其他', '低楼层(共33层)2011年建板楼  -  浑南新区', '130万', '单价14607元/平米')
