('https://image1.ljcdn.com/210100-inspection/63801fa1-218a-4288-aaf2-7fbd0644fe5d.JPG.296x216.jpg', '南风雅苑 3室2厅 102万', '南风雅苑  | 3室2厅 | 119.72平米 | 东 南 北 | 其他', '低楼层(共6层)2000年建板楼  -  铁西区', '102万', '单价8520元/平米')
('https://image1.ljcdn.com/210100-inspection/40b7c8d7-7e7d-4ef4-a409-55713a5a72ea.JPG.296x216.jpg', '巴塞罗那二期 2室2厅 108万', '巴塞罗那二期  | 2室2厅 | 70.64平米 | 西南 | 其他', '中楼层(共24层)2008年建板楼  -  铁西区', '108万', '单价15289元/平米')
('https://image1.ljcdn.com/210100-inspection/e145fc07-a8b5-49c6-a7a7-9eeaa644f06b.jpg.296x216.jpg', '光明新村 2室1厅 42万', '光明新村  | 2室1厅 | 52.45平米 | 南 | 其他', '中楼层(共6层)2000年建板楼  -  铁西区', '42万', '单价8008元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload4ee483e1-bb3d-46c8-8b1d-9b72db49d37e.jpg.296x216.jpg', '绿厦爵仕汇 双南卧西明厅 精装两室 不临街', '绿厦爵仕汇  | 2室1厅 | 88.62平米 | 南 西 北 | 其他', '中楼层(共6层)2011年建板楼  -  铁西区', '135万', '单价15234元/平米')
('https://image1.ljcdn.com/210100-inspection/1a06a551-5591-4cfa-8568-10b07bef17fd.jpg.296x216.jpg', '馨馨家园 3室2厅 80万', '馨馨家园  | 3室2厅 | 133.54平米 | 南 北 | 其他', '低楼层(共20层)板楼  -  铁西区', '80万', '单价5991元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload076adbaa-80c8-488e-812c-051c4ef42ea4.jpg.296x216.jpg', '第壹城G组团  三室两厅一厨两卫  精装修', '第一城G组团  | 3室2厅 | 131.68平米 | 南 北 | 其他', '低楼层(共17层)2008年建板塔结合  -  铁西区', '165万', '单价12531元/平米')
('https://image1.ljcdn.com/210100-inspection/9e38062f-4ffd-4e92-a2f3-c202423aeaa2.JPG.296x216.jpg', '华润置地公馆 2室1厅 168万', '华润置地公馆  | 2室1厅 | 103.22平米 | 南 北 | 其他', '低楼层(共47层)2015年建板楼  -  铁西区', '168万', '单价16276元/平米')
('https://image1.ljcdn.com/210100-inspection/e94b6155-74ee-41c0-bfbe-ddd12cfc4cc6.jpg.296x216.jpg', '第一城A组团 2室1厅 105万', '第一城A组团  | 2室1厅 | 90.71平米 | 东南 | 其他', '低楼层(共26层)2008年建板塔结合  -  铁西区', '105万', '单价11576元/平米')
('https://image1.ljcdn.com/210100-inspection/1705990b-f84a-4894-85fd-58ec5497465a.JPG.296x216.jpg', '华润置地公馆 铁西广场万象汇 精装标准三室两卫', '华润置地公馆  | 3室2厅 | 159.9平米 | 南 北 | 精装', '高楼层(共47层)2015年建板楼  -  铁西区', '350万', '单价21889元/平米')
('https://image1.ljcdn.com/210100-inspection/e4e2bb2a-1d37-4e29-af84-3b48174668b2.jpg.296x216.jpg', '楼层好 采光好 东南户型  交通便利', '美好愿景  | 2室1厅 | 93.22平米 | 东南 | 精装', '中楼层(共27层)板楼  -  铁西区', '85万', '单价9119元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload3e61587b-5e4b-43c4-a82f-34c7dc489a83.jpg.296x216.jpg', '君临天下三期 精装两室 园区中间 多层不临街 采光充足', '君临天下熙城桃源  | 2室2厅 | 69.97平米 | 南 西 北 | 其他', '低楼层(共6层)2008年建板楼  -  铁西区', '88万', '单价12577元/平米')
('https://image1.ljcdn.com/210100-inspection/4f1d93c7-8d5a-4c5e-8263-0e9d7a204dd0.jpg.296x216.jpg', '保工街 黎明西部风情 南北通透 两室两厅 复式', '黎明西部风情  | 2室2厅 | 82.9平米 | 东南 | 其他', '低楼层(共10层)2015年建板楼  -  铁西区', '120万', '单价14476元/平米')
('https://image1.ljcdn.com/210100-inspection/07545c46-3eb0-4da1-aa35-540ed63f1d30.jpg.296x216.jpg', '雍景豪城二期 园区内多层 南北朝向 带装修两室', '鑫丰中心里  | 2室2厅 | 108.08平米 | 南 北 | 其他', '中楼层(共6层)2015年建板楼  -  铁西区', '195万', '单价18043元/平米')
('https://image1.ljcdn.com/210100-inspection/388e39a0-4681-41f2-9ec4-dc045bbcb095.JPG.296x216.jpg', '青年居易，南向一室，顶楼带阁楼', '青年居易  | 1室1厅 | 52.95平米 | 南 | 其他', '高楼层(共6层)2004年建板楼  -  铁西区', '59.5万', '单价11238元/平米')
('https://image1.ljcdn.com/210100-inspection/f0d226c1-2132-4836-b51c-5ca86ea40a92.jpg.296x216.jpg', '今日阳光B区 3室2厅 113万', '今日阳光B区  | 3室2厅 | 145平米 | 南 北 | 其他', '低楼层(共12层)2005年建板楼  -  铁西区', '113万', '单价7794元/平米')
('https://image1.ljcdn.com/210100-inspection/aa6f120d-2cb9-437f-abaa-305ee2ba9f1d.JPG.296x216.jpg', '晶座 2室2厅 100万', '晶座  | 2室2厅 | 71平米 | 西南 | 其他', '高楼层(共31层)2012年建板楼  -  铁西区', '100万', '单价14085元/平米')
('https://image1.ljcdn.com/210100-inspection/dabe7e0d-8482-464b-af4c-0208e2c77a4d.JPG.296x216.jpg', '024全时生活体 1室1厅 76万', '024全时生活体  | 1室1厅 | 54.27平米 | 南 | 其他', '高楼层(共26层)2013年建板楼  -  铁西区', '76万', '单价14005元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadd500eb16-0e6b-412e-8b88-5a8a96cff354.jpg.296x216.jpg', '城市阳光 2室1厅 80万', '城市阳光  | 2室1厅 | 112平米 | 南 北 | 简装', '高楼层(共7层)2003年建板楼  -  铁西区', '80万', '单价7143元/平米')
('https://image1.ljcdn.com/210100-inspection/a9a286a7-4ba3-49a0-b840-42b3d49d7f91.JPG.296x216.jpg', '宏发国际名城 2室2厅 108万', '宏发国际名城  | 2室2厅 | 93.35平米 | 南 | 其他', '高楼层(共33层)2006年建板塔结合  -  铁西区', '108万', '单价11570元/平米')
('https://image1.ljcdn.com/210100-inspection/86517864-09d2-4838-956a-7f0ae2780775.JPG.296x216.jpg', '御览嘉园 2室1厅 81万', '御览嘉园  | 2室1厅 | 76.71平米 | 南 北 | 其他', '中楼层(共7层)2004年建板楼  -  铁西区', '81万', '单价10560元/平米')
('https://image1.ljcdn.com/210100-inspection/10b13a81-d3a5-4301-bff0-b4a748ba8853.jpg.296x216.jpg', '万科铁西蓝山  两室一厅一厨一卫  一楼带花园', '万科铁西蓝山  | 2室1厅 | 89.34平米 | 南 北 | 其他', '低楼层(共26层)板楼  -  铁西区', '160万', '单价17910元/平米')
('https://image1.ljcdn.com/210100-inspection/190d8988-faff-4f8c-b8ff-038d074b98e1.jpg.296x216.jpg', '新湖明珠城 不把山不临街  南北通透精装修', '新湖明珠城  | 3室2厅 | 119.73平米 | 南 北 | 其他', '高楼层(共27层)2010年建板楼  -  铁西区', '210万', '单价17540元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload0b2cfe3b-d68c-43cd-a4b4-37d70a1bbc62.jpg.296x216.jpg', '云峰街小北一路 新湖北国之春 南北朝向 不挡光', '新湖北国之春  | 2室2厅 | 91.17平米 | 南 北 | 其他', '中楼层(共11层)2004年建板楼  -  铁西区', '91万', '单价9982元/平米')
('https://image1.ljcdn.com/210100-inspection/e88f4194-db33-4a4c-928c-072da99e89d4.JPG.296x216.jpg', '君临天下杏花雅居 3室2厅 174万', '君临天下杏花雅居  | 3室2厅 | 135.55平米 | 南 北 | 其他', '低楼层(共6层)2007年建板楼  -  铁西区', '174万', '单价12837元/平米')
('https://image1.ljcdn.com/210100-inspection/fb16455d-fe8b-4c86-8573-2028398b942b.jpg.296x216.jpg', '金地名京四期 3室2厅 530万', '金地名京四期  | 3室2厅 | 169平米 | 东 南 北 | 其他', '低楼层(共5层)2012年建板楼  -  铁西区', '530万', '单价31361元/平米')
('https://image1.ljcdn.com/210100-inspection/57c13be4-d485-436d-b3f2-b9db48eb3010.jpg.296x216.jpg', '玖城乐府 2室1厅 81万', '玖城乐府  | 2室1厅 | 43平米 | 南 北 | 精装', '低楼层(共12层)2016年建板楼  -  铁西区', '81万', '单价18838元/平米')
('https://image1.ljcdn.com/210100-inspection/08ade1d7-7777-4daf-bb2e-ebd87c18fb53.JPG.296x216.jpg', '精装修，南向带20多平大花园，南北标户', '富雅豪临  | 2室2厅 | 108.93平米 | 南 北 | 精装', '低楼层(共12层)2006年建塔楼  -  铁西区', '142万', '单价13036元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload33b05ac3-6567-4449-8594-b5cb0d2c5900.JPG.296x216.jpg', '虹桥路 示范和平家园 多层的高层  精装修  采光成是好', '示范和平家园  | 2室1厅 | 88平米 | 南 北 | 其他', '高楼层(共7层)2004年建板楼  -  铁西区', '58万', '单价6591元/平米')
('https://image1.ljcdn.com/210100-inspection/489d3826-31b0-4961-ae9c-9ad05ab6c97c.JPG.296x216.jpg', '新湖北国之春 3室2厅 175万', '新湖北国之春  | 3室2厅 | 148.66平米 | 南 北 | 其他', '高楼层(共15层)2004年建板楼  -  铁西区', '175万', '单价11772元/平米')
('https://image1.ljcdn.com/210100-inspection/6465b589-3278-4f2e-b4dc-cc4d6aacf7fe.jpg.296x216.jpg', '第壹城 精装修 南北通透 启工街', '第一城B组团  | 2室2厅 | 98平米 | 南 北 | 其他', '高楼层(共27层)2008年建板塔结合  -  铁西区', '105万', '单价10715元/平米')
('https://image1.ljcdn.com/210100-inspection/ec072acc-2ea7-4378-b529-aa149f4588fa.jpg.296x216.jpg', '景丽花园小区 2室2厅 70万', '景丽花园小区  | 2室2厅 | 92.22平米 | 南 北 | 其他', '中楼层(共6层)暂无数据  -  铁西区', '70万', '单价7591元/平米')
('https://image1.ljcdn.com/210100-inspection/887d758a-7dc0-40bd-a82c-d32d30c48a54.JPG.296x216.jpg', '云峰花园 2室2厅 97万', '云峰花园  | 2室2厅 | 105.66平米 | 南 北 | 其他', '中楼层(共8层)2005年建板楼  -  铁西区', '97万', '单价9181元/平米')
('https://image1.ljcdn.com/210100-inspection/7a9306ec-9498-4c42-afe4-537831572fb3.jpg.296x216.jpg', '铁西 一环内 园区中间 不巴山不临街 三室 精装修', '新湖明珠城  | 3室1厅 | 105.33平米 | 南 北 | 其他', '低楼层(共18层)2010年建板楼  -  铁西区', '175万', '单价16615元/平米')
('https://image1.ljcdn.com/210100-inspection/1456c9ec-9614-4607-a388-b013c42a94b7.jpg.296x216.jpg', '爵士意境 2室1厅 66万', '爵士意境  | 2室1厅 | 58.8平米 | 西北 | 其他', '低楼层(共17层)暂无数据  -  铁西区', '66万', '单价11225元/平米')
('https://image1.ljcdn.com/210100-inspection/8ce9c04b-0186-4d2f-b3b6-56e9246b0a91.jpg.296x216.jpg', '金地名京四期 3室2厅 407万', '金地名京四期  | 3室2厅 | 177.05平米 | 南 北 | 其他', '低楼层(共5层)2012年建板楼  -  铁西区', '407万', '单价22988元/平米')
('https://image1.ljcdn.com/210100-inspection/25e128b2-df8d-4bde-b78b-944be8aa84b0.JPG.296x216.jpg', '青年居易 1室1厅 56万', '青年居易  | 1室1厅 | 46平米 | 南 | 其他', '高楼层(共9层)2004年建板楼  -  铁西区', '56万', '单价12174元/平米')
('https://image1.ljcdn.com/210100-inspection/a7301b8e-3424-4a2c-b3d7-0f27e182c508.jpg.296x216.jpg', '圣工园小区 2室1厅 55万', '圣工园小区  | 2室1厅 | 66.63平米 | 南 北 | 其他', '高楼层(共11层)2005年建板楼  -  铁西区', '55万', '单价8255元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload418f328c-6769-4c8d-9dd5-1d798cd9a471.jpg.296x216.jpg', '荣城花园 园区里简单装修 采光好', '荣城花园  | 1室1厅 | 60平米 | 南 北 | 其他', '中楼层(共7层)2004年建板楼  -  铁西区', '60万', '单价10000元/平米')
('https://image1.ljcdn.com/210100-inspection/ff4b7e85-3119-49e1-87e5-466a9f4f221a.jpg.296x216.jpg', '沈辽路宏发国际名城 三室户型 南向客厅 不临街不把山', '宏发国际名城  | 3室2厅 | 135平米 | 南 北 | 其他', '高楼层(共11层)2006年建板塔结合  -  铁西区', '168万', '单价12445元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadeee104f0-2f53-49a3-af91-38fd7b2b8084.jpg.296x216.jpg', '北二路 浅草绿阁六期 精装 不临街 南北通透 全明户型', '浅草绿阁六期枫丹白露  | 2室2厅 | 97.46平米 | 南 北 | 其他', '低楼层(共22层)2007年建板楼  -  铁西区', '130万', '单价13339元/平米')
('https://image1.ljcdn.com/210100-inspection/2d134e70-99f6-42e3-931b-526944fc556b.JPG.296x216.jpg', '秀水小区，交通便利，采光好，，', '秀水小区  | 2室1厅 | 64平米 | 南 北 | 其他', '中楼层(共7层)2005年建板楼  -  铁西区', '55万', '单价8594元/平米')
('https://image1.ljcdn.com/210100-inspection/6a365fd4-3395-4714-b303-3954a93da824.jpg.296x216.jpg', '景丽花园小区 2室2厅 55.5万', '景丽花园小区  | 2室2厅 | 90.22平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  铁西区', '55.5万', '单价6152元/平米')
('https://image1.ljcdn.com/210100-inspection/5afa25ff-5237-4c07-a4cb-7c88a6c94b30.jpg.296x216.jpg', '示范和平家园 2室2厅 92万', '示范和平家园  | 2室2厅 | 96平米 | 南 北 | 精装', '高楼层(共7层)2004年建板楼  -  铁西区', '92万', '单价9584元/平米')
('https://image1.ljcdn.com/210100-inspection/fdd9d789-2560-477c-817e-a3ef163e1a83.jpg.296x216.jpg', '云峰街北三路欧尚一品精装南北通透交通便利配套齐全', '欧尚一品  | 2室2厅 | 103.75平米 | 南 北 | 其他', '中楼层(共16层)2007年建板楼  -  铁西区', '125万', '单价12049元/平米')
('https://image1.ljcdn.com/210100-inspection/3e38413d-ee6c-4004-b667-901719d66367.JPG.296x216.jpg', '南北通透 房型正  格局分布合理，楼层采光好', '爵仕观邸  | 2室2厅 | 90.32平米 | 南 北 | 其他', '低楼层(共6层)2008年建板楼  -  铁西区', '149万', '单价16497元/平米')
('https://image1.ljcdn.com/210100-inspection/8c35ad4d-5c13-407c-98eb-c194c5ba6ad4.jpg.296x216.jpg', '金地名京三期 3室2厅 190万', '金地名京三期  | 3室2厅 | 123平米 | 东 南 北 | 毛坯', '高楼层(共27层)2013年建板楼  -  铁西区', '190万', '单价15448元/平米')
('https://image1.ljcdn.com/210100-inspection/5bf4ef10-9bb2-4b64-83d2-372e1675ca88.jpg.296x216.jpg', '沈辽路万达广场 精装修 三居室 不把山', '万达广场A组团  | 3室2厅 | 138.24平米 | 南 北 | 其他', '低楼层(共33层)2011年建板楼  -  铁西区', '135万', '单价9766元/平米')
('https://image1.ljcdn.com/210100-inspection/06fff1f4-9738-4d7a-a4bf-c021b0d1c771.jpg.296x216.jpg', '金地名京 精装修 小高层 公摊小', '金地名京二期  | 3室2厅 | 115.31平米 | 东南 北 | 其他', '中楼层(共9层)2012年建板楼  -  铁西区', '200万', '单价17345元/平米')
('https://image1.ljcdn.com/210100-inspection/a33443f4-53cc-4d14-bb60-1913982724dd.jpg.296x216.jpg', '第一城C组团 2室2厅 104万', '第一城C组团  | 2室2厅 | 98.96平米 | 南 北 | 其他', '低楼层(共30层)2008年建板塔结合  -  铁西区', '104万', '单价10510元/平米')
('https://image1.ljcdn.com/210100-inspection/a757e2cf-e932-4cb1-af38-b2b2633dbc01.jpg.296x216.jpg', '艺格春天 4室2厅 100万', '艺格春天  | 4室2厅 | 78平米 | 南 北 | 其他', '高楼层(共6层)2009年建板楼  -  铁西区', '100万', '单价12821元/平米')
('https://image1.ljcdn.com/210100-inspection/61d0c756-64e8-4384-8054-01f11dd94b98.jpg.296x216.jpg', '鑫丰俪城 1室1厅 55万', '鑫丰俪城  | 1室1厅 | 40平米 | 南 | 其他', '高楼层(共26层)2008年建板楼  -  铁西区', '55万', '单价13750元/平米')
('https://image1.ljcdn.com/210100-inspection/99df2cae-6889-42aa-a38b-c9ea55cd2616.jpg.296x216.jpg', '金地名京四期 3室2厅 430万', '金地名京四期  | 3室2厅 | 186.96平米 | 南 北 | 简装', '低楼层(共5层)2012年建板楼  -  铁西区', '430万', '单价23000元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload05a528d8-f185-4b3c-88b3-d0c345687e24.jpg.296x216.jpg', '铁西区 振工街 宏伟茗都 多层洋房 南北通透精装修', '宏伟茗都  | 3室2厅 | 148平米 | 南 北 | 其他', '高楼层(共6层)2000年建板楼  -  铁西区', '113万', '单价7636元/平米')
('https://image1.ljcdn.com/210100-inspection/f1b157ac-dd95-425f-af84-2e66a3663654.JPG.296x216.jpg', '四季嘉园二期 1室1厅 49万', '四季嘉园二期  | 1室1厅 | 39.45平米 | 南 | 其他', '中楼层(共16层)2007年建板楼  -  铁西区', '49万', '单价12421元/平米')
('https://image1.ljcdn.com/210100-inspection/4cc5fc5e-48d3-460f-8dcd-e79df0eec12a.jpg.296x216.jpg', '鑫丰御景华庭 2室2厅 175万', '鑫丰御景华庭  | 2室2厅 | 98.32平米 | 南 北 | 其他', '高楼层(共28层)2010年建板楼  -  铁西区', '175万', '单价17800元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadcea7a567-5d95-4304-b9c3-8c44d2aedd55.jpg.296x216.jpg', '金地名京四期，清水洋房 采光好。', '金地名京四期  | 2室2厅 | 88.52平米 | 南 北 | 其他', '高楼层(共5层)2012年建板楼  -  铁西区', '140万', '单价15816元/平米')
('https://image1.ljcdn.com/210100-inspection/5004ccf8-daea-4497-9a86-83677bb7c221.jpg.296x216.jpg', '第一城B组团 3室2厅 110万', '第一城B组团  | 3室2厅 | 112.7平米 | 东南 | 其他', '低楼层(共30层)2008年建板塔结合  -  铁西区', '110万', '单价9761元/平米')
('https://image1.ljcdn.com/210100-inspection/d5c5d229-716b-4f56-a09b-39f307992f6b.jpg.296x216.jpg', '万科金域国际，铁西广场万象汇西侧，两室一卫装修好', '万科金域国际  | 2室2厅 | 90.66平米 | 南 北 | 其他', '低楼层(共30层)2010年建板楼  -  铁西区', '135万', '单价14891元/平米')
('https://image1.ljcdn.com/210100-inspection/685d16ac-dc3b-4c99-aebf-fbb5301e05c2.jpg.296x216.jpg', '假日蓝湾 2室1厅 88万', '假日蓝湾  | 2室1厅 | 72.14平米 | 南 西 北 | 其他', '中楼层(共6层)2009年建板楼  -  铁西区', '88万', '单价12199元/平米')
('https://image1.ljcdn.com/210100-inspection/ea85b57a-173a-46e7-b1ba-c9af2e98028d.jpg.296x216.jpg', '沈辽路万达广场 两居室 南北通透', '万达广场A组团  | 2室2厅 | 113平米 | 南 北 | 其他', '高楼层(共33层)2011年建板楼  -  铁西区', '105万', '单价9293元/平米')
('https://image1.ljcdn.com/210100-inspection/41c3d1f6-418e-4f45-ba00-7890cd62583f.JPG.296x216.jpg', '万达B组团 精装三室 南北通透 拎包入住', '万达广场B组团  | 3室2厅 | 116平米 | 南 北 | 精装', '高楼层(共33层)2011年建板楼  -  铁西区', '139.2万', '单价12000元/平米')
('https://image1.ljcdn.com/210100-inspection/cab0b422-896a-489e-a1fe-656d6f880a6e.jpg.296x216.jpg', '沈辽路家乐福  洋房 万达广场后 采光好 房主诚心出售', '纳帕名门  | 3室2厅 | 129.68平米 | 南 北 | 其他', '高楼层(共6层)2013年建板楼  -  铁西区', '240万', '单价18508元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadbaee8637-7609-4360-bde5-b0a6fdfac0b4.jpg.296x216.jpg', '第壹城A组团，屋内精装修，拎包入住，装修保持好。', '第一城A组团  | 3室2厅 | 123.7平米 | 南 西 北 | 其他', '中楼层(共18层)2008年建板塔结合  -  铁西区', '119万', '单价9621元/平米')
('https://image1.ljcdn.com/210100-inspection/fd0eea82-9702-4032-a4d1-731f5bc76b3e.jpg.296x216.jpg', '亚美利加 2室1厅 108万', '亚美利加  | 2室1厅 | 94.1平米 | 南 北 | 其他', '高楼层(共27层)2009年建板楼  -  铁西区', '108万', '单价11478元/平米')
('https://image1.ljcdn.com/210100-inspection/b14fd43a-cb63-46c9-8bf2-1e42671b8eeb.JPG.296x216.jpg', '南北通透不临街不把山不挡光装修保持良好拎包入住', '宏伟金都  | 2室2厅 | 104.9平米 | 南 北 | 其他', '高楼层(共6层)2007年建板塔结合  -  铁西区', '115万', '单价10963元/平米')
('https://image1.ljcdn.com/210100-inspection/5b1e1c82-f35f-4b8c-b11e-8434b695085d.jpg.296x216.jpg', '第一城C组团 2室1厅 78万', '第一城C组团  | 2室1厅 | 72平米 | 东北 | 其他', '低楼层(共30层)2008年建板楼  -  铁西区', '78万', '单价10834元/平米')
('https://image1.ljcdn.com/210100-inspection/e6a0837d-09ae-46e6-b855-588478d90544.jpg.296x216.jpg', '云华园 南北朝向 交通便利，设施齐全 配套设施齐全', '云华园  | 2室1厅 | 71平米 | 南 北 | 其他', '中楼层(共6层)板楼  -  铁西区', '85万', '单价11972元/平米')
('https://image1.ljcdn.com/210100-inspection/e43908cb-1423-4614-859c-7957af613645.jpg.296x216.jpg', '第一城B组团 2室1厅 83万', '第一城B组团  | 2室1厅 | 82.64平米 | 东 南 北 | 其他', '高楼层(共11层)2008年建板塔结合  -  铁西区', '83万', '单价10044元/平米')
('https://image1.ljcdn.com/210100-inspection/822d9d2b-fb7d-4198-abb6-9f7a68ec8baa.JPG.296x216.jpg', '千缘爱城 1室0厅 31万', '千缘爱城  | 1室0厅 | 34.05平米 | 北 | 其他', '中楼层(共28层)2005年建板塔结合  -  铁西区', '31万', '单价9105元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadcf52b445-9239-4571-9031-eaa377688053.jpg.296x216.jpg', '爱心家园 东南西户型 普通装修 大面积三室', '爱心家园  | 3室2厅 | 184.61平米 | 东南 西 | 精装', '高楼层(共7层)2003年建板楼  -  铁西区', '102万', '单价5526元/平米')
('https://image1.ljcdn.com/210100-inspection/6b58e95f-66ed-4e48-a8b2-7955439f856a.jpg.296x216.jpg', '保利百合花园南园 1室1厅 72万', '保利百合花园南园  | 1室1厅 | 81.79平米 | 东 南 北 | 其他', '低楼层(共24层)2007年建板楼  -  铁西区', '72万', '单价8804元/平米')
('https://image1.ljcdn.com/210100-inspection/4911c839-82bd-4886-996d-ba0ad5c572be.jpg.296x216.jpg', '伯伦时代 1室1厅 54万', '伯伦时代  | 1室1厅 | 56.51平米 | 西 | 其他', '低楼层(共32层)2009年建板楼  -  铁西区', '54万', '单价9556元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload7acff792-4671-442d-9284-105041f04278.jpg.296x216.jpg', '鑫丰御景华庭 精装修 保持好  视野好采光好 中间楼层', '鑫丰御景华庭  | 2室2厅 | 95.48平米 | 西南 北 | 其他', '中楼层(共28层)2010年建板楼  -  铁西区', '122万', '单价12778元/平米')
('https://image1.ljcdn.com/210100-inspection/4c71faa6-2ff1-48a6-968e-8920f5a7792b.jpg.296x216.jpg', '第一城A组团 2室2厅 92万', '第一城A组团  | 2室2厅 | 94平米 | 西南 | 其他', '低楼层(共24层)2008年建板塔结合  -  铁西区', '92万', '单价9788元/平米')
('https://image1.ljcdn.com/210100-inspection/6e3d2fa1-b63b-434e-9ae8-d8df4a485707.jpg.296x216.jpg', '里仁居润城佳园 2室2厅 100万', '里仁居润城佳园  | 2室2厅 | 102平米 | 南 北 | 毛坯', '中楼层(共12层)2011年建板楼  -  铁西区', '100万', '单价9804元/平米')
('https://image1.ljcdn.com/210100-inspection/9c21c959-8902-4240-926d-9ad974414a56.JPG.296x216.jpg', '沈辽路万达广场 B组团 东北户型', '万达广场E组团  | 2室1厅 | 85.5平米 | 东南 | 其他', '低楼层(共33层)2011年建板楼  -  铁西区', '80万', '单价9357元/平米')
('https://image1.ljcdn.com/210100-inspection/36ee0add-1a7c-4eaf-8d0d-125f30055886.jpg.296x216.jpg', '景丽花园小区 2室2厅 30万', '景丽花园小区  | 2室2厅 | 68.32平米 | 南 北 | 其他', '高楼层(共7层)2001年建板楼  -  铁西区', '30万', '单价4392元/平米')
('https://image1.ljcdn.com/210100-inspection/a83e5a86-b8f9-435a-8dde-f599b127db67.jpg.296x216.jpg', '南北通透，3室，精装修，小高层，园区中间。', '纳帕名门  | 3室2厅 | 139.66平米 | 南 北 | 其他', '低楼层(共18层)2013年建板楼  -  铁西区', '215万', '单价15395元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadb02ec7a8-9214-4007-bf1d-4f5a3c15b0d5.jpg.296x216.jpg', '雍添金园 精装三室两卫 南北通透', '雍添金园  | 3室2厅 | 155.48平米 | 东 南 北 | 其他', '中楼层(共13层)2004年建板楼  -  铁西区', '145万', '单价9326元/平米')
('https://image1.ljcdn.com/210100-inspection/0637224f-c6ad-45d2-8760-f20109d8f11b.JPG.296x216.jpg', '云峰花园 2室2厅 72万', '云峰花园  | 2室2厅 | 78.92平米 | 南 北 | 其他', '中楼层(共8层)2005年建板楼  -  铁西区', '72万', '单价9124元/平米')
('https://image1.ljcdn.com/210100-inspection/b1711b7b-3f74-42a6-a602-bf7e43d7caee.jpg.296x216.jpg', '房子是多层的，公摊小，楼南面也是多层房源，采光好', '示范和平家园  | 2室2厅 | 94.6平米 | 南 北 | 其他', '高楼层(共7层)2004年建板楼  -  铁西区', '83万', '单价8774元/平米')
('https://image1.ljcdn.com/210100-inspection/4bdbd0c3-8115-401b-85d2-e03350eb88bb.jpg.296x216.jpg', '南北通透两室户型，采光好，通风性好，不把山不临街。', '万科润园  | 2室2厅 | 93平米 | 南 北 | 其他', '低楼层(共18层)2017年建板楼  -  铁西区', '124万', '单价13334元/平米')
('https://image1.ljcdn.com/210100-inspection/7b0d53aa-ae79-4135-b2bc-1951c31e9540.jpg.296x216.jpg', '第一城F组团 2室2厅 108万', '第一城F组团  | 2室2厅 | 105平米 | 南 北 | 其他', '高楼层(共30层)2010年建板塔结合  -  铁西区', '108万', '单价10286元/平米')
('https://image1.ljcdn.com/210100-inspection/d6f45be1-bc0d-414f-9315-0a3bd74af214.JPG.296x216.jpg', '诗波特生活园 3室2厅 120万', '诗波特生活园  | 3室2厅 | 168.68平米 | 南 北 | 其他', '高楼层(共6层)2005年建板楼  -  铁西区', '120万', '单价7115元/平米')
('https://image1.ljcdn.com/210100-inspection/948c3521-9677-4fa6-9295-52d3c44e0d91.jpg.296x216.jpg', '都城MOMA 1室1厅 57万', '都城MOMA  | 1室1厅 | 58.57平米 | 南 | 其他', '高楼层(共31层)2008年建板楼  -  铁西区', '57万', '单价9732元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload868db4ca-9d96-4dce-bd98-23ffa37e969b.JPG.296x216.jpg', '本房源满五年 采光好 封闭园区 交通便利 配套齐全', '欧尚一品  | 2室1厅 | 70.56平米 | 南 北 | 其他', '高楼层(共16层)2007年建板楼  -  铁西区', '85万', '单价12047元/平米')
('https://image1.ljcdn.com/210100-inspection/6ec34d2a-d9c2-45d7-b993-8afc669f96ad.JPG.296x216.jpg', '云鼎家园 2室2厅 99万', '云鼎家园  | 2室2厅 | 107平米 | 南 北 | 其他', '高楼层(共9层)暂无数据  -  铁西区', '99万', '单价9253元/平米')
('https://image1.ljcdn.com/210100-inspection/a788b9a3-3de8-45ce-82ec-878dbc73e84c.JPG.296x216.jpg', '城建花园 东南两室 电梯小高 精装修 拎包入住', '城建花园  | 2室2厅 | 100.95平米 | 东南 | 其他', '低楼层(共11层)1999年建板楼  -  铁西区', '98万', '单价9708元/平米')
