('https://image1.ljcdn.com/330100-inspection/2ba2f57e-745b-44b1-a42a-8263d7b9573f.jpg.296x216.jpg', '金成经典4跃5好户型，中间楼层，全明格局。', '金成花园  | 3室2厅 | 132.77平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)1998年建板楼  -  文一西路', '480万', '单价36153元/平米')
('https://image1.ljcdn.com/330100-inspection/e3f20b6c-263a-4d01-8f8b-43ae6043268d.jpg.296x216.jpg', '曙光小套，全明户型，采光充足。', '曙光新村  | 2室1厅 | 53.56平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)板楼  -  黄龙', '380万', '单价70949元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload9e2845ca-0c48-4721-8547-2a35d3436496.jpg.296x216.jpg', '翠苑二区小两室 采光好 房东诚心出售', '翠苑二区  | 2室1厅 | 56.37平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1989年建板楼  -  翠苑', '248万', '单价43996元/平米')
('https://image1.ljcdn.com/330100-inspection/2af15401-4697-448d-823e-0108d424b38b.jpg.296x216.jpg', '文二新村 2室1厅 538万', '文二新村  | 2室1厅 | 59.16平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1990年建板楼  -  学军', '538万', '单价90940元/平米')
('https://image1.ljcdn.com/330100-inspection/63497342-0a62-41cd-8a86-38183cf5d09e.JPG.296x216.jpg', '金地自在城   开发商精装修  舒适一居室', '金地自在城  | 1室1厅 | 36.94平米 | 南 | 精装 | 有电梯', '低楼层(共25层)2012年建板楼  -  三墩', '185万', '单价50082元/平米')
('https://image1.ljcdn.com/330100-inspection/b67a3477-cd38-48a2-ad61-3d1d0a102140.JPG.296x216.jpg', '视野宽阔，采光充足，户型方正，', '金地自在城  | 3室2厅 | 89平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2012年建板楼  -  三墩', '360万', '单价40450元/平米')
('https://image1.ljcdn.com/330100-inspection/421eecf8-30cb-49e9-a764-d0b099bdeec8.jpg.296x216.jpg', '绿城开发，绿城物业，高标准，高品质', '西溪诚园致诚苑  | 3室2厅 | 135.13平米 | 南 北 | 精装 | 有电梯', '中楼层(共14层)2015年建板楼  -  西溪', '990万', '单价73263元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload72e6fbb7-b877-4cf2-a687-b26dcb08fe60.jpg.296x216.jpg', '翠苑一区，三房 ，56.2平，285万，带大院子。', '翠苑一区  | 3室1厅 | 56.2平米 | 南 | 简装 | 无电梯', '低楼层(共7层)1988年建板楼  -  翠苑', '285万', '单价50712元/平米')
('https://image1.ljcdn.com/330100-inspection/c2436248-7cc9-4a7e-85c3-3431a2744ace.jpg.296x216.jpg', '文二路 学军 3房 自住 诚心出售', '文二路21号  | 3室1厅 | 75.6平米 | 南 北 | 简装 | 无电梯', '高楼层(共5层)1982年建板楼  -  学军', '600万', '单价79366元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploadd4b9e578-5398-409a-8723-37df007a21be.JPG.296x216.jpg', '西湖区 润达花园 精装修 大三房', '润达花园  | 3室2厅 | 89.34平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)1997年建板楼  -  三墩', '298万', '单价33356元/平米')
('https://image1.ljcdn.com/330100-inspection/379e4b72-06cd-4eb9-ab56-3733f1cf519f.jpg.296x216.jpg', '金祝新村 2室1厅 350万', '金祝新村  | 2室1厅 | 58.15平米 | 南 | 简装 | 无电梯', '中楼层(共5层)1982年建板楼  -  黄龙', '350万', '单价60190元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload88b4fcdc-62b4-4f3b-bd5a-0fc93adfbb0c.jpg.296x216.jpg', '绿城西溪诚园 精装修 学籍不占用 看房方便有车位', '西溪诚园致诚苑  | 2室2厅 | 89.29平米 | 南 | 精装 | 有电梯', '中楼层(共14层)2015年建板楼  -  西溪', '649万', '单价72685元/平米')
('https://image1.ljcdn.com/330100-inspection/b8a7b53c-52a9-4c83-9b79-7b1bc3a8bd97.JPG.296x216.jpg', '金地自在城好房，没住过人，送同等面积89方地下室', '金地自在城  | 3室2厅 | 89平米 | 南 | 精装 | 有电梯', '低楼层(共26层)2012年建板楼  -  三墩', '390万', '单价43821元/平米')
('https://image1.ljcdn.com/330100-inspection/46208e7f-ddc4-4dab-a66e-6228bef4101d.jpg.296x216.jpg', '翠苑五区 小区里面位置 楼层中间位置 采光不错', '翠苑五区  | 3室1厅 | 105.26平米 | 南 | 简装 | 有电梯', '中楼层(共18层)1998年建板楼  -  翠苑', '440万', '单价41802元/平米')
('https://image1.ljcdn.com/330100-inspection/6ecc6a6d-1c36-4caf-a376-425f636b0f0c.jpg.296x216.jpg', '耀江文鼎苑 3室1厅 930万', '耀江文鼎苑  | 3室1厅 | 130.14平米 | 南 | 其他 | 有电梯', '中楼层(共18层)2007年建板塔结合  -  申花', '930万', '单价71462元/平米')
('https://image1.ljcdn.com/330100-inspection/test-35367a6b-3fff-4821-ba61-9382072c246b.png.296x216.jpg', '世贸丽晶城国际公寓 配套成熟  住得舒心', '世贸丽晶城欧美中心  | 1室1厅 | 56.41平米 | 东北 | 精装 | 有电梯', '中楼层(共24层)2006年建板楼  -  九莲', '170万', '单价30137元/平米')
('https://image1.ljcdn.com/330100-inspection/ae6b4082-b8e6-4571-99ec-23d69259b26f.jpg.296x216.jpg', '嘉绿苑大 房东诚心出售 单价低 中间楼层采光好', '嘉绿北苑  | 4室2厅 | 121.3平米 | 东 | 简装 | 无电梯', '中楼层(共6层)1998年建板楼  -  嘉绿', '495万', '单价40808元/平米')
('https://image1.ljcdn.com/330100-inspection/75bf694c-0b2c-4270-a0d0-a00e2de83441.jpg.296x216.jpg', '97年大套，精装修改善房，交通便利近西湖', '天目山路101号  | 3室1厅 | 102平米 | 南 北 | 精装', '中楼层(共7层)板楼  -  黄龙', '590万', '单价57844元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload6eb7f07a-38ec-44d3-b2a4-3fe741c2446d.jpg.296x216.jpg', '保小  好楼层 朝向好 诚心卖的 精装修 大三房', '武林花园  | 3室2厅 | 89.97平米 | 南 北 | 精装 | 无电梯', '中楼层(共7层)1999年建板楼  -  文三', '515万', '单价57242元/平米')
('https://image1.ljcdn.com/330100-inspection/cddbaca0-44ad-4cf9-a40d-19612d10f50e.jpg.296x216.jpg', '双卧朝南 中间楼层 配套设施齐全', '翠苑一区  | 2室1厅 | 49.35平米 | 南 | 精装 | 无电梯', '低楼层(共7层)1988年建板楼  -  翠苑', '248万', '单价50254元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploadf6e5b4b0-a622-408e-8177-9e12ceb2a2be.jpg.296x216.jpg', '低总价 中楼层 正两房 嘉绿板块', '文一西路77号  | 2室1厅 | 75.88平米 | 南 | 简装', '中楼层(共6层)暂无数据  -  嘉绿', '310万', '单价40854元/平米')
('https://image1.ljcdn.com/330100-inspection/c5c60c84-11df-4001-92a5-737b6656cd1d.jpg.296x216.jpg', '紫金公寓  温馨两居室 不沿马路', '紫金公寓  | 2室1厅 | 63.14平米 | 南 北 | 简装 | 无电梯', '低楼层(共7层)1996年建板楼  -  文三西路', '258万', '单价40862元/平米')
('https://image1.ljcdn.com/330100-inspection/test-db351ac2-ff4b-4969-ad98-c8b7c22a78b9.png.296x216.jpg', '篁外满两年 三房 赠送面积多 中上楼层采光好双阳台', '中海定山府  | 2室2厅 | 89平米 | 南 | 简装 | 有电梯', '高楼层(共17层)2010年建板楼  -  转塘', '335万', '单价37641元/平米')
('https://image1.ljcdn.com/330100-inspection/d6ce402f-2116-4907-9067-3f0322cad5bc.jpg.296x216.jpg', '精装修大三房 全实木家具 拎包入住', '圣苑小区  | 3室2厅 | 115平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2008年建塔楼  -  申花', '670万', '单价58261元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload77cfd920-296f-4503-91a6-438442670fc3.JPG.296x216.jpg', '大三房，好楼层，户型方正，采光充足。', '厚诚路  | 3室2厅 | 89.5平米 | 南 | 精装', '中楼层(共6层)板塔结合  -  三墩', '265万', '单价29609元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload5939b86a-8f25-45a3-98bf-ba1d3b9c7ce6.JPG.296x216.jpg', '纯毛坯 满2年 物业有钥匙 随时看房', '众安白马山庄  | 3室2厅 | 139.5平米 | 南 北 | 毛坯 | 有电梯', '中楼层(共33层)2015年建板塔结合  -  小和山', '370万', '单价26524元/平米')
('https://image1.ljcdn.com/330100-inspection/test-1cdcc155-65ab-422a-991e-2c177a46c561.png.296x216.jpg', '金田花园 精装两室 全明户型 欧式风格 不沿街 随时看', '金田花园  | 2室2厅 | 80.27平米 | 南 | 精装 | 无电梯', '高楼层(共7层)1996年建板楼  -  文三西路', '320万', '单价39866元/平米')
('https://image1.ljcdn.com/330100-inspection/2ec1c8db-5ccf-460b-9571-f3b61af9a6a3.jpg.296x216.jpg', '都市水乡水秀苑 西湖区 三房边套户型 楼层好 采光足', '都市水乡水秀苑  | 4室1厅 | 91.9平米 | 南 | 简装 | 有电梯', '低楼层(共19层)2006年建板楼  -  三墩', '315万', '单价34277元/平米')
('https://image1.ljcdn.com/330100-inspection/e458daa2-419a-4e63-b11c-3abe82a917fa.jpg.296x216.jpg', '世纪新城大三房，户型正气西边套', '世纪新城东区  | 3室2厅 | 138.11平米 | 南 北 | 精装 | 有电梯', '高楼层(共18层)2005年建板楼  -  嘉绿', '720万', '单价52133元/平米')
('https://image1.ljcdn.com/330100-inspection/test-39d9590b-e847-42d7-ad53-5726c38fc6b3.png.296x216.jpg', '五区电梯房，通透性好，全明户型，看房随时', '翠苑五区  | 2室1厅 | 65.25平米 | 东南 北 | 简装 | 有电梯', '高楼层(共18层)1998年建板楼  -  翠苑', '260万', '单价39847元/平米')
('https://image1.ljcdn.com/330100-inspection/0025fc2e-ed22-46a4-a12e-0e3b982ea337.jpg.296x216.jpg', '翠苑二区 大2房 两房朝南 厨卫全明 闹中取静 采光好', '翠苑二区  | 2室1厅 | 59.96平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1989年建板楼  -  翠苑', '265万', '单价44197元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload45923105-ce7b-4abf-b68c-01c453d8a38a.jpg.296x216.jpg', '浙大旁 精装跃层 房东诚心出售 拎包入住', '望月公寓  | 3室2厅 | 121平米 | 南 | 简装 | 有电梯', '高楼层(共6层)2000年建板楼  -  申花', '400万', '单价33058元/平米')
('https://image1.ljcdn.com/330100-inspection/6797e9a1-e6cc-48a5-8d10-70127ddfc7f9.jpg.296x216.jpg', '南都花园经典小三房楼层好采光好', '南都花园一区  | 3室1厅 | 76.21平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1996年建板楼  -  文一西路', '350万', '单价45926元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploadf712e44c-ae99-452f-ba48-70ba9c9c2e83.jpg.296x216.jpg', '装修比较清爽，  可以拎包入住', '绿洲湾  | 3室2厅 | 94平米 | 南 | 简装 | 无电梯', '中楼层(共6层)2000年建板楼  -  文一西路', '400万', '单价42554元/平米')
('https://image1.ljcdn.com/330100-inspection/4a956d46-cae6-426b-87b5-7c0ff825a6c0.jpg.296x216.jpg', '户型好 主卧朝南 厅朝南 得房高 开发商精装拎包入住', '万科坤和玉泉  | 2室2厅 | 70.7平米 | 南 | 精装', '低楼层(共13层)2017年建板楼  -  西溪', '380万', '单价53749元/平米')
('https://image1.ljcdn.com/330100-inspection/ea42ff28-60c3-4531-8914-1fc5c9adaae5.jpg.296x216.jpg', '大三房，两房朝南，两卫，南北通透，采光好', '金田花园  | 3室2厅 | 124.95平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1998年建板楼  -  文三西路', '455万', '单价36415元/平米')
('https://image1.ljcdn.com/330100-inspection/d68caf4c-2337-4264-b4cc-282d67e35ae6.jpg.296x216.jpg', '中间楼层 采光视野好 精装修 拎包入住。', '嘉绿北苑  | 2室1厅 | 71.4平米 | 南 | 精装 | 无电梯', '中楼层(共7层)1998年建板楼  -  嘉绿', '380万', '单价53222元/平米')
('https://image1.ljcdn.com/330100-inspection/47a721ef-d5e0-4c95-8ae1-06874efee197.jpg.296x216.jpg', '城北商贸园，中间楼层，位置不沿街。', '城北商贸园  | 3室2厅 | 93.7平米 | 东 西 北 | 简装 | 无电梯', '中楼层(共5层)1997年建板楼  -  申花', '550万', '单价58698元/平米')
('https://image1.ljcdn.com/330100-inspection/21cdb3b2-0aa9-4fad-be20-b1895c7676bd.jpg.296x216.jpg', '广宇西城年华 2室2厅 520万', '广宇西城年华  | 2室2厅 | 99.61平米 | 南 | 精装 | 有电梯', '高楼层(共26层)2007年建板塔结合  -  申花', '520万', '单价52204元/平米')
('https://image1.ljcdn.com/330100-inspection/70189261-4636-464a-881f-e58e10d7e1b6.jpg.296x216.jpg', '沁雅花园小区环境优美  景观设计合理', '沁雅花园  | 3室2厅 | 118.73平米 | 南 | 简装 | 有电梯', '中楼层(共18层)2002年建塔楼  -  文三西路', '510万', '单价42955元/平米')
('https://image1.ljcdn.com/330100-inspection/979708f2-2217-48f5-9373-bc12782b5324.jpg.296x216.jpg', '两房朝南，一房朝北，带院子。。。', '曙光新村  | 3室1厅 | 57.38平米 | 南 | 简装 | 无电梯', '低楼层(共6层)板楼  -  黄龙', '408万', '单价71105元/平米')
('https://image1.ljcdn.com/330100-inspection/e15b9345-57ee-495d-bace-42d3be60c7b9.jpg.296x216.jpg', '南北通透 没有税 采光好 视野好 诚心出售', '外东山弄  | 2室1厅 | 61.11平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1987年建板楼  -  黄龙', '420万', '单价68729元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload22f42533-6776-40ed-84b3-bb59aa6f4c23.jpg.296x216.jpg', '小区不多的小户型，总价低！！！！', '城市心境  | 1室2厅 | 72.72平米 | 南 | 精装 | 有电梯', '低楼层(共12层)2004年建板楼  -  文三西路', '310万', '单价42630元/平米')
('https://image1.ljcdn.com/330100-inspection/deb8fd96-e9ee-443f-91f7-6b1c855655dc.jpg.296x216.jpg', '求是小套，带院子，自住读书，总价低。', '求是村  | 2室1厅 | 45平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1988年建板楼  -  黄龙', '360万', '单价80000元/平米')
('https://image1.ljcdn.com/330100-inspection/439c3d73-fedc-4a93-a688-74b662428f1c.jpg.296x216.jpg', '两房朝南，双阳台对着城市芯宇，房东诚心卖房！', '华门自由21世纪  | 2室2厅 | 104.5平米 | 南 | 简装 | 有电梯', '中楼层(共27层)2002年建塔楼  -  文教', '446万', '单价42680元/平米')
('https://image1.ljcdn.com/330100-inspection/f182e8ca-1d3b-48b7-a51b-b01d27c2858b.jpg.296x216.jpg', '电梯房，经典三房，小区绿化好，中间楼层', '颐景园  | 3室1厅 | 103.27平米 | 南 | 简装 | 有电梯', '中楼层(共11层)2000年建板楼  -  文三西路', '485万', '单价46965元/平米')
('https://image1.ljcdn.com/330100-inspection/b21bea57-2618-4ab4-a49c-04ad678e7a86.jpg.296x216.jpg', '南都花园优质房子刚需过度的推荐房源', '南都花园三区  | 2室2厅 | 67.61平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1996年建板楼  -  文一西路', '285万', '单价42154元/平米')
('https://image1.ljcdn.com/330100-inspection/bb068581-ff49-4730-850c-23386c0da377.JPG.296x216.jpg', '金源公寓 2室2厅 215万', '金源公寓  | 2室2厅 | 67.11平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1996年建板楼  -  三墩', '215万', '单价32037元/平米')
('https://image1.ljcdn.com/330100-inspection/13a2dd49-e099-4cd2-8ea6-e01c9954c0f8.jpg.296x216.jpg', '学军十三中两房，一南一北户型。', '马塍路32号  | 2室1厅 | 67.2平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1995年建塔楼  -  学军', '510万', '单价75893元/平米')
('https://image1.ljcdn.com/330100-inspection/test-dd66e2de-68eb-4acc-ba65-871b3601af4b.png.296x216.jpg', '莲花港家园 南北通透三居室   两房朝南采光棒', '莲花港家园  | 3室2厅 | 97.82平米 | 南 | 简装 | 无电梯', '低楼层(共6层)2000年建板楼  -  嘉绿', '440万', '单价44981元/平米')
('https://image1.ljcdn.com/330100-inspection/ecd84972-fd4c-409d-8855-78d10aaf710a.jpg.296x216.jpg', '明珠公寓 通透三居室 诚意出售', '明珠公寓  | 3室2厅 | 121.96平米 | 南 | 简装 | 无电梯', '中楼层(共6层)2001年建板楼  -  翠苑', '550万', '单价45097元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload89664cb4-d32f-4de7-abb7-66a5537c73e8.JPG.296x216.jpg', '三墩颐景园大户型，户型好的 比较方正 小区配套成熟', '三墩颐景园  | 3室2厅 | 122平米 | 南 北 | 简装 | 有电梯', '低楼层(共10层)2004年建板楼  -  三墩', '375万', '单价30738元/平米')
('https://image1.ljcdn.com/330100-inspection/5b6cdff7-f39b-4992-9b2c-e1ab4a38ed2f.JPG.296x216.jpg', '房东诚心出售，电梯房，配套齐全，采光好', '金地自在城  | 3室1厅 | 88.41平米 | 南 北 | 精装 | 有电梯', '高楼层(共26层)2012年建板楼  -  三墩', '375万', '单价42417元/平米')
('https://image1.ljcdn.com/330100-inspection/29490456-3692-4d2b-8f92-09abcea95e7f.jpg.296x216.jpg', '武林门新村 2室1厅 450万', '武林门新村  | 2室1厅 | 67.13平米 | 南 | 精装 | 无电梯', '低楼层(共6层)1984年建板楼  -  文三', '450万', '单价67035元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload556d2342-5036-400b-8e89-2d8159329b33.jpg.296x216.jpg', '金色蓝庭 东边套 视野好 精装三房', '金色蓝庭  | 3室2厅 | 88.57平米 | 南 北 | 精装 | 有电梯', '中楼层(共21层)2010年建板楼  -  嘉绿', '570万', '单价64356元/平米')
('https://image1.ljcdn.com/330100-inspection/33200028-39d6-447c-90af-dbc403d5f562.jpg.296x216.jpg', '赞成岭上、精装修、诚心出售、满两年', '赞成岭上花苑  | 4室2厅 | 154.35平米 | 南 | 精装 | 有电梯', '低楼层(共16层)2009年建板楼  -  转塘', '450万', '单价29155元/平米')
('https://image1.ljcdn.com/330100-inspection/c042ef53-554b-45e6-801f-a8768956e7e3.jpg.296x216.jpg', '沁雅花园 2室1厅 356万', '沁雅花园  | 2室1厅 | 74.2平米 | 南 | 简装 | 无电梯', '高楼层(共6层)2000年建板楼  -  文三西路', '356万', '单价47979元/平米')
('https://image1.ljcdn.com/330100-inspection/5b420276-58a3-4fa5-9262-347040e0d7b5.JPG.296x216.jpg', '白马尊邸86方大两房，业主诚心出售', '白马尊邸  | 2室2厅 | 85平米 | 南 | 简装 | 有电梯', '高楼层(共18层)2009年建塔楼  -  三墩', '310万', '单价36471元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload77c1780c-a944-4129-8dee-063e5daaabfb.jpg.296x216.jpg', '府新花园  中间花园位置  飞机户型  三开间朝南', '府新花园东区  | 3室2厅 | 89.92平米 | 南 | 简装 | 无电梯', '低楼层(共5层)板楼  -  文三西路', '470万', '单价52269元/平米')
('https://image1.ljcdn.com/330100-inspection/test-98ecc1ef-bda8-49c9-ab76-b41ee4be579f.png.296x216.jpg', '为你而选为你为家 金厦公寓2房，房东诚心出租价格可谈', '金厦公寓  | 2室1厅 | 71.92平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1998年建板楼  -  三墩', '268万', '单价37264元/平米')
('https://image1.ljcdn.com/330100-inspection/b7019a40-f3b4-40cf-893f-c0f3ef287010.jpg.296x216.jpg', '学军新上房源，带大客厅，居住适宜', '马塍路32号  | 2室2厅 | 73.67平米 | 南 | 精装 | 无电梯', '高楼层(共7层)1995年建板楼  -  学军', '600万', '单价81445元/平米')
('https://image1.ljcdn.com/330100-inspection/test-d9194caa-3d8b-47bb-8455-555ef600c047.png.296x216.jpg', '西湖区总价低的大三房，南北双阳台，户型正气。', '白马尊邸  | 3室2厅 | 116.67平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2009年建塔楼  -  三墩', '420万', '单价35999元/平米')
('https://image1.ljcdn.com/330100-inspection/4a5b8194-9fdf-454e-b9d0-9743d5314da2.jpg.296x216.jpg', '精装修学军3房，学军不过马路，业主诚心出售', '日晖新村  | 3室1厅 | 68.47平米 | 南 北 | 精装 | 无电梯', '中楼层(共5层)1982年建板楼  -  学军', '580万', '单价84709元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload143a14cb-3033-4848-a83c-99e50120f060.jpg.296x216.jpg', '50万精装装  飞机户型    多层的3楼', '康乐新村  | 3室2厅 | 106.99平米 | 南 | 精装 | 无电梯', '中楼层(共7层)1996年建板楼  -  文三西路', '480万', '单价44865元/平米')
('https://image1.ljcdn.com/330100-inspection/0d2dc2f0-d155-4d42-a207-e3fe19d66e02.jpg.296x216.jpg', '坤和西溪里  精装修 品质保证 自住装修 拎包入住', '坤和西溪里  | 3室2厅 | 88平米 | 南 北 | 精装 | 有电梯', '低楼层(共15层)2011年建板楼  -  西溪', '435万', '单价49432元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploadff2eaf63-0b16-4848-8030-202a5c45292a.jpg.296x216.jpg', '个税，精装修，交通方便，诚心出售。', '丽阳苑  | 2室2厅 | 89平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2009年建塔楼  -  申花', '460万', '单价51686元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploada85fd789-f7e1-43c5-8970-45687f9157c9.jpg.296x216.jpg', '西荡苑3房，西边套，可拎包入住！！！', '西荡苑桃苑  | 3室2厅 | 82.32平米 | 南 | 精装 | 无电梯', '中楼层(共7层)2003年建板楼  -  文三西路', '395万', '单价47984元/平米')
('https://image1.ljcdn.com/330100-inspection/70e57d7a-7976-43fb-9952-c0d5daea0907.jpg.296x216.jpg', '此房是房东自住的装修，现在置换诚心出售', '名仕家园  | 3室2厅 | 130.06平米 | 南 | 精装 | 无电梯', '低楼层(共6层)2001年建板楼  -  文一西路', '710万', '单价54591元/平米')
('https://image1.ljcdn.com/330100-inspection/test-d0893660-c874-4fcd-9c5e-6609495f63f0.png.296x216.jpg', '颐景园总价低采光好位置佳好房子', '颐景园  | 3室1厅 | 85.89平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)2000年建板楼  -  文三西路', '415万', '单价48318元/平米')
('https://image1.ljcdn.com/330100-inspection/a33bfbf1-e246-4a54-9204-fe9da6a154e6.jpg.296x216.jpg', '全明西边套 业主诚心卖 产权清晰 精装修', '文三新村  | 2室1厅 | 60.6平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1988年建板楼  -  文三', '460万', '单价75908元/平米')
('https://image1.ljcdn.com/330100-inspection/1df3f133-b842-48a2-b1cb-af13096a3e7e.jpg.296x216.jpg', '西城美墅3居室全明格局西边户业主诚心出售', '广宇西城美墅  | 3室1厅 | 88.74平米 | 南 西 | 精装 | 有电梯', '低楼层(共24层)2008年建塔楼  -  申花', '530万', '单价59726元/平米')
('https://image1.ljcdn.com/330100-inspection/test-473088ea-0755-4d8c-97d9-a8f7fe41e45a.png.296x216.jpg', '浙工大之江校区宿舍，沿河景观 三楼东边套，三房急售', '浙江工业大学之江校区宿舍  | 3室1厅 | 75.86平米 | 东 南 北 | 精装 | 无电梯', '中楼层(共6层)1996年建板楼  -  之江', '266万', '单价35065元/平米')
('https://image1.ljcdn.com/330100-inspection/580812ba-9410-427f-8cff-d9f15caa5cc2.jpg.296x216.jpg', '协安上郡大两房自住精装修不临街业主诚心出售', '上郡  | 2室2厅 | 89.31平米 | 南 | 精装 | 有电梯', '高楼层(共16层)2010年建塔楼  -  申花', '460万', '单价51506元/平米')
('https://image1.ljcdn.com/330100-inspection/41a41fa9-0aa9-431d-92a2-4f3bad0e7227.JPG.296x216.jpg', '金地自在城 精装修60万 带地下室', '金地自在城  | 3室2厅 | 89.92平米 | 南 北 | 精装 | 有电梯', '低楼层(共18层)2012年建板楼  -  三墩', '460万', '单价51157元/平米')
('https://image1.ljcdn.com/330100-inspection/5ddb810b-7b2a-4ddb-836a-3b0bbdaa7816.JPG.296x216.jpg', '浪漫和山带100多方空中花园 精装 诚售', '浪漫和山  | 4室2厅 | 147.42平米 | 南 | 精装 | 有电梯', '低楼层(共11层)2003年建板楼  -  小和山', '400万', '单价27134元/平米')
('https://image1.ljcdn.com/330100-inspection/0d661821-02a9-48e2-a9a1-9479fedf1b8e.jpg.296x216.jpg', '枫华府第新上西边套，中式装修，包车位', '枫华府第  | 3室2厅 | 150.89平米 | 南 | 精装 | 有电梯', '中楼层(共25层)2008年建板楼  -  翠苑', '930万', '单价61635元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload8ec9d7ef-94a1-4026-9201-84f6e0999b4e.jpg.296x216.jpg', '新上中间楼层，单价低的嘉绿苑好房', '富丽苑  | 2室2厅 | 89.44平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1998年建板楼  -  嘉绿', '375万', '单价41928元/平米')
('https://image1.ljcdn.com/330100-inspection/test-efa81c9a-1e49-4dd0-8374-73e8d8cccc30.png.296x216.jpg', '三墩美都公寓 70年产权住宅 07年小区电梯房', '三墩美都公寓  | 2室2厅 | 83.71平米 | 南 北 | 简装 | 有电梯', '中楼层(共11层)2004年建板楼  -  三墩', '300万', '单价35839元/平米')
('https://image1.ljcdn.com/330100-inspection/f4836723-703d-4d7e-a0cb-825c7a8fcb65.jpg.296x216.jpg', '香樟公寓 南北空气对流 大三房', '香樟公寓  | 3室2厅 | 122.87平米 | 南 | 简装 | 无电梯', '高楼层(共6层)2000年建板楼  -  文三西路', '628万', '单价51111元/平米')
('https://image1.ljcdn.com/330100-inspection/4dd027bb-8fc4-4942-aa6b-376bcb091868.jpg.296x216.jpg', '翠苑四区，精装小两房，拎包入住', '翠苑四区  | 2室1厅 | 43.5平米 | 西 | 精装 | 无电梯', '低楼层(共7层)1993年建塔楼  -  翠苑', '181万', '单价41610元/平米')
('https://image1.ljcdn.com/330100-inspection/9ee73d9d-9af2-4285-8e40-bc835e629d3e.jpg.296x216.jpg', '古荡新村东区 2室2厅 245万', '古荡新村东区  | 2室2厅 | 59.95平米 | 南 | 其他 | 无电梯', '中楼层(共6层)1991年建板楼  -  古荡', '245万', '单价40868元/平米')
('https://image1.ljcdn.com/330100-inspection/test-0f8573b6-5987-4eb1-a5b5-596aabbb46e8.png.296x216.jpg', '全明小户，三口之家。南北通透，云端视野，平视山川', '金海公寓  | 3室1厅 | 52.84平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1996年建板楼  -  文三西路', '258万', '单价48827元/平米')
('https://image1.ljcdn.com/330100-inspection/test-763dca0f-5577-4dd7-98c8-89fd93f67ae1.png.296x216.jpg', '云溪香山 经典宽敞三房 采光好 楼层好 东边套', '云溪香山  | 3室2厅 | 128.36平米 | 南 | 简装 | 无电梯', '中楼层(共6层)2008年建板楼  -  转塘', '430万', '单价33500元/平米')
('https://image1.ljcdn.com/330100-inspection/fded539e-4f2d-4f30-9e4e-eae436d17f9e.jpg.296x216.jpg', '省委党校里少有的商品房，2006年交付的小高层', '溪畔花园  | 3室2厅 | 138.41平米 | 南 | 其他 | 有电梯', '中楼层(共11层)2005年建板楼  -  文教', '775万', '单价55994元/平米')
