('https://image1.ljcdn.com/330100-inspection/df63673a-b304-46da-a708-6c0f9c85ab3a.jpg.296x216.jpg', '降低身价，只为遇见你，急降40万诚心卖', '钱塘景苑  | 4室2厅 | 171.5平米 | 南 北 | 简装 | 有电梯', '中楼层(共12层)2000年建板楼  -  彩虹城', '630万', '单价36735元/平米')
('https://image1.ljcdn.com/330100-inspection/test-6cff7d90-57ba-4ac5-b48a-57b2c73c4584.png.296x216.jpg', '次新小区 开发商精装修 房东诚心卖', '世茂之西湖  | 1室1厅 | 46.07平米 | 西南 | 精装 | 有电梯', '33层2015年建板楼  -  彩虹城', '160万', '单价34730元/平米')
('https://image1.ljcdn.com/330100-inspection/b2fdbbdb-6b28-48e3-9bc5-a4ee1d1a0543.jpg.296x216.jpg', '此房满五年税费少，格局好，边套，全明户型', '银爵世纪公寓  | 3室2厅 | 139.22平米 | 南 | 简装 | 有电梯', '低楼层(共32层)2008年建板楼  -  浦沿', '450万', '单价32323元/平米')
('', '贺田二期大四房四阳边套台全明户型带车位', '贺田尚城  | 4室2厅 | 184平米 | 南 | 简装 | 有电梯', '低楼层(共11层)2003年建板楼  -  浦沿', '700万', '单价38044元/平米')
('https://image1.ljcdn.com/330100-inspection/a345b025-7590-4aa8-9951-51a4307544a8.jpg.296x216.jpg', '次新小区 四房两卫 低总价 业主诚心卖', '中南白马湖壹号  | 4室2厅 | 121.37平米 | 南 | 简装', '中楼层(共18层)2017年建板楼  -  白马湖', '410万', '单价33782元/平米')
('https://image1.ljcdn.com/330100-inspection/e6989289-cc26-46d6-8222-8ee5bbaf04f1.JPG.296x216.jpg', '瑞立东方花城  三开间朝南  地铁口现房  次新房', '瑞立东方花城  | 2室2厅 | 89平米 | 南 | 简装 | 有电梯', '高楼层(共24层)2015年建板楼  -  西兴', '395万', '单价44383元/平米')
('https://image1.ljcdn.com/330100-inspection/5dc7c8fc-20ca-4f06-87a5-41a69d14cc0a.JPG.296x216.jpg', '风雅钱塘 2室2厅 500万', '风雅钱塘  | 2室2厅 | 101.7平米 | 南 | 精装 | 有电梯', '中楼层(共32层)2006年建板楼  -  滨江区政府', '500万', '单价49165元/平米')
('https://image1.ljcdn.com/330100-inspection/16ee0602-3fc6-48b9-9c3c-4dde802795db.jpg.296x216.jpg', '一线江景四房视野开阔边套送露台。实际面积有120平', '中海钱塘山水  | 4室2厅 | 89平米 | 东 南 | 精装 | 有电梯', '中楼层(共32层)2009年建板楼  -  浦沿', '460万', '单价51686元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/788463ce-fde9-43df-aa75-963468aabd5b.png.280x210.jpg', '次新房  赠送面积大  地铁口', '玲珑府  | 3室2厅 | 73.6平米 | 南 | 简装 | 有电梯', '中楼层(共29层)2016年建板楼  -  西兴', '385万', '单价52310元/平米')
('https://image1.ljcdn.com/330100-inspection/fdba0519-ad32-4815-9f8d-d631ebd7954d.JPG.296x216.jpg', '南岸晶都底跃，大户型，诚心出售', '南岸晶都花园  | 4室2厅 | 219.41平米 | 南 北 | 简装 | 有电梯', '低楼层(共18层)2007年建板楼  -  长河', '720万', '单价32816元/平米')
('https://image1.ljcdn.com/330100-inspection/test-c9765fa9-209b-4a0f-b398-436bb7545a4b.png.296x216.jpg', '满五唯一 业主诚售 大三房 视野好 东边套', '彩虹城  | 3室2厅 | 148平米 | 东南 | 精装 | 有电梯', '中楼层(共20层)2007年建板楼  -  彩虹城', '700万', '单价47298元/平米')
('https://image1.ljcdn.com/330100-inspection/9119e012-cf6d-44de-805e-b03d0131e8eb.JPG.296x216.jpg', '一线江景，中高楼层，大三房，震撼来袭', '同人春江时代花园  | 3室2厅 | 171.39平米 | 南 北 | 简装 | 有电梯', '中楼层(共33层)2008年建板楼  -  长河', '810万', '单价47261元/平米')
('https://image1.ljcdn.com/330100-inspection/0ba148af-edd3-4068-a4d1-a9b901c2ddee.JPG.296x216.jpg', '奥体板块 龙湖春江彼岸 送精装修 送车位', '龙湖春江彼岸  | 3室2厅 | 89平米 | 南 | 精装 | 有电梯', '中楼层(共33层)2015年建板楼  -  奥体', '600万', '单价67416元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploadf73cceb3-d2ca-40ae-ab9e-a18ef2067cf9.JPG.296x216.jpg', '房东诚心出售。楼层高，江景房，视野开阔，位置优越', '融创杭州印  | 1室1厅 | 88.95平米 | 西南 西 | 其他', '中楼层(共39层)2017年建板楼  -  滨江区政府', '340万', '单价38224元/平米')
('https://image1.ljcdn.com/330100-inspection/71d7d03e-e996-48e2-83b5-3322effbd4df.jpg.296x216.jpg', '江南文苑 2室2厅 390万', '江南文苑  | 2室2厅 | 88.82平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2010年建板楼  -  浦沿', '390万', '单价43910元/平米')
('https://image1.ljcdn.com/330100-inspection/7ec04f11-e892-4f6a-ac0a-3b4a75c031cd.JPG.296x216.jpg', '兴盛花园大三房楼层适中看房方便；拎包入住', '兴盛花园  | 3室1厅 | 120.15平米 | 南 | 其他 | 无电梯', '中楼层(共5层)2004年建板楼  -  西兴', '420万', '单价34957元/平米')
('https://image1.ljcdn.com/330100-inspection/22a3e282-70e5-4704-bb52-f43c9bdb2b40.JPG.296x216.jpg', '鑫都汇边套精装loft公寓，拎包入住', '兴耀鑫都汇  | 2室1厅 | 52平米 | 西南 西 | 其他', '高楼层(共20层)2016年建板楼  -  西兴', '220万', '单价42308元/平米')
('https://image1.ljcdn.com/330100-inspection/851fedd0-075d-4676-aeef-80cf92c2ce21.JPG.296x216.jpg', '寰宇D区小户型能看江精装修夹边套 业主房子已买好诚售', '寰宇天下  | 2室2厅 | 89.57平米 | 南 | 精装 | 有电梯', '中楼层(共29层)2014年建板楼  -  滨江区政府', '520万', '单价58056元/平米')
('https://image1.ljcdn.com/330100-inspection/5be33850-d05f-4124-b3b8-cd05b00d1670.jpg.296x216.jpg', '三房朝南，客厅朝南，精装修，房东诚售', '观邸国际  | 3室2厅 | 117平米 | 南 | 精装 | 有电梯', '中楼层(共33层)2008年建板塔结合  -  浦沿', '460万', '单价39317元/平米')
('https://image1.ljcdn.com/330100-inspection/e4bafdf9-9c49-41d7-9358-ac669773e034.jpg.296x216.jpg', '鑫都汇简装修loft公寓，空间感好', '兴耀鑫都汇  | 2室1厅 | 49.14平米 | 西 | 简装', '中楼层(共20层)2016年建板楼  -  西兴', '188万', '单价38259元/平米')
('https://image1.ljcdn.com/330100-inspection/e56836f4-93b9-4afb-ae84-c4a80dc0fdb6.JPG.296x216.jpg', '精装修 大露台已包好 边套户型 诚心卖置换 位置好', '锦绣江南  | 4室2厅 | 175.06平米 | 南 | 精装 | 有电梯', '低楼层(共25层)2008年建塔楼  -  长河', '880万', '单价50269元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload9b7b2456-6056-4029-9d35-2c91ac7ad498.JPG.296x216.jpg', '朗庭公馆  户型方正  配套齐全 房东诚心出售', '朗庭公馆  | 3室2厅 | 151.14平米 | 北 | 毛坯 | 有电梯', '中楼层(共12层)2010年建板楼  -  白马湖', '200万', '单价13233元/平米')
('https://image1.ljcdn.com/330100-inspection/dd2646d7-8243-4cc7-ad19-01766ecbeebc.jpg.296x216.jpg', '银爵世纪公寓 两房朝南 客厅朝南 小两口婚房必选', '银爵世纪公寓  | 3室1厅 | 89.58平米 | 南 | 简装 | 有电梯', '中楼层(共32层)2008年建板楼  -  浦沿', '380万', '单价42421元/平米')
('https://image1.ljcdn.com/330100-inspection/04d3d9fb-d4ae-41f6-a8d0-b90480c7fcd6.JPG.296x216.jpg', '风情苑中楼层户型方正南北双阳台', '温兴风情苑  | 3室2厅 | 91.67平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)2007年建板楼  -  西兴', '365万', '单价39817元/平米')
('https://image1.ljcdn.com/330100-inspection/292c55b3-5de0-4910-81d4-2d55e9c501a4.jpg.296x216.jpg', '业主变现，诚心卖，装修保养好，诚心好房', '联庄公寓  | 1室1厅 | 50.83平米 | 南 | 简装 | 无电梯', '中楼层(共6层)2000年建板楼  -  彩虹城', '270万', '单价53119元/平米')
('', '本人对小区熟悉，两房朝南，客户朝南带阳台', '风景蝶院留园  | 3室2厅 | 137平米 | 南 | 精装 | 有电梯', '低楼层(共14层)2011年建板楼  -  白马湖', '500万', '单价36497元/平米')
('https://image1.ljcdn.com/330100-inspection/e1e2ab1a-c34a-4709-aea4-019194825ed6.jpg.296x216.jpg', '水印城 3室2厅一线江景，中高楼层采光充足', '水印城  | 3室2厅 | 171平米 | 南 北 | 其他 | 有电梯', '高楼层(共32层)2008年建板楼  -  长河', '780万', '单价45615元/平米')
('https://image1.ljcdn.com/330100-inspection/de4a65ba-f604-4e83-978f-d657bbcd38db.jpg.296x216.jpg', '超级星期天 3室1厅 470万', '超级星期天  | 3室1厅 | 121.76平米 | 南 北 | 其他 | 有电梯', '低楼层(共13层)2008年建板楼  -  浦沿', '470万', '单价38601元/平米')
('https://image1.ljcdn.com/330100-inspection/1d423ab3-dd8d-4e00-8d3d-17105c42a953.JPG.296x216.jpg', '金铂湾 1室1厅 195万', '金铂湾  | 1室1厅 | 62.39平米 | 东 | 其他', '中楼层(共24层)2016年建板楼  -  滨江区政府', '195万', '单价31256元/平米')
('https://image1.ljcdn.com/330100-inspection/c238dc33-209f-4a83-ba05-1bf73053f791.JPG.296x216.jpg', '滨江 近地铁口100米 江南实验 东边套 诚心出售', '瑞立中央花城  | 3室2厅 | 139.66平米 | 东 南 北 | 简装 | 有电梯', '低楼层(共30层)2009年建板楼  -  滨江区政府', '710万', '单价50838元/平米')
('https://image1.ljcdn.com/330100-inspection/9d42a887-0ae8-40b7-b466-a9742ede94d0.jpg.296x216.jpg', '德国设计师设计，曾获国际大奖，全落地窗户', '天寓  | 3室2厅 | 138.99平米 | 南 | 精装 | 有电梯', '高楼层(共32层)2007年建板楼  -  彩虹城', '650万', '单价46766元/平米')
('https://image1.ljcdn.com/330100-inspection/a83c4eb4-ddf6-4683-8bb3-ac8d576196ab.JPG.296x216.jpg', '一线江景房  50年产权  民用电  精装修拎包入住', '汉峰峰公馆  | 1室1厅 | 50.66平米 | 北 | 精装 | 有电梯', '高楼层(共22层)2013年建板楼  -  滨江区政府', '179.8万', '单价35492元/平米')
('https://image1.ljcdn.com/330100-inspection/49e8a65a-1f84-40f0-ad6c-509caeef05f9.jpg.296x216.jpg', '滨江谷底价的独栋排屋！ 送地下室 送花园。看房方便！', '中兴和园  | 2室2厅 | 85.91平米 | 南 | 毛坯 | 无电梯', '低楼层(共3层)板楼  -  彩虹城', '260万', '单价30265元/平米')
('https://image1.ljcdn.com/330100-inspection/7347e66a-9774-4b79-9cb4-9780c61e6270.jpg.296x216.jpg', '距离地铁1号线滨和路站150米步行距离', '温馨人家  | 3室2厅 | 137.82平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2005年建板楼  -  滨江区政府', '695万', '单价50429元/平米')
('https://image1.ljcdn.com/330100-inspection/ff59bdbe-1f14-48ed-89e8-8dcd7e1d568d.jpg.296x216.jpg', '江南文苑 3室2厅 385万', '江南文苑  | 3室2厅 | 89.6平米 | 南 | 精装 | 有电梯', '低楼层(共11层)2009年建板楼  -  浦沿', '385万', '单价42969元/平米')
('https://image1.ljcdn.com/330100-inspection/21a4944f-f1cc-42d5-af84-1c31df9e40c7.jpg.296x216.jpg', '浦沿小两房，中间楼层自住精装修，保养很好，拎包入住', '超级星期天  | 2室2厅 | 75平米 | 南 | 精装 | 有电梯', '低楼层(共13层)2008年建板楼  -  浦沿', '260万', '单价34667元/平米')
('https://image1.ljcdn.com/330100-inspection/664a7f4d-c2d2-4e2f-8d61-3a3e98c44273.JPG.296x216.jpg', '金铂湾 1室1厅 210万', '金铂湾  | 1室1厅 | 57.11平米 | 东南 | 其他', '中楼层(共24层)2016年建板楼  -  滨江区政府', '210万', '单价36772元/平米')
('https://image1.ljcdn.com/330100-inspection/ceb618a5-0270-4820-be7e-2f74e9f7e1bd.JPG.296x216.jpg', '风情苑大面积装修好适合一大家子南北双露台超大阳光房', '温兴风情苑  | 4室2厅 | 132平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2007年建板楼  -  西兴', '525万', '单价39773元/平米')
('https://image1.ljcdn.com/330100-inspection/test-7f5ad7dc-bca8-4331-8d3e-a379d68f425f.png.296x216.jpg', '风景蝶院留园 2室1厅 240万', '风景蝶院留园  | 2室1厅 | 56.19平米 | 南 | 精装 | 有电梯', '中楼层(共20层)2011年建板楼  -  白马湖', '240万', '单价42713元/平米')
('https://image1.ljcdn.com/330100-inspection/17db5266-d7e2-4e99-b43c-54d44f8818ac.JPG.296x216.jpg', '康康谷开发商精装两房近地铁带阳台', '中赢康康谷  | 2室2厅 | 45平米 | 北 | 其他', '中楼层(共18层)2017年建板楼  -  滨江区政府', '200万', '单价44445元/平米')
('https://image1.ljcdn.com/330100-inspection/test-96f794b0-7d37-4a68-8f56-60d7a78a9cc3.png.296x216.jpg', '毛坯空置可自由设计、业主诚心出售、中间楼层视野开阔', '绿地旭辉城  | 3室1厅 | 87.54平米 | 南 | 毛坯 | 有电梯', '中楼层(共47层)2017年建板楼  -  奥体', '520万', '单价59402元/平米')
('https://image1.ljcdn.com/330100-inspection/a458c884-9d98-4fce-9849-5e1794fddefc.jpg.296x216.jpg', '国信嘉园 一线江景房 户型好 精装修', '国信嘉园  | 3室2厅 | 151.7平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2006年建板楼  -  彩虹城', '750万', '单价49440元/平米')
('https://image1.ljcdn.com/330100-inspection/f447f596-17c6-473b-9407-f1cc9f2e8192.jpg.296x216.jpg', '彩虹城 精装大三房 江景房 视野开阔 业主诚售', '彩虹城  | 3室2厅 | 158平米 | 南 北 | 精装 | 有电梯', '低楼层(共32层)2007年建板楼  -  彩虹城', '830万', '单价52532元/平米')
('https://image1.ljcdn.com/330100-inspection/5fa46478-8b21-4afd-b7eb-1663b47d2528.jpg.296x216.jpg', '五*级艾美酒店楼上精装公寓，近钱塘江边，临樱花跑道', '世茂之西湖  | 1室1厅 | 46.07平米 | 西南 | 精装 | 有电梯', '33层2015年建板楼  -  彩虹城', '160万', '单价34730元/平米')
('https://image1.ljcdn.com/330100-inspection/0e82ad36-5b53-406e-bb8c-730a57e40374.jpg.296x216.jpg', '滨江谷底价的独栋排屋！ 送地下室 送花园。看房方便！', '中兴和园  | 1室1厅 | 61.98平米 | 北 | 毛坯 | 无电梯', '低楼层(共3层)板楼  -  彩虹城', '200万', '单价32269元/平米')
('https://image1.ljcdn.com/330100-inspection/818fb9cd-41d0-46a2-8220-3fc644e57c1f.jpg.296x216.jpg', '东和云第 次新小区 东边套大三房 中间楼层看房方便', '东和云第  | 3室2厅 | 112.8平米 | 南 | 毛坯 | 有电梯', '中楼层(共32层)2014年建板楼  -  浦沿', '420万', '单价37235元/平米')
('https://image1.ljcdn.com/330100-inspection/test-2e3bd0e4-4d0e-48e6-8973-4f76672b67a7.png.296x216.jpg', '龙湖春江彼岸 品质小区 户型方正 纯毛坯 带三个车位', '龙湖春江彼岸  | 3室2厅 | 100.91平米 | 南 | 毛坯 | 有电梯', '高楼层(共33层)2015年建板楼  -  奥体', '698万', '单价69171元/平米')
('https://image1.ljcdn.com/330100-inspection/218419e6-3673-4b3a-a649-f6b89fc29825.JPG.296x216.jpg', '君尚金座 2室2厅 200万', '君尚金座  | 2室2厅 | 52.41平米 | 南 | 精装 | 有电梯', '低楼层(共27层)2012年建板楼  -  滨江区政府', '200万', '单价38161元/平米')
('https://image1.ljcdn.com/330100-inspection/b65b6ec4-2bef-4b22-9295-e7d686de39ad.jpg.296x216.jpg', '彩虹城少见两居户型，南北方正，精装修', '彩虹城  | 2室2厅 | 116.62平米 | 南 北 | 精装 | 有电梯', '中楼层(共8层)2006年建板楼  -  彩虹城', '550万', '单价47162元/平米')
('https://image1.ljcdn.com/330100-inspection/bec5f4c9-405a-426b-8cba-ea638fd7991e.JPG.296x216.jpg', '地铁口 精装LOFT两房 层高4.79', '中赢康康谷  | 2室2厅 | 45平米 | 北 | 精装', '中楼层(共18层)2017年建板楼  -  滨江区政府', '213万', '单价47334元/平米')
('https://image1.ljcdn.com/330100-inspection/test-49c8b540-9aba-4e66-b028-f79a520c02b4.png.296x216.jpg', '南岸晶都精装两房，三开间朝南，诚心出售', '南岸晶都花园  | 2室1厅 | 102平米 | 南 | 精装 | 有电梯', '高楼层(共26层)2007年建板楼  -  长河', '385万', '单价37746元/平米')
('https://image1.ljcdn.com/330100-inspection/e46f3dfd-ced7-4ec5-a5c6-6c3774737879.jpg.296x216.jpg', '经典三房诚心出售采光充足户型正气', '天寓  | 3室2厅 | 137.56平米 | 南 北 | 简装 | 有电梯', '高楼层(共32层)2007年建板楼  -  彩虹城', '650万', '单价47253元/平米')
('https://image1.ljcdn.com/330100-inspection/8661c14f-5d3f-4f50-bac8-76a963d48645.JPG.296x216.jpg', '房东诚心出售，自住精装修的，边套户型，看房方便', '倾城之恋  | 3室2厅 | 145.98平米 | 南 | 其他 | 有电梯', '低楼层(共29层)2005年建板楼  -  滨江区政府', '660万', '单价45212元/平米')
('https://image1.ljcdn.com/330100-inspection/9991b347-db6d-4ace-a1d2-0ac24b528f09.jpg.296x216.jpg', '东方商务会馆 1室2厅 120万', '东方商务会馆  | 1室2厅 | 39.01平米 | 西 | 精装 | 有电梯', '低楼层(共16层)2000年建板楼  -  长河', '120万', '单价30762元/平米')
('https://image1.ljcdn.com/330100-inspection/81a40923-433a-4d97-bdb3-a55dd02204ce.JPG.296x216.jpg', '顶楼  跃层  采光超级好  生活氛围好', '南岸晶都花园  | 5室2厅 | 238.08平米 | 南 | 简装 | 有电梯', '高楼层(共18层)2007年建板楼  -  长河', '730万', '单价30662元/平米')
('https://image1.ljcdn.com/330100-inspection/f6983420-823c-4f14-b416-7e4d814e62ee.JPG.296x216.jpg', '满五年免综合税三开间朝南一房朝北全明户型拎包入住', '白金海岸  | 3室2厅 | 118.96平米 | 南 | 简装 | 有电梯', '低楼层(共11层)2006年建板楼  -  长河', '515万', '单价43292元/平米')
('https://image1.ljcdn.com/330100-inspection/ca6a6d04-e4ce-48e8-a455-2f9548c99cf2.jpg.296x216.jpg', '宝龙公寓，17年3月份交付，次新房，可办公可出租', '滨江宝龙城市广场  | 1室1厅 | 47.45平米 | 南 | 简装', '低楼层(共24层)2016年建板塔结合  -  彩虹城', '140万', '单价29505元/平米')
('https://image1.ljcdn.com/330100-inspection/test-a3caa99b-d067-4e96-bd8d-f2af40134ac0.png.296x216.jpg', '南岸晶都花园自住精装修朝南一室一厅', '南岸晶都花园  | 1室1厅 | 59平米 | 西南 | 精装 | 有电梯', '高楼层(共26层)2007年建板楼  -  长河', '255万', '单价43221元/平米')
('https://image1.ljcdn.com/330100-inspection/625ed006-62ec-4980-bba6-719f12a3063a.jpg.296x216.jpg', '杨家墩地铁站 物美华润为邻 两房朝南 可见江景', '银爵世纪公寓  | 2室1厅 | 88.68平米 | 南 | 简装 | 有电梯', '高楼层(共31层)2009年建板楼  -  浦沿', '370万', '单价41724元/平米')
('https://image1.ljcdn.com/330100-inspection/d418418f-8d32-4843-a0f6-56b79839f7c3.JPG.296x216.jpg', '低总价房东诚心出售户型方正近阿里网易', '铂金名筑  | 2室2厅 | 81.01平米 | 南 | 精装 | 有电梯', '低楼层(共28层)2015年建板楼  -  长河', '358万', '单价44193元/平米')
('https://image1.ljcdn.com/330100-inspection/test-b99bcd2f-8d72-4aad-85c0-de396750b5b2.png.296x216.jpg', '满五年唯一，有车位另算。大开间舒适性强。', '风雅钱塘  | 3室2厅 | 124.14平米 | 南 | 简装 | 有电梯', '低楼层(共33层)2006年建板楼  -  滨江区政府', '570万', '单价45916元/平米')
('https://image1.ljcdn.com/330100-inspection/d39f5dda-1e1e-49d6-ab08-d0f7e50e5d9f.jpg.296x216.jpg', '附送10多方观景大阳台，可做四房。全明户型边套', '钱江湾花园  | 3室2厅 | 163平米 | 南 | 毛坯 | 有电梯', '中楼层(共16层)2003年建板楼  -  浦沿', '675万', '单价41412元/平米')
('https://image1.ljcdn.com/330100-inspection/1eb68511-3fd5-44b1-aff9-ee8f78f1e9a8.JPG.296x216.jpg', '视界之窗东方商务会馆，精装loft，西兴站', '东方商务会馆  | 1室1厅 | 38.18平米 | 西 | 精装 | 有电梯', '中楼层(共16层)2000年建板楼  -  长河', '130万', '单价34050元/平米')
('https://image1.ljcdn.com/330100-inspection/5937aeae-7c5d-4c44-b849-86447aab50a3.jpg.296x216.jpg', '儿保旁，优质住宅，户型方针随时可看', '仁苑  | 3室2厅 | 137.95平米 | 南 北 | 精装 | 有电梯', '低楼层(共25层)2011年建板楼  -  长河', '570万', '单价41320元/平米')
('https://image1.ljcdn.com/330100-inspection/14697049-c465-42f9-8596-79cc89810abf.JPG.296x216.jpg', '风雅钱塘小区中间位置  带储藏室 带露台', '风雅钱塘  | 3室2厅 | 166.46平米 | 东 南 西 | 简装 | 有电梯', '低楼层(共21层)2006年建板楼  -  滨江区政府', '770万', '单价46258元/平米')
('https://image1.ljcdn.com/330100-inspection/e552a911-7e2d-43ee-8d1a-ecc4724309cf.JPG.296x216.jpg', '燕语林森三房两卫 三开间朝南 全明户型', '燕语林森公寓  | 3室2厅 | 126.83平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)2007年建板楼  -  西兴', '475万', '单价37452元/平米')
('https://image1.ljcdn.com/330100-inspection/9310ad30-23a9-47ae-8a3f-d74d572a1b27.JPG.296x216.jpg', '金铂湾 1室1厅 225万', '金铂湾  | 1室1厅 | 51.58平米 | 西北 | 其他', '低楼层(共24层)2016年建板楼  -  滨江区政府', '225万', '单价43622元/平米')
('https://image1.ljcdn.com/330100-inspection/test-51f6c4ca-6e27-4342-84bc-bc2fb3bfc71d.png.296x216.jpg', '彩虹城旁边就有幼儿园，超市，银行，宝龙城儿保医院', '天寓  | 2室2厅 | 90.62平米 | 南 | 精装 | 有电梯', '中楼层(共32层)2007年建板楼  -  彩虹城', '460万', '单价50762元/平米')
('https://image1.ljcdn.com/330100-inspection/d9995001-ba78-4ee6-8607-759712314009.jpg.296x216.jpg', '彩虹城自住四室，南北通透，通风性好', '彩虹城  | 4室2厅 | 153.53平米 | 南 北 | 精装 | 有电梯', '低楼层(共12层)2007年建板楼  -  彩虹城', '710万', '单价46246元/平米')
('https://image1.ljcdn.com/330100-inspection/2fb359f9-3dcd-433d-81e5-fcd0ef33c3e1.JPG.296x216.jpg', '倾城之恋 3室2厅 685万', '倾城之恋  | 3室2厅 | 142.73平米 | 东 南 北 | 其他 | 有电梯', '高楼层(共29层)2005年建板楼  -  滨江区政府', '685万', '单价47993元/平米')
('https://image1.ljcdn.com/330100-inspection/cab82461-eb74-4ccb-ab20-c2d7bed9a123.jpg.296x216.jpg', '自住精装拎包入住有车位三开间朝南低总价三房全明户型', '白金海岸  | 3室2厅 | 117.83平米 | 南 | 精装 | 有电梯', '低楼层(共11层)2006年建板楼  -  长河', '550万', '单价46678元/平米')
('https://image1.ljcdn.com/330100-inspection/9bce65af-34c4-4081-b18a-e248212bc146.JPG.296x216.jpg', '半岛国际边套大三房  视野开阔  房东诚售', '半岛国际  | 3室2厅 | 127平米 | 南 北 | 简装 | 有电梯', '高楼层(共34层)2014年建板楼  -  长河', '688万', '单价54174元/平米')
('https://image1.ljcdn.com/330100-inspection/ddc61951-22b1-465c-a138-b57d8116032f.jpg.296x216.jpg', '房东诚心出售，开发商精装修两房，工作日可看', '天鸿君邑  | 2室2厅 | 84.42平米 | 南 | 精装 | 有电梯', '中楼层(共31层)2010年建板楼  -  浦沿', '360万', '单价42644元/平米')
('https://image1.ljcdn.com/330100-inspection/2c5817cd-eaf6-4b5d-8a3d-b2205bc6ca03.jpg.296x216.jpg', '纯毛坯西边套 次新房 钱塘江边 一线江景 看房方便', '钱塘大观  | 4室2厅 | 229.79平米 | 南 | 毛坯', '中楼层(共22层)2017年建板楼  -  浦沿', '920万', '单价40037元/平米')
('https://image1.ljcdn.com/330100-inspection/96c11bd9-3b80-4d93-90c8-9a4bd459e09e.JPG.296x216.jpg', '户型方正，多层顶跃，南北大露台，房子满五年', '时代长岛之春  | 5室2厅 | 150.41平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2005年建板楼  -  浦沿', '436万', '单价28988元/平米')
('https://image1.ljcdn.com/330100-inspection/2b14c427-389a-4adc-a154-56fada36445e.JPG.296x216.jpg', '此房未满2年  半岛紧俏跃层 阳光充足 视野俱佳', '半岛国际  | 3室2厅 | 89.35平米 | 南 | 简装 | 有电梯', '高楼层(共44层)2014年建板楼  -  长河', '515万', '单价57639元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploadfa44518e-d6c5-4a34-8209-0704549f78ec.jpg.296x216.jpg', '东和云第精装修三房，可直接当婚房使用', '东和云第  | 3室1厅 | 86.47平米 | 南 | 精装 | 有电梯', '中楼层(共32层)2014年建板楼  -  浦沿', '375万', '单价43368元/平米')
('https://image1.ljcdn.com/330100-inspection/0f317199-772d-41da-88e5-67b3da7e529a.jpg.296x216.jpg', '交通便利，设施配套齐，适合生活', '超级星期天  | 1室1厅 | 38.6平米 | 北 | 简装 | 有电梯', '中楼层(共13层)2008年建板楼  -  浦沿', '66万', '单价17099元/平米')
('https://image1.ljcdn.com/330100-inspection/test-8bc46b43-3bea-49da-b2d1-07858c56d248.png.296x216.jpg', '滨江区政府寰宇天下精装江景房，看房方便', '寰宇天下  | 2室2厅 | 89.21平米 | 南 | 精装 | 有电梯', '高楼层(共34层)2014年建板楼  -  滨江区政府', '510万', '单价57169元/平米')
('https://image1.ljcdn.com/330100-inspection/bc2eca3f-fb17-484d-9c1e-30396d2ebc92.JPG.296x216.jpg', '风雅精装修两房可直接拎包入住地段优', '风雅钱塘  | 2室2厅 | 120平米 | 南 | 精装 | 有电梯', '高楼层(共27层)2006年建板楼  -  滨江区政府', '570万', '单价47500元/平米')
('https://image1.ljcdn.com/330100-inspection/a1c472d2-110c-4664-97a0-1335ccc96091.jpg.296x216.jpg', '天鸿君邑 全明户型 开发商精装 拎包入住诚心出售', '天鸿君邑  | 3室2厅 | 137平米 | 南 | 精装 | 有电梯', '高楼层(共32层)2010年建板楼  -  浦沿', '550万', '单价40146元/平米')
('https://image1.ljcdn.com/330100-inspection/1b45912a-a8c0-4dd1-adb1-854fce5871f9.jpg.296x216.jpg', '锦绣跃层，视野好，精装修大四房加阳光房 超大阳台', '锦绣江南  | 5室2厅 | 281.13平米 | 南 西 北 | 精装 | 有电梯', '高楼层(共16层)2008年建板楼  -  长河', '1300万', '单价46242元/平米')
('https://image1.ljcdn.com/330100-inspection/ec36f475-9873-4948-9127-9857a4064ef8.jpg.296x216.jpg', '満五唯一，精装修，诚心急卖，好房', '天寓  | 2室1厅 | 89.65平米 | 南 | 精装 | 有电梯', '中楼层(共32层)2007年建板楼  -  彩虹城', '445万', '单价49638元/平米')
('https://image1.ljcdn.com/330100-inspection/6f0f40ef-d25e-4993-83fb-6f60b4b35da4.jpg.296x216.jpg', '房东诚心出售，开发商精装修两房，提前预约可以看', '天鸿君邑  | 2室2厅 | 83.48平米 | 南 | 精装 | 有电梯', '低楼层(共32层)2010年建板楼  -  浦沿', '360万', '单价43125元/平米')
('https://image1.ljcdn.com/330100-inspection/3eb95833-10bb-46f8-b22e-17355ed0bbaa.jpg.296x216.jpg', '绿城巧园自住精装修 家具家电全送 有车位', '绿城巧园  | 2室2厅 | 88.13平米 | 南 北 | 精装 | 有电梯', '高楼层(共18层)2015年建板楼  -  浦沿', '408万', '单价46296元/平米')
