('https://image1.ljcdn.com/210200-inspection/77c04763-38bb-4103-afb3-4104b70b0036.jpg.296x216.jpg', '金润三室 前后带院 门头已开好 位置好 适宜居住', '金润小区B区  | 3室1厅 | 102.18平米 | 南 北 | 毛坯 | 无电梯', '低楼层(共7层)2010年建板楼  -  金润', '90万', '单价8808元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload0cedac4a-ccae-4987-8890-24ad0bb91c9e.jpg.296x216.jpg', '家里保持良好 属于简单装修 金纺馨公寓后身 楼层好', '金元小区  | 2室1厅 | 61.19平米 | 南 北 | 精装 | 无电梯', '高楼层(共7层)1999年建板楼  -  金润', '45万', '单价7355元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploaddbc83485-f1e5-45c1-b5ec-abb54310ee02.jpg.296x216.jpg', '金州光明连大商圈 金州福佳新天地 精装修 拎包入住', '金州福佳新天地广场  | 2室1厅 | 85.5平米 | 南 西 | 精装 | 有电梯', '高楼层(共32层)2011年建板楼  -  光明', '75万', '单价8772元/平米')
('https://image1.ljcdn.com/210200-inspection/8e22172a-ec7a-44cb-b3a3-4815ff5f315e.JPG.296x216.jpg', '南北通透，格局好，采光充足，近市场，生活便利', '职高小区  | 2室1厅 | 96平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)2006年建板楼  -  光明', '57万', '单价5938元/平米')
('https://image1.ljcdn.com/210200-inspection/c5617880-3e1c-4e23-bc95-c3bc82c30a6e.jpg.296x216.jpg', '金渤海憬，一室一厅，小户型，采光好，', '金渤海憬  | 1室1厅 | 49.86平米 | 南 | 简装 | 有电梯', '低楼层(共24层)2009年建板楼  -  金华', '30万', '单价6017元/平米')
('https://image1.ljcdn.com/210200-inspection/a5034345-1228-4eb1-87fb-59fd36a3500c.jpg.296x216.jpg', '胜利小区 2室1厅 45万', '胜利小区  | 2室1厅 | 56平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)1995年建板楼  -  光明', '45万', '单价8036元/平米')
('https://image1.ljcdn.com/210200-inspection/87c301ae-1691-477e-a96a-5c8bfc156c49.jpg.296x216.jpg', '金山小区 两室一厅 赠送两个仓房 好楼层 拎包入住', '金山小区  | 2室1厅 | 63.2平米 | 南 | 简装 | 无电梯', '中楼层(共7层)2009年建板楼  -  南棉', '48万', '单价7595元/平米')
('https://image1.ljcdn.com/210200-inspection/c451651a-8056-4199-ba7b-ac8b218e1417.jpg.296x216.jpg', '桂林小区 2室1厅 41万', '桂林小区  | 2室1厅 | 55平米 | 南 | 简装 | 无电梯', '中楼层(共5层)2006年建板楼  -  古城汇金', '41万', '单价7455元/平米')
('https://image1.ljcdn.com/210200-inspection/4b19ac17-3afc-4bc3-ab0b-d2af6521791a.jpg.296x216.jpg', '海脉未来城 中间楼层 标准一室 采光视野好 拎包入住', '海脉未来城  | 1室1厅 | 40.83平米 | 南 | 其他', '中楼层(共18层)暂无数据  -  城润', '36万', '单价8818元/平米')
('https://image1.ljcdn.com/210200-inspection/6dfae649-044a-49ae-9519-796c42e9f458.jpg.296x216.jpg', '金华小区一期 2室2厅 96万', '金华小区一期  | 2室2厅 | 111平米 | 南 北 | 精装 | 无电梯', '中楼层(共7层)2003年建板楼  -  金华', '96万', '单价8649元/平米')
('https://image1.ljcdn.com/210200-inspection/898c0675-428b-47c0-8ed1-814cb3d82b11.jpg.296x216.jpg', '两室两厅 温暖南向 采光充足 配套齐全', '金爵世家  | 3室2厅 | 106平米 | 南 | 简装 | 有电梯', '中楼层(共29层)2000年建板楼  -  古城汇金', '88万', '单价8302元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploadd5eb1cd9-8c77-4684-8ee5-6d00e2520305.jpg.296x216.jpg', '金星公寓金纺金润东山路成熟小区优质大户型房源', '金星公寓  | 3室2厅 | 98平米 | 南 西 北 | 精装 | 无电梯', '高楼层(共7层)2000年建板楼  -  金纺', '68万', '单价6939元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploada7993628-979e-4e70-bd53-5853eeef594d.jpg.296x216.jpg', '桃园小区设施齐全交通线路选择多', '桃园小区  | 2室1厅 | 49.33平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1992年建板楼  -  桃园', '32万', '单价6487元/平米')
('https://image1.ljcdn.com/210200-inspection/aa6f557c-ad73-4061-b841-5d84759a1ed7.jpg.296x216.jpg', '交通出行方便 康居市场 采光充足 送花园', '金润小区A区  | 2室1厅 | 89平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)2005年建板楼  -  金润', '89万', '单价10000元/平米')
('https://image1.ljcdn.com/210200-inspection/a9525541-b27e-45ca-9827-7d31ca40d20f.jpg.296x216.jpg', '标准一室一厅户型 南客厅 精装修 拎包入住 .', '和嘉佳园  | 1室1厅 | 54.09平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2009年建板楼  -  站前', '36.5万', '单价6749元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload0492e61b-6604-45a8-9307-ee77a8d4d79c.jpg.296x216.jpg', '金润小区B区 1室1厅 36万', '金润小区B区  | 1室1厅 | 49.39平米 | 南 | 其他 | 有电梯', '高楼层(共18层)2010年建板楼  -  金润', '36万', '单价7289元/平米')
('https://image1.ljcdn.com/210200-inspection/327affcd-0595-4817-a783-2e537ea27e5c.jpg.296x216.jpg', '友好街 一室一厅南向格局 楼层好 有仓房', '友好街32号  | 1室1厅 | 51平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1999年建板楼  -  站前', '36万', '单价7059元/平米')
('https://image1.ljcdn.com/210200-inspection/66744294-1524-46b2-be41-09816f1339a7.jpg.296x216.jpg', '金山苑小区  精装修 环境好 电梯房', '金山苑小区  | 3室2厅 | 120平米 | 南 北 | 精装 | 有电梯', '高楼层(共12层)2010年建板楼  -  南棉', '95万', '单价7917元/平米')
('https://image1.ljcdn.com/210200-inspection/68e6b302-63db-44aa-ac26-507f03bdc6b6.jpg.296x216.jpg', '光明商圈 劳动局小区框架两室 非顶楼', '劳动局小区  | 2室1厅 | 83.65平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)板楼  -  光明', '53万', '单价6336元/平米')
('https://image1.ljcdn.com/210200-inspection/12968ce1-f0e6-41fc-bad6-18d52c3324b2.jpg.296x216.jpg', '鸿玮澜山一期，环境优美，天然氧吧，', '鸿玮澜山一期  | 2室1厅 | 68.7平米 | 南 北 | 精装 | 有电梯', '高楼层(共6层)2009年建板楼  -  桃园', '100万', '单价14557元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploadf2c1fd9e-1da6-46c0-8060-16128a73db2c.jpg.296x216.jpg', '精装修，没住过人，燃气都没用过，可以直接当婚房使用', '华夏金城  | 2室1厅 | 72.5平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)2008年建板楼  -  古城汇金', '90万', '单价12414元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploadd92ab07e-8531-4de7-9ba9-52c5a029c020.jpg.296x216.jpg', '简单装修 通厅通透 五明户型 带院', '金海国际花园  | 2室1厅 | 88.71平米 | 南 北 | 简装 | 有电梯', '低楼层(共12层)2016年建板楼  -  金华', '71万', '单价8004元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploadc7b34eed-8a8f-4774-81cb-d50bdb4fc94f.jpg.296x216.jpg', '聚鑫小区多层框架房源提前约随时可看', '聚鑫小区二期  | 3室2厅 | 105.13平米 | 西南 北 | 简装 | 无电梯', '低楼层(共6层)2008年建板楼  -  金纺', '88万', '单价8371元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload5a905852-c352-449d-bc92-8b331a18bd88.jpg.296x216.jpg', '华邦俪城南北通透拎包记住中间楼层精装修', '华邦俪城  | 2室1厅 | 108平米 | 南 北 | 精装 | 有电梯', '高楼层(共24层)2011年建板楼  -  桃园', '100万', '单价9260元/平米')
('https://image1.ljcdn.com/210200-inspection/2fe8d977-bbf7-41f0-a0b2-a0dbc048215d.jpg.296x216.jpg', '聚鑫小区精装修婚房南北向*网点交通便利', '聚鑫小区一期  | 2室1厅 | 69平米 | 南 北 | 精装 | 无电梯', '高楼层(共7层)1994年建板楼  -  金纺', '50万', '单价7247元/平米')
('https://image1.ljcdn.com/210200-inspection/339b671a-0b03-4bf3-8b00-a5fe56d5727c.jpg.296x216.jpg', '憬园河畔 2室2厅 41万', '憬园河畔  | 2室2厅 | 76.98平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)板楼  -  古城汇金', '41万', '单价5327元/平米')
('https://image1.ljcdn.com/210200-inspection/643760ba-b30b-46c3-a373-99897383508a.jpg.296x216.jpg', '新希望家园一室一厅精装房主自住 保持干净近轻轨', '新希望家园  | 1室1厅 | 55.6平米 | 西 | 精装 | 有电梯', '高楼层(共28层)2009年建板塔结合  -  城润', '47万', '单价8454元/平米')
('https://image1.ljcdn.com/210200-inspection/1d9f23bb-419d-4084-9710-abafbfb82ddc.jpg.296x216.jpg', '东林世家 3室1厅 160万', '东林世家  | 3室1厅 | 89.01平米 | 南 | 精装 | 有电梯', '低楼层(共19层)2008年建塔楼  -  碧海', '160万', '单价17976元/平米')
('https://image1.ljcdn.com/210200-inspection/test-000f374b-483f-45b8-8f4c-c2ddba3296d6.png.296x216.jpg', '连大一二期 小高层三室两厅 毛坯房 近101', '连大文润金宸一二期  | 3室2厅 | 107.5平米 | 南 北 | 毛坯 | 有电梯', '高楼层(共15层)2010年建板楼  -  连大', '107万', '单价9954元/平米')
('https://image1.ljcdn.com/210200-inspection/348f580b-9bd7-4c5f-91a9-70d578aa0f16.jpg.296x216.jpg', '金纺小区 2室0厅 31万', '金纺小区  | 2室0厅 | 52.5平米 | 南 北 | 毛坯 | 无电梯', '高楼层(共6层)1988年建板楼  -  金纺', '31万', '单价5905元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload99afc94a-2708-4a8d-b6ea-f84f55cff400.jpg.296x216.jpg', '桃园两室一厅,老式装修.拎包入住', '桃园小区  | 2室1厅 | 67.32平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1992年建板楼  -  桃园', '37万', '单价5497元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload9be38f60-948e-4299-9db2-56d30b947e2c.jpg.296x216.jpg', '永安四季 精装修 经典一室房源 楼层好采光好', '永安四季  | 1室1厅 | 52平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2012年建板楼  -  古城汇金', '38万', '单价7308元/平米')
('https://image1.ljcdn.com/210200-inspection/4bdb9452-c46d-4704-ad40-ca2a9429fb61.jpg.296x216.jpg', '胜利小区 南北通透 三室一厅 位置好 教育配套佳', '胜利小区  | 3室1厅 | 98平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1999年建板楼  -  光明', '72万', '单价7347元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload3886013a-2a15-4279-a8dd-1fd1bc2e9134.jpg.296x216.jpg', '房子是温暖南向 标准一室一厅 小精装 适合年轻人过渡', '古城甲区  | 2室1厅 | 54平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1997年建板楼  -  古城汇金', '38万', '单价7038元/平米')
('https://image1.ljcdn.com/210200-inspection/27e173a6-408c-48a6-8359-809ae3d1edca.jpg.296x216.jpg', '新汽车站旁！憬园河畔！两室一厅！送仓房！', '憬园河畔  | 2室1厅 | 57.37平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2010年建板楼  -  古城汇金', '40万', '单价6973元/平米')
('https://image1.ljcdn.com/210200-inspection/f473f9a9-3e8e-481b-84b4-72cae0740432.jpg.296x216.jpg', '芙蓉花园优质聚焦房源，交通便利，楼层好', '芙蓉花园（金州）  | 2室2厅 | 103.1平米 | 南 北 | 精装 | 无电梯', '中楼层(共7层)2007年建板楼  -  光明', '94万', '单价9118元/平米')
('https://image1.ljcdn.com/210200-inspection/0e1dbf0a-e80a-4ead-aef1-6dee3e07a470.jpg.296x216.jpg', '金纺聚鑫两室南北通透户型采光好出售', '聚鑫小区二期  | 2室1厅 | 63.52平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)2008年建板楼  -  金纺', '45万', '单价7085元/平米')
('https://image1.ljcdn.com/210200-inspection/1da9d0d9-2d65-4da8-b3f6-066eb88277a6.jpg.296x216.jpg', '连大文润金宸两室一厅采光充足视野开阔拎包入住！急售', '连大文润金宸一二期  | 2室1厅 | 65.29平米 | 南 | 精装 | 有电梯', '高楼层(共32层)2010年建板楼  -  连大', '55万', '单价8424元/平米')
('https://image1.ljcdn.com/210200-inspection/test-0cb8acec-9271-4df7-8fb6-48c854f06c65.png.296x216.jpg', '桃园小区 交通便利 视野开阔 南北通透', '桃园小区  | 2室1厅 | 69.2平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1992年建板楼  -  桃园', '40万', '单价5781元/平米')
('https://image1.ljcdn.com/210200-inspection/8c18acac-c612-447e-b936-a7798e1022a4.jpg.296x216.jpg', '金州站前体育场商圈 盛滨花园 两室位置好 采光充足', '盛滨花园B区  | 2室1厅 | 103.56平米 | 西南 | 简装 | 有电梯', '高楼层(共11层)2009年建板楼  -  站前', '69.5万', '单价6712元/平米')
('https://image1.ljcdn.com/210200-inspection/24ed5dd2-cf4d-4f1d-9bae-4e6d9dc5e7ca.jpg.296x216.jpg', '糖果小区 2室2厅 42万', '糖果小区  | 2室2厅 | 66.31平米 | 南 北 | 毛坯 | 无电梯', '高楼层(共6层)2011年建板楼  -  金润', '42万', '单价6334元/平米')
('https://image1.ljcdn.com/210200-inspection/916cbc7e-9b60-4af7-a30e-39f444016ede.jpg.296x216.jpg', '此房一个南卧，一个北卧，卫生间在两个卧室中间，', '古城丁区  | 2室1厅 | 59.1平米 | 南 北 | 精装 | 无电梯', '中楼层(共7层)1997年建板楼  -  古城汇金', '51万', '单价8630元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploadcd50ba97-4fe4-4d01-90e8-92a1460de860.jpg.296x216.jpg', '连胜小区 1居室 南向户型 配套成熟。', '连胜小区  | 1室1厅 | 40平米 | 南 | 简装', '中楼层(共7层)板楼  -  站前', '28万', '单价7000元/平米')
('https://image1.ljcdn.com/210200-inspection/25551474-7628-4133-ac4d-ad23b4d464a0.jpg.296x216.jpg', '悦泰山里三期 多层带电梯四楼 精装修拎包就住', '悦泰山里  | 3室1厅 | 78.93平米 | 南 北 | 精装 | 有电梯', '中楼层(共6层)2009年建板楼  -  古城汇金', '90万', '单价11403元/平米')
('https://image1.ljcdn.com/210200-inspection/c4e28794-31de-4135-8d17-3d1ca4df3292.jpg.296x216.jpg', '近南山市场 五一路 122 阳光宝贝幼儿园 户型好 采光足', '南棉小区  | 2室1厅 | 52.98平米 | 南 北 | 简装 | 无电梯', '高楼层(共5层)1990年建板楼  -  南棉', '30万', '单价5663元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload6a42e74c-2379-4388-a593-a70c447ae179.jpg.296x216.jpg', '古城丁区\u3000南北通厅户型\u3000拎包即住\u3000配套成熟', '古城丁区  | 2室2厅 | 76.57平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)1997年建板楼  -  古城汇金', '47万', '单价6139元/平米')
('https://image1.ljcdn.com/210200-inspection/test-2fcf15d5-42c0-46a8-a1a3-2f91cd8e9b57.png.296x216.jpg', '盛滨花园B区 2室1厅 47万', '盛滨花园B区  | 2室1厅 | 60.98平米 | 东北 | 精装 | 有电梯', '中楼层(共11层)2009年建板楼  -  站前', '47万', '单价7708元/平米')
('https://image1.ljcdn.com/210200-inspection/6cf823cc-12c7-4be5-b06e-7974e3d46f7f.jpg.296x216.jpg', '金元小区 两室，多层 交通便利', '金元小区  | 2室2厅 | 47.9平米 | 南 | 简装 | 无电梯', '高楼层(共7层)板楼  -  金润', '28.5万', '单价5950元/平米')
('https://image1.ljcdn.com/210200-inspection/fa77db43-4e29-4a78-aa7f-6f0e58415318.jpg.296x216.jpg', '连大一二期 精装修  两室 拎包入住', '连大文润金宸一二期  | 2室1厅 | 61.83平米 | 东 | 精装 | 有电梯', '低楼层(共32层)2010年建板楼  -  连大', '55万', '单价8896元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload1e5448f4-9169-41a0-8cbd-705511166e7f.jpg.296x216.jpg', '生辉第 ·一城 南北通透 跃层 纯实木 精装修 55跃70', '生辉第一城  | 3室1厅 | 55平米 | 南 北 | 其他 | 有电梯', '高楼层(共18层)2007年建板楼  -  城润', '79.9万', '单价14528元/平米')
('https://image1.ljcdn.com/210200-inspection/test-a624e5d0-987d-460f-88e1-0c82ca5b7368.png.296x216.jpg', '南棉小区 2室1厅 36万', '南棉小区  | 2室1厅 | 50平米 | 南 | 其他 | 无电梯', '中楼层(共5层)1993年建板楼  -  南棉', '36万', '单价7200元/平米')
('https://image1.ljcdn.com/210200-inspection/3935df69-828d-4511-aa7f-f03e768172f4.jpg.296x216.jpg', '金州金润金纺 一室一厅 采光好', '金润小区A区  | 1室1厅 | 52.1平米 | 西 | 毛坯 | 有电梯', '中楼层(共18层)2008年建板楼  -  金润', '36万', '单价6910元/平米')
('https://image1.ljcdn.com/210200-inspection/26a3f756-b9c5-4b33-a677-2cdb745f8d59.jpg.296x216.jpg', '两室南向采光好装修保持良好 南金书院', '桃园小区  | 2室1厅 | 61.35平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1992年建板楼  -  桃园', '41万', '单价6683元/平米')
('https://image1.ljcdn.com/210200-inspection/ea198768-bf19-4083-9019-12bfa8541b59.jpg.296x216.jpg', '悦泰山里 2室2厅 75万', '悦泰山里  | 2室2厅 | 86.11平米 | 南 北 | 简装 | 有电梯', '中楼层(共11层)2009年建板楼  -  古城汇金', '75万', '单价8710元/平米')
('https://image1.ljcdn.com/210200-inspection/7c02f472-6f18-45b9-8011-3db65e8dad4f.jpg.296x216.jpg', '春和小区南北通透装修好拎包入住', '春和小区  | 2室1厅 | 75.35平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)2001年建板楼  -  古城汇金', '56.5万', '单价7499元/平米')
('https://image1.ljcdn.com/210200-inspection/2d7ecf58-59a1-467d-89ab-3403a8415da4.jpg.296x216.jpg', '聚鑫小区二期 1室0厅 27万', '聚鑫小区二期  | 1室0厅 | 39.42平米 | 西 | 精装 | 无电梯', '中楼层(共5层)2008年建板楼  -  金纺', '27万', '单价6850元/平米')
('https://image1.ljcdn.com/210200-inspection/88c21ca1-cd1c-4cb8-848a-bd91e8fe3f30.jpg.296x216.jpg', '跃层三室两厅, 实用面积大,户型 较 好', '盛滨花园B区  | 3室2厅 | 103.8平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)2009年建板楼  -  站前', '68万', '单价6552元/平米')
('https://image1.ljcdn.com/210200-inspection/e69ccfcb-a0ae-4a02-afa7-0e258fef5697.JPG.296x216.jpg', '南北通透精装修婚房无甲醛拎包入住', '古城丁区  | 2室1厅 | 71.68平米 | 南 北 | 精装 | 无电梯', '中楼层(共7层)1997年建板楼  -  古城汇金', '60万', '单价8371元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploada7fee2cf-0094-4486-b499-c70c7dc6cce0.jpg.296x216.jpg', '聚鑫一期中间楼层，简单装修，有仓房。', '聚鑫小区一期  | 2室1厅 | 63.68平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1996年建板楼  -  金纺', '52万', '单价8166元/平米')
('https://image1.ljcdn.com/210200-inspection/test-66109445-6f52-4dc3-a888-746ad1f66e81.png.296x216.jpg', '金洋小区   一室一厅北向 单价便宜6400 中高楼层', '金洋小区  | 1室1厅 | 43.17平米 | 南 | 简装 | 无电梯', '中楼层(共7层)2000年建板楼  -  城润', '28万', '单价6486元/平米')
('https://image1.ljcdn.com/210200-inspection/2c365add-63ff-4496-8ee4-a23f35a3080a.jpg.296x216.jpg', '金纺，金元小区 ，多层 交通便利，送阁楼', '金元小区  | 1室1厅 | 40.74平米 | 南 | 简装 | 无电梯', '高楼层(共5层)1993年建板楼  -  金润', '30.5万', '单价7487元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploadd059ebfd-0a4c-4989-8eec-615fb973a347.jpg.296x216.jpg', '此房为盛滨花园A区，两室一厅户型，采光好', '盛滨花园A区  | 2室1厅 | 71.44平米 | 东南 | 简装 | 有电梯', '中楼层(共25层)2001年建板楼  -  站前', '45万', '单价6299元/平米')
('https://image1.ljcdn.com/210200-inspection/e43687c5-f3b5-4310-93b6-c0a7941c3908.jpg.296x216.jpg', '滨海丰园通透两室 业主诚心出售 看房提前约', '滨海丰园  | 2室1厅 | 104平米 | 南 北 | 其他', '低楼层(共25层)2011年建板楼  -  金湾新城', '81万', '单价7789元/平米')
('https://image1.ljcdn.com/210200-inspection/test-2769a2fc-2c84-4974-84d6-d14624d28a4f.png.296x216.jpg', '金源花园小区 2室2厅 63万', '金源花园小区  | 2室2厅 | 81平米 | 南 北 | 其他 | 无电梯', '中楼层(共5层)2000年建板楼  -  站前', '63万', '单价7778元/平米')
('https://image1.ljcdn.com/210200-inspection/6a74f037-c857-4056-a707-cfdee5cf2ff7.JPG.296x216.jpg', '南北向两室装修保持好采光通风好视野好', '古城乙区  | 2室1厅 | 67平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1992年建板楼  -  古城汇金', '40万', '单价5971元/平米')
('https://image1.ljcdn.com/210200-inspection/8d5b9d57-d7d9-4dc4-9e3f-fd49aafd5419.jpg.296x216.jpg', '金润两室五明户型中等装修拎包住房主急售', '金润小区B区  | 2室2厅 | 94.3平米 | 南 北 | 简装 | 有电梯', '高楼层(共18层)2010年建板楼  -  金润', '75万', '单价7954元/平米')
('https://image1.ljcdn.com/210200-inspection/2070e48c-f07c-44e1-a383-1a2bbd494761.jpg.296x216.jpg', '峰景西海岸，三室，南北通厅，装修好', '峰景西海岸  | 3室1厅 | 96.48平米 | 南 北 | 简装 | 有电梯', '低楼层(共18层)2009年建板楼  -  连大', '92万', '单价9536元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload12a98728-59e5-4c4e-9027-927cb4174fba.jpg.296x216.jpg', '聚鑫小区 两室两厅 购物方便 视线好 采光佳交通便利', '聚鑫小区一期  | 2室2厅 | 86.64平米 | 西南 北 | 简装 | 无电梯', '高楼层(共6层)2008年建板楼  -  金纺', '59万', '单价6810元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploadbec2af9f-fdec-4f0a-a00f-426285f072e3.jpg.296x216.jpg', '南山路自来水旁框架南北通透两室一厅', '南山路（金州）  | 2室1厅 | 68.5平米 | 南 北 | 简装', '高楼层(共7层)1995年建板楼  -  南棉', '46万', '单价6716元/平米')
('https://image1.ljcdn.com/210200-inspection/2fe47b84-ae5c-4ae8-bf54-e3e530833124.jpg.296x216.jpg', '金海嘉园 多层 位置好 采光佳 上学便利 节省时间', '金海嘉园  | 2室1厅 | 60.65平米 | 南 北 | 简装 | 无电梯', '高楼层(共5层)2009年建板楼  -  金纺', '38.5万', '单价6348元/平米')
('https://image1.ljcdn.com/210200-inspection/16fa08dc-9814-4cf6-80e6-c138510cff53.JPG.296x216.jpg', '双南卧室，采光充足，装修干净，保持良好。', '伟桥金北嘉园  | 2室1厅 | 62.87平米 | 南 | 简装 | 有电梯', '高楼层(共11层)2012年建板楼  -  古城汇金', '45万', '单价7158元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploadd3d08d30-a80a-4ce5-a1cb-3156ee11c159.jpg.296x216.jpg', '糖果小区，多层框架，南北通透，', '糖果小区  | 2室1厅 | 79.02平米 | 南 北 | 毛坯 | 无电梯', '中楼层(共6层)2011年建板楼  -  金润', '72万', '单价9112元/平米')
('https://image1.ljcdn.com/210200-inspection/test-9c22b5d0-021c-4243-b370-cf93ec22a008.png.296x216.jpg', '峰景西海岸 1室0厅 39万', '峰景西海岸  | 1室0厅 | 45.22平米 | 南 | 简装 | 有电梯', '高楼层(共18层)2009年建板楼  -  连大', '39万', '单价8625元/平米')
('https://image1.ljcdn.com/210200-inspection/c52f6f0e-c56a-425b-bc71-f0ceabd25cee.jpg.296x216.jpg', '实验101 两室两厅 中间楼层 采光充足 不把边 送仓房', '胜利小区  | 2室2厅 | 83.5平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)1995年建板楼  -  光明', '72万', '单价8623元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload8f40b29c-cdf6-477f-ab4b-bad4a6b8ef11.jpg.296x216.jpg', '百畅园南北向两室交通便利 配套齐 诚心出售 看房方便', '百畅园  | 2室1厅 | 60平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)2010年建板楼  -  碧海', '36万', '单价6000元/平米')
('https://image1.ljcdn.com/210200-inspection/ec7a3b79-1d67-44df-a691-2d0ea48a8d15.jpg.296x216.jpg', '南北通厅格局 南金书院 多趟公交路线 桃园市场', '桃园小区  | 2室1厅 | 56平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1992年建板楼  -  桃园', '42万', '单价7500元/平米')
('https://image1.ljcdn.com/210200-inspection/test-74646ca5-20e0-4824-9177-b4cbe17d77c1.png.296x216.jpg', '胜利西小区 2室1厅 51.5万', '胜利西小区  | 2室1厅 | 60.7平米 | 南 北 | 其他 | 无电梯', '低楼层(共7层)板楼  -  光明', '51.5万', '单价8485元/平米')
('https://image1.ljcdn.com/210200-inspection/ae497758-35ea-4d57-a6a4-c38623b850a9.jpg.296x216.jpg', '金星小区两室房 视野好 采光好', '金星小区  | 2室1厅 | 61.23平米 | 南 | 简装 | 无电梯', '高楼层(共7层)2004年建板楼  -  金纺', '33万', '单价5390元/平米')
('https://image1.ljcdn.com/210200-inspection/e2884438-3cbc-4a7d-9988-778bcceeb9ba.jpg.296x216.jpg', '金州区古城乙区 南北向两室 ，', '古城乙区  | 2室1厅 | 67.6平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)1992年建板楼  -  古城汇金', '55万', '单价8137元/平米')
('https://image1.ljcdn.com/210200-inspection/5a5627de-ff93-4dda-806f-3a81a8ca1c16.jpg.296x216.jpg', '憬园河畔，南向扁担挑两室，框架楼无仓房，采光好', '憬园河畔  | 2室1厅 | 62.66平米 | 南 | 简装 | 无电梯', '中楼层(共6层)2009年建板楼  -  古城汇金', '47.5万', '单价7581元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploadad67eb4d-912f-4c9b-8ca2-ba1db38c609d.jpg.296x216.jpg', '金星公寓金纺金润三楼优质房源拎包入住', '金星公寓  | 2室2厅 | 117平米 | 南 北 | 精装 | 无电梯', '中楼层(共7层)2000年建板楼  -  金纺', '85万', '单价7265元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload23d20062-b303-4282-83d2-7e67bbc627a9.jpg.296x216.jpg', '桃园小区两室 楼层优越，采光充足，没有遮挡 配套完善', '桃园小区  | 2室1厅 | 63平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1992年建板楼  -  桃园', '42万', '单价6667元/平米')
('https://image1.ljcdn.com/210200-inspection/e763b2eb-a01b-4d7f-a4b2-d389246a2e9d.jpg.296x216.jpg', '德泰岭秀逸城 南金书院 南北通厅通透 精装修下跃', '德泰岭秀逸城  | 3室2厅 | 96.21平米 | 南 北 | 精装 | 有电梯', '低楼层(共11层)2013年建板楼  -  桃园', '207万', '单价21516元/平米')
('https://image1.ljcdn.com/210200-inspection/071a7918-a1ca-4171-845e-5ec0437845f7.JPG.296x216.jpg', '金马快轨站新希望家园温馨精装一室，楼层好房子保持好', '新希望家园  | 1室1厅 | 40.77平米 | 西南 | 精装 | 有电梯', '低楼层(共25层)2009年建塔楼  -  城润', '40万', '单价9812元/平米')
