('https://image1.ljcdn.com/442000-inspection/7ae8e557-7dac-4899-aa8c-c1d607532b3b.jpg.296x216.jpg', '世纪新城幸福时光 中楼层 东南朝向两房 视野无遮挡', '世纪新城二期幸福时光  ', '中楼层(共32层)2010年建板楼  -  博爱一南', '138万', '单价15056元/平米')
('', '平湖秋月花园 2室2厅 100万', '平湖秋月花园  ', '中楼层(共18层)2010年建塔楼  -  溪角中学', '100万', '单价11395元/平米')
('', '时代倾城 装修四房 诚意出售 满两年', '时代倾城  ', '低楼层(共23层)2013年建塔楼  -  博爱一南', '179万', '单价14640元/平米')
('https://image1.ljcdn.com/442000-inspection/8523f301-f406-4929-91ae-fc3b829718c7.jpg.296x216.jpg', '汽车总站 明月花园 南北对流 价格实惠', '明月花园  ', '高楼层(共6层)2005年建塔楼  -  汽车总站', '103.8万', '单价8607元/平米')
('https://image1.ljcdn.com/442000-inspection/9a1af729-1105-44b3-8761-45e5b9ae9cb3.jpg.296x216.jpg', '中海翠林  两房出售 有装修 改三房', '中海翠林兰溪园  ', '中楼层(共9层)2009年建板楼  -  中海翠林', '100万', '单价11120元/平米')
('https://image1.ljcdn.com/442000-inspection/db1d0399-3f01-4f58-a013-b610d39d424f.jpg.296x216.jpg', '世纪新城 温馨一房 采光通风好 高楼层', '世纪新城一期A区  ', '高楼层(共24层)2007年建板楼  -  博爱一南', '90万', '单价15000元/平米')
('https://image1.ljcdn.com/442000-inspection/1d355330-dd34-436d-9682-9d02d123d69a.jpg.296x216.jpg', '中信左岸花园 车位 20万', '中信左岸花园  ', '暂无数据  -  博爱一南', '20万', '单价16000元/平米')
('', '世纪新城一期A区 1室1厅 106万', '世纪新城一期A区  ', '中楼层(共24层)2007年建板楼  -  博爱一南', '106万', '单价14061元/平米')
('https://image1.ljcdn.com/442000-inspection/6185e25f-a8bb-45e5-97e5-537128c9401e.jpg.296x216.jpg', '汉基花园 三室两厅 130平 精装修', '汉基花园  ', '高楼层(共7层)2010年建塔楼  -  星宝', '125万', '单价9583元/平米')
('https://image1.ljcdn.com/442000-inspection/200ad984-e33e-47ba-a962-d1f4a4225b70.jpg.296x216.jpg', '宝嘉上筑 简约三房 诚意出售  。', '宝嘉上筑  ', '高楼层(共28层)2008年建塔楼  -  龙瑞', '160万', '单价15239元/平米')
('https://image1.ljcdn.com/442000-inspection/c4d40e85-b196-4b56-a5c6-351f3f0ef8a5.jpg.296x216.jpg', '星宝明珠朝北2房望小区 高层不吵', '星宝明珠花园  ', '高楼层(共17层)2010年建塔楼  -  星宝', '98万', '单价11137元/平米')
('', '时代倾城 带装修三房 诚售 吉之岛商圈', '时代倾城  ', '中楼层(共26层)2012年建塔楼  -  博爱一南', '161万', '单价14000元/平米')
('https://image1.ljcdn.com/442000-inspection/799f1831-21c0-46fd-8c3d-15323c3cd730.jpg.296x216.jpg', '中信左岸 家私电器齐 大三房可改四房', '中信左岸花园  ', '高楼层(共24层)板楼  -  博爱一南', '240万', '单价14724元/平米')
('https://image1.ljcdn.com/442000-inspection/c30340c5-c65a-41b4-99c8-ed187d1753d7.jpg.296x216.jpg', '温馨4房 户型方正 光趟明亮 交通方便 带大平台', '苏荷雅居  ', '高楼层(共18层)2002年建塔楼  -  溪角中学', '130万', '单价14461元/平米')
('https://image1.ljcdn.com/442000-inspection/88db9152-20e2-4459-98bd-e689c2814ee8.jpg.296x216.jpg', '中信左岸 四房 南北通透 送车位', '中信左岸花园  ', '低楼层(共24层)板楼  -  博爱一南', '200万', '单价15038元/平米')
('https://image1.ljcdn.com/442000-inspection/a5d71347-d1d9-4b60-baaa-d77b3b716a72.jpg.296x216.jpg', '平湖秋月 毛坯两房 送一个大平台 可改三房', '平湖秋月花园  ', '高楼层(共11层)2010年建塔楼  -  溪角中学', '100万', '单价12500元/平米')
('https://image1.ljcdn.com/442000-inspection/f1a8247a-f368-49ab-9b24-9ea7ab949273.jpg.296x216.jpg', '大一房一厅精装修 沙溪星宝明珠花园', '星宝明珠花园  ', '中楼层(共18层)2010年建塔楼  -  星宝', '75万', '单价11364元/平米')
('https://image1.ljcdn.com/442000-inspection/86976970-ccbb-4602-ba36-85e88a8e83b6.jpg.296x216.jpg', '星宝明珠 一房公寓 住宅性质 易出租 楼层适中', '星宝明珠花园  ', '中楼层(共18层)2010年建塔楼  -  星宝', '54万', '单价12000元/平米')
('https://image1.ljcdn.com/442000-inspection/ea1ec81c-0ab5-49da-a284-c89eeddcb57e.jpg.296x216.jpg', '康桥花地 中间楼层 三房两厅两卫 诚心出售', '康桥花地  ', '中楼层(共11层)塔楼  -  龙瑞', '170万', '单价13386元/平米')
('https://image1.ljcdn.com/442000-inspection/598ae306-043d-46c9-82c7-3b421b00093f.jpg.296x216.jpg', '世纪新城三期 4室2厅 298万', '世纪新城三期  ', '低楼层(共30层)板楼  -  博爱一南', '298万', '单价16649元/平米')
('', '中海翠林兰溪园 毛坯两房 户型方正', '中海翠林兰溪园  ', '中楼层(共9层)2009年建板楼  -  中海翠林', '77万', '单价9967元/平米')
('https://image1.ljcdn.com/442000-inspection/ff773d93-d8b2-417e-9a2b-15d5c1b68428.jpg.296x216.jpg', '宝嘉上筑靠6、3、2幢靓车位诚心出售', '宝嘉上筑  ', '暂无数据  -  龙瑞', '13万', '单价4259元/平米')
('https://image1.ljcdn.com/442000-inspection/427443b6-449e-40d1-a6c8-26b6c7bdb2ee.jpg.296x216.jpg', '精致装修  保养很好  南北对流   成熟商圈', '汇豪新天地  ', '高楼层(共11层)2008年建塔楼  -  龙瑞', '147万', '单价12488元/平米')
('https://image1.ljcdn.com/442000-inspection/cb7449d3-610f-4f0c-b7ba-dd849897753c.jpg.296x216.jpg', '奕豪园 装修四房 户型方正 诚意出售', '奕豪园  ', '低楼层(共18层)2009年建塔楼  -  厚山广场', '160万', '单价11941元/平米')
('https://image1.ljcdn.com/442000-inspection/2768ee8e-7d42-4364-9726-d5d443383e3b.jpg.296x216.jpg', '锦绣沙溪会都苑 一房一厅 带装修 保养好', '锦绣沙溪会都苑  ', '中楼层(共9层)2007年建塔楼  -  星宝', '43万', '单价9973元/平米')
('https://image1.ljcdn.com/442000-inspection/17f1d2e6-dee7-4194-83fb-4f6f6482f7ec.jpg.296x216.jpg', '中信左岸 精装三房 格局方正 南北对流', '中信左岸花园  ', '中楼层(共24层)板楼  -  博爱一南', '160万', '单价14036元/平米')
('https://image1.ljcdn.com/442000-inspection/bf1f855a-56e1-4bdd-96da-4cc24068f390.jpg.296x216.jpg', '平湖秋月花园 3室2厅 120万', '平湖秋月花园  ', '低楼层(共11层)2010年建塔楼  -  溪角中学', '120万', '单价12245元/平米')
('https://image1.ljcdn.com/442000-inspection/d2285e56-0a8c-4163-a024-7d7f2fa38606.jpg.296x216.jpg', '中信左岸 高楼层 南北对流 宽敞舒适', '中信左岸花园  ', '中楼层(共24层)板楼  -  博爱一南', '200万', '单价14927元/平米')
('https://image1.ljcdn.com/442000-inspection/245c0f53-e84b-4b69-b3fd-8d53c3442ebb.jpg.296x216.jpg', '星都苑复式带平台四房 业主诚意出售', '星都苑  ', '高楼层(共6层)2007年建塔楼  -  星宝', '125万', '单价7717元/平米')
('https://image1.ljcdn.com/442000-inspection/a9703d10-c2d1-4933-8a92-54a4419820aa.jpg.296x216.jpg', '溪角云汉自建房 带简单装修 看房方便 配套成熟', '溪角云汉  ', '低楼层(共3层)暂无数据  -  龙瑞', '430万', '单价20340元/平米')
('https://image1.ljcdn.com/442000-inspection/41fdac04-37bc-44bd-8d66-be3250821dbb.jpg.296x216.jpg', '宝兴花园   车库  在小区里面  诚意出售', '宝兴花园  ', '塔楼  -  星宝', '22万', '单价2716元/平米')
('https://image1.ljcdn.com/442000-inspection/9c1794d8-7789-4e8f-95b0-5c243c584885.jpg.296x216.jpg', '高雅花园 3房 毛坯向南  诚意出售', '高雅花园  ', '低楼层(共17层)塔楼  -  星宝', '101万', '单价10194元/平米')
('https://image1.ljcdn.com/442000-inspection/fe5b26dc-65f3-4ef7-b597-cb1cc7b385bb.jpg.296x216.jpg', '中海翠林超大双拼别墅 毛坯 赠送多', '中海翠林兰溪园  ', '1层2009年建塔楼  -  中海翠林', '450万', '单价17510元/平米')
('https://image1.ljcdn.com/442000-inspection/e73dc983-513b-474e-b939-730b6012bee4.jpg.296x216.jpg', '世纪新城三期，地下车位，诚意出售', '世纪新城三期  ', '塔楼  -  博爱一南', '14万', '单价4375元/平米')
('https://image1.ljcdn.com/442000-inspection/ff606932-9a5a-4986-ab06-e65931ace855.jpg.296x216.jpg', '沙溪镇政府 广联时代公寓 1房1厅出售', '广联时代公寓  ', '中楼层(共8层)2005年建塔楼  -  厚山广场', '40万', '单价9348元/平米')
('https://image1.ljcdn.com/442000-inspection/cd1a7c44-e7e9-4430-8e0c-60f8ad3d7ae9.JPG.296x216.jpg', '星宝明珠二期小区简单装 朝南阳台 安静舒适', '星宝明珠花园  ', '低楼层(共17层)2010年建塔楼  -  星宝', '118万', '单价10000元/平米')
('https://image1.ljcdn.com/442000-inspection/2819eb87-6807-42aa-a707-eb60decf182c.jpg.296x216.jpg', '安静不靠路 还有2个车位送。4房送地下库还有花园', '中海翠林兰溪园  ', '低楼层(共1层)2009年建塔楼  -  中海翠林', '340万', '单价18479元/平米')
('https://image1.ljcdn.com/442000-inspection/ceb518d3-b594-4442-82af-aa17468af038.jpg.296x216.jpg', '世纪新城二期，幸福时光，车位出售', '世纪新城二期幸福时光  ', '塔楼  -  博爱一南', '14万', '单价4667元/平米')
('https://image1.ljcdn.com/442000-inspection/7510b798-cf0c-4062-95d6-1273f03ff115.jpg.296x216.jpg', '华发四季 毛坯三房 高楼层 视野好', '华发四季  ', '高楼层(共32层)2019年建塔楼  -  溪角中学', '121万', '单价12605元/平米')
('https://image1.ljcdn.com/442000-inspection/4f08c762-df81-48ac-8027-414808f0082a.jpg.296x216.jpg', '中海翠林兰溪园 双拼毛坯别墅 位置安静', '中海翠林兰溪园  ', '1层2009年建塔楼  -  中海翠林', '550万', '单价20755元/平米')
('https://image1.ljcdn.com/442000-inspection/447bef9c-3f48-4831-84ad-c1037d804f5e.jpg.296x216.jpg', '世纪新城三期  毛坯带花园三房   朝南  诚意出售', '世纪新城三期  ', '低楼层(共30层)板楼  -  博爱一南', '156万', '单价12284元/平米')
('https://image1.ljcdn.com/442000-inspection/7dbd8553-1b58-4ecd-bba2-63eb283f5d80.jpg.296x216.jpg', '沙溪吉之岛 两房 精装高楼层 新装修', '平湖秋月花园  ', '高楼层(共11层)2010年建塔楼  -  溪角中学', '95万', '单价11586元/平米')
('https://image1.ljcdn.com/442000-inspection/bb442545-4cec-43aa-bb84-e83d158812d8.jpg.296x216.jpg', '世纪新城，毛坯两房，中间楼层，视野好。', '世纪新城三期  ', '中楼层(共24层)板楼  -  博爱一南', '125万', '单价13298元/平米')
('https://image1.ljcdn.com/442000-inspection/a6ebb261-f5e2-4138-8c2e-6d5d76fd86e5.jpg.296x216.jpg', '博爱一路 中信左岸 毛坯4房 格局方正', '中信左岸花园  ', '低楼层(共24层)板楼  -  博爱一南', '248万', '单价14419元/平米')
('https://image1.ljcdn.com/442000-inspection/2741c864-ac3d-45f5-ae85-7233a7ec09c0.jpg.296x216.jpg', '时代倾城 精装4房 朝南视野很好', '时代倾城  ', '中楼层(共26层)2012年建塔楼  -  博爱一南', '198万', '单价15000元/平米')
('', '世纪新城B区 两房两厅 精装修 有电梯 业主自住', '世纪新城一期B区  ', '高楼层(共11层)2007年建板楼  -  博爱一南', '142万', '单价16706元/平米')
('https://image1.ljcdn.com/442000-inspection/a942eb4e-3efb-465e-b63e-1e73652869f4.jpg.296x216.jpg', '中海翠林 高层景观房 东南朝向 仅需缴纳契税', '中海翠林兰溪园  ', '高楼层(共9层)2009年建板楼  -  中海翠林', '82万', '单价10000元/平米')
('https://image1.ljcdn.com/442000-inspection/791b22cb-9827-4d4c-86af-a8b2808ccdca.jpg.296x216.jpg', '精致装修  户型方正  保养很好   证满五年', '世纪新城一期B区  ', '低楼层(共26层)2007年建板楼  -  博爱一南', '420万', '单价17977元/平米')
('https://image1.ljcdn.com/442000-inspection/1a7752c9-191b-4e48-9e43-c266b27b4319.jpg.296x216.jpg', '平湖秋月 望园林湖景  精致三房两卫 无遮挡', '平湖秋月花园  ', '低楼层(共18层)2010年建塔楼  -  溪角中学', '122万', '单价11437元/平米')
('', '水岸花都 2室1厅 95万', '水岸花都  ', '中楼层(共11层)2010年建塔楼  -  星宝', '95万', '单价12066元/平米')
('https://image1.ljcdn.com/442000-inspection/2e0fa000-a98e-46c6-87f7-e0a5eff8c466.jpg.296x216.jpg', '世纪新城A区 装修一房 看房方便 满二免增值税', '世纪新城一期A区  ', '低楼层(共18层)2007年建板楼  -  博爱一南', '85万', '单价15455元/平米')
('https://image1.ljcdn.com/442000-inspection/d48e6dbf-a20a-4d0c-b724-6b3ce4b56924.JPG.296x216.jpg', '沙溪 星宝明珠 精致装修 诚意出售 实用 出行便利', '星宝明珠花园  ', '低楼层(共17层)2010年建塔楼  -  星宝', '309万', '单价12984元/平米')
('https://image1.ljcdn.com/442000-inspection/fef869b0-efb3-4788-8863-6a6565bce235.jpg.296x216.jpg', '誉花园 东向装修2房 诚心出售', '誉花园  ', '中楼层(共13层)2007年建塔楼  -  溪角中学', '95万', '单价11310元/平米')
('https://image1.ljcdn.com/442000-inspection/de0d5215-ff89-494c-87d4-8aa81298fe49.jpg.296x216.jpg', '温馨两房 带租出售 朝南单位 舒适优雅', '广联时代公寓  ', '低楼层(共8层)2005年建塔楼  -  厚山广场', '65万', '单价9888元/平米')
('https://image1.ljcdn.com/442000-inspection/3cba8d79-7ff7-46b9-97be-6e2fc2342b58.jpg.296x216.jpg', '汉基花园 电梯洋房 毛坯三房  中高楼层', '汉基花园  ', '中楼层(共10层)2010年建塔楼  -  星宝', '135万', '单价10631元/平米')
('https://image1.ljcdn.com/442000-inspection/f301385a-b3a2-4cd9-b2e6-42a62e488c9a.jpg.296x216.jpg', '吉之岛，宝嘉上筑。四房三厅，笋盘出售', '宝嘉上筑  ', '低楼层(共24层)2008年建塔楼  -  龙瑞', '190万', '单价14616元/平米')
('https://image1.ljcdn.com/442000-inspection/de02fdd5-1d6e-4310-94a3-6febd693751d.jpg.296x216.jpg', '汽车总站旁 高层两房 奥园金域', '奥园金域  ', '高楼层(共20层)塔楼  -  汽车总站', '112万', '单价12468元/平米')
('https://image1.ljcdn.com/442000-inspection/9f117765-3a56-4add-be4c-84a316708574.jpg.296x216.jpg', '锦绣沙溪 2层复式 业主诚心出售', '锦绣沙溪  ', '高楼层(共6层)2000年建塔楼  -  星宝', '120万', '单价8889元/平米')
('https://image1.ljcdn.com/442000-inspection/f8bd4f30-4afa-4844-925d-10b55559021a.jpg.296x216.jpg', '雅居乐世纪新城 精装两房 满五唯一 保养好 户型方正', '世纪新城三期  ', '高楼层(共24层)板楼  -  博爱一南', '136万', '单价14469元/平米')
('https://image1.ljcdn.com/442000-inspection/efe9a19c-a3c8-46cc-8a06-133ad3655239.jpg.296x216.jpg', '世纪新城 毛坯3房 格局方正 采光通透 视野开阔', '世纪新城三期  ', '低楼层(共30层)板楼  -  博爱一南', '190万', '单价14844元/平米')
('', '中海翠林兰溪园 联排单边别墅 超大花园', '中海翠林兰溪园  ', '1层2009年建塔楼  -  中海翠林', '380万', '单价20431元/平米')
('', '康桥活力城 北向3+2房 看小区园林 位置安静', '康桥活力城  ', '低楼层(共11层)2008年建板楼  -  星宝', '110万', '单价10668元/平米')
('https://image1.ljcdn.com/442000-inspection/51a677fb-04b9-41f2-b16b-823935d18c64.jpg.296x216.jpg', '平湖秋月 赠一个大平台 毛坯两房可以改三房', '平湖秋月花园  ', '高楼层(共11层)2010年建塔楼  -  溪角中学', '100万', '单价12500元/平米')
('https://image1.ljcdn.com/442000-inspection/f44f7ffc-f6fb-4030-95ac-c180ddfcbdaa.jpg.296x216.jpg', '宽敞四房  满五唯一  南北通透  送大平台', '阳光半岛  ', '高楼层(共9层)2008年建塔楼  -  星宝', '198万', '单价12081元/平米')
('https://image1.ljcdn.com/442000-inspection/d1789a30-0cf3-4407-a673-e1e4101546a7.jpg.296x216.jpg', '中信左岸 精装两房，拎包即住朝南户型', '中信左岸花园  ', '中楼层(共24层)板楼  -  博爱一南', '130万', '单价15115元/平米')
('', '宝嘉上筑 精装一房一厅 诚售 临菜丁市场', '宝嘉上筑  ', '低楼层(共28层)2008年建塔楼  -  龙瑞', '60万', '单价14410元/平米')
('https://image1.ljcdn.com/442000-inspection/ec001076-b705-458e-a93d-1ef321ac527c.jpg.296x216.jpg', '世纪新城C区 精装三房 位置安静 送家私电器', '世纪新城三期  ', '低楼层(共30层)板楼  -  博爱一南', '158万', '单价15340元/平米')
('https://image1.ljcdn.com/442000-inspection/2c6f1243-f34f-412e-b0ba-bd6da76ed672.jpg.296x216.jpg', '世纪新城三期 4室2厅 800万', '世纪新城三期  ', '1层暂无数据  -  博爱一南', '800万', '单价30652元/平米')
('https://image1.ljcdn.com/442000-inspection/617135e2-82f2-4452-8cdf-8a477a332106.jpg.296x216.jpg', '中信左岸 复式 买一层送一层 再送大花园', '中信左岸花园  ', '低楼层(共24层)板楼  -  博爱一南', '200万', '单价17392元/平米')
('', '广联时代公寓 一房公寓 易出租 使用率高', '广联时代公寓  ', '中楼层(共8层)2005年建塔楼  -  厚山广场', '27万', '单价9997元/平米')
('', '时代倾城 2室2厅 120万', '时代倾城  ', '高楼层(共32层)2014年建塔楼  -  博爱一南', '120万', '单价13954元/平米')
('https://image1.ljcdn.com/442000-inspection/7c56da9d-0715-4e89-81ec-63b34d3e922c.jpg.296x216.jpg', '中信左岸，精装复式四房，送超大后花园。', '中信左岸花园  ', '低楼层(共24层)板楼  -  博爱一南', '350万', '单价38044元/平米')
('https://image1.ljcdn.com/442000-inspection/8c2ef370-1824-4d63-91c4-9a706d36d0b9.jpg.296x216.jpg', '宝嘉上筑 3室2厅 130万', '宝嘉上筑  ', '高楼层(共24层)2008年建塔楼  -  龙瑞', '130万', '单价14773元/平米')
('', '世纪新城A区 精装三房 长阳台 满两年 送家私电器', '世纪新城一期A区  ', '低楼层(共18层)2007年建板楼  -  博爱一南', '210万', '单价17476元/平米')
('https://image1.ljcdn.com/442000-inspection/71ebd5f9-a487-4b5a-95c7-9d6d4870252b.jpg.296x216.jpg', '时代倾城 朝南毛坯两房 中高楼层', '时代倾城  ', '中楼层(共32层)2012年建塔楼  -  博爱一南', '122万', '单价13556元/平米')
('https://image1.ljcdn.com/442000-inspection/5deecbca-bf11-47e3-8638-bbe4c2160ac3.jpg.296x216.jpg', '中海翠林 联排别墅 户型好 位置安静', '中海翠林兰溪园  ', '1层2009年建塔楼  -  中海翠林', '350万', '单价17767元/平米')
('', '本房子精装修，家私家电全送，拎包入 住', '星宝明珠花园  ', '中楼层(共23层)2010年建塔楼  -  星宝', '95万', '单价16380元/平米')
('https://image1.ljcdn.com/442000-inspection/b04c4545-d6a6-4066-9ada-167a9df4f3ff.jpg.296x216.jpg', '星宝明珠花园 两房 高楼层视野开阔', '星宝明珠花园  ', '高楼层(共17层)2010年建塔楼  -  星宝', '120万', '单价11215元/平米')
('https://image1.ljcdn.com/442000-inspection/fd1bfdd0-666a-40e5-8b8a-ad18b2a7da18.jpg.296x216.jpg', '伟成新村 3室2厅 68万', '伟成新村  ', '高楼层(共7层)板楼  -  溪角中学', '68万', '单价6539元/平米')
('https://image1.ljcdn.com/442000-inspection/4b36e027-50a6-4cb6-92c3-800c10bead09.jpg.296x216.jpg', '时代倾城 4室2厅 户型方正 诚意出售', '时代倾城  ', '低楼层(共32层)2014年建塔楼  -  博爱一南', '190万', '单价13381元/平米')
('https://image1.ljcdn.com/442000-inspection/735fea3b-c35f-437f-bc5f-628fca451a03.jpg.296x216.jpg', '水岸花都 平层3房2卫  精装修。', '水岸花都  ', '高楼层(共18层)塔楼  -  星宝', '155万', '单价11833元/平米')
('https://image1.ljcdn.com/442000-inspection/5c26439d-07a3-4d2c-90fd-45cf42087b87.jpg.296x216.jpg', '时代倾城 实用三加二房 高层望花园 有车位', '时代倾城  ', '高楼层(共24层)2013年建塔楼  -  博爱一南', '175万', '单价13889元/平米')
('', '中山汽车总站 汉基花园 朝南电梯3房 生活便利环境优美', '汉基花园  ', '中楼层(共7层)2010年建塔楼  -  星宝', '100万', '单价9260元/平米')
('https://image1.ljcdn.com/442000-inspection/8aa14eaf-29bc-48b7-a0c4-45c7eb991697.jpg.296x216.jpg', '世纪新城A区 江景景观 清水一房 满二免增值税', '世纪新城一期A区  ', '低楼层(共24层)2007年建板楼  -  博爱一南', '112万', '单价14934元/平米')
('https://image1.ljcdn.com/442000-inspection/87e74cc8-6d10-4084-829c-a62e06fe4a6f.jpg.296x216.jpg', '中信左岸，稀缺户型，精装三房，诚心出售。', '中信左岸花园  ', '高楼层(共24层)板楼  -  博爱一南', '170万', '单价15182元/平米')
('', '星宝明珠花园 6室2厅 285万', '星宝明珠花园  ', '低楼层(共17层)2010年建塔楼  -  星宝', '285万', '单价11975元/平米')
('https://image1.ljcdn.com/442000-inspection/84bfb776-3f17-4afa-8154-f039e2a3e3e2.jpg.296x216.jpg', '宝嘉上筑 带精致装修 正南户型 采光通风很棒', '宝嘉上筑  ', '低楼层(共28层)2008年建塔楼  -  龙瑞', '162万', '单价14728元/平米')
('https://image1.ljcdn.com/442000-inspection/53ed2dc9-8d87-4f9d-931e-18613b9a143b.jpg.296x216.jpg', '中海翠林兰溪园  联排别墅  带装修 南北通透', '中海翠林兰溪园  ', '1层2009年建塔楼  -  中海翠林', '370万', '单价17875元/平米')
('', '康桥活力城 3室2厅 126万', '康桥活力城  ', '高楼层(共11层)2008年建板楼  -  星宝', '126万', '单价11887元/平米')
('https://image1.ljcdn.com/442000-inspection/a9e42359-f63f-42e8-898f-f70f5ff3546c.jpg.296x216.jpg', '奕豪园 复式三房 精装修 业主自住 复式格局', '奕豪园  ', '高楼层(共11层)2009年建塔楼  -  厚山广场', '140万', '单价15513元/平米')
('https://image1.ljcdn.com/442000-inspection/936b98f3-fce2-4a1d-848b-b94767d0308d.jpg.296x216.jpg', '小区新 单价低 低总价房间多 适合大家庭住', '锦绣沙溪  ', '高楼层(共6层)2000年建塔楼  -  星宝', '168万', '单价7915元/平米')
('', '时代倾城 3室2厅 190万', '时代倾城  ', '高楼层(共24层)2013年建塔楼  -  博爱一南', '190万', '单价15574元/平米')
('https://image1.ljcdn.com/442000-inspection/f8ce597e-a75b-41f6-857b-5fbf25ec2892.jpg.296x216.jpg', '中信左岸111㎡少有户型，精装三房出售!', '中信左岸花园  ', '低楼层(共24层)板楼  -  博爱一南', '160万', '单价14160元/平米')
('', '隆兴花园 3室2厅 100万', '隆兴花园  ', '低楼层(共6层)2008年建塔楼  -  沙溪镇政府', '100万', '单价9524元/平米')
('https://image1.ljcdn.com/442000-inspection/c4cdfcab-e200-4431-804f-d695113e8cfd.jpg.296x216.jpg', '平湖秋月 精致三房 看园林 望湖 诚意出售 税费少', '平湖秋月花园  ', '中楼层(共11层)2010年建塔楼  -  溪角中学', '130万', '单价12923元/平米')
('', '中信左岸花园 4室2厅 243万', '中信左岸花园  ', '中楼层(共24层)板楼  -  博爱一南', '243万', '单价15000元/平米')
('https://image1.ljcdn.com/442000-inspection/699cad29-eea7-435a-b055-0d0c309e83a1.jpg.296x216.jpg', '中信左岸 南北对流 2017年装修自住保养好 证满五年', '中信左岸花园  ', '高楼层(共24层)板楼  -  博爱一南', '220万', '单价16484元/平米')
('', '中信左岸 稀少户型 朝南户型 看小区花园和泳池', '中信左岸花园  ', '中楼层(共24层)板楼  -  博爱一南', '160万', '单价17205元/平米')
