('https://image1.ljcdn.com/370600-inspection/2268727c-fdd4-49e0-88b2-b373cd71b3dc.JPG.296x216.jpg', '翡翠小区+南通路+大三居+南北通透+年代新框架房', '通世里  | 3室2厅 | 111.44平米 | 南 北 | 精装', '中楼层(共5层)1999年建板楼  -  南通路', '208万', '单价18665元/平米')
('https://image1.ljcdn.com/370600-inspection/18d33f29-c7c8-4ace-95c8-2a3085abf83c.JPG.296x216.jpg', '春晟小高层，框架房，南北通透，精装修，可拎包入住', '春晟花园  | 4室1厅 | 116.26平米 | 南 北 | 其他', '低楼层(共11层)2005年建塔楼  -  凤凰台', '132万', '单价11354元/平米')
('https://image1.ljcdn.com/370600-inspection/9c68be64-b247-4c48-8e08-7f8faa86ab85.JPG.296x216.jpg', '两室户型，双南卧，南北通透，楼层合适。', '凤凰台路  | 2室1厅 | 67.96平米 | 南 北 | 其他', '低楼层(共4层)1990年建板楼  -  凤凰台', '66万', '单价9712元/平米')
('https://image1.ljcdn.com/370600-inspection/5248c817-9d1b-48a8-8bf9-4f556ff24e42.jpg.296x216.jpg', '金沟寨三居室好房 值得看 南北通透格局 精装入住', '金沟寨二街  | 3室2厅 | 80.76平米 | 南 北 | 精装', '高楼层(共6层)1998年建板楼  -  二马路', '198万', '单价24518元/平米')
('https://image1.ljcdn.com/370600-inspection/1f12907f-404e-44d8-9192-e23db703c1b0.jpg.296x216.jpg', '三站旁西南向两居室+楼层高采光视野无遮挡+配套齐全', '三水佳苑  | 2室2厅 | 113.36平米 | 西南 | 其他', '中楼层(共22层)2004年建板塔结合  -  三站', '135万', '单价11909元/平米')
('https://image1.ljcdn.com/370600-inspection/2968e0bd-7012-4ffa-8c90-d80f1c17c7ba.jpg.296x216.jpg', '北河街 距离十中400米（来自高德地图）5楼 非顶楼', '北河街  | 2室1厅 | 66.14平米 | 南 | 简装', '高楼层(共6层)1990年建板楼  -  厚安', '120万', '单价18144元/平米')
('https://image1.ljcdn.com/370600-inspection/71042bd1-1fd3-473e-8146-95190557980a.jpg.296x216.jpg', '雪玉花苑 精装三室 一梯两户 西打头 带露台', '雪玉花苑  | 3室2厅 | 115.3平米 | 南 北 | 其他', '低楼层(共12层)2007年建板楼  -  白石', '160万', '单价13877元/平米')
('https://image1.ljcdn.com/370600-inspection/2ec927b8-c392-4413-9db6-6f9e7fc586d0.jpg.296x216.jpg', '民生街 好楼层 大面积 一梯两户 交通便利', '民生街  | 3室1厅 | 81.89平米 | 东 西 | 简装', '高楼层(共5层)1989年建板楼  -  解放路', '140万', '单价17097元/平米')
('https://image1.ljcdn.com/370600-inspection/06866d60-605d-499d-b91b-96769c6d0c8c.jpg.296x216.jpg', '金沟寨小区，低楼层 双南卧 采光充足 位置安静', '金沟寨二街  | 2室1厅 | 55.44平米 | 南 | 简装', '低楼层(共6层)1998年建板楼  -  二马路', '148万', '单价26696元/平米')
('https://image1.ljcdn.com/370600-inspection/7ad54c92-bc6a-4016-a2cc-c57022738b3e.jpg.296x216.jpg', '上夼西路宝石场大院，框架房，装修好，采光好，非顶楼', '上夼西路  | 3室2厅 | 101.88平米 | 南 北 | 其他', '高楼层(共7层)1998年建板楼  -  上夼', '105万', '单价10307元/平米')
('https://image1.ljcdn.com/370600-inspection/56caf7cb-2e81-4a5d-a79e-b4452c9ced0f.jpg.296x216.jpg', '交通便利，价格合适，南北通透,楼层不错，改造空间大', '南迎祥路  | 2室1厅 | 50.59平米 | 南 北 | 其他', '中楼层(共5层)1988年建板楼  -  上夼', '123万', '单价24314元/平米')
('https://image1.ljcdn.com/370600-inspection/a20761b7-ec43-4803-b186-e45d1c710895.jpg.296x216.jpg', '奇山西街马赛克房顶加阁露天阳台内走楼梯实木婚房装修', '奇山西街  | 3室2厅 | 59.96平米 | 南 北 | 其他', '高楼层(共6层)1990年建板楼  -  上夼', '80万', '单价13343元/平米')
('https://image1.ljcdn.com/370600-inspection/31dc8a3f-894d-4ef7-8bb8-c1bf9383bd7a.jpg.296x216.jpg', '两室户型，楼层合适，采光好，南北卧，南北通透', '凤凰台四街  | 2室1厅 | 64.51平米 | 南 北 | 其他', '中楼层(共5层)1997年建板楼  -  凤凰台', '72万', '单价11162元/平米')
('https://image1.ljcdn.com/370600-inspection/d9a5b25d-ccc5-42ec-a7de-29fc2c85223a.jpg.296x216.jpg', '芝罘岛中里社区两室双南卧送阳台采光好', '芝罘岛中里  | 2室1厅 | 56.5平米 | 南 北 | 其他', '中楼层(共4层)暂无数据  -  幸福', '50万', '单价8850元/平米')
('https://image1.ljcdn.com/370600-inspection/8bbda1a2-dd79-494e-ada1-42325553e826.jpg.296x216.jpg', '银都新城市广场，新小区，配套设施齐全', '银都新城市广场  | 1室1厅 | 63.64平米 | 北 | 其他', '低楼层(共31层)2011年建塔楼  -  白石', '66万', '单价10371元/平米')
('https://image1.ljcdn.com/370600-inspection/d74e3f42-89d3-4622-84c8-18e7ee2c78fd.jpg.296x216.jpg', '寰辰佳苑精装两居室，84平 96万', '寰辰佳苑  | 2室2厅 | 84平米 | 南 西 北 | 其他', '低楼层(共11层)2010年建板楼  -  黄务', '96万', '单价11429元/平米')
('https://image1.ljcdn.com/370600-inspection/6b205c6f-1f96-43c6-8b4b-c6ba4c03341c.JPG.296x216.jpg', '南仓小区 中间楼层，49.7平 精装修 拎包入住', '南仓小区  | 2室1厅 | 49.7平米 | 南 | 其他', '中楼层(共6层)1998年建板楼  -  凤凰台', '41万', '单价8250元/平米')
('https://image1.ljcdn.com/370600-inspection/c1c587c4-7550-4b36-a706-ccc8addb011c.jpg.296x216.jpg', '中桦家苑三居室三南卧南北通透电梯房采光好无遮挡', '中桦家苑  | 3室2厅 | 122.89平米 | 南 北 | 其他', '高楼层(共11层)2007年建板楼  -  世回尧', '178万', '单价14485元/平米')
('https://image1.ljcdn.com/370600-inspection/74f49bc5-37ea-43ea-8f54-1f5395cf8ae7.jpg.296x216.jpg', '福恩街 2室1厅 54万', '福恩街  | 2室1厅 | 54.93平米 | 南 | 其他', '低楼层(共5层)暂无数据  -  幸福', '54万', '单价9831元/平米')
('https://image1.ljcdn.com/370600-inspection/07ec60f8-aaac-4779-a5a7-fd3e47016038.jpg.296x216.jpg', '南操场附近封闭小区 小高层 有停车位 精装3室 客厅大', '福来里  | 3室2厅 | 129.74平米 | 南 北 | 其他', '中楼层(共12层)2006年建板楼  -  厚安', '325万', '单价25051元/平米')
('https://image1.ljcdn.com/370600-inspection/1be492ae-33f9-49e4-9822-340f6acbb80b.JPG.296x216.jpg', '双南卧、南北通透、视野开阔、采光好', '凤凰台南街小区  | 2室2厅 | 65.57平米 | 南 北 | 其他', '中楼层(共7层)2002年建板楼  -  凤凰台', '75万', '单价11439元/平米')
('https://image1.ljcdn.com/370600-inspection/8bb21401-8f94-46c0-9444-0b5ae309d897.JPG.296x216.jpg', '三和家苑三居室低楼层，打头房，适合居住，可贷款', '三和家苑  | 3室2厅 | 90.19平米 | 南 西 北 | 其他', '低楼层(共7层)2002年建板楼  -  黄务', '115万', '单价12751元/平米')
('https://image1.ljcdn.com/370600-inspection/3367d037-0c3a-4e25-a401-5aa68f11d1b3.jpg.296x216.jpg', '一中冰心带电梯年代新框架房装修拎包入住', '金沟寨一街  | 2室2厅 | 115.17平米 | 南 北 | 其他', '低楼层(共12层)2003年建板楼  -  二马路', '248万', '单价21534元/平米')
('https://image1.ljcdn.com/370600-inspection/afad2a46-e790-449a-a486-6321730b54e5.jpg.296x216.jpg', '小区里 四楼 精装修三居室 全明户型 直接入住', '东方巴黎  | 3室2厅 | 96.34平米 | 南 北 | 其他', '中楼层(共7层)2005年建板楼  -  三站', '132万', '单价13702元/平米')
('https://image1.ljcdn.com/370600-inspection/941920cf-44cd-4928-9939-c7bde5a81f8d.jpg.296x216.jpg', '全明户型 通风采光充足 带沿街门头', '佳苑街  | 2室2厅 | 84.91平米 | 南 西 | 其他', '中楼层(共5层)2004年建板楼  -  幸福', '120万', '单价14133元/平米')
('https://image1.ljcdn.com/370600-inspection/0756a6bc-6675-4f68-a56f-265becc1c4ec.jpg.296x216.jpg', '楼层好马赛克房年代新三室格局南北通透户型好', '南沟街  | 3室2厅 | 86.54平米 | 南 北 | 其他', '中楼层(共6层)1995年建板楼  -  二马路', '218万', '单价25191元/平米')
('https://image1.ljcdn.com/370600-inspection/489f5d1e-8414-42f1-ac23-afe3e327a858.jpg.296x216.jpg', '中兴街 视野无遮挡 采光好 离校近 生活方便', '中兴街  | 2室1厅 | 49.35平米 | 西 | 其他', '中楼层(共6层)1989年建板楼  -  解放路', '100万', '单价20264元/平米')
('https://image1.ljcdn.com/370600-inspection/33a40def-6eb3-497a-b482-7418b4315aec.jpg.296x216.jpg', '万达东 厚安小区 南北通透 视野好 生活便利', '三道街  | 2室1厅 | 65.96平米 | 南 北 | 简装', '高楼层(共6层)1990年建板楼  -  厚安', '85万', '单价12887元/平米')
('https://image1.ljcdn.com/370600-inspection/9d932073-8078-40cd-9403-7fe54d16575f.JPG.296x216.jpg', '此房楼层好，视野开阔，采光良好，', '电厂东路  | 2室1厅 | 53.67平米 | 南 北 | 简装', '高楼层(共4层)1995年建板楼  -  凤凰台', '48万', '单价8944元/平米')
('https://image1.ljcdn.com/370600-inspection/c50ef471-7069-4444-8162-fe0e19dde009.jpg.296x216.jpg', '毓璜顶医院南门，两室户型南北通透，楼层好，采光好', '世和胡同  | 2室1厅 | 52.6平米 | 南 北 | 其他', '低楼层(共6层)1985年建板楼  -  毓璜顶', '119万', '单价22624元/平米')
('https://image1.ljcdn.com/370600-inspection/c34ee487-0826-4368-9c5f-4ce05eae6d31.jpg.296x216.jpg', '大三居 户型方正 采光充足 马赛克 框架房', '南沟街  | 3室2厅 | 86.15平米 | 南 北 | 其他', '低楼层(共7层)1996年建板楼  -  二马路', '249万', '单价28904元/平米')
('https://image1.ljcdn.com/370600-inspection/addff061-4397-416a-b44f-26a9bb424b53.jpg.296x216.jpg', '南尧小区 精装修三居室 双南卧 南北通透', '南尧小区  | 3室2厅 | 84平米 | 南 北 | 其他', '高楼层(共6层)1996年建板楼  -  世回尧', '85万', '单价10120元/平米')
('https://image1.ljcdn.com/370600-inspection/802dd9ff-f808-4486-8a16-6afa75390a2c.jpg.296x216.jpg', '同合里，框架房，南北通透，好楼层，距离适中200米。', '同合里  | 1室1厅 | 52.91平米 | 南 北 | 其他', '高楼层(共6层)1996年建板楼  -  二马路', '115万', '单价21736元/平米')
('https://image1.ljcdn.com/370600-inspection/67a98802-c66c-4c3d-a6de-7d141a8c5b87.jpg.296x216.jpg', '奇山东街  马赛克房 平地起一楼 两个朝阳卧室', '奇山东街  | 2室1厅 | 61.83平米 | 南 北 | 其他', '低楼层(共7层)1996年建板楼  -  上夼', '75万', '单价12131元/平米')
('https://image1.ljcdn.com/370600-inspection/9f444494-1b11-4d8b-8ba6-3b4d50a488e1.jpg.296x216.jpg', '不临街不靠道，南北通透采光好，*方便实用面积大', '云龙里  | 2室1厅 | 49.39平米 | 南 北 | 精装', '高楼层(共6层)板楼  -  厚安', '96万', '单价19438元/平米')
('https://image1.ljcdn.com/370600-inspection/3ff73cdf-7577-4efb-8d1b-9f51ecd2d638.jpg.296x216.jpg', '环山路+生活方便+户型方正+看房方便', '环山路  | 2室2厅 | 65.74平米 | 南 北 | 其他', '高楼层(共6层)1996年建板楼  -  厚安', '62万', '单价9432元/平米')
('https://image1.ljcdn.com/370600-inspection/f8bbe35e-dd6c-4742-a641-e7d23ba9ca33.jpg.296x216.jpg', '顶加阁  中等装修 户型方正 一梯二户', '双新公寓  | 6室1厅 | 116.18平米 | 南 北 | 其他', '中楼层(共5层)1998年建板楼  -  白石', '150万', '单价12912元/平米')
('https://image1.ljcdn.com/370600-inspection/d522a0c2-c50c-4081-b7ae-16b1442114e6.JPG.296x216.jpg', '距离二中190米（来自百度地图）精装一室小房+总价低', '乐山里小区  | 1室1厅 | 35.77平米 | 南 | 其他', '高楼层(共6层)1986年建板楼  -  毓璜顶', '86万', '单价24043元/平米')
('https://image1.ljcdn.com/370600-inspection/40e15e48-443b-4681-8453-d4de73fcb44f.JPG.296x216.jpg', '三和绿景市土双证，两居室 可贷款带小棚，看房方便。', '三和绿景小区  | 2室2厅 | 86.74平米 | 南 北 | 其他', '低楼层(共6层)2006年建板楼  -  黄务', '105万', '单价12106元/平米')
('https://image1.ljcdn.com/370600-inspection/92eaf4de-d342-4132-bb56-f6acf318fb04.jpg.296x216.jpg', '迎山路顶楼加阁楼，南向采光充足，阁楼可做卧室', '迎山路  | 1室1厅 | 36.14平米 | 南 | 其他', '高楼层(共5层)1992年建板楼  -  二马路', '110万', '单价30438元/平米')
('https://image1.ljcdn.com/370600-inspection/cbbdc882-a07a-4499-b8f4-40c413c355ad.jpg.296x216.jpg', '新平街 1室1厅 48万', '新平街  | 1室1厅 | 36.88平米 | 南 | 其他', '中楼层(共7层)1990年建板楼  -  厚安', '48万', '单价13016元/平米')
('https://image1.ljcdn.com/370600-inspection/adaa48bd-ec1a-4b50-8fbc-9fbd1afbaf3c.JPG.296x216.jpg', '乐山里小区 两室一厅 二中 幼儿园*方便 毓璜顶医院', '乐山里小区  | 2室1厅 | 49.48平米 | 南 | 简装', '低楼层(共6层)暂无数据  -  毓璜顶', '115万', '单价23242元/平米')
('https://image1.ljcdn.com/370600-inspection/4493f548-35d7-45b4-a537-69db84b20844.jpg.296x216.jpg', '三校之间进门客厅带窗三居室停车*方便', '葡萄山里  | 3室2厅 | 80.1平米 | 东 西 北 | 其他', '高楼层(共4层)1982年建板楼  -  二马路', '165万', '单价20600元/平米')
('https://image1.ljcdn.com/370600-inspection/a3901436-399c-490e-9b06-a27a02c95b76.jpg.296x216.jpg', '产权证满2年 中间楼层 南北通透 采光充足 南向无遮挡', '万科海云台  | 3室2厅 | 125.5平米 | 南 北 | 其他', '中楼层(共18层)2011年建板楼  -  幸福', '206万', '单价16415元/平米')
('https://image1.ljcdn.com/370600-inspection/1a6b14bd-4b0c-42d7-9bbb-2953d4bb1aac.jpg.296x216.jpg', '西炮台东路  楼龄新  西打头   低楼层  精装修 拎包住', '西炮台东路  | 3室2厅 | 105平米 | 南 西 北 | 其他', '低楼层(共7层)暂无数据  -  三站', '140万', '单价13334元/平米')
('https://image1.ljcdn.com/370600-inspection/3147f4e1-e1c9-4c0f-ac8d-f4303370ad45.jpg.296x216.jpg', '低楼层+南北通透西打头+生活便利+单价低', '平安街  | 3室1厅 | 68.63平米 | 南 西 北 | 其他', '低楼层(共6层)1989年建板楼  -  厚安', '155万', '单价22585元/平米')
('https://image1.ljcdn.com/370600-inspection/08f68703-e8e1-4ef5-8732-aaf56ff94708.JPG.296x216.jpg', '北环山里+2楼+南北通透+初*之间+看好可谈', '北环山里  | 2室1厅 | 62.1平米 | 南 北 | 简装', '中楼层(共5层)1990年建板楼  -  二马路', '161万', '单价25926元/平米')
('https://image1.ljcdn.com/370600-inspection/5c116852-4156-469d-b090-02507cd39844.JPG.296x216.jpg', '魁玉路   桦林新区   南北通透   采光好', '桦林新区  | 2室1厅 | 74.58平米 | 南 北 | 其他', '高楼层(共6层)2006年建板楼  -  魁玉路', '82万', '单价10995元/平米')
('https://image1.ljcdn.com/370600-inspection/a95817b3-d8bb-4276-aff1-be87f3f5b6ac.jpg.296x216.jpg', '文化六巷生活交通便利，看房方便，可贷款。', '文化六巷  | 2室2厅 | 67.89平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  文化路', '65万', '单价9575元/平米')
('https://image1.ljcdn.com/370600-inspection/29c36795-338a-43b6-8909-be8d8e5cfb69.jpg.296x216.jpg', '南山丽景花园，精装三居室，南北通透，采光好', '南山丽景花园  | 3室2厅 | 141.35平米 | 南 北 | 其他', '低楼层(共30层)2011年建板楼  -  山海南路', '203万', '单价14362元/平米')
('https://image1.ljcdn.com/370600-inspection/217dc448-67f7-478e-bed3-222ee3fe6792.jpg.296x216.jpg', '楼层好 视野宽阔 周边配套齐全', '平安街  | 2室1厅 | 44平米 | 南 北 | 其他', '高楼层(共6层)1989年建板楼  -  厚安', '90万', '单价20455元/平米')
('https://image1.ljcdn.com/370600-inspection/17c4f3e0-2b25-4b65-a749-1846b92bf8c0.JPG.296x216.jpg', '翡翠小区 框架房 精装修 南北通透 低楼层 满五唯一', '通世里  | 3室2厅 | 102.96平米 | 南 北 | 其他', '低楼层(共7层)2000年建板塔结合  -  南通路', '223万', '单价21659元/平米')
('https://image1.ljcdn.com/370600-inspection/7638245f-ee98-41d6-9c6d-7688277f2956.jpg.296x216.jpg', '新世界花园  一室两厅 西打头 采光好 拎包入住', '新世界花园  | 1室2厅 | 74.32平米 | 南 北 | 其他', '中楼层(共19层)2005年建板楼  -  幸福', '83万', '单价11168元/平米')
('https://image1.ljcdn.com/370600-inspection/2e697028-2308-49f0-977b-5a967d512617.jpg.296x216.jpg', '桃园里 低楼层 双阳卧 卫生间带窗 交通便利', '桃园里  | 2室1厅 | 53平米 | 南 北 | 其他', '低楼层(共7层)2002年建板楼  -  新桥', '62万', '单价11699元/平米')
('https://image1.ljcdn.com/370600-inspection/0a418f74-d070-4f74-a958-5434da07b641.jpg.296x216.jpg', '学府门前楼层好马赛克房房子年代新', '环山路  | 2室1厅 | 71.28平米 | 南 北 | 精装', '中楼层(共6层)1996年建板楼  -  厚安', '165万', '单价23149元/平米')
('https://image1.ljcdn.com/370600-inspection/7bfca105-184a-4dc1-952e-f1c3caf944c7.jpg.296x216.jpg', '桃花街+3楼南北通透+周边配套齐全+临近红利市场海景', '桃花街  | 1室1厅 | 39.62平米 | 南 北 | 其他', '中楼层(共5层)1992年建板楼  -  厚安', '60万', '单价15144元/平米')
('https://image1.ljcdn.com/370600-inspection/ee271c1f-a1d2-4c3b-b846-8a902da74094.jpg.296x216.jpg', '中等装修三居室  南北通透 采光好 看房方便', '西山汇源小区  | 3室1厅 | 78.51平米 | 南 北 | 其他', '高楼层(共7层)2004年建板楼  -  三站', '70万', '单价8917元/平米')
('https://image1.ljcdn.com/370600-inspection/d76c557c-af28-4c23-9753-692640d091f6.jpg.296x216.jpg', '坤宇南街多层三居室，公摊小，适合居住，看房方便', '坤宇南街  | 3室2厅 | 112.82平米 | 南 北 | 其他', '中楼层(共6层)1998年建板楼  -  黄务', '200万', '单价17728元/平米')
('https://image1.ljcdn.com/370600-inspection/5117e9de-b436-4d04-a120-bc7d43d9b9b7.JPG.296x216.jpg', '魁玉路 阳光绿洲 南北通透 采光好 一梯二户', '阳光绿洲  | 2室2厅 | 71.87平米 | 南 北 | 其他', '低楼层(共6层)2006年建板楼  -  世回尧', '88万', '单价12245元/平米')
('https://image1.ljcdn.com/370600-inspection/bdd98d2b-fe4b-459f-bb62-31ea83de54c6.jpg.296x216.jpg', '解放路西侧/南北通透/采光好/房主急售', '东南台子  | 2室1厅 | 58.32平米 | 南 北 | 简装', '高楼层(共7层)1990年建板楼  -  厚安', '58万', '单价9946元/平米')
('https://image1.ljcdn.com/370600-inspection/0f21b17a-fc91-4cd9-95a7-7929fbb6a559.JPG.296x216.jpg', '只楚小区 采光好 楼层好 配套齐全 交通便利', '只楚小区  | 2室2厅 | 71.06平米 | 南 | 其他', '中楼层(共6层)1999年建板楼  -  凤凰台', '51万', '单价7178元/平米')
('https://image1.ljcdn.com/370600-inspection/eb8a7619-1b03-4590-b1c1-cd9685b63b36.jpg.296x216.jpg', '南大街繁华地段 出行方便 楼层适中 南北通透', '明春巷  | 2室1厅 | 75平米 | 南 北 | 其他', '低楼层(共6层)1990年建暂无数据  -  三站', '88万', '单价11734元/平米')
('https://image1.ljcdn.com/370600-inspection/22ce15e3-ad67-4e31-8e8e-3ba5c3a435e8.JPG.296x216.jpg', '房子距离二中步行大约770米左右，（来自百度地图）。', '福乐里  | 4室2厅 | 51.84平米 | 东 南 北 | 其他', '高楼层(共4层)1995年建板楼  -  毓璜顶', '140万', '单价27007元/平米')
('https://image1.ljcdn.com/370600-inspection/e42e5838-fdc7-424a-84bd-69b522313ac4.JPG.296x216.jpg', '阳光100 交通便利 火车站 汽车站 拎包入住', '阳光100  | 1室1厅 | 50.86平米 | 北 | 其他', '高楼层(共29层)2006年建塔楼  -  三水', '72万', '单价14157元/平米')
('https://image1.ljcdn.com/370600-inspection/03d27d89-bdb8-4197-b469-d4e8f75035c9.jpg.296x216.jpg', '金沟寨，电梯房，精装，封闭小区，05年新房，证件齐全', '金沟寨一街  | 3室2厅 | 111.68平米 | 南 北 | 其他', '中楼层(共12层)2003年建板楼  -  二马路', '260万', '单价23281元/平米')
('https://image1.ljcdn.com/370600-inspection/1c58f0e6-c9a3-488b-a5fe-033f158a626d.jpg.296x216.jpg', '新海阳北街 2室1厅 46万', '新海阳北街  | 2室1厅 | 52.16平米 | 南 北 | 其他', '高楼层(共6层)1995年建板楼  -  白石', '46万', '单价8820元/平米')
('https://image1.ljcdn.com/370600-inspection/47b3f904-9ab5-40fc-b7d0-bd13b0d90bca.JPG.296x216.jpg', '楼层好、视野开阔、采光好、市场近 小区配套齐全', '万光希望家园  | 2室1厅 | 72.35平米 | 南 北 | 其他', '高楼层(共6层)2005年建板楼  -  凤凰台', '69.5万', '单价9607元/平米')
('https://image1.ljcdn.com/370600-inspection/feb257c2-bcba-48b5-9199-ece48a6d602a.jpg.296x216.jpg', '东沟路一室一厅 楼层好 生活方便', '东沟路  | 1室1厅 | 37.85平米 | 南 | 毛坯', '中楼层(共8层)1991年建板楼  -  解放路', '85万', '单价22458元/平米')
('https://image1.ljcdn.com/370600-inspection/b062772c-e67a-477c-b51c-5ebdfaee55b9.jpg.296x216.jpg', '装修别致，拎包入住；采光充足，视野开阔，南北通透', '电子仪宿舍  | 2室1厅 | 51.09平米 | 南 北 | 其他', '高楼层(共5层)暂无数据  -  幸福', '57万', '单价11157元/平米')
('https://image1.ljcdn.com/370600-inspection/f5067712-f665-4263-ac56-d3ad6bc838d6.jpg.296x216.jpg', '幸福三村 3室2厅 118万', '幸福三村  | 3室2厅 | 82.84平米 | 南 北 | 其他', '高楼层(共7层)1998年建板楼  -  幸福', '118万', '单价14245元/平米')
('https://image1.ljcdn.com/370600-inspection/3a2148a6-7c23-4208-9eac-8fc3392393be.jpg.296x216.jpg', '大成门 精装修 交通便利 生活方便', '大成门  | 2室2厅 | 102平米 | 南 | 其他', '中楼层(共26层)2013年建板楼  -  白石', '230万', '单价22550元/平米')
('https://image1.ljcdn.com/370600-inspection/d3faf130-f9a3-4bcc-be55-a3d5a1c4bd54.jpg.296x216.jpg', '银都财富+西北向三室+电梯海景房+高楼层采光无遮挡', '银都财富中心  | 3室1厅 | 123.74平米 | 西 北 | 其他', '高楼层(共52层)2008年建塔楼  -  毓璜顶', '249万', '单价20123元/平米')
('https://image1.ljcdn.com/370600-inspection/057da446-1374-4b13-bd72-24d62837efc0.jpg.296x216.jpg', '此房满五唯一，位置好，楼层好，户型方正', '福山路  | 2室1厅 | 51.46平米 | 南 | 简装', '低楼层(共6层)1983年建板楼  -  二马路', '142万', '单价27595元/平米')
('https://image1.ljcdn.com/370600-inspection/28856527-ceea-4166-b8cf-8ae7835d9ccf.jpg.296x216.jpg', '满五年商品房，一梯两户，南北通透，带平台和外扩书房', '三马路  | 2室1厅 | 66.66平米 | 南 北 | 其他', '中楼层(共7层)1995年建板楼  -  解放路', '165万', '单价24753元/平米')
('https://image1.ljcdn.com/370600-inspection/04dfca7f-1f84-4d57-90bf-d12d9bc3fdfe.JPG.296x216.jpg', '只楚路北新桥红果里两室南北通透采光好', '红果里  | 2室1厅 | 61.8平米 | 南 北 | 其他', '高楼层(共6层)1995年建板楼  -  新桥', '51万', '单价8253元/平米')
('https://image1.ljcdn.com/370600-inspection/2c8c1005-0813-4ec7-b775-764bbd53ded3.jpg.296x216.jpg', '新世界公寓装修好南向36万好房', '新世界花园  | 1室0厅 | 46.47平米 | 南 | 其他', '中楼层(共19层)2005年建板楼  -  幸福', '36万', '单价7747元/平米')
('https://image1.ljcdn.com/370600-inspection/833b87e1-a32c-42d4-a0ee-4c1d7a877e76.jpg.296x216.jpg', '一中葡萄山门口框架房一楼可以做小饭桌采光无遮挡', '葡萄山南路  | 2室0厅 | 66.93平米 | 南 北 | 简装', '低楼层(共8层)1998年建板楼  -  二马路', '187万', '单价27940元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload8a73110f-a181-4c93-a5a3-bf4735a6b493.jpg.296x216.jpg', '南迎祥路三室南北通透停车方便 楼层好单价低可改造', '南迎祥路  | 3室1厅 | 73.97平米 | 南 北 | 其他', '中楼层(共5层)1988年建板楼  -  上夼', '155万', '单价20955元/平米')
('https://image1.ljcdn.com/370600-inspection/7dfb3157-5699-44e7-ac48-436157a8ff2f.jpg.296x216.jpg', '惠安小区 阁楼一居室 户口可迁出 看房便利', '惠安小区D区  | 1室1厅 | 39.1平米 | 南 | 简装', '高楼层(共7层)2002年建板楼  -  惠安', '40万', '单价10231元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploadc12fe690-a0c9-485f-9b38-4c49a2486a41.jpg.296x216.jpg', '框架房+南北通透+精装修+中间楼层+04年的房源', '辛庄街  | 3室2厅 | 130.7平米 | 南 北 | 其他', '高楼层(共6层)2004年建板楼  -  厚安', '195万', '单价14920元/平米')
('https://image1.ljcdn.com/370600-inspection/6ed21254-e36e-4daf-9e76-6b1bb74ff669.jpg.296x216.jpg', '金苹果公寓 1室1厅 34万', '金苹果公寓  | 1室1厅 | 33.72平米 | 南 | 其他', '中楼层(共8层)2004年建板楼  -  黄务', '34万', '单价10084元/平米')
('https://image1.ljcdn.com/370600-inspection/3a3144c6-b5a6-4b19-bde5-987abadca510.JPG.296x216.jpg', '迎春里 非顶楼 采光 视野好  生活方便 ，可拎包入住，', '迎春里  | 1室1厅 | 28.7平米 | 南 北 | 精装', '中楼层(共4层)1985年建板楼  -  毓璜顶', '84.8万', '单价29548元/平米')
('https://image1.ljcdn.com/370600-inspection/b3543e7e-caad-4b74-adc4-f1ab8269ad19.JPG.296x216.jpg', '小户型南向采光好生活方便电梯房', '银都财富中心  | 1室1厅 | 47.59平米 | 南 | 其他', '中楼层(共52层)2008年建塔楼  -  毓璜顶', '108万', '单价22694元/平米')
('https://image1.ljcdn.com/370600-inspection/0fbc7315-41fa-4bfa-b059-1595c8090d68.jpg.296x216.jpg', '产权证满2年 南北通透 各付 前后无遮挡 采光充足', '万科青年特区  | 2室2厅 | 84.41平米 | 南 北 | 其他', '低楼层(共26层)2011年建板楼  -  幸福', '118万', '单价13980元/平米')
('https://image1.ljcdn.com/370600-inspection/e3ea38ce-4f7c-455f-8031-2f4b58dbee90.jpg.296x216.jpg', '上夼西路+棚上1楼+3室+出行方便+拎包入住', '上夼西路  | 3室2厅 | 78.97平米 | 南 北 | 其他', '低楼层(共6层)1996年建板楼  -  上夼', '103万', '单价13043元/平米')
('https://image1.ljcdn.com/370600-inspection/beaabedc-da10-4341-8a87-76fd693ade8c.JPG.296x216.jpg', '距离二中800米左右 西南河路 两室实际面积大 中等装修', '西南河路  | 2室1厅 | 56.34平米 | 南 北 | 其他', '高楼层(共6层)1985年建板楼  -  毓璜顶', '136万', '单价24140元/平米')
('https://image1.ljcdn.com/370600-inspection/9bd68f0a-3871-4aef-b60a-fc2ee4cda7d4.jpg.296x216.jpg', '周乐街一室小房+总价低+南向卧室+干净整洁+看好可谈', '周乐街  | 1室1厅 | 43.46平米 | 南 | 简装', '中楼层(共6层)1996年建板楼  -  解放路', '105万', '单价24161元/平米')
