('https://image1.ljcdn.com/310000-inspection/2f9fa6ab-9f0c-4960-a978-dceb7fe2ca2a.jpg.296x216.jpg', '住宅产权，看房方便，满五年，高区视野无遮挡', '庐迅大厦  | 2室2厅 | 95.79平米 | 东 | 其他 | 有电梯', '高楼层(共23层)塔楼  -  鲁迅公园', '490万', '单价51154元/平米')
('https://image1.ljcdn.com/310000-inspection/test-814297f4-15c6-42a1-aa52-bc6dcddc55d3.png.296x216.jpg', '欣逸家园+05年次新房+小面积电梯房+3号线地铁', '欣逸家园  | 1室1厅 | 49.33平米 | 南 | 简装 | 有电梯', '中楼层(共12层)2006年建板楼  -  江湾镇', '380万', '单价77033元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploaddb677b53-e11d-4b5b-9ed2-910779e9f4bb.jpg.296x216.jpg', '新南小区+大柏树地铁婚房装修+南北全明+南五唯一', '新南小区  | 1室1厅 | 50.58平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)1994年建板楼  -  江湾镇', '275万', '单价54370元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/34e84505-f5a3-4c25-8c60-3402b785c0ce.png.280x210.jpg', '密云路471弄 1室0厅 230万', '密云路471弄  | 1室0厅 | 34.52平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1985年建板楼  -  曲阳', '230万', '单价66629元/平米')
('https://image1.ljcdn.com/310000-inspection/test-e732f529-ac65-44f7-bd5f-29a9a2ca6371.png.296x216.jpg', '精装修一室户 采光不挡 配套成熟 可直接拎包入住', '欧五小区  | 1室0厅 | 30.48平米 | 南 | 精装 | 无电梯', '低楼层(共5层)1979年建板楼  -  鲁迅公园', '205万', '单价67258元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170425/aac40092-1b71-4e86-a83e-183070f73559.jpg.296x216.jpg', '和平公园氧吧房 榆兰新村 360万 黄.金楼层 单价5.3万', '榆兰新村  | 2室1厅 | 67平米 | 南 | 其他 | 无电梯', '中楼层(共6层)1957年建板楼  -  临平路', '360万', '单价53732元/平米')
('https://image1.ljcdn.com/310000-inspection/test-876c8588-26af-400a-8de6-c9670a722196.png.296x216.jpg', '小区正在改造 提升了小区品质，楼层好，满五年', '凉城路1201弄  | 2室0厅 | 48.8平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1991年建板楼  -  江湾镇', '275万', '单价56353元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170612/e929d904-9bf1-486a-8f1d-f21829552d54.jpg.296x216.jpg', '内环内小户型+楼层佳+采光好+近虹口龙之梦+交通便利', '同乐村  | 1室1厅 | 40.16平米 | 南 | 简装 | 无电梯', '中楼层(共5层)1978年建板楼  -  鲁迅公园', '252万', '单价62750元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload49aa381d-8ef2-4069-a7ef-c5fc03b39ee9.jpg.296x216.jpg', '高楼层 采光好 产证已经办好 商品房户型 两房一厅', '三兴苑  | 2室1厅 | 65.52平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2004年建板楼  -  江湾镇', '363万', '单价55403元/平米')
('', '大连小区，和平公园门口路，高区视野好', '大连小区  | 2室1厅 | 77.1平米 | 东 | 精装 | 有电梯', '中楼层(共26层)1994年建塔楼  -  临平路', '530万', '单价68742元/平米')
('https://image1.ljcdn.com/310000-inspection/test-c0521636-3f48-4d18-ba61-d2d6cfaa9b85.png.296x216.jpg', '赤峰小区 1室1厅 220万', '赤峰小区  | 1室1厅 | 33.06平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1984年建板楼  -  曲阳', '220万', '单价66546元/平米')
('https://image1.ljcdn.com/310000-inspection/b70aebff-2ee8-4e61-87de-905ba2f5c2b1.jpg.296x216.jpg', '精装修拎包入住，近地铁3号线，送中 央空调，全明急售', '新市南路第三小区  | 1室0厅 | 34.62平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1982年建板楼  -  江湾镇', '178万', '单价51416元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170819/2eef6ff3-c9fd-444a-8c39-7d91260d0f7a.jpg.296x216.jpg', '阳光前景 3室2厅 1200万', '阳光前景  | 3室2厅 | 137.09平米 | 南 | 简装 | 有电梯', '高楼层(共32层)2003年建板楼  -  北外滩', '1200万', '单价87534元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload4abf3378-b4b3-4558-9030-79a1676e1009.jpg.296x216.jpg', '2003年房龄 高层电梯 一房一厅 价格低 房型好', '东渡名人大厦  | 1室1厅 | 54.88平米 | 东南 | 精装 | 有电梯', '高楼层(共21层)2003年建塔楼  -  曲阳', '365万', '单价66509元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload496bb17b-8f5d-45fa-b2b6-fed89b8bc0f3.jpg.296x216.jpg', '满五唯一 精装修大一房 小区花园位置 配套齐全', '纪念小区  | 1室1厅 | 43.98平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1991年建板楼  -  江湾镇', '250万', '单价56845元/平米')
('', '广灵一村 3室1厅 322万', '广灵一村  | 3室1厅 | 65.81平米 | 南 | 简装 | 无电梯', '中楼层(共4层)1975年建板楼  -  凉城', '322万', '单价48929元/平米')
('https://image1.ljcdn.com/310000-inspection/test-bf24f018-2e1f-4e71-993f-801d136b642e.png.296x216.jpg', '久耕小区 2室1厅 365万', '久耕小区  | 2室1厅 | 53.45平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1986年建板楼  -  北外滩', '365万', '单价68289元/平米')
('https://image1.ljcdn.com/310000-inspection/test-eafb2c2f-0370-4ffa-967b-f53554765644.png.296x216.jpg', '出门鲁迅公园，曲阳路地铁站，楼层适中，一室一厅！', '欧九小区  | 1室1厅 | 35.28平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1985年建板楼  -  鲁迅公园', '222万', '单价62926元/平米')
('https://image1.ljcdn.com/310000-inspection/test-d5e8d5a6-784d-4b3e-bca1-d59c6626de7b.png.296x216.jpg', '关注这套哦便宜！小房子有大风景！详情请咨询维护人', '凉东小区  | 2室1厅 | 56.74平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1993年建板楼  -  凉城', '255万', '单价44942元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170807/2ed8c37a-0847-4c4c-b405-2fb3a1aa501d.jpg.296x216.jpg', '厅房朝南，楼层好，装修不错，户型正气，看房方便', '梅福花苑  | 2室1厅 | 68.79平米 | 南 | 精装 | 无电梯', '低楼层(共6层)2001年建板楼  -  江湾镇', '380万', '单价55241元/平米')
('https://image1.ljcdn.com/310000-inspection/test-284b5b22-2aee-4d4b-bf8c-8438dd7e92fb.png.296x216.jpg', '绿洲紫荆花园 2室2厅 820万', '绿洲紫荆花园  | 2室2厅 | 119.56平米 | 南 | 精装 | 有电梯', '高楼层(共28层)2002年建塔楼  -  鲁迅公园', '820万', '单价68585元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/096a33c8-0068-40d9-ae0c-6cc5e0341239.png.280x210.jpg', '科兰公寓，南北两房，交通便利，配套成熟', '科兰公寓  | 2室1厅 | 62.78平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1995年建板楼  -  凉城', '330万', '单价52565元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160510/9260e42d-c779-4d4f-9796-16e95bfb5e0d.jpg.296x216.jpg', '标准三房 南北通风 随时看房  00后房龄 待有缘人', '梅福花苑  | 3室1厅 | 95.54平米 | 南 | 精装 | 无电梯', '中楼层(共6层)2002年建板楼  -  江湾镇', '525万', '单价54951元/平米')
('https://image1.ljcdn.com/310000-inspection/6b9d2ffb-4645-4cf5-9b71-64a3679d93dd.jpg.296x216.jpg', '满五年税费少，金三银四楼层。地理位置佳 近地铁8号线', '密二小区  | 2室1厅 | 45.55平米 | 南 | 其他 | 无电梯', '中楼层(共6层)1983年建板楼  -  曲阳', '308万', '单价67619元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170427/12dfe62d-6244-4980-9656-7b251f1ecc89.jpg.296x216.jpg', '居家之选，两房朝南厅朝南，前后 无遮挡，急卖！', '文致公寓  | 2室2厅 | 96.43平米 | 南 | 简装 | 无电梯', '中楼层(共6层)2000年建板楼  -  江湾镇', '580万', '单价60148元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload72061754-8afd-4803-a46c-37a2b2e89507.jpg.296x216.jpg', '南北通两房，产权清晰，位置安静，看房方便，诚意出售', '文苑小区(虹口)  | 2室1厅 | 62.61平米 | 南 | 精装 | 无电梯', '低楼层(共6层)1997年建板楼  -  凉城', '350万', '单价55902元/平米')
('https://image1.ljcdn.com/310000-inspection/test-48f69cc6-421c-4e61-8cb5-fbdeb377b83a.png.296x216.jpg', '新上小户型，总价低，中间楼层，采光充足，视野宽阔', '车站北路491弄  | 1室1厅 | 33.35平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1991年建板楼  -  凉城', '183万', '单价54873元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/572bec2c-ba56-4d81-9909-12d4b4af23c9.png.280x210.jpg', '凉城四村南北通全明大两房近大柏树站看房随时方便', '凉城四村  | 2室1厅 | 58.61平米 | 暂无数据 | 简装 | 无电梯', '高楼层(共6层)1987年建板楼  -  凉城', '289万', '单价49309元/平米')
('https://image1.ljcdn.com/310000-inspection/test-0992994a-2bae-4a13-afb8-f5eac772a3d1.png.296x216.jpg', '巴林小区 2室1厅 345万', '巴林小区  | 2室1厅 | 51.62平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1991年建板楼  -  曲阳', '345万', '单价66835元/平米')
('https://image1.ljcdn.com/310000-inspection/test-07e24f0a-d0b6-4875-807f-a2d904e58290.png.296x216.jpg', '一梯两户，满五唯一，2房户型，钥匙房随时看。', '广中路480号  | 2室0厅 | 47.1平米 | 南 | 简装', '高楼层(共7层)1987年建板楼  -  凉城', '225万', '单价47771元/平米')
('https://image1.ljcdn.com/310000-inspection/test-1117864d-e360-4940-9502-579d324014cf.png.296x216.jpg', '采光好+单价低+钥匙房！确认过眼神遇见对的房子！', '巴林路60弄  | 1室1厅 | 35.92平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1988年建板楼  -  曲阳', '190万', '单价52896元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161206/31763b82-1d72-4083-a7e7-b69450c245b2.jpg.296x216.jpg', '值得关注 双南全明两房 楼层佳！', '学府花苑  | 2室2厅 | 77.41平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1998年建板楼  -  江湾镇', '453万', '单价58520元/平米')
('https://image1.ljcdn.com/310000-inspection/test-e06cb4f3-6617-41e3-9910-5400cb545108.png.296x216.jpg', '人车分流，地铁3号线，双南全明户型，次新小区', '中环明珠  | 2室2厅 | 92.2平米 | 南 | 精装 | 有电梯', '低楼层(共17层)2005年建板楼  -  凉城', '710万', '单价77007元/平米')
('https://image1.ljcdn.com/310000-inspection/test-1b14286f-df43-4018-8d39-7fe7e063cdb1.png.296x216.jpg', '瑞虹新城悦庭 带地暖 中 央空调 新风系统 居家高品', '瑞虹新城悦庭  | 1室2厅 | 83.13平米 | 南 | 精装', '低楼层(共28层)板楼  -  临平路', '930万', '单价111873元/平米')
('https://image1.ljcdn.com/310000-inspection/fa3f3833-b31e-43d0-8c14-b48b3d25b13a.jpg.296x216.jpg', '精装450万bysubway  电梯房 拎包住', '虹连大楼  | 2室1厅 | 64.91平米 | 南 | 精装 | 有电梯', '高楼层(共18层)1991年建塔楼  -  曲阳', '445万', '单价68557元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170505/70aedd0b-33f7-45b1-8f20-6829faf4d283.jpg.296x216.jpg', '双南户型、楼层好、双轨交站、价格实惠、诚心出售', '中山大厦  | 2室2厅 | 103.59平米 | 南 | 简装 | 有电梯', '中楼层(共27层)1989年建塔楼  -  凉城', '615万', '单价59369元/平米')
('https://image1.ljcdn.com/310000-inspection/6542a517-c879-49a8-bf44-ad9954569857.jpg.296x216.jpg', '买一层送一层，家乐福+装修好+位置佳，采光好', '密三小区  | 2室1厅 | 51.55平米 | 东南 | 其他 | 无电梯', '高楼层(共6层)1981年建板楼  -  曲阳', '332万', '单价64404元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadf94c22b3-414a-4dc0-924f-98f4e6410160.jpg.296x216.jpg', '满五唯一 税费少 电梯房 适合老人居住 采光不遮挡', '原林小区  | 2室1厅 | 74.12平米 | 南 | 简装 | 有电梯', '低楼层(共18层)1992年建塔楼  -  曲阳', '450万', '单价60713元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/0232a4f6-4744-4b9a-9294-fb34ca7d4250.png.280x210.jpg', '友谊二村降价房源+成熟社区+出行便捷+小区安静', '友谊二村  | 2室0厅 | 64.27平米 | 南 | 简装 | 无电梯', '高楼层(共5层)1960年建板楼  -  凉城', '305万', '单价47457元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload7792222a-9649-4949-8242-590a189489a6.jpg.296x216.jpg', '“纪念小区大三房+地铁3号线+中间楼层+ 满五年唯一”', '纪念小区  | 3室1厅 | 104.81平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1995年建板楼  -  江湾镇', '600万', '单价57247元/平米')
('https://image1.ljcdn.com/310000-inspection/test-3bb70df0-184d-46c6-bbbe-65207e62bf0d.png.296x216.jpg', '赤峰小区 1室1厅 275万', '赤峰小区  | 1室1厅 | 40.93平米 | 南 | 其他 | 有电梯', '中楼层(共13层)1986年建塔楼  -  曲阳', '275万', '单价67188元/平米')
('https://image1.ljcdn.com/310000-inspection/test-7dd25117-a32e-413b-8193-d5ed0800b719.png.296x216.jpg', '满五唯一，楼层好，精装修，采光好，诚心出售', '虹连大楼  | 2室0厅 | 64.91平米 | 南 北 | 精装 | 有电梯', '中楼层(共18层)1991年建塔楼  -  曲阳', '430万', '单价66246元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161205/b983a2fa-de36-44d3-b0f5-f70da3274d8d.jpg.296x216.jpg', '飘鹰花苑南北通两房，近地铁，地段佳、得房率高', '飘鹰花苑  | 2室2厅 | 96.1平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1998年建板楼  -  临平路', '588万', '单价61187元/平米')
('https://image1.ljcdn.com/310000-inspection/test-16d9be62-4408-410a-ae91-07c4afa81df8.png.296x216.jpg', '曲阳地铁两房 精装修  南北朝向 诚意出售  看房方便', '西南小区  | 2室1厅 | 50.6平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)1980年建板楼  -  曲阳', '310万', '单价61265元/平米')
('https://image1.ljcdn.com/310000-inspection/test-52f07405-c96b-4424-aad1-c9d576c318a7.png.296x216.jpg', '新上架小户型两房，适合单身高族或小夫妻婚房，朝东南', '瑞虹新城(一期)  | 2室2厅 | 72.06平米 | 东南 | 精装 | 有电梯', '低楼层(共32层)1998年建塔楼  -  临平路', '645万', '单价89509元/平米')
('https://image1.ljcdn.com/310000-inspection/df8e6f46-8cee-4267-875a-a57df229f130.jpg.296x216.jpg', '新外滩花苑 3室2厅 1080万', '新外滩花苑  | 3室2厅 | 165.34平米 | 南 | 精装 | 有电梯', '低楼层(共33层)板楼  -  北外滩', '1080万', '单价65320元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180128/9948dbab-6edf-460b-bb31-d15dd3333679.jpg.296x216.jpg', '水电路1381弄 3室1厅 580万', '水电路1381弄  | 3室1厅 | 94.75平米 | 南 | 其他 | 有电梯', '中楼层(共24层)1997年建塔楼  -  江湾镇', '580万', '单价61214元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/7c5e0404-7556-4d45-8532-9c6039ec6ade.png.280x210.jpg', '春风十里，不如找到好房给你，钥匙房，随时可看！', '东体小区  | 2室0厅 | 46.36平米 | 南 | 毛坯 | 无电梯', '高楼层(共6层)1981年建板楼  -  曲阳', '305万', '单价65790元/平米')
('https://image1.ljcdn.com/310000-inspection/670664f0-b208-45a1-8e6a-26042775a8f7.jpg.296x216.jpg', '经典南北一室一厅， 低于小区均价，诚意出售', '凉城路1201弄  | 1室1厅 | 44平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1991年建板楼  -  江湾镇', '220万', '单价50000元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/a6720224-6a92-4ee7-b184-7153a4f3ca6d.png.280x210.jpg', '新中新村 2室0厅 240万', '新中新村  | 2室0厅 | 43.88平米 | 南 | 简装 | 无电梯', '高楼层(共5层)1964年建板楼  -  凉城', '240万', '单价54695元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload6203e044-4a7d-4411-b3b9-017e7700a117.jpg.296x216.jpg', '南北全明+双轨交站+楼层佳公交多满五唯一税少价钱可谈', '西二小区  | 2室1厅 | 53.52平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)1982年建板楼  -  曲阳', '335万', '单价62594元/平米')
('https://image1.ljcdn.com/310000-inspection/test-e748ab1a-b49e-4040-9e1e-5d246e178406.png.296x216.jpg', '凉城三村东边套两室一厅近大柏树看房方便诚意出售', '凉城三村  | 2室1厅 | 61.15平米 | 东南 | 简装 | 无电梯', '中楼层(共6层)1988年建板楼  -  凉城', '340万', '单价55601元/平米')
('https://image1.ljcdn.com/310000-inspection/test-bb44bf09-dd20-4a41-a699-542096aa31b2.png.296x216.jpg', '正规两房，满五唯一，近三号线大柏树站，总价低，刚需', '灵新小区  | 2室1厅 | 47.29平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)1988年建板楼  -  凉城', '255万', '单价53923元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161217/12d5b572-daca-4645-ab78-2136ea5ef51f.jpg.296x216.jpg', '一南一北，交通便利，采光无遮挡。地铁交通便利。', '乾鸿苑  | 2室2厅 | 103.73平米 | 东南 | 精装 | 有电梯', '低楼层(共13层)2001年建板楼  -  临平路', '718万', '单价69219元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170822/23704cb4-e8d5-44af-897b-12c9b2081350.jpg.296x216.jpg', '新上房源，双站地铁，防空小区，内环配套好，采光十足', '大西小区  | 1室1厅 | 36.8平米 | 南 | 精装 | 无电梯', '低楼层(共6层)1975年建板楼  -  曲阳', '220万', '单价59783元/平米')
('https://image1.ljcdn.com/310000-inspection/test-a05e27e7-efc7-4b7d-8b17-a3720ac2ff06.png.296x216.jpg', '两房朝南，全明户型，售后公房，小区最通透户型', '丰镇小区  | 2室1厅 | 60.13平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1989年建板楼  -  江湾镇', '340万', '单价56545元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/38141367-8f69-408e-8664-75c0859b3650.png.280x210.jpg', '诚意出售，户型优，价格真实，随时预约可看！', '大二小区  | 3室0厅 | 56.3平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1985年建板楼  -  曲阳', '360万', '单价63944元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171108/6098ed5f-8374-456d-a82e-cb0c5ec1509e.jpg.296x216.jpg', '绿洲紫荆花园 3室2厅 938万', '绿洲紫荆花园  | 3室2厅 | 139.14平米 | 南 | 其他 | 有电梯', '低楼层(共15层)2000年建板楼  -  鲁迅公园', '938万', '单价67415元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/775e2806-1078-4cbd-9d4f-42d13be2beac.png.280x210.jpg', '房子满五唯一  全明户型  近3号线大柏树地铁站', '水电小区  | 2室1厅 | 54.82平米 | 南 | 简装 | 有电梯', '中楼层(共7层)1995年建板楼  -  凉城', '290万', '单价52901元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/341dec1c-9007-4828-82e1-ea6455b834c5.png.280x210.jpg', '单价超低两房+南北通+户型全明+近地铁！', '纪念小区  | 2室0厅 | 50.1平米 | 南 | 毛坯 | 无电梯', '高楼层(共6层)1992年建板楼  -  江湾镇', '265万', '单价52895元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadb01ff53d-91d0-473a-a385-fb10400732fc.jpg.296x216.jpg', '北外滩的小一房，精装修，总价低，看房方便提前预约', '久耕小区  | 1室1厅 | 44.8平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1988年建板楼  -  北外滩', '330万', '单价73661元/平米')
('https://image1.ljcdn.com/x-se/shfdfs-image/20170817/381b4ade-c479-4488-9d9d-a4cce81cb9be.jpg.280x210.jpg', '南北两房，3楼，边套全明，急售急售，地铁口', '祥德路450弄  | 2室1厅 | 49.48平米 | 南 | 精装 | 无电梯', '中楼层(共5层)1958年建板楼  -  曲阳', '255万', '单价51536元/平米')
('https://image1.ljcdn.com/310000-inspection/6e7e796d-b267-4d8a-9b7f-4e90d25dde06.jpg.296x216.jpg', '何家宅小区两房单价低 总价低 两房带一厅 户型好', '何家宅小区  | 2室0厅 | 50.5平米 | 东南 | 简装 | 有电梯', '高楼层(共7层)1993年建板楼  -  鲁迅公园', '280万', '单价55446元/平米')
('https://image1.ljcdn.com/310000-inspection/test-e28663a3-a9ea-4c14-b819-05ba476fbce9.png.296x216.jpg', '河滨大楼 2室1厅 1300万', '河滨大楼  | 2室1厅 | 160.9平米 | 东南 | 其他 | 有电梯', '中楼层(共11层)1936年建塔楼  -  四川北路', '1300万', '单价80796元/平米')
('https://image1.ljcdn.com/310000-inspection/test-9c9c74ed-ab1a-46a2-9e7d-54db0c8856f7.png.296x216.jpg', '逸仙小区 1室0厅 195万', '逸仙小区  | 1室0厅 | 34.83平米 | 南 | 精装 | 无电梯', '低楼层(共6层)1988年建板楼  -  江湾镇', '195万', '单价55987元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170911/2a882ebc-2701-406e-b1a5-5a430a4abc81.jpg.296x216.jpg', '10号线地铁口+10年次新房+30万精装修+小区单价低', '世博花园  | 1室2厅 | 82.95平米 | 东南 | 精装 | 有电梯', '高楼层(共32层)2010年建塔楼  -  鲁迅公园', '690万', '单价83183元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadfee66efe-1bd9-4bac-af70-410a50842f95.jpg.296x216.jpg', '降价20万急售！动迁房满五唯一+双南全明+地铁房 !', '新市南路561弄  | 3室1厅 | 87.9平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1997年建板楼  -  江湾镇', '520万', '单价59159元/平米')
('https://image1.ljcdn.com/310000-inspection/4b806a4e-ca54-45ea-82d6-82578b298317.jpg.296x216.jpg', '次新小区顶复共3层精装实用面积大，户型正气全明通透', '久业家苑  | 4室2厅 | 149平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2000年建板楼  -  凉城', '855万', '单价57383元/平米')
('https://image1.ljcdn.com/310000-inspection/test-c127f4c6-30fc-42d5-9ee3-7a4cc72a8a23.png.296x216.jpg', '欧洲花园 2室2厅 850万', '欧洲花园  | 2室2厅 | 108.62平米 | 南 | 精装 | 有电梯', '低楼层(共9层)1998年建板楼  -  临平路', '850万', '单价78255元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160221/7aa112ee-980c-4e33-aaa5-ca5c21f402db.jpg.296x216.jpg', '临平路品质小区顶楼haohua复式急卖', '虹叶茗园  | 6室2厅 | 362.16平米 | 南 | 精装 | 有电梯', '高楼层(共32层)2003年建板楼  -  临平路', '2580万', '单价71240元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171230/af473d09-34e9-4de9-8712-8d7529316c03.jpg.296x216.jpg', '出门100米就是4号10号线海伦路站，板式南北通带双阳台', '瑞嘉苑  | 2室2厅 | 123.1平米 | 南 | 简装 | 有电梯', '低楼层(共29层)2004年建板楼  -  临平路', '860万', '单价69862元/平米')
('https://image1.ljcdn.com/310000-inspection/test-cfdf056c-b11f-405c-a2a2-e4028cbf5e10.png.296x216.jpg', '广灵！地铁口！朝南一门关！采光好！房龄新！', '广中三村  | 1室1厅 | 36.05平米 | 南 | 其他 | 无电梯', '中楼层(共6层)1973年建板楼  -  凉城', '205万', '单价56866元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/6fa1fc57-9801-4af4-8761-55b0f10f6088.png.280x210.jpg', '全明东山墙，东面小区花园，朝南小区大花园！', '巴林小区  | 2室1厅 | 62.05平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1987年建板楼  -  曲阳', '370万', '单价59630元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload8a05f94b-7782-45d6-8919-953395a1d422.jpg.296x216.jpg', '边套全明的的售后公房，而且还满五年唯一', '八一小区  | 2室0厅 | 52.29平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1981年建板楼  -  曲阳', '305万', '单价58329元/平米')
('https://image1.ljcdn.com/x-se/shfdfs-image/20161207/1cd91de2-07f9-41e6-842d-c1b597080918.jpg.280x210.jpg', '此房满5年唯一，小两房户型，南北通透，红旗xiao学。', '新市南路1148弄  | 2室1厅 | 60.12平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1995年建板楼  -  江湾镇', '290万', '单价48237元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload0b8a3ddf-cf1e-4900-a3b7-0a14f0e31e13.jpg.296x216.jpg', '房东诚意出售  满五唯一 可改三房  普通住宅 看房方便', '同心路93弄  | 2室1厅 | 67.68平米 | 南 | 其他 | 无电梯', '中楼层(共7层)1988年建板楼  -  鲁迅公园', '425万', '单价62796元/平米')
('https://image1.ljcdn.com/310000-inspection/test-af9fbfbb-9ac8-484e-9f67-cec62c27a2ad.png.296x216.jpg', '小区两房总价低位置佳 现在售的就这一套低总价的房子', '密二小区  | 2室1厅 | 46.61平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1982年建板楼  -  曲阳', '286万', '单价61361元/平米')
('https://image1.ljcdn.com/310000-inspection/test-c6d49297-7e28-4956-8749-6627c6111d96.png.296x216.jpg', '总价低 楼层佳 朝南一室户 满五年税费少 3/8号线', '赤峰小区  | 1室0厅 | 33.25平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1984年建板楼  -  曲阳', '198万', '单价59549元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170910/789477b1-c1a9-40f3-a936-93effdee2ac2.jpg.296x216.jpg', '户型正气，满五年唯一，业主急售，随时看房，采光好', '东方都市景苑  | 2室2厅 | 111.38平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2002年建板楼  -  临平路', '860万', '单价77214元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160617/0b421e93-0abf-42ef-ba23-37f5d9a0cc6c.jpg.296x216.jpg', '紫虹嘉苑 4室2厅 1399万', '紫虹嘉苑  | 4室2厅 | 211.48平米 | 南 | 简装 | 有电梯', '高楼层(共18层)2003年建板楼  -  临平路', '1399万', '单价66153元/平米')
('https://image1.ljcdn.com/310000-inspection/fb6dec6b-c2ab-493d-af65-30bc719e5f2d.jpg.296x216.jpg', '四川北路 07年品质小区 南北通透 交通便利 采光充足', '嘉杰国际广场(公寓)  | 2室2厅 | 103.34平米 | 南 北 | 其他 | 有电梯', '低楼层(共12层)2007年建板楼  -  四川北路', '980万', '单价94833元/平米')
('https://image1.ljcdn.com/310000-inspection/ad2f641f-2046-445b-982d-71c0d97fea37.jpg.296x216.jpg', '祥东小区(虹口) 2室1厅 285万', '祥东小区(虹口)  | 2室1厅 | 46.01平米 | 南 | 其他 | 无电梯', '低楼层(共6层)1980年建板楼  -  曲阳', '285万', '单价61944元/平米')
('https://image1.ljcdn.com/x-se/shfdfs-image/20170522/b15abcad-02aa-4e23-800f-9edcbf071481.jpg.280x210.jpg', '双轨 87年房龄 南北2房 总价di', '密云路250弄  | 2室0厅 | 46.03平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1987年建板楼  -  曲阳', '268万', '单价58223元/平米')
