('https://image1.ljcdn.com/340100-inspection/b38fdbfa-b5e1-4192-959b-33a6be533b07.jpg.296x216.jpg', '绿怡居东区 2室1厅 94万', '绿怡居东区  | 2室1厅 | 51.8平米 | 南 北 | 其他', '低楼层(共6层)2004年建板楼  -  荷叶地', '94万', '单价18147元/平米')
('https://image1.ljcdn.com/340100-inspection/367a8624-657d-4395-b8f8-fba1ca07acb8.jpg.296x216.jpg', '满两年，纯毛坯，自由发挥装修， 舒适度高。', '内森庄园  | 9室3厅 | 420平米 | 南 | 其他', '高楼层(共30层)2014年建塔楼  -  笔架山', '900万', '单价21429元/平米')
('https://image1.ljcdn.com/340100-inspection/d2edfb00-d460-4817-8cb2-5ef40a44f4c6.jpg.296x216.jpg', '纯毛坯三房，满两年，为您提供一个舒适温馨的家。', '陶然居  | 3室2厅 | 122平米 | 南 北 | 其他', '低楼层(共18层)2009年建板楼  -  荷叶地', '240万', '单价19673元/平米')
('', '小区中间位置，景观楼层，户型方正，房东诚售。', '内森庄园  | 5室3厅 | 307平米 | 南 北 | 其他', '中楼层(共30层)2014年建塔楼  -  笔架山', '690万', '单价22476元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload7df46b9c-7f77-4b32-922d-773c06456069.jpg.296x216.jpg', '楼层好，采光充足，满两年，免增值税', '乐富强御龙湾  | 2室2厅 | 85.11平米 | 南 | 其他', '中楼层(共33层)2011年建塔楼  -  笔架山', '205万', '单价24087元/平米')
('https://image1.ljcdn.com/340100-inspection/251eb306-2955-40da-b91c-7bff39881447.jpg.296x216.jpg', '国建三期 内复试 使用面积大 精装修 带车位', '国建香榭水都  | 4室2厅 | 105.67平米 | 南 北 | 其他', '高楼层(共24层)2008年建塔楼  -  笔架山', '440万', '单价41640元/平米')
('https://image1.ljcdn.com/340100-inspection/be0cf955-4c07-4f28-81e4-efa58f86a2e0.jpg.296x216.jpg', '卧室客厅朝南，采光好，楼层高。', '国贸天琴湾  | 2室2厅 | 97平米 | 南 | 其他', '高楼层(共34层)2012年建塔楼  -  笔架山', '248万', '单价25568元/平米')
('https://image1.ljcdn.com/340100-inspection/fabc7cf9-bb94-4a08-8434-281218be82aa.JPG.296x216.jpg', '水墨兰庭 精装修2房+阳台小书房 拎包入住', '水墨兰庭北区  | 2室2厅 | 87.19平米 | 南 | 其他', '高楼层(共29层)2005年建板楼  -  笔架山', '246万', '单价28215元/平米')
('https://image1.ljcdn.com/340100-inspection/b5c30ac9-41ca-41c0-a50c-cb11573d924a.JPG.296x216.jpg', '楼层好，视野开阔，购物方便，有一个车位。', '凯旋门  | 3室2厅 | 133平米 | 南 北 | 其他', '高楼层(共41层)2012年建塔楼  -  荷叶地', '395万', '单价29700元/平米')
('https://image1.ljcdn.com/340100-inspection/fd13f78c-5113-402b-bca1-fd01835ec776.jpg.296x216.jpg', '楼层采光没有问题，简单装修，2居室，满五年', '汇林阁西区  | 2室1厅 | 63平米 | 南 | 其他', '高楼层(共6层)2006年建板楼  -  笔架山', '133万', '单价21112元/平米')
('https://image1.ljcdn.com/340100-inspection/1cc696fb-7182-48cf-9758-9d5c8b6be987.jpg.296x216.jpg', '此房精装，拎包入住，南北通透市政冷暖双供', '湖东景园南区  | 4室2厅 | 166.37平米 | 南 北 | 其他', '高楼层(共24层)2013年建板楼  -  荷叶地', '398万', '单价23923元/平米')
('https://image1.ljcdn.com/340100-inspection/93c707dc-338a-4384-9581-b9964c8c4cef.jpg.296x216.jpg', '保利香槟国际  精装三房 采光无遮挡', '保利香槟国际  | 3室2厅 | 103.15平米 | 南 北 | 其他', '高楼层(共34层)2015年建塔楼  -  兴园', '272万', '单价26370元/平米')
('https://image1.ljcdn.com/340100-inspection/0266e9bb-20aa-436f-8214-00b9a23a3b92.jpg.296x216.jpg', '为你而选为你为家 凯旋门户型方正 采光无影响诚心出售', '凯旋门  | 5室2厅 | 399平米 | 南 | 其他', '高楼层(共35层)2012年建塔楼  -  荷叶地', '1160万', '单价29073元/平米')
('https://image1.ljcdn.com/340100-inspection/6ea17b11-5e63-4383-b6b4-cc989a896a5e.JPG.296x216.jpg', '湖畔春天 天鹅湖畔大户型复式 近五十中新区  八中', '湖畔春天  | 5室3厅 | 237.84平米 | 南 北 | 其他', '高楼层(共10层)2006年建板楼  -  笔架山', '438万', '单价18416元/平米')
('', '此房满五年，户型方正，采光好，2梯4户，出行方便！', '国建香榭水都  | 2室1厅 | 66.52平米 | 北 | 其他', '中楼层(共14层)2008年建塔楼  -  笔架山', '175万', '单价26308元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadc4070e64-e914-4f16-a09d-756c801b04b6.jpg.296x216.jpg', '好楼层、前面别墅群，采光无影响，纯毛坯，看房方便', '栢悦公馆  | 5室2厅 | 359.28平米 | 南 北 | 其他', '中楼层(共40层)2012年建塔楼  -  荷叶地', '1080万', '单价30061元/平米')
('https://image1.ljcdn.com/340100-inspection/e2550f73-6861-4137-811b-8d838c4a38d9.jpg.296x216.jpg', '融科九重锦精装五居室！中间楼层，拎包入住！', '融科九重锦  | 5室2厅 | 190.46平米 | 南 北 | 其他', '中楼层(共33层)2010年建塔楼  -  笔架山', '500万', '单价26253元/平米')
('https://image1.ljcdn.com/340100-inspection/29eada2c-66d2-4bb2-bc7e-ab17e2d5b654.jpg.296x216.jpg', '楼层好，采光好，平时看房方便。', '翠庭园  | 2室2厅 | 82.43平米 | 南 | 其他', '中楼层(共6层)2000年建板楼  -  笔架山', '166万', '单价20139元/平米')
('https://image1.ljcdn.com/340100-inspection/c9b4be45-127c-4b21-bef4-e07c26b5f44d.JPG.296x216.jpg', '天鹅湖畔南北通透两房 户型方正 采光刺眼', '天鹅湖畔  | 2室2厅 | 110.77平米 | 南 北 | 其他', '高楼层(共27层)2008年建塔楼  -  笔架山', '290万', '单价26181元/平米')
('https://image1.ljcdn.com/340100-inspection/41d4b34a-8d58-49d0-a724-66502ad72bc5.jpg.296x216.jpg', '保利香槟国际 精装三房 小区配套设施完善 环境优美', '保利香槟国际  | 3室2厅 | 96平米 | 南 | 其他', '低楼层(共34层)2015年建塔楼  -  兴园', '248万', '单价25834元/平米')
('https://image1.ljcdn.com/340100-inspection/40a29c0a-2724-4976-9089-09fb0905eac2.jpg.296x216.jpg', '[为你而选为你为家]华邦世贸城 四房 采光视野好', '华邦世贸城  | 4室2厅 | 152.41平米 | 南 | 其他', '高楼层(共33层)2013年建板楼  -  荷叶地', '340万', '单价22309元/平米')
('https://image1.ljcdn.com/340100-inspection/386b9b8c-4d9c-4d85-acd0-8cb43443006b.JPG.296x216.jpg', '国际花都雏菊苑 市政供暖 中间位置 中间楼层 配套成熟', '雏菊苑  | 2室2厅 | 99.16平米 | 南 北 | 其他', '中楼层(共24层)2005年建塔楼  -  荷叶地', '238万', '单价24002元/平米')
('https://image1.ljcdn.com/340100-inspection/301bbfce-0238-41cb-952f-b4866a8ac25b.jpg.296x216.jpg', '此房楼层位置好，视野开阔，采光无遮挡', '恒大华府  | 2室2厅 | 84.93平米 | 南 | 其他', '中楼层(共32层)2011年建板楼  -  兴园', '190万', '单价22372元/平米')
('https://image1.ljcdn.com/340100-inspection/cf99a3c7-f9f7-4653-8eb8-97c8a04896e6.jpg.296x216.jpg', '恒大华府   业主诚售   价格实惠  您的居家之选', '恒大华府  | 4室2厅 | 216平米 | 南 北 | 其他', '低楼层(共11层)2011年建板楼  -  兴园', '610万', '单价28241元/平米')
('https://image1.ljcdn.com/340100-inspection/a8525960-7410-4d6c-a9c4-2d2c7c6a51de.jpg.296x216.jpg', '交通便利      环境安静      看房方便', '翠庭园  | 3室1厅 | 76.5平米 | 南 北 | 其他', '低楼层(共6层)2000年建板楼  -  笔架山', '160万', '单价20916元/平米')
('', '四方新村两卧朝南，二楼，业主诚信出售', '四方新村  | 2室1厅 | 52.65平米 | 南 | 其他', '中楼层(共4层)1990年建塔楼  -  荷叶地', '85万', '单价16145元/平米')
('https://image1.ljcdn.com/340100-inspection/3c3bfbaf-39e5-42da-a7b4-52503a49c0e6.jpg.296x216.jpg', '户型方正！地理位置好！出门30米就是天鹅湖公园！', '天鹅湖畔  | 4室2厅 | 153.56平米 | 南 | 其他', '中楼层(共18层)2008年建塔楼  -  笔架山', '490万', '单价31910元/平米')
('https://image1.ljcdn.com/340100-inspection/0481f0e2-3334-47e5-9e99-b535207abfba.jpg.296x216.jpg', '琥珀五环城和雅阁大四房 南北通透  楼层好 采光充足', '琥珀五环城和雅阁  | 4室2厅 | 192平米 | 南 北 | 其他', '中楼层(共32层)2011年建塔楼  -  荷叶地', '345万', '单价17969元/平米')
('', '政务小三房，三房朝南采光无遮挡，中装刚需必备。', '乐富强御龙湾  | 3室2厅 | 89.16平米 | 南 | 其他', '中楼层(共33层)2011年建塔楼  -  笔架山', '233万', '单价26133元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploaddcc0134d-d0bc-4c85-96a1-15a03a75db9e.jpg.296x216.jpg', '景观天鹅湖 采光好三房 交通便利', '乐富强御龙湾  | 3室2厅 | 109.09平米 | 南 北 | 其他', '低楼层(共33层)2011年建塔楼  -  笔架山', '290万', '单价26584元/平米')
('https://image1.ljcdn.com/340100-inspection/7748eafb-7625-4740-a4dd-d5c9a9e334db.jpg.296x216.jpg', '国际花都雏菊苑  位置好  中间楼层  采光好 户型方正', '雏菊苑  | 2室1厅 | 88.01平米 | 南 | 其他', '中楼层(共11层)2005年建板楼  -  荷叶地', '215万', '单价24430元/平米')
('https://image1.ljcdn.com/340100-inspection/2534155a-9dd3-4e39-8ac1-111a4ccd9688.jpg.296x216.jpg', '精装修，大四房，改善住房的优质选择', '雏菊苑  | 4室2厅 | 163.36平米 | 南 | 其他', '中楼层(共24层)2005年建塔楼  -  荷叶地', '380万', '单价23262元/平米')
('https://image1.ljcdn.com/340100-inspection/197edc78-56e2-4165-a878-a8c100cfd452.jpg.296x216.jpg', '中央空调  冷暖双供  诚心出售', '湖东景园南区  | 3室2厅 | 142平米 | 南 | 其他', '中楼层(共24层)2013年建板楼  -  荷叶地', '320万', '单价22536元/平米')
('https://image1.ljcdn.com/340100-inspection/ef021ae4-6909-4820-9ade-88e4d64efd66.jpg.296x216.jpg', '为你而选为你为家 陶然居  图片真实 拎包入住', '陶然居  | 2室1厅 | 71.29平米 | 南 | 其他', '中楼层(共18层)2009年建板楼  -  荷叶地', '140万', '单价19639元/平米')
('https://image1.ljcdn.com/340100-inspection/4acfad00-41a3-410d-892e-798adca9c07b.jpg.296x216.jpg', '四室大户型，满足您一家人的居住需求', '湖东景园北区  | 4室2厅 | 165.35平米 | 南 北 | 其他', '低楼层(共30层)2013年建板楼  -  荷叶地', '365万', '单价22075元/平米')
('https://image1.ljcdn.com/340100-inspection/b4095593-907e-4353-90fe-e4c7203270fc.jpg.296x216.jpg', '政务区 文一S府 精装 南北通透 户型方正  价格含车位', '文一名门首府  | 4室2厅 | 110.74平米 | 南 北 | 其他', '高楼层(共34层)2017年建塔楼  -  兴园', '240万', '单价21673元/平米')
('', '市政冷暖双供，满两年，靠近省立医院南区', '湖东景园南区  | 3室2厅 | 145平米 | 南 | 其他', '低楼层(共24层)2013年建板楼  -  荷叶地', '270万', '单价18621元/平米')
('https://image1.ljcdn.com/340100-inspection/5511e6cf-a88f-4e41-b2a9-ad9b9d1e65d7.jpg.296x216.jpg', '天鹅湖畔 《D区四房》 毛坯房 诚售 无遮挡', '天鹅湖畔  | 4室2厅 | 154.68平米 | 南 | 其他', '低楼层(共18层)2008年建塔楼  -  笔架山', '490万', '单价31679元/平米')
('https://image1.ljcdn.com/340100-inspection/d83a1fbe-8c9c-4d63-81ff-188231517543.jpg.296x216.jpg', '政务区丹青花园，满五年，配套齐全', '丹青花园  | 2室1厅 | 67.38平米 | 南 | 其他', '低楼层(共16层)2006年建板楼  -  荷叶地', '121万', '单价17958元/平米')
('', '为你而选为你为家  图片真实 中间楼层', '四方新村  | 3室1厅 | 79.69平米 | 南 | 其他', '低楼层(共6层)1990年建板楼  -  荷叶地', '140万', '单价17569元/平米')
('https://image1.ljcdn.com/340100-inspection/80260859-5005-47ce-a333-6bae0a46c6c9.jpg.296x216.jpg', '公摊小，清爽装修，周边超市商场都有', '合肥恒润花园  | 2室2厅 | 95.34平米 | 南 北 | 其他', '低楼层(共16层)2006年建板楼  -  笔架山', '230万', '单价24125元/平米')
('https://image1.ljcdn.com/340100-inspection/78488bea-399e-4151-89a5-88cda313d7ff.jpg.296x216.jpg', '别墅东边套，超精装修，位置安静，视野开阔', '内森庄园  | 6室4厅 | 537平米 | 南 北 | 其他', '低楼层(共3层)2014年建板楼  -  笔架山', '1900万', '单价35382元/平米')
('https://image1.ljcdn.com/340100-inspection/b0d6c51f-03c6-495d-895a-9f954dc03588.jpg.296x216.jpg', '华润凯旋门精品公寓，70年产权，朝南总价低，有钥匙', '凯旋门  | 1室1厅 | 46.69平米 | 南 | 其他', '中楼层(共47层)2012年建塔楼  -  荷叶地', '130万', '单价27844元/平米')
('https://image1.ljcdn.com/340100-inspection/50aade15-1e39-4bea-9921-5faf314f231b.jpg.296x216.jpg', '为你而选  为你为家  凯旋门一房  采光无遮挡 楼层佳', '凯旋门  | 1室1厅 | 51.1平米 | 北 | 其他', '中楼层(共47层)2012年建塔楼  -  荷叶地', '124万', '单价24267元/平米')
('https://image1.ljcdn.com/340100-inspection/35df7de2-2e06-492b-9432-a8770734e917.jpg.296x216.jpg', '文一名门首府 4室2厅 582万', '文一名门首府   | 联排别墅 | 4室2厅 | 291.81平米 | 南 | 其他', '3层2016年建暂无数据  -  兴园', '582万', '单价19945元/平米')
('https://image1.ljcdn.com/340100-inspection/9128fb40-0f86-4b4e-bef1-262b41030eb5.jpg.296x216.jpg', '祥源汇博名座两居室   精装修 满五年 诚心出售', '祥源汇博名座  | 2室1厅 | 73平米 | 南 | 其他', '低楼层(共26层)2010年建塔楼  -  荷叶地', '128万', '单价17535元/平米')
('', '五环城大四房 简单装修 户型好', '琥珀五环城和雅阁  | 4室2厅 | 239.38平米 | 南 | 其他', '低楼层(共28层)2011年建塔楼  -  荷叶地', '452万', '单价18883元/平米')
('https://image1.ljcdn.com/340100-inspection/3f6b41ce-f55f-4dea-8846-249cde0d034d.jpg.296x216.jpg', '为你而选为你为家 凯旋门三期 开发商精装修 四居室', '凯旋门  | 4室2厅 | 162.22平米 | 南 北 | 其他', '低楼层(共41层)2012年建塔楼  -  荷叶地', '520万', '单价32056元/平米')
('https://image1.ljcdn.com/340100-inspection/38ea5cbb-4194-4cd8-b875-01220afd4c54.jpg.296x216.jpg', '四方集团单位房，居住舒适度高，交通便利出行方便', '四方新村  | 2室1厅 | 60平米 | 南 | 其他', '高楼层(共6层)1990年建板楼  -  荷叶地', '100万', '单价16667元/平米')
('', '为你而选 为你为家 通透小户 满2年 业主诚售 方便看房', '融科九重锦  | 3室2厅 | 89.4平米 | 南 | 其他', '高楼层(共33层)2010年建塔楼  -  笔架山', '220万', '单价24609元/平米')
('https://image1.ljcdn.com/340100-inspection/91de7109-b4f2-4089-aa8c-151ccdb609ab.JPG.296x216.jpg', '融侨天骏 南向两居室  看房提前约', '融侨天骏  | 2室2厅 | 87.43平米 | 南 | 其他', '中楼层(共33层)2010年建塔楼  -  笔架山', '210万', '单价24020元/平米')
('https://image1.ljcdn.com/340100-inspection/f301cfb4-36c6-4d3a-8511-9fae7fa9f900.jpg.296x216.jpg', '周围配套设施齐全，交通便利，面积大', '天鹅湖九号  | 7室2厅 | 345.12平米 | 南 北 | 其他', '高楼层(共18层)2012年建板楼  -  荷叶地', '660万', '单价19124元/平米')
('https://image1.ljcdn.com/340100-inspection/356ef974-9f89-4e4d-a42e-ae7b54ab5298.jpg.296x216.jpg', '精装修，楼层好，采光充足，三开间朝南带阳台', '乐富强御龙湾  | 3室2厅 | 142.58平米 | 南 | 其他', '高楼层(共30层)2011年建塔楼  -  笔架山', '350万', '单价24548元/平米')
('https://image1.ljcdn.com/340100-inspection/db15fd2f-1526-4255-8184-869547edca46.jpg.296x216.jpg', '此房满五唯一免增值税个税，两开间朝南，通风效果好。', '森林海  | 2室2厅 | 95.58平米 | 南 | 精装', '低楼层(共33层)2010年建塔楼  -  笔架山', '217万', '单价22704元/平米')
('https://image1.ljcdn.com/340100-inspection/3ad7be41-aaa1-4ac7-9fb2-bed3a8f42d18.jpg.296x216.jpg', '国际花都雏菊苑  中高楼层   南北通透   户型正气', '雏菊苑  | 4室2厅 | 163.4平米 | 南 北 | 其他', '中楼层(共24层)2005年建塔楼  -  荷叶地', '380万', '单价23256元/平米')
('https://image1.ljcdn.com/340100-inspection/6f9415b4-90d8-4aec-b556-da5549d2cc14.jpg.296x216.jpg', '山水名城 2室1厅 230万', '山水名城  | 2室1厅 | 105.6平米 | 南 | 其他', '低楼层(共18层)2008年建塔楼  -  笔架山', '230万', '单价21781元/平米')
('', '凯旋门小三房 三开间朝南户型 楼层好 随时可看', '凯旋门  | 3室2厅 | 113平米 | 南 北 | 其他', '低楼层(共41层)2012年建塔楼  -  荷叶地', '320万', '单价28319元/平米')
('https://image1.ljcdn.com/340100-inspection/5da364bf-f5b1-495f-aa51-dde8a3c04a0a.jpg.296x216.jpg', '湖东景园南区 精装修 三开间朝南 急售', '湖东景园南区  | 3室2厅 | 141.89平米 | 南 北 | 其他', '高楼层(共24层)2013年建板楼  -  荷叶地', '296万', '单价20862元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadc46829c6-f789-4bf6-a138-02cc5e0363bf.jpg.296x216.jpg', '皖西厂单位房客厅和卧室朝南 南北通透 拎包入住', '皖西新村  | 1室1厅 | 45.98平米 | 南 北 | 其他', '中楼层(共6层)1990年建板楼  -  荷叶地', '75万', '单价16312元/平米')
('', '国际花都玫瑰苑  位置安静  采光好  户型正气', '国际花都玫瑰苑  | 2室2厅 | 88平米 | 南 北 | 其他', '中楼层(共10层)2005年建板楼  -  荷叶地', '185万', '单价21023元/平米')
('https://image1.ljcdn.com/340100-inspection/d6fcd446-86ca-4d2b-8303-b84820837087.jpg.296x216.jpg', '保利香槟国际 精装两房 小区配套设施完善 环境优美', '保利香槟国际  | 2室2厅 | 86.06平米 | 南 | 其他', '中楼层(共30层)2015年建塔楼  -  兴园', '195万', '单价22659元/平米')
('https://image1.ljcdn.com/340100-inspection/71cafeaf-409a-4f65-b8a7-44c0587e14e9.jpg.296x216.jpg', '国建香榭水都 正规四室 满五唯一 带车位', '国建香榭水都  | 4室2厅 | 142.26平米 | 南 西 北 | 其他', '低楼层(共18层)2008年建塔楼  -  笔架山', '290万', '单价20386元/平米')
('https://image1.ljcdn.com/340100-inspection/2461644c-fc59-435f-9578-6dce28fa068a.jpg.296x216.jpg', '房子满两年，纯毛坯，楼层好，位置好，采光好', '琥珀五环城和风阁  | 3室2厅 | 128.33平米 | 南 北 | 其他', '中楼层(共33层)2016年建塔楼  -  荷叶地', '248万', '单价19326元/平米')
('https://image1.ljcdn.com/340100-inspection/a91edb48-d5c4-49b5-9ed4-bf1969f388ce.jpg.296x216.jpg', '发能太阳海岸  南北通透三居室  看房方便', '发能太阳海岸  | 3室2厅 | 110平米 | 南 北 | 其他', '低楼层(共29层)2010年建塔楼  -  笔架山', '234万', '单价21273元/平米')
('https://image1.ljcdn.com/340100-inspection/1e30950a-d6e1-4cf7-bfe3-1d812f1ae7e5.jpg.296x216.jpg', '为你而选 为你为家 凯旋门一居室 朝南户型 带装修', '凯旋门  | 1室1厅 | 53平米 | 南 | 其他', '低楼层(共47层)2012年建塔楼  -  荷叶地', '145万', '单价27359元/平米')
('https://image1.ljcdn.com/340100-inspection/abd4efa9-a95e-41ac-870b-1b1b25fc1058.jpg.296x216.jpg', '天鹅湖畔两居楼层采光好，看房方便', '天鹅湖畔  | 2室2厅 | 117平米 | 南 | 其他', '高楼层(共27层)2008年建塔楼  -  笔架山', '330万', '单价28206元/平米')
('', '汇林阁东区两房户型正气 两房朝南居住舒适', '汇林阁东区  | 2室2厅 | 85平米 | 南 | 其他', '低楼层(共6层)2006年建板楼  -  笔架山', '168万', '单价19765元/平米')
('https://image1.ljcdn.com/340100-inspection/262f8ee8-5b22-4c92-9b1a-40e5bf53c088.jpg.296x216.jpg', '小区两居，户型好，房东诚售，精装未入住。', '亚华新城邦茗苑  | 2室2厅 | 88.98平米 | 南 | 其他', '高楼层(共11层)2010年建板楼  -  荷叶地', '175万', '单价19668元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadd0bae57a-3c94-4092-805a-ff74b5826aea.jpg.296x216.jpg', '天鹅湖万达朝北公寓  即买即收益', '天鹅湖万达广场  | 1室0厅 | 56.06平米 | 北 | 其他', '中楼层(共24层)2009年建板塔结合  -  笔架山', '50万', '单价8920元/平米')
('https://image1.ljcdn.com/340100-inspection/3316ee6c-35fc-40c4-afd0-ed7b44a02ad8.jpg.296x216.jpg', '两卧朝南，居家精装修，小区环境安静舒适', '丹青花园  | 3室2厅 | 133.52平米 | 南 | 其他', '中楼层(共11层)2006年建板楼  -  荷叶地', '240万', '单价17975元/平米')
('https://image1.ljcdn.com/340100-inspection/79f0a311-11be-4514-8dcd-d83f5141a87c.jpg.296x216.jpg', '为你而选为你为家 浅水湾满两年 单价低 看房方便', '浅水湾  | 4室2厅 | 234平米 | 南 | 其他', '低楼层(共3层)2004年建塔楼  -  荷叶地', '350万', '单价14958元/平米')
('https://image1.ljcdn.com/340100-inspection/d3d46add-e057-48ca-b244-1395ecfdf14d.jpg.296x216.jpg', '层高3.6米 中间位置 采光及视野棒 业主诚售', '栢悦公馆  | 4室2厅 | 357平米 | 南 | 其他', '40层2012年建塔楼  -  荷叶地', '1056万', '单价29580元/平米')
('https://image1.ljcdn.com/340100-inspection/83049f45-0f0d-45c6-895f-758ec2fdd931.jpg.296x216.jpg', '中间楼层，采光无遮挡，房东诚心出售', '茗香苑  | 3室2厅 | 112平米 | 南 | 其他', '中楼层(共18层)2012年建塔楼  -  荷叶地', '202万', '单价18036元/平米')
('https://image1.ljcdn.com/340100-inspection/5ae04ac6-fedc-4840-bfaa-b07df36492ad.jpg.296x216.jpg', '为你而选 为你为家  毛坯房  楼层好 采光好', '栢悦公馆  | 3室2厅 | 127平米 | 南 | 其他', '中楼层(共40层)2012年建塔楼  -  荷叶地', '375万', '单价29528元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadcd8218e6-5ca0-49ed-9ca7-53d9c19fce61.jpg.296x216.jpg', '为你而选为你为家 凯旋门精装修朝南公寓 中高层采光好', '凯旋门  | 1室1厅 | 47平米 | 南 | 其他', '高楼层(共47层)2012年建塔楼  -  荷叶地', '125万', '单价26596元/平米')
('https://image1.ljcdn.com/340100-inspection/33ecc474-dbfe-4814-86e7-f2271f638979.jpg.296x216.jpg', '丹青花园户型方正的大四房，采光好，视野开阔！', '丹青花园  | 4室2厅 | 149.08平米 | 南 北 | 其他', '高楼层(共11层)2006年建板楼  -  荷叶地', '290万', '单价19453元/平米')
('', '国际花都郁金苑 顶楼复式带电梯 五居大户型改善好选择', '国际花都郁金苑  | 5室3厅 | 246平米 | 南 | 其他', '高楼层(共10层)2003年建板楼  -  荷叶地', '360万', '单价14635元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload8a79545a-3439-4585-a59d-0d06eaeadf26.jpg.296x216.jpg', '为你而选为你而家亚华新城邦茗苑五房附带两个独立车库', '亚华新城邦茗苑  | 5室2厅 | 217.14平米 | 南 西南 | 其他', '中楼层(共11层)2010年建板楼  -  荷叶地', '380万', '单价17501元/平米')
('https://image1.ljcdn.com/340100-inspection/2813a6eb-6a35-4e68-9ba1-dd0a8b817a02.jpg.296x216.jpg', '华邦世贸城   紧凑型三房  户型正气', '华邦世贸城  | 3室2厅 | 85平米 | 南 北 | 其他', '低楼层(共34层)2013年建板楼  -  荷叶地', '181万', '单价21295元/平米')
('https://image1.ljcdn.com/340100-inspection/5dc2a377-6d65-441e-9fbd-78c0fcb7c556.jpg.296x216.jpg', '水墨兰亭大四房 楼层好 采光无遮挡 南北通透 满五年', '水墨兰庭  | 4室2厅 | 139.6平米 | 南 北 | 其他', '低楼层(共6层)2005年建板楼  -  笔架山', '370万', '单价26505元/平米')
('https://image1.ljcdn.com/340100-inspection/3c507756-3d47-495d-ae8e-9065e59da80a.jpg.296x216.jpg', '[为你而选为你为家]华邦世贸城 低楼层  适合老年人', '华邦世贸城  | 3室2厅 | 94.45平米 | 南 北 | 其他', '低楼层(共34层)2013年建板楼  -  荷叶地', '190万', '单价20117元/平米')
('https://image1.ljcdn.com/340100-inspection/deb69888-5daa-48d4-ae06-79c97198788f.jpg.296x216.jpg', '为你而选为你为家 凯旋门大两房 诚心出售！', '凯旋门  | 2室2厅 | 83.65平米 | 南 | 其他', '中楼层(共41层)2012年建塔楼  -  荷叶地', '240万', '单价28691元/平米')
('https://image1.ljcdn.com/340100-inspection/d17cb7df-4390-425f-9af2-166f36804ad1.jpg.296x216.jpg', '房型方正，格局漂亮，正宗三房，品质超高，配套齐全', '凯旋门  | 3室2厅 | 118平米 | 南 | 其他', '低楼层(共51层)2012年建塔楼  -  荷叶地', '300万', '单价25424元/平米')
('https://image1.ljcdn.com/340100-inspection/e2d007c7-20ea-4ec0-b66d-d7b9581c9c42.jpg.296x216.jpg', '三开间朝南，楼层佳，诚意出售，看房随时！', '琥珀五环城和雅阁  | 3室2厅 | 102平米 | 南 | 其他', '低楼层(共32层)2011年建塔楼  -  荷叶地', '202万', '单价19804元/平米')
('https://image1.ljcdn.com/340100-inspection/be453bee-eb72-435e-9a6d-ff28106b35cc.JPG.296x216.jpg', '双卧朝南，全明阳光房，楼层好，装修好', '发能太阳海岸  | 2室2厅 | 87.72平米 | 南 | 其他', '中楼层(共30层)2010年建塔楼  -  笔架山', '198万', '单价22572元/平米')
('https://image1.ljcdn.com/340100-inspection/36a6be33-0f6c-421f-9309-42d3b26b89c3.jpg.296x216.jpg', '雏菊苑精装修 楼层好  双阳台 精装三房', '雏菊苑  | 3室2厅 | 134.42平米 | 南 | 其他', '低楼层(共24层)2005年建塔楼  -  荷叶地', '285万', '单价21203元/平米')
('', '此房满五唯一免税，南北通透户型，楼层好采光无遮挡', '森林海  | 3室2厅 | 121平米 | 南 北 | 其他', '低楼层(共32层)2010年建塔楼  -  笔架山', '280万', '单价23141元/平米')
('https://image1.ljcdn.com/340100-inspection/d22bec8b-36b6-471b-b7c2-7f9fa426f297.jpg.296x216.jpg', '双卧朝南交通便利低单价精选两房', '金祁花园  | 2室1厅 | 82.3平米 | 南 北 | 其他', '高楼层(共6层)2004年建板楼  -  荷叶地', '135万', '单价16404元/平米')
('https://image1.ljcdn.com/340100-inspection/10302b11-dc1e-41f2-a065-c7295d34bbb9.jpg.296x216.jpg', '内森庄园 联排别墅 靠近湖边 带大院子', '内森庄园   | 独栋别墅 | 6室3厅 | 517.13平米 | 南 北 | 其他', '3层2014年建板塔结合  -  笔架山', '1545万', '单价29877元/平米')
('https://image1.ljcdn.com/340100-inspection/test-4bcc35a8-1d15-4bbe-ba0a-7ef804dce993.png.296x216.jpg', '户型方正，正规两房，满两年，采光好！', '乐富强御龙湾  | 2室2厅 | 80.05平米 | 南 | 其他', '高楼层(共32层)2011年建塔楼  -  笔架山', '170万', '单价21237元/平米')
('https://image1.ljcdn.com/340100-inspection/934c58aa-f1c6-4cad-b5ad-e014b2b5e126.jpg.296x216.jpg', '两卧朝南，居家精装修，小区环境安静舒适', '丹青花园  | 3室2厅 | 133.52平米 | 南 | 其他', '中楼层(共11层)2006年建板楼  -  荷叶地', '277万', '单价20746元/平米')
