('https://image1.ljcdn.com/340100-inspection/0d3ee94d-bdc6-4564-a0d1-4fb2a8bf040b.JPG.296x216.jpg', '此房满两年， 视野开阔采光好 精装，南北通透', '东冠繁华逸城  | 3室2厅 | 90.72平米 | 南 北 | 其他', '低楼层(共18层)2014年建塔楼  -  黄小', '148万', '单价16314元/平米')
('https://image1.ljcdn.com/340100-inspection/5b00b8d7-d11c-4f47-9718-18e46d868241.jpg.296x216.jpg', '太平洋森活广场经典三房 业主诚心出售', '太平洋森活广场  | 3室2厅 | 116.54平米 | 南 北 | 其他', '中楼层(共28层)塔楼  -  染坊', '166万', '单价14245元/平米')
('', '禹洲小微公馆 70年产权 肥西产证 业主诚心出售', '禹洲华侨城三期枫园  | 2室1厅 | 53平米 | 西南 | 其他', '中楼层(共24层)2016年建塔楼  -  染坊', '96万', '单价18114元/平米')
('https://image1.ljcdn.com/340100-inspection/ee774fc5-dd04-4dc5-bbca-b43168446001.JPG.296x216.jpg', '学林雅苑 4室1厅 222万', '学林雅苑  | 4室1厅 | 148.51平米 | 南 北 | 其他', '中楼层(共18层)2006年建塔楼  -  桃花工业园', '222万', '单价14949元/平米')
('https://image1.ljcdn.com/340100-inspection/test-f36caa3b-dc87-4222-b501-754bbd33929b.png.296x216.jpg', '肥西产证业主诚售南北通透楼层好采光无遮挡位置好', '信地华地城  | 3室2厅 | 98平米 | 南 北 | 其他', '高楼层(共32层)2016年建塔楼  -  繁华新园', '148万', '单价15103元/平米')
('https://image1.ljcdn.com/340100-inspection/cd710636-cc83-4d5e-bc4c-8abc85b3f089.JPG.296x216.jpg', '文一名门绿洲 肥西产证 精装修 拎包入住 采光足', '文一名门绿洲  | 3室2厅 | 89.61平米 | 南 | 其他', '低楼层(共33层)暂无数据  -  繁华新园', '140万', '单价15624元/平米')
('https://image1.ljcdn.com/340100-inspection/195c267d-d784-4bca-a4a0-15103d2013ef.JPG.296x216.jpg', '温馨三房，楼层高，采光好，不靠火车道', '禹洲华侨城三期荷园  | 3室2厅 | 113平米 | 南 | 其他', '中楼层(共28层)2014年建塔楼  -  染坊', '205万', '单价18142元/平米')
('https://image1.ljcdn.com/340100-inspection/3eacc4b1-f295-41a5-9ed4-c8de3c6b93d0.JPG.296x216.jpg', '翡翠湖畔，肥西产权，精装三房，带暖气带车位', '学林雅苑  | 3室2厅 | 148.51平米 | 南 | 其他', '低楼层(共18层)2006年建塔楼  -  桃花工业园', '198万', '单价13333元/平米')
('https://image1.ljcdn.com/340100-inspection/c7996bc0-7188-44d2-bb57-640d6b118ee5.JPG.296x216.jpg', '翡翠湖旁 大学城边 品质小区 多层通透三房诚售', '安徽水电学院教师公寓  | 3室1厅 | 90.48平米 | 南 北 | 其他', '中楼层(共8层)板楼  -  桃花工业园', '130万', '单价14368元/平米')
('', '户型方正， 客厅朝南带阳台 采光充足', '文一名门绿洲  | 3室2厅 | 87平米 | 南 | 其他', '低楼层(共33层)暂无数据  -  繁华新园', '130万', '单价14943元/平米')
('https://image1.ljcdn.com/340100-inspection/a42d7877-03cc-4f97-a4d8-05a696870475.JPG.296x216.jpg', '花园锦绣大地城 3室2厅 180万', '花园锦绣大地城  | 3室2厅 | 130平米 | 南 北 | 其他', '低楼层(共12层)2013年建塔楼  -  桃花工业园', '180万', '单价13847元/平米')
('https://image1.ljcdn.com/340100-inspection/8c69e926-81a4-44b3-81a4-8a90796d5bad.JPG.296x216.jpg', '集中供暖 绿化高 全明户型采光充足无遮挡', '和安家园  | 4室2厅 | 182.28平米 | 南 | 其他', '低楼层(共27层)2009年建塔楼  -  桃花工业园', '285万', '单价15636元/平米')
('https://image1.ljcdn.com/340100-inspection/6be86ecb-c32c-47dc-a0b3-0027280edd06.JPG.296x216.jpg', '房子位置好，毗邻翡翠湖，户型方正南北通透。', '学林雅苑  | 3室2厅 | 164.99平米 | 南 北 | 其他', '高楼层(共6层)2006年建板楼  -  桃花工业园', '220万', '单价13335元/平米')
('https://image1.ljcdn.com/340100-inspection/a3826fd9-57b0-450f-8a19-67337f5a0c96.jpg.296x216.jpg', '新小区，电梯洋房中间楼层，带装修+车位', '文一名门绿洲  | 3室2厅 | 101平米 | 南 北 | 其他', '中楼层(共8层)暂无数据  -  繁华新园', '165万', '单价16337元/平米')
('https://image1.ljcdn.com/340100-inspection/17394b97-d672-405a-bf86-1935276e3a85.JPG.296x216.jpg', '长安一品 2室1厅 91万', '长安一品  | 2室1厅 | 56.75平米 | 东南 | 其他', '高楼层(共32层)2013年建板楼  -  桃花工业园', '91万', '单价16036元/平米')
('https://image1.ljcdn.com/340100-inspection/40d91cc1-38c2-4027-bcc9-f1db62f783aa.JPG.296x216.jpg', '禹洲华侨城三期荷园 2室2厅 130万', '禹洲华侨城三期荷园  | 2室2厅 | 77.34平米 | 南 | 其他', '低楼层(共33层)2014年建塔楼  -  染坊', '130万', '单价16809元/平米')
('https://image1.ljcdn.com/340100-inspection/5b51634f-a887-4e32-996e-a5fe9f53b436.JPG.296x216.jpg', '禹洲华侨城二期柳园 2室2厅 132万', '禹洲华侨城二期柳园  | 2室2厅 | 80.8平米 | 南 | 其他', '中楼层(共28层)2012年建塔楼  -  染坊', '132万', '单价16337元/平米')
('', '华南城紫荆名都 4室2厅 140万', '华南城紫荆名都  | 4室2厅 | 125平米 | 南 北 | 其他', '低楼层(共34层)暂无数据  -  肥西', '140万', '单价11200元/平米')
('https://image1.ljcdn.com/340100-inspection/1e578499-21c9-4b45-b973-30da926c8dec.JPG.296x216.jpg', '原树提香 前后院子，带露台，带阳台', '原树提香   | 独栋别墅 | 5室3厅 | 279平米 | 南 北 | 其他', '3层2017年建暂无数据  -  桃花工业园', '505万', '单价18101元/平米')
('https://image1.ljcdn.com/340100-inspection/79efd1d1-c7a2-4c1e-84b4-2f323daf4784.JPG.296x216.jpg', '2012~2016年建成的次新小区，环境优美，交通便利', '原树提香   | 联排别墅 | 6室3厅 | 263.31平米 | 南 | 其他', '4层2017年建暂无数据  -  桃花工业园', '580万', '单价22028元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload2d26a67d-6dae-474b-951c-6006d783815f.jpg.296x216.jpg', '精装修，南北通透户型，诚意卖房', '长安萨尔斯堡  | 3室2厅 | 114.8平米 | 南 北 | 其他', '中楼层(共18层)2011年建板楼  -  桃花工业园', '180万', '单价15680元/平米')
('https://image1.ljcdn.com/340100-inspection/26268205-2353-4d85-b4b2-c0e2d32ea995.jpg.296x216.jpg', '楼层好、采光好、新装修、有家具家电，有地下车库！', '华南城紫荆名都  | 1室1厅 | 47.12平米 | 南 | 其他', '低楼层(共34层)板塔结合  -  肥西', '46万', '单价9763元/平米')
('https://image1.ljcdn.com/340100-inspection/adaaabe3-1ba8-4324-9d23-e73d974be479.JPG.296x216.jpg', '政务南 一期多层 采光好东边户 不临火车道 居家复式', '禹洲华侨城一期  | 4室1厅 | 123.08平米 | 南 北 | 其他', '高楼层(共6层)2010年建板楼  -  染坊', '190万', '单价15438元/平米')
('https://image1.ljcdn.com/340100-inspection/bafc5db4-f6b8-43af-954f-30d905740149.jpg.296x216.jpg', '禹洲华侨城三期枫园 2室2厅 153万', '禹洲华侨城三期枫园  | 2室2厅 | 89.68平米 | 南 | 其他', '低楼层(共33层)2016年建塔楼  -  染坊', '153万', '单价17061元/平米')
('https://image1.ljcdn.com/340100-inspection/6a3d7091-7232-4aba-a0a6-3613a05acc85.jpg.296x216.jpg', '禹洲小微公馆 70年产权 肥西产证 业主诚心出售', '禹洲华侨城三期枫园  | 2室1厅 | 49.21平米 | 北 | 其他', '中楼层(共24层)2016年建塔楼  -  染坊', '78万', '单价15851元/平米')
('https://image1.ljcdn.com/340100-inspection/bb2ac0a4-9fb0-4275-816a-ddf9bfa8bd48.JPG.296x216.jpg', '禹洲华侨城三期荷园 2室2厅 145万', '禹洲华侨城三期荷园  | 2室2厅 | 79.26平米 | 南 北 | 其他', '低楼层(共28层)2014年建塔楼  -  染坊', '145万', '单价18295元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadc8e3b711-196c-45e7-83d1-30244204e42b.jpg.296x216.jpg', '双阳台三房+满两年+客厅朝南带贯穿大阳台+通风效果棒', '东冠繁华逸城  | 3室2厅 | 96.21平米 | 南 北 | 其他', '中楼层(共11层)2014年建板楼  -  黄小', '152万', '单价15799元/平米')
('https://image1.ljcdn.com/340100-inspection/473082a4-e501-4ec9-8116-4a425a659030.jpg.296x216.jpg', '禹洲华侨城二期柳精致两房，客厅大阳台，采光足', '禹洲华侨城二期柳园  | 2室2厅 | 96.11平米 | 南 | 其他', '低楼层(共33层)2012年建塔楼  -  染坊', '150万', '单价15608元/平米')
('', '位置好，小区周围配套好，环境优美 诚心出售', '绿地新都会  | 3室2厅 | 88平米 | 南 | 其他', '高楼层(共34层)塔楼  -  新港', '132万', '单价15000元/平米')
('', '名邦西城国际 1室1厅 75万', '名邦西城国际  | 1室1厅 | 53平米 | 东 | 其他', '高楼层(共26层)塔楼  -  肥西', '75万', '单价14151元/平米')
('https://image1.ljcdn.com/340100-inspection/aacf22b8-c8ec-478b-b80a-dd25fe5997a2.JPG.296x216.jpg', '东冠满两年边户 全明通透大三房 南北双阳台 采光好', '东冠繁华逸城  | 3室2厅 | 128.78平米 | 南 北 | 其他', '低楼层(共6层)2014年建板楼  -  黄小', '198万', '单价15376元/平米')
('https://image1.ljcdn.com/340100-inspection/5fa647f1-3d13-4b96-a6b5-4e92e14124f8.jpg.296x216.jpg', '新华御湖庄园 4室2厅 385万', '新华御湖庄园  | 4室2厅 | 173.62平米 | 南 | 其他', '中楼层(共15层)塔楼  -  柏堰', '385万', '单价22175元/平米')
('https://image1.ljcdn.com/340100-inspection/98e5e726-9f8a-484c-a58a-88fe87afcb9f.JPG.296x216.jpg', '禹洲华侨城二期柳园 2室2厅 132万', '禹洲华侨城二期柳园  | 2室2厅 | 78.96平米 | 南 北 | 其他', '低楼层(共18层)2012年建塔楼  -  染坊', '132万', '单价16718元/平米')
('', '华地翡翠蓝湾二期 3室2厅 132万', '华地翡翠蓝湾二期  | 3室2厅 | 85.7平米 | 南 北 | 其他', '低楼层(共26层)暂无数据  -  翡翠', '132万', '单价15403元/平米')
('https://image1.ljcdn.com/340100-inspection/f355f512-f48c-4904-bd6f-b24f2e4baa44.JPG.296x216.jpg', '禹洲华侨城多层，居家装修，房东诚心出售', '禹洲华侨城一期  | 4室2厅 | 147.43平米 | 东 南 | 其他', '高楼层(共6层)2010年建板楼  -  染坊', '245万', '单价16619元/平米')
('https://image1.ljcdn.com/340100-inspection/346ec591-06b9-4ae4-8bf9-b6981391e26a.JPG.296x216.jpg', '标准大四房，南北通透，电梯洋房，采光无遮挡', '信地华地城  | 4室2厅 | 125平米 | 南 北 | 其他', '低楼层(共6层)板塔结合  -  繁华新园', '200万', '单价16000元/平米')
('https://image1.ljcdn.com/340100-inspection/7d226dff-3bff-4905-9d30-38e0c5a2e479.jpg.296x216.jpg', '南北通透  建筑面积125平，产权面积186平，再赠送30平', '长安萨尔斯堡  | 5室3厅 | 125.84平米 | 南 北 | 其他', '高楼层(共6层)2011年建板楼  -  桃花工业园', '265万', '单价21059元/平米')
('https://image1.ljcdn.com/340100-inspection/ea0c39d1-fc18-4e01-b74d-93808c373f09.JPG.296x216.jpg', '翡翠湖畔，环境优美，物业优质，安静舒适，楼层位置好', '学林雅苑  | 3室2厅 | 115平米 | 南 | 其他', '低楼层(共6层)2006年建板楼  -  桃花工业园', '178万', '单价15479元/平米')
('', '华南城紫荆名都 1室1厅 54万', '华南城紫荆名都  | 1室1厅 | 54.7平米 | 南 | 其他', '中楼层(共34层)板塔结合  -  肥西', '54万', '单价9873元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/c9353aff-53df-481c-9f67-7936d2dbed61.png.280x210.jpg', '学林雅苑 4室1厅 180万', '学林雅苑  | 4室1厅 | 143平米 | 南 北 | 其他', '高楼层(共6层)2006年建板楼  -  桃花工业园', '180万', '单价12588元/平米')
('https://image1.ljcdn.com/340100-inspection/ae8bf074-8c6c-4cc1-a8bf-93f7f0e5887d.JPG.296x216.jpg', '明珠广场旁水安公司小区，采光好，交通便捷！', '省水安公司  | 4室2厅 | 120.3平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  桃花工业园', '140万', '单价11638元/平米')
('https://image1.ljcdn.com/340100-inspection/ad935417-0884-4896-b726-5f8df4545e77.jpg.296x216.jpg', '太平洋森活广场  大三房  全新毛坯   您的居家之选', '太平洋森公馆  | 3室2厅 | 116平米 | 南 | 其他', '高楼层(共30层)暂无数据  -  染坊', '170万', '单价14656元/平米')
('https://image1.ljcdn.com/340100-inspection/d9ae85c7-1643-4c60-9971-e6c45775ae23.jpg.296x216.jpg', '精装修三房，三开间朝南，楼层视野采光好', '文一名门御府  | 3室2厅 | 89.11平米 | 南 | 其他', '高楼层(共34层)塔楼  -  黄小', '144万', '单价16160元/平米')
('', '大三房采光无遮挡楼层好业主诚售', '东冠繁华逸城  | 3室2厅 | 132平米 | 南 北 | 其他', '高楼层(共11层)2014年建板楼  -  黄小', '198万', '单价15000元/平米')
('https://image1.ljcdn.com/340100-inspection/test-7cd2dcec-7a50-4dc8-b0ed-33b2dd48d5bd.png.296x216.jpg', '禹洲华侨城 配套齐全 精装修 拎包入住', '禹洲华侨城三期枫园  | 1室1厅 | 49.53平米 | 北 | 其他', '中楼层(共24层)2016年建塔楼  -  染坊', '78万', '单价15749元/平米')
('https://image1.ljcdn.com/340100-inspection/d97195e2-4ac9-4fa7-9344-7db4e9e6cab0.JPG.296x216.jpg', '户型方正 景观房 采光好 送大阳台', '花园锦绣大地城  | 3室2厅 | 116.1平米 | 南 | 其他', '低楼层(共34层)2013年建塔楼  -  桃花工业园', '170万', '单价14643元/平米')
('https://image1.ljcdn.com/340100-inspection/6f861ffd-5b44-4cfb-8254-192e67e9479d.JPG.296x216.jpg', '带入户花园满五年免增值税，自住装修 高层 采光非常好', '长安萨尔斯堡  | 3室2厅 | 104.62平米 | 南 北 | 其他', '中楼层(共18层)2011年建板楼  -  桃花工业园', '175万', '单价16728元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload5e647860-91d1-45af-abfc-3f9b0ad2c76e.jpg.296x216.jpg', '翡翠湖畔 精装 带电梯 大平层 诚心卖', '学林雅苑  | 3室2厅 | 148.51平米 | 南 北 | 其他', '高楼层(共18层)2006年建塔楼  -  桃花工业园', '206万', '单价13872元/平米')
('', '禹洲华侨城三期荷园 2室1厅 135万', '禹洲华侨城三期荷园  | 2室1厅 | 73.44平米 | 南 | 其他', '高楼层(共28层)2014年建塔楼  -  染坊', '135万', '单价18383元/平米')
('', '幸福大街西区 1室1厅 55万', '幸福大街西区  | 1室1厅 | 36.93平米 | 西北 | 其他', '高楼层(共23层)2011年建板楼  -  桃花工业园', '55万', '单价14894元/平米')
('https://image1.ljcdn.com/340100-inspection/7973898a-504e-43a2-8a7e-9d8a30cbc61d.jpg.296x216.jpg', '高楼层 视野开阔 精装修 交通便利', '锦程大厦  | 2室2厅 | 95.37平米 | 南 北 | 其他', '中楼层(共19层)2015年建板楼  -  桃花工业园', '126万', '单价13212元/平米')
('https://image1.ljcdn.com/340100-inspection/0048f9e7-503a-4724-a933-7e5a29e03aa7.jpg.296x216.jpg', '小户型，位置好，户型正，诚意卖。', '禹洲华侨城三期枫园  | 1室1厅 | 49.17平米 | 北 | 其他', '低楼层(共24层)2016年建塔楼  -  染坊', '78万', '单价15864元/平米')
('https://image1.ljcdn.com/340100-inspection/ecc55954-75d6-4e29-a540-d1e7bc4bfdcf.jpg.296x216.jpg', '新华阳光国际 2室2厅 140万', '新华阳光国际  | 2室2厅 | 88.86平米 | 南 | 其他', '高楼层(共11层)2011年建板塔结合  -  柏堰', '140万', '单价15756元/平米')
('', '肥西产证 次新小区 随时可看 ！', '文一名门绿洲  | 3室2厅 | 87.44平米 | 南 | 其他', '低楼层(共33层)暂无数据  -  繁华新园', '130万', '单价14868元/平米')
('https://image1.ljcdn.com/340100-inspection/1d0ea85e-c9ab-4e09-a71d-75326c5c546c.JPG.296x216.jpg', '肥西产证 经典边户小三房 精装诚售', '禹洲华侨城三期枫园  | 3室2厅 | 89.96平米 | 南 北 | 其他', '低楼层(共33层)2016年建塔楼  -  染坊', '170万', '单价18898元/平米')
('https://image1.ljcdn.com/340100-inspection/abef6229-cc63-4c3c-94c1-c53c59ece179.JPG.296x216.jpg', '东冠繁华逸城 居家装修 拎包入住', '东冠繁华逸城  | 2室2厅 | 78.26平米 | 南 | 其他', '中楼层(共11层)2014年建板楼  -  黄小', '125万', '单价15973元/平米')
('https://image1.ljcdn.com/340100-inspection/5e11eb89-18df-4d08-9886-897318bd06ff.JPG.296x216.jpg', '花园式洋房建筑风格 小高层 采光好 居住舒适度高', '长安萨尔斯堡  | 2室1厅 | 75.32平米 | 南 | 其他', '中楼层(共11层)2011年建板楼  -  桃花工业园', '116万', '单价15401元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload6b8b963b-d8cd-4a42-a1d3-41af24649431.jpg.296x216.jpg', '小高楼层，视野好， 翡翠湖旁 南北双阳台三房', '花园锦绣大地城  | 3室1厅 | 129.29平米 | 南 北 | 其他', '中楼层(共12层)2013年建塔楼  -  桃花工业园', '162万', '单价12530元/平米')
('', '华南城实用小公寓 ，业主诚心卖', '华南城紫荆名都  | 1室1厅 | 54.71平米 | 南 北 | 其他', '低楼层(共34层)板塔结合  -  肥西', '53万', '单价9688元/平米')
('', '学林雅苑 3室1厅 178万', '学林雅苑  | 3室1厅 | 106平米 | 南 北 | 其他', '高楼层(共6层)2006年建板楼  -  桃花工业园', '178万', '单价16793元/平米')
('https://image1.ljcdn.com/340100-inspection/b4ccf1b7-9398-4677-9a31-80c406b1c42a.jpg.296x216.jpg', '精装两房，拎包入住，采光很好，诚心出售。', '鼎元公馆  | 2室1厅 | 71.05平米 | 北 | 其他', '中楼层(共34层)暂无数据  -  黄小', '120万', '单价16890元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload8439ddc7-f2fe-4979-adb4-75b689b79e4d.jpg.296x216.jpg', '一楼带院子 肥西产证 翡翠路沿线', '安徽水电学院教师公寓  | 3室1厅 | 90.48平米 | 南 北 | 其他', '低楼层(共8层)板楼  -  桃花工业园', '138万', '单价15252元/平米')
('https://image1.ljcdn.com/340100-inspection/e0fbf834-f31c-41c1-8803-71b581804bd0.jpg.296x216.jpg', '太平洋森公馆 2室2厅 145万', '太平洋森公馆  | 2室2厅 | 86.63平米 | 南 | 其他', '中楼层(共32层)塔楼  -  染坊', '145万', '单价16738元/平米')
('', '金云国际 3室2厅 177万', '金云国际  | 3室2厅 | 119平米 | 南 | 其他', '中楼层(共28层)板楼  -  新港', '177万', '单价14874元/平米')
('https://image1.ljcdn.com/340100-inspection/36083437-fb95-4b3c-8419-c97904265289.jpg.296x216.jpg', '此房居家装修拎包入住 采光充足 户型好 环境优美', '禹洲华侨城一期  | 3室2厅 | 118.5平米 | 南 北 | 其他', '低楼层(共6层)2010年建板楼  -  染坊', '195万', '单价16456元/平米')
('https://image1.ljcdn.com/340100-inspection/ff44a02d-3b89-48a5-8d96-29884e68acdb.JPG.296x216.jpg', '大学城小两房，近翡翠湖，总价低，采光好，多层', '安徽水电学院教师公寓  | 2室2厅 | 78.05平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  桃花工业园', '110万', '单价14094元/平米')
('https://image1.ljcdn.com/340100-inspection/6ac951ca-a8ab-4f21-a92c-830e6d5c7542.JPG.296x216.jpg', '翡翠湖旁 多层 户型方正 交通便利', '学林雅苑  | 2室2厅 | 79.51平米 | 南 | 其他', '低楼层(共6层)2006年建板楼  -  桃花工业园', '125万', '单价15722元/平米')
('https://image1.ljcdn.com/340100-inspection/845d2914-55cd-4ba3-a6b1-5ed5e70cfab2.JPG.296x216.jpg', '链上温馨  太平洋品质刚需小两房 房东诚售', '太平洋森公馆  | 2室2厅 | 75平米 | 南 | 其他', '高楼层(共34层)暂无数据  -  染坊', '118万', '单价15734元/平米')
('https://image1.ljcdn.com/340100-inspection/bb752231-3b33-4262-aac9-fd0b6147b4a3.JPG.296x216.jpg', '市政供暖 满两年 没有增值税 户型好', '和安家园  | 4室2厅 | 143.71平米 | 南 | 其他', '低楼层(共18层)2009年建塔楼  -  桃花工业园', '220万', '单价15309元/平米')
('', '温馨如家  鼎元品质精装3房  房东诚售', '鼎元公馆  | 3室1厅 | 92.7平米 | 南 | 其他', '低楼层(共26层)暂无数据  -  黄小', '160万', '单价17260元/平米')
('https://image1.ljcdn.com/340100-inspection/acb2e14d-9237-4887-8cd9-d2537de149fb.jpg.296x216.jpg', '幸福大街西区 1室1厅 47万', '幸福大街西区  | 1室1厅 | 35平米 | 北 | 其他', '高楼层(共23层)2011年建板楼  -  桃花工业园', '47万', '单价13429元/平米')
('https://image1.ljcdn.com/340100-inspection/6b3dc3e3-ccac-44e6-942b-56d4ae0e5a4f.jpg.296x216.jpg', '文一名门御府 3室2厅 145万', '文一名门御府  | 3室2厅 | 89.2平米 | 南 | 其他', '高楼层(共31层)塔楼  -  黄小', '145万', '单价16256元/平米')
('https://image1.ljcdn.com/340100-inspection/d1d9c214-ea9f-4c00-b587-935093b8b305.jpg.296x216.jpg', '长安萨尔斯堡精装三房，南北通透！', '长安萨尔斯堡  | 3室2厅 | 111.09平米 | 南 北 | 其他', '中楼层(共18层)2011年建板楼  -  桃花工业园', '180万', '单价16204元/平米')
('https://image1.ljcdn.com/340100-inspection/test-e4d7360b-b96a-4ff2-a9cf-481cb3c731b2.png.296x216.jpg', '禹洲华侨城三期枫园 2室1厅 150万', '禹洲华侨城三期枫园  | 2室1厅 | 88.03平米 | 南 北 | 其他', '中楼层(共33层)2016年建塔楼  -  染坊', '150万', '单价17040元/平米')
('', '禹洲天玺 4室2厅 178万', '禹洲天玺  | 4室2厅 | 125平米 | 南 | 其他', '高楼层(共32层)塔楼  -  繁华新园', '178万', '单价14240元/平米')
('https://image1.ljcdn.com/340100-inspection/b5bf94ff-bdad-40c7-b1de-a05b941e4d67.jpg.296x216.jpg', '信地华地城 电梯洋房 东边户 3开间朝南', '信地华地城  | 4室1厅 | 125.79平米 | 南 北 | 其他', '低楼层(共6层)板塔结合  -  繁华新园', '210万', '单价16695元/平米')
('https://image1.ljcdn.com/340100-inspection/9c8859be-538d-473d-af4b-b027efc72455.jpg.296x216.jpg', '禹洲华侨城三期荷园 2室1厅 120万', '禹洲华侨城三期荷园  | 2室1厅 | 72.43平米 | 南 | 其他', '低楼层(共24层)2014年建塔楼  -  染坊', '120万', '单价16568元/平米')
('https://image1.ljcdn.com/340100-inspection/a1002968-90bc-4588-a1dd-00581870807b.jpg.296x216.jpg', '肥西产证业主诚售南北通透户型方正采光无遮挡通风好', '东冠繁华逸城  | 2室2厅 | 88.51平米 | 南 北 | 其他', '低楼层(共6层)2014年建板楼  -  黄小', '125万', '单价14123元/平米')
('https://image1.ljcdn.com/340100-inspection/a527cd27-1f72-4746-ab9a-d8144ce16061.JPG.296x216.jpg', '禹洲华侨城二期柳园 2室2厅 148万', '禹洲华侨城二期柳园  | 2室2厅 | 81平米 | 南 | 其他', '低楼层(共33层)2012年建塔楼  -  染坊', '148万', '单价18272元/平米')
('https://image1.ljcdn.com/340100-inspection/b34f65fb-e366-4377-95d3-2f48d23dcfbb.JPG.296x216.jpg', '肥西产证  送入户花园  看房方便', '长安萨尔斯堡  | 4室2厅 | 114.8平米 | 南 北 | 其他', '低楼层(共18层)2011年建板楼  -  桃花工业园', '180万', '单价15680元/平米')
('', '居家适用小三房，房子新，周边配套成熟。诚心出售', '华地翡翠蓝湾  | 3室2厅 | 88平米 | 南 | 其他', '高楼层(共33层)板塔结合  -  翡翠', '138万', '单价15682元/平米')
('', '幸福大街西区 1室1厅 44万', '幸福大街西区  | 1室1厅 | 31平米 | 东北 | 其他', '低楼层(共23层)2011年建板楼  -  桃花工业园', '44万', '单价14194元/平米')
('https://image1.ljcdn.com/340100-inspection/test-c68bc08e-e4dc-4d91-97f5-8e55fa50d551.png.296x216.jpg', '文一名门绿洲洋房 毛坯 送车位 南北通透户型', '文一名门绿洲  | 3室2厅 | 115.96平米 | 南 北 | 其他', '中楼层(共8层)暂无数据  -  繁华新园', '175万', '单价15092元/平米')
('https://image1.ljcdn.com/340100-inspection/98c4891f-4fde-4af3-9544-6624215e5378.jpg.296x216.jpg', '刚需  肥西产证  采光好 交通便利 户型方正', '旭日长安  | 2室1厅 | 83平米 | 南 | 其他', '中楼层(共11层)2009年建塔楼  -  黄小', '125万', '单价15061元/平米')
('https://image1.ljcdn.com/340100-inspection/b86305f8-9c43-4541-9029-dbc11f77add3.jpg.296x216.jpg', '禹洲荷园 精装修 全朝南户型 楼层好 小区新', '禹洲华侨城三期荷园  | 2室2厅 | 87.5平米 | 南 | 其他', '中楼层(共18层)2010年建塔楼  -  染坊', '150万', '单价17143元/平米')
('', '此房满两年。中等装修 楼层好，户型方正', '禹洲华侨城二期柳园  | 3室2厅 | 117.06平米 | 南 | 其他', '中楼层(共33层)2012年建塔楼  -  染坊', '190万', '单价16231元/平米')
('https://image1.ljcdn.com/340100-inspection/4494ea7f-d1b9-465e-ba60-878585eea8f4.jpg.296x216.jpg', '多伦多花园 2室2厅 145万', '多伦多花园  | 2室2厅 | 97.8平米 | 南 北 | 其他', '低楼层(共22层)2015年建板楼  -  桃花工业园', '145万', '单价14827元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload292d4795-1294-4289-b2b6-434fed55195d.jpg.296x216.jpg', '禹洲华侨城枫园83.54平两房出售，户型方正，采光好', '禹洲华侨城三期枫园  | 2室2厅 | 83.54平米 | 南 | 其他', '低楼层(共18层)2016年建板楼  -  染坊', '138万', '单价16520元/平米')
('https://image1.ljcdn.com/340100-inspection/a8886deb-757a-44d5-9ddd-b285f3e7b49e.jpg.296x216.jpg', '三十万精装拎包入住，南北通透三房，楼层好业主诚心卖', '禹洲华侨城一期  | 3室2厅 | 129平米 | 南 北 | 其他', '高楼层(共6层)2010年建板楼  -  染坊', '235万', '单价18218元/平米')
('https://image1.ljcdn.com/340100-inspection/fc04534f-58aa-450a-af93-196a0feba300.JPG.296x216.jpg', '翡翠湖畔  次新小区  南北通透  三居室  诚售', '学林雅苑  | 3室2厅 | 110.02平米 | 南 北 | 其他', '低楼层(共6层)2006年建板楼  -  桃花工业园', '165万', '单价14998元/平米')
('https://image1.ljcdn.com/340100-inspection/36176cea-9841-4b62-bce9-74fbb538fb49.JPG.296x216.jpg', '肥西产证 二房 朝南 户型好 采光好', '东冠繁华逸城  | 2室2厅 | 89.71平米 | 南 | 其他', '中楼层(共16层)2014年建塔楼  -  黄小', '144万', '单价16052元/平米')
('', '幸福大街东区 4室2厅 190万', '幸福大街东区  | 4室2厅 | 123平米 | 南 | 其他', '中楼层(共11层)2010年建塔楼  -  桃花工业园', '190万', '单价15448元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload71050c95-ce96-4c6b-a33e-a458c65ade9b.jpg.296x216.jpg', '禹洲华侨城三期枫园 1室1厅 76万', '禹洲华侨城三期枫园  | 1室1厅 | 49平米 | 北 | 其他', '低楼层(共24层)2016年建塔楼  -  染坊', '76万', '单价15511元/平米')
('https://image1.ljcdn.com/340100-inspection/b19b8a6d-09b1-4eb4-86d5-0f28e2f21f96.jpg.296x216.jpg', '次新小区 交通便利 装修好 配套完善', '观澜学府  | 1室1厅 | 59.02平米 | 南 | 其他', '高楼层(共28层)塔楼  -  新港', '86万', '单价14572元/平米')
